great 	 stay weekend 28th Nov , 3 lady . brilliant room , great value money . can not knock anything , fab . would definitely recommend . location ideal tube right outside door . staff could not enough , deserve 4 star . Kensington lovely place , quiet safe . 
 Jun 4 2009 	 great hotel nice room good location helpful staff . 	 great stay hotel , family 4 stay family room , cot provide hotel . plenty room we all . the Decor modern everything brand new due recent grade CP.We lose bag airport staff hotel helpful call BA we several time . would recomend hotel anyone visit london especially wish visit nearby museum . 
 Jun 3 2009 	 nice renovation shame service ! 	 stay hotel many time last year due company busy constructuion work London 2012 Olympics . month ago slightly tired Holiday Inn , however could always rely good friendly service , reasonable room rate almost guarantee upgrade Priority Club Platinum member . renovation rebrande Crowne Plaza almost complete indeed room public area look great , however personal touch almost dissappeared . ok , nice personal welcome card manager , upgrade ... also morning discover toiletry room , cal reception 3 time wait 25 minute get soap shampoo . Breakfast include roomrate , assorted selection , however think cook English breakfast sit 1 hour , fry egg like rubber ! - hotel learn well cook order . apart minor problem though say good hotel , stay long price rocket unreasonable level suggest rack rate advertise reception . 
 Jun 2 2009 	 nice refurb 	 hotel recently refurbish quality feel . room bathroom modern comfortable . negative one lift due one replace sign say lift replace guess final piece . 
 May 26 2009 	 great location nice room 	 stay hotel twice February ( stay 4 day , go Paris 4 day , come back another 4 day ) . definitely stay , problem . however , almost problem either result current renovation fix renovation , qualm recommend hotel . the room pretty spacious , least compare european hotel stay . decorate nicely , comfortable bed , new , modern bathroom , flat screen tv . possible , request room view garden rather street room seem big . also , get place top floor ( sixth , believe ) request change . 's view stone work block window 's unbearably hot ( problem heater second time , top floor affect -- heat rise ) . , garden use store debris remodel not issue since winter one would want use garden time year anyway . the service good . desk - staff not particularly friendly , polite helpful . complain heat , open window we even bring fan . bellman also helpful . italian concierge especially nice , keep company wait family come extremely slow elevator ( elevator MAJOR issue stay , definitely replace future guest not find issue . ) not eat restaurant , seem good PACKED . even move table lobby ( lobby restaurant separate partial glass partition . ) location , right next tube , several internet cafe , lot restaurant ( go Nando 's -- inexpensive , tasty , good - look waitstaff ) , walk - distance museum ( take kid natural history Museum , V & amp ; Museum spare boredom ) shopping ( harrod close really nothing special ) . be really walk , make Hyde Park . , take tube . take Westminster line get sight - see hot spot along Thames Piccadilly line get city center ( either shop & quot ; royal stuff . & quot ; ) stay sure recommend everyone . 
 may 26 2009 	 Excellent Choice 	 look somewhere stay London hotel real find . room good standard , staff friendly , location great museum across tube station , price excellent . stay two night two child ( age 10 + 11 ) see sight London . pick hotel base upon location feedback Tripadvisor . every aspect hotel exceed expectation . despite arrive early room ready we . staff encounter stay really welcome friendly greet we smile . room clean finish high standard . Tea / Coffee even free water provide ( recently stay £ 250 night hotel , not even get ) . not dinner hotel see great early bird offer ( £ 15 3 course ) , enjoy breakfast . would strongly recommend hotel anyone . quality great staff friendly . go back London would definitely stay . 
 may 24 2009 	 amazing change 	 stay one night friend town – remember place old Holiday Inn ( still Holiday Inn moment soon Crown Plaza ) – big change use . really nice two - floor suite lot room , everything brand new . People say bed comfortable , agree . great night sleep . bathroom walk - in shower heated floor lovely , nice big toiletry . staff friendly smart . lobby seem bit empty tell new furniture arrive soon . ' little bit building work go , much would notice – nice gentleman behind reception say almost finished . got good rate , person tell keep Holiday Inn rate finish building work , bargain make builder around place get nice Crown Plaza standard hotel price great deal sadly ' last . bar modern comfy , breakfast buffet style plenty choice ( need lunch eat ! ) . really nice hotel would use highly recommend . 
 May 20 2009 	 fantastic hotel gorgeous staff wonderful warm welcome 	 newly refurbish hotel excellent staff great feel . due location hotel ( Kensington area ) fantastic hotel book come London . club room ( wonderful ) experience full english breakfast club lounge . breakfast delicious ! staff hotel ever friendly always willing help offer suggestion dinner transport . we wonderful time ! ! return hotel future ! ! 
 May 18 2009 	 excellent service excellent staff excellent hotel ... 	 arrival help even manager . service excellent . morning news papar door . ( club member ) bed room incredeble big excellent quality . arrival bottle fine wine room ( standerd ) . breakfest excellent complete . due improvement ( could well ) electrical failure breakfest , light go , fix minute . the tube less two minute away . tube also go heatrow airport . restaurant hotel fine , want something else , lot restaurant walk distance . would recomand hotel friend want stay London . 
 May 13 2009 	 Great Holiday Inn 	 simple elegant hotel Central London . time 2 couple . simple yet elegant breakfast room , comfortable stylish living room nice collection travel book magazine available . room bath room comfortable quiet . comfortable high quality bed , linen towel . excellent breakfast . kind service . cheap option , realiable quality excellent spot reasonable price ! 
 may 7 2009 	 Excellent hotel 	 return overnight stay hotel . very impressed large room convenient location . read review request garden view allocate . arrive 10 be early flight expect leave bag come back check later give room straight away give we chance settle . staff friendly helpful , reccomendation would put disturb sign housekeeping door 8 am complain early check get . 
 May 6 2009 	 Excellent hotel excellent friendly staff total must stay London 	 husband turn Crowne Plaza Kensington let another hotel book Manager assistant understand helpful . pay two night Priority Club point one night Mastercard give Club Room whole stay , although point cover . room excellent , underfloor heating bathroom , queen size , comfortable bed , safe , plazma tv , french door window , leather chair , work . thing would say air con ; cold would like luckily 4th floor could open french door window safely overnight . breakfast , although little pricey 17.50 per person , excellent well exceed Forums breakast service . hotel well worth money definitely recommend everyone know definitely use . never hotel ever staff freindly helpful . 's pity can not remember name , obviously take pride job . 
 Apr 24 2009 	 nice comfortable hotel convenient location 	 spend three night hotel recently business trip Imperial College . hotel conveniently locate term restaurant , tube , sightseeing . te area pretty nice ( particularly one head north towards Hyde park ) . room quite spacious , clean , nicely furnish . staff friendly andcourteous , front desk StreetSide restaurant dinner one night . food so - so though typical hotel restaurant . hotelwas still undergo renovation part transition Crowne Plaza linger smell fresh paint floor ( 1st floor ) .my big complaint frustratingly awful internet connection : ethernet port wall not appear functional , wireless network ( cpk_service ) unreliable signal strength vary quite frequently great signal signal . would also take many minute get IP address , often seem dns server respond properly even well know web site google , gmail etc . get redirect banner page . hand , wireless network free ... imagine not complaint much . have happily pay reliable connection . 
 Apr 21 2009 	 lovely little gem 	 Loved hotel put favourite alongside Crowne Plaza Liverpool . room outstanding barman great , sit outside meal drink hidden garden , centre London fabulous , would recommend hotel anyone want great hotel stay in . very close Gloucester road tube Heathrow.i stay many London hotel near top pecking order I . I normally give high rating review , 100 % 
 Apr 19 2009 	 great hotel family 	 book double - double executive floor two adult , two child ( 3rd floor ) . room modern date small bay window overlook Cromwell Rd . noise street . kid love & quot ; fab & quot ; date look . parent love location space . comfortable . service great bring we ice loaning umbrella . 1st 2nd floor renovation currently complete . 
 Apr 16 2009 	 not waste money 	 purchase single night stay hotel order spend additional night London purchasing trip British Airways . schedule hotel across street Holiday Inn Kensington Forum . unfortunately , Forum book , stay . upon arrival , find hotel undergo new paint job , front door block painter . clearly mark entrance hotel , inquire painter entrance locate . upon find temporary entrance , lead bar / lounge area , find door narrow allow luggage easily take . what s bad , hotel staff assist we get theses door . upon arrival , find entire lobby bar area awash smell latex paint . almost nauseate . check - in easy enough , find room acceptable . clean , neat , quaint . consist real view , aside another building , not stay hotel view window , not bother . real problem find volume television adjustable , annoyance . upon get settle room go day , return find elevator / lift service . require we walk 6 floor room . upon check next day , find elevator / lift still service , request bell hop carry luggage . receive apology hotel staff inconvenience , check without issue . recommend stay Holiday Inn Kensington Forum across street would provide well experience less money , hassle ! 
 Apr 15 2009 	 good hotel nice sized room comfortable - book go way price ! 	 think find hotel two adult two child would pretty easy London . reasonable budget mind couple location choose . problem find decent hotel would sleep four people room . find hotel room two single bed , one double . one double bed sleeper sofa . ugh ! , go try - and - true Holiday Inn . sure enough , room two double bed . price cheap comparable Holiday Inn big city like New York . I agree everyone hotel good location . tube station literally across street even pick point red tour bus . plenty restaurant take - away neighborhood not eat hotel restaurant . major museum within walk distance . Most renovation seem complete . pleasantly surprised room . know would nice since renovate plenty room . room bay window small sitting area . space make room feel , well , roomy . still small room not cramp hotel room large city . so travel three people , consider stay hotel . quick . feel hotel upgrade room even expensive . glad stay . 
 Apr 12 2009 	 plesant surprise Holiday Inn ( rebrande Crowne Plaza ) 	 stay Holiday Inn South Kensington twice last week . book B & amp ; b package occasion disappoint . fact , pleasantly surprise good level service , particular simply , nicely decorate duplex upgrade second stay . would particularly like commend one restaurant staff whose name forget , easily recognisable curly tie - up hair . helpful friendly morning greeting . make great start day ! definitely come back summer Crowne Plaza experience . 
 Apr 2 2009 	 can not beat location ! 	 stay 4 night middle March . although initial impression good due rather unfriendly clerk check , soon realize have make good choice . room quite spacious plenty room three adult luggage . bathroom modern wonderful soap lotion . happy find magnify mirror attach near sink , disappointed realize mount high without extender use . , quite bit construction go elevator lobby . seem like worker work right night , morning would find something else new instal . although plenty dining option closeby , regret get breakfast option book online . breakfast look delicious would save we time morning . could add bill check , cost hotel much high online cost . location perfect . be right across tube station also close pick up / drop spot many tour bus company . impressed concierge ( Raj ? ) . friendly give we quick tour renovation day check . 
 Mar 31 2009 	 Fabulous ! 	 arrive Holiday Inn Kensington , March 18th , 2009 . slightly put renovation quickly get see great look inside . could not check room 2:00 pm staff stow luggage lock room . 2:00 roll around exhausted flight finally get room small two people fine . comfy . bathroom great size , shower beautiful water pressure fantastic . not see point stupid magnifying mirror corner though since ' m short even reach . bed comfortable almost trouble fall asleep . comforter great pillow squishy want sleep day . be also nice flat screen tv wall hang table thing store ( well stocked ) mini refrigerator . 's great hair dryer one drawer desk well . problem room clock dresser store clothe . however safe small closet enough room week bunch clothe . staff super attentive helpful ! every day would go see manager would help we plan tour , book show , put we right direction attraction want visit . extremely helpful super duper nice . restaurant okay , good food way expensive go breakfast ! day go manager ask room say good sleep not great could hear traffic . right immediately switch room garden view suite king size bed . absolutely fantastic . nice consider definitely good sleep ( room big ! ) . wait go back London stay Holiday Inn Kensington . great upscale , classy hotel ! Holiday Inn super surprised . thank staff make stay London enjoyable ! 
 Mar 24 2009 	 great location 	 stay use Priority Club point boyfriend birthday January . very nice decor . room big nicely furnish , long go theatre meal . do not eat drink , use bellboy luggage storage efficient . 
 Mar 23 2009 	 Great Hotel Great Location ... great ! ! ! ! ! 	 recently stay hotel 4 night rather large group student . hotel undergo amazing renovation become Crowne Plaza . staff extremely accommodate help arrange anthe need -- additional room amenity ticket event town . would HIGHLY recommend hotel anyone looking stay nice , clean , ROOMY spot centrally locate London 's Kensington bourough . 
 Mar 23 2009 	 fairly standard 	 stay hotel two night March , work ongoing entrance , lift stair time . ask authorise full payment plus additional £ 50 per night checking , something find annoying . thad use stair access room work ongoing front lift system . stairwell definitely need work paper peel wall . enquire wireless broadband prior booking tell available free charge room stay work although get cable concierge . limit storage room basic supply tea coffe making , towel etc provide . overall room fine small basic would not like stay 2 night . 
 Mar 19 2009 	 wonderful staff + Perfect room 	 return stay Holiday Inn Kensington can not say enough good thing . staff helpful assist every need . money arrive due debit card freeze suspicious activity , bellman take bag room smile , know could not tip . concierge assist husband make international call clear debit card problem . teenager wait room money issue take care assistant manager send fresh fruit bottled water via room service , charge we . wonderful treat middle difficult time . hotel , stay recently renovate room perfect family four ( hard find London . ) towel thickest ' ve find hotel state . bathroom good sized . location hotel near tube station , allow we tour London easily . also adjacent grocery store buy breakfast item night room next morning . stay many luxury hotel state , ' ve never easy , pleasant stay Holiday Inn Kensington . 
 Mar 16 2009 	 Nice hotel friendly staff 	 stay hotel four night March 7 - 11 , 2009 . hotel undergo renovation inconvenience lift service part stay . upside renovated room comfortable . staff friendly helpful . breakfast good pricey . definitely go back . 
 Mar 14 2009 	 excellent value money terrific hotel ! 	 book hotel 5 night March 09 3 adult receive one already refurbish room sixth floor . room excellent far well learned expect hope previous visit London hotel London tend ... less pleasant put delicately .... room large decorate much liking , 2 huge double bed - comfortable , bathroom good size look great well , would not mind one like home . the staff professional , helpful welcoming , even provide adapter electric socket forgot bring home , else could ask ? breakfest excellent highly recommend well . the Location also great - 2 min walk & quot ; Glocester road & quot ; tube station mean take one train almost anywhere city . so would recommend hotel friend ? already , friend come visit London next month definetly go stay hotel . my hope renovation complete , price would not much high could enjoy stay next visit London well . 
 Mar 13 2009 	 largely unremarkable stay 	 indifferent check - in ( rather off - hand , mention newspaper wake - up call ) go room third floor ( executive floor ) - presumably Priority Platinum member free upgrade , no - one mention . newly refurbish room pleasant comfortable , unfortunately neighbour ' executive ' excited american child settle long . plate fruit nice touch , impression ruin discard stalk grape leave previous guest ! ( must add room otherwise clean well prepared ) location busy Cromwell road ask allocate room rear hotel - external noise impressive bustle location . hotel well locate - road Gloucester Road tube ( District & amp ; Circle ) many place nearby eat , drink shop . good value London £ 99 room exclude VAT 
 Mar 10 2009 	 great hotel location 	 stay last weekend two friend two night girlie sightseeing weekend ( be age 26 ) . three we share good - sized room breakfast around £ 105 night total , think bargain lovely modern hotel would definitely pay stay refurb complete . our room two double bed two we share comfortably , comfortable fact poor foot need hard day 's sightseeing ! shiny bathroom nice touch flannel gorgeous arran aromatics smellie . ( Tip , not get show cap though may want pack ! ) room clean , could even smell new carpet smell . impressed hairdryer , proper one much well usually get hotel . our room ( 226 ) back hotel overlook garden church not problem noise . breakfast really good , selection cereal pastry , cold meat , cheese , fruit fish cook breakfast , pleased see tend well dish replace often , rather leave stand long time . I ' ve previously stay Radisson hotel across road work definitely push one future ! be quite safe location female traveller 's busy main road directly opposite tube . also lot handy shop 24 hour Tesco , boot , Waitrose , Starbucks etc . downside stay fire alarm go 1 am first night , guest dress gown mention another reviewer ! find stand outside pjs beep pass motorist quite amusing see issue family young child . ' ve rain . complaint though know refurbish thing happen builder - sort quite quickly pleased see fire brigade attended treat seriously rather put buildng work . thing lift little bit wobbly think 's replace . all great base trip will definitely back ! 
 Mar 10 2009 	 lovely finish ..... 	 group we girl stay hen weekend . people not get scared , well behave hen ! ' pink hat L plate ' kind hotel anyway definitely not kind group either ! despite renovation go hotel ( be upgrade Crowne Plaza ) , everything went pretty smoothly stay think . grant , arrive late airport day arrival stick time check , hit show , girl reception not seem appreciate hiccup check - in ! seem get fluster slow impressed upon not time waste ! Anyways get check evenutally , will glad know , make show one whole minute spare ! hotel quite nice ( bit renovate ) nice work complete . room bright modern , bathroom good size please see bath ! two double bed two we say , could quite possibly comfortable bed ever sleep , hotel ! nice flat screeen tv room tendancy turn accord ! think might pick remote signal adjoining room next door ? might something management look . not bother we imagine might people ! also , be great job do sound proofing room face onto Cromwell Road little traffic noise could detect . gold star architect / s ! would surprise many hotel neglect sound proof ! never underestimate much people appreciate peace quiet ! dining area quite nice space breakfast morning pleasant . hot cold food constantly replenish endless supply tea , coffee toast . could opt healthy option cereal fruit go big greasy fry - up fancy ! great way set day would recommend get include rate be breakfast person . Tesco Waitrose within spitting distance though short option not go hotel breakfast . staff quite nice . would not say overly friendly mean . think might bit wary irate guest , renovation go . imagine would lot people would issue thing like drilling , crazy lift etc . , not bother we slight . also , fire alarm Friday night stay . arrive back hotel stand back garden ( , mention , lovely area smash sit summer drink ! ) not issue we , well wrap ( couple drink ! ) shield we element people bathrobe , especially grumpy agitated child , not look well pleased ! deal relatively quickly , say relatively though , good part hour think . stand open correction think . hotel great location . Gloucester Road tube station around corner travel around city easy . Kensington High St. pleasant , 15 minute - ish stroll away ( 2 minute taxi ride ! : ) harrod within walk distance unfortunately not time get trip . overall , would definitely recommend hotel . modern , big well locate . hit four star mark would say renovation complete could bump price ? would definitely stay ' m London next . 
 Mar 9 2009 	 Graet location comfortable 	 last minute one night stay sister Forum hotel road full . pleasant modernise hotel good public space comfortable modern bedroom huge bed sparkle new bathroom . room back quiet . breakfast include room rate buffet style , plentiful , cheerfully serve young staff . great location near tube shop / restaurant etc . , good last minute room rate , would certainly recommend place . 
 Feb 24 2009 	 great location Tube 	 stay Holiday Inn Kensington recently surprise undergo major refurbishment . consider amount work do , really not intrusive . give room main road ideal . room spacious bathroom clean . possibly gripe basin tap bit stiff turn water not drain away well basin . everything else good . staff polite . request couple extra towel Housekeeping deliver within 5 minute , excellent . hotel location ideal - literally across road Gloucester Rd Tube Station ( Picadilly Line ) . Waitrose Tesco Express across road choose pay breakfast hotel . child 12 eat breakfast free plentiful . , would recommend hotel . 
 Feb 20 2009 	 Great Location comfy bed 	 one night Priority Club reward . great location opposite Gloucester Road tube , one block museum , 20mins walk Harrods , 15min walk high St Kensington . nearby free street parking 1 pm Saturday day Sunday . Room newly refurbish , stain carpet , dark gloomy colour make small room seem small , bathroom spotlessly clean resonably sized . bed super comfy , quite lot traffic noise Gloucester Road - 8th floor . common comment , room hot ( due spotlight everywhere tv screen ) , aircon seem make difference - work ? eat breakfast Starbucks road , also Waitrose , Pret Manger several coffee shop . overall pleasant stay . 
 Feb 20 2009 	 nice location pleasant staff good accomodation breakfast 	 get great price ( expedia , £ 145 per night ) family four decent - sized room two double bed , probably hotel undergo certain amount refurbishment . however , intrusive . the room top floor , decent furniture somewhat subdue decor . real complaint aircon noisy , switch room warm . Breakfast , include rate , pretty decent . front desk breakfast wait staff pleasant . 
 Feb 19 2009 	 Unbearable Heat Lifts work 	 hotel undergo renovation clear entrance . fact walk past several time . the heat bedroom corridor incredible . fan provide make difference . several occasion 2 night stay one lift hotel order . walk six floor fire escape room . available stair . two child elderly mother . heat room trek stair spoil holiday . describe hot room - suffice say none we could sleep . bad experience ever hotel . although book two night , check day . request later checkout , key disabled . discover another trek fire escape . staff comment air conditioning broken time . the breakfast staff helpful smiley . breakfast well worth money - child 12 eat free . hot food freshly prepare staff constantly replace almost dish . lot lovely fresh fruit choose . 
 Feb 7 2009 	 good hotel great location 	 get back Monday weekend break Holiday Inn South Kensington really impress hotel . look lovely outside particularly comparison monstrosity holiday inn across road . work go main entrance close make difference we . room basis eat can not comment food reception staff friendly room great - clean , attractive quiet . location brilliant - road natural history Victoria Albert Museums Harrods little road . underground 2 min away brekkie lovely patisserie across road . ideal location sight see holiday - will back . 
 Feb 1 2009 	 Great Value nice touch 	 stay King Club standard double room last week hotel refurbe Crowne Plaza standard . both great standard , bit cash spend King Club worth extra , also recommend standard room . a Flat Screen tv reasonable price movie Sky sport great plus hard day work want watch bit tv.lovely power shower comfy bed pillowswill stay soon , Gloucester Road tube stroll across road make easy get around . Good Hotel Tourists Business alikeas staff , find friendly always find smile meet smile 
 Jan 26 2009 	 good Room Bad impression 	 book Holiday Inn Kensington read lot bad review , cheap hotel Trip Advisor , decide go good overall review within budget . we pay little would like hotel , add VAT top price think pay , little annoying start with . we know hotel undergo refurbishment , put scaffold outside hotel arrive . however , take we find door , clear sign amongst build work reception . arrival , temporary reception set amongst build work , must say staff particularly friendly towards we . credit card we , would take debit card room guarantee , even though card use book room . unable use mini bar add extras room . our room one new upgrade room , absolutely fantastic . bed big ever see , facility wonderful . issue room initial problem shower soon resolve , tv seem change volume ! brilliant . problem build work - get try get downstair , lift order due building work . find way stair trek four floor get reception area . sign direct we , something rectify follow day . inconvenient we , manage okay . none staff particularly friendly , hotel room location hotel make . right across tube brilliant , well numerous shop restuarant . overall , hotel good , willing put problem whilst upgrade hotel . would go - doubt expensive refurb complete ! general , good stay , could well . 
 Jan 12 2009 	 great time 	 return two night deal include breakfast day evening meal one . great value money even pay little extra room upgrade Club . the evening meal choice la carte menu great service Christophe ( sorry can not spell name Polish ) friendly polished . service breakfast Arrieta also good . fact staff friendly helpful . request receive room overlook rear garden peaceful - although building work go convert hotel Crown Plaza . Altogether would recommend hotel particularly within walk distance Royal Albert Hall , Natural history , Science , V & amp ; museums Knightsbridge shopping . 
 Jan 12 2009 	 great experience 	 wonderful stay hotel family - 4 adult , fit comfortably one room 2 double . room clean , modern , bathroom decent size . location perfect , hotel across road Gloucester Road station , line airport . be also within walk distance museum couple train stop away major attraction . it great value money , cost $ 150 . would definitely stay ! 
 Jan 5 2009 	 Great Location Good Value ! 	 hotel pleasant surprise . hotel go upgrade Crowne Plaza , accord staff . small , 6 - floor , traditional London hotel building . room recently renovate , decently sized , comfortable . staff EXTREMELY friendly helpful . lobby area bar nice , be worth include breakfast reservation . fitness center small well equip recently upgrade . good part hotel 's location -- corner Cromwell Gloucester Roads , right across Gloucester Road Underground stop , three different line connect . make easy get nearly anywhere London . hotel short 10 - minute walk ( one Tube stop away ) Kensington High Street , great deal shopping available . certainly great value 
 Dec 30 2008 	 great another room would well ! 	 planning stay nearby booking mess Best Western get last available room garden side hotel 10 night . room newly furnish , comfortable , drawback window shaded avoid rooftop view air conditioning unit , room beside service elevator mean noisy morning cleaning staff start 8 world 's squeakiest cart . the hotel undergo full upgrading - part do great - exercise room good . lobby pleasant dining area attractive modern . we would happily stay - next service elevator ! location great - one bus downtown sight shopping , easy walk major museum , across road tube . 
 Dec 15 2008 	 Great Deal @ Sth . Kensington 	 Nice hotel great comfortable room recently & quot ; refurbish & quot ; . good location close subway commerce . nice , friendly staff . 
 Dec 14 2008 	 great place stay 	 Stayed Holiday Inn , Kensington recently size place great . room recently decorate great facility . room little hot air con scratch could not open window . wireless internet would useful . overall , great stay . 
 Dec 10 2008 	 Holiday Inn Kensington- need help . 	 book one night stay Holiday Inn Kensington London business trip . member Holiday Inn Priority Club generally like Holiday Inn hotel , disappointed . check without issue . room ok far hot . not able open window firmly lock ( enquire able open , tell ) . also need access hotel 's internet work try system first , not able access wireless network . not even modem connection room . take 2 call 40 min get connect via cable cost £ 12 24 hr . as late , decide eat hotel . food average price take 40 min get main course arrive cook . save grace hotel , moment , staff . hard working , pleasant apologetic . to top , lift stop work . climb teh 6th floor certainly give workout - especially leave stair 2nd floor use emergency stair end builide . I hope hotel staff , one . 
 Dec 3 2008 	 Ex stay 	 return 2 day London stay Hol Inn book plat member site . we find staff ex helpfull although update hotel find do guest mind keep min little noise mess . we stay refurbish room 412 overlook rear hotel . although huge room completely redecorate new furniture new large king size double bed lovely new bathroom shower underfloor heating ! partner staying room 412 next month . what say . 
 Dec 3 2008 	 Great Hotel 	 hotel one good location outside centre London . Tube bus connection doorstep every part capitol . within walking distance Hyde Park , Natural History & amp ; Science Museums , Royal Albert Hall , great shopping Kensington High Street numerous restaurant big chain individual restauranteur . the hotel refurbish Crowne Plaza standard even well complete , alteration way detract enjoyment stay . staff extremely friendly helpful really take pride work . there s doubt next stay London , congrat thank make stay great one ! 
 Nov 24 2008 	 enjoy stay 	 stay last Christmas happy stay . hotel nice room clean comfortable . location great close tube walk distance museum , park shop . not eat hotel , however drink bar little expensive usually hotel bar . complaint would room banquet room party something go one night could hear music room . would ask room away next time . 
 Nov 14 2008 	 uncomfortable stay 	 thought would give hotel try , problem . let us start good stuff- staff - pleasant , friendly - many hotel underestimate difference makes.- new room . modern , well furnished , good shower , much nice decor . now problem : - aware place renovation . arrive evening , cause minimal disruption , arrive daytime , hope work , ' ; find drilling noise even high floor . also not hope lie - in - hte drilling knock kick 8.30am.- renovated room fourth floor , room 408 . nice . except , hot ( even though freeze outside ) window lock . ask key open window . tell , nicely , window could open . repeatedly point lock , therefore key . tell could not open . ask move room . , show one second floor shake drilling - noise unbearable ! obviously usable . ask room floor one , window - tell , nicely , room third fourth floor window could open . frankly not believe . tell airconditione put , room would cool , agree stay original room . could not work noise , go coffee shop work leave try put airconditione , not seem work . Told desk say woldl fix time get back - akse put maximum cooling . come back late night find , cold air . try call three time , answer . gave go bed , hope might get cool . terrible night hot , stuffy , sign air - con kicking . Woken 8.30 hammering . want complain queue desk departure huge staff frantic . write manager . staff lovely ultimately ineffective . ' m sure someone key window , room window open upper floor , problem could solve . shame really - nice room could good stay . 
 Nov 12 2008 	 Great Hotel 	 third stay hotel . previous occasion family half term holiday ( Oct 2006 Oct 2007 ) pay use Priority Club point . be one large hotel find central London family room . first stay room face garden noticably quiter room overlook road get second stay . room not massive big enough 4 we . eat breakfast place opposite Gloucester road tube work kid get free breakfast hotel actually much cheap eat hotel ! staff excellent helpful without intrusive . great base London 's attraction . my late stay business 2 night . hotel undergo rennovation not intrude significantly . stayed refurbish double room 6th floor ( 601 ) . room nicely decorate bed comfortable . minor niggle tv take bit button press turn . water supply seem air lock take 5 minute shower flow properly although excellent ! toilet paper holder position get bath shower screen along part . result paper get soak - brilliant location perhaps ? trouser press would nice well . please not think ' m nitpick comment management seem respond review feel 's worth let know . not eat hotel colleague drink bar read paper . guy bar attentive without intrusive . staff friendly receptionist deal well stroppy south african guy obnoxious whilst checking - would tell go maybe be ' m suitable role customer service ! would try specify room face gaden possible remember central London middle countryside noise . all great hotel will hesitation go back . hope family room still new branding use priority club point pay ! 
 Nov 3 2008 	 Excellent Stay 	 stay fron Oct 4 - 8th short get away . booked website get great deal include breakfast double mile frequent flier program . priority club member king size room huge UK standard . location excellent hotel arrange sightseeing need . thre bar , supermarket bonus Glouster tube opposite hotel . walk harrod cool evening . clean nice hotel would definitely use .Downside internet expensive use use hotel .. 
 Oct 24 2008 	 Good Hotel Good Location 	 little mess reservation booked pay via expedia arrive look fr payment soon sort . staff need trainned bit well front desk , slow pay wireless internet work bar / restaurant , wire internet bedroom not work either room colleague . hotel 's self lovely , great bar area ( chic ) like would expect Holiday Inn , ' m sure refurb finish great hotel , problem slow staff honest , internet problem somethime hotel hand , problem occur reason staff work quickly without chat member staff around desk weekend . say refurb finished staff trainne bit fast look guest checkin great hotel stay in . one good staff member , Porter , could not remember name say work Jurys Kennsington close chat try fix internet bedroom 
 Oct 6 2008 	 good spot 	 really well situated hotel . close museum Earls Court . restaurant opposite really nice pub five minute walk away ( Hereford arm think call ) . staff exceptional nothing much trouble . feel instantly welcome even toy idea stay extra night ( work commitment say otherwise ) . return 
 Oct 4 2008 	 one extreme another ... 	 second stay hotel , previously stay year ago . occassion pleased room , service great location across tube station Waitrose supermarket etc . restaurant , fast food pub food locate immediate vicinity tourist , stay one week location ideal . change time hotel undergo major renovation . opposite concierge desk picture new room . picture accompany notice advise hotel re - brand Crowne Plaza hotel . later find relaunch occur next April . the duplex suite initially assign tired worn , locate 1st ( 2nd ) floor overlook Cromwell Road . airconditione unit rattle throughout night , window not close fully , back drape yellow , carpet tear , stain chair drawer do not close properly . rattle airconditioner cause complain twice glad - second occassion move one renovate duplex suit top floor overlook garden ( room 620 ) feel like different hotel ! recently renovate , everything brand new . upstairs bathroom ultra modern toilet , heated tile large separate shower bath . also second toilet downstairs . king size bed extremely comfortable adjacent bedroom balcony table chair , flat - screen tv 's upstairs downstairs ample desk space sit area level . , newly renovate room could nicer enjoy remain five night hotel . receptionist inform we new room stay would normally cost GBP500 per night . pay GBP215 per night , include breakfast . re - branding Crowne Plaza may provide hotel 's much needed make - over , however fear may also out - price many people previously stay . 
 Sep 24 2008 	 Good experience 	 please stay Holiday Inn ( despite name conger thought damp , smoky smell room US ) . hotel undergo renovation time visit . stay August 28 - 30th return London Sept 15 - 17th . room return trip far nice first room impression recently renovate room . comfy beds beautiful bathroom . not know old person could get tub quite high ground . beautiful backyard patio full access internet printer private downstairs office charge . little trouble reception charge creit card already pay full advance work . probably will not able afford staying renovation complete highly recommend cleanliness central location . ( also take we street room prebooke fall another hotel . ) 
 Sep 4 2008 	 great location great value money 	 ( family 5 : couple plus 3 kid ) return recently hotel stay 3 night move friend 's house Surrey . location : perfect : 150 meter Gloucester underground station 500 meter Natural History museum , Science Museum Victoria & amp ; Albert Museum . across street super market , restaurant , Boots pharmacy , Burger King ... accommodation : choose executive double room two double bed . seem hotel recently undergo major rennovation room . picture tripadvisor depict old room . room stay much modern aesthetic design ( sorry shoot pic ) . however know many room refurbish . accord receptionist refurbishment due fact next year hotel long Holiday Inn belong another chain ! ! well room spacius fit 2 adult 3 small kid , real value money , give fact time spend sightseeing ! ! sure stay long , another type room recommend . Food & amp ; beverage : breakfast . good buffet typical english breakfast plus wide variery cereal , fruit , croisant . kid 12 brakfast free charge ! ! staff : helpful friendly , sure room improvement . finally : sure return hotel London 
