Roomy 	 stay room one standard room ( free upgrade ) . room super roomy , various furniture feel comfortable . remember great view cityscape night spotlessly clean bathroom . forget pjs sleep really comfy robe . 's also free wifi room lobby . elegant room , staff super nice . locate right near market street - pretty good base go explore city . 
 Nov 14 2008 	 Hotwire problem 	 beautiful hotel good location . excellent service bellman , housekeeping restaurant staff . unhappy room lack help hotwire . many room small , particularly hotel Hotwire give 4.5 star . booking , immediately ask Hotwire switch we another hotel review indicate many room small lacked bathtub . hotwire respond call hotel assure would get room abathtub . arrive 7 hour flight give handicapped room shower flood room use properly . alternative small room could properly fit luggage , include 4 suitcase . stay handicapped room call housekeeping night shower flood room . hotwire help basically say , deal hotel . hotel manager duty never hear person Hotwire supposedly contact . 
 Nov 10 2008 	 Great Location Beautiful Hotel 	 spend night Palace Hotel , Sheraton . 9/15 - 16 great location service . highly recommend . hotel nice pool hot tub . note : room expensive , parking expensive , food drink pricey . 
 Nov 4 2008 	 stunning hotel middle SF ! 	 read many review Trip Advisor generally find helpful - especially advice take BART SF International airport - easy transfer airport yet ! arrive long flight UK warm welcome front desk take lift wonderful elegant room . vast room , spacious enough tastefully decorate . husband stay 4 night find service throughout hotel A1 , apart rather grumpy old concierge chap ! treat fabulous breakfast Garden Court restaurant disappoint , although cost consious , many good deli nearby . couple evening supper Pied Piper Bar serve delightful waitress name Delice . food great good value nibble want drink . want keep fit stay , try pool area 4th floor - stunning ! overall make feel welcome would thoroughly recommend hotel . 
 Oct 26 2008 	 good hotel good location - pricey bit 	 stay four day business hotel well locate centre town . pretty much everything walkable . moscone centre 10 minute . pier 39 25 minute , Chinatown 20 minute . room spotless case massive . colleague room massive equally spotless - pot luck guess . good big tv , nice bathroom . third floor pretty much main entrance noise issue what - so - ever . internet connection wire $ 20 day . nice fitness centre pool . restaurant impressive look public area good condition . staff friendly . bar kind gentlemen club style feel bit starchy quite pricey . breakfast impressive also impressively expensive . would stay - absolutely . 
 Oct 23 2008 	 Lovely gracious 	 lot research hotel beforehand , nice surprise . beautiful , historic hotel unusually breathtake architectural feature . courtyard , formerly horse buggy arrive , stunning . pool one upper floor , unfortunately time visit . high ceiling marble everywhere . room lovely clean . outstanding thing hotel , however , people work . really seem interested making stay exceptional . extremely friendly efficient , pushy . pay less half aaa rate room two day , treat well . fully expect attitude check - in , gentleman helpful , beyond usual . ask actually receive quiet room ! bad aspect : always find hotel bed way uncomfortable , not expect anything else , almost sleep . yike ! park $ 48 per day , unlimited use . little miffed read another review mention $ 40 per day parking . oh , well . research parking go , be terribly line . love . 
 Oct 17 2008 	 beautiful hotel overrate 	 Palace Hotel beautiful old - style hotel -- tall ceiling , beautiful lobby , pretty meet eat area . staff friendly . but far hotel , specifically , luxury hotel go- way overrate . the room spartan basics- comfortable bed , desk read chair . , least , nice flat screen TV.If be plan try get work done- go somewhere else . desk phone antiquate cheap , cell - phone coverage within beautiful brick wall pretty much non - existent , will end use anyway . wire internet exorbitant daily rate ( wireless hotel , daily rate will not help lobby meeting room ) .I would not stay . well hotel , nearby . 
 Oct 4 2008 	 Luxury Hotel 	 Calling luxury hotel joke . Starwood Luxury Collection chain . door slam floor noisy . chance sleep past 8 a.m. noise . trash room service leave hallway stay day . see one package use wine glass sit two day . phone room work properly . Maintenance defer . like stay historic hotel stay soon renovation complete ten year ago . window work . , window open , get fresh air . send someone prop open window ask ( wait time one hour , say would 10 minute ) , stick window one position . room small . amenity lack , slipper bath supply . front desk spotty . nice people , . one front desk lady name tag upside think could care less . public area beautiful , dining room historic , hotel worth get rate $ 300 . enjoyable stay two star hotel . 
 Sep 30 2008 	 great building lousy service 	 enjoy beautiful old building flawless room interior . not experience noise problem many reviewer face , despite room face Market Street . the front desk service hotel however lousy . perhaps par two star hotel , definitely adequate 4 + star hotel . check , one person front desk take 30 minute process single guest . despite request hand we envelope key several call general manager , keep we wait . when leave , nobody bell desk help retrieve luggage . one lady front desk could care less call someone we . finally , someone show 15 minute , another 10 minute later finally get luggage . while beautiful hotel , many display incompetent service management , recommend stay elsewhere plan contact hotel staff . 
 Sep 25 2008 	 worth money ! 	 love hotel ! entrance take breath ! dining room one kind . overall room comfortable although little tight rollaway . careful , lady counter try charge 50.00 day rollaway later take charge . staff overall incredible . especially doorman Julio . do not worry car . public transportation clean dirt cheap . hotel second everything . family would definitely like stay . pool area great ! 
 Sep 25 2008 	 Glamorous Lobby get stick hideous room 	 stay set 19th 23rd . Oracle Convention begin 22nd , price hotel , nice hotel chart . manage $ 359 night seem steal come Friday . still , get we low delux room without view . I ' m Gold SPG ( Sheraton ) member , ' m usually upgrade afford little well -- little -- check . . might well chop suey . example , check 1:00 course , huge hotel , tell room available & quot ; 3:00 & quot ; . turn pre - assign room early day room not clean , look another . clerk also say condesende word , turn lead step aside ask porter find front desk manager . receive vague apology nothing . come back lunch -- 2:45 -- preassigne room still available , time different clerk able find clean room high floor -- & quot ; outside window . & quot ; see over - the - top balcony stay several luxury SPG hotel throughout world , expectation . standard hotel room not even come close . ( hear , hotel , suite emaculate - standard traveler , hotel live reputation . ) bed ( two double ) squeeke Sheraton / Westen sweet sleeper . yes , nice duvet cover standard insert ( instead one Ralph Lauren 's ) not luxury fluffy duvet find luxury resort . neither linen towel . standard hotel class . high count linen . large special towel . special amenity bathroom -- extra small size find . cloth bag -- plastic . even iron board -- iron leave floor closet ! tv , however , new flat large . ice bucket cheap plastic . door hallway SLAMMED know everyone come go . wall paper thin hear conversation guy next door . conversation . shower rust ceiling not standard SPG bow shower curtain ; bathroom self lack - luster : & quot ; marble & quot ; 8 inch around sink . rest white porcelen chip . mirror treat steam terribly . I commend GREAT conceige GREAT porter . maid staff hap - hazzard - fail empty ice - bucket random thing . none reception staff know smile : course , time go , someone talk one point , yell , manager -- appear , not one happy ! ! ! front door staff ( guy call taxi ) also non - attentive poor make sure enough taxi -- often long wait . would suggest talk concierge trip airport . next time , will try Weston go back LeMeridian . place worth anything ! 
 Sep 21 2008 	 New Favorite Hotel 	 reading review site , contemplate choose different hotel San Francisco stay . happy choose read objective travel review / guidebook , encourage choose hotel . Palace Hotel beautiful . stay many five - star hotel around world mouth drop enter hotel ... absolutely beautiful . hotel much historical significance San Francisco . take walk tour tour stop hotel ... know ' ve choose right hotel point . room beautiful luxurious . bed extremely comfortable . iron - work guest staircase incredible . feel history exuding place . breakfast Garden Court restaurant several morning ; however , find hard concentrate food . restaurant space breath - taking . even stay hotel , must visit see . check - in / check - out process easy professional . staff member encounter professional friendly . normally arrange private airport transportation ; however , choose take BART trip . trip easy . board train airport exit hotel ... hotel entrance across street BART station . never even change train . love historic hotel prime location , modern amentie , plush room , beautiful common area , fall love place . decide Palace Hotel new favorite hotel . 
 Sep 13 2008 	 Love service 	 service - wise hotel outstanding greeter car bell hop order taker restaurant . never , ever , well service include Ritz Carlton ... downside ? yes , wall thin noise come . bathroom lock room break catch could never really lock bathroom .... sure dust regular part routine ... , like many , not spend time room ... sufficient , service , WOW ..... 
 Sep 12 2008 	 Old World Style 	 stay Palace seven day business trip mid - August 2008 . large building take city block appear century old - time grand hotel . give age well - maintain update appropriately . classic architecture rife detail decor stately without snooty . I take cab airport can not comment parking . , bell staff check - in personnel professional friendly , get room quickly offer provide advice restaurant , etc . , need . 6th floor room ( $ 260 / night include taxis ) face Market Street comfortably appoint include personal safe , flat screen hd tv small refrigerator , mini bar . old hotel , room little small many 4 - star+ hotel closet space limit nicely appoint high ceiling , dresser , good sized desk feaux - antique chair ottoman . the king bed comfortable ( Sheraton Heavenly bed ) air conditioning work well rare occasion need . room generally clean , although base residue floor - to - ceiling bathroom shutter appear one dust quite time . room also noisy time . certain extent expect downtown hotel wall thin could clearly hear detail phone call occur room across hall TV . also , two night , keep awake sound diesel engine heavy machinery raise supply upper floor renovation across street around 3:00 . ( view special quiet important , ask room hotel interior . ) bathroom reasonably spacious 1920 's style tile sink nice glass - enclose shower , bath tub limit storage area toilet kit . soap toiletry provide high quality towel nice thick . room service dinner couple night stay . neither remarkable would recommend pinch . sample restaurants hotel , appear high - end . also number highly - rate dining choice within walk distance . I enjoy stay Palace . bygone - era charm expect update make interesting stay remember . say , firm pick tab would probably less impressed . 
 Sep 3 2008 	 beautiful ! 	 truly Garden Court restaurant must beautiful restaurant North America . book lunch Australia delight see expect warmly welcome . hard decide look first . surround table . mirror door beautiful domed ceiling . service could fault lunch unforgettable . delight . 
 Sep 2 2008 	 glamorous comfortable 	 husband really enjoy Palace Hotel . conveniently locate , door hotel right next exit Montgomery BART stop . 's walk distance Union Square , shopping center , Chinatown . the inside hotel grand , lot gold gilding embroider fabric . room small side elegant clean , big comfy bed , flat screen tv good quality furniture . shower hot good water pressure , appreciate ! pool nice . 's indoor glass roof , big exercise room . not use either though , walk through . we afternoon tea Garden Court , astonishingly grand glass roof , lot chandelier marble pillar . tea expensive ( $ 40 ) , would say , eat experience surrounding , food . afternoon tea elsewhere cheap . we order room service breakfast , food come promptly excellent . we find good rate hotel Labor Day Weekend . decide stay another night honor special rate actually discount even more . I highly recommend hotel . feel pamper . would look online ask carefully discount , find available , especially weekend . 
 Aug 31 2008 	 Good Hotel center town 	 travel San Francisco business . first visit city decie take 11 yr old see site . palace great hotel . read several review decide stay . company list hotel stay several include St Regis , think good location comfortable son I. king deluxe . arrive We d noon check breeze guess SPG member plus . room ready arrive wait 3 pm check . room clean well appoint crown modling wood feature . hotel seem little character other . mention read review request inside room . quiet .. noise street slam door . locationi great outside door hop F trolley fisherman wharf .. also close office locate . hotel also walk distance China town , Union Square ( lot Shopping ) block away Westfield mall . staff great , helpfull friendly . also pleanty eat nearby buy 3 - day muni city pass $ 18 . first think waste .. decide rise orginal trolley run hyde street .. turn bargin ride $ 5 piece . pass ride muni transport ( ground tolley , bus ) unlimited day buy . take son alcatrez .. buy ticket ahead time . go early good half day tour fill quick . great . Loved Sanf Fran , would stay Palace Hotel . 
 Aug 28 2008 	 Excellent stay initial problem 	 arrive hotel travel halfway across world 2 child , need everything request . therefore , desk clerk , tell tired sweaty 40 something dad one double queen room available one floor another floor , two adjoining king / queen room book , take life hand . particular dad express dissatisfaction uncertain term . th clerk place blame squarely travel company 's shoulder make thing clear . produce travel voucher outlining book advise although request adjoining room ( several week ) guarantee . therefore face stark choice . child 9 11 separate floor ( unthinkable ) wife separate floor child ... hardly perfect start dream luxury holiday promise . opt neither bunk together 7th floor ok room . ( problem chinatown previous reviewer . walked look restaurant . end ' average ' meal ) . tired , mostly disappoint first day . next morning set Alcatraz ( highly recommend ) , desk enquire prospect adjoining room next 2 night . promise action would take come pass . evening move 4th floor room excellent . vast improvement . thing look . holiday take . pool Palace great well maintain indeed . offer free good quality coffee juicy apples pool front desk . free paper day staff throughout friendly efficient . concierge organise great restaurant ( Kuleto 's Powell ) treat care attention throughout . finish stay breakfast Garden Room , pleasant beautiful setting . never find time eat hotel restaurant , although not think Maxfields look child - friendly probably good . , really enjoy Palace despite false start . perhaps nice part check . front desk clerk check we night arrive . could not gracious apologetic . know people train make feel well ( ) certainly succeed . say English rubbish complaining - well give barrel first night yet decency tell would do within right unhappy . sound sincere seem genuinely concerned know thing later improve . leave Palace happy man certainly return ' m next San Francisco ... certainly hope one day - 's great city ! 
 Aug 28 2008 	 Go Lunch 	 Super hotel centre San Francisco . my wife want see hotel read guide book . take tram Fishermans Wharf ask direction . this hotel make worth visit look , rate outside price range seam mind people take photo . we decide lunch disapointe although price little high well worth it . pay visit relax hour two see half live 
 Aug 26 2008 	 wow experience 	 look truly historic experience , place stay . we stay three night part honymoon . welcome champagne strawberry . staff professional , helpfull friendly . room big European Standards , clean everything need . the location great , shop , china town , cable carr , public transportation , moma , walk distance . 
 Aug 25 2008 	 Fabilous 	 would highly recommend Palace Hotel . great downtown location step BART station ( subway ) . get San Francisco International hotel 30 minute . hotel room clean . find allergy detergent wash linen request sheet treat chemical indeed ! great place stay ! highly recommend ! hotel cheap fabulous time . 
 Aug 25 2008 	 great location beautiful hotel 	 stay several day business conference . 's locate close convention center convenient . dining area beautiful pool nice well . concierge helpful recommend excellent restaurant . 
 Aug 24 2008 	 beautiful almost Luxury 	 love Palace old charm european feel . build 1875 ! location good downtown . room nice enough amazing . Valet parking $ 48 per night ! CRAZY ! internet access $ 17 per night .. even though get decent rate room , bill still high . get upgrade jr . suite .. bit space . Shampoos towel lot desire .. cheap small . would expect property reputation . staff helpful . view anything room since downtown . close Union Square China Town nice . future would probably find something water view bridge view really feel like San Fransisco ! 
 Aug 21 2008 	 Good Hotel / Great Location 	 visit Palace 3 kid -- not usually travel without husband -- feel safe Palace . consider Fairmont -- glad choose Palace -- love location . take BART airport & amp ; right across street BART stop . also , walk distance Chinatown -- nice inexpensive dinner . Boudin bakery across street -- breakfast morning -- Boudin amazing -- great food & amp ; people work exceptional . the Palace old hotel -- lot charm . room bit noisy -- put pool floor kid & amp ; get bit loud night . room need deep cleaning -- lot dirt crevice & amp ; corner . bed double -- comfy could -- ok . pool area nice -- air temperature pool area chilly . the concierge grumpy -- front desk staff fairly helpful . check take long place -- not quick check - out option -- love . also , prefer guest desk use preferred guest -- wait line everyone else . all decent stay price -- would stay location . if go Chinatown , would advise find good restaurant advance -- -we choose wander & amp ; find one look good . first night try float Sushi boat pretty good -- second night bad experience Four Seas restaurant -- right Grant ( main drag Chinatown ) -- & amp ; get lot business location -- hate food -- serve cold -- meat way cook & amp ; service extremely slow . bad eating experience -- would avoid & amp ; find place recommend someone local . I would recommend Chan 's Art & amp ; gift touristy shopping -- owner nice & amp ; great deal purse , jewelry , etc . 
 Aug 20 2008 	 fantastic hotel 	 book flight hotel Orbitz check Tripadvisor hotel . worried make mistake read review thin wall noise . waste concern hotel fantastic . hotel build 1906 earthquake room huge beautiful clean . not hear peep room either side , quite . open window face Market Street , yes traffic sound . close window fine . Maxfields Restaurant hotel total surprise .. food service excellent decor . Breakfast Garden Court little average , room stunning ! ! ! try . return S.F. , certainly stay Palace . 
 Aug 18 2008 	 Good experience 	 visit Palace Hotel two kid nanny . able get connect room , difficult find city . room big , still comfortable . 6th floor face alley nice mean not hear much traffic noise . room clean , another member mention lack thing . mini bar never snack room kids munch . breakfast main dining room beautiful . Glass ceiling almost 40 foot tall gorgeous chandelier around perimeter room . staff nice attentive . buffet breakfast kid ( 4years old ) charge , nice bonus ! ! concierge helpful ask late check - out ( 1 pm ) , happy oblige : ) overall , centrally locate hotel . across street BART take directly SFO . Union Square 10 minute walk . not take cab entire time city . either take cable car , walk . great ! Palace Hotel nice hotel , would not expect amenity 4 star hotel . lack somewhat . 
 Aug 17 2008 	 great stay ; bring earplug 	 ' ve stay twice , happy time . review recent stay . check - in easy we ( Starwood preferred line ) ; tired frustrated - look guest ( lot family ) wait lobby . Saturday afternoon , big day check - in , two front desk agent ( one Starwood guest ) .Our room ready ( upgrade ) . get Junior Suite , large comfortable . bathrobe miss , housekeeping bring promptly call . lots amenity bathroom ( ' m sucker kind thing ) , include bath salt . nice touch . the hotel nice old - building feel ( heavy wooden door original hardware , etc . ) , nicely keep good condition . I see lot family . anniversary , would like quieter place . toddler room next we start cry 7:00 a.m. Sunday morning not stop 30 minute ( time ) . adult start argue loud voice finally bang wall -- nearly broke knuckle ! thick , plaster wall , not know noise travel well , . family , proximity Market Street , recommend earplug . very convenient BART ( Montgomery Street Station ) . save cost parking , taxi , etc . little research www.bart.gov figure want go -- be pretty convenient . we opt room service instead famous Sunday buffet . expensive , still less brunch , lot less waste food ( mention convenience ) .The lobby pretty small , usually full tired people wait check . would nice place hang , not want go room . the indoor pool really nice skylight . not go visit figure would full kid . I would stay , probably romantic anniversary . 
 Aug 15 2008 	 Beautiful Elegant Bring Plenty $ $ $ 	 Palace beautiful old hotel Market Street . build one survive earthquake fire touch period see modern hotel : high ceiling , crown moulding , wide hallway large wooden door , large room , gorgeous ornate dining room glass ceiling . room clean comfortable . service crisp . hotel centrally locate within 10 minute walk Embarcadero , Union Square , etc . having say , hotel restaurant expensive . park nearly $ 50 night , local San Francisco taxis add substantial amount bill . 
 Aug 15 2008 	 Beautiful Old Hotel good experience 	 stay Palace long weekend . Hotel come almost exactly review sight state . old hotel ornate feel classy old hotel . do nice job try upgrade room much possible ( flat screen tv new bathroom fixture ) buidle still old . room failry small . cramp also much extra room . major problem sound . wall thin sound move throught hall . door close hall hear loud bang . also hear neighbor conversation pretty clearly . outside room like noise Market Street also pretty substantial . light sleeper hotel may . experience nice . staff wonderful . room service little slow food good server extremmelly nice . location good may little uncomfortable someone use city living . drink eat pie Piper bar downstairs good . overall nice stay get good price room not mind noise . 
 Aug 13 2008 	 Nice completely lack ambience soul 	 easily reach BART Airport , station practically hotel - save $ 50 + cab fare - $ 140 town car charge hotel concierge give transport option . I book reasonable rate online five night , though still cheap find ' Starwood point ' would not credit first ' niggle ' stay . pay average nearly $ 300 per night not expect encourage customer loyalty . however recognise entitlement ' late checkout ' 2pm . the room well appoint reasonable size - though view . 4th floor - bit racetrack gym - overall could complaint room . what hotel lack ' soul ' . grand nature building lend great experience - yet ' cold ' attitude staff ' rail station ' like ambience public area result feel hotel care . simple example lock Market Street entrance night - undoubtedly ' security ' rationale - mean inconvenience actually stay hotel walk round block ! hotel premier location elegant architecture facility deperately need customer service overhaul reminder staff ' smile ' common courtesy cost nothing reward much . as footnote , flight cancellation last day , leave amend departure SF Taiwan 2 am - hence request late checkout 10 pm - assume would cost charge - maybe naively think would ' half - day ' charge platinum customer - 2 pm charge $ 320 checkout time - discussion , apology - pay leave . leave , disgruntled , annoyed enjoy perfect stay could perfect hotel . 
 Aug 7 2008 	 Bring earplug 	 ` event director meeting planner stay hotel least 150 night year . stay hotel week July business additional purpose assess hotel future corporate function . hotel staff make aware potential future business would receive special treatment . I tell upgrade due starwood status . room king bed little floor space . room also old , musty smell . furnishing nice keep hotel ` charm flat panel television nice addition . bathroom functional . wall thin , though , could hear phone conversation , television ( 4 a.m. ) alarm clock neighboring room . ask front desk could change room hotel full . mention problem front desk clerk check respond request inside room next time . the concierge , bell housekeeping staff associate exceptional . impressed front desk staff . 
 Aug 6 2008 	 Gorgeous hotel bargin rate 	 hotel stunningly beautiful service fit king queen beautiful pool state art gym . fabulous breakfast buffet , bar japanese restaurant . offer lovely tea interested . location Market Street right bus cable line easy exploration city , take cab , find cheap . price good part , though . ' ve stay Ritz Carlton , Palace nice . less expensive decent hotel name . be decent , be outstanding . quiet restful , need ' m last . be view not write - home , ' m , go hotel eat , sleep exercise . 's jumping point , wonderful location great class ! 
 Aug 5 2008 	 Old World charm ; good service ; clean little spartan room . 	 stay Palace Hotel San Francisco early August attend wedding . pleased see maintain Old World , european charm classiness , become outdated musty ( say SF 's old hotel ) . stay would read historic hotel , go back 1875 , gutte 1906 quake / fire restore regal elegance ; host celebrity world leader , even host gala celebrate creation United Nations . hotel appear fit description & quot ; grand dame & quot ; . concern , however , go stack luxury hotel & quot ; Luxury Collection & quot ; brand Starwood Hotels use top - tier hotel . visit positive . upon arrival , use Starwood Preferred Guest status upgrade room . since friend hotel , comparison room reveal upgrade room large sq . footage , additional furniture visible perk . room , like other , high ceiling ( plus claustrophobic ) european character . room face busy Market Street , room air conditioner able drown fairly well . furniture not include many place set thing , closet average . bathroom bit disappointment , not much counter space , below - average ventilation ( catastrophic , good ) , sink 's tap appear need upgrade something modern ( i.e . something would not spurt water everywhere ) . shower good . nice , large flat screen tv bedroom . breakfast buffet good ; pricey ( surprise ) , quality food good service attentive . overall hotel service good . highlight hotel lobby , particular exceptional Garden Room host breakfast , evening bar rent special event ( wedding reception ) . many tourist stop take photo . entire hotel benefit light color skylight bring surprising amount light building vintage . location important hotel , particularly one city tough parking issue San Francisco . aspect Palace Hotel well . able land SFO , hop BART ( subway ) get front hotel short order ( station directly front hotel ) . muni ( street car ) also stop right front hotel Market Street , block Moscone Convention Center , MOMA Union Square / Cable Cars . Financial District also close . definitely nothing complain here . the Palace Hotel average hotel adequate - but - not - outstanding room enough charm convenience carry satisfy . 
 Aug 5 2008 	 Nice Hotel 	 alot choice hotel first visit San Francisco bit overwhelmed decide husband stay . rate stumble upon $ 142 / night pre - pay special Palace Hotel 's website sell since place check $ 200- $ 250.we could not please choice ! read review thin wall noise come prepared ear plugs case need ( ' m light sleeper . ) could hear neighbor occasion although kind muffle never time want sleep never use ear plug . we room 8th floor - view since interior room nice street noise . room small side ( be old hotel update ) well appoint nice furniture , flat panel tv , comfy bed , etc . big deal . they free coffee apple available daily check - in area . we drink bar couple time - good service drink . the doorman great luggage direction look something particular . fact , everyone encounter ( front desk , etc . ) nice accommodate . tell celebrate anniversary check room plate chocolate cover strawberry lovely note manager start celebration right ! love item glass case along main corridor hotel back 1920 's ( old menu , photo , etc . ) location perfect - right across street BART , F Line Streetcar ( take Ferry Bldg Fisherman 's Wharf ) , number bus . go muni station purchase 3 day muni pass could use anything everything ( except BART ) pass . we would definitely stay Palace Hotel ! 
 Aug 4 2008 	 Great Hotel 	 stay 4 night 5th floor , do not view do not mind get good night sleep , bed comfy , room big . problem thin wall ! ! staff come contact nice helpful . the hotel close shop bus never far away anythingthe breakfast good $ 28 little price go once . stay ' m sure love like . 
 Aug 1 2008 	 Wonderful hotel 	 husband spend one night Palace , July 26th , part anniversary weekend . week plan hotel scarce . always comparison shop room come $ 250 range extra amenity . surprised find $ 179 AAA . call sure rate correct ! stay room 791 king bed . pay small room upgrade next size . room beautiful spacious . interior room , view . not care . street noise night , sleep like baby , rare hotel . always adjust room temp , reason , comfortable , never change . bathroom large wonderful pressure shower . , leave thing home , shampoo , hairdryer , etc . product fine one night . read wall paper thin , kind brace one neighbor return room next door 9:30 pm . laughed talk , easy hear . 9:40 , noise . stay way rest night . drink bar . one glass wine bourbon rock around $ 13 plus tip . breakfast Sunday morning , $ 28 per person . be bit much , plenty choice , go back second . brunch start soon . much expensive , need spend much money ! plus , room like dining queen ! Dinner Saturday night Daily Grill Geary , past Macy 's . great place , mostly tourist , ' ve eat food good every time . friendly wait staff bonus . one favorite part stay go swim 7 Sunday morning . pool 4th floor glass dome . other come go , relax swim hour . hot tub closed maintenance . not like use public hot tub , great loss . gym busy 7 . would say least 7 8 time leave pool . pool traditional chlorination . use saltwater pool , smell bit strong water ste eye . one hour not big deal . park behind hotel Hearst Parking Center . address 45 Third Street . rate $ 20 24 hour . 's great price , hotel charge $ 48 . one important fact consider . garage use open 24 hour . sunday , open 10 10 . early , not park , will never get ! none rest week 24 hour , either , want check time . $ 28 saving hotel parking basically pay one breakfast . chance , go De Young Museum Golden Gate Park see Chihuly Glass Exhibit . end September , be magnificent ! bring camera , can not use flash . Nikon work fine without flash , third picture blurry . pretty steady hand usually , happy rest pic . also walk Conservatory Flowers park . wonderful , humid inside tropical plant . on Sunday , go & amp ; park watch Giants . parking $ 30 ! park one ferry building . Amici 's Pizza , across street park great East Coast pizza . , would stay Palace . price great San Francisco . feel relaxed , stuffiness staff perfect location Union Square . take daughter December ( almost ) annual window shopping trip . love ! 
 Jul 31 2008 	 handy location 	 Palace hotel nice hotel . lobby impressive , check - in go smoothly . room decent size traditional decor view really disappointing . room look onto 2 brick wall shame first time San Francisco . arrive airport BART hotel could not handy . well place shop , tram , ferry building , union square , etc . the wall thin review say though .. not sleep well 3 night Palace ; people room next door not talk particularly loudly talk til 2 am tv on . the pool area look nice , although not use happy sight - seeing . 
 Jul 21 2008 	 solid 4.5 thin wall 	 wife stay Palace three night , drive rental car Santa Cruz . book room Hotwire get great deal -- huge room king bed 150 dollar night plus tax . lobby first floor hotel remarkably beautiful , room nicely appoint term linen , towel , furniture , etc . beautiful vintage solid brass hardware door room , monogramme , etc . nice . demand much staff experience fine , use beautiful pool , much regret . other comment thin wall true -- weird hotel caliber . bring earplug sleep pillow head guy next room cough . couple thing know : charge internet room ( still ! ) free wi - fi lobby . small biz computer lobby print boarding pass e - mail . otherwise check e - mail business center cost 5 . 25 min . charge ( please ) . hotel middle biz district night time dead , three block away Union Square , opposite direction Embarcadero . well location imho Nob Hill etc . . coffee a.m. supply lobby fine . check bar restaurant many within walking distance . less block right exit hotel Starbucks need latte ( ) . parking hotel 50 buck per night ( highway robbery ) tell right around corner block two garage park 20 dollar night -- fine big city plenty convenient . easy walking distance ( 2 block ) SFMoMa ( museum jewish Contemporary ) Yerba Buena Arts Center . sure grab dinner Slanted Door Ferry Bldg . Embarcadero . walk ( make rez online , early ) . would stay ? sure , keep mind thin wall problem . everything else 4.5 book . 
 Jul 15 2008 	 not Trust Palace Honor Reservation -- even Gold Starwood Member 	 book ahead American Express travel . hotel advise arrive oversell -- large expect number guest leave expect . upshot able stay hotel reserve . Hotel send nearby St. Regis , Starwood 's luxury brand whose room nowhere near charming Palace . agitated midnight ( seven - hour flight JFK ) room not ready , sleepless night St. Regis -- window could open , annoying remote electronic control device glow brightly night , AC blow right bed , room lack iron / ironing board , toilet run night , privacy deadbolt would not engage . go back Palace breakfast , room still ready 10 a.m. morning change clothe hotel 's bathroom . recommendation Palace : -- oversell , call customer alert situation not show get disappoint -- send someone another hotel oversell Palace , make sure new hotel accommodate guest his / her entire stay ( guest inconvenience repack return Palace ) -- room cleaner come early morning re - routed guest come back check . sure room vacate early leaver could clean 10 a.m. -- Delight bump ample Starwood point , dinner hotel restaurant , , understand management apologetic . ( nothing offer ask ) despite use Starwood Preferred Guest American Express card , book room Amex Travel , Starwood Gold member year , Palace really let down . I swimmer use Palace lap pool many year . ' m hunt new SF pool hotel . 
 Jul 11 2008 	 Fabulous - Great Value 	 Palace even beautitul picture capture service fabulous . tour San Fran , concierge helpful ; first stop every morning . room little small , go interior deluxe room instead exterior view 's bit roomy ( course go even big price ... ) coffee pot room , take quick ride elevator free coffee reservation desk . not miss Sunday Jazz Brunch ! food ( champagne ) fantastic ~ stay 3 hour ! hotel location perfect , muni right outside door . little trouble get cab hotel , leave extra time . visit several hotel consider within price range certain make right choice Palace . 
 Jul 10 2008 	 Top Notch Hotel Great Service 	 stay Palace Hotel 4th July Weekend pleasant experience . people say review , hotel classy elegant feel . lobby nice . garden court beautiful . room spacious great high ceiling big flat screen tv . bad thing room wall pretty thin . could hear people talk next room . not loud enough keep awake night . hotel also within walk distance union square 's close shop restaurant . hotel step away public transportation bart , trolley , bus , etc . be close major tourist attraction fisherman 's wharf , golden gate bridge , lombard st . , etc . rent car fine . good part hotel opinion staff . everyone friendly helpful . bellman valet would always greet ask need anything water direction . example , whenever wait car valet , soon take map , staff member would come right away ask need help direction . front desk also great . clean staff friendly . concierge helpful . be look fun , hip hotel place . elegant , classy , refined hotel great service . would hesitate come back . 
 Jul 8 2008 	 love ! 	 hotel total old school charm modern amenity , like flat panel TV & amp ; update washroom . it walk distance many great thing , ie . fisherman 's wharf , chinatown , little italy , saturday ferry market . no complaint , especially price pay , $ 120 / night . 
