hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 May 8 2009 	 wonderful boutique hotel fabulous service 	 Service : friendly , attentive service ' ve see class hotel / innrooms : ( king ) gorgeous comfortablevalue : excellent , although level include bottle two water per night current rate ( courtesy pantry great water not easily available ) ... big issue , minor detail though surprising seem think everything else ! cleanliness : perfect except unmistakable odor cigarette smoke use AC / heat ( spouse notice executive lounge ) - front desk staff not seem notice odor bring attention ( smoker vip guest around ? ) resolve leave window open- book reservation last minute room possibly & quot ; least popular & quot ; ; even , lovely room adjacent lounge , convenient & amp ; still quiet 
 May 7 2009 	 make feel like home 	 wife stay last two night 2 week Europe vacation Hotel 41 ... great experience . walk entrance 41 Buckingham Palace Road ' like enter someone ' private residence … you drop bag everything take care . room well appoint spotless . staff go way make sure every single need take care of … there nothing small . honestly say ' think stay anywhere every staff member encounter truly care experience want anything could make stay enjoyable worry free . great job Andrew staff ! definitely back . 
 May 5 2009 	 could not feel home 	 always prefer small hotel one really fit bill . can not say enough staff Hotel 41 . even come long day work bit cranky , take care every need - with pleasure smile . the hotel lovely - and executive lounge PERFECT spot bite eat , glass wine unwind witha book end day . room little small - as often case London , every amenity . the location allow early morning walk palace green park . if want middle ' action ' hotel you- business travel -or romance- can not beat . 
 Apr 28 2009 	 good stay ever ! ! ! 	 firend book 3- night stay Hotel 41 . experience truely awesome . decor great , staff nice helpful . memorable stay @ hotel 41 would definitely receommend freind stay expereience difference .... 
 Apr 25 2009 	 special 	 book week end Hotel 41 propose girlfriend . read comments hotel Tripadvisor ( thank previous guest helpful comment ) think ideal place not disappoint . good location beautiful , set Hotel 41 apart standard service receive wonderful staff . nothing much trouble deliver excellent level service efficient yet unobtrusive manner . romantic week end planning recommend give staff call discuss requirement listen suggestion . will not disappoint . particularly recommend ' romantic turndown ' ! ! not cringe guy , lady life love . finally fiancee 's perspective , perfect experience moment walk door time leave . PS say ' of course ! ! ' 
 Apr 22 2009 	 fantastic experience 41 . 	 really enjoy stay 41 . select 41 location , easy walk sight tube , quick taxi theatre restaurant want check . room bright , comfortable well appoint . staff 41 work extremely hard make sure entire stay delight ! 
 Apr 18 2009 	 small 	 Hotel 41 live 's reputation service . entrance discrete enter different world step street . mile away faceless chain hotel often number . staff friendly approachable nothing much trouble . greet glass champagne check bag take room . quickly grow accustomed little extra provide . room immaculate well appoint . bed comfortable . bathrobe well dress gown together slipper great cookie pillow candle bathroom night nice touch . breakfast good hot dish cook order good selection fruit , yoghurt , bread cereal . complimentary soft drink , snack chocolate available throughout day . evening small ice bucket olive lemon slice place room . the downside size room size bathroom . little small really comfortable . keep bump get ready go bathroom small allow two people . big problem large desk chair large wooden foot keep stub toe pass ! would nice two comfy chair relax end day not room . we would return hotel location peace quiet provide together excellant service , would want get large room next time . 
 Apr 18 2009 	 4 ( 1 ) season ! 	 simple : receive kind service 4 season , Peninsula , Mandarin oriental hotel category could taste . breakfast excellent , room relaly cosy , location convenient . top people ! well train ready offer well meet much expectation . would definitely recommend hotel ! 
 Apr 8 2009 	 little palace 	 good hotel ' ve ever . soon open door , step palace . room spacious , comfortable bed , ceiling little bit low , 's problem , make even cosy . bathroom perfect . the lounge good place stay hotel . day shopping staff pamper . food perfect , also sit read book comfortable sofa good glass wine . you also order roomservice , wich perfect , eat lounge even well . Andrew rest staff really friendly hotel staff ' ve ever meet , question much . it be cheap , really worth ! ! 
 Mar 24 2009 	 deserve # 1 	 return 5 night stay Hotel 41 everything top notch exceed expectation . staff really cater every need , atmosphere executive lounge make feel like home . arrive , 7:30 a.m. concerned would stick tour around London overnight flight clothe without chance freshen . fear soon go greet we hotel coffee , tea danish room available immediately . staff always greet we return hotel tourne extremely helpful restaurant suggestion site see idea . become particularly fond manager Andrew Antoinette make stay extra special . good come back shopping spree Harrods young girl staff clamor around 12 year old daughter see purchase , make feel special . location really ideal walk major attraction good restaurant . hotel quiet , really hide gem , none taxi driver know tell go ruben downstair part hotel . absolutely true always snack drink available , complimentary . breakfast hor doevre afternoon good restaurant Hotel call Library . staff really go way we much appreciated . would highly recommend hotel say alot always easy please ! ! 
 Mar 23 2009 	 Special 	 husband return weekend Hotel 41 . excellent . make feel welcome time arrive leave . ' normal ' 5 * hotel . enter small pleasant corridor , lift take 5th Floor Hotel 41 situate . walk past bedroom reach relax well furnished lounge area , essentially heart hotel . everything , welcome time - paper , food , bar , tv - helpful staff without ' attitude ' . interior decor superb , food good without doubt staff make hotel - brilliant . thing let hotel slightly housekeeping service , cause we wait room couple occasion - staff deal effectively - ply we champagne wait , really problem ! look forward next visit . 
 Mar 21 2009 	 beyond expectation 	 place everything would expect ! purchase trip Luxury Link . five night executive king room , breakfast , champagne , dinner one night tea one afternoon . incredible value level service . first room . pleasantly surprised reading review mention small size . roomy ( # 17 ) , bed area leave entrance bath hall right . hotel stay . bed comfortable really like turndown service , music play bottled water bed . first class . package include continental breakfast amazing variety ! partial yogurt parfait , meat , cheese , bread , pastry , cereal , fruit ..... something please everyone ! service hotel top notch . every time enter lounge , someone greet we ask need anything . never wait serve drink anything else . knowledgable helpful staff . tea serve next door Palace Lounge Rubens . ask could instead lounge 41 . ( love much , not want go anywhere else ! ) happy oblige intimate cozy . dinner come package 3 course dinner Library next door . regular menu , small one ( prix fix ) limit choice . ok , really good ( husband 's fish good ) . , , service wonderful restaurant lovely . complimentary snack day & quot ; plunder pantry & quot ; nice available later evening . , nice variety meat , cheese , fruit bread . go hungry ! location hotel beat . able walk everywhere wish go great pub across street . lucky not rain day leave . hotel 5 minute walk Victoria station convienent . would recommend hotel everyone wish enjoy truly luxurious vacation ! ! 
 Mar 18 2009 	 hotel award nothing- good hotel yet London 	 Richard recently stay Hotel 41 2 night stay follow research Trip Advisor . trip Advisor Best Hotel Award 2008 well deserve . from arrival lobby staff make feel special welcoming without gush . entrance impressive- strike black & amp ; white theme dominate room ( go tour view selection room ) , -everywhere clean keep excellent standard . you escort hotel 5 floor lift lobby delightful lounge breakfast snack plus bar . touch ' honesty ' book serve drink lovely- chance bar man ask first . must commend staff care we stay- Kinga , Monika PJ particular - could remember names- job enhance stay perfection . breakfast delightful - much choice- usual cereal , fruit , yoghurt , pastry , different bread etc etc staff bring hot food cook order . Eggs Benedict die ! come Hotel 41- will not disappoint . if could fault choose small room -and cheapest would worth upgrade size large considerably big . quite enough room we ! 
 Mar 17 2009 	 absolutely amazing ! 	 stay girlfirend fiance ( weekend hotel ) admit hotel fantastic moment arrival leave staff , location quality hotel could make weekend special . I opt romantic offer advertised website , do not want give anything away recommend anyone want make stay extra special . extremely romantic personal . hotel whatever whenever policy belive true , anything ask never big small quality service truly 1st class . the executive lounge beautiful seclude outside world central london . difficult believe 100 metre Buckingham Palace . I recommend hotel anyone definately stay ! thank people 41 really make dream happen ! ! 
 Mar 16 2009 	 top draw 	 March 2009 wife spend weekend 41 delighted recommend experience traveler . service courtesy staff outstanding cosseted spoilt whole stay . room although little small side sumptuously furnish lot little complimentary item feel special . complaint like many London Hotels £ 25 charge breakfast . 
 Mar 15 2009 	 Excellent every way - hide gem 	 moment arrive expectation exceed - pretty high expectation ! staff friendly attentive , phrase & quot ; nothing much trouble & quot ; apply . bag whisk away room take seat lovely comfortable Executive Lounge , look like library country house , offer coffee even champagne whilst paper work complete . room spotless , crisp bed linen , beautiful soft feather pillow ( pillow menu ! ) lot towel choice bathrobe . 5 pm ice bucket , lemon lime slice bowl olive deliver room - prefer take offer complimentary canape lounge . not forget Plunder Pantry late night return hotel - lovely complimentary snack lounge . many thing mention remain lovely surprise we . expensive hotel would usually choose , feel worth every penny . 
 Mar 14 2009 	 Superb hotel great location 	 must admit travel lot UK stay many hotel . first week January stay unknown ( time ) hotel 41 ... first impression not good must say ... small lobby narrow corridor ... bring room absolutely love ! first spotless . mean - spotless . iPod dock forgot bring iPod charger high class tv system - love ! bed comfortable . linen spotless fresh . turn service cherry cream . beautifully arrange bed soft music play radio , weather card dim light ... perfect ! try stay hotel twice taste different style might break rule ! 
 Mar 6 2009 	 elegant yet comfortable staff exceed expectation ! 	 opportunity visit London last week 2nd time 6 month . choice accommodation , hotel 41 . Hands Hotel 41 offer BEST Hotel experience . the Hotel really quite lovely black white motif . clean crisp w/o feel stuffy . room 2 story suite fireplace , cozy king bed , huge tub wonderful bath accessory , candle light evening ... romantic.the staff Hotel 41 outstanding occassion ... always sense need take care we without hesistation question . example ... every evening @ 6 pm canape serve . husband would partake cocktail along delectible prior go dinner . one evening , run late send husband glass wine . upon return knock door staff member delivering canape . ask husband request respond . ( wow , thoughtful touch part staff ! ) one morning wake think mild case stomach flu ( okay , little mild ... ) . sleep morning get dress trudge London . keep mind eat since night . upon return room ask slice bread , hope calm stomach could perhaps eat dinner point . within moment request basket assortment bread fresh fruit deliver room . ( nice ) food ... continental Breakfast every morning wow ! lot fresh fruit , meat , cheese , yogurt , assortment juice , pasterie number cereal option . canape outstanding would hate forget raid Butler 's Pantry every evening ( yes be include ) .I know ramble ... feel imperative express opinion outstanding stay Hotel 41 . beautiful accommodation , exceptional service food Hotel stay visit London . want go home ! oops , Forgot mention location ... big plus ! hotel within minute walk distance Victoria Station , Theaters , St. James Park stay street Queen ! great restaurant fabulous Wine Bars locate nearby . hotel 41 personal FAVORITE Hotel London . would even consider stay anywhere else . yes , return ! ! ! 
 Mar 6 2009 	 something little different 	 discreet location , tremendous staff , wonderfully appoint room ( good surprise - try bath shower ! ) lounge want make home . be next time will stay one night . conceirge manage acquire pair theatre ticket short notice ( good seat value .. mean good ) recommend restaurant need . disappointing aspect length time London 41 , will rectify April ! memorable experience . 
 Mar 3 2009 	 Great Hotel great location 	 hotel nice comfortable . location great , service wonderful . everyone gracious helpful . first class without stuffiness sometimes find nice hotel . 
 Feb 27 2009 	 Favorite London Hotel 	 41 good hotel think ' ve ever stay . 's boutique hotel Buckingham Palace Rd . next Rueben 's Hotel , suspect part Red Carnation chain although can not say certain . every single thing stay marvelous . not think ' ve ever stay hotel unable complain thing . bed comfortable , bathroom fully equip , eveb fireplace split level suite assign . breakfast spread small perfectly prepared fresh . perhaps jarring point firedoor opposite bed , door without visible lock . ( anyone could get , single female traveller , give pause . ) will definitely go back . 
 Feb 26 2009 	 Perfect Hotel London visit 	 husband stay hotel . arrival warmly greet escort room . find staff polite helpful throughout . room well proportion tastefully decorate . hotel deserve good recommendation hope stay Easter . nothing fault . perfect small hotel visit sight London . 
 Feb 26 2009 	 Parts Excellent other vary 	 check experience exactly another reviewer mention , odd . room nice , good size , excellent touch like hot water bottle , flower etc . however room 4105 hidden boiler noisy night beware ! ! ! ! ! viste BBar first night , wish go else , Ostrich like shoe leather , take long cook another closing around we make we feel unwelcome . final morning eat breakfast Exec Lounge , find datr food buffet eat , wihtout much way appology , something expect level . probably suggest go elsewhere . 
 Feb 23 2009 	 's hotel lobby ? 	 boyfriend quite surprised disappointed upon arrival . hotel lobby relax wait room first room show we claustrophobic . entire welcoming process odd . take we executive lounge check , feel old gentleman 's club - like , enclose . hotel worth price opinion , ' m sure qualify many star . less stay one Aldwych Soho Hotel beautiful lobby , health club Aldwych even pool . somehow make unfortunate mistake choose 41 . many nice hotel London . 
 Feb 23 2009 	 simply amazing 	 astonishing hotel . can not praise highly enough . service really wonderful , also sincere friendly - really get impression everyone genuinely want make stay wonderful ( succeed ! ) . room comfortable , little small . last night , move category would recommend really make difference . & quot ; Plunder Pantry & quot ; great - really nice able come snack - lounge really comfortable private - feeling . location hotel also excellent , close Victoria Station also right next St James 's Park . got & quot ; romantic turndown & quot ; one night beautifully do , petal , candle , red rise even bottle massage oil ! bottle Veuve Clicquot ice bucket . get opportunity , go hotel ! 's romantic ideal special weekend away . 
 Feb 22 2009 	 brilliant 	 get home hotel worth stay staff spot , downside food , five star quality london eat elsewhere , do not let put , 
 Feb 20 2009 	 Perfect Engagement Location ! 	 partner pleasure stay hotel 41 january 2009 . unknown , boyfriend planning propose quite frankly , could'nt pick romantic hotel . upon arrive hotel , greet warm welcome intantly strike luxurious hotel . luggage take room offer complimentary drink snack hotel bar . book room finace pre book romance package , well worth money . upon enter dimly light room , music play candle rise pettle fill room champagne ice . include £ 70 package . hotel staff eager help happily explain bar actually ' honesty bar ' rely guest writting drink book bar . must admitt , exitement getting engage , measure gin may little miscalculate ! return room one many gin accidentally spilt content ice bucket onto new dress . immediately call room service , take dress away return clean dry within 20 minute . room : room self beautiful , spotless decorate fairly modern black white decor . although room cost £ 500 night would expect fair bit big . ( double bed , bedside table dress table furnature could fit room ) choose downside hotel 41 would room service . fiance lay back people rarely complian standard room service poor . food order small overcooked would poor quality despite . however , detract much enjoy stay . checkout : checkout time hotel 12 pm although staff happy extend checkout 3 4 pm would like . want shopping , hotel happily hold onto bag unitll evening come collect they . in general hotel far good ' ve stay . effort put create romantic atmosphere finace propose unforgetable . staff could enough . although , guest look large room , thatn hotel 41 . would definately return hotel 41 recommend friend family already . beautiful ! Charlotte - Birmingham 
 Feb 17 2009 	 Best stay city 	 follow comment , must say stay Hotel 41 perfect . staff wonderful helpful , nice attentionate . St Valentine everything make let we cosy romantic stay . room fireplace perfect , bathroom beautiful feel privilige hotel . 
 Feb 16 2009 	 Loved every bit hotel . 	 stay partner two night Hotel 41 Valentine 's day truly amazing time . visit surprise partner choose hotel base review tripadvisor site . define element review capture attention great staff attention detail . moment enter know hotel would exceed expectation . check offer glass champagne could drink leisure nice comfortable lobby . enter room plate fresh fruit wait we , nice detail . also love complementary snack available day , make hotel feel even like home . upgrade junior suite enjoy room much . bed big comfortable . downstair part fireplace nice sit complementary morning news paper . bathroom spacious waterpower strong ever . everything think detail . love stay room watch dvd ' could get reception . Friday night return dinner find room emerge candle light bottle champagne wait one favourite cd ' playing ( romantic turndown ) . make room even nice . service hotel truly good none . beginning use whatever / whenever button quite frequently staff always respond quickly friendly request question . nothing ever seem problem . little detail call name make lot difference stay hotel . service breakfast also really nice . truly feel staff happy help whatever would like eat drink . travel frequently often stay good hotel , use certain level service . however , hotel really completely different standard way treat staff . truly feel like home away home . keep repeat partner happy hotel fully agree . especially look hotel spend romantic weekend London , place go . disappointed . 
 Feb 13 2009 	 Hotel 41 provide outstanding stay ... 	 hotel 41incredible friendly staff warm welcome first introduction . great service never stone unturned get we need . I feel like come home versus hotel room .. love library , fire sitting end day unwind become favorite Pinor noir- Galpin Peak . I can not wait go back .. good allSandy 
 Feb 9 2009 	 great hotel air conditioning ? 	 wife great 3 night stay hotel . it go bed first night major problem emerge . having switch air - conditioning room could hear constant machine noise outside . offer complimentary upgrade executive suite front hotel accept . suspect machine noise come external unit hotel 's air conditioning . this not first time ' ve issue type noise hotel . ironically , room move front hotel sufficiently well insulate prevent traffic noise issue . not know hotel would handle complaint full . issue cost breakfast . good thought price high . incongruous pay breakfast evening complimentary snack , include bread , meat , cheese , etc lay . not let foregoing put . hotel excellent endorse compliment find review . failing type ' ve find similarly expensive hotel . somebody find way silence air conditioning unit ? 
 Feb 7 2009 	 one good hotel world ? think ! 	 quick review will end write page . 41 quite unique worthy excellent score . goal mine stay time achieve can not wait go back ! outstanding room , lounge building . make 41 special amazing staff . fulfil guest unexpressed wish ( along express one ) seem speciality . plus good gin tonic ever ! 
 Feb 6 2009 	 Magic Bell 	 return back Asia business girlfriend meet airport . surprise driver Merc meet whisk 41 . never hear place ! fantastic , discreet entrance lead incredible luxury . think sumptious town house , antique , modern gadet . room superb black & amp ; white tile bathroom - think old school mix modern . since look another holiday break pet Jack Russell . stumble across fact pet friendly aswell , via www.maps4pets.com notice hotel pet friendly also . ( show dog , 's good news ) . magic bell ? bell bedside table notice say : & quot ; anything , Anytime . & quot ; cool ? want find result horserace , phone back answer almost straight away . 
 Feb 5 2009 	 Little Gem 	 little simple door set pavement , leads describe , perfect heavenly cocoon . realy come across kind standard UK , normally associate Far East .. everyone seem mention staff , confirm absolutely fantastic , take real sincere care requirement need . pleasure see young vibrant team work high standard . worth go meet staff . the hotel without question meet requirement ease seem simple . we stay London long weekend 3 time year , stay , could imagine stay anywere else . it little pricey trust us realy worth little extra . thankyou everyone . fab time . 
 Feb 3 2009 	 Lived Reviews 	 great hotel relaxation luxury . staff truly try make stay good , nothing much trouble . real culture amongst staff try make everything great . although cheap get good deal internet site include breakfast day VAT . choose 3 course meal hotel next door , Rubens , inclusive option excellent . actually make stay London reasonably price top class luxury receive . the food really lovely cut hotel . area good easy shop close outstanding site London . convenient tube . 
 Jan 30 2009 	 almost Perfect every way 	 sister stay 5 night 41 celebrate 60th Birthday week show January . Andrew run superb operation . assume Red Carnation Group know jewel . other note , service superlative – the staff take care every detail , always friendly unobtrusive manner . although neither room bathroom large ( last London stay Royal Horseguards -- , curiously room also black white motif -- Horseguards ' room probably twice size 41room ) , 41executive lounge ( literally step away room ) become part vacation experience . miss Anna ( wonderful ) serve tea afternoon . ' remember anyone comment quality food , match standard set 41 service . one evening mango salad fresh mint , mint taste Andrew pick hour ago garden . it special place . 
 Jan 15 2009 	 perfect hotel experience ... far exceed expectation 	 husband spend wonderful 5 night special hotel last week November 2008 . unsure expect completely delighted every experience Hotel 41.The staff well encounter 30 year International Travel . effecient , unobtrusive , professional friendly time always . nothing problem felt always go extra mile make sure ok . would always greet we smile enquiry day . check , exhausted long flight Sydney , greet we comfortable chair glass champagne magnificient reception room make sure whole check - in process simple , efficient quick . fact like stay grand luxurious yet understate private home walk beautiful room greet spotlessly clean , elegant , comfortable room . typical hotel room anyway , one , black white theme comfort special touch home away home . every detail take care , fluffy towel , hot water bottle , comfortable , clean bed mattress linen ever experience , clean carpet , olive lemon room complimenary water every night . it simply difficult write wonderful feature Hotel 41 , need experience . Andrew team well , please keep good work . thank make stay Londen ( 6th ) perfect . 
 Jan 13 2009 	 Great Hotel Great Service 	 Hotel 41 get it . the facility first class . room great . location easy . the service well . staff go way help . next trip London 41 . 
 Jan 5 2009 	 Superb Hotel - Great Staff 	 superb , wonderful hotel be . I write review hotel Spain .... bad one . however Hotel 41 excellent , relaxed personal check , politeness staff ( say thank would always reply & quot ; pleasure & quot ; ) UK unheard ! London man find great hotel back yard heartening . usually level service see Middle East Asia rarely Europe . yes little expensive night two special occasion good could find London opinion . thank staff make great start New Year .... give we night without kid could really enjoy ! ! 
 Dec 31 2008 	 home away home 	 stay hotel frequently normally one write hotel review 13 year old son stay 41 Christmas 2008 could not happy . treat like family day one every request make respond quickly smile . staff absolutely lovely , go way accommodate wish really seem enjoy make we feel ' at home ' . decor elegant lovely able ' light fire ' room cold day . little touch like local SIM card ready we ( request ) son 's favourite magazine along iPod , Wii , dvd etc room unexpected . definitely back ! ! thank Andrew wonderful team ... 
 Dec 30 2008 	 great place ! 	 friendly service orient staff . relaxed way check - in sit comfortable arm chair unique . need hurry all . the room nice comfortable , even gas fire place ! & quot ; must stay & quot ; hotel visit London . staff truely go last mile make stay unforgettable ! highly recommendable ! 
 Dec 29 2008 	 delighful Christmas Break 	 book one - night stay hubby Hotel 41 strength superlative review receive via TripAdvisor hope high expectation would not dash . luckily expectation exceed ! service receive second none . genuinely delight treat friendly , accommodate special manner without slight whiff stuffiness snootiness wonderful member staff . like stay old friend . go rather indifferent dinner Knightsbridge could not wait come ' home ' 41 . make good use lounge facility , include excellent ' plunder pantry ' ! find little extra touch make experience cherish : ice tray olive slice lemon room pre - dinner aperitif , toasty hot water bottle bottom bed delight discover upon turn night . pay extra romantic turndown fancy champagne anyway joy come back room candle rise petal adorn every surface . as book Expedia , room rate include afternoon tea full english breakfast , make weekend break seem rather good value luxury experience . room particularly large ' m glad go Executive King . every inch hotel decorate beautifully classic , timeless style would suit taste . lounge especially sumptious welcoming . if picky , would mention fireplace room not seem work request someone look go unanswered . tv awkward angle watch bed picture dark button adjust brightness . location not bad like walk ( ) head towards Victoria station area become rather seedy . however , none issue mar experience way . we seem ' local ' stay hotel guest encounter European American . feel proud visitor would leave London wonderful impression accommodation capital offer . , would not hesitate recommend hotel would dearly love return near future . 
 Dec 12 2008 	 can not wait go back 	 41 someplace everyone experience . extremely attentive staff take care every need . look forward come back hotel every evening . exquisite ambiance make even lovely people work there . we defintely stay every trip London . 
 Dec 12 2008 	 warm professional experience 	 husband stay 41 Hotel London four night enjoy wonderful experience . usually stay Capital hear many positive attribute 41 want change . aesthetic encompass overall hotel design culinary skill admirable . hotel staff definately usual superficial standard large hotel , stature Relais & amp ; Chateau style affiliation . warm , hard work knowledgeable , professionally train beyond come expect nowadays . many nice touch evening , ice small tray olive , lemon / lime slice leave room case would like prepare drink . turn service , float candle light bathroom along soft jazz playing , fire turn small gas fireplace light dim ... mention fantastic bed plush linen . the potential drawback gorgeous small public area provide privacy . also , & quot ; plunder pantry & quot ; idea nice one , however somewhat confusing . clientele upscale relaxed , we perplex ( embarassed ask ) set general . hotel food price high item & quot ; pantry & quot ; include water , soft drink like gratis standard concierge space . management would smart rethink slightly cheapen overall 5 star service . small important factor . 
 Dec 8 2008 	 wonderful place 	 return weekend hotel . stay many hotel visit London , get favourite . it peaceful place relax spend quality time family friend . the staff great . breakfast delicious attention detail first class . 
 Dec 7 2008 	 simply perfect ! 	 spend 4 night hotel say perfect ! beautiful comfortable room , kind professional staff , good atmosphere middle Lindon . like peaceful island sea . recommend everybody really like good place . ( Antoinette , thank kind help trouble ! ) Mónika Hungary 
 Nov 27 2008 	 Hidden Gem 	 Trust ................. hotel absolutely wonderful . mainly job ( rather wallet ! ! ) , well travel look , honestly say 41 Hotel good . wonderful , caring staff - not get insincere & quot ; face & quot ; bow scrape often associate 5 Star Hotels . without exception , guy genuinely eager please appear really enjoy work environment take great pride hotel facility offer . also discreet , always around need treat wife privilege guest moment arrive . drink house check nice touch welcome 2 hour journey South Coast . the room ultra clean ( ' m extremely fussy git ! ! ) turn service well worth pay . watch Billy Elliot Saturday matinee ( brilliant show way ) , eat La Famiglia Chelsea evening ( not bother go , be expensive over - rate ) , not hungry get back hotel , still could not resist free supper & quot ; honesty book & quot ; drink available every night Executive Lounge . truly superb experience credit crunch allow would want stay anywhere else future trip London . one tip may ................. go see La Clique Hippodrome Leicester Square . marvellous entertainment great venue finish great evening Joy King Lau chinese restaurant road Leicester Street . recommend chinese friend full chinese couple family Sunday night ( always good sign ) not disappoint . wife wonderful weekend - Billy Elliot La Famiglia Saturday follow London Duck tour ( brilliant ! ) , London Eye , La Clique Joy King Lau Sunday . thank mainly 41 Hotel , enough bonus point wife last lifetime ! can not wait go back . 
 Nov 25 2008 	 Wonderful staff 	 minute arrive service wonderful . whilst check , offer glass wine show room . big room stay ( Paris beat hand ) everything could possibly need . spotless comfortable ! within walking distance Buckingham Palace theatre nice stroll around look taxi . Victoria theatre five minute walk see Billy Elliot ..... Fantastic . stroll home afterwards nice cosy lounge nightcap ! : ) breakfast excellent ! need lunch stroll around sightseeing . almost feel like stayed felt welcome definitely stay ! ! ! 
 Nov 24 2008 	 special place 	 stay 41 Saturday night partner 's birthday treat . second time . could not choose better- service 2nd none . staff wonderful enough help make stay special . the room , whilst huge , beautifully decorate fit black white- stylish . room work fireplace make feel homely . the bathroom huge shower bath , another separate shower luxury toiletry smell gorgeous . we book romantic turndown return room find flicker candle , rise petal , fire blazing , massage oil champagne . Absolute bliss ! breakfast unbelievable , tasty load choice . orange juice freshly squeeze , coffee excellent . the location great , 3 min walk Victoria station front hotel , overlook Royal Mews . Buckingham Palace less 5 min walk road . we one problem night extractor fan room become faulty wake we make horrendous noise . contact reception within 20 min fix . offer glass champagine apology . 1 am decline , lovely offer . also another apology Antoinette morning . thing happen , understand , staff deal problem without fuss . so , summary , look somewhere special , place . cheap , worth money , certainly place go treat , even mean work overtime ! 
 Nov 24 2008 	 one fine hotel stay 	 enough superlative describe hotel . not think forget anything . I stay Carnation Hotels superb service 100 % ex Hotel Representative Travel Agent , ' m fussy use five star hotel - 41 6 star 
 Nov 10 2008 	 no1 Boutique Hotel London 	 start finish Hotel pleasure stay . arrival take lift check desk meet friendly warm staff . our room upgrade free charge split level suite , make ready arrive . pass time afternoon tea lounge , fire place accompany couple glass Champagne . once ready show room , wow factor every possible luxury . room clean plenty space include massive bed ensuite bathroom two shower . in lounge bar range complimentary drink snack well help honesty system want something strong . all great stay feel home home definately back new year celerbrate something else . 
 Nov 2 2008 	 indiviual attention 	 fifth floor boutique hotel attach Rueban Hotel well worth price . fine executive lounge , private elevator attentive staff offer great value London . hotel 's restaurant lounge offer quality food drink . return . 
 Nov 1 2008 	 poor service 5 star hotel 	 hotel many positive attribute find read review site . beautiful , refined atmosphere , excellent location . reason give Hotel 41 poor review service . check arrive back United States late July 2008 , wife realize leave behind pair short . call Hotel 41 staff two time e - mail three time . three separate occasion September early October , staff member e - mail wife short send mail London United States . short arrive early November . obviously , short send we even though three separate assurance make short would send . realize monumental , general , first class hotel rate excellent service ( addition well average amenity ) . please judge first class service . 
 Oct 28 2008 	 Extremely Attentive Staff 	 go Hotel 41 first two night Honeymoon fly . lovely stay , hotel everything would expect 5 star London Hotel . book Hotel Website , offer slightly well deal hotel book website . the building wonderful , entrance right next door Rubens Hotel – discrete entrance , quite easy miss , many cab driver know hotel , ask Rubens … the receptionist give extremely warm welcome even champagne arrival – nice touch begin honeymoon , also arrange candle rise petal room upon return dinner – fabulous ! overall staff extremely attentive nothing much trouble they … just minor niggle … . learn need put Disturb sign door , otherwise interrupt evening – electronic disturb sign appear work room , neither desk lamp . at check - in offer opportunity upgrade room , reduce price – take . whilst bed huge , feel room little cramp , difficult pass bed desk – would interesting see much small original room be . a small bar area provide room , cramp , possibly well leave sofa table , give room spacious feel … our tea cup remove evening return early morning tea – additionally , tea bag replenish stay . the issue , disturb occupant room next we ( fully appreciate totally hotel control ) – however rather squeaky bed … .Overall great stay .. wonderful touch … especially " Plunder Pantry " … 
