Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 may 11 2009 	 great hotel downtown NYC 	 perfect place stay New York teenage daughter . close everything . location enough step away Times Square remove , yet enough get right middle thing . room clean good size NYC . staff wonderful , friendly helpful . valet parking garage fantastic . check check smooth easy . ever head New York will stay sure . 
 May 6 2009 	 great location - friendly staff 	 concerned location , 39th & amp ; 6th , turn perfect . close enough transportation need well withe walk distance popular visitor location . staff extremely helpful quick respond request . the third floor nicce quite spot relax get away ' hustle & amp ; bustle ' city . 
 Apr 30 2009 	 Great Location - Good price - Clean New Rooms - Breakfast include 	 arrive 4 - 24 - 09 10 am . room not yet available ( bit early ! ) , check , walk lunch , get room 1 pm . request high floor put we top ! face north 34th floor , look Bryant Park ( great place sit takeaway lunch ) . everything room great , though shower not drain well first morning . credit , problem fix time return late afternoon . location great -- close Times Square , shopping , subway , etc . rate seem reasonable NY standard ( especially breakfast include ) $ 199 / night plus taxis . 's new hotel everything seem neat clean . breakfast good ( include ) hot cold item , lot choose . elevator slow peak breakfast time weekend , early bird never really problem . third floor breakfast locate also host several little seating nook comfy spot sit relax time day , plus nice restroom floor ( apparently pool table , though never actually went look ) . king bed sofa bed three female adult . comfy , though agree extra chair room would perfect . room full kitchen ( fridge , stove , dishwasher , cookware , crockery ) , not long stay use fridge wine cheese . would highly recommend stay . 
 Apr 29 2009 	 Terrific Hotel 	 stay two night . hotel great . excellent location , comfortable room , good service , overall terrific stay reasonable price . particularly enjoy complimentary breakfast buffet . first morning pancake good want next morning . unfortunately , serve next day . something trivial negative , pretty good stay . know other stay agree one good value around . definitely go back . 
 Apr 29 2009 	 person earth rate hotel ? ? ? 	 find TripAdvisor reliable couple year rarely disappoint highly rate establishment occasion . maybe pay odd feel 4 night stay value money ! pay approx average $ 370/£253 per night .... could lot well world city price sure ..... can not help feeling could also do lot well ny ! positive : location Midtown ( handy Times Sq ; main train station etc . ) ; bed comfortable ; quiet ; staff helpful responsive . negative : room size large ( understand large room 3 we ; understand NY room generally small ) ; bathroom need redecoration ; breakfast uninspire plentiful althought would hardly call complimentary consider overall cost ! ; find pair dirty pant bed ( ! ) leave ! ! ! ; 2 light bulb work ; security lock break unuseable ( housekeeping staff responsive trouble last 2 item ) . could certainly get 4 * hotel least £ 100 per night cheap hotwire.com ( discover leave ) although not learn hotel make booking . , bad feel get poor value money . certainly try somewhere else next time . 
 Apr 23 2009 	 good hotel midtown ! 	 , hand , good midtown hotel ' ve stay . room immaculate , complimentary breakfast superb , floor extremely quiet . safe easy access location , easy walk Penn Station Grand Central . would definitely stay future . 
 Apr 23 2009 	 want stay live ! 	 great travel experience year later ' m think wish back ! ! location super convenient everything . lovely location near Bryant Park , quick walk Times Square , FIfth Avenue , Central Park Upper West Side , straight shoot downtown well . two night four room , two double bed two foldout couch not feel cramp . kitchenette amazing could option breakfast room ( though free breakfast incredible ) takeout easy keep snack juice , etc . , hand . floor breakfast evening snack serve look like cozy library , break small area comfy furniture really nice vibe . NY Times available morning not sleep late , ! ! sister , work city , wish could find little apartment like hotel room . also stay Marriott Marquis , lovely room right Times Square , amenity kitchenette make we feel much home . 
 Apr 20 2009 	 EXCELLENT Customer Service ... definitely return ! ! 	 WOW ! ! ! ! impressed customer service ! ! ! ! unbelievable ... employee / staff LOVE job sincerely amazingly courteous / willing assist we ! ! ! room clean ... still can not believe truly care ! ! ! not find many place 
 Apr 15 2009 	 good stay good time 	 atay residence inn wonderfull , great attentive staff clean room . love fitness center impress prompt housekeeping call front desk trash bag within minute knock door . park vehicle garrage little pricey , gripe . Loved go back . 
 Apr 15 2009 	 overall good great experience 	 make reservation ask adjoining room . travel husband , young daughter elderly mother . tell would guarantee adjoining room assure room would floor close proximity . arrive approx . 1:00pm one room ready . allow check early room ready tell come back 4:00pm check room . around 5:30pm phone hotel tell would back hotel around 8:00pm assure room ready would assign someone else . arrive approx . 8:00pm give room 6 floor apart room already check . speak manager Monique . monique rude condescending . tell room floor available . explained call early tell room ready floor assure room would give someone else . say nothing else could give complimentary upgrade room 6 floor away room . MAJOR inconvenience we . disappoint especially speak Monique . besides Monique experience overall good . room comfortable , breakfast great , location conveinent remainder staff overall friendly . 
 Apr 5 2009 	 good deal NYC ! 	 hotel not appear amazing lobby , rather small . however , not let first impression deter stay ! love stay Residence Inn ! reserve two room six we ask we would prefer two - bedroom suite , wonderful . two large bedroom ( bath ) completely separate living room sofabe . also nice kitchen full - size refrigerator ! touch make like home nice ( huge lounge area , wonderful breakfast , afternoon snack ) . plus free wireless high speed internet nice . ' m sure consider & quot ; Times Square & quot ; actually ten - minute walk center Times Square . love area -- lot bead / jewelry shop ( 6th Ave . ) great shopping well ( Macys , Herald Square , etc . ) . close Madison Square Garden Penn Station , . actually prefer location , close midtown , Times Square . room extremely clean spacious . Residence Inn place stay future trip city ! 
 Mar 22 2009 	 back . 	 friendly , clean hotel excellent location . easily walk 5th Avenue Times Square . staff helpful polite time . one bedroom suite kitchen handy . try get one adjoining room . fine first four day quiet family next door , 5th day loud family move . could hear clearly .. clearly . thankfrully , go bed early . make issue hotel . people loud . the hotel advertise light snack Monday Wednesday , actually offer light dinner e.g . pasta , BBQ chicken , soup salad . fruit available well iced tea , lemonade , coffee tea . the breakfast buffet fine standard offering .Our daughter enjoy make waffle . we would stay without hesitation . 
 Mar 19 2009 	 like home 	 daughter spend 6 night hotel last week . everything rest review say would . breakfast great breakfast 20 minute get get cranky : ) daughter wheelchair accessible room fabulous . thing struggle front door put card get try manoeuvre chair time hard . learn look window flag doorman open door we . walk home Broadway show ( 50 51st street ) feel perfectly safe . bed - oh bed - difficult get morning - soooooooooooo comfortable . 
 Mar 16 2009 	 Excellent bang buck 	 fiance stay weekend getaway use Marriott reward point . studio king room 6th floor . price location fact kitchenette give place 4 star however minor issue . PROS - Excellent bang buck ! ! ! ! room would cost $ 259 / night not reward stay . fantastic deal provided.-location could well ! ! ! ! close Macy 's , Times Square Bryant Park . -breakfast include good selection - Kitchenette stock plate , utensil , pot , dish , huge fridge etc . counter space NYC studio apartment - small sufficient bathroom bath supply - comfortable king size bed - nice sized closet space - overall spacious room - nice sized flat screen tv con - we not nice view imagine reward stay put least desirable location . -The toilet paper dispenser broken- dish soap kitchen - Someone 's snot rag leave floor upon arrival - the hair dryer break - encounter one unfriendly staff member . 9 am day check , maid knock door ask & quot ; leave & quot ; stern unfriendly tone . think strange considering till 11 am check out.-Slow molasse elevator - tv could channel movie selection 
 Mar 10 2009 	 would defo go back hotel ! 	 wow , evertyhing expect . come home week stay hotel . complaint , everything perfect check , room 30th floor look bryant park view rockefeller . entrance subway even 1 min away . hotel round corner times square one way fifth avenue . perfect location right middle everything . housekeeping leave note every day thank tip make bit personal . bathroom also bath great full day walk . do not use kitchen facility much great . free computer access brilliant check flight snow really bad , print free ! overall thumb hotel . thing bacon free breakfast sausage lilttle spicy meat available ! 
 Mar 2 2009 	 another Great Stay 	 ' ve stay , hotel continue one good bargain NYC . husband , 14 - year - old daughter , stay two night could see couple show concert . we book great rate Marriott website , day arrive check website see full hotel . Lo behold , rate lower ! contact hotel Damien front desk put touch reservation , lower rate question ask . also speak Damien type room want , walk door hour later Damien type want ready we . front desk service continue outstanding throughout stay . our room spotless great view . daughter sleep pull - out sofa complaint . really enjoy convenience breakfast , especially since could bring food upstairs daughter , sleep . kitchen room perfect heating leftover - save food cost easily . again , location outstanding - right near subway bus stop , block Times Square Grand Central Station . 
 Feb 18 2009 	 everything would want Marriott . 	 ' m Marriott Platinum member ' m use give perk say Marriott RI Times Square perhaps good treatment ' ve receive Marriott . front desk ensure get room want continued check . one review mention fact staff remember name – ' true . room , although little small RI quiet view terrific . yes , elevator crow breakfast peak hour show 15 minute early good . be close enough many location far enough Times Square . good place stay . , free breakfast sure beat $ 50 pay local restaurant . bad thing , concierge ' seem want bothered son ask question . 
 Feb 13 2009 	 Home Touch 	 Excellent location . quite busy X'mas / New Year Holidays . mean wait bit long elevator wait table breakfast . breakfast complimentary , complaint paper plate plastic cutlery . weekday , complimentary light dinner provide . Salad , soup , pretzle cookie straight oven . slogan say & quot ; Home Touch & quot ; , really make we feel much home tire day . 
 Feb 2 2009 	 great location great price great experience 	 find hotel thank review TripAdvisor result good experience Marriott Residence Inns . delighted place , staff friendly & amp ; helpful give we room great view Empire State Bldg . room big NYC standard , since 's new hotel excellent shape modern . since Residence Inn , kitchen real storage bathroom -- instead usual hotel sink surround , four drawer , great people like travel beaucoup cosmetics & amp ; stuff . good price may due hotel ' need get guest miserable economy , good price indeed include hot buffet breakfast pleasant place eat . hotel close enough Penn Station we walk thus save two cab fare , course close lot great thing see . next time go NYC , wd happily stay . 
 Feb 1 2009 	 beautiful room kitchen 	 stay 2 weeknight January vacation New York . book room hotel 's web site get excellent rate prepay entire stay . I arrive early able check room noon . room sofa , queen size bed , small kitchen area fully stock utensil , glass , plate , crock pot , dishwasher , refrigerator / freezer , kitchen sink . think room large New York hotel room , although would not want 2 people room . sofa supposedly fold another bed accomodate 2 people . everything spotless , view nice . look right window Empire State Building ! breakfast complimentary , buffet include usual - egg , pancake , sausage , selection cereal pastry . fresh fruit ( banana , apple ) can fruit ( peach , pear ) available . plenty seating available around breakfast time , room television morning news . one night even complimentary dinner hot dog , sauerkraut , baked bean , salad . overall , great time . surprised inexpensive hotel , give proximity Times Square . would definitely return ! 
 Jan 28 2009 	 Great Location 	 boyfriend stay Residence Inn 4 night book stay via Marriott central reservation centre . book stay encounter problem regard price quote charge , ' happy . however , upon arrive hotel advise consequentially hotel manager Gwen upgrade we 1 bedroom suite 32nd floor view Empire State Building - think fantastic service consider problem book fault central reservation ( nothing ) hotel . room really spacious view great . complementary breakfast good lot choice also free internet access . location hotel really good , short walk Empire State Building , Time Square 5th Avenue . go afield ( Statue Liberty , Wall Street etc ) buy ticket red bus tour could use 72 hour find really good value . overall , really good stay Residence Inn would definitely stay . 
 Jan 17 2009 	 Fab hotel 	 ( , husband 3 teenager ) arrive Christmas Eve 1 pm 7 night trip . 1 room ready able drop luggage start explore . check staff helpful polite . room ready couple hour , still 4 pm check . room perfect . comfy bed . sofa bed probably suitable young child . room jar sweetie arrival pack popcorn replenish throughout stay . coffee , tea etc also provide . housekeeping good always come back nicely make room . sound proof excellent - 19th floor partial view Bryant Park . hotel 5 minute walk Times Square . the breakfast excellent lounge nice place relax . the free computer lounge also useful also printer enable we print boarding pass direction , tourist attraction etc . we also attend one social evening everyone invite louge free light meal consist 2 choice pasta , garlic bread caeser salad along soft drink . food freshly cook taste delicious . check smooth - bill drop door morning check mean hand room keycard leave . would definately recommend hotel typesof traveller . staff meet polite , helpful , smile ( even Christmas Day - ' m sure would rahter home family ) . 
 Jan 15 2009 	 love residence inn 	 husband visit Residence Inn , New York City , December 26 December 30th . love hotel . 's close everything far away not light times square room . view empire state building . 's 5 min walk public library fifth avenue . 3 block empire state build 20 min grand central station chrysler building . for people want eat room . fridge , microwave dishwasher . even grocery want . room pretty big New York . bed nice not want get morning . full breakfast include . not wait till last minute go eat be always huge lign . negative thing wait long time elevator 8 10h ; time breakfast . beside recommend anyone . tip : want order food call Ray 's Pizza . 
 Jan 6 2009 	 great experience 	 stay 5 night include New Years Eve . could well ! hotel clean , staff terrific location well . walk distance almost everything ! close subway south end north end Manhattan . Bryant Park , across street great little fair go ice skating , shop , food vendor first 3 day stay . the breakfast good , include cereal , oatmeal , muffin , bagel , toast , egg , sausauge , pancake , fried potato , fruit , yogurt , juice , soda , coffee , tea . breakfast area large , clean comfortable . area get crowd , open new room accomodate people . elevator wait minimal . yes , wait time maybe 3 - 4 minute second elevator , overall issue . we 2 room 29th floor , one overlook Bryant Park overlook Empire State Building . great king size bed , kitchen area , smallish bath , sofa bed . 12 yr old son complain sofa bed neither 13 yr old niece room . when arrive 1:30 pm room ready , however keep bag go investigate city . return 3:05 pm room ready . the staff front desk , breakfast area elevator could friendlier nice . fantastic job . New Years Eve return , ask show room key identify we guest go upstairs ~ nice safety touch , think . fantastic place stay ! 
 Jan 5 2009 	 not Disappoint ! ! 	 get back stay Residence Inn Times Square . book two room via Marriott website get pretty good deal consider stay New Yrs holiday . room king size bed sofa bed . nothing great thing say entire experience hotel . check - in breeze . put we ( husband & amp ; ) 22nd floor room right next mother & amp ; sister - in - law . room good size consider NY standard . bed comfortable hard get morning . kitchen come handy able place leftover fridge heat later microwave . love free wireless internet access room . eat buffett breakfast three time wide variety choice . staff nice , exception concierge . location perfect , great place explore area city . Bryant Park subway block away Times Square Station 5 min walk , . New Yrs Eve able stand corner 42nd 6th Ave see ball drop short walk back hotel . would not hesitate stay hotel would recommend other . overall great experience . 
 Jan 5 2009 	 nice stay Residence Inn 	 family seven arrive December 30th warmly receive front desk staff . find first visit NYC , give welcome gift goody , drink , wine , tourist info . staff always greet we come go . hotel convenient sight - see NYC especially Times Square , Broadway , Empire State Bldg , Rockefeller Plaza , Macys , etc . subway nearby travel Central Park , Ground Zero , Wall Street , Little Italy , Chinatown . also two block away see Times Square ball drop New Year 's Eve . nice spread breakfast . coffee tea available time . room clean . kid complain sofa sleeper uncomfortable not meet one yet comfortable . be young could handle . 
 Jan 4 2009 	 Love Love LOVED 	 stay 28 December 2008 2 Janurary 2009 celebrate 30th birthday read postitive review trip advisor book disappoint arrive ! staff friendly helpful . room good size , clean great view empire state building . bed large extremely comfortable ! breakfast good free - unusual NYC ! go early though , cos get busy elevator nightmare go later 9 am ! location perfect short walk Empire State Building , Maceys , Times Square , Bryant Park Rockafella Centre ! 6th Avenue number eaterie handy ! stay away irish bar / restaurant area tho ... boy food woeful place ! suppose fault try stick k , give New Years everywhere else heave people least 1.5 hr wait restaurant . go Carnegie Deli 7th Avenue bit hike sandwich good , although massive , strawberry cheesecake die ! security hotel good , large police presence area always cop lounge area hotel . whether lounge free tea coffee offer day ... will let decide ! ! ! overall great stay Marriott Residence Inn would stay ! 
 Dec 31 2008 	 first class 	 visit New York husband daughter christmas gift , travel christmas day . arrive late hotel meet welcome staff , room 3310 amazing view Empire State . room King size bed sofa bed , ( fault sofa bed daughter sleep long enough sleep crossway bed , comfortable ) manage walk day wreck . well situate site . want visit Empire State Liberty Island make sure ticket office opening could day see . Sex City tour good worth money ( cheap book UK ) cab fare JFK $ 50 include toll ( pick cab proper pick point outside airport ) . Roxy diner Times Square amazing value ( know climb , eat stick flag ) Olive Garden Times Square different good . good walk around Central Park get carriage miss much walk three hour . visit Dakota building Central Park make sure visit Strawberry Fields Central Park . lot lovely friendly squirrel around park . walk around Little Italy China Town low east side museum tenement building get early book guide tour . plenty go quickly . hop hop bus must around town uptown Manhattan Brooklyn also get Staten Island ferry every 30 minute free avoid go peak time people travel work back . want go Broadway show book home queue ticket time get front show sell unless want pay lot money show really want see . Back Residence Inn , check good leave luggage collect ready . breakfast good set day minus could healthy option fresh fruit water . lift quick especially breakfast time . stay good price would hesitate stay . 
 Dec 31 2008 	 great time Residence Inn 	 great time Residence Inn . staff courteous . ask room view immediately upgrade we one view empire state building . room clean everything would need kitchenette . we 15 month old we find location convenient , could come back room hour get rest . the bed comfortable carry noise adjacent room . breakfast excellent . would definitely stay visit New York . 
 Dec 31 2008 	 great hotel great location . 	 great hotel . staff friendly . concierge , Judy , helpful . arrive prior check time not room ready . block great room us corner 30th floor . fantastic view 6th avenue . would definitely return hotel next NYC visit ! 
 Dec 30 2008 	 love everything ...... 	 take quick trip Mr. last night,12/29 . stay one night . can not say enough Residence Inn Marriott Times Square . regina front desk outstanding . helpful , pleasant , smile ! howell also front desk . help we find nice restaurant dinner give we several back choice case change mind . both people full information eager help we . room spotless . bed linen well ever sleep , ' ve place ! take advantage free hot breakfast a.m. get early busy weekday weekend . bit crowded morning , holiday ........ Eggs , homefrie , pastry , cereal .......... yum ! location perfect . walk Times Square several place , sweat . bit bad luck end , though fault whatsoever Marriott . car bring around Valet Staff loading try drive away , imagine dismay find car would start ! ! ! ! ! Miday traffic , day New Years Eve ...... stick road . staff say problem ........ let see get help . valet guy bring car around give we jump within 15 min . way ! can not say enough stay . begin end , great time . plan write Marriott old fashion way let know wondeful place ! oh price right ! ! 
 Dec 24 2008 	 Read stay ! 	 first , want thank Residence inn incredible New York City stay . hotel REALLY make stay ; whether base stay hour hour end . wife 2 daughter stay 3 - night trip little getaway XMAS . welcome friendly doorman bring luggage really make we look forward hotel 's door . the lobby small quaint , service incredible concierge nice . there low lobby also place spend time even nice , 3rd floor lobby public love ! ! ! ! unlike Waldorf - Astoria whic incredible lobby public homeless even walk .... private , bar , 3 free computer 3 free printer . free wifi room sooo convenient ! ! ! ! ! room incredibly spacious , even Hawaiin standard know suppose big room ... new york standard HUGE ! ! ! ! ! ! full kitchen bathroom huge ! flat screen tv rotate - able big ! great sound system ! clean spotless really think first person stay room , picky ! , location : -absolutely perfect ! -Not center walk outside , get run .. close everything walk anything , broadway show get hot roasted nuts street.-so close metro - there bryant park ice skating rink little shop great ! -SO close restaurant want go , whether chinese food italian siberian cuisine ! much write not enough time ! ! ! ! : ) safety ( important ) : -so safe location , would let daughter go go deli right hotel even go time square ( sooo close well ! ) -SUCH safe hotel , security guard 24/7 must insert room key get floor great feature unlike hotel walk go floor arrive anyone door ..... Extras : -Ive read review wall paper thin , well not hear thing 9th floor . ( two rooms- corner room one 1 room beside ) -the elvator fast ! except one time rush hour like take hour , maybe 3 4 min one time every time min ! ! ! ! really enjoy experience , though show great food immaculate , think hotel make trip . look forward every time come back hotel , even minute . 
 dec 23 2008 	 place GREAT ! 	 daughter return brief stay Residence Inn Times Square . perfect location , nice staff , plus complimentary hot breakfast buffet 6:30 - 9:30 . also , certain weeknight complimentary evening snack could easily serve light meal child adult may head theatre planning late dinner . add GREAT bargain , consider food price NYC , easily save 2 people $ 40 per day . felt pay fair price room $ 175 Christmas week ! pay much early month Affinia Dumont 34th St. find less convenient around . disappointed Residence Inn . 
 Dec 10 2008 	 great stay 	 write lot review lot review write hotel short sweet . great location & quot ; & quot ; Times Square get away noise traffic . great room w/ teenager . stay upper floor hear noise . clean , clean , clean . breakfast buffet GREAT . lots food , helpful people . comfortable chair sitting area , newspaper galore . bar small cozy . famour actor Con Air bar . restaurant shop w / in block . bellman , parking valet front desk superb w/ help direction , eatery get NYC . 
 Dec 6 2008 	 Thanksgiving New York great location 	 partner ( live England ) book break NYC Thanksgiving end meet parent holiday ( live Texas . ) spend lot time research good Marriott stay whilst NYC ( Silver Rewards member want point ! ) glad choose one . arrive We d evening 6 pm . thankfully , hotel put complementary light ' social ' buffet Mon , Tues , we d 6 pm - 7.30pm grateful hot buffet chicken wing , mac cheese , ceasar salad unlimited soft drink . busy plenty seat staff keep food / drink top . location use every morning Breakfast , great hot / cold breakfast work ( breakfast include room rate . ) also 24 hour Lounge serve hot drink ( tea whole variety flavours coffee occassionally hot chocolate ) softdrinks ( rather unfortunate travel little one summer ! ) alternatively , return back hotel day lunch family , sometimes bring we would eat lounge complementary tea / coffee rather go straight room . follow day Thanksgiving hotel PERFECT spot want view Macy 's parade . step door hotel , turn leave leave 39th St block cross Broadway . 1 minute leave hotel , stand corner ( get 745am ) fantastic view barrier . point walk ! hotel advertise complimentary internet access room , do not bother bring laptop . 3 computer lounge guest use , fine need . safe room valuable , unlike hotel , would not able fit lap top glad do not bring it . our room , 3002 , really nice . view fantastic great want break back hotel . plenty room 4 us adult sit comfortably socialise bring back food ( great deli corner hotel , believe call Bryants Deli . ) sofa great guest sit , well table / bar area kitchenette eating . tip , want softdrink day , take spare back room breakfast keep fridge buy bottled water Deli . complaint , many reviewer , tiny bathroom . yes small , fair , job . tub nice shower , bathroom one time could imagine travel young child would hard work bathe ! complaint arrive . although book hotel 5 month previous , silver reward member , none request room note dissapointe . request high floor room bc noise ( hotel 34 floor ) originally put 5th floor ! complain , lady front desk appologetic say could move room follow day one become available . suggest specific room request worth phone hotel advance ensure meet , make make request Marriott website extremely pointless . NOTE MARRIOTT REWARD user - staff hotel pay attention request note web account ! ! ! ! ! ! ! ! phone arrive ! another complaint elevator , enough big hotel often peak time wait age . advantage 30th floor get full . low floor , family suitcase try get lobby check breakfast probably wait quite ! ! ! fairness , original room 5th floor noisy . possibly overlook side street rather main road ( Avenue Americas . ) also room actually normal sized bathroom ! bathroom 30th floor half size , must depend ' side ' hotel room organise . personally , view 30th floor fantastic do not care much small bathroom ! location hotel perfect we . easily walk Rockefeller Plaza , 5th Avenue , Empire States Building Macy 's . do not mind walk , Bloomingdales Central Park easy get well . tired ( pregnant like ! ) might prefer walk , get taxi back ( $ 5 - 7 , depend traffic ! ) couple block Times Square , do not get noise night . Marriott Times Square walk past , would recommend hotel one , unless like walk crowd everytime leave hotel enjoy noise 24/7 ! 2 block away , Residence Inn much relaxed local deli 's , local irish pub eat evening ( cheap , quiet , less crazy alternative big chain like Applebees TGI Fridays ! ) plenty cafe / coffee shop . 
 Nov 21 2008 	 Loved hotel 	 hotel true gem , visit mum sister law Nov 5 - 10 , 2008 . main purpose trip shopping /girls trip . tire flight Ireland disappoint . meet expectation completely . -love location , view empire state building room , love self catering facility ( great deli across road - amazing sandwich , salad , wine , healthy , tasty stuff etc- reasonable room cutlery , glass etc do not even go spend huge money dinner prefer stay lite bite ( one night tire day shopping ) .- loved breakfast - fry breakfast , fruit , hot oatmeal , etc - something everyone basically.- impressed service - whenever ask anything deliver room pronto - dealing staff courteous helpful times.- Loved fact Macys 7 minute walk ( love store ) - room clean , comfortable tick box ( smallish totally expect NY before . to sum tell friend family hotel - even entertaining thought another hotel future visit NY ..... take account cost , location , service etc would disappoint go anywhere else . one thing may suit other room service , bar small hotel - residence inn sure know book anyway . 
 Nov 19 2008 	 Great Place 	 reading review TripAdvisor seeing rank # 10 NYC , really look forward stay . believe right money . I certainly not want repeat everything be say 400 + review , will make main point : -The location superb business pleasure . short skip Times Square public transportation block away . beautiful ( esp . summer ) Bryant Park block away well.-the room GREAT . probably nice luxury scale expect Residence Inn , albeit bit small . hey , NYC right ? comfortable , although hear good bit wall adjacent room . must say , BEST blackout drape ' ve ever . small , nice bathroom.-excellent security . well - man lobby elevator require room key 100 % time.-there plenty restaurant attraction withe short walking distance . however , many great area neighborhoods city , would hop subway explore ! -I not give hotel & quot ; excellent & quot ; one reason : staff . although general everyone nice , deal rude employee . NYC , would normally write . however , Marriott property , hold high standard . 
 Nov 17 2008 	 Fresh Clean Convenient Hotel Choice New York City 	 conveniently locate 6th Avenue Midtown . choose hotel location relatively near Penn Station , arrive NYC AMTRAK . reception staff professional welcoming , upgrade room without ask . arrive late evening give clear direction 24 hour delicatessen block away . NYC standard room HUGE immaculate , include kitchenette would useful stay one night . bathroom overly large , fresh tub/ shower . shower work well impressed clean wall floor . king bed comfortable , somewhat concerned room fourth floor face 6th Ave would noisy night . need worried . sound - proof amazing . not hear horn siren wonderfully restful night 's sleep . next morning enjoy delicious breakfast hotel 's third floor fresh fruit , hot cold cereal , muffin , outstanding coffee much . breakfast list continental breakfast , anything everything person could want . night bill slip door check - out consist simply hand room key card tell desk person leave . stay NYC hotel , relatively new Residence Inn choice future trip NYC . 
 Oct 24 2008 	 Great Hotel 	 stay Residence Inn Great ! ! ! picky , like , sure other well . location great , able walk mostly everywhere take subway , not far hotel . suite nice , king bed comfy , full - size refrigerator microwave plus ! ! sofabe comfy staff nice give we additional featherbed sofa . staff great helpful . concierge well , take time fully explain thing way get . 
 Oct 15 2008 	 great location great price 	 travel ny couple time per year business always look - out affordable hotel within walk distance headquarters Penn Station / Madison Square Garden . room great space ( think kitchen area large apartment back home ) , couch relaxing , countertop bar stool , great view city Bryant Park . one caveat - use couch pull - out bed , lose room 's floor space . request high floor , street noise . loved full breakfast buffet live music lounge night . although trip one night , appreciate fridge water bottle microwave heat dinner . corner grocery across street easy carry - out option , lot fun store shop along Avenue Americas . definitely come back Residence Inn ! 
 Oct 13 2008 	 Good Hotel Good Location 	 decide give Residence Inn try refrigerator cooking facility . many time , past , stay hotel , often wish refrigerator store soft drink yogurt . plus like cup tea everday . Residence Inn provide hotplate request one -- kettle blender . request hotplate , not aware could get kettle . along line -- -here be one complaint place -- take pot boil water tea filthy . someone cook food wash leave liquid food ! however , call front desk , apologize send replacement pot . assume maids check utensil someone check obviously case . want use pot pan , sure check well advance use they . a previous reviewer not like location hotel . however , problem location -- -in fact find good accessing subway system . block north hotel subway entrance one pick b , , F V train . train , head one block west Times Square many subway line accessible . at corner 38th 6th Avenue & quot ; deli & quot ; sell drink , snack food item . however , want supermarket , close one ( get info concierge ) D'Agostino 's 38th 3rd Avenue . the free breakfast adequate . scramble egg , sausage patty home fry available one want hot item . cold item , slice fruit , cereal , milk , assorted pastry , english muffin . also , orange juice ( somewhat water ) , apple cranberry juice . also coffee tea . reviewer mention , breakfast busy 8:30 a.m. 9:30 a.m. find place sit time bit challenging . time elevator slow crowd . I agree bathroom cramp . however , nice feature . shower rain head model addition hand - hold hose . also , good selection toiletry -- -shampoo , conditioner , lotion shower gel . the bed soft side uncomfortable . comfortable place sit couch . two bar - type chair comfortable . would stay ? certainly . price right compare 3 - diamond property . location good nice fridge . staff helpful responsive come request problem . side note -- -if Marriott reward , stay Residence Inn get 5 point per dollar spend oppose Marriott property 's 10 point per every dollar spend . 
 Oct 12 2008 	 love hotel 	 people work hotel seem love job , friendly helpful . they offer free breakfast every morning . expect bagel cup coffee , pleasantly surprised . much food , everything good . breakfast area beautiful peaceful , nice start every day nyc.the location good , room big ( tell expect NYC ) . hear room number end 06 08 large , room end 08 . might question ask booking room . we would definitely stay . 
 Oct 6 2008 	 great kitchen well option 	 stay Times Square Residence Inn three night business trip September . find decent , particularly special , option . I grow Manhattan , return visit two three time year last thirty year . usually stay week , always try find accommodation kitchen / kitchenette ' m dependent overpriced room service shlepping restaurant three time day . recent year ' ve rotate Trump International ( high end ) Blakely Lucerne suite ( mid - range ) . none available September date , able book & quot ; corner room & quot ; Residence Inn . the room 's kitchen facility excellent . full size fridge , stove , micro ; full set plate , bowl , glass , flatware four ; pot , pan , cook utensil measure spoon ! drawback - take third room . room comfortable , small . bathroom extremely , uncomfortably small . although corner room window two wall , dark relatively low floor . furnishing clean drab . hotel room keep spotless . front desk Bell staff excellent - friendly , polite , helpful . find much celebrated breakfast buffet wide ample selection school cafeteria quality offering , good enough lead use great kitchen . unless find similar pinch , would not choose return Residence Inn . deficiency hotel location . 's completely commercial area city , throng worker day , neighborhood life night . strongly recommend visitor New York opt , least one trip , accommodation 57th Street 34th , East West side , taste New York life really like . additional travel time & quot ; tourist site & quot ; negligible , will enjoy experience whole side city . 
 Oct 4 2008 	 great hotel great location 	 great stay four day Sep 28 oct 2 . 25 year anniversary outing decide see New York another couple . book two room king bed 17th floor . find location almost perfect . not close Times Square within walk distance almost everything plus one block underground . service great , breakfast good buffet room well maintain . we concern couple negative issue comment long wait elevator crowd breakfast room not experience . however not think hotel full . 
 Sep 26 2008 	 great hotel ! 	 love hotel . great central location staff brilliant helpful . really enjoy stay . breakfast include really nice 's definately add bonus , really like fact could take coffee away . would really recommend hotel everyone would definately stay . 
