small 	 hubby take advantage mile night away kid . location amazing right middle 5th ave shopping , ton restaurant , walk distance many area u enjoy walk , hello nyc.the room r small doubt r modern , clean , quiet . U hear people hallway . I see room fancy NYC hotel r rundown noisy bliss . staff r nice . parking indoor lot ( right side ) 46th 5th 6th ave u get discount stay hotel . 
 Jul 11 2008 	 BEST LOCATION 	 return 8 night Hotel . I never New York - great location . room small clean bed lovely soft . breakfast great save time . would definateley stay again . you walk anywhere fron location . 
 Jul 9 2008 	 Great Location look well picture 	 read review website , decided seem like hotel good location . also , review say hotel room small lobby tiny . prepared . get realize much well review ! lobby full people small bit cramp , nothing horrible . check around 11 am already room available . great ! ! get room , another surprise .. be not small ! ! sure bit short regular hotel room . come back France , LOT big . room nice clean bathroom nice size . ( little scum shower ) . thing wish room refrigerator . ( microwave lobby reheat food ) DEFINITELY stay hotel . price right Fourth July Weekend . planning go back New Years .. ' m sure expensive . 
 Jul 8 2008 	 great hotel price 	 great hotel price . location 45th street Fifth Sixth ave . excellent- near Times Square Grand Central Terminal . safe area . desk clerks pleasant helpful . posh hotel- not expect lot pamper . hotel fairly new bed comfortable lot pillow . room small serviceable large flat screen tv . Breakfast include substantial . coffee available free day night- nice . lot restaurant within walking distance . room service area place deliver hotel . one caveat- check doorman offer get we cab . lead we black sedan- yellow cab . ask price - the price LaGuardia $ 45 . refuse . yellow cab cost $ 26 . plus tip Sunday morning- substantial difference . would stay again- good place would rather spend money show hotel room . 
 Jul 3 2008 	 great hotel 	 stay HIE 8 night May 2008 . get yellow cab Newark airport cost we $ 65 think excessive compare price quote website . hotel quiet arrive room ready early . small expect . get settle someone arrive bottle water biscuit we , Priority Club member . hotel really busy morning breakfast often wait table . food good - toast , croissant , fruit , bacon , sausage , egg cinnamon bun . tea coffe always available far end breakfast area also kettle room . free wifi computer bottom floor great . overall hotel really good . downside fact safety deposit box reception never get one never free one . 
 Jun 29 2008 	 Small Functional 	 NYC business stay Holiday Inn Express . conveniently locate , close Grand Central 42nd st station Fith Ave . hotel staff nice accommodating . urgent request respond immediately . room bit small even NY standard sleep . although price slightly steep hotel class , would highly recommend nonsense , frill offer . free wifi free breakfast , see reason complain anything . 
 Jun 26 2008 	 nice surprise 	 go NYC year stay several different hotel . past year , ' ve return Marriott Times Square -- good location ' ve always pleased room . always clean roomy bathroom pass test . however , year , rate go roof decide time try somewhere else . review Holiday Inn Express 5th site lead we stay . bit apprehensive going , think surely , one bathroom standard . well , must say , pleasant experience . yes , room small -- comfortable king - sized bed , well desk area stuff chair . bit stretch hang - up space armoire , manage . bathroom counter space little wanting , room nice clean . bathtub look brand - new floor sparkle . good , towel feel little fabric softener . hot breakfast buffet every day -- , not fabulous , nice added & quot ; extra & quot ; consider pay $ 100 / day less hotel option breakfast . also provide free wi - fi , well computer & amp ; printer basement e - mail print boarding pass . warn : ambiance hotel . be look picturesque setting , 's . couple weary tourist , wonderful come back nice clean room comfortable bed night . stay 6 night . not far subway convenient theater . one complaint : have ask Front Desk call taxi morning leave home . pull unmarked & quot ; taxi & quot ; . everything would hear use , question guy desk . look car driver , we assure we legitimate taxi service . away go . however , load way , driver tell we charge regular yellow taxi ( $ 20 ) . put blame we questioning get cab , also feel guy Front Desk ' ve hold accountable -- know not regular yellow cab have call . stay Holiday Inn ? probably , definitely call taxi . 
 Jun 17 2008 	 Pleasant Hotel Great Location Friendly Staff 	 wait hour check - in time , take room . room fairly small , comfortable bed . one piece luggage , good luck find somewhere put . one small rack fit one suitcase . option desk . view , sleep take occasional break . staff friendly accomodating . overall , good experience excellent location . breakfast good , small crowded lobby . 
 Jun 16 2008 	 Loved HIEX 45th st . 	 mom take first trip NYC stay Holiday Inn Express 45th st . 4 night . staff friendly always smile hello whenever leave hotel return . check - in quick , easy . give we map city answer question . even tell we subway take need . hotel centrally locate take subway . 's walk distance esb , Macys , Grand Central , Times Square , Central Park , Rockefeller Center , list go . room clean bed comfy shower bathroom excellent . picky size room spend lot time . hot NYC nice come back nice cool room rest foot cool . room 9th floor room face street , noisy . breakfast excellent always plenty eat nice place sit . check easy suprise bill . price right $ 279.00 night would stay recommend know . : ) 
 Jun 14 2008 	 great location clean 	 love location . first trip New York place . front desk helpful , central unbelievable . head back second trip summer pick hotel . 
 Jun 10 2008 	 BETTER expect 	 wow ! ! awesome location , affordable price , clean room , friendly staff ! young lady desk , Solange , warm welcoming personality . complaint hotel . 4 block Rockefeller one direction 3 block Times Square direction . park behind hotel 46th garage $ 35 ( reduce price hotel guest ) . arrive check keep bag free check - in keep back check - out could walk around time pick vehicle . stay hotel every single visit back NYC already recommend friend family . 
 Jun 6 2008 	 comfortable hotel . 	 hotel great location . effective air con ( hot humid NYC time ) . Slept really well ( not want leave room time ! ) . lcd tv hundred channel , good size room . clean bathroom . very friendly staff . pleasant tasty free breakfast morning . 5 min walk Times Square , second 5th Avenue . what could want ? well recommend hotel anyone . Tom GriffithsUnited Kingdom 
 Jun 6 2008 	 great location central 	 doubt decent NY hotel price excessive feel get good deal 4 day trip ny . location perfect , central easy get to . I would say HI Express provide average accommodation excellent buffet breakfast reasonable price . downside inadequacy size entrance foyer/ breakfast area . space reception around 2 metre width , customer desk jostle other come establishment . when breakfast serve , could by - pass reception around divide screen . also area group arrive wait transport wait . the room fine . two queen size bed , nice spacious layout good bathroom , clean . view window see old movie ! 
 Jun 1 2008 	 Excellent stay great value 	 hotel clean , room feel new , staff courteous helpful friendly . suppose room small , expect $ 200 night Times Square ? really beat location . would highly recommend . 
 may 26 2008 	 be rate .... 	 read various review hotel , will get pretty accurate picture good bad . however , one person 's excellent another 's average . be rate do . staff - curteous helpfull , always respond need - & quot ; 5 & quot ; room - clean functional . small , be New York room stay . 's - & quot ; 2 & quot ; , becasue 's NYC & quot ; 3 & quot ; .Breakfast - 's free & quot ; 5 & quot ; , well stock & quot ; 5 & quot ; , busy morning little room & quot ; 2 & quot ; . ran item crowd & quot ; 2 & quot ; .Location - Broadway close . & quot ; 4 & quot ; View - backside hotel , 17th floor . nothing see building & quot ; 2 & quot ; .Overall & quot ; 4 & quot ; thing really want need hotel - good staff , free breakfast , good location , outweighte everything else . call & quot ; 5 & quot ; similar grade inflation . property bad would stay heartbeat . however , want something space , amenity , etc . would need look elsewhere . Knowowhat want book . plan spend time room want pamper . pull wallet spend stay someplace else . 
 may 19 2008 	 smokey room 	 return . agree review , hotel well locate clean , room small even New York . ask smoking room tell hotel full room smoking . room stunk ! breakfast well expect area pack every morning seem always run item . would stay promised smoking room price right . 
 may 6 2008 	 Wonderful Hotel Location 	 husband stay , wonderful . location could not well . member staff friendly helpful . always greet we come back hotel leave go , always whatever could answer question honor request . our room small , New York City . view office building next door . room great . bed comfortable , new flat screen tv great lot channel . also , wireless internet work great iPod Touch . bathroom bite small , expect . however , nicely decorate bathroom great towel . there business center low level hotel 2 computer . printer available ; however , use it . the complimentary breakfast look great , eat . crowded day , breakfast market couple door ( great omlette great price ) .The front desk add nice touch we since ' m Priority Club member use point stay . 2 bottle water little package Pepperidge Farm cookie Thank note desk . goes show thoughtful gesture go long way customer . my complaint hotel room safe , front desk staff tell safety deposit box available could use laptop computer . seem silly complimentary wifi safe available secure computer . I definitely stay hotel future . recommend friend . staff excellent job . 
 Apr 22 2008 	 nothing ask ! 	 stay HIE 5th Aven mum 3 night early April . 3 day tour around New York really need hotel centrally locate Times Sq tourist spot one not cost arm leg ! pay slightly $ 1000 three night sum - worth money . Great Location : 5 - 7 min walk Times Sq . , tour bus operate get Empire state building , Battery Park ( ferry Statue Liberty depart ) spot . walk distance Macy 's Empire State building ( take taxi raining ! ) several place eat next hotel - indian vegetarian restaurant next door , burgur bar 2 door away sandwich bar / grocery store infront hotel . note place close around 9.30 pm - think ( come London ) early ! room : room small - tiny . mom 7 peice ( medium large ) luggage we still place move around room - think not go spend lot time room anyway New York . bed comfortable choice two soft pillow 2 firm pillow . we room one double bed - like go 2 twin hotel go charge extra . the room also lap top ' table ' cushion stick bottom work laptop bed - GREAT ! bathroom mainly marble decorate - nice fluffy towel , little hand face towel . tub shower . Breakfast Lobby : Breakfast several hot option tarriff like one great . Loved scramble egg bacon . loved muffin crossaint . also provide bread , juice , cereal , boil egg , yoghurt famous cinnamon roll ( find sweet greasy ) downside lobby - also breakfast area - small get overcrowded . front desk : helpful staff , help we direction , keep luggage several hour flight . hail we taxis several time ! summary - great hotel , clean room , great breakfast , great staff , great location well worth money ! definately stay ! 
 Apr 1 2008 	 much well expect -- definitely return asap ! 	 04 - 01 - 08just return spring break trip NYC . Stayed Holiday Inn Express 45th 5th . the hotel great every aspect . check check everything smooth . address need front desk , handle right -- wait . baggage storage , need toothpaste , baggage retrieval , assistance cab -- immediate ! room nice , though small . overall coziness though , lead we stay room usual -- skip get show tix Sunday pm favor watch tv . variety channel excellent . bed / linen comfy . location good - subway close by . a good variety offer complimentary breakfast . also free internet service low lobby . ice machine several floor . no room service , plenty dining choice within block . also , close Rock Ctr . , Red Flame Diner one street , 44th . can not wait return . 
 Mar 30 2008 	 Beware parking 	 hotel perfectly locate 45th Fifth . quiet room King bed 15th floor , view though . bathroom pristine mostly marble . mattress comfortable linen furnishing clean . hotel little year old feel new . small , NY room $ 300 small . king bed , flat screen tv spotless bathroom , ' m happy . free breakfast good enough excellent croisant , weak coffee . able leave bag room not ready early charge . now reason ' m take time write . beware parking ! use suggest lot behind hotel 46th street . check car 12:30 . go pick 3:30 next afternoon . charge $ 85 . cost per day $ 35 plus tax , know . not know , go 24 hour charge additional full day . parking ticket validate desk tell . would move car hourly lot . try complain lot , one could speak English could not get car without interact credit card machine wall . we wrongly trust good place park 
 Mar 29 2008 	 Clean Friendly 	 stay week hotel . shop , less room not much begin ! small , tiny room , clean also . little room hang clothe , especially winter jacket . breakfast bring microwave ; sausage , muffin , scramble egg , round bacon , cinnamon bun , toast , cereal , juice usually banana orange . lucky enough find empty table sit , bring sweater . cold lobby eat ! food really cool quickly . also , many people linger eating , read map etc . table rare . management post sign ask guest leave do eating order free table . convenient though ; nice get dress day leave hotel something belly . coffee throughout day add touch . staff friendly , everyone meet always nice hello , help . problem elevator water pressure . room always clean return out plenty fresh towel . good location . walk distance major attraction ; Times Square , Rockefeller , shopping , etc . also walk Empire State Building Pier 83 harbor Cruise ( strongly recommend ) .Food everywhere , cheap expensive , whatever prefer . free internet two computer guest use 24 hrs . great . everyone lap top lug around . we would definitely return hotel , although another trip New York not likely near future . be think Paris ! 
 Mar 23 2008 	 impress all - around 	 hotel all - around & quot ; winner & quot ; eye ..... really can not think anything negatively criticize on . the location really great ( block two East craziness Times Square /Broadway ) .The hotel clean presentable outside in . check - in great ...... simple , quick , pleasant . elevator fairly high speed , not take much time get top floor ( room ) .Our room two double bed spacious , especially consider be NY . nice desk/ work space conveniently large dresser closet . bed comfortable linen decor attractive & amp ; date . washroom clean , large enough , ample water pressure eco - friendly ' low flow ' toilet save water ( reduce flush noise ) .By hotel semi - often , enountered number staff member , nice & amp ; personable . perhaps highlight ( although entire hotel & amp ; stay great ) stay warm ' express start ' breakfast morning . delicious food , much eat , good quality . ( egg , bacon , sausage , muffin , cinnamon bun , yogurt ... well beverage ) .checking - out breeze well , leave great impression . would definitely return recommend place friend family . 
 Mar 20 2008 	 take Room 101 102 Noisy beyond Belief 	 hotel clean , staff nice , breakfast good , location great , price good . .... one warning .... accept 1st floor room 101 102 .... noise elevator , food prep area , storage area right outside intolerable . wear ear plug get sleep . morning , smell cooking go next door around 5 am wakes sound sleep . 
 Mar 12 2008 	 great hotel 	 boyfriend stay hotel 5 night march 2008.i pick read good review would highly reccommend . ideally situate five minute walk time square close subway . feel safe vacinity hotel . our room inside hotel view office exciting . certainly do not spend much time room look window ! find hotel clean , staff helpful room although huge , perfect need . the bonus breakfast provide free . find lot hotel do not breakfast new yorker eat . save lot money would spend breakfast . if ever return New York definitely stay . 
 Mar 12 2008 	 Fantastic Hotel - Perfect Location 	 visit New York week begin March 2008 book hotel read good review Tripadvisor extremely glad do . we impress hotel already recommend everyone know may travel New York . ideally locate sight , could not believe close Times Square be . our room comfortable clean every day fresh towel bedding . complimentary breakfast morning lot choice . free wifi access hotel provide two computer free online access guest use come handy keeping touch people home via email . the staff extremely polite helpful approachable . organise taxi us airport journey home . all affordable price per night . return , would not hesitate stay . 
 Mar 6 2008 	 tiny room - could barely walk bed 	 amazed hotel receive high rating . room tiny - barely room walk end bed . nowhere put luggage , 5 & quot ; wide night table bed . the breakfast selection good , room jam next reception desk , cold - outside door hotel open . the hotel clean staff helpful . 
 Mar 2 2008 	 one bedroom suit good 	 stay one bedroom suite Holiday Inn Express 5th Avenue find separate living area ( sofa bed ) excellent . bathroom small , functional . room back hotel , quiet - unusual ny . review comment , beat location - especially NY winter please much within easy walk distance . breakfast lobby bountiful , prepared staff take care . would highly recommend stay hotel visit NY day - make every day ! 
 Feb 20 2008 	 excellent location helpful staff . 	 first time New York excellent location - 45th Street 5th 6th Avenues . feel safe walk street area night time . walk distance Times Square , Empire State Building , Rockefeller Centre . also walk hotel Central Park , Bloomingdales Macys . room typical Holiday Inn Express - small , clean comfortable . lift quick never delay . problem complimentary breakfast seating ( eventhough area small ) . staff always friendly helpful . pizza / korean takeaway across road hotel tired go night want bring food back room ( also sell bottle wine ) . fly Ireland JFK use Airlink ( www.airlinknyc.com ) transport hotel JFK Airport ( collect we bus airport Central Station use minibus take we hotel , also collect we hotel airport , without problem ) . one thing find child 12 year free big Airlink bus free small Airlink minibus return airport , driver would charge we fee daughter . stay hotel next trip NYC also use airlink transport to / from airport . book Airlink outside door JFK Airport room book holiday-inn.com 
 Feb 19 2008 	 great accommodation great location highly recommend 	 boyfriend choose hotel base review get Trip Advisor , hotel read review , always seem far good review bad . go 5 night stay valentine book trip BA.com . hotel accommodation good value money , location fantastic ! room clean , tidy clean fresh linen every day . lobby breakfast small not use two starbuck within 2 min hotel choose use ! ! location unbeatable , min Times Square , Rockafellar Plaza , Radio City Music Hall , Grand Central Terminal , Empire State Building name . time use subway go Brooklyn could walk back across bridge . walk Central Park hotel also take 20 - 30 min fab walk along Fifth Ave past fab shop not even notice time ! fuss 5 star luxury want hotel good value money , clean , tidy , comfortable , friendly min away sight would recommend hotel hesitation . 
 Feb 13 2008 	 Great Hotel location clean room 	 hotel great location , 5th ave 2 block time square . hotel clean tidy breakfast great although alot space eat . staff friendly attentive . room clean small thought would . 
 Feb 7 2008 	 good location 	 stay December 5 12th 2007from : Sydney AustraliaVery close Times Square walk everywhere . busy Christmas shopper . breakfast sweet fatten thing available . could boil egg Holiday Inn Express . across street close place breakfast . good restaurant street dinner well ( right next door ) . room small suppose king bed width ok depth cut short ( obviously fit room ) foot hang end bed stretch 5 ' 2 & quot ; tall . desk reception people need friendly helpful . ask arrange broadway show ( helpful we ) leave ask reception get us car travel airport - 2 hour get one - never frighten travel life ( private hire car way fast ) . hire car . also one person reception ask enjoy stay end 7 day - also airconditione outside motor next door office noisy week day - ok weekend turn . make wall vibrate wear ear plug could fix office owner next door . overall close everything clean . 
 Jan 29 2008 	 good location problem 	 5th Ave . hie perfectly decent midpriced property 45th 5th Ave . , walk distance Times Square Rockefeller Center . small front desk always busy check - in take minute . first tell room not ready ( 2 pm ) go back , double - check find one . friendly clerk ; mention PL.You will likely need use elevator fro . two , work pretty quickly . the room layout ( 1502 ) little eccentric - open door seem like go straight bathroom . open door way see way bedroom , compact claustrophobic . bed soft usually get hotel sleep fine . tv zillion channel examine guide pretty closely find one matter , Weather Channel ( 072 , recall ) . thing expect comfort level - coffeemaker , iron , hair dryer , alarm - . ice machine floor 5 , 10 & amp ; 16.you might want check location light switch , wall lamp , go , take stumble find dark return evening out . the free continental breakfast downstairs , 6 - 10 . addition usual , prefab cheese omelet , actually not bad . one table always available be right next slide front door get draft , dress appropriately . there be business center two computer basement , exercise room . 
 Jan 15 2008 	 bad Manhattan 	 class hotel least bad hotel stay , Manhattan . be cheap , 300 $ , nothing Manhattan . location excellent , 5th Avenue within walk distance many sight activity . room small adequate would expect chain , 's charm anywhere hotel . however , functionality need room . fortunately top floor could see sky window . bathroom large shower , though one day stay , problem hot water . breakfast include room rate serve lobby . , be functional , require minimal service , fine . free WiFi work fine throughout hotel 's small self - service business centre basement . staff pleasant helpful . 
 Jan 14 2008 	 Super clean ideal location friendly staff 	 Holiday Inn Express Fifth Avenue perfect location moderate - to - low price . wonderful experience would happy return . I say first right hotel everyone , explain drawback . opinion , minor matter . room small -- large good sized bedroom private home . shower even tinier . fitness room . guest use gym around corner , cost $ 15 . , review mention , virtually lobby . Holiday Inn Express great important thing . starter , absolutely clean . know New York City hotel , be always case price range . staff helpful friendly . New York , be always case price range . ; - ) Breakfast include , real food . item like egg , sausage , french toast along typical cereal / toast / juice / coffee . ( wish well bagel . , New York . ) free computer printer available guest use . Most , location , simply could improve . mid - way Grand Central Station ( 3 block south ) Times Square ( 2 block west ) . far enough Times Square noise congestion , literally less 5 minute walk Broadway show . Fifth Avenue step away , shop also close . idea good New York hotel mean uniformed doorman , concierge service , grand lobby like see old movie , Holiday Inn Express . will not go wrong look clean room , well - manage staff , reasonable price ideal location . would stay heartbeat . 
 Jan 8 2008 	 Modern 	 book direct intercontinental probably be not smart book hurry . want somewhere close time sq name brand hotel . hotel hide away 5th ave . summary : good point : great location , quite expensive money could stay high star rate hotel guess charge charge newly refurbish hotel . room modern , LCD tv etc , nice shower , quick elevator . staff ar every friendly would expect form holiday inn . breakfast nice variety fruit / pastry / cerial . bad point : small thing breakfast time get quite cold lobby small lobby big door someone come feel cold ! 
 Jan 5 2008 	 Great Location 	 stay hotel 2 night - jan.2 - Jan.4 , 2008 . location fantastic- esasy walk Theatre District , Time Square , Rock , Grand Central Station . breakfast fantastic- lot selection . hotel room small extremely clean . book one night Priority Points pay night- quite reasonable holiday period- $ 266 . staff extremely helpful . 
 Jan 1 2008 	 horrible stay small room 	 book hotel priority point membership Holiday Inn Express . love location New Hampshire . think last time New York City book Holiday Inn . breakfast small fairly good . lobby small . pay soda anything drink . offer free coffee , tea , juice breakfast . staff horrible . rude polite . manager almost overcharge say need government ID . book priority card hit wrong key put reservation computer . the room overall small . hot water horrible . I ask time morning check - out say , & quot ; & quot ; .I stay Marriott Grand Marquez 's much well family like . like algunquin well . 
 Dec 29 2007 	 's LOCATION ! 	 book two room one night . take overnight trip NYC see Christmas decoration . delighted hotel 's location ! two block away Rock Saks . also within walking distance Times Square Central Park . staff friendly ! child give candy cane check every single time walk front desk smile ( much delight ) able get hot chocolate coffee mid - afternoon . room small clean . thing bother fact window sheer curtain one small section drape room pretty light night . drape cover 1/4 window . rather strange . room window problem . breakfast good . 8:00 trouble find table . fill rather quickly seat . deli almost next door offer tasty inexpensive lunch . although able get taxi Penn Station hotel , unable get taxi back Penn . helpful staff member stand street good 20 minute try hail we cab taxi driver want take trip airport . Friday right Christmas really surprise . take we 30 minute walk Penn not bad . course taxi issue something hotel could anything . try well . 
 Dec 20 2007 	 great staff location 	 Wife stay NYC week December enjoy broadway show great restaurant shop . choose Express Holiday Inn due location ( close Broadway Times Square ) price ( cheap compare hotel Times Square area ) . room decent size NYC standard clean . towel bed spotless change whenever want . tea coffee make machine welcome room . staff friendly helpful . complimentary buffet continental breakfast serve 6 am 10 everymorne lobby ( busy get seat will supply tray take anything wish upto room ... never actually happende we ... sometimes busy ) quality breakfast good , yogurt fruit , cereal , toast , cinnamon bun , bagel , muffin tea coffee . enjoy stay Express Holiday Inn probably book next time NYC . 
 Dec 19 2007 	 expectation 	 small room . lobby cramp breakfast area , however breakfast provide good ( good quality fruit , vegetable , yogurt , etc ) . hotel lose fax receive . front desk staff heavy accent make difficult communicate . hotel one ( two ) elevator service . budget hotel great location . criticism review constructive , mean degrade property . 
 Dec 12 2007 	 Great Central Location 	 stay 30/11/07 4/12/07 wife two child ( age 27 & amp ; 24 ) room next door , 1 king size bed , 2 double . bedding , towel room general spotlessly clean . room fairly quiet night - little street noise . bed comfortable . breakfast cereal , pastry , fruit juice , fruit , coffee plentifull . staff frendly helpfull . great location - easy walking distance Times Square - 5mins , Great Central Station - 5 min , Empire State - 10 min , Rockafeller Centre - 10 min . would definetley recomend/ stay . try - go wrong ! 
 Dec 10 2007 	 Nice Hotel 	 Stayed mother , aunt , sister cousin annual girl 's shopping trip NY Nov 28 - December 1 , 2007 . first time stay Holiday Inn Express would definitely recommend . room small NY . clean staff friendly . arrive early stow bag problem room wait we return later day . stay hotel case . really like fact not use bedspread make feel clean . also appear six room floor quiet . elevator fast ample size . Deli across street pop , pizza convenient Fifth Ave Times Square . would definitely stay . 
 Dec 10 2007 	 Brilliant Location 	 Stayed end November group 12 . location superb well anywhere previously stay New York . room small New York . everything spotlessly clean staff friendly helpful . not intend take breakfast buffet good eat every day . would definitely stay would recommend anyone . 
 Dec 5 2007 	 Perfect Hotel Location Hospitality 	 room small , can not beat location . 2 double - bed room , can not share another couple . 's way small - maybe child . walk Rockefeller Center ; be one block 5th avenue - many great store ! good restaurant nearby Emporium Brazil Natsumi ( authentic Japenese ) . staff wonderful ; keep luggage early day hit town run . watch desk staff try talk car take back airport . girl desk tell we would cost twice much take taxi afternoon traffic . offer order car never come price suddenly go $ 50 $ 80 . scramble get ride back airport SUV cab ( end cost we $ 30 plus tip ! except end experience , everything wonderful ! 
 Oct 29 2007 	 great hotel great location ! ! ! 	 first , clarify stay hotel use point , get great deal . regularly price around 400.00 night .... average hotel location . love hotel .... location convenient 4 5 6 train take place NY would like see . hotel clean service great . get direction every morning concierge ... thorough polite . breakfast good .... nothing spectacular , nice free breakfast morning . other say , seat limited , prefer take mine back room anyway not bother . would definitely book hotel .... not know would willing shell 400.00 night , would hard find anything comparable less . 
 Oct 22 2007 	 Decent hotel perfect location 	 mostly good thing say hotel find great place stay small nice clean room . location almost unbeatable . bad hotel part Holiday Inn family lack form CHARM . kind place would select romantic holiday girlfriend . need good place stay night , HIE could well choice ! 
 Oct 16 2007 	 stay Holiday Inn Express 	 husband stay Holiday Inn Express 5th Ave weekend October 13th . front desk staff efficient pleasant . hotel small ... room small lack space , make comfort cleanliness - bed bathroom . hotel block time squre / broadway ( right ) two block shopping district ( 5th Ave , Madison Ave , Park Ave . ) leave location perfect ! hotel FRILLS hotel want nice place say see city ... perfect ! ! ! 
 Sep 29 2007 	 excellent place stay 	 book flight+hotel package Priceline . could not get well deal : ) great location previous reviewer state ; fresh continental breakfast incl ; free wifi area . room clean neat . * beware though : despite pre - paying priceline , hotel charge room ( routinely swipe card checkin , incidental ) try get refund short $ 1000 ! ! ! agree error , rectify , suggest may take 60 day * . , recommend hotel great . staff - reception , breakfast lady , cleaner , bellboy , smiley friendly . 
 Sep 13 2007 	 great location ! ! ! ! 	 hotel 2 block Times Square ( street ) 1/2 block 5th avenue . central almost everything . walk everywhere & amp ; take subway . breakfast great , lot choice ( different one include cheese , donut & amp ; french toast ) . able get table morning ( & amp ; every morning different time ) come back Manhattan would definitely stay recommend anyone know . room clean air conditioning excellent , always room ice cold return heat . room also renovate recently nice & amp ; new . staff helpful kind . 
 Sep 11 2007 	 wonderful Hotel ... 	 wonderful hotel need trip Big Apple ! hotel friendly staff clean , really clean room . yes , room small room unless endless bank account splur expensive hotel . beautiful bathroom give shower bath . king size bed absolutely wonderful . air great long day sight - see shopping . breakfast bar great . negative little room sit . 's little stand ? think go good hotel area . right around block Times Square , Broadway show , plenty shopping . view window . picture view candid photo not room justice . would not bring kid great two ! 
 Sep 7 2007 	 Super ! 	 Holiday Inn express great location - right middle everything short walk subway ride wherever may want go . staff super helpful whenever ask additional towel , etc . room within minute . yes , room small say least , bed comfortable go NYC stay room day ? nothing bad say hotel - it clean , great location , staff great ! 
 Aug 14 2007 	 Great Little Hotel 	 Excellent clean Hotel . location , good , especially hav not NYC . walk around corner 5th av , shortwalk Empire State , Rockerfellor , St Pats , Central Park , Times Square , Hells kitchen . Breakfast include , room clean , excellent cable . good value . Tip tehre deli bottle shop pizza place across road perfect snack cheap meal . pizza awesome . 
 Jul 30 2007 	 good hotel average price 	 hotel locate 3 block near subway , think location good consider hotel . price highly overprice small room ( say small compare hotel NYC previously stay ) . breakfast area ALWAYS crowd hard find open table day . 5 night , 1 day free table three us breakfast time . usually breakfast around 9:30am , consider breakfast serve 6 - 10am , would think would not busy . hotel 100 room ( maybe 120 ) not big . morning , normal wait elevator 5 + minute , ususally take stair 4th floor room . 1 computer low level use 90 % time . probably give free internet usage printer use , also . room clean upon check - in maid generous need extra towel , shampoo , soap , etc . overall , think 's good hotel NYC shopping sightseeing , personally , will not stay . 
 Jul 29 2007 	 can not beat location 	 return fantastic trip NYC , one highlight stay Holiday Inn Express near Fifth Avenue . room not cheap ( $ 300 per night stay ) , say industry , LOCATION , LOCATION , LOCATION ! hotel locate step away many attraction family go city see : Times Square , Rockefeller Center , Empire State Building , Fifth Avenue , Broadway show , convenient subway transportation venue & quot ; must - do & quot ; list ! also , several quick service food option within step hotel pleased include Cafe Manhattan , Milk & amp ; Honey ( great bagel ! ) , Cranberry Deli ( cheesecake ! ) , name . also , couple Duane Reade pharmacy locate around corner hotel ( 5th 6th Avenues ) medicine convenience store type item . also feel safe walk neighborhood dark -- be small town , important we ! party four ( , spouse , two boy ) , other state room bit cramp . enough room two bed small bathroom . however , well - appoint room spotless plenty towel airconditioner really cool room . issue noise whatsoever , elevator usually prompt . breakfast offer downstair always well stock long arrive 10 a.m. , manage find table morning . seem hundred channel ( include premium channel ) big , flat screen television . as far service go , not major problem staff . however , two morning receive request wake - up call . luckily , backup alarm come . desk clerk offer we car service airport night departure . driver arrive time give we excellent service LaGuardia $ 35 plus toll ( add tip well ) .Apart hotel , would like recommend NY Pass . purchase three - day pass online trip . pass entitle we entry / discount 40 place city include several museum , Statue Liberty / Ellis Island Ferry , Empire State Building , NBC Studio Tour , Madame Toussouds name . also get $ 10 credit per person day Planet Hollywood ( food merchandise ) . know recoup expense pass . know pass offer , say one meet family 's need . also , Carmine 's near Times Square serve great , family - style italian reasonable price . I would definitely stay hotel , would not hesitate recommend other . 
 Jul 20 2007 	 clean 	 hotel perfect location ... close many NYC attraction . hotel clean brand new . nicely decorate flat screen tv 's room . quality , value location , would not stay anywhere else New York . 
 Jul 16 2007 	 worth low price ! 	 check hotel Monday morning 12 bag tow . kindly hold otur bag we check time without hesitation . mother request view , clerk explain room really view due fact build tall other ( 22 floor ) . , not expect look see Times Square anything . room TINY ! 's NYC , get steal , anticipate . still , bed extremely comfortable , time plan spending room stay . all , can not beat price location . Times Square 2 block away . make right door look right end street , 's Radio City . location fantastic , anything close , plenty Subway station nearby . as eat , also eat budget , look street ! 2 door wonderful Paninis $ 6 . Cafe Manhattan 5 door awesome selection . Milk Honey across street ( run Rabbi ) fantastic bagel unique pizza . also convenience - type store across street . 
 Jul 12 2007 	 like Holiday 	 husband get business trip , since be NYC , tag along . initially problem , request crib , none , matter solve 30 minute . hotel garnment district . since , everything make China , large number building renovation . the hotel new , clean , service quiet , efficient . room : clean quiet , view : will not remember since do not care.bathroom : clean loaded supply 3 - 4 day . complementary breakfast : room look small , care bring big tray upstairs . generic food , fresh varied buffet ... walk distance stroller everything ... chealsea , Emprire State building , Fith Avenue . baby , able go back forth , hotel- attraction .and tuck ( 8 pm ) terrasse fountain , chair ... little loud AC machinery fountain , great baby workout go bed ... would go back : yeswould recommend : yes , would recommend family : kid old 4 ... really space run around besides terrasse . 
 Jul 5 2007 	 Great Hotel ! ! 	 great find hotel ! ! compact , room lot large anticipate . new clean . absolutely fantastic location ... close favourite avenue ... 5th ... Times Square 5 min away . could not happy selection great price well ! ! 
