good 	 room clean pretty big NYC standard , tv , hair dryer , additional blanket first necessity available . negative note : see several reception staff , friendly , generally prepared give information sort . overall purpose tourism main need reasonable confy room , be right place . 
 Feb 26 2008 	 comfortable return NYC would happily stay . 	 stay 6 day 1 bedroom suite : welcome lobby staff , 2 elevator floor . although corridor bit unprepossesse open door suite really pleasantly surprised . spacious well - lay , huge bedroom kingsize bed , double roll - out sitting room , easily accommodate 16 year - old daughter . small kitchen cooker , microwave ( instruction ! ) , tv , dishwasher crockery cutlery , though utensil . bathroom fine : compact perfectly adequate , water hot though need run . Hairdryer provide good view different voltage UK . not luxurious , comfortable nicely locate , ideal family teenager . 2 block Grand Central Station ( fantastic ) subway , d'agostino round corner lot fresh appeal food ( bit pricey city not ? ) , Fedex internet ' cafe ' 2 door ..... Great highly recommend . 
 Feb 11 2008 	 admit good value 	 hardly nice place . room clean , sheet ugly comfortable . tv old dirt work . staff responsive enough . be look safe , cheap , centrally locate place stay manhattan , could lot bad . place certainly nothing special . 
 Jan 29 2008 	 Great Location HUGE room 	 recently spend two night Murray Hill East . reviewer mention , place not exactly modern , clean problem check - in , etc . room great view Empire State Building within walk distance many great bar restaurant . pay $ 179 per night check - in , get upgrade large room . could not ask ... large fridge , microwave , dishwasher , small dining table , pull - out couch , several armchair separate bedroom two queen - sized bed . ton closet space , small bathroom , impress overall . would stay , esp . kid , since put bed still stay watch tv , etc . great bargain , great stay . 
 Jan 24 2008 	 take earplug 	 husband stay three night Murray Hill East Suites relative 's engagement party . & quot ; plus - minus & quot ; experience . book Priceline , pay $ 110 night , spectacular price Manhattan room . room large Manhattan hotel booking , even small kitchen . room date ( hope like fade green paisley , circa 1983 ) , not mind much . also , tv situation pretty funny -- huge , clunky tv roll stand could move around room . , $ 110 night , expect ? hotel definitely no - frill experience . large problem wall extraordinarily thin , could hear every peep make room around we . include scream laugh several room young woman come New York party , would stay 4 5 a.m. night . last night call front desk complain , man front desk decidedly unhelpful . also , notice never change bed sheet -- make bed . replace towel every day . we stay second floor , advantage disadvantage . lot street noise ( typical New York -- live several year 's something get use ) neon light window across street give room electric pink glow shade open . shade closed , light problem . the benefit second floor , however , hotel internet access , except wireless lobby . since directly lobby , strong wireless signal room . finally , husband use gym say nice -- comparable 3 4 star hotel mini - gym . supposedly redone . lady , like use conditioner hair , bring . hotel stock classic & quot ; condition shampoo & quot ; - one bottle , one giant tangle . 
 Jan 18 2008 	 absolutely worth ! ! ! 	 read review mention date style room furniture , would take grain salt . guess everyone different taste . find hotel perfect NYC . also , extremely horrendous experience previously different & quot ; hotel & quot ; pay twice much ! ! room clean everywhere hotel ! ( well place see ) . downside slightly rude receptionist . phone call couple time question answer curt elaborate . completely disregarded part save probably $ 150 ! ! ! bottom line : bad place city stay one . 20 star hotel compare one stay ! ! ! almost post without mention BEST sushi place ever . maybe block hotel 581 3rd Ave call Hane Sushi . decide go ask Charlie hook good stuff ever taste ! ! ! also go Margarita Murphy 's pretty good time . hope helpful . read lot review prior booking feel owe whomever provide point view ! 
 Jan 16 2008 	 Stayed 01/04 - 01/08 Perfect Hotel around ! 	 other dream travel abroad foreign country island , dream visit New York . finally arrive New York , know expect . decide stay hotel , mainly kitchenette great price , especially since plan stay indoor often . upon arrival , hotel well think , kind doorman spacious ( common ny ) hotel room . upgrade Queensize bedroom . , three closet space include iron / board . cozy bathroom w/ courtesy toiletry kitchenette w/ mini refrigerator oven essential cookware ( microwave though ) . even small area dine living room . location hotel absolutely perfect ! 5 - 10 minute taxi walking distance everywhere ... Times Square , Grand Central Terminal , Chrysler Bldg , Rockafeller Center . lady front office even mail postcard . internet room , laptop WIFI go downstair hotel lobby / waiting area , receive free internet . block , Fedex / Kinko 's , pay internet . perfect hotel New York experience , minus hussle bussle city . highly recommend hotel future stay . 
 Jan 9 2008 	 Murray Hill good hotel good location 	 stay Murray Hill Suites dec1st 7th . 2 couple . horror story hear New York hotel & amp ; bed bug etc . delighted make good choice . decor little date & amp ; luxury hotel clean & amp ; comfortable & amp ; important . large bedroom 2 big double bed & amp ; plenty wardrobe space , also big pull sofa bed living room along tv , chair , dining room table & amp ; chair etc . kitchen fridge , dishwasher , cooker , microwave , toaster tea , coffee etc . never cook use toaster & amp ; coffee maker morning . bathroom small spotlessy clean clean towel daily & amp ; also shower powerful need day walk New York . room face street & amp ; view ESB . staff time pleasant & amp ; problem check check , efficient . it ten minute walk GCT & amp ; onto 5th Avenue & amp ; ESB & amp ; Macys . would hesitation staying & amp ; booking & quot ; apartments2book & quot ; . find reasonable site try time . $ 420 4 us night include taxis busy time year . 
 Dec 17 2007 	 Worthwhile option 	 need place stay show turn Murray Hill East determine several hotel patronize past charge $ 400 night . arrive , tell would get room upgrade give key # 1001 . review state , room essentially efficiency apartment . one newly retile bathroom , kitchenette , living room couch love seat dining table . place clean , decent uptown view , bed comfortable . winter storm roll overnight , heat adequate -- something take grant old New York hotel . lobby elevator show sign heavy wear . the $ 319 per night rate ( taxis ) represent decent deal , bargain book . overall experience remind get use old college friend 's apartment weekend . Grand Central terminal subway , restaurant commuter rail three block away . will keep place mind future travel , probably second third choice . 
 Dec 7 2007 	 place great ! 	 four night absolutely terrific . repeatedly mention , room little worn , large clean . excellent location really top value . feel safe venture day night , find great place quite near hotel : diner 40th & amp ; lex , great pub 40th 3rd & amp ; lex , market 39th & amp ; Lex . also love skate rink Bryant Park ( behind NY Public Library ) , cocktail snacks outdoor cafe ( heater ) one evening watch ice skater . not miss Grand Central : station fabulous , & amp ; wonderful market main floor , excellent food court low floor . 's great place snack meal & amp ; people - watch ! return NYC , will definitely stay ! 
 Dec 2 2007 	 overall good value 	 arrive noon , able check early . stay one night peak season , hotel fully book . first room show first floor , two double bed . need queen bed , since sleep six people . ( additional queen sofa bed living room . ) give room 14th floor , 1404 , smoking room . preference , want chance move . suite quite spacious clean , one heater blow cold air . report front desk leave day . arrive back evening , space heater area break heater . unfortunately , queen sofa area , cold night . cold air blow room . stay another night , would request move again . the location great , good value rate , picky check chance ! book apartments2book problem . Sam 's Place across street outstanding ! 
 Nov 27 2007 	 fantastic location spacious room ! ! 	 book via Ebookers.com trying pick huge list NY hotel ! ! appeal price , location , review room size . to re - iterate say , yes decor quite date lift ( elevator ) bit hit miss ! however room spotlessly clean , fantastic size New York ideally locate . brisk 10 min walk Grand Central leisurely stroll 5th Avenue onwards either town . fabulous diner , Bloomers , breakfast ( try & quot ; famous & quot ; Eggs Benedict ) , lovely italian great japanese restaurant try , within five min walk . also convenience store corner stock everything could need ( include umbrella 's get stick rainy day ) . room face onto 39th Street great view Empire State building . odd occasion car wake night , main impressed quiet be . if look good value money , good location , clean room friendly service would definitely recommend hotel . 
 Nov 6 2007 	 fantastic value ! ! ! 	 book Murray Hill East Suites apartments2book.com completely thrill experience . stay NYC weekend NYC marathon , hotel room premium . hotel offer comfortable , extremely spacious room lot storage , kitchenette much less other . could not get size studio room . twice size half cost would pay close Times Square . close Grand Central Station bonus , easy 5 - minute walk away . walk Empire State Building ( 10 - 15 minute ) well theater district show ( 20 - 30 minute , depend location district ) . not feel like walk , $ 10 cab ride $ 2 per person subway ride anywhere . neighborhood residential , breakfast one morning Bloom 's Deli ( corner E 40th & amp ; Lexington ) , enormous , flavorful portion mom & amp ; pop setting . sure grab slice cheesecake Junior 's ( originally Brooklyn , storefront Grand Central Station well diner Shubert Alley Theater District ) too . the drawback could hear traffic hour , kind add experience New York City . room overlook street , wonder room overlook alley would quieter . room decor bit 1990 's , be spotless good condition . overall room relax great , care vintage ? 
 Nov 2 2007 	 excellent value location 	 research research hotel first time New York two teenage daughter concern safety location . always trust trip adviser report find totally accurate disappointed .. book one bedroomed apartment spacious , spotlessly clean fully equip kitchen dishwasher . yes , decor old fashioned . reception always helpful always feel completely safe home . the price exceptionally good value active hotel cost much less book one room hotel . the location ideal , 5 minute Grand Central ( subway , cheap , safe easy use ) cafe , 10 minute 5th Avenue Times Square restaurant , supermarket , deli round corner . would definitely go back . 
 Oct 24 2007 	 great place stay 	 three gal spend 5 day shopping spree NYC . Murray Hill East Suites perfect place stay . one bedroom love accommodation . kitchen perfect keep snack breakfast bite . clean staff great . doorman excellent desk staff quite nice helpful . little bit street noise , , New York ! easy access transportation , local eatery , etc . definately use Murray Hill East Suites recommend anyone know head New York City stay . 
 Oct 21 2007 	 great 	 fantastic price apartment style accomodation , meet people tour pay way small hotel room , location good walk get subway , little noisy traffic noise time hey city never sleep expect ! overall good . 
 Oct 21 2007 	 New York budget 	 hotel within walk distance many top attraction relatively close subway . room clean staff good great . price could think well place stay Manhattan . would recommend anyone travel New York . 
 Sep 28 2007 	 Excellent experience 	 stay mid - September pleased place . three friend holiday NYC & amp ; not want share bed also want save cash - place perfect . good price - pay less $ 350 night large 1 bedroom apt 14th floor . room 2 queen bed , kitchen , lounge area 2 sofas ( one fold - out queen bed ) although decor / furnishing not modern , certainly we . not spend vast amount time room - NYC afterall , however , , comfortable experience certainly less expensive alternative , 2 hotel room option ! ! ! location great , couple block Grand central conveinence store corner 39th & amp ; Lex need + make great sandwich 
 Sep 28 2007 	 Perfect NYC 	 great place stay city break . great location local flavour . nail bar , dry cleaner , supermarket , pizza , breakfast place doorstep - make live little NYC life . 's super luxurious room bed big comfortable enough . would book . 
 Sep 20 2007 	 tired outdated experience 	 sorry ... experience simply wonderful one other have . I pay $ 500 room , tell helpful clerk front desk upgrade . also say wireless internet access , people room report receive usable signal . the room major disappointment . hotel 1950s/1960s apartment building convert , ' m sure be ever really upgrade . room 14th floor , quite big ... one - bedroom apartment . however , furniture orange velour ... kind of / almost match matted burn orange carpet . combined white Formica cube end table , white Formica desk , not anything modern , classy , upgrade feel . the two bed bedroom fine , little hard , get pretty decent night 's sleep . 14th floor , could even open window slightly get ( NYC - style ) fresh air . I guess large frustration lack internet access . ' m business traveler key element . hotel 's laissez - faire attitude clearly say ' m target customer ( & quot ; ? & quot ; & quot ; oh , maybe year so . & quot ; ) . signal other report receive , even lobby , simply available , available two laptop user lobby time . , near WiFi - enable Starbucks block away , make . still , attitude , plus tired , run - down ( albeit clean ) ambiance hotel general make place not think worth time money future . 
 Aug 30 2007 	 great location ! perfect quality / price ratio ! 	 really good solution trip New York City ! book room kitchen apartments2book . position perfect : 39th Lexington 3rd Avenue . close everywhere , public transortation Murray Hill area really wonderful ! room big nice , bathroom little bit small new beautiful . also kitchen one supermarket close hotel . reception kind , efficient : girl tell not internet connection hotel , discover last day one free wireless connection hall ! ! also forget change sheet sofabe arrival ... open find use sheet ! ! ! terrible ! ! anyway , go reception , apologize give new blanket ... ( bed ! ! ) . luxury hotel , look nice , clean kind aparthotel kitchen save money without loose quality good location , good solution ! ! 
 Aug 17 2007 	 perfect we 	 spend five night second week August happy room , price - point service . draw - back wi - fi available room , available lobby . would stay New York minute . 
 Aug 17 2007 	 good choice 	 hotel good . clean quiet , except noise door - closing disturb we little bit . housekeeping prompt efficient . room spacious comfortable . use laundry service . try breakfast nearby cafe ( frontier ) good well . 
 Aug 3 2007 	 outstanding value midtown hotel 	 book hotel need suite - style room configuration . one - bedroom suite excellent - sufficient privacy living room sofa bed bedroom occupant . nice , clean kitchen bathroom . clean throughout , seem room recently remodel . front desk Door - man service excellent . convenient location - short cab ride comfortable walk Times Square . nice place great value ! 
 Jul 31 2007 	 happy stay 	 hotel week July . clean , quiet , superbly locate : need get low numbered street well usual museum ( first - time visitor ) kitchenette fine : room information say microwave toaster available , not get around ask . not count luxury , neither house , would stay time . 
 Jul 25 2007 	 quiet reasonable convenient 	 select hotel base Trip Advisor review disappoint . 20 - year - old son stay weekend . first , quiet , rare attribute New York . traffic , loud bar near - by , dumpster empty 4 a.m. area relatively quiet three block Grand Central Station subway anywhere 10 minute away . hotel half - block 3rd Avenue cab plentiful . theater district 10 - minute walk Grand Central 10 minute subway shuttle . room fairly large New York small refrierator , sink stove never use . Maid service excellent front desk helpful . one small piece advice ; ask call cab airport trip night need leave . hotel call cab call car service we . fee $ 50 LaGuardia instead $ 24 cab ride . really big deal . resort hotel five little kid look pool game room , . quiet convenient reasonably price . 
 Jul 13 2007 	 Great Choice 	 happy hotel . location convenient -- short walk Grand Central . room well maintain , clean . staff friendly helpful . would stay -- question . 
 Jul 2 2007 	 good price 	 book single night Priceline . forgot priceline not guarauntee room three people . check informed would charge $ 20 extra person ( daughter ) get cot free . first room eighth floor one queen bed . bellhop say would bring cot right away . change go evening . get back room several hour later cot . call front desk tell promise one . say not help since three people one bed . guy front d keep say & quot ; sorry not anymore cot not understand bell hop not bring one & quot ; . get frustrate handed phone husband . tell front d daughter go sleep floor . guy say would right move we new room floor . wait 30 minute husband go front d see go . nothing , sit around . husband return luggage cart key new room ( help ) . move first floor two room suite . huge nice . $ 20 extra person charge remove bill & quot ; trouble & quot ; . little frustrated service work end plus get discount parking . would stay . 
 Jun 26 2007 	 Nice Place ! 	 return week New York City , 6/9/07 - 6/16/07 really enjoy stay Murray Hill Suites . staff friendly doorman accomadating , help lugage hail cab . location great , close everything neighborhood give feel resident oppose visitor . build apartment complex still maintain ambiance . unit , although old side , clean comfortable . particularlly enjoy kitchen since group want eat theatre other want wait . number deli 's grocery store area allow we save money eat apartment time . one bedroom unit two full sized bed fold sofa livingroom convienent group . certainly return Murray Hill next visit NYC . 
 Jun 22 2007 	 Great NYC Bargain 	 stay Murray Hill East Suites June 16th-21st , 2007 , book Priceline ( via name price feature ) . surprised get money & quot ; & quot ; hotel Priceline . unfamiliar Priceline choose area would like stay star rating ( choose 2 star , get 3 star luck way ) , tell pretty much right away whether offer accept . hotel name stay anonymous put offer accept . I manage get whole one bedroom suite ( look like renovate condo ) come living room , large one bedroom king size bed , small bathroom , kitchen . get extremely reasonable rate ( would cost hostel downtown manhatten ! ) . travel fiancee look reasonably price hotel near attraction NYC since first time . hotel 39th street , Grand Central station ony 42nd 's pretty close , close review make sound . 5 - 6 minute walk , long one 30 degree celcius heat . nevertheless be bad location . the kitchen small not end use except full size freezer / fridge ( great keeping drink / leftover cold ) . suggestion th hotel put microwave . impressed clean suite , large bedroom living room . tv ( although tiny ) good end day walk walk , many channel choose from . the bed huge , airconditione living room bedroom nice . maid amazing job housekeeping every day , make sure bathroom linen well supply such . the concierge downstair neither rude hospitable -- need anything not bother much . hotel seem full capacity mean really quiet . hallway smell like rancid smoke time , suite fine . elevator old , think building would old like manhatten , unless plan shell buck something fancier much expensive . overall would say choose hotel budget mind , need / want lot room , place stay close everything . take subway everywhere , even walk Empire State building hotel . 's fancy , 's good value dollar . total trip ( hotel & amp ; air Vancouver ) $ 1000 CAD real bargain expensive city . tips:1 ) buy new york pass . buy ( planet hollywood times square ) online newyorkpass.com . well worth money help plan itinerary . get $ 10 credit day pass Planet Hollywood use souvenir . the New York pass also allow skip ticket line , like busy Empire State building.2 ) buy unlimited metropass -- 's indispensable way cheap take cab traffic congest city . buy machine there.3 ) Credit card accept everywhere ! hardly ever fork cash . convenient.4 ) must see thing ( free w/ New York pass ) : Radio Music City Hall TourMadisson Square Gardens TourDO ROCKEFELLER TOUR unless want look art building hour NBC Studio tour ( go early reserve spot -- fill fast , go next day ) Circle Line Boat Cruise ( upgrade 3 hour $ 4 -- nice hot day good begin good overview city ) .5 ) get hotel JFK airport opt subway instead $ 45 + cab ride ( flat rate plus tip / toll ) . $ 5 airport airtrain subway $ 2 subway ( buy weeklong unlimited pass $ 24 / week ) . also shuttle take like airlink supershuttle . use airlink ( $ 20 usd ) one way JFK hotel horrible experience . bill credit card , driver ask we pay cash ! long discussion finally get cash back nice way end trip . you prebook Supershuttle online website give discount . if find review helpful please let know ! feedback always welcome . 
 Jun 20 2007 	 good value clone Eastgate Towers across street 	 stay single night recently Murray Hill East Suites . ' ve previously stay Eastgate Tower , across street block east , pretty good idea expect convert apartment building . fact , Murray Hill East Suites nearly identical physically Eastgate Tower -- room mirror image one Eastgate Tower month . general perception furniture / drape / carpet Murray Hill East seem every slightly new / clean Eastgate Tower , furniture identical , not much difference overall except bathroom ; bathroom Murray Hill East appear remodel completely new fixture , tile , etc . sometime last year so . the room large comfortable , dining table chair , sofa , end table , arm chair , coffee table , tv stand , dresser , along double bed one nightstand , arrange l - shape room dining table top L near door , couch along one wall , tv near angle L , bed / nightstand base L. small kitchen separate room near entrance door , half - sized fridge , full four - burner ( albeit small ) range , coffeemaker , sink , etc . the bed nothing much -- low end acceptable -- pillow barely -- scavenge two extra pillow closet make decent place put head , first time look closet extra pillow mistake two pillow fold sheet -- thin flimsy . I end use high - speed internet access -- could not find indication hotel - provide wireless signal , wire connection kind room . since not start look late night , decide could live without morning not pursue . neither , first hotel ' ve US fifteen year give actual , honest - to - god metal key room , instead magnetic card key ( another vestige building 's day apartment building ) . be particularly concerned security possibility someone duplicate key , suppose might give pause . service , limited interaction staff , courteous professional , effusively friendly . all , seem like excellent option part Manhattan , particularly price . return customer 's location several day , would definitely consider . room spread kitchen could store prepare meal would welcome . 
 Jun 14 2007 	 great value NYC 	 large two - bed room ( 6th floor face north . nominally & quot ; smoking & quot ; without smell ) full kitchenette , two big closet big bathroom basic amenity , plus dresser desk , window open , actual ( narrow ) view , adjustable air - conditioning , decent bed . staff helpful cleanliness faultless . hotel old - fashioned thick wall quiet street ( important sleeping ) despite central location , grocery wine store around corner plenty cafe bar wifi nearby . hotel laundry center 's dry cleaner across street . tradeoff room service , hotel cafe bar , business center online access , might matter winter . also , room decor old - fashioned indifferent carpet bit worn . 
 Jun 13 2007 	 Sooo happy choice stay 	 stay hotel monday june 4 2007 - wednesday june 6 2007 . take forever decide hotel anyone decide go New York City , probably understand hard find affordable hotel . hotel choose ! locate right Grand Central 10min walk Times Square bad walk whether day late night . location close Macy 's big shopping district . hotel great surprise ! great surprise upgrade room huge ! large living room good sized kitchen large bedroom 2 double bed . travel 4 people great size ! luggage lose upon arrival hotel helpfull make stay comfortable . lot place eat area ! walk towards lexington . scottie GREAT dinner breakfast late night dinner deliver hotel ! ! go New York City look site see consider & quot ; Grey Line double decker bus tour & quot ; hop - on - hop - off pass great deal ! stop UN building pretty close hotel ! bed comfortable airconditioning work great ! thing wrong tub collect water shower that s even big problem . stove dishwasher kitchen housekeeping prompt early morning ! would deffinately stay , everyone nice location worth get room little outside Times Square . 
 May 30 2007 	 great place ! 	 book online 2 night mid week stay , love . convenient location , 5 minute walk ( ) Grand Central Station , go anywhere . ( take bus Laguardia ) . nice neighborhood , relatively quiet ( quiet NYC get ) -- tho back room hear front room street noise . room size quite big , although be nothing fancy , clean functional . small kitchenette could keep drink fridge , warm leftover , etc . ( tho microwave would nice ) . price ( least one get thru Travelocity ) reasonable midtown hotel , would look stay first if / when return city . not need much assistance hotel , pleasant cheerful every time talk . overall , would highly reccomend ! 
 May 5 2007 	 would stay 	 son ( 25 ) work Philadelphia wife fly UK join long weekend New York . we scour net suitable suite luckily pick hotel . read horror story cramp hotel room overrun mouse roach find hotel clean large bedroom roomy separate living room sofa bed , table , chair etc . kitchen small anything need bathroom clean towel replace every day . stay room 303 front build quiet apart loose manhole cover road outside make noise seldom occasions car pass . walk NY day problem sleep . hotel close Empire State building top could see window Times Square pleasant stroll away . 
 Apr 17 2007 	 Good Value decent stay 	 Stayed Murray Hill East April 6 - 9 , 2007 . location excellent 3rd 39th . walk Grand Central Station ( 2 block away ) , Times Square , much more . the room studio two double bed , sofa ( pull ) , table 2 chair , tv , Desk . kitchen small , offer everything need . microwave oven however . room keep clean , although could use update . carpet pink ( bad color hotel room ) several stain . housekeep good job , even wash dish . enjoy space hear hotel room NYC small . 8th floor could still hear street noise , NYC . hotel 4 Seasons , really good value great location home NYC . 
 Apr 17 2007 	 great location good value 	 spend 5 night March 2007 , pleased accommodation . the apartment well situate supermarket restaurant locate block , Grand Central Station Times Square within walk distance . the front desk staff friendly helpful , 1 bedroom apartment spacious clean . drawback bed pillow bit soft , passage way lead room smell musty . overall , apartment affordable comfortable , would stay . 
 Apr 11 2007 	 unfortunate stay 	 stay Murray Hill Suites two year ago , prepare good experience , begin disappoint . request no - smoking room , open door smell tobacco permeate room . suite three people king bed convertible sofa living room . open convertible night take sheet blanket closet , blanket horrible stench . since almost midnight , call front desk complain , since nobody else duty except front desk person , put clothe go downstair get replacement blanket . discover bedroom window keep open strong wind blow . occur night NY temperature range high 30 's low 40 's . try kind method keep closed , success . finally get bellhop come upstairs fix difficulty . housekeeping , , disappointing , one guess experience blanket . clean job day haphazard , last night stay not even make bed . disappointing . 
 Apr 4 2007 	 great Great Value 	 second time stay Murray Hill East . visit excellant . room large , clean , ready use . three closet , king size bed , desk , exec chair , coffee table , couch , arm chair ottoman , breakfast table two side chair , kitchen new appiance , bathroom clean whistle . the neighborhood safe everything need : florist , liquor store , bagel shop , convenience store , two restaurant , grocery store within one block . cab easy hail 3rd Lexington Avenue . 39th St. location put close many thing . can not beat place comfort , convenience value./bobt / ncarolina 
 Apr 2 2007 	 uncomfortable room noisy street 	 spend past weekend Murray Hill Suites thoroughly disappointed . room uncomfortably warm air conditioning yet work open window ( open 6 inch ) cool hear loud street noise . sleep well . shower adequate water pressure , anti - scalding shower tap ready significant shower change . can not imagine hotel anti - scalding shower tap ! want separate first night charge since expensing tell could check . , person ( first ) say could since already ' post ' . well , could unposte , choose really could care less . we sadden experience since really like neighborhood ( great restaurant , store close everything ) . stay . 
 Mar 27 2007 	 fantastic value great location 	 visit New York 5 night , primarily attend Elton John 's 60th birthday concert , also usual sight - see socialising . stay 5 night two friend two bed suite top floor . hotel conveniently locate 5 minute Grand Central Station . need close : supermarket , internet access ( next door ) , several diner , bar , restaurant within couple minute . handy also subway . the suite extremely spacious bedroom 2 double bed . lounge /dining area large great late afternoon / early evening chill sight - see eating ! two bathroom , shower masse masse storage . the problem encounter one shower pressure heater blow cold . rectify immediately report could ask . staff without exception , friendly helpful . little traffic noise honest NY not traffic noise ? quickly get use certainly not effect sleep . the decor little date , not carry critique US taste wallpaper ! agree visit New York would include stay , 's tremendous value money ( couple pay around $ 1450 inc taxis 5 night ) . highly recommend Murray Hill East Hotel anyone want short stay bolt hole great price . also , try visit russian Tea room adjacent Carnegie Hall special night , must book . bottle wine world class wine list range £ 30-£3000 ! boathouse Central Park Lake also great venue , romantic ! . close hand , try Sams , little italian opposite hotel . another first us trip visit observatory top Rockefeller Centre . massive queue Empire State ( 2hours ) , hardly RC think experience well . centrally locate well view , especially Central Park . irritate grate look clear glass panel , something could never get esb ..... fantastic view ESB 70 story ! ! fantastic trip enhance accommodation , course concert 3 half hour amazing music . great time . 
 Mar 23 2007 	 great location -- budget price 	 great place price ! friend stay Murray Hill East Suites three night spring break ( Mar . 12 - 15 ) , could happy . well , be exactly true : would happy wall not quite thin shower would run consistent temperature . -- midtown hotel , price could beat ! staff also friendly . would stay hesitation . 
 Mar 19 2007 	 ` ` would stay ! '' 	 come back fantastic week ny -- great place 2 mom & amp ; 2 daughter celebrate Spring Break NY stay ! read lot review site book hotel & amp ; ' m glad . we , perfect choice -- reasonable rate , plenty money leave shopping . love spaciousness 1 bedroom suite -- lot room clothe & amp ; shoe , etc . location great -- quiet & amp ; nice neighborhood feel quite safe . walk corner good bagel & amp ; cream cheese every morning way Grand Central Station . pick snack & amp ; bottled water corner store way back every nite . several restaurant & amp ; delicious deli walking distance . not really use kitchen -- refrigerator ! staff help point we right direction need know good way head next adventure . appreciate cleanliness excellent maid service every day . care bedspread not one would pick ! will stay next time sure ! 
 Mar 17 2007 	 great palce stay 	 place bit date , staff courteous helpful . location terrific , bit offf beat path , 3 block Grand Central magnificent get anywhere city . also near NY public libray unbelievable , must see inside , near Empire State stop Grey bus line hop on / off . great value money NYC , little kitchen silverware , glass bowl ect fridge , many little grocery store around stock . 
 Mar 16 2007 	 ok beware Exra Charges ! 	 hotel right New York standard ... however , sister rashe sit couch ( may dustmite ) . family stay 7 night past winter . upon arrival , tell pay 85 $ night four people party instead 2 , extra $ 600 ! ! ! could stay much nice hotel price , since non - refundable , continued stay . manager simply rude . however , doorman , accountant staff right . reminder : 2 people party , note reservation avoid extra charge ! try find hotel would not charge much ! 
 Mar 15 2007 	 Good Murray Hill Experience 	 finish 5 night Murray HIll East Suites . location fantastic , super easy get anywhere Grand Central . gourmet market around corner super . lack internet access real pain , get signal Kinko 's next door lobby sometimes pay credit card surf , end go Apple store 59th 5th free access . staff hot cold , sometimes modestly helpful often dis - interested & amp ; stand - offish . room super big , firm bed , buy pillow Macy 's , pillow really bite , esp . premium hotel nice selection spoil . think loudest hotel use NYC , even night seem constant noise front , part steel plate cover hole street make racket every time someone drive earplug settle problem . so every hotel up down like MHES overall would stay , mainly rate , case time . sad $ 250 / nt & quot ; good rate & quot ; , ' m sure much long able afford NYC . 
 Mar 6 2007 	 great deal money 	 stay Murray Hill East twice past year time good experience . staff helpful caring . room big clean . room small kitchen . never know may get far room NYC never disappoint room Murray Hill . safe nice neighborhood . always get cab Third Ave . $ 25 per night park car garage . walk distance Times Sq , Empire State building . 
 Feb 20 2007 	 overall bad not need go back . 	 try hotel President 's Day Weekend family . staff polite seem disintereste . Hotel 's location great room expect & quot ; suite . & quot ; sofa bed terrible shape point son want sleep choose close bed sleep sofa . old building like many review , decor outdate influence opinion room . actually find build rather charming . good traveler 's hotel , look somewhere sleep trip city . little kitchen stove fridge use comment well work . not dislike hotel , stay well around price . 
 Feb 15 2007 	 old convenient spacious 	 hard press find hotel room NYC December weekend , one wound work fine . 4 us girl / shopping weekend , want 2 double bed . unfortunately none available . pull - out sofa , though . hotel old apartment building convert hotel . staff ( particularly door man ) nice accomodate . room quite large NYC little kitchen . would stay convenient area place would want hit Manhattan . 
 Jan 31 2007 	 enjoyable stay -- exceptional value location 	 stay Murray Suites mid January long week - end . suite huge ( NYC standard ) , clean quiet . bed comfortable . like little NY apartment complete small outdoor patio ! live NY prior relocation , frequent traveler visit NYC many time last 10 year , ' ve see share good not - so good hotel room . opinion , Murray Suites exceptional deal . we please amenity , location overall value . housekeep thorough reception staff great , help we find great 24 hour deli arrive 1 a.m. ditto help we get early cab airport . note early reviewer , decor bit date ( think 1990 Bombay catalog ) minor detail think plus . would definately return . 
 Jan 27 2007 	 would stay 	 book hotel favorable review Tripadvisor website disappoint . awkward moment came check tell confirm $ 149 / day rate AAA member , not . hotel accept confirmation rate , good New York City hotel tax impressive 19 % now . we good - sized , comfortably furnish room ground floor queen bed , bathroom bathtub , large closet plenty hanger , iron ironing board , fully equip kitchenette complementary coffee , tea , creamer , sugar . large supermarket nearby could buy grocery deli . also several coffee shop restaurant . could walk Grand Central subway . room quiet clean . staff helpful . would certainly stay . 
 Jan 12 2007 	 great location lovely accomodation brilliant staff 	 great time December 06 . fantastic location , near lot shop nice place eat . room lovely get free upgrade arrive ! reasonable price staff accomodate . will definety stay next visit ny . 
 Jan 5 2007 	 Excellent Location great value 	 5 we travel New York start December stay Murray Hill Suites . 1 bed suite say excellent . plenty room 5 us 2 double bed bedroom double sofa bed living room . great kitchen could make cup tea even eat one night . location excellent shop corner sell everything Starbucks around corner . also Grand Central stroll away train ride everywhere . want walk around Time Square 15 min would not even notice walk much see . stay Hotels New York far superior . would recommend Murray Hill anyone . 
 Jan 5 2007 	 Good Value Central 	 two friend pleasure stay Murray Hill Suites New Year celebration . find accomodation look , central , value money comfortable . reception staff welcome accomodate , housekeeping ensure one bedroom apartment clean every day . within easy walk distance Empire State Building , Herald Square , Times Square Fifth Avenue , suite ideally locate we view city without problem . downside , one occasion misfortune leave wait elevator 20 minute . minor detail would recommend Murrary Hill Suites anyone . 
