awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Dec 25 2008 	 Spectacular . 	 property beautiful . stay Spectacular King Room ( mean view lake ) thing like room instead door bathroom , screen . private bathroom ! everything else room amazing ! ( course , W Hotels amazing ) amenity hotel see W Hotels pool Spa . unfortunately , pool close maintenance . not make spa . boutique site must shop - x - mas shopping . able find plenty unique gift . check bar 33rd floor . amazing view Chicago . beautiful space full beautiful people . also Check Acura booth thte hotel . instead take cab , book Acura cruise around town ! ! 
 Oct 28 2008 	 reasonable option Chicago business travel 	 pretty well execute W. bit way business high - end leisure traveler , always plenty cab make . good service Port Cochere check . lobby lobby bar bit tight everyday W. Room ( lakeview high floor ) typically size Starwood bed one expect . bathroom -- great solo traveler , ideal otherwise . wall thin paper -- prepare security bounce room next door 's guest , respectful enough move upstairs bar reasonable hour . exhorbitantly price Starwood internet service skip . room service adequate , service test . top point : spacious well equip gym . one good hotel gym ' ve -- basic , spa frippery either . 
 Oct 27 2008 	 Great Hotel Get good Rate ! 	 also one & quot ; super swank & quot ; hotel call . decor ultra modern door service good ( nearly good & amp ; polite & quot ; James & quot ; though ) . room decent size , great flat screen plasma room , nice view Lake Michigan , super modern design . bed comfortable 's decent sized desk area business traveler nice area kick back , relax watch tv . get deal Starwood able fork something like 1,000 point ( minimal ) pay something like $ 140 per night room . I consider hotel worth anything $ 250 night base other area ... , well hotel ( unless everything really jack area big event ) . pay something like $ 400 night like reviewer ... would give place terrible rating , roughly $ 200 per night , think 's great place stay want super hip & amp ; trendy ! end , bed & amp ; pillow always great @ W , room nice , decor ultra modern , lounge super hip , place always young New York / LA style hip - hop vibe . 
 Oct 24 2008 	 practically perfect 	 W make feel like goldilock : right . fantastic location - far enough Michigan Avenue Navy Pier - fantastic City lake view , usual w comfort , friendly staff usual W hipper - than - thou crowd . would not think stay anywhere else next time be town . 
 Oct 18 2008 	 great View Hotel 	 stay 4 night W lakeshore Aug 2008 . big W fan really look forward stay . stay least dozen W Hotels put one quite low list exept great view . lobby busy check could get near desk . front desk staff good mood day . ask get Platinum upgrade snap said & quot ; get ya good view that s , busy OK & quot ; . nice start . room small shower dark feel closet light . room run bit bad thing ancient air conditioner sound like truck muffler . love Chicago use www.sneakysunday.com choose dinner bar . tell right ! trip would near good use sneakysunday . non biast web site choose coolest place go . Chicago come coolest ! think next time Chicago would pick another Starwood Hotel . w did'nt live W standard . 
 Oct 1 2008 	 RUDE SERVICE ! ! ! 	 nightmare ! ! ! place charge 479.00 plus tax room size box . choose hotel boast hotel area lake . get lake view room . could not believe eye ... room small 3 window start 4 1/2 foot wall . unless right window view cloud . not coffee / tea machine room want coffee must go lobby . bathroom bedroom separate shutter look privacy , . family issue way hotel . arrive right check inform may leave next day family situation . later evening call tell indeed would go . say would charge we $ 100 early departure fee . mad go talk someone . downstair manager say , $ 100 $ 479 plus tax early departure . husband get manager explain leave due circumstance beyond control . obnoxious state rule could knock $ 150 . even ask okay rudely say , & quot ; well , emergency ? & quot ; one ounce sympathy situation . return room call speak rude manager finally say owe nothing early departure . sorry good service . never stay . many W hotel never experience . 
 Sep 22 2008 	 make sure ask lake view room 	 hotel typical W - cool lobby , chic bar , nice outside sit area . room tiny bathroom provide zero privacy shutter instal room bathroom . bed amazing . unfortunately , get stick & quot ; city view & quot ; room , translate look onto roof building pavement . go top floor however check view lake . 
 Aug 17 2008 	 Average Hotel Experience 	 stay W Lakeshore second weekend August three night . , pleasant -- relatively average -- hotel experience . positive * Cool Decor * Great Bliss spa product room * staff helpful -- someone cut front we check - in line , complain staff give free drink coupon * & quot ; whenever , whatever & quot ; Desk helpful need know Chicago attraction * comfortable bedsnegative * enough elevator -- expect decent wait peak time * bathroom small DARK -- hard accurately apply makeup space * Bathroom also odd shower configuration -- shower wall one half open side , side COMPLETELY open -- curtain , nothing -- stuff floor get wetall , nice one chain hotel ugly bedspread curtain ( fact , purple bedspread room one would love home ) . , expect & quot ; top & quot ; experience , fall little short . hotel part another , less - expensive chain , show . hotel would like & quot ; rock star , & quot ; come across & quot ; American Idol & quot ; true star , make sense . 
 Aug 14 2008 	 nice place nice enough money 	 husband stay W one night good stay . room view fair ... lakefront though disappointing . although bathroom setup take quite beat review husband love . different else ' ve ever stay . overall room nice , clean . however adjoining door another room could hear everything .. paper thin wall . want get room service charge outrageous spend 250.00 one night . great place young single , friend , romantic getaway would definetly recommend say parent grandparent . lobby bit loud thier taste fine we . 
 Aug 12 2008 	 good experience overall 	 overall great stay W Chicago Lake Shore . positive - view proximity Navy Pier great . decor hotel really do well . bed comfortable ' ve ever sleep . service staff average . negative - ask room without connect door - could hear every word people next room say . luckily different schedule not much problem . also - would agree comment bathroom . although neat look , leave little imagination window bathroom rest room . 4 - 5 block magnificent mile , want stay right thick thing might hotel . night weekend , beuatiful people come . lobby turn clubby atmosphere really not thing . 
 Jul 31 2008 	 Great Surprise Weekend Chicago 	 starwood preffere guest member get rate 129 saturday night jump quick getaway . arrive 7th floor lakefront view great little room . hotel look really nice . lobby really cute , W 's , gym look amazing . pool not look bad either not use . drink bar bartender great . go see show take cab . get back later night DJ lobby martini . go back room order room service find long blonde hair actually inside burger ruin meal . next day breakfast lobby restaurant excellent , go spa 80 minute treatment excellent . spa nice take advantage locker room amenity . overall nice , minus roomservice mishap . room modern clean . major flaw room small begin put slat wood slide door window bathroom , not much privacy . laugh mini bar emergency contraception supply next W teddy bear , well room service breakfast fruit , whip cream , chocolate syrup , champagne , hold call hour $ 150 . 
 Jul 30 2008 	 stayed 5 year row love 	 past five year book 3 - 4 room w - lakeshore yearly ( sometimes bi - yearly ) shopping vacation . love view , atmosphere , location . always cater service kind . the hotel room clean well care . want upgrade almost always upgrade we right away , offer day arrive . we travel with6- adults1- teenager2 - childrenlast year even meet snoop dogg stay hotel . 
 Jul 17 2008 	 Great Hotel - Nice View 	 stay W Chicago Lakeshore travel business pack convention week . hotel modern exactly would expect W hotel . room dark furnishing comfortable bed ton pillow . bathroom modern yet compact interesting french door window opening room make feel spacious . closet storage abundant well organize . hotel literally Lakeshore drive near Navy Peir , shop several restaurant . 's short walk Michigan Ave shopping restaurant . lobby cool several lounge area , bar excellent restaurant . also popular nightclub top floor . overall impressed location really like hotel . 
 Jul 17 2008 	 Sexy Hotel 	 hotel recommend young couple look energetic hotel club scene trendy bar . hotel contemporary flare . beware room bathroom door privacy , shutter lock , private person request handicap room . location awesome . walk distance Navy Pier underground walkway ( 2 block distance ) . Chicago city life awesome great place romantic getaway ! hotel upscale , room slightly old . view awesome lake . food way expensive , eat breakfast Egg cafe 2 block right . beware parking fee . get deal parking include . 
 Jul 13 2008 	 get - a - way Chicago 	 wife spend two night W Lakeshore . first time ever stay W hotel . wonderful time . lobby : Lobby great , arrive 3:30 p.m. local time wait . Desk help helpful explain anything need know hotel . lobby bar great well , spend time wife use spa . even bring drink front sidewalk sit look lake . room : nice city room . king room face lake . view great . like spa bathroom . may put shutter open theme . ten year together fine wife . clean great housekeeping service . Location / Extras : great location . walk shop dine Michigan Ave , Navy Pier close well . 7/11 starbuck one block West not want raid expensive mini bar . offer free Acura car service anywhere city ( one way ) . drink expensive lobby bar Whiskey Sky , get city . smoke long problem ( Michigan ever get rid smoking ? ) wife happy massage spa locate hotel . we please W Lakeshore . ' m sure nice Trump Park Hyatt , cost nearly much . 20 - 40 something ( still live life like ) book . enjoy . 
 Jul 9 2008 	 Pleasant Stay 	 take friend mine Chicago night R & amp ; R would certainly go back ! although read lot poor review online research still choose W various reason . fortunately , realize majority post completely disgruntle need place vent .. typically 90 % disgruntle normally hard please anyhow . high - end taste also realize W Waldorf Astoria . W Lakeshore boutique hotel ... mean standard Holiday Inn , Marriott , etc . decor consider somewhere modern & quot ; zen - ish & quot ; . although lobby area little congested , knew not plan stay lobby night anyhow ... ; ) day arrive - receive & quot ; welcome email & quot ; . email suggest & quot ; wish & quot ; make trip even joyful , please contact & quot ; Whatever / Whenever & quot ; desk . think would nice bottle wine deliver room get ready dinner & quot ; unwind & quot ; . receive response day indicate upgrade lake view accomodation would complimentary bottle wine await we 5 pm . ( ! ) Acura also program W - provide complimentary car service place want go . pick 7 pm driver amazing Acura MDX . feel like chauffere luxury ( compare taxi service ! ) . follow morning decided want later check 1 pm ( standard checkout time ) graciously honor we 3 pm checkout issue . w accomodate . long check attitude door , realize HOTEL .. penthouse stay ... staff helpful , pleasant everything power make stay memorable one . yes ... bathroom slide door window face sleep area cover shutter door ... unless absolute prude need complete privacy ... find change delightful interesting . also love complimentary Bliss Spa prodcut ! : ) really like extra high bed well . comfortable love pillowy effect . complaint regard stay air conditioning fan seem automatically turn - would get little muggy would switch back .. hall lead elevator little muggy well . would not consider big enough issue allow ruin stay opinion W ! 
 Jun 22 2008 	 terrible experience ghastly design flaw 	 return trip Chicago , stay W Lakeshore . location hotel pleasant , overlook ( name suggest ) beautiful Lakeshore Drive Lake Michigan . atmosphere , especially downstairs , might expect W property , veneer swankiness compliment thump techno music bar scene befit eurotrash pick bar hotel lobby . arrive , bleary - eyed red - eye west coast , sort greeting want accept W brand . fine . room , however , show swankiness design consciousness brand veneer mask rather awful , poorly think design choice run counter & quot ; Whatever - Whenever & quot ; comfort philosophy espouse every staff member front desk room service server . first , bathroom . reviewer point , bathroom separate bedroom shuttered window . idea behind design understandable , sensible , share number many luxury hotel ( Park Hyatt Chicago St. Regis San Francisco ) -- take bath shower , look onto lovely , tastefully appoint bedroom well splendid view city . execution , W fall flat face . above - mention hotel share design concept use slide partition block sound bathroom night ; shutter system use W room nothing block sound problem compound fact toilet ( least room , though know feature room ) locate behind door . , let say be try fall asleep lovely bed say , 3 a.m. significant get use bathroom -- will hear everything he / she . might call intimacy ; think terribly off - putting . raise issue hotel staff , apologize say room like part hotel 's charming , design - forward aesthetic . response : aesthetic scatalogical ? second problem , a / c system . set temperature usually comfortable 68 degree night , wake numerous time overheat . keep run thermostat try ensure system work . understandably call maintenance person , inform we a / c system control motion sensor . green - conscious California , idea save energy motion - sense technology good concept applaud W effort , , design flawed . room , light be bed sleep , mean motion room . , matter low set temp , will burn around 3 am . sum , would recommend ill - conceive poorly re - developed property someone get rate well - under advertised rack rate . design flaw ( mention two ) , regular room rate around $ 300 summer . hotel blemish Starwood brand . be already pay $ 300 regular king - sized bed two people W , save aggravation stay nice property ( Chicago , plenty ) . 
 Jun 9 2008 	 eh .. 	 stayed bill & quot ; spectacular room & quot ; view certainly .. room .. stylish small 300 night . the lounge downstairs one server night go andthe concierge leave early well , skeleton crewpretty much everywhere 10 . enjoy atmosphere , ie furnishing , hotel need work consistency . employee great , other great . I would happier not cost much deliver little . 
 may 31 2008 	 okay experience 	 partner stay W Chicago Lakeshore night end May 2008.We stay W hotel lot , know expect . contrast W hotel general , find staff adequately professional , knowledgeable friendly , get & quot ; wow ! & quot ; experience W always talk . make special request obtain Wallpaper guide Chicago us advance arrival , come fly color . want give credit , standard request . yet blow away staff 's knowledge , professionalism , anicipation need want W hotel ... include W Chicago - City Center . we appreciate friendly bellhop bother ask be town , be look anything special , make suggestion , take time show we thing room . W Chicago - Lakeshore , get , & quot ; 's room , bag & quot ; treatment . okay , impressive . the room beautiful , although bit small . lake view room nice , not find view spectacular . privacy bathroom not much , open window bathroom bedspace , another reviewer comment , 's closed wooden shutter . the design public area quite lovely , especially bathroom lobby area , offer floor - to - ceiling opaque glass see ghostly figure man 's woman 's bathroom ( handwash sink ) . lobby rather small W Hotel , disappoint upon go downstairs around 7 pm drink living Room ( lobby ) room we so . the one feature impress we restaurant . offer pan - asian special , wait staff top notch . be cheap , worth . book one - day stay Lakeshore check book remain two night stay W Chicago - City Center cheap . thought have miss W Chicago - Lakeshore would read City Center 's small room dark lobby , glad book two night stay City Center instead . location W Chicago - City Center much well thing downtown , staff seem much personable capable , concierge department world . interior design opulent , use projection high ceiling large glass vase hold string orchid water . if one trying decide W property Chicago , would suggest book large room City Center , small room apparently , small . still , bet get large room less City Center , lot W - ish Lakeshore ... go funky w kind stuff . 
 May 30 2008 	 put Window Bathroom face Beds ? 	 okay , ' ve stay run - down place come W ! expect much window shutter bathroom open bedroom , right next bed ! design ? think room ? bathroom ? bathroom sanctuary peace private business , place everyone mother hear smell ( sorry people ! ) everything ! can not tell many time companion talk use facility stair . come ! w , claim . totally uncomfortable . oh thank put horrible air conditioner run loudly night . ugh , never ! ! ! ! ! ! ! 
 may 29 2008 	 expensive disappointment 	 husband 's secretary book we W view lake right across street . photo line look trendy appealing excited . when arrive must prom night , make lobby pretty chaotic . front desk rep . cavalier tell we not get lake view room . explanation offer . instead , say , would get & quot ; city view . & quot ; ( turn euphemism view office building directly behind hotel roof top full exhaust . ) room huge disappointment ! small real privacy bathroom bed area , wooden shutter ! bathroom exhaust fan , heat lamp , light ridiculous . good luck put make . one robe provide two guest . the bed solid floor ( watch toe ) high . blanket , sheet bedspread . there decor speak , ceramic cup pod stick straight one small frame wall several vertical stick inside . lamp shade , strip cloth hang wire frame . Bizarre ! snack bar item price find pricey , along everything else hotel . poach egg two orange juice set we back $ 30 . eat lobby restaurant , Wave , modern look sound . food extremely expensive mediocre . glass house champagne $ 15.We rough time sleep due noisy night cool system loud slam hall door night . imagine lake view room would partially offset negative hotel will never know . be go back ! 
 May 27 2008 	 Great Place 	 pleasantly surprised reading review . w nice , great lakeview room load within walking distance . whenever / whatever great feature hotel . room DVD list 200 title choose charge . keep kids busy husband & amp ; night . Chicago & amp ; Navy Pier great place visit long weekend . 
 May 23 2008 	 W Chicago = Watch ! -- place awful ! 	 echo every bad review ever write W Lakeshore Chicago , . cab drop Friday night thought walk wrong door full club scene go . walk foot realize lobby hotel also double bar / club / concierge stand . ( matter fact , walk Saturday night immediately meet several people scream " watch , watch ! " , look see stand puddle break glass someone ' cocktail . ) ' like lobby , ok . let ' talk staff . maintenance staff super nice friendly waitress morning breakfast . every employee interact rude , off - putting , snob . really ? work remodel day Inn ! check ! ah , common area , ' W know beautifully decorate room , comfortable bed , Bliss product , etc ? well remember , really remodel day Inn room SMALL , much room get around , bed raise super high . ' 5 ' 8 still difficult time get bed ( , ' elderly either ) . although pretty , course — who ' like Bliss product , regulate heat / air conditioner unit go every 30 minute night , first 2 night . know generator hum noise ? Yep , ' . 3rd final night ' turn , awake night . yes , every morning ask someone go adjust unit could get sleep . roll eye , " yes , sure . ' take look today " . maybe , maybe ' , know exhausted . spend $ 500 night hotel ' sleep ! love Chicago keep visit never stay hotel even meet friend drink . Awfull ! 
 May 20 2008 	 ` ` W '' Winner 	 guest unfriendly hotel ever stay one professional among staff ! though everyone untraine business . half hour hour long wait day concierge , bad disco greet door - ( know 's bad hear Alvin Chipmunk drone ostinato disco ) . complimentary water 500 . per night- poor lighting room ( impossible makeup ) - rudeness staff sure & quot ; Chosen & quot ; work Hip joint complaint . bartender scowl ask ice water come sweaty 4 mile run without eye contact slam glass 5 foot away reach shoot look death reach piece lemon . relate incident manager able listen person lobby could tag luggage busy moment . breakfast stand line back couple seat immediately waitress never bother tell stand wrong place hostess station behind pillar . remain invisible luck see hostess inform twenty minute wait table watch seat walk - in within 5 minute bar resign order eat cold bowl oatmeal without salt sugar water serve watch INCREDULOUSLY lack help staff toward elderly man could manage step walker ( lobby handicap equip ) guest jump assist . bell boy must stacked 20 piece luggage top keep take fear lose tip without regard laptop fall anyother sensitive item might damage . totally untrained staff . lobby set guest come door exit door intersect guest spill elevator time inevitably bump line wait concierge baggage load onto carrier . simply room business lobby . POOR DESIGN ! ! ! ! chamber maids staff behind scene responsive polite make lack management way around . place understaffed - undertrained- full ! ! ! ! 
 May 19 2008 	 expect 	 Chicago business decide spend romantic weekend explore city . stay W hotel , kind like concept think give try Chicago . frankly , bit mistake . check - in efficient end get request room , king size , two ( small ) queen size bed .... beside , room quite spacious nicely design , love iPod interface ! downside place bad isolate . room connect door could everything . really bad . hotel also pet ok policy really problem . Saturday morning wake 08.00am bark dog . give call whatever / whenever service promise security would something . well , 30min dog quiet . unfortunately Sunday morning go ritual ... check make remark horrible experience answer & quot ; , sorry & quot ; . lady totally interested feedback ensure would leave happy feeling . the W chain enjoy long ride & quot ; & quot ; design hotel chain must ensure keep quality . like design part hotel , total package ruin horrible front desk experience , non - isolated room bark dog 2 day row start 08.00am . 
 May 19 2008 	 everything expect W Hotel 	 ever stay W Hotel W Chicago Lakeshore disappoint . ' ve stay various W Hotels NYC , San Francisco , etc modern , hip style happen bar scene . prefer business - type relax hotel , might want look somewhere else . location - first visit Chicago find W centrally locate everywhere go . find everything 20 minute less walk . cab need airport . lobby , Bar & amp ; Restaurant - yes , lobby busy loud . pretty much day , every day . never problem front desk , get drink bar . eat restaurant Friday night , okay . recommend eat else ( ) .room - room look like picture , surprise . room small , big either . pretty close size hotel room NYC San Fran . bed comfortable tv good selection channel . also DVD player clock radio Ipod hookup . lot closet space , enough weekend stay . Newspaper deliver outside door every day . service - Along vibe , W hotel know service , W Chicago Lakeshore disappoint . everyone encounter friendly helpful . especially enjoy W 's & quot ; whatever , whenever & quot ; service . Saturday evening dinner call ask hotel sugar - free redbull . say not carry , would get . 30 minute later , 3 cold can deliver door . charge bill less $ 10 , delivery include . tell fill almost request , price . overall - enjoy stay W Lakeshore would definitely stay . 
 May 18 2008 	 awful front desk service 	 noise level lobby due thumping music first thing strike customer service awful . the lobby loud compact bar restaurant right . hotel gear 30 set leave year ago . honor request king bed check . room next we adjoining door room young child cry quite bit . request another room - king bed adjoin door - afternoon tell sell . next morning renew request - accommodate tell would check early . informed would pay entire stay use Quikbook.com , would try get we new room . call Quikbook 's customer service , excellent . repay require full payment . representative call hotel 15 minute later give new room . the concierge desk helpful . overall , never stay & quot ; W & quot ; . 
 May 9 2008 	 business class hotel 	 hotel W veneer , good business class hotel . property convert day Inn , show . surface , property exuberant hipness chain know , underneath , 's upscale hotel . other note , room oddly shape , small bathroom closet , loud HVAC system , sound insulation room , single electrical outlet desk ; holdover 's time Days Inn . bad , even thing service gap -- request 5:30 wakeup call one day come 3:00 another 4 wake call never come . agree other , be party not care accommodation , fun . actually want / need business hotel , well . 
 May 4 2008 	 great .... 	 look previous review figure would still give hotel try . well amazed correct previous reviewer rate hotel . lobby dirty seating ; reception desk staff interesting help guest . room small , strange layout need renovation . food ok . one thing like spa , gym close Michigan Avenue . otherwise would skip hotel go major overhaul . Jacqueline Smith 
 May 3 2008 	 fade Tired Longer Hip 	 stay W hotel business meeting 2 day completely unimpresed . suppose lobby okay that s . remember W hotel kind cool , hip trendy 5 year ago stay place not work . actually find call trendiness way bear cutesy phrase etc almost annoying . the bad though , room . room face lake view offfice building . room small . satinish bedsheet stain wall nick . furnish look cheap , tired wear . find fact closet alcove sheet kind weird . fact bathroom basically separate main room odd give price place . my room not clean first day around 3pm maid came ask reluctantly want room clean . I definitely would not stay dime . 
 Apr 27 2008 	 fun hip hotel ! 	 W Lakeshore one good hotel ' ve ever stay , hand - down . travel lot business , stay high - end place ... w style really fit lifestyle . I will start first say W will not everyone . cater 20- 30 - something traveler little money spend interesting atmosphere . ornate old hotel giant chandelier kind service go stuffy ambience . example , 's dessert room service menu call & quot ; Fantasy & quot ; : strawberry , whip cream , chocolate syrup , disposable camera . ya go . also , lady room main lobby mirror panel actually 2 - way mirror , be check lipstick people side see . lcd wall lobby play clip & quot ; Moulin Rouge & quot ; , lobby become bar night , wall behind reception desk sequine . much atmosphere fun , tongue - in - cheek , little bit edge . I find room comfortable cozy , do gray purple ... Bliss bath product great touch ( tell set toiletry get day sell Sephora $ 25 ) . find food pretty good , except $ 80 Kobe burger room service menu not worth $ 80 ( fun try ) . nice touch : gym , fridge moist towel , ice - cold towel wipe workout . wake - up call not record , 's live person say , & quot ; sorry interrupt dream ... shall call back minute ? be cold today , please bundle up . & quot ; play ambient lounge music elevator , change slightly throughout day night music go bar / lounge vibe lobby . & quot ; pillow menu & quot ; , select perfect pillow get good night 's sleep . I would stay W heartbeat . 
 Apr 10 2008 	 expect 	 first get hotel happy extremely tired flight . check front desk staff warm helpfull . room trendy comfortable . restaurant manager petty fake . sit bar bartender would stop hit ! ! ! ! ! ! ! know difference firendly inappropriate Uncomfortable ! ! ! sure would stay honest . stick weekend restuarant good food lousy service bar .... ? forget ! 
 Apr 9 2008 	 Service Problems 	 stay W three night business . room nice location great . however , service terrible . travel quite bit business trying stay starwood hotel get point . like W hotel tend hipper offer amenity like . almost universally say service W hotel range terrible mediocre . service W Lakeshore different . doorman get fight taxi bring airport downhill . forgot deliver breakfast , despite fact order mean spend morning business meeting nothing eat . forgot give wake call . confront issue staff aloof . like W hotel get something service ! 
 Apr 5 2008 	 hip expensive hotel 	 W Lakeshore hip modern hotel . room decent size Chicago . bed comfortable lot great pillow . bathroom great bath product - Bliss , lot towel wonderful bathrobe . lot hot water good water pressure . towel could thick . light bathroom not provide lot light , cutout window bed area help . plenty desk space work large flat screen tv . Issues- heat / fan hard control- would suddenly cold trouble turn . internet - wireless $ 12.95 / day Room service- prompt good food , breakfast $ 35 ! room service order automatically include $ 3 service charge plus 20 % tip . menu downstairs half price . Clock- clock hard set alarmumbrella - rent umbrella tell $ 25 charge return . return end day , charge bill . call front desk promptly remove charge . location - 4 - 5 block Michigan Ave -closest starbuck 3 block . the room service restaurant food good . dinner restaurant reasonablely price . upstairs bar great view city . in general , customer service good . wake back call prompt reliable . little concerned , give could not set room clock . overall , stay fine . price , room improvement . 
 Mar 28 2008 	 Lousy Service - typical W ! hotel 	 stay W hotel disappoint right check . book room website list & quot ; 2 & quot ; number guest . put husband 's credit card info regard billing information . arrive hotel husband meet next day ( think ahead , give credit card case issue ) . unfortunately , lady front desk would not let check say name list reservation mine , despite fact share last name marry ( credit card well license ) . plus , confirmation email email address could care less . luckily get hold phone , often work , could take several hour . fact use common sense frusterate , especially since point website ask number guest , second guest 's last name . secondly , room nice clean , safe break . great lakeview window big can not really see lake bed . order room service underlined want & quot ; sugar & quot ; course forget despite underline . finally , upon checkout , ask 3 time final bill ( yes , 3 time ) could not get room charge not date . say would email day , never get despite 4 phone call later . upon fifth phone call demand fax whole bill , give push back wife husband call . finally say would fax enraged incompitence . finally get final bill fax thank goodness . think try hire pretty stupid people . 
 Mar 14 2008 	 great every way 	 return 2 night weekend stay W fantastic . book room starwood point platinum member , upgrade Marvelous Suite without ask . first time many visit Starwood hotel not ask upgrade . room great 2 year old daughter love incredible view Lake Michigan Navy Pier . room clean , spacious 2 plasma / lcd tvs - dvd player . bed comfortable extra half bath wonderful . everyone staff accomodate . location great able quickly walk Navy Pier . museum campus Shedd Aquarium Field Museum several minute away . chance visit hotel pool perfect temperature clean . Sunday also enjoy complimentary hot tea dessert lobby . Valet parking $ 43 per night service quick not issue . pay next stay , bit expensive option area , W worth . 
 Mar 10 2008 	 Bad Better 	 bad hotel nothing really wrong . however nothing really spot anything make average decent hotel experience . plus side location decent , Lake Shore Drive , bed comfortable find staff friendly eager please . color scheme room nice however ' mask fact cheap furniture crummy stuff do way try give ultra cool vibe ' hide cheapness . … .. instance light side bed bulb cheap wire frame white sheet like material around stand light deliver room call could read . armless chair ottoman make fairly uncomfortable deliver ottoman call . you pay internet access … .15.00 per day . room service decent except morning coffee awful …… …… .. taste coffee filter . room service meals….one lunch one dinner perhaps bit fine … .... nothing great nothing awful . restaurant adequate . service could improved….they slow least friendly . eat bar one day hungry around 3:00 pm . surprised see woman bar look like hooker . honestly think hooker . turn bar waitress . outfit would appropriate evening honestly 3pm way top look little seedy . as reviewer note bathroom set good . two shutter slat form window open sleep area . idea design idea behind someone elevate form function try uber cool instead uber talentless . bathroom door slider make material track . lift open close ' big deal . would rush back hotel hear everything bedroom go bathroom bathroom ventilation . I tell friend live Chicago hotel use Holiday Inn make sense I … …… …… .. ceiling room quite cottage cheese also really nice smooth ceiling look place W Hotel . also one two stain / spot comforter tired complain . quite small . comforter otherwise appear clean room general . in sum nothing overly offensive hotel although issue . however also nothing impressive make anything decent hotel experience . want great hotel great hotel money advise keep look . 
 Feb 26 2008 	 stylish hotel poor service 	 stylish hotel . bed comfortable , location good . also expensive hotel , along , expectation good service . room ready arrive , although little early . wait hour half lobby . daughter also stay hotel team , two day long competition Navy Pier . one team 's 6 room ready . mean 20 girl , coach , luggage cram one room ( one tiny bathroom ! ) try change uniform get hair makeup ready competition tight schedule . team 's room together . daughter teenage teammate give smoking room , smell terrible . also tell park additional $ 43 . desk staff , valet bellhop seem overwhelmed . end take luggage cart wheeling room room finally ready , wait get anyone wheel cart allow take . overall , pretty disappointing stay . 
 Feb 26 2008 	 date Dirty Worn Furniture 	 book Starwood Preferred Member . first , travel great deal . believe people write great review not stay many hotel . & quot ; hip & quot ; hotel & quot ; date hip . & quot ; Meaning , furniture lobby wear filthy . carpeting wear , hardwood flooring need refinish . elevator dirty . room worst . basically , modern & quot ; Saunder & quot ; put together type furniture -- - really cheap . bad part bathroom room . large window bedroom louver open bedroom , along slide louver door . privacy bathroom exhaust fan . never see poor design . the Whiskey Bar -- love martini look forward . however , small bar hotel ever see . night , pump music 's standing room -- try get drink . lobby hotel look okay night , lot candle . not look day . 
 Feb 21 2008 	 not want stay anywhere else 	 stylish , good customer service , little detail right , cool restaurant lobby , can not think anything ' ve go well , especially deal get online ! 
 Feb 4 2008 	 great hotel ! 	 recently stay hotel 3 night , think great . location really good , hotel hip , cool w vibe love . positive point : bed incredibly comfortable ( give Westin Heavenly bed run 's money ) , shower pressure perfect , wonderful flat screen HD tv , room service food restuarant good , service top - notch . negative point : bathroom pretty small , lot privacy slide door area open bedroom , light great bathroom . not get wrong - 's great & quot ; mood lighting & quot ; , great put make - up . overall , would definitely stay . make sure ask view lake - even though frozen snow , beautiful . 
 Feb 3 2008 	 great hotel damn detail ... 	 arrive Saturday afternoon take advantage valet parking . check quickly walk room . room dirty ! unmade bed , beer can night stand , etc . call front desk , lady apologize numerous time , be reassign another room . upgrade ask offer . problem # 2 come later night loud music come somewhere , floor figure . problem # 3 came check leave hotel . wife keep comment smell smoke vehicle ( neither we smoke 's pregnant sensitive odor ) . awhile notice cigarette bud passenger side floor , ashe front bottom window sill driver passenger door . unacceptable issue opinion . hotel cool , hip , market step rest . enjoy room , bed , amenity , devil detail . appear W corporation know design build hotel , local management not know manage . else summarize room mark clean be employee smoke vehicle entrust ? disappointing . 
 Feb 1 2008 	 one fave hotel 	 one favorite hotel stay at . it be right lake . room great - great layout , decor , amount space . cool bar . 
 Jan 30 2008 	 trendy great view 	 able stay W hotel Lakeshore family member comp stay business trip . hotel locate front Lake Michigan Chicago 's famous scenic Lake Shore Drive . hotel room modern hip bed comfortable .. bathroom look really cool ... not practical . dark tough see clearly mirror . not much sink space , shower bit tricky slot door window connect bathroom bed area could hear everything . view hand spectacular . look right onto Lake Michigan Navy Pier . hallway lead room remind we decor take TLC 's Trading Spaces smooth pebble / stone border wall / floor . not take advantage fitness pool area restaurant , great ( expensive bar ) roof ( Whiskey Room ) ) one good view Chicago night . trendy bar first floor lobby cater hip work crowd . location bit way walk distance Michigan Avenue shopping / restaurant John Hancock Building . doorman easily get taxi 's well . also pretty close cab ride Navy Pier AMC River East 21 movie theater . overall , look trend set hip place that s little pricey great view would place go . 
