great 	 huge waste money ! think Starwood Hotel would nicer end . first night ok , little could heat cool room comfortable . could leave air keep fresh air circulate blow head night turn suffocate room dead air . fine line AC heat . expect bed would caliber Heavenly Beds Westin . ! bed awful feather bed pad crunchy . exactly want lie . feather one thing , feather quill another . make bed super hot thick , hot duvet use . San Francisco , Siberia . bit overkill . second third night get pleasure listen yappy dog night long dog not bark owner busy yell . wall thin cheap could hear every single word conversation room next we . call complain dog , lame story owner not suppose leave animal unattended come get send bagel coffee breakfast apology . thank , sleep would preferable bland cream cheese send bagel . call 3 time complain dog bark . give option move , pack family move idiot can not leave dog home . Dogs not baby , can not tote restaurant store . need stay home . disappointed W allow people bring dog ruin everyone 's sleep . lose business good . will back Westin . 
 Feb 3 2009 	 Cockroach encounter 	 stay W San Francisco three night January 29 February 1 2009 . past stay W Los Angeles Hilgard Avenue superb decide stay W business trip San Francisco together two friend Canada . I prepay room Travelocity ang get rate approximately $ 250 canadian ( $ 200 US ) per night . I see lot hotel life stay horrible one account amount pay room . first hotel lobby convert bar , attract call & quot ; fashionable & quot ; San Francisco individual . reality bar full punk enjoy listen ugly loud music ever hear . sure chance listen musical masterpice room . in evening second day encounterd live cockroach room . fellow come gap wall shelf television rapidly proceed work desk direction window . opportunity wonderful neighbour $ 250 night ! take five minute chase execute guest . next morning report incident front desk seem receptionist surprised . suspect whole building infest cockroach usually come alone . receptionist assure hotel would perform disinfection room issue official apology . certainly special cleaning do apart regular room service still wait promised apology . after check one friend discover charge $ 75 apply account drink lobby bar never visit . since happen last week still keep call W try get $ 75 back . the friend mine also prepay room discover charge equalt 8 cent ( eight cent ) account check . accord hotel make mistake give quote stay actual rate eight cent one firend prepay . EIGHtT cent charge apply credit card . I continue share experience relate W hotel assume already mention herein enough prospective visitor San Francisco make decision hotel . 
 Jan 29 2009 	 W Us ! 	 stay W Hotel special anniversary . first time stay W Hotel ' well . lobby hotel chic . near reception desk water cooler fill water flavor different fruit herb , strawberry mint . Delicious ! room originally assign acceptable . put fresh coat paint interrior closet , hang clothe long trip would left we smell like paint ! call arrange we take another room . décor room SF W bit much , bed extremely comfortable , ammenitie room great ( ipod docking station , flat sceen tv , Bliss toiletry ) . time stay , W Acura experience , allow we drive anywhere city free ( course tip driver ) , arrange transportation home . convenient save we lot time . bar really cool crowd happy hour evening . " living room " also cool place long , modern fireplace . pool nothing write home ( picture see look like outside , inside ) . ' use fitness center , seem adequate . location hotel great – right next moma block Market Street . breakfast include , put spread bar ( careful – look like go help , pay ! ) . really stand service . front desk , concierge , Acrua staff extremely attentive . always remember , call we name always wish we happy anniversary . send we champagne , always voss water bottle we head morning . call around secure dinner reservation we help we direction around town . feel spoil definitely hope indulge ! 
 Jan 24 2009 	 W let 	 culmination recent 3 week roadtrip california arizona W san fran . real W fan , also stay W scottsdale san diego trip , however san fran real let . starwood gold member generally expect reasonable upgrade , however would hate see basic room 's far exceptional ; design basic , room cramp , bathroom poor , view limit . although entrance area typically w ; well design vibrant , . staff quite unhelpful , pool area complete let . one take price equation , hotel huge disappointment , bad hotel trip term room , value service . $ 50 parking per night also disgrace . 
 Jan 3 2009 	 pure luxury experience ! 	 hotel pure luxury . room beautifully furnish ; modern , contemporary overall spacious , two double bed ! staff extremely helpful friendly location hotel fantastic - 10min cab ride Mission , cool part San Fran , 5 min walk Union Square shop . good toiletry , Bliss product - girl need ! gym fully equip also litle outdoor area , think 's floor gym , sit peace quiet read book whilst catch bit California sun ( get jetlag , ! ) would stay flash , fact could live ! 
 Dec 26 2008 	 trendy hotel decent neighborhood 	 stay hotel quick business trip . front desk service best- wait get check despite fact 2 people behind counter absolutely nothing ! worth wait room nice . bit trendy side nonetheless , nicely decorate great view . free internet access find bed quite comfortable . toiletry Bliss add plus . having come East Coast , starve get hotel try see & quot ; snack pantry & quot ; . little disturbed see snack ( peanut , candy , granolabar ) still despite expiration date 1/2008 ( Nov ) . needless say , decide go elsewhere pick food . concierge helpful recommend good restaurant within walking distance . location decent . close MOMA entertainment complex though not many restaurant close . get back little late hotel hopping ! look like popular place young trendy crowd . , enjoy stay . sure would choose stay spend money , company dime , nice . 
 Dec 17 2008 	 bad internet Bad Lighting Bad Telephone 	 Avoid Starwood hotel , especially WAfter drive $ 600 night Starwood St. Regis San Francisco heat ' work either room give , register Starwood $ 400 night San Francisco W street 181 3rd St. heat work . w kind cutsie nonsense get way comprehension . operator answer " wish . " wish course would answer " operator . " internet service cost $ 15 day stink . much well speed available free $ 150 night motel . would run consistently fast 200 kilobit per second 20 30 time slow typical home DSL line . slingbox would work take forever download file . W internet small step use phone modem . apparently W insane drive save electricity . room light terrible . happen light meter take measurement . work desk illumination 22 lux . lamp light anyplace near desk . 22 lux consider light level suitable inactive area warehouse . office work space suppose 500 lux . want read bed W light level 90 lux , low impossible level reading . window bench light dim provide 15 lux . place room decent illumination near bathroom mirror reach 400 lux . telephone w room start beep 3 apparent reason could discern even several minute decipher instruction telephone print tiny , low - contrast type . yes , read glass . ' stop beep even unplugged connect wire . call " wish " lady ask . ' know offer send someone room . apparently call operator stop beep . next step would put telephone hall . room nicely furnish , even beautiful . ' get lighting , internet telephone right would want stay expensive hotel ? 
 Dec 3 2008 	 Amazing Serice hip flair 	 wife arrive late Thanksgiving anniversay stay 2 night . second trip W know expect , give . manager Ashley charge two night , everything could make trip special . love atmosphere family adult . lobby area great thing kid bar adult right walk front door . room unique , vibrant colar make want take like conquer city . GREAT PLACE . 
 Nov 17 2008 	 Beautiful Hotel Nice location 	 nice hotel . place close shopping area downtown area , still little beat path not crowd night . upgrade suite , big , bed , every Starwood , comfortable . know 's cheap place , may good money , nice stay , nice bar downstairs . 
 Nov 4 2008 	 joke 	 $ 650 night get ? concierge clueless going . ask architectural tour -- whole month event relate build SF . blank stare . give local magazine / advertising booklet information . pay wi - fi ! nice large bathroom , water pressure shoot spurt . arrive check bag early room not ready yet , receive supercilious & quot ; sheesh & quot ; check - in clerk , due orange backpack . fix one bad room hotel .... come back later find room reserve hazy smoke . thick , heavy cigar smoke permeate sheet air . disgust ridiculous . go back downstairs manager give we another room . , 650 $ night room . elevator card reader ascend unless insert room key . fine . understand security , work time . breakfast also extra ! firm pick tab -- not pick . completely absurd overprice . sad joke . 
 Oct 27 2008 	 Comfortable 	 book stay point base review not expect whole lot . agree trendy / sceney vibe little annoying overall really happy hotel . room big comfortable great view , museum next door fun place visit . get room service happy food , although expectedly little overpriced . overall would definitely recommend hotel -- real complaint charge guest $ 45 overnight parking ! 
 Oct 16 2008 	 okay time 	 ' ve stay hotel time must say trendy - chic atmosphere go start get little tiring . room remodel , get asian theme San Francisco , turn bit cheesy . hotel lobby & quot ; living room & quot ; also redone , several different theme go one room . be like part modern art , part visual clutter . the view Bay Bridge awesome get room face east . bed pillow incredibly comfortable . bathroom neat roomy . I order room service next morning breakfast cold not taste fresh . be go spend much food , go downstairs XYZ restaurant food fresher ! drink lobby good ... not mind spend $ 12 - 13 per drink . in due respect , must say service improve lot past year . past , remember staff snooty side , try ' cool ' . lot warmer friendly nowadays - especially concierge restaurant / bar staff . would recommend hotel especially young crowd . bring mother , stick Palace Westin hotel . 
 Sep 27 2008 	 WAY rate ! ! ! 	 normally not write review place rate price feel obligate warn other . travel extensivley people see may comment otherwise site would hotel manager ! stay 3 day hotel check early room , food spa even close fairly price ( double easily ) . Moved Hilton financial district well room half price well spa treatment 65 % W 's Bliss cost . likely never try W buy hype great one time late . 
 Sep 17 2008 	 average W 	 Nice hotel , centrally situate , spacious comfortable room . frankly not understand W hotel poorly light inside , perhaps 's matter taste . guest mention , noise fire station annoying . 
 Aug 27 2008 	 Cool Hotel 	 nice hotelposition + + + close union square , SFMOMA dowtowndesign property huge lobby , bar restaurat . room cool , fusion / oriental style ( name cool corner ) , wide functional , locate 30th floor . staff kind helpful , check in - out , info guest relation . breakfast garage little bit expensive . I already guest several W certainly good ' ve visit . 
 Aug 22 2008 	 Unique Hotel experience 	 party 5 spend 5 night hotel . reserve 2 room could privacy child . configuration ideal : private entrance corner room room double bed . rollaway request fit room double bed plenty room king corner . young child , however , opt sleep large window seat 2 . decor unique rather restful . museum right next door union square close . concierge send we wonderful italian restaurant 2 block away , frequent several time stay . bed great . concierge desk need help . usually line people wait . lobby fun . pool indoor well maintain . pleasant stay . 
 Aug 17 2008 	 good bad downright ugly ! 	 hotel centrally situate staff mostly friendy ( find ou always get odd staff member seem think favour ) . room spacious comfortable ( 2 room next eachother lobby outside ) glow dark Buddha bit weird though ! bad thing hotel directly fire station siren sound night . mean first night stay sleepless adjust became accustomed noise . lobby bar far noisy crowd seem gather near lift make move baggage round quite difficult . 
 Aug 2 2008 	 little disappointed ... 	 usually love W hotel stay . one , much . sfw little fabulous taste . loved lobby bar . room decor little strange . want go Japanese - y - modern thing end look like stuff stick old W furniture . however , 12 year old son agree glow fiber optic Buddha cool . generally , find desk staff little stand - offish particularly welcoming , save one really , really lovely concierge . service room mostly great except bell service end trip . not one anywhere sight entire check - in . leave , call bag remove room , 30 minute phone call finally take bag . gratefully , traffic plane delay . when travel SF , probably go Westin . 
 Jul 9 2008 	 Great Hotel Chic 	 & quot ; nice stay overall . Stayed almost sell weekend 6/28/08 one night . plat member , upgrade cool corner room checkin ( spacious , get extra window balcony sit ) . however , travel friend request fabulous 2 double instead , problem . lobby : staff friendly efficient , lobby hip / chic like would expect typical W hotel . like hotel ambience espcially night , pretty . will see many people hang lobby XYZ bar night time ( be dj ) . 's Acura MDX Experience counter available noon 7ish night everyday give one - way ride place SF area ( except airport , course ) take advantage stay . driver friendly sale pressure add bonus . due popular demand , recommend reserve time spot early ! gym : nice , complete set eplical machine , weight , swim pool /jacuzzi right outside gym ( hip look ) . gym open 24/7 wet area open 4 am 11 pm . Bliss Spa right across gym popular girl mani / pedicure service get try going commend that . the Room : room quite noisy night since right next door firestation ( hate siren night , request room away firestation ) . Good AC ( quiet ) , light room nice . bed typical W bed , heavenly Westin Heavenly Bed certainly well Sheraton Sweet Sleeper competitor 's bed . actually buy pillow mattress topper home stay hotel since give really nice sleep . tell much like bed . room towards small size ( ~300 sq ft ? ) still plenty space store ur luggage n stuff . shower pressure good , strong like rainforest enough wash clean . Toiletries standard Bliss Sinkside 6 ( lemon sage scent ) one favorite hotel product . one thing , bathroom door lock clear / see thru ! ! prepare comfortable ! one thing annoy property hey , W need open minded . Turndown service available request every evening . parking : $ 42 / night , 1/2 drive hybrid . since SF , drive , much easy travel convinent subway system not ? also , internet ( WiFi ) free lobby will bump many people laptop throughout day . overall : good , well maintain hotel renovation give room & quot ; freshier & quot ; look instead dark depressing color . people like , not . course , price high people ( least 200+/night ) want fun , meet people want enjoy W scene , give property try . not stay want quiet weekend getaway . w fun : 
 Jul 7 2008 	 good hotel love scene .... 	 use go San Francisco often work company usually book we W Hotel since 's close office able accommodate large colleague . 's 35 minute airport without traffic . I ' ve find hotel time helpful time time careless . last time stay hotel little bit hassle . fly late night suppose check . delay airport , San Francisco 2 am morning wake 6 am early meeting . know go late checking , call early make sure okay reception say not problem . arrive , tell renovation room ready tomorrow ... go across street St. Regis hotel ( mind since be much nice hotel ) night time get bed , already 4 am morning get little early check back W Hotel .... feel bad give corner room check back Bliss gift basket really nice . room average size renovate , everything pretty new clean . thing like hotel gym open 24 hour go late night exercise 's nice quiet way one could squeeze exercise room morning . food restaurant downstairs pretty good want go , concierge excellent get reservation . thing ' m crazy place party scene since could get really obnoxious loud . not mind scene little away entrance elevator . harass random man party night near elevator tell bug ! since , feel like make dash elevator every time party go . hotel far Union Square take 10 minute walk be also right next moma SF . would not mind stay hotel vacation could move party scene away elevator ... 
 May 13 2008 	 W stand ` ` ? '' 	 go back W Hotel ? attend meet hotel . TIRED snooty attitude ! truly need get . nobody smile . agent check we borderline rude . drive park garage . $ 43 plus tax total $ 50 per night park car ! disappoint see room decor juvenile . truly look like child room . desk lot cubby contain Buddah change color , little china doll decoration junk not & quot ; get & quot ; . ? ? bathroom small tub /shower . give we one little bar soap keep move show sink . even next day not replace soap leave fresh little bar ! bed hard sheet stiff . 
 May 5 2008 	 ok nice thing 	 nice hotel suppose - service really great . small glitch room service , make quality food . people around quite willing help . breakfast good . regular resturant well fast juice / coffee bar bagel , etc . small table quick bite . server breakfast resturant Scott . good , mean , good waiter ever . could work five star place would good . patient daughter always check thing without intrusive . room small ... mean small . boxy ( rectangular shape small ) . let qualify say two adult two small kid . , well appoint funny thing place guest kid much possible floor ( 15th ) . good think benefit guest . room amenity nicely do . bliss toiletries big deal . bed comfortable . Air Con system funky . motion detector system - movement room , thing shut . got stuffy time quite warm room . 
 May 1 2008 	 Love Bliss Toiletries Indifferent Upscale ikea - ish Furnishings 	 W San Francisco fully embody Starwood 's branding play trendy professional . 's perfect location be attend conference Moscone Center . would not recommend W family romantic getaway . check - in check - out go smoothly . employee courteous friendly . room comfy upscale ikea - like decor . thing particularly like : Bliss shampoo / conditioner / facewash , massage roller foot desk , rather large wall - mount flat - screen tv , novel hotel stationery . one suggestion improvement ( minor issue ) : need big , fluffier bath towel . high - end brand like W , not expect standard size bath towel slightly coarse feel . breakfast restaurant delicious typical hotel pricing . , w great trendy professional love hustle bustle . hope help ! cheer . 
 Apr 29 2008 	 great place great weekend 	 spend great weekend . room fantastic nicely design ( try get corner room ) , bed heavenly location fantastic . try bliss SPA 4th floor- great professional treatment . 
 Apr 24 2008 	 rate 	 husband travel San Fransisco vacation . book hotel use Starwood point , can not complain price . room lokoe like remodel . advertise heavenly shower would say heavenly . concierge helpful , front desk staff . however , suggestion would go bar restaraunt , service horrible 2 3 people bar time . view great city location central . 
 Apr 13 2008 	 Trendy Spendy Always 	 stay W four night attend conference Moscone Center . ' ve stay twice stay consistent prior experience . ' ve stay & quot ; Cool Corner & quot ; & quot ; Spectacular & quot ; room . & quot ; Cool Corner & quot ; room large well seating , although desk area large & quot ; Spectacular & quot ; come handy lot work room . the decor bright friendly , really enjoy fact could close mirror door tv see . bed comfortable , bathroom come stock Bliss brand toiletry . ( usually snag couple soap use home . ) need use room service quite bit . breakfast super - expensive relative get , nice meal . pay $ 44 omelette , toast , home fry , orange juice ( fresh ) coffee , egg rubbery , although potato good . still , $ 44 heck lot money breakfast , morning hoof Peet 's 3rd Mission well coffee . lunch dinner choice well - Cobb Salad especially good . still , entree iced tea tend land $ 35 range . I realy enjoy ambience lobby bar . be trendy without snobby , service good even place crowd . if get weekend deal , be certainly worth . 's walk distance ballpark , BART , right next SFMOMA 's easy get pretty much anywhere without car . all , always enjoy San Francisco W. spending money , would look bargain rate avoid room service . 
 Apr 7 2008 	 Surprise stay W 	 San Francisco ( ) end March , originally book Westin Market Third . due late flight , time arrive Westin overbooke . night manager give we letter send we W. W drink , never stay . great modern decor , color scheme work well . room bit squish , 4 people , manageable . great view bay bridge . overall stay nice , staff also helpful , invite ( especially check 1 A.M. ) . 
 Feb 13 2008 	 pretty good business hotel 	 stay 4 night business trip recently . get 3 start guest experience , 1 star lively lobby bar / lounge scene great location business traveler . Corner Fabulous Room high floor so - so view ( certainly & quot ; panoramic & quot ; . sure ask Bay Bridge view room . plenty space room , hallway bathroom space . feel room lay well ( ie , great place eat food , watch tv bed ) . desk way small room size . room furnishing modern mostly tasteful , bit kitschy . definitely dull ! room bathroom clean , furnishing ( cushion , bedspread , light fixture ) start show wear bit . staff mostly moronic . Seemed young inexperienced , certainly go way help . apply mainly front desk staff . concierge extremely courteous helpful , though steer we touristy , & quot ; safe & quot ; bet . Gym certainly nice , clean , usable , major plus . note internet access $ 15 extra per day . still understand hotel . find insulting . please , add $ 15 /night rack rate do it . good plus hotel location ( across street Moscone center , far close hotel center ) . second good plus great dependable bar scene lobby . pretty funny walk late night Friday night check , lug luggage , fight way posh crowd hold drink ! note , though , bascially good bar / nightspot within walk distance . overall , dependable business hotel plus ( decent gym , good bar , good location ) , minus ( overall service , room somewhat poorly design ) . 
 Feb 12 2008 	 City Central W 	 partner , early 40 , stay W weekend getaway Los Angeles . be familiar W brand , be typical , hipness stand . hotel seem bit weekend destination . Friday Saturday night quite scene bar upstairs downstairs well . locate SoMa area , be plenty nearby , Union Square , Ferry Building , SFMOMA . overall , good experience . 
 Jan 29 2008 	 surprisingly happy ... 	 read review little nervous book . despite name priciness , review less kind . however , experience surprisingly glitch - free . arrive tired cranky 11 pm ( yes , plane delay , delay , delay ... ! ) . however , Rebecca check cheerful , sympathetic helpful . give quiet room away ice machine , elevator , etc . Heaven ! bed comfortable clean ( unfortunately , always case even nice hotel day ... ) . big screen plasma tv , ipod docking station , in - room safe , even chinese checker game ( ! ) along numerous local SF magazine , nice & quot ; extras & quot ; make place seem welcome . my room wide cushion window bench seat sit look Bay Bridge also surprisingly see glorious firework water Sun . nite ! restaurant food good , pricey . place get food within block ; Ferrari 's italian Deli ( $ $ , great sandwich , cheese cracker selection ) , Starbucks corner , Chevy 's ( Mexican ) Grill next . avoid little japanese small sitdown / takeout place area . nice people work , food forgettable . if need take shuttle back airport , try & quot ; go Lorrie 's & quot ; . cost shuttle ( $ 15 - 18 range SFO ) . W guarantee last hotel stop prior go airport , spend less time cool heel wait passenger pickup . tired want get airport return home , that s nice plus . a huge plus hotel right across street Convention Center . make easy go back hotel forgot something want chill seminar . and finally , check fast efficient Adam front desk courteous helpful . even tho expensive many hotel area , would definitely stay W go Convention Center . get moneysworth ! 
 Jan 24 2008 	 Perfect hotel conference center 	 hi ! get good pricing hotel part large convention last September . the hotel clean , nice . the welcome arrival warm . get room 18th level nice view city . the interior pool small area nice quiet . top terrasse beside pool . area really relax take bath sun ( weather allow ) .The lobby particuliary busy Friday evening . party lobby , separate part . not like it . the concierge service nice touch ask everything - taxi call ; bus intinary - open hour - restaurant suggestion reservation ! great touche ! bed really confortable . the location nice assisting conference . Yueba buena garden front hotel . garden nice place ..... location hotel exceptionnal tourist sightseeing .... regular pricing hotel really expensive regular pricing think pay W brand name .... hotel boutique hotel . luxury really present . be relax hotel - hotel lot pretention . the wifi access lobby helpful convention . the design nice nothing new . 
 Jan 20 2008 	 posh modern like clift 	 complete four - night stay W San Fran ( Room 2304 ) . last - minute business trip large conference , city nearly full . basically , administrator book wherever could get room , not actually & quot ; pick & quot ; stay . really nice hotel great stay , W brand not style . prefer traditional surrounding modern luxury W hotel offer . overal , hotel full really attractive young people ( photo shoot lobby one day stay ) . every amenity could possibly ask , 's decent location . w go posh modern . certainly hit mark , true experience ( high price ) find Clift Geary Street ... GOOD- staff really helpful nice ( W Times Square NYC pretentious staff ) - hotel full attractive people- amazing view Bay Bridge- flat screen TV- Alarm clock w/ iPod dock- one block moscone Center- one block Yerba Buena Gardens- one block San Fran moma- two block Market Street- 10 minute walk Union SquareTHE not - so GOOD- expensive room- good location business , go out- decent restaurant , great- not match luxury find Clift , although W make great attempt * * expensive hotel set aside young travel want part & quot ; crowd & quot ; can not really afford yet . rest we stay Clift Geary : ) * * 
 Jan 14 2008 	 Good experience 	 spend two night W would expect W. front desk friendly efficient . even though early , able get room right away . I 29th floor great view city . room clean nice amenity ( ipod charger , conveniently locate electrical plug , book SF , dvd player ) . love bliss product bathroom . usual , starwood property , bed soooooo comfortable . location great , centrally locate shopping , dine public transportation . hotel definitely cater young , hipper crowd , never feel place . drink hotel bar bartender friendly make great cocktail . I like well W 's stay would definitely stay . 
 Jan 3 2008 	 21 	 thinking stay . small lobby bar like atmosphere . bar turn breakfast cafe . resturant expensive gormet . kid like cool interior , room small decorate like urban outfitter . would recommend famliy child . Christmas time , winter arangement nothing suggest Christmas . Close Convention Center museum 3 long block back side Bloomindales . well hotel location interested shopping . Westin St Francis , Parc 55 , Marriott .... 
 Nov 21 2007 	 Trendy warmth 	 stay several trendy hotel year , find bit cold appearance . W - strike right balance trendy warm . we pay $ 209 per night , lot lower usual , feel get great value . great location SF , free coffee morning . restaurant bit pricy , good . 
 Nov 13 2007 	 stylish hotel great bar 	 Booking really easy friendly staff . great hotel stay get plane UK 's comfortable , great view lovely Bliss product bathroom . reception constant welcome fire guest sit relax sofas . get jet lag , head shop Market St , 5 min walk away . evening , W really funky bar live dj play electro music . 
 Nov 10 2007 	 great stay worth money anymore though . 	 get lovely new remodel corner room fabulous city view , room great , clean crisp . functional , phone jack bed , alarm clock dim hard reach , plug hair dryer right near sink ! think hip , functionality lose place . service great , valet guy well , concierge excellent . pool cold hot tub & quot ; smell & quot ; . breakfast prompt awesome , room service restaurant also . overall complaint , turndown service though suck , always come late never really turndown . parking lot also , everywhere SF . overall great stay get hard justify price charge unless company footing bill . 
 Nov 6 2007 	 relax stay 	 w extemely close Moscone Convention Center reason choose property convention . amenity little hip , staff helpful room extremely comfortable . many thing overprice ( $ 8 bottle water room ) , plenty shopping availabe close find affordable snack / drink . 
 Nov 5 2007 	 Business Travelers Beware 	 business traveler beware . fabulous hotel stay leisure - plan work , get ready super high internet cost . 4 - day business trip internet bill add $ 300 would $ 500 not hard nosed negotiate . break : $ 15 per day per room , $ 5 per 15 minute business office ( rediculous ! ! ! ! ) . also use ( small ) conference room day ( acutally use less 12 hour ) - go charge $ 500 3 user - yes five hundred dollar 3 people use internet ( addition $ 600 room fee ) . question , tell name price reluctantly settle $ 250 . robbery . not work , would problem . offer free wireless lobby - serious work lobby ? ? Gee thank , W. ' ve never nickle dim much mundane thing internet . make trip frustrating much expensive need . despite lovely decor , personable friendly staff , none matter crazy fee . mean pay money use internet business office ! ? ! ? ! ? crazy man , crazy . 
 Oct 30 2007 	 Expect W 	 wife stay W surprise weekend propose . 's third W stay experiance exact two . everything check - in check - out perfect professional . we upgrade corner room upon check give champagne strawberries whole work . room great expect good window seat great view . bar area good active throughout weekend . another great experiance W . 
 Oct 22 2007 	 bad experience get away weekend 	 wife weekend getaway W 's good bring we . arrive give room two double bed . not arrange weekend babysitting sleep separate small bed , second request move we room low floor king size bed . room ' window mostly obscure tent use event bummer least could sleep bed . go great evening dinner Jardiniere drink Zuni . wake 4 am morning loud people hot tub . , not arrange weekend babysitting get wake middle night . call desk morning mention late night revelry . think odd could hear people pool area say sorry , would notify security . upon checkout ask enjoy stay . mention displeasure . person ask try breakfast XYZ , think , & quot ; ah , someone want something make $ 800 stay hotel feel little right & quot ; , . upon mention breakfast food fine , person say & quot ; well glad something good happen & quot ; . oh , well . sometimes get pay , sometimes not . trip W , not enjoy hotel . SF great weather perfect . 
 Oct 22 2007 	 Perfect every way 	 stay W 4 night conference . hotel right across street Moscone Center block usual shopping dining BART / Muni station . place beautifully decorate smell nice . worker always ask help . one morning go run ask could leave key card front desk . return , man desk hand back key , along towel bottle water ! fitness center pretty large supply towel , water , apple , yoga mat . sneak spa locker room lounge find brownie guest ! like W hotel , be always boisterous crowd 20 - something lobby , be one thing make stay w interesting run - of - the - mill property . get reasonable rate attend conference , think rack rate fair , . 
 Oct 21 2007 	 great location nice hotel 	 wrapping stay W Hotel San Francisco . 's extremely nice stay quite enjoy room . the W 's location great - close shopping , dining , etc Market St. ( be SPG member location key , SPG several property within block one another around Market St. include Westin St. Francis , Westin Market St , St. Regis , W , Palace Hotel lot really great option ) . stay high - floor fabulous room ample space nice , large bathroom . ws ' ve stay , furniture stylish functional / comfortable ( desk chair ) bed pillow fantastic . always tend find great bed / pillow Ws . work space well do , plenty outlet internet hookup conveniently locate ( hate dig around room look place plug cell phone charger laptop ) . view many high floor great , well . wonderful view surround city scape bay . depend time night , thing get pretty crazy entrance hotel . car back well street try pull hotel 's driveway valet attendant scramble around , quite frankly walk around neighborhood see exact thing happen hotel around 3rd St. Market St. think 's San Francisco / Market St / Union Sq . issue W issue . despite , everytime get car valet not take long ( even not call ahead time ) .Room service good . not blow away , not disappoint , either . deliver timely fashion , though . would suggest request table room service room not much seat area fit dining . Lobby ( & quot ; Living Room & quot ; ) scene not wild crazy Ws ' ve stayed ( W San Diego line street people wait get inside hang lobby bar ! ) , be like go nightclub way street elevator lively obviously popular place hangout nonethelessall , comfortable stay helpful staff ( friendly ready able give direction advice see whenever ask ) . 
 oct 9 2007 	 definitely worth stay 	 yes , W Hotel trendy , cool , sylist establishment . , ? actually thing well . check overly efficient warm fine ( be check ) . request front desk notify we miss bag arrive airport - fail - eventually retrieve . two issue , problem . room little small clean efficient . small , light budha little strange entertaining . view good , bar much scene might expect ( least Tuesday night ) food good . gym little small eveything need equipment good . location fairly close . little expensive sure comparative basis - perhaps worth check hotel first . definitely worth stay though perhaps familie young kid . 
 Oct 4 2007 	 Loved ! pricey nice 	 good bed pillow ' ve ever sleep entire life . room bit small , chic . staff courteous , professional helpful . well - locate downtown San Francisco . cost ton per night , someone else pay , haha ! 
 Sep 26 2007 	 poor bad 	 great 25 year old . constant electronic music.room armchair . watch tv ... sit desk chair lie bed . ask armchair ... tell , & quot ; tough & quot ; .food mediocre best.altogether .. way well place stay . 
 Sep 26 2007 	 Modern Pricey 	 hesitant book hotel prefer old property sense history . husband recently stay W San Diego business suggest try W San Fran Labor Day weekend getaway . first try book famous hotel , simply availablity really overprice . w fine - wish 10lb light 10 year young ! talk beautiful people ! definitely hop scene 10 pm bar area . although restaurant expensive - eat first nite late go anywhere else . staff great , accomodate 2 yr old daughter even create dish menu . love daughter quite picky eater ! far favorite thing W bed - yes bedding . ' ve never comfy mattress sumptuous linen . also hotel able accomodate we w/ 2 room together sister nephew . concierge great , though overwhelmed time obviously many people want restaurant reservation service . one little detail mention case u also tell , call front desk ask free internet use tell none , laptop could pay credit card room . check lobby tell one use laptop free hooked lobby . overall great modern hotel u one history afternoon tea hour . one thing hotel block Museum Modern Art - can not beat location . 
 Sep 19 2007 	 BEST W system 	 W 's suck opinion last 3 year . one far outshine . vibe cool , room full - on W , service flawless . massive bathroom , ultra hip door guy super mod girl make feel like ' ve arrive . lounge open , free - wheel cool . the W 's radar time one make past error W 's amassd I . good job , W SF . 
 Sep 7 2007 	 Nice hotel ! 	 great size room , twin room . 2 queen size bed . nice bathroom , lot space . great view . next door moma . nothing bad report except bar staff closing time . rude , ignorant people . even give glass tap water closing time . course expect go room take bottle water cupboard ful goody pay 11 dollar ! ! ! ! oh one scary thing ... know uve , without even go room ! ! bit like big brother something ! 
 Sep 7 2007 	 WWWWWonderfull ! ! ! ! 	 amanzily design .... extremely confortable .... location near MOMA @ soma ( south market street ) ... little bit far fuzzy restaurante & amp ; store ... but okay ! yerba buena garden cross street ... relaxing ! ! ! 
 Aug 26 2007 	 W San Francisco rock ! 	 stay W SF 6 night . book via SPG & quot ; 6 night 4 & quot ; deal - bring price acceptable amount . stay renovated room - definitely well old one . much light , plenty desk space , many socket plug recharge mobile phone , laptop etc . within easy reach . love wooden foot rest / massage desk ! problem whatsoever housekeeping - fact , housekeeper ( Dolores ) extremely kind , friendly professional , servicing room quickly . the W bar XYZ bar great entertain guest friend , find staff , bar hotel friendly helpful . concierge staff also friendly helpful . the swimming pool great way cool work gym ( could lift machine less treadmill opinion ) .and terrace 4th floor probably well keep secret W. spend quite wonderful evening ... , good deal room price W great place stay ! 
 Aug 20 2007 	 W San Francisco 	 stay W many time S.F . last . remodel room aer awful .. lime green accent ... come SOBE distasteful , furniture uncomfortable . put white leather adjustable chair room not adjust believe get rid big comfortable sturdy chair arm . desk way narrow checkout move four Seasons block get work do .. W S.F . blow designer u choose room . need revamp ... 
