fantastic 	 first visit ... 3 night . great area terrific HighLine . state art design ... Standard Grill excellent .... could also tell good value people wait 11.00pm . room view fantastic . the 18th Floor Lounge awesone ... lift must unique . staff good great & quot ; different & quot ; hotel experience . 
 Best Hotel Chelsea ! ! ! 	 Excellent service -- -alway willing help anything . room awesome -- -great view Chelsea / Hudson River / Highline . peekaboo shower open room . Room King bed nice spacious 2 people . loved floor - to - ceiling window ! ! ! Hubby love huge tv mount wall . location -- -great esp . since Chelsea favorite area . easy find way around . only negative comment wish small microwave / fridge / coffee pot . survive without , big deal . 
 Jul 9 2009 	 unique hotel amazing view fabulous location friendly 	 hotel quite unique . position central & amp ; close several mode transport & amp ; access many interesting sightseeing venue well afford casual stroll along Hudson River . even several day still still find new trendy facet hotel . the restaurant open & amp ; service & amp ; food highly recommene . love it . all staff offer friendly & amp ; efficient service . good bed ! comfortable mattress & amp ; important us bad back . would recommend hotel . 
 Jul 9 2009 	 Fantastic NY experience enhance well train eager staff 	 stay two different occasion June July combination business pleasure trip . accompany wife , 11 year old daughter , mother law two business colleague . staff accomodate sort request , bell staff excellent , concierge young obliging . view unequalle . location perfect . Standard Grill perfect day one . native New Yorker live LA make frequent trip NY . trip , plus return trip day later , last minute could not get regular hotel ( Gaansvort ) shall return Standard . 
 Jul 9 2009 	 nice minor miss ? 	 first , ' ve hear Standard true : view incredible . right look Hudson Highline . see Statue Liberty light magic . outside public area build incredible kind thing design conscious people go nuts . staff , contrary review , really , really nice unpretentious . also really , say design hotel . neighborhood great well ; be pretty much center hippness day . miss expect total perfection design & quot ; fit finish , & quot ; particularly room , will not find . experience sort like difference furniture West Elm DWR . former cool looking , maybe well build think latter . say place receive much ink design arrive thinking would high end everything , be quite will disappoint . say , would blind miss fact be stay landmark one unique building ( let alone hotel ) country . finally , try standard burger , killer ! 
 Jul 8 2009 	 must 	 Standard literally take breathe away . situated top beautiful high Line meatpacking district sublime desine home NYC . room fantastic mid century modern comfortable . one write hotel without mention view ! floor ceiling window provide amazing view . everything exceptional . already book next month ! 
 Jul 7 2009 	 standard perfect complement 4th July jaunt . 	 Standard hip , chic , full surprise . traveler could happier stay Standard , High line - straddle treat hotel . greet comely staff fantastic way begin stay Standard . stay Standard Downtown LA expect level service . certainly grant spade . room fantastic . view phenomenal . able escape masse 4th July firework gawker Hudson River view room . high Line provide excellent people watch , room hotel provide , ' m sure . linen crisp . bathroom product die ample . shower deep tub fun functional . complaint register . will happy stay Standard soon need arise fun call . 
 Jul 7 2009 	 good view NYC 	 great hotel ! room upgrade standard queen superior queen , give we stunning floor ceiling view Hudson downtown NY ; room also brilliant view Highline , since literally run hotel . try ask room one high floor , good experience . room may slightly small side , plenty big enough 4 - night stay , cleverly design - cosy seat area table , hide storage clothe luggage . bed amazingly comfy ( position give good view NY skyline ) , bathroom ooze style ( great powerful shower , huge tub ) . generous size Kiss Face bubble bath , shower gel , shampoo , conditioner , body cream etc ... appear restock almost every day ! ( need bring product be stay ! ) . sure , could hook hang stuff be shower , 's small detail . the staff friendly helpful - not find snooty . actually really like fact service generally informal equivalent hotel . yes , be & quot ; beautiful & quot ; , meatpacking ... lead location . ideal . bar restaurant ourdoorstep know 4 day , 5 mns walk nearest subway station . stayed & quot ; soft opening & quot ; rate , make excellent value . hope not put rate much would love stay next come back ny . 
 Jul 6 2009 	 Extraordinary View 	 stay Standard July 4th standard suite . 180 degree view floor ceiling window extraordinary . Macy 's firework spectacular . read negative review , think room , hotel , staff great . 
 Jul 3 2009 	 like Paris efficiency apartment glass box open Manhattan 	 good design , great big bathtub view , pleasant work table window open , literally , onto city . feel like apartment . nice walk neighborhood , friendly vibe . 
 Jul 2 2009 	 decent short stay 	 location GREAT enjoy nightlife meat packing district offer . lobby decor super trendy cool . staff ok ; nothing special . room enough sleep shower , definitely would not keep sane spend 2 night ! bed comfortable , practically floor . tv right front bed . would recommend old people ailment , anyone tall , back problem . also , hotel family shy couple . shower 1/2 pane glass separate sink / vanity . yes , floor get wet . separate toilet room definitely anyone overweight ! bit claustrophobic there . the floor ceiling window make awesome view , though . hotel everyone , decent short stay city . 
 Jun 29 2009 	 nice staff New York 	 yes , view Standard spectacular design groovy interesting . really amazing lovely staff . daughter feel welcome care - for everyone front desk clerk bell - guy phone operator concierge . sure ever get good service ( light friendly touch way , heavy duty & quot ; sir & quot ; & quot ; madam & quot ; kind manner 's way bit annoying ) New York hotel , price level . room small side view overwhelmingly compensate lack square footage . great stay make realize experience place completely color experience people . 
 Jun 25 2009 	 Best Service 	 hotel epitome contemporary design service old - fashion hospitality . bellman literally run help colleague luggage taxi upon arrival . front desk genuine warm friendly welcome , offer information area always gracious throughout stay whenever engage . concierge fun , friendly certainly give we fabulous recommendation dinner . later see , follow genuinely pleased enjoy recommendation . lovely room technical challenge get wireless network - within five minute someone come room , helped get connect - smile ! staff impress much , add hotel lovely - room immaculate comfortable . tub amazing , bed comfortable . highly recommend Standard . 
 Jun 23 2009 	 Misses mark 	 positive : location hotel fantastic view beat , especially shower / bath . right Highline amazing . room clean , quiet comfortable part . the negative : build quality hotel great -- think either build quickly cut corner . door not close properly ever b / c seem frame warp -- slam shut literally kick open several time . hotel brand new , not happen . cable go multiple time two day . check tv not work leave . highline look hotel , will see cement frame floor floor outside shift different direction -- straight line -- take look will see . room little cold uninviting . get go , mid - century / Danish , somehow miss mark feel like inside RV strange bolster rail around room . misplace peice furniture bar sit hallway ; look like afterthought leave previous owner , waiste precious space . staff , though extremely polite friendly , hotel staff establish hotel -- feel like college kid run hotel . could property still green work kink , right , . finally , lobby , though try cool really unimpressive person small scale . would stay , probably -- well hotel near well vibe energy place . bad stay , mean , miss mark . 
 Jun 20 2009 	 great value money 	 come NYC 25 year exciting arrive Standard know treat . staff friendly accommodate . love design hotel straight away disappointed saw room . Frank Llyod Wright meet Jetsons ! floor ceiling window provide impressive view . elevator quite trip ... location fine - feel safe within walk distance want see . enjoy stay happy Standard 's staff . 
 Jun 16 2009 	 bit dude great sleep 	 stay five night , dog , garner far attention staff . part , staff lovely , concur early reviewer refer hipster . mind , stay Meat Packing District , need buy surprise front office staff attractive , young , stylish well - coif . housekeeping staff lovely attractive overly , far friendly young front end people . overall , housekeeping staff terrific ! room bit dorm room meet camper trailer feel . say , pay soft rate complete construction complaint . bed comfortable quality linen nice . sleep really well . white quilted blanket make feel like school seating area totally remind camping kid . would surprise table collapse bed . one big complaint hotel . need seriously upgrade product line soap shampoo . also bit dude front . spruce bubble bath ? Ick ! scent masculine . ' m look super flowery either , not want come bath smell like Christmas tree . bubble bath shower gel huge disappointment , especially give massive bathtub . package stuff also terrible . look like generic shampoo might pick Walmart . really need upgrade stuff , especially soft rate people pay full price . towel , however , fantastic ! nothing like massive bathsheet . bathrobe would nice . general , great stay give friend live , perfect neighbourhood , ' m sure would pay full price one room . not feel luxurious . clean comfortable ? absolutely ! luxury ? really . perhaps aim . architecture build great ! 
 Jun 8 2009 	 OMG VIEWS ! 	 delight short stay Standard . reserve 2 standard queen room . beg reservation since normally two night minimum , explain special occasion ( daughter 's 21st birthday ) , kind enough make exception . could not get soft opening deal $ 195 / night , feel $ 265 / a night quote price pretty good NYC . wow contemporary decor greet we lobby . NYC 16 year , quite surprised friendliness staff , even molecule snootiness -- warm , friendly , fun , helpful . blow away tell room upgrade honor daughter 's birthday . daughter give river view room mind - blow . although room floor ceiling , wall wall window amazing view , foot bed panoramic view Hudson river never forget . even statue Liberty visible . totally full moon firework display rather add excitement awesome view evening . New York standard , room nicely sized , nice contemporary table , huge tub , rainforest shower . big fluffy towel ( lot ) , amazingly well stock minibar part charm . second room ( upgrade standard King ) great city view showcase Empire State Building . bed comfortable , wonderful linen . flat screened tv , glass - wall rain forest shower ( middle room ) comfy contemporary chair ( position stare window use table ) nice touch well . elevator -- fun ! Cartoon / animate - like display & quot ; Wonder World & quot ; ( hard describe must - see ) whimsical , entertaining , unique . clearly hotel take overly seriously many NY hotel . staff courteously accommodate every request -- supply shaving cream toothpaste request , answer question regard direction , travel time , etc . room service breakfast long free restaurant yet open , order coffee roll extremely reasonable prompt . suggestion would make instal black - out lining behind drape ( sun REALLY make known morning ) , second thought , time sleep visit Big Apple ? hip meat packing district hotel locate really convenient term central location & quot ; mid town buzzy & quot ; young . highly recommend hotel . although apparently view great , possible , splurge get room river view , be spectacular worth memorable experience New York . 
 Jun 6 2009 	 Alright 	 stay four night May . room nice location perfect , close bar , nightclub shop well quaint West Village . our room black hair bathtub not remove second night either upon complain clean well . Breakfast send room restaurant build average . not sure hipst staff seem hire look appear though favour ask assistance etc . 
 Jun 6 2009 	 Wait Return 	 stay end May one standard queen room 11th floor . everything perfect stay - friendly reception staff concierge guy always leave station hail cab gorgeous model guy bring in - room complimentary breakfast . love room - stun view river ( could see Liberty Statue clearly ) low Manhattan clearly visible floor - ceiling window , nice comfy bed low floor plenty pillow , convenient plug outlet laptop cell . complimentary toiletry ( Kiss Face brand ) ample sized , large norm - face cream 2 oz .. love , love deep tub . 13 hr flight , treat fill soak , able enjoy sunset - clear view bedroom . experience air conditioning problem mention review - room maintain perfect ambient temp . neither hot cold . hotel great neighbourhood lot boutique restaurant . room directly Brass Monkey - patio pack till 3 am . feel safe walking around night . minibar stock lot different option alcohol & amp ; non - alcoholic drink ( bottle & quot ; mini & quot ; size either ) snack . price really reasonable not one cheesy spring - load fridge either . see hotel good single young / hip couple . kid friendly room not like modern look decor . wish low flow toilet - one unit modern . bathroom waste bin would nice robe . 
 Jun 5 2009 	 word 	 complain staff could sleep night noise go outside . anything . find rude hotel nice . hope get well staff . 
 Jun 3 2009 	 great hotel great location ... 	 spend two night standard reading review Tripadvisor . great hotel ; trendy inside intimidate . different chain hotel midtown . staff also look part ; helpful especially check - give we south face room ( high rate pay ) . room ( queen standard ) cool . little small side ( much room two suitcase open ) floor ceiling view fantastic . clearly lot think go design room . bathroom quite unique great two person bath view still visible bath . mini bar great selection really reasonably price room service menu . really comfy bed problem sheet fresh first night . great location explore meatpacking district , village chelsea . 
 May 24 2009 	 Great Hotel great location 	 partner stay 3 night STANDARD . really enjoy tastefully decorate room fantastic view meatpacking district , Hudson River Empire State Building sight . concierge staff general friendly helpful . complimentary breakfeast deliver morning room delicious . location hotel perfect . plenty restaurant , bar club neighbourhood . would return hotel anytime . offer good value expensive city like New York . 
 May 23 2009 	 small room poor service ... fancy ? overrate 	 standard hotel really low ! small bedroom , bed bathroom ... seem boat . absolutely overrated , especially real pour service offer . not try wait room service ... simply ignore you . bad experience overall . 
 May 11 2009 	 form function 	 first positive : great location like youthful nightlife and/or excellent resaurant . wonderful high - end boutique great window shopping . friendly service . gorgeous look people everywhere . fair price , least moment . the negative : really uncomfortable room . engineer point flaw ventilation impossible correct architect engineer . change room . bathroom design annoying & quot ; cool & quot ; . furniture room uncomfortable & quot ; modern & quot ; . staff seemingly train hotel industry . extremely pleasant clueless . doorman actually open door 20 % time . otherwise discuss next picture - shoot . really want like place 's new love area . twenty - something sure love . look 4 - star hotel 30 , gravely disappointed . 
 may 10 2009 	 wonderful stay 	 partner live NYC decide stay night celebrate birthday get usual neighborhood . put simply wonderful stay Standard . stay West - facing & quot ; Standard Suite & quot ; high floor . Glass wall floor ceiling three side , include bathroom . view simply unforgettable suite design layout gorgeous . big two - person bathtub , comfortable ( squeaky ) king size bed . two - head rain shower bathroom . modern design , yes , water get around bathroom etc care ? AC work min temp 60f . shade draw get lot sunlight may account previous reviewer find warm . room service delicious . homemade ice cream , tasty cheeseburger , complimentary breakfast . overprice room service standard , either . appear several bar downstair hotel seem noisy night . room quiet . 
 May 6 2009 	 Perfect Anniversary Spot 	 first , air conditioning definitely work ( ) ! place cool , temperature . staff super accomodating . room funky , view spectacular . Rates & quot ; soft opening & quot ; reasonable . clear shower door bedroom bit unusual , fun short visit ! great place stay want area . 
 May 4 2009 	 Twice standard ... 	 stay 4 night Standard Hotel Manhattan say fantastic . have stay 2 year ago Standard Hotel Hollywood ... decide try New York too . it be really great location meatpacke good Manhattan ( close cool restaurant shop ... ) room ( 1013 ) spectacular view Hudson river Statue liberty . room bright cool . 9th time Manhattan HIGHLY RECOMMEND HOTEL ! 
 may 3 2009 	 Fantastic view Great Value 	 live Brooklyn want night away husband kick back enjoy city . choose Standard location cool architecture . the Standard deliver . • wall floor ceiling window gorgeous - literally could see whole city lay bed• super clean + new• comfy bed• room large NYC standards• Sweet complimentary breakfast bring door ( lot good coffee pastry 2 ) • walking distance Chelsea galleries• View Highline + city overstate . the staff nice , upgrade we king room put we high floor upon request free charge . decor lobby cool retro - kitch glass shower room super cool . the noise street loud ( mind , live Brooklyn ) , loud enough play music drown . whatever , Standard spend money sound proof room , would not able afford stay : - ) tv not work , could care ? ' m spend night hotel watch tv . oh , stay next elevator not bother noise . overall , really great value great experience , highly recommend . 
 Apr 29 2009 	 incredible view NYC size roomgreat staff hip location 	 hotel locate hip place town , hudson view incredible featured statue liberty , sit nite area throng GREAT dinner spice market block away , people watch AWESOME outdoor seat see BEAUTIFUL people walk , room compact functional small bathroom soak tub view thru bedroom river , south face room view downtown , village river statue , view well city view ( think ) staff friendly efficent , critical LOL rest.not open yet , 30 min bfast delivery , overall great experience , remember compact room 
 Apr 24 2009 	 AC work 	 want sweat sleep stay . entire hotel lack ventilation AC barely work throughout entire hotel . time call complain room hot send & quot ; engineer & quot ; seem thing . otherwise hotel great one problem view pretty major . swelter heat NYC go major complaint . 
 Apr 21 2009 	 casual SLICK ARCHITECTURE FABULOUS ROOM service ! ! ! 	 always avid fan standard hotel LOS ANGELES . excited Andre Balaz open property NEW YORK ! ! ! ! VIEWS amazing , architecture flawless , room spacious yet comfy ! ! ! ! stay beyond expectation hotel great service . the good service ROOM SERVICE . free breakfast delicious Alexis room service server great personality really make morning easy ! ! ! upbeat person ! ! ! ! ! ! overall stay course rate ten star ! ! definitely come back next visit ! 
 Apr 19 2009 	 New Cool Meatpacking District 	 Though hotel still ' soft ' opening stage ... look new cool place stay , ! forget Gansevoort Soho House ... Andre 's late fit bill . purpose build stylish piece architecture right ... can not miss 70 's style over - the - highway design . yellow door corner hip doorman mark arrival . plain entry hall neat little bar leave ... room floor ceiling window funky one bathroom ... stay two different type cool . toiletry plentiful practical . towel white fluffy . mini bar build retro - new desk / bureau . flat screen tv , free wireless free breakfast coffee / pastry / juice bring decidecly good look staff time 6 am .. be like . location perfect MP district . concierge really helpful low key - never ' hype sell ' late place - rather , ask right question want ( noisy , dark , ' scene ' , etc ) . love experience . huge step know Gansevoort ( long since sell ) dark faux - hip ' w ' experience ( cookie cutter ! ) . rooftop bar open place ... hope do not lose sense understate cool . restaurant not open stay March , advantage room service / dining . view Hudson Empire State incredible night ( day ) ... , want cool NY place stay , new spot . please Mr. B .... not ' sell ' ' scene ' . 
 Apr 11 2009 	 Anything Standard ! 	 stay Standard end two week holiday , 12th floor room breathtaking view , much , one night choose return room look downtown skyscape - room could see Lady Liberty , Brooklyn Bridge sparkling night Empire State building . even shower height Gansevooft 's roof deck ! do not get well ! fit edgy , architecture . first day leave hotel pass twentysomething street , hear one say , & quot ; oh [ -- ] & quot ; turn see meant - talk hotel ! ; impression want hotel set standard accommodation return NYC ! 
 Apr 10 2009 	 good service ever ! fabulous view free breakfast . 	 ' m sorry , service good every experienced , ever ! trust travel Intercontinentals , Grand Hyatts , Four Seasons , etc . staff unfailingly polite , helpful , friendly . room ( suite pay $ 500 + ) fantastic ! view Hudson Statue Liberty . 16 friend party not feel crowded . free breakfast great room service one night ( steak frite ) well many restaurant . oh , free internet - one pet peave hotel . minimal complaint : clean staff could ' ve do slightly well job vacuuming . ! 
 Apr 3 2009 	 another Amazing Stay @ Standard ! 	 * already review Standard New York , stay February , recently stay @ end March & amp ; great time ! build architecturally beautiful & amp ; love part New York hotel situate -- ! upgrade super cool room absolutely stunning view city ( room 1410 , Corner Deluxe Queen ) -- -the bathroom fabulous free - stand tub fantastic waterfall shower -- -with great view & amp ; terrific water pressure ! staff super nice , include Justin , Dwayne , Stephen & amp ; Kevin @ Front Desk -- -all helpful , efficient , friendly & amp ; seem focused pleasing guest . Andrea Room Service also kind ! * see picture attach -- -some first stay & amp ; other recent one -- -the hotel recently increase rate , pay $ 195 & amp ; receieve amazing up - grade , ' m sure people still snag good rate -- -the room still worth & amp ; overall experience hotel different & amp ; unique compare hotel -- -once restaurant , bar , pool , etc open , hotel even well ! * even Mini - Bars ( fairly reasonable price , compare NY hotel .. ) & amp ; bath product unique ! ! mini - bar pack item & amp ; light also really good room , mood - adjusting , really appreciate hotel . * great time @ hotel -- -It 's unique place sea trendy hotel . Safe Travels & amp ; ENJOY NYC ! = ) PatrickNYC02 April 2009 -- 
 Mar 29 2009 	 bother hotel many choice NYC ? 	 nothing wrong hotel except rude staff . mostly come awful manager . 's staff think 's okay rude customer well . really awful experience , check next day . never return recommend anyone . many choice New York City , bother . 
 Mar 27 2009 	 cool renovation feel 	 Part hotel still undergo renovation , drill bang sound day , technician knock door afternoon , ask install something , dip bath tub overlook marvelous view Manhattan , might encounter worker side glass , enjoy marvelous view .. none really spoil enjoyable stay . location simply perfect . staff extremely nice . room beautiful , floor ceiling glass wall provide spectacular view . corner room face north - east view mid - town , seem south face room well view Hudson . Bear mind hotel still lack many facility - lounge , food , fitness spa facility , price reduce full opening . definitely fun stay 
 Mar 19 2009 	 Amazing Service 	 good thing hotel staff every situation friendly accommodating . keep level service really put hotel map . location hotel great , although find cab hard time get front door sometimes . old cobblestone street , fantastic restaurant bar , great shopping area make desirable area . hotel will not complete summer , can not hear see construction . imagine amazing place restaurant high - line park complete . room small other note bathroom complaint . also make sure not get room number end .01 , adjacent elevator hear come . view room amazing . this great hotel make sure take advantage soft opening price . back . 
 Mar 13 2009 	 cool hotel NYC 	 stay Standard last weekend fantastic time . building - phenomenal way sit High LineThe Location - could not well visit Chelsea , West Village , Tribeca Soho . the Lobby Reception Staff - fantastic . the room - breathtake view cool fit out . this hotel already hot , top floor restaurant / bar / nightclub , rooftop terrace gym open definately hippest hotel NYC ! 
 Mar 9 2009 	 Breathtaking view 	 room : stylish , well design , really comfortable bed & amp ; lovely linen . incredible view glass floor ceiling window . service : friendly , polite & amp ; attentive . nice touch breakfast bring room . the location : meatpacke district perfect place explore downtown . many ultra - cool shop , bar club . happen without noisy . overview : husband fussy traveller , ' ve give hotel full mark everything good reason . ' ve wonderful time not anything fault . add take advantage ' soft launch ' rate $ 195 night give top mark value . 
 Mar 4 2009 	 Hip Hotel Meatpacking : Classy Comfortable 	 stay hotel long weekend plenty rave : staff hire look , also competent gracious . tiny room - ( 908 ) overlook one last meatpacking plant , bird 's eye view , watch truck ride load carcase . actually , & quot ; gritty & quot ; fascinating somehow urban real . love floor ceiling window ( one open - yes ! ) be great table rather desk ( free wifi ) . tub room , robe peek - a - boo shower . definitely need new shower head , water spill floor . bed linen fine stay NYC . free continental breakfast plus - take advantage transition rate . hear construction water pipe noise . oh , drink price downstairs bar reasonable ; DJ play weekend . use subway ( 10 min walk ) - convenient midtown theater buff , like varied neighborhood shop restaurant . Vince Theory Tory Burch shop open nearby , GAP will not far behind . go scene start look like Soho . 
 Feb 28 2009 	 great Stay Standard 	 wife wonderful stay recently Standard Meatpacking District Manhattan . room normal NYC size , however design seem make space . not go someone be comfortable shower look living area . pretty cool actually . floor ceiling window make great view love 1970' - style appointment . building , architectural masterpiece . service great staff friendly . not forget drink downstairs living Room Bar . would definitely recommend hotel . 
 Feb 19 2009 	 Fantastic hotel - fantastic location - book ! 	 come back Holland 4 day Standard . absolutely love stay - extraordinary experience . our room ( 9.20 ) amazing view Hudson river . look right ( far away ) Statue Liberty could even see Brooklyn Bridge room . floor ceiling window really great , room small nice : - comfy small bed- great bathroom ( albeit wet say ) big tub- big screen tv ( do not use rather look view ) - big mini barwas everthing perfect ? well almost : would name thing , find much space stuff room ( one closet behind curtain ) miss accessory like trash . really , nitpick . the thing find bit annoying neighbour run water loud could not hear music ( nicely run iPod iPod dock clock radio / speakerset ! ) . modern building seem odd pipe isolate . as hotel construction : not notice . everything operate fine . the lobby / bar great outside terrace great summer . staff friendly . else wish ? neighbourhood - really one good area 's NY think . nice restaurant , nice shop close West Village - also love . great restaurant across street Standard like asian food : Spice Garden . Pastis nice . avoid : revel : lure fix price menu tell serve 19.30 . even bad : service food bad . to get back Standard : subway 5 min walk hotel straight connection JFK ( AirTrain subway stop Jamaica ) lastly rate good right be preview rate be still finish hotel . despite high rate next time : will surely come back ! 
 Feb 15 2009 	 Great Chic Hotel 	 return celebrate birthday NYC . Standard Hotel really set standard chic , comfortable friendly hotel . room fabulous view Hudson River , Statue Liberty . 's conveniently locate walk city . people friendly helpful . Michael show we room give we & quot ; room tour & quot ; . reasonably price drink lounge cool lobby .. enjoy free Continental breakfast along delicious herb goat cheese omelet bring room morning . bed linens comfortable hotel ' ve ever . hotel fully open yet can not wait go back be complete . 
 Feb 15 2009 	 Fabulous New Hotel MeatPacking ! ! ! 	 take girlfriend Standard Valentine 's Day 2009 romantic night away home NJ . pull place , decor yellow chair outside yellow door amazing . drive around block not know leave car , second time around - get lucky find spot literally right next door . stay weekend ... allow park recommend save $ 55 valet charge ! bellhop nice take bag we soon park . arrive around 3:30pm room ready yet , however offer we free drink glad take . hour later , room still ready ( starting get little upset ) another complimentary drink save happen ! ) finally , room ready , normal queen room & quot ; Empire View & quot ; tremendous view empire state building floor ceiling window ! night light Valentines day white red pink ! ... romantic wonderful . room perfect . typical small NYC room , however roomy comfortable bed sleep year . nice 42 inch flat screen wall nice sit area . one thing would say room ... do not go someone do not know well ! ( mean well ! ) shower completly see . sit bed , see directly shower glass - neat girlfrie / wife .. neat co - worker ! ! bathroom private , door . tub massive - and shower wonderful ! door shower floor get little wet ! flower waiting room girlfriend , come perfect conceirge ! morning , phone call away commplimentary breakfast - bring straight room . Coffee , OJ , pastry perfect Sunday morning ... do not get bed ! overall WONDERFUL hotel - with extremely accomodating ( good looking ) staff ! ! got construction rate $ 235 saturday night . sound look construction weekend ! ! would highly recommend ! ! ! 
 Feb 8 2009 	 Sexy Showers Standard 	 visit Standard Miami , ' ve look forward see Standard NYC would offer town full high - end unique hotel . hotel still complete will not time , guess , afraid book room meantime . not hear see evidence construction inside building , pretty impressive . staff everything make stay comfortable . particularly impressed concierge -- actually know area unlike many concierge take space behind desk merely recommend people 2 restaurant . try figure afternoon know could get haircut , good art gallery , exhibit like small nearby museum , spa good , get drink get dinner within neighborhood recommendation spot . management clearly understand good staffing . that lead good thing hotel -- location . area favorite part NYC . restaurant club plentiful good . building not high . 's authentic NYC . able walk back hotel experiencing plus I . my room Standard good , although super unique . absolutely complaint . floor ceiling window create view , well - appoint comfortable bed make good night sleep . other mention , shower separated bedroom floor ceiling clear glass , think pretty damn sexy . ( bad shower 's design seem little water pour bathroom living room rug . not mind feel bad housekeeping staff . ) will definitely head back 's complete see else offer . 
 Jan 17 2009 	 NY Standard beyond FABULOUS ! 	 last night stay New York Standard - room 9.11 - brilliant . Andre Balasz team really know put stamp thing create experience special . killer mini bar ( although hardly mini ) , well think appointment , everything feels hand pick work perfectly . bed heavenly sheet high thread count . room somehow feel bit like cruise ship cabin review , view New York City far good ' ve ever experience NYC hotel . the staff incredibly accommodate attentive ... QUICK ! can not go without mention gorgeous staff ! wow . lobby bar really chic sexy lounge open time . the hotel half finish make sure almost not notice- awesome variety menus restaurant area deliver free breakfast deliver room within minute call delicious - scone croissant excellent coffee OJ . anxious see rest space excite frequent top floor 360 degree view bar restaurant . supposedly build restaurant beer garden Highline - cool . summer come soon enough ! highly recommend NY Standard - superior service . fantastic room . mind blow view ! Book ! 
 Jan 4 2009 	 great service nicely appoint kink work 	 go New Year 's Eve even though live New York wanted see inside hotel , close would go evening . stay Superior King . service excellent . Champagne arrival , personally show room . although , lot confusion late check next morning staff unclear resolve speak manager . room minimal , quite lovely . nice couch , table , platform bed , large tv . light bed fantastic , rest lighting room need dimmer , bright ( light common hallway terrible ... bright fluorescent orange , ? ) . bathroom : open shower problem , water go everywhere , include curtain use be bit display . bed super comfy . view amazing . 
 Jan 1 2009 	 Nice Hotel Great view 	 see initial review Curbed.com , decide call book room New Years Eve , go NYE event Tenjune . awesome rate NYE $ 195 superior queen . check simple , tell still work process , property open week , still construction . room locate 8th floor , hallway light little much , radiant orange glow , really mood light different approach . immediately , walk room , awesome view hudson downtown , floor ceiling window . bathroom right ( sink , soak tube shower ) , trip go bathroom , floor raise glossy black tile . little modern taste unique . bed face window tv stand directly front bed , small sit area table bench seat across wall . awesome view bed , close shade night , sun morning blinding . one thing particular room , stay someone intimately , shower / bathing area completely open bed area . jump tub bed , open frame behind bed directly tub . only issue room shower , upon shower , floor apparently grade properly water flow common area , go drain floor . use majority towel soak water floor front sink . hotel credit , receive $ 50 credit hotel . Forgot mention toilet small enclosure ( door mirror ) leave walk room . overall , nice hotel , nice staff , awesome view , cost holiday NYC great stay . Time tell hotel & quot ; complete & quot ; standard city . 
 Aug 28 2009 	 magnifico hotel 
