love 	 Loved ! one favorite hotel 's stay Chicago . great room , great breakfast , great location . everyone come contact pleasant . lobby beautiful . room nicely update - breakfast delicious . hopefully get chance stay future defiantly recommend friend . 
 Mar 7 2009 	 Adequate good example Embassy Suites hotel 	 ' ve stay many Embassy Suites generally excellent experience . though es tolerable , bit letdown appear strip - down version original concept . good point : excellent location business ; nicely finish room though tad small recall line . staff friendly competent ; cook - to - order complimentary breakfast Manager 's Reception , always , strong plus . breakfast co - ordinator really wonderful . inexpensive pub - style restaurant ground level convenient quick meal , grocery store across street also useful . point strong . first , * must * charge internet access ( cost basically nothing ) , not charge $ 15 per day * * insecure wireless connection available . upkeep spotty ; though clean , room one burn - out light bulb light computer station not work either ; fact light - and - plug combination power nothing could hard - wire . interior courtyard , lush gorgeous Embassy Suites , open sterile , dominate large vertical slate fountain damage operation , long time . couple row & quot ; bamboos & quot ; add bit green long - dead plant , plastic leave attach , split open . altogether rather depressing . , fix issue , bring hotel 's atrium back ES standard , hold back internet fleecing , would recommend place highly . 
 Mar 5 2009 	 Sufficient 	 stay Embassy Suites last January night ... first , live Chicago two year stay hotel always bite strange return . anyway , hotel decent business , 's Loop , good access El close Union Station . however , lack something . usually like stay Embassy Suites hotel unremarkable . clean enough people nice enough 's doubtful will stay . would rather stay Hilton downtown even Hilton Garden Inn Ohio Embassy Suites . plus , even Diamond Member , pay $ 9.95 internet per day . nickle dim really annoy anyway , stay Hilton 's 100 night year ? usually get compe stuff like front desk time . ' ve get lot choice downtown , would look elsewhere . say bar nice lobby food Happy Hour pretty bland . 
 Mar 1 2009 	 Nice Embassy Suites .. lack 	 Stayed Embassy Suites 2 night visit Chicago . arrive hotel noon Saturday allow check - in early . Clerk check nice , seem preoccupied . take Blue Line o'hare Downtown Clark / Lake exit . hotel good 10 block walk stop , may want avoid inclement weather . the room clean , however seem little dark old compare Embassy Suites visit . bathroom small side . internet little slow desire ( free ) . breakfast average serve pleasant staff . Manager 's Reception also average . elevator fast never long wait . many family stay hotel weekend . Noise easily carry room adjoining room . nearby hotel Dominick 's grocery store Walgreens . attach hotel movie complex bowling alley . hotel near Sheraton try map . little walk famous restaurant Chicago ( fast food look quick bite eat ) . use pool seem small . noticed hotel refurnish fitness center . overall , ok hotel ok staff . feel room could use bit makeover . would stay receive good deal . 
 Feb 24 2009 	 Great Hotel location price ! ! ! 	 stay family trip four kid . choose hotel base price , location , review would allow we stay one room . ( be hard find hotel not make we get two room pay expensive suite rate ) . read review other bad experience , say ( other read ) great ! check Friday afternoon . easy find valet parking great . hate pay much parking , would find hotel Chicago . take elevator Sky Lobby check wait maybe 5 minute till turn , . staff nice courteous . 2 people wait check everyone , soon line start form behind we , another person jump right check guest . room 16th floor . open lobby area way ceiling little scared height , might want get room low floor . room suite two double bed bedroom area tv sofabe living room . small dining area live area flat screen tv , large bathroom see hotel , small kitchenette sink , small refrigerator , microwave . bed linen towel nice clean , comfortable bed . also large armoire bedroom large entertainment center , good size closet plenty storage . manager reception nice bonus well breakfeast morning . manager reception offer free drink drink ( alcohol non - alcoholic ) . read one review say disappointed wait line drink , hello , free many people stay ? - expect wait little , never wait long . breakfeast morning expect , everything pancake sausge make order omlet , cereal , fruit , yogart , bread , juice , coffee , milk , potato . include price room , free everyone . would recommend come either early later ( early ) around 8 9 busy . consierge nice helpful . slightly negative thing would say size pool . small ( long , wide ) , never many kid great time . plus , stack towel , not worry bring room run pool . price location chicago ( close everything ! ) can not beat hotel . definitly stay . 
 Dec 29 2008 	 Great Hotel Great Breakfast include ! 	 stay Embassy Suites Christmas day . make annual trip Downtown Chicago Christmas day time decide get hotel room son wife come . 's great hotel , pool , whirlpool sauna . 's great location . second time stay Embassy Suites , stay one Niagra Canada . great hotel , Breakfast include stay full breakfast . even get make order omlette . 's great value consider include . draw back cost overnight parking , 's case matter stay Chicago . usually take train suburb $ 48 save cover cab fare . 
 Dec 9 2008 	 great location value 	 Overall , enjoy five night Embassy Suites . room clean , update furnishing . housekeeping service excellent . supermarket across street , variety hot dish addition traditional grocery . room service prompt . 's short walk shopping area Navy Pier . business center handy print airline boarding pass . Front desk staff friendly helpful , especially recommendation public transportation local restaurant . my complaint hotel terrible internet service . even call technical support ( overseas ) , problem solve . disappointing , especially since internet free . 
 Nov 26 2008 	 nice large room true family hotel 	 Downtown Hotel near Navy Pier great family 's . small pool still nice small kid . room nice large two room . good morning breakfast free manager cocktail reception . business Travellers good family 's ( kid ) unexpected . 
 Oct 30 2008 	 ok maybe ... 	 stay hotel last week October , 2008 . nice place try real hard well . entire place glass fear height ask low - low floor . elevator glass barrior floor . typically stay clear Embassy Suites business ... many family cry kid . exception . clean breakfast buffet / make - to - order well see Embassy Suites . hit right 7 am breeze -- good food except cold pancake , etc . room nice typical Embassy fare . front desk need help , slow . big complaint ( business travelor take note ) internet . horrible . engineering staff tell work not help . simply could work either & quot ; high speed & quot ; plug & quot ; unworkable wireless & quot ; . need internet go somewhere else . although charge ( like get anything ) still huge hassle . get deal price ok place ... close Pier like aspect couple block Michigan Ave . easy walk area heart city theatre district . 
 Oct 20 2008 	 Super value location 	 stay hotel weekend business meeting bring 13 year old daughter . hotel clean incredibly well locate . 's short walk magnificent mile , close Navy Pier far Art Institute Millenium Park . wonderful supermarket right across street ( Starbucks inside ) hotel breakfast super . terrific place rate -- expect good , pleasant surprise . think have hard press find comparable value large city . 
 Oct 18 2008 	 ideal first vist Chicago 	 stay 3 night , suite comfortable although atrium access good vertigo ! . staff friendly efficient , room spotless , breakfast great . great location 2 min river walk Magnificant mile 
 Sep 30 2008 	 Sad Sad Service 	 stay hotel plenty time - easy get Michigan Avenue , clean room . experience sad . customer service completely go downhill . apparently Diamond Hhonors member mean nothing . order flower deliver via fed ex beg front desk bring room ... tip person deliver find check also charge & quot ; package handle fee & quot ; . next time will stay Palmer House - know customer service ! check may bad experience ever large wedding party check time cart load gift elevator situation something desire . pure chaos smile face around . 
 Sep 9 2008 	 Great Hotel 	 Embassy Suites Chicago Lakefront great place stay . start , SkyLobby locate sixth floor good view . check - in simple quick , staff seem helpful . room nice clean , great view Lake Michigan room . room also good size , couch fold queen size bed . as amenity go , manager 's reception great start night free drink . line back move quickly . free breakfast good especially hotel . breakfast include almost anything need . location hotel great , 3 block Michigan Ave . 4 block Navy Pier . I would definitely recommend hotel anyone . 
 Sep 6 2008 	 pretty good could well 	 Hotel locate well Chicago , walk distance many popular site attraction , Navy Pier , Magnificent Mile , Hancock building ( long walk ) . hotel amenity ok , certainly hot breakfast ( expect line ) , attractive suite , not in - room safe free web access . lamp fail work suite , batterie tv remote need replacement . bedroom maintain nicely housekeep staff . like view south , could also see Lake Michigan . easy access lobby street efficient elevator . device lobby allow print boarding pass flight provide feature . also , pool close whole day unexpectedly . breakfast food good , especially quickly well prepared omelette . Bacon delicious plentiful . free cocktail soft drink early evening nice thing , be impersonal . not expect cocktail party , many guest pick drink bring suite . price right , consider stay . 
 Aug 29 2008 	 Stiff cocktail comfortable bed great location 	 employee courteous attentive . never wait help . room typical Embassy Suites , good size decor fresh - could year two ago new furniture , carpet , etc . my room view lake one side - beware - massive condo sit directly hotel Navy Pier 4 block east - water view lake south pier . it two block walk Michigan Ave . 4 block walk pier . AMC Theatre adjacent hotel stay two night would take film , due convenience . no complaint ! 
 Aug 27 2008 	 fine 10 Day stay 	 stay nine night August ' 08 . location hotel good , close Navy Pier Magnificent Mile yet relatively quiet . ( single traveler ) corner room 13th floor . noise atrium particular room , probably locate somewhat away atrium " regular room " . room certainly large enough purpose , big living room separate sleeping room . room spotless ' scratch mark previous usage , complain . also part hotel good shape . Kitchenette consist small fridge microwave oven . room quite nice view towards Chicago river , lake also well visible Sears Tower . LAN access provide ~10 $ /day , ' notice WLAN . one minor issue though : one two tv room LCD ( advertise two lcd room ) old - style " tube " tv . hotel offer free breakfast manager ' reception evening . Latter offer little eat ( snack ) , plenty drink ( free beer , wine booze ) two hour . breakfast , um , well suited european taste otherwise offer quite many different option . never wait elevator 30 second , thus problem regard issue ( unlike reviewer ) . , leave hotel always late 8:15am , avoid real morning rush hour . typical customer seem family really lot , ' really hear special noise ( kid run around corridor etc ) . obviously ' Executive Lounge hotel , receive two water bottle Hilton Honors Diamond member . well nothing : - ) hotel ' quite Five Star ûber Luxury hotel , job well . really think anything complain . one thing notice though ( ' affect ) often quite long queue check - in desk . would return ? yes , absolutely . 
 Aug 20 2008 	 great location ... great hotel ! 	 stay early August town Chicago Distance Classic . location great - easy walk Navy Pier hot spot Michigan Avenue ( even kid ) . room great - get king suite corner , great view away main atrium . breakfast buffet good . complaint shower curtain small shower wet floor every morning . shower also not drain properly take two day answer request fix . one minor complaint - concierge never . 
 Aug 19 2008 	 disappoint 	 arrive friday around 3 pm stand line least half hour check . 2 employee weekend check . way , good luck find way around . drive around hotel 3 time find valet gave drive self park . haul luggage . enter street level , get elevator get skylobby 5th floor , walk another elevator get room . inconvenient . room small family four . take son 's double airmattress barely squeeze bed entertainment center . go check pool . joke ! ! tiny pool ' ve ever see always full unruly kid hour . kid upset could not go swim . many kid hotel 's always way loud . manager 's reception 530 730 worth 15 minute wait line tiny drink . husband line opposite never chance sit . complimentary breakfast terrible . get around 8 every day 3 day stay wait ridiculously long line . hot food nasty , absolutely gross . get kids cereal would'nt feed crap . cereal , banana stale donut . husband venture stand line one day wait 20 minute 2 fry egg kid eat food never chance sit together family meal . many thing like will not go back . 
 Aug 16 2008 	 Hope not hurry . 	 family always try stay another nearby hotel ' ve see nice one look want give try , know & quot ; grass always greener & quot ; situation . begin , pull Columbus Ave . check not see valet self park Illinois . big deal , still figure get check desk another floor , ask find get . get registration desk one employee check guest . next line even though walk contract printout time still stand 8 minute second employee show back . even come , fiddle around first employee minute two seem like decide could check . not greet , & quot ; Hello & quot ; , conversation . book expensive rate kid would get olympic panda bear , not give figured room . honestly think would snap ask . bear not room go back get line , five minute , let know never receive bear . find valet check luggage pointing already check . ( figure work well luggage would get deliver much fast , little well check . ) HOUR HALF call bellman 's desk see luggage . answer , leave message . never reply . husband go back ground level find luggage bring . say do , take two hour get luggage . book one sized corner suite room clean . plenty room we view nothing write home . problem housekeeping time need question friendly . husband go check facility stop concierge desk ask couple question dinner reservation . wait five minute step registration ask someone would back . 's find send concierge home 6pm ! not even put sign say gone go registration , will probably wait seem let one employee time even though handle check concierge question . pool really narrow every time try go swimming ton kid run , splash everyone , even deck , even unsupervised . employee not seem check area except towel . pool hour great really need add adult time normal hour adult get lap enjoy peaceful hot tub . kid nine ten , even not enjoy unruly pool , not even get first time go pool . everyone deal room service super friendly helpful , blessing not want leave room . actually change mood something Sky Level . would go dinner shopping not want come back hotel . would move normal hotel , Embassy going charge we whole stay , not worth . love Chicago try go couple time year first time ever want go home stay long . 
 Aug 7 2008 	 comfortable Clean Unpretentious 	 stay hotel conference . idea expect , really go open mind . locate block lake right downtown , location GREAT ! find service consistently good hotel . valet front desk housekeeping staff . everyone friendly approachable . lobby ground level , sky level , bit odd . go separate set elevator get room ( pain enter exit hotel , minor inconvenience , plus , add layer security important place like Chicago . room suite , living room , tiny & quot ; kitchenette & quot ; area fridge , sink microwave , bedroom . room pretty clean . major complaint . bath nice . bed comfy . towel & quot ; fresh scent & quot ; smell like come dryer ... Mmmmm . lakeview room , view not great . several building block view , partial view well view . guest treat full breakfast nightly cocktail ( free ) . & quot ; cook order & quot ; counter make egg fresh , dole goody like bacon , sausage biscuit gravy . also buffet - style breakfast dining area , hurry . find breakfast great add value . hotel pricey , bring whole family ( lot people ) , cut cost dramatically try eat downtown Chicago . evening cocktail session nice adult relax lobby snack mingle . well attend night . area around hotel great , relatively safe Chicago . walk Navy Pier take taxis Water Tower Place John Hancock Building $ 10 ( 2 people ) . Dominick 's grocery chain right across street ( full size ) high - end grocery back side building ( FABULOUS deli ! ) . also , Walgreen 's attached backside . almost four day , buy grocery room fridge . the complaint air condition cool bedroom , well would liked night . internet service fast . all - in - all , GREAT time , would definitely stay hotel future . really nice room spread day . 
 Jul 30 2008 	 Nice Stay 	 return trip Chicago , family stay hotel 3 night . typically stay Embassy Suite hotel always meet exceeds expectation , hotel . hotel meet clean , staff approachable , plenty room 5 we , nice breakfast . hotel great location ! ! never use taxi , walk follow attraction Navy Pier , Wendella Boat tour , Bobbys Bike Hike , Double Decker tour . block hotel AMC theater couple restaurant . market right across street hotel Starbucks stand inside . the side hotel crowd elevator breakfast 8:30am . wait 15 minute elevator morning check , 4 . want omelete wait line long time , choose skip it . overall great stay ! ! 
 Jul 29 2008 	 Location Location Location 	 stay three night , July 24 - July 27 , three teenage boy . Road Amtrak Union Station grab cab Embassy Suites . able walk almost thing want . walk : Navy Pier 10 minute , Water Tower Place double - decker bus 10 minute , boat tour building river 5 minute . Michigan Avenue shop 5 minute . take train Wrigley Field , walk station 10 minute . room perfect we boy . good size . use pull - out couch night . use fridge microwave heat pizza next day . 's Dominik 's across street use buy snack drink room . could use another person check desk . one two work time . able check 11:00 a.m. , pleasant surprise . settle different room view , not big deal , use room basically sleep in . we excellent stay , highly recommend hotel family . 
 Jul 28 2008 	 Disappointed Embassy Suites 	 great plan weeke derail inefficency hotel staff . book smoke king suite . confirm reservation late arrival , imagine surprise get hotel room available . wait hour give non - smoking double room . get room clean last guest ( bed unmade , etc ... ) . consider arrive 11 pm , quite shock . addition , curtain room . contact front desk send housekeeping investigate . two hour later send another hotel chain night . unfortunately , could check back Embassy Suites 4 pm next afternoon ! cause reschedule many appointment room shower change time checkout hotel check Embassy Suites . dissapointe lack concern staff inability accomodate reservation ! excuse & quot ; overbooke & quot ; . honor reservation ? 
 Jul 26 2008 	 Bloodstains bathroom wall 	 check - in breeze . room look okay first , cobwebs anything . , double , king . I book . discover bathroom door would close mighty heave . notice bloodstain wall next toilet . well , hope be blood ... grand finale , inside door handle fall . okay , bed . the include breakfast buffet actually pretty decent . not try omelet station , line long . visit one friend stay hotel reveal refrigerator . not . nice hole one . air conditioning work way . yes , cool , thermostat obviously waaaaay . order get room comfortable 78f , end turn thermostat 61housecleane staff kind surly . not room come knock , not get clean day . eat get stay dark least . plus side , location pretty good tourist . 's Dominick 's grocery store ( Safeway Von 's part country ) across street . 
 Jul 25 2008 	 wonderful family 	 stay three night experience excellent hotel .. room extra large .. clean perfectly every day .. free breakfast , although crowd good large variety .. stay many otherembassy suite .. one good .. also close Navy Pier easy walk 4 block take redline ball park .. also walk Milennium Park shopping downtown 
 Jul 25 2008 	 Hotel Wonderful 	 stay daughter Grandkids 4th July weekend , hotel wonderful . site want see within walk distance add feature include breakfast morning manager cocktail evening make enjoyable stay . would definitly stay . 
 Jul 22 2008 	 Convenient 	 find location good sightseeing ... within easy walk distance Magnicficent Mile Navy Pier . many good restaurant area well . hotel huge personalized service . desk clerk bellman friendly helpful advertised concierge service non - existent . Breakfast include ... nice variety tasty food line long seem move snail 's pace . room ok rather dark dreary could use spruce . much closet space . pool tiny size hotel . overall good place stay want convenient room not plan spend lot time place look & quot ; luxury suite relax & quot ; . 
 Jun 27 2008 	 Great Family ! 	 choose hotel base travel agent 's recommendation . close proximity Navy Pier within easy walk distance Michigan Avenue . parking area premium , valet service come handy . the facility clean neat . never see housekeeping staff dedicate site maintenance regardless time day ; due build design apparent member staff diligently work ensure every surface clean . well , meet hotel 's Director Security checking ; display high level professionalism make family feel home . pool area popular family . workout room equip Precor fitness machine afford fantastic panorama surround area . AMC theater building complex also bowl alley ; handy come time entertain three child age ten . drawback , specific hotel chain location , company 's insistence internet access pay daily ( $ 10 / day ) . excellent stay . would wholeheartedly recommend hotel . 
 Jun 22 2008 	 watch purse ! 	 Hotel kind odd configuration . instead check ground floor , take elevator & quot ; Sky Lobby & quot ; check , take different elevator sleep room . take figure . use automate check - in kiosk , pretty impersonal work fine . use kiosk later trip get boarding pass airline . hotel seem quite large , big well light central atrium - style lobby . suite ( bedroom living room ) less impressive - mine dark , smell musty initially , rather bizarre 1950 vintage lamp . ugly . two tv ( one flat screen ) , nice bed shower . coffee maker room . room service lunch average - hot , eat every bit ( club sandwich ) . morning buffet sumptuous - cook order omelet , lot stuff . nice include cost room . staff seem fine - complaint . conference facility also fine . be careful - one coworker get scamme ground floor entrance lobby . woman pretend get heel stuck crack elevator door , employee go help , accomplice take coworker 's credit card cash . get away ( far ) . be apparently common scam area . bottom line - watch stuff . 
 Jun 9 2008 	 be like ? 	 visit Chicago first time hotel traveler find Embassy Suites great deal . entire staff courteous ( except happy hour bartender ) value outstanding . include breakfast knockout . never see make order omelette good quality ingredient like complimentary breakfast . disagree reviewer say place noisy - hear nary peep approxmately 100 child stay hotel ( run amok breakfast ) facility clean , recently remodel plasma screen adn like . one peeve chlorine odor atrium - pool 's ventilation . awesome location ( blue line clark / lake ) $ 5 cab ride - 60 minute $ 7 total ! good airport transfer deal big city . parking rip drive , lot across street $ 19 night not mind parking outside . 
 May 24 2008 	 Favorite Mag . Mile Hotel 	 stay one night time stay every week almost year back 2003 ( hotel open ) . pick hotel try 20 + downtown Magnificent Mile hotel . good see hotel maintain 's high quality year . love location - block Michigan Avenue restaurant / shop 3 block Navy Pier . new bed even well 2003 . offer feature come Embassy Suites hotel - atrium , suite sofabe , cook order breakfast manager 's reception ( open bar ) evening , pool functional gym . HHonors Gold Diamond member , use neighbor Holmes Place health club free . probably good health club US . room face Navy Pier river offer good view . overall , great , comfortable hotel . 
 May 12 2008 	 would return heartbeat ! 	 great experience ! first time use Hotwire , first time stay downtown Chicago ... turn wonderful . could not please hotel . arrive train morning hope hotel would allow we check early . accomodate , allow we room immediately , least 5 hour ahead post check - in time . every staff member friendly helpful - especially Shirley , hostess breakfast buffet . rarely see gracious friendly hotel employee ! way , buffet ordinary buffet , someone previously write review . hotel clean , room layout perfect family 5 location could not well want visit Chicago . able walk attraction want , except Shedd Aquarium , easy bus ride away . also , lake view room spectacular . highly recommend hope return soon ! 
 May 10 2008 	 nice hotel 	 stay one night Embassy Suites near lake think great hotel . interior atrium may architectural cliche still think give hotel amazing sense openness drama . room overlook lake love view , although tall building partially block view . the two - room suite clean , bathroom spacious nice , overall please everything . complimentary breakfast top - notch , line great omelet . fitness center first - rate equipment . if park directly save little money valet parking , mean take two set elevator get car , hassle schleppe ton bag . 
 Apr 14 2008 	 okay . 	 wife 18 month old stay lakefront April 8 - 13 . first stay Chicago not hotel Chicago use comparison average well . the atrium really bad concept ask sound really travel hotel ... tenth floor feel like room lobby bar noisy . request room roof . lobby bar loud people stay next somewhat loud hear ! could hear tv next door room . the breakfast great long be bright early otherwise will line forever . go free drink 5:30 - 7:30pm everynight ... free . Personally would rather pay $ 7 beer get decent service . the room nice big filthy ! pick piece break glass floor 1000 hair come it . great location ! parking complete rip - off ! $ 49 24 hr parking ! 
 Apr 11 2008 	 great hotel 	 stay 3 night hotel . well keep quiet . recent renovation everything seem new . service good . parking expensive valet service prompt . breakfast typical buffet . advise pool quite small overun kid . good pool adult enjoy . it would great & quot ; adult & quot ; pool time . ( like 9 be 10 pm ) \I would definately stay . 
 Mar 30 2008 	 Embassy Suites Great Location 	 5 daughter stay hotel Easter break . location great . room clean , view awesome , staff friendly , breakfast good cocktail hour evening wonderful . would definately stay price right ! shop entire time location important walk everywhere . 
 Mar 29 2008 	 big letdown 	 hotel stay combine price high end luxury property haphazard service cut - rate hotel . book get room easy flexible breakfast kid . lot troublesome problem right start . phone not work . sink bedroom run hot ( actually plumb hot fed line ) . reception desk give we completely incorrect address info resturant result 45 min wild goose chase kid tow . tell wrong , defensively say & quot ; 's system & quot ; . property laundry , dryer floor service - week . suppose fix second day arrive , never happend . the place look generally like attention detail . time pool fitness center example not match guest room book sign pool door , date . the pool small perpetually crowd parent small kid . 's fine kid tow expect get lap , dice - even late 10 11pm . I would say hotel staff friendly respond request - seem like request lot $ 420 per night stay . 
 Mar 28 2008 	 Met need extended weekend 	 mom go Chicago long weekend Embassy Suites meet need - clean , nice location safe . however , free breakfast nightmare - extremely long line , completely understaffed , never enough food / utensil / plate / cup line . first two day & quot ; stress - fill & quot ; breakfast experience , decide walk across street Dominicks grocery store ( similar Whole Foods ) grab muffin sit starbuck enjoy quiet , peaceful meal . afternoon & quot ; Manager 's Reception & quot ; not much well - drink fine appetizer amount & quot ; bar food & quot ; - pretzel , tortilla chip , salsa peanut . second night stay , run peanut pretzel ask staff , shrugged shoulder say & quot ; not anymore . & quot ; believe property completely unprepared influx Spring Break vacationer family . 
 Mar 25 2008 	 Good Family Hotel 	 book hotel part family spring break many other fill family spring break . primary reason pick hotel location amenity . Embassy Suites almost always include full breakfast , evening reception , decent pool room . good stay put highlight category . good – room layout good , corner suite view Lake Michigan , fridge , microwave , flat screen tv bedroom , clean , comfortable bed , plenty space family spread , breakfast food good drink reception also good ( especially consider " include " amenity ) , check - in easy staff friendly helpfulneed Improvement – breakfast planning – large family crowd , item run end breakfast day , one night reception " noodle " type dish , mostly chip / salsa bar mix – see much well variety snack ES property , housekeeping – one day come back 6 pm room service , call front desk fix dinner – also observe floor please change policy , Disney Channel ( kid gripe ) Location – ok walk distance subway , easy walk distance Navy Pier , Michigan Ave , Tips – drive avoid hotel garage , park Navy Pier ( block walk ) less half price per day – especially since use car till leftoverall good stay expect ES property . would probably stay next time Chicago family . 
 Mar 10 2008 	 price 	 ' ve stay 2 Embassy Suites 2 different city . think over - price level quality . the location hotel excellent convenient tourist business traveler . the complimentary breakfast simply satisfactory . free cocktail hour nice . however , neither enough make over - price rate . nice hotel available Embassy 's price range . one thing ' ve notice Embassy Suites electronic door lock complete piece s. ' ve ton trouble Embassy Suite Hotels visit . ' ve never trouble hotel ever . be bit frustrating put key 10 - 20 time get door open , every time come go ... probably will not stay Embassy Suites ever . 
 Mar 10 2008 	 Great Location 	 stay Embassy Suites Lakefront weekend March 8th . turn wonderful location within easy walk distance Navy Pier Michigan Avenue . also trolley stop right corner would especially nice Summer month trolley free go major attraction . hotel nice , need renovation chair room 's sit area threadbare fade . appear though might middle remodeling room . complaint long line breakfast evening reception . difficult locate table wait several minute hold food table clear . can not complain much though consider hot breakfast include alcohol evening reception . we look forward come back . 
 Mar 2 2008 	 okay ... 	 stay Embassy business trip ( turn fun trip later ) . room spacious however , 's clean hotel ' ve stay . construction going not hear noise . 5.30 manager 's reception nice great way catch action item day . good part hotel walk distance favorite restaurant Chicago ( Volare ) .The staff helpful restaurant area , thing , etc . say , would stay hotel pay . lot nice hotel area money . fun part trip weekend ( husband come ) stay InterContinental . much nicer ! will post review well . 
 Feb 18 2008 	 Great Choice Hotels 	 hotel great . book hotwire.com $ 120 / night . perfect location , right downtown area , two block Navy Pier . also block main shopping strip . great location restaurant , shopping , bar . favorite bar Red Head Piano Bar ( something similar ) , 20 minute walk hotel . room clean , one bedroom view Lake Michigan . bedroom 2 queen bed pullout sofa . also small kitchen microwave refrigerator . bathroom clean big . everyday , hotel reception serve everyone free drink appetizer . also eat restaurant ( remember name ) , also good . actually eat breakfast , friend say excellent complimentary hot breakfast omelette make order . pool nice , hot tub , sauna , shower area pool . also fitness center , not use , look nice many different machine workout . one thing really surprised parking . $ 35 / day park , however typical area downtown area . fact , actually one cheap place park , truly could not complain . mention tip anyone never park Metro area downtown Chicago . , definitely stay next trip Chicago . 
 Feb 11 2008 	 worth price 	 stay hotel year ago business traveler greatly appreciate room , food , facility . as weekend family traveler , hotel worth price . we problem check ; reserve credit card put cash deposit upon check - town shop , want stay budget . front desk staff prepare handle document cash . also problem honor online package ( web site ) order include parking online access . charge add night manually review . due charge add , cash deposit enough cover room service charge . upon notification , go front desk deposit cash . right , room service waiter come back room demand cash . despite ask speak manager , person would talk front desk clerk . billing issue eventually solve , return hotel staff member come room demand cash . 
 Feb 2 2008 	 overrate . 	 ' m write & quot ; 10th floor & quot ; hotel ( include underground level , actually 6th floor ground , though ask upper floor ... beware ) . pro : location ; aesthetic ( everything look nice minimalist ) ; free drink ( unlimited ! ) 5:00 - 7:30 pm ; fairly spacious room ; room remodeledcon : everything feel cheap ; attention detail inside room ( break shower curtain rod , break towel rack , break armoire , break pull - out bed , poor ventilation bathroom , cheap soap ) ; service spotty . anyway , want good location free alcohol , child somewhat low expectation , place . thought would get price . would not choose stay , although remodeling room ( can not tell room remodel ) . 
 Jan 21 2008 	 Good Hotel Good Location ... one Problem 	 town enjoy concert United Center ... fly Philadelphia . tell airport shuttle ... call day , yadayadayada . board PHL tell ... sorry , airport shuttle hotel . oops ! yeah , would say . get plane 12 pm not want wait 1 hour bus center city ( $ 50 head ) , take train . CRAZY ! train long ride scary one ... end get middle city clue lose ! people desk duty hapless good , get cab head hotel . time , least 230 3 . desk clerk ridiculous could care less . the rest stay ok ... standard Embassy Suites stuff . initial craziness tainted hotel . really ... major hotel major city ... shuttle van least honest phone lack theirof . , live learn . would not avoid hotel , average . enjoy time manager cordial speak later week . btw ... concert great ! see Chicago process love . 
 Jan 15 2008 	 great place stay 	 love hotel . great location bus stop acrossthe street . request corner room get it . the sale mgr.sent we surprise anniversary ( thoughtful ) . staff gracious willing help . enjoy Embassy theirbreakfast evening reception . begin renovation , room well keep clean . return hotel visit wonderful city . 
 Jan 14 2008 	 Great Hotel 	 return weekend Chicago . hotel staff super friendly accommodating . room nice bed comfortable . free breakfast ( full buffet cook continental breakfast , plus omelette cook order ) manager reception nice touch , although line get drink long , one bartender , last 5 - 7:30 . convenient location shopping restaurant . definitely stay Embassy suit one Chicago . 
 Jan 13 2008 	 Great Location 	 stay hotel conference area find reasonably price downtown hotel . cheaper conference hotel , plus free breakfast evening reception / drink bonus . Embassy Suites , get great room bedroom separate living area . one thing particularly like hotel location . right next door entertainment complex big cinema bowling alley / bar , plus right across street grocery store pick fruit snack difficult find stay downtown area . hotel 3 - 4 block walk Navy Pier , close popular Dick 's Last Resort restaurant water waiter insult purposely . also 2 - 3 block Michigan Avenue shopping dining -- easy walk . also walk Art Museum Millenium Park , although location not terribly close -- would say 10 block south . overall , would not hesitate recommend hotel . location excellent , neighborhood safe booming condo population professional move around , plenty entertainment food option within walking distance . one thing , want hop train , nearby station 1 - 2 block away . easy take train south north Wrigley Field catch Cubs game . must say expect much Chicago , leave pleasantly surprise everything downtown . 
 Jan 9 2008 	 great family hotel ! 	 parent , teenage son , 8 year old son arrive train 1:30 , early check - in time . porter wait take bag room , check - in seemless process within minute room . boy particularly impressed open - air style hotel fact could see straight lobby 11th floor room . many review indicate , elevator SUPER fast . room overlook lake much 8 year old 's delight -- construction site ! ! ! soft beds pillow ' ve ever sleep . even rollaway comfortable teenager decide want & quot ; good & quot ; bed Sat . nite . room quiet sleep water pressure shower great ! eat lunch hotel restaurant upon arrival everyone 's meal wonderful . case be wonder , mash potato real fabulous ! manager 's reception nice addition , limit drink availability & quot ; chex mix & quot ; like snack . free breakfast great -- good selection even not free . make order omelet & amp ; egg , bacon , sausage , pancake , french toast , bagel , donut , cold cereal , fruit , yogurt , potato , toast , juice , coffee , tea , name ! can not find something like young old , not like breakfast ! train not leave Sunday 5:30 porter willingly store bag take one last jaunt City . always helpful obtain cab , assist building , etc . highly recommend stay hotel anyone , definitely return . 
 Jan 1 2008 	 comfortable hotel 	 nice hotel . friendly employee . room comfortable . open lobby concept . 
 Dec 29 2007 	 nice hotel 	 stay two night ... hotel nice kid - friendy . staff nice except concierge helpful . clear upper class want deal . pay room like everyone else ! ! want suggestion dinner . help ... help lady fur coat behind we . stay nice room nice location good , winter need take cab place . summer could walk easily . breakfast nice touch ready wait line unless wake early , worh . would stay ! 
 Dec 27 2007 	 Awesome experience 	 hotel great location , block everything . bed soooooooooo comfortable . make order omlet breakfast huge hit teenage boy ! 
