Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Jul 15 2009 	 Great Hotel Great Price 	 reviewing hotel big believer equate expectation star rating price . find Tripadvisor many people take two star $ 89 / night hotel room major city review $ 700 room Ritz ; pick poor thing apart forget reason 's two star cheap . with mind , get much Manhattan nicer well value 3 star Hilton . stay first week July great time . choose largely reasonable price excellent Tripadvisor review . room clean comfortable , staff great location perfect need . Garden Inn locate heart theatre district , close Times Square minute walk several different subway station . locate 8th Avenue busy street room backside quiet . hear fire engine maybe 5 time stay not find intrusive . love bed find room fridge , flat screen tv desk need comfortable stay . free computer access also valuable able stay connected family business well print boarding pass sad time come we leave . the non complaint could possibly washroom small remember ' reasonably price three star expensive city . when come back New York definitely stay we leave feeling & quot ; wow , find little gem place . & quot ; 
 Jul 14 2009 	 good say true . 	 wife along sister husband spend 5 day 4th July holiday . use TripAdvisor review make selection could happy staff , facility location . housekeeping staff extremely friendly employee eager assistance . ' ve already recommend hotel friend will NYC later month definitely stay next visit . 
 Jul 14 2009 	 Great Place stay NYC 	 first trip NYC read many review , decide location happy . walk distance Times Square , Subway , & amp ; many great resturant . check go well , nice area computer & amp ; printer use print boarding pass need . staff friendly helpful . room 15th floor & amp ; nice great view . size room good & amp ; even 1 desk chair 1 easy chair sit . bathroom big enough one toiletry Neutrogena brand & amp ; plentiful . good resturant next door Pigalle door Thalia . highly recommene & amp ; city sight bus tour . 
 Jul 13 2009 	 Exceeded Expectation ! 	 stay ! location , Location , Location , price ! thoroughly impressed recent stay Hilton Garden Inn Times Square . hotel locate one block center Times Square short walking distance major NYC attraction . ( theater , Empire State Building , central park , etc . ) customer service receive HGITS top notch start finish . guest room nicely decorate , clean , comfortable . room small King room stay price location serve purpose . able secure room Hilton Garden inn quite $ $ $ less comparable hotel area . highly recommend hotel tourist traveler theater patron . 
 Jul 13 2009 	 good location near Time Square 	 nice location one block Time Square . not hesitate ask room top floor noise metro present ! room reception floor impossible fall sleep without sleep pill earplug ... however good choice wi will find metro 50th street 8th avenue . free internet access nice restaurant & quot ; à la française & quot ; give hotel good price / valueTwo queen bed good quality 's ! 
 Jul 13 2009 	 40th Bday celebration Hilton Garden Inn BLAST 	 recently return FABULOUS stay NYC celebrate 40th . stay HGI Times Square could not well location ! room spacious , clean bed extremely comfortable . concierge staff ( especially Donald , Michael , Jon ) helpful direction , subway navigate suggestion restaurant . carmine must try ! would highly recommend hotel great stay ! definitely return ! 
 Jul 10 2009 	 great hotel- excellent location ! 	 husband return New York 3 night stay Hilton Garden Inn Times Square . really enjoy hotel ! ! ! typically go NYC past stayed & quot ; W & quot ; hotel Times Square Union Square bit concerned would not like hotel . completely wrong . the King room spacious well appoint . bed comfortable upscale . Hilton Gold Member free breakfast Pigalle every morning many option ( yay- buffet ! ! ! ) internet access free . nice free business center 24 hour market pantry . location right near restaurant row , subway , Times Square . far enough away fairly quiet . 11th floor hear street noise all . I would definitely stay ! ! ! 
 Jul 10 2009 	 Great experience 	 spend many night substandard room , oasis ! squeeky clean room , great bed perfect location . many extra make tremendous value , 's staff impress . go extra mile make sure everything need , include direction even help order train ticket Boston . not forget free breakfast ! 
 Jul 9 2009 	 Prime location great value 	 wonderful central location within easy walk distance subway ride Manhattan , Central Park Battery Park , excellent home base Broadway show - going sample NYC 's cornucopia world - class restaurant . food Emporium across 49th Street hotel wonderful deli / grocery store quick breakfast ( fresh bagel schmear cream cheese , coffee juice ) , snack , dessert pastry , etc . Donald bellman unusually bright ray sunshine , going way greet we personally stay , bellman , front desk , security also attentive professional . Pigalle independent brasserie next door , connect hotel lobby . find breakfast full - sized , speedy , convenient early , middle , last day stay . decor wide - open french door street remind we Paris . our fourth - floor room face 8th Ave . close enough street level occasionally hear low rumble 8th Ave . subway line , obnoxious . could hear street noise night , not enough keep we ( think lullaby Broadway ! ) . Serta Perfect Sleeper bed linen , well , perfect . small safe ( key ) closet convenient small valuable . Neutrogena amenitie nice touch . could hear neighbor ' shower come morning tv conversation . the concierge service ( talk two different staff stay ) knowledgeable friendly , service worker encounter city . the hotel 's & quot ; business center & quot ; tiny room row four internet - connect pc connect networked color printer , handy purchase print Empire State Building Statue Liberty ticket advance ( recommend want avoid hour standing line ) . room also fax machine basic office supply . the second - floor fitness center small room row treadmill weight machine , single flat - screen TV . chill meat - locker temperature day check . 
 Jul 8 2009 	 positive review correct 	 stay week hotel . agree positive review hotel . pro 's hotel ( staff , location etc ) name , will mention negative aspect experience : noise . first room back hotel 6th floor . 3 floor air vent restaurant . could hear earplug , ask move . give we room face 8th ave 9th floor much well . we pay 149.95 + tax , great deal . stay ! 
 Jul 7 2009 	 wrong room preference ignore 	 Partner live 44th street , ' town , often stay hotel , ' complicated explain . ' stay previous occasion ; ' nothing special , standard HGI 8th Avenue . however , stay probably last establishment . year , Hilton Hhonors Diamond member , service many Hilton Family hotel go hill remarkably last couple year incident begin 2008 lead start reduce Hilton stay service standard . supposedly Diamond vip , treatment ' good enough spread business around . year downgrade Gold vip , statue seem mean nothing hotel like anyway . ' get wrong , many good Hilton Family Hotels , one like let other . work day London , take late flight JFK eventually get hotel well midnight . advise hotel make reservation , would arrive late . book King bed room hhonor profile , like high floor away lift / elevator . get room , discover , two double bed , low floor right elevator . late tired long day , go bed . intend sleep next morning Hhonors Gold member option complementary breakfast additional Hhonors point , take point . when check follow day , complain room , person behind counter ' really know handle . write complaint eventually get reply hotel ' satisfactory , something person due check - out room allocate decide stay unable give book ask . know room usually allocte early afternoon case point gold vip make effort even try apology check . , believe story , . take leave attitude hotel adopt last year business booming . I also complain stay post hhonor account , additional point take breakfast . also tell would send free night stay certificate compensate , stay May 22nd end 1st week July , ' arrive , reaffirm opinion hotel . other seem happy stay , maybe get room service expect 
 Jul 4 2009 	 well worth price 	 room nice clean nothing fancy . small refrig nice morning coffee . location close Times Square NYC destination visit . staff helpful even call sure visit go well first night . bed comfortable sleep great . downside restaurant , wait staff friendly food worth price especially many well restaurant close ( try junior great cheesecake . ) 
 Jul 3 2009 	 Great Location - nothing write home . 	 great location . super close time square away crowd . subway close . plenty nearby everything . great place stay town see Theater . apart peal wall paper smallish bathroom decor nice . spectacular offensive , often case Hotels price range . staff friendly . little interaction , true test solve problem , problem resolve . 
 Jul 2 2009 	 Great Hotel 	 Awesome hotel , usually hilton expect find Hilton NYC last minute reasonable price , surprised see HGI Saturday night stay include parking around $ 150.staff really friendly , check we early awesome . room queen bed , lovely Hilton pillow sheet , love . view room , brick building back alley , care , cause not come NYC stay room . 's block Time Square , location awesome , keep hotel mind location , price service . 
 Jul 2 2009 	 need stay ... 	 yes ! positive review TripAdvisor right target . great place stay ny visit . location can not beat -- couple block Times Square , 10 block south Central Park , easy walk pier catch boat tour , 5 block Rockefeller Center ... get idea ! staff extremely helpful , always ready answer question . place ' ve ever stay , upon checkout , asked & quot ; well ? & quot ; , even tell much enjoy stay . room clean comfortable , noise problem ( 9th floor face 8th Ave . ) . $ 150 / night rate much well anything else decent ... bottom line -- place stay want great ny visit ! ! ! back , sure ! 
 Jun 30 2009 	 Perfect location modern great service 	 4th trip NYC - always stay Hilton Garden Inn Times Square , mostly location . room decent size clean modern . service great . walk times square , rockefeller center , bryant park , central park , hell kitchen major subway stop 2 block away . reasonably price . 
 Jun 30 2009 	 Hilton Garden Inn Times Square steal ! ! 	 two adult 16 yr old stay HGI Times Sqaure 3 night June . hotel clean , staff helpful , room good size NYC good asset microwave fridge room ! ! location perfect see Broadway show wander around Times Square . fire station next door hear nothing night . free wifi room lobby . 's doubt wil stay . 
 Jun 28 2009 	 good hotel easy access metro 	 stay one week visit New York . Got upgrade exec great : - ) hotel nice , clean silent even many people stay . view window not nice , 's big city - hotel ... breakfast serve downstair separate restaurant . enormous serving lot pan fry potato - diet : - ) get good deal internet ... 
 Jun 26 2009 	 happy discover hotel - could well ! 	 decide stay hotel thank great review tripadvisor . location great -- yes , be close Times Square bit touristy , be 8th put block great restaurant 9th . also walk block jump subway take touristy area . 's quick walk Rockefeller Center/5th Ave , Central Park , etc . plan go theatre , super close show . example , one night go see Chicago literally around corner hotel . room clean . room nice size compare small hotel ' ve stay city . bed comfortable never bad night 's sleep . room great - you get fridge , nice tv , great desk area , etc . 6th floor face 8th St , street noise minimal . love street noise NYC , actually treat quiet room . staff super nice -- give warm greeting arrive . accommodate friendly . nice business center downstair able check flight . also complimentary wi - fi plus . overall , pleased hotel . definitely plan stay already recommend many friend . 
 Jun 24 2009 	 Super Nice Hotel 	 ditto everyone else say - nice property , great location , nice staff great quality price . 
 Jun 23 2009 	 Nice Hotel 	 everything great . staff helpful . view good . 
 Jun 23 2009 	 great place stay 	 reurne 7th visit New York City stay various hotel around Midtown/ Times Square area , say gem far good place stay . faccilitie , location , ammenitie , service staff high standard well deserve high rating traveller comment . definately use Hotel future strongly urge anyone visit New York seriously consider hotel duration stay : - ) pleasant experience . J K Scotland UK 
 Jun 22 2009 	 excellent 	 partner stay february anniversary , great . room huge compare hotel new york , modern . bed massive & amp ; comfortable , room everythng need - fridge ( handy ) , microwave , flatscreen tv plenty channel , internet access even game console fee . downstair handy shop basic , can not find sure find one million nearby grocery store . as location - could not perfect . 10 minute walk be central park , 10 minute opposite direction be madison square garden . 1 minute time square much long 5th avenue shop , & amp ; be right broadway be plan go see show 's brilliant . New york one good place ' ve ever , be completely different world london . want great hotel great location look , hilton garden inn comfortable clean room refuel next day endless walking.p.s . - service great - friendly helpful , always face try get tip thing not need . thank hilton ! 
 Jun 21 2009 	 Excellent Staff 	 completely agree positive review . hotel exactly everyone say .... location , amenity , spacious , clean , etc .... good ! would like comment staff . front desk , bellman , housekeeping , concierge wonderful ! helpful friendly positive attitude . would definitely stay . 
 Jun 21 2009 	 Brilliant location 	 first time New York think choose well . this hotel brilliantly situate -it 's block away Times Square theatre , shop restaurant . 's 10 minute walk away Central Park 15 minute opposite direction Madison Square Gardens Macey's . the room adequate comfy bed well equip WiFi , microwave , fridge , coffee maker , desk flat screen tv . huge plus breakfast include could take 11.30am . good choice breakfast serve adjoining french style restaurant open day evening . my criticism even though book non smoking room smoking room available arrive use move we non smoking room without much trouble next day . a well locate , good value hotel would definitely use . 
 Jun 19 2009 	 Fantastic Location ! 	 use Hilton Points stay can not comment value , aspect hotel fantastic . arrive early able accomodate we early check terrific ! room fantastic - two queen bed Times Square - Queen , double ! room surprisingly large Manhattan amenity - include small fridge microwave . wonderful keeping drink , yogurt , etc . help offset food cost heating leftover - Food portion U.S. HUGE ! location terrific - one block away 49th street Subway station could go almost anywhere - 10 minute walk Central Park , MOMA 30rock . Broadway theatre around we craziness Times Square around corner . 
 Jun 17 2009 	 love location 	 ask term hotel location . heart manhattan , reach anywhere foot - madam tussad 's museum , empire state building toysauraz showroom . previous nice experience stay hilton hotel another factor decide choose hilton again . almost everything pleased like food , service front desk housekeeping , fitness room etc . thing need improvement hotel pool miss much parking costly . notable point midst downtown , significant view room top , open window room , lot street noise start come room close it . the restaurant , Pigelle , excellent locate within hotle view pass parade Eighth avenue . 
 Jun 13 2009 	 great location 	 one ask well location manhattan , new york . entire excitement unfold yo step hotel.the bar , restaurant , shopping , sight see right there.room good , small though . 
 Jun 11 2009 	 good location comfortable room 	 within block Times Square Theater District Rockefeller Plaza . parking garage right next door ( warn though , may access car departure double check everything need ) .At night security guard ask everyone flash room key , make we feel little safe . room microwave , fridge , safe , desk , complimentary wifi . bed comfortable ( although dead tired walk around much ) . bathroom little cramp , still sink space . we eat breakfast nearby Pax Olympic Diner across way ( good , cheap , hot meal ) review mention fire station next door negative , hardly hear noise 10th floor . pay little extra high floor . 
 Jun 9 2009 	 great Stay ! 	 positive review right ! great hotel moderate price Theatre District . the room large NYC , great bed , micro fridge , plus QUIET . request room away elevator away fire station . almost noise day , virtually none night . staff great , extremely friendly helpful . concierge helpful give subway route well figure subway map . even little form give train take direction destination . also , great restaurant place hotel , block half - price ticket booth Broadway play Times Sq . great hotel great location ! p.s . smoking floor , request since wife smoker . hard find blessing smoker . even give ionizer want odor control . overall smoking floor little smoke odor totally acceptable smoker . 
 Jun 9 2009 	 one well keep secret NYC 	 Kudos Mr. Timothy Dowd , General Manager , staff , make stay enjoyable ! ! hotel one good value find NYC . location great ( half block Times Square ) , staff friendly helpful , room like new , spotless well appoint , spacious compare accomodation town . adjustable mattress extremely comfortable , mini fridge microwave plus , enjoy flat screen tv . great experience GREAT rate well decent hotel charge Big Apple . many restaurant right around corner case not want full dinner , large store right across street specialize & quot ; food - to - go & quot ; ( late night munchie ! ) . leisure trip , business guy gal , room well appoint nice desk GREAT ergonomic chair . certainly come back Hilton Garden Inn eager recommend hotel friend family . 
 Jun 6 2009 	 Fantastic Hotel Location 	 stay hotel 6 night May 14 - 20th . would say good place stay 6 - 7 trip city . mainly go ny theatre , dining shopping would not hesitate stay , even rate go little higher pay . I find staff really friendly . room , spacious NY standard . bed comfortable , extremely clean NY standard . like able get starbuck coffee ... free ! ! ! 10 am morning . also find quiet completely comfortable 6 day . good part location . think far well side broadway . restaurant fantastic . one attach hotel so - so ( although part chain , eat brunch Marseille great . ) great italian restaurant call 44s , 44th street . amazing lady own restaurant , authentic outside Italy . restaurant area good . great park like area one block . great spot go afternoon feel little tired sightseeing , eat etc . close obviously theatre . we not tend spend lot time hotel city like NY , time use Fridge / microwave . trendy food emporium great get OJ muffin w coffee . stock fridge drink . again would hesitate recommend hotel . even lot disposable income , think would still look stay even suppose 5 star hotel . 
 Jun 4 2009 	 Clean Good Location 	 good location minute everything could possibly want . service hotel second none . enjoy indian food go & quot ; Jewel India & quot ; . 
 Jun 4 2009 	 great midtown location 	 travel NYC least five time year hotel favorite . close enough theatre Times Square without plop smack middle chaos . room clean nice sized . Beds heaven ( say . ) Pigalle restaurant bar attach make convenient start end day . business traveller , love free wireless ! also love close great restaurant 9th Ave . worry stay ... book sleep well ! 
 Jun 3 2009 	 Great Location 	 right theater district . wale distance theater . request room back avoid noise 8th Ave . Hilton Honors Gold , get free breakfast voucher restaurant next door . good . staff helpful . 
 Jun 2 2009 	 amazing place stay ! 	 say enough little hotel heart Times Square . feel room affordable .. $ 150 night . be locate one block behind heart Times Square 8th & amp ; 48th . hotel spotless , room huge nice - NY standard . ... stay many hotel NYC first hotel ' sound proof ' room . could not hear street noise even fire department next door . top ... have mention pass town bday front desk receptionist ( Abigail ) send free breakfast voucher room . sweet ! ... flight cancel LaGuardia already check airport find . call hotel & amp ; tell come back - even offer another free breakfast problem ! staff top notch hotel gorgeous . would recommend hotel anyone ! ! 
 May 31 2009 	 highly recommend Midtown hotel 	 hotel prides customer service . everyone friendly efficient & quot ; & quot ; approach . the location great away central Times Square madness close good restaurant , theatre subway . the room comfortable free internet double glaze quiet . king bed great . also microwave fridge ( minibar ) stock thing . bathroom huge modern clean . the hotel attach restaurant next door ( Pigalle ) seem popular guest non guest diner style menu . having stayed suppose 5 * hotel area can not beat 3 * + one value comfort . 
 may 30 2009 	 great stay great location . 	 hotel great location , short walk Times Square , Port Authority also subway . coffee make facility , microwave , iron board wi - fi room . two queen bed room share friend . bed extremely comfy - fall asleep soon head hit pillow ! overall condition room good . shower powerful bathroom clean hairdryer . room 3rd floor hear subway occasionally not wake affect anything . friend arrive hotel 12:30am check immediately . taxi Newark hotel ( via Dial 7 would definitely recommend - great car , reliable quick service / friendly driver ) cost $ 46 book advance plus $ 11 toll tip top . couple day essentially shopping trip find really easy get around everywhere . end get bus Newark airport Port Authority 5 minute walk hotel ( luggage ! ) cost $ 15 taking hour leave 5:30pm . would recommend hotel want somewhere comfy clean sleep convenient location . 
 May 29 2009 	 Best Times Square area hotel NYC 	 ask high floor near elevator , get terrific King - bed room top floor face 8th Ave , noise problem . bell staff front desk staff really nice ! room ready 11 am - take right . ask front desk cookie would available lobby . say would deliver room , sure enough day sightseeing , come back room find 3 cookie wrap napkin ! get great room rate AAA discount . every staff person run say hello , ask need anything , etc . got extra coffee pack 2 occasion clean staff - nice ! security lobby check make sure key get elevator - nice know . room nice large fridge , microwave coffeemaker . could buy thing local deli , bring back . would definitely come - cookie every afternoon great treat well ! 
 May 27 2009 	 overall great value location 	 spend much time room , average . modern . bed comfortable , nice 42 ' flat screen tv , fridge . hotel 1 - 2 block heart times square . bellman helpful ( except 1 ) direction , transportation option course make everyone feel welcome . def staying . 
 May 24 2009 	 excellent location nice room 	 stay Hilton Garden Inn Times Square 3 night 10th floor view 8th AVE . nice clean room bathroom , noise problem , free wii - fi , flat - screen tv numerous channel , good bed great pillow . staff friendly helpful time . request early check online , room ready get there . the location great , within walking distance Times Square , Restaurant row ( 46th str ) , theater . metro station across street , map price station , prepare venture . hotel restaurant Pigalle attach , food ok , pricey table close . across street nice tratorria $ 28.95 fix price menu diner good breakfast . also , grayline tour office across street , different tour doubledecker bus . go Empire State BLDG , pay extra money EXPRESS PASS , allow go front every line , 45 minute , even though long line ! highly recommend hotel nice stay BIG APPLE . 
 May 23 2009 	 Pleasant Surprise 	 hotel pleasant surprise , expect central New York hotel certainly somewhere would seriously consider stay again . staff excellent , welcome always willing assist . go Washington DC day return New York , hotel kindly hold onto luggage . room large , comfortable clean although feel bathroom bite small . free wi - fi room plus free business centre huge plus ( can not Hilton provide worldwide ? ) . noticeable noise issue ( 14th floor first day 15th floor return trip ) , although fire engine station next door ruin couple night sleep . only issue restaurant open non - residents breakfast , often difficult get table want one . table also close together feel impose neighbour time . restaurant staff attentive though . 
 May 21 2009 	 could find well location ? way ! 	 step subway line , hotel build people want go see city . Times Square proper , location offer perk none annoyance . ask high level floor , will sleep one quiet room Manhattan . even next fire station , would never know . front end staff bit harry time , bellman first rate . would stay heartbeat . 
 May 21 2009 	 great value 	 hotel great value location . clean room bath . comfortable bed . courteous staff , expecially bell staff . nice lobby . Convenient Times Square , theater district , uptown downtown subway . parking garage next door reasonable Manhattan . drawback - snooty hostess Pigalle restaurant breakfast - not eat attitude . 
 May 21 2009 	 bad thought ..... 	 decide take NYC spurt moment trip . idea stay good , never NYC . stay Hilton Garden INN Times Square actually really good . one cheap hotel , think go dump , small rude service . however , hotel really clean , bed comfortable staff REALLY friendly ! hotel right middle action ... exactly two minute walk times square . if never nyc need place .. ! really good worth every penny pay . I definately stay ! 
 May 18 2009 	 Excellent ! 	 hotel one good ' ve ever stay . staff friendly helpful know answer question . security guy lobby cool ! room clean , spacious comfortable - bed nice ! restaurant food great - breakfast include good . location perfect - Times Square right around corner . would definatly recommend hotel absolutley anyone ! definatly go back next time . 
 May 16 2009 	 great value location . 	 Booked hotel read Tripadvisor review live expectation . staff friendly helpful time . luxury hotel yet room clean , bed comfortable location could hardly better nightlife New York City . thoroughly recommend . 
 May 10 2009 	 Excellent ! ! ! ! ! 	 stay hotel 2004 . Returned May 6 , 2009.we treat well employee . room clean , neat , well decorate . security good . 
 May 8 2009 	 Beware Fire Station 	 hotel good location 2 block heart Times Square . rate pay good - $ 190.00 . walk 8th Avenue try imagine hotel could locate , suddenly see Hilton sign . continue walk , pass fire station quickly remember horrible experience location - Hilton . see , use Holiday Inn . unusual hear siren night NYC . however , stay next Fire Station , assure definately hear every siren blaze past hotel . service hotel exceptional . try hard make stay nothing short wonderful . say , able get room 15th - top - floor . room face 8th avenue would well face back hotel . room itslef clean , comfortable , flat screen tv excellent furniture excellent condition . adjoining restaurant nothing . thank goodness starbuck short walk 8th plenty restaurant choice immediate area . stay get good rate book room top floor face rear hotel away fire station . 
 May 8 2009 	 Weekend getaway NYC 	 little concerned might find check , due low rate ( 138 + Sunday Night . ) , well . request early check line , room ready get Noon . room large , clean , newly furnish . location great . not know bar restaurant , could throw stone hit 50 front door . 
 May 3 2009 	 Great Location 	 spend three night hotel long weekend . excellent location explore Manhattan . 's locate right corner Theatre District , Times Square , Hell 's Kitchen . 's close several subway stop make easy get around . king room overlook street . room extremely clean bed comfortable . bathroom clean look like renovate recently . stay 8th floor . pretty quiet night except fire engine call . 's firehouse right next door . not bother we bit . checkin / out breeze . room also free wi - fi . I would highly recommend hotel location . 
 Apr 28 2009 	 great location stay upper floor 	 put smoking room . sure specify non - smoking call reserve room , definitely not ask , would tell non - smoking . they change room we , end second floor , hear subway go every minute . be terribly loud , low rumble , really notice it . there fire station one block , sometimes get noise late night well . other great stay -- clean , reasonably nice staff , fantastic location -- across street good grocery store / deli , one block subway , close Times Square . great home base explore city . but try get room upper floor . 
 Apr 27 2009 	 great place stay 	 love hotel . stay wife 9 night first trip NY , great . the room really big , big screen LCD TV , refrigator , microwave , desk . free wifi wire internet access . we stay 5th floor , not problem noise , course 's regular city noise . location great , couple block away Times Square , pretty close Central Park . lot public transportation option around . I get NY Super Sale rate , great value price . 
 Apr 26 2009 	 nice staff perfect location nice room 	 wife spend 6 day hotel . select hotel base many positive review dissapointe . hotel perfectly locate within walking distance Broadway theatre , Lincoln Center , Central Park many attraction . room nice good bed , flat screen hdtv , coffee machine fridge microwave oven . room 14th floor view way Hudson river . free Internet access pc 's available lobby bring laptop . staff extremely nice . time return hotel greet witl warm ' welcome back ' doorman . long time ago stay hotel give much value money . 
 Apr 26 2009 	 noisy room ' ve ever experience ! 	 stay 2 night son college visit . overall hotel great : location , room , service . drive city parking right next door $ 30 / day . problem noise ! use Hilton point maybe get bad room location , never stay noisy room . 2nd floor front siren go 8th avenue go night . also , could actually hear subway 8th - ' ve never hotel case . finally , wall room seem like cardboard . adjacent room turn shower use water sound light freight train . could hear every word say hall , loud group student stay hall . would stay guarantee high floor , maybe back . lose view , much time spend room ? 
 Apr 25 2009 	 Lovely Hotel 	 stay three night business . hotel excellent , staff friendly price litle bit higher worth . plenty food place around time square block away . would love go back ! ! ! ! 
 Apr 23 2009 	 Perfect ! ! Loved ! ! 	 hi stay end november start december 2008 . first time think perfect location . sure could find something cheap first time want something bit special . size room perfect couple , nice huge comfy bed , bathroom nice clean unlike hotel clean staff not bother even disturb sign door ! ! noise level minimum admit - probably first time - actually get stare like excited kid hear fire engine ! noise hear . weather kind we mild , pleasant lot sightseeing . location perfect near lot sight . good free starbuck coffee / tea lobby although well get pretty early get . great Deli street ( toward central park ) hotel , fantastic pizza slice garlic doughball ! ! fab pastry ! ! find way really easy prob . would definitely recommend stay ! ! fave place , empire state , walk round central park watch ice skating , 5th avenue , ferry statue liberty , shopping ! ! , listen new york people chat , people watch ! ! 
 Apr 20 2009 	 PERFECT PLACE TIME 	 usually visit New York stay away Time Square due high price time bring two teenage girl first trip New York do not choice . location perfect , one block time square , broadway show many attraction . room typical New York fashion ... ( small ) staff helpful polite almost want avoid four day . way do not make mistake let kid talk eat time square , big mistake service bad bill could pay light gas bill take subway use tour ( hop ) visit place . 
 Apr 15 2009 	 cultural visit heart Theater District 	 location hotel perfect near times square . metro next block reach every point interest Manhattan easy . the room large , cosy . entire hotel clean friendly . one week haad satisfied throughout . hotel restaurant serve huge good breakfast ( buffet - good choice ) .definitely worth pricing . 
 Apr 14 2009 	 great hotel location we ! 	 Garden Inn Times Square fantastic hotel , service wonderful bell boy 's , doorman , reception staff cleaner always time stop pass time day – everyone make feel welcome . we stay 5th floor ( smoking floor – yes still smoke floor , confirm husband read post say non - smoking hotel ) . hotel ' location room fairly quiet , window manage shut majority street noise , couple day thing really notice fire engine go past every rarely hear noise neighbouring room ( although corner room , one immediate neighbour ) , room clean immaculately daily cleaner ' even try get room disturb sign – unlike hotel ' stay room far large ' ve ever stay NYC.For us downside location , aware time booking , 1st 2nd visit NYC location probably would fine , eight time tourist trapping high price ( extortionate place ) Times Square we . look recommend hotel highly enough , know way around ' sightseeing etc may find another hotel prefer location may suitable . hindsight keep search another hotel downtown , defiantly nothing hotel – great hotel , wrong location we . 
 Apr 13 2009 	 BRILLIANT 	 hotel everything want , short walk ; subway , tour bus , Times Square ......... everything close . staff delightful . highly recommend . 
 Apr 13 2009 	 Excellent location 	 want see sight NYC without need travel much . Hilton Garden perfect , great location could walk place jump nearby subway station . room excellent price quite reasonable ( pay upfront , save fair bit per night , work $ 199US per night ) , think well worth . also free internet room always good . 
 Apr 10 2009 	 great location value service ! ! 	 base review site book room week ( 6 night ) . basically NY week look hotel : - Location - Decent bathroom - InternetThe Hilton Garden inn excellent service boot . concierge extremely helpful ticket ( good seat Rangers game ) tip . location wise one block Times Square ( thank god ) 2 subway station within 2 block . view straight back another building , 10th floor away 8th av . probably good option noise level low ( NY standard ) .The room flat screen tv , fridge , free wireless internet , roomservice , good bed , A / C , office desk safe . overall room fine – slight sign usage hotel ' . bathroom good , clean decent shower – gold faucet standard good cramp . in comparison hotel price reasonable would definitely stay . 
 Mar 30 2009 	 Great Location 	 great loation good price . stay 4 night January08 . good location find look near Times Square . Turn leave hotel leave Times Square . staff helpful room great . would highly recommend . 
