pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Dec 17 2008 	 Lucerne Hotel BEST ! ! ! 	 friend suggest Lucerne glad decide stay especially since first time NY . location neighborhood perfect , staff Lucerne go beyond great service ! ! find 50th surprised bottle champagne . husband could not ask anything . reservation city big hotel , perfect everyway ! stay ! ! 
 Nov 18 2008 	 great place ! 	 stay Lucerne September 4 night . quiet hotel , excellent location , bussle noise city , right next door subway station , short walk anything could possibly need . recommend hotel enough , staff helpful interfere unless need . room decent size , bad NYC , nice decor , free wireless , flat screen tv . Stayed Queen room find big enough two people . clean , maid good job every day . free news paper every morning . great place , nice location , clean , friendly , definite recommendation ! go , recommend friend family . 
 Nov 9 2008 	 reasonable choice upper West Side 	 Lucerne make attempt make statement particular ambience -- be simply reasonably dependable hotel comfortable small room , 10 block north Lincoln Center . bed , room furnishing bathroom high quality , room back side free street noise ( though wall thin old structure , neighbor something quiet room ) . maintenance leave something desire ( tv remote nonfunctional ) , somewhat disengage manner front desk . perhaps least attractive aspect Lucerne date , small lobby , afford real place sit talk people might want meet hotel . next door & quot ; Nice / Matin & quot ; , bright french bistro -- will get coffee morning , along nearby West Siders . 
 Oct 23 2008 	 Comfortable Stay Great Neighborhood 	 return one - week stay Lucerne . husband , adult child stay King Suite , provide sufficient comfortable space . sit room queen size sofa fold comfortable bed ; bedroom comfy king size bed . kitchenette microwave mini - fridge counter single serve coffee pot - enough city many dining option . we request renovated room , nicely decorate spotless . ( believe work low floor renovate room . ) front desk staff friendly welcoming , checkout quick . concierge service excellent . plush bathrobe room require . water pressure excellent , spotless bathroom , Temple toiletry provide , good strong hair dryer . choice New York Times USA Today morning . pleasant comfortable spot come home long day sightseeing . enjoy upper west side neighborhood , numerous restaurant & quot ; neighborhoody & quot ; feel , folk push stroller walk dog , lot little shop restaurant . subway one block away easy access part city . easy walk across Central Park morning east side museum shopping ; Central Park block hotel . great runner . minor quibble : never leave sufficient coffee pod make three cup coffee ( single serve coffemaker ) . srange since number occupant obvious , request extra pod two different day ( front desk , via call housekeeping ) . minor problem , pay full rack rate entire week somewhat annoying . we would definitely stay . much nicer lodge congested area city , lovely hotel boot . 
 Oct 15 2008 	 Loved Lucerne -- ! 	 lucerne third visit September , , overnight way back Europe , two week later . always , welcome place come back -- comfortable , quiet , convenient restaurant , ATM , subway , Duane - Reade ; everything visitor need travel . love suite long stay , recommend queen room , . concierge always helpful -- even call we home trip ask anything could do . as far street noise ( another reviewer ) , ' ve problem , always stay sixth floor request . 
 Oct 14 2008 	 Mixed Blessings 	 Weekend stay non - smoking King Suite . size two room full bath mini - kitchen wonderful . flat panel tv bedroom living room ( remote work living room ) . despite 9th floor street noise unacceptable due one three window ability screen filter noise ( two window well ) . hotel hall way room mild , persistent ODD ODORS ! staff subdue competent friendly way dispose & quot ; go extra mile & quot ; experience hotels resort . associate restaurant food o.k . render one us ill manner raise suspicion food poisoning . food average flavor . overall : worth money . would much rather spend money know product even add couple buck cab ride take . 
 Oct 7 2008 	 wonderful Hotel Upper West Side 	 husband , plus 94 - year old father - in - law recently enjoy great stay Lucerne . location perfect anyone want close Central Park , great restaurant deli 's , eclectic shopping . 's easy cab ride Theatre District close subway stop block away . hotel lovely heritage building . room small side , comfortable nicely furnish . father - in - law stay room equip people disability - meet expectation except lack grab bar accessible shower . husband upgrade suite ( extra charge ) include little kitchenette area , sit area bedroom . nice additional touch include choice newspaper morning spa - quality toiletry . staff friendly knowledgable . restaurant attach hotel ( Nice Matin ) good - breakfast attest wide selection well - prepare breakfast fare . drive Manhattan rental car drop conveniently locate Avis , around corner hotel . pick another rental Avis leave Manhattan upstate New York . 
 Sep 12 2008 	 truly wonderwful 	 husband stay Lucerne 4 night August . the hotel relatively small atmosphere nice . we get around noon come cross - atlantic flight immigration custom quick easy cab driver find quick route . the room ready , store luggage allow we come back 2 instead 4 check in . the room 4th floor 2 double bed excellent we . decor room really , really nice feel home right away . the closet big enough suitcase safe include . the bathroom window well working vent not matter . vent turn light , could also turn light without vent , could also silence . the big flat screen tv work fine . the room really large 3 chest drawer ( 9 spacious drawer total ) plus desk desk chair . AC work really well , not noisy . there minibar/ fridge room , sign say ice vend 5th 11th floor - never use those . from 9 hotel stay trip far nice . eat really easy , . unless like french cuisine taste price , avoid Nice Matin . want eat , look menu side door enter restaurant hotel put we off . we eat bagel Ottomanelli brother across street - good bagel trip ! go Times Square ( Evergreen 's Times Square excellent ) . go Mc Donalds bad choice . last day go Broadway two block nice restaurant forgot name of . for dinner recommend restaurant must corner W 82nd Broadway forgot name also . partly glass sidewalk , can not miss . good american ( jewish ) food waiter extremely nice . night eat town , nothing remarkable time ( Ruby Tuesdays Times Square Dean 's Second Ave near e 42nd great later stay ) .but find plenty restaurant taste bar area , nice walk back hotel night . across street small duane reade pharmacy , provide snack , drink thing might left home . next metro station street block . take 1 minute morning 3 night walk exhausted day 's fun adventure . the area feel safe , never encounter slight problem . the doorman always door , security check thing . the housekeeping good job nice stay along , include concierge get we Airport shuttle last minute receptionist accept international mail front desk mail we . this definite & quot ; back & quot ; hotel ! 
 Sep 9 2008 	 Great Hotel Fabulous Location 	 spend great long weekend lovely hotel . room tiny ( typical NYC ) recently renovate . ton small restaurant shop surround area Central Park block away . sure shop price - move reservation back one week price per night almost double . still , worth money . try & quot ; Good Enough Eat & quot ; - block away breakfast lunch . 
 Sep 3 2008 	 fantastic hotel ! 	 return 3 night stay Lucerne absolutely perfect . staff friendly helpful , hotel beautiful , location excellent . subway stop one block away , many destination , restaurant , shop Central Park within easy walk distance . hotel locate safe , family - friendly neighborhood . share one room double daughter , room really nice , clean , quiet comfortable . thrilled decision stay definitely return ! 
 Aug 31 2008 	 great location 	 spend 4 night Lucerne , first ever stay new York . suite , give we small sitting room , great , well worth extra expense ( 2 parent , 2 teenage daughter ) . really clean comfortable , good thing location , 3 block Central Park tour bus pick - up outside Natural History Museum . also near subway station , stop Times Square . breakfast ( 15 % attach restaurant ) lovely , offer good variety , range fruit New York Heartattack ! need taxi , doormen great find one , reasonable . wide front , love New York , amazed clean everywhere , friendly everyone . oh , recommend Chicago Uno Grill , near Museum , meal . 
 Aug 30 2008 	 wonderful experience - ! 	 family 4 2 child age 5 8 stay Lucerne August 2 night . usually go NYC every 1 - 2 year vacation always stay hotel . 4th visit . room recently renovate . service excellent . location great itinerary since walk everything - American Museum Natural History , Central Park Central Park Zoo , Metropolitan Museum Art , Children 's Musuem Manhattan , Times Square . go H H Bagels , Zabar 's , Patsy 's , Celeste within 5 10 minute walk . almost not book hotel due cost able get reasonable rate since August . spoil husband not want stay anywhere else ! PS kid Wild West theme playground kid 2 - 3 block south Amsterdam . 
 Aug 25 2008 	 Recommend hotel - great location good room 	 two we stay week enjoy hotel immensely . spend fair amount time read review learn NYC select Lucerne : ( 1 ) suite kitchenette ( could spend day without go hunt restaurant every evening ) , ( 2 ) location - residential touristy , near subway , bus , Central Park , museum mile , Zabar 's deli . bonus discover Upper West Side become fashionable lately lot lively restaurant / bar Amsterdam , right round corner . a / c fine bonus able open room window . little traffic noise 12th floor . toilet block twice clear promptly . Zabar 's deli 80th Broadway delight . buy good quality food ( self - preparation well make dish ) - enough stay . be also plenty nearby place meal type . go mainly art gallery - Met Museum good value - spend two day ; moma also good Guggenheim over - rate content . we find staff pleasant , efficient courteous without overbear . altogether excellent place stay NYC ! 
 Aug 11 2008 	 great stay ! 	 stay Lucerne three day . experience service good warmly recommend hotel family visit New York . 
 Aug 8 2008 	 Excellent Hotel Upper West Side 	 great hotel Upper West Side , excellent value money . be within easy reach main attraction 's metro stop block away , Central Park Museum Natural History couple block away . hotel clean beautifully furnish , stay small / cheap grade room ( queen ) still reasonable size city . could not fault anything hotel , would highly recommend stay trip NYC ! 
 Aug 8 2008 	 Lucerne must stay 	 come back 5 day stay NYC must say positive review Lucerne absolutely correct ! front desk staff polite efficient job . answer question travel around city quickly great recommendation diner restaurant nearby . know Manhattan hotel room smallish side happily surprised size queen superior room . whole room tidy bathroom super clean . room even umbrella borrow ( not lose will pay $ 25 ) . minor negative thing room noise air conditioner bright light clock night stand ( cover magazine ) .The location also fantastic be away hustle bustle Times Square , close subway ( 1 block west 79th station red line ) , Central Park numerous affordable name brand shop , grocery store ( Fairways , Zabars ) restaurant ( Ruby Foo 's , Beard Papa , Manhattan Diner ) . well feel quite safe walk back hotel late night . will definitely stay Lucerne every time go NYC ! 
 Aug 6 2008 	 enjoy alot feel european 	 stay hotel 29th july till 1st Auguste enjoy alot lot fun room nice clean could int bin well . service nice bed also nice . room good air conditioning area around we nice alot pretty ladys international people witch cool . like . 
 Aug 5 2008 	 solid choice 	 Lucerne fairly small 13 - story Manhattan hotel upper west side . though prepared store luggage , front desk greet family warmly get we room shortly lunchtime arrival . note request high room view front give we ask . small suite two queen bed sit room sofa bed , micro - wave , refrig , toaster etc . decor trendy clean well maintain , good mattress , linen , robe etc . staff really highlight - front desk totally service - orient , good security , excellent concierge . price hard swallow $ 410 kitchenette , bring food many market deli area avoid continual restaurant meal fun save little money . upper west side location favorite , feel like neighborhood . subway stop next corner , walk Central Park museum easy . might quiz front desk renovation program understand work way building . third floor summer . prefer high room ease noise problem , though room renovate , complaint . hotel totally meet need family , , afford , Lucerne remain choice Manhattan lodge . 
 Aug 3 2008 	 Loved Lucerne ! 	 come back 5 night stay Lucerne . absolutely love hotel . know make right choice Liz , concierge , call week prior see need anything . arrange car service airport . everyone , doorman front desk , friendly helpful . enjoy room . 9th floor look Amsterdam 79th Street . bed comfy shower fantastic ! 2 adult 2 child ( age 9 12 ) plenty room . convenient Central Park , AMNH subway line . like hustle bustle Times Square area . definitely stay ! 
 Aug 2 2008 	 great fit 	 family ( 2 adult 2 young kid ) spend night attend sporting event NYC . perfect we . room two double bed . room nice , clean quiet . consider price ... lucerne great ! 
 Jul 25 2008 	 great service Lucerne 	 recently spend three night Lucerne . outset , staff consistently efficient , helpful extremely pleasant . friendly non - obsequious way . the room smallish , yet clean extremely quiet hotel size city noisy New York . if look upper west side , lucerne good choice . 
 Jul 22 2008 	 big hotel small hotel charm 	 extensive research booking Lucerne , not think could make well choice . location great -- quick walk Central Park , less block subway line , close proximity two bagel stores Zabar 's , ambience european hotel amenity chain . although family four spend much time room , find spacious , quiet , clean , comfortable -- third floor . wander NYC day , return evening try different restaurant within walk distance hotel ( include attach restaurant , Nice Matin , seem pretty expensive ) . front desk staffer invariably pleasant helpful . hotel truly gem , $ 220 night ( plus state room tax , city room tax , occupancy tax , hotel unit fee ... sigh ) outstanding bargain . 
 Jul 21 2008 	 good location small room 	 stay hotel NYC Triathlon . love proximity race start , great italian restaurant across street call Coppola 's . room clean appear newly renovate . however , husband bit disappointed size room . pay nearly $ 300 & quot ; superior queen & quot ; room , promise bed size full , queen ! also bite disappointed customer service . in - room safe malfunction , take 2 phone call front desk agree send anyone . finally , manage open wait 20 minute help arrive . check , ask print direction I-95 , seem like normal request . take front desk staff 10 minute locate direction ! upon arrival hotel , notice available street parking spot grab . great avoid hefty valet parking fee , problem car weekend . 
 May 27 2008 	 Nice Hotel -- detail 	 wife stay recently King bed suite . pretty . furniture beautiful suite nicely lay bedroom separate living room bathroom small side closet area also dorm sized fridge plus sink coffee maker microwave . Upper West Side location nice especially since daughter live . staff professional friendly doorman great provide great element security building . there nice touch like umbrella bathrobe closet . coffee maker make one cup coffee time standard allotment one filter make one cup decaf one filter make one cup regualr think odd since 's type room would usually 2 guest stay . also bed 3 pillow . seem go give people bathrobe umbrella 4 5 pillow 2 filter regular cofee would not bust hotel budget . 's easy ask would nicer there . the big disappointment movie channel living room not work . inform front desk never fix time . may Memorial day weekend repair technician available . plan daughter come pick movie movie channel watch living room snack wine instead go movie Loews neighborhood . know movie channel not go work probably would not get suite . overall nice place much attention detail expect review . next time visit daughter probably try another hotel like excelsior Upper West Side comparison . 
 May 16 2008 	 love 	 return 2 night stay Lucerne . go reasonable expectation ( i.e . easy spend bundle stay slum come NY ) , disappointed . room relatively spacious , clean , comfortable . staff attentive courteous . Mother 's Day , pleasantly surprised reception downstairs ( champagne strawberrrie , oh yes ! ) location nice -- short walk Central Park , close enough subway stop convenient . would definitely stay . 
 May 1 2008 	 Loved Lucerne 	 friend spend 2 night Lucerne , girlfriend 's get - away celebrate upcoming 60th birthday . room lovely , comfortable , extra pillow quiet ( 9th fl . , not hear noise ) . staff nice , helpful , polite . location great , block Central Park , pharmacy across street , etc . , nice neighborhood feel . would definitely stay . 
 Apr 19 2008 	 perfect would stay 	 stay 3 night Q / Q suite 3rd floor . room quiet - faced back , view brick wall . bed sheet comfortable . shower great , hot water thick terry robe . room good sized NY hotel standard . suite microwave , small fridge coffee maker - clean appropriate amenity . the location excellent . lot shop restaurant within walking distance , include Filene 's Basement block H & amp ; h bagel one block away . staff friendly helpful front desk print boarding pass . negative point - turn - down service never arrive day 2 ; section ( free ) NY Times missing day 3 ; sit room could use large table eat work ; beware airport van service concierge recommend ( curse driver decrepit van , friend 's van almost t - bone driver run red light ) . whole , though , would recommend hotel , definitely would stay . 
 Apr 3 2008 	 great time NY Lucerne wonderful 	 3 room ( 5 people ) 3 night stay March . area fabulous -- much quiet around Times Square . although not ask much staff , room clean perfectly acceptable . would much rather stay Boutique hotel chain ! breakfast adjoin Nice Matin good expensive . could do well money - wise coffee shop never bother find one . doorman always extremely friendly front desk efficient . can not speak bed bug issue not problem . rather large roach floor one day 's old hotel big city ! kill leave body maid -- handle . we definitely find new home New York City stay . 
 Mar 16 2008 	 Great Get - Away Lucerne 	 husband return three night Lucerne . fist time stay Lucerne , thoroughly enjoy . find fade elegance Lucerne charming . although room ( queen , superior ) bit small , bed comfortable amenity good working order ( include in - room wi - fi access ) . staff wonderful - friendly , accomodating , helpful . enjoy afternoon & quot ; customer appreciation & quot ; wine cheese lobby , enjoy breakfast , cocktail dinner Nice Matin . overall , impressed Lucerne visit . great location pleasant environment . 
 Feb 8 2008 	 nice appropriate 	 stay two year ago family two child suite . ok - room reasonably sized clean carpet wear , furnishing bit outdated , tv old poor reception . need upper west side many option . stay location pleasantly surprised . room renovate , new carpet , nice lighting dimmer , flatscreen tv , nice furnishing , competitive business travel hotel . would 100 % recomend hotel . 
 Jan 4 2008 	 would recommend ! 	 's great hotel would definitely recommend ! hear many horror story over - price pokey NY hotel , please Lucerne ! 's clean , spacious quiet , great location . Upper West Side fab ! bed amazingly comfortable little extra make great 4 star hotel . not bother breakfast hotel though , lot cafe diner along Amsterdam Av serve great food day , 
 Dec 31 2007 	 Warning 	 warning - make reservation Lucerne Hotel NY make sure not make reservation front desk . make sure make 800 number regular business hour . make sure get e - mail confirmation confirmation number . say ' give information , probably reach front desk . front desk ' capability send e - mail , accord Demaris reservation office . MORE IMPORTANTLY cancel , make sure call talk someone reservation normal business hour – front desk ! make sure get write confirmation back cancellation number ! safe , would also suggest even get confirmation number write confirmation contact General Manager Douglas Brookman get write confirmation . 
 Dec 27 2007 	 Fabulous Hotel ! 	 Lucerene fill pleasant helpful staff , clean quite roomy New York Hotel . splurge ( although , & quot ; splurge & quot ; $ 200.00 less chain hotel holiday NY ) king bedroom , well worth . walk hallway , decent size bathroom ton walk room around bed desk dresser . be nee lovely hotel upper west side , perfect place stay ! 
 Dec 26 2007 	 another great stay ! 	 place get well well . excellent , friendly professional staff . Refurbed room bright nicer two year ago . location block # 1 subway right Amsterdam ton restaurant . two block Central Park . ' ve already book stay next December . 
 Dec 9 2007 	 Spectacular stay 	 absolutely love hotel ! go celebrate husband 's fortieth birthday , instantly upgrade . room beautifully decorate spacious New York standard . staff hospitable courteous . subway situate quite close . italian restaurant across street ( Coppola 's ) excellent ! restaurant downstairs ( Nice Matin ) good- pricey quality service quite slow . eat good breakfast Sarabeth 's around corner . would definitely stay Hotel Lucerne . 
 Nov 27 2007 	 LUCERNE HOTEL ( near American Museum Natural History ) 	 four friend - stay January 2007 three night ; 2 queen bed ; kitchenette ; living room area ; great ; would definitely recommend hotel ; run winter special time , good ; plus include free breakfast Nice Matin downstairs , excellent ; blow fuse hairdryer situation ; fix immediately ; mean immediately ; 
 Nov 27 2007 	 great upper west side hotel 	 stay Lucerne two night King Suite . say enough staff , hotel , french cafe next door . find ! inexpensive bad time year . learn number configuration deluxe king double suite . like massive room desk bed plus bathroom , King Suite would fit bill . room 601 . however would prefer sit area separate bedroom ask look couple two double bed great lounging tv room . all great upper west side hotel . 
 Nov 26 2007 	 great hotel staff 	 stay Lucerne 4 night 17 - 21 November . room good clean . door staff reception staff could enough help . near tube plenty restaurant . let we keep room last day time leave . recomend hotel stay big apple . 
 Nov 20 2007 	 great location wonderful doorman ! 	 friend stay Nov 2 - 5 wonderful stay . book deluxe suite Expedia pleased selection . location can not beat , walk everywhere upper west side spot , whenever question get somewhere , doormen ready help . ( rest staff helpful . ) suite book small parlor adjoining Q / Q bedded room , nice little elbow room . right across elevator not bother ; roommate light sleeper sleep soundly earplug . ( Thee noise come street outside , typical city noise , honking , garbage truck , etc . window close sound not problem ! ) comfortable bed charming decor . would definitely return . 
 Oct 17 2007 	 excellent hotel : service location room 	 family ( 2 adults,3 child ) return 3 fabulous night . ( October 11 - 14 2007 ) .I caution anyone read negative review benefit doubt ' administrative ' issue arise , 2 side every story . totally different experience ( double book accident one room , use line system cancellation ) .This 1st time hotel . ' ve stay Plaza dozen time ( close remodeling , several x - plaza staff work Lucerne ) business 2 year ago wife stay Carlyle anniversary . I good feeling day 1 concierge ( Liz Ari ) prompt efficient recommendation . tip right : Arrive Ellis Island early skip Statue Liberty ( 's open base require reservation least 1 week advance ) go directly Ellis Island tour , red double decker on / off bus tour , restaurant block away . they arrange car service airport prompt go come . this hotel excel service -- arrive rain short wait room ready ( sell ) doorman pour rain middle street hail taxi 's wait guest . time step elevator , employee 's asking could help we . there dozen wonderful neighborhood restaurant type food price range block away . Nice Matin restaurant attach hotel excellent well . Ocean Grill excellent ( pricy ) Sushi Haru . 3 - 4 bagel shop across street 1 block away . starbuck 2 block . the # 1 Subway line 1 block away . Central Park 2 block . room ( 2 double bed ) ample sized , bathroom . clean . appear hotel recently completely remodel everything ( furniture , fixture , ac.heat unit , etc .. ) new . water pressure really great plenty hot water . get NY Times door morning . our room price 340.00 per night . suggest get roomsX01 , x03 , X19 - 24 face main street dead quiet . 2 room one main street 3rd floor . soundproof windows excellent even low floor right street , adverse street noise . child tell firetruck blaring 3 wife hear nothing fromour room hall . negative hotel : lobby small ( elegant NY style ) busy . maid late room one day go 15 min . walk room ready . get to little flexibility NYC folk ! ! please contact addl . questions./ap 
 Oct 17 2007 	 luxu wonderful ! ! 	 Wir Hatten Unserem Urlaub Die USA .... stay long weekend Lucerne Hotel 201 West 79th Str . Room ( Zimmer ) absolut perferkt two we . room ( zimmer ) clean ( sauber ) absolut complaint . service also good . door man ( Hausmeister ) greet we time come go ... go -- always polite asking would need taxi . concierge absolut helpful friendly , also draw little map ( Landkarte ) , may find place , shop , restaurant , ease . great location -- close Metro ( subway ) travel up - town / mid - town / down - town , food attach restaurant .... name -- nice -- -was delicious ( koestlich ) ... SUPER service server ( Kellner / in ) . room ( Zimmer ) flat screen Television , cd - Radio player , comfortable ( gemuetlich ) bed / mattress , safe closet umbrella ( regenschirm ) traveler forget . Bathroom ( Badezimmer ) small , marble ( Marmor ) , fresh towels/ bath supply every day . would like rate Hotel Top give 5 point . 
 Oct 15 2007 	 terrific neighborhood staff 	 second time Lucerne , tho 's least five year since first visit . happy note terrific service remember still way hotel . love upper west side hotel 's location great . room ample NYC standard . visit , stay 11th floor room two double bed suite 9th floor . rate incredibly expensive modest level luxury , 's way city . room clean comfortable . furnishing nothing special job . hotel safe quiet neighborhood . shocked order coffee two via room service charge $ 5.50 . surprise rip . staff wonderful -- front desk bellman . able get help bag change room mid stay check . Hotel also give we late check keep bag stash shopped head airport . lucerne proof good service enhance experience tremendously -- not staff , would give hotel 3 star . 
 Oct 5 2007 	 nice ! pay high rate quote . 	 attend group meeting Columbia University . the hotel great - location , accomodation , etc . the problem management staff - when charge wrong rate ( $ 100 high per night quote ) manager refuse adjust rate group price book . would not fix bill , fact , bill twice . take month fix problem . even though rest staff ( doorman , etc ) helpful nice , administrative problem weigh good thing . 
 Oct 4 2007 	 great location 	 stay Lucerne 5 night end September whilst ny friend wedding . read last 2 review , experience could different ! arrive hotel early ( 1 pm ) tell room ready could go straight . room large clean 2 queen bed . find staff always helpful polite . room clean thoroughly every day . the hotel great location . ton restaurant within easy walk distance lovely near Central Park . obviously far luxurious hotel NY , modest amount money Lucerne definitely good bet . 
 Oct 1 2007 	 take wedding guest ' money charge also 	 send many people lucerne wedding weekend . first , room ready much later inform we . , honor cancellation room mother charge . regularly interact Lucerne regard wedding room block . phone number , fiance 's number , email address . call cancel mother 's room , could contact realize computer show booking seem correct . choose instead charge value guest . come back honeymoon rudeness . disappointed . 
 Sep 27 2007 	 disappointing ! 	 hotel go hill dramtically last year . use lovely small hotel New York 's Upper West side . could never recommend anyone . visit last April , management refuse honor internet reservation despite confirmation number tell sell . force find alternate hotel iate evening . visit , make reservation directly hotel despite pay much room . arrive , tell room would ready 4:00 pm wait hour room available . management tell we truth , could go shop sightseeing rather stick lobby tell & quot ; minute & quot ; room would ready . finally check , room bathroom filthy one bed make . musty carpet smell mildew . complain room diirty , tell everything else sell little could do . 
 Sep 27 2007 	 wonderful large room ! 	 huge room pleasant surprise - double size NYC room like closet ! comfortable also - new furnishing , drape carpet large flat screen tv . staff friendly helpful . totally recommend little gem . 
 Sep 15 2007 	 Lucerne solid 2 1/2 star hotel 	 end stay Lucerne Excelsior book solid . room Lucerne clean , quiet , roomy . bathroom tiny . staff friendly . hotel 's location pretty good . look budget hotel UWS Lucerne . price will park Excelsior . 
 Sep 5 2007 	 Fantastic ! ! 	 wonderful experience Lucerne . hotel lovely , comfortable clean . staff friendly helpful , location can not beat . ' ve find new favorite place stay NYC ! within minute Central Park , Museum Natural History ton shop wonderful restaurant . room also large ' ve ever Manhattan , reasonable rate . Kudos Lucerne ! 
 Sep 3 2007 	 even well last time 	 stay Lucerne december 2005 fantastic sometimes return place is'nt good glad say case Lucerne , 12 year old niece we ask could high floor street view was'nt dissappointe . 10th floor view straight Amsterdam 30 second announce move new york ! hotel review Lucerne get even well decor fantastic , room , double room , big enough although suite would well spend alot time hotel room ! ! staff helpfull polite everyone else state area full restaurant subway close bonus . I recommend anyone leave kirby still count yellow cab ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 31 2007 	 great little hotel West 79th 	 bear NYC high standard hotel stay . book room Hotel Lucerne , high expectation . book Lucerne location west Central Park ( straight shoot across Park Metropolitan Museum ) price decent Manhattan . overall , wife really enjoy stay Lucerne . stay 8th floor ; photo accompany review show west - face view front hotel . bellhop , front desk crew , concierge efficient friendly ... New York , anyway . appreciate efficiency arrive private car Long Island ; bellhop take luggage silently wait check . nice . the hotel elevator fairly small , manageable . 8th floor room also fairly small , term Manhattan hotel room size expect . wife find space adequate , although eat meal room little tricky . bathroom small everything need . not get mini - fridge room , request one quickly get free charge . the hotel location terrific : 1 block 1 subway line , 1 block great bagel H & amp ; H , less 1 block restaurant shop . taxi service problem , particularly bellhop doorman stand by . the room extremely quiet . surprise peacefully able sleep nice king bed room . 8th floor not high , quiet retreat day there . minor downside include couple slightly stain towel ( quickly cheerfully replace ) window not quite close ( problem , pull drape ) . tv could newer / sharp , be big deal . overall , would stay Lucerne . never even see gym top floor ! nice / Matin restaurant good bit expensive ... also convenient . 
 Aug 29 2007 	 good hotel 	 Hotel Lucerne ideally situate away busy tourist area ideally situate subway enable easy access explore New York . staff friendly helpful concierge hand useful advice . able get us seat Jersey Boys although little pricey pay odd show good feel worth convenience . our intial room change without problem due leak air condtione . restaurant attach hotel reasonably price dinner breakfast . also good choice eatery surround hotel . absolute must vist Zabar 's incredible . a good place stay 
 Aug 27 2007 	 quiet clean 	 stay four day August two girl , age 6 9 . room cramp read review ask large room . clean , quiet nicely update , would definitely stay hotel , exceptionally friendly staff neighbourhood . usually stay Michaelangelo without kid ( fabulous hotel get good rate ) near Times Square really fall love location . went run central park , breakfast nearby diner reasonable price . I would stay maybe book large room one 2 double bed . 
 Aug 24 2007 	 nice away midtown tourist lunacy 	 ' ve stay Lucerne 5 time last 4 year . .. get well . first , location Upper Westside much nice Midtown regular tourist haunt . 's unfathomable anyone would choose stay midtown theater district . hotel block Central Park , block way Hudson River , nice walk Lincoln Center - around corner Zabar 's H & amp ; H Bagel ! ! ! room nice - vary considerably size . first time stay ( wife 2 son ) , room pretty cramp . last month ( July 2007 ) room high floor huge - NYC standard . the attached restaurant , Nice Matin , pretty good , many restaurant choice nearby , bit superfluous . 
 Aug 22 2007 	 location can not beat 	 family 2 teenager spacious room priority . stay king suite perfect we . air conditioner work great . toilet handle tricky , push hard . location , upper west side , super -- hotel surround restaurant , many offer outdoor dining . grocery store , drug store , department store small shop around area . Lucerne one block 1,2,3 line . go around Manhattan nice come back relative quiet part NYC . hotel staff nice . business center undergo renovation could use computer front desk print document us request . book ticket Museum Natural History concierge helpful even alert we subway schedule change weekend . would really confuse not clue ! would absolutely stay ! 
 Aug 20 2007 	 Loved Lucerne - Great Families ! 	 Lucerne lovely , small boutique hotel Upper West Side two block Central Park Museum Natural History . subway bus stop within block 's walk distance . location fabulous ! Liz , concierge , helpful direction recommendation . rest hotel staff wonderful . stay week could not happy . nice Matin next door great late night dinner show . 
 Aug 19 2007 	 highly Recommend Lucerne 	 read review Trip Advisor hotel booking certainly live praise ! location superb -- two block park nice part West Side . room roomy NYC , staff exceptionally friendly , rate quite reasonable . room recently re - model clean . nothing negative say would highly recommend . not forget ask AAA rate . 
 Aug 16 2007 	 New York Hotel Highlight 	 hotel really live description 's website . locate Upper West Side 5 minute Museum Natural History one direction 5 minute Riverside Park other . the Nice Matin restuarant fantastic busy well heeled local guest alike . whole area plenty good restuarant though adult old child little one . whilst seemingly madness NYC easily accessible Subway ( end street - 10 min Times Square ) , Bus ( outside door - 15 min 5th Avenue ) course Yellow Cab . real blessing get peace quiet late night step clear sidewalk rather madness hotel around tourist spot . as New York - fantastic ! ! want real view go top Rockefeller - half price / queuesof Empire State twice view . want emotional experience go WTC 9/11 Tribute Centre - defy tear eye whilst . 
