good 	 Novotel London West prefect location travel around London , hotel good link Heathrow . access car ideal m4 close large car park site , excellent value car park London . the room spacious lovely modern décor add cosmopolitan feel hotel . surprisingly city location close main road peaceful night sleep , could hear hustle bustle rare find London . new restaurant bar area ideal business traveller leisure traveller big improvement hotel . stay number time Novotel London West must say service also wonderful would recommend hotel . 
 weekend Novotel London West 	 clean , tidy modern . friendly helpful staff . meal ridiculously expensive poor value money . would definately recomend tuna salad Shame since let hotel . 
 hammersmith good hotel 	 Hotel room nice improved shower wifi , new restaurant much nicer modern 
 Oct 22 2008 	 £ 1 / hour parking £ 12 internet/24 h ... attack killer extras ! 	 stay Novotel London West October 2008 . pay £ 89 / night twin room ( breakfast include ) . hotel short 10 minute walk Hammersmith tube station . several cafe shop 5 minute walk hotel . choose Hammersmith hotel think touristic neighbourhood bit far away zone 1 , parking would cheap . wrong ! . pay £ 1 / hour , consider stay afternoon next morning , whop £ 21 ! ! ! ! internet access £ 12 24 hour . expensive ! even option connect provider ( free wi - fi minute away home include part internet package ) , one could use hotel 's internet provider , Sky . pay . especially one go nearby cafe get connection provider there . the room fine . comfortable bed , comfortable pillow . opinion , bed one good feature hotel . view window appeal . large empty building side motorway . double gaze window good silence outside noise . say noise inside , though . wedding take place hotel disco dancing noise ground floor could heard 3rd floor stay . buffet breakfast good . bed , two good thing hotel . continental English breakfast , plenty cheese , ham , salmon , salami , egg , sausage , baked bean , fruit , fruit juice , danish pastry , baguette bread , yoghourt . would rather pay less cheap parking free wi - fi , though . consider public transportation London expensive , find another cheap option London trip . maybe drive early day , directly venue , park , spend day leave evening . even expensive car park expensive cost pay hotel+parking+wifi+tube central London . 
 Oct 19 2008 	 really rather good ! 	 stay Friday Saturday night - pick due proximity Hammersmith Apollo reasonable deal hotel website £ 99 room per night incl breakfast . 's large hotel always seem busy around lobby - sort hotel be always go feel slightly impersonal whether be issue individual taste ( actually tend prefer ! ) .The room - really nice ! well equip - soft drink mini - bar , safe , flat screen tv ( speaker bathroom ! ) , iron , 2 hairdryer ( ! ) , kettle etc . excellent condition throughout . note en - suite shower - want bath guess will ask specifically . the food - meal take hotel breakfast . well average - cook option nice plenty choice juice ; waffle , bagel , toast ; cold meat ; yoghurt . fruit option could improve - three smallish bowl fruit salad - fresh crisp try pick blueberry serve tong amongst melon prove tricky ! would well separate bowl fruit large quantity . minor point - would difficult disappointed breakfast good . slightly less forgiveable point appear entirely random whether tea coffee offer . turn cup not work - stop waitress morning - seem hit miss everybody . staff pleasant though ask , tea come straight away . not quite get system right ! lift - may sound bit picky ' m sure program control lift not particularly effective . top floor ( 9th ) lift must - every time use wait age one carry people upwards various floor arrive , 3 other apparently sit low floor nothing . quite frustrating be keen get ! point - reception staff efficient ; large open plan reception / lounge / bar / restaurant area feel quite ' swish ' ; be shop sell souvenir , snack etc lobby . location - be go Apollo something late finish will not well - literally leisurely five minute walk . shop , cafe , pub etc similar distance - plus Hammersmith tube station . light bag , check walk Paddington . 's fair distance not actually take long route take Hyde Park - pleasant . overall happy choice hotel would certainly stay . nearly 5/5 lift tip balance high 4 . 
 Oct 11 2008 	 agree bad london 	 London hotel bad ? overpriced , dirty , noisy distinctly average service . one good thing say expansion EU least staff east Europeans speak english occasionally smile , though usually clence teethI therefore view conference trip trepidation , wonder organiser burden we . previous meet Valencia ; weather sunny , food outstanding . agreeably surprised . expect much ; hotel clean service reasonable London bliss . £ 6.50 glass Savignon Blanc ( quite cool enough ) £ 26 halibut steak , say England , extract product renal filtration . 
 Oct 4 2008 	 4 Star ... maybe 2 Star 	 book Executive Room think Novotel Hammersmith , 4 Star Hotel , would reasonably good quality . go room first impression youth hostel . thin scabby duvet cover thin , foam mattress . foam ' mattress ' look like offcut make bed fit base . bathroom similarly scabby , unclean feel . go back reception pay upgrade premium room , expect something good . could stay Gore much - ! ! second expensive room ok ... really basic , rubbish foam mattress ! ! minibar stock three day stay Hotel , personally issue , another sign housekeeping service poor . the bathroom look like need really good scrub mould around fitting , sort detail never go unnoticed hotel staff . bathroom need keep pristine clean 's excuse Novotel . would say big hotel poor 2 star standard room . good , central location 's . will not stay would not recommend unless need Hammersmith , probably keep get booking . 
 Sep 30 2008 	 Two Newfoundlanders really enjoy stay ! ! 	 would recomend hotel anyone ! wonderful stay breakfast well could find anywhere ! complaint ! nice , clean centrally locate .would certainly go ! 
 Sep 28 2008 	 Nice hotel eat somewhere else ! 	 stay work conference Sunday 21st September . arrive 8 pm get check decide eat hotel . tell order menu would 1 half hour wait could go buffet . needless say go buffet terrible . little choice cold clearly sit quite . unfortunately breakfast not much well undercooke fry egg strange taste scramble egg . apart food though , hotel fairly pleasant , nice clean comfortable room , lovely foyer bar area . also convenient local tube stop ( 5 minute walk ) 
 Sep 28 2008 	 Impressed Novotel go market 	 love hotel impressed quality . room spacious , modern quiet everything need , include site parking . the staff friendly efficient local / london knowledge limit - ask I d drive conjection zone use route I d take idea local area . the side cost - pretty steep parking £ 1 hour bill £ 25 - OUCH ! however , central pretty fab ! 
 Sep 27 2008 	 nice place service hmm ... 	 nice hotel . however , staff do not speak good english . despite fact ' m asian , speak much well english . reckon be eastern europe . concierge helpful . hand brochure squat . look middle eastern english oookay . want go Salisbury unable give accurate recommend particular travel group . the room nice . service leave we little hrrmpphh satisfaction scale . 
 Sep 10 2008 	 bad lond 	 back hotel , stay conference . good direction hotel get hotel tube stop Hammersmith , pretty accurate ( remember keep move shopping mall ) . check via conference , meet smile , friendly hotel staff beside conference registration desk , ( correct ) info quickly give room key - prettty exceptional since arrive 9 tell room would not ready till 12 . anyway , room clean , smart , roomy , nice bathroom ( although main grump would hotel website say room bath shower , walk - in shower ) .Service wise hotel meet demand , staff helpful , always achieve . manage lock room , go reception meet smile , understanding , new key ( not need return immediately 11.30 evenign ) , well gentle , rigorous vetting procedure ensure occupant room . ( wholeheartedly comment follow friend 's recent traumatic experience another hotel Britain ) food - conference not expect michelin star , food absolutely brilliant ( yes , foodie ! ) . go London personal whim , usually stay elsewhere - would seriously consider staying - issue usually stay hotel much well tourist view - price . however hotel can not fault - love , location good easy access tube - wonder would like night try get back hotel via deserted shopping mall ? maybe another way ? congratulation manager staff - excellent hotel , brilliant service ( rarity London ) brilliant food . lovely room , clean , comfy huge bed , minor gripe one tea bag one sachet mile in - room tea coffee thoroughly mean ! ! 
 Aug 27 2008 	 little far ! 	 book long weekend 3 night city break take show etc . first impression little disappointed front entrance badly keep loose paving brick everywhere , look like might belong ajoine property even . reception book excellent lift slow . huge line people peak time . room clean great bed . top tip , leave hotel , get lift way bottom car park level turn leave hotel entrance car park bring straight bus / tube station , cut steep stair loose pave brick normal street level . 
 Aug 27 2008 	 ok .. 	 friendly people reception , good breakfast long walk room . room 4 small price ok ... 
 Aug 12 2008 	 Great Hammersmith Apollo Theatre 	 upon enter hotel , first impression nice 4 * hotel clean staff dress smartly etc etcWas check within matter minute problem , proccede lift , must say need fix something ! 2nd time goin floor , many people ( 4 lift ! ) 1 ever seem move , well , walk stair , beleive plesent , enough minor problem . the room basic , clean , well furnished hotel lose rating , nothing wrong room definelty 4 * room , room would nicer would rate hotel 4 * .the breakfast ample , small selection food , vitality drink crosaint , english breakfast etc fresh juice yougurt . if go Hammersmith Apollo theatre break , would definetly recommend hotel literattly 5mins away hotel ( 3 - 4 block ! ) take long traffic light etc . I would stay hotel complaint ( apart lift ) would recommend people look good base apollo , clean basic comfortable hotel . 
 Jul 22 2008 	 Quality London hotel 	 stay hotel several time past 3 year whilst attend course . choose leisure hotel London would look elsewhere get discount rate conference customer . that say , many lovely thing hotel . be clean , ' ve always give spacious room , lobby nice spacious feel room service food good extra service charge . year though , feel menus restaurant dining room service limit difficult need eat hotel night . take leisure break though , Hammersmith 5 min walk away lot venue eat , plus number highstreet shop include & amp ; , boot etc convenient location . the buffet breakfast wonderful , one good ' ve . hot buffet , fresh fruit , yoghurt , pastry , cheese , bread - fresh tasty . expensive though not get include booking deal . breakfast inclusive also get room service breakfast extra charge good . I like hotel would choosy much pay stay . location 5 - 10 min tube use good base sight seeing also convenience town locally . 
 Jun 25 2008 	 strange location 	 book web site get 14 day special 110 pound night . good value . expensive normal 160 pound plus expensive breakfast rate . business account only . the hotel locate within block office owner want maintain . probably notice arrive car low level pedestrian access tube station offputting . however close Hammersmith tube station line Heathrow convenient . the room normal Novotel fit reasonable size London . good bed . the window double glaze plus extra slide screen noise adjacent motorway . we eat breakfast shopping centre tune station . plenty choice much less cost . Hammersmith quite busy lot choice obvious restaurant . eat firestation pub proper eating area back . good . 
 Jun 16 2008 	 Good Stay 	 stay 4 night May , 2008 . pick see 3 concert Hammersmith Apollo ( great , 's close hotel venue ) . also like be relatively close Hammersmith tube station ( 7 - 8 min . walk ) , fabulously situate inside shopping center ! able pick dinner & amp ; bring back room ( also use atm buy thing need day like battery & amp ; bottled water get tube ) .I ' m bit spoil brat , pleased room amenity modern comfy . London , room size * * ample . bed soft ( bit soft ) . nice long desk good TV . 's light switch right beside bed turn light on / off ( convenient ) . Bathroom & amp ; shower relatively nice . especially love mini bar . although not consume anything ( $ 5.00 per drink -- be one 12 oz . Coke ! ) , remove put stuff inside . sneakily replace everything leave day . : ) hotel 630 room , be pretty massive . big drawback : hallway * extremely * long ( mean , be unbelievable ) . room locate farth possible point elevator . gift shop lobby convenient . ATM on - site not work . a couple problem : although A / c , extremely hot room . withstand 2.5 day complain . , maintenance within 2 minute ( ! ! ! ) fix spot ( switch ceiling set heat instead A / c ) . next day , toilet handle break wall completely . , maintenance within minute instal new one . desk staff hard communicate ( English first language ) .take 15 minute tube reach central London -- big deal , walk back room tire walk around city day ( walk mile corridor ) . room , really complaint ; nice . would stay , though , need close proximity Hammersmith Apollo . 
 May 29 2008 	 Hotel ok 	 family ( 2 adult 2 kid ) stay may year . hotel reception area etc nice . however reflect room . find room small sofa bed pull space . if couple suitcase would little space store . also , fridge soft drink bottle water . price list . discover cost £ 2.50 move one charge ! go reception tell fridge sensor detect drink lift therefore automatically charge . wonder many people never notice bill ? overall hotel adequate evening stay 2 night . good base easy get Heathrow central London tube . 
 May 27 2008 	 excellent location Hammersmith Apollo 	 stay Hammersmith Novotel ( London West ) go concert Apollo . hotel really close concert venue , room clean , spacious amenity need overnight stay . eat hotel bar service food good . definitely use hotel . 
 may 23 2008 	 big hotel Good Breakfast Clean Passable 	 stay last night Globus tour upon return London . hotel huge long low - ceilinge hallway make feel like ' ve step sci - fi futuristic gray city set ! LOL ! room opening hallway quite nice . I book single get King bed PLUS couch . flat screen tv keyboard inroom internet . clean , trouser press , iron , coffee service ( cookie though ) , shower gel , shampoo , hair dryer . wash bunch clothe dry night . press pant press . good thing move ' cheap lodging ' ( suitcase clean clothe ) .Breakfast buffet fantastic . good see anywhere . loaf fresh baked bread baguette . get free newspaper . location pretty far city center , mean long tube ride . 's right street ( ~1 block ) Hammersmith bus / tube station . BEST tube station find . 's shopping gallery , like American Mall . little news / candy stand even stay open quite late . bad Point ? hotel next super highway . open window 's hear . close window could hear talk hall though . open sleep soundly ' white noise ' woosh traffic ! 
 May 14 2008 	 great value money . 	 breakfast well ever . everything imagine available , even probiotic ! therefore perfectly possible eat much breakfast either skip lunch dinner feel hungry ( big advantage expensive city ) ! personnel helpful friendly . negative point : dinner restaurant expensive ( even buffet form ) door adjacent opposite room close , be rather noisy . 
 may 10 2008 	 lovely lobby stop ! ! ! 	 hotel extremely disappointing . apart lobby meal area hotel floor , low ceiling damp smell place . also noisy poor acoustic . the meal hotel way average apart form buffet breakfast passable . we order pizza lobby bar bad pizza ever eat . Sorry be quite right . drain half cup oil tried actually taste worse look ! overall ordinary ! 
 May 9 2008 	 Pass pinch salt . 	 return ten day Hotel , ok point share . stay family , two adult / two kid . room small open fold bed . the room aircon . standerd , 's blower . open window hear noise car hammersmith fly . would stay Hotel Summer weather increase . I enjoy Continental Breakfist . location perfect . I hope review help . thank 
 Apr 21 2008 	 Good Location 	 return 2 night stay hotel . overall impressed hotel , london hotel room large average . large travel cot room large pushchair plenty room leave ( people say room small wonder ! ) yes furniture see well day bedroom clean . quite fussy honestly say look dirt do not find ( even bottom shower curtain ) massive hotel may could lifts bar service good breakfast lovely . the location hotel excellent anyone come west want bring car short time . parking £ 1 hour hotel resident tube station 3 minute walk away . it bite noisy saturday night expect large hotel . 
 Apr 13 2008 	 overprice room need refurb . 	 slow check - in , despite prepaid . room old travellodge type standard small . Tatty , although public area quite nice . bit disappointed place promote four star , charge we four stra price . 
 Apr 3 2008 	 Good Central London 	 stay hotel speak conference Novotel , thus book company . book hotel speedy efficient manner polite staff . room good standard experienced Novotels ( although colleague room ) . ok well equip tea facilities/ iron/ hairdryer , bright spacious Novotel room become accustomed . my colleague choose dine hotel , good choice food option order menu buffet option . unusually opt buffet option look rather good- . addition excellent selection , food fresh extremely reasonably price ( around £ 12 main course ) . also good wine list champagne similary fairly price ( bottle Pommery approx £ 40 ) .The niggle surounde stay follow . firstly , company arrange continental breakfast complete order form hang room door midnight , would deliver room follow morning ( include drink choice time want breakfast deliver ) . breakfast freshly make deliver time , deliver room extra cost . process gettte ready day , room service come back room hour half deliver breakfast , collect tray . rather inconvenient get shower , surprised hotel send staff around room guest likely check out/ vacated room day . 20 minute later , room maid come around ( 9.30am ) clean room . send away point process gather belonging vacate room . feel little harrassed , , well generally shower getting drese , complete work . would better hotel adopt policy visit room know check day prior actually check . issue , accept entirely control hotel ( certainly worth consider ) , fact room floor number french student . aside , bad stay ! 
 Feb 24 2008 	 Ran cold water bathroom morning 	 first time would book hotel London . easy find , close tube station . book family room fine , sofa bed two child . buffet delicious , wished not feel full would love go round ... £ 95 night , two child free , inc breakfast free , price reasonable . our complaint two we shower , cold water cease , totally . mean water sink bath / shower unusable scorching , method cool down . despite , would stay . 
 Feb 24 2008 	 good hotel - Shame taxi service ! 	 partner take hotel night , go see Lion King show Lyceum Theatre . hotel book taxi 's we think would . future reference never book taxi hotel , get meter black cab outside main lobby . pay well odd , clue one famous theatre london ! , pay equivalent black cab would charge 10 clock 7 , 15 min late show . thought would let people know , learn mistake . complain hotel yet hear back . the hotel average location well away theatre district , stay near theatre . pay £ 25 way theatre . 
 Feb 7 2008 	 ok much well choice money ! 	 stay Novotel West London one week February last four year due business . return year 's visit hotel . although find hotel okay , would really encourage traveler much nice place ( especially really cute B & amp ; B 's ) stay less money convenient location . the hotel near subway station , nice breakfast buffet , generally nice , polite staff . however , neighbor offer much , hotel fairly plain , lot feature frequently work ( trip trouble internet , plumb iron ! ) although hotel staff try compensate this . so ... okay company pay like location . but pay , would advise explore option . d . connolly 
 Dec 16 2007 	 worth 	 husband stay accommodation London could get cheaply air mile . massive business hotel hallway make we feel like shine . room pretty plain one small cheap blue pillow throw onto bed , except one mine look like snot stain ( hope snot ) . breakfast buffet include room price greasy coffee taste horrible well . internet overprice , offer free business hotel price per night . totally worth . 
 Nov 26 2007 	 bad great 	 stay hotel Foo Fighters concert O2.I would think stay go gig . room clean . shower not work well . room service breakfast choice limit . breakfast hotel restaurant much big choice porridge cold , egg runny .......... like say bad room great package . 
 Nov 14 2007 	 great awful 	 large hotel locate couple minute walk Hammersmith tube station . stay standard room typical Novotel room , think time rooom update , although think also refurbish room available hotel high price . tea coffee making facility , iron , flat screen tv , safe , minibar , shower bath , comfy bed . great view - 9th ( top floor ) hope good view London disappointed look across large office block . staff helpful friendly - everyone meet corridor say hello / good morrning . hotel busy ( full ) stayed not seem crowd - not queue breakfast trouble check . wifi available lobby could not get connect . hotel shop couple bar restaurant . overall disappointed fundamentally 's much 's wrong hotel , serve purpose fine , wowed experience . 
 Oct 27 2007 	 clean modern hotel 	 stay one night part short break London , hotel bright , modern & amp ; clean , find staff efficient , pleasant & amp ; helpful , room good size & amp ; well present , party 2 adult & amp ; two child ( 11 + 5 ) double bed , adequate sofa - bed kid , room meet need . the buffet breakfast large normal selection imagine would cater people taste , small niggle find hot item bit undercooked , general good . as location hotel , fair way centre near tube station easy 5 minute walk find problem it . the exterior hotel bit nondescript & amp ; set back road , get main entrance via flight step ramp cross plaza hotel , area let hotel good state repair , try make area doorway attractive let average hotel , say would recommend & amp ; would use . 
 Oct 16 2007 	 Loved Novotel Hammersmith 	 love hotel . convenient location . literally 3 minute walk tube station . also little shopping center , good food . definitely recommend eat Orsini Ristorante right across tube station . really good Lasagne . room get breakfast every morning . breakfast hotel lot option . serve full english breakfast , also croissant , crepe , bread , fruit , egg , variety juice , etc . yummy . room clean , good size . come safe ( useful ) . complaint tv problem , shower weird . shower screen door go halfway point . do not cover entire bathtub area . kinda odd . people friendly helpful . room service yummy , big variety option available good . 
 Sep 10 2007 	 expensive hotel 	 will not 's stay ! stay last month business trip glad company pay room . hotel expensive get . although London expensive well hotel price ( pay 150 pound , exclude breakfast ) . room small , ok . building itsel look like sleep factory ... 
 Sep 10 2007 	 Novotel meet need nicely 	 stay two night begin two week Globus tour - , husband 12 year old daughter . our room nothing fancy comfortable spacious enough three us . daughter slept sofabe . the location within easy walk distance town Hammersmith tube station . trouble get London . the buffet breakfast nice lot choice . choose eat meal outside hotel . 
 Sep 4 2007 	 need 	 second time ' ve stay . need somewhere stay Hammersmith night , be fine , otherwise much recommend . 's huge characterless place , mile walk lift room . quiet fifth floor . the room tad shabby . nominally smoking room , smell cigarette . room warm arrive , leave window open go fine . bed bit springy ( pocket - sprung ) . either badly make , undersheet wrong size lift pillow , matress underneath . sheet bit itchy . one lightbulb missing bed . internet not work . tv badly tune . bathroom fine , clean . bathroom door fight get out . we arrive leave tube strike . concierge say order us taxi , sound later like not ask . would allow plenty time rely get cab hotel . 
 Aug 16 2007 	 nice 	 2 adult , 2 kid ( Ages 3 + 8 ) stay early Aug 07.very nice hotel . staff excellent , always stop say hello . breakfast great , mention ta' . room size good . book via different agent , good price available directly via novotel website also . location good , close Hammersmith tube station+bus station . some tip - Tesco 's shopping centre tube station handy quick purchase . shopping centre also Disney shop . the bus stop actually 100 metre front door hotel , whereas actually get tube platform , be 400 metre . bus stop , go directly Harrods , Knightsbridge , Picadilly circus , Waterloo . use off - peak , reckon quick use tube . also get see lot part London , might otherwise miss . finally , cheap tube . close BBC television centre - check review http : //www.tripadvisor.com / ShowUserReviews - g186338 - d257586 - r8408152 - bbc_television_centre - London_England.html 
 Jul 30 2007 	 novotel london west 	 stay fore 1 night 7th . good hotel , decent breakfast good world read ... friendly staff , hotel expensive ... 
 Jul 30 2007 	 nothing complain really enjoy breakfast . 	 ( family five ) book two room Novotel London West July , 2007 . hotel staff kind check , quick get we room ( not together , guess full could not accommodate ) . warn size european hotel room , disappointed room . enough space suitcase fold - out sofa bed - even though fit three teenage girl one room ! fondest memory stay hotel buffet breakfast , would recommend future guest , be wonderful . this hotel short walk Hammersmith metro station . problem little very - central London public transport convenient . London big city , bind need catch tube get around anyway , wherever stay . 
 Jul 8 2007 	 Novotel London West 	 stay 2 night July 2006 travel Globus Tour . outskirt heart London tourist area . outside , look special . room clean average size . breakfast morning hotel , compliment tour . buffet breakfast average selection . tube stop 5 minute walk hotel ( get direction front desk ) . also pub restaurant near tube stop . on low floor hotel Globus desk , anyone book morning / afternoon / day / dinner tour various sight London area . take Windsor Castle tour , great - highly recommend . 
 Jul 3 2007 	 good value London 	 please book two night £ 105 night weekend . location really close two different tube station , load shop pub locally . choose place due proximity Hammersmith Apollo go gig , 5 minute walk away perfect . arrive mid day allow check immediately pleased . hotel shop well seem good stock snack , drink bit piece . the lift corridor clean quiet , room . overlook flyover noisy window open air con room feel warm not problem . small soft drink fridge ( pricey ) kettle complimentary tea coffee mean need . bed comfy type pillow cupboard , along spare towel toiletry . breakfast excellent , far well expect . massive range good stuff choose . finally checkout midday rather 11 am , bonus . all staff encounter friendly have defo use hotel need stay side London . 's 20 min tube Hammersmith Kings Cross , be far . one small thing find surprising fact cost £ 3.50 small bottle Leffe bar , be get want drink something well cook beer hotel guess ! 
 Jun 18 2007 	 fantastic value ! 	 stay 19 year old son 15 year old daughter one room , £ 105 night include absolutely fantastic breakfast three we . hassle book family room three internet room spacious amd even room fourth person . air con actually work , unlike many expensive London hotel stay recently . mattress extremely comfortable . lot amenity iron board room , free newspaper , handy shop , vend machine ice machine . staff charming . handy tube central London . will definitely stay ... Great Muse concert , ! 
 Jun 14 2007 	 good hotel London great find ! 	 stay Novotel 1 night June 2007 surprise high quality hotel . place around 4 min walk Hammersmith underground station , hotel non - descript entrance ( i.e . wander ramp climb step ) enter plaza , eventually find hotel entrance . check - in dream , staff friendly lobby area vast airy . nice . the room superb , top floor double room well deck fantastic shower room , funky sink , top LCD tv room ( speaker shower room ) .breakfast amongst good ' ve hotel anywhere world ( exaggeration ) , check - out process painless easy . we expect tired , slightly grotty hotel ( line many London hotel ) Novotel really great hotel handy , accessible location . be definitely worth try not leave disappointed . 
 Jun 9 2007 	 good clean commercial experience 	 stay tour group year back pleasant experience . hotel large commercial generally friendly . room small find several bug bathroom . main complaint involve breakfast . continental breakfast tour group locate restaurant main floor . regular breakfast buffet ( pay extra ) locate directly next one tour group . sit roped section dining room eat corn flake regular patron egg sausage stare we like cage . hotel locate quite mile tourist attraction easily accesible tube station street . stay , go eighth floor night check gym . amazing view city lie beyond treadmill . 
 may 30 2007 	 nothing complain nothing get exit 	 Got book error , want book Novotel City business convenience . able find exactly error occur . assistant believe Novotel system book nearest one available one ask fully book - verified . huge hotel , take mile get room . everything inside realiable Novotel way : pretty , ugly either . everything work fine . like buzz lobby / reception floor mezzanine level never find anything resemble real main entrance ground floor . also , be Hammersmith . 
 May 26 2007 	 excellent hotel 	 husband stay Novotel 3 night may happen first trip London . hotel lovely staff friendly helpful . room nicely decorate comfortable easy relax . compaint mattress hard taste , room great ! breakfast buffet ample quite good . great location , right next metro easy access anywhere city . would highly reccomend hotel would stay . 
 May 10 2007 	 large well run 	 stay night transit . big hotel cater large group , airline staff , etc . not descend chaos peak period tribute management staff . public area sweep , open spacious . breakfast buffet one good ' ve see hotel UK taste good . room good size , well appoint comfortable . there be wow factor , well run , quality business hotel . 
 May 6 2007 	 Good Hotel 	 room nice clean . hotel good location , nice breakfast , though pancake waffle servere hot . ask steward , heat we Microwave , serve fresh hot . bathroom rather small , hotel lively . overall room good hotel . 
 May 6 2007 	 great ! 	 great hotel .everythe white clean .Breakfast good fresh . stuff nice . hotel deserve exelent mark . 
 May 1 2007 	 Reasonable Anonymous Hotel 	 Convenient Hammersmith Apollo , Olympia , etc . Hotel Bar pricey nice roof terrace view city . the reception slow , little disorganised time . the room variable . reasonable size , small seating area . shower leak . breakfast buffet good , wide choice cook & amp ; cold fare , except black pudding often bite undercooked taste . think black pudding deteriorate south 's eat . 
 Apr 24 2007 	 enjoyable stay . would recommend 	 boyfriend stay hotel Mid February 2007 . find hotel adequate visit London . stay 4 night hotel . room size great british hotel . liitle love seat nice place place bag . also fold bed , use . hotel quiet clean . shower bathroom fine . water pressure good temperature hot consistent . hotel bar downstare stay open later . even nice enough open bottle beer buy shop . open later local pub , could go later drink bar close . close tube station . use gym restaurant comment . also stay Hilton London Olympia would say Novotel bit nicer , even though rate 3 star . conversion outlet front desk 10 pound deposit plug american appliance . tea kettle basic tea coffee room . want basic no - frill hotel feel safe clean , good value money . bid priceline get hte hotel $ 77 per night . pretty good rate London . 
 Apr 19 2007 	 adequate 	 stay hotel easter weekend 11 year old son , hotel ok short stay , room clean every day bed towel change . view room poor say least , look onto low level flat roof variety different metal vent , duct sort thing . breakfast ok £ 15 , hindsight would prefer go restaurant , ' m sure have get well value £ 30 . 
 Apr 18 2007 	 nice ` ` expensive '' Modern Hotel 	 stay time business meeting keep mean write review . 's nice hotel bright airy reception area . room well appoint modern feel . bed comfortable top sheet ! stay January freeze outside , room uncomfortably hot . stayed last week problem . assume air - conditioning switch , work either occasion . staff foreign many poor English , make quite difficult order drink / food . unless point menu , find run problem . breakfast plentiful luke warm . lift slow always appear one two order . 150 pound without breakfast , hotel come cheap ....... 
 Mar 19 2007 	 fantastic time ! one good hotel London ! 	 husband stay could near theatre , ticket see ' Little Britain ' . hotel outside disapointe inside different story . reception bar area nice , although not time stop drink ! staff friendly welcoming , point we right direction everything . find system leave bag check ( explore city ) far well hotel . quick easy . room lovely , room definately do recently . bed die , flat screen t.v . really beautiful really clean . ( work chamber maid college , spot everything ! ! ) wander end corridor near nice , non smoking room . I would reccomend hotel anyone , obviously need realise locate main highlight London . though tube station close , fab fish chip shop next theatre ! Breakfast also good , although husband not enjoy waffle , food really good . nice selection buffet food.good service decaf coffee usually nightmare ! would stay , long one night . 
 Mar 13 2007 	 minimalist good 	 hotel minimalist well . issue include terrible wait elevator get room get back lobby , fitness center break machine , fire alarm go wake night stay ( 2 am , 5 am ) , bed comforter fit sheet top / flat sheet ( ick ! ) , limited tv channel , additionally nothing great area . pro hotel close Hammersmith tube go somewhere exciting ease , breakfast buffet fairly oppulent , price decent . reccomendation stay ... otherwise sure well accomodation elsewhere . nightly fire drill much handle brief stay . 
 Jan 14 2007 	 OK 	 stay Novotel seminar one night . room large clean . bathroom basic bright toiletry provide albeit small . towel clean small . like previous reviewer tv work tell entire hotel - not . comment check give £ 20 reduction . breakfast include price pay plentiful luke warm . the lift dreadfully slow two appear work one time despite hotel full . the hotel good value price eventually pay ( £ 99 B & amp ; b ) would disappoint pay full publish rate . 
 Jan 10 2007 	 Good Value 	 stay hotel week winter holiday vacation London . would really like commend staff find polite efficient . especially try period due high school band stay hotel New Years Parade . other say , breakfast good would make certain include room price . hotel clean main criterion . other mention however , problem . hot water shower would cycle scald cold . tv work entire stay . report , say nothing could do , whole building . true rest family across hall fine . tv , clock although telephone wake call reliable . hair dryer desk also break . safe initially break , fix almost immediately phone call . extra towel provide upon request - quickly . bring soap one give small showering . Hammersmith tube station convenient 3 line , feel like majority trip spend tube . next time , would stay close downtown . for price , good buy London . convenient get Heathrow tube . nice staff . 
 Dec 29 2006 	 Satisfied Novotel 	 stayed three night business find room surprisingly large London new amenity , LCD tv update furniture . staff mostly Czech friendly ; breakfast good pricey 15 pound . not many good restaurant immediate area , Hammersmith tube stop 5 - minute walk away . problem hot water stay hot shower -- would go pleasant scald freezing without warn . employee place work say other stay Novotel mention thing . bit difficult get cab -- many queue hotel , 's little beat path . , place fine good value , way tourist . would return , would shop aroun well option first . although London concert Apollo , would probably choose Novotel , be directly across street . 
 Nov 24 2006 	 would not repeat ! 	 stay night hotel recently . room allocate possibly tacky stay time . cheaply furnish two uncomfortable double bed , huge old fashioned tv MDF type wardrobe . nil ambiance lack soft furnish mean permenant echo . curtain make hard rubber type fabric carpet- well I ve see lino pile ! bad aspect bed spread ancient blanket . fair , room be not dirty- need complete refurbishment . gripe include inability get cab- do not seem visit oftenlooke positive , staff nice ( esp Hungarian barmaid ) albeit foreign . location also ideal visit exhibition hall nearby ( be not ! ) . breakfast ok common area well style room . also advantage high rise great view West LondonA totally functional hotel adequate business , however , repeat experience ! 
 Nov 8 2006 	 Liked Novotel West 	 stay Novotel West Globus tour . find hotel clean modern staff ( mostly seem Eastern Europe ) speak good english professional well train . buffet breakfast good . feel push bit bill & quot ; Central London & quot ; ; far western edge central London , quite long tube ride major sight Hammersmith Tube Station , near hotel . plus side , location assure quiet . plenty shop immediate neighborhood . neighborhood also include many fast food place sport pub , good restaurant hard find hotel food average rather expensive . however , give option London feel hotel good would consider stay . 
 Nov 7 2006 	 nothing Special Average Hotel .... 	 stay 3 night November , 2006 review mix . hotel new building , feel clean adequate room small . hotel less 5 minute underground Hammersmith station 15~20 minute downtown attraction location bad . however , one bad side room dial - up connection internet $ 20.00 per day think joke . use dial day anyway ? hotel offer Wifi connection lobby area hassle go lobby check e - mail so . secondly , first morning , hotel forgot bring breakfast room request time call room service deliver . other minor point , think hotel little average give rate pay $ 130.00 per night consider London all . next time , would like stay little bit close downtown ... 
