best 	 stay Monday morning Friday evening , complaint . with 5th Avenue second walk away , Rockefeller Plaza Centre road , Central Park less ten minute , could not choose well location . already read review , tell we hotel good business couple ( family ) room small . plan stay room much , New York , anyway ? ! check - in quick . hotel feel new really clean . clean service room , exceptional , -even though would ' ve save towel re - used , clean one daily , along new bottle shampoo , body lotion , mouth wash etc etc . not eat restaurant , comment , -only always , though , plan .... not even ever breakfast hotel . -we draw Concourse level Rockefeller , breakfast , several occasion , -as good variety , brilliant place sit , watch world go . pour many idea New York hotel , , end , pick one ideal . 
 Jan 12 2008 	 Location location location ! 	 friend mine book hotel part package NYC trip Christmas New Years . never hear , bit dubious . location right across Rockefeller Center Radio Center Music Hall , congested , especially Christmastime , also prime spot jump sight - seeing . St. Patrick 's right around corner , 5th Avenue . subway station nearby , ' ve never NYC , great location . room average sized NYC , bathroom absolutely tiny . hotel staff accommodate friendly . offer free bottled water , nice bonus . nice desk space room , would convenient business traveler . overall , great value money . would recommend first time NYC visitor heartbeat ! 
 Jan 3 2008 	 Fantastic- definately recommend 	 find great deal ( 1 week £ 650 incl . flight New Year 's ) thought might usual basic New York accomadation , however fantastic find great little hotel . right next Rockefeller center opposite St. Patrick 's Cathedral , 's location fantastic . room big , suitable 2 people . clean tidy lovely staff member , always willing help , whether local information hotel issue . rare thing cheap hotel , thing usually pay free , thing like bottled water , safety deposit box , in - room alarm clock , flat - screen tv cable , internet , even umbrella rainy day . definately book , recommend enough ! 
 Dec 28 2007 	 Perfect location congenial staff reasonable rate . 	 step away Rockefeller Center wonder Fifth Avenue Christmas , perfect location couple spending day holiday . each every staff member encounter courteous professional . room seem tad small , really NYC . clean decent size bath , club chair work station plus flat screen tv . bear mind though luxurious property like four season . there four computer printer available use nice feature . seventh floor also restaurant serve breakfast , lunch dinner . one breakfast , buffet $ 11.00 , allright coffee extra thought include . a good choice decent rate NYC Christmas . 
 Nov 28 2007 	 Excellent Value money 	 back long weekend New York would definately recommend hotel . amazing location , clean , modern comfortable . read review beforehand say room small side would not agree comment ! ! ! front desk staff helpful always available answer question . & amp ; return NY , definately stay . 
 Nov 3 2007 	 reasonably price great location 	 stay NYC Marathon impress . staff friendly room pretty spacious nice . location ideal block fromthe Park Avenue H & amp ; ! ! ! would definately stay ! 
 Oct 24 2007 	 ' m amazed cool hotel 	 book hotel client work , think member . one night originally , want come early - call hotel directly ask add two early night stay , rate clent get member , $ 250 . terrific . the hotel be renovate . be across street Rockefeller Ice rink , foot east Radio City Music Hall . lobby 's cool , crisp clean . clerk hover , desperately try help self check . one point , ask want . ask need , say . back . little helpful , everyone else great . the room marvel efficiency , great bed , business desk easily access plug light , free wifi ( even work iPhone ) bed glorious . get exactly order . Television 's bit sparse available channel , coffeemaker work fine . bathroom another model efficiency - give idea second bath home . they offer free chill , filter water machine generic bottle use room take . excellent . 26th floor bit inconvenient go way 2nd floor get icemaker vend building . the hotel menu number local restaurant deliver right room far less have think - couple dollar . nice touch include resource book look great shelf , coat hook bar , digital thermostat right next bed more . and be right near couple major subway station - take first time ! great ! love hotel . tell client book every time come nyc.this review Rockefeller location , other . 
 Oct 19 2007 	 WAY Better expect 	 get to say ... book room company 's website $ 214.00 ... pretty certain go to suck ( room rate day NYC like $ 500 ) . imagine surprise walk clean , modern , efficient self - service hotel everything could ever want business - orient property , PERFECT location block 30 Rock . the 7th floor terrace side breathtaking , guest room ( small , typical NYC ) absolutely great . I sleep soundly , enjoy every minute stay . definitely back ! 
 Oct 14 2007 	 offer much lack delivery 	 hotel offer much - great location , great facility ( e.g. , free internet , printing , lounge , kitchenette room , great price New York hotel ) - staff need training customer service lift take ever . problem room - block toilet / telephone not work/ distinct smell previo occupant ( smoker pet owner ) . complain 3 time someone finally fix toilet . complain upgrade , staff not tell telephone message receive phone working . hour final check toilet block public access toilet hotel . offer another room last 2 hour - nice offer want toilet ! ! ! lot unhappy people ride lift . hotel offer much potential , fail deliver . need well train staff need maintain facility especially lift service toilet well standard . 
 Oct 1 2007 	 great location small room 	 good : - great location shopping city visit around Rockefeller centrepoor : - experience endless waiting time front elevator- calculate 20 minute check luggage store official check - out . seem logistical challenge . overall : good short stay specific city area 
 Oct 1 2007 	 highly recommend ! 	 come back 5 night stay hotel . select standard room queen bed ( rate US209 ) . holiday wife room suit we fine . room clean well maintain , facility good . room quite small , two piece luggage room accommodate comfortably . apparently , request fridge even microwave send room use without charge wonder go place it . location excellent , nothing much night , well within walk distance tourist site - central park , Times Sq , even macy's . do avoid SushiAnn japanese restaurant unless plan expensive raw dinner . they charge us0.50 toll free call make . 
 Aug 20 2007 	 Love CQ hate resturant 	 husband much like Club Quarter 's Rockefeller Center . clean modern , find service good . stay several time . location good , craziness Times Square area . what avoid CQ would terrace room , call restaurant . dinner first time week ago , wait 45 minute appetizer - meal finally come ( shrimp scampi ) shrimp plate look old - pasta pasta look like may toss butter . smell fresh look appetizing . call waiter back , ask take meal away take bill . express waiter lack understand well hour could good kitchen could ? ? ? end go go search decent food . successful course Manhattan , put . 
 Aug 13 2007 	 Quiet Hotel outside everywhere . 	 wife need somewhere stay Midtown 3rd Anniversary weekend , exhaustive search TA , AMEX Travel , Hotels.com etc . pick CQ Rockefeller Center . want something look fairly new , not outrageously expensive close everything midtown . CQ hit point easily . hotel literally 15 second Radio City Rockefeller Center foot , less 15min Times square,10min theater district , close Grand central doable walk Central Park . 5th Park Avenues 10min away well . after book via American Express Travel , call hotel request early check - in . ( normally 4 pm , check around 10AM ) check - in easy via kiosk attendant close need . last 5 minute way room . get elevator first thing notice like 6 room per floor . result quiet entire time never even see another person floor . upon enter room notice quite small , new pretty clean . dust bunny roam around desk end table not bad . lcd tv nice way everything else . vga connection hook laptop LCD tv front desk say not operational yet . room decent cordless phone well provide ethernet cable . free internet provide business traveler , vpn work great . the bed nice , trendy , duvet . air conditioning control bedside . keep get weird oder bed think narrow headboard . cover satin - like material guess everyone 's head grease start smell . horrible though . bathroom small clean slide door really not much sound isolation . safe room opt maid service lock laptop luggage . extra towel small freebie item available every floor cabinet elevator . also fill bottled water station well closet . problem sleep noise , W51st block quiet night . room service decent , pricey option order couple different place outside hotel food deliver door . ( add directly bill ) FYI outside italian place stink . one club level dining option limit hour , never look meal plan around city . checkout breeze . return soon Christmasof year . 's new hotel not expensive , exactly need much not . 
 Aug 13 2007 	 Great Location 	 wife stay Club Quarters Rockefeller 3 night August 07 . room 1009 , comfortable small modern room & quot ; view & quot ; adjoining building . room equip flat panel tv , fast internet hook , in - room thermasat . elevator operate properly first night make get room little challenging . elevator fix next day become non event quite frustrating wait long . the self check - in check - out computer easy use make process quick . Club Quarters free internet access seventh floor along bar / lounge area nice patio overlooks 51st Street . the location hotel great ( 51st Street , 5th & amp ; 6th Ave . ) within walk distance Time Square , Grand Central , Central Park . subway stop nearby 6th ave get we away destination . feel nice low key hotel great location would stay . 
 Aug 7 2007 	 perfect : clean great Proximity right price . 	 Club Quarters locate perfect place want stay close Rockefeller , Times Square , etc . room design 1 - 2 people clean update furniture . flat screen tv present bathroom nicely update decorate . check process painless . place nice workout facility . would recommend drink balcony 7th floor restaraunt . great view atmosphere . place close everything stay around Rockefeller . checkout automatic painless . price right place will stay future trip . a complaint : 1 2 elevator work entire weekend . make long wait stair not option get 23rd floor . no iron / ironing board . 
 Jul 9 2007 	 marvelous hotel 	 Club Quarters Rockefeller Center centrally locate Times Square , 5th Avenue shopping , bus loop area . traveler wish privacy quiet , hotel . room spacious two people , a / c , well lit , clean , nice view cathedral -- although bathroom small , full shower . pleased staff , courteous helpful . stay New York City hit . 
 Apr 25 2007 	 Clean Great Location 	 stay room 1208 April 2007 . room little small two people , absolutely immaculate update . location can not beat hotel literally across street Radio City , 30 Rock , block St. Patrick 's . would detinitely stay . keep mind business orient hotel bell whistle large lobby concierge , know way around NYC , not need stuff . 
 Apr 5 2007 	 little piece heaven ! 	 boyfriend stay hotel one night St. Patrick 's Day weekend . go New York regular basis show event live close Philadelphia . hotel ' ve stay around price range , one good . first suprise size small lobby check - in breeze computer check - in system . room small ( often NYC ) , nicely decorate , clean modern . bathroom door frost see one review suggest . actually help make room appear little large actually . great part hotel Terrace Club 7th floor large , relax space indoor outdoor area nice view . armchair , magazine , newspaper , internet access small eating area bar . great return hotel long day hang . thoroughly enjoy stay look forward return . 
 Mar 12 2007 	 sleek European Modern Style Rockefeller Center 	 company corporate member CQ boyfriend decide go New York Valentine 's Day . dissapointed could not get weekend special , price one night still good location ( 220 standard queen ) . lobby small , expect high rent district city ? room also small well design lay . design european feeling love . stay uptown Marriott Central Park West huge suite , far enjoy CQ room well - style . bathroom shower , door slide open shut - not much privacy . not problem , may . location awesome - 's good place wander around night ( much ) , enjoy proximity museum uptown , subway downtown . view Radio City Music Hall , could not complain noise , not seem . bed comfortable , thermostat room , nice . breakfast nice , little pricey - 10 dollar continental , believe . - be probably go find cheap anywhere else neighborhood . not really enjoy food though much atmosphere . dining area nice outdate like many hotel restaurant , patio close dine winter - sortof fun . also like hotel private discreet , , matter taste . love stay can not wait try CQ downtown ! 
 Mar 9 2007 	 great location 	 stay Club Quarters August , 2006 . previous trip NYC , stay Embassy Suites - wonderful place , far away Theatre District . refer hotel local university visit teenage daughter . first Club Quarters try sell , refer location . three us - two teenager . location excellent - block 5th Avenue block Broadway . easy walk anywhere . disappoint rest stay . room clean , tiny . know hotel mean business traveller , even allow 3 room . rollaway bed ( pay premium third person ) , room move . climb bed get bathroom . service fair . without complimentary internet service 3 4 day . exercise area close due remodeling . understand breakfast free , $ 8 / person . find extra towel . like reviewer , elevator service poor view window except build next door . noise level street loud ( even 20 + floor ) , especially today Show free concert . overall , would stay unless alone . location convenient , would rather stay little get large room . 
 Mar 8 2007 	 price not everything 	 stay 3 night Club Quarters Hotel first week March . location perfect , right across Rockefeller Center 5th 6th avenue . we book efficiency room , slightly large standard room include wet bar , micro , fridge small sit area one chair . request extra pillow , towel , etc answer less 5 minute . be not really drawer speak store clothe bathroom tight two people . lobby small front desk people efficient handle back up . the restaurant Terrace Club 7th floor private , fact one inform we 3rd day . Everytime get elevator try use key gain access restaurant trouble , usually another hotel guest whose key work . 3rd day one elevator help we go lobby complain key do not work . inform stay Rockefeller Center Hotel , floor 2 6 open public . floor 6 member Club Quarters stay . confirm say stay Rockefeller Center Hotel Club Quarters . since member , order dine restaurant pay $ 20.00 day extra privilege . meredith front desk snooty , rude say least , upon deliver message treat we coldly rest stay . also charge second person fee nightly room . also disclose confirm reservation book room . come NY 20 year stay Waldorf , Palace , Carlyle Pennisula Hotels , hide charge not much we pay , information know encounter problem . feel second class citizen & quot ; member & quot ; . save $ 200.00 per night worth we stay . 
 Jan 7 2007 	 Great Location Clean 	 stay hotel 6 night Christmas New Year period . little concerned read mixed review hotel . the Hotel great , 's great location - step away 5th Ave , Rockefeller Center , Radio City Hall Times Square Central park within walk distance . there plenty deli 's around hotel serve breakfast reasonable too . we take look hotel 's restraunt menu quite expensive formally dress week ! order room service think 6 different restraunt locally , bring room good sightseeing day tired . staff friendly always helpful . airline lose baggage hotel staff expect case point send straight room middle night know eager receive soon possible . the room clean , clean towel bed change every day state - think fine , many people really change sheet everyday ? hotel recommend great india restraunt round corner call Bombay Palace ( nice ) couple thing slightly disapointe Bathroom was'nt private , toilet right next door slide frosted glass door everyone share room see toilet ! fine though family sharing freind aware.but hey nice shower say clean bonus I . there also small lobby almost walk past misteake exit ! think really let hotel really nice hotel not get impression small lobby manhatten hotel huge lobby part experience . but great stay hotel , could find fault couple minor detail - would recommend stay would definetly return ever go New York . 
 Dec 27 2006 	 surprisingly nice 	 husband decide take last minute trip NYC holiday see friend family . find good deal hotel decide try . overall pleased stay CQ Rockefeller . room receive 19th floor good view ice skating rink tree could enjoy see hoard people skate clamour Rockefeller Plaza day . the hotel simple generally nice . stay many NYC hotel one among nice . room spotless , housekeeping efficient , free handy water bottle nice touch walk around NYC 's nice bottle water hand . lobby miniscule one not come NYC hang lobby hotel . bed comfy aand flat screen tv treat . room silent window close completely quiet relaxing . gripe really elevator painfully slow . could lot bad NYC midtown location can not beat jumping point sightsee walking . subway block away park museum also quite near . I recommend hotel -- luxury always go Peninsula Waldorf Astoria take tea drink evening stay save money enjoy thing visit . 
 Nov 2 2006 	 Loved Club Quarters Rockefeller Center ! 	 return stay Club Quarters Rockefeller Center 10/27 - 10/31 . hotel perfect , start finish . husband book two room , parent join we extended weekend NYC . contact hotel day prior arrival request room close . assure would , wish grant - room right next door . check 6:30 pm , experience trouble discuss post . lobby hotel small , expect NYC . check process less 5 minute way upstairs . room spacious NY standard , room even overlook skating rink @ Rockefeller Center . room comfortable , bathroom spotless . impressed room $ 200 / night pay . room clean day return . one note housekeeping , bathroom , one washcloth unless ask additional one . problem one , inlaw find weird . , guess . one favorite aspect hotel lounge 7th floor . , enjoy high speed internet computer terminal watch tv flat screen . also , order food bar eat rest Sunday catch favorite football team ! neat . also fireplace lounge well terrace . cold use eat , great view picture taking ! check also smooth , even book return car airport via front desk . overall , pleased hotel wait return . stay Club Quarters Midtown 45th street , pale comparison . would definitely stay location . 
 Oct 30 2006 	 Central Location 	 ' ve come back trip New York find hotel first class money . 3 room ( different floor ) find exceptionally clean functional . decor modern , perhaps little dark ( hence descrption 's male orient ) , neither lady travel complain . what stick mind excellent facility - flat panel tv , cordless telephone , coffee maker , filter & amp ; chill water station , individual electronic room thermostat , make experience enjoyable . find bed exceptionally comfortable - great weary English traveller . great gym ( sadly not time use ) .the bar / restaurant area look nice , licence quick drink whilst wait lady dress . little disappointing , although spare liver . bathroom little small 2 people - one try shave whilst hair mean time trip one another . however , picky not really problem , brightly light , clean modern bathroom area make short coming . the hotel excellently position . lady love shopping opportunity 5th Avenue , grateful Heartland Brewing Co opposite direction . the lift little annoying 2 serve 24 floor , really problem unless forget something go back room . traffic noise issue , indeed ominous look air conditioning plant 2 story window . double glazing work ! reception staff professional helpful - credit New York Club Quarters . in - like hotel lot , would hesitation recommend indeed stay . 
 Oct 17 2006 	 Best Bunch 	 stay two NYC Club Quarters , say far good . location great room stay ( microwave fridge ) large enough not go outside change mind . Club Quarters , use room key access upper floor prove really annoying trouble card reader . small lobby feel really crowd ten people try check . guest service good many expensive hotel 7th floor lounge / restaurant pleasant place relax hectic day run around city . vend / ice machine second floor use awkward elevator get ( unless , course be stay second floor ) 
 Oct 8 2006 	 worth money - check early 	 stay Club Quarters Rockefeller Center first week October . first , check late , like gal post check late ... booted . our experience awesome , however . send nearby hotel much nice . addition , hand we cash cover taxi fare . also give we certificate free room future date Club Quarters USA.The hotel utilitarian . fancy . little disorganized . the lobby single desktop greet customer . staff nice , hotel overbook , front staff deal irate customer . extremely nice bring ire gently - admire folk . check 11:00PM ... last thing want hear pre - booked pre - pay room give someone else ! seem check late may isolate incident ... think twice can not get early . the room clean efficicient . fancy . want clean good area hit benchmark fine . the Terrace 7'th floor awesome . great view . comfortable tv area couch chair . use computer every day rest check email . son play video game appreciate toured city day long . the location could not well . central everything , extremely safe ... even walk around son 12:30am . overall , thing work well . however , fairly flexible . they generous & quot ; make thing right . & quot ; appreciate . even though replacement hotel AWESOME ... still bummer move stuff second location , back next day . 
 Oct 4 2006 	 Perfect location modern masculine room 	 come long weekend location excellent midtown Manhattan . locate literally right across street Rockefeller centre , end street leave 5th avenue , right Radio City Music Hall . seem many room corner room , design building . corner room top floor . window could see flag Rockefeller centre St. Patrick 's cathedral 5th . everyday easy get around anywhere , close subway station well . Central Park short walk north , theatre walk distance well . much lobby speak , business hotel , staff efficient , computer station check really handy . room clean , dark grey , blue green . thought look crisp modern pretty masculine , appeal . bathroom also clean . coffeemaker room . iron ironing board available hall . great base see city would definitely stay wanted midtown . 
 Oct 3 2006 	 perfect business 	 ideal place stay single - occupancy businessperson . location ideal midtown , close Rockefeller Center . reservation AmEx seamless , check - in fast . high - speed wire wireless internet work right away ( hotel make huge hassle ) , include price . coffeemaker , delivery service take - out restaurant area , new furnishing include functional desk . room small , couple entertaining ; restaurant / club hotel . want reasonably - price , small clean room , fast checkin aim professional traveller , . want hang lobby swim pool , would better traditional hotel . 
 Sep 24 2006 	 glad discount ! 	 fortunately , company contract agreement CQ . decide take advantage book night 's stay NYC boyfriend 's birthday , pleasantly surprised . hotel brand new fantastic location across Rockefeller Center . yes , be true ... CQ 's focused business traveler service - orient hotel . room huge ceiling , clean modern decor , flat - screen tv small kitchen area . new , even smell new . bed comfy love slide frosted bathroom door ! terrace 7th floor nice peaceful- great joy eat terrace look street Radio City St Pat 's Cathedral . drawback access floor need key not get & quot ; training & quot ; use key right , could wind ride elevator bit someone help . prob be big city not use street noise , be quite possible might sleep well room face 51st St . suggest askinf room street know would bother . $ 220 night truly enjoy absolutely stay . 
 Sep 23 2006 	 Big Incompetence Big Apple 
 Sep 23 2006 	 Ideal Business Traveller 	 pleasantly surprised hotel . need room last minute could not find anything decent available less $ 400 per night . 's ideal hotel business traveller . room stay compact , well appoint , clean , comfortable modern . everything need - include free wireless internet access . great location . 's practical establishment would not want stay pleasure - recommend honeymooner couple seek romantic getaway . great one two night , extend stay . definitely return hotel business though . good value money . 
 Sep 6 2006 	 Perfect Location 
 Aug 17 2006 	 many choice -- stay elsewhere ! 
 Jul 21 2006 	 ` ` Good Location '' 
 Jun 26 2006 	 great Location Little Else 
 Jun 20 2006 	 incredible location incredible deal 
 Jun 8 2006 	 great value without sacrifice quality 
 Jun 7 2006 	 pleasantly surprised 
 Jun 2 2006 	 Excellent Value money 
 Sep 27 2009 	 Perfekte Lage kleine Zimmer aber mit Schreibtisch ! 
 Sep 10 2008 	 Muy buen Hotel con magnifica situacion 
 Jan 12 2008 	 Super Lage Zimmer gut 
 Sep 28 2007 	 Qualità - prezzo al top 
 Sep 3 2007 	 Un passo avanti rispetto ad altri CQ 
 Jul 18 2006 	 Discret et superbe 
