Outstanding 	 hotel apartment building convert hotel . corner apt 19th floor . feel like tru new yorker ! , there s restaurant 26th floor terrace well . awesome experience ! I m definitely stay . 
 friendly staff 	 not stay Beekman awhile , decide give try reasonable rate . staff helpful polite , along maids doorman also . nice quiet side town . wonder adjoining restaurant close , nice plus . take advantage complimentary breakfast Top Tower fabulous overlook East River . definitely return . 
 may 31 2008 	 Quiet yet perfectly locate hotel New York 	 , sister mother go weekend Mums 60th Birthday want somewhere would suit we could stay room . find Beekman Trip Advisor book due good review - not disappointed . lot space , great view , ideally locate not want near hustle bustle still near enough walk mid town attraction like Times Square , Rockefeller , Grand Central Station etc . book hop on / hop open top bus tour stop 2 min walk hotel outside UN get main sight ny - also main bus stop get anywhere need go . cleanliness room not perfect corner bed clean towel everyday , bed make kitchenette clean return daily . staff brilliant extremely friendly - help we book car back airport finding time broadway show . great diner - United - across road also 24 hour convenience store . chinese road 1st Ave deliver room hotel good value . great find - booking . 
 may 31 2008 	 1 star hotel 	 bad stay ' ve New York . room dirty , furniture stain thread bare . ' ve read review must stayed different hotel . positive thing say hotel 's location . 
 May 28 2008 	 Great Time 	 stay partner 6 night . enjoy excellent view 1st Ave East River room 21st floor . yes , interior seem slightly date dust find . real luxury SPACE . use well - fit kitchenette every day appreciate real table sit coffee morning planning day . extra perk , free copy New York Times deliver daily doorstep . you should't stay not like walk : get main midtown spot take 20 - 25 min foot . save we walk , take M42 bus several time . serve whole length 42nd Street direction start UN , couple block hotel . the reception staff extremely nice helpful . enquire taxis Newark airport departure , recommend hotel limousine service , turn cheap hail cab street . for we , beekman perfect base great week ny . 
 May 19 2008 	 Good Hotel Price 	 Wife spend two night Beekman Tower New York weekend getaway . PRO ' price . two night tax everything end around $ 460 do lot research good deal hotel decent review ny . size : lot people review NYC hotel complain size . room small kitchen thus big NYC average hotel room review trip advisor . location : might negative we nice feel little away finally come back hotel relax . hot spot Broadway Times Square little bit walk wife love walk ' big deal . neighborhood : hotel close United Nations neighborhood lot house serve office space different country mission UN . walk around see many different country represent flag front . around hotel restaurant shop fun lot less pricey Times Square NYC tourist hot spot . one favorite Zip Burger 3001/2 52nd Street taste lot like " five Guys " familiar Mid Atlantic burger chain . zip great burger fry shake well . Service Staff : ' order room service much interaction staff . helpful store baggage check answer question . hotel deliver complimentary paper every morning roomconsthe hotel wear feel yes small lobby . room functional could use remodel get new carpet update bathroom etc . hotel shower feel invite leave refresh . beekman . shower problem mold bathroom look worn . tipsgette around : NY take little get swing subway system . actual Subway station ' give free map . purchase " Street Smart " NYC walk map able get around great . street Manhattan overlay metro stop . little Italy well … really little . probably big disappointment think neighborhood would least 4 - 5 block great italian restaurant store etc . exist little Italy day 1 - 2 block mostly tourist focus restaurant full " neighborhood " . Broadway ticket : like many visit ny take chance stand line half price theater ticket . www.tdf.org able get ½ price ticket see Marry Poppins . show wonderful set absolutely amazing . bus Transportation NY travel NY via dc2ny bus . www.DC2NY.com two round trip ticket purchase internet cost $ 80 total beat hand drive , gas , parking fee ny " congestion tax " get city . ride confirm every stereotype could take bus NY . still DC bus clip another car delay we . Midway thru trip stench bathroom overpower . driver finally catch wind way front get bus PA system ask someone go bathroom flush smell would hopefully go away . finally driver bad direction miss exit . people bus know route well start flip . end 2 hour late . Mac ' could also use wireless internet one girl almost lose ' log . ride exact opposite . fast efficient driver , weird smell bathroom time schedule . guess ' mixed bag company depend bus , driver bathroom clean functioning . dinning : love serendipity3 www.serendipity3.com cozy unique restaurant great taste food amazing dessert . small seating challenge . since two we able get quick . take awhile accommodate large group . 
 May 19 2008 	 Ideal Hotel Midtown Adventures 	 stay Beekman two week early May , select proximity UN boyfriend business . overall , happy hotel . location - location excellent . 's quick walk midtown attraction , away touristy insanity Times Square . like many small deli , grocer , pub restaurant quiet area surround hotel , particularly sipsak Turkish Cuisine , Manchester Pub Buttercup Bakery ( 2nd Avenue 48th 53rd ) . be also short walk Times Square Little Brasil ( 46th 5th 6th ) rather longish walk Restaurant Row Hell 's Kitchen . hotel also four block 51st Street Subway station , take full advantage exploration . also uptown bus stop right outside front door crosstown stop across street . use metro bus , get anywhere five borough . staff - staff friendly helpful . not problem room , although other attend event quickly politely rectify . kitchen nice , give length stay . grocery UN Gourmet across street mean eat breakfast every morning cold beer fridge end long day . room - 18A1 , yes decor bit tired , room clean comfortable . ask high floor make reservation . way leave window open night without noise fumes street unbearable . service - not try gym ( boyfriend working prefer traipse around Manhattan exercise ) . use front desk doorman dine sightseeing information helpful . restaurant - not eat Top Tower , be well worth pricey cocktail view . also not try room service . actually , lack lobby lounge would complaint Beekman . Zephyr Bar Grill close stay day want somewhere casual regroup head night . overall , great visit NYC would certainly choose Beekman . 
 May 18 2008 	 Beekman Tower advantage 	 hotel good location next United Nations . fairly easy walk 5th Avenue midtown location . lot place eat nearby . the lobby disappointment- Beekman Tower art deco style hotel ( outside ) hope something stylish . happy room- one bedroom suite . friend stay bedroom take pullout couch , bad . nice bathroom full kitchen . housekeeping staff attentive . we try restaurant , get room service pizza burger order fine . bring wine fun hanging room . busy day tired night . room quiet enough , sleep fine . the ugly old green carpet still , other mention . rest room fine three star hotel . 
 May 8 2008 	 good value hotel 	 stay 5 night hotel March , find absolutely fine . little old side decor - wise , comfortable clean . plus , get suite , get space lounge sofa watch tv , tend night exhaust fromthe day 's sightseeing jet - lag - buy beer keep fridge kitchen , feel right home come back relax hard day out . the hotel walk distance central NYC attraction ( eg 15 - 20 min ESB ) near tube sight . not miss Nations diner across road , fantastic breakfast , absolutely need look elsewhere . ok , be right Times Square manage walk everywhere see plenty would not would right heart tourist area ( eg different restaurant , shop etc ) , fine budget hotel lot comfort great base explore NYC 
 May 6 2008 	 Loads Room ! 	 hotel slightly beat path ( 1 block north United Nations ) ... ie close subway system ( 8 - 11 block ) hearty walk Theater district ( 7 block ) , room 23c clean spacious . hotel room King size bed bedroom , separate living room include dining room table , small full kitchen great view city . space know two we . say , decor definitely date carpet need replace . dirty walk green look like ready retire . say management process remodel hotel soon . complaint must close exhaust restaurant could smell food time . overcame keep window slightly open big deal . many family member stay hotel well room varied update bathroom other green carpeting furnishing .. choose stay not like room .. ask different one . high stay well view . would definitely come back place kid spacious room kitchen would MUST . hotel ton potential sure price suite lot high re - do . take advantage hotel ! also not forget stop 26th floor drink restaurant view amazing food . 
 May 4 2008 	 buck place would 4 star 	 stay Beekman Friday night . far east side , typically safe free street parking weekend . that s worth $ 50 right . also away NYC night life relatively quiet night . that s good high rise need 30th floor get away noise light . upgrade large suite basically one bedroom apt . like many NYC apt , bathroom kitchen ( not use ) small . carpet 10 year past replace . except shower head , bathroom 15 year past due upgrade clean . tv ( 2 ) old old channel change knob ( close ) . dining room table large enough seat 8 think put fill large living room . couch something 1950 movie . owner put $ 2000 suite , would equal exceed well hotel NYC . 
 Apr 22 2008 	 Rave review staff 	 daughter freshman Columbia University experiment different hotel attempt find hotel depend come city visit . Beekman Tower , find Hotwire email promotion , end search : ) book studio queen $ 190 / night weekend . arrive confusion front desk staff person train enter name without ' , printout ask sign wrong room rate . manager duty , Chris Brown , hover nearby quick jump , help resolve problem without embarassing , & quot ; trouble & quot ; upgrade we king bed suite , full kitchen , dining area , living area , two bathroom ....... view ! kidding want view , know full well get internet deal probably going relegate 2nd floor review room availability trainee , tell ( error ) could put we 18th floor . error discover , backpedal , give we great room price ........... fact , decide extend stay Sunday night , graciously honor discount rate night ........... ' ve read website hotel , rarely happen . addition , doorman advise we Saturday night not need pay $ xxx park car garage , city allow overnight parking street front hotel Sat 8 Monday ( tell we exactly duty , know car not & quot ; guard & quot ; entire time ) , save we easily $ 100 ...... restaurant top hotel ok , view worth concession dinner ............ unless night , definitely would not waste meal restaurant unless one spare . late lunch daughter track meet husband go restaurant later evening drink sampler plate appetizer menu , fine . oh , mention doorman remember name next time see we , save we parking fee ( tip $ 20 enough would expect treatment ) acknowledge us name . , will stay every time visit daughter ...... assume course get great rate , expect triple upgrade every time ... though would nice . 
 Apr 8 2008 	 Loved Beekman ! 	 husband return New York stay Beekman Hotel . occasion birthday thoroughly enjoy stay hotel . the room spacious two large wardrobe kitchen area fridge ( beer wine ) , coffee machine ( morning ) plenty towel bathroom . we eat Top Tower restaurant birthday really good meal . not drink bar look lively view place fantastic . the location hotel great - eastside full restaurant quirky little place . bit walking find . Lasagne italian restaurant serve fab lasagne ( ! ) irish bar Pig Whistle serve good food too . Breakfast Nations cafe across road really good set day 's sightseeing shopping . we ask would like car back airport arrange bell hop . yellow cab $ 55 include toll charge , set price JFK Manhattan . however charge meter go back , expensive . take offer car hotel price go back style limo . 
 Mar 31 2008 	 load room ! ! 	 check Hotel online , look room bit space chill . want disappointed , room massive . small kitchen area ideal living space huge . modern interior , bit & quot ; shabby chic & quot ; ideal place relax walk day . bad location do not mind walk around , use bus service run right past door . I suite ( smoking ) 11th floor , ak room high view pretty good . excellent week ! ! 
 Mar 24 2008 	 stay away ! 	 first , service : husband book hotel room Hotwire January 2008 three night March . room us three child , think well call make sure room go able accommodate we . call next day tell Beekman employee phone currently room one queen bed reserve , however additional $ 30 per night , could upgrade one - bedroom suite queen bed fold couch , . arrive Beekman , sign piece paper front desk say one - bedroom suite , however room anything . tiny room one bed small kitchenette ' . barely enough room roll - away . go back front desk tell gentleman mistake , reserve one - bedroom suite . say totally book night , apologize , start call around hotel Manhattan send we . assumption since arrive hotel late night , give one - bedroom suite away someone else . anyway , give we letter address " Affinia Manhattan " Hotel $ 20 cab fare tell we Affinia Hotel could accommodate we night come back next day Beekman would suite ready we next two night . take cab Affinia Hotel , find could accommodate five people either . send we back Beekman choice take tiny room deal . beekman offer pay cab fare Affinia Hotel , free breakfast next morning , first night ' reservation free . go tiny room , bring we roll - away husband sleep floor . next morning pack go front desk hold bag day make sure really suite ready we night next . woman ( Heather ) rude , patronizing , course explain entire story , know nothing situation , least bit empathetic . assure we suite book night next . go day , come back later sure enough , suite await we . room much spacious . still get roll - away , least nobody sleep floor . much dismay , receive bill third morning , charge we breakfast , cab fare , three upgrade fee $ 60 . complain front desk ( explain whole story ) take one upgrade fee , breakfast cab fare . mysterious $ 16 charge credit card assume roll - away , parking charge ' car . ' muster energy call point . prepay Hotwire three night , assume " first night free " promise never materialize . , room : dirty . old dirty . bathroom fixture appliance desperate need upgrade , mold bathroom wall around window , floor dirty carpet bunching fold place ( obviously need replace ) , water brown first turn shower , kind problem . heating / cool unit also difficult deal . one bed hotel room ( first night ) especially old dirty . hotwire hotel rate three - star . assume rating base lobby location alone . everything else mess . good thing room kitchenette . decent . would recommend hotel anyone , ever stay . location okay , restaurant across street call Nations Café ( believe ) good service wonderful . stay option , stay , call confirm reservation get person ' name speak . without , ' obviously liar , accord front desk personnel . 
 Feb 21 2008 	 mixed bag 	 ' really sure rate Beekman Tower Hotel , thing like … and thing detract stay may bother guest . first thing first : hotel 's north UN yes , bit walk 51st Street subway . M15 go along 2nd Avenue ( inbound ) 1st Avenue ( outbound ) , big timesaver . ' heck lot right immediate vicinity – ' mostly residential – quiet . make 26th floor drink , view 21st floor suite pretty cool . I book hotel two night find Travelzoo special ( $ 179 studio queen ) quite deal – roughly 400 sq.ft . space separate , full kitchenette ( include dishwasher , stove , wine glass , etc . ) , dining area , bedroom , private bath . ' convenience store across street breakfast fixing ; hotel provide free NY Times day linger - over - coffee enjoyment . 's problem ? well , allergy dust mite ’ flare - up year . ' ve since stay hotel without incident two night Beekman , symptom keep awake unable sleep . second night , NyQuil knock five hour , . wake symptom . also , room warm fan / cooler function ' working . alert front desk concierge leave message maintenance staff , far know , remain unfixed stay . find window open , though , get around problem way – leave one window open 4 inch day , keep open night thing well . I issue go NYC lead suspect perhaps room clean look surface . ' reluctant say could wrong experienced fluke … the bed linen certainly _ look _ clean , ' loss explain symptom flare . ( subside return home . ) perhaps sheet fine mattress old – husband complain sag side . I know hotel room never fully clean 's caveat emptor . be bad otherwise good value NYC . YMMV . 
 Feb 11 2008 	 good value good location ... good choice 	 stay one night business . price get via Hotwire ( 200 change ) , complain . location fine ( east midtown ) not mind bit walk real midtown hotspot . room much large accustomed NYC hotel , kitchenette . fabously decorate anything like , something need . find clean quite . front desk staff quite helpful . grab drink bar top hotel . fabulous view city . would recommend look honeymoon highly romantic special , lifetime desintation hotel ... quality , reasonably price hotel Midtown , good option . 
 Jan 30 2008 	 Beekman Tower - Fantatic 	 husbard , daughter+boyfriend stay Beekman Tower 3nights 24 January 2008 . daughter birthday present go New York shop ! Beekman Tower hotel brilliantly place - short walk 49th shop et al . two suite ( upgrade ) perfect stay . eat restaurant first evening ( due tired flight ) disappoint . view fantastic 26th Floor Cocktail lounge . actually use facility every night retire , really view breathtaking . our room furnish comfortably bed towel change every day ! staff accommodate bellboy hoot . daughter save go back later year planning stay again . this accommodation price correctly would highly recommend . also , across street UN Cafe - superb breakfast ! ! ! enjoy . 
 Jan 28 2008 	 3 Star Hotel 	 book room Priceline.com . look 3 4 Star hotel mid - town Manhatten weekend get - a - way . what get Beekman Tower $ 150 night . great price mid - town , lot desire . location ok , 1st 59th ... 10 - 15 min walk action midtown . good number small , less popular restaurant area . staff great , although wait 40 min get room . room studio next compactor room . so time time lot clank come next room . 17th floor , view 1st street head north . room clean enough -- room need face lift . carpet old tired , feel like stay someone 's grandmother 's house . 
 Jan 24 2008 	 Fantastic Hotel - great value 	 start ? think hotel go would typicl value money type hotel get great deal . start properly say hotel room fine comfortable , clean functional spend little time hotel room holiday be busy explore . this hotel , functional , comfortable clean also add : spacious , huge , extremely comfortable bed , great maid service , great room service menu , great hairdryer ( hotel usually get tiny thing masquerade hairdryer Beekman ) , seperate kitchen / eat area , lounge area tv , prompt courteous service ( wait around minute buy additional pillow hairdryer ) great power shower clean bathroom ! ( shower awesome .. insignificant thing please ! ) location fine , grant not slap bang centre Manhattan like walk get taxi place Manhattan less $ 10 plus tip . take we ten minute walk Rockerfella centre five reach Times Square . also take around 10 minute walk Grand Central take subway place island . side note - want , central hotel might not mind short walk 's fine . but nearby UN Diner ( opposite ) great value breakfast well grocery store want take food back hotel licence . we find great little irish bar ( McCanns 1st ) really friendly cheap drink , two minute walk 1st Avenue hotel - head northward . there be also lot nice restaurant 49th street walk towards Rockerfella centre . the good part hotel lovely restaurant & quot ; Top Tower & quot ; serve food till 10 pm drink till 1 am . like great food drink , good service , fantastic nighttime view Manhattan great environment make sure use restaurant least one night can . the queue people we check compliment hotel check - out . when return New York future stay beekman highly recomment other . 
 Jan 17 2008 	 mixed bag Beekman Tower 	 room large NYC hotel room - suite , separate bedroom living area sofa bed kitchenette . room furnishing poor condition . first thing see walk room sight sofa stain fabric fray pipe around cushion . book Hotwire , know getting , worry really go wrong . fortunately , bathroom bed clean . staff helpful friendly . would consider stay , price location good , room would good family stay , kid could sleep one room parent . want room nice furnishing , would suggest choose another hotel . 
 Jan 4 2008 	 average well avoid 	 Beekman major & quot ; spend & quot ; week NY , choose spend night Queens save money , finish week couple night supposedly nice Beekman Hotel Manhattan . we book stay Beekman via online booking agent , problem begin . booking cancel Beekman due payment getting make time check - in book agent . problem guess , manager speak rude person meet NY week - obviously spot bother , good could offer we different ( less ) room , would ok , except insist charge we UPFRONT full room rate , plus . find room late notice NY next impossible , force taking room . try reason manager regard price , suggest rate suppose pay agent ( book ) approximately half value , refuse cooperate . perogative guess , terrible attitude general . the room indeed massive ( think one & quot ; studio & quot ; ) , different building , porter service offer . room fairly decrepit state ( possibly still empty ) , clean enough stretch . sheet bed also threadbare rough , expect pay US $ 450 per night ! good thing access ( old broken ) kitchentte , minimal street noise subject due location - necessary need window open ventilation cool heating speak ! overall , would recommend hotel anyone - book month advance , get lot nice Manhattan less money . could forgive failing not obnoxious management ever come across - hotel want accept business agent , accomdate problem , rather view mean double money . 
 Jan 3 2008 	 NY rarity - superb value hotel 	 wife recently stay short break holiday period . book several month advance get great rate . could happy Beekman . hotel locate 1st Ave near UN building . easy , pleasant walk 5th Ave / Rockefeller Centre everything Midtown . plenty taxi 's stream past hotel prefer . nearby diner local restaurant keep we well fed . the room kitchen , bathroom , large wardrobe sofa - great able sit , bed , day walk around . the Cocktail Bar top tower offer great view river across Brooklyn . martinis fearsomely strong . as frequent traveller NY past beekman represent something new surprising . quiet , clean , room large , staff pleasant friendly excellent value money . use hotel again . a niggle - carpet hotel could replace TV also show sign age . otherwise perfect . 
 Jan 2 2008 	 Perfect Price 	 stay husband Christmas treat ! room good size Manhattan hotel , spotlessly clean , spacious , comfortable importantly quiet . ideal location we , block hustle Mid - town great diner opposite , fantastic cocktail top floor hotel friendly hotel good neighbourhood . ' ve stay ny many year one good hotel . try ! 
 Dec 28 2007 	 wow Room 	 go group New York tour United Nations . UN block away ! room huge kitchen , living room bedroom . everything clean comfortable . lounge top floor perfect place drink relax . cab time square $ 7.50 . perfect place New York vacation . stop Pressbox Bar block drink bartender Shawn doorman , great conversation drink ! 
 Dec 23 2007 	 not hesitate . solid Hotel . 	 wife want something typical pricey Times Square Hotel please . unpgraded 1br could bring kid plenty room . end walk Times Square anyway , nice stay outside norm . very nice hotel . luxurious . $ 200 . well stay Marriott Courtyard ( usually ) . 
 Dec 16 2007 	 great mini break 	 stay 4 day , excellent location , easy walk distance time square , shop etc , hotel quieter part new york overlook east river , far La guardia jfk airport , $ 45- $ 55 dollar transfer , hotel organise limo call taxi 's collect hotel , expensive though . hotel clean staff helpful , heating suite effective , hot time , turn , one comfortable bed ever sleep , handy kitchen seperate lounge . great time , would certainly go back hotel , everyone go new york die ! ! ! ! 
 Nov 13 2007 	 Loved Beekman - Old School Class 	 beekman amazing . stay 1 bedroom suite great view . get room $ 112 night last minute ! locate centre tourist Manhatten find refreshing . stay near Times Square participate tourist life nice come across feel like residential area . restaurant nearby quaint feel safe area . enjoyable stay great end NY holiday . 
 Nov 7 2007 	 would stay 	 front desk guy really helpful accommodate . check late , not room view leave , put we room little street noise ( 2nd preference ) . view build next door ( great ) , least not noisy . stay one night bed comfortable , room clean , showerhead pretty good water pressure . one bedroom suite use credit card point . although , good experience , would not pay $ 300 night ( include taxis fee ) . location pretty good also . walk theatre district pretty nice stroll ( even heel ) . 
 Nov 7 2007 	 Real Downside 	 get back ny - stay 4 night Beekman Tower Hotel . real problem . room basic clean handy kitchen area . 4 chap one room request extra bed provide . 49th street 1st Avenue close enough action 14th floor not hear much traffic noise early morning . use cab - expensive get one second - 13,000 New York believe . also underground $ 7 2 day unlimited travel - great idea beat bus . Iris bar everywhere - 3 round corner - good food Clancy 's Jameson - well booze selection too . the Beekman good base hear unless want pay serious money will not much well 
 Nov 6 2007 	 Sleepless Beekman 	 experience Beekman terrible . per review , picture internet way represent actual room ( exception curtain ) . room hot turn airconditioning , actually blow hot air . husband wake 4 am scratch constantly due severe itchiness . turn light pull cover back , find little black bug bed . go front desk ask change room immediately , tell we go back upstairs , back bed , would accomodate room change we next morning . honestly , go back bed know bug ? book stay three night leave 4 am ( internet provider book helpful help we get reservation ) . cost hotel expensive . would well stay 2 star Day 's Inn suppose 3.5 star Beekman Towers Hotel . 
 Oct 28 2007 	 bad hotel poor service new york city 	 bad hotel ' ve ever stay . lifetime traveller , someone frequently stay New York hotel , end pit usual booked.1 ) staff attitude . front desk manager , man name Chris must graduate Al Queda School Personality Dynamics , , without doubt , hostile service employee ever encountered.2 ) 2007 , New York hotel heat , television internet not work ? ? ? spend nearly two hour phone trying get online , complaint heat television result NOTHING.3 ) nearly $ 500 night , would do well sleep cab night would whole lot cheaper.4 ) college course entitle , & quot ; Treat Guests - Case Study Beekman Tower Hotel . & quot ; word , not . 
 Oct 27 2007 	 Beekman need facelift ! 	 high hope Beekman , base Trip Advisor review . hotel hover acceptable level . true suite offer plenty space family four spread -- 's large living room tv separate bedroom parent ( also tv ) . bathroom bedroom rather small . bathroom clean enough , lack nice fixture amentie Sheratons , Westins chain offer . sink fill water quickly careful cause flood . entire suite desperate need makeover . fabric date dreary , wallpaper peeling , carpet bit thin stained place . warm NYC visit AC bedroom work . large portable AC unit sit bedroom , remote control cause turn . able open window , course , noise traffic 1st Avenue make difficult sleep . bed far comfy & quot ; heavenly & quot ; sort many hotel offer day . linens & quot ; vellux & quot ; -like blanket far luxurious . sort dry matter bedroom blanket -- well think might ! suite date kitchenette sticky handle refrigerator door long dark hair sit countertop -- , exactly appealing . stay Beekman base company 's arrangement hotel , would stay beekman choice ! 
 Oct 25 2007 	 Great Hotel - bit far centre 	 want one bedroom suite stay Beekman look ideal - plus get reasonable rate . arrival , initially bit disappointed have imagine room would little big photo would see , stay actually great . 16th floor good view NY city - quite spectacular night ! sofabed bit uncomfortable son put mattress floor perfect - maid make we ! suite beautifully clean every day - sheet , towel etc . kitchenette ideal 's grocery store conveniently across street . downside distance everything - subway 10 minute away either walk place ( 20 - 25 minute Times Sq ) try get taxi . walk fine factor walk around sight be go see well ........... get bit tired ' the commute ' end 6 day . Recommend Nations Cafe across road fantastic American breakfasts'Lasagna ' restaurant 50th 2nd fab lasagne . Top Tower Beekman great view expensive ! 
 Oct 23 2007 	 old class pearl 	 perfect romantic getaway son bear . location good , view fantastic ( least upper floor ) room comfortable , quite home - like apartment . love Sky Bar top ! 
 Oct 14 2007 	 spacious apartment - like room 	 midtown hotel must among big room ny offer . room big average New York apartment . also come hefty price tag , around 470 dollar night , include various taxi levy Bloomberg . stay UN General Assembly , price outrageous town . guess get much well rate UN 's off - season ( hotel next door UN seem cater delegation ) . term design furniture , be nothing write home .... usual heavy American Grandpa style find hotel around country . 
 Sep 4 2007 	 Art Deco 	 Agree review - nice hotel , huge room complete dining room kitchen , quieter pleasant area city 's handy central location . great ! staff slightly stand - offish though be not NYC stereotype ? great place ! air conditioning , convenience shop nearby close UN building . 23 story good hotel . 
 Aug 31 2007 	 1 Bedroom Suite - Nice size accomodation - quiet location 	 Beekman Tower nice place stay NYC want close midtown , beat path . locate mid east side town short walking distance United Nations . lobby small one clerk , nevertheless check quick easy . room 19th floor nice view . enter 1 Bedroom suite , thrill overall size accomodation . large size living room sofa chair , full size dining table , desk galley kitchen Living room area suite . kitchen galley style everythiing would need include stove , fridge , microwave , dishwasher coffee pot . layout suite nice lot room spread . bedroom small size , still nice . bathroom locate bedroom adequate exception shower , tub ( see photo ) . furniture decor bit date , traditional style cherry wood , like run uncomfortable , luxury , brand new style . real complaint hotel 1 BD suite really quite large pleased considering pay less $ 300 include taxis book Orbitz . money get great accomodation lot square footage convenience . another plus hotel quiet area without constant traffic loud street noise . overall hotel wonderful want extra space convenience . love stay Beekman Tower . huge room , quiet location , convenience . pleasant place stay NYC . 
 Aug 14 2007 	 fantastic UN Location 	 Friendly helpful Reception Porters ; must great view 26th Top Tower food come 1st floor not expect food match ( service ) ; reasonably price especially give location though may change renovation currently underway complete ; animal friendly ; many colleague find airconditione noisy and/or ineffective ; inroom kitchen facility great esp one stay awhile ; internet service poor ; another must art deco include brickwork East Tower lobby ; room large clean 
 Aug 6 2007 	 Perfect location accommodation 	 family 4 West Midlands England . return 6 day NYC . trip celebrate eld son 's 21st join 17 year old son . Beekman match expectation . stay NYC previous visit Times Square vicinity . much preferred Beekman location . quieter good restaurant within block . yes subway station close 15 minute walk Grand Central Terminal . room large , kitchen welcome , particularly fridge height summer . UN diner opposite good breakfast . check prompt , good service bellman helpful last day luggage transportation airport etc . would definitely recommend Beekman experience . 
 Aug 1 2007 	 fantastic view top tower 	 Fantastic view cocktail bar top tower . hotel block near subway purchase weekly subway ticket could make use bus . Suite large well stock little shabby . quiet area quite decent restaurant / bar vicinity . ever New York would use hotel , however beware cost park car whilst ny - could rent hotel room city cost night parking . 
 Jul 26 2007 	 Brilliant Value money - highly Recommend 	 Booked hotel lastminute.com read review Trip Advisor . pay £ 100 per night one bedroome suite huge sitting room sofa bed , fully equip kitchen ( dishwasher / microwave / fridge freezer / oven & amp ; hob ) separate bedroom bathroom . although decor ' tired ' , room immaculately clean clean even wash cup glass leave sink day . staff friendly helpful . beekman within easy walk distance fifth avenue / central park museum / shop . also lot lovely little restaurant nearby ( include brilliant curry house - Indigo - 47th 2nd ) . would recommend eat hotel worth visit top floor cocktail view . excellent diner deli across road . also worth use hotel car service ( $ 65 ) stress free comfortable trip back JFK . would definitely stay . 
 Jul 24 2007 	 amazing View ! 	 stay suite 24th floor Beekman . furniture decor seem new , less 4 year old , less great shape . carpet stain , tear couch . air conditioner not work . never bother tell staff weather mild not really need . suck next guy stay room hot outside . remote control not work . , place great money . suite offer two balcony overlook uptown fantastic view . staff great , elevator speedy . hotel great neighborhood Trump Tower U.N. within walking distance . would like point eat shop area , everything good ! business change hand often even point good restaurant , probably new management time get . 
 Jul 23 2007 	 surpass expectation ! 	 spend three night mid - week Beekman would go back New York minute ! studio Suite 17th floor roomy clean full kitchen include microwave dishwasher . even though arrive official check - in time , get warm reception staff instantly allow we use fitness room freshen boil New York heat . nighttime visit cocktail bar 26th floor must ! will recommend Beekman friend family top choice next time be NYC . tip : try Thai restaurant around corner 1st Avenue lunch . price dirt cheap food marvelous . 
 Jul 23 2007 	 go back Beekman 	 wife 14 - year - old daughter spend one night one - bedroom suite Beekman Tower May . enjoy take short weekend trip Manhattan fun whenever able get good price airfare . book hotel Affinia.com website , hotel part Affinia hotel group time book trip May . request get high - floor room balcony . vistas balcony 20th floor spectacular - almost unobstructed view river Queensborough bridge . one - bedroom suite plenty space . bedroom little small , Manhattan . live / dining area huge , double size bedroom , half bath . big enough house two fold - out sofas , could fold time problem . huge room . kitchen functional clean . location great , other say . 's quiet part town walk tourist business area reasonable . thing other say furniture merely functional little old side true . say , go back Beekman soon two - night stay . find hotel clean comfortable , ability child child share space without bedroom parent real plus Beekman ( several hotel own Affinia group ) . appear Beekman long associate Affinia group , long possible book room Beekman via Affinia website . hope quality property least equal quality Affinia hotel . think lot people not understand Manhattan hotel scene get reflect write review Manhattan property . hotel suite size one - bedroom beekman ( Affinia Manhattan , ' ve also stay ) decorate standard luxury hotel would easily cost twice much good day , get good deal . often , rate would three time much . check around see true . would guess one - bedroom stay beekman around 900 maybe even 1,000 square foot total . many , many hotel price range Midtown offer 300 square foot space money large one - bedroom suite Beekman . pay decent rate beekman , get lot money . 
 Jul 9 2007 	 fantastic time 	 first time New York , bit nervous stay city . want stay somewhere pretty nice , NY Christmas ! excellent choice . pretty much walk everywhere ... even get 5 am Christmas morning walk bottom island ( although take hour ) .We excellent service thorughout stay , staff always happy stop chat whenever need help question . we happy room , suite , sufficient ... even get kitchen ( although not really ever use ) ! , thrill Beekman Tower , would stay heart beat . 
 Jul 6 2007 	 Excellent 1 bedroom suite $ 179 	 see hotel advertise Travelzoo month ago $ 179+tax book immediately July 4th . hotel nice location east side 20 block firework . nice diner across street several restaurant nearby . 1 bedroom suite 18th floor spacious clean , like small apartment NYC . room kitchenette gas stove fridge . bed couch comfortable . window open 8 inch fresh air . parking $ 37 easily find free parking street 2 block away . bathroom small , care . would definitely stay . also , nice rooftop bar . make sure put disturb sign door , forgot wake 7:30am housekeeping . subway stop nearby , close 20 minute walk . 
 Jul 6 2007 	 Good Value part ! 	 return five night stay husband son . agree room little date one bedroom suite comfortable family . first appalled condition plaid sofa heavily stain adjacent coffee table . true spirit New York survivor , grab sheet housekeeping cart drape couch .. smooth sail quite comfortable family . true , kitchen bathroom old side clean functional . staff friendly , however , knowledgeable immediate area . , value good NYC . average cost $ 200 night . see many family check nothing smile ! doormen bell staff awesome seem run show lobby . good experience . not expect perfection family budget . Cathy , Arizona 
 Jun 28 2007 	 Service beyond Belief 	 car front hotel wait valet pick suitcase roll sidewalk hit car . knock quarter size piece paint fender big dent . ' ve experience valet do damage car deny everything . Kathi Suprek , hotel manager , tell happen take responsibilty . knock feather . get estimate send check right away . book one bedroom suite , huge . ask high room , view great . fully furnish kitchen . son live manhattan big apartment . Top Tower great . 
