first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Nov 13 2008 	 great room overlook Bryant Park 	 travel New York several time year , haveenjoye stay variety great hotel city . ourvery recent stay Bryant Park Hotel , though , easilyone well . we give great room - ' junior suite ' , overlook Park - upgrade , though have reserve bargainrate . room spacious comfortable , withup minute furnishing . bath , large , separateshower tub ! , also large , commodious , well - design , something unusual New York . wonderful , helpful , cheerful staff . , course , aterrific location , Bryant Park . 
 Nov 11 2008 	 Perfect 	 thing New York make happy park view room Bryant Park Hotel . supper green tree grass provide calm dychotomy busy city , winter ice skater seem peaceful . room fantastically modern minimalistic . service fantastic , anything need phone call away . stay multiple time hotel staff even remember name arrive . love hotel . ( breakfast bed package great way get room service , late check , great room , one ) 
 Nov 11 2008 	 Great Hotel Central Manhattan 	 second stay Bryant Park Hotel , every bit good first . room spacious , clean comfortable . room service discreet unobtrusive . location hotel excellent -- be midtown , good see sight get location city . travel alone need nice , quiet room city . room not view , good place respect . I recommend hotel unreservedly . 
 Nov 10 2008 	 Best Boutique NYC 	 4 - year old stay Bryant Park Hotel twice recently ( ' ve stay alone business ) complete agreement review , & quot ; Dad , stay every time come NY & quot ; ? ' ve several dozen hotel NYC recent year high end good budget . Bryant Park great location , room perfect blend elegant design real comfort attentive intrusive staff . room park offer peaceful view quintessential midtown city landscape . the staff exceedingly friendly efficient . recent visit receive complimentary upgrade without request . bathroom large well - furnish good hotel . bed comfortable sometimes wish not New York many thing outside front door . 
 Nov 10 2008 	 Best Manhattan 	 work travel industry stay many different hotel New York area . offer small room , noisy environment long walk main site . the Bryant Park Hotel none . staff unbelievably pleasant accommodating . room large , comfortable spacious . , centrally locate ; beautiful view park . I would definitely return hotel look forward recommend everyone know . truly gem hotel rate 5 star book . 
 Nov 5 2008 	 Loved Bryant Park Hotel 	 lucky enough travel world business enjoy good service exotic locale . thrilled find gem hotel right backyard Manhattan , centrally locate midtown . stay celebratory weekend boyfriend service impeccable moment arrive . staff ready willing help need concern . room — junior suite — huge Manhattan 's standard great view . plus Koi , amazing japanese restaurant , right downstairs . ( get Crispy Rice ! ! ! ) would definitely recommend hotel anyone . 
 Nov 5 2008 	 Excellent weekend NYC 	 stay Bryant Park Hotel long weekend New York celebrate 20th wedding anniversary . make book directly hotel , unlike other speak , flexible willing offer really attractive package . end junior suite , stress keen make memorable weekend , put we 17th floor fantastic view . mark special occasion , hotel say would provide complimentary champagne – ' arrive , speak receptionist follow morning apologetic . clearly , oversight arrive second evening . room really great – quite minimalist super trendy – large bathroom separate walk - in show large bath . Bryant Park deliberately stylish may suit traditional taste ; however , find service attentive formal . particular , concierge helpful securing reservation couple top restaurant . separate Koi restaurant bar – ' find time visit – public area small functional limited reception concierge . ' problem we want see much city possible , rather hang around hotel lobby . start look hotel New York , sheer number option daunting . first thing decide area base , although like idea stay trendy neighbourhood , decide classic tourist weekend take main attraction , need uptown . Bryant Park great location within walk distance many place want visit – Top Rock , Grand Central Station , Empire State , Theatre District etc . – within half block subway . even though two three block frenetic hubbub Times Square , Bryant Park Hotel situate relatively calm street 5th 6th Avenues , course benefit leafy oasis Bryant Park across street . finally , anecdote restore ( indeed confirm ) one ' faith human nature – get room , realise jetlagge state leave duty free shopping ( perfume , cosmetic , wine etc . ) yellow cab bring we JFK . great start weekend immediate reaction put experience write . however , realise still receipt cab see cab ' unique 4 digit medallion number . , long shot , call 311 get NYC Taxi Limousine Commission ( TLC ) give cab number . whilst STILL LINE – lady TLC track cab , call driver mobile phone ask drop lose property back hotel . impressed efficiency ( needless say ) thank driver decent tip . turn potential disappointment memorable start great weekend . 
 Nov 2 2008 	 great service 	 , like many other , really enjoy stay hotel . first time NY travel twin child age 11 . quite nervous gettng staff extremey helpful whenever ask question . ice cake far staff concern daughter collapse de - hydrated one morning room . call receiption within mintue doctor telephone suggesting take hospital . I panic not need worry . within five minute two membersof staff knock door tell ambelance way need help . everyone efficent ! ! . finally return hour later greet lot staff checkng ok . get room ballon say & quot ; get well & quot ; plus big teddy bear box ! card sgne staff . the check every hour see need anything always make sure plenty water room . front staff check everyday make sure daughter ok . not know hotel would give kind service ! ! ! ! ! ! ! would like also mention door staff wjo excellent . would like thank Darren Sumner oversee everythngthe big bonus park opposite hotel , every Friday summer free concert . week usher ! ! 
 Oct 31 2008 	 Brilliant Hotel 	 let start say hotel one good customer focus establishment ever stay fortunate stay many 4 & amp ; 5 star hotel . excellent approach new guest raise bar even repeat customer . my friend stay hotel make annual trip NYC Ireland . first visit , stay 2 Queen Bed Junior Suite terrace wonderful time book hotel visit October . restaurant Koi serve delicious japanese food bar / hotel young trendy perfect 3 young girl ! year want room however nearly twice price pay previous year . contact hotel directly chance could reduce rate slightly even provide we room without terrace would cost effective . within hour hear back Chris Jevas , reservation director . reduce rate match pay last year include terrace . a day arrive , Chris email apologise terrace unavailable due restoration reduce rate $ 130 per night . arrive hotel , get usual warm greeting concierge restaurant , club limo transportation book . one conierge even remember last year able recall certain story request ! friend go room unpack room service bring lovely bottle wine compliment Chris . take aback never expect appreciation repeat guest . I make repeat visit NYC tomorrow contact hotel . surprise , surprise give deluxe room view ( ask standard room ) $ 200 reduce rate . , say could cancel time without incur penalty . this hotel wonderful staff ( concierge , front desk , room service , door man , clean staff course Chris ! ) make . say might every taste trendy real lobby . addition , restaurant open evening serve Japanese might appeal everyone . hotel simply wonderful want excellent service , beautiful large room , young funky atmosphere , great dinner , excellent location extremely comfortable bed look . 
 Oct 29 2008 	 love small touch mystery envelope ! 	 first trip New York fortunate enough stay Bryant Park . travel world ' m well aware find decent place stay city hit miss , however hotel exceed expectation . it & quot ; boutique & quot ; , fashionably kitte provide we everything need . staff courteous friendly , ( although would appreciate inspire recommendation breakfast rather near tourist trap ) always hand deal query . not get chance experience & quot ; additional item & quot ; mini bar , although fun try figure exactly mystery envelope . will stay find though ! small touch set hotel apart opinon big chain . unfortunately not get chance check restaurant ( Koi ) Cellar Bar - look popular lively something would definitely check next time town . we fortunate enough get pretty good rate hotel , worth money unbeatable location quirki feel compare similarly price hotel . 
 Oct 22 2008 	 Fantastic Hotel 	 great hotel - good location staff fab ! Got upgrade free felt look . Booked HotelRes Ltd Cambridge , England . definitely recommend other want great experience . and HARD please ! ! : ) 
 Oct 22 2008 	 Amazing Weekend 	 go make annual trip NYC . hotel everything right meet we door , bring we Champagne , make sure everything room right . worth every penny would look stay hotel . pick one weekend package nice hotel looked not offer anything like . 
 Oct 20 2008 	 AWESOME 	 family spend weekend 50 bday . treat like royalty . three awesome room park view . darren somer front deske take care need chris sale make sure go smoothly . hotel blow away hotel nyc . 
 Oct 17 2008 	 new favorite hotel NYC 	 come New York L.A. 4 - 5 time year business , stay virtually every & quot ; hipster & quot ; hotel city - Soho Grand Royalton . Bryant Park Hotel far good ! service unparalleled , room extremely comfortable location convenient fashion / market appt . room outstanding - gorgeous view park , huge window lot natural light , quiet . also good - sized well - equip gym , open late . I ' m plan stay exclusively future trip , ' m go host client ' appointment suit rent event . definitely recommend ! 
 Oct 15 2008 	 nice hotel wish .... 	 research forever decide different hotel , notice great last minute deal Bryant Park able cancel re . book hotel . look review picture know go really deluxe place stay . love location , bryant park beautiful architecture building amazing . check great everyone accommodate friendly . check bag early explore day . room 1102 back building view whatsoever ( know , know , every room view ) . room huge ( especially NY standard ) bathroom really large . ok , fault mention anniversary trip ... perhaps would well room . complainer point negative ( opinion.of course ) ... bed really , really hard . platform bed home usually nice thick mattress type bed . even like sleep futon mattress bed seem like sleep cheap box spring type mattress .. review mention room seem sparse boring ( think upon read well , do not like modern / contemp style ) upon staying room also feel like need style , art , red bedspread .... something make seem modern chic sparse . , big deal opinion . lastly Seattle ( starbuck headquarters ) , really really would love coffee room morning least available lobby ( really be not sort lobby ) . try order cappucino next door italian cafe end 2 black coffee ... finally find starbuck side park . so nice place stay rate $ 300 can not imagine pay $ 600 + room 
 Oct 14 2008 	 Bryant Park Rocks ! 	 staff @ Bryant Park attentive detail seem genuinely concerned satisfaction stay . accomodate need pleasing way . enjoy Cellar Bar downstairs , , feel like make friend arenas hotel . 
 Oct 14 2008 	 nothing Beats Bryant Park Hotel 	 without doubt , good hotel city . travel city often stay many fine property NYC . Bryant Park quietly elegant , service first rate . room immaculate , comfortable spacious . location could also perfect . since LA , excited see KOI also . excellent ! hard please , highly recommend Bryant Park Hotel ! 
 Oct 7 2008 	 Awesome Suite NYC 	 recently stay Bryant Park Hotel two night . 4th time stay property love everytime . book junior suite upgrade full suite check - in . suite 17th floor face park . one bedroom suite dining / living room combination . time stay hotel always leave talk rain shower bathroom . luxurious bathroom shower incredible . water pressure secret shower . travel world numerous spa far relax shower around . spend day walk around Soho rest city extremely relaxing come back suite great shower . staff hotel friendly professional . fashion / celeb hot spot apart crowd . even though average people always feel welcome staff . eat dinner KOI , hotel , find food outstanding . this hotel pricey ; however , location overall experience make worth expense . return NYC stay . 
 Oct 5 2008 	 love 	 boyfriend return 1 night stay Bryant Park Hotel , absolutely love hotel . stay Saturday night , look fun , interesting hotel good , central location . staff courteous even upgrade we te junior suite . room huge , even & quot ; NYC big & quot ; - USA big ! , seem everytime leave hotel , someone take notice , everytime come back , someone tidy room leave we something special . oh , anything could possibly want find either hotel room , phone . luxury shampoo , intamacy kit , even white castle could deliver hour ( price ) . definitely stay Bryant Park Hotel . 
 Oct 1 2008 	 Best Hotel NYC 	 husband stay Bryant Park Hotel weekend getaway . stay numerous property throughout city pleasantly suprise hotel . moment check , staff accomodate nice . upgrade room impressive . we stay hotel near future want pass experience anyone look stay ny.the hotel excellent location park favorite spot sit coffee morning . 
 Sep 28 2008 	 great room location ! 	 stay wedding Labor Day weekend . lobby chic red . really love decor . room tiny comfortable modern . like huge flat screen tv location . club downstairs nice cocktail turning . order room service come within 25 minute . White Castle hamburger late night dining menu . $ 22.00 6 . worth every penny deliver hot room . give discount parking get ticket validate certain garage refer guest . plus . 
 Sep 25 2008 	 Rudest Staff ever 	 meet someone hotel sit tiny lobby wait observe rude staff treatment member public ever see . man , nicely dress , come meet someone stay hotel . ask use restroom tell one basement close one second floor accessible register guest . security guard aggressive hostile . customer service graciousness . go complain manager proceed defend security guard , come start tell say something guest use bathroom , say . tell man talk manager . well talk manger , head security not seem care . rude people . sure never stay hotel . 
 Sep 17 2008 	 safe clean courteous 	 need find Manhattan hotel seven employee ( include ) Canada . stay day , other need stay three week . group we , decide try phone hotel within certain radius hotel rate list website astronomical . two day phone call Bryant Park Hotel . find ! despite Fashion Week , give we reasonable price . first walk hotel upon arrival little worried & quot ; nightclub & quot ; feel lobby . see room , fear disappear . besides stylishly appoint , room clean , comfortable , bathroom gorgeous . turn , Bryant Park host several fashion function affect stay little . flash hotel & quot ; key & quot ; whisk crowd door toward elevator . woman tend feel nervous staying hotel alone . Bryant Park . always feel safe . not get chance eat dinner Koi Restaurant co - worker say fabulous food - especially fish . the hotel boom nightclub cellar never hear peep room . nice quiet . believe know work put we back hotel view brick wall building . however , one fellow want change street view , not problem . overall positive experience . 
 Sep 15 2008 	 worth money 	 normally not like spend lot money hotel room feel like splurge trip . glad ! ! staff extremely helpful professional . room good size . room lots extras ( seating , stationary , printer keyless keyboard , sound machine , stereo , go ) . like fact glass room , wine glass champagne glass well . leave watch checked actually receive back ! location great ! stay hotel enough entertain one night Koi Cellar . posh . ask bunch question entertainment planner , give great suggestion make trip thing suggest . would definitely recommend friend go NYC . location amazing ! ! around great stay . 
 Sep 15 2008 	 Amazing Location Great Staff Mediocre room 	 stay recent weekend trip . location PERFECT , within walk distance theatre , restaurant , bar , shop . staff also nice . guest young , hip , attractive . good part & quot ; VIP & quot ; access , albeit expensive , Cellar bar . downside , major one , room much like Ramada Inn uncomfortable platform bed . start $ 400 + night , think might able find well money ( i.e. , Royalton , Hudson , Dream ) . 
 Sep 8 2008 	 great NYC hotel 	 stay Bryant Park labor day weekend attend US Open . great experience ! perhaps receive upgrade suite , moment arrive leave , staff friendly , courteous helpful , service excellent room fantastic . suite overlook Bryant Park , one & quot ; issue & quot ; , noise preparation Fashion Week , certainly hotel 's fault . suite huge well appoint . platform bed take little getting use , , wonderful . living room two lounge flat screen tv , well iPod dock ( bedroom ) . bathroom well - fit , separate soak tub shower . Molton Brown product plus . example great customer service , tennis match , decide call hotel request book car service back city . 2 hour ' notice , several change pick - up time ( due match run midnight ) , staff ( wish could remember name ) helpful arrange terrific car service . this sleek , fashion forward hotel , use poufy sofas chintz . may everyone , look chic , lively place stay amazing location , may place . definitely return . 
 Sep 5 2008 	 wonderful Wonderful Wonderful hotel 	 ' stay NYC many occasion wish find Bryant Park Hotel early . book two suite room upgrade arrival corner suite . treat mother ' take NYC birthday present . room beautifully clean maid service outstanding . bathroom spacious – probably size ' ordinary ' hotel room city ! ' eat much hotel , however , mini bar ice bucket constantly check restock . nothing much trouble hotel love young style employee without hint stuffiness . a great location visitor June park great place grab breakfast read paper Sunday morning . park also host event Good Morning american fascinating watch . I would like thank Bryant Park Hotel make great holiday fabulous holiday . intend return December . 
 Sep 4 2008 	 can not wait return ! 	 return honeymoon New York could not choose well ! atmosphere sophisticated relaxed staff friendly professional . give we 2 3 restaurant recommendation excellent plus typical New York diner breakfast frequent daily ! room spaceous modern bed comfortable sleep soundly every night . central feel short distance anywhere Manhattan . park opposite amidst New York hustle bustle relax outdoor bar restaurant next door , even enjoy watch local play petanque ! wonderful stay - big thank staff ! 
 Sep 3 2008 	 Fantastic Hotel Park 	 wife & amp ; return fron New York week FANTASTIC stay hotel . consider location good world middle action . the staff attentive helpful whenever enter leave hotel . we ask ' park view ' disappoint , view excellent . room 's self bright bueatifully present , bathroom large well fit . one entertaining future us lift ( elevator ) would one get ! ! ! ! ! ! wonderful hotel would recommend anyone . 
 Aug 28 2008 	 love place : - ) 	 beautiful hotel . perfect location - right doorstep yet feel like beat track ! . moment arrive meet helpful considerate staff make stay fantastic . room really cool everything need - ooze style plenty space . cellar bar also great place hang late cocktail . ' m go back : - ) 
 Aug 23 2008 	 walking distance major attraction . 	 Great New York hotel central major site . walk distance thing Bryant Park opposite . arrive midnight Friday night ( fly San Fran . ) meet long queue party goer wait get hotel door club hotspot go . ( idea club hotel booking , silly ! ! ) travel day jet lag , feel tired , hungry , want bath etc , good thing meet scramble way entrance ! luggage take hotel lobby trolley , one drunken young woman check luggage label see anyone famous rather upset not ! ! ! staff friendly , hotel room lovely big , rare alot New York hotel . mini bar room service menu price , good hotel rather expensive anyway . complimentary bottle water would big plus point guest probably travel hour ( shop door away sell snack drink fraction price , turn right hotel entrance ) . tv internet not work , tell check , however place door away internet minute ( turn leave hotel entrance ) .bath big enough two ! ! ! Molton Brown product , likey ! ! ! also Pleasure Chest catalogue sex toy etc enclose envelope put bed ! ! ! ! jet lag , point think hallucinating seeing , good old laugh look ! though holiday scrapbook ! would certainly stay , room comfortable spacious , staff friendly helpful . location fantastic , save alot cab fare . do not hear unwanted noise nightclub downstairs . view room directly onto scaffold building site next door , not go way NYC stare window ? ! ! ! 
 Aug 18 2008 	 one Chic yet Friendly Hotel ! 	 husband take one year anniversary one good hotel ' ve stay . staff friendly one valet guy even offer find parking street we rather we pay $ 50 buck park garage overnight ! even came bring back car key we . we stay junior suite room definately big lot Manhattan hotel . everything spacious , especially bathroom . plus use Molton Brown product , plus . also , towel super soft ! thing not find lot hotel nowadays . they also free copy magazine near elevator , great . overall , great experience great view Bryant Park ! 
 Aug 15 2008 	 good NYC hotel ' ve stay ! ! 	 Perfect location , Friendly & amp ; helpful staff , great atmosphere , lovely well equip room wonderful bed ! really one good new york city hotel ! ! ' ve many ! come sure . ENJOY BRYANT PARK ! 
 Aug 12 2008 	 Rude Service small room overprice 3 star good 	 start call book room nasty un - pleasant reservationist bad attitude . I hang location near client.front desk record reservation checked inwaite 45 minute reinstate charge 150.00 quote confirm atsmall , dirty room call towelsavoid 
 Aug 11 2008 	 everything fabulous ! 	 location Bryant Park Hotel could well - right quaint lush park restaurant , bistros picnic table galore ! extremely near Times Square , Empire State Building , Macys short walk bloomingdale , Saks Fifth Avenue Central Park ! need use , fancy New York Underground experience , 's stop right end street ! hotel luxurious - modern contemporary ! Room immaculate housekeep fantastic - tuck service , chocolate pillow , relax music wait come back evening ! would recommend everyone ! ps . watch Sex City movie - scene Carrie jump car throw flower big wedding film right outside hotel ! 
 Aug 7 2008 	 Cool Hotel 	 cool , small boutique hotel . room large Manhattan hotel . room wood floor look Bryant Park across street ( small side street ) . night , not feel like walk , be ready coope , park relax place hang watch people ( drink cheap store - buy beer , although be park rule ) . Koi Restaurant hotel still trendy place local , absolute madhouse happy hour 10 11 night week . food fantastic . want tourist ( ) hotel 5 minute Broadway short walk Empire St. Building . & quot ; entertainment director & quot ; ( concierge ) book anything make great suggestion 's overhype 's . staff cool , . pop singer usher staying hotel . morning going put free concert Park , first morning , arrive night , crowd line sidewalk side outside hotel . walk hotel least 5 time past crowd , want try sneak lobby see usher , staff not give we second look , memorized face walk first time . great place stay . 
 Aug 3 2008 	 wonderful New York Hotel 	 stay Bryant Park Hotel towards end July weather New York hot get special rate standard room expedia . firstly location : could pick well spot hotel city . hotel directly opposite beautiful little park , wonderful feel , people sit around chat , read even play chess . park vibrant outdoor bar eat area popular work set 5 pm onwards also reasonably price restaurant . access rest city excellent subway couple hundred meter away many major sight Times Square easily within walking distance . add benefit airport express bus stop within couple hundred meter hotel , across park ( pay $ 20 per person return trip Newark Liberty journey painless ) . number place grab breakfast coffee within minute leave hotel . secondly hotel : hotel beautiful old building renovated contrast interior feel , modern , crisp chic . staff professional always appear plenty . dressed black staff leave doubt well run establishment , may little put fact show room key security enter lift , request always courteous surely add feel security . smooth check step faux leather line lift subdue red lighting lead well appoint room . way first stay New York nothing compare term size , room bed good size excellent bathroom ( bath big walk shower cubicle ) . whilst lack facility coffee maker ( real need due proliferation coffee house New York ) room flat screen tv , Bose CD player ( selection CD 's ) i - pod dock . view room stay ( 1501 ) pretty dreadful ( brick window building ) result blind draw majority time , minor point expect big city space premium time spend room minimal . overview : wonderful hotel experience moment arrive moment leave excellent location . would definitely return possible next visit New York although ' m sure would recommend mother may little contemporary she . a couple extra : full day tour operate Board Tours well worth money , give informative overview history city , also help get bearing . if look view city take one top Rockerfeller Centre ( Top Rock ) give good view empire state building . something little different excellent cultural food taste walk tour Greenwich Village operate Foods New York . get hustle bustle city one night head Greenwich village ( Bleeker street ) much relaxed evening offer good choice restaurant bar reasonable price . 
 Aug 3 2008 	 Fantastic Location 	 return 6 day New York . Bryant Park Hotel superbly locate - lovely walk front lobby see green space amidst skyscraper . concierge brilliant organising taxi , place eat etc charge service . son celebrate 21st whilst New York recommend Buddha Bar Meat Packing district - say 's good meal ever eat restaurant set really unique . Koi carp pool one end , low level lighting huge statue Buddha . would recommend 2 day hop hop bus service get flavour New York offer . not forget shop Bloomingdales Macys go information desk get 11 % discount card UK visitor . finally , travel Continental Bristol Newark prove good service especially return flight new plane screen back seat vast choice channel choose could not sleep . 
 Jul 26 2008 	 good 	 stay last week 5 night exceptional . arrive slightly check - in room ready we . bellman take bag we give we mini tour room . large consider centre Manhattan . bathroom really big clean , however really picky , shower curtain bit irritating . Molton Brown product much appreciate nice touch . the service staff excellent , especially since room key de - magnetise twice , say may due go lot security scanner major attraction . the location ideal . minute Grand Central Times Square , Central Park walkable take around 30mins . would definately recommend hotel . 
 Jul 25 2008 	 absolutely Brilliant Hotel 	 moment arrive Bryant Park Hotel staff brilliant . service outstanding room outstanding . deluxe room spacious , excellent bathroom shower , bed soooo comfortable . staff happy meet request whole feel place warm . will staying rave everyone meet . thank make stay MYC fantastic 
 Jul 17 2008 	 Great Location ; Clean Pleasant 	 spend three day Bryant Park Hotel last week one King Suites overlook park . the room HUGE , well - appoint , immaculately clean . marble bathroom size first apartment ! problem either plumb air conditioning . street noise , ' price pay park view . unlike hotel , elevator hallway well lit . the staff uniformly pleasant helpful . drama . problem check in / check . would hesitate stay recommend Bryant Park friend . 
 Jul 5 2008 	 terrific NYC Hotel 	 love everything recent five night stay Bryant Park Hotel . front desk , housekeeping , doormen bellmen friendly knowledgeable , room ( junior suite ) large big window give great view park , bathroom spacious luxurious hotel 's location NYC center everything . highly recommend . 
 Jul 3 2008 	 Great Hotel great location highly recommend 	 take train JFK Manhattan 45 min . arrive 3 pm really look forward chilling room not ready . go Bryant Park really nice open air bar . check , room great . good size plenty room . bath tub massive really look forward jump afrer 40 min give would not fill past two inch . staff really friendly helpful throughout . there also great bar stair which get really busy late night . popular local . no coffee make facility room not feel inconvenience really nice place two hundred yard leave hotel . the park opposite great place chill too . highly recommend . 
 Jul 2 2008 	 hand good hotel NYC 	 wife return stay Bryant Park Hotel . moment arrival check - out - every employee encounter polite , courteous attentive . not know kind employee ' kool aid ' place serve - service over - the - top . unfortunately due family emergency , 4 - day weekend cut short 1 - night getaway . front office staff extremely understand genuinely concerned . even check arrive home next day , front office manager send email make sure okay home . 's kind service one would never receive large international hotel chain . 
 Jul 2 2008 	 wonderful stay wonderful staff ... can not wait stay 	 fiacee begin honeymoon New York look around property somewhat trendy , top . Bryant Park hotel fit mold able get competitive price . staff incredible . always polite , kind , efficient . room ... amazing . wonderful bathroom soak tub , separate shower marble / travertine tile . roomy bedroom classy bright ambiance . concierge request room service deliver promptly politely . can not say enough Bryant Park . hope go back ( soon ! ) . 
 Jun 30 2008 	 Great Hotel Bad Service - Missed Wake - up call ! 	 stay couple night , hotel beautiful , staff friendly , blunder , include ask room clean room service night remove , bathroom bit dirty ( toenail telephone ? ) , deliver different bottle champagne order , bad ... not follow - through wake - up call request day departure . good thing not business traveler get flight right away ... be enough make sure never stay . 
 Jun 18 2008 	 classy place ! 	 book stay via Expedia bit worried would stuck broom closet room . upon arrival , ask upgrade room Park view Dante absolutely perfect handling request ( kiss Dante ! ! ) . although room ready arrive , absolutely shortage one Manhattan ! visit many time find enough diversion occupy room ready ! room immaculate , spacious natural light . not mind minimalist design ; limestone bathroom amazing -- much space . separate soak tub large shower room poweful shower head ( lovely Moulton Brown product ) ; farmhouse style sink lot room stuff ( 2 rectangular table ) much appreciate . flat screen tv , BOSE equipment ( radio CD player ) iPod hookup provide . not watch tv , necessity ; love iPod hookup , though . nightly turndown service provide chocolate sound machine bed . find staff friendly , hip professional . not go Bar try restaurant ( Koi ) , can not comment . try room service breakfast everything deliver request time . can not think perfect stay central location everything . impressive ! 
 Jun 14 2008 	 great location service 	 nice expensive hotel . much lobby place hang look & quot ; celebrity & quot ; supposedly stay hotel , except maybe bar restaurant . the room good size ( stay Bryant Park suite ) minimalistic decor . maybe simple taste . white plain wall large flat screen tv cheap look furniture . look like bachelor 's pad high class hotel . bathroom hand luxurious , full marble , large separate tub . bed extremely comfortable . good thing like location across Bryant Park great place sit relax people watch . for price expect well decoration room , although claim rug Tibetan . eat Koi excellent sushi , great environment . see also photo 
 Jun 3 2008 	 NYC Visitor Tourist 	 fantastic hotel visit NYC frequently familiar city . would recommend hotel first - time visitor family . type hotel find brochure trip Statue Liberty discount flier Broadway show . town visit friends family enjoy restaurant , nightlife , shopping culture city , great place stay number reason : ( 1 ) centrally locate , ( 2 ) great bar , Cellar Bar , good restaurant , Koi , bide time event otherwise meet friend , ( 3 ) room spacious compare NYC hotel relation price ( 4 ) service quite good , especially efficient check - in maid keep everything immaculate without ever see hear . also note room lobby decor modern minimalist design may appeal expect lavish set upward $ 350 night . 
 Jun 3 2008 	 stylish oasis tranquility gorgeous park 	 great time first stay Bryant Park Hotel recommend anyone look stylish comfortable ( yet outrageously expensive ) hotel Manhattan . I stay Bryant Park one night end May . hotel house gorgeous black - and - gold 1924 Art Deco tower overlook leafy park . location perfectly situate subway line east west side Manhattan . 's short walk Penn Station even shorter walk Grand Central Terminal . I warmly welcome hotel cheerful Anna reception desk . book Deluxe Queen View give room 1605 , wrap around northwest corner building . park view gorgeous worth high room rate . room spotlessly clean , oak floor modern furniture . bed comfortable . good palatial marble bathroom , giant tub separate shower fit marvelous , waterfall - generate showerhead . high - quality soap shampoo smell great . find room oasis calm middle bustle Manhattan . I visit Cellar Bar Koi , meet friend downtown one night NYC , breakfast read part Sunday paper ( provide hotel ) beautiful park across hotel . be like little slice Paris Manhattan . I search long hard hotel Manhattan 's prohibitively expensive also style distinctive personality . historic exterior , elegant interior , central location , spectacular view courteous staff , Bryant Park new home - base future visit New York City ! 
 may 31 2008 	 absolutely wonderful stay 	 Bryant Park Hotel wonderful property find island Manhattan . native New Yorker ( live Manhattan ) familiar typical hotel city bang get buck . Stayed Wednesday celebrate boyfriend birthday Bryant Park absolutely amazing . upon check - in upgrade standard room suite 5th floor overlook park send complimentary champagne . check butler came send carmel popcorn room compliment hotel . even though & quot ; complimentary & quot ; sentiment cost next nothing compare room , nice gesture hotel accomodate to . the room beautiful , clean , tre chic . front desk extremely helpful . complimentary magazine elevator . make birthday plan easy dinner Koi , pretty restaurant . over - Bryant Park hotel great place stay city close everything , far enough will not catch touristy hoopla . highly recommend 
 May 30 2008 	 Great Service Bryant Park Hotel ! 	 hotel well - locate right across beautiful Bryant Park . weekend , great beat path ( NYC ) still centrally locate get around easily ( especially bdfv right front door ) . hotel decor modern do well Molton Brown bath product great . importanly , staff Bryant Park Hotel renew belief good customer service exist . everyone hotel extremely friendly gracious . truly seem care whether pleasant stay . Everytime walk hotel , greet warmly ask ( way feel genuine ) whether need anything . staff actually want service ! particular , must give special praise Frank front desk . graciously correct mistake type room assign upgrade we junior suite happen available . moreover , tell spouse 's 35th birthday , send two cute individually - sized bottle White Star . like many utilize site , quite hotel experience , honestly say service Bryant Park Hotel well ever experience . 
 May 29 2008 	 great experience small gripe . 	 husband stay ( still stay ) Bryant Park Hotel . book week . hotel room nice spacious , location perfect . however , next time ' m NY , would try one ' traditional ' hotel like marriott perhaps ... somewhere hotel staff warm lobby feel friendly ... 's personal taste . overall , Bryant Park Hotel great . ' ve list experience below . check - in : quick , efficient , though impersonal . lobby : Smart , clean modern , small . quite comfortable - ' ve go ' modern ' contemporary point somehow not feel comfortable hang around . 's traditional lobby lounge seating wait get cosy . room : excellent size furnishing , bed comfy . bathroom big , clean modern , bath product lovely . 18th floor pretty quiet . reno do top floor hotel not disrupt we much ... hear occasional bump day . gripe wall waaaayy tooo thin ( faintly hear next room occupant talking / watch tv . fact , sit comfy bed type review , hear room occupant next door faintly moan bed squeak evening & quot ; exertion & quot ; ..... oh dear ) . also , next room 's door open / shut actually reverberate room , slightly annoying like sleep . bathroom gripe would shower - one ' rain water ' drippy showerhead mean be virtually impossible quick shower . doorman / man : usually present polite , not much . 2 set door lead street hotel lobby . one set door usually leave open , doorman often stand around chatting . half time , greet . dress black tee pant look like bouncer proper hotel doorman . get one set door , normally open second set door , 2 3 doorman gather first set door chat . House keep : excellent . room get clean tidy twice day , 's privacy button wish . evening , turn bed , turn therapy machine ( fill room soothe noise : ) , put choccie bed position slipper next bed , fill ice bucket . be lovely ! ! Room Dining : expensive . add 20 % tax cost food , plus $ 4 delivery fee . turkey club sandwich fruit salad deliver midnight , acceptable quality . dine Koi Restaurant downstairs one evening quality food good . Service Koi standard ( good ) , like would get Manhattan . downer Koi FROSTY hostess forget smile , even smile ! come across snobbish cold , even response goodnight leave . honest , Koi 's price , would well try nobu / nobu next door / london . image Koi project also somewhat contradict - restaurant charge top price , give wooden ' takeaway ' chopstick . also , decor mix casual bamboo funky ceiling . 's cohesive mix . internet access : charge , even though park across road cafe next door , be free . make feel little rip already pay stay . health club level 5 : great ! great range equipment room large . also towel provide , basket apple , water container , tv , toilet case . 's clean , presentable , quiet - user friendly . 
