nice 	 Windermere Hotel great location . conveniently locate near Victoria Station , within walk distance major site ( Buckingham Palace , Westminster Abbey , Parliament , etc ) , grocery store coffee shop . complimentary breakfast good service overall wonderful . room clean meet need . would definitely stay hotel . 
 May 22 2006 	 could Nicer ! 	 wife recently spend eight wonderful day Windermere Hotel . first , like location . within easy walk distance Victoria Coach Station , happen arrive bus Gatwick , 15 - minute walk Victoria Train Station . ' close 70 year old , find pleasant walk , even luggage tow . large , well - appoint double room tub shower low ground floor ( Rm . LG3 ) . room steps hall restaurant ' convenient quiet location . please ' concern noise come restaurant , relatively small . furthermore , wine spirit locate small area couple high - back stool next marble - top counter near center restaurant ; attractive discreet . might think read bar cellar . eat often , food drink always superb . but good wonderful people make stay pleasant . always greet desk smile ' hello ' . owner , Nick Sylvia Hambi , make sure hotel always run smoothly . Anna ( Jo ) keep room spotless . write , Nancy think fondly aki , waitress ( make great Manhattan drink ) Mehdi , Pimlico Room ' accomplish chef . past 40 year , stay many London hotel , windermere surely good . Pennsylvania , USA 
 Apr 29 2006 	 wonderful hotel ! ! ! 	 recently pleasure stay Windermere Hotel London . 7 day stay windermere wonderful vacation . definitely stay again . the whole hotel comfortable : dining room chair restaurant , lovely bed quiet room . certainly true motto ; & quot ; home comfort elegant setting & quot ; . staff warm friendly . everybody helpful polite must say , be nice greet every time smile . complimentary breakfast Pimlico Room Restaurant great . highly recommend dinner restaurant stay : quality food ( breakfast & amp ; dinner ) superb . service ( every level hotel ) high standard . enjoy stay hotel character ... , course , clean ! windermere Hotel : decor warm , comfortable , clean individual . free wireless internet bonus- lovely surprise ! merci : - ) , charming friendly small hotel London lovely place stay value money . people , location , hotel general ... everything comfortable extrememely relaxing . the next time ' m London .... & quot ; Taxi ! & quot ; & quot ; , Sir ? & quot ; & quot ; Windermere Hotel please ! & quot ; 
 Apr 1 2006 	 Hotel Windermere Review 	 stay 3 night Hotel Windermere , vicinity Pimlico district , Victoria Station , London . return . bedroom bathroom spacious , room clean , neat , sanitary , recently decorate modern decor , functional nice , tasteless . ( traveler would like decor fitting architecture surrounding . would nice - look hotel spend good money furniture look like buy mass quantity 1970 motel furniture broker ? ) tv work . big plus : room come wi - Fi internet extra cost . web site indicate room , informed , , room wireless internet . , work . also free use computer connection locate bar . gripe : room uncomfortably warm check - in ( probaby 80 85 degree F ) , despite discussion management , turn 3 radiator radiator nearby hall , leave window open entire time , room stay warm , make somewhat comfortable leave window open ( secure due gap window sidewalk ) . think room G3 must directly kitchen . felt like room floor heat instead radiator heat . Complaint first draw unnecessary , short lecture operation radiator heat , sort denial problem suppose . second manager receive complaint check agree problem take measure reduce temperature , still leave window open , make pretty noisy night . price : 109 pound . location : 10 minute walk convenient Victoria Station . find walk unpleasant , risky . would walk , even luggage , unless infirm must take cab , follow rule much good happen street 1030 p.m. anyway . word , walk quieter , residential street apartment . walk part way shop Colonnade south Victoria Station , enter south end station , mid - section without go way north end station . breakfast superb free advertise . restaurant locate low floor open public , sport good menu look pretty good , try , want get explore . would try next time . hotel bar . store , pub , place eat within minute walk area abound eatery . I would stay , , consider price heat , might try somewhere else . would specify room G3 unless htey assure heat situation control . overall : good experience , clean room , good facility , good location . 
 Mar 4 2006 	 Wonderful 	 spend 3 wonderful day charming hotel . everything perfect . staff efficient polite . superior double room roomy , king size bed good size bathroom powerful shower . towel thick fluffy . problem noise , sleep well . breakfast excellent , excellent cold buffet egg etc cook order ( none pre - cooked egg ) , particularly like scramble egg smoke salmon . dinner really good , fresh ingredient could even accommodate husband 's gluten free diet without fuss . location excellent . Victoria Sloane Square tube station within walk distance feel safe walk back hotel even night . on arrival give free map area advice go . even book we Hop - on Hop - off Sightseeing Tour London informative ( word caution wrap - up well - get cold ) .I particularly like free use internet . computer tuck away corner bar/ dining room . overall find excellent value price pay . back . 
 Feb 24 2006 	 average 	 family 2 adult teen stay Hotel mid - February . went & quot ; award win & quot ; recommendation Frommer 's . bit disappointed . place next small street close major street & quot ; room away street & quot ; tell , noise huge problem , especially try fight jetlag . room small ( rest London hotel seem ) . breakfast good , include . service lukewarm . price may bargain . Victoria tube station close enough walk , ' try first night . 
 Jan 9 2006 	 Friendly Hotel 	 spend New Years 2005 . cute hotel friendly staff . sure bring luggage narrow hallway stair , 's part character old charming hotel . the downfall person we never stop walk creak hardwood floor . love breakfast stair , way oversleep that . I would definitely stay . probably would not first choice week long stay , couple night , nice . 
 Dec 31 2005 	 Quite acceptable 	 windermere start point end point multi - week trip Europe . hotel , book internet everthing expect . excellent choice ! central location close enough sight yet quiet restful evening . wonderful breakfast , try resturant though . find Hotel Windermere clean , well keep friendly , helpful staff , especially Jo . ever occasion London start end point Windermere enjoy . 
 Nov 17 2005 	 Great experience 	 husband stay windermere two night November 2005 . cozy quaint little hotel . great location come see sight central London . eight hour flight Canada greet warm welcome even though arrive four hour early check time . luggage safely store await we room return sightseeing lunch . the include breakfast excellent ( usual half warm buffet stuff often include hotel ) . also enjoy dinner evening cozy Pimilico Room - great chef . we hope make Windermere home away home visit London . thank wonderful stay . 
 Oct 25 2005 	 Great Location Creaky Floors ..... 	 stay Windermere Saturday Tuesday October . location great ... short walk Victoria Station . breakfast great ... fresh . catch : never able sleep ! floor creaky ( swear Elephant we ..... constant creaking ! ) street fairly noisy . could hear front door opening ( slamming ) . plus , phone front desk terribly loud annoying . conclusion .... return Windermere Hotel . 
 Oct 5 2005 	 good thing 	 since rely trip advisor book hotel , felt compel give opinion . good thing hotel , misperception categorize 4 - star ( unless room vary widely ) . location great public transportation walking ; hotel clean , bed solid , staff nice . convenient breakfast , nice dinner one evening . however , room small ( problem , would expect bit price ) , walk top floor drag luggage one available help we -- hard 15 hour travel . also , can not help comment fact cloth head board bed spread somewhat grimmy dirty . can not help feel even London could pay less something comparable , really sway rating . 
 Sep 23 2005 	 Brilliant Hotel 	 stay number time Windermere Hotel , last visit last week . windermere , , perfect place stay London . always welcome smile whoever desk , whether Jo , receptionist , Sylvia Hambi ( owner ) . usually opt large single room double bed bathroom . mind 3rd floor 's bright quiet problem stair tell book room room lower . always dinner restaurant , tired busy simply ask Room Service ( excellent value delicious ) . constantly upgrade hotel recently instal computer downstair use guest , unlike hotel stay , free WIFI . breakfast excellent location great whether business simply enjoy sight London . definitely back . 
 Sep 13 2005 	 Windermere Sept . 	 husband stay windermere week double room second floor . room clean small expect . bed soft , room hot night ( air conditioning ) therfore , leave window open time . quite expect staff access small closet outside room odd hour throughout stay . breakfast good , able order egg addition cold breaksfast buffet . staff kitchen / waitress nice service food quick . staff working desk polite , however helpful suggestion area attraction . rely Frommer 's book information use information booth Victoris station . location great , able use public transportation week even walk site . overall , windermere good value London , however would not stay . 
 Sep 7 2005 	 fantastic place stay 	 come toWindermere Hotel month August one week friend . share clean nicely furnish twin room first floor quiet . arrive early allow leave heavy bag hotel whilst go also offer we drink wait . breakfast expect good thing include price . could choose buffet ( cereale , fruit salad , croissant , yoghurt ecc .. ) order hot breakfast ( egg , bacon , mushroom , sausage ecc ... ) kitchen . even dinner three time food delicious . recommend drink bar dine Pimlico Room restaurant whilst stay . even computer connect internet downstairs , free charge , find useful . overall , pleasant experience since room clean nicely furnish , service good staff helpful . hope return time soon ! 
 Aug 28 2005 	 good location good breakfast room basic 	 windermere locate area ideal enjoy walk want away city centre . walk along king Road across bridge Battersea park . something not plan bonus location . breakfast excellent staff pleasant helpful . someone duty night good become unwell kind helpful . however bedroom could done revamp although clean , stairs steep lift , public area cramp . windermere offer value money London price would not stay . 
 Jul 25 2005 	 Nice Visit 	 stay July 19 , 2005 one night . hotel nice , cozy clean . room en - suite ( # 36 ) comfortable clean . actually Premier Double Room photo website . nice standup shower double bed plenty closet space . locate 3rd floor hall / stairs narrow , like property . warm day London , open window cool fine . even sleep window closed fan blow . windermere locate quiet , clean well light street . 2 block away quite number restaurant . recommend & quot ; Chopstix Xchange & quot ; Wilton Road . super 4 course dinner . great price ! although 10 minute walk Victoria Station , take cab . 5 - 7 Pounds . well worth . roll suitcase several block ..... take cab return trip . early flight Gatwick would miss breakfast time begin 7:30 . hotel staff nice arrange cereal , toast jam , juice coffee us 6:30 . kind ! ! reservation Londontown find good rate include breakfast . would recommend property would stay . 
 Jul 23 2005 	 great staff nice facility 	 mom stay windermere 3 night really good experience . fly Gatwick able take Gatwick Express directly Victoria quick walk Windermere . staff helpful available 24 hour day . Breakfast include amazing ( egg make order ! ) . internet free nice . good location Victoria area able take underground place ( although difficult since arrive 17th many station line still close ) . would definitely stay : ) 
 Jul 11 2005 	 Windermere hotel 	 stay superior double room 3 night : - clean , spacious ( London standard ) bathroom , standard bathtub power shower- reasonable size room- friendly staff , try well fix problem , any- nice chef , excellent food , must try egg benedict- located quiet street manage get sleep night , even room ground floor- even though take minute walk Victoria station hotel , not walk , take cab , not want unpleasant experience night- consider Windermere go london 
 Jun 1 2005 	 great place stay 	 hotel less 10 minute walk Victoria Station , make convenient many bus tube connection . also less five minute walk Golden Tours , London Gray Line partner . within walking distance Tate Britain Parliament area . another advantage less 10 minute walk Roman Cahtolic Cathedral . the hotel restaurant , , though many other quite near , great long day walk sight seeing . menu change , enough choice . restaurant also fully license , mean sell wine liquor . breakfast serve restaurant include cost room . juice , fresh fruit combination , prune , croissant , yogurt cereal . several cooked breakfast also available . the proprietor nice helpful . staff consist several personable young lady man . stay 10 night , therefore , receive discount bill . room small plenty closet space drawer space nice full bath great thick , large white towel ! drawback might hotel lack elevator cover several floor . however , request ground floor first floor room , one ground floor . noise traffic , enough bothersome window open . definitely plan stay able return London 
 May 30 2005 	 Loved Windermere 	 spend 3 day windermere good place I ve stay . location central easy access main attraction . my room great spotlessly clean service every day . particularly like big fluffy towel facecloth provide . their food operation unbelievable . quality service comparable Restaurants pay 2 3 time much . this really little gem Hotel ! really recommend try food Pimlico Room Restaurant . this first Hotel stay high speed wireless internet access free guest . ( also fix terminal do not laptop ) homey place . definitely recommend . 
 Apr 24 2005 	 Clean Excellent Location 	 London , England , stay Windermere Hotel three night , April 14 - 16 , 2005 . hotel 10 - minute walk Victoria Station ; however take taxi Victoria Station ( $ 3.50 USA ) , lot luggage carry . room small , clean . room equip tv , coffee maker , blow dryer . stay third floor , get lot exercise climb stair ( lift / elevator ) . room street side , noise traffic around midnight ; however , bed clean comfortable trouble sleep . wonderful breakfast include morning -- order egg way like . hotel staff friendly helpful . 5 - minute walk Victoria Coach , catch bus morning sight - see tour -- great location . love . 
 Apr 8 2005 	 Loved Windermere 	 know time ago , however stay 6 night wonderful . twin bed room shower clean not think small London hotel . breakfast include room wonderful also eat one evening food excellent . also provide room service one evening exhaust sightseeing . staff friendly accomodating . would definitely stay would recommend friend . find neighborhood quite nice walk Victoria Station pleasant . thing would recommend give direction let everytone know go back station avoid long walk around front . 
 Apr 4 2005 	 nice location 	 spend one night Windemere fly back States April 1st , 2005 . good location walk away Victoria Underground station middle London 10 min . nice size room London nice shower although water pressure low . good english breakfast include room rate . would definitely reccomend . 
 Mar 22 2005 	 Love place ! 	 first stay Windermere 2000 daughter . staff amazing ! friendly helpful - chef even make we Cornish Pasties order ! stay February 2005 . little worried case not good remember . need worry , good , friendly ! staff even remember visit 5 year previous . second visit friend U.S. fantastic . clean accommodation , superb breakfast start day , excellent evening meal restaurant , professional service . close walk Victoria station Buckingham Palace . good value price location . definitely back . 
 Jan 4 2005 	 great place stay ! ! ! 	 wife recently stay 3 night windermere really enjoy visit . room clean comfortable . room bathroom small modern . near tube station Victoria take 10 - 15 minute walk . previous reviewer note area unsafe time not notice anything ordinary . overall , excellent stay highly recommend ! 
 Dec 21 2004 	 Great Place stay like home 	 great location clean hotel . owner great keep hotel cozy clean . breakfast good dinner good value excellent price . dinner menu good food excellent . knowledge owner staff fanstitic . location excellent close underground station tourist attraction . staff owner make feel like home . stay 16 time would stay anywhere else . 
 Dec 12 2004 	 solid 	 live England States . recently spend night Windermere visit London . travel alot state overseas . hotel , price , one good stay . travel outside States first time remember hotel England like US . measurement like bed breakfast . say 's comfortable , fairly convenient location , clean , include continental hot breakfast room . some detail . first location . hotel locate behind Victoria train station . be great come Gatwick since Gatwick train arrive . plan catch cab hotel haver bag . walk hotel ten minute without bag , fifteen . also , area marginal safety . travel alone , bag , etc . smart take cab . close tube ( subway ) stop Victoria . plan cab come back shop like . 's 3 - 4 pound one way . the hotel boutique hotel . 's one two room per floor . make sure not get one basement room ; would think would dark . room three - quarter size standard US room comfortable . non - smoking room really smell clean ( problem old , small hotel Europe ) . bathroom one preson time , clean adequately equip / stocked . bed comfortable . pillow feather . not see individual heating control , not look hard either . the hotel offer complimentary breakfast room rental . croissant , toast , juice , coffee , etc . be also no - charge option scramble egg , egg benedict , bacon eggs b'fast . 's good hot . even Sunday morning busy service good meal hot . the staff freindly service excellent . may seem like lot pay small hotel London , thing stand day , 's bargain . 
 Nov 12 2004 	 Excellent hotel 	 hotel good location ( 5 minute Victoria Station ) excellent value . the room nice . bathroom bit cramp , bad London . the staff friendly helpful . full english breakfast include excellent . very friendly staff hotel breakfast room . this hotel friend 's favourite year . talk guest , many repeat visitor many year . will stay next London trip . 
 Aug 22 2004 	 windermere great ! 	 wonderful stay Windermere Hotel July 2004 . stay two different day , begin end trip England . first night single room share bathroom facility fine . upon check last night stay England , upgrade single ensuite room extra cost , plus lucke room ready early could luxuriate private bathroom 3 week dormitory live . breakfast include price good , hotel 15 minute leisurely stroll Victoria Station . staff gracious friendly definitely stay next time England . really appreciate staff remember second stay early stay . 
 Jul 23 2004 	 windermere great ! 	 family four ( adult sized ) stay windermere week early July 2004 . positive review TripAdvisor big factor choice , accurate . stay one & quot ; family & quot ; room , friend live near London warn would small might expect , find roomy enough despite four giant suitcase . empty one build - in wardrobe put bed . ( actually , use haul laundry nearby Lauderette . ) room double two twin bed , comfy , good bath / shower . the food really good basement restaurant . ( neighborhood , basement outside entrance window , not put . ) dinner one night , breakfast every day ( part rate . ) superb . the owner staff ( young people - note Australian , Parisienne , russian ) helpful knowledgeable . Victoria Station 5 - 10 minute walk , least 3 pub nearby . hotel , 150 year old , quirk one would expect ( lift ) noticeably well - keep . would stay . 
 Jul 8 2004 	 Windermere - quaint London experience 	 husband recently stay windermere first ever trip London . think room quite small , read expect London . double private bath clean quiet . people front office nice helpful . breakfast include , downstair restaurant , quite good give we nice start day . warning , hotel bit Victoria station realize map website . carry luggage bit struggle end long day . real complaint apparently air conditioning fan availible help blow colder evening air . overall though , nice place stay . 
 Jul 2 2004 	 good value ! ! 	 son stay mid - June pleasantly surprised . neighborhood peaceful , yet quite close Victoria Station . room quite serviceable spotlessly clean . initially concerned sleep would problem due fact level restaurant ( ' m also light sleeper ) . luckily , fan room provide enough white noise wonderful night 's sleep . restaurant , incidentally , good . satisfy early dinner breakfast , include room rate , excellent . would definitely recommend Windermere not want spend $ 500 night , want comfortable , relaxing , friendly place stay . 
 Apr 29 2004 	 pleasant stay Windemere 	 stay windemere sometime 2000 live New Jersey , great experience . husband attractive room double bed quirkily shape room lot window travel companion lovely room two twin bed decorate yellow floral curtain bedspread . bathroom room ( ensuite room ) clean shower , sink , toilet . ) ( choose room call superior something like booking . ) room ( especially bathroom ) large american standard , ' ve Europe , will recognize size norm London . would stay online go England spring ' m think book second time . 
 Apr 9 2004 	 good value price 
 Apr 8 2004 	 problem Windemere 
 Apr 5 2004 	 Winder - crap 
 Mar 7 2004 	 back 
 Mar 4 2004 	 fail meet expectation 
 Feb 25 2004 	 Excellent Service 
 Jan 9 2004 	 could not agree ! 
 Nov 8 2003 	 Fantastic 
 Aug 19 2003 	 gem 
 Apr 25 2009 	 Parfait ! 
 Dec 20 2008 	 está mal para ir en verano 
 Dec 19 2008 	 Non avere pensieri : pratico pulito servizi ok 
 Jun 4 2008 	 charmant mais bruyant 
 Nov 5 2007 	 ottimo alloggio 
