nowhere 	 Cleanliness , oh ! room spotless arrive everyday would return smell new linen sanitize bathroom . location perfect , near souvenir drink snack . Ambassador suite beautiful roomy , two balcony , two bathroom , wow ! service spectacular , deliver three layer red velvet cake we honeymoon . value .... comparison . book room Amtrak huge discount … cab 24 - 7 front door , late check , view die , bus route L one block greek food . Plaza great , one nice hotel cleanliness service ; ' ve ever stay . thank staff make honeymoon special . see soon , come back . 
 Jan 6 2008 	 Nice Hotel 	 stay November 2007 wife attend conference . conference arrange hotel rate pay $ 201 + taxis per night , think fair rate spectacular value . the hotel seem situate little limb location - wise property pretty smart . king bed room end corridor . seem end room slightly small normal one due pinch bit space entryway . the hotel last refurbish ( whether new ' m sure ) 2005 still feel fresh new . room ok size nothing spectacular , bed comfortable good desk space work . tv nice LCD one large screen . bathroom little disappointing - basin unit seem something much keep Holiday Inn Express , minor matter . hotel restaurant good breakfast reasonable value , certainly compare UK price - not bother buffet , order something cheap menu fill nicely . the concierge helpful , get reservation last minute 10 people nice seafood restaurant . staff professional too . the thing not like hotel air conditioning . far noisy keep awake night , hence 4 blob rating . 
 Dec 8 2007 	 Great Hotel ! 	 great hotel ! within block Union Station . room clean spacious . hotel definitely appear recently remodel . staff friendly enough . full - service restaurant hotel . bit pricey , restaurant downtown Chicago . would definitely stay . 
 Nov 19 2007 	 nice hotel . 	 husband stay Crowne Plaza Metro hotel Chicago Marathon weekend ( Oct 6 - 7 , 2007 ) love stay . book travel company package deal - marathon entry hotel . first pick location west highway 94 , available turn great . Taxi 's always available outside hotel . spend $ 35 taxi 's two day , normally would spend $ 10 Visitors CTA pass . the hotel locate right highway super convenient . despite next highway , find room quiet . fact , 's quieter stay loop . hotel stay Chicago ' ve wake siren middle night , . highway dull hum . plus never hear door slam , another tv , phone person , nothing . never run anyone hallway . quiet . walgreen drug store dominic grocery store right next door . Greektown great place eat two block walk . the room nice recently update everything seem new . 's nice size bathroom ( good water pressure ) balcony . loved bed , pillow , linen - comfortable . $ 252 / night get pay . price location , breakfast include robe , slipper , chocolate & amp ; wine . get price NYC Fitzpatrick Hotel . the negative : 1 . overnight parking cost $ 35 / night . 2 . doorman tell we require take bag , think lie get tip . even rule , feel capable carrying bag ( husband build like linebacker ' m marathon runner ) . 3 . order dinner local italian restaurant difficult eat room without table . 4 . not like make carbon copy credit card . ask , desk clerk say would go account . ask long , course not answer not want argue . not think anyone make carbon copy more . we like stay . really comfortable enjoyable . 
 Nov 13 2007 	 Decent hotel parking extra ( much extra ) 	 hotel pretty nice inner - city hotel . staff polite , although rush . room small average , probably due city . my big complaint pay substantial amount room , pay another $ 35 able park overnight ! SERIOUS ? ! ? ' m country type person , pleasant experience . ' ve stay hotel away city much relaxed atmosphere . way & quot ; snobby & quot ; . definitely will not back . 
 Oct 29 2007 	 illegally charge Credit Card not ever stay ! 	 credit card file previous stay illegally charge later date ( month later ) remove charge . general manager Lenard rude not handle customer well . would ever give hotel credit card information . 
 Oct 25 2007 	 good amenity lille beat path 	 ' ve stay property Crowne Plaza refurbish . anice upgrade . location several block west loop north end Greektown . good food opportunity within loop greektown , Dominicks 24hour grocery store within block ( starbuck inside ) . room large side , comfortable adequate . immediate neighboorhood bit shabby , not seem dangerous . walk opera . 
 Oct 9 2007 	 cute un - chain - like ` ` boutique - style '' hotel 	 ' ve stay time . interior lobby area chic stylish room clean comfortable bed . parking expensive ( $ 35 night ! ) , will give tip - park one block next Walgreens $ 20 overnight parking ( in - and - out sometimes negotiate attendant even get reduce rate multiple night ) . find staff friendly not bother freeway noise mention . room little balcony . ten - block walk Madison take State street theater Macy 's ( formerly Marshall Fields ) , Filene 's Basement , H & amp ; , store ( great restaurant Burnham Hotel ) . restaurant CP adequate , kind comfort , diner food ; great glass wine . be $ 8 cab ride heart Magnificent Mile . 
 Oct 3 2007 	 amazing hotel experience 	 fantastic hotel . recently build amenity upscale hotel great price . even soap shower head stellar . front desk attendant incredibly helpful locate place eat hour housekeeping staff friendly impeccable detail . entire room clean bed impossible get morning - comfortable . flat screen tv cordless phone room along free high - speed internet access . downtown Chicago Greek town . 
 Sep 30 2007 	 noisy location obnoxious duty manager beware parking ! ! ! ! ! ! ! ! ! ! 	 stay Saturday , Sunday , 15th/16th September . first time Chicago , great city . this hotel location bit main city area right next highway . extremely noisy . open window peril . I say decent staff member come across Mitchell concierge Paul bartender nice helpful . front desk staff pretty miserable porter pretty crafty tip scheme go . arrive porter lift case cab put trolley take room . when checked turn around replace someone else . two tip five minute ! ! ! . sharp guy . but main gripe Jose duty manager car parking guy Saturday evening . leave hotel late afternnon visit elderly old friend live town not see many year . we real nice evening drive we back hotel ask drop minute quick nightcap enter hotel car park sign state ' Valet Parking . friend give car valet go insidefor drink . around 40 minute come leave go get car ask pay $ 10 fee front desk . plead ignorance do not know fee . it would seem sign state charge ' conveniently ' slightly angled face direction / away driver enter car park would need look backwards see . get leave car catch hook line sinker . driver certainly do not tell anything . ( Naughty ) say resident short time . I go hotel cough $ 10 would get car . absolutely shocking ! ! ! really upset old friend ruin evening . once leave went front desk speak lady duty . state nothing could . ask Duty Manager guy call Jose . I explain positionand suggest refund $ 10 due misunderstanding way thng do . say could not press point say quite strongly would not refund . say may consider checking could not give damn either . attitude obnoxious , brusque downright cocky would expect someone position . when complete comment card check guy desk say fee really waive . it transpire hotel car park main portico stand belong hotel find strange . apparantly private company make charge . it $ 35 park overnight . be one whole lotta cash day . so stay hear WAY . hotel need give staff lesson customer manner service . car park fee clearly display entrance craftily angle difficult see . 
 Sep 20 2007 	 Mixed Feelings Crowne Plaza 	 Booked room Crowne Plaza Metro Allegro didi not room . on plus SideRoom spacious stylishly decoratedBathroom good sizedeverythe cleanroom safe large enough hold laptopOn Minus SideLots traffic noise ( night ) nearby highway - guest provide ear plug ( ! ? ! ) help sleepphone room workcalle front desk use cell phone report phone problem say would send someone right check , one ever come Clock radio / cd player 15 different button could figure set alarm 
 Sep 15 2007 	 could not happy Crowne Plaza 	 stay Crowne Plaza Metro Labor Day Weekend 2007 ! book hotel throw Priceline . originally bit skeptical west expressway . however , arrive Chicago happy location price . check - in could not smoother ! first night 2 double bed room third floor . let upgrade king room second night sixth floor . room extremely nice . rating say 's three star hotel . , disagree would say 's like 4 star . first night room supposedly smoke ... could not even tell ! extra plus balcony . many hotel Chicago balcony ? ? ? many ! service also great . bell man bend backwards we ... maybe tip ! great location Greek town & amp ; Little Italy , easy catch CTA bus , quick walk Oprah 's studio , even Sear 's Tower . first day walk way Grant Park Magnificent Mile back hotel ... long walk ... hence blister ! would definitely stay ! ! ! 
 Sep 10 2007 	 pretty decent hotel would stay ! 	 hotel fairly decent location , basically Greektown restaurant shop nearby . right highway , cause noise though group not find unbearable . near highway make convenient we drive Chicago . hotel 5 - 6 block el train Blue Line stop Loop proper go anywhere else Chicago . never feel unsafe Greektown train even late night walk , least area . indeed , even late night seem enough people around feel isolated . finally , possible walk Loop , though be probably easy mile Loop . 's probably two mile Michigan Mile shoppingThe room perhaps little small , horribly pretty standard downtown hotel . also get balcony look . fairly clever way deal bathroom door would otherwise take space awkward open close - make door slide door ! Decor amenitie nice bed new / comfortable . maybe thing not care regard decor : 1 ) halogen light bed switch wall ( addition lamp though would get bed turn on / off ) . light either - pretty bright , 2 ) thermostat digital tendency blink brightly light turn . second night take cap hung thermostat keep room dark ( though not bother ) .staff generally pretty pleasant helpful , though valet night security Front Desk . request pretty quickly handle help make good stay . downside include second night stay large group handicap people hotel . , course , not problem handicap cause delay elevator . ' m sure , however , could ' ve do guest - connect group . guest room first floor perhaps hotel could schedule different elevator service ? parking expensive $ 35 / night , though 's price valet regular ( tip , suppose ) . read review , if / when return would consider look nearby option relatively less expensive . guess hotel take advantage people willing pay convenience . the hotel 's amenity - restaurant , business center , exercise room , etc . one comment not use they . overall , would stay area . 
 Aug 26 2007 	 Got bump send we 	 try get home , horrid day thank air line . nightmare end bump last flight home , Crown Plaza put night . First shuttle service airport great . friendly helpful driver . bus clean comfortable . make run back forth airport 24 hour day least every half hour . the people front desk check we quickly . know course bump flight planning stay , offer help could . cell phone almost die , way re - charge , one lady behind desk give phone charger use phone back up . our room fifth floor lovely . not anything view , point day want long hot shower good night ' sleep . speak , bed believe must fairly new comfortable . four fluffy pillow bed [ room two double ] , wrap warmth white comforter . bath find big towel ' ever see hotel . could easily wrap around left . Ahh … all lead good night rest much well look life five next morning get go back airport . love Crown Plaza . 
 Aug 18 2007 	 beautiful hotel Problem noise 	 room hotel beautiful . really modern fabulous decorating . stay 3 night . however , night , noise come air - conditoner terrible . hear noises city . hotel locate beside highway . noisy , 3 poor night sleep . management obviously not soundproof room all . it be beautiful hotel , really unusual problem outside noise . ( 8th floor ) would not stay reason . 
 Aug 14 2007 	 enjoy Crowne Plaza 	 thoroughly enjoy stay . hotel clean staff extremely friendly . location perfect we go Lincoln Park , well restaurant popular Rainforest Cafe , Hardrock Cafe , Ed Debevics Gino 's East . negative parking cost $ 35 / night , parking available across Expressway $ 20 / night . happy Dominic 's Walgreen 's across street last minute item well grocery . 
 Aug 5 2007 	 Nice Hotel 	 stay hotel Cubs game , Milwaukee day trip fantastic stay . aneminitie amazing , room cozy ... bar / restaraunt lobby extremely good time . Giordanos Greek Town within walk distance walgreen dominick right across street . you go take cab certain area city definitly one nicer , laidback establishment chicago ! ! ! highly recomende wile contact info . 
 Jul 11 2007 	 Nice hotel 	 stay 5 night Crowne Plaza Chicago Metro , June 12 June 17 , 2007.i stay standard room , non smoke 2 queen size bed . it nice room . clean , fresh , safe , comfortable bed , large enough , large bathroom . it nice flat screen tv 30 channel . room quiet could much guest stay Crowne Plaza Chicago Metro . it good water pressure shower 6 fast elevator , never wait elevator . air condition little loud , efficient make room comfortable . block Greek Town Chicago , go several time Pegasus lunch dinner . behind hotel walgreen front hotel Dominick 's grocery store , could buy water / sodas/ liquor / beer , fruit sandwich , convenient . use business centre internet access $ 5 30min . little expensive pleased service business centre . pleased stay Crowne Plaza Chicago Metro , would mind stay Crowne Plaza Chicago Metro next time go Chicago . 
 Jul 11 2007 	 trendy hip hotel 	 fiance stay Crowne Plaza Metro amazed . come onto Trip Advisor booking reservation see hotel newly renovate update amenity . plan attend Taste Chicago want something within walking distance , extremely expensive . arrive South Bend , Indiana South Shore train millenium station Randolph & amp ; Michigan . walk 12 - 15 block hotel bad walk . not want pay $ 2 get bus hotel planning get day pass get $ 5 . lot see additional people walk well feel safe . arrive wait long line give key within 10 minute . room beautiful . flat screen plasma tv , opaque window door bathroom , dim light ... trendy whole . room little small , 2 people fine . direct concierge Dominick 's ( literally across Madison street ) go pick $ 5 day pass bus use 24 hour swipe first time . HIGHLY RECOMMENDED ! ! ! different bus take we Madison , Michigan , Grant Park , Navy Pier . bus run every 10 min , not bad . parking lot next door hotel great way friend park cheap hotel park certain event friend even need parking . safe establishment . as whole experience wonderful make easy . recommend hotel anyone , especially anyone age 30 ( since trendy & quot ; IKEA inspire & quot ; hotel . ) warn , say locate Loop ... far west loop . 
 Jul 6 2007 	 great location 	 stay business trip pleasantly surprised quality room facility . lobby & amp ; room attractive , free in - room wire internet , charge local call 800 - number access , good cable selection . drawback parking valet ( even though lot directly front hotel retrieve car ) problem reservation ( single king , non - smoking , high floor ) end twin bed , fourth floor ( least non - smoking ) .The hotel inside greek town , walk south two block run series great greek restaurant & amp ; bakery . be also walgreen domenici 's ( safeway ) right next door anything else might need . 
 May 29 2007 	 Hotel Great 	 love hotel . 
 May 14 2007 	 Ikea Chic cheaply contemporary bad 	 partner stay Metro Crowne Plaza past weekend . nice , expect Crowne Plaza . like contemporary Holiday Inn Express . think , Target Ikea contemporary . internet require cord kind pain want use computer bed . website states marble bathroom , Crowne Plazas , standard tile bathroom , think vanity kind cool faucet , leave side kind make odd washing face . light bulbs one desk lamp blow light bed turn random . nice hotel though , however look luxury , would recommend either Allerton crowne plaza Intercontinental . 
 Mar 6 2007 	 Nice Location Thing worthwhile 	 stay Crowne Plaza Metro three consecutive week business relate function . room nice never experience problem housekeeping , , thing problem free . always request King Bed smoking room reservation , seem every Monday check , kind bed already occupy . know load group 50 people check get King bed . 4 meal order restaurant , 3 problem return . finally gave start go Greek Town . ' high - speed ' internet , dial - up fast . fitness facility compose two stationary bike , 2 tread mill , two elliptical dumbell . pool website show actually two block East locate Presidential Towers condominium . , may think real issue ... think 500 people vie equipment . group get great rate , 109.00 / night think get service . 
 Nov 22 2006 	 good service nice atmosphere 	 stay friend recent business / pleasure trip . location work well man , interstate right hotel . lady , option take cab bus various sight , end get several mile fun walk exercise instead . love Greek Town locale ; plethora interesting greek restaurant row Zagat rating , plus carryout place token pizza spot well . choose eat Greek Islands , excellent . aromas around area invite stroll around there . we not dine hotel , go dinner drink quite pleasant , though bit smoky bar . pay $ 110 room bid Priceline . room 8th floor . hear bit traffic noise , be bad ; like hum . dream machine bed CD soft sound provide ear plug , sleep mask lavender sheet spray . nice touch . bed linen nice mattress comfortable . there iron , hair dryer , makeup mirror , modern shower head , large corner desk , flat screen tv , safe 4 cup coffee maker ceramic mug . room movie available , classic cable channel free . daily newspaper provide . room spacious decorate earth tone . room balcony slide door . lobby modern oversized furniture decorate brown , black red . business center lobby several computer printer . small fee per hour , hotel clerk give we free access print boarding pass . friendly service another perk . hotel offer airport shuttle $ 25 . site parking , whether self valet , $ 35 day . small exercise room second floor 3 Precor treadmill , elliptical 4 Cycle Ops bike trainer . balance disk exercise ball two size , plus whole wall free weight . hotel advertise outdoor pool however cover winter . 
 Nov 8 2006 	 great place great housekeeping 	 mother - in - law , sister - in - law , stay hotel visit Chicago mid June , 2006 . room fabulous . bed one comfortable ever sleep . view fantastic . locate right greek town , plenty good food . every afternoon early evening could smell fresh baked chocolate chip cookie Dominick 's , grocery store across street . short walk Giordanno 's , BEST pizza place Chicago . bus stop across street regular stop . however , housekeeping leave quite bit desire . stay 3 night , 4 day . trash never empty . order chinese first night , bag continued sit leave . ask fresh towel . least make bed everyday . , service great , helpful , friendly . bellman always make sure know go left morning . nice man ! ! 
 Oct 30 2006 	 Super service Super friendly 	 October wife stay Crowne Plaza Chicago Metro . service outstanding . everyone hotel bellman bartender extremely friendly helpful . room delight . ultra modern decor welcome change typical Holdiay Inn , Crowne Plaza type hotel . well - equip exercise room . enjoy talk David , bartender evening cocktail hour . try one David 's blue cheese stuff olive . eat breakfast hotel buffet . good way start day . dinner hotel good . little expensive , Chicago standard , reasonable . another night eat Pegasus , greek restaurant two block hotel . assortment appetizer good . causal reservation require . probably downside distance hotel Michigan Avenue . however , 71 wife 66 walk hotel Art Institute Michigan Avenue less 30 minutesand enjoy every minute walk . . reviewer hotel outline way get around cab , bus subway . overall , great stay . 
 Oct 15 2006 	 nice hotel bed not comfortable 	 room great modern decor love Crowne Plaza hotel bed not comfortable . new bed new mattress . stay weekend friend wake low back pain morning . know people write bed comfortable maybe not update mattress . stay room 318 . room nice quiet . could not hear neighbor room hallway noise . room rate around $ 300 / night weekend luckily use point otherwise would pretty tick price lack bed comfort . everyone hotel nice would not recommend Dine restaurant 's attach - pricey slow service . food good 1 little piece chicken 4 tiny potato worth $ 16 ... mention $ 2.50 glass coke . want really good steak ask front desk direction Carmichaels . excellent steak service 4 block hotel . you be heart city get day bus pass Dominick 's grocery store ( right across street $ 5 ) . bus # 20 stop right front Dominick 's come every 5 - 10 minute . # 20 drop wabash ( 1 block Michigan Ave ) definitely worth $ 5 cold weather like . ready head back bus stop show # 20 bus stop sign right Michigan ( across Mill . park ) wait 15 min ask someone tell bus not stop weekend ... nice know not state anywhere bus sign walk block catch bus back . 
 Oct 14 2006 	 Cool Rehab Strange Location 	 freeway - side hotel Rodeway Inn since transform boutique - quality property . location either great horrible depend interest . right next interesting Greektown restaurant bar , also middle windy flat parking lot hard freeway . room slick - up flat screen tv trendy lighting , mine nifty balcony , albeit overlook directly freeway . staff helpful bar restaurant hotel nicely hip , offer quite good seat set - up single group . not mind walk bit , get decent attraction take cab . can not believe location outside hotel nicely & quot ; W & quot ; -ed . 
 Oct 14 2006 	 lovely hotel downtown . 	 hotel brand new nice public area , tasteful room great bed . bar / restaurant nice staff great . 2 minute walk Greektown load good restaurant irish pub $ 3 Cosmos ! get downtown need walk 4 block subway , get 20 bus accross road get loop walk mag . mile change El . night , use taxis hotel never pay $ 9.great not mind , certainly near Magnificant mile lake 
 Oct 5 2006 	 want business ! 	 hotel mixed bag . former Rodeway Inn , locate away central business district right expressway . be typically last stop airport shuttle , make long drive numerous central hotel reach destination . positive side , still quiet , easy walk numerous restaurant Greektown area , quite reasonably price . room modestly appoint , big problem overhead spotlight instead night table lamp -- mean bed unadjustable un - dimmable spot either face light . big problem so - call High Speed internet service , operate properly day , come nightime , like slow trickle . two call provider first night -- single e - mail take 30 - 60 second open -- result report indeed something wrong server . promise correct & quot ; ten minute & quot ; unfulfilled hour later -- business need wait . second call well . effort go directly hotel management disaster . female night manager pay attention whatsoever explanation already speak provider ( via 800 number room ) insist would send technician room & quot ; get connect . & quot ; IThat conversation get heat less productive , manager duty . finally give go bed -- without complete planned work assignment -- , go turn tv find work ! require get dress technician come solve problem ( quickly do , greatly annoying hour ot tech problem totally inadequate management response ) .to give credit , e - mail report problem directly Crowne Plaza corporate answered hour via e - mail ( work properly next day ) , prompt note different manager leave door ( breakfast voucher go unused , group breakfast schedule outside hotel ) . apparently hotel privately own , operate Crowne Plaza banner . if want quiet location , $ 7 - 10 taxi ride desire Chicago business tourist location medium quality room ... place . need business use internet , look elsewhere . expect hotel management listen responsive , run elsewhere ! 
 Sep 26 2006 	 great stay 	 husband stay business . service wonderful room quite clean update . bed amazing hardly want get . location near Greektown several tasty restaurant - Pegasus highly recommend trip Pan Hellenic Bakery . walk hotel city , straight Madison . might bit walk , walk Millennium Park 15 - 20 minute . despite front desk staff tell we would long walk , walk Little Italy huge dinner , take taxi back . area seem safe stay Crowne Plaza Metro good opportunity check neighborhood . 
 Aug 29 2006 	 Solid Hotel Choice 	 completely renovate hotel brand new facility room . location little way downtown , close enough get quickly transit taxi . event host pleased overall experience . the room comfortable nicely decorate . bed comfortable work space quite large well lay . find highway noise 90/94 bit annoying night would recommend ear plug truly noise sensitive . ( unfortunately , may make hearing wake alarm difficult . ) order breakfast food room service please quantity quality . meeting facility clean , efficient well - handle staff . overall , pleased stay . would recommend place folk need right next Michigan ave./millenium Park strip , want reasonable close place stay . Greektown / Randolph Street area nearby Dominicks Walgreens helpful convenience . 
 Aug 21 2006 	 great new hotel close restaurant strip 	 pleasantly surprise Crowne Plaza . firstly , note probably hotel pick town shop Michigan Avenue . be definitely 30 + minute walk , $ 7 cab ride Michigan . however , be town business ( Bulls game ) need close West Loop / Sears Tower / United Center / Greektown , great spot you . the room decorate pale green brown . hotel - chic . bed extremely comforable -- feather pillow ! lot . first check , bag bed fill lavender spray , eyemask , ear plug , think nice touch . bathroom really clean tea / coffee make facility provide . note hotel somewhat overlook expressway , be light sleeper , prepare dull hum traffic noise . thank goodness earplug . there be business center hotel 4 5 pc printer . use room $ 5 . 's 24 - hour gym , not check . mini - bar room , save we money , bad come home thirsty late one evening soda machine floor would not take bill . town wedding , rehearsal dinner Greektown ( three block walk ) wedding top Sears Tower , location perfect . also note huge Dominick 's ( Grocery store ) Walgreen 's ( Drugstore ) right nearby . plus -- two block awesome restaurant Randolph Street excuse eat hotel . 
 Aug 8 2006 	 little beat path great overall 	 come Chicago Lollapalooza weekend tough time trying find downtown hotel room . one room available Crowne Plaza Chicago Metro , book . little concerned location quite block Magnificent Mile / Grant Park site -- definitely & quot ; outside Loop , & quot ; public transportation convenient . highly recommend buy visitor pass use bus train . number 20 bus take downtown along Madison Number 8 Halsted Street bus great go game Wrigley Field viste northalsted area . close El station 10 minute away ( UIC / Halsted ) . walk take right Greektown area . room nice clean staff accommodate , friendly professional . next visit , might try something well location , would definitely consider stay . 
 Jul 27 2006 	 ok -- room tiny 	 hotel well decorate room furnishing nice . room , however tiny , tiny , tiny , TINY . barely room turn around . if try stick corner room , resist might . the rate good location good Loop business . 
 Jul 3 2006 	 worth every penny - even $ 50 dog fee 	 drive Windsor , Canada long drive 2 hour toll line ( not think ever drive Illinois ) , grouchy exhaust . drive hotel , lobby calming , modern clean . bell man valet friendly ( park $ 35 / night ) . unfortunately , tell not accept dog 30 pound . contrary website Priority Club booking site say pet accept restriction pet fee . dog around 60 pound distraught think head back traffic nightmare . thankfully , woman front desk say would ok long sign waiver pay $ 50 pet fee ( OUCH ! ) .The bed definitely comfortable find cross US / Canada journey . room incredibly quiet , location great . grocery shopping across street , drugstore around corner . be also step Greek Town , nice jog University Illinois , 20 - 30 minute walk Magnificent Mile . tell bus would take dog , opt cab driver take dog instead . cab cost $ 7 take we end Mile walk back . nice 2 hour adventure . order room service dinner find decent quality 17 % service charge plus $ 2.50 delivery . extremely expensive average meal . note traveller dog : - cab take dog ( ask ) partition cab separate back front- bus allow dogs- park ( one right start magnificent mile ) allow dog . sign clear escort security guard wander wrong one ( know ! ) - tell several leash park Chicago none seem walk distance hotel . 
 Jun 17 2006 	 Perfect hotel business traveler 	 3 room NeoCon trade show . price right room well design , exceptionally comfortable , clean , quiet . Walgreens Dominicks across street . Greektown restaurant fun . hotel service good . potential negative : Taxis must get Merchandise Mart anywhere downtown . refrigerator room . could use drawer space . 
 Jun 2 2006 	 pleased hotel price ! 	 stay 5 night May . hotel heart downtown , # 20 bus stop right across street take right town minute . UIC / Halstead El station 4 block away ( take we 10 minute walk ) .The hotel room modern , clean spacious . decor attractive . free high speed internet access room . bathroom lot counter space . bed linen comfortable good quality . our complaint refirigerator room . we 10th floor find room quiet . road noise never problem . there 24 hour Dominick 's grocery store across street Walgreen 's behind hotel . great last minute need quick snack way back night . we please rate . hotel town least $ 200 even gov't AAA rate ( close $ 300 ) , get government rate $ 135 ! ! sure , would nice stay hotel walk door city foot , would much rather spend extra 10 minute morning extra money spend sightseeing , take play , etc . we would definitely stay ! 
 May 25 2006 	 perfectly fine stay 	 stay 4 night Crowne Plaza conference attend UIC . normally stay close downtown fine purpose - location good UIC short cab ride Loop , etc . room quite comfortable nice , complaint . good security , staff pleasant . Maid service good . safe not work arrive fix within minute . website mislead : parking - choice valet parking hotel ( make sound like choice ) , park cheaper elsewhere want . not dine hotel , eat twice Greektown restaurant short walk away - dinner Pegasus ( good ) lunch Artopolis , nice casual , salad / sandwich type place plenty greek dish , cafeteria style ( wine available ) . be also stone 's throw Harpo Studios , husband suggest order flame saganake cheese greek restaurant , really must yell & quot ; Oprah ! & quot ; be also handy Walgreen 's stone 's throw hotel . also quite close Little Italy , highly recommend restaurant Tuscany - yum , one fave . would go back Crowne Plaza business area . 
 May 18 2006 	 Loved Hotel .. 	 Hotel stay great . stayed two kid .. love room , adore fabulous bed , although horrible rocky pilow . we really love gym also . hotel restaurant way expensive we eat , two block walk we cheap place eat Greektown also make several trip domenick grocery store across street . pizza fantastic . only problem prepay trip include hotel Crowne Plaza charge credit card room . go major hassle get charge credit . really happy .. would definately stay careful charge credit card . 
 May 1 2006 	 nice like truck traffic 	 first , remodel , place pretty shabby look . 's locate lousy area , close downtown , close I-90 , fact feel like highway . also , charge credit card even employer pay room advance , would not refund money accounting office open Monday . would never stay hotel . 
 Apr 3 2006 	 almost perfect ! 	 great attempt Crown Plaze venture & quot ; boutique style & quot ; hotel world . everything form lobby bathroom fixture modern contemporary design they . even trendy look sacrifice customer service ( great ! ! ! ) cleansiness . 2 issue location tip greektown expect good 20 minute walk get heart downtown / loop $ 1.00 local phone call ... ouch ! 
 Feb 20 2006 	 Excellent ! 	 choose hotel hard part planning trip . husband choose Chicago celebrate wedding anniversary . read review compare price hotel , Crowne Plaza Chicago Metro great choice . room clean , staff wonderful , site restaurant great ! site visit Chicago quick cab ride away . hotel remain list place stay Chicago ! 
 Feb 20 2006 	 Nothing Spectacular 
 Jan 1 2006 	 great Chicago Lodging 
 Dec 22 2005 	 Fantastic hotel ! great rate ! 
 Nov 16 2005 	 Great Night 's Sleep ! 
 Oct 31 2005 	 Awesome deal ! 
 Oct 25 2005 	 great great hotel 
 Oct 17 2005 	 fabulously Remodeled Hotel outside Loop 
 Sep 10 2005 	 Good Stay 
 Jul 30 2005 	 Remodeled- Great Hotel 
 Jan 16 2009 	 ? ? ? ? ? ? ? 
