3 	 book 2 room superbreak disappoint date room especially bathroom . friend room even bad dodgy electric although tv report not work one acturally go fix it . we ask soap would think would provide ! shower curtain rail place head , shower stuck body ! bar expensive 4 drink cost £ 18 ! however restaurant good helpful staff . when go breakfast queue horrendous , waithe good 20 minute ! although breakfast ok . no way 4 star hotel ! stay . 
 Feb 16 2009 	 good location Theatreland visit 	 book hotel one night stop see Hairspray 12th Feb due near Euston underground station good link Theatre Land ( case Shaftesbury Avenue ) via northern line . drive hotel boast number underground parking space access via slip ramp side hotel , route parking rather tight . warn take long vehicle ! cost park currently £ 20 per 24hour period arrange via concierge . staff warm , welcome professional ... absolutely complaint . public area seem well decorate clean & amp ; tidy . room , 4th floor , average size city centre hotel , show sign wear tear , old section premise structure probably date back 1930 's . wallpaper ceiling could refreshing , window quite old steel frame single - glaze & quot ; Crittall & quot ; type unit flaky paint limited opening . carpet fine limited furniture functional plain , otherwise adequate . similarly bathroom compact , utility grade , little worn clean , fine short break . thing note air conditioning . heat / cool room modern , quiet adequate . the room nice peaceful sleep well . our package ( via Superbreaks ) allow we complimentary bottle wine include breakfast . latter self service buffet , usual selection bread , cereal , full - bore - cholesterol - pack cooked item one expect . lovely ! travelwise , easy drive , avoid congestion charge be careful . 's 5 minute walk Euston Station tube , good bus route , tourist area readily reach quite directly . 
 Jan 31 2009 	 bad breakfast 	 arrive hotel , check - in fine . room clean nice size tv . heating low , however room hot stuffy . stay one night , not bad . location hotel not easy find exit Euston station especially foot , tuck away end Cardington St . breakfast experience awful , queue 20 min seat , several manager walk we , do not try resolve situation - warn other lobby go breakfast queue way stair leave , big wait . eventually seat around us free table , annoying fustrating wait long time ! ! staff respond slowly not hand - on - deck clear table ! ! manager seem wonder around aimlessly , leave computer Outlook e - mail ! ! ! ! queue cooked breakfast , take good 10 minute . table suppose bread cereal completely empty ! ! ! time get back table , coffee / tea 's cold ! cutlery dirty toast cold . food hot , luke warm , concern eat meat ! mother finish breakfast , time take atleast hour day ! check tell staff experience morning , ask refund full amount breakfast ( 13.50 ) manager none ! staff lack customer care . another man reception want complain parking , tell staff ' you will wait day see manager , mate ' - soon leave , staff sniggering laugh ! leave hotel feeling disappoint disgusted . 
 Jan 27 2009 	 bed small two biggie ! 	 book hotel part deal include 2 seat see Oliver ! seat £ 45 deal 2 seat + B & amp ; b double room one night come total £ 210 . great location Euston station underground . arrive immediately ask would like pay upgrade , decline . fatty , bed way describe double - turn unison ! three - quarter bed . push wall ( stop fall ) plenty room much big bed along wall headboard . brasserie over - price ( try ibis next door all - you - can - eat buffet , soup main course £ 12 - 50 . breakfast next day excellent , many people Brasserie could cope queue stretch two flight stairs restaurant - still serve end queue 11.30 a.m .. restaurant staff deserve every penny earn cope morning . 
 Jan 25 2009 	 Disappointing Visit 	 hotel 4 star public area charge 4 star price bar . room good size , decoration scratch , torn & amp ; scuffed wallpaper , mould around window frame . bath towel short one light work bathroom , ask sorted reception . bath towel arrive light sort , think may problem electrics room fan bathroom work neither one bedside light . these 4 star standard . however room quiet bed comfortable . I suspicion & quot ; one nighter & quot ; room shame book hotel traet 84 year old mum never hotel . 
 Jan 15 2009 	 CHRISTMAS FAMILY vacation 2008 	 Thistle Euston excellent place stay . friendly staff , on - time cleaning schedule , honest staff , clean safe environment . short walking distance Euston station ( Tube ) store , restaurant around block come station . Breakfast buffett include vacation package always menu everyday stay ( 6 breakfast day ) . expect stand line & quot ; rush hour & quot ; around 8:30 - 9:30am . expect decent 5 - 7 minute wait get seat . internet cafe around area north hotel bus transit station right next train / tube station . very taxi cab pass Cardington St little bit main road Euston St. Avoid ground floor section room little bit cramp . 2 small elevator use nice area lounge sit . 's bar / restaurant building . concierge helpful , hotel price varie book individually , shop good price . hotel & quot ; tourist hotel & quot ; expect crowded lobby time . good thing quiet , safe walk even 2AM , good jumping point anywhere London City either tube bus . hot water always available , coffee , tea hot water always need . clean do everyday . 40 minute LHR use private car / taxi . cost $ 135 convert . negotiate . 
 Jan 5 2009 	 Nice hotel small room 	 whilst feel comfortable hotel , single room book small . however , functional comfortable sleeping jet lag . also , reception staff friendly location brilliant Euston train station . outside hotel not look appealing , let put - nice , clean comfortable hotel . 
 Dec 22 2008 	 look good outside much inside 	 mixed bag emotion follow hotel stay Thistle . location indeed fab , be actually quite confusing find , try call hotel get direction one answer phone eventually hang up . checking - in fast , efficient friendly . manage get complimentary check - out 1 pm good , also get complimentary upgrade deluxe room . well would like see regular room ! ! barely move space , boyfriend sitting bed , could barely fit bed tv walk around . tea - make facility water ( BIG ) , mini - bar also frustrating , especially want drink water . bed comfortable huge , would expect deluxe . but main problem bathroom - shower work pretty well , side bathtub clearly dirty , dusty , also small hair , hope eyebrow . underwhelme . the cherry top check next morning , rude hostess barely looked treat like not deserve there . for price £ 80 lastminute.com , ok , will find London 3 - 4 star hotel , dirty bathroom really bring . also one large towel though say 2 people check - unacceptable . would pay full price - be go something crazy like £ 200 + . find much well hotel price London . 
 Dec 10 2008 	 bad room tire 	 book short business trip find hotel bit mixed bag . arrive early , 1130 expect send away friendly staff book room immediately thumb early check ! room however poor . single room although bed large enough 1 room bathroom small cramp , really ugly view onto rear station . room tired , small rip wallpaper furniture picture wall well past good . feel slightly tatty last decade . bathroom feel least clean . I eat restaurant use free voucher room free beer celebrate recent renovation restaurant . general fan hotel restaurant think food surprisingly tasty really enjoy meal . the hotel end high note allow late check meeting morning run without charge extra . hotel good enough quick overnight business trip holiday stay would look elsewhere . 
 Nov 22 2008 	 Four Star 	 stay 2 night 20th Nov 08 would call 4 star hotel . pay £ 40 grade 2 night & amp ; even room opinion executive standardmore 2 star 3 star push . breakfast usual food hot plate etcNoise lift & amp ; other walk by . search well find well 4 star Hotels London 
 Nov 16 2008 	 Give miss 	 arrive late keen sleep , give room ground floor , pleasant enough . road outside adjacent window seem quiet . Woken several time assume people walk past way home night , hear bottle clink . also hear snore assume wall thin next door . early next day , open curtain get great shock homeless man wrap sleep bag right next window bottle cider line breakfast ! close curtain keep privacy . breakfast arrive gobsmacked guy ask five pound cash ( mention breakfast label hang door ) . awful , hot food cold , toast cold limp , tea cold , milk warm , cereal order , plate scramble egg could double pebbledash . fact tempt feed tramp window could not open . sit drink snuggle back sleep bag . take photo check show receptionist also tell breakfast hideous . radiant smile maintain throughout not offer . will not return . 
 Nov 4 2008 	 disappointing 	 stay 3 night hotel disappointed room .It call deluxe would even 2 star room .it nothing like website picture small dark next lift keep we awake half night .breakfast meal would ok hot evening meal brassiere way overprice serve ie british cheeseboard danish blue , edam brie .40 minute wait course ribeye steak whe eventually turn like burger . needless say would never stay hotel . book special 60th birthday weekend hotel put damper wh weekendole . Disappointed Dover 
 Oct 24 2008 	 4 Star rating 	 location Euston Station convenient buffet breakfast include price great waiting staff attentive room disappointing . date bathroom disgrace ; pink mould grout , bath badly stain , crack tile extractor fan not appear work . mention thing reception tell housekeeping would deal return 12 hour later attempt remove mould make . issue mention time none rectify . 
 Oct 20 2008 	 really need .... 	 hotel close Euston station , may interest train catch want walk British Library . otherwise plenty district London go Euston . set scene ' highlight ' stay . I book 2 night single room , upper floor request . arrive early i.e . lunchtime quite prepared request simply leave case come back . later certainly happen , along complete indifference receptionist , signal level service follow . book 5 6 evening , ground floor room allocate ( ! ) . room initially look bad i.e . date decor reasonable size clean , chip tile enamel apart . becoming use rumble underground train think turn tv background noise . entirely non - functional ( cue Monty Python ' dead parrot ' sketch ) .. phone twice request deal receive response promise , go person reception . staff member seem know immediately talk ( apology attend 2 previous request ) . immediately tell busy , expect another coach load tourist ( know type hotel soon see designate reception desk sunwings/ Cosmic . whatever etc , etc ) lobby ) . immediately inform hotel full could move . say nothing apart point tv not work info fed unsolicite . think could tell face response unsatisfactory diappeare office male staff member appear ( ? ? duty manager ) . reiterate problem politely proceed agree plan action correct situation i.e . go short time , would someone go room repair . agree this . fool believe pay attention . return later evening find no - one room . return reception person , No - one delegate task , person come along , confirm tv defunct ( suppose might really dim think plug etc ) . ( pointed way ice machine paper cup holder , never address weekend despite staff memeber 's assurance ) . Hurrah say ' they change another room' . be phone say pack come tback reception . give key room opposite one leave ( ! ! ! ! ? ? ! ! ) . , make trundle back reception case rather someone deliver key ? . problem small room , look grimy enclose area beside main ventilation / extractor fan . Room looked really date . tired defeat go go bed . effectively downgrade fault hotel put first room ! ! ! ! ! ! good point ? staff breakfast really nice manner , know something customer service ( japanese Far Eastern race , simple observation ) .If want ' cattle ' experience overcrowded , busy , under - staff hotel , one . alternatively might look around find one many hotel London might offer well service . 
 Oct 20 2008 	 Relaxing Stay 	 partner book 3 night stay Thistle Euston Hotel . superbly place , 2 minute walk Euston mainline railway Station Underground direct line central London 10 - 15minute . on arrival find lobby impressive , clean upmarket . hotel clearly new front section old building back . give room old section back hotel , problem . room spacious overlook small park ( teenager gather evening ) . bed spacious , although specify double room phone hotel directly still we twin room ! luckily rectify check ! bathroom small , adequte . always clean serve purpose . room new widescreen LCD tv Freeview lot channel watch . room also good facilite hairdryer , iron board coffee tea make facility . also load drawer cupboard space . also safe valuable . we book breakfast , £ 13 per person , grab breakfast Euston Station , load eat place . tv / bar lounge relax massive tv watch wish . overall good stay , partner find room relax staff helpful friendly . look forward come back night long day sightseeing know comfortable room ! would adverse go back next time visit London ! 
 Oct 12 2008 	 enjoy exprience 	 arrive Thistle Euston exhaust long flght Sydney greet cold uncaring staff .... ask advice get around London forthcoming . would never stay . 
 Oct 1 2008 	 Nice hotel great location 	 stay 3 night early September . take chance & quot ; secret hotel & quot ; deal lastminute.ie base description , sneak suspicion would get Thistle Euston friend already book . say , impressed price € 75 per night know have get single room , disappointment room size like Radisson Grafton . Thistle 's single room big roomy Grafton sound insulation much well ! Breakfast not include deal , friend happy fare . check took arrive along busload Cosmos tour . another receptionist would help one girl try deal queue not enough . say , pleasant polite everyone . Iron , trouser press , tea / coffee facility , toiletry supply . comfortable single bed , bite wide average good pillow ! bathroom compact clean small bath , shower ample clean towel . nice big tv plethora channel ... intend stay watch tv stay ! air con , fan . ' m fuss either way aircon anyway ! bar staff lovely talk nothing much trouble . closing time little early be use hotel bar serve hour . remedied couple round deliver one room could pay cash put bill room . the hotel couple minute walk Euston Kings Cross St Pancras easily reachable foot . hotel look luggage day , check save we worrying storage due fly home . if be look good base expect frill , place . 
 Sep 22 2008 	 Avoid ! 	 book hotel specifically due proximity Euston station . room small dark . request double give twin room . bath tiny - ' m 5 ' 4 & quot ; even could not sit leg stretch bath . there also lot tv noise surround room - wall thin . the final straw night 4 am wake awful clattering / crash noise - someone drop lots metal chair 4 floor . second night work actually bar staff put waste glass bottle glass recycling facility . I never eat hotel can not comment food . the check - in area always busy - take 10 min check hotel seem under - staff . the hotel popular tourist charm every respect mean lobby always busy tour party coming go . overall would not recommend hotel someone business trip . 
 Sep 19 2008 	 Rude Staff 	 arrival Cosmos tour girl Cosmos desk help willing assist anything . receptionist also rude ask assistance get direction , tell part job . concierge also rude abrupt ask direction British Musuem . say walk direction ! ! ! ! breakfast day room a / c open window busy street . 
 Sep 15 2008 	 great hotel 	 great three day stay euston thistle hotel , staff friendly helpfull . arrival tell could give we adjacent room upgrade friend well room.the breakfast excellent far exceed expectations.the hotel well situate rock show 15 min walk away.very handy tube station 5min walk away . round good choice hotel 
 Sep 11 2008 	 dissapointing 	 book hotel Theatre Break package cost £ 170 twin room . treat dear friend many personal problem , need break . dissapointe room not please I . the bed fine , tea / coffee ok , breakfast ok . bathroom terrible state . bath dripping tap leave black stain bath 2 & quot ; 8 & quot ; hard water deposit discuste . 2 ' long piece chrome tubbe hang loose across tap , purpose . toilet flush make appauling noise . trip theatre order snack room service , take 40 minute arrive order wrong , phone ask correct order difficult converse someone limit english . correct order arrive 65 minute original order , could not eat want go bed . eat chicken wrap cost £ 20 . next morning complaining get £ 10 refund . 7.50am maid come clean room , still asleep . would recommend hotel anyone pay £ 50 night . habbit complain instance think necessary . 
 Sep 11 2008 	 Mediocre 	 Thistle 's location definite plus & amp ; first impression hotel 's interior 's worthy four star . our bathroom work fine & amp ; cleanliness throughout good . however , room small despite king - sized bed & amp ; in - room drink facility ( annoying have previously think ) .There mistake booking via lastminute.com & amp ; tell breakfast include & amp ; would charge £ 12.95 each . we eat hotel 's bistro evening & amp ; meal satisfactory , overpriced , particularly drink . service v - e - r - y slow & amp ; staff struggle understand English ( us & amp ; ) create confusion order . if stay Euston area might use Thistle good offer room price , thing being equal , would look elsewhere . 
 Sep 7 2008 	 location good thing ! 	 stay hot week London summer despite hotel advertising room air condition mine colleague . add insult injury window open inch provide ventilation room small date . hotel one close Euston Station get well rate room nearby Novotel ( halfway Euston Kings Cross Stations ) Radisson Grafton . 
 Sep 5 2008 	 Shabby poor value 	 fairly typical London hotel pricey terribly good . wife check come home afternoon get ready evening theatre , finish work . find staff unhelpful , poor command English , room ready . whenever anything request muttering surcharge eventually give upgrade . if superior room would like see bog standard . would well describe shabby , scuff mark wall tired looking fixture fitting . I get sample breakfast offering , leave first Eurostar day early . however , wife say good . it rather sad expect poor standard value money London hotel . european capital seem much well . 
 Sep 2 2008 	 rate 	 stay Thistle night Cosmos Tour , disgust put we ( arrival ) -in back hotel corridor fire escape twin room pay double . save grace bathroom large . leave luggage hotel collection return take husband 15min explain concierge little grasp English also cost we 14 pound . return room two twin bed push together bathroom small glad leave . would say go Comos tour stay somewhere else meet hotel day departure . we pay $ 600aud 2 night expect . 
 Sep 2 2008 	 ok 	 Excellent location near tube central london room disappointment - very standard accomodation , basis bathroom compare rest hotel modernfriendly staff breakfast certainly problem due large volume people find difficult cope , wait long queue seat wait get breakfast . I stay many hotel london whilst breakfast usually busy time , unlike hotel one problem cope volume people . 
 Aug 26 2008 	 overall wonderful place stay 	 great location ! book hotel promotional offer . review mix arrive 1st part visit small room 3 people amentie . tea , coffee cookie every night wonderful large breakfast everyday would fill lunch . Great Bar cute cafe big screen downstairs enjoy cup tea beverage look lovely park next door . also several good pub within minute walk hotel . staff helpful attentive well . hotel step away Euston Station get heart london 10 - 15 minute time underground . walk distance British Library , British Museum , St Pancras Station ( Eurostar ) would like go Paris Brussels Europe . 2nd return month receive large corner suite view park well . perfect room day long trip back state . one drawback wifi internet service ( $ 20.00 24 hour wifi connection ) . would recommend hotel weekend away family look experience London offer . 
 Jul 30 2008 	 Nice hotel friendly staff 	 excellent location near tube central londonclean nice room flat lcd face small parksize room good enoughfriendly staff speak excellent english , not trust negative review .. negative rush breakfast . could take 5 - 10 minute get somewhere sit .. 
 Jul 26 2008 	 good hotel 	 stay 6 night find clean , update , conveniently locate right near underground , quick access anywhere would want go London . staff friendly helpful . breakfast exceed expectation wonderful ! ! would recommend other . 
 Jul 22 2008 	 great . 	 either people incredibly high expectation Thistle really try hard turn thing around . the room perfectly nice clean , flat screen tv , en suite bathroom nice toiletry . front desk staff friendly professional , genuine . this not & quot ; destination & quot ; hotel pay around £ 50 , stone 's throw central London . see else get price , probably good value will find . would not hesitate recommend hotel . 
 Jul 21 2008 	 find somewhere else . 	 average large chain hotel average room average service , twin room 230 pound per night outrageous even euston location ( back train station even nice bit london ) . breakfast 12 pound english breakfast , music breakfast room interminable 80 cd short loop . matress ropey , linen hole , limited tv channel , bathroom small , shower ok soap etc poor quality . lack thing come 240 pound night . would not recommend hotel anyone . 
 Jul 21 2008 	 Fantastic 	 admit read review hotel dread weekend away book Omega holiday one night theatre break upgrade hotel nearest west end choice three .... amazed arrive beautiful hotel , highly polished floor polite courtious staff speak perfect English . could not check room 2 pm 11 am decide go walk , concerge take luggage we tell we come back ready check . return 2 pm promply show room duty manager could not enough help . room situate ground floor ( seem bad review ) bright , spacious , clean modern side twin bed room double request , figure would tired would fall bed anyway ... lol ! ! bathroom little bit date clean fresh crisp towel toilet immaculate ( something funny ! ! ) comfortable , noise free night venture Brasserie 33 full english breakfast , hot pleanty , staff lovely cheery smile helpful .. ( obviously appriciate work ! ! unlike people country ! ! ) check 9 am even though til noon leave luggage hotel time return train back home .. conclusion hotel idealy situate near local transpotation Tube , train , bus . clean , modern comfortable staff friendly , helpful extreamly polite . 
 Jul 20 2008 	 high quality 	 thoroughly pleasant stay food good Room excellent Staff manager care customer satisfaction 
 Jul 15 2008 	 like ! 	 read review reluntant stay hotel . we book promotion company part free plane trip little choice hotel could use . we stay 7 night . we pleasantly surprise hotel fine . the staff speak excellent English friendly helpful . the breakfast great ask quiet room get one quiet ( London noisy ) .The room small clean . the location next rail station tube excellent location . every night like come home quiet home London ( hotel next park ) .The negative July 5th large tour group come singe late night talk hall @ 3 4 morning . the bang door evident morning . the night ok.i would return enjoy hotel great deal . 
 Jul 5 2008 	 thankfully not pay 	 Hotel pay company ( £ 175 / night = $ 350 ) . would okay $ 50 . indifferent / incompetent staff , hallway smell urine , rock hard bed , foam pillow , dark room . besides slam door come guest enter leave room , clean staff morning would set dead bolt woud not open door go , would let slam time . horrid racket . can not really think anything good say whole experience . could not wait leave . 
 Jun 30 2008 	 vent atmosphere 	 Stayed sell we ' Superbreak ' 4 star hotel definiely . place lacking maintenance , expereince 2 room light do not work , room air con not work , tap loose . basement bar absolutely atmosphere night . 
 Jun 15 2008 	 Mediocre good 	 third time ' ve stay ( not book ) time put room & quot ; air flow system & quot ; despite advertise air conditioning . London summer pretty warm couple week old London building retain heat pretty unpleasant . bedroom look like last update early ' 80 apart & quot ; jazzy & quot ; new bedspread . handy station thing go . 
 Jun 13 2008 	 thistle euston london 	 stay 2 night 1 night , Room end long corridor , tea & amp ; coffee make facility room , plenty everything . bathroom clean necessary toiletry . dinner little slow side come , problem . it seem though employee non English , get by . very handy Euston station 10 minute walk St Pancras International station . would hesitation stay . 
 May 28 2008 	 DUMP 	 terrible room , like prison cell date unsafe furniture . window would not open , tea / coffee milk leave . bed liken mortuary slab . towel smell damp . pubic hair bath . staff report , member staff find speak little english . queue 30 minute breakfast , tepid good wait even long toast coffee . definitely one avoid . 
 May 24 2008 	 Tired Hotel poor service 	 stay 2 night business not impressed . reception staff welcome check take much long expect receptionist tap away keyboard sigh awful lot . throughout whole check process make attempt gain eye contact smile ... great start . whilst wait notice Cosmos desk tuck away corner seem odd business hotel . room small , reasonably clean tired date c1980 's need total refurbishment . Dodgy temperature control shower . tv reception poor aircon noisy . space work desk space take tv hospitality tray . go breakfast 6.35am walk room full elderly holiday maker US Australia ! ( Cosmos desk make sense ! ) . Breakfast serve basement restaurant , dimly light natural light . staff abrupt make attempt welcome friendly . tell someone would take order tea coffee ..... wait almost finish breakfast , leave table find member staff ask tea toast . standard breakfast buffet poor , especially not want English cook breakfast , obviously aim budget minded holiday maker . this hotel business people look good service somewhere comfortable stay . 
 May 19 2008 	 never ! 	 I ve stay hotel may occasions business last 5 year never again . my previous stay January be not impressed , various reason . decide give one last chance April , mainly becuase close proximity Euston make handy.this time arrive 8 pm check poker face woman . sorry say heartily SICK confront miserable foreign reception staff - usually eastern european - London hotel . deal quickly without kind welcome smile , get room appal . hideous . tiny , 70 's bathroom , brown stain net curtain , rickety furniture dingy . know enough place know well room decide go back reception ask change fire alarm go evacuate . all guest usher onto street instruct walk IBIS hotel congregate . know full well likely false alarm be not prepared walk street stand safe distance across theo road instead . I guest shout harangue various hotel staff insist walk IBIS tell stop try herd we like farm animal be not oblige move anywhere long evacuate hotel . expect , minute later instruction re - occupy hotel bark , take opportunity get first queue recpetion room change . same receptionist . tell be not happy room know well one hotel . tap away whilst look alternative ask problem original room . begin reel list , swear raise hand face interrupt & quot ; ok , ok , ok ! & quot ; . staggered suggest ask wrong telling stop tell ! ignore give new key comment & quot ; executive ...... & quot ; unpoken message do not come back becuase 's chance anything well & quot ; new room big still dingy old . whole place need total refurb . furniture like something junk shop . loo paper bathroom reply rang housekeeping , reception concierge . trek reception report person . terrible . the fact cosmo holiday company desk stick corner reception cover hand make poster sale sightseeing trip , massive tv screen bar show football say really . use nice hotel obviously use low cost package holiday hang . 's complete dump . take tip , stay premier inn IBIS less charge business rate substandard dirty old room . will never go back . 
 May 18 2008 	 great desk 	 wife stay total 25 night hotel.19 night april 11th . ground floor/ basement room , low grade furnish heating , table . desk/ dressing table properly attach wall . after toilet flush take 10/12 Mins refill . we choose hotel cheap last stay thistle Marble Arch , think probably extra distance.6 night May 8th . MUCH well room 3rd floor , make first room look like slum , like experience thistle Hotels . housekeep overall poor , item use replace i.e . shampoo , toilet paper , coffee sugar . a serious problem unable pay account use & quot ; DEBIT & quot ; card , cause several problem stay . will stay thistle ? ! ! ! brasserie 43 food service OUTSTANDING 
 May 7 2008 	 absolutely fine 	 bad place stay , well locate easy get . reception provide efficient service swift . hotel clean suitable brief stay London . room bit small , comfortable tv / radio . bathroom clean fault . good , price actually good . 
 May 4 2008 	 well expect 	 think good standard hotel price london . book single room , large expect nicely appoint . hotel staff lovely - friendly helpful - include reception restaurant . restaurant refurbish excellent meal there . the downside huge queue breakfast - breakfast standard hot buffet - fine . choose hotel next business trip . 
 Apr 23 2008 	 pleasant stay Thistle ! 	 short holiday London , book room Thistle . although review ' ve read positive , hotel seem good choice . quick check , pleased choose hotel . room nice ( book luxury room ) , although furniture , wallpaper carpeting bit date . importantly , everything clean tidy ! also bathroom ( big , small ) nice shower bath . ; clean tidy . book parkview room , recommendable . be nice view St. James ' Gardens stead gray ugly railway station . breakfast nice , nothing special ( buffet , coffee / tea toast bring table ) , although bit crowdy weekend . service desk good . concierge offer good quick service arrange top seat theatre show ( night sell show ! ) give we good tip nice spot visit . this hotel also suitable tourist ( like we ) want explore attraction London offering . 2 - 3 minute walk Euston Mainline station access Norhtern Victoria underground line , take main underground station within instant ( never spend 10 minute destination ) . happy choose hotel surely consider return will visit London ! 
 Apr 21 2008 	 Good Impression 	 husband stay Thistle Euston 10 day , ask travel agent book deluxe room full english breakfast hotel near underground station . give rooom first floor . fortunately , big enough quite lot space move around , quite relief , give number day spend . overall , room bathroom clean , maid change towel vacuum clean every day . would even nice hair dryer minibar room , kind usual three - star hotel throughout Europe . would also great internet access include room price , also customarily hotel range Europe . the hotel staff , include reception staff , waiter , maid concierge helpful nice , despite fact hotel huge number customer , course , must attend . thistle hotel use transit many large group tourist go tour Europe UK . wonder long queue breakfast , mainly 9 . however , staff restaurant manage keep we wait 5 minute show we table . jam jars , butter cup coffee miss table , well , sort quickly . really annoying detail stay Thistle Euston relate heating system noisy , force we turn night could sleep . also , fail produce heat set , result always warm corridor room . to sum , hotel lack cosiness take make feel home , provide basic comfort people mostly want spend day visit London . * * * visitor want go guide tour attraction London UK . could not help notice professionalism care show staff Cosmos tour operator , desk hotel lobby . not actually go tour , pre - book another company , polite show great concern well - be customer . 
 Apr 4 2008 	 brilliant hotel capital city 	 travel europe follow liverpool f.c . season wednesday night stay overnight london hotel .. pleased say , impressed thistleeuston , moment arrive staff brilliant , reception + bar spotless , twin room overlook park would put expensive hotel shame .. return game welcome drink hotel bar , service great , next morning full english breakfast include , hopefully return london 3 week time semi - final , hesitation book thistle euston ... 
 Apr 3 2008 	 Okay 	 stay Thistle Euston 7 night . Euston Square street easy get Heathrow , though take hour . Buses Tube , , get around easy . 's way find good thing . day sightseeing 's nice get back quiet area . room okay bed absolutely AWFUL - lumpy hard . could hear sort grind noise night . assume pipe . light sleeper , beware ! breakfast okay - good value include room . could hear cleaning staff argue quite loudly hallway many time - one time early morning . considerate ask . Crown Anchor pub closeby food excellent . eat twice weeklong stay . hotel serve food seem ridiculously expensive . overall experience not awful ' m sure would stay something else available . 
 Mar 30 2008 	 average 	 first time stay Thistle Hotel overly impressed . friend go stay Thistles think good other . the room & quot ; fine & quot ; apart odd bit old hair bathroom floor , clean . room basic . the location perfect need not stay be want picturesque location ! breakfast lovely , shame queue 10 min seat ! restaurant currently refurbish eating take place various room . the lady reception absolutely awful ! huge queue check , approx 20 min . get desk , woman ( dark hair pony tail ) walk say have 1 min . 10 min later come back complain could moan working condition . extremely rude customer service skill . however leave , man reception first class . all , hotel fine 3 star hotel 4 star . 
 Mar 24 2008 	 Improving 	 second time Thistle Euston book mistake since especially pleased last time stay . however time happy would definitely consider stay . primarily due fact neighbourhood improved . ( ! ) beggar see outside Euston station , ordinary people move around , little garden next hotel hotel room face undergo improvement . ( look promising ) front desk service good breakfast staff excellent . especially consider somwhat stressful situation since normal breakfast area close refurbishment . the room spaciuos ( consider UK ) bathroom clean . 
 Mar 20 2008 	 Relaxing stay 	 ' m quite fussy hotel . like large anonymous business hotel run professional staff . ' m keen small boutique hotel convert town house . first impression count find receptionist professional , efficient friendly . the room excellent . bedlinen towel clean fresh . room well decorate include comfortable double bed , desk , air - con , double - glazing , iron etc etc . sadly , tea coffee make facilite provide room . bathroom fine , spotlessly clean , include full size bath well shower . tile look fairly new . really could new fitting chrome worn place . overnight , distrurbe noise outside within building . quiet . I pay single room definitely good value stay ' ve London . 
 Mar 19 2008 	 Nice Hotel 	 stay hotel work - attend training course ! area nice , clean staff friendly . food ok however menu bit limited . venue back train station bite far main attraction well however look somewhere rest ok 
 Mar 17 2008 	 absolutely horrid ! ! ! 	 Hotel absolutely horrible . staff acomidate . get lose voucher along voucher stay hotel europe . bed close proximity feel like top friend male way . ask 2 bed two freaking bed join together . sheet smell absolutely disgusting someone piss . far would never stay . 
 Mar 14 2008 	 mixed feel Thistle Euston 	 Euston mixed bag . room ok , . small , stay small London . reasonably comfortable . staff terribly accomodating , , see bad . hard put finger wrong . acceptable hotel get REALLY good price , otherwise may feel trifle cheat . the location remote . know bus tube line , take long time get anywhere . , walk either bus tube . the breakfast typical Thistle breakfast . come room , fine , not pay inflated price ask ! , terrible , good either . 
 Mar 4 2008 	 much noise much people breakfast 	 stay 4 night . the room ok , many ( 5 ) tv channel . the roon bit noisy , stay & quot ; stationsite & quot ; bed could well . the breakfast queue far longThe site great , 100 meter underground northernlinethe staff friendly 
 Mar 4 2008 	 good mid range hotel 	 good mid range hotel , location useful Euston Circle Line , walk distance ( 30 min ) Covent Garden . unlike traveler , hear station time , fact quiet location February . room comfortable , would expect . clean modern throughout . buffet breakfast execellent ( nothing leave standing hour ) , staff . get reduce rate website arrange minibreak , walk distance British Museum see Terracotta Army exhibition . this good hotel compare other high class stay London . an agreeable surprise . 
 Feb 24 2008 	 Worthy 's 4 star ! 	 family recently stay Thistle Euston would point tuck away residential area London right behind Euston train station . & quot ; bing bong & quot ; station announcement could hear ring throughout day . would reccomend use base explore sight nothing within walking distance hotel , spend fortune taxis underground ticket . hotel reception impressive every bit would expect hotel advertise standard , hotel bar however small . expect able quiet nightcap go bed see Lion King bar full , customer even spill fill reception seating area . breakfast next morning much extremely long que wait seat . breakfast selection excellent , plenty choose look delicious . tea toast request waiter available . Toast come back cold ask twice tea abismal . appear afford one tea bag large pot water course turn weak tea . this may sound petty hotel size surely staff well organisation . two lift hotel , mean quite walk small set stair climb get room lift . room clean tidy impressive . seem standard room could expect Travel Lodge . ask two double room give twin option push bed together . tell would minibar room afford either . would also warn use hairdryer appliance need . turn hairdryer red flame appear time , proceed break long work . , feel Thistle impressive outside not really manage maintain sort quality throughout hotel . 
 Feb 23 2008 	 first stay Thistle Euston hotel 	 come London twenty year . see lot different hotel good bad . last week first stay Thistle Euston hotel . nice room ( space ever amount money pay ) . nice quiet room front heavy traffic ( noise ) . room clean well furnished . english breakfast great ( assign table ) lot choice ( English continental ) . comeback sure Thistle Euston next summer 2008 . 
 Feb 20 2008 	 slightly Problematic - not eat evening meal 	 not get hope , Thistle still issue . I ' ve stay month ago similar experience , seem bit trend worth mention ... room ok , nothing special might expect sort hotel . problem seem stem staff presumably work , thus unable give good quality service . there real delay check due big party staff run around . hair bath arrived- pointing slightly slipshod cleaning . both evening meal hotel poor , bad value food , serve late minor mistake ( note main restaurant shut moment ) .For one meal hard job get bad taste month ! however breakfast fine , almost good ! finally guy check hard job understand simple request bill information , bit obstructive . 
