Great 	 sister , mother , sister - in - law end stay hotel book priceline.com naming price . book room priceline.com , single bed , would work we , call hotel ask upgrade room two double bed , trouble time . call two day leave make sure set reservationist say still fine two double bed upgrade fee . when arrive , wait almost hour check - in & quot ; glitch & quot ; priceline.com reservation . apparently reservationist suppose upgrade room 10 room two double bed entire hotel . manager , Chris , come straighten everything , although say go & quot ; take care & quot ; person tactful I . they two , small , elevator reach hallway , dark narrow . amazed bellhop fit baggage cart elevator ! end take stair multiple time wait long elevator . we please see hotel step Time Square make convenient get everything ! personally , think good thing hotel . we need ice time find almost amusing not one ice machine entire hotel ! call room service every time need ice ( complementary ) .there fridge room , store leftover employee fridge , inconvenient . check leave , leftover make back we . think put different spot . oh well , Little Italy husband back home . overall , experience hotel average . main reason would return location . , would recommend hotel long people know pay location basic amenity hotel . 
 Skip . 	 book room two people third party website . Room confirm appropriate two adult ... & quot ; king , queen , two double . & quot ; hotel give we room one double bed say want second bed could pay extra $ 200 . reservation third party site non refundable , definitely feel like bait switch . try get sort , hotel staff extremely unhelpful ( fact , could not even get ahold anyone - get transfer least 4 time becuase one would pick keep getting kick back main operator . ) frequent traveler NY guarantee far well hotel far bettter price , vicinity . skip one . 
 May 16 2009 	 Great Hotel experience NYC 	 wife & amp ; friend book hotel extensive research net base review cost . & quot ; Stay & quot ; great location , adjacent Times Square / Broadway theater couple block fashionable 5th Ave Central Park . right middle Manhattan perfect walking take cab many NY 's sight & amp ; attraction . hotel quite hip modern . lobby funky alien light large floor ceiling fish tank . staff quite young attentive address every need , although quite casual time see may appreciate , bother we . request room high floor due guest previous complaint noise hotel bar / club . issue noise ( apart usual ny sound regular police siren ) 7th floor double room ample space 4 people , 2 comfy bed , wardrobe safe , LCD tv , Bose Stereo good sized shower room . entire hotel dimly light ( ambience guess ! ) need put light day get dress . wireless internet , however free use hotel lobby / ground floor charge use room little inconvenient . hotel small business centre use trendy bar / restaurant serve mainly light meal ( thing US ! ) & amp ; breakfast , waitress & amp ; bar staff extremely short skirt - if like kind thing . obviously thousand hotel , restaurant cafe right doorstep . Times Square Broadway ticket stand literally 200 yard away good way see last minute show usually 50 % regular price . Overall & quot ; Stay & quot ; good trendy , clean option Manhattan hotel , ideal single , couple small group visit city . perfect many review mainly complain staff & amp ; noise . definitely request insist high level room . staff good bad depend day , expect treat . stay , remain friendly helpful get know 5 day stay . mild complaint would extremely slow two elevator , could take eternity arrive take room . otherwise fantastic stay stay . 
 may 11 2009 	 stay away stay 	 stay hotel last weekend terrible experience . make reservation , request away elevator high level . check front desk tell we request available . assign we room 3rd floor right next elevator . get hotel room , disappointed hope would noisy . reserve medium size room room even space store one 22 & quot ; roller bag . bathroom two ceiling light . extremely difficult shave make light come behind head . in addition , room warm . tell front desk check AC unit go . say would send someone check unit . come back afternoon , nothing change note message phone address issue . go dinner , ask front desk , another person , AC issue . get response . would send someone fix . late night , go back hotel . situation want move midnight turn AC , loud , open window . hotel also club first floor play loud club music . hotel give low level room , ask ear plug . at 8 am morning , maid start come work could clearly hear conversation . after make three complain AC noise issue manager intention fix AC unit offer we change room . piss never go back hotel . besides , hotel open Sept 08 material already show sign wear . sister hotel , Time 49th much well stay value point . 
 May 7 2009 	 phenominal Stay Modern stay . hotel ! ! 	 travel NYC weekend see play & quot ; Hieghts & quot ; amazing time ! pleasantly suprise see great hotel consider one hear even taxi driver . find randomly search NYC hotel online I m glad ! ! hotel always stand opinion ... atmosphere alone unique gorgeous ! hotel clean ... do not complaint ! mention reviews room small u expect Mew York theatre destrict ? ? unless ur willing pay $ 700 night resonably sized room that s get ... do not know barely satye room ... much see ! perfect need .... sleep change that s ... room cute modern ! view expect NYC hotel destrict .. hirst time NYC even know ... staff ~ the staff amazing ! ! everyone freindly quick hlp ! say concierge Walter really make trip ! ! first time know nothing need alot help guidance opinion help we every step way ! ! b / f say thank much Walter amazing Champaign Apetizers provide we restaurant ! ! well great photography ! great stay stay . would recommend hotel anyone look stay Times square/ Broadway Destrict ! great location Phenominal hotel ! ! say hi Walter ... happy help anything ! ! 
 May 6 2009 	 Fantastic 	 ' ve return amazing trip New York great stay stay . hotel ideally locate , inbetween 6th 7th avenue , step away Broadway Times Square . couple irish bar , couple deli 's amazing Evergreens restaurant / deli street . try Evergreens breakfast - good food , really quick service friendly staff . would recommend omelette - husband recommend lumberjack . stay look impressive minimalist outside . lobby chic , modern funky light , tropical fish tank comfy sofas . staff polite quick help we check anything else need . queen room 2nd floor . yes , small big room need sleep ? plus , big bag we ample room store ( desk bottom small wardrobe ) store shopping bag without feel like trip thing . bathroom small great walk shower - problem get hot water use shower various time day . tell room 2nd floor bit worried read various review noise nightclub - have even pack we ear plugs precaution . directly bar / club ( reason count ground floor floor 1 , get confusing lift ) honestly say noise never disturb we . yes hear 's thud bass rather actually able hear word song music . never need use ear plug , wear asleep head hit pillow background noise unobstrusive never bother we . thing room disturb smoke alarm flash white light every 30 second . disorientate first night , can not see eye shut bright enough truely disturbing . 2nd day get back room find air conditioning break . report reception within 10 minute engineer appear . something really simple trip switch , fix instantly check unit make sure nothing else wrong . thorough pleasant . problem rest stay . Room clean every day , clean linen towel also . problem like people mention . I would definitely recommend hotel , would say prepared flash smoke alarm maybe expect little background noise neither bother we . location excellent . get really good price would definitely stay . 
 May 1 2009 	 beautiful ! 	 hotel absolutly stunning service EXCELLENT . staff extremely helpful request happy help we plan day provide we recommend place eat see , give we map direction . really feel genuinely care good time . room clean / tidy twice day , faultlessly , chocolate weather forecast leave bed ! thoughful touch . hotel beautiful location brilliant , second walk centre Times Square . although not eat drink hotel , bar restarant beautifully decorate always acknowledge staff walk past . agree airconditione bit noisy , worth complain . room small side , quality quanity definatly show , especially tv , bathrobe , alarm / radio , bed remind we giant marshmellow ! ! ( absolute good possible way ! ) , plus go New York sit around room anyway ! ! definatly recommend hotel other . 
 Apr 24 2009 	 average ... 	 generally disappointed stay . encounter problem room . noisy air conditioner loud could not sleep , also shower would drain . problem report discover tell somebody would come straight away fix problem . nobody came report next day . air conditioner ' fix ' although still relatively noisy however shower still drain could quick shower overflow , pleasant ! 's pain holiday deal inconvenience . Saturday night well could hear bass thumping nightclub little disturbing well . would not stay . feel whole hotel lack ambience , really disappointed . much prefer Hudson hotel , alot personality well value money think . 
 Apr 22 2009 	 Excellent Location 	 fellow friend share double bed 1st 2 night booking last minute easter do not mind . move 2 double bed room massive , clean every day high standard . location hotel amazing broadway Times square , downside bit pricey do not tea / coffee maker big must hotel . 
 Apr 21 2009 	 nothing new except lobby 	 stay . many thing past like Quality Quites hotel . coffee maker 2005 . stay Hotel take . bathroom sweep four night . see little chunck glass throw away one piece leave piece sink see would sweep , never . fire alarm like tiny camera flash keep every night . can not believe one else mention . bathroom light sink dark . bright light shower . watch lady put makeup . room small room 8 x 8 much . want measure leave forgot . also , try open door . handle need turn upward downward like think , like door handle . get someone come show since point checking , look goofy hallway . say Driver License key . nver see license . exhauted check realize get Macy free coupon shop towner , speak nice man bar next door say go fill police report night leave april 20 . hotel front desk never say anything like , young people hotel . please watch go around . safe trip . like big room need go somewhere else . think change claim make think room would big . also walk shower , tub . think thing get room ask size . watch scam . 
 Apr 21 2009 	 could well ! 	 friend book hotel priceline . price pay disappoint . like many review room really small . practically crawl bed get side . view nice brick building , however could see & amp ; World sign turn side . luggage floor little move room . bathroom also small two girl able work around . housekeeping come room three night stay not anything leave chocolate next day 's weather forcast . elevator small side two help thing little . unfortunately elevator move slowly take little time get 7th floor main level . get internet room , pay extra $ 10 . good note . hotel clean room good condition . location great ! ! ! Times Square broadway show see . would not tell people stay away would make sure get really really good price room . 
 Apr 20 2009 	 definitely good 	 thing could think list positive hotel leave . location fantastic , Times Square literally around corner front door . lobby chic , bar . place look clean , bed comfortable . room incredibly small . could barely get around bed , shower extremely small . clean crew come , four afternoon ... ' m entirely sure room besides leave chocolate weather forecast next day . bed unmade return towel not change bathroom . hotel advertise free internet , true use business center . want use laptop room , pay 10 dollar day . staff friendly front desk , however always someone open door us hail cab . also , room incredibly warm , despite a / c run constantly ... can not imagine bad summer . definitely need noticeable change even think go back , ' m definitely recommend anyone know . 
 Apr 20 2009 	 good location dollar ! 	 husband arrive late April 14th check two night stay . greet promptly front desk , check quickly . room bit small side , traveller state , New York stay room . room clean , everything look - bed bathroom . hotel provide really nice french amenity bathroom room also include two bathrobe think nice touch three star brand . issue regard hot water - plenty ! also minibar room well stock . flat screen television hung wall . room keep clean stay . there business station downstair two computer . use , handy check email local weather . the hotel wonderful location . literally step away Times Square 's energy . also block away Rockefeller Centre Radio City Music Hall . start walk around could believe close everything property . restaurant within walking distance meet every budget . we definitely stay next trip New York City . 
 Apr 19 2009 	 unusual hotel good value Manhattan 	 stay totally renovate old 10 story building 47th Street near 7th Avenue . location excellent Broadway show ; half price ticket kiosk right street major theater , well many attraction , easy walk distance . many subway line nearby , 47th busy commercial stretch useful inexpensive restaurant breakfast quick meal . • main disadvantage stay room extremely small . queen standard room 12 ' x 12 ' take bed , leave narrow strip carpet navigate around room . travel alone could manage even two people would find close quarter . • however , lobby room stylish chic , room clean . decor gray / black / white touch burn orange silk drape ( cover narrow window look onto air shaft ) . attractive overall . bed excellent nice linen . fitting upscale , big wall - mount tv . Bathroom , also small , perfectly clean , well lit , step - in shower stall . • important plus : climate control system work well , could make room cold sleep prefer , warm quickly morning.• lobby + bar turn noisy , well - behave , club evening . get room directly good advice tripadvisor . 5th floor room quiet.• good price , get expedia , Style good value . * hotel good brief trip , day change clothe sleep . long visit may want use hotel room would become uncomfortable cramped room . staff pleasant helpful question subway direction . 
 Apr 19 2009 	 tiny room great location 	 book hotel priceline , know will get ... first enter - look stylish . get room much disappoint - room small - can not even open door without bump bed . there floor space . get bag ( go take - bellboy forgot ... ) - room leave . the room look good , impeccable design , cool l'occitane product wait show big screen tv - room move - depressing . even view window brick wall ... 10 minute ask switch room , guy reception say none available - check next day . luckily - next day find we big room . even move bag . second room much well , even floor . perfect - problem plume . take staff 2 day tend . go reception desk 3 time remind ... finally get fix evening check out . as location - hotel right next Times Sq . convenient . 2 minute walk famous ' lindy ' ' ( good cheesecake ) .One good thing - free internet access hotel guest . 
 Apr 16 2009 	 could not ask well big city 	 get rate average $ 180 per night , tax come $ 1050 5 - night stay . location unbeatable . two drawback : room small ( huge city , get rate like make compromise ) , noise bar go late Friday Saturday night - would suggest ask room high floor issue . 
 Apr 12 2009 	 great location comfortable price 	 boyfriend stay 3 night great first time NYC experience . hotel incredibly close Times Square awesome place ( include NBC building , come handy sit line night standby SNL ticket ) , price reasonable NYC , bed comfortable , staff friendly , especially concierge ( ) . yes , room tiny , be comfortable clean go NYC not stay room much anyway ! lobby beautiful well . complaint ( smallness room ) would elevator kind long wait time maid service round seem start rather early morning knock wake we time . issue rather minor however consider price location would consider place great deal definitely would stay ! 
 Apr 7 2009 	 brilliant location 	 hotel stay clean modern central hotel sight central square doorstep . husband spend four night enjoy much . room small clean bed comfortable , staff helpful would stay return . 
 Apr 6 2009 	 Patience virtue 	 Love decor location . NYC , room size pretty good . ' m NYC not need lot amenity hotel ' m change clothe sleep , listen ipod . however , service dining area sort crazy . everyone nice could , breakfast crack we . business traveller someone schedule would lose mind . order eggs toast couple side . got eggs.and side . wait toast . ask toast . eat egg side get cold . ask toast . wait . lot coffee . table bussed , still toast . finally get toast fresh set table ware . place not busy order not complicated . notice diner seem problem . can not say ever kind problem . egg toast together .... be hard ? otherwise , stay great . could noisy late night activity Aspen , not especially bother . the desk help pleasant efficient . Walter great ! would recommend stay people sense humor dose patience . 
 Mar 21 2009 	 excellent location 	 Hotel excellent location Times Square . room small everything need . Maid service every day . day chocolate next day weather forecast leave room . fridge bedroom . room back view wall rubbish throw roof , least quiet night . think front hotel would quiet noisy . use bar expensive $ 22 one Gin Tonic bottle beer . plenty pub nearby want cheap price drink . Turn leave leave hotel local cafe Evergreen excellent breakfast . get good deal book early may quite expensive . staff helpful . even borrow umbrella rain , make sure return would cost $ 25 do not . would definitely stay return New York . 
 Mar 20 2009 	 place great ! 	 come Friday 13th amazed close everything hotel . could get room 3 , staff recommend great little resturant around corner . stay room 201 resturant , must say fall asleep rather fast busy day town . not remember & quot ; loud & quot ; , . hand expect much loud since city never sleep . thank great service , clean room friendly staff . 
 Mar 16 2009 	 good boutique hotel ' ve stay yet . 	 get back 2 - night stay stay would totally book room next time be NYC ! pro : say hotel conveniently locate would understatement . be 1/2 block center Times Square , 3 block Radio City , area pack bar restaurant . bar / lounge hotel , Aspen Social Club , funky lodge - theme space pack people Friday Saturday night , drink before / after evening plan . hotel spotless decorate quirky , slick , modern style really enjoy . also room service business center free internet access computer , 2 amenity not usually exist boutique hotel . staff super - friendly attentive , say hello whenever walk . room clean , nicely decorate basic , include giant flat - screen tv mount wall . ( comment review -- yes room small , BOUTIQUE hotel TIMES SQUARE . want large room , book room Marriott Hilton pay double cost room stay . ) bed super - comfortable , sleep well home bed ! con : many . AC noisy room , not work well , crack window open fine . closeness Times Square , light electronic billboard shine room , window shade really good keep room really dark . shower hot enough , Monday morning able get water REALLY hot ... probably many guest check many people use hot water . all , great hotel -- convenient , fun , nice staff . ' ve already talk stay be city . 
 Mar 16 2009 	 clean friendly ... highly recomende .. comfortable sleep ever 	 staff friendly concierge maid staff . hotel clean . bed comforable . great location everything . rating mention noise club downstairs , 5th floor problem noise level ' m light sleeper ... even hold bag check could finish enjoy city without lug around ... overall satisfied stay 
 Mar 15 2009 	 every hotel staff like would never change stay ! 	 book weekend March 12 15th . 14 year old 's first time New York . bid Priceline get good price . call hotel , find though one queen size bed . young lady speak say problem could upgrade $ 50 per night get 2 double . great . on arrival , find Priceline call hotel , tell need one bed . hotel reasonably enough change back one queen . unfortunate thing sell room two bed . this meet manager , believe name Patrick ( apologize ' ve get incorrect ) . hear telephone Priceline , could not get answer happen . obviously concerned . Patrick could not seem get satisfaction Priceline , quickly find way make right . make tough situation quite good . pleased . now , hotel . location 30 pace Broadway , Times Square , show . ideal tourist . can not say enough . I not fly Newark past , day attend , call , speak Walter , concierge . can not say enough good thing . advise we take Coach USA bus airport Bus Terminal , 10 minute walk hotel . $ 70 round trip three we . good saving , lot car shutle toll tip extra . the hotel lobby beautiful . seem several time day cleaning . room well keep , bed new think , comfortable . small other write , not go play football anyway . washroom fine , morning lot hot water . bose radio , large screen tv nice touch . there bar lobby , think wife would night cap , 14 year old trip , happen time . seem nice enough though , like music . there restaurant , seem little pricey .... $ 16 coffee pastry etc , deli next store , good cheap restaurant two door beyond . like go different place eat anyway . Back Walter , concierge .... , take advantage knowledge , will send play , great sight . the whole staff treat we like special guest . we back ! 
 Mar 15 2009 	 great location horrible service 	 stay Stay Friday , March 13th ! quite bad luck . happy check location great lobby chic . get 2:30 tell come back 30 minute room ( check 3 , not surprise although hotel NYC ' ve able get early ) . come back 4 get room 205 drop stuff go dinner concert . come back 12:30am stare walk stair room , know trouble . right hotel club - ONE warn we . music obscenely loud . go back front desk say move way loud -- tell , still can not believe response - would ask club manager turn music . go back upstairs furious husband lay bed listen pound music . 45 minute later , left & quot ; message & quot ; hotel manager . someone promptly call back say could move we & quot ; upgrade & quot ; we king size room . anyone care 1:30am room & quot ; king size & quot ; . move finally fall asleep . wall thin - next morning keep hear assume housekeep something plastic bag . go leave notice note breakfast voucher hotel . throw want get home get sleep . would recommend hotel - way many one well service NYC . 
 Feb 27 2009 	 Poor Service 	 hotel locate close many good thing , well elsewhere . upon arrival tell online booking process yet , ask take seat wait . 40 min later lady ask we sit walk pass street clothe ( way ) say would long . watch numerous people problem check check wished not pre pay obviously big mistake stay . member staff finally sense frustration wonder lobby fifth time . proceed explain wait booking staff finish early Saturdays ( day ) online booking would take time process nobody check book yet previous day . joke ! explain staffing issue customer problem , management . meet apology seem routine mean nothing ... hotel check online booking nobody ? ? good hotel could check we quick walk ! advise anyone look stay here- yes cheap , well pay extra buck stay W road . splurge go bryant park . some advise hotel- screw booking , not make people wait hour lobby could set bar free drink ( standard good hotel ) . need sort stuff room give , please please use communication , not ignore people pay bill . location stay great , service substandard NY hotel really little chance survival market place unless sort . 
 Feb 23 2009 	 great location poor staff 	 stay stay hotel Times Square 2 night . be renovate hotel 20 meter Time Square . we book medium size room really small . quite trendy well equip ( flat Tv , Bose sound system ) .If consider location hotel price room make appealing . last year ( 2008 ) stay W hotel Time Square almost double price quite dark . also Q hotel Time Suare ( change name ) also small room expensive stay hote great indoor small pool party take place . the stay nice bar restaurant . although hotel quite good serious problem staff unfriendly . 
 Feb 20 2009 	 room good enough sleep 	 look great location sleep quick stay , stay fine . expect basic , say hot shower toiletry , good luck . would recommend stay couple night stay . stay 5 way many place could not comfortable in . the lobby decor awesome room finish nicely . , really want like place . check - in go smoothly can not comment lobby staff contact they . understand Manhattan space limit , room TINY . probably 8 inch end bed wall well climb bed get side . 2 suitcase occupy half available floor space . husband 5'10 & quot ; 5 ' 2 & quot ; small frame tight we spend time relax room . one person might fight okay . everything else good , could overlook tight quarter far case . early riser early bed , warn hot , even warm water available . notice first night continue prove true entire trip . real problem travel winter want warm shower end day help thaw . also , sleep window uncomfortable window probably original building . silk curtain nothing stop cold air create freeze draft night . cleanliness : old turn thing make want think hotel . first , everything pick floor ( bag , sock ... ) long blonde hair stick . neither we long blonde hair . slate tile bathroom good deal white buildup subway tile grout look fine . basic wipe sink mirror stay attend to . toiletry : good thing pack case . 1st day : shampoo , conditioner body wash first night . bar soap wash hand lotion ; 2 chocolate bed . 2nd day : leave new shampoo , conditioner body wash get bar soap . chocolate , lotion . take use wash cloth leave new one . 3rd day : lotion finally chocolate nothing else even though toiletry use . 4th day : new shampoo , conditioner body wash finally . lotion , chocolate . 5th day : bag bar soap leave bed . overall , rhyme reason . a note : iPod dock . safe small standard kind everywhere - big enough wallet two definitely laptop . internet suppose include package buy online honor . want additional $ 19.95 / day . light whole place dim - it set great mood make get ready morning ( put makeup ) impossible . it horrible experience . would not recommend unless get cheap- $ 125ish much location . pay taxis almost $ 200 / night- definitely worth . 
 Feb 19 2009 	 surprisingly wonderful place ' stay ' ! 	 honest , place bid hotel NYC priceline.com , little worried & quot ; Stay & quot ; emerge hotel select weekend lisure shopping . hear boutique establishment prior . much surprise , happy accomodation . service commendable , location perfect ( close proximity Times Square ) room spotless . would highly recommend ' stay ' wonderful place stay ! 
 Feb 17 2009 	 Great Location Good Service Nice ( ) SMALL room 	 stay 3 night . location great service good . room hand , tiny . amenity nice bed comfortable , space , small . overall value good though . 
 Feb 17 2009 	 Ugh . painful Stay Stay . 	 book room stay Valentine 's Day weekend . arrive later evening ( 9 pm ) . check immediately jump cab make dinner reservation . doorman would hail cab we . return 1:30am , discover tv not work . call front desk , tell we push power button top TV . minute search , find power button bottom TV ( be one fancy flatscreen button hide ) . tv turn , remote battery . take three visit hotel staffer get right battery . time leave , let door slam . hotel small wall thin . ' m sure neighbor not please . know upset next night drunk girl bar downstairs come 7th floor shout let door slam . tv five channel , normal standard cable package . the next day , wake take shower find soap , shampoo toiletry . call front desk send housekeeper four bottle shampoo nothing else . despite Disturb message , housekeeper came knock . ask come back later , never do . our room not amenitie hotel advertise : stereo system ipod cradle ( nope ) , l'occitane toiletry ( nope ) , iron ( nope ) , HBO channel ( nope ) , staff commit restful stay ( nope ) .and finally , check ask car ( valet park hotel ) , charge $ 45 per day , rather $ 35 quote phone . bed pillow super comfortable , rest stay ideal . location great be NYC go show . 
 Feb 14 2009 	 would never stay stay ! 	 stay stay Friday Sat Feb 2009.we get early ( 11:30 a.m. ) room . we ask high floor away noise accommodate ninth floor . REALLY noisy bar downstairs night . small cute lounge well . check smooth fast . 2 tiny elevator really slow ... room small not even place put clothe .. chair either .. plasma tv almost big room ( ridiculous ! ) .. bathroom hideous .. shelf hold stuff crook unusable , shower gross stall ... bed soft ... radio go early pulled wall keep go .... ! yick ... $ 165 + taxis ( around $ 200 ) rip .. never stay place ... 
 Feb 10 2009 	 awful ' old ' place 	 hotel old building renovate order make look pretty none basis requirement business traveller matter traveller would look . room dingy small little lighting . seem cram many room floor maximize revenue . service particularly good . elevator terrible old . seem take old building make cosmetic change make look aesthetically appealing provide comfort one expect hotel . need look fancy lobby ? ? ? make sense bad service bad facility . ' m go back Helmsley although expensive , provide ammenitie space would expect hotel . stay real hotel . build think back 30 's old building old facility wrap glitter . recommend hotel business colleague embarasse make recommendation . 
 Jan 29 2009 	 ' stay ' ! 	 hotel great location city . less one block away famous TKTS booth almost smack dab middle Times Square . staff friendly help lot planning make great suggestion food entertainment option . hotel beautiful fun little bar / restaurant downstairs . 
 Jan 29 2009 	 stay Hotel Pure Relaxation 	 recently visit New York City girlfriend 's 30th birthday book room stay Hotel , Manhattan 's new luxury hotel . stay Time , NYC past , decide try new sister hotel . the staff extremely helpful accommodating . hotel 's interior design instantly give feel pure relaxation comfortable bed pillow allow relax away hustle bustle city end day . also conveniently locate heart Time Square . town , attend show Wicked find easy walk ( even bitter cold ! ) .Aspen Social Club , locate bottom hotel , great nightlife spot . enjoy listening sound DJ sip cocktail Broadway show . DJ spin top 40 hit entire crowd singing dancing . I highly recommend visit stay Hotel next trip NYC . 
 Jan 28 2009 	 bad ... 	 date:28/01/2009reviewer : TripAdvisor Member , PORTUGALGreat location ... elevator ? slow ... staff ? fine ... nice space ( lobby , aspen club ) room ? ok ... maybe little bit big harm .. do not go NY stay hotel .. next time ny ? probably stay Hotel 
 Jan 25 2009 	 stay away ... stay peril 	 would recommend hotel business travel . although property recently renovate , redeem quality , nevertheless low quality service stand - point . love new lobby unfortunately standard decrease significantly one take lift room . suppose good sale pitch lure somehow , picture hotel website lobby hotel sure . service standard support business traveller . elevator terrible ( even work ) . purchase something give service state provider website . hotel fall short service claim provide . internet work properly . staff unprofessional . would make exception exclude front desk personnel , although front desk manager ( believe name Tom ) terrible deal . seem take request personally . remember front office manager call Maurice ( irish man ) charm helpful . suppose get rid good people upgrade property . anyhow , room small , wall thin , ammenitie weak generally service par . expect basic service Quality hotel Times Square price reflect , will not pay current rate sub - standard service . try contact General Manager property , Chris Mallon , never return call . Par course ...... suppose bad service come top . retrospect , read review demonstrate lack consistency come good service . 
 Jan 23 2009 	 bad .... 	 wife decide short break New York . arrive Mid Jan 5 night . the hotel select good choice , feel . W47th street , diamond district , Times Square . outside much look . street pretty shabby , dirty , course , noisy . inside , another story . it great lobby . love fish giant tank ! course , since January , guest , quick easy check . small issue mention include noisy intercom system hotel staff use hallway floor . sound talk via system penetrate easily door easily wake . fact , would say noise big issue hotel . really blame , since , ambulance make lot noise , hear street noise easily expect . even six floor . expect however , able hear even feel music come hotel bar small hour . around 4 morning , precise ! even concern , staff friendly , helpful certainly help make stay pleasant . room nice , even get free upgrade big room . , pleased choice hotel , intend visit New York , would definately stay stay . centrally locate , easy find , good value . least January ! 
 Jan 18 2009 	 Great Hotel Heart Broadway NY 	 stay past weekend Friday Sunday 1/18/09 book Priceline . orginally go get double bed arrive hotel upgrade usto Queen size bed additional cost we . yes , room small staff friendly , polite hotel clean great modern boutique lobby . the room small fridge put wine / beer important hot water good water pressure great shower . bathrobe use hairdryer , iron board plus bathroom soap lotion . comfortable bed soft feather comforter 4 thick pillow BOSE radio / alarm clock right next bed . 3 block Metro & quot ; redline # 1 & quot ; around corner Broadway make convenient quiet hotel . if come NYC , especially Broadway want clean quiet reasonably price hotel . pay $ 150 per night enjoy stay & quot ; stay Hotel & quot ; . reason give 5 star rating room small several large piece luggage would make cramp many people . 
 Jan 18 2009 	 stay within budget stay 	 fair amount business travel company exceptionally cost - conscious . difficult find decent lodge NYC stay within travel budget allocate , manage , ( even dash style ! ) stay . upon entry , find lobby decor update pleasing -- like aquarium seat area , calm sight ruckus NY street ! staff limit overwork arrive , still gracious accomodating , though obviously tired . able get room unheard hour 11 am , huge bonus , business traveler know . there 2 elevator stay , quite small . not prove issue , spend time wait they . I like color scheme room ( orange favorite ! ) , though quarter tight even & quot ; Large & quot ; room king - size bed ( typical NYC ) , rate $ 220 , exceptionally reasonable Times Square area Manhattan . find bed comfortable , nice sheet fluffy duvet . great actual closet room , large flat - screen tv wall , blackout shade window awesome . hotel 's update phone system also really nice digital touchscreen allow set wakeup call & amp ; , tone alarm actually pleasant wake to . the bathroom not tiny hotel level ' ve stay , not grand stretch . shower , tub , shower spacious enough & amp ; interior update tile wall slate floor run thru entire bathroom . hotel feature L'Occitane product , also nice little surprise . issue bathroom pedestal sink counter space , tiny glass ledge beneath mirror toiletry & amp ; & quot ; stuff & quot ; -- slope forward tank lid toilet not afford surface - area toiletry item ! however , everything clean , extra towel bathroom , always plus ! note noise bother , definitely request room high floor -- aspen cool bar ground floor hotel surprisingly busy least 4 am .... also surprisingly loud 3rd floor room first night ! earplug room 's fan turn high , could still clearly hear methodical thump bass music bar night , not bode well get sleep . request move next day , politely acommodate ( ' m sure get LOT ... ) problem noise new room 8th floor . all , would definitely stay stay ... fit budget yet not feel bare bone , old dirty like many hotel within price range ' ve stay area . 
 Jan 17 2009 	 false representation . location great ! 	 first , location great ! can not well . want great , authentic italian restaurant : scarletto amazing . 2 minute hotel beleive ... amazing really expensive ( even 60 $ 2 ... ) . staff ok .. ahd question room service hotel ... rude . loby restaurant nice . the room ... small ... choose medium . expect keep sdtuff luggage place put . internet site hotel say : room service , fully stock mini bar , New York time free room service ... none give . ask say newly renovate .. do not they . no New york times mini bar . room service , say not organise .... make MAD ... staff morning slap door like mad wife something ... annoying ! ! ! ! ! staff respect guest . my postive hotel location . next basic attraction . ... normal hotel would not go way another stay stay hotel . 
 Jan 15 2009 	 3 star hotel 2 staff 1 star service 	 read lot bad review hotel scared stay initially , ' completely horrible hotel actually nice building okay room . lobby pretty , room 3 star staff make hotel 2 ½ star . basically staff / service ruin place . overall staff / management unprofessional clearly untrained . hotel use bad dive hotel buy different hotel company renovate . ' pretty build decent room , mistake make apparently keep old employee previous dump hotel . least certainly hope ' new staff ! total " ! " attitude , act ignorant general incompetent reason . ' really bad . room size , " medium " " large " fine ( normal small ) NYC . fine those . the " small " ridiculous closet sell guest . friend stay ' rip - off . good 1 tiny person luggage . joke . ' say ' warn . hotel definitely ' first choice base staff , ' absolute last either get cheap " large " room . would ignore staff pray hard ' need anything . would also make sure room low floor elevator totally suck . the good : pretty lobby restaurant ( newly renovate , pic hotel site accurate way look deceive size ) fast check - in ( rude heck staff ) housekeeping staff slam door morning hour least say " hi " say " hi " first . " medium " room type good size 1 person love couple ( lol ) ; " large " room decent 2 peoplegreat location tourist ( right next Time Square , Radio City , etc . ) nice robe / towel / soap basic amenite ( not expect shower cap , etc . ) okay room service menu ; slightly limited food choice ; limited hour ( ' NYC , call restaurant delivery ) big nice flat screen TVRoom neat clean nice radio / phone , etc . Air / heat work great easy control good water pressure heat showerTHE bad : definite language barrier 70 % staff hard get help time ' speak English ' understand languageFront desk staff rude , act like ' bother answer question like pass buck vs. solve even simple issue ( give guest stereotypical New York bad attitude every little thing ) Bellstaff available help luggage check - in ( stand literally point door use see we struggle big time luggage ) Hotel clearly set adequate / basic room service ( table , tray , plastic cheap silverware , food covering ) room service food decent staff , incompetent order , deliveryinternet $ 10 / day end overcharge usNo bathtub tiny bathroom ( shower look old water stain clean ) Toilet take 15 minute stop run loudlyNo space personal item bathroom outside window ledgeone tiny closet hang item ( coat take ¼ alone ) dresser / cabinet nowhere put clothe / unpack ( room get junk crowd easily ) iron room nasty dirty broken piece ; iron board build people 4 ' ( ala short ) small elevator hotel staff share ( elevator super slow prepare wait walk up / down flight step ) poor lighting bathroom make hard seeno premium / pay movie channel TVBeds okay hear every little noise / bang hallway outside street ( instal sound proof window since ' tourist area ) need train housekeeping slam door / talk loud hallway early morningpaper thin wall guest room ( get ready hear neighbor tv / radio ) " queen " bed ' true queen ' fool . ' queen base tiny room . find deceptive tell we . 
