COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Mar 16 2008 	 Fine Hotel 	 stay hotel one night . allocate single room . room well equip comfortable . also quiet , even though light sleeper , good night 's sleep . breakfast next morning excellent ( opt full English practically keep go day ) .The staff uniformly pleasant . arrive gentleman reception particularly helpful recommend couple local pub meal . good experience would hotel choice next visit London . minute walk Paddington Station area safe day night . highly recommend . 
 Mar 11 2008 	 great hotel ! 	 stay Darlington 2nd 5th March 2008 thoroughly enjoy stay . hotel conveniently locate - close paddington station hyde park . it be well look clean . breakfast great ! choice full English , continental - fantastic start day sightseeing ! staff friendly helpfull . our room ( 200 ) spacious spotless ! would definately stay would hesitate recomend friend ! 
 Mar 10 2008 	 wise choice 	 excellent experience , hotel welcoming , spotless , staff efficient , friendly helpful . bed room good size every thing work well equip bed comfortable , cap breakfast excellent well serve nice breakfast room . would certainly stay . Alan Margaret Norton - on - Tees 
 Mar 9 2008 	 good value London clean comfortable well locate 	 stay nearly two week February comfortable . hotel sparkle clean , room reasonable size ( London ) , bathroom good , staff obliging . look four star luxury hotel , swimming pool , bar , restaurant , etc , hotel . however want good value , good central location , bit character , Darlington ideal . sure would like summer ; heat seem air condition ( always open window case ) , check issue . room top ( 4th ) floor , well street entrance noise . area London ( near Paddington station Hyde Park ) lot hotel many good Darlington . number restaurant area hotel give we helpful guide within easy walk distance . 
 Mar 5 2008 	 great base explore .... 	 husband stay 2 night February think fine . great base explore London , near tube station 5 - 10mins walk . lot place eat around hotel well not fancy central london night ! also bring food back hotel not want eat out . Breakfast not superb although choice english breakfast continental breakfast staff not object load thing like fruit day . english breakfast leave lot desire , get impression hotel own non - english people least cook not english ! ! staff friendly although hotel manager english occasionally trouble make understand . the downside bathroom . room fairly good size London bathroom tiny . size 8 struggle sit toilet ! ! toilet also towel radiator sit 2mins actually begin overheat ! , whole thing suit we perfectly . get good deal booking.com . would not pay normal hotel price . 
 Mar 5 2008 	 small friendly hotel 	 spend 3 night Darlington happy service . room quite small modern overlook small unattractive courtyard clean comfortable . fact particularly impress standard cleanliness . also quiet . staff extremely friendly helpful , especially breakfast . breakfast serve small , bright room basement excellent . lot different food choose , hot cold . location great Paddington Station Hyde Park - 5 min walk lot restaurant pub nearby . all , would hesitation recommend Darlington look small , quiet hotel . 
 Feb 12 2008 	 home away home 	 reading number great review Darlington , easy make decision stay London . spend 5 wonderful night , throughly enjoy stay Darlington . room great ( although little small ) full bathroom ensuite . everything spotless . ask room away basement , get room top floor even though face street , not find noisy . breakfast great- good selection plenty eat ! husband love cook English breakfast ! staff oblige nothing much trouble . could not believe close Paddigton station - real bonus - less 5 min walk . we sorry leave , definitely stay Darlington next trip London . 
 Feb 11 2008 	 Excellent ... clean ... tidy .... friendly 	 per title - excellent ... clean ... tidy .... friendly . for short stay London perfect , excellent location friendly staff . would not hesitate go back . 
 Feb 6 2008 	 Hidden gem 	 stay area different hotel . hotel clean staff friendly . room good size . great base explore London although visit business trip . would use hotel especially available £ 99 per night inc breakfast . well do make stay pleasant one . 
 Feb 2 2008 	 much nicer previous hotel price 	 complaint . good size room average facility , e.g . safe fridge . seperate bathroom plastic & quot ; pod & quot ; style . plenty cupboard space , shelve surface i.e . place put thing instead live case bag . Clean nicely furnish . good location , Hyde Park Marble Arch 5 - 10 minute . breakfast serve table mostly cook order choice . quiet private . 
 Jan 21 2008 	 Quiet restful 	 spend four night Dec 07 small , comfortable room back good bathroom facility . peaceful : street noise passage / lift noise . also excellent view London Eye bed night . good breakfast excellent option friendly service restaurant front desk . convenient Paddington tube station would definitely consider stay . 
 Jan 16 2008 	 back 	 stay hotel husband 2006 , decide return short city break together mother - in - law . the location good , either intent use public transport walk . Morelli 's ice - cream fix mere 15 - 20 minute ' stroll Hyde Park ! bit concerned read previous comment kerb - crawler , must admit never see , even evening . the room perfectly suited purpose , amenitie good bathroom . breakfast freshly prepare filling . a great thank - you staff , courteous helpful time . special mention maid ( ? ) carefully arrange panda travel companion bed every day ! 's good selection place eat close . would highly recommend Satay House , malaysian restaurant two street away , serve delicious food ( price good , ) .Overall , ideal place Central London . 
 Jan 12 2008 	 Pleased Darlington 	 stay Darlington one night 24th June book meal Claridges birthday want hotel nearby . Darlington cheap option within 10 min taxi ride good value London . pay £ 99 also include breakfast proper fry - up could choose want . our room decenlty size , first floor lrage window overlook main street . bathroom also quite big , lrage window face street . one word warning - taxi driver take we say local police recently clamp kerb - crawler street one work girl defy stand tiny traffic island middle street - turn directly outside hotel ( see pic ) , however not see activity stay . I would recommend Darlington 's convenience price . leave luggage Sunday go walk Hyde Park visit Kensington Palace . 
 Dec 19 2007 	 Great London hotel 	 Excellent place stay . great staff .. clean .. good breakfast ... maybe little noisy front room time window wide open .. six week europe good bathroom .. actual bath .. clean . close Paddington station ( 5 min ) direct train Heathrow airport . ok restaurant good pub close . stay 
 Dec 14 2007 	 mixed feeling ... 	 stay hotel two night week . the hotel clean seem go refurbishment long ago show , everything shine : ) entrance nice well lit night , ( consider 's house convert hotel ) think important : ) hotel staff nice breakfast fine , nothing special , OK . ( ham , cheese buffet want know ) two con ... wifi terrible ! stay 3rd floor work . manage connect briefly get email ( business trip ) . explain receptionist tell wifi 's coverage 3rd 4th floor good , warn ! suggest come lobby check ... fine idea , paper work stuff ! second issue shower water pressure literally non existant , little water come , probably third floor . careful room 304 ! otherwise , well locate convenient come Heathrow Heathrow Express arrive Paddington . hotel approx . 3 block away station . to end small essay , ' m sure would stay ... hotel nice would definitely recommend anybody holiday , be business trip need internet access , check hotel see wifi ok ! ! 
 Dec 12 2007 	 pleasant stay 	 stay Mom sister . room clean service impeccable . location also great close metro station . nice stay overall would definately stay . 
 Dec 12 2007 	 Pleasant stay 	 three pleasant stay Darlington . hotel clean , staff friendly . room small ( expect London hotel ) , comfortable . great value price , excellent location comfortable , luxurious , stay . breakfast buffet fairly well stock , cook breakfast good version & quot ; full english breakfast & quot ; . two note 1 ) room AC stuffy , small fan provide window function , 2 ) street side bit noisy window open , however , London early - to - bed town , noise die 11 pm . 
 Nov 27 2007 	 Brilliant Little Hotel 	 stay Darlington Hyde Park 3 night November . really happy hotel , quiet , clean modern . staff friendly , particularly staff serve breakfast . breakfast great , good selection cook breakfast lovely . room small however contain everything need . particularly like local restaurant guide leaflet guest directory hotel 's recommendation , lovely meal one night . hotel near Lancaster Gate Paddington underground station , Paddington 5 minute walk . location nice , tree line street picturesque autumn . would definitely return Darlington . 
 Nov 27 2007 	 great hotel : - ) 	 read great thing hotel , wife try selfsand not disappointed ! stay Lon 4 day , iyt superthe location 5 min . walk Paddington catch tube everywere . the reception friendly helpful . the room quite big ( stay dobble room ) nice bathroom . clean need anything , staff also helpfulThe breakfast wich include price freshly cook nicely present . for budget hotel London joy stay , going London , go stay Darlingtons 
 Nov 24 2007 	 highly recommend ! 	 ' ve previous stay Darlington 2005 travel alone . husband need somewhere stay night flight Heathrow would leave til day book . I ring around several hotel price jump considerably one night book short notice . end choose Darlington , despite price , happy previous visit . on check staff apologize high price almost book . 2 room leave , give we suite price double room booking . lovely bonus . the hotel secure , clean , well care . room great thelocation hard beat . walk Paddington station easily , even luggage tow . Breakfast Darlington basement breakfast room - good choice continental hot breakfast cook order . excellent consider include room rate . they gladly store luggage day . I know will stay next time ' m London . 
 Nov 23 2007 	 great priced hotel 	 Excellent value money . Receptionist Teele helpful lost card . twin room stay excellent , fridge bonus fan . comfortable bed . breakfast include great . security measure place over . around corner Paddington tube bonus . would definatley reccommend use London again . keep high standard people flock . 
 Nov 21 2007 	 good location great people 	 read dozen review budget price London hotel decide Darlington worth try , not disappointed . staff simply wonderful , eager help offer whatever advice . location great , charming street 's five minute walk Paddington station . room basic clean good value average rate . breakfast pretty good , outstanding service . annoying point lift slow , would not hesitate stay . 
 Nov 20 2007 	 wonderful small hotel 	 husband & amp ; stay Darlington 7 night end October . select hotel friend & amp ; stay last year . Darlington really seem like & quot ; home away home & quot ; . staff member friendly helpful , room immaculately clean . breakfast room warm cheerful start day cook order full breakfast . Paddinton Station 2 block away . give access tube minute away sight . it be lovely , small hotel friendly helpful staff . great stay ! ! ! ! ! 
 Nov 20 2007 	 one good 	 one nice hotel stay London , especially price . really good sized bedroom second floor , really clean look though recently refurbish . breakfast morning freshly cook well present . staff really helpful pleasant . definitely go back stay part London . 
 Nov 19 2007 	 not hesitate book 	 hotel good location , great cleaning staff , helpful front desk bright breakfast room good food . rail station , Underground , several restaurant bank within 3 4 block hotel . stay two room - triple twin - three night . triple make two room low level quiet queen twin instead three twin bed , request . bathroom large . twin room comfortable quite noisy due nonstop traffic along Sussex Gardens . despite problem would recommend hotel other advise pack earplug , take care hotel city noise . 
 Nov 13 2007 	 Good Location 	 room private alcove ground floor small sitting room . although bedroom bathroom small australian standard well appoint sit room add spaciousness . staff helpful breakfust good 
 Nov 8 2007 	 great room ; great 	 stay hotel twice . first stay lovely room top floor spacious , bright airy . delight . second , day ago , much small , rather dark room window look onto drab wall . first case , rate get money indeed good value make hotel well worth recommend . second case , know get well room money . hotel seem really terrific room , other nice ( basement level , etc . ) . whole , hotel consistently clean , staff friendly , location pretty decent . areaseem generally pretty safe , note police sign around corner hotel note serious & quot ; sexual assault & quot ; take place October around 10 p.m. block , clearly serious crime area . previous stay , note sign police note prostitution activity area . like everywhere major city , caution advise late night . will return ? probably first choice similarly - price hotel around think worth check . 
 Nov 7 2007 	 Consistent Excellence Darlington Hyde Park . 	 ' ve stay Darlington ten occasion , sometimes solo , sometimes partner / friend . without doubt gem Sussex Gardens , ' ve stay many different room hotel , unfailingly superb standard cleanliness . course one sometimes overhear other corridor , 's hotel , house , love God ! ! ' ve never stay hotel yet not aware people ! ! Hurrah Darlington sweet staff - never stay anywhere else town . 
 Nov 6 2007 	 wary room give 	 book hotel review whilst good location , clean staff friendly wary room . give room 14 street level , next lift ( think guest discuss next meal ) , near main entrance door room ( think slam door ) , incredibly noisy floorboard outside room eventually get zero privacy . ask move another room , something never do , give room 16 kitchen kitchen exhaust outside window ( think bang pot exhaust kick high gear 6 am ) . hotel one expensive particularly happy stay definitely would stay hotel unless could assure room offer privacy quiet . 
 Nov 6 2007 	 Nice Hotel 	 everything hotel well organize . concierge , breakfast room make - up service good efficient . staff member friendly helpful , think night - shift receptionist bit cool . Wi - fi provide room fine server 3rd night . would like thank staff room make - up service . check 10:00 , return 14:00 find glass , leave room , pack safely top luggage . definitely stay hotel next time . 
 Oct 29 2007 	 great location room 	 stay two night - one twin room , family room . I arrive mum first night - book double room panic last minute . receptionist kindly offer change we twin room , much appreciate long day travel deal Eurostar ! find reception staff little abrupt , generally helpful . the room spotless well furnish . bathroom roomy nice . the hotel great location , right near Hyde Park barely 5 minute walk Paddington station , catch Heathrow Connect train . family room great two separate bedroom bathroom . try continental breakfast happy range available . staff friendly happy bring toast coffee ask . 
 Oct 29 2007 	 second time still disappoint 	 statye Darlington couple , time take two teenage daughter we disappoint . book two room , one slightly big . room spotless clean daily . everything good working order . staff friendly helpful , like last time . breakfast plentiful , set day , however get little bland . thing would winge bed . quite hard , husband wake morning ache . use Darlington travel London . convenient quite reasonbly price - book active hotel £ 95 per room breakfast per night- bad considering price London hotel . 
 Oct 24 2007 	 great 3 keep follow mind ... 	 since many post provide detailed review , ' hit point . although hotel great , thing know ' disappointed get . hard time find hotel London could accommodate 3 adult . Darlington one reasonably price hotel offer 3 bed ( actually , ) . want comfortable , spotless hotel convenient location ' happy say Darlington disappoint . Family Room : stay family room bottom floor . although furniture show little ware , room bathroom fact , clean , whole hotel . dust ( even curtain freshly clean ) , funky smell ( except bathroom slight musty smell , suspect due basement location , minor really issue ) . room lot natural light large enough 3 adult suitcase . breakfast : everyone seem say food " brilliant " . quite . eat full breakfast , well , edible . suppose ' " good " english food get , free . bland . , however , easy get coffee , juice toast way . , everything fresh clean make food order . word wise , need Decaf coffee , bring instant . staff : always greet we way ( always nice acknowledge ) , give we map always helpful . also , make reservation hotel directly phone , get great price issue upon confirmation arrival . know other issue , overall , professional always available . bed : ok , truth comfortable . ' get wrong , heaven 12 hour travel , suggestion Darlington , ' say replace mattress , hotel would priceless . still recommend hotel , would stay , ' prepared toss turn little . horrible , exactly comfortable either . location : quiet ; safe ; easy access London . think good value London . enjoy stay despite " eh " food " ouch " mattress , would definitely return ! highly recommend hotel ' travel budget large group . 
 Oct 22 2007 	 Good Hotel 	 third time stay last three year , every time experience excellent . room spotless comfortable , staff helpful , breakfast good area peaceful yet convenient part city . good value hotel . 
 Oct 19 2007 	 ask ? 	 pleasure . stay hotel two night order see West End show , experience described & quot ; real pleasure & quot ; hotel within five minute Paddington underground station 15 min West End . room well equip , spotlessly clean , bed pleasure sleep . food ie . breakfast add comment previous guest - excellent fare plenty ! wonder evening meal available , however hotel provide order service take away meal , within 500 yard hotel amount good standard eat place / food pub . the staff delight nothing seem much trouble ; Manager hotel never meet , congratulate , high standard hotel also selection staff work . 
 Oct 17 2007 	 Loved Hotel Squeaky floor ! 	 stay Darlington Hyde Park Oct. 1 Oct. 8 . room clean , staff incredibly helpful friendly . not eat breakfast , find washer , dryer iron basement convenient . shower 's water pressure temperature perfect . location wonderful , minute ' walk Paddington Station . room surprisingly large -- twice size Paris ! plus be in - room refrigerator ( great store water bottle ) in - room safe . the drawback find bed , lumpy slightly uncomfortable ; window , not close way difficult lock ; floor , squeak every step take . however , minor complaint . would definitely stay . price right overall happy visit . plus many restaurant vary price ( quality ) area , Hyde Park couple block road ! 
 Oct 11 2007 	 let 	 book hotel read many positive review trip advisor . unfortunately occasion meet standard previously set . major complaint customer service - member staff impolite almost aggressive present problem . addition multiple small problem non - functioning hairdryer room , receive unrequested wake call early hour ( talk guest seem common occurence ) . addition , bathroom distinct smell mould although look spotless . good side hotel handy paddington station . room decent size breakfast freshly cook order . compare London hotel Darlington relatively inexpensive get pay . maybe unlucky personally , doubt back . 
 Oct 11 2007 	 wonderful stay ! 	 wonderful stay Darlington . accommodate family 5 comfortable family room . feel safe well take care . staff attentive friendly . room immaculate . location close transportation , restaurant shop . definitely return ! 
 Oct 8 2007 	 Lovely Hotel London 	 ' ve stay Darlington Hyde Park twice definatelyreturn . last May first stay opt fora single room # 101 rate L69.00 . room second floor face onto back lane quiet . room comfortable week stay fridge nice extra . complaint shower narrow nowhere put supply except soap holder . continential breakfast provide last morning depart 6 am . last stay September time friend travel twin room # 10 . arrive Gatwick 9:30 therewas Breast Cancer run go Hyde Park hotel jam pack . reception take bag headed day . upon return check # 10 . # 10 locate stair go breakfast room vision wake morning first people head breakfast . small vestabule upon enter room bathroom area fire door seperate bedroom traffic noise . twin room huge look onto glass ceiling breakfast area . nice sized bathroom tub lot room put toiletry . overall find Darlington good value quiet safe room , excellent breakfast great location . try many resturant list guide find good . during stay travel Gatwick Airport , Heathrow Airport , Tower London , Kensington Palace , Covent Garden area , National Gallery etc bus tube . transport easy even late see play never feel unsafe . 
 Oct 8 2007 	 Great Hotel 	 ' ve stay number hotel London throughout year . many , like Darlington , convert edwardian house . Darlington Hyde good genre hotel ' ve stay . clean , nice sized bathroom , never permit smoking , close transportation , excellent restaurant close walking distance , good breakfast , quiet secure , attentive staff - could not ask much 
 Oct 2 2007 	 great location ! 	 happy hotel . friendly accommodate staff , fantastic location - 100 metre Paddington underground - easy access Heathrow London tube stop . room spacious ( great size ensuite ) . terrific breakfast . would happily stay . 
 Oct 2 2007 	 small clean comfortable 	 stay week single room . small , well lay . point , clean , comfortable , convenient Paddington Station . breakfast include rate . well do egg cook order . plus could much full english breakfast desire ( fan , pass option ) partake cereal , etc . continental buffet . would definitely stay . 
 Sep 17 2007 	 Awesome 	 Basically experience previously write people . stay 2 week [ take write ! ! : - ) ] really enjoy time London stay wonderful full english breakfast sustain we long day walk . room could revamp - be not shabby definitely clean tidy . money pay - excellent value money city expensive experience . a big bonus friendly staff do not hestiate assist guest request . we definitely stay . 
 Sep 16 2007 	 recommend 	 use Tripadvisor hunt good hotel price range ' Darlington ' come good option , not surprised . although approach not promise , surround average accommodation , Darlington good hotel . we four night stay break London find hotel appeal . the staff helpful arrival . arrive well check time happy store bag whilst head City . come back end day find gear take room . likewise check day gear take without question ready pick later . quibble . the room clean good sized bathroom great range channel tv - always important want end day mental chill . the breakfast also good full English offer standard well wide selection cereal pastry . overall real find we ceratinly look book hotel next time Capital . 
 Sep 13 2007 	 Nice accomodation - close Heathrow Express ! 	 stay June 2007 last leg european trip . hotel literally 5 minute walk Paddington Station Heathrow Express stop . hotel not alot room room stay high ceiling fair sized . clean , issue cleanliness throughout hotel . nothing bad say . staff friendly , price ok ( consider strength british Pound CDN dollar , everything double relative term reasonably price ) . tourist , 2 big perk hotel ) Big Bus tour stop right Paddington perfect tourist b ) Heathrow Express short distance deal tempermental tube delay shut down ! nice restaurant appeal taste within 5 minute walk . 
 Sep 7 2007 	 clean safe convenient reasonably price ! 	 stay 3 night September two daughter . room 15 two separate bedroom large bathroom . one room twin bed face main street queen room face courtyard . Room immaculate , high ceiling large window allow good breeze . hotel air conditioning , need weather excellent stay . good tv room , also dvd player , fridge safe . nice toiletry available good shower pressure . hotel staff friendly helpful . breakfast delicious . complaint noise around 6:30 a.m. clean staff stair floor above . area convenient tube train station , 5 minute walk . Felt safe , issue . overall , good value city expensive hotel . would stay . 
 Sep 7 2007 	 love hotel 	 stay four night May , woman travel alone , find absolutely perfect . safe , convenient location . clean . modern bathroom , excellent plumbing . good bed . great breakfast , cook order . friendly , helpful staff . room , back , totally quiet . reasonably price ! compare hotel , fact , downright cheap . return London , would go back heartbeat . 
 Sep 4 2007 	 good value stay 	 pay decent £ 85 per night twin room English breakfast , worth , would not pay stay . positive build original feature ( not feel like usual business - orient hotel usually stay ) , breakfast room pleasant well staff polite helpful waitress room clean good standard . also Sussex fish bar round corner good chicken burger ' ve ever tasted- HIGHLY recommend ! ! ! not rate mushroom breakfast ( clearly tin ) rest nice , especially perfectly fry egg . negative area , mainly unsavoury character hang around outside ( clearly guest hotel next door one ) , although not feel threatened , 2 woman alone could bit uncomfortable intimidate . prepare also awake around 6 am every morning fairly loud creak cleaning staff walk stair corridor non - stop , push trolley directly room . not alert reception , would bit hassle change room . say loud anough wake every morning stay difficult get back sleep not stop . room 203.overall pleasant stay would recommend , noise room spoil stay little . 
 Sep 3 2007 	 another great Stay 	 wife book hotel five night stay London . simply interested & quot ; crash pad & quot ; want ensure good night sleep decent breakfast . hotel exceed expectation . upon enter hotel find service friendly accommodating . public area , include hallway , lobby breakfast area , absolutely spotless . room continue trend . bathroom minuscule , clean well stock shampoo , soap hair dryer . hotel may Ritz , phenomenal value incredibly expensive City . hotel locate cluster Row Houses near Paddington station . location close Hyde Park several tube station . 
 Sep 2 2007 	 live reputation 	 book Darlington Hyde Park read review rule many hotel . want inexpensive hotel close Hyde Park Paddington . stay enjoyable find hotel live good thing guest write . spotlessly clean , tastefully design , comfortable . room single relatively small , high ceiling floor - to - ceiling window make feel much spacious . bathroom well - appoint . funkiness -- hotel plain nice . breakfast room light airy like everyone else say -- wait staff attentive pleasant . be unfortunate Darlington locate end row building -- mostly hotel -- vary quality , proximity Paddington Heathrow Express make tiny bit seediness . definitely stay Darlington next time visit London . 's great find . 
 Aug 24 2007 	 Darlington wonderful 	 NY City - stay Darlington Hyde Park two night want write review find review other site helpful term stay avoid . Darlington clean simple hotel . doorman lift . easy two block walking distance Paddington one take Heathrow Express . staff exceptionally smile , pleasant helpful - desk clean room . bed quite comfortable would like like - one mattress boxspring . want facecloth pay one desk - think pound might want bring . nice tv lamp . smallish room - cozy perfect want inexpensive place safe convenient area . hotel give little brochure map nearby restaurant customer recommend - helpful . especially mention Mr. Frascati - italian restaurant fabulous food ( linguine w lobster die ) surprise good neighborhood place . woman mag store tell good also , Service welcome attentive middle aged woman travel alone appreciate . pleasant experience overall would definitely stay DHP . 
 Aug 20 2007 	 Pleasant comfortable 	 enjoy stay Darlington . room exceptionally clean bed comfortable . hotel corridor bit maze , not take long find way around . breakfast excellent fabulous service wait staff . rarely hear guest , though many . check staff friendly , helpful delight chat throughout stay . be fairly convenient nearby restaurant , near tube station fairly long walk several block . overall , though , good hotel quite pleased stay . 
 Aug 10 2007 	 Perfection London 	 stay 5 night base Trip Advsor review . room # 15 family room two bedroom share bath . hotel clean , comfortable , safe , great location . pleased staff , price , extra touch . laundry room order - could find complaint - easy please sometimes . breakfast extremely good . youself favor ... stay . 
 Aug 7 2007 	 Cleanest Hotel ' ve ever stay . 	 friend have stay recommend hotel we , check hotel 's website early year , see refurbishment do outside building . partner not want book worry possible sleep disruption ( although website clearly state work would take place 0900 1700 , would point . ) book instead hotel nearby street , live regret decision - room small , grotty . call Darlington Hotel ad hoc desperation , plead sweet , kind Renata reception ( staff lovely ) manage accommodate us rest stay , thankfully . Darlington clean hotel ever . fault room ; lovely high cornice ceiling ; spotless bathroom , comfy bed , clean every day amazing standard ... not hesitate book . CAREFUL PADDINGTON HOTELS - may seem like slightly well bargain , many area , be logical be mix good bad . hotel have originally book good enough rating Trip Advisor ( be have book ! ! ) , exception Americans ' ve post review May 2007 have able book phone - think maybe partner look like spineless people not complain accept bad room - have right , degree . not like complain , determined stay whole week - pentagon - shape bathroom doll - house - sized , sit toilet , elbow knock toilet - roll holder , knee touch bathroom door ; largest measure 5 foot corner door ; bad thing horrife find previous occupant ' many blood - stain tissue paper bin , also reek strongly urine - really think go sick . one night 's stay enough we . end force pay half extra night 's room rate guy reception would allow we leave . originally demand 2 whole night rate , manage get take half . agree easily , pay stupidity big time . disappoint , work okay end - will definitely back Darlington . 
 Aug 6 2007 	 Great Hotel .. 	 hotel pleasant professional staff ; whereby nothing much trouble .The room nice plenty space lovely facility . breakfast excellent good italian restaurant nearby " ASK " good reasonably price . great location Oxford Street nearby attraction . differently use hotel … .. thank great time …… .. 
 Aug 6 2007 	 air conditioning 	 nice , cute , hotel great location look take Heathrow Express airport . we stay one night base convenience like much . complaint air conditioning . fan give . room small , cozy . bathroom spacious tub . staff nice ! ! breakfast lovely . overall , would recommend hotel long go situation know AC 
 Jul 30 2007 	 fine weekend London 	 hotel fine weekend London . location / value balance spot , Sussex Gardens nice road close Paddington . 10 min walk Hyde Park , 5 min walk Paddington . double room clean little compact , hotel feel safe , breakfast food average , service average . want somewhere safe , clean & amp ; convienient sleep wash Darlington perfect . 
 Jul 26 2007 	 nice clean hotel tube traveler 	 Darlington comfortable clean place stay . location ( North Hyde Park ) Sussex Gardens line boutige hotel ... nice shabby . room bathroom spacious . can not remember room number actually go step bedroom reach toilet sink . I ' m familiar London , would nice shop , restaurant thing see area . location prime get paddington , somewhat limit ( feel ) wnte stay area go late night bite drink . the staff professional , not expect much way direction recommendation . try help , bit unsure thing . might desk time , since unsure need travel via tube , would nice someone local could trust suggestion direction . our two night stay plesant breakfast wonderful . rate good quality stay would highly recommend anyone except want stay area lot activity . , place cost double . 
 Jul 19 2007 	 great location 	 stay 3 night Darlington able use Heathrow Express Paddington early morning . everything satisfactory we , however one party bed bug bite arm first night . give new , tiny room . easy 5 minute walk Paddington station among whole neighborhood small hotel . Internet Cafe street hotel station . pay $ 200 / night . expensive get , location London July , pretty average . pretty good continental cook breakfast . , plus elevator . mirror near electric plug ! 
 Jul 15 2007 	 Hotel Certainly wow Factor ! 	 visit Darlington Hyde girlfriend 21st birthday , stay many hotel , include 4 5 star hotel within centre London , hotel good this . the hotel 3min walk Paddington Tube Station reach main part westend within 5 - 10 min . hotel small , everything need . hotel see diffrent facility include pool , bar , gym etc , still do not meet standard , hotel dosent basic exceptionally well , standard well worthy 5 Star Hotel see review give people somewhere want go back again . we say room 305 , upgrade suite , pay £ 135.00 , wow , good value money , really spacious bedroom well seperate living room , lcd television , coffee tea make facility lot complimentary Gilbert Soames toilitrie , mineral water room arrive . the breakfast amazing , full english breakfast cereal , toast , juice etc include price . all fantastic stay Darlington Hyde Park , forget staff , especailly manager staff reception could enough we , can not wait till next visit ! ! ! ! ! ! 
 Jul 13 2007 	 wonderful value ; good location 	 stay Darlington Hyde Park May 2006 three night end holiday England . find hotel clean , spacious , good location . travel back London next month choose Darlington ! breakfast beat - choice light fare full English , cook promptly order ! find webcam situate outside Darlington - not give view hotel , could fun visitor ' appear ' family see back home ! [ -- -- ] 
 Jul 7 2007 	 favourite London Hotel 	 well locate hotel elegant part town . security excellent room fairly spacious superbly clean . helpful friendly staff good breakfast serve table ensure choose hotel next visit . 
 Jul 6 2007 	 good decent hotel 	 Staff friendly & amp ; helpful . look bag arrive early & amp ; also day leave . room reasonable size . mention reviews room front necessary keep window close avoid early morning traffic noise . therefore room could air conditioning . breakfast good good choice cook & amp ; continental . service good . location good near Paddington & amp ; far Marble Arch Tube Stations . hotel bar facility fridge room want buy . 
 Jul 5 2007 	 comfy Darlington Hyde Park 	 stay five night midJune Darlington Hyde Park hotel please entire experience . hotel well locate Sussex Gardens , hotel - rich area Westminster ; close Paddington ( Heathrow Express ) well Lancaster Gardens tube stop good bus line . staff friendly , especially charming breakfast staff ! second floor room small necessity comfortable bed . , fine urban hotel . 
 Jul 4 2007 	 great family room Darlington 	 get back trip England finish 3 day London . booked & quot ; family & quot ; room , # 17 . double bed , single sofa - bed . 2 young daughter , perfect . room exceptionally large european hotel room . space child play floor get ready morning bed . also safe , small fridge large double closet . bathroom also decent size . staff friendly helpful . tighten security bombing airport Glasgow . ask double check security delay baggage allowance Heathrow print relevant page we . breakfast room staff excellent girl love way serve hot chocolate tea pot . staff even go along girl pretend tea party . short walk Paddington station within easy distance restaurant . would definetely recommend hotel family . would fit 3 child 10 . however not think 2 teenager would able share sofa bed . book couple month advance , use combination email telephone . problem credit card week arrival . clone month forgot give hotel new cc number . successful contact . cell phone since vacation ... yet still keep room we . thank Darlington ! 
 Jul 4 2007 	 Perfect place stay 	 quiet quaint location easy walk Paddington station . hotel charming , clean , comfortable staff friendly accommodating . stay begin vacation also work we bomb threat Heathrow . 's definitely favorite place London . 
 Jun 30 2007 	 Fantastic Small Hotel 	 stay Darlington Hyde Park May 4 night . highly recommend trip advisor , book . glad . staff extremely friendly , especially girl serve breakfast . partner love cooked breakfast , cook order . continental also really good . room roomy clean . bathroom spacious enough . even bath , need walk around London . close Paddington station , use time . plenty supermarket locate station extra . would stay Darlington . could recommend enough . fantastic . pay 95pounds night , bargain London . 
