fine 	 return hotel 's excellent central location splendid slightly colonial feel . typical modern luxury hotel . time not quite meet previous expectation . courtyard restaurant close , staff seem interested fawn one gain tip ( except clean staff lovely ) price ( recession ) seem even excessive . nonetheless , still quite fine stately feel , not mind pay premium . 
 Feb 4 2009 	 Love hotel ... Hope not break heart ! 	 Ritz - Carlton San Francisco true luxury hotel tuck away Nob Hill . stay hotel back July great time . since return drink lounge lunch restaurant . today go drink find closing lounge several day week . service lounge great love staff . shock closing lounge . also try make lunch reservation next week tell long server lunch . hope hotel survive bad finance time . 
 Jan 9 2009 	 Loved Ritz Carlton 	 stay Ritz - Carlton day Christmas love . not many hotel ' m reluctant leave one . room bathroom spacious walk closet / dressing room , hide suitcase clothe . furnishing beautiful bed linen Frette . dvd player flat panel tv , bring movie watch one evening . celebrate two birthday two day , husband order champagne cake cake delicious , beautifully present fresh flower fresh fruit . hotel staff perhaps little distracted busy week - take use wine water glass first morning not replace ( ever ! - end use paper coffee cup keep forget call ask replace ) . ask four plate / fork birthday cake get two . overall great stay - location ideal ; walk dinner Chinatown North Beach two night . staff friendly - nice young daughter . 
 Jan 5 2009 	 wonderful hotel 	 stay two night 16 night holiday , good hotel stay . comfortable , clean well situated , perfect . certainly stay . 
 Jan 3 2009 	 great hotel great location 	 stay 2 night part seven day trip explore northern California 1st wedding anniversary . stay New Years eve . the hotel great location - short walk away Union Square , ( long ) walk distance fisherman wharf . room lovely clean . also stay Ritz Carlton Half Moon bay prefer room decor hotel downtown location - matter opinion room also gorgeous . bathroom lovely . build visually stunning well . the service good impersonal - nowhere near good Half Moon bay that s would give hotel four rather five . check smooth . minor point five star hotel , expect doorman hold door , enter leave hotel however , two night stay , come go numerous time , do . valet parking $ 70 include tax - think expensive . valet park first night move car car park one block away second night - pay 7 dollar second 24 hour ! would stay ? possibly , would least look luxury hotel downtown booking . 
 Jan 3 2009 	 9/10 	 spend new yrs Ritz Carlton SF simply good hotel experience ever . service perfect could not see flaw ' W ' hotel usually make ; room clean ready arrive hotel . give 9/10 Ritz location . one good hotel SF , since locate steep hill , friend hard time walk hotel union square shopping area . ( money , taxi / limo always available ) service impeccable , terrace brunch buffet pricey pretty much every food imagine . personally think din room Ritz SF one good restaurant SF . 
 Nov 6 2008 	 wonderful splurge 	 start first 3 night Northern California honeymoon . exception small mix upon check ( someone else name checking day , getting quote deal ... much well ! ) everything flawless . honeymoon , get excellent room , complimentary chocolate pot honey , story history & quot ; honey moon & quot ; , rise petal bed . happened stay premiere new movie & quot ; Milk & quot ; , many celebrity staying site , lot commotion security around , even manage seem normal abundance attention guest receive . have book hotel hesitation ( really want spend much money hotel ? ? ) , hesitation melt away within 5 minute property . precisely luxurious splurge define honeymoon ! 
 Oct 26 2008 	 Excellent 	 stay San Francisco 3 day business meeting .. company choose hotel .. feel lucky .. everything top notch .. room , breakfast , service .. give high recommendation . 
 Sep 24 2008 	 love wonderful old fashioned hotel 	 stay part work trip love . staff wonderful can not enough . ask concierge good place recommend Saturday night make reservation even give we town car get ! breakfast world , good egg benedict ever ! ! ! wary asking cup tea bring we full english afternoon tea , sandwich crust cut , cake , bicuit , million type tea 5 million thing add ! ! Location suberb short walk away centre shop meal hotel cook fantastic quality . highly recomend hotel , love fact still old fashioned maintain old world charm . anyone stay San Fransisco seriously consider accomodation despite fact go pricey destination , worth every penny ! 
 Sep 8 2008 	 perfect every way ! 	 second visit Ritz stay inAugust 2007 well . hotel perfect every way . stay Club Level would highly suggest staffcould friendly accomodating . twodaughter age 12 17 love San Francisco Ritz wereanxious return . gift wait insidethe room upon arrival anxious getto lounge enjoy wonderful food . find staffto go beyond make stay wonderful possible . hotel beautiful great location walk Union Square etc . room nice perfect family 4 . opinion Ritz well worth price treat royally . 
 Sep 4 2008 	 much service ? 	 Ritz take great pride & quot ; anticipate need guest & quot ; .After bellman get name arrival , use radio tell name front hall staff , greet name walk . find creepy . the hotel call woke afternoon , call see anything need ( sleep guess ) .The hotel gorgeous , room . bathroom shower pretty plain compare common expensive hotel day . their executive lounge breakfast buffet incredible though ! ' m sure back ... 
 Sep 3 2008 	 Loved Ritz ! make sure Room Highest Floor ... 	 husband attend conference San Francisco tag along see great city San Francisco . Ritz Carlton beautiful hotel ! lobby gorgeous hallway decorate artwork local artist depict famous landmark scene . fly San Fran NYC late restaurant close luckily 24 hour room service ! expensive . husband order : ( salty ) chicken finger fry , cheeseburger / fry along two soda come $ 60 . later read fine print receipt $ 4 delivery charge think need tip ? anyway . also order room service next day breakfast 3 egg omelet ( cheese , spinach ) along w / toast coffee come $ 40 . first day room service , though must say breakfast superb . room spacious sheet phenomenal ( 400 thread count , make hard get bed ) . Ritz also different pillow accommodate ( fluffy , soft , hard ) . room 32 ' flat screen television wide selection movie order . wireless internet service available . room also equip Bose system allow plug ipod . Bulgari also provide toiletry . love turn service ! would come back room exhausted chocolate bed , copy late headline New York Times , local jazz station play . relax thoughtful . location perfect 2 minute walking distance Chinatown , Union Square ( ton shopping ) , bus stop , trolley stop , Grace Cathedral . the entire staff knowledgeable . need walk direction mural balmy avenue line concierge ( also extremely helpful ) one bellhop ask help ? awesome ? give direction way . wish get name helpful . clean staff awesome , think clean lady name Yalitza ? phenomenal . the problem room ( # 360 ) would consider bottom floor . order access room take elevator one floor 3rd floor ( think conference room floor ) , walk stair access room . directly across kitchen ? beautiful courtyard . besides step recommend disabled visitor , loud last 2 day stay . might wedding function lasted seem like 3 morning . also think hotel guest would go smoke drink friend equal loud noise . honest expect great room Ritz especially someone pay $ 500 night . tad bit disappointed room . sure could switch room late expect hear noise two night row . visit Ritz Carlton New Orleans beautiful hotel attentive staff . enjoy stay Ritz Carlton would visit again . I hope review help someone . happy Travels ! * park available Ritz cost $ 60 day park $ 40 day around corner St. Mary 's parking lot . also rent car hotel need . * 
 Sep 1 2008 	 Love San Francisco Ritz - Carlton 	 day arrive San Fran , receive email & quot ; Club Concierge & quot ; Ritz . anything could arrange ? preference ? well , get touch . discuss everything get around SF ( since not know city ) food service Club Lounge ( rely daytime grazing ) could handle arrival good friend halfway stay . the Club Concierge staff must devote hour question , know might cancel whole trip . excellent , even well arrive , make salon appointment planning excursion , even handle crisis reserve rental car show up . I mean stay hotel , Ritzes , whenever . yes , pay lot , level service receive , opinion , worth . northe expensive get appropriate value money . 
 Aug 27 2008 	 Hotel teenager 	 hotel nice . welcome staff give champagne & amp ; water pleasant . check clerk nice , give cold towel people next check . room Junior Suite hotel kind enough make something special daughter , 12 , waiting room . room view . hotel full due wedding week - end . we head dinner , call taxi 15 minute , get downstair , taxi , wait another 10 minute get car ' m sure driver work . funny thing , head dinner around 6:05 pm , bellman actually ask walk Pier 39 dinner . ' m sure everyone else , far walk . run 5 mile 3 time week , still walk Pier 39 heel especially way dinner . the hotel really old generation due fact swimming pool close 9:00 pm among everything else . 3 - 12 year old kid , thing hotel . as , hotel would ever stay . first time experience everything book . like Ritz Carlton , never stay San Francisco Ritz . go back weekend , go back St. Regis stay time . just note concierge club lounge jokingly tell 3 kid not behave , dish night . take insult , told not think going happen , work hard teach kid respect . like say hotel teen - age kid . 
 Aug 21 2008 	 Best Hotel 	 daughter stay Ritz first time August 2008 . hotel beautiful , customer service outstanding . treat like queen . room corner room 6th floor . spacious clean . enjoy beautiful spa , swimming pool workout room . service daughter spa perfect . order two ice cream cup room good ice cream cup ever . ice cream cookie , chocolate , whip cream rise side . one night trip relaxing remember forever . thank Ritz Carlton . 
 Aug 12 2008 	 great hotel 	 stay four night late July . trip special occassion - belate honeymoon - recieve upgrade club level room chocolate ' honey ' room arrival , lovely touch . room sizeable huge extremly comfortable bed great tv , load movie choice . food club lounge perfect - lot fresh fruit brekkie , great cheese selection lunch oatmeal cookie ' m still withdrawal symptom ! staff extremly professional friendly reception doorman . the location also convenient . 's seven minute walk union square ( easy way Square back hotel nob hill give free workout walk back ! ) block historic cable car take Fishermans Wharf one side chinatown other . would definitely stay , would highly recommend friend . 
 Aug 12 2008 	 Loved hotel ! 	 wife stay club lounge suite vacation SF May 2007 . staff Ritz - Carlton San Francisco courteous attentive . within first hour checking room , contact see need help dinner reservation , tour anything else area . promptly get us restaurant , want try unable secure reservation . guest manager also visit room provide we welcome present . pleasantly surprised selection quality food offer throughout day Club Level Lounge . one good hotel experience ! 
 Aug 11 2008 	 wish could stayed long 	 arrive SF late evening long drive Reno , GPS system work freak traffic totally exhausted treat find room Ritz ! room fantastic especially bed , fine linen . staff treat we royally . great location , wonderful room service . sorry arrive late leave next day home . next trip SF stay long . 
 Jul 29 2008 	 Loved Ritz 	 recently stay Ritz Carlton work relate business two different time July . really impressed entire staff . make feel important guest . arrival check amazing experience . loved toiletry room coffee bar . room beautiful bed comfy . would come back .. yes would . staff amazing . thank Ritz Carlton great experience 
 Jul 24 2008 	 wonderful 	 wonderful experience - stay hotel base upon review place celebrate special occasion . live good review . upgrade club level last minute superlative experience . make feel welcome staff friendly helpful beyond comparable luxury hotel experience . love much stay extra day . Dining Room special dinner also recommend - like hotel - service extremely attentive intrusive . location wonderful - explore chinatown foot wander Ferry Building . magic San Francisco need explanation special event ( afford ) wonderful way experience . 
 Jul 16 2008 	 Good Stay 	 return six night stay Ritz Carlton . first impression good one help bag arrive . also , something wrong toilet room . maintenance person quick respond try correct issue . thing improve first day . staff friendly room nice . really like location hill many restaurant nearby . overall , think hotel nice deserve high rating . 
 Jul 10 2008 	 good hotel San Francisco ! 	 good hotel ever stayed - believe , extremely hard please ! decide book 3 night honeymoon stay base review trip adviser , say hotel meet expectation understatement ! drop scruffy van airport imaginable , yet still welcome like five star guest . within minute check greate actual name . attention detail service Ritz staff amazing . arrival room champagne chocolate lovely card guest service congratulate we marriage . yes , know thing finely tune marketing ploy , never feel like . honestly say every member staff cleaner management friendly , helpful extremely professional . room ( 225 ) nice size , clean view terrace San Fran building . nothing much trouble Ritz team , honest , spoiled rest honeymoon , hotel could meet standard ! lounge bar provide fantastic cocktail ( Ritz Cosmo try ! ) lounge food menu actually reasonably price high end hotel . lovely meal terrace dining room , although could not try food dining room close week ( though highly price menu ) . would highly recommend hotel travellor ; dress fairly casual , atmosphere relax everyone make welcome . thank Ritz staff wonderful memorable stay ! 
 Jul 9 2008 	 Excellent Ritz 	 ' ve stay Ritz July 3rd 6th . excellent hotel , service room . special thank bartender , Ruth Jennifer concierge David . little overprice , remind many way decor service Four Seasons Istanbul . definitely stay Ritz go back San Fran . 
 Jul 1 2008 	 Best Hotel Experience ! 	 stay hotel four day two young child . junior suite , ample room four we . also experience club level service first time . superb . hotel beautiful , clean classy , service outstanding . staff remember child name , make sure give little toy long wait lobby , never make feel child welcome . concierge fabulous job find we five star restaurant noon saturday evening ! food fabulous buffet champagne brunch excellent beautiful setting . , good Ritz hotel stay probably well stay hotel . 
 Jun 30 2008 	 Shaky start good recovery ! 	 book stay Ritz Carlton hotel website , travel 3.5 year old son . register conference hold Moscone Centre 22,000 delegate - imagine pack city . high expectation stay Ritz Carlton Bahrain . overall , feel hotel meet expectation give fact city bursting seam ! especially good service concierge ( David ) .One notable side although rate child - friendliness highly website - actually happen practice . reception staff unaware POLO scheme ask gadget make room child - friendly , even though register scheme online . kid menu hotel room make order room service child easy . rectify even highlight . also huge mis - communication reception staff hand - over lead baby - sitter leave wait reception 45 minute therefore make we late dinner reservation ' Chez Panisse ' ( not even think reception staff aware inconvenience cause ) ! although may sound like making bad review , spa pool , great breakfast room service , spacious classically decorate one bedroom suite - ask high level courtyard view ( stay non - club standard price hike $ 200 due increase demand cause conference ) . compare Omni rate . 1 site - think Ritz Carlton well value money non - club one bed suite ( 2 room ) Ritz cost California suite ( l - shape room ) Omni . Omni spa / pool location great . money spend would definitely recommend hotel location ( close cable car , china town , shopping ) , good knowledgeable staff ( prompt ) , pool spa , great playground block away reachable cable car . and son end stay decide take permanent residence hotel rather return home , imagine Ritz Carlton must child - friendly perceive adult ! 
 Jun 27 2008 	 quite simply well 	 Quite simply good . live hype , Ritz - Carlton , San Francisco . stay two night May 2008 . firstly uncomfortable pay room rate r - C , SF ' stay . amount service fine surrounding make happy . however wish make holiday pleasant special ( holiday , regular life ) complete package Ritz tough beat .. maybe unbeatable . logic perhaps $ 200 ' comfortable ' hotel get – central location ( 10min walk Union square ) Cable Car stop outside , facility great , room beautifully appoint staff second none ( yes none ) . addition restaurant first class , breakfast Terrace equal good , absolutely nothing bother . little niggle disappointment . I stay great number 5 star hotel worldwide ( incl . Waldorf - Astoria Ahwahnee ) Ritz - Carlton , San Francisco beat . 
 Jun 26 2008 	 Ritz Carlton SF Impeccable service 	 take son day sight seeing first visit SF . fly Oakland catch taxi Ritz Carlton SF . great . wonderfully convenient location . nice clean room good bed ever encounter hotel . modern facility room bathroom . truly one relax room ever stay . almost never want leave ! upon check smooth pleasant , go room within 15 minute phone rang someone downstairs ask we like room need anything ! sound sincere like make call , even though probably . love little touch like . can not remember another hotel ever do . room service prompt know hotel full , olympic torch come town great deal people stay . one hotel work seem frazzle overwork . one pet peeve . travel lot relax , watch employee seem uptight defeat point stay . way highly recommend hotel . concierge helpful send we delicious restaurant . one unexpected visit far exceed ( high ) expectation . go back soon stay comfy room ! 
 Jun 25 2008 	 Awesome experience ! 	 wife return 6 day stay Ritz - Carlton . first trip San Francisco , reward work sale contest , hotel book / select we . say , selection could better . greet entrance , friendly , helpful , respectful young lady front desk , immediatly realize Ritz difference . service amazing . room clean , king size bed , maid service turn service never & quot ; early late & quot ; . room honor bar stock soda , juice , liqour , candy , nuts , well & quot ; emergency item & quot ; like dress sock man , pantyhose woman ... great idea , even though not use item . the lounge great place enjoy night cap 2 3 4 , lucky , NIcole server . prompt , friendly , willing give advice go , , even coolest & quot ; speak easy & quot ; ! ! location turn perfect we , close attraction want see . right next China Town , cab Fisherman 's Warf vary 3 time take , never $ 9 tip . Ritz beautiful hotel . attention customer service amazing . every employee meet , even walk hall greet we smile warm friendly greeting . thank , staff Ritz - Carlton , make first trip San Francisco awesome experience . Louie Sheila 
 Jun 24 2008 	 Favorite Place 	 second stay Ritz San Francisco . husband travel SF year tradeshow . San Francisco favorite city look forward trip year , mostly love Ritz much . service minute arrive perfect . bellman professional , knowledgable work 10 year . stay Club level one good part stay . food beautifully do always fresh . concierge help make reservation restaurant would otherwise hard book short notice . friendly earth , without lack professionalism . stay one bedroom suite occasion love furnishing , size beautiful bathroom . location perfect ; close enough North Beach walk , one major hill Union Square , step trolly line Powell . restaurant hotel worth try . Dining Room good service ' ve ever . enjoy french food , must . terrace lunch great , server friendly , decor beautiful food perfect would expect . spend evening casual restaurant lobby , quiet place relax fireplace piano . lastly , spa , fitness facility pool also perfect . good massage ' ve state California Ritz . 
 Jun 22 2008 	 great breakfast 	 nice , elegant building , good location shopping street . large room , comfortable bathroom . bed soft . although big screen tv , wide range radio , tv channel , dvd CD library . excellent breakfast , berry amazing ! service average . swimming pool great , gym part . 
 Jun 15 2008 	 absolutely magnificent 	 lot good good hotel , however ritz carlton san francisco , stay week june , truly exceptional vallue primarilly great staff . of course room great immaculate , bed comfortable , breakfast truly refined , pool nice , make difference good exceptional hotel personal touch get . the first night get room great view unfortunately street noise , since light sleeper ask change room next morning next day soundproof room great night sleep rest week . the people reception , especially lovely Xaviera , really whatever could make stay exceptional knew city well direction shopping , eat going even beat path great stay ! would absolutely return ! 
 Jun 1 2008 	 great anniversary getaway 	 Ritz Carlton cheerleader . previous stay service par ( late turn down , dish hallway etc . ) Club Level constantly crowd often short food . what bring we back location , atmosphere , gym / pool . bonus service time exceptional . location : Right Union Square Chinatown / North Beach , be great home base explore SF foot love chinese italian food 's perfect . atmosphere : literally , air room clean fresh dry . must filter somehow . other mention & quot ; dark & quot ; interior . like intimacy elegance lobby room . bed sheet phenomenally comfortable . one tip : courtyard face room quiet . gym / pool : first , air smell great . strawberry lemon infuse drinking water refreshing . baby love warm pool . indoor lap pool nice gym well equip . service : honestly not expectation service , since previous experience okay , problem . time , spend two night wedding anniversay , mention reservation , not ask anything . however , chocolate cover strawberry room upon arrival , personalize cd music year marry , flower petal bed turndown , several flourish . time service terrific mostly unexpected . experience service Ritz Carlton good be busy , average really busy . factor remain excellent . feel Ritz Carlton worth extra cost , especially special occasion . 
 may 27 2008 	 Perfection 	 girlfriend want treat & quot ; memorable , timeless & quot ; experience 40th birthday Ritz . moment check , able observe Ritz 's industry - lead guest information system action . front desk know birthday , custom - make cd playing suite classic song 1968 , return short outing nearby bar , bed cover rose - petal , etc . etc . we dinner Ritz Carlton Dining Room honestly say 7 course taste menu good meal ever ( include top restaurant Europe , Gary Danko 's , et al ) . also brunch Sunday equally amazing , fresh crab , caviar , delicious seafood , prime rib , . service around flawless , bed incredibly comfortable , suite spacious quiet Ritz unique memorable , five - star experience . highly , highly recommend ! 
 May 19 2008 	 club level top ! 	 second year row celebrate wedding anniversary Ritz club level . on 's Ritz experience club level take next ( pardon pun ) level . make reservation ask tell celebrate 35th wedding anniversary time park car till time check truly celebration . we meet door hotel staff member greet we name wish we happy anniversary . desk champagne offer well hot towel freshen . club level separate floor special key need access level elevator . elevator open concierge desk greet name usher club lounge . club lounge boil almost full time eat , drink , open bar include price club level . the name hotel say , really Ritz . every turn something happen remind level service dream . beautiful furnish room , three telephone , flat screen high definition tv , iPod ready clock radio , dvd CD player keep come . this annual pilgrimage & quot ; half life & quot ; intend continue annual affair . 
 May 18 2008 	 greatful thank Magnificent experience 	 wife decide stay prior boarding Crystal Cruises . read USA Today wonderful bed . we know final hotel , wife terminal bone cancer . our experience magnificent . the bed believe ... literally sleep cloud . room service impeccable , staff incredibly kind wife . last experience treat royalty . grateful Ritz Carlton San Francisco give wonderful experience . when return home , call Hotel request buy entire bed - set , mattress sheet comforter pillow , gracious helping obtain all . my wife able sleep comfort final month . thank , Ritz Carlton San Francisco . 
 Apr 22 2008 	 good hotel stay ever ! WOW ! 	 absolutely perfect hotel ! love every minute spend Ritz Carlton SF . staff truly amazing , feel instantly welcome know people year . really want feel comfortable home . never treat well hotel staff ! every time come back wait we say & quot ; welcome back & quot ; . perfectly appoint room , even nice view . everything would expect hotel caliber ! set standard . super comfortable bed , perfect bathroom , flat screen tv w/ hd programming , even middle night shoe polish service . stay hotel SF think comparable - even close . Ritz do - good - wish business would treat well . stay hotel visit SF . love location , perfect base camp see city . easily walk Warf Union Square , take cable car taxi 's back hill , even walk back Union Square - bad walk . beautiful place enjoy city ! many thing could say hotel -- go stay see ! perfect blend want need want need ! customer service ! hotel wealthy , far wealthy , treat like king feel comfortable . feel place Ritz , allow . hotel pale . 
 Mar 29 2008 	 outstanding overall one glitch 	 one well urban Ritz - Carltons far public area , room , service , top - notch . location also wonderful business traveler . the gym , however , unacceptable . reviewer note , cramp surprisingly dark , equipment fairly old . size easily remedied , solution dreary darkness , well , light . not take year study figure one out . as extremely frequent four Seasons Ritz guest , would also note manager , although respond review admirable , avoid pr spin along line & quot ; think city San Francisco provide enough gym . & quot ; someone complain 5 - star restaurant , would respond city San Francisco provide plenty renowned restaurant ? keep mind many guest likely travel West , mean wake early want . go gym one thing , really ratchet quality . that say , would consider stay property . 
 Mar 13 2008 	 Best far 	 stay Ritz mid dec . birthday girlfriend . read review property decide would worth , boy right . check check attention sevice detail excellent . book club level room personally way go . hotel cater small meal throughout day could literaly eat entire day , wish stay hotel . shop downtown five minute walk property . rercommend rent car many area see . club level concierge disposal find whatever & quot ; look . book we private tour napa valley good boutique vinyard . chance request Classic Wine Tours ask Nico make tour enjoyable memorable . overall stay could not well . hope back soon . thank Ritz Carlton . Alexander H . 
 Mar 6 2008 	 Flawless 	 stay management team conference . never SF , tough book without know . would hear good thing . could imagine incredible hotel go . great location , staff par excellence , immaculate & amp ; elegant room , dreamy bed , restaurant fab , spa .... ah , spa .... perfection . 22 attendee agreement PERFECT hotel . we ' ve stay pretty swell hotel around world seasoned view good service . Ritz gold standard hotel . obsequiant falsely charming , perfectly execute service . 's everything would expect 5 - star . beautiful faciilty . not think could ever stay anywhere else go back . ' m ruin . love ! one word stay FLAWLESS . Bravo , RC ! 
 Feb 26 2008 	 perfect location beautiful hotel wonderful staff 	 stay club level give gorgeous room view Coit tower surround area . like look postcard . club level food location good morning - evening service probably bad Ritz 's stay . actually big deal , though , many restaurant within walking distance . one block ( Bush ) amazing restaurant call Bar Crudo ( vote one top 100 restaurant S.F . ) also chinatown block . walk Coit Tower one day next morning walk Farmer 's Market Ferry Building ( walk take less 20 minute one way ) .The location hotel number one asset - fact also gorgeous inside , really nice staff greet name time lobby .our room also clock radio- way date . bed comfortable , nice big screen tv , turn service , mention amazing view ? 
 Feb 19 2008 	 good hotel service world 	 usually unimpressed luxury hotel service , rarely find worth price . Ritz - Carlton SF exception . live area , want stay city nice weekend , love old - world - elegant beautiful building choose r - c . location good , event like . contact concierge via email make reso , incredibly personal helpful suggesting restaurant , etc . impersonally expect suggest usual , genuinely engage . also follow afterward , nice . service IMPECCABLE , parking valet checkout , incredibly professional , unusual day . spa ok , afterthought , thing not knock sock . two room suite inside away street , totally quiet , rarity city . dinner Dining Room , taste menu wine pairing , excellent . service world , many people discreetly attend every need . real wood burn fireplace lobby bar , another rarity city ! breakfast clubby style bar good , less formal big breakfast room . disappointed . 
 Feb 18 2008 	 nice weekend Ritz SF 	 return weekend San Francisco Ritz Carlton . first time city love . Ritz also good choice . hotel location great - central Chinatown , Union Square cable car line / stop Ferry port Fisherman 's Wharf . stay club floor . usual , service fabulous . help we restaurant car service , recommend go ferry port Saturday unbelievable farmer market . breakfast , cocktail cookie excellent ; early evening offering okay . room # 831 large beautifully decorate , location not good - right club floor kitchen virtually view ( view block front facade roof line ) . get feel maybe room not use often miss clock radio water come sink faucet initially brown . overall , service , would expect , excellent , Club good room average Ritz property . 
 Feb 12 2008 	 Ritz Carlton home away home 	 spend one week Ritz Carlton business . first , staff top notch . everyone warm , helpful professional . room spacious comfortable hear anything neighbor week . previous posting , yes , get road noise ( honking , braking , etc ) , hey , city , go territory . bed comfortable . we , Nob Hill close enough Convention center , restaurant shop , far enough away crowd street . special thank Robert Concierge housekeeping staff . breakfast buffet good , albeit expensive . complaint fitness facility small , dark limited equipment . pool , however , nice . 
 Feb 5 2008 	 Best Choice ! $ 67.00 parking ? ? 	 stay hotel four night January . first , hotel poor location cafe / restaurant locate ( ) nearby . second , hotel date , dark , need refurbish . feel like haunt house part . staff hot & amp ; cold . great concierge , staff stand mid - lobby apparent reason . never greet we , smile ... nothing . sit lobby 25 minute one afternoon watch young lady stand near front entrance ignore people . weird . room service pricey ( expect ) , food good . vibrant city like SF , many great choice , even well & quot ; five star & quot ; leauge would think would step thing compete . Old fashion , Old Building / Rooms , Way overprice . $ 59.00 per night ( expensive valet city accord limo driver ) parking , self offer ... plus city tax ! not waste time money . check Four Seasons , St. Regis , Mandarin Oriental even Palace Hotel . beyond much well choice . safe travel ! 
 Jan 29 2008 	 Great Service Great Location 	 husband book trip birthday upgrade executive level floor suite , instead room book . wonderful location , great service , room really nice . club floor wonderful . free food drink pretty much time . 
 Jan 23 2008 	 10 star hotel 	 far good hotel stay ever experience . stay hotel claim 5 star not come close Ritz Carlton . like ultra clean room , super friendly helpful employee place . say enough great thing hotel attentive staff . the fine dining restaurant close stay comment regular restaurant excellent . ice cake bottled water leave car valet drive home . can not wait go back . 
 Jan 16 2008 	 Amazing Always 	 hotel good San Francisco , continue good hotel Ritz - Carlton chain . matter travel world , always find compare hotel Ritz Carlton San Francisco , hotel match level hotel . greeter entrance front desk staff greet name , service unparalleled . addition interior exterior property extraordinarily elegant , recent room renovation complement hotel . although stay nearly flawless , couple thing want point . stay hotel since open , recall Business Center use exist next Lobby . although small , center offerend free access computer , convenient stay . Business Center since move third floor one must pay internet access . amenity offer hotel , seem like free internet access expectation . actually find business center free internet access similar use offer Ritz Carlton nearby Mandarian Oriental Hotel use computer . Ritz definitely beat hotel nearly aspect , except free access business center . furthermore , notice change Lobby Lounge . notice trend Ritz Carlton chain property undergo major renovation classic remove modern introduce . hotel like Ritz Laguna Niguel look like W Hotels . fortunately , opinion San Francisco hotel resist extreme change . guest room tastefully redone , maintae classic theme , lobby continue define elegance . notice Lounge empty wall picture use hang new lampshade , hope start new identity space . another difference see week hotel long live piano entertainment night replace CD recoring & quot ; W Hotel - style & quot ; music definitely suitable Ritz Carlton . not want sound negative . stay basically perfect . hope see Ritz Carlton continue maintain identity past 16 year . 
 Jan 1 2008 	 love little one 	 stay Ritz Carlton September 2007 3 child ( 3 ) . hotel truly make family trip San Francisco memorable one . whole staff accomodate -- take care every need even request . room fabulous can not say enough staff . husband feel like vacation ( hard 3 little one ) . travel back San Francisco absolutely stay Ritz -- not think another hotel could measure . really enjoy stay . 
 Nov 19 2007 	 Staff make Hotel ......... 	 recently return San Francisco pleasure stay Ritz Carlton ! room beautiful ...... bed extremely comfortable . room quiet ! try stay 6th floor possible .... face Stockton Street much traffic . even quieter room ... ask inside courtyard room . the hotel elegant staff make hotel special ! valet , Aaron Miquel personable ! Bell Staff ..... Dino , Robert Mike quick help direction always make laugh humor wit ! ' m sad see Shaun O'Bryan transfer one manager seem engage everyone smile face ! truly classy man ! plan return hotel tree lighting ceremony enjoy whole atmosphere ! Whitney Rector 
 Nov 17 2007 	 Beautiful Ritz Carlton 	 wonderful place stay San Francisco . staff first rate , room lobby stunning . room service meal incredible - good steak ever . hotel make stay San Francisco perfect . 
 Nov 13 2007 	 still gem . 	 get good rate would worth much . service stellar . even though hotel around year , be barely show sign age . several room interesting layout , worth look . linen crisp room clean . room service time nicely present . afternoon tea lobby exceptional due staff . later day , place become nice cocktail lounge . Ritz sit hill hike uphill direction streetcar line close enough Chinatown dimsum . despite review , neighborhood much quieter other . one complaint ' m usually picky . 
 Nov 11 2007 	 Full Service 	 reason hotel 5 star designation . arrive greeters lobby greate name . suite gold floor disappoint . living room half bath keep boyfriend stir crazy . enormous closet , wonderful bathroom great bed worth every penny . the free appetizer drink caviar make gold floor stay extra nice . gestation menu & quot ; Dining Room & quot ; first night wonderful . problem besides eight different course glass wine occur later restaurant city . seem chef come fois gras pigeon 4 different way initial pleasure Dining Room somewhat dull . would definitely stay need extra pampering . 
 Nov 1 2007 	 warn traffic noise ! 	 recently book room Ritz venue convention . book room 221 , second floor , almost street level . traffic noise ( motorcycle roar hill , siren , car , morning cross guard whistle ) extremely irritate disturbing unless intend sleep . quite shocked disappointed would recommend hotel noise factor wing . overall service good , could make bad room location . careful check book check - in desk warn noise neither website . 
 Oct 28 2007 	 Put Ritz SFO 	 October 28 , 2007just return San Francisco Ritz Carlton . one good stay ever . way possible really stay Club Floor . check easy quick . club level everything smooth . call enroute let hotel know time would definately check early . arrive 1:30 . room available time . give access club lounge . time get elevator bite eat ( 10 minute ) room ready . specify double bed room adjoining . adjoining room . make unhappiness know give another room face Pine street . quite quiet , clean , good service . entire four night stay problem follow request . staff extremely accomodating , acknowledge we name every opportunity . agree review regard water pressure think shower head . hotel change shower head . nice . Ritz Carlton 's Club staff really good Ruggero heading team . good Job ! 
