incredible 	 bad possible thing happen we hotel . not discover spa morning checking . almost cry . incredible . please , go soon check . would amazing way end day day Beijing . the bed firm linen amazing . sleep well age . also bad get early go Great Wall . concierge arrange English - speak guide driver take Wall ( anywhere ) much money . even though not get sleep much well worth it . we also want Peking Duck Beijing guide book recommend & quot ; make China & quot ; restaurant hotel . bit skeptical usually hotel restaurant suck - maybe be USA . notice lot hotel restaurant Asia multi - starred really superb . anyway - Peking Duck & quot ; make China & quot ; phenomenal . everything else menu . also get couple really spicy dish awesome . Beijing enormous . thought could walk Forbidden City , square , reality not close . taxi cheap . one day cab like 30min like $ 3.also , pollution Beijing disgusting . really can not see two block . the Grand Hyatt one nice , comfortable hotel ' ve ever stay . great place come back explore Beijing . 
 Dec 22 2008 	 nice travel business ; tourist find well value elsewhere 	 stay Grand Hyatt Beijing year ago think nice , although spectacular . lobby fill glamourous type - chinese foreign - wear high heel , short skirt power suit . definitely backpacker hotel ; ) one small room hotel cramp even budget standard , colleague rave spacious room though , guess unlucky , aware size vary lot . even though high floor much view way window construct . I mix feeling service . ask iron board iron first night wait half hour appear - would expect hotel calibre . hand - travel boss forget favourite suit closet . call hotel airport send Dubai , wear within day ; ) guess pretty good service . the breakfast much well raffle next door highly recommend . atmosphere much less luxurious plush raffle - also less stuffy ! location fantastic Grand Hyatt lie middle Beijing 's premier office retail complex , convenient business - main selling point Grand Hyatt . also close forbidden city , tianenman square various night market . 
 Dec 16 2008 	 beautiful hotel great location 	 beautiful hotel great location , close Forbiden City Tiannamen square , well shopping district Wangfuyin . the hotel connect big shopping center oriental Plaza . huge lobby , wonderful indoor swimming pool ( one good never see ) . deluxe room normal size , warm furnish . good restaurant , business facility , friendly staff . the restaurant quite expensive Beijing 
 Dec 8 2008 	 Nice Hotel great location 	 nice Hyatt , probably one good ever visit . pool / workout area amazing , morning breakfast part package good . nice attach big mall food court low cost food option . walk distance forbid city close attraction . bed hard rock , understand pretty much par course China . staff friendly helpful part , speak enough english effective . overall solid choice . 
 Nov 20 2008 	 live expectation 	 stay Grand Hyatt week early November business trip . enjoy hotel great deal would definitely stay . indoor pool amazing manage swim lap every morning work gym next . crowded well maintain . walk area pool shoe quickly tell remove . emphasis cleanliness . pool two hot tub one waterfall . spare expense pool . they nice gym equipment would expect see . well maintain equipment new . attendant pass towel water walk . tv screen alot equipment along headset . room club level large room along club area access drink / snack night breakfast morning . nice look forward start end day . tend charge high premium club access one person room , worth . also get access business area relax without crowd . the lobby area nice area drink food overlook large beautiful fountain outside . I like hotel locate next large indoor mall . also easy walk distance Tianamen Square Forbidden City . everything else taxi ride away taxis cheap Beijing . complaint restaurant second floor expensive . thank goodness business trip not pay . get beer dinner bottled water . water beer end cost almost $ 10 . orange juice breakfast also close $ 10.the concierge helpful write Mandarin place want taxi driver take . also arrange trip great Wall Mutanyou lot fun . moon bar not really strike anything exciting other mention . ok time though . the front desk personnel always helpful friendly asking direction , advice , exchange money whatever need help . never problem get taxi front hotel either use often . overall great hotel , great experience , back ! 
 Nov 15 2008 	 favourite hotel Beijing 	 ' ve travel Beijing several time year many year , last year always stay Grand Hyatt . month ago , fantastic usual . good thing indoor swimming pool . almost 50 meter long , decorate like tropical forest , star ceiling . also waterfall platform , lie get water massage . next good thing buffet breakfast cafe second floor -- numerou selection , get food directly cook prepare everything right behind counter . another thing like Red Moon bar right behind lobby . bar live music almost every night all - girl band play chinese western pop music . also serve great japanese food . love , therea cigar room inside bar . 
 Nov 14 2008 	 expensive nice 	 expensive hotel , even Beijing standard . slight bad taste mouth room rate . book rate internet . check ask still good rate room tell yes . go room , get ( expensive ) internet fire , find rate actually go since booking . fair go reception adjust rate immediately , annoy this . otherwise excellent hotel . breakfast especially nice . central location , good business , site see ( close metro ) , shopping , restaurant . 
 Oct 31 2008 	 great location really great indoor pool 	 Grand Hyatt conveniently locate 5 - star hotel Beijing . 10 - minute taxi ride Tiananmen Square , 10 - minute walk wangfuje ( Beijing 's main pedestrian shopping street ) , right next door oriental Plaza , Beijing 's large indoor shopping mall . the hotel room nice , exceptional . clean modern , good large bathroom . make hotel special common area , especially large indoor swimming pool , one good world ( kid ! ) . pool area decorate like tropical paradise , simulate twinkle star overhead . Adjacent pool spa health club complex . hotel 's lobby full marble pleasant seating area enjoy drink snack . front desk friendly efficient , helpful concierge desk . enough staff member speak English language problem . addition , hotel large full - service business center , user - friendly . there number good restaurant hotel , although cheap . want something casual , wide range restaurant oriental Plaza mall next door . breakfast buffet Hyatt excellent , good selection hot cold asian western food . overall , much enjoy stay Grand Hyatt definitely recommend . 
 Oct 21 2008 	 Hyatt high price low everything else 	 husband daughter stay July overally impressed , feel hotel 's location major plus . husband return 10 day visit stay Hyatt visit daughter study Beijing , feel property overrate overprice . the room small , 2 bedroomed suite find constantly bump . one side bed close wardrobe , necessitate shuffle access . the food , especially breakfast average . service range indiferent rude . simple staple orange juice coffee return kitchen . good news cafe call Zoe 's next door hotel great food , service reasonably price . there special touch servicing room . iron board iron leave 6 day . room clean properly 3 request morning newspaper buy result . taxi queue outside hotel entrance use oriental Mall shopper one night wait 30 minute long queue gave hail one immediately outside property . good hotel Beijing , well stay one . , 
 Oct 15 2008 	 Great Family Hotel 	 stay three night 2 bed apartment . it ideal family . the facility staff exceed 5 star expectation . the resort pool particular big bonus drag kid tourist site . concierge helpful location terrific . 
 Oct 8 2008 	 pay get 	 look great hotel heart city , look . hotel great service , good resturant , helpful staff room top shelf . price budget traveler even try watch spend travel . location right one upscale mall , oriental Plaza Shopping Center . eat make China resturant food good . however , may want pass bottle wine , typically run US $ 90 - 120 , ouch ! ! ! side note , dissatified location , worth extra money . try half day bicycle tour Bicycle Kingdom , great way see city feel like local . 
 Sep 29 2008 	 fantastic place stay Beijing 	 Grand Hyatt luxury property great location . room spacious modern . lobby happen good selection restaurant . hotel complex high end mall good place luxury shopping . location superb right major site Beijing . walk Forbidden City . club room worth extra charge club service great , snack drink day long good place relax chat . long taxi line evening . 
 Sep 26 2008 	 Excellent Hotel ! 	 wonderful hotel perfect location . modern , grand building locate shopping mall block away pedestrianize shopping street ( plenty mall , store incl . souvenir , restaurant , supermarket , etc ) easy walk Forbidden City tourist site . hotel offer 5 star comfort , lobby lounge nice good food drink , restaurant excellent ( incl . japanese buffet restaurant try ) room could not well ( stay 2 bedroom suite , basically large 2 bed apartment ) . service good , perfect good get area ( staff 's english could better common problem chinese hotel ) .We also stay ( expensive ) four season Shanghai Beijing Grand Hyatt well count , include room far well service quality ! definitely recommend . two tip : try one heavenly smoothie breakfast menu ( especially blueberry - good ever ) adventurous one , street food market nearby sell everything incl . grill scorpion , silk worm , beetle yummie ( surprinsingly end expensive restaurant dinner ) . 
 Aug 29 2008 	 always impressive 	 Grand Hyatt locate East Chang Avenue . good hotel , pricey good . stay twice different time year , impressive occasion . room huge scrupulously clean , absolutely everything need . Dont even bring toothbrush , lot . I eat three time different restauant hotel food good , nice bar , good coffee great staff . get access one large upmarket shopping mall directly hotel . want might never need go outside , consideration give pollution frantic traffic Beijing . I mention hotel pricey bit pricey ridiculously , boy really get money worth . 
 Aug 19 2008 	 Great Location average room . 	 stay hotel ( 2 bedroom suite ) Beijing Olympics , welcome committee wonderful . everything already check time arrive , could go straight room . suite 2 bedroom , 2 bathroom , 1 living room pantry . suite comfortable sizewise 's perfect , bit disappointed finishing room . low ceiling , hard mattress , non - LCD tv bedroom interior finishing not make hotel look grand . lack wow factor , especially suite . master bedroom bathroom small guest bedroom , bathroom outside share user living room . think overlook . bathroom also lack space put towel , clothe . big minus bathroom . the staff friendly helpful , could ' ve learn speak well English . hard time get information Olympics concierge due language problem . 
 Aug 18 2008 	 Bronze Medal - Mixed Reviews durre Olympic Stay 	 badwe fedexe bag 2 week early , connect flight layover short . bag get stick chinese custom know week get there . prior send find stick , try get assistance Hyatt concierge . concierge , especially head concierge , Benny Zhao , could care less dilemma . literally spend four hour day long distance try talk people not speak english concierge nothing politely laugh situation . Benny get go ! unacceptable , especially we pay crazy olympic rate pay . the GoodThe pool really coolest indoor pool ever , slide . highly recommend get reflexology poolside . bellman run taxi stand helpful separate guest line really help . room LobbyThe room finish fine narrow . lobby underwhelming come like convention hotel , ample seating get drink . overall - lack effort concern luggage situation leave bad taste mouth . 
 Aug 3 2008 	 Best yet 	 return two week China vacation wife , , three - count three , teenaged boy tow ! Grand Hyatt Beijing good place stay - far . reserve suite two separate bedroom ( great privacy ) extra bed ( chinese hotel term & quot ; roll - away ) . staff could professional , breakfast buffet unique - good way - conceige responsive knowledgable . BEST thing hotel arrange pick transpacific flight . driver meet we GATE ( ! ) , walk we customs , without hitch . upon return airport , hotel airport employee meet van , take we correct ticketing booth . high praise around ! ! 
 Jul 29 2008 	 good hotel China 	 thank tripadvisor.com one ... friend plan side trip Beijing business trip China 07 . select hotel base user review exceed expectation . hotel everything ... gorgeous lobby , beautiful well appoint room , fabulous breakfast absolute perfect location Beijing . walk distance Forbidden City many great restaurant . go Humble House dinner one night -- nearby hotel . food outstanding great ambience . concierge recommend restaurant hit ! concierge arrange car tour guide great wall -- highly recommend . take bus tour great idea - really appreciate one one attention tour guide offer . again - amazingly beautiful hotel great price . 
 Jul 28 2008 	 Best Hotel Beijing 	 hotel every hotel Beijing -- China -- measure . location perfect , room comfortable , swim pool paradise . even wonderful breakfast restaurant oriental Plaza mall call Paris Baguette provide relax atmosphere start morning right . every dollar spend hotel well worth . 
 Jul 20 2008 	 make trip even wonderful ! 	 parent & amp ; go Beijing July - unbelievably hot & amp ; humid . kind weather sweat walk door ! hotel amazing . room - well SMALL ok since go sleep . there mall connect hotel . fun . great little restaurant . perfect day sighseee ! fitness center pool unbelievable ! never see indoor pool like ! 
 Jul 18 2008 	 WOW ....................... 	 Mum stay 3 night last month nothing good thing say . treat two bedroom suite travel couple week , sleep cramp room overnight train . suite amazing . immaculately decorate furnished . Kitchen , two bathroom , large lounge two bedroom . bed comfortablewe seventh heaven ! . hotel ittself beautiful suggest visit website see . oasis pool gym amazing . the staff friendly bilingual would expect level hotel . Hyatt well position shopping , sightseeing subway . 
 Jul 13 2008 	 great hotel family kid 	 return 9 day trip Beijing split stay Hyatt Westin , spend 5 night formal , 3 latter . book 2 bedroom grand deluxe via Hyatt website net , look like go get two standard room interconnect , 's . imagine surprise show unit two BR , also huge sitting area well kitchenette . later find room type actually suite interconnecting room . well , whatever , suit we fine . pick hotel location alone end like well two suite later Westin . we book family package include welcome gift kid remind staff check materialise . well , minor glitch soon ammende kid thrilled get panda , lolipop ice cream . what great way start holiday ! staff well train professional , speak good English try . House keep efficient prompt . room keep clean several occasion ' ve request extra towel , deliver 10 min . room always smell good put fresh lillie foyer bathroom . the breakfast buffet offer good variety western well asian choice . the kid love fruit bar especially . hear another guest complain lack daily change true not bother we even 5 day much choose from . I plan eat different local restaurant end eat almost hotel restaurant good . we especially like Noble Court make China . actually , like make China good will not mind eat meal reservation hard get . my son highly recommend Peking Duck . pool well appoint kid enjoy much . the spa sauna also nice one attendent seem charge spa area quite rude one occasion kinda stay away throughout rest stay there . however , one lone incident , rest hotel staff freindly helpful . the conceirge also knowlegeable help alot itinerary . , good stay would highly recommend family travel young child . PS : hotel provide kid sized bath robe , another reason would recommnd family . 
 Jul 9 2008 	 one word ` ` excellent '' 	 great experience stay Grand Hyatt Beijing.soon walk plane , someone Grand Hyatt greet we guide we pass imigration collect luggage . guide we audi car already wait we . reach hotel , someone already wait we send we directly room . stay suite room nice spacious room . room clean smell nice casablanca flowers.we try restaurant outlet 9 day stay . food excellent . love make CHINA DA GIORGIO.the staff excellent . helpfull . always ready help u big smile , especially butler : juliana winston . keep try talk u even can not speak well english.it excellent hotel place definitely come stay Beijing . 
 Jun 29 2008 	 bad service small standard room 	 perhaps expectation high since first time stay Grand Hyatt . first , wife arrive around midnight taxi one pick luggage go call bell boy . wait 10 minute check two girl work reception time strange since suppose 5 - star property . finally checked get really small boring room , must standard room due size . breakfast rather boring space quite noisy want relax enjoy quiet breakfast wrong place . put together general low service level really recommend hotel beacuse ' m sure get much well standard money . actually good thing complimentary shoe polish tell quite much stay . 
 Jun 23 2008 	 far exceed expectation ! 	 Grand Hyatt Bejing really exceed expectation ' m really picky hotel . usually like stay 5 star hotel like Four Seasons , say , Grand Hyatt Bejing superb ! every aspect hotel top notch ! stay Club Level Grand Deluxe 2 bedroom perfect family . spacious , nicely appoint , bed comfortable , Club level concierge service great , pool simply wonderful relax day tour . pool bit Las Vegas look seem bit place China . , sure fun cause hung jacuzzi every night . location perfect . oriental Plaza mall right , wangfuje around corner , not feel trap hotel . able easily cruise mall walk street . would not think stay anywhere else return Beijing ! stay 4 night , book private tour Grand Hyatt . tour guide speak good english knowledgeable . Maggie , tour guide badale great Wall Tour climb steep step we . step become steep , 78 year old father able keep . stay behind keep company . good time chat not even feel left climbing tower . be sure book City tour include Tianamen Square , Forbiddeen City , Temple Heaven , Llama Temple . separate tour , not miss Summer Palace . rickshaw tour Hutong area fun . 
 Jun 13 2008 	 good hotel beijing ! ! ! ! long shot 	 family stay Grand Hyatt Beijing December 2007 . WOW ! build magnificent . parent upgrade Grand Delux King two room kitchenette . surprise great way start . room spotless , bed comfortable . Hyatt Pool probably spectacular indoor hotel pool world ( good view Park Hyatt Tokyo ) worth visit matter . palm tree create oasis right middle smoggy city . hotel huge mall really convenient ( ice cream great long day sightseeing ) . addition , wonderful food court call Mega Bite experience not compare anything America . addition , Wang Fu Jing shopping street around corner flagship Beijing Olympic store locate . Tian Men Square Forbidden City also extremely close . Buffet Breakfeat delicious rival 5 star hotel buffet blend chinese american food . overall , hotel everybody modern elegant feel zero flaw . 
 Jun 8 2008 	 Truely Grand ! 	 Grand Hyatt Beijing absolutely delightful . location great far Tienanmen top mall ton restaurant metro stop . breakfast great mix eastern western . bit pricey however . pool amazing indoor pool ever see . even fake sky feel outside . 
 Jun 7 2008 	 Great Hotel great city 	 Grand Hyatt Beijing great choice Beijing . location - central location next pedestrian mall access great & quot ; street food & quot ; . easy walk Tiananmen Square Forbidden City . room - hotel new room clean well appoint . upgrade suite include kitchen . would great option family . room quiet street next door noise . food - Lots option restaurant great mix traditional chinese , japanese , italian . plenty option keep everyone happy . other - business center fantastic . plenty computer several conference room use . print expensive , outrageous . staff exceptional , helpful , knowledgeable , attentive . pool beautiful , though time enjoy . gym clean plenty useful equipment . the Hyatt staff great ! willing assist need issue . stay anywhere else Beijing . 
 Jun 3 2008 	 disappointing room 	 sure many good review hotel , hugely disappointed hotel . maybe good review guest not stay standard room . put standard room , room interior , furniture decoration way normal Grand Hyatt standard -- look like 3star + Hotel . room really small , China standard , funiture shabby quality . even painting wall -- look like be Ikea . location great , next Wang Fu Jin . be particular room , suggest stay hotel . plenty hotel Beijing well appoint , lavishily design . price US $ 200 + + + per night , get amazing room Beijing . TRUST , CHINESE ! know GOOD HOTELS , GREAT value ! grand HYATT BEIJING one ! 
 May 19 2008 	 double bedroom suite kitchen two bathroom : WOW 	 trip three kid first visit Red Capital Ranch Wall night go Beijing Grand Hyatt stay business trip , therefor know ideal location lovely pool .. time book double bedroom suite kitchen , living room two seperate bathroom wonderful . like travel kid great suite much expensive offer space enough everybody without ever get feel crowded . entrance mall specially enjoy girl love pool . Forbidden City walk distance taxis cheap although take three people max . we often take breakfast buffet offer many choice breakfast , kid stun ! great breakie lunch sometimes skip eat something small trip city . 
 May 13 2008 	 Fantastic hotel 	 first stop independent China tour . fantastic hotel every way . beautiful junior suite ( free upgrade ) executive floor privilege . hotel big beautiful indoor pool ever see . staff friendly helpful . peke duck dinner make China ( hotel ) excellent . good hotel China . 
 May 12 2008 	 first time Beijing Asia 	 normally not write review , get name website use travel , do . way visit daughter study Hong Kong , want visit Beijing . stay Grand Hyatt essential fantastic time well hire John local driver . email ( johnyellowcar @ hotmail.com ) always respond question ( ask alot ) . ability speak English , care demeanor , personal character make pleasure . regret hire one day ! 3 week trip China Thailand feel favorite driver . website www.beijing-driver.com . far GrandHyatt , concierge service / location excellent driver give we take we train station phenomenal . would able maneuver night train Xian without . Beijing Great Wall great place see first day Asia . ( sure someone write chinese want go communicate taxi driver . ) 
 May 5 2008 	 average interior good location great pool 	 room average , quite small , workmanship rather poor , bathroom small . interior furnish certainly good Grand Hyatt Tokyo , Hong Kong , Jakarta frequent . service acceptable nothing spectacular . however , location good , right heart Beijing , grand shopping mall , close Tiananmen Wang Fujing . interior swimming pool really pretty ; highlight hotel . also recommend restaurant & quot ; make China & quot ; lobby . 
 Apr 14 2008 	 fantastic hotel 	 Fantastic hotel , perfect service , great room , clean , not go without say China . 's walk distance forbid city want go , simply call cab . come price , perfect hotel unfamiliar wit local custom . e would ABSOLUTELY recommend anyone ! 
 Mar 28 2008 	 great location Beijing . 	 good thing hotel location , comfortable walk Forbidden City Tianamen square . accommodation standard one would expect Grand Hyatt service good . even chap ( main doorman ) stand windy vestible floor shop mall open door approach . nearby shop offer everything could want concierge desk happy point direction various market well organise appropriate transport . while husband see doctor one staff actually accompany across street hospital ensure see quickly without problem language barrier . we also pleasantly surprise cost eat hotel couple evening tired go . certainly not cheap chinese standard comparison similar hotel Australia quite reasonable . we feel room comfortable size glad not take upgrade club / executive level . problem husband check sign rate book . fortunately hard copy book confirmation manager co - operative ammending rate one book . it probably also worth note Westerners tend target minor scam various individual hang around outside hotel e.g . struggle university student want take we & quot ; professor ' & quot ; studio look artwork ..... artwork abound market ! course scam confine Hyatt something aware Beijing . 
 Mar 14 2008 	 Superb Business Hotel live expectation 	 stay 3 night business trip , nearly flawless visit . room clean , odor - free stock nearly everything want . real coffee , China drink tea . swimming pool gym amazing . reception area lovely , staff superb . location great , next shopping area Wangfujing , walk distance Tiananmen square . not take meal hotel , prefer local joint dinner starbuck nearby breakfast . restaurant behind hotel near car - park entrance call & quot ; East Family & quot ; . highly recommend . would go back heartbeat . 
 Feb 4 2008 	 comfortable Clean Centrally locate 	 stay Grand Hyatt number day business trip . first impression hotel seem bit understaffed hotel level . quite line check - in , throughout stay notice always seem case , also case upon check . room give extremely large , comfortable . one thing miss digital clock . wake times middle night due jet lag turn light look small bedside clock . otherwise , food good , concierge helpful , bed comfortable , room clean . 
 Jan 17 2008 	 great intro Beijing 	 first trip China , husband want something special choose Grand Hyatt Beijing due positive review TripAdvisor . expectation meet exceeded day . wish could stayed long move another hotel ( choice , ) meet rest group traveler . we opt use e - concierge arrange pickup airport be glad . come 14 hour flight , nice know could relax take care . lovely Hyatt employee meet we right come plane walk we immigration custom . we load wait car within 15 minute . hotel warm welcoming every employee encounter kind helpful . nearly staff interact speak fluent English go extra mile ensure need meet . we Grand Deluxe 2 bedroom perfect . clean simple , elegant furnishing . bathroom lovely , though bit chilly . robe provide make small complaint much bearable . toiletry nice , anything forget probably amenity package somewhere . the location great , course . easy access metro , shopping , cultural site . starbucks oriental Plaza nice grocery store across Starbucks convenient pick soda instead pay mini - bar price . room service get dinge messing order first day . get order husband not get despite 2 phone call in - person request room service come pick tray . run time 3rd phone call place cancel . go Patisserie discover wonderful banana bread become breakfast choice rest stay . despite minor issue room service , Grand Hyatt Beijing get 5 star hearty recommendation . 
 Jan 16 2008 	 good sloppy 	 Beijing , always stay Grand Hyatt . good service , classy establishment . love airport limo service . but late , ' ve begin notice sloppiness . obviously , lot vip clientele hotel . year back , say George Bush Sr . Secretary Hank Paulson , armie US chinese secret service man . this time around , junior suite . ' ve begin notice dirty carpet get . guess 's wear - n - tear , be get point noticeability . also , check , bell service late come , carry stuff , almost cause late check - out . finally , go outside airport limo ride , limo ready , wait more . maybe minor nitpick , cause wonder whether Grand Hyatt starting take regular biz traveler grant , light constant vip always get ... will probably stay next time , sloppiness continue , will probably switch Starwoods town . 
 Jan 12 2008 	 Luxury hotel fabulous pool 	 Grand Hyatt Beijing undoubtedly one good hotel city . location great , oriental Plaza shopping mall building complex , wangfuje shop street right next door . hotel luxurious lobby gorgeous pool situate underground . pool & amp ; spa service deserve special mention : fabulous hotel pool come accross , regardless inside pool . whole balinese set cavelike grotto several jacuzzi simply amazing ( please see photo hotel , see talk ) . quite & quot ; ultimate luxury & quot ; standard room . bathroom great , separate bathtub , shower toilet area , room , albeit stylish , rather small size simple look . the hotel staff eager recommend & quot ; club room & quot ; option , case room exactly , add benefit inclusive breakfast 1 person ( guest - visitor ) access club lounge certain hour one may enjoy food drink . 
 Jan 6 2008 	 brilliant hotel - worth every penny 	 great hotel great location . great service . Great Pool . great restaurant . 5 - star room . we want use visit family Beijing . choose basis trip advisor review . disappoint . not much say - want give credit due ! 
 Dec 25 2007 	 Good Hotel 	 Good hotel , good service ! 
 Dec 25 2007 	 first rate hotel - highly recommend 	 3rd stay Grand Hyatt Beijing first one 2 child age 4 2 . hotel continue exceed expectation level . even though book standard room , check - in request room separate area child sleep play . sure enough check - in staff put us mini - suite even kitchenette ! ' ve stay many 5 star hotel China must say one well far . room fantastic location , right wangfuje connect mall , can not beat . & lt ; P & gt ; however , set Hyatt apart service . not mean usual & quot ; today sir & quot ; service go beyond . stay daughter need go hospital must admit stint chinese hospital faint heart . concierge call ambulance also hop ambulance we help conversations administration hospital . 2 November bitterly cold Beijing not event stop take jacket ! & lt ; p & gt ; Beth entire staff Hyatt Beijing - definitely back ! & lt ; P & gt ; P.S . pool miss ! 
 Dec 19 2007 	 home Beijing ! 	 hotel wonderful atmosphere BEST restaurant- make China ! feel home location great- ten minute foot Forbidden City connect large shopping complex interesting chinese food court . staff always helpful writing address chinese taxi driver . 
 Dec 8 2007 	 imperial 	 one good place go visit Beijing first time good location ( 500 meter forbidden city ... ) staff nice helpfull ( usefull town everything & quot ; different & quot ; ) .For love shopping , hotel build oriental plaza ( lot shop restaurant bit fancy ) .All restaurant hotel great recommend especially chinese ' one Red moon club drink dinner comfortable lounge place.if go somewhere ask staff english give card destination wrotten chinese taxi , cause china people speak language even english .PS China great place go Hyatt secure way comfort service everywhere . 
 Dec 5 2007 	 really bad ! 	 meeting short stay visit Beijing , place stay , minute ' walk distance Tiananmen Square Forbidden City close commercial district.good restaurant room spacious clean , near oriental shopping center also worth visit aware , non asian citizen practically target young girl ( hooker ) excuse learn english try pull around drink tea expensive place ask tip ..... happen practically avery minute around ..... gently refuse ...... pool inside SPA also must .... ciao 
 Nov 24 2007 	 Excellent hotel 	 wife spend week hotel stay club room . hotel excellent location although lot building work ongoing everywhere hamper bit walk neighbouring area . everything hotel spotless service good . ask direction want write adress chinese . two time adddress wrong problem sort . take time explain detail go , otherwise might end wrong place . the food drink lounge quite ok breakfast . we try restaurant good . like especially chinese restaurant lobby floor could see chef cook . the health - club huge swimming pool magnificent spend much time there . in - good hotel crowd city bit suffer smog 
 Nov 20 2007 	 Great Hotel 	 husband book hotel gold passport reward first couple day Beijing vacation . picture website justice actually see hotel fountain go ... especially night . hotel room clean room request book reservation . staff excellent go way help we . thought would run language barrier hotel . location great . like high end shop near Oriental Mall also close Wangfujing Street shopping get taste & quot ; bargaining & quot ; local . glad book hotel first leg Beijing stay next hotel comparison . I think pay room would well worth ... compare hotel . 
 Nov 10 2007 	 Grand Hyatt Beijing Grand 	 like hotel 3 long block Forbidden City , yet right corner Waifujing Street , like Nanjing Shanghai . hotel sit top oriental Plaza everything fast food Givenchy excellent grocery store eat snack hotel room . great bonus since hotel charge fortune luxury . try get breakfast include . make everything real waffle pancake egg make order Congee wonton noodle soup . bread wonderful too . the silk market fake copier dream might go Olympics come city 2008 . dissapointe mansion Prince Gong . interior renovate garden open . we rent car driver Great Wall Ming tomb . this add bonus since bus tour always throw stopover shopping . bus driver get cut ? ? ? Anyways Beijing wonderful hear heat August horrible . good luck Olympic fan ! cj 
 Nov 9 2007 	 Great Hotel ! 	 great hotel , great service , location , food . one good fitness center I ve see hotel anywhere world restaurant top especially make China ! check rate well , usually less what s post . 
 Nov 4 2007 	 every Thing Grand 	 Date stay : October 28 – 29,2007room type : Grand King RoomUpgrade : Grand Deluxe KingAmount pay per Night : Gold Passport Promotional Award + 500RMB ( $ 67.00 ) upgradereservation Method : call Hyatt Gold Passport hotline Singapore ' one Philippines . Loyalty card : Gold Passport MemberAirport / Hotel Transfer : Hotel Representative already wait step gate escort immigration custom . walk parking building get Audi A6 . 40 minute ride smooth near hotel driver call hotel inform arrive someone actually meet step car . location : locate high end mall call oriental Plaza , everything within reach . though hotel outlet look good also go mall grab quick bite shopping . hotel also close Tiananmen Square Forbidden City end wangfuje Shopping Street . check - in : quick check - in , everybody speak English , room less 5 minute , think take long go find room actually check . concierge : knowledgeable efficient , speak good English . room : consist living room , kitchenette , bedroom bathroom . quite old , bit date stuffy . still good . bedroom little cramp little 2 foot distance tv table bed . work table small use lounge chair bedroom dump stuff . closet space good thick jacket wear trip . bed : comfortable king size bed 4 pillow . breakfast : ' breakfast move second hotel Beijing meet friend go tour . check - out : wait bit lot guest staff apologetic . take little 10 minute get everything . overall evaluation : good hotel stay budget issue , luxurious would taxi time go around hard . lobby seem always busy crowded . 
 Nov 3 2007 	 Great Hotel Great Service 	 originally stay close office Beijing . great room service . pool SPA basement first rate expensive , find less expensive local knowledge . I especially recommend nearby foot massage place get 90 minute foot massage beer tea $ 10 US . 
 Oct 30 2007 	 love place 	 stay prior Princess Asia cruise 2 night , wish long . firstly , much see Beijing , not enough time . however hotel top notch . location fantastic - walk Silk Market ( 40 min ) 10 min Forbidden City Tiannamen Sq . staff professional courteous . room lovely , everything comfortable . people like & quot ; western & quot ; style food , be perfect , wide variety menu option many restaurant . would absolutely stay . 
 Oct 22 2007 	 grand stay Grand Hyatt ! 	 return one week stay Grand Hyatt two bedroom Grand Deluxe suite . large family suite perfect we . room : small kitchen handy microwave large refrigerator perfect store milk , drink , snack child . bedroom fairly small living area dining area quite spacious . note second bedroom ensuite . bathroom locate dining area shower master bath small deep soak tub feel great long walk around Beijing ! room spotless housekeeping good entire length stay . bed comfortable pillow plentiful . dvd player locate living room kid videos check club lounge like . also , room quiet peaceful . negative think carpet look little worn , decor room particularly Asian - 's quite bland , additional charge internet service overall comfortable , clean , homey space . dining : unlike pp really enjoy make China . also eat Huang Ting ( Peninsula ) think outstanding thought food make China wonderful . preorder Peking duck make reservation great time saver . room service palatable , great , prompt . buffet breakfast include room rate plentiful quite good variety western asian food available . would not recommend ask anything ordinary buffet difficult restaurant staff understand invariably send everyone tizzy . bakery chocolate shop locate lobby make yummy bread , croissant , sweet treat . also , hotel Humble House one minute walk hotel one favorite restaurant Beijing . Pool Gym : gym top notch would highly recommend . pool also huge fun . not realize indoor pool not bring swimsuit kid find could purchase spa desk . kid blast swimming night & quot ; star & quot ; .lobby : hotel full guest lobby , hallway , gym , public area never feel crowd uncomfortably busy . also stay Peninsula major issue Peninsula lobby area , hallway , public area include club lounge busy crowd . concierge : use concierge service great deal . find helpful research go Beijing already make restaurant reservation create general touring plan . misc : grocery store locate basement shopping mall attach hotel . selection limit adaquate create simple picnic snack supply . also , location hotel really terrific difficult beat proximity Forbidden City , restaurant , general sight . different note , use hotel laundry service great deal find quite prompt reliable pricey - expect . value : OUTSTANDING ! book room Family Grand Experience feel value exceptional . panda bear wait room child arrive room service come popcorn , ice cream , movie first night - include room rate . breakfast include room rate upgrade six seater van airport transfer . also stay Peninsula club floor , Commune Great Wall , Red Capital Ranch , say value , comfort , quality feel Grand Hyatt beat hand down . while would not call Grand Hyatt super luxurious fantastic value oustande base family explore Beijing . comfortable , clean , convenient . 
