Dorchester 	 ouir second time Dorchserter get yo room bottle champagne . show around room make feel welcome . 
 Nov 4 2008 	 gorgeous hotel lack service ! 	 stay dorchester 31st october 2 night husband 2 yr old daughter make brief . the room gorgeous really classy old style decorate super massive marble bathroom , excellent floris toiletry , although niggle room sound system do not work well loud also could not turn leave switch , tell front desk times take 3 hrs anyone appere fix , although do not switch speaker sound tv sound bathroom lobby ? promenade lovely spotless load staff slow part sometimes hard get table lot people book hotel would afternoon promenade problem us want drink celebrate 10yrs wedding anniversary try table daughter be not allow bar . also breakfast although nice slow ask 4 - 5 people wait around 20 min would get highchair ? stay daughter hurt arm scream pain say could not help get taxi back chemist somewhere london saturady night get calpol children paracetamol say could not get ? overall hotel good service great , well 5 star anyway andit also little impersonal think sort niggle would truly deserve 5 star pay 300 pound + night expect lot . would try somewhere else next time , stay chesterfield milestone hotel far well service standard dorchester could learn hotel ! ! ! 
 Nov 3 2008 	 Tranquility Luxury London 	 stay dorchester short break , cheap hotel get pay ! art good hotel making feel comfortable special hotel manage beautifully . hotel real taste tranquillity within hustle bustle London . location Hyde Park great walk Kensington without problem . impressed décor comfort find room ( king deluxe ) large elegant , yet comfortable . eat restaurant one night although price would normally pay feel special memorable meal . ( vegetarian well cater ! ) Breakfast unhurried would hard push find something menu suit taste bud ! comment would room need tea coffee make facility , ( £ 16 two tea seem quite steep we ! ) negative ' complaining ! overall fabulous experience , real taste deluxe end market well worth money special occasion . 
 Oct 23 2008 	 First Class Luxury Hotel ! 	 stay Dorchester husband Saturday go 2nights . wonderful stay . book 5days adavance website , get great deal £ 529 superior double room . low grade room , would not think ! amazingly comfortable . classic english beauty , gorgeous bathroom luxurious deep bath ! : ) check , tell complimetary upgrade celebrate birthday , soon tell mistake ... not fuss . room be not ready offer we drink bar . when arrive room complimentary champagne ice , chocolate cover strawberry lovely choc birthday cake lovely . I really cnt fault anything hotel , wil definatley return . woul not reccomend anyone budget though ... 2hours th bar 6drinks 3of non - alcoholic club sandwich come £ 166 .... second night dinner promenade , wonderful . fairly price £ 75 2meal , 1 desert 4soft drink . service second none , especially room service breakfast . cooked perfection enough feed small army ! definatley return year can not wait ! true Gem London . 
 Oct 15 2008 	 treat like royalty 	 husband stay Dorchester 1 night . book deluxe room large size room wonderful bathroom . it anniversary upon arrival show room within 10 minute we suprise chocolate cover strawberry bottle champagne , lovely touch . everywhere go hotel greet name wish happy anniversary . I would recommend hotel without moment hesitation great location , excellent breakfast room well appoint . 
 Sep 28 2008 	 love Dorchester 	 London several time year stay quite really good hotel , , think Dorchester win top prize extra special stay . return today already website check availability next stay . celebrate 50th birthday check find room upgrade executive suite . mention book birthday present , imagine surprise also receive birthday cake card hotel . not think anything could well . staff fantastic , really helpful . think know minute arrive outside front hotel be go somewhere special . 
 Sep 28 2008 	 Great English Hotel - Great English Breakfast 	 choose Dorchester overnight stay London lunch Gordon Ramsay 's restaurant Claridges love feel establish London hotel . hotel lovely , room great , fantastic bathroom etc .. issue breakfast . book B & amp ; b rate pay menu price £ 29.50 english breakfast would refuse settle bill ( check hear someone make point receptionist ) . food cold , sausage like something local cafe , egg overdone . wife 's scramble egg like rubber . normally would stay Claridges fancy change - please visit see breakfast make present . shame Dorchester - return recommend friend . 
 Sep 22 2008 	 Classical Charm Modern Twist 	 return short break London stay Dorchester part 20th wedding anniversary treat . say worth every penny spend . hotel amazing pretentious anyway , could quite easily be . a great asset hotel staff help create wonderful relaxed atmosphere . extremely welcoming , doorman maid , nothing much trouble everyone speak . say visit way surpass expectation already save next visit . hotel recently refurbish do sympathetically especially Promenade lovely area take tea / breakfast etc . overall would say probably good hotel ever stay . cheap want mix relaxed seer luxury absolute must . pleased choose Ritz however warn husband would good compare point ! 
 Sep 9 2008 	 get pay 	 give minimum amount time want maximum refreshing break , book wife Dorchester weekend . would drink eat hotel , look forward stay overnight . quality staff pretty much everything premium hotel , friendliness everyone , doorman maitre have welcoming . pretension here . the room comfortable , though lack view , face inner courtyard . bed , partiuclarly pillow , excellent . breakfast morning real treat anything could wish , though well choice fish may suited other well . to away evening Promenade listen live trio , sip glass wine , one treat life . dorchester exaclty five star hotel - indulge provide escape stress modern life . complete lack pretension make close perfect . one word advice - spa tired particuarly well equip , though understand refurbishment come soon . overall would throughly recommend hotel 
 Sep 4 2008 	 Classic full 5 - star experience 	 true 5 - star experience classic mode . may feel bit ' old world ' contempory / young traveller ( i.e. , Mr Mrs Hip Hotels ) . remain benchmark lover classic hotel / old traveller . great location , high standard fit - out ( age 5 - star like several London property ) , classic style ( heavily carpetted , velvet wallpaper , white marble bathroom etc . ) .lovely luxury gound floor lounge ( lot money change hand walk around area ! ) . Donetalla Versache pass one day Celiene Dion next . bar bit small . contain series amazing restaurant include China Tang ( one good chinese restaurant London ) .Brilliant service - one good concierage desk London ( get straight Woolsley busy Friday night ) .You may love never hate ! 
 Aug 31 2008 	 avoid cost ! ! 	 check worst ever experience , staff arrogant unpleasant ... hotel fill people Middle East Russians , fit category consider atmosphere lobby somehow unpleasant .. book deluxe category , room show small dark ask change finally give room decent size , carpet change strong smell . call three time housekeeping order get extra duvet , take hour bring room . next morning breakfast disgrace , scramble egg cold , service sloppy . 
 Aug 3 2008 	 Loved ! 	 stay Dorchester last month love . yes expensive hotel beautiful . staff excellent friendly . room nice location great , nice restaurant area . say can not wait return . 
 Jun 16 2008 	 Afternoon Tea Dorchester 	 take mother Afternoon Tea Dorchester Mother 's Day treat . book gift voucher online Dorchester 's website arrive follow day . their service first class email query experience reply quickly . the Afternoon Tea comprise selection Teas Coffees , follow sandwich - egg , smoke salmon , chicken , ham mustard . small bring second round along always offer everything throughout afternoon . follow passion fruit cream dessert lovely . next come scone - 2 ( , offer ) clot cream selection homemade jam . finally selection continental pastry / cake also good - although perhaps would prefer traditional ' english ' cake , be personal preference . cake still high quality . I would like make point compliment staff , reception waiter serve we . completely charming make we feel ease luxurious surrounding . bad fear hotel would pretentious , people lovely relax . arrive 2.30pm stay almost 2 hour , point staff rush leave . I would highly recommend Dorchester anyone wish take Afternoon Tea one top hotel . 
 may 26 2008 	 Love Dorchester 	 Dorchester hip cool stylish . 's old fashioned way & amp ; yet be wonderful . one night 25 may treat . 's second visit . have book junior suite & amp ; upgrade suite large & amp ; decorate elaborate english floral fabric style work well set . the housekeeping impeccable & amp ; generous . product bathroom great . the bed comfortable . sound proof work well . the staff without exception lovely & amp ; warm . hover tip & amp ; one instance tip actually refuse ! eat light dinner Promenade & amp ; 's old fashioned bit like hollywood movie pianist play date song & amp ; singe passable voice . nice meal - comfortable & amp ; food fresh & amp ; plentiful & amp ; tasty & amp ; staff helpful without intrusive . we lovely stay . 
 May 12 2008 	 beautiful place letchy tip - hog staff stiff clientele 	 upon spend £ 300 night , expect wonderfully relax stay . I know not go happen letchy check - in boy eastern europe show we room show we bedroom , bathroom er , anything else sir ? Urr , , , ? okay , be bedroom er , yes , , 's bathroom . of course , hang around like bad smell ahem , tip not half brazen it . the tip culture really ruin hotel wife . really face blatent . could not break wind without someone hint heavily tip . the porter come take bag point loudely number bag , repeat number bag trolley . would not mind put trolley first place ! get hotel cost £ 30 tip ! £ 10 porter , £ 10 maid ( insist tipping work get least credit whilst mini - bar letcher roll ) , £ 10 guy get car ( car parking cost £ 50 parking 12 hour ! ) .We go restaurant early baby we . fine stuffy clientele make we feel like sit two head . helpful manager sit we corner despite large empty restaurant , put romance couple directly next we . the food chinese place , tiger something maybe ? food good , average atmosphere stuffy . would not recommend it . I would love place child friendly , staff friendly be actually pleasant people rather fight please big tip ( look scared loosen bit case & quot ; frown & quot ; .my good advice would stay , enjoy not give letch tip . 
 May 4 2008 	 best ! 	 staff service first class way . room luxurious . room overlook park . great location easy walking want . treat like royalty . fact , royalty actually time . Pricey , afford , can not much well London . 
 Apr 26 2008 	 think Dorchester poor ........... 	 Service hotel use anywhere world . I stay many good year , consider Dorchester among World Class leader World Class price ! ! ! want visit poorly run 5 * hotel , walk five hundred meter Park Lane Hilton Flagship ! give new meaning word POORLY RUN ! ! ! ! oh London Hotels damn expensive ...... Rip Britain . 
 Apr 20 2008 	 fail completely live reputation 	 could go wrong go wrong recent stay Dorchester . previous guest , say without qualitifcation hotel even close use . start arrival hotel foot , doorman even offer help we bag , rather , point door adjacent revolving door pull bag . once , protract wait check , produce confirmation number Hyde Park view 39 sq . metre room book travel agent , tell abruptly mistake , rate quote Mayfair rooftoop room small dimension . insist room reserve manager call , say could agree pay 65 GPB ( $ 130 ) night . produce write confirmation room rate promise , manager ungraciously relent , agree agree - upon rate . then , comedy error , mini - bar inspector wake we jet lag nap , pierce fire alarm sound test conclude rest . phone fail work number hour , front desk barely apologize . housekeeping twice forgot provide turn - down service , room service take full 40 minute breakfast delivery . moreover , charming , art deco ambiance long go , replace Hotel Monaco kitschy - look orange lobby . once worth splurge , dorchester one poor value London one feel like imposition rather welcome guest . 
 Apr 8 2008 	 Unexciting Hotel Rooms Fabulous Afternoon Tea Promenade 	 Dorchester famous , one Grande Dames London . celebrity galore use stay , hotel 5 star rating . the hotel 's web site stunning . lobby really look like that . however , reality , bedroom bear little resemblance glorious picture see website . it old - fashioned rabbit warren hotel . long , stuffy hallway without window let light air . the room redone perhaps five year ago . smoking allow . front desk manager , Aiden Griffin , claim housekeeping machine bring air quality standard guest check out . since smell linger odor cigarette second walk room , disagree . Aiden show three different room type . the Stanhope Suite 8th flor , view . depressing , could find corporate hotel U.S.The Jr. Suite view either , do art deco style . shower tub , rather separate shower tub . the Executive Room park view , nice , do traditional decor . if smoker , choose room park view , hotel may work you . now come fun part : Afternoon TeaIt serve famous Promenade , high ceilinged room gild crown mold two enormous soffet . the green gold room magnificent , recall time dress expect . blue jean sneaker would dare make appearance here . a gray - and - white marble floor cover rug center room . heavily tufte bench back green armchair beckon invitingly . back rest incredibly comfortable pillow . the room noisy , despite full . thank good acoustic abundant use fabric throughout , conversation skillfully mute . the piano player play something nice . Orange gold silk curtain flank gilt mirror sofa bench , add lushness . arrangement orange tulip , potted palm , 4 politically incorrect blackamoor woman statue bear fresh flower carry spear accessorize room . Orange gold marble pillar gold trim top define space , nicely light chandelier floor lamp .. wear black tailcoat tie , quite formally dress , Gavin server.3 orange rose bud vase table tired look need replace . White Haviland Limoge China & quot ; Illusion & quot ; Barbara Barry silver edge delicate handle . the Robbe & amp ; Berking silver - plate service lovely . sugar cube chine pot come silver tong . I offer choice tea , choose jasmine . pour strainer heavily decorate silver pot . one cucumber sandwich rye crust remove one smoke salmon sandwich farmhouse brown bread crust remove serve , tasteless . sandwich bring around , decline . a parfait bring around , consist orange segment pastry cream lemon crumb . lightly chill overly sweet . scone next . strawberry black currant jam bring china bowl plate , accompany clot cream . the freshly make plain scone delicious . soft slightly warm , melt mouth , clot cream spread like room temperature butter . the fruit scone stud raisin equally delicious . by , ' m totally stuff , Afternoon Tea still another surprise - tray pastry still taste . a delicate almond paste candy grape powdered sugar , dollop whip cream scallop shape . a chocolate cream cake . an incredible fruit tart without glaze . one raspberry , blueberry , blackberry strawberry soft french macaroon . I want sit back bask comfort : ) something time relax simply savor , unhurried . an indulgent afternoon treat . not want leave ... 
 Mar 30 2008 	 Dorchester Total 5 * experience ! 	 family five ( 3 child age 8 , 10 12 ) stay Dorchester 5 night . interconnect room , one king parent one room three twin bed kid . accomodation beautiful , spacious , clean . book hotel directly pay 275 british pound per night stay , due wonderful Easter promotion . ( parent stay one room child 's room complimentary ! ) bathroom huge . locate Park Hyde Park Marble Hill tube stop . enjoy afternoon tea Easter ( quite costly ! ) not really fit luxurious lobby Promenade would return sightseeing day sneaker ( trainer ) jean care ? highly recommend hotel hope return one day . great location ! 
 Mar 12 2008 	 top stay 	 dorchester , maybe extremely lucky look hotel London , close area attend dinner , come across ' the dorchester' . having hear lot ' the Dorchester ' , happen promotion February could book single room £ 200 ( excl taxis , 15 % ) , London standard , good price hotel class . the reception rather cool , good news one reason get ' an upgrade ' . frankly speak booking think would get overprice , small , crampy London hotel room sudden find nice luxury top class room marble bathroom . stay nothing complain treat next morning ( overprice ) englisk breakfast , lovery experience . thank Dorchester , stay remember ... 
 Feb 18 2008 	 impressed 	 friend stay January one night . get really good deal £ 235 direct hotel , decide treat . meet reception really nice lady , 10.30am yet room ready we . escort we room , show we everything really helpful question . we complimentary fruit deliver nice little man . the bed sooo comfy ! ! stay last minute possible next day - do not want leave . I would say one nice hotel ' ve ever stay , ' ve book March 2 night treat mum . 
 Jan 25 2008 	 good hotel 	 book decent rate hotel directly hotel website £ 200 one night stay inclusive breakfast . arrival first impression recent refurbishment seem good , promenade seem freshness whilst retain feature . check friendly , nothing extrodinary . room well expect price . hallway lead bedroom , large comfortable , seem fresh feel . bathroom exciting feature , famous bathtub . decide go breakfast , altough nice , steep £ 30 . check , friendly efficient , complaint really . nice hotel , think thing hotel lack service , whilst good , nothing run home . would stay , get breakfast include rate . 
 Jan 21 2008 	 deserve 's 5 star 	 Dorchester offer would expect bonus exceptional staff . our room , although small , well equip . bed blissfully comfy . lovely large bathroom ( enormous bath fill 2 min ) good selection Floris product . minibar well stocked . the public area bite garish taste well maintain stunning flower arrangement . spend hour spa disappoint men & amp ; women area separate , lounge jacuzzi husband . spa reception lovely place relax tea treatment . not treatment meet lady change room offer good report . breafast good . get impression could order anything & amp ; staff would try & amp ; provide . morning coffee bed arrivre within 5 min order . what set hotel ahead 's rival staff . moment check departure find staff unfaile helful . fawn , friendly . service fault . for central London not think could much well . PS . drive would use hotel valet parking . use underground car park Park lane dark , damp & amp ; seedy . feel uncomfortable even daylight . 
 Jan 6 2008 	 still one great hotel world 	 always weekend Dorchester January get christmas blue . once Dorchester not disappoint . reception staff friendly able check early get room . room always stunning , bathroom size hotel room . bath ( WOW ) , easily fit 2 fill deep heaven earth ! ! ! .everything would expect 5 * , linen , decor , top quality tv , breakfast send room , full english cooked perfection , big plate pastry , fresh orange juice etc etc present table wheeled room fresh flower ( quality ) even give we late check ( charge ) go season hotel great value money £ 240 per night breakfast , quality room service get great value . cant wait go back ! ! ! 
 Jan 3 2008 	 great experience love part little bit lack 	 Stayed news year break Paris , arrive later Eurostar service decide try Dorchester . alwasy wonder whehter renowned hotel would live reputation . certainly elegant pretty definite aura grandure . anything let ( perhaps stop good competitor Four season Mandarin orinetal example ) staff . do not get wrong service good , often little bit curt abrupt lack sincerity . understand New Years Day , bank holiday etc end must busy season staff , however hotel charge charge suspect aspiration rank amongst good world , really need service exceptional . sound like I m expect perfection , I m , sincerity . main niggle public area hotel main bar close 12 midnight ( issue - move promenade area ) . order drink 3 minute later tell go last order 10 minute . seem bit odd classical establishment close bar like . still plenty people drink etc , alternative suggest assume option . room well appoint . spacious comfortable everything clean . everything work bed extremely comfortable . tv - Bang Olefsen , good sound . bathroom marble , quite spacious , situate along little hallway . gripe room ceiling hallway suspend ceiling ( badly suspend one - expect ) selection mini bar toiletry etc good . yes expensive hotel always . overall gald try - yes . would recommend - yes . feel like charge - get & quot ; January Special Rate & quot ; pay high rate perhaps would feel cheat . one piece advice would offer hotel would . 95 % everyte great . staff need figure 5 % close perfection . 
 Dec 31 2007 	 well always 	 many year regularly stay Dorchester opinion every visit faultless . staff front desk make arrival special check escort show room , last visit upgrade magnificent suite huge . the hotel always spotless staff extremley polite courteous nothing problem new bar really buzz place Promanade excellent place lunch dinner . well do staff Dorchester make one fine hotel world 
 Dec 19 2007 	 minor moan 	 book hotel direct telephone agree rate 3 night junior suite birthday weekend . arrival upgrade fantastic park suite give bottle champagne birthday cake , brilliant start ! ! ! difficult moan give free upgrade go ; -no mineral water room unless get minibar tapwater healthy.no cotton bud bathroombreakfast meagre although include price 12.5 % gratuity be not ! ! ! £ 6.50 plus 12.5 % bottle beer barthe hotel service generally good friendly , good housekeeping staff informative reception / concierge etc.id rate hotel well mandarin oriental probably return due good location , general aura atmosphere dorchester . 
 Nov 26 2007 	 Prepare little disapointed ! 	 daughter return weekend Dorchester pretend anything bit disappointment . hotel lobby lovely staff extremely nice helpful . room would expect 5 star hotel , good bed , quality linen furniture etc . really end . bring wrong luggage room unforgivable exclusive hotel . sort . expensive hotel complimentary mineral water really always available room , especially people arrive long flight , even ubiquitus chocolate turndown . return late theatre Saturday night decide room service . try number couple time could get reply . the food come quite quickly ok nothing special , mark presentation taste good hungry . follow morning look forward breakfast dining room ( £ 28 expect something special ) . Sad say poor . order English Breakfast consist one small glass juice , tea coffee , cold toast butter . order poached egg bacon sausage . sadly cold overcooked , although time try make good , truth poor . never offer we coffee juice inquire enjoy food even though food half eat . look stain table cloth matter hard try ignore many fault admit would not stay recommend hotel anyone . go small hotel like Dukes Draycott attention detail beautiful make feel special . pay bill course incorrect £ 50.00 charge parking , strange arrive train taxi . needless say quite people question bill , suprise check man next we ask receptionist true 4 bottle house wine bill come £ 208.00 ? & quot ; ' m afraid sir & quot ; come reply . leave say not always get pay deserve ! 
 Nov 22 2007 	 lovely ! 	 stay Dorchester 3 night 2 kid . accomodation & amp ; staff top notch . traditional English Staff professional , also warm & amp ; helpful . morning breakfast great . love Dorchester - really give kid taste Englishcharm . 
 Nov 16 2007 	 treat like royalty ! 	 spend 3 day Dorchester love . place ooze luxury definitely see money go . staff extremely courteous . executive deluxe room spacious elegant . bathroom spectacular , high - end towel amentie . bed super - comfy . room service terriffic breakfast , piano bar nice spot drink . place celebrity magnet , apparently . Tom Cruise King Saudi Arabia ther , excited share elevator Dustin Hoffman wife pretend recognize they . highly recommend . 
 Oct 26 2007 	 favourite hotel plush acoomodation good service 	 stay three time past 2 year Dorchester . one good , value - for - money , hotel London . room huge , especially Deluxe Executive room afford really nice view Hyde Park . in - room amenity great even DVD - tv - Radio flat screen system tad capricious often need reboot technical staff . tea , breakfast room service wonderful even price steep . would definitely return heartbeat . try bve disappointed . 
 Oct 10 2007 	 Sub Par Hotel 	 Dorchester nice hotel . mean deluxe hotel . hotel lack kind movie ppv system , seem odd considering suppose luxurious , full service hotel . room decorate terrible old Englishstyle need gutte renovate . really not need tassle headboard surly not clean since 's installation . hall smell musty , probably heavy old english style decor .. ( Four season renovate hotel . complete , good hotel London . ) service abyssmal . & quot ; famous & quot ; afternoon tea service impossible attend . arrive London decide would like nice afternoon tea . approach counter two woman eye suspiciously . tell would like sit tea , inform not reservation could not table since full . look across tea room find single table occupy . mention two woman , inform neededa reservation ! complain Concierge simplyshrugge nothing . find impossible stay hotel ( suite less ) can not get table tea ! would think would hold table two guest . I not like place train station lobby make someone feel home . good hotel people want see see , people look 5 start experience . 
 Oct 6 2007 	 Skip Dorch unless movie / rock star . 	 arrive check Dorchester great service . everything poor . put & quot ; Disturb & quot ; sign , surprised see employee knock door . would never happen elsewhere . front desk call room hung night . call back know nothing say . explain phone say call making , flippant . breakfast deliver room second day four day stay actually gut call complain not answer door knock . explained & quot ; Disturb & quot ; sign take bath need nap long flight sleep . already explain front desk . I leave early morning leave comment card front desk , doubt make General Manager . write letter , email actual letter . the thing bother staff keep refer Mr. & amp ; Mrs . make reservation fill Ms . remind time time Mrs. Mr. fact . single female traveler . think way get stellar treatment movie star ordinary girl . good thing location . get call get letter . leave message & quot ; either Mr. Mrs ..... & quot ; point give . 
 Sep 18 2007 	 Weekend Luxury Elegance 	 stay hotel treat feel need bit pampering ; disappointed . check fairly smooth . room not ready offer complimentary tea coffee bar . welcome travel way London train . room ready show around lobby area restaurant , bar shop explain we show room . amazing room . bathroom huge deep bath big shower . room well present , clean , tidy complimentary champagne welcome touch . turn bed night also get rise petal heart bed , sweet thought . we spa treatment . boyfriend Indian Head Massage delux manicure pedicure . lady friendly professional spa clean . then come highlight stay , Afternoon tea . recommend everyone compulsary part stay . try Dorchester blend tea amazing . clot cream scone die nothing eat menu make sandwich like . much champagne tea drink . I say bar evening little expensive , stay expect ? book one Dorchester Collection hotel budget ! ! breakfast disappoint either serve till 12 pm . usually pay food less get , case , happily not true . would stay time . 
 Aug 17 2007 	 one great London hotel 	 usually stay Dorchester per year regular London visit . 's well locate Oxford Street shopping Hyde Park . special & quot ; July & quot ; deal amazing GBP 275 ( ) room , although end GBP 705 add dinner , breakfast , third person room ( 14 year old ) usual taxis . the room utimate opulence usual Dorchester . view nothing special , price category , normal . bathroom vast amazing expect . dinner asian restaurant not good previous year . however , breakfast usual something special . buffet , everything bring table , refreshing change usual buffet queue . service breakfast set standard service far concern . in summary , be always special treat stay Dorchester whenever wallet allow . 
 Aug 13 2007 	 almost perfect 	 London 's good lobby , among London 's big room . bed extremely comfortable hotel , generally , well manage . say , however , flaw show stay : room bad smell ( hotel switch room ) , property leave Leading Hotels end year , benefit forthcoming ( ask ) . Room Service slow -- though food fine finally arrive . Gym ok , though jacuzzi pool break . enough make less perfect stay . still , would hard press find nice place stay London . good weekend rate make exceptional value , London least . 
 Aug 13 2007 	 enjoyable stay ! 	 stay Dorchester last weekend overall thoroughly enjoyable experience . book room via Dorchester 's website fairly competitive rate consider would stay one good hotel London . firstly , room light , beautifully furnish little small side amazing bathroom ( nearly size room ! ) . ' Mayfair ' view however look , rather boringly , onto building opposite . Us brit like tea coffee make facility hotel room surprise none , room service always usually take 30 min . telephone ask deliver order could make problem - advise would complimentary . however collect bill £ 25.00 charge add . query amount remove . really would expect 5 star british hotel provide facility , even guest want use call room service instead . Dinner Grill Room excellent food service perspective , one thing hotel staff exceptionally polite unstuffy . one glitch spoil dining experience little table two rather close next , unfortunately rather loud lady next door obviously stay hotel totally awe fact dine Dorchester ! inform restaurant staff next day apologetic . after dinner sit Promenade listen pianist double - bass playing near bar area . would good hotel resident lounge area designate part Promenade ' resident ' object little wait seat Promenade . just go breakfast next morning happen lose eare room move bed . think housekeeping need check hoover underneath bed often dusty old luggage label , hairgrip show clean sometime . go back breakfast ! definitely one good english breakfast ever hotel . obviously hotel central 15 minute walk Harrods . decide , last minute , go see Buckingham Palace , well worth visit would highly recommend anyone visit London summer . concierge issue voucher tour however still queue redeem voucher ticket Palace . 
 Jul 18 2007 	 good place 	 plush super fancy . room sumptious . will never want leave . service go beyond . tea awesome . English . overall , be expensive , money well spend . 
 Jul 8 2007 	 True pleasure 	 pleasure stay Dorchester two separate occasion business Thanksgiving 2006 January 2007 . simply splendid accomodation . gorgeous lobby . elegant room - enjoy suite one stay four poster bed room another . super comfortable bed . fabulous lighting . lovely view . superb service - reception housekeeping room service concierge . spa also delight . want enjoy epitome lavish comfort , favor stay Dorechester . 
 Jun 17 2007 	 wow 	 impossible fault . wife stay one night suite must say everything perfect . room size excellent give average London hotel . food amazing service perfect . decor throughout hotel tasteful elegant . 
 may 22 2007 	 Special ! 	 friend book Dorchester opposite Hyde Park enter & quot ; Playtex Moonwalk & quot ; Breast Cancer Research . arrive room ready pot tea Promenade . however room still ready not problem everyone polite . go spot lunch Hard Rock Cafe , great . room ready arrive back , great room lovely decoration , poor view bother we . order pot tea room service provide tea coffee make facility room . however , experience great one wait hour , rang 45 minute wait another 20 . everyone apologise think well worry . went & quot ; Moonwalk & quot ; arrive back approximately 5.00am arrive room order another pot tea , long wait , first time 5:00am would think fair enough , .... breakfast good afternoon tea superb . overall experience excellent service every area special . I give feedback wait room service apologetic . would not really anything complain English enjoy tea . the Doorman friendly ever come across make we feel really special . thank Dorchester 
 May 13 2007 	 great lot work do ... 	 stay summer 2005 extensively renovate , result closed restaurant lot noise . look recent review appear work still not stop careful . renovate hotel great . large room , great bathroom ( along famous bathtub ) overall wonderful staff . location pretty exactly near tourist area . overall good experience Dorchester . seem show age lately guess ' ' ve work long . prefer traditional hotel , hotel . be look modern touch ( typically prefer , might want look elsewhere ) . 
 Apr 18 2007 	 class act perfection 	 stay Dorchester four night Easter stay several year . experience wonderful smooth snile service plush surrounding . our room deluxe room overlook Mayfair good view - Hyde Park room would picturesque view . however room large lovely traditional , quality furnishing great bathroom - natural light , one big bath London shower could accomodate four wish ! Toiletries Floris luxury robe surfeit towel . the room entertainment facility good internet film reasonably price . two soft chair chaise longue working desk . the public area hotel describe stunning , especially Promenade breakfast , tea etc serve . Grill Room do grand scottish decor really impressive . throughout stay theservice staff exemplary always staff hand . the hotel great situation Hyde Park across road , Mayfair doorstep Knightsbidge ten minute walk away . always plenty taxis one Ferraris , Lamborghinis Rolls park outside belong you . our Easter rate good deal class hotel include bottle Champagne breakfast day ( pay would seriously mount ) .Great experience . 
 Apr 16 2007 	 still good careful ! 	 well lucky enough go back dorchester issue ! firstly work 9th floor , noise 9 5 Mon Fri 11 5 sit & amp ; Sun ( surprise ! ) hotel advise call early int week book room , also call day arrival say cheap rate website , agree use rate ( save £ 200 per night ! ) .When arrive mention building work reception , nothing form receptionist show we room , maintenance guy arrive fit door stop ask noise , mention work letter desk form General Manager ! would prefer know advance ! one thing surprise high class 5 * hotel , depend rate get complimentary water leave bed ! not , tell would pay ! also slightly surprised allow drink alcohol near lobby serve afternoon tea ( Champagne ) nearby table even though lunchtime happily serve pre lunch G & amp ; table ! mention lady refuse serve , tell mistaken ! ! staff pleasant time round , must bad day ! final night not sleep much due assume noisy neighbor int upstairs room whop insomniacs ! turn hotel room we re - decorate work night due fact remove carpet , could hear everything ! check leave , lady cash desk advise room tell would move ( Shame last night , otherwise yes would ask move ! ) certainly remember next time , ask work carry hotel , want room near ! minor niggle weekend perfect weather wonderful ! ! 
 Apr 7 2007 	 really Swell Stay 	 Young , elegant thoroughly professional staff . attend every need . exquisite room , luxurious bath - great bar - lobby area tea breakfast top . could well look . especially endless overseas flight . P.S . bring bag money ! 
 Mar 23 2007 	 wonderfull 	 middle fourday stay , still one good hotel london , great room , good grill town , first class afternoon tea possibly good london . wondefull chinese restaurant , can not go wrong . 
 Feb 6 2007 	 perfect ! 	 spend wonderful week - end Dorchester daughter . everything perfect , room gorgeous ( de luxe twin ) , massage ( try , be worth ! ) spa , dinner Grill ( menu seem first bit & quot ; special & quot ; continental , 's original good ) , bath ( ever deep , divine experience ! ) service : everybody please make happy , minute front hotel till minute leave , staff ever kind helpful . thank much , Dorchester . Christine Belgium 
 Jan 25 2007 	 lovely hotel 	 return long weekend decide try dorchester change either Met private club . bit worried reading review great rate hotel website think would give try . arrival morning overnight flight States , & quot ; assign & quot ; room not ready , upgrade large room . room beautiful well appoint , bathroom even . deep tub ' ve ever see great separate shower . one complaint , woudl satellite tv slow often & quot ; frozen & quot ; , nothing . concierge , front desk room service staff wonderful . Eve Lom facial spa , one good ' ve ever . spa appear need little freshening , much detract exerience . , great experience . think hotel suffer higer - end luxury hotel suffer : unrealistic expectation . over - critical nit - picker might negative thing say Dorchester , find experience one nice ' ve ever London . 
 Jan 23 2007 	 Loved Dorch 	 first class way . one top deluxe London hotel . overlook Hyde Park , block walk Shepards Market , Tube , somewhat tuck away mainstream tourism . Taxi line hotel wait exit time , arrive within minute . concierge desk helpful London . restaurant , bar , afternoon tea fabulous ; room service extraordinary . pinch ! drawback family accommodation ; must book suite 2 room travel 2 child . $ $ $ $ Park Lane active , surround street desert night . safe , can not find cab find walk alone several block late night return pub . 
 Jan 11 2007 	 great back Dorchester 	 delight return one London 's fine hotel . dorchester excellent location Mayfair King Deluxe room view overlook Hyde Park . bed - room comfortable size , luxuriously furnish superb bed enormous marble bathroom . comfort key everything heat towel fluffly robe thick soft carpet pamper luxurious . service hotel outstanding everyone doorman room service especially excellent concierge staff -- make feel welcome . dorchester spa fine -- nothing well good workout sink hot tub enjoy steam bath . Dorchester Grill -- top decor -- outstanding worth visit -- even stay hotel . breakfast always good , especially room service . hotel frequently celebrity high profile guest fun annoying depend point view -- everyone stay fine hotel feel like vip indeed . 
