fantastic 	 stay 4 night thanksgiving . hotel absolutely fantastic- room super clean spacious everything high quality- bed really comfortable bed nice soft . bathroom also really nice- big complimentary toiletry great- neutrogena get replace every day . staff sensational- know answer question get place , good deal shop , stand parade etc . even flyer 3 different price option go traditional thanksgiving dinner . bugbear someone knock door attempt come room 9 am day leave ask check out- seem ridiculous hopefully change future guest . stay though without hesitation fantastic time . 
 Jun 9 2009 	 great hotel tick box 	 look somewhere clean , modern , spacious ( well , spacious New York ! ) , polite staff easy access local site nightlife would highly recommend Hilton Garden Inn . it late night check everything sort quickly efficiently . room 21st floor large enough we modern , clean facility , large flat screen tv ( channel could ever need ) free wireless / wire internet fast enough check email news . one small thing note ' think booking option Empire State building view valid stay new building process complete block view think would room . if plan spend much time explore city possible , need somewhere comfortable , modern good location stay would say Hilton garden Inn tick box . 
 Jun 7 2009 	 great hotel good location decent sized room great staff typical Hilton 	 find choose hotel bewilder first trip NYC lot research . ' m satisfied choose well HGI Chelsea . room good size , huge comfortable bed , facility wcould want ( hairdryer , excellent range toiletry , lovely fresh coffee machine microwave ! ) . hotel staff friendly approachable . the location excellent - Chelsea district nice , 10 minute ish walk 6th avenue hustle Times Square . hotel little shop sell food etc , plenty shop sand supermarket nearby . McDonalds end street . load cafe , deli etc . see Harrison Ford road ! : - ) would stay hotel reccommend anyone . 
 Jun 5 2009 	 nice place - newly open clean 	 Stayed 5 night late May / early June , 40 yr old Brit travel work . choose location handy work ( low Manhattan day ) socialising & amp ; sightseeing midtown neighbourhood . it fine meet expectation - staff friendly welcoming ; room clean comfy ; bed comfortable air breathable ; location need . it slightly way corner be new NY might bit spooked environment nearby block two , since wholesale flower warehouse , downmarket shop moment lot construction go . fact , be seedy ' low rent ' neighbourhood walk half block 6th 7th avenue feel part city - not put ! not try food except breakfast first day , pretty much would expect , politely serve . ' pantry ' good idea - be Brit shake time difference stock snack food keep go wake 4 am ! use base travel Central Park , Greenwich Village , Soho , Downtown , Long Island ( via Penn station min walk away ) - practical fun location . complimentary wifi work fine colleague . 
 May 31 2009 	 perfectly fine 	 hotel little well expect tell truth . expect & quot ; B & quot ; class experience & quot ; & quot ; class . front desk go beyond make we feel welcome , comfortable , offer & quot ; extras & quot ; regard make plan around town well experience . bell staff attentive prompt . room bathroom super clean ! ! bed especially pillow fantastic . stay well expensive hotel city . demeanor staff tell lot place business . staff friendly positive . stay city we require little time spend hotel . time Hilton Garden perfectly fine satisfying - enough make want write review - first one ' ve write . 
 May 30 2009 	 great base shopping trip 	 stay 3 night impressed . room whilst massive decent size Manhattan . hotel couple year old well maintain notice anything untidy even slight disrepair stay . bed extremely comfortable , furnishing stylish room well equip . facility room include flat screen tv , blackout blind , iron board , hairdryer , phone , bath shower air - conditioning . hotel 3 star rating , would say room like would find good 4 star . bar , restaurant ( serve breakfast ) , fitness centre , business centre two pc free internet access , ice machine , free wifi , room service 24 hour reception . staff pleasant helpful although not need assisstance order us taxi airport . luggage storage area , within concierge arrange store bag departure day . hotel centrally locate great base plan walk around Manhattan , although also three subway station within less five minute walk , serve the1,2,3,4,5,6 , N , R , Q W line . empire State Building , Madison Square Gardens , Penn Station , Macys , Chelsea Park , Madison Sqaure Park , Flatiron Building Fith Avenue also within less five minue walk hotel . street prettiest although consider expect location midtown stay Avenues . flower market operate one day stay improved appearance surrounding greatly . would highly recommend hotel anyone visit New York perfect trip . 
 May 19 2009 	 would definitely go back 	 read review TA convince go ahead reservation . extremely satisfied staff every time question request . room comfortable food restaurant breakfast good . night look little different outside vendor remove product back store . wonderful walk along street see flower & amp ; plant available customer come purchase spring foliage . the subway corner close walk . walk Times Square back hotel well dark & amp ; feel fairly safe . 
 May 16 2009 	 great choice 	 hotel great ! 's brand new , bed really comfortable , room not small staff really helpful ( specially IRENE , John Malcolm ) .The location good , near Metro Station , Madison Square Garden Macy 's . street people say quite deserted night not seem friendly problem , instead nice 'cause could sleep without noise street . 
 May 15 2009 	 Fantastic Location … fantastic hotel … enough say ! 	 title say really . firstly location perfect . first time New York ' know expect say ' glad book 6 night stay here . Situated Flower District 10 min walk Times Square 5 min walk Empire State building . 28th Street subway corner , bonus . every morning present explosion colour wonderful smell whole street cover flower tree . perfect start every day despite rain : ( first arrive road work directly outside hotel , ' feel confidence , enter lobby area flood ( due roadwork ' outside ) . think " book " . put back mind hope ' start holiday hell . how wrong even think . check easy , staff helpful room ready straight away ( arrive early ) . three bag we ' bother use bellman . book King Evolution room City view direct 23rd floor ( 24 ) high request booking . room 2303.what lovely room . nice spacious view window excellent ( check pic ) . would recommend request high level floor get view . Room come complete Fridge , Microwave , flat screen tv sooooo many cable channel , iron , air conditioning , coffee make facility alarm clock radio . bathroom clean spacious complete bath ( shower ) hair dryer . bed comfortable . book room breakfast bonus consider cost food New York ( exchange rate killer ) . also convenient save we worry find somewhere eat every morning . would recommend highly book breakfast . breakfast excellent . buffet style could whatever want , ever much want . include Breads , Cereals , Fruit , cake , yoghurt choice hot food bacon , egg , sausage , french toast , pancake could also order egg ever wish include choice omelet ever want . forget choice juice , tea coffee . staff soooo helpful . overall , would say fantastic hotel . hotel perfect location ( away hussle bussle ) , clean spacious room staff sooo helpful . a couple minor thing . lift quite slow mention previous post two use guest staff ( maid / maintenance / bellman ) . lastly last day bellman ( first time stay ) collect bag store wait transport Airport flight evening . ask British reply yes . response : " british ' tip well " find rude ' honest consider ' tip everyone maid , waitress reception staff everyday , holiday well . but ' let minor thing put . love hotel . guarantee . question please ask . 
 May 11 2009 	 perfect location 	 good thing hotel location , especially ' ve New York usually stay close park tourist lurk - 's slightly different environment . night street sort dingy look abandon ( be safe though ) , morning doorway explode color - 's flower district , walk home fragrant spring bulbs daily joy . three metro station 28th , one right corner 7th , whole city easily accessible . plenty great place eat nearby , pharmacy corner . hotel : room street get noisy sometimes . incredibly spacious , be room much vacation anyway . bed comfortable . bathroom door tension hinge close automatically , annoy may problem other . internet problematic . friendly staff . thing find intolerable elevator . think elevator work time maybe entire week - long stay , service elevator housekeeping staff . become difficult 24 floor guest full hotel . unusual wait 20 minute elevator become really frustrating . ' ve fix little problem would say place great choice . 
 May 6 2009 	 great location great accomodation ! 	 stay hotel nice ! hotel room exactly need comfort awesome room ammenitie ! ! comfy great atmosphere ! ! ! ! ! KUDOS ! ! ! 
 Apr 27 2009 	 Comfy hotel great location 	 spend one week hotel feel home every ocassion . room nicely decorate feel comfortable , particular huge bed perfect mattress . enjoy coffee - make facility , save money , good return whole day stroll Manhattan cup coffee quiet room . american breakfast tasty : sort sweet stuff like eat breakfast ; huge waffle pancake , yummy muffin bagel , etc . would also cook variety egg request . everything well do , would ask cheese we Europeans use bread cheese breakfast . the service friendly uncomplicated . would make one complaint : elevator work order . every single morning , one two break . imagine 24 - storey hotel Manhattan single work lift : grumpy tourist force queue 20 minute waste precious time vacation . need lift ( fully operative one , least ) . surrounding : convenient location 2 subway station nearby . street line flower store , make nice welcoming atmosphere morning . 
 Apr 23 2009 	 Great Hotel NYC Neighbourhoods 	 stay Hilton Garden Inn 4 night April 09 . location good New York want visit neighbourhood ( Chelsea/ Soho/ Village , etc ) rather close main site ( Times Square , etc ) . say , be close Macy 's midtown walkable . the subway station end street convenient - plenty cab 6th 7th Ave . the lobby small & amp ; particularly impressive restaurant site ( breakfast ) room large comfortable staff really helpful friendly . cable tv room huge selection channel . room also fridge microwave - good like breakfast lunch . also snack station lobby . free wireless access throughout use pc 's business centre lobby.2 small gripe - room clean 4pm day , really convenient we , back day rest go evening - know someone last , could change bit not we every day ! also , service lift mean cleaner maintenance people use 2 passenger lift - therefore really busy day often wait several minute - bring 18th floor , wait really option . there construction work not hear , area generally quiet able window open night . that say , would definitely stay - think excellent value comfortable . 
 Apr 18 2009 	 ` ` loverly '' Fair Lady 	 arrive back home caribbean week 's stay New York City . two woman friend , fifty , live rat race get 15 year ago . somewhat uncertain would experience Big City many year , arrive - love every minute . upon check - in hotel ask move low floor , arrange minute . room cozy , clean everything need wonderful bed ( 2 huge one ) . get online business center staff list good suggestion eat . hotel seem small although 24 floor 8 room - do not notice , staff seem know everyone . street vey nice lot little flowershop , right around MACY 's walk distance Times Square ( like walk ) . construction go accross hotel , hardly notice . couple day find wine licqeur shop huge selection around corner 27th street ( fridge room ) . would definitely stay perhaps might soon . visit Brooklyn Museum Botanical Garden , wonderful ! ! ! 
 Apr 9 2009 	 second time ... still nothing put finger . 	 second stay Hilton Garden Inn Chelsea everything perfect order . staff helpful og sense humor . can´t recomend hotel enough . don´t enjoy stay Hilton Garden Inn ... maybe it´s problem : - ) p.s . remember tip maids , worth every penny ! ! ! 
 Apr 6 2009 	 Awesome Hotel ! ! ! highly recommend ! 	 husband come New York honeymoon . stay 8 night , LOVED hotel ! staff friendly accomodate . hotel restaraunt serve wonderful breakfast . thrill every aspect stay ! would recommend hotel friend family anyone else else want great place stay reasonable price ! FANTASTIC ! ! ! 
 Mar 23 2009 	 stay ! 	 absolutely wonderful experience ! staff oh friendly helpful . hint : hotel magnificent buffet breakast , dinner . u busy day , u want bother walk around city . , ask lovely lady behind bar recommend local takeaway - deliver hotel , eat bar area still sociable . chinese takeaway whilst well ever eat , big enough two , cost something like $ 10 - fantastic . one special bed u adjust softness preference - amazing comfort ! great location - bedroom look onto Empire State Building ( magnificent view night ) . 
 Mar 22 2009 	 nice hotel real New York City 	 new small boutique style hotel 8 room per floor . mattress firm comfy , take shower 10 sunday plenty hot water good water pressure - strong enough wash conditioner hair pretty quickly . oh wall thin window sound proof . lot construction quiet day top priority , pass . neighborhood definitely old NYC ethnic kind dirty . flower district though walk outside 's great flower store stuff sidewalk green smell good . great Ballys gym 7 block away good retail fast food near . 
 Mar 16 2009 	 Great Staff Location price 	 definately good hotel stay NYC trip . stay little week , would like entire stay , Jessica bar hilarious , make drink start talk amongst guest . John guy frontdesk could not helpfull way . make Hilton Garden Inn Chelsea hotell whole stay next time go NYC.Christoffer Norway 
 Mar 5 2009 	 wonderful staff go extra mile make stay perfect ! ! 	 Fiance family come Scotland get marry NYC stay Chelsea Garden Inn . John Reception could accomodate kind we ensure even ' off day ' big day go without hitch . Jessica Bar also star , look we give we local knowledge advice . two lovely big table organise wedding breakfast courtesy Hilton Garden Inn . this hotel perfectly locate , stone throw Madison Square Gdns , Empire State , Times Square Subway Battery Park / Ground Zero , room big Manhattan standard staff go extra mile make stay special memorable . thank make New York wedding trip could ask .... much ! ! ! ! 
 Mar 4 2009 	 New Hilton Hotel 	 prefer Hampton Inn 23rd , could procure room . enjoy stay like room , arrive 10 bag check 15 minute . delay cause woman use debit card secure room , Hilton place hold check account unspecified amount , happen past . always use credit card placing reservation . area lively , short walk subway , MSG etc .. room small , well furnished , view Empire State Building , much view 28 floor . place 28th , special need work solve reservation place . likely choose another Hilton location reserve NYC . great MSG event . 
 Mar 1 2009 	 Great Hotel 	 first class hotel nice clean room . view good not look window , find location bit dismal first class . the hotel staff bar staff manager wonderful helpful , particular Jessica barmaid could enough us - service smile . 
 Feb 25 2009 	 absolute class start finish 	 arrive 2 hour check time allow we straight room great view window 8th floor.i think need 17th floor talk floor think 6 room per floor noise minimum times.got say bed one comfortable ever sleep in.room reasonable size nyc standards.did eat restaurant comment bar bit expensive get massive range choice shop small expensive microwave fridge room easy buy hotel take back room . staff helpful go use buisness centre teenager use facebook tell front desk politely ask leave buisness centre.be aware travel group fair amount luggage arrange transfer airport firm use really expensive asm limousine hotel website fantastic return airport use carmel service good also hotel baggage storage etc speak highly enough hotel ever return stay sure 
 Feb 24 2009 	 really enjoyable comfortable stay 	 read worst good review hotel glad helped choose hotel . nice , new clean . staff courteous , helpful respectful wish disturb room stay . still leave fresh towel toiletry outside room everyday make fact get clean place . close subway major attraction . end busy sight - see day , great come back comfy bed huge selection tv show . get deal would love always stay hotel ! btw want last minute item WHOLE FOODS around corner . great espresso , go 20th street 7th 8th ave Grumpy 's . make truly fantastic brew . 
 Feb 16 2009 	 great location price 	 location great everything want . shopping macy , Time Square , fashion show Bryant park shopping China town . short walk macy , time square bryant park taxi ride china town . the staff helpfull travelor question rude like read say hotel staff . the bed exactly need long day worth shop . remember bring ear plug eventhough hotel quiet hear street noise . 
 Feb 15 2009 	 Excellent business hotel 	 little endorse positive review hotel , thing add base recent six - night stay , follow three night stay January . front desk staff first rate , though say Hilton Honors member . 's worth ask room back hotel construction work front present . noise refuse cart early morning , well truck deliverye numerous flower shop 28th St. key benefit NY subway route 5 - 6 minute walk hotel 4.5 6 line abour 10 - 12 minute walk . fly Newark train plane get Penn Station 30 minute $ 15 8 - 10 minute walk hotel . safety concern police station 30th Street road use patrol car garage . local restaurant take little bit find front desk staff helpful respect price low would north 42nd Street . call Garden Inn Chelsea push boundary Chelsea little . NE edge usually regard Chelsea neighbourhood . I ' ve visit New York regular basis since 1974 wish hotel build 2007 . prefer business hotel . tick box far room standard customer service concern . not get bar large comfy seat much way restaurant service evening . arrive hotel first time ( many ! ) not put rather cramp lobby area . 
 Feb 14 2009 	 great property price - good rate peak time 	 Agree review staff , room size , bathroom , etc - well average . 8 room floor two floor - hear guest floor - almost like private floor . booked week stay ( Dec. 25 - Jan.1 ) good rate could find relatively late date ( $ 237 + tax ) - hotel availability high $ 300 - $ 400 least night around New Year 's Eve . location great we thing uptown , downtown midtown - subway easy . eat Mustang Sally 's teenager - hamburger staff great . easy walk Whole Foods 7th Ave . , starbuck nearby 7th Ave . find plenty eat near hotel - eat hotel can not comment . eat breakfast Greek Diner - corner 28th 7th - great omelette . business center couple computer , ability print useful - free internet room work well , . lot walk area - feel comfortable . age 15 y.o - 77 y.o us - great place we . 
 Feb 1 2009 	 Great experience ! 	 great hotel staff . bed wonderful ! ! hotel quiet . allow late check . room size sufficient three people . nice bathroom great hotel service . everyone friendly willing help . construction area , bother we . within walking distance New York attraction . even walk GMA early one morning feel safe . would definitley stay ! 
 Jan 25 2009 	 Hidden Gem Amongst Flowers 	 hotel locate 28th west 7th , look like wedge former news stand , entire frontage may 30 ft . Block flower natural decorative centre different . quick 7 walk block south Penn Station , 's subway stop half block hotel . property brand - new pleasant foyer wait friend anything long - term . eat area , mostly breakfast take back along small bar . room large NYC standard , comfortable , quiet . internet work everything else . tv come hd feed dvd player complicate integrate remote . give size building relatively room per floor , low amount corridor noise . for price location , absolutely perfect business mid - town . reasonable walk Javitz , major plus know subway , get blue line fast . issue breakfast staff , NYC . bring significant weekend would appeal also , sure would child . would suggest Doubletree Times Sq 
 Dec 15 2008 	 Excellent Hotel UK Travellers 	 Booked hotel internet 7 night holiday / Xmas Shopping stay ; decision heavily influence online Reviews large turn fair accurate . we 9th floor front build busy flower market start around 6 a.m. couple door building site - never disturb outside noise . well average room / bathroom , great housekeeping comfortable hotel bed ever encounter . Excellent & amp ; courteous staff go extra yard ask . with fridge , coffee - maker micro - wave room breakfast local deli give measure independence comment Breakfast Buffet although guest seem complimentary . leave laptop home not use WiFi could access email etc Business Centre lobby free charge ( fact on - line airline check - in ) . 6 hour gap check - out transit Airport hotel well - manage secure baggage storage facility chase bus run little late . the excellent tv & amp ; cable system could not disguise fact U.S. tv garbage 's hotel 's fault ! ! food , Breakfast , Room Service provide local Bar / Restaurant call Mustang Sally 's locate across 7th Ave end block . eat twice convenience feel burger worthy special favourable mention . reasonably price price less Room Service Menu - rip - off eat comfort room . location wise - convenient one Line subway 7th Ave end block short walk Macy 's , Madison Sq Gdn etc . much preferred 7th Avenue toe & amp ; froing , 6th seem edgy / less attractive 32nd St south never problem , impression . overall , would rate hotel quite bit high 3 - star standard respect room service ; whether be good value money depend exchange rate competitor price respect deliver slightly exceed expectation . 
 Nov 20 2008 	 nice stay hilton garden inn chelsea 	 room HGI Chelsea good size , comfortable king size bed , newish furniture plenty storage space modern deco . room top floor view fantastic , location relatively quiet Manhattan . even though street hotel exactly pretty kind deserted night , be short walk subway feel safe walk back night . I problem bath water run yellow , although shower . mini refrigerator little noisy turn night . , crisp linen , directv , free Wi - Fi , coffee machine , microwave , morning paper add nice memorable stay . would definitely recommend hotel , consider return future . 
 Nov 11 2008 	 life saver 	 arrive Manhatten travel day check pre - booked hotel . horrible go search another . stay Hilton Garden Inn Salt Lake City rang ask room . let we walk around corner check room . whilst small prebooked hotel clean , light really fresh . immediately book four night stay . the staff marvellous could look we . help location , resturant room action allow we use office pc check flight home . well place Manhatten viewing . 
 Oct 29 2008 	 Excellent Hotel Great Location 	 boyfriend go New York January birthday party . book group family member accommodate . hear price not expect much talk friend hotel amazing ! room fairly big unusual new york hotel huge bed comfortable . bathroom impressive . lot storage space need ( wardrobe / drawer ) staff could not helpful advise go . location unbelievable . five minute walk Madison Square Garden . New York 's always somewhere nice eat nearby recommend Mustang Sally 's Mustang Harry 's end street . room service also come restaurant good treat . noise form room . ' m sure busy time year though . television lot station want not waste time watch television . 
 Oct 23 2008 	 pleasantly surprised 	 stay 5 day part Elderhostel group tour New York . hotel somewhat Spartin , entirely adequate - especifically want feel like pay amenity need want . year old , everything feel & quot ; new & quot ; . bed bed wonderful , room extremely quiet . staff friendly helpful , morning breakfast buffet also good . locate & quot ; flower district & quot ; , interesting walk around , 2 subway line close . like early morning coffee , McDonalds close , news stand . would stay without hesitation . 
 Oct 21 2008 	 stay Tin Pan Alley 	 like hotel . build tall thin , upper floor good view , particularly north side towards Empire State Building . staff engender small hotel atmosphere , friendly , helpful , ' first name term know it . we south side , 17th floor , view sun set Chelsea . room clean comfortable , WiFi work , fridge , coffee maker , iron microwave serve make we independent space . west 28th Street area gentrification Chelsea Garment District . know recently ' Flower District ' , still weave way pot palm banana tree walk 28th Street Subway hotel , florist move developer snap run property . fan Irving Berlin George Gershwin enjoy fact 1893 , number 49 west 28th Street home music publisher M. Witmark & amp ; Sons . subsequent arrival hundred musician piano give street ' former , romantic identity . yes , stay Tin Pan Alley . 
 Oct 14 2008 	 's pretty new ! ! ! 	 hotel look pretty new maybe recently undergo major renovation . lobby small tranquil thank water feature . elevator fast room pretty big . be on - site restaurant convenience store much view room . room pretty contemporary design , great find NYC ! 
 Oct 9 2008 	 Robbed : Inside Job 	 laptop steal new wireless hard drive . force entry , either maid leave door open deed . attach police report Trip Advisor know real deal . 
 Sep 25 2008 	 good location relatively quiet NYC 	 Hotel like boutique hotel -- small intimate . chelsea edge garment district flower district . construction next store much problem . breakfast part package . room would $ 575 / night get deal Hilton wonderful . also use Hilton point pay part essentially free we . LaGuardia 20 minute cab . sure cabbie not take Hilton Garden Inn theater district . block subway . block Empire State Building Macy 's . friendly hotel staff professional . NYC whole clean , friendly inviting . pleasant change year past . homeless compare year ago . go tkts - tkts theater same - day seat , take cash -- credit card accept . also booth move sidestreet , think lobby level Marriott . Les Halles excellent reasonable NYC . actually , food purchase cheap major US city . hotel theater reasonable ... 
 Sep 17 2008 	 great hotel 	 much research unable find inexpensive hotel Manhattan ( even rat - infest one ) , take chance book Hotwire without know hotel name advance . end Hilton Garden Inn $ 160 night . extremely happy hotel . arrive 10:30 morning intent dropping bag come back later check . however , lady reception tell room available could check right , bonus . room nice clean . complaint bathroom bed . comfortable pillow . tv great number channel ' ve ever see hotel . mini - fridge room . extremely hot week nice cold water bottle fridge . 5th floor view not hot would imagine room high floor excellent view . the location great . able walk almost anywhere . hotel midtown , walk downtown problem . end long day , take subway station maybe minute 's walk hotel . street quiet never hear sound room . never feel unsafe quick walk . the problem temporary parking outside checking . boyfriend put hazard light stay car minute run get direction parking garage . check come back . hotel give discount garage block away . be still pricey New York ? not forget get parking sticker discount hotel check . , love hotel would definitely go back . 
 Sep 13 2008 	 still Fantastic Hotel 	 stay hotel first open Oct. 2007 . service cleanliness great expect bit change open almost year . pleasantly surprised get well . they add new plant outside make inviting . property still clean stay back October 2007 . staff also seem comfortable still provide excellent service . front desk staff friendly , accommodate know area well . go extra mile guest . Breakfast change slightly finally speed quality would expect Hilton Garden Inn . actually speak Director Sales pleasant , informative seem really care guest . travel often NYC Hilton Garden Inn Chelsea become new NYC home . 
 Sep 12 2008 	 rude management major problem car ..... 	 author book - tour past four month live one hotel another . upon arrive hotel rental car immediate issue regard car . hotel locate busy side street parking area front hotel ( one would think ) reserve arrive guest taxi take commercial vehicle work one type another neighborhood . sit park car middle street time plumber finally arrive leave pickup truck free space park check - in hotel . checking - in get parking ticket $ 140 . discover porter walk car get luggage ( trunk full , include lot book ) . porter tell hotel would pay ticket worry . porter go room move car hotel 's parking ( several street away , hotel offer valet parking ) return hotel $ 140 parking ticket hand speak front desk person , turn take photocopy ticket tell would speak general manager morning.the follow afternoon inquire status one know talk . day exact thing . finally , day depart man front desk tell know nothing press take action . go back room return tell hotel responsible parking ticket . ask speak manager . front desk man leave return tell manager , speak manager phone ( odd , back room ? ? ? ) hotel official & quot ; load zone & quot ; street toally pack car , course , be nyc . ' ve never life see hotel parking guest check . top hotel 's & quot ; discount & quot ; park local garage $ 30 / day plus tax . , total pay little $ 200 park car three day . 
 Sep 2 2008 	 yes good ... 	 come back stay Hilton Garden Inn Chelsea 5 night room 907 pleased stay . the location good , close nr 1 n , r subway line , 3 - 5 min walk line be not far away . easily walk Macys Herald Sq . 10 min walk . street hotel locate main street Flower district pretty morning flower rest time one uglier street see NYC . whole area 32nd Str 26th str btw 7 Av Broadway will not win award good design time soon . be not great restaurant immediate area either , Mc Donalds corner . the little interaction staff good ; really helpful pleasent . our room king - size bed good bed sleep ever . room feel little cramp , could rollaway bed room well be not big way . room clean housekeepers ok job great one . bathroom big clean great shower . flatscreen tv good 120 channel excellent picture poor sound . I like hotel impersonal well ... little boring , definite lack character . area around hotel be not great close lot thing Manhattan foot subway . would stay rate pay ; $ 189 + tax ordianary rate . 
 Aug 24 2008 	 Excellent location ( day ! ) 	 good hotel competitive price . the room comfortable clean although little cramp 4 we one room . we could not get tv work do not complain not room long enough want watch . breakfast excellent plenty choice good omelette make demand . reception staff helpful recommend restaurant , shop etc . my main problem night- time . location hotel good access subway , walk say , Macy 's . day florist shop surround hotel open , night no - one around , feel little vulnerable return hotel subway . would like teenage daughter return . problem back hotel . would stay - yes 
 Aug 11 2008 	 great value money 	 spend couple great day Hilton Garden Inn Chelsea May 2008 bargain price - thank Priceline . arrivel ask reception give we room high floor available , wink tell we & quot ; enjoy view & quot ; . room face directly Empire State Building ! room spacious enough - particularly consider 's Manhattan . bed comfortable . even microwave owen room flat screen tv . the room , bath hotel overall clean everything smell & quot ; new & quot ; .Each morning receive sample USToday . the hotel locate 28th Street ( Flower - Street ) bit unfriendly night simply beautiful day - lot Flower - Shops . Times Square appr 10 minute walk , Macy 's 5 minute . red subway line stop right corner . I definitely recommend hotel everybody - specially young couple . 
 Aug 7 2008 	 Liked 	 hotel perfectly fine good stay . 's nothing fancy , be clean , comfortable , well - locate , staff super friendly helpful . room bit small , ' ve see small elsewhere . bathroom clean shower work well . we give free breakfast , perhaps Hilton Honors status perhaps nice man desk generously provide . breakfast good , would not spend $ 14 otherwise . I would stay . be definitely nice stay place 's quiet madhouse . neighborhood lot offer , night street dark bit abandon , unsafe . daylight busy fun flower shop . 
 Aug 6 2008 	 nice great 	 room hotel lot small Hilton Garden Inn Times Square 8th Avenue also location good , advice would stay Times Square hotel instead cheap , big room well location . despite , still reasonable hotel . room clean location not terrible ( 6 block Macys Penn Station ) , good Hilton Garden Inn Times Square 
 Aug 5 2008 	 Watch valuable 	 amazing stay hotel .... lovely exceed expectation . stay 9 day . Unfortunatley leave luggage hotel 1 hour wait transfer Airport . time jewellery valuable steal hand luggage . luggage store hotel restaurant . feel fairly secure restaurant close . apparently hotel staff access area . what sad way end great stay NY . difficult get someone hotel discuss matter . finally many call Australia . really intreste . take complaint it . great hotel watch security room & amp ; luggage storage . 
 Jul 24 2008 	 great hotel Manhattan 	 recently stay six night Hilton Garden Inn , Chelsea , New York , highly delighted . 's new hotel , open short , ideally place base explore Manhattan . hotel 's public amenity - example , 's pool . 's pleasant breakfast room , small , yet comfortable , lounge area . 's also business centre , offer free open - access pc internet service . bedroom well appoint , attractive comfortable , staff helpful friendly . the hotel middle Chelsea 's flower district , 's subway station end street . Empire State , Macy 's Times Square within walk distance . good value money . Breakfast not include , though choose make arrangement breakfast , peek breakfast room suggest 's wide choice , include cook - to - order food . 's also small shop basic food provision purchase . we will definitely stay . 
 Jul 23 2008 	 agreat time 	 first time ny husband 9 year old son arrive several hour early able store luggage could go see sight 3 day everyone nice cater every need , helpful sure going print map we put we right subway . room great shape clean hilton garden inn chelsea staff excellent ! ! ! ! ! ! 
 Jul 22 2008 	 great location ! 	 stay 2 night . room small nice . property new good condition . quiet except open closing room door . bathroom clean could . find dry toothpaste counter top hair toilet shower . nothing Lysol wipe could not handle . front desk folk helpful accommodate . one so - so - not want bother anything . example , want hold luggage day departure one guy desk page person get . 15 min later still nobody take luggage offer front desk guy anything re - page person . ask woman appear desk would not mind page baggage person wait profusely apologize wait come take bag - Mr. can not bother stand . would stay bit pricey pay regular rate . great location . 
 Jul 21 2008 	 love location 	 select hotel several Hilton 's / Hampton Inn 's Midtown area . overall , pleased . hotel new . room little small , nicely furnish . staff attentive friendly . by far good thing hotel great location . subway station block ( 7th avenue line ( 1 ) ) . walk two block east get Broadway line ( N , R , W ) , walk 3 block north get 6th avenue line Penn Station ( b , , F , V , PATH ) . anywhere Manhattan 20 -30 minute . also , 34th street shopping area ( Macy 's ) close , Time 's Square short 14 block walk 7th avenue . a considerations.1 . breakfast $ 14.95 , compare free Hampton Inns . go Whole Foods 7th avenue stock breakfast item . refrigerator microwave room.2 . on - site laundry . day carry - ons , would nice have.3 . restuarant choice immediate area ( 2 - 3 block ) somwhat limit . couple bar / grill 7th avenue . Mustang Sally 's quiet tasty , although little noisy . least two hotel currently build block , maybe restaurant soon follow.4 . 28th street pretty quiet night . day , sidewalk overrun flower plant wholesale flower ship . make street nice lively , little hard walk down.5 . 2 elevator 23 floor , wait elevator minutes.6 . hotel new cab driver LGA not even know . make sure address ( 28th 6th 7th ) .I would stay Manhattan . 
 Jul 21 2008 	 Terrific Stay 	 wife recently stay Hilton Garden Inn , Chelsea . Hilton Honors Diamond member use reward point . read reviews Hilton property Manhatten decide particular property . we find positive comment previous review true . room , small , clean . cool flat screen High Def tv least 200 channel , include 30 High Def . room 19th Floor could see top Empire State Building . wife especially love . workout room basement average HGI , complement . the one negative comment note regard speed elevator . prepared , 8 day , 1 semi - lengthy wait . really not issue we . we find location hotel good ( rather great ) . half block subway , restaurant nearby would nice . standpoint , Times Square location would well purpose . the good thing stay we staff . everyone come contact , Front Desk , Maintenance , Housekeeping , Restaurant , really helpful , friendly terrific . would definitely come back hotel . 
 Jul 11 2008 	 refuge City 	 stay Hotel 5 night great . bed extremely comfortable staff wonderful ! ton sight see city love come back quiet location hotel cozy bed . central everything right subway use quite often . refrigerator enjoy bring back snack place Dean & amp ; DeLuca . Chelsea Market etc . late night treat . complaint hotel door slam loudly ( include bathroom door ) figure careful get middle night . hotel truly place look forward get back long day city ! 
 Jul 4 2008 	 great hotel 	 enjoy 3 night , first time New York sure expect . we arrive early able leave bag & amp ; check in . although ask ( request Expedia book ) adjacent room ( 2 double double ) room 4th & amp ; 10th floor , not really matter . on return later move well room together 21st floor , quietly ans without fuss - very commendable . the room fine , tv , power shower , fridge , microwave coffee maker etc . even view Empire State build one . the breakfast ideal fill late afternoon , staff friendly helpful . all would certainly return ever go back ny . 
