big 	 stay 8 - year - old visit family . room much large cheap NYC hotel stay . 's old elegant way . room move around , everything place . son keep talk soft bed rest trip . not want leave , complain switch hotel later week . next hotel much small expensive . Roger Smith clean , sheet towel new . will book ahead next time stay . 's close Grand central train station . 
 great location staff restaurant elegant room ! 	 ' location , location , location ( mid - town , east - side New York ) . Roger Smith also reliable , warm - hearted , responsive , professional staff . test sport bar please appetizer ( include smoke fish ) entrée ( wild mushroom risotto ) dessert ( apple tart á la mode brownie á la mode , perfect splitting sharing ) . also test restaurant breakfast please extra touch raisin brown sugar accompany oatmeal . we need stay room equipment disabled person impress junior suite ' elegance perfection . include sofa easy chair two flat screen tv , one big one living area , handy mini - kitchen - in - a - french Provincial free standing closet refrigerator , microwave , white china coffee tea amenity . plant — imagine this — be alive healthy book read nook well dust appealing . need Wi - Fi password . bedroom comfortable , , king size bed comforter — also small flat screen tv . bathroom big New York bedroom , glass - wall marble shower could accommodate roll - wheelchair . unfailingly courteous attention staff even round extra wheelchair us use , Kucuk G. Bag , front office manager outstanding crew . look forward return ! 
 Aug 9 2008 	 meet expectation 	 stay hotel twice stay total 5 night . first time 5th floor second 3th floor . bad thing hotel noise ! really recommend light sleeper . maybe get high floor well , specially 3th floor , could hear almost everything outside ! room small expect , clean . good thing free continental breakfast . although selection always , good way save money , everything good quality . computer use print boarding pass ( beware cost 1 $ per page ) . offer free wireless internet , often slow ! thing like free local telephone call , use reservation great charge ( almost every hotel ) . also location great . sure close Grand Central Station 5th avenue , next time definately choose another location . 
 Aug 6 2008 	 great location NYC adventure 	 well book non - smoking junior suite pleased room get . clean , comfortable , front desk staff nice helpful . ' use onsite restaurant bar use available free computer lobby quite bit . nice touch since really ' like travel laptop handy search restaurant site information activity . offer great location near subway easy walk many midtown point interest . complaint air - conditioning underpowered tv old tube style poor reception . 
 Aug 4 2008 	 long past prime 	 ten year ago , one favorite hotel NYC . spend three night Roger Smith , surmise hotel long past peak . hotel feel shabby , room unkempt , major hole wall behind bed due wear tear etc . bathroom great need renovation put mildly . much dismay , nice gesture offer complimentary breakfast buffet long valid . top , valet service simply non - existent . would strongly suggest fellow traveller take business elsewhere . promise ! 
 Jul 30 2008 	 Faded Value 	 good : hotel great location walk . able walk almost everywhere ! locate almost behind Waldorf - Astoria . think receive good value NYC . stay large ( NYC standard ) room queen bed . nightly rate include continental breakfast $ 199 . December 07 , day Christmas . the bad : hotel build 1927 show . interior cry makeover , please excuse construction outside exterior facelift currently progress . lobby nice enough , let hope least one two original elevator work ! room furnishing remind we stay Grandma 's house . carpet dirty threadbare . room musty odor . room really need deep cleaning . the Verdict : get room Roger Smith reasonable price , good value . picky accomodation plan spend time room , probably good choice . 
 Jul 29 2008 	 Roger Smith - do not bother 	 read review Tripadvisor book Roger Smith hotel last Saturday night . however sorely disappointed hotel . begin , offer valet parking , arrive , wait 10 minute valet park car . book junior suite non - smoking , assign room , room neither one order non - smoking . tell non - smoking room available . call front desk request speak manager . tell would call we back . , move category request , still smoke . also get complimentary breakfast . Roger Smith great location , suit nice change pace NYC hotel room , would never stay . 
 Jul 22 2008 	 smell like Old Lady 	 decor front impressive , room kind shabby dirty . first impression upon stepping room musty smell - like old people . television fuzzy ; air - conditioning so - so ; wireless internet spotty . location great , staff friendly generally & quot ; blah & quot ; experience due decor ( lack thereof ) . stay two night . it be & quot ; cheap & quot ; mean , be certainly bad place ' ve ever stay lack charming character hope boutique hotel . they work exterior building show . suppose 's much difficult address physical problem within room . 
 Jul 21 2008 	 GREAT LOCATION 	 book three night Roger Smith . staff friendly helpful room clean . bed clean comfortable rest furniture room old dirty , iwould sit chair . baseboard cover dust , one lamp switch break , wall socket would hold phone charger , think three hundred per night room could cleaner . however great location noise bad either sixth floor .Close everything want see Midtown ; Grand central terminal , Bryant Park , Chyrsler Bldg , Rockefeller Plaza , . owner hotel would spend money upgrade refurbish would great hotel . 
 Jul 11 2008 	 Excellent 	 Hotel staff friendly helpful . room adorable , like country bed breakfast ( ok w / out breakfast ) bed oversized comfy ; comfortable couch lounge . free WiFi , nice reading desk stock mini fridge spacious closet . offer luggage storage service small fee tag locked room staff access . location perfect everything within walking distance . husband definately stay again\ & quot ; / 
 Jun 9 2008 	 great location great service 	 stay Hotel Roger Smith perfect spot first trip Manhattan . hotel conveniently locate near Grand Central Station allow wife get anywhere Manhattan subway . staff front desk housekeeping hospitable , professional , friendly . front desk staff extremely helpful direct we around Manhattan . hotel ideal come Manhattan active see city . look hotel comfortable enough sleep shower . concern high quality tv , brand new furniture / appliance , numerous amenity . free wireless internet huge plus room rate reasonable NYC , aware be look ritz - y type hotel pamper , hotel . complaint well insulate noise city . 
 Jun 4 2008 	 disapointing long way go . . . 	 hoteli self trade travel extensively throughout country stay vary hotel may brand independent hotel - tell discerning learn hotel ' work ' improve ' exterior ' hotel . kid ? forget exterior - look interior hotel well guest impact area lobby guestroom . miss boat ! guest expect four star experince , quality stay value . value whatsoever . even newspaper ? ! kid ? air conditioner never work room - two day 85 degree ! yes , informed hotel , engineer nice accomodate yet nothing fix . checkout - let know issue yet agent even care even show kind concern . kid ? nonetheless , bellstaff cordial , staff congenial . overall - hotel value unless do not care lodge quality want save money . tell seem hotel priority quality rely 's ambiquious ' art ' theme market unique boutique . sorry - type hotel give boutique well independent bad name . tell lack invest time money high guest impact area not care . smart - find boutique really know well want . hotel get . 
 Mar 19 2008 	 tired good value 	 use Robert Smith take two teenager New York visit - hotel decor little tired find staff friendly helpful , location good thing plan trip ( Top Rock , Grand Central , Bloomingdales , Times Square etc . ) room reasonably large , bed extremely comfortable , bathroom clean ( shower little difficult set correct heat do fairly powerful ) . look grand country house see well day - promotional photo show dent / chip furniture miss curtain hook , accurate way - have happily book again . the breakfast generous - ample supply bread , pastry , yoghurt , fruit , cereal etc . , pastrie little tired coffee & quot ; proper & quot ; , little disappointing country know 's pancake . get pay supply keep we go hour ! free video service , help restaurant reservation , doorman give we entire box tissue son nosebleed clean room make lack overall standard decor . 
 Mar 4 2008 	 Fear ( especially room number ) 	 family five stay Roger Smith several occasion around 8 - 10 year ago . time , find service brusque , room large , lot character typical old pre - war New York building . ' back since , mostly spend time downtown , Roger Smith midtown . four family need large suite February , remember Roger Smith . ask specifically one big suite , available reasonable rate , book . rate continue increase prior visit , Roger Smith correctly honor original rate time booking . we arrive snowy , traffic - jam Friday afternoon . greet warm welcoming . suite ready immediately . cringe room number ( 911 ) , gentleman front desk say " ' beautiful suite . " right -- -- ' beautiful suite . large living area pull - out sofabe fireplace television , dining room large dining table fit six comfortably , small kitchenette , small extra bedroom television , plus gorgeous master bedroom exceedingly comfortable bed , television , dresser , lamp galore , huge walk - in closet . smell cigarette smoke anywhere , thank much ! also , many , many closet throughout suite . place crazy clean , kitchenette furnish small fridge , dishware , sink , microwave , paper towel , coffeemaker . but wartime character building change , mean good way . high ceiling , crown molding , large window , lot & amp ; lot character . I usually ' sleep well hotel , king size bed comfortable , temperature room right , hear absolutely noise guest street . guess 9th floor help . just side note , day check - in , friend drop gift we hotel . gift wait dining room table first walk suite . sure , seem like simple thing , ' m always amazed hotel can not even get simple thing right . the bellman Eric helpful get us cab check , smile entire visit , never overly " in - your - face " bellman be . have fear Roger Smith . warm , welcoming , clean , interesting hotel large room staff clearly enjoy work . 
 Jan 28 2008 	 frighteningly dirty 	 Peeling paint , stain , tear carpeting , break rust cracked bathroom fixture . look three room , . book non - smoking room , confirm , front desk initially put smoking room start check . Desk clerk say idea condition room . wait lobby , another guest come say window fall room ! 
 Jan 21 2008 	 ok little worn ... 	 first come hotel good first impression ! it´s obvious hotel old , could really use renovation . thing bother carpet & quot ; fabric & quot ; smell bit funky . breakfast joke ! think like , it´s great breakfast include , probably disappointed . course , depend you´re use ... serve bagel toast , marmelade cream cheese , hot beverage juice LOTS pastry ! like thing you´ll satisfied . so , good thing ! location really great , staff helpful get use smell , room really cosy . bed comfortable well . we we´re bit unfortunate som worker right outside window bang hard hammer drill ( we´re renovate outside ) day . course , probably finish ! expect little , consider pricerange New York , really ok ! 
 Jan 6 2008 	 lucky find ! 	 need room New Year 's Eve . stumble upon rs surprised find indeed room . end mini - sweet , two double bed fold - out sofa - perfect five we . room clean neat . rate reasonable . staff courteous , efficient , professional accommodating . bed comfortable . quaintness old hotel like add much stay anything else -- ' ve ever hear steam radiator softly clank stir life , know mean . say do , could walk outside block away Times Square . pleased end stay three night instead take train back forth brother 's place Connecticut day . brother room Marriott Times Square NYE festivity . imagine pay lot , would much rather stay Roger Smith , peace quiet , handful people lobby one time . will back NY return , will definitely look first Roger Smith ! 
 Dec 29 2007 	 great location good value 	 stay roger smith seven night room overlook lexington noisy first get use week go , good light sleeper . room adeqate spacious little worn , staff freindly helpful , ' the hotel great location underground station plenty resterant nearby , complimentary breakfast exellent pleanty choice .Apart noisy traffic , complaint hotel enjoy stay 
 Dec 5 2007 	 love Roger Smith ! 	 spend four night hotel nothing positive comment . first , location excellent : within ten minute walk Saks , Bloomingdales , Grand Central Terminal , Chrysler building Park , Madison 5th Avenues . 's also excellent base explore bit - 's 15 minute time square , central park afield . we stay large - ish room fourth floor two double bed nice bathroom . the bed comfortable , shower good ample storage space . the complimentary continental breakfast fair - good selection cereal , yoghurt , bagel , pastry etc . want splash bit , go downstairs Lily 's $ 8 - 10 dollar get big breakfast / brunch . sample egg pancake great . the guy reception helpful even bit sense humour . to answer previous complaint - noise experience typical new york noise streets ( siren , horn etc ) room immaculately clean . if , previous poster suggest , pay $ 400 - 500 understand feeling bit let , call hotel directly , get room $ 229 / night impressed . will definitely return . 
 Nov 21 2007 	 English Country House Manhatten 	 stay many time Roger Smith . large room ny standard , terrific location , good value . many great restaurant bar nearby well Grand central subway . Decor - English Country House style - modern decor comfortable . staff always helpful , free continental breakfast local call real plus . prefer call & quot ; junior suites & quot ; large corner room . city & quot ; value & quot ; hard find Roger Smith deliver . 
 Nov 4 2007 	 horrible hotel- avoid cost 	 stay one night business October 2007 advise company 's travel agent never book anyone . first , room ( like many NYC day ) $ 400 ! old , musty , small . comforter rip several place carpet stain throughout room . service front desk mediocre waitstaff breakfast rude . breakfast basic continental . stay many hotel NYC know expect view much space , $ 400 complete joke . stay elsewhere ! 
 Oct 28 2007 	 disappointed 	 unclean , change room , hair bathroom floor etc . heat October ... hrrr . one elevator work , take long time get lift . bathroom old , use bathtub . also renovation go , sleep 8 am sometimes impossible . inspite run house , hotel full . 
 Sep 23 2007 	 guest show nightly ! 	 long establish small / medium hotel flair unusual . conveniently locate Grand Central Station United Nations Building . hotel present showcase innovative art gallery room . guest invite contribute digital image run adjacent light gallery ( project onto street side window ) . room quite large traditionally furnish desk wireless throughout , air conditioning . time write hotel partial renovation . downstair café ( breakfast dinner ) bar pleasant oasis manic street outside . however first floor breakfast room find oppressive , cramp somewhere wish . NYC hotel ambience noisy , ear plug advise , certainly quieter side noisy ! front desk staff efficient professional . 
 Sep 4 2007 	 noisy hotel town 	 hi ! book 4 day Roger Smith August . travel agent recommend , say , good . we go arrive first thing thougth : & quot ; hotel seem noisy & quot ; . ask quiet room say nice quiet room . well , could not sleep . next morning ask switch another room . could not sleep neither . go another hotel . please , not go Roger Smith want sleep . 
 Aug 23 2007 	 Great Hotel NYC 	 stay hotel 4 night August 2007 . arrive hotel early day allow store luggage room ready afternoon , however , get early advertised check . upon check , hotel staff advise upgrade reservation ( originally book standard queen room ) suite high floor free charge ! suite locate one high floor although not really great view , amazing inside . room decorate mostly antique type furniture , heavy wood drapery , tasteful opinion . suite seperate bedroom four poster queen bed comfortable mattress ever . common area contain sofa chair area , dining area fireplace ( although disconnect use decoration ) . behind door small european type kitchenette sink , fridge , microwave , coffee maker addition dish utensil . bathroom quite spacious ample towel toiletry , bath/ shower excellent water pressure . throughout stay front desk housekeeping staff always pleasant accomodate question request . hotel also provide free internet station front desk guest use 24 hour day . hotel also bar call Lily 's , go , seem busy later afternoon evening . the hotel locate Lexington Avenue near 47 Street , great location explore NYC . theatre ticket several show find nice walk broadway area . hotel also close ( walk distance ) Grand Central wanting take train catch metro . also block Park Madison Avenue shopping would want New York . overall great stay would highly recommend hotel anyone want nice place stay affordable book far enough ahead get good deal one travel website . the negative experienced slowness elevator , however , hotel process upgrade issue much long . 
 Jun 2 2007 	 cute quaint little nook heart City 	 like . kind remind B & amp ; b - type room . cozy . 
 may 25 2007 	 Great Hotel Great Location 	 wonderful experience throughout . stay 3 night standard queen room 9th floor overlook Lexington Ave . boutique - type hotel spacious room ( NYC ) comfortable furnishing bed . modern bathroom facility include marble throughout , heat towel rack , phone , whirlpool tub , absorbant ( plentiful ) towel . continental breakfast nice touch ( rare NYC ) quick bite morning not feel like treking restaurant full breakfast . friendly staff throughtout ( arrive 9am able register bellman gladly check bag could enjoy NYC room ready early afternoon ) . would recommend check , rechecke another day , room rate several facility ( hotel 's website , travelocity , expedia , hotels.com , orbitz , , etc . ) get good deal . case , room type Friday / Saturday stay range high $ 459 low $ 269 ( book , Sunday throw $ 209 ) . great midtown location , 1,2,3 block walk Park , Madison , Ave Americas , subway 4 - 5 short block 51st 42nd ( Grand Central ) . many restaurant , pub , cafe nearby . only caveat , hot / popular dance - club next door get noisy 2 - 4 , window close air conditioner ( be 1st floor hotel Lex side ) , not problem . 
 Apr 5 2007 	 Fantastic Hotel Resaonable Price 	 stay hotel day depart cruise , choose one cheap option downtown . leary hotel first price , pleasantly surprised . hotel central location within walk distance major site . room , large New York standard , immaculately clean welcoming . hotel staff fantastic , friendly , helpful , great bar main level good martini . problem encounter noise room street . New York City , expect thing quiet time . overall , love , definitely return ! 
 Apr 5 2007 	 perfect hotel 	 great hotel location , cleanliness , staff . close grand central great getting around . would definately recommend hotel anyone want great location good value . visit Empire state building night- disappointed , worth wait . go Top Rock Rockeffeler Centre day , get great view Central Park Empire state building . busy empire get top quickly , queue . make sure skate central park , visit dakota building wonderful thing new york . one place eat would recommend Johns Pizza . opposite majestic theatre broadway . old church , serve huge pizza . enjoy 
 Mar 31 2007 	 Senseless Callous Display 	 senseless callous display & quot ; art & quot ; dare compare and/or belove Redeemer forever -- mean forever -- render experience immoral self - depreciate canon trash inexcusable poly - rot ! never subject godforsaken delerium profanity . never ! never ! 
 Mar 23 2007 	 good value New York 	 price Roger Smith must good hotel New York stay 8 night great service . room good size always clean location perfect get around walk main area , close Grand central mean subway close aswell 
 Mar 22 2007 	 can not recommend highly enough - go independent hotel chain 	 see deal Roger Smith website whilst search available hotel read review Tripadvisor decide book directly hotel website November offer deal . get rate $ 189 prpn exc tax inc continental breakfast Junior Suite $ 159 double / double room . on arrive hotel late Thursday night snow storm greet Duty Manager Kucuk explain problem hotel overbooke . ask 4 we would prepared share suite 1 night would move couple Junior Suites follow day extra cost . tired travelling agree take room . the suite beautiful ( room 511 ) , walk lounge / dining room large sofa / bed , 2 rock chair , dining table 6 chair , arm chair , desk , coffee table , large tv , vcr / dvd player ornate fireplace . there small kitchenette fridge , microwave , sink , crockery , cutlery coffee machine . next bathroom , good size clean deep bath shower . water pressure good always plenty hot water except last day . across corridor small room single bed , drawer , tv portable heater . master bedroom - huge bed feather mattress topper , great pillow , walk wardrobe dressing gown , flat screen tv , full bookshelf , armchair 2 large radiator imagine stifle room weather warm great we cold outside . the suite rear hotel think great quiet , not view not think ever get one ny.the follow morning decide 4 we would stay suite together unpacked loved room . nice room spread order room service local takeout want chill book film hand . La Rustica Pizza street delicious . the location hotel Lexington Avenue perfect wander around 5 minute walk Grand Central want use subway . the complimentary continental breakfast excellent , agree breakfast room small sometimes wait table food nice set day . find quieter 9 . la carte breakfast Lily 's also reasonably price good fancy something hot . Lily 's bar cosy hideaway not expensive , really pleasant drink in . reception efficient able use internet free brilliant . never stay hotel every member staff polite helpful . really can not recommend Roger Smith highly enough , stay many hotel offer usual chain . room individual instead identikit matter world staff genuinely helpful rather hang tip . recommend hotel anyone know go ny definitely stay . 
 Mar 19 2007 	 Smashing time NYC 	 book @ Roger Smith look TripAdvisor fair review . March 8th birthday also 38th wedding aniversery trip plan two friend . I make contact via e - mail Hotel tell celibration ask could arrange flower wife . well Roger Smith outstanding , room large , nice warm ( land snow storm ) . bottle nice complementry red wine greet we . yes flower arrive promt 8th , moon ( wife ) little bar Lille 's , real find cosy invite . the breakfast good lot choice . speak lady lift tell stay hotel 20 year visit NYC.I must say visit Roger Smith I . John & amp ; Marie + Jim & amp ; Sue , Solihull England 
 Mar 18 2007 	 great bargain 	 recently spend three great day Roger Smith . the check - in super quick room ready ahead time . the room fine . bed comfortable , room clean , bathroom quite roomy , water pressure good plenty hot water . room face street third floor little street noise . get good rate Expedia . continental breakfast plenty choice manny front desk extra nice efficient . would stay without hesitation . avoid Raffles Cafe corner [ part Roger Smith ] . $ 42 grill cheese sandwich , hamburger platter , iced tea , coffee . 
 Mar 1 2007 	 loveliest night life 	 night boyfriend 's 50th birthday , lovely time . one magical night life , Roger Smith lot . 's gorgeous hotel great neighborhood - - classy , still warm welcoming . highly recommend ! 
 Feb 6 2007 	 large clean 	 back two night stay roger smith hotel . good stay . room large clean clean nicely first night . temperature slightly erratic cold weather new york year . see waiter kind bark guest breakfast event . breakfast ample reasonably good quality , include fresh fruit yogurt . good bargain price also find expedia.com . would go back ; good bargain midtown . 
 Feb 1 2007 	 great place .... overprice - hunt deal . 	 need something cheap , something little different ... Roger Smith provide ! Arty , Jazzy , throwback Art - Deco & amp ; NY Jazz ..... huge room , clean , well appoint ( free DVD / CD library ) , lovely staff & amp ; fantastic location Lexington & amp ; ( less ) e48th . everything manhattan walking distance . query would price . score great deal - maybe NYC quiet time year , get great room half hotel publish price . search around & amp ; not pay full whack ... lovely , ai not worth $ 370 night hotel quote . 
 Jan 18 2007 	 Nice Hotel Little Overpriced 	 husband , sister , stay Roger Smith Christmas although hotel clean staff attentive , encounter problem . first , book jr . suite via hotel 's website quote price ( state confirmation print ) state include taxis ADDITIONAL FEES . arrive check , price $ 100 expensive print confirmation . give print say price include extra person charge $ 20 day . point paper ( case ) clearly say room book 3 adult know time essentially pay $ 210 dollar night versus $ 190 may choose hotel . merely shrug . go ahead check somewhat dissapointe size & quot ; jr . suite & quot ; . regular room small pull - out sofa ( sister claim uncomfortable ) , none us privacy . room also face Lexington Avenue LOUD first night could not sleep , ! good thing hotel : mine husband 's bed comfy , nice view , continental breakfast convenient ( although not expect much beyond usual cereal cheap pastry ) , nice holding bag we last day since late flight . not get wrong , first trip NYC , know hotel overprice small , compare hotel midtown Manhattan hotel cost $ 200 night kinda seem like rip - off . would suggest Radio City Apartments , especially be travel group . get lot price . 
 Aug 28 2006 	 perfect bargain 	 Hotel well worth price . locate perfectly Lexington Avenue , block everything . Chrysler build four block away times square six . room spacious consider space constraint , clean . people work office helpful whether bring bag room , recommend good place eat . hotel offer five - star chain ever would , would absolutely stay . 
 May 29 2006 	 good value ! 	 stare Memorial day weekend one night husband . hotel easy find easy walk Grand Central . another metro station 5 block well . lobby nice , staff polite . gal check we nice , let we early 10:30 a.m. ! request queen bed get king , room roomy NYC ! decorate classy way- poster bed , wood furniture . even mini fridge tv / VCR . hotel keep stock videotape take bored kid ! bellman nice us check luggage check spend next NYC leave night . negative thing say hotel . the bathroom although roomy need sweep floor . noticeable dust dirt . carpet nice bit wear hallway . 's retro feel decor- thinking 30 's 40 's . 
 Apr 23 2006 	 good ... 	 first visit New York get good deal last minute.com £ 300 3 night Valentine 's Day . room rate post wall claim want $ 290 per night - would happy pay quite shabby ( shabby chic would probably call ) . room quite musty old fashion even quite dirty . hotel good location - right middle everything , conseqence street noise - New York carry night long . expect give location help hotel wall paper thin hear everything go next room . last night get 5 am flight home keep awake 3 guest room next door , come California , tired time excite New York ! ( know could every word say wall ! ) breakfast include room rate good plenty choose - tend big breakfast need eat evening - good budget ! - good hotel location , decor , cleanliness good night sleep ! since return New York stay UN Millenium Plaza , 10 minute walk Grand Central , get well night sleep ! 
 Mar 16 2006 	 would love go back 	 husband , two teenage daughter stay one night last year Roger Smith , find internet search . love , would liked stay much long . street noise not bad , pretty high , always help . husband light sleeper , not noise problem adjacent room hall . room plenty large feel luxurious NYC - in - the-30 's kind way . cool location street Chrysler Bldg Grand Central . come town Amtrak subway Times Square night , walk hotel luggage , nice little hike . next day keep bag closet lobby ready train out . the thing still talk continental breakfast , serve lovely room surround people speak different language . feel civilized . 15 yo say day favorite breakfast ever . 
 Mar 4 2006 	 really nice 	 enjoy stay Roger Smith Hotel Lexington 47th several time . room , old style fixture , comfortable CLEAN . bed really nice pillow top , several style pillow choose . room small collection hardcover book use , sure take one check - courtesy say replace another return next trip . also enjoy continental breakfast , include room rate . usual american style pastry .... cereal , yogurt , croissant , juice , excellent strong coffee , whole fruit , bagel , bread like dinner roll . think appeal foriegn traveler , meet quite visit there . you beat location price hotel Big Apple . 
 Feb 6 2006 	 problem 	 stay Roger Smith Jan 28th , 2006 Feb 2nd . room charming noisy - could hear everything say room next mine , well intense street noise . website advertise live music bar frequent salon , neither exist . could attend bar ( non - live ) music loud . check charge charge card put hold another account same / full amount . ' ve try five day get release hold , do . speak rude representative today say would take care though & quot ; way obligate so . & quot ; surprised . other work hotel lovely people woman , supervisor , extremely unprofessional rude . would return . 
 Dec 11 2005 	 great hotel family 	 stay hotel December 3 , 2005 December 9.travelle ny wife two son ( age 20 17 year ) date impossible get double bedroom share suite 3 room ( 1 double , 1 single , 1 living room transformable double bed ) complete bathroom , besides also small kitchenette . gather lot experience travel around Europe past year highly recomend RogerSmith . attendance front desk : friendly efficientporter : patientcleanliness : cleanroom : spaciousheate : O.K . room ( Temperature outside reach minus 5 degree Celsius . ) breakfast : ContinentalVery good wi - fi coverage . free ! notice : hotel well consider among european visitor . therefore , book room well advance . nearby hotel find lot nice place lunch dinner . of course come . 
 Sep 20 2005 	 great hotel 	 partner stay Roger Smith Thanskgiving 2004 first week December . find clean , comfortable friendly . desk staff helpful let we store luggage check , come back later day collect get shuttle JFK . free buffet breakfast amazing - much food drink choose ! location excellent , block Grand Central within easy walk distance Seers , Rockerfeller Centre , NBC store many great shop . the downside noise Lexington night , get big city hotel . ' m light sleeper disturbed partner sleep like log complaint . still refeshe shower spotless bathroom tasty breakfast ready another day sightseeing ! would recommend hotel especially get good deal like Expedia . 
 Aug 8 2005 	 value come price 	 stay week . Room clean daily , accumulation dust bed tv stand pronounce . street - side room particularly noisy loud motor cycle leave night club next door . bar look like nice cosy place watch street unwind , indifferent bar tender night tv loud radio blaring . wonder mostly empty . staff service uneven . great help arrive . desk clerk ask book us car early airport trip not . bellman help we arrive flag we taxi . good location 
 Jul 17 2005 	 Urban Bed Breakfast 	 Excellent quaint city B & amp ; b - excellent complimentary breakfast amid Lily 's Restaurants spirited wall painting ; cool quaint room ; convenient location nice rooftop garden overlook part city . also , free internet access lobby make free local call room . room size perfect could use coffee table something eat ( pull two chair work fine , ... ) , furniture B & amp ; b style - pleasantly reminescent without old - comfortable bed bedding . must check garden , relax minute breakfast , 's hip - look leisurely - little oasis urban setting . downside : shower extremly low pressure hot / cold not stable- however talk people low floor ( 15th ) say shower fine . get lot moderate price would stay ! 
 may 31 2005 	 Terrible - Shabby - A / c - dirty - avoid 	 90 + degree day - little A / c . use condom find bathroom , dirty additon -- shabby furniture ( pull couch broken ) breakfast room understaffe clean - overall place dump 
 Apr 21 2005 	 fabulous value money great location ! 	 experience , New York hotel overprice poor value money . Roger Smith change mind . stay 2 friend April wonderful time . the room spacious 2 double bed , nicely furnish cotton sheet comfy pillow . bathroom clean constant hot water nice , powerful shower . room clean beautifully every day . the reception pleasant original artwork nice touch . staff always charm helpful . breakfast include price real treat . great array pastry also cereal , yogurt , juice , tea coffee . buffet eat much like . the location simply perfect . walk everywhere everything walk distance . even walker , subway locate mere 4 block away either direction . I recommend hotel highly enough . superb value money really merit 2.5 star currently . thank enjoyable stay ! 
 Apr 19 2005 	 nice room price 	 hotel great find . room spacious ( Manhattan standard ) clean , linen furnishing high quality , common area contain interesting artwork . also , great location East Side . 
 Apr 11 2005 	 love hotel ! ! ! ! ! ! ! 	 daughter stay hotel april 2005 love everything . room adorable . yellow white make bright sunny window overlook lexington ( bit noisy that s part new york experience ) . room large desk , 2 chair , iron bed , nice large dresser . also refrigerator ( nice drink long day walk ) . bathroom nice plenty room nice toiletry blow dryer . free breakfast morning great serve 11:00 weekend ! ! bar cute cozy original painting owner do wall cool add uniqueness hotel . staff friendly . horrible hotel last time ny nervouse book another one online time get really lucky roger smith . long day walk actually enjoy sitting room relax awhile . pleasant.also location great . feel find hotel future visit . look cozy unique hotel ( room decorate different ) bed breakfast feel hotel worth try . 
 Dec 21 2004 	 not stay Roger Smith 	 want hotel give we good value money . ' m sure will agree say simple element hotel give value . one service - believe , ' m reasonable guy - Roger Smith Hotel 's service simply awful , want think stay reconsider . I take shuttle Roger Smith Hotel one late night . upon drop , shuttle driver lock van still run - bag still van , well . ok , bit problem , help hotel ( ' m schedule 5 - night guest ) would think could get locksmith someone AAA , etc . guy work front desk Roger Smith refuse pick phone call help . say nothing hotel . unbelievable . show service flexibility , man . not ask hotel pay locksmith - want assistance find somebody could help . something along line Yellow Pages search telephone call behalf one guest ...... hotel customer service Roger Smith ..... non - existent . keep mind well : late night front desk clear guest phone call . Yep , frustrating say least . that be review . honestly suggest think stay somewhere else - plenty choose from . I eventually get bag help someone work nearby Enterprise Rent - a - car . 
 Dec 2 2004 	 well worth Roger Smith Hotel ... 
 Nov 29 2004 	 recommend ! 
 Sep 28 2004 	 impressed ... 
 Aug 18 2004 	 Euro - style relaxed . way well chain hotel 
 Jul 6 2004 	 Loved stay Roger Smith 
 May 21 2004 	 disappointing need renovation 
 Apr 16 2004 	 great city pity hotel ... 
 Nov 18 2003 	 Nice Place Busy Street 
 Oct 6 2003 	 room large grubby . 
 Aug 18 2003 	 shine Star ! 
 Aug 18 2003 	 Supermysigt 
 Nov 21 2009 	 como los hoteles españole .... ninguno 
 Oct 21 2009 	 Bastante bien 
 Oct 13 2009 	 Hotel bien situado . muy familiar 
 Oct 1 2009 	 Buen hotel 
 Sep 23 2009 	 Céntrico buena relación calidad - precio 
 Aug 31 2009 	 Recomendable 
 Aug 17 2009 	 La limpieza se compensa con la situación . 
 Aug 13 2009 	 decadencia del hotel 
 Aug 12 2009 	 está mal 
 Aug 11 2009 	 Acogedor perfecto para el tursita 
 Aug 3 2009 	 Muy centricoacogedor personal muy amable 
 Aug 2 2009 	 un hotel genial 
 Feb 5 2009 	 encanto su ubicacion 
 Feb 2 2009 	 Muyoca limpieza buena situacion muy ruidoso desayuno flojo trato correcto 
 Jan 11 2009 	 falta servicio es de categoria ofrecida 
 Jan 3 2009 	 ? ? ? ? ? ? ? ? 
 Jan 1 2009 	 Hotel décevant 
 Dec 26 2008 	 Una cosa compensa la Otra 
 Nov 21 2008 	 El hotel bien la situación inmejorable . 
 Nov 13 2008 	 Ubicación excelente 
 Sep 16 2008 	 Una inmejorable situación 
 Sep 9 2008 	 Tampoco está tan mal 
 Sep 6 2008 	 buen servicio en un hotel viejo 
 Sep 2 2008 	 Hotel horrible espantoso 
 Aug 9 2008 	 Emplacement de rêve 
 Jun 9 2008 	 gustó nada 
 Mar 28 2008 	 Sigue siendo igual 
 Mar 27 2008 	 Lo único malo del viaje fué el hotel 
 Nov 15 2007 	 genial 
 Oct 15 2007 	 gusto 
 Sep 15 2007 	 Muy Bueno sin duda volvería 
 Sep 5 2007 	 Fue un servicio correcto - Buena decoracion limpieza 
 Aug 31 2007 	 Si hubiesen avisado en la agencia de viajes lo hubiede elegido 
 Jun 4 2007 	 Bon rapport qualité / prix dan Manhattan 
 Jul 23 2006 	 Volvería 
