good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Dec 18 2008 	 good location bad heating cold weather 	 hotel locate great neighborhood , right next Central Park near great eat cultural life Upper West Side . room small side decent well appoint base cost relative hotel Manhattan . as mention reviewer , heater break / not work room cold night . ask front desk send someone fix , say have , not . second request , get cockamamie story hotel system turn heat outside temperature drop 45 . sure believe hotel would allow internal temperature drop 46 give we heat . not appreciate lie , indeed hotel try save money cut back heat . double - up blanket , solution . I can not say bad hotel bad deal especially give hotel 's good feature -- great location , clean safe , classic old pre - war hotel near Central Park , etc . aware 's perfect , cold outside , prepare . 
 Dec 13 2008 	 great get away 	 Wellrun hotel good desk service . comfy room good ensuite facility . easy access Metro Central Park . service keep bag check - out late flight give another bag free walk day . 
 Dec 10 2008 	 good location annoy heater 	 Booked hotel hotwire one night ( $ 172 usd plus taxesl ) , hotels.ca next two night ( want guarantee 2 bed Friday & amp ; Sat , cost roughly $ 335 usdplus taxis , come around $ 400 usd night ) . location great , north Natural History Museum , block Central Park subway . 5 block Barney Greengrass ! nice lobby lot wood , give old world character . the junior suite , queen bed sofa bed , large , queen bed comfortable . front desk friendly , one concierge surly ask whether internet cafe nearby . 's first surly concierge ' ve meet nyc- tough business go someone personnable ! suite view , look onto interior courtyard . my big disappointment finicky old heater . never kick first night , although could hear run , seem like cool air come . next two night , finesse , get heater come , crank hot , dry heat , make gurgle crackling noise , well loud fan sound . middle night night 2 3 . , get turn heater , since noise effecting sleep , time wake 8 , room cold . nothing , guess ! one minor disappointment although towel clean , seem stain previous guest . not get feel housekeeping pay much attention , put stain towel rack clean room . towel rough towel would expect two star motel I75 , stamp excelsior name . would probably stay excelsior , late spring summer heating require , room cost less $ 200 usd , include taxis , could not find well hotel price . 
 Dec 7 2008 	 point 25th wedding anniversary 	 well well , please decieve picture web site , reception area look vast , , reception staff probably unhelpful people earth , gym must hide away certainly find it . we one bedroon suite date , wall paper past era . be warn product mini bar sit pressure pad connect reception take one 20 second cost go bill whether not . if happen person enjoy hot drink 11 am hotel definatley , facility tea coffee , either room hotel question reception point abruptly tell star buck end street , info star buck open 05.30am till 11 pm , require hot drink night reception attitude tough . you could always use restaurant evening hot drink staff make feel welcome unless eat high price . the one good point hotel doorman helpful advise go get , shame small consilation . I would rate 2 star hoteand higher.l 
 Nov 29 2008 	 Run Rude 	 read rude staff front desk decide go anyway think could bad . front desk rude depict concierge one unhelpful . ask breakfast place area say go walk X , Z street . ask particular recommendation repeat thing . thing shock us management respond . be fairly resourcefull could without staff , top room run poor plumbing heating control . bit ridiculous price . my advice find another place . 
 Nov 20 2008 	 Fantastic Place Stay 	 stay two night 16/17 Nov 08 . book budget four us one room - cosy two queen bed bathroom . shower ferocious room perfect pay - New York want spend time hotel room . gripe room extremely hot put air conditioning cold blast day whilst solve problem . reception staff competent Joe doorman well ! arrange cab we back JFK hassle ever . would go back tomorrow bank manager would allow ! eat Cafe Freda Columbas - fantastic mexican breakfast turn right instead leave onto Columbus come across end choice . avoid Starbucks tea want decent cup - stick coffee ! PS liquer stores plentiful district tipple go dinner . Bistro Citron short walk fab french without big bill . 
 Nov 14 2008 	 Great Hotel 	 lovely hotel , less 5 min walk Central Park & amp ; Subway Station . our party 3 separate room , well equip , tea coffee make facility although know booking . ( maybe hotel could rethink ) starbuck round corner . none room great view big hotel like can not look onto Central Park Museum ! ! ! can not fault part stay except hotel warm everywhere , welcome air con & amp ; open window . would definitely stay . 
 Nov 13 2008 	 Great Hotel Location 	 hotel great location , right next Central Park , opposite American Museum Natural History right next bus stop subway station ( get direct tube JFK airport ) . hotel nice inside , clean good decor well keep . get upgrade suite arrival , give good sized comfortable bed , dress room , good bathroom , two tv 's safe . worried hotel city see bad review / photo site , however one one good ever stay in . on arrival , problem reservation ( Expedia 's fault hotel ) staff reception ( particular Borici ) sort telephon call limited fuss - something relieve at . there absoltely nothing negative hotel stay would recommend anyone . 
 Nov 12 2008 	 Appalling Staff 	 never experience place staff rude unhelpful . first trip States party 13 girl . moment arrive hotel check - in moment check - reception staff bad ever experience life ! hotel charming clean , tidy room easy access Central Park pretty obvious none staff never attend sort customer service course really not contact public . my advice would stay away hotel unless happy pay everything already book pay , do not mind people shrug shoulder do not want deal long . oh do not expect manager attendance time speak to . on plus side concierge guy brilliant ! 
 Nov 12 2008 	 Change Front Desk Employees ! ! 	 's real shame beautiful , fantastically locate hotel not appropriate employee work front desk . maid , doormen baggage clerk friendly professional . front desk female employee long black hair wan unpleasant , rude , twerpy , passive aggressive , uncooperative never smile . co - worker front desk pretend hear discussion woman guest . real shame . never go back . 
 Nov 6 2008 	 terrible experience 	 book hotel wedding guest reception Museum Natural History across street . experience group consistently TERRIBLE ... hot water ... television work ... request repair ignore ... front desk staff rudest least responsive , include hang call , swear guest hotel ever stay . observation guest experience problem trate way ! stay away ! ! ! 
 Nov 6 2008 	 never 	 wife spend January weekend excelsior last two year . hotel charm ( ever slightly go seed ) , option Upper West Side . in try make reservation , , January , encounter Director Sales General Manager . result former 's attitude ego latter 's focus & quot ; big picture , & quot ; ( preclude involvement thing customer ) , explore option . the Excelsior 's charm somewhat thin really bear weight unpleasant experience . 
 Nov 3 2008 	 Great Value 	 friend want spend weekend New York need budget hotel . find Excelsior exactly look . great location ; take we 30 - 45mins walk Times Square lot great vendor booth shop way . hotel kinda elegance see black white movie . lobby invite love room sitting room . shower kinda feel like be attack not get quite hot enough wall paper peel location hotel EXCELLANT deal ! ! 
 Oct 29 2008 	 rude staff - break heater almost fry we alive 	 staff unbelievably rude unaccomodating ... break heater blasted firey heat night long open window door room ... staff nothing correct problem offer $ 75 credit $ 250 room much unneeded miscommunication ... liar honestly not care guest reputation ... great room sleep decent location , WASTE TIME together ... give hotel business ... 
 Oct 24 2008 	 Excellent Excelsior 	 nice hotel convenient location . subway access locate end block , Museum Natural History locate across street , Central Park one block away hotel locate safe location town . suite pleaed accomodation . definitely stay excelsior next time visit New York . unlike other , find front desk staff helpful cordial . 
 Oct 23 2008 	 make trip perfect 	 stay suite overlook museum perfect . location excellent family -- right next Museum Natural History Central Park . walk type restaraunt safe feeling area . lot . stay -- hopefully soon ! 
 Oct 21 2008 	 lovely hotel agree review front desk staff bit 	 stay 3 different hotel N.Y , good . lovely room , beautifully detailed , nice quiet , Porter / bell hop helpfull friendly . lovely food , attentive staff bar resturant . the front desk staff something else , ( example ) ask change twenty dollar could get first dollar tip bell hop . woman behind desk look nose say ' what , question want say ' no' . other hotel nice location , happy stay again . I work hospitality disapointe witness type attitude front office staff . front office staff let hotel . 
 Oct 20 2008 	 rare find 	 place great . beautiful suite ( upgrade ) . front desk person , Borici , really nice . first trip NY problem w / the rudeness encounter along way ( @ MOMA one , yike ! ) . everyone encounter hotel helpful considerate . would recommend hotel friend would love stay . 
 Oct 14 2008 	 accomodating . 	 origially book one night . plan change need three night . suite available middle night end make three separate reservation . arrive ask could room three night . even say would willing stay regular room pay suite middle night . graciously put we suite three night . great location ( across street Museum Natural History ) . great restaurant closeby subway across street well . 
 Oct 13 2008 	 Mediocre 4 - star hotel 	 Excelsior Hotel @ 81st & amp ; Columbus near Central Park West . nice neighborhood across Museum Natural History park . lovely , nice lobby , friendly staff , apparently renovate floor floor . nice room , however one small easy chair , plus desk one straight back chair ( place sit together eat snack , etc . ) , old , small tv poor reception , nice bedding . bathroom beautiful white & quot ; Country French & quot ; tile design . bad feature : completely stock mini - bar ( pick anything basket top cooler charge hold item 20 second ! bad feature : coffee maker toilet overflow twice ! yike ! would recommend hotel . 
 Oct 11 2008 	 great place stay 	 excelsior pleasure stay . location fantastic . neighborhood quiet , picturesque , large selection restaurant within walking distance transportation option right , Zabars Central Park within easy walk distance make location even highlight . hotel decor quaint room comfortable . would agree reviewer desk staff somewhat snooty . woman concierge desk rude help whatsoever . however , speak manager discover concierge desk contract employee hotel . case , concierge reflect hotel would Excelsior 's good interest make sure staff desk much well suited job . 
 oct 9 2008 	 Great Location Quiet Snooty Desk People 	 hotel 1/2 block Central Park , across street Natural History Museum directly across park Metropolitan Museum Art . also 1/2 block subway . 's safe neighborhood feels remove craziness downtown . large fine honking part town quiet place ' ve ever stay ! 2 front desk people encounter friendly everyone else . get suite we 2 child ( sleeper sofa extra room ) work well we . view part hotel . try change say would wait next day contact Travelocity ( book ) . would stay , retail price ! pay $ 350 plus taxis painful enough . 
 Oct 8 2008 	 great holiday 	 husband return holiday new york stay excelsior . read bad review little apprehensive fantastic . door personel friendly helpful guy take suitcase room . line order fridge instal room immediately get room . room twin bed really good size beautiful ensuite . view absolutely fantastic look little park next museum incredible sky line . little front desk staff pleasant enough guy information desk helpful . room keep spotless towel change often . great position metro end road . would recommend hotel - wonderful time . 
 Sep 30 2008 	 highly Recommend . Pleasant Stay 	 stay four night . everything hotel exceed expectation . location excellent . across Central Park step subway . short subway ride Columbus Circle Times Square . front desk staff friendly helpful . well staff member . room clean tastefully decorate . bed comfortable nice linen . price right $ 281.00 per night . bargain quality hotel . 
 Sep 26 2008 	 great Affection Excelsior 	 husband stay two night may earn two free night credit card hotel list . make short sweet , really like hotel . room small , nice . north city view enjoy look residential rooftop . room queen bed , comfortable , usual amentitie ( chair , armoire , etc . ) bathroom beautiful item not usually see hotel , like jar cotton ball . husband not charm , like modern decor prefer traditional look , hotel . eat breakfast hotel use library room , enjoy location next Central Park use hotel 's umbrella ( rain ! ) . maid service excellent maid friendly . front desk people overly friendly , rude . feel comfortable love location cleanliness hotel . like say , would like come back long stay . 
 Sep 24 2008 	 Great Place Stay 	 grow NYC go visit mid - September . stay , last minute , excelsior . totally great . , Waldorf Astoria . elegant nonetheless . lobby mahogany marble . ( care front desk people snooty , say review . make friend staff ? true consierge person short actually misleading . plan trip well , not rely staff much . ) & quot ; junior suite & quot ; ton room , rarity NYC . couch , table , plenty window , two dresser , comfortable bed crisp , clean sheet , marble bath incredibly clean , tub window . offer toiletry , plenty crisp , clean towel . mini - bar safe . place beat want quiet , clean , well - locate hotel . drawback , personally , decor . feel like stay upscale , county inn , floral stripe . nothing date fade . new , nice . stay happily want upper west side . 
 Sep 24 2008 	 good value 	 super - expensive world nyc hotel one standout value . date will get somewhat cold face place - everything extra & amp ; be still try overcharge phone cell phone era . 's way may think keep basic price . provide competent staff quite serviceable accommodation great location . would definitely return need manhattan hotel spend money . 
 Sep 22 2008 	 expect ! ! ! 	 get Excelsior , seem rude front counter . air condite freeze , first night warm floor wet air conditioner . next day , long day walk , return room , find window wide open air . needless say , air conditioner could keep . another warm night . not seem care . ( one girl even hear say whine . ) call hotel prior arrival , say could cash cashier check . $ 100 per person per day . case , not even want give we change soda machine . lounge close 10 pm . see city light , would nice sit glass wine relax . needless say- basically use hotel sleep shower . tip budget- bring home . would recommend place vacation . town business , need room sleep shower . perfect . 
 Sep 22 2008 	 Excellent location 	 pick hotel 's location availablity suite separate bedroom door -- rarity NYC reasonable price . queen suite bedroom large expect . living room area sofa bed tight sofa open not problem . comfortable bed ; nice small bath ; quiet location ( view , 's ) overall good experience . breakfast include room price . continental breakfast $ 17.95 ; hot breakfast $ 19.95 good extensive . concierge leave lot desire . not willingness please attitude necessary job . one doorman go way last day walk luggage far corner hail cab us near corner block traffic could not get cab front hotel . excellent location subway 81st & amp ; Central Park West ( 1 minute walk ) 79th & amp ; Amsterdam ( 6 minute walk ) could go almost everywhere without transfer . 's 12 minute walk Lincoln Center . Central Park Natural History Museum literally right outside front door . 
 Sep 22 2008 	 Staff attitude problem ; adequate accommodation 	 Excelsior tout & quot ; luxury & quot ; hotel lot trimming , admittedly , reasonable price Manhattan standard . 's entice book . however , minute arrive realize thing . reception staff completely humourless , even unhelpful , remain throughout five day stay , despite change personnel . much welcome & quot ; well , want ? & quot ; approach hotel - keeping . room luxurious : adequate , ancient airconditioner noisy ineffective . bathroom OK . breakfast hotel , cost breakfast seem quite reasonable ny standard . contrast front office staff , housekeeping staff friendly helpful . the attraction excelsior price , certain extent location yard Central Park , one put surly service staff part price . 's place sleep , much . 
 Sep 12 2008 	 excellent place stay ! 	 return week holiday - stay Excelsior certainly recommend it . I stay , partner , ny wedding Central Park & amp ; hotel ideally suit . place upper west side 81st subway station road around corner could hop on / hop bus tour ( relevant ticket ) could stroll across Central Park shop 5th Avenue . the road peaceful evening compare hustle & amp ; bustle downtown & amp ; room 3rd floor front - be not bother traffic noise . room & amp ; bathroom clean & amp ; comfortable & amp ; air conditioning welcome temperature hit 90 degree 90 % humidity outside ! hotel staff courtious , approachable helpful . breakfast hearty reasonably price number great restaurant & amp ; bar area evening ourselves . I would recommend hotel anyone do not want stay thick thing downtown . on next visit definately book . 
 Sep 9 2008 	 complaint 	 4 night stay thoroughly enjoy - excellent location park , subway restaurant . room fair size New York clean . staff friendly efficient complaint . book e - booker think good price , overall great value New York . 
 Sep 6 2008 	 Loved Excelsior Staff great 	 return holiday usa . start newyork stay excelsior . I find staff nice helpful ( concern read previous review ) go husband two son , check upgrade room delux double junior suite extra cost , lovely.the hotel great position start morning central park evening eat one many restaurant near by.i stay newyork excelsior near enough hustle bustle ( 1 stop subway , 15 minutemwalk central park ) far enough away wait table cram diner.it also face natural history museum boy love it.the street wide tree line make differance end busy sight see shopping day.i would stay hotel return newyork . loved . 
 Sep 2 2008 	 Excellent Hotel 	 stay 4 night complaint . hotel good location quieter expect . room fine everything clean . would recommend anyone stay city . 
 Aug 30 2008 	 elegant comfortable hotel 	 stay excelsior 6 night end August . hotel locate upper west side Manhattan pleasant quiet area stay . lot restaurant within short walking distance . first visit New York find hotel elegant comfortable . accommodate 14th floor ( two lift operating ) room , whilst particularly large , clean comfortable . large wardrobe ( free safe ) bathroom excellent window let fresh air ( unusual experience hotel bathroom ) powerful hairdryer fix wall . stay room basis prefer sample local diner breakfast . recommend Barney Greengrass - jewish diner / deli Amerstam offer interesting concoction unlimited coffee plus diner call ' good enough Eat ' excellent pancake different topping unlimited coffee refill . not good evening meal find . reason not award full 5 star find reception staff unfriendly lack basic communication skill . doorman extremely helpful friendly domestic cleaning staff . despite , would hesitation recommend hotel would definately stay . 
 Aug 28 2008 	 Loved ! ! ! 	 must admit little worried staying read negative review . worried vain ! ! moment taxi pull outside , staff really friendly courteous . get room upgrade suite free charge , room spotless nothing much trouble . the hotel fab area , tube end street use every day , central park step away . excellent restaurant deli Columbus Avenue - would highly recommend stay . 
 Aug 23 2008 	 Unattractive 	 aside good location , hotel much appeal . front desk lack basic hospitality skill room dull bathroom ridiculously small . air con almost antique piece . 
 Aug 22 2008 	 clean small 	 hotel clean staff friendly . check inn right away . get room nice problums.1 . lamp light baulbs burn .2 . bathroom small . hotel staff freindly gift shop staff go way get ever nee . the location great nice nebor hood . would defenitly stay hotel . 
 Aug 17 2008 	 Understated Elegance Great Location 	 excelsior good hotel , conveniently situate adjacent Central Park overlooking landscape garden next Natural History Museum . subway station around corner . wood - panel foyer redolent bygone era reflect bedroom decor , pleasant , occasionally little fade . room large comfortable pleasing touch , complimentary sewing kit luxury cosmetics enhance environment . the hotel breakfast serve library - , elegantly wood - panel - , feel , particularly good value . addition usual cold offering , several choice freshly brew coffee tea enormous range bread , cake pastry , guest able choose variety american - style hot dish - waffle , pancake etc . - also omelette full & quot ; cooked & quot ; option . reservation hotel relate front house staff . find receptionist surly unhelpful , example feel tell personally present laundry reception , rather collect bedroom , inconsistent hotel quality . also , female concierge refuse reboot computer end shift , one evening , mean wait follow morning information require . add reception staff unhelpful . say , enjoy Excelsior would recommend represent good value ' especially bear mind location overall facility . 
 Aug 6 2008 	 Loved Excelsior ! 	 friend stay Excelsior Hotel , New York early July 2008 day . staff welcome helpful . room clean , comfortable quiet . especially enjoy shower air conditioning blessing temperature mid eighty ! hotel locate pleasant area close resturant , bar coffee shop . the subway short walk away access conections Times Square centre excitement , bright colour stimulation . enjoy bus tour reasonably price . , pleasant city break . thank Excelisor Hotel ! ! - highly recommend . 
 Jul 23 2008 	 extremely satisfied great experience ! 	 compare review hotel , excelsior seem rave fan medium - price hotel good location , book . stay NYC weekend one night hotel ( night friend ) . pleased whole experience , check - in , check - out . lobby gorgeous . able bag hold bellman extend amount time check - in , ease professionalism . incorrectly book Travelocity two twin bed , could hassle , instead front desk gentleman switch we large junior suite queen bed without we even ask . suite clean , notably bathroom , sometimes seem suffer city hotel . need extra towel , within 5 minute . AC work great , loud . mini - bar pricey , hello .... NYC , price list menu next minibar , know expect . location great , well - light safe , within 5 minute walk distance subway , central park , museum natural history , several restaurant . negative thing could say view room towards brick wall . however , specify view would like , would suggest ask & quot ; park & quot ; view either book check . bother we , room sleep , change shower . book third party , , make sure call ahead hotel directly beforehand ensure room view want expect . wonderful job ! 
 Jul 18 2008 	 GREAT Hotel ! 	 check today admit , slightly worried prior ( family 4 ) arrival , base early review - once proving & quot ; can not please everyone . & quot ; staff courteous ( find Lynn front desk helpful concierge staff full great tip idea ) , room ( 1 bedroom suite 3rd floor ) SPOTLESS feature excellent view park area overlook Museum Natural History . every day room make nicely ( housekeeper place daughter 's stuff animal together bed party - nice touch ) , toiletry replenish include usual soap / shampoo etc . also include razor & amp ; shaving cream , tooth brush tooth paste & quot ; EXTRAS . & quot ; LOCATION FANTASTIC short walk good restaurant price range , Central Park ... etc . subway ( never feel unsafe ) around corner ! Hotel Excelsior GEM ... ... oasis end day . would never hesitate recommend even pickiest friends family stay back NYC ! 
 Jul 16 2008 	 want 	 Read mixed review trip pleasantly surprised . hotel good location Upper West Side ( near American Museum Natural History face small park ) excellent public transport link walk midtown option . have top floor suite , brilliant view ! room clean , bed really comfortableand staff helpful . breakfast easily either Columbus Amsterdam Avenues . only downside one air - conditioning unit bit noisy use heat occassional humidity city july . perfect place relax busy day truly fantastic city ! ! 
 Jul 11 2008 	 not bother 	 unfriendly uncare front desk staff -- -we seemend bother initial registration . return desk later change traveler check , clerk could even bother check drawer small bill -- say possible change $ 100 bill -- -in whole hotel ! ! ! clerk next open drawer change request 10 20 . when computer problem get boarding pass flight home , clerk suggest go 72nd st -- -11 block away use computer ! ! ! ! concierge pleasant -- - & quot ; printer & quot ; -- suggest go around block mail company use get print boarding pass home ! order car airport helpful door man assure we would . call morning check , desk clerk know nothing . arrive order since doorman go one & quot ; know anything & quot ; ... responsibility book -- can not trace ..... check clerk argue provide pay receipt -- -I receive bill door morning find problem . request balance zero since credit card already . say do end day since bill necessary . insisted wanted & quot ; pay full & quot ; rceipt finally produce printer front -- -- - take 15 second -- -les time get receipt take raise objection grant request . odd request ? ? always get automatically everywhere be . the positive hotel gentleman cook breakfast request morning . kind attentive reason return breakfast area morning . room fair noisy air conditioner -- difficult hear tv much less sleep . public area dirty . I pretty well travel -- US include prior visit New York , Europe , Africa , far east . blatantly uncaring . happy home . 
 Jun 23 2008 	 never ... 	 avoid excelsior possible . read review think surely staff attitude would improve management see comment previous guest . apparently ! young lady day shift rude , unhelpful condescending - ' m look $ 300.+ per day . male co - worker well . ask speak manager tell [ conveniently ] town . room clean , small change first room even small tv not work . location pretty convenient buth plus not make negative . 
 Jun 22 2008 	 great 	 read review hotel , lot negative . husband stay March 07 6 night . quiet courtyard suite large anyone 's standard - spotlessly clean . not problem reception staff . eat breakfast tin hotel every day , think bargain US $ 16 . live London travel quite bit Europe cheap rate breakfast compare use . also quality good charming guy cook egg order . room heating not work man send straight away fix ( minus 9 outside time grateful ! ! ) . be great location fabulous mexican restaurant ( Cafe Freida ) road couple really good upmarket Italians . desk staff helpful advise we eat . 's possible walk Central Park museum taxis always available . be also subway nearby . hope help think stay put reviewer . 
 Jun 21 2008 	 Excellent location - wonderful room 	 almost cancel reservation read review thank goodness perfect five night stay . fairness reviewer , talk front desk entire time ( besides check check out - which pleasant ) . want know something , check internet great success find good restaurant within block hotel ( Telepan one superb ) . nothing wrong room constantly complain front desk . Maid service timely . always newspaper wait door morning . the location hotel big selling point . entrance subway 300 step hotel front door . one night , Broadway show end 9:55 p.m. back room 10:15 p.m. - yes , convenient pop subway . also , Central Park locate right subway entrance lovely get bagel H & amp ; h go walk thru park morning . view hotel amazing . look park History Museum . leave , see Central Park . 15th floor help lot view . neighborhood safe feel amid New Yorker 's evening walk dog , etc . opposite Times Square crowded hoard tourist . 
 Jun 15 2008 	 mix 	 Super duper unfriendly Joseph reception -even another pair booking ask know please thank - get bad - guy princess think ? want - room 1 ok - bath dirty hair- room 2 air con working room 3 dirty bath hair - room 4 clean block bath drain , get point put phone call back fourth time . be preggie bit dangerous mention Ivan manager - knock chuck bill . but nice girl Lynn super friendly - mixed crew reception . lovely cafe round corner breaky $ 4 - 6 fresh fruit bagle - yum yum . location great bed comfy . 
 May 31 2008 	 will look nose 	 fantastic hotel like front - desk staff look nose , completely unhelpful unknowledgable , will not lift finger help . simple enquiry local church elicit useful response . sure , could look internet ... be happy pay $ 4.00 20 minute . small room , really worth money . try novotel instead ! 
 may 28 2008 	 leave bad taste ! 	 apart miserable guy desk general ignorance staff three day stay reasonably happy . problem start arrive home . hotel place charge credit card ( take detail card check normal practice ) . e - mail informed charge use mini - bar . sincerely explain use mini - bar additional service kindly ask would credit visa card original amount . ignore e - mail subsequent four e - mail extremely annoying . contact Visa company kindly remove charge bill . unusual charge visa day check say nothing time check - out . leave bad taste ! 
 May 24 2008 	 great location great hotel 	 good hotel , door staff house keep excelent . fantastic location , area great eating , easy get downtown subway near . problem front desk staff , need go charm school badly . would recomend hotel time . 
 may 11 2008 	 Lovely Hotel 	 stay excelsior 3 night end April , bit nervous review read need'nt worried , room triple nice , comfy bed , great shower , clean spacious bedroom bathroom , besides New York time Hotel find adequate , would like mention stay many Hotels time expect good standard , staff find nice , want blanket quilt far warm deliver immediately , always courtious back , think return next year new York definately stay excelsior , New York wonderful 3 night enough explore wonderful place , check Excelsior , friendly staff get response 
 May 1 2008 	 enjoy stay .... 	 , boyfriend daughter stay april enjoy stay , get upgrade big roon arrival . room basic pleasant clean .. staff seem pleasant guy book day trip etc helpfull ... location great close enough everything noisy hussle bussle centre .. minute walk central park handy.we , breakfast due price really find lovely deli round corner sell amazing breakfast , around £ 3 .. 
 Apr 25 2008 	 fabulous location 	 Aunt stay hotel shopping trip . twin double room spacious clean . hotel couple minute subway take straight major place town . direction starbuck numerous shop restaurant . love location feel safe come back dark hectic day shopping sight seeing . the side tea coffee room . really feel let otherwise perfect stay able morning coffee without get dress walk round corner get - come excelsior would not cost much guest comment . 
 Apr 15 2008 	 Perfect location family child 	 family four - which include two young boys- spend four day Excelsior Hotel keep say could not pick well location ! surround elegant apartment building lovely green Central Park park around Natural History Museum , Excelsior Hotel perfect place come home hustle - and - bustle New York . come subway stop day spend Midtown , husband comment feel like could breath . however , not want give impression hotel isolate . be half block Central Park , half block subway stop , across street Natural History Museum around corner Columbus Ave . , shopping , coffee shop , local bistro , grocery , liquor store , pharmacy . walk Columbus Ave . , child make feel like local ! time , get cold medicine son , two good bottle wine , numerous Starbucks , cereal bar high - end french meal . within block half ! hotel elegant staff kind . check , concierge stop we give business card hotel son , case get lose need tell someone stay . kind thoughtful gesture . would reserve suite four we prove good idea . adult able relax bedroom boy able play video game living room . suite good size , good layout , attractive clean . sofa bed son sleep surprisingly comfortable mattress . little disappointed suite not high -- fourth floor . street noise considerable , although second night son immune . bedroom , french door close , could not hear . park view , perhaps cheap courtyard view would minimize street noise . the thing miss visit room service . excelsior hotel not , two kid , idea head dinner wait breakfast much . however , provide delivery menus front desk order twice delicious Artie 's Delicatessen , food we thirty minute . however , lack room service will not change appreciation hotel . come New York , always stay . 
 Apr 14 2008 	 excellent value ! ! great hotel ! 	 first , read review , expect terrible service . however , staff delightful accommodating . even offer upgrade , surprising since book hotels.com . room heating air work fine . yes , hotel hot , window open AC , room perfect temperature . bed extremely comfortable . hot water work fine . think since hotel old , faucet instal backwards . , turn temperature shower towards cold , actually make water warm turning control towards cold make water warm . hotel clean bellman kind . recomendation : use car service LGA ( bellman $ 40.00 . much nice price taxi ) . sure eat Azaleas ( make reservation ) theater district . concierge recommend phenomenal . good meal eat NY ! ! take gray line hop hop loops tour weekend want see entire city . not forget hit Canal Street bargain shopping well . Hotels.com match price find internet search booking.com hotelconxions.com call book hotels.com . location PERFECT want near upscale part NY . enjoy ! 
 Apr 14 2008 	 thoroughly enjoy 	 8 year old son spend 4 night Excelsior find absolutely lovely . room surprisingly spacious New York City , comfortable bed , shower phenomenal - even son enjoy shower day , source argument home ! find staff friendly responsive , disturbed see one traveler take stress front desk staff situation clearly beyond control . traveler - mind manner - people want help much ! ! concierge particular go way helpful kind we , advice useful several occasion . location absolutely ideal - step Museum Natural History , subway station , Central Park , mention amazing selection terrific restaurant within 5 block radius . drawback we grossly overprice breakfast , typical New York City , $ 20 per person feel selection could significantly well - walk nearby restaurant day . would absolutely return hotel hope soon . 
 Apr 11 2008 	 reasonable hotel great area 	 find hotel one guide book buy . read review site start panic bit , arrive pleasantly sursrise . the desk clerk helpful room , since four party want room close together . conceiger really helpful thing area plus random request weird place brooklyn . side heating hot water , avaiable certain times time year visit could do little heat , great hotel stay , lot place eat , walk distance away hussle bussle times square etc . would go back warm month 
 Mar 30 2008 	 Quaint european - style 	 half block 81 St subway stop , quiet residential neighborhood , nothing fancy - like old european hotel , friendly staff . would definitely stay . 
 Mar 29 2008 	 dirty 	 hotel great location 's really disappointing report would not stay voluntarily . one year old daughter keep pick thing carpet previous guest - like hair pin not use would easily pick vacuum cleaner . no - one seem vacuum four night stay , also apparently guest . gross ! also trash never empty - despite order food usually day , bathroom leave untouched . however , someone come room everyday keep close net curtain leave open . bad not think clean ! however , none surprise ' welcome ' receive . even though carry one year old , 3 big bag , diaper bag , two back pack stroller , none three doorman stand around chat thought help we . time help ' offer ' concierge jump tell we could not go room bellman help ... oh well . already load elevator point ... hmmmm pale comparison treatment guy front desk EXTREMELY rude we guest see speak . people get mad , people confuse other sort laugh . first camp husband latter ! doorman continue useless throughout whole stay . probably get door we ( usually stroller ) less time count one hand . use live door man build Manhattan 's Upper West Side know unusual . hotel need major refurbishment ( tear couch etc ) , bed extremely soft , like say , find stuff floor previous guest - though people without small child may notice . however , be great location especially child . across road Natural History Museum , block park near great delis restaurant . be locate conveniently major west side subway stop , quick walk across park east side across road bus east side . clean , would stay even rude staff . 
