Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Aug 31 2009 	 great location see New York 	 family recently stay hotel one night take kid see city . far location can not beat hotel . three child age 2 thru 11 walk everywhere . literally leave car valet day arrive pick check . front desk extremely friendly helpful . book Priceline $ 100 night feel get great deal . book Priceline never know kind room might get check nice young man front desk look child informed give room one king bed . well be go work . without even comment tell going move one 2 queen bed . nice . room large clean update . one night not concern . parking expensive everything else city . arrive around 4 pm Monday check 11:50am Tuesday parking bill $ 42 . overall pleased hotel . great location , clean friendly helpful staff . 
 Aug 28 2009 	 great value location 	 apprehensive reading mixed review regard cleanliness service Sheraton tower , quickly dismiss first day week long stay . great location , minute Times Square subway station around corner . never experience long line up front desk find staff accomadate helpful . yes room small , hey , New York ! 3 us,2 adult 13 year old daughter stay King room , apparently good need cot room , ( additional $ 28 / night charge cot ) . much drawer space room make work . would say good thing Sheraton aside 's location booking room access Club lounge 44th floor awesome breakfast selection well open nightly snack / appetizer . not fully appreciate eat breakfast one morning , ( lounge close sit / sun morning ) , cost we $ 60 - 70 buck ! hotel also free computer / internet lounge lobby Club lounge come handy , sometimes tough find empty terminal , never wait long one open . also guest privallage Sheraton Manhatten across street pool . we would definitely stay return ny . 
 Aug 27 2009 	 Real Review Hotel 	 year stay hotel 4 occasion , include trip business pleasure . review recently read give cross section great poor . ridiculous could believe speak property . please aware fine hotel great location anyone book feel comfortable satisfied . trip , check take approximately 5 - 6 minute ( request room view get assign room 43rd floor fine view ) . Lobby , hall , corridor lighting , carpeting , elevator public area update clean . room , bed , sheet , television , blind bathroom clean update condition . problem housekeep . experience traveler understand standard hotel room New York , Tokyo , Paris London relatively small compare typical beach ocean side resort Las Vegas room , room size non - issue , room typical New York City . familiar Sheraton NY location , 50 story hotel Seventh Avenue 53rd Street , 4 block Times Square ; 4 block Carnegie Hall ; 5 block Central Park ; 3 block Rockefeller Center ; 2 block Broadway Theater ; 1 block good deli sandwich New York ( Stage Deli ) . contemporary internet lounge / bar / coffee seating area lobby well additional seat / lounge area . staff behind reception tour desk helpful , knowledgeable friendly . contact assistant manager inform would write review describe experience NY Sheraton order other share other . recommend hotel without hesitation problem . trip Advisor Member Detroit . 
 Aug 26 2009 	 Excellent location free internet close subway 	 book hotel priceline , bit shakey win due tripadvisor review everything fine . do not get hotel 7 pm , check smooth get room 42nd level ... room clean aircon work ! give information free internet lobby ( big plus go another hotel stay pay .69cents per minute use internet ) . friend block toilet .. call guest service less 5 minute fix problem . location perfect walking distance Times Square well 5th Avenue shopping subway around corner destination . Delis also next door . great experience would recommend . 
 Aug 26 2009 	 Great Value great location ! 	 admit little skeptical reading review .. first , book room Priceline get really great price . travel another adult need 2 double bed . arrive able check early , need meet need 2 double bed problem . also ask room high floor , able accommodate request well . room expect , great ( room big ) good enough clean . room also incredibly quiet . air conditioner not work great . check day request late check , also able accommodate request well . hotel great location would go back recommend hotel . 
 Aug 23 2009 	 4 - star stretch 	 huge , age property long elevator wait , small bathroom moldy odor , cramp room lumpy bed . temperature control problematic . 
 Aug 19 2009 	 excellent location service 	 good location Manhattan reasonable price . the room good , problem ! definitely recommend .. 
 Aug 18 2009 	 Customer Service Rocks -- 	 although stay Sheraton NY tower often , must say customer service improve enormously last six month . stay property last week upgrade best room ' ve ever NYC , staff front desk , concierge housekeeping wonderful . one piece advise remember people can not read mind -- need assistance type disappoint anything hotel , urge contact guest services department . experience help , . lastly , find fantastic pre - pay rate hotel SPG site -- mean , $ 160 per night NYC ? midtown ? can not much well ! maybe big trendier hotel , pure customer service -- excellent price -- nobody beat Sheraton NY . 
 Aug 16 2009 	 really good exeperience 	 recently return visit Sheraton New York Hotel Towers . pleasantly surprise nice . location central room fine . large flat panel tv , Starbucks coffee , nice room . evening go Broadway play easy walk play back . hotel even let we check early first day . great shopping nearby many attraction include David Letterman Show . drawback hotel refrigerator room could use stuff - fill mini - bar item sale . however , understand hotel would provide fridge request one . also get good rate hotel . 
 Aug 16 2009 	 wonderful staff clean hotel 	 upon check front staff nice willing help anyway could . problem air quick response maintenance staff tell would fix would new room .. husband way day . arrive back afternoon air still mess message phone we call Joan Torres , state air unable fix give we different room . move sure enough air mess . panic speak Manager Jorge Guerrero make sure place room air work . maintance guy go check air move meet we room verify air work . Mr. Guerrero kind go way make sure stay comfortable . even leave message let we know schedule incase need anything . morning departure ask see let know much appreciate everything make accomdation comfortable . manager like handle situation would well place traveler . look forward come back New York stay Sheraton New York City tower see Mr. Guerrero . location within walk distance Time Square subway . prepare walk ride subway , coolest . 
 Aug 16 2009 	 visit New York hotel choice 	 husband stay . like everything place . 
 Aug 16 2009 	 Perfect Vacation ! 	 bit sceptic staying give review . let say nothing best service throughout entire week ! Joy Clarke go beyond front desk request super nice person ... make feel right home ! concierge , bell captain , everyone pleasure speaking say enough good thing . room wonderful view location perfect attraction . never hear noise room even anybody hall right outside elevator basically . room make early everyday perfect trip hate see end ! thank Sheraton Hotel Towers generosity . always stay future ! ! 
 Aug 14 2009 	 say enough positive thing hotel - very affordable clean great location friendly staff . 	 husband , two young child ( age 5 6 ) travel NYC short 3 - day , 2 - night trip . travel agent reccomende Sheraton New York Hotel & amp ; tower , , never New York , nervous room would cramp , dirty surround constant noise . surprise none thing . room modern / update , spacious , clean , quiet .... nothing negative say ! staff - front desk concierge clean staff friendly accomodate . hotel extremely close Times Square , Rockefellar Ctr . , Central Park , Museum Nat ' l history , among place . pool premise ( pool privelige hotel across street , however ) , - find , time swim be visit NYC ? ? ! ! BOOK HOTEL - disappoint . 
 Aug 13 2009 	 Great Customer Service Joy Clark Front Desk ! ! LOVE hotel ! ! 	 love Sheraton Hotel Towers ! favorite place stay never disappointed . location perfect want center everything . walk street Times Square walk right back hotel feel like ' ve escape madness . pretty much two three block everything . Fifth Avenue , Rockefeller Center , FAO Schwartz , etc ! hotel room size well , consider small one be . big thank Joy Clark Front Desk ! warm , polite , accomodating .... need see hectic arrival city ! really can not thank enough amazing customer service look forward hospitatlity arrive week ! thank ! Evelyn 
 Aug 10 2009 	 horrible customer service 	 check July 30 four night stay , pleasant front desk clerk name Carlos . say two double bed room available give we $ 50 credit . ( book room two double room ) say one tomorrow . next day , leave day , go front desk ask room two double bed . front desk clerk , Joy , rude saying since book Priceline guarantee get room two double bed . respond back say understand e - mail hotel request room two double bed . e - mail response state book two double bed . respond back say unless e - mail printout hand change room still state Priceline response early . good thing hotel computer hooked printer . go back show e - mail hotel . take supervisor come back say would get room request . hotel four star rating , feel like treat fairly . especially since birthday weekend friend celebrate . room nothing special . hotel definitely worth price spend Priceline . ( $ 110 / night ) . go back hotel . 
 Aug 9 2009 	 fab hotel 	 stay New York 3 day hotel great . just road Times Square around cornor subway . it small enough room come complimentry starbuck coffee sachet . Altough brekfast dere enough $ 25 , plenty breckfast cafe along street . the lobby remind Grand Central Station ! ! overall great 
 Aug 8 2009 	 average hotel complainer 	 want stay Times Aquare hotel not picky . room small , clean . bathroom little date , adequate traveler need . check smooth quick bell hop quick efficient helpful . room quickly clean everyday , housekeeping staff always available extra request . 
 Aug 7 2009 	 great ! 	 stay hotel magnificient ! special thank Jorge Guerrero careful attention ! 
 Aug 7 2009 	 accomadate helpful clean convienient ! 	 thank excellent care New York . staff accommodation wonderful ! see quite change go tower ! also daughter leave cell phone everyone helpful extremely happy get back soon . thank everything ! 
 Aug 6 2009 	 great location crampy room 	 hotel great location , close time square Central Park . hotel busy one , always croude lobby . room bit small , place rollaway bed . a / c noisy . bathroom small , mildew shower . need good refurbishment . wireless internet access room , acceptable 4 * hotel . parking also expensive , $ 42 per 24 hour . staff ok , good service one bell boy , name Eddy , italian - american guy , help we lot ( first time NYC ) . also , concierge service awesome . 
 Aug 5 2009 	 fine - great fine 	 check - in kiosk break , wait line check . unusual , OK . prepare small room , , not small price range midtown . four we manage fine . room clean , bathroom clearly age , not make we crazy . bed comfortable . real problem inability modify room temp . muggy warm , could not cool room . even fan High set Coolest , room never change temperature . difficult sleep . also , wireless internet free lobby , spotty ( $ 15 / day connect room ) . could see people wander around laptop hand , try get connect . spot front available computer , almost always use . can not understand expensive hotel insist charge internet access small motel ( Comfort Inn , Hampton Inn etc . ) not charge penny . 's way many city . nice location - subway right outside door . handy . $ 42 per day park garage , able leave luggage free day check - out 4 hour . 
 Aug 5 2009 	 stay ! ! ! 	 hotel bad hotel ' ve stay . location great . minute times square , rockefeller center , central park , 5th avenue . hotel lobby hallway nice elegant . impressed walk hotel towards room . inside room , be thing go downhill ! end handicapped room , ' m sure person wheel chair could manevere room ! carpet disgusting ! dirty stain . bathroom smell ! fan ventilation bathroom , smell mildew , bacteria growth . counter , put personal hygiene product . water stain mark run bathroom door . get one bar soap use bathe hand soap . bed sheet rough starchy . total 3 drawer room one use hotel 's mini - snack bar , grand total 2 small drawer use . mildew lid ice bucket . next day cleaning staff come , expect get new bar soap , luck ! use two tea bag previous night expect tea bag replacement , , luck ! suppose get newspaper day , paper never come ! top , charge we per bag leave concierge day check ! 
 Aug 5 2009 	 great location room little small 	 great location , walk Time Square , Central Park Fifth Avenue . also close subway . service great room seem little cramp ( 2 adult 2 child room ) . never eat hotel many good restaurant surround hotel . 
 Aug 4 2009 	 Poor Customer Service 	 company book block room conference August . one meeting move day still within time frame reserve company . every person except front desk manager ( Joseph ) RUDE dirt call . from say hotel book ( ) ; say company not book date ( ) ; overall cut speak overall customer service AWFUL . really need primer customer service hire professional since essentially face Sheraton masse . economy people really vote foot frequent establishment & quot ; can - do & quot ; attitude least & quot ; ' m sorry can not accommodate request & quot ; attitude . 
 Aug 4 2009 	 back 	 departure decide read review hotel . reservation review look good . take chance go . greet desk front desk clerk name Griffin . great guy . stay 3 day 2 night . fantastic . room great super clean . never care size . sleep . clean full need hotel room . staff extremely gracious friendly . location perfect . go back , stay hotel . not read negative review . sound like write bunch never please people . think middle eastern man expect bad treatment staff proof wrong . thank great service great place . Thry make trip memorable . 
 Aug 4 2009 	 outstanding front desk guest service 	 pleasant stay front desk friendly courteous , specially George Guerrero 's assistance get internet run . clean hotel defenitely come back visit Big Apple MiamiLisa Perez 
 Aug 2 2009 	 National Dance competition hold -- room AC mildew wear carpet 	 stay hotel July 10th- 17th , 2009 National studio dance competition tell stay . dance competition room rate taxis - $ 276/ night . I get AAA rate ( $ 255 ) 6 night pay 1st night dance rate - several week arrive . outside hotel nice convienent subway corner Times Square 2/3 short block away . lobby busy always full people . 4 5 pc lobby guest use . guest use Sheraton Manhattan pool spa/ gym across street free . first room 33rd floor even number room . ceiling bathroom badly mildew shower tile mildew less extent . air condition work well , unit seem 50 year old hotel build 60 's . furniture ok room double bed comfortable . 3 drawer store clothe top one full costly snack tray bolt could use two drawer . room tight , functional . stumped toe get bed desk leg six/ eight inch bed near window . housekeeping take notice mildew clean spilt blue shampoo side tub . carpet room fair condition . Carpet hall bad shape buckle roll ridge run hall . bad carpet seam everwhere thread poke . 4 day fill comment card turn front desk tell room badly mildew bathroom . offer move we wife say . BAD IDEA.We move room 2037 room warm enter , turn AC cold knob would go figure cool . odd number room little big room window side bed desk . Bathroom clean . Carpet 20th floor ok . ask refrigerator move room ( rent one ) tell available . go back old room move new room . ROOM never COOLED . read hotel AC problem Trip Advisor get box fan . cool New York past day pleasant . call box fan send one up . we want move family try fan . get warm next day room get warm . check AC filter full dust , pull . room bearable fan , cool . friend next door 2035 AC cool room either . I email Sheraton return home give point starwood acct . my sister law stay Sheraton Manhattan ( $ 100 priceline ) across street week we say nice . use pool twice kid lobby quiet time . indoor pool nice , loud kid yell sound reverberate concrete roof wall . would stay . 
 Aug 2 2009 	 Sarwood Platinum guest avoid hotel 	 stay Sheraton hotel starwood property 100 night year . without doubt bad Sheraton ever stay . lounge breakfast crowd nothing short pushing match . explain issue manager duty dismiss complaint hotel full . never stay Sheraton full . seems do well attract every possible traveller promise free breakfast . hotel crowd take forever get anything need . check take forever people behind front desk simply bad thi job . use good service Sheraton hotel suggest avoid hotel 
 Jul 29 2009 	 hotel fine room fine location awesome 	 read negitive review hotel leave NY . alittle worried room clean mold bathroom & amp ; shower . room clean fresh . staff helpful , request room view Times Square get . hardly ever wait elevator . hallway fill kid . never hear people next room . return NY next month , would stay hotel . 1 10 ( 10 good ) would rate 7 . great place price location . 
 Jul 29 2009 	 great Stay ; Hotel Guest Services Manager look we like ! 	 not mind say property many time past , business pleasure , time experience less stellar . past visit however , thing change greatly well ! although not able check - in later day ( room 2 double bed high demand ) , manager staff hotel everything make stay enjoyable one ! concierge pleasure speak , huge help everytime ask help and/or advice . Jorge Guerrero , Guest Service Center Manager , go way make stay enjoyable one . respond personally in - room survey , following personally stay , obvious culture Sheraton New York Hotel & amp ; tower drastically change well watch ! location a-1 ; everything within easy reach . thank Jorge , thank staff ! certainly look forward next visit ! 
 Jul 28 2009 	 place awesome ! ! Great Service ! ! 	 recently stay Sheraton New Yorker night city bachelorette party . book hotel group girl could not believe great place choose we stay . right middle everything , location perfect , hotel nice , classy . hotel modern , look though update recently , room spacious comfortable . would also like give credit one special employee hotel , Kenny Imafian . service impecable , really make we feel like special guest . 
 Jul 28 2009 	 feel like mall 	 busy hotel - always full large group come go annoying noisy . lobby look well refurb , good coffee drink later ' ve turn bar . club floor bar nice quiet drink . overall hotel ok one night , stay couple week truly hate end . room stark worn , overdue refurb . 
 Jul 26 2009 	 get pay - 's bad thing ! 	 ' m back 4 night stay Sheraton NY . fabulous experience . everyone interact hotel fabulous . location perfect ! room small horrible ( London ? ! ) . bed fabulous . understand call & quot ; heavenly & quot ; .. would absolutely stay . travel two boy ( 10 & amp ; 7 ) exactly need ... 
 Jul 26 2009 	 overall good hotel great location close Central Park Times Square bad housekeeping ever experience . 	 hotel great we runner block Central Park , also good gym everything would need . central everything expensive , housekeeping terrible , 8 night room dust dust side table tv table thick enough write name . spilt museli floor arrival never vacume , toilet roll put top toilet onto holder , tissue , box put top empty box . not get soap shampoo 2 day . beware mini bar , mini bar drawer sensor system take stuff put stuff get charge several hundred dollar mini bar expense bill despite consume anything . even charge 3 time international adapter take look . 
 Jul 25 2009 	 good location 4 star 	 Bid Priceline 4 Star midtown end . request king room check upgrade we follow day . compensate room , give we access club floor decent breakfast spread happy hour snack . free breakfast NYC end good deal . room ok somewhat old run look . staff friendly great midtown location , great time . would give hotel 4 star pay 4 star price satisfied . 
 Jul 24 2009 	 2nd Time hope 's last 	 stay last weekend , Westin book . second time hotel really hope never stay . arrive early know room not go ready . tell we would ready later 3 pm . go shopping return well 3 pm find one room ready . connect room ready 5 pm . bathroom room completely disgusting . hair everywhere , shower completely clean . stain door wall . think go NYC room sleep night try overlook , hard . ' m bit clean freak come bathroom reason can not give hotel anything high 3 star . great location though ! go NYC next time would go back Westin try another hotel next time . 
 Jul 24 2009 	 good basic stay - be anyway go day ... 	 stay hotel 4 night . arrive 6AM ask get room , although allow get noon - lady front desk give we . big plus location - 10 minute Times Square , 5 minute moma , central park , etc . - subway stop hotel corner . hotel bit old , hold ok , room good , would give 8 10 cleanliness . - good stay . 
 Jul 24 2009 	 Superb Vacation 	 large busy hotel run efficiently . hotel large one must difficult keep everyone happy time . find hotel clean , well run one could ask 5 day stay . although quite line check - in everyone deal quickly efficiently although early check room find party without problem . daughter problem delivery parcel use Fedex company way problem retailer nothing Fedex . could do we staff superb , thank Alan , company . one section excel smile helpfulness concern . check staff sullen quite rude try charge item consume overall return use Sheraton allow one person many staff spoil company . the location hotel great e.g . Metro outside yards hotel convenient sight . I would definately recommend hotel type traveller ! 
 Jul 23 2009 	 puzzle review 	 wife idea camping downgrade Holiday inn , therefore quite concerned stay read review . add little pressure wife first visit New York . want visit New York & quot ; bad PERCEPTION & quot ; city . wife overcome fear New York impressed hotel . satff pleasant efficient . room spacious large city . room clean well equipped . Bravo Sheraton able please wife 's high standard . 
 Jul 23 2009 	 everything say Sheraton true- 4 - star hotel 	 not expect large hotel need sprucing - up . unpleasant odor room , other site discuss . inhabitable , even bargain price get Priceline , not feel worth . ( later learn Sheraton accept offer $ 115 night , not get bargain basement ! ) whether management deliberately place Priceline folk bad room whether coincidence , confidence Sheraton plummente . would rather pay get hotel decent . side , location great . 
 Jul 22 2009 	 weekend getaway without break bank 	 great location , really comfortable bed . not good city , certainly average - clean , moderately spacious ( least get around bed , etc . - NYC , be small feat ) .concierge reception staff extremely slow noticing exist . 
 Jul 20 2009 	 quite disappointment 	 husband , 16 yr . old son stay one Sat . night . stay twice never really opinion , time prompt report . check nightmare ! least 30 people line , two agent work . room not ready , wait another long line store bag . finally get room , far haggere remember room last time . bed thing clean . wall bathroom hair stick , rug wear , windows desk area need good cleaning well . carpet hallway pucker worn point hard roll suitcase . try another hotel get comparable rate . Sheraton really disappointment . rehab really need ! 
 Jul 20 2009 	 would go another hotel ... service disappointing 	 hotel really mean attend conference part big group . hotel massive intimate atmosphere ( take account fact 's NYC ) . lobby always crowd masse people hour day , elevator surprisingly quick . Sheraton Manhattan across street much well want big hotel quiet , intimate surround . disappointing part stay ... service . service reception incredibly slow . 4 people work 8 am crowd 1 person work 6 pm prime check - in time . 5 us line wait 15 minute get serve ! concierge - times speak , encounter rudeness ! first lady busy clean counter answer question properly- not even look . guy second day busy talk laugh colleagues- able pull away conversation second rudely answer question . Luggage Room - check early last day want drop luggage storage . line go lobby wait line almost 30 minute drop luggage ! ! maybe think expand space staff accommodate 1000 guest ! ! ! hotel chain pride excellent service , disappointed . room okay . bed really comfortable long desk window handy . room quite small , expect NYC hotel , surprise . bathroom small well definitely fitting & quot ; 4 star & quot ; hotel . honest , size not bother we much , rather black moldy stuff crack shower tile ... disgusting . nothing bad say location hotel . want stay midtown , really perfect . close subway , times square , central park , rockefeller , etc .. overall , unless good deal get midtown , would try another hotel . 
 Jul 19 2009 	 great location 	 big hotel ( quite small room ) NYC style - Location fab Times Sq . Cental Park . easy cheap ( 2 dollar ) bus access downtown seaport . free internet lobby check online return flight.good lobby bar plenty atmosphere . load conference go on . taxi ride back Newark Airport limo ( Evan De La Pena ) great guy.45min -60mins , approx 70 dollar incl toll / tip . recomend Rockerfeller ( top rock ) , well view Empire state.make sure Staten Island ferry ( free fantastic view Liberty Manhattan Skyline ) .Also heli trip ( never forget ) .The Big Apple exciting city ever ( twice ) -felt safe secure , even dark , go explore , Times sq dark buzzing . Hard Rock Planet Hollywood good food cocktail . NYC place stag get drunk wow ! ! ! ! ! ! 
 Jul 18 2009 	 Fantastic vacation 	 one do fair share travel , Sheraton New York Hotel Towers far place hold fondest memory . greet door friendly , helpful smile checkout , every need want quickly meet . room spacious great view midtown New York . , everything need walk away . fresh coffee , clean linen , helpful staff great food , long list hotel wonderful amenity . stay already book second stay . sheraton customer everywhere travel ! 
 Jul 15 2009 	 bad four star 	 stay one Tuesday night July 2009 booking Priceline . not bad , especially price , four star . the GOODThe price great , will credit Priceline , Sheraton . likewise , location superb . close midtown attraction , Central Park , Times Square , Fifth Square , etc . can not think well Manhattan location . hotel huge elevator service fast efficient . check - in line fairly long efficient get front desk . staff professional courteous . I park car attach garage $ 42 day . drop quick efficient ( pick another matter -- see ) .my room spacious . 10th floor room office building street . bad , nothing special . beautiful flat screen LG television . course not room enough watch much . the bed linen clean Sheraton bed , like Sheraton bed ' ve sleep comfortable . a large desk front window provide . one good hotel desk ' ve ever see . internet service provide ( wire , free -- , see ) .I use concierge ask direction specific popular museum uptown . helpful . there real restaurant hotel , go bar late night meal drink . food fine . service , great . bathroom clean enough . little black grout line bother I . I check luggage day check . checkroom fast efficient , say last hotel stay New York . charge $ 3.25 bag , would rather free optional tip . think get well service way . the BADThe room warm , border hot . could find way adjust AC . remember July . vent top desk literally encrust dust . disgusting . blow slightly cool air . every time go hall , relief able breathe ! have stay one night , would ask front desk another room , though read seem chronic problem.internet service room wire $ 15 day . four star , expect wireless free . come ! much , much cheap hotel . fast enough though . supposedly free wireless lobby , want schlep lobby check email ? refrigerator room . coffee maker not use . refrigerator . the bathroom , clean enough , lack amenity find three star hotel . tiny bottle shampoo conditioner . lotion . high quality brand . hairdryer tiny low powered attached wall . , poor quality . mention , drop car smooth , wait last 20 minute pick . seem excessive . I go bar late night drink dinner . drink food fine service poor . bartender completely preoccupy personal call cell phone . repeatedly practically yell get attention . like could bother job . , ask leave meal pack take room . without complaint , get room , silverware filthy -- cake food . utterly gross . bottom LINEGreat location , mass market hotel . room nice amenity climate control dust serious issue . deserve four star rating . pay full price . 
 Jul 15 2009 	 love New York ! 	 hotel great . arrive early room ready we , fabulous since travel night California ! keep clean , restaurant bar good close everything ! 3 block one way Times Square , 3 block way Central Park . amazed centralize ! definitely stay . 
 Jul 14 2009 	 good bang buck get NY 	 book hotel 2 night end June 2009 . location good imagine - short walk Times Square , block Central Park . day full wonder around Manhattan , could come back hotel , get rest head Times Square night walk , without worry much get back . morning , go Central Park everyday run , without take subway - 's short walk . subway also easily accesible , get anywhere Manhattan . the hotel busy ( Friday afternoon , many tourist check ) , however people check - in deck quick , maintain friendly proffesional attitude . ask could give we room high possible , get room 49th floor . the room big , care - come see New York , stay room . look like room recently renovate , housekeeping staff make pretty good job make sure room stay clean . I book another weekend hotel type review - stay enjoyable , well worth money pay . 
 Jul 14 2009 	 special birthday thank Felicia Sheraton staff 	 spend three night Memorial Day weekend Sheraton . make reservation Priceline reasonable rate ( $ 118 ) , read negative TA review , concern quality cleanliness room . ( know location absolutely perfect we , give immediate proximity subway . ) email Sheraton tell special surprise birthday trip , ask possible request recently renovate room high floor view . receive immediate email reply , thank email advise request would note reservation . cross finger . arrive approx . 8:00 p.m. Friday evening check difficulty . although advise room view available , give room 44th floor . gentleman check - in advise club floor complimentary breakfast Monday Friday . surprised grateful . reach room , find nice view surround Midtown area , rather obstruct view view another building directly across street , pleased . furnishing slightly worn , room clean , include bathroom , large include nice selection amenity . unpack , knock door , waiter come surprised we small cheese fruit plate , bottle import mineral water , lovely note birthday greeting Felicia Carrington - Nelson , correspond via email special nature trip . can not begin express much kind generous gesture mean we , particularly birthday celebrant . stay , nice hotel B & amp ; Bs year , never hotel respond generous personal manner , particularly give make reservation Priceline . wonderful start wonderful weekend . hotel 's location make easy we everything itinerary , include visit Cloisters , Metropolitan Museum Art , New York Botanical Garden Bronx , Broadway show , lovely dinner uptown , Staten island ferry . kindness generosity show we Sheraton make entire weekend extra special . Monday breakfast club room absolutely terrific , large selection cereal , bagel , pastry , fruit , oatmeal , boil egg , yogurt , juice , coffee . club room lovely , breakfast fabulous start last day weekend . other note , hotel provide organized left - luggage service guest leave luggage day checking . know small charge , pleased efficiency security service . large hotel , taxis always available take guest airport train station . entire experience hotel extremely positive enjoyable , would hesitate recommend hotel other . after return , email Felicia thank thoughtfulness make birthday trip New York special we , want let TA member know wonderful service receive , stay . thank , Felicia , everything make birthday remember . 
 Jul 13 2009 	 great Stay ! 	 read several average good review hotel - apprehensive stay Sheraton Hotel & amp ; tower . return home 4 night/5 day stay NYC hotel . hotel stay great ! corner room 38th floor . room average size bed comfortable room clean . service excellent location also excellent - block Time Square shopping / restaurant venue close . receive great rate thru employee discount . NYC several time hotel rank high list nice affordable place stay - would definitely stay . 
 Jul 11 2009 	 well expect ! 	 book hotel priceline $ 120 / night . read review tripadvisor , extremely nervous ! remembered & quot ; good & quot ; review say ask room high floor , . soon get room , carefully inspect bed bedbug bathroom roach . worry vain , hotel absolutely fine . would pay $ 340 / night stay ? way . price pay , great . good location , great service , fantastic view , clean room , plasma tv ( fiance excited ) . overall , great bargain , ' m happy stay . pay full price stay , understand disappointment - book priceline rate ( make sure ask upper - level room ) , worry ! 
 Jul 9 2009 	 Nice hotel -- much well review say 	 book hotel Hotwire bit apprehensive saw get Sheraton bad review website . , pleasantly surprised . lobby hotel clean nice . check - in easy desk person pleasant . room basically would expect New York hotel , small serviceable . find room particularly dirty bathroom good repair . , never wait long elevator even though hotel seem always full people . yes , pay small fee check luggage day , free check - in kiosk get boarding pass . , everyone say , really good location handy 24 - hour deli right across street . 
