good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 Jul 27 2008 	 small comfortable clean incredibly quiet 	 Carlton wonderfully situate hotel . book room $ 209 hotwire . really appreciate hotel incredibly quiet room , comfortable ( incredibly small ) bed , excellently appoint bathroom great water pressure . would not pay rack rate place though would extremely upset size room ( even ny ) . all - in - all great hotel . also , build 's original facade really along grand lobby . 
 Jul 27 2008 	 great friend getaway 	 travel friend girl getaway . thouroghly enjoy hotel . quick check , room large ( NYC ) bathroom . get corner room 6th floor end hall . perfect quieter . staff helpful never problem . even mail back whole suitcase we . love location . hotel centrally locate . everything walk distance ( 10 20 block ) . subway right street . nice walk hotel , not mob people , normal street Manhattan . breakfast first morning , great food pricey ( $ 100 oatmeal breakfast 1 egg , toast bacon 4 mimosas ) . find , would walk around corner fifth avenue starbuck stop deli fresh fruit pastry . rest week . big , TIMES SQUARE intense , crazy atmosphere , hotel . friendly , great location , clean , large room . 
 Jul 4 2008 	 Modern Masterpiece Surprise ! 	 read review hotel one description .... & quot ; locate emerge neighborhood . & quot ; ' m happy put open interpretation red flag aside stay beautiful hotel 3 block Empire State Building . arrive quite late Friday evening welcome kind gentleman smile ear ear . hotel lobby remodel feature 2 - story waterfall old time photo NY behind . also notice gorgeous Tiffany skylight hotel restaurant & quot ; Country & quot ; run one nation top chef . read WWII era skylight uncover Architect renovation process . even elevator design use original component give vintage look . room small tastefully decorate . comfortable bed ipod docking station . make reservation late , surprised able honor request room view Empire State Building . water pressure low ... not expect power shower .... expect nice robe compliment hotel ! hotel 10 story make look like townhouse middle city . hotel close Broadway theater , Times Square various hot spot well Penn Station , welcome quiet retreat decide turn night . even housekeep quiet respectful visit . receive good discount TravelZoo . highly recommend stay hotel . 
 Jun 29 2008 	 4 Star ? way ! 	 problem newly renovate Carlton Hotel Madison Avenue East 28th Street suppose . suppose 4 star hotel room , 2 star hotel room . anyone ever hear double bed ( queen ) single room intend 2 guest 4 star hotel ? room tiny two we could get around edge furniture puny size bed without bang something . bathroom door could open past toilet . enough room luggage clothe . sure 4 star -- old fashion 25 & quot ; tube TV instead sleaker , bright , space save LCD see hotel . sure , lobby beautiful restaurant Country look fabulous . however , two recommendation front desk good local salon dry clean par , either . Room keep adequately clean , remove old ice bucket use wine glass . true 4 star would different / well . book within 24 hour thru hotwire $ 249 taxis . 
 May 28 2008 	 Perfect spot great weekend 	 travel NYC past weekend stay Carlton Hotel dig number spot . ' m pretty picky hotel tend stay away really big one . Carlton prove fantastic pick . room big , hotel clean well keep , bathroom room , bed pretty comfortable . even window open . renovation lobby do well ; friend previously stay London think place look great enjoy stay well . staff really nice helpful ; Jill particular go way pass along helpful hint restaurant want eat . one last thing - Madison Square park really easy stoll right street . morning , wife enjoy early morning sunlight park cup coffee corner store next hotel . highly recommend ! 
 May 6 2008 	 heart NYC ! 	 read previous review , boyfriend do not know expect . think hotel lovely . yes , room little small , do not seem matter . story new york hotel situate safe neighbourhood . 10min walk empire state build another 5 get macys . perfect location not want & quot ; thick & quot ; it . staff friendly helpful . great place stay ! note - safe room anymore - use safety deposit box reception . 
 May 2 2008 	 okay 	 lobby lovely , staff competent . room small expect reading review . barely move desk chair sit queen size bed take room . tear carpet room safe work . tell could bring valuable lobby .... , thank . room clean bed luxurious comfortable . check ask room high floor tell & quot ; sorry type room book nice . & quot ; view industrial stuff neighboring roof . book Hotwire not expect upgrade . fine . 
 May 1 2008 	 relax perhaps little snooty 	 good location midtown Manhatten , far 5th Avenue , Empire State Building , theatre district . the room good size , clean nice bathroom shower bathtub . dimly light , however , three bedside lamp main light fitting . could not get safe work air - con temperature nomatter set . upon check give information room hotel throughout stay feel staff think inconvenience speak us - tear eye important box - tick whatever business conduct computer screen time prevent acknowledge presence ! check account one night realise charge $ 80 worth honor bar item . hotel receptionist say happen time ( reassure ) ... automatically charge credit card item move place watch that . we eat breakfast restaurant last day really nice . overall hotel meet need provide relax environment come back night . would not go back however make feel welcome feel fairly ' snooty ' . would not say worth $ 400 night . 
 Apr 27 2008 	 wonderful four night Carlton 	 sister want midtown hotel convenient Penn Station long theater weekend New York . decide want hotel near Times Square theater district would see city . absolutely delighted Carlton even delighted room rate $ 209 / night obtain Hotwire.com . lobby public space hotel modern decor , warm inviting . upon register front desk upgrade room standard ( full bed ) king . appreciate since share bed . room lovely feature pristine white linen comforter , tufte headboard , huge wardrobe hold wide - screen tv , closet space , bureau drawer , honor bar . bathroom compact intelligently design plenty counter space wall cabinet provide extra storage . back bathroom door two lovely bathrobe . shower plenty pressure one good hotel shower ' ve use . room excellent condition . bed super comfortable hotel quiet . never see guest hallway -- see plenty housekeeping staff . the front desk staff conciege extremely helpful friendly . not find anyone remote aloof reviewer report . first night ask restaurant recommendation ask & quot ; type food want ? italian ? Mexican ? & quot ; bit like conversation friend decide eat . choose Mexican make reservation instantly Dos Caminos , way good mexican food ' ve ever outside Austin , serve good outside Mexico . breakfast first morning Country , restaurant locate inside hotel , excellent . split side order bacon , huge portion , perfectly cooked . not need eat lunch day . dinner Country Sunday night excellent . hotel block subway Park Avenue 28th within walk distance Empire State Building . two lovely park within walk distance head low Manhattan Madison Square Park ( Flatiron Building locate ) Gramercy Park ( private -- need Gramercy Park resident get , 's lovely walk around park admire beautiful building -- real taste old New York ) . lovely come back day beautiful hotel , beautiful room , attentive cheerful staff . place make great impression would stay . 
 Apr 24 2008 	 Love Carlton 	 stay Carlton twice year , every year , business LOVE . home away home New York . room beautiful bathroom large gorgeous . staff slightly disintereste , 's New York you . location - wise , probably not BEST place tourist , although close subway stop . city pleasure , though , would want close park . business traveller , be great . free WiFi ! also , bar nice . 
 Apr 22 2008 	 overwhelming 	 hotel look trendy pull quite crowd weekend . seem understaffed give suite overbooke . standard room small luxury require . would stay special - worth $ 450 quote . 
 Apr 21 2008 	 Disappointed Carlton Madision ave.-read stay ! 	 disappoint recent stay Carlton Madision New York . to start , nice look online ! ! husband arrive find original room book , take room two double bed . small door hit bathroom enter . able switch next night queen size bed , much well . still small , barely enough room two suitcase . bed hard uncomfortable . towel rack fall wall room . barely light . first room break lamp one electrical outlet hang wall . several guest also tell we switch room . to top , almost $ 30 worth honor bar charge check , even though never use honor bar ! wait speak front desk , another gentleman come problem . know place get away rate 4 star hotel ! ! stay plenty 4 star one far bad ! would rate 2 star . 
 Apr 13 2008 	 Excellent Location Central New York 	 first time America disappoint Carlton Madison Avenue . hotel clean throughout , staff polite , pleasant helpful . we arrive late evening lady desk give we upgrade room , lovley . bed comfortable lovely linen feather duvet . bedlinen change daily . room fifth floor quiet , disruption all . there tv room ideally place great watch bed ! also small ironing board fab iron ! bathroom lovely towel change daily exceptionally clean . a complimentary newspaper leave door morning . hotel ideal centrally locate everywhere easy get either foot subway . plenty cafe deli 's near hotel . I would certainly go back Carlton Madison Avenue . 
 Apr 5 2008 	 Nice Underachieves 	 Carlton seem exactly know . outward face staff , speak desk phone , attentive want good stay . hotel however poorly maintain -- maintenance cleanliness . my first room great size , sadly could connect hotel wireless internet service far edge hotel . take try wireless internet adaptor ( work well native wireless Apple ) get switch room . mention peel wall paper sink counter top separate wall bathroom . figure oddity -- room nice . the second room internet connectivity , adjacency elevator placement pretty much highway foot traffic . shower curtain fair amount mold , housekeeping neglect ask housekeeper . bathroom similar state disrepair room . look . lobby , bar restaurant beautiful . really like place hope work kink . would like stay regularly . 
 Mar 29 2008 	 5 Star Way Impressive 	 impressed cute boutique hotel . minute limo stop entrance grand hotel doorman immediately greet let know name take luggage front desk . charm agent professional polite catering ever need . minute swear back home talk old friend warmth . walk room small ( agent book QN next time get haveher book KN ) cosy frette comforter ammenitie luxurious . utterly amazed hint front desk mood something hotel resturant since dinner night before . the young gentleman desk gracious let know around end conversation present menu every resturant mention one deliver right room , service wow really impressed accuracy bill door 3 am know ' m always rush . visit week * * FYI room small make sure book KN be phobic worth extra * * 
 Mar 26 2008 	 shame staff 	 overall good place stay staff seem totally disintereste guest . 
 Mar 22 2008 	 Classy Hotel Central location 	 good , 4 - star hotel . central location midtown Manhattan , two block Empire State building , one block Fifth Avenue . we king room . good size usual amenity although bathroom small . hotel small business centre internet access ( small charge make ) plus atm.would happily go back . 
 Feb 26 2008 	 nice nice look . 	 book trip girlfriend Valentines . look hotel , able find several price range . first look $ 100 , find nothing , look hotel $ 200 , still luck . decide look price range never think could afford . look $ 300 sudden hotel New York come . price hotel website Carlton Madison , list something crazy like $ 450 . anyone willing pay much hotel , especially hotel [ -- ] Crazy . quote price $ 212 supposedly superior room . well superior , sure would want see regular room . check go room door hit bed enter . ok ! go back , ask superior room , say , give we one slightly different floor plan . time door not hit bet enter . however , size still much small pic website . lobby beautiful , location perfect , overall appeal hotel great . room small , view pretty lame , picture decieve . pay price hotel website ask , would raise hell . know price hotel NY Valentines weekend , pretty satisfied place . problem speak size . staff friendly , hotel room clean . bathroom large clean location Madison central clean nice area . close Subway stop overall great location . block away Empire State building . go , get good deal , try . do not expect huge room , get exactly want . hope helpful . enjoy New York Folks ! 
 Jan 25 2008 	 hotel lovely great location 	 stay 3 night november good time . the thing location little far we shopping trip . we suite lovely 2 double bed seperate sitting room 2 tv bathroom big . 
 Jan 20 2008 	 perfectly fine hotel 	 stay business choose close proximity husband office . specifically book inside room ( quiet ) . room size closet , New York perfectly fine ! might recommend vacation small room size , certainly family , busine travel 's fine choice . attractive lobby restaurant within walking distance . also within walk distance Brooks Atkinson Theater W. 47th go see Grease . staff great . 
 Jan 14 2008 	 nice place pet friendly 	 husband look spend Thanksgiving NYC see parade find deal hotel online , 199 night , find allow small dog bonus we ( mean not board pooch ) . hotel , staff great . problem heat / thermostat , send serviceman promptly fix . whole welcome package dog , think really charming . hotel overall nice well appoint . complaint standard room rather small . even bargain rate . secondly , location centrally locate may ideal depending want NYC . work we , though rely subway lot . subway stop couple block away , walk seedy street ( might feel comfortable alone ) . otherwise , location overall centrally locate midtown , put locale easy reach . really close Macy 's , great Thanksgiving day parade . 
 Jan 4 2008 	 Christmas New York forever 	 would like spend every Christmas NYC boyfriend , ton friend . family live everywhere close , holiday roll around , folk rebuild family tie , try squeeze every bit extra day . many place shut , NYC thing hop ! tiny slowdown Xmas , hotel , include Carlton offer well rate . jump ( thank TravelZoo ) want close enough theatre , Greenwich Village , SoHo generally mid / downtown . renovation place look proper , elegant , heavy , shadow right place . 's hotel biz exec fun . could not believe let we hotel , frankly . go figure . LOVE NYC . foodie festival every day . safari gourmet . hotel occasion take second consideration . hotel . quieter section , cab easy get . look feel heavy , old , stately clean line . room decently size ny , slight floral style . bed comfortable ; shower , absolutely glorious . really hurt hotel control heating . hot even leave window open December turn air con , still feel stuffy . WEIRD . room service good , be wonderful little din next block . hotel restaurant , Country , pricey & quot ; oeuf au plat & quot ; breakfast / brunch incredibly rich , perfect push envelope cholesterol level . so beautiful , perfectly efficient hotel . although great memory weekend , would hard put recommend strongly hotel friend ( 1 ) fun factor , ( 2 ) value , ( 3 ) charm . also , aside little din one block 24/7 convenience store one block , quick quick outstanding eatery 2 minute away . certainly , be nothing hotel control ... thing count ! go heating problem shower ... would want ? 
 Dec 31 2007 	 wonderful stay ! 	 stay hotel great deal get room half rack rate 2 double bed room . worth money pay especially time year . pro : walk distance shopping Empire State Building . bed comfortable Frette linen . pillow fluffy . fancy toiletry . very nice helpful doorman . ok size clean bathroom robe . ok size room NYC . cozy clean . IPOD dock clock radio . loved lobby . con : room literally across elevator . open room door elevator much room ( 2 ft ) . front desk person upon arrival arrogant one check nice . no closet . no coffee . Fan bathroom extra loud . 
 Dec 29 2007 	 overprice room small std.non - functional HVAC 	 ' ve stay quite NYC hotel stay Carlton group function . pre - conceived opinion hotel . indeed , opinion . the staff quite friendly . the lobby rather immpressive . far good . room ..... small even New York CIty standard . room W small , be functional . Carlton . light horrible . discover two lamp bulb , replace , light improved & quot ; poor & quot ; . nearly impossible read bed night . the telephone would not reach work desk . either fan bathroom fan would not work , steam zone shower . wife could not get ready bathroom shower , nowhere outside bathroom hair , makeup etc . inquire large room tell large room . ( make clear look free upgrade . want large room ) one concierge quite helpful . nice , well suited Ramada Omaha & quot ; happening & quot ; hotel New York . thing really get ugly bedtime . cold outside , thermostat essentially effect heat . heat & quot ; & quot ; , blast temp 80 plus degree , way moderate heat . turn heat , room quite cold . good alternative leave window open heat , technique helped provide tolerable environment .... traffic pick morning noise wake up . I ask speak manager tell one would call . call forthcoming . I never post bad hotel review , place profoundly disappointing over - price . want see do right way , check Bowery Hotel . 
 Dec 19 2007 	 Fantastic ! 	 stay four night - book upgrade delux king room ( definately worth extra ! ) . room fantastic , big , massive bed great cosy duvet , great bathroom , plenty space toiletry also dress gown love ! good bit room amazing view .... look onto Empire State Building ! ! ! ( put note booking would love room view ) .The hotel buzz , week Christmas feel festive . lovely big Christmas tree lobby , great door man happy hail cab time ! ! also hotel bar serve amazing glass ' christmas fizz ' ! ! one afternoon hotel organise carol singer sing lobby , hotel also proviede freshly home make hot chocalate gingerbread man help ! festive ! ! hotel help make first experience new york amazing ! ! also , would suggest Empire State Building night meal quiet absolutely stunning ! also Subway Inn cool , american bar near bloomingdale would suggest trip ' serendipity 3 ' - movie ' serendipity ' John Cusack Kate Beckinsale amazing , book though ! ! , amazing trip lifetime , love hotel ! 
 Dec 18 2007 	 definitely Return Next Trip New York 	 fantastic experience Carlton Madison Avenue past weekend . friend four night agree return New York stay Carlton Madison Avenue . hotel ideally locate within walking distance many site shop , enough beat track calm city hustle bustle . subway stop block away well many nice , local restaurant delis . area safe qualm walk back hotel night . lobby beautifully decorate Christmas hotel classic elegance . request quiet room upper floor discover across elevator , request change immediately accommodate . room spacious beautifully appoint , however , room assign low floor New York City garbage collector keep we awake . next day request another change happily accommodate find large suite view Empire State Building . pack bag morning store shuffle room later day enjoy city . other say , bed linen fantastic complimentary robe use stay . ' say enough superior staff . doormen operation staff , , everyone pleasure encounter . request , numerous room change , adjust time clock , fix run toilet , store bag last day , ask direction , simply general , staff Carlton Madison Avenue go beyond expectation . ' wait return New York Carlton Madison Avenue . 
 Dec 10 2007 	 Great Rooms Service 	 great experience . step cab- Doorman nice -- check LINDI awsome - restaraunt great- room nice linen nice pillow comfy- bathroom clean - mini refridge . need ice housekeeping efficient . -view courtyard nice- FYI rarely see land like ny - safe . deli - convenience store next door , liquer store across street- great breakfast coffee place block away . nice area . Near Empire State bldg . concierge get we Smith Wollinsky Steak house- AWSOME staff ! 
 Nov 25 2007 	 comfortable stay . 	 in - law stay hotel one night Friday Thanksgiving . live hour outside city , want stay law could & quot ; big city & quot ; experience . normally stay Jersey City , normal standby not available , not know stay . need room 5 people , think have stick rent two room high price ( lot trouble find hotel availability 2 bed room someone sleep floor ) . luckily , find deal Travelzoo $ 239 / night plus tax Deluxe room 2 full bed . 375 square foot , be probably one large room will find Manhattan ! rate nearly $ 300 rack rate , fantastic deal , especially since Thanksgiving weekend . the room nice . comforter fluffy use Frette linen bed ( cozy ! ) . arm chairs desk , really , need place sleep change head another day sightseeing . basic cable plus HBO Gamecube fee . also minibar electronic sensor , make sure not pick anything unless want buy ! bedroom like picture , bathroom little different . instead marble vanity , single pedestal sink . plenty room toiletry . shower good pressure , even five people , not run hot water . the hotel nice restaurant not try , seat bar . long realize be expensive restaurant bar , will not surprised price . several cafe deli within block ; good sandwich deli treat , try Cafe 28 28th 5th . price reasonable ! 's way subway stop 28th Broadway . be nice within two three block subway station . as far problem , not many . heat seem little , stay deep cover anyways . second floor ( room # 228 ) nice view street , since low , also lot street noise . be stay expensive hotel deep discount , could not really ask . not noisy lot city hotel . for price , fantastic deal ! even use Priceline , could not get something cheap Thanksgiving weekend NYC , would not assure 2 bed . 
 Nov 25 2007 	 Nice hotel 	 gift certificate 1 night free stay Carlton . live Queens , 's 25 minute drive city , want something nice wife 's birthday . hotel nice . lobby modern , christmas decoration , modern chair couch , small waterfall flow 2 story . eat restaurant , look nice , althoughI hear really expensive . room really nice , view overlook small park next door . bed amazing , comfortable comforter . tv still old , big deal . 40 channel , free HBO , course pay - per - view movie come video come thetheater . the bathroom great , nice new tile , mirror , amenity . also come robe , nice comfortable . room fairly big ny , although see another room open door leave , much small , even looked kind cramp . all great experience , would come back againif price right ( free always good :0 ) . question , pleasefeel free email yoshapman @ hotmail.com . thank . 
 Nov 18 2007 	 lovely hotel comfy bed ! 	 boyfriend stay Carlton 21st birthday . stay eight night happy hotel . room clean bed comfortable perfect romantic week away ! staff also helpful friendly . my reservation would tea coffee make facility room ( minor know ) , maybe english love tea ? ! 
 Nov 13 2007 	 Staff rude 	 hotel nice , staff horrible . act like be cause grief checking ask watch bag room not ready . nice person work door man name Stephen . polite kind bent backwards help we . otherwise , would stand counter desk help would take forever look we help . one help we carry bag step exit tip baggage man get luggage hold room last day , not even look say thank . location so - so . want stay near Broadway , place . 's good 15 - 20 minute walk . 's 10 minute Empire State Building , nothing else worth wild . room small ( 1/2 size regular room ) restaurant joke . want $ 15 - 20 glass wine . cost $ 12 twice baked potato . mother walk find great local restaurant eat 1/2 price . overall , would stay somewhere else next time go NYC . not horrible , worth price . 
 Nov 7 2007 	 Great Hotel Location ! 	 stay one night right 4th July 2006 boyfriend . never NYC , location superb opinion ! block beat path , super close Subway . take train Long Island , not know try park car . special deal $ 199 make affordable NYC ( not know post deal come ) . room tuck away end corridor huge . view another building ( not care ... not hang hotel whole city go explore ) ecstatic find guy sell amazing curry cart right outside hotel starve 1 am . pay internet kind pain ( grad school make sure assignment turn ) . eat restaurant hotel , would like . pretty inside room clean , bathroom nice , pleased . hotel classic / old ambiance ( narrow hallway ) think charming . get another deal ( $ 199 ) book Christmas 2007 one night Rockefeller Plaza . would not pay $ 199 , though . long book rate , stay hotel every time come back ! 
 Nov 5 2007 	 Nice hotel 	 stay weekend family , 3 room total . lobby modern cool , place hang 's scene . restaurant , Country , excellent deserve high praise . build old european style , happen like happy . , room far end hall , typical NYC , unless get expensive room view probably heating / air conditioning duct brick wall , pretty much describe . not bother , every place ' ve stay NYC . room typical NYC size , say , & quot ; large , & quot ; comfortable nice furnishing usual amenity . bathroom bite small side , big . hotel busy , still quite quiet . family member room positive opinion . like below - midtown location ( usually stay midtown ) , great option would recommend . definitely consider stay next visit . 
 Oct 14 2007 	 okay - nothing rave 	 stay Carlton 5 night September - NY Mothers 70th birthday - 6 adult party . we find staff vary - bell captain always helpful we , especially need 2 cab simultaneously accommodate we throughout cab driver strike . concierge - be not worth remembering , fact one day stand front 2 - 3 minute whilst read paper ignore cough ! however , book Elizabeth Ardens Mother seem palava . reception staff do not seem interested customer . , would not class hotel 4 star - good 3 star would accurate - although bar bill rival 5 star hotel ! room tiny . brother move initial room full malfunctioning item - room minute - shut bathroom door get pass toilet get shower ! mother compaine ( without knoweldge ) offer move unpack etc - decide live bathroom situation . room big enough queen size bed , 2 bedside cabinet dresser tv live - thank god build wardrobe ! view brick wall . hotel good position - easy walk shop etc . stay world NY 3 time good way would describe Carlton Madison Avenue acceptable - forgettable . 
 Oct 11 2007 	 Madison Avenue Merit 	 husband quite bit travel , ' ve experience good , bad everything regard lodge . New York City frequent destination ... business pleasure . trip bit . arrive hotel early would anticipate ( 1 : pm ) greet pleasantly hand key room 2nd floor wait . exterior hotel look well care lobby clean beautifully decorate . get room thrilled find living room bedroom .... ... stylishly decorate . although love room overall experience great ( sure would go back ) thing irk . first thing notice upon enter room mini bar attend thing miss bottle water half - way go . immediately call front desk alert ( not want charge we ) tell someone would take care . not take care next day . 2nd thing irk bathroom .... nice ... tiny , tiny sink counter top space available . keep toiletry chest drawer living room . last thing ... be hardly worth mention ... ... bedroom really nice size ... not really understand queen size . totally could hold either 2 full bed 1 king size bed feel overstuff room . 's complaint really . all staff encounter ( chamber maid , room service , valet front desk ) friendly courteous . location FABULOUS ! ! ! return hotel sure ! ! ! 
 Oct 3 2007 	 nice stay not bowl ! 	 husband stay first four night honeymoon . arrival give upgrade honeymoon . stay room 9th floor two double bed make good sized room . would describe room nice little dark due ' mood light ' ! room service food great selection mini bar even well reasonably price . the hotel locate five minute walk Empire State Building walk back late night problem . bell desk helpful manage get we taxi major taxi strike ! use hotel car take us airport overprice . all , enjoyable stay . however , hotel give impression quite luxurious high class , feel case quite overrated . perhaps slightly harsh though seek ultimate luxury honeymoon normal holiday , would perfectly happy . would definitely stay due location . 
 Sep 19 2007 	 expensieve wine cooler 	 room small . work high tech company even space room work . picture website misleading get standard double room . also go hotel bar get wine cooler ( white wine sprite ) take room blow away cost , $ 18.00 . question hotel bar tender tell pay 4 star price . stay many 4 start hotel think price much high pay hotel . state NY Marriott Marquis Time Square & amp ; New York HIlton room large drink much reasonable . 
 Sep 18 2007 	 Loved Carlton ! ! ! ! ! ! 	 two girlfriend stay Carlton four night August safely say brilliant hotel . one complaint stay staff pleasant helpful , especially concerige , Kenzo . amazing hotel right middle thing , yet street quiet safe . room good size spotless arrival . day room clean fresh towel leave . bed comfy ! ! ! need anything , somebody would drop ot room straight away . love everything Carlon would highly recommend . definately make stay New York enjoyable one would go back + stay , whenever go back New York ! 
 Sep 8 2007 	 Thumbs Carlton 	 Conclusion : like four star service room suppose four star hotel – stay ELSEWHERE , ! location : Husband stay five night August . location – walk take place up / mid - town . room : stay stagger three night , two night SF two night back Carlton . first three night think standard four - star hotel room bathroom standard four - star room furniture please get pay for . when come back last two night , give room joke $ 300 night ! room door open bang bed , right entrance closet less foot away edge right end bed make walk room manoeuvre – let alone get suitcase room . one bedside table , desk lamp table ( basket mini - bar food window sill table small ) . bathroom – can not sit toilet without one leg set wall shut bathroom door knee door . half sink counter small mirror shaving mirror side wall – mean try wash face without splash water knock head shaving mirror . small bathroom cabinet toilet toiletry need go , include face towel ! hand towel bath towel hang toilette ! bath – shower only . I kid – room 439 make NYC sightseeing stop . staff / Service : arrive hotel late first night quickly check man reception much welcoming smile , although unpleasant . help offer bag carry stair reception way room . call regard joke room another man reception helpful . room service – kitchen ' seem know ' - ' fry egg ' arrive two different way two day . overprice worth cost – eat elsewhere restaurant nearby . leave end Bellboy bring four suitcase hand instead trolley leave large foot stair husband carry stair front exit , doorman pick light bag loading cab . ask cab early evening Saturday get airport doorman say ' may wait cab hour hope time ' cab let people another come road – try ( yet ) get we use hotel car . disgusting last day one face towel unclean – large brown spot . plus , three woman sometimes reception , pleasant , friendly helpful . 
 Sep 6 2007 	 great value great location 	 spend 7 night quality hotel Cape Cod Boston stay NYC 5 night , fear Carlton would like , give NYC reputation hotel $ 200 . Carlton present well foyer public area guest room far behind . NYC standard , room reasonable size , good sized bathroom quality marble top vanity , shower / bath good lighting . bedroom , whilst extensive , panoramic view air conditioning duct , reasonable size , desk , amoire couple chair . rate include breakfast , give large number cheap deli 's breakfast restaurant closeby , probably good get breakfast elsewhere . the hotel good location 5 block Empire State building short walk cab fare shopping place interest . staff include porter , concierge bellboy give great service , maid staff . well worth stay represent good value NYC 
 Sep 6 2007 	 New Year Eve : Dream New York ! 	 stay Carlton period New Year Eve . this Hotel really nice , well situate exceptional . the room really nice beautiful view Empire State Building ! wifi internet connection free hotel directly available room . service good concierge usefull . 's perfect stay couple . 
 Sep 5 2007 	 great location/ excellent service 	 previously stay Carlton 's transitional period Welfare hotel 's current revamp . time , floor renovate other still long time occupant . still vestige former hotel , one look hard find they . the overall first impression overhauler fabulous job . lobby sexy . check smooth professional . room smallish , really , much time would one spend hotel NYC right door ? complaint small - counter space bathroom , room lie toiletry . bath gel include complimentary bath item . maid throw Sunday NY Times , hotel manage provide another copy . we get good deal summer special ( & lt ; $ 1000 4 night ) . pay $ 400 / night , would say worth , get good price , 's excellent place stay . the location great - walk distance Union Square , Village 34th Street . 
 Sep 4 2007 	 Comfy friendly 	 generally stay upper west side go Carlton b / c v. good Travelzoo special ( $ 189 queen ) . stayed room 1009 . staff : helpful professional -- door man concierge front desk room service . 's rare entire staff helpful . room : room clean bed comfortable . nice bedding . 's much natural light . bathroom fairly large NYC -- shower , tub . bathrobe . room show sign wear could use attention . peel wall paper bathroom , dust ceiling break window hardware . thing minor since ' m picky 's keep give hotel five star . location : Murray Hill fave neighborhood 's easy get everywhere -- catch r train B'way 28th . super close Empire State Building . vigorous walk shop Park , Fifth Madison . area quiet night . noise : hear neighbor -- hear hallway noise much . street noise tenth floor much problem . food : room service breakfast twice . food ok -- deliver exactly time request . get good deal hotel would recommend NY getaway . P.S . private car service airport overprice , would expect . get taxi traffic horrendous , will save money w / taxi . 
 Sep 1 2007 	 Great Location ! Friendly Staff ! comfy bed ! 	 book Hotel 10th wedding anniversary , birthday Graduation ! staff really helpful arrival bottle red wine ' Congratulations ' card wait beautiful room , fabulous view Empire State Building . girl reception also send bottle champagne ! hotel great location subway link close uptown downtown many major attraction within walking distance . would recommend Grayline hop on / hop tour ( town / uptown / nightime tour $ 49 ) - make easy get around see sight would not get chance see otherwise - nightime tour amazing ! staff hotel helpful especially Concierge book Wolfgangs restaurant we ! fabulous steak ! ! ! 
 Aug 31 2007 	 arrogant staff tired room 	 preface review say well 150 night annually hotel around world gold client every major luxury hotel chain . spend 30 night year New York . visit , decide spend night Carlton see would new New York base , close workplace . pro : decent location , overstate exterior , friendly conciergecon : hate hotel staff think be cool , let know . place . general observation : staff wear earbud radio make seem like coordinate visit like commandos- time seem distract particularly interested helpful ask something . room : tiny . pay large , King room . furniture pack , everything touch : easychair touch desk , touch bed . roomservice tray big desk , place eat bed . headboard fabric ( hate think dirty ) one piece fall leave sharp metal bracket screw wall . rest headboard stain . bathroom - again- tiny . fabric curtain shower window was- predictably- moldy . night , rush checkout . departure mention various thing need repair . front clerk process checkout , said & quot ; great & quot ; turn chat colleague without write kind repair request apology . guess nothing go fix room anytime soon . good value $ 409USD ? decide . 
 Aug 29 2007 	 Beautiful Hotel - would highly recommend 	 nice hotel , smallish room cozy nicely decorate . convenient location , right time square $ 6.00 taxi ride get . live NJ want stay overnight instead drive home . happy choice . 
 Aug 20 2007 	 Awsome Time 	 great time clean lady ready , able willing , anything mean anything ! ! ! 
 Aug 3 2007 	 Excellent hotel ! ! 	 stay five night March 07 . book standard room via last Minute . arrive greet friendly staff lucky upgrade deluxe corner room . room spacious , bed comfortable bed feel luxurious . ipod alarm clock great - not travel anywhere without ipod take portable speaker us huge bonus . bathroom nice although little small , really big enough fit two people ! find whole hotel clean . hotel beautiful build lobby area art deco . great view window onto Madison Avenue . find hotel ideally locate , 5 minute walk Empire State build 10 minuet Rockefeller Centre . Madison Avenue two block away 5th Avenue find quick easy walk location . tube station close hotel . overall find everywhere Manhattan accessible . love eat Soho find really nice pizza restaurant call Lombardi ' - apparently first ever pizza restaurant New York . pizzas place huge delicious ; would really recommend pay visit . overall find hotel first class service comfort . forget toothpaste call reception within 5 minute member staff bring we complimentary . ' ve mark hotel Excellent even one tiny bad experience deal quickly - basket goody hotel room stuff chocolate , wine etc however sensor pick item short period time charge even eat drink , happen we bottle wine , however reception quick refund money . would defiantly recommend hotel would love stay one day return New York . 
