RCA 	 nice place stay Central London price .. 2 - 3 min walk Lanchaster Gate Tube Station .. 
 dirty . 	 Paddington Hotel & amp ; Royal Court Apts building . review also post Paddington Hotel Tripadvisor page : recommend anyone right mind stay hotel - period . even though conveniently locate tube park - 5 - 8 minute walk , hotel go major renovation hotel . renovate room . friend stay two night , want cancel reservation entirely would not allow . would charge we 1 night stay cancel reservation . stay 1 night , will charge two night - twist sale positioning . frustrate , stayed require 2 night cancel third night make completely new reservation somewhere else . hotel room disgusting , kitchen room . room dirty look like roach probably infest place . hotel staff welcome either . willing move we big room pay ridiculous rate , ask see first . horrified upgrade room . well room . save money , time worry whether hotel room turn okay book somewhere else . would not stay - would not recommend anyone unless clean act - staff & amp ; room quality . 
 Oct 11 2008 	 dump ! 	 stay one night apartment would not stay . floor dirty , wallpaper peel wall , paint cupboard chip mould tile bathroom . hallway disgusting wrought iron stair rail replace place woven wire . never . 
 Sep 24 2008 	 need repair 	 agree everything be say hotel . 's cheap able eat cheaply Tesco ( past Paddington station , past St Mary 's Hospital ) . twin studio kitchenette yes , renovate room doubt one & quot ; & quot ; list . even though clean , tiny bathroom bite disturbing , peel paint , broken fitting seemingly hold together silicone . water pressure poor water luke warm cold due renovation progress ( notice lift ) . toilet coax flush time . location great staff friendly book would ask renovated room . 
 Sep 23 2008 	 warning - watch book hotel 	 try book hotel November 3 2 night . try fill enquiry form online not work email address long . online rate say £ 52 per night 7 day advance booking . call get booking . ask much would say £ 70 per night . ask whether cheap book online tell rate . say price . phone check confirm £ 52 per night . could hear computer background . ask click refresh cost go £ 65 ! ( £ 70 non advance booking ) try deny change pretty obvious . although still think rate reasonable certainly ' book treat like idiot . one less book Royal Court Apartments . 
 Sep 22 2008 	 brilliantly affordable great location boot ! 	 wife stay RCA 4 night end August . pick hotel base location price ( one least expensive hotel London ) . reviewer note , room tad wear , though owner renovate one wing . also , find front desk employee friendly helpful . we studio - kitchenette view back house , perfect we . get great use kitchen 's fridge , microwave , kettle . bathroom small , serviceable . despite brand new place still clean . be young traveller still recall hideous accomodation college year quite alright we actually turn well thought would base review read ! : ) ... go price , stay location -- 5 minute walk Paddington Station also many restaurant small supermarket stock kitchenette . also street Hyde Park , perfect first - evening - in - London stroll be still jetlagge take slow . 
 Sep 22 2008 	 great value 	 spend 2 night studio double apartment . renovate , laminate floor new appliance , spotlessly clean . location great , staff helpful . coin - operate internet access lounge handy , allow one check email penny minute ' access . downside 5th floor , lift go 4th , coffee maker , buy paper filter get creative kettle , shelf place toiletry shower . none issue ruin otherwise pleasant stay . 
 Sep 17 2008 	 secret apartment ! 	 Royal Court Apartments , Gloucester Terrace , London . May 24 - 31 , 2001.very nice 3 - star apartment Gloucester Terrace . husband stay 1 - bedroom clean comfortable maid service daily . two three minute walk bus stop , Lancaster Gate underground Hyde Park . walk distance Queensway shop . grocery store around corner apartment . great value money expensive 3 - star hotel room . like much staying week October ! 
 Sep 17 2008 	 wear tired 	 Close Paddington , 8 minute walk . nice lobby 1bedroom unit wear carpet , furnishing , uneven noisy floor , bed like try sleep rock . Desk staff helpful polite . room desperate need makeover . would stay . 
 Sep 2 2008 	 great value excellent location 	 wife ( mature couple ) stay end August 2008 four night . 1 bedroom apartment 2 person . consist , twin bedroom ( quite small ) lounge cum kitchen area , small bathroom bath shower . room date , nonetheless comfortable , look luxury , would place . believe process upgrade room - second floor appear old style . front room , light sleeper , would suitable quite amount traffic street . kitchen basic , adequate , breakfast . cook full meal , feel might bit restrictive cooker two ring ( plate ) oven , microwave . toaster also provide . small fridge , would hold big supply , lot small grocery shop / mini market close , Sainsburys Paddinton train station , 12 minute walk hotel . there air con . room , fan provide . room clean daily . find staff reception friendly helpful every occasion . hotel lift ( elevator ) , understand go 4th floor . it ideally locate - 12 minute walk Paddington station , 200 yard near bus stop , get Oxford St , Tottenham Court Rd . picadilly Circus . 100 yard , Lancaster Gate tube station . Hyde Park accross tube station . within 5 minute walk , Paddington station direction , good selection restaurant / eat place , reasonably price . I would definitely use apartment , consider good value , good location , convenient transport service Paddington station closeby , convenient arrive Heathrow airport . however , expect 5 star luxury service , - ideal anyone tour siteseee inLondon , want clean comfortable accomodation come back night get whenever want morning make make breakfast . 
 Aug 7 2008 	 Satisfied RCA 	 stay RCA Londond July 19 thru July 25 , 2008 . 2 bedroom apt . good size London . kitchen well stock dish etc . expect . coffee tea replenish everyday . 2 bedroom 5th floor elevator go 4th bad taking luggage flight stair ( unless elderly health problem . one update apartment leather sofa , chair sit area comfortable . one drawback lack dresser space one bedroom master set 5 drawer also drawer space tv cabinet . lot cupboard space window store luggage . staff pleasant helpful . would stay . 
 Aug 6 2008 	 great value location . 	 wonderful location central London , minute walk Paddington Station mean take we 20 minute get Heathrow . direct transport major tourist destination close Hyde Park stroll . plenty resturant cafe area well mini - markets great use kitchenette cut down cost immensley . we stay standard one bedroom apartment find comfortable well equip . problem bedside lamp bedroom , mean get bed switch ceiling lamp on / off . we definitely stay . 
 Jul 16 2008 	 great value accomodation 	 apartment 4 day thoroughly enjoy stay . the apartment studio , compact comfortable small kitchenette . the lift get bag room problem . there air - con supply fan . guest lounge bar . the location fantastic far Paddington station , Hyde Park short stroll away . room service everyday . staff helpful . we book on - line get room 59 pound per night , book 3 - 4 month get price . back room , view nice quiet . 
 Jul 7 2008 	 Great Value London 	 reading lot review London hotel , well compare price , choose Royal Court Apartments location close Hyde Park Paddington , well price . book directly RCA able book studio two 65 pound per night , VAT include . I stay RCA 5 night head Bath two night , Harwich 12 night cruise Jewel Seas . also stay RCA June one night cruise . in May , give newly refurbish room ( 509 ) complete kitchen , mini - fridge , lovely bathroom , table chair , tv four five channel , double bed , wardrobe . room decorate Ikea style , new laminate floor , new kitchen cabinet , well new bathroom great new tiled shower , sink , toilet , tile floors- much would expect see picture take former guest old room . also newly renovate , sans kitchen , room 507 , guest want lovely , ( although small room ) , need kitchen fridgewhen check room 509 , ask could room return two week . lady desk put information computer , confirm would room 509 cost 65 pound additional night June . however , return , find room 509 available . room occupy already another guest . give room 404 , one newly renovate one . room 404 two room , vs. 509 's one large room , difference strike . room 404 old carpet , old vinyl floor , old bathroom . one point return RCA ask key 404 , tell bathroom slight problem fix tell wait lobby repair do . leave go sightseeing , come back later . return room , smell like chemical , bathroom function properly . I enjoy stay RCA , would highly recommend . Hyde Park couple block away , Paddington . quite easy walk Paddington shop grocerie two grocery store , well walk internet cafe , shop , restaurant . bus block , catch tube either Paddington , nearby Lancaster Gate across street Hyde Park . can not beat price , kitchen bonus . disappointment able stay room reserve ahead time . tell next time stay ask room 509 , ask & quot ; sub & quot ; add reservation ensure 509 would hold we . make wonder could not do first place . make wonder happen next around , however , would stay regardless , would hard press find well deal London budget hotel , budget price rca . 
 Jun 18 2008 	 plain convenient nicely run 	 , family three , stay one bedroom apt . dble bed couch . order rollout bed do not use 4 yr old slept couch . bedroom strong rectanglular shape . lots space end bed wall armoire , 6 7 ft , 1 foot wall side bed . lot light morning . window right head bed big window living room . bed comfy . Bathroom work well we . everything looked clean . though place obviously old detriment stay 's look . tv recieve 4 station , cartoon morning son . Kicthenette handy . two burner . pan , lot plate bowl , utensil , glass , etc . make breakfast everyday . save money . little grocer around corner fresh fruit , raisin bran , egg , etc .. Lancaster Gate Underground close Paddington underground 3 minute walk . also bus stop , Lancaster Gate , end block hotel make ease transport luggage . hotel staff almost always friendly attentive . would say 8 10 . con - Walls bit thin , floor . elevator mad slow . internet room expensive , $ 30 day , free wifi lobby . stay hassle free help we enjoy trip London . certainly stay price good amount space want . recommend Sunday morn walk along Bayswater Rd . see artist display work along sidewalk go towards Notting Hill market , also recommend . remind Central Park . hyde park great place get walk / jog / run . 
 Jun 17 2008 	 fancy cheap 	 stay Royal Court Appartments 3 night 1st June 2008.having read previous review know go fancy half expect wear thong shower . however surprised value money exceptionally happy overall experience . downstair renovate - front desk , common lounge , bar internet . new paint , furniture , flat screen tv 's , wireless internet . comfortable quite social area feel like change room . the front staff always helpful pleasant . 2 elevator , slow old job . room 310 third floor . certainly need renovaton understand building currently undergo refurbishment . we 1 bed appt , clean , comfortable enough , ample room 2 people . small bathroom toilet , sink shower leak bad flood room . however clean good water pressure well plenty hot water . we 2 single bed , wardrobe & amp ; dresser . bed comfortable , clean nice sleep on . the appartment laminate wood flooring , small kitchenette , sofa , spare cot , tv , fridge , microwave , stove , sink enough cooking utensil make meal want . the item kitchen clean , well maintain job . plugs utility work fine fall appart break . attraction stay royal court low price , kitchen & amp ; central location , disappointed . fact exceed expectation , beat location , street quite night , well light , people still walk around safe feeling . Paddington Lancaster gate tube train station minute walk good bus connection well . sainsbury & amp ; Paddington station want grab food supply store appartment . many many cheap resturant pick Paddington feel like eat out . the annoyance criticism room stay apart shower , fire alarm would briefly sound various time day early evening . sure keep forget ask front desk . never wake we night not really care much . overally would stay Royal Court Appartments London . 
 Jun 15 2008 	 fantastic value money 	 stay number hotel Paddington area far find good budget . locate close Paddington Station national rail service 3 underground line . within 2 minute walk Lancaster Gate station another option . bus also moment away . outside look little dated carpet room could good clean . however , pay minimal £ 65 per night 1 bedroom apartment separate lounge bedroom cooking facility include fridge , microwave , toaster cook top . would know London quite costly ... save fortune use hotel . staff lovely find issue , say , witness number guest argue staff willing assist small issue . hotel choice . 
 Jun 12 2008 	 budget accomodation suit we fine ! 	 book stay London last weekend . going see foo fighter wembley decide make weekend it . Booked Royal Court apartment Alpha room honest avoid alpha room experience be not good ! arrive thursday stay till sunday great break . on arrival lovely receptionist inform we book we nothing alpha room . however kindly show we lounge sorted . think feel we upgrade room one lounge kitchen great . advise next time book directly pay alpha room £ 90 ! allof reception staff friendly ..... bit clueless though local area amenitie hotel lovely same . our room budget clean think process decorate room peep do lovely . honest room need update . it nice firm bed fridge room really help weather 26 degree . lovely small sofa crash relax day sight seeing . we would definately stay £ 70 per room per night go direct hotel . its short walking distance Lancaster gate tube central line accessible part London . bottom road entrance hyde park great walk round see fountain . opposite direction hotel short walk Paddington station / tube stop lot shop top road hotel little grocery shop ( Nisa local own one ) get milk , drink whatever else need . there also various restaurant near hotel although tend eat never really try any . I ' m guess London use hotel purely base hotel must . main thing clean , staff pleasant bed comfy ! need ! 
 Jun 10 2008 	 not expect much . 	 upon arrival RCA long flight tell booking , eventhough book directly via email hotel three month prior re - confirmed email one week arrival , advise arrival time etc . , credit , find us room tell & quot ; superior 1 bedroom apartment & quot ; apperently book & quot ; standard 1 bedroom apartment & quot ; , & quot ; upgrade & quot ; . say & quot ; superior & quot ; would hate see & quot ; standard & quot ; . read lot mixed review TA prepare basic accommodation , however , break window close , let along lock , shower screen bath swing 180 degress nothing hold place water flood floor every time shower . kitchenette adequate , however , plug fit sink could not dishes . staff friendly , lack local knowledge unable assist even minor request . RCA , however , locate conveniently Paddington station , Hyde Park okay eatery , small supermarket fruit shop supply . really convenient kitchen separate sit area , however , would probably stay . RCA really need renovationing bring scratch . 
 Jun 9 2008 	 Handy Convenient 	 hotel 5min walk Paddington station ( handy airport ) 2mins Lancaster Gate Central Line ( handy day day travel ) .I check without issue , one bedroom apartment , place date ( pretty much expect London , except clean ) although whatever chemical use carpet leave tremendously noxious fumey smell find make ill first night luckily must use new guest , day two leave window open fade , sure thing would winter . it bite annoying leave key desk every time leave , easy enough front desk always well staff . think may update room bit bit work go room across hall truck leave old furniture outside , believe place get update future . it clean , convenient good value money . London incredibly expensive matter level accomodation stay , least little kitchenette prepare meal make thing well lot space compare room would get , really make difference week . 
 Jun 8 2008 	 dump ! will not stay 	 place total dump even London standard . close thing -- positive . television rabbit ear single station come clearly . shower leak room , keep come room attempt fix . closet door fall second day fix . try get use internet , finally tell internet cafe locate . bar , restaurant . nothing . never stay . 
 Jun 8 2008 	 high Highs Low Lows RCA 	 come hotel , confused review write site - great , terrible . get , start make sense . renovation , part build fine - .... get stick unrenovated room ... great . observation : pro : good price ; great location near Paddington Lancaster Gate station easy access Central , Circle District line ; nice location next Hyde Park morning evening stroll fountain garden area ; polite , accomodate staff ; great money - saver kitchen , light dining expensive London , especially terrible exchange rate dollar ; housekeep friendly trustworthy valuable room ; high floor back build much quieter nice view ; Beautiful refurbish lobby sit area large flatscreen tv ; nice computer lobby find walk direction , restaurant review , etc ; room tv clear picture four five available channel . con : room yet refurbish , shabby . decline first room ( room 60 ) , awful - challenge anyone think ' m picky ask see upon arrival - truly hovel . shower be not even bathroom - 's long scary foot - and - a - half wide hallway next front door . final room still pretty shabby , least livable ; faulty wiring : every time try turn stove , fire alarm room turn ( , funny , pretty disappointing since thought would stove week ) ; bad plumbing : toilet flush properly leak entire week , even maintenance 's attempt fix ; terrify elevator : work half 8 day premisis - work , shake groan much never know go get go ; wireless internet connection : signal drop every five minute , cause much frustration even bother - , would not even take laptop would use two pay - as - you - go computer lobby . , see , experience , we , mix high high low low . benefit apartment kitchen definitley worth pain experience - would not London without one ever . bottom line , we , could find another apartment price range next time , would probably try instead - , would stay RCA . be go stay RCA , tip : find room warm , ask front desk stand fan - available . chinese restaurant street around corner leave great , & amp ; Sainsbury grocery store Paddington station good place stock grocery - make sure first stove room work buy anything can not cook microwave . pharmacy church closeby well . nearby Swan Pub good place pint . hear Victoria Pub nice . 
 May 25 2008 	 great staff great location 	 stay 1 bedrm apartment April 08 . staff helpful , allow we room early check time . much appreciate long exhausting flight Singapore . room date , functional clean . bed comfortable shower good . Location Paddington excellent , central site tube . 
 May 19 2008 	 Best Value London ! 	 fiancee arrive clean friendly 24 - hour reception desk Royal Court Apartment hotel , receive warm hassle - free welcome despite late hour arrive . , see large , double , ensuite room book , almost could not believe give we good price ! staff respectful , room clean comfortable , easily accessible several Tube stop line , appliance work beautifully . return stay , saw even receive email thank we business . great hotel ! highly recommend . 
 May 16 2008 	 Budget good Central London location 	 location excellent tube rail . budget traveller need privacy service , one good choice . friendly helpful staff . convenient tube transportation , walk distance Hyde Park good grocery store , Marks Spencer Stainbury cooking need Paddington Train Station . I love eat homemade food lot fresh vegetable friuit . , daughter really enjoy stay . it be bit old dirty still livable standard withabove average overall price . 
 May 14 2008 	 bad 	 stay 1 bedroom apartment . room tired look window kitchen / dine / lounge area not close . not big issue like fresh air . the lounge suite grotty , scared sit , everything else clean though . the toilet not flush well , annoying forgot give we sheet , blanket towel 3rd guest . not many staff speak English , however , reception staff do . one two elevator not work 4 night stay , slow thing down . the staff helpful bar waiting area seem nice . I like fact could cook etc , save money . the location good , bonus . it cheap place stay , undecided whether would stay . 
 Apr 18 2008 	 Excellent 	 book one - night stay £ 51 hotel 's website . possibly one cheap place stay London , one good be look bed sleep on . the room great - sofa , tv table living room , small kitchenette 2 hob ring , sink microwave . also bathroom shower bath . mean decorate chic modern , job ! good thing hotel location . 's 2 minute walk Lancaster Gate tube station 10 minute walk Oxford Street . Hyde Park beside hotel , too . all , be look extreme comfort spend large amount time room , not go . , however , be look place put head night , RCA place go ! ! will definitely back . 
 Mar 17 2008 	 Excellent value 	 London not cheap kitchenette , although fairly basic , great prepare meal save quid food stay . even manage quick spag bol one night ! one - bedroom apartment probably slightly big regular hotel room due layout certainly feel like lot space , not trip luggage . location excellent , central easy get , London , careful night . downside plush luxurious , certainly comfortable feel right home , therefore good value . 
 Mar 12 2008 	 Old nothing complain 	 look great value , book ! many place London find ~ $ 100 usd night . plus be get great staff keep thing order , safe area near beautiful Hyde Park , stone throw tube station . space get huge . studio double . furniture / decor old , everything clean . besides , not much sleep hotel . fridge sink nice could buy grocery shop around corner save money / time breakfast . complaint : auto wake call system alarm clock ( common Paris / London hotel ) . catch 5:25am train Paris desk service not call we . probably not use check log 4:00 . luckily hold taxi we . also window thin could hear car go foot traffic . be fairly quiet neighborhood . 
 Mar 12 2008 	 Inexpensive yet Fantastic ! 	 stay RCA 13 - 19 June 2007 go see couple band Wembley Stadium Wireless Festival could happy small amount time actually room . be see sight not care stay luxury , definitely place . would really worry review would read previous , not one problem anything . staff pretty helpful , not ask use free safe deposit box ( offer check ! ) be stern lecture . lounge quite nice area safe walk around . conveniently locate Lancaster Gate Tube Station far Paddington Station , either . view city upper floor beautiful , way ! 
 Mar 11 2008 	 great budget traveler 	 read number so - so review little worried reservation four night around Christmas 2007 . ' . Royal Court perfect answer budget traveler want comfort convenience London without break bank . 180 degree shift exchange rate , Americans modest mean like find difficult enjoy city without spend lot time fret expenditure . price lodge ' bad compare New York San Francisco pint excellent hand pour ale ' pay upscale pub States ' really hard stomach idea spend $ 20 breakfast , $ 40 lunch , $ 75 dinner , especially meal go memorable . local " fast food " ' answer give order mediocre fish chip run $ 16 $ 18 . thankfully Royal Court provide thrifty traveler mean avoid horrific drain pocketbook . little kitchenette ( one - person - at - a - time space ) stock enough we make eat pleasant decision chore . would fix nice breakfast , pack lunch sandwich snack munch museum park , go day explore return dinner . simple nutritious meal provide enough fuel go hit pub club night . eat , intrigue menu ambiance , solely hungry . sort option , drop $ 200 dinner nice restaurant ' hurt bad , least credit card bill come in . the management nice job provide basic cook " apartment " living . roll paper towel , dishwashe soap , coffee tea basic , pot , pan , cutlery , glass , towel sponge , etc etc . two block away small store surprisingly well stock size provide need make tasty meal . butter , pasta , ton fresh veggie , wine , could whip far well dinner anywhere neighborhood . add dozen egg , sausage , fruit , bread breakfast cover . thing bring we handful little salt pepper serving snatch burger joint airport . the neighborhood quiet , surprisingly London . residential area , tourist ghetto like Covent Gardens similar section city , 8 pm thing quiet considerably . safe though . couple good pub nearby ( Victoria , example , brilliant ) equidistant central line Tube transportation hub Paddington . lot bus run block away . room old , far old hotel likely stay anywhere , clean ( plain ) roomy . really nice separate room bed . electronic safe welcome surprise . heater cook ( December ) also standup fan . staff pretty friendly , far expect . ' use see guest lobby hook via wireless connection . ' know one bed room apartment ( ) go normally hotels.com price extremely reasonable , especially comparison lodge choice city . overall good value ' look something modern charming rather need solid base operation explore London economically . ' stay heartbeat . Nick P. , Malibu 
 Mar 7 2008 	 Little Money Lot Space 	 not four star luxury hotel want reasonable place stay decent price convienent London location , 's good bet . get good deal , coupon even well , though would recommend check hotel 's website price seem even well . spend $ 100 night London ( NYC matter ) would pass palatial flat . bedroom two twin bed , full ensuite bath , kitchen stove top , microwave medium sized fridge , kitchen table four chair , tv couch . also cot , we . nothing new everything clean . there nice lounge downstairs , free wifi , bar , though bar not open visit . 's perhaps five minute walk Paddington rail tube station . complaint hold room key desk go not seem ask much way ID hand over . have kitchen facility help save money trip . try pick premade food nuke microwave Marks Spenser 's Paddington station . ' ve get time Friday Saturday go Borough Market ( be near London Bridge tube stop ) buy premade pie Pieminster . fabulous , especially & amp ; mash potato side . 
 Feb 26 2008 	 great little room kitchenette wifi 	 stay single Feb 1 Feb 6 satisfied hotel . other state minute walk Paddington station Lancaster Gate , across street Hyde Park . lobby area clean stylish find staff extremely friendly ( even maintenance guy ) . arrive 10 am since room ready let check . room , tourist class hotel , small room two chair sit comfortably table . kitchenette well stock supply everything work fine . bathroom small expect full tub shower great water pressure lack hot water . room keep clean attentive staff . tv receive 4 5 channel work fine . second floor streetside traffic noise noticeable not bother much night . pay $ 70u per night hotel 's web site . will certainly stay . will definitely never stay London without kitchenette ever . save lot money eat constantly ! Frosted Flakes macaroni may british meal least cheap . free wifi work great room iPod Touch . sum , convenient quiet location , clean comfortable room price 's hard beat . 
 Feb 24 2008 	 Excellent budget option great location 	 return home New York week 's stay RCA . hotel absolutely meet expectation . room clean , quiet , everything kitchen work . place currently renovate ( good move ! ) part build considerably shabby other , regardless , perfect place family group friend . location convenient price right . 
 Feb 16 2008 	 good location good price 	 decide try apt/ hotel budget intro preChristmas London , 6 week jaunt Oz , thru UK , Italy South Africa . stay Bayswater Pheonix 2005 like . rca advantage self catering ; stay 5 day one br apartmentt . Liked : easy transit LHR ( use Heathrow Connect , expensive Heathrow Express ) ; grocery Sainsburys Paddington Station , 5 minute walk ; big enough certainly 2 ; small kitchenette tv , microwave , hotplate , utensil fridge , clean friendly reception cleaning staff , shop top street . great direct access city Lancaster Gate tube ( 3 min walk ) . yes , be ( particularly novice american traveller ) expect . 's little heel prefer spend money afternoon tea Ritz sleep obliviously 5 star . free WIFI laptop lounge . travel 30 yrs continent would certainly consider one . 
 Feb 14 2008 	 good price good location 	 stay apt 5 day september . perfect place budget traveller . convenietly locate friendly helpful staff ( one blonde boy yummy lol ) . close paddington station you re take heathrow express lancaster tube station , cheap take little long - you re rush take tube , either LHR airport , see outside london . room clean spacious equip basic - microwave , electric pot ( instant coffee ) cook pan , plate utensil . hotel block couple restaurant , grocery , postoffice , bank , souvenir store , coffee shop BIG BUS tour stop . fix lobby think there s wifi . everything ok except squeaky floor.the staff helpful always smile . give good direction place see , make sure tell want see . I m sure know tourist spot since they re local make copy list & quot ; sight see . & quot ; ill stay hotel next time london ... boy . 
 Jan 7 2008 	 luxury clean 	 hotel date style fairly basic find clean adequate need . convenient . read early review , concerned room would small clean ; staff unhelpful . experience . may reviewer expect modern motel chain - hotel style facility experience , budget hotel large european city style rather old small room , narrow hallway , small lift old fitting ( shower , etc ) . rca like many budget hotel central London . I find room basic cramp ; bed firm ok . " apartment " consist bedroom ( 4 m x 3 m ) , small gallery kitchenette ( cooker , microwave , kettle , basic utensil ) good sized shower / toilet . everything clean work . like hotel London , language issue arise need patient giive chance . find staff reception helpful polite . the location convenient . Paddington station Lancaster Gate tube station minute walk away also lot bus . also nice reasonably - price restaurant , pub convenience store nearby . want base visit London budget price , RCA . look comfort elegant surrounding , elsewhere pay ! 
 Jan 4 2008 	 convenient shabby 	 5 week travel Europe stay variety accommodation sure would find Royal Court Apartments . warn review would shabby clean indeed find . difficulty assess hotel accommodation balance cost / convenience / expectation / realism . know London expensive would rather save accommodation meal see sight . achieve stretch tolerance heel nature hotel . couple night would find tolerable fifth night could not wait leave - 'd enough scruffiness bathroom small step outside change mind . say , convenient location , staff nothing ever polite helpful room basically clean . complaint apartment back onto internal shaft bottom staff amenity room loud music / television make quiet location . would not stay reflection be prepare accept standard comfort rather fault hotel not purport anything . 
 Dec 9 2007 	 Perfect stay less money 	 second stay hotel last . I´m planing next trip london next year already know i´ll stay . whenever i´ve staff friendly helpful . room clean , cosy small like hotel London . location hotel ist superb reach main point London tube bus - even go . recommend hotel want stay London 
 Nov 30 2007 	 Royal Court Apartments quite ok ! 	 stay Royal Court Apartments 4 day september , arrive greet pleasent gentleman front desk , room little warn bathroom could use finish fill hole gap around bath . kitchen facility come handy quick breakfast snack drink day sightseeing . wireless internet good make easy keep touch people home . negative hand key leave make we feel little expose term security . however great hotel budget . 
 Nov 22 2007 	 Good London Budget Hotel 	 will check Royal Court Apartments tomorrow morning , 4 night , suppose something could still go wrong , far , fine place stay comparison budget hotel ' ve stay Europe . we book United Airlines rate $ 107 / night & quot ; one bedroom studio . & quot ; check , give one bedroom apartment , bedroom separate kitchen / living room , large budget european hotel room ' ve stay previously . bathroom typical London , although tall bathtub side make climb somewhat challenge . the staff attentive helpful ! problem loose shower head first morning , report front desk leave morning , return couple hour later , ask repair sufficient . ( ! ) , housekeeping staff may English first language ( see previous review ) , could ask friendly helpful attitude they . some would characterize decor & quot ; worn & quot ; , experience , moreso place ' ve stay London ( Royal National , Tavistock , President , Balmoral ) . hotel would cost twice ' ve pay week . philosophy hotel room clean , well maintain enough room put luggage floor , will use money save London adventure , RCA meet expectation , especially space have . the concern include poor lighting reading ( bring portable booklight be going read much room ) fact , even November , apartment warm like sleep leave window crack get little noisy morning . ( be streetside . ) other note , tv cable satellite quality , ' ve manage stay tune CNN british news channel , even though may little fuzzy . otherwise , location good get around London , presence kitchen unit include refrigerator , dish , microwave hot water pot coffee great , wireless internet leak effectively grind floor first floor apartment ' ve connect well entire time ' ve , , ' ve never much space reasonable price ( price ) previous trip Europe . it be Mariott Omni America employer not pay trip , , price , 's excellent value ! 
 Nov 3 2007 	 traveller seek Luxury Calm 	 stay Royal Court Apartments three night October 2007 , book via Ryanair website special offer . request quiet room , light sleeper . arrive , hand key room surround interior building site . complain immediately give alternative room ensuite kitchenette , orginally book . suppose double room ( studio ) cramp even single traveller . two people , suppose apartment well choice term size . window face road single glazing let lot noise . bed comfortable room clean slightly shabby . small bathroom sport bathtub shower nozzle , plenty hot water also clean . give fresh towel day . kitchenette real bonus want pay extortionate London price eat . plenty small shop supermarket within minute walk . the hotel undergo refurbish present mean lot rubbish pile outside hotel ( include old fridge kitchen fitting ) offputting . inside hotel , lobby reception area clean , freshly paint staff polite helpful . sure reconstruction , place perfectly acceptable stay . another bonus proximity bus stop Lancaster Gate , tube station Lancaster Gate well Paddington Station . 
 Sep 11 2007 	 Excellent Location 	 stay Royal Court Apartments Sept 2 - Sept 8.location : : apartment convinently locate Paddington Station . take train [ Heathrow Express / Heathrow connect ] Heathrow Aiprort Paddington station . exit station , turn right walk towards Gloucester Terrace . turn Left walk 2 min . would see blue canopy . Lancaster Gate Tube station 2 min . Lancaster Gate Bus stop also 2 min . stop , connect part London via Tube / BusHyde Park 2 min . near hotel Hyde Park beautiful . Cross Park [ 10 min walk ] Kengiston Garden Kengiston Palace . many small neighborhood grocery store , near Paddington rail station large store Sainsbury Local . safe location . Hotel Staff : : we arrive early around 9 . check usually 3 pm . Staff accomodate we get room ready 1 hr . wait lobby . lobby clean . WiFi access available lobbycheck quick staff helpful . provide we information , travel bit . always someone receptionRoomRoom clean . double bed . kitchen utensil [ microwave , fridge , table , chair , cutlery , plate , pan ] . request cup plate provide we 5 min . also request blanket quick getting . linen change daily clean . room clean efficiently every daywe stock fridge essential . sainsbury Paddington Station . also couple internet cafe way Paddington tube train station relatively inexpensive convenient . Paddington grocery store essential need . tour : : [ -- ] 
 Sep 4 2007 	 love 	 stay 2 son ( 11 13 ) 6 night June , 2007 . hotel easy find central . room little home away home relaxed straight away . 1 bedroom apartment 2 single rollaway lounge , quite comfortable . mainly use kitchen breakfast lunch fridge come handy . Sainsburys Paddington Station along quite shop . also internet cafe around corner newsagent . reasonably price restaurant within 5 min walk distance hotel . train service easy use quite cheap buy daily ticket 3 we . feel secure important travel kid . hotel 2 min walk Paddington Station one direction Hyde Park . kid love . come London sight experience not mind old style , yet quite comfortable , accommodation perfect excellent price . perfect begin trip UK . 
 Aug 6 2007 	 great value 	 money great place . cook meal cozy kitchen . one bedroom roomy 2 people ( double bed twin bed ) . Bathroom cozy odd run hot water fresh towel daily . kitchen small lack drinking glass wine glass , nice table 3 chair ! living room love seat , chair tv station . ask room back street noise could problem . room clean staff helpfull . feel safe ! stay . 
 Jul 28 2007 	 bit scruffy price 	 hotel staff polite gracious , room bit substandard price . room two twin bed sleeper sofa , bed . bedroom cramp , take several hour staff locate fold bed . really try hard . bad part stay mildew sewer smell foyer bathroom area . carpet front bathroom door obviously soak repeatedly allow mildew , cause nose run eye burn . staff honestly try clean carpet , real cause shower , partial screen ( wrong end ! ) curtain , allow water splash tub area , careful . staff offer switch room , retrospect , take offer , assume sincere . with respect price , range property , general location excellent . seem , however , large number property explore next visit stay . one point - map provide web page inaccurate - Lancaster Gate Underground station actually 1 block east map , location hotel northwest along Gloucester Terrace . Paddington Station actually little close , offer well connection , one travel Heathrow , take Heathrow Connection way Paddington Station . 
