everything 	 stay one person , hotel great choice . husband say would absolutely stay ..... long . stay 2 night Thanksgiving 1 year old 2 year old room WAY small 4 we . room stay ( 611 ) much big queen size bed . however , room size aside , hotel great . locate close Subway 6 line . staff friendly helpful . lobby nicely decorate leather couch fresh flower attach restaraunt nice . serve great breakfast croissant , bagel , juice , yogurt , fruit , etc . price , FABULOUS ! find deal internet pay $ 139 / night . however , NYC kill taxis : $ 12.34 / night State tax $ 8.17 / night city tax $ 3.50 / night Occupancy tax . 
 Dec 30 2007 	 great 3 * hotel 	 stay 4 night Christmas Superior double double room . please note Superior room view outside - brick wall . want City view , opt expensive Executive Double Double . say , room still great - average size , warm , clean , great bathroom , bath robe , tv , fridge etc . breakfast good - great range fresh bagel , pastry , cereal etc . never eat Black Duck Restaurant , go evening cocktail listen Jazz Band - great band , great staff . overall , think staff really friendly helpful . however , friend also stay couple week , different experience ! nice central location - far Chrysler , Empire State Fifth Avenue etc . great indian restaurant next door hotel -copper Chimney - recommend . also , great Tapas far hotel - Barna . hotel , turn leave onto Park Avenue , leave 200 metre . restaurant leave . love - great food , atmosphere , wine , staff food ! yellow cab , hotel , turn right onto Lexington Avenue - easy flag one directly outside hotel . any question please e - mail , would happy help . top thing visit New York:1 ) Statue Liberty - absolute must - make sure pre - book free Monument Access Pass Circle Line Ferry Website entrance statue ( pedestal , still absolutely amazing ! - view , museum ! ) 2 ) Empire State Building night - wow3 ) Grand Central Station - fab4 ) Walk Central Park - beautiful5 ) Ground zero6 ) Trinity Church - beautiful7 ) Cocktails Trump Towers ( 5th Ave ) 8 ) Rockefeller CentreIf think be go go get load bargain though - think ! Bloomingdales , Saks 5th Avenue , Macy 's etc - extremely expensive ! say , fantastic time , enjoy ! 
 Dec 29 2007 	 Nice hotel 	 great boutique hotel midtown manhattan . great place price pay . room fairly small ( like hotel New york ) comfortable clean . spend 5 night mother room two double . bathroom clean nice bathrobe use lovely soap product . complimenty breakfast nice well . black duck ( restaurant/ bar ) alright dark serice bar friendly . overall nice place stay , hilton decent 3 star . 
 Dec 13 2007 	 Fab hotel 	 come back 5 night stay Park South . it fabulous hotel , well expect . outside hotel little xmas tree cover fairylight look welcome . lobby clean , lot marble big sofas , impressive . our room good size . wardrobe small though enough room hang 5 6 item 3 medium sized drawer , manage fit thing small . read place store bag not find , plenty room bag wall still walk around . bathroom lovely small . say much time spend bathroom holiday ? ? fit purpose . bed firm comfy . flat screen tv fab air conditioner / heater room could control temperature room good ( find corridor boil hot relief room could like ) . overlook street exciting view not bother street noise . 5th floor , room early evening day road noise little 9 pm . complimentary breakfast good , lot bagel / croissant / bread / cereal etc . also stock banana nutrigrain bar supply snack day . eat meal hotel , lovely deli next door call Bagels Schmear great breakfast amazing bagel day . another little market shop corner street deli inside also good . be also 24 hour mcdonald street . not try indian restaurant next door notice corridor occasionally smell curry room smell . the hotel ina good location , subway literally step away , easy flag cab street adn walk almost everywhere take minute . good location , near sifght quieter neighbourhood . would definitely recommend adn would stay . 
 Dec 8 2007 	 Great NYC hotel 	 boss stay twice within span couple month two tradeshow exhibit . hotel convenient ( could walk Javits day ) clean comfortable well . room , typically NY small , decorate tastefully feel clean . major perk free continental breakfast , great selection food choice . find staff quite friendly overall experience good one ! 
 Nov 29 2007 	 great hotel NYC 	 partner stay hotel 5 night November 2007 . main reason visit NYC shop look clean , well - present hotel hub . get lot ! hotel superb . art deco style , large reception area comfy sofa chair fitness room basement . location great , 10mins Empire State Building subway approx 1 minute hotel , go uptown , downtown . we fortunate get upgrade arrival stay room 407 fourth floor . room good ; medium sized nicely decorate . also super King size bed , large plasma tv wall clean , modern bathroom . hotel also provide hairdryer , bath robe , iron board , iron coffee machine . there heater air con unit window too . there two downside room . one , face street view semi - ok ( car parking front hotel ) also noisy , especially first night , Saturday . rest week little quieter . decide ask move though ( case re - pack un - pack ) .Secondly , small indian restaurant next hotel room street could smell night , window would fully close . , lazy switch room . ( partner would like point could not smell anything though ! ! ) one good thing hotel breakfast include price . ' great selection tea / coffee , muffin , croissant , bagel , fruit toast , yogurt , cereal fresh fruit . tend pig , really ' need eat 2 pm ! Breakfast also serve 7 - 11am , handy lie - in still . the staff hotel helpful . slight discrepancy bill resolve issue quickly efficiently . the doorman also polite knowledgeable . thing know : hotel approx 30 - 45mins Newark airport , depend traffic . public holiday give 1-½ hour though , safe . the hotel also restaurant food quite specialise ' like . atmosphere lovely though ; one end restaurant log fire armchair , cosy . overall happy choice would stay recommend friend family . 
 Nov 27 2007 	 Park south- solid hotel great location 	 return four night trip NYC Thanksgiving weekend stay Park South hotel . staff friendly helpful . lobby , hallway , common area clean . continental breakfast great plus stay ( be go meal ) - bagel , coffee , cheese , muffin , pastry , various meat , english muffin , juice . the room larger expect ( New York City ) . complaint bathroom desperately need extra shelf ! ! two friend could not even keep toiletry bag bathroom . bed comfortable , bit firm taste . I think well offer hotel location . be literally one block 28th / Park Subway stop 4/5/6 line . go uptown , downtown easily- be great ! definitely recommend hotel other plan use future trip city . 
 Nov 14 2007 	 Excellent experience budget travel husband fussy wife 	 trepidation reserving Park South Hotel give price $ 100 + night cheap well know hotel good reputation price level hotel lousy reputation . visit could not well . even though get room next elevator , could barely hear . staff respectful , though fawn ( attitude would expect self - respect ) . room tiny , small certainly well appoint , touch class throw detail like bedpost terrycloth robe . complementary breakfast pasterie great , cut one expect free breakfast . love neighborhood , quieter midtown , walk distance , well long walk Village . love Anthony Bourdain 's Les Halles restaurant around corner ( quite affordable ) fun indian emporium door . great , affordable experience . 
 Nov 13 2007 	 Seventh Eigth Stay Hotel 	 ' ve stay hotel least seven eight time last five year always fantastic value money . room may small side , friendly staff , excellent location , great breakfast , overall niceness hotel make one detail . for money , one good deal Manhattan . 
 Nov 7 2007 	 Room issue 	 stay Park South Hotel one night , put room right next elevator . noise level rather high , call front desk ask whether could move another room . answer & quot ; & quot ; , recommendation deal situation & quot ; walk corner pharmacy get earplug & quot ; . would recommend stay . 
 Nov 7 2007 	 terrific absolutely complaint . 	 thank friend past guest South Park Hotel recommend place . fantastic . room big ( king bed ) perfectly clean quiet . even view Chrysler Building window . wall mount flat screen tv chocolate leave pillow night make room invite place come home end busy day . free broadband room also facilitate great stay . ashley front desk pleasure deal phone Australia . put we waiting list initially room call back promise confirm availability lead trip . the bar / restaurant hotel happen little place ! would read scary review various NYC hotel online Park South Murray Hills , NYC delightful . would definately stay recommend friend . 
 Nov 2 2007 	 ok yes Rooms small .... overall bad stay 	 yes well gather post room small . yes expensive get accomodation New York suppose deal - use pay much room 100 % satisfaction can not whinge either pay ALOT get great room pay average amount get basic room - obviously choose latter . anyway , stay double room four us - two couple . mange ok , probably next time would get two seperate room find hotel big size could hardly fit four case . but - good point - room clean , breakfast include good , hotel great little restaurant ( steak die ) , location excellent , walk attraction short cab fare . can not say would stay , would try somewhere else concerned room size ( i.e . business ) would recommend hotel . also great indian restaurant next door - Copper Pot memory Mexican well next door great eat ! 
 Oct 30 2007 	 Park South Oct.22 - 25 Great experience ! 	 husband stay Park South 3 night October . arrive hotel early , check bag explore / have lunch till 3 pm check . room , 1 queen bed , clean , bathroom spotless , desk , chair , flat screen tv fridge . coat hook behind door small narrow half closet hang shirt set narrow drawer item . also in - room safe . comfy bed bed pillow , side lamp clock radio . room small , put luggage , suggest add luggage rack / stand floor , otherwise , really need NYC . provide breakfast , basic bread / toast , muffin , bagel , croissant , hard boil egg , cereal , fresh fruit , cereal bar , coffee / tea , etc . staff friendly courteous , doormen charming frond desk lady sweet . good location , Park South near # 6 subway line uptown / downtown , lot restaurant takeout . very safe area . impressed , could give 10 + customer service . last day , check , check bag storage proceed last minute shopping sight seeing , great time cram last bit , get subway buy fare , reach bag wallet , everything go . we race back last purchase store , luck , nice , get use phone , call ? call hotel help / advice . advise we go police file claim . and allow we use fax / phone number receive info regard situation . get back hotel , receive copy passport social insurance card , leave home , family fax we . allow we use front desk phone contact travel insurance/ visa card get cash wire , hotel agree give cash advance visa card agent reissue we . also help we find new flight get home , consider miss flight home . believe really go way help we way could , already check , really , long guest ! honest , decent , genuine , considerate , helpful people ! go back NYC ' m stay . 
 Oct 25 2007 	 Horrible Service 	 horrible service , slow - inefficient generally RUDE ! ! ! 5 star luxury hotel , yet STAFF act work Delano ! slowwwwwwwand RUDE . 
 Oct 17 2007 	 Best ! ! 	 I m take time review Hotel , say one thing .. good , small comfortable hotel locate 15 step subway station 28 street , room spectacular clean , staff security great , continental breakfeast good one ever see hotel ! ! recommend hotel everybody do not look option . AHH forgot price excellent city NY . 
 Oct 9 2007 	 Park South : good value money Murray Hill 	 really enjoy stay Park South 2 night September . booked room Priceline get reasonable rate . Breakfast include . check efficient , upgrade find room ( # 419 ) large , immaculate , contemporary stylish . bathroom small ( blowdryer keep hang bag back bathroom door not anywhere else store ! ) , fine two us night . Smallish & quot ; closet & quot ; build wall 4 drawer beneath ; hook entryway wall nice addition . bed king , mattress bed great .... , everything clean appear relatively new . room quiet . breakfast basic continental ... hard boil egg addition bagel , muffin , cereal , fruit , etc . Sunday morning . doorman offer store luggage Monday check hotel visit moma : great we . everyone deal hotel professional ( check - in , doorman , housekeeping ) . neighborhood fill restaurant ( really good indian food one night great barbecue blue Smoke one afternoon ) , be small store corner really good sandwich , coffee bagel . general vibe friendly safe . would stay . 
 Oct 3 2007 	 Excellent hotel 	 stay Park South mid September 3 night would highly recommend hotel . the location great subway nearby . room clean bathroom modern clean excellent water pressure . bed comfortable . can not comment size room first time New York Park South first hotel New York ever stay in . I also find hotel quiet . though fully book , could not hear people next door we . would stay hotel next time New York . 
 Oct 3 2007 	 nice little hotel 	 recent stay Park South ( ' ve stay twice ) good , would stay . location great , easy access midtown Union Square , subway line practically outside Duane Reade corner . staff helpful friendly , chocolate reception always nice touch . offer car service ( unprompted ) check minded case problem . room bit small time ' ve stayed ' ve view , usual ny view - onto building . hear view Chrysler though , maybe will get lucky ... result room dark lighting leave lot desire - probably main gripe . clean though fridge useful . AC noisy efficient . breakfast great , not problem get seat although restaurant small . first time stay employer pay work trip . second time , pay . location ( right Murray Hill ) , be great . lot business people stay regularly mean staff bit nicer - know 's chance will back . also mean 15 minute wait lift giant tour group take entire floor . intimacy combine location make great choice . 
 Sep 27 2007 	 love place ! ! ! 	 come NYC 5 day trip September spend 2 night cosy fair price hotel midtown . hotel staff friendly assign cute room 8th floor . like hotel room New York , fairly small , offer sufficient space luggage , clothing etc . wireless internet flatscreen tv among amenity enjoy . room include nice bathroom clean design neatly . detail matter find place well hotel . breakfast include rate ( book via [ -- ] ) offer variety bagel , muffin , croissant , cup cake bread . also fresh fruit offer . German especially enjoy somewhat ' un - american ' big variety cheese cold meat bread . location Park South perfect well subway station right corner block take north Central Park south SoHo . we really enjoy stay Park South whenever New York come back ! 
 Sep 27 2007 	 Park South adequate 	 husband , daughter stay hotel 3 night August . room third floor 2 double bed comfortable . room spacious not much apart bed . think noise air con would annoying not bother we good necessesary weather hot . point cover post add would recommend hotel anyone like we short break New York need hotel base . lot research hotel trip value money paramount certainly . brilliant time New York glad stay Park South Hotel . I book hotel Quickbook . 
 Sep 25 2007 	 tiny room 	 every room doll size one reviewer mention . wife 3 time last year familiar become property staff well stay become . ask room 209 , quiet large near back door ez access rest fabulous neighborhood location . 
 Sep 19 2007 	 great place stay nyc 	 stay week great time - room small always NYC . rate reasonable $ 209 + taxis per night include breakfast - almost unheard New York hotel far tell . location convenient subway stop main drag cab etc lot restaurant 3rd avenue block away never disapointe . would thoroughly recommend place traveller . 
 Sep 15 2007 	 Front Desk Attitude ! 	 disappoint attitude front desk staff Park South Hotel . always experience around world find hotel staff happy effervescent - bunch lack lustre flat . overall , room , though small , well furbish clean . restaurant / bar downstairs load nightime atmosphere , particularly jazz singer ensemble play . nice return evening , plop cosy chair cosmopolitan , chill - out dinner . feel like jazz den , deep red furnishing dark wood . check please check bill thoroughly charge twice phone call . could happen anytime anywhere , front desk staff adamant right wrong . end , consultation supervisor , acquiesced . end , be little thing like & quot ; Smile & quot ; & quot ; Hello & quot ; make difference one 's overall experience . unfortunately barely experience either two simple gesture . 
 Sep 13 2007 	 bad ... New York 	 's amazing little hotel get money New York , altogether stay pleasant . staff friendly helpful ( limited ) interaction , kindly hold bag check check appreciate . room tiny - two step door bed , another 2 step desk , bathroom carefully pivot around door get tub . even NYC , would want share room second person unless , comfortable . could bring cot kid . put delicately possible , large people might find experience quite uncomfortable . room smell paint ( colleague stay another floor say ) , unfortunate since window open . plus side everything clean , plenty towel , bed comfortable , free internet work beautifully . breakfast free restaurant attach hotel - nice ! totally fine obviously convenient . also drink appetizer evening check - not seem like anything special , staff friendly handy . ( hotel not convenient , desirable restaurant - Anthony Bourdain place around corner , Grammercy Tavern nearby well dozen other . ) not hear sound lay head pillow , despite near elevator . colleague say hallway noisy , though , guess depend neighbor . overall , although would appal get little space much money city , recommend hotel probably stay . 
 Sep 12 2007 	 Great Location Great Price Great Place 	 first visit Park South Hotel wonderful stay . staff throughout property friendly helpful . great bargain location , good amenity look hotel , 1/2 block 6 subway line . although room small , shocking NYC hotel room standard . clean , nice linen ( bed bath , bath robe ) flatscreen tv , tile bathroom nice toiletry . room air conditioner work fine . breakfast amble- cold slice cheese , meat , hard - boil egg , cold cereal , yogurt , sweet bread , plenty coffee juice . property nice restaurant bar premise ; nice plus live jazz Fri Sat night . house 8th floor , face alley , quiet . travel companion stay 2nd floor face street , complain noise - oh well , expect , bring ear plug be low level . would recommend stay Park South book room ( upper floor ) return Manhattan . 
 Sep 11 2007 	 good value 	 although visit New York City annually 10 year , first NYC visit ( review ) since join TripAdvisor last summer . like try different hotel ( sometimes one ) visit . hotel range luxury -- St. Regis ( 3 time ) , Four Seasons , Mandarin Oriental , Pierre ( Four Seasons ) , St. Regis Club Essex House ( Starwood ) , Peninsula -- & quot ; chic / designer & quot ; -- Mercer , Chambers , City Club , Shoreham , Tribeca Grand -- & quot ; good value well review & quot ; -- QT , Lucerne , Library . Park South belong last category . the hotel locate E. 28th St. Park Lexington , area ' ve never stay Murray Hill Gramercy Park . empire State Building within walking distance . subway stop 6 train 1/2 block away Park . note : return hotel subway , take local 6 train ; 4 5 express train not stop 28th St . area seem large indian population reflect nearby shop restaurant . McDonalds Duane Reade drug store block . note : Park Lexington restaurant , 3rd Ave . one block east many more . the front desk staff everything -- usual front desk duty plus concierge duty , dvd check - out , room service order adjacent Black Duck Restaurant . everyone encounter competent particularly friendly . I give room top ( 8th ) floor , judge fire escape diagram door , small . neither surprised upset , give travel solo trip also book discount website base NYC ( Quikbook ) . room look exactly like photo post & quot ; redhead 73 & quot ; 3/28/06 . room right behind small elevator , hear noise . despite size , room decently equip -- dvd player , small flat screen tv , fridge . window large enough space building wide enough let decent amount daylight . bathroom tiny , shower weak water pressure , temperature water sink highly variable . closet small -- 3/4 length 3 drawer . rod foot long . real space store luggage . the previous guest seem spill beer part mattress carpet , area reek damp . take awhile several attempt housekeeping address issue , odor completely disappear . on posivtive side , hotel offer car driver ( fee involve ) , free internet access ( room laptop nice business center ) , free DVD library , free newspaper ( USA Today NY Times Sundays ) , free expand continental breakfast Black Duck restaurant . breakfast set bar offer wide variety carb -- toast , bagel , muffin , danish , croissant , cold cereal -- protein -- cold cut , cheese , hard boil egg . offer 7 - 11am always crowded . discover guest seem european , take advantage strong Euro August holiday . the restaurant open dinner nightly seem crowded time peek . menu seafood orient . room service one night . front desk take order waiter deliver tray , without usual room service amenity like salt , pepper , flower , water bread . least napkin food tasty . all , although & quot ; good value & quot ; hotel ' ve stay vibrant neighborhood ( Times Square , Upper West Side ) , would book Park South without hesitation get good rate . 
 Sep 7 2007 	 Excellent Stay 	 stay several New York hotel past year . recent stay past Labour Day weekend 4 night . South Park offer clean new modern room . room quest size bed ( comfortable ) , night stand side bed desk chair . fridge desk . closet build wall 3 drawer , hanger suite , pant etc . safe iron include room . bathroom amenity need . hotel offer nice upscale continental breakfast selection juice , toast , delicious pastry , cheese , cold meat , fresh fruit course coffee . service excellent . excellent stay would stay . 
 Aug 27 2007 	 nice .... Doll - Size 	 ' ve 3 night 25 day trip aroun US Mexico . the hotel clean , nice , locate right close underground ( n ° 6 - stop 28th ) , include breakfast .... room small , really small without real wardrobe ! ! ! ! big luggage able fit , two solution : walk luggage jump .... 's ! ! not believe hotel website : photo not correspond reality ( see 3 room ) ! ! ! ! would suggest one night stayng travel without big luggage . ANTONIO B . - COMO -ITALY 
 Aug 27 2007 	 depend room get 	 first trip , husband assign think regular room Park South ; mention give upgrade . room spacious New York standard well appoint , especially price . , next trip NYC , book room hotel . Imagine surprise check get room barely large queen - sized bed . honestly , space luggage next bed , right be would walk . bathroom nice , room put toiletry ( travel light ) . even NYC standard , tiny , tiny room . breakfast include room rate , nice european - style spread cold cut , pastry . Nicer free breakfast , sure . so , be assign one hotel 's large room , will comfortable . standard room , however , prepare verrrry cozy . consider price location , be still good value , perhaps nearly impressive first thought . 
 Aug 9 2007 	 thank thank 	 husband able take one night away 2 young kid . hope stay late enjoy city sleep . tell hotel sell give upgrade . excitement away kid overlook one reason need get away first place . late dinner get back hotel midnight sleep around 2 . unfortunately , dream sleep short live . 6 am , awaken bright sunlight come skylight right bed ... 4 hour sleep ... mention front desk check look forward sleep , say , accommodate we anyway . front desk staff professional room dirty ... know indeed upgrade . room dusty , cabinet fill junk , shoe , booze , etc . fridge mayo , use product . would never stay . 
 Aug 7 2007 	 Nice Clean Hotel 	 nice , moderately price ( New York ) hotel . room quite small absolutely closet space well decorate comfortable . bathroom nicely decorate . complimentary breakfast serve morning quite nice ; would call & quot ; upgrade continental & quot ; . stay weekend , sure reserve one hotel 's package detailed website ; couple next we check - in pay $ 40 less we total one dinner hotel restaurant include package ! ask switch package , get disappointing expect , & quot ; , package need reserve advance ... & quot ; 
 Aug 2 2007 	 good experience New York ! 	 usually stay New York one two night hotel well stay far . hotel centrally locate , everything within walking distance , nice restaurant situate nearby subway stop block . everything Park South great , room totally clean state art LCD TV , firm bed , luxury sheet duvet , excellent towel & amp ; toiletry , free ( wire ) high speed internet , morning newspaper ( NY Times USA today ) , marble bathroom , staff friendly competent continental breakfast good . can say enough good thing hotel . one minor thing sell quickly ( small property ) , would definitely stay anytime come New York . 
 Jul 29 2007 	 Cozy nice 	 stay three night last week . room small , border small , clean , well decorate quiet . bathroom amenity quite nice . bed among comfortable ever enjoy hotel . free wire internet access room long cable provide . free continental breakfast complete well - present . staff pleasant helpful . all : solid 3 * . would return . 
 Jul 27 2007 	 Nice South Midtown Hotel 	 stay 3 night w / e May 06 , 4 adult 1 rm . locate near NYU medical centre , Empire State Bldg , nice korean restaurant good sandwich shop next door . step away 28th St. subway station serve line 4,5,6 . room nice , clean , update sometime recently . Mattress fine . superior double double 2nd flr face 27th St. , quiet . lack adequate closet space -- hang thing place . excellent buffet breakfast include . free DVD rental library . would willing return well recommend . 
 Jul 18 2007 	 average hotel south midtown 	 stay Park South hotel New Years quite satisfied stay . place could find anything close price ( $ 200 ) meet need nicely . as approach hotel , come 28th Street . might obvious give name " Park South " . ' really Park Avenue . however , ' hard find . area around hotel ' impressive , least tourist . compare stay midtown , ' seem lot activity area . drugstore Mcdonalds corner . be right next subway station , make transport quick painless . check - in go smoothly get room two double bed . room seem fairly clean spacious . read complaint small room ' find case . nice place rest site see . bed comfortable adequate . complaint bathroom either . like say early , nice hotel really ' lot bad say . look budget option relatively well - locate ( since ' right next subway ) , would certainly think reasonable option . they serve good continental breakfast morning restaurant downstairs . good pastry lot fruit . really save breakfast try take advantage . anything like cheap ' donut & amp ; coffee ' breakfast might use place US . hot food like waffle sausage , however , sort thing hope for . overall , think good hotel okay area . price right , would recommend . we , work perfect NYE ! 
 Jul 18 2007 	 Quick 	 book reservation non - major website , check problem price honor . room small , neat extremely clean . toiletry towel abundant , bathroom fan work . complaint booking lead believe could get smoking room , arrive tell hotels area allow smoking . pay 200 one night plenty parking close , make great quick NYC stay . would definitely go Park South Hotel ! 
 Jul 17 2007 	 good value 	 hotel nice place stay weekend . stay one night comfortable . definitely stay . breakfast good serve atmosphere cozy charming . 
 Jul 12 2007 	 speak experience 	 pleasure stay Park South 20 time inthe past 4 year 's home home . helpful friendly staff , clean , bright room good value breakfast . area full great , cheap restaurant store corner open 24 hour full great snack , beer etc . black Duck food excellent round great hotel cost ( cheap NY price ) . admittedly room huge New York .. space premium want football pitch , youpay . anyway , NYC .. spend 20 hour day enjoy great city earth . person suggest subway 3 second walk away isn'tconvenient .. get cab ! 
 Jul 9 2007 	 Great Location firework 	 room quite small ( would describe & quot ; cozy & quot ; ! ) quite clean . front desk employee helpful direction / subway use ... etc . complimentary continental breakfast serve restaurant ' the Black Duck ' actually quite good ! book ' ratestogo ' pay $ 169 room city 4th July . definitely book next year ! 
 Jun 15 2007 	 good value Manhattan 	 review hotel state room small , find queen bed room fine two we , bed comfy , nice modern decor , immaculate bathroom plenty towel toiletry . quiet night , complimentary breakfast adequate start day - $ 239 + taxis book hotel . located e28th Lexington Ave make good base explore NY . metro station 2 minute hotel - 2 stop Grand central terminal , make connection Newark hotel easy use coach USA service run every 15 min take around 40 minute ( $ 25 return ) . Empire State 15 min walk Macys . 5 day , walk Manhattan - see way . hotel Rose Hill area seem safe night - average walk back 5th Avenue around 12:30am . one tip avoid Broadway late night 28th 36th street - 5th Ave feel lot friendly late . tempt stay Times Square remember noisey crowd . 
 Jun 9 2007 	 Excellent - go ! 	 head New York begin May short break week . never therefore know exactly expect , awful lot research try find right place stay . even though know time going spend sight seeing , still want stay somewhere spacious comfortable . read awful lot hotel horror story tiny room , noisy location , rodent infestation bad , opt Park South hotel account seem ideal . disappointed . the location perfect sight see major attraction within walking distance . be feel energetic , subway station 100 yard road cab easily hail Lexington Park Avenue . street traders street hotel not notice & quot ; street walker & quot ; another reviewer mention . area feel safe ( safe London respect ) also surprisingly clean . the hotel modern , clean comfortable . room 7th floor back although initially disappointed view Chrysler building - grateful peace quiet . New York noisy come back tranquility quiet ( nicely air - condition ) room day 's sightseeing welcome relief . room enormous queen sized bed , armchair still load room suitcase shopping bag . lack bit hang space wardrobe bizarrely tiny manage . we local newspaper deliver every morning nice touch also complimentary breakfast fantastic . rather usual dry croissant wrinked apple normally see , hotel lay full buffet include every type bagel could imagine ( watch onion one - good breakfast ! ) . good coffee too . the staff friendly unobtrusive ideal - nothing bad & quot ; face & quot ; service . need anything hardly see otherwise . eat hotel restaurant , Black Duck one evening pleasant - food lovely reasonably price atmosphere relaxed . apparently also organise Jazz Sunday Brunches , , appear bring forward hour Saturday night . catch tail end night want develop hearing difficulty , would gone club . turn ! think cover everything - would definitely go back next visit already recommend friend fly July . 
 Jun 7 2007 	 ok look elsewhere 	 stay Park South December 2005 go NYC attend conference work ( Javits Center ) . reason , hotel immediate area 300 buck ( government rate ) . hotel offer great deal ( pay cab ride Penn Station ) , onlythe good property . friend get queen - bed room TINY even New York standard . , trust , stay NYC least half - dozen time year business pleasure . closet enough room two shirt room small actually rub art wall climb bed . restroom offer barely enough room use facility close door ( leg room ) . continental breakfast include room rate ok , murder trying get cab . luckily , subway stop adjacent property , even not convenient not line need get midtown . want like Park South , probably bad stay ever Big Apple . 
 Jun 7 2007 	 Rude Non responsive staff 	 give tiny room figure New York . find colleague stay big , much nice room ten dollar . ask not give option girl front desk lie colleague say first time NY want upgrade ... say nothing could . complained manager not seem care . boutique hotel may seem hipper cooler least big name hotel treat much well respond complaint properly part . 
 Jun 4 2007 	 uneventful good NYC 	 wife book hotel corporate account . hotel small pleasant street , inside , lobby bar / restaurant make decent impression , little worn around edge . desk staff friendly helpful . cramp elevator room feel like right back Europe . small room ( different view online brochure ) not change impression . the main attraction ( visitor ) non - descript part Manhattan . quiet , surprising amount decent restaurant close . 10 minute walk Chrystler build Empire State building ( north ) fantastic Union Square ( south ) . hotel also 20 step away 28th Street subway station take Ground Zero 10 minute . for rate overwhelming peace quiet would stay . 's hub thing , maybe be welcome break day touring . also , check decent DVD library . 
 may 29 2007 	 Great Place Stay City 	 want place near daughter 's apartment take chance Park South -- $ 199 quikbook , arrive price $ 209 instantly adjust ask . room smallish comfortable , shower great , free breakfast excellent , nytime deliver door day ( except Sunday ) , get ice deliver room take awhile fridge keep freeze twice . room clean staff excellent -- lot little restaurant near ... easy access 6 subway ... plus lot cab ... Grand Central within block , Madison Park Shake Shack within couple block ... terrific stay -- go ! ! 
 may 28 2007 	 Great Place stay 	 partner stay Park South Hotel five night ( May 16 - 21 ) love . hotel everything want although read great review booking , still plesently surprised . room really small despite read bed huge . flat screen tv , power shower , alarm clock , complimentary newspaper , shampoo , conditioner , bath robe hair dryer ( could girl ask . breakfast simple nice alhough restaurant serve get crowd , even 7 am ! ! complaint housekeeping would knock bedroom door 8:30 -9:00am do not want disturb make sure put sign ! ! ! location hotel really great , subway step away . def stay return NYC . 
 May 28 2007 	 Fantastic ! 	 stay Park South Memorial Day weekend can not recommend enough . room great , bed comfortable , hotel staff pitch - perfect . be travel kid -- - want something approximate suite -- - may want inquire room number end 01 03 ( share alcove lock hallway ) . 
 may 23 2007 	 not let Streetwalkers Scare 	 stay excellent gem three night mid - May . town Subway Series visit friend , former New Yorker find hotel excellent jumping point activity . yes , prostitute outside . lest thought mistaken first night , show next . would serve deterrent recommendation , indeed already book another stay next month . for rate get discount travel site , $ 244 per night Thursday thru Saturday ( lot place go weekend , one not ) , find Park South good value , compare NYC hotel stay last year . first , plane not arrive JFK midnight , trouble room hold late arrival . check quickly around 1 a.m. find light dim lobby candle flicker side table . desk clerk say management like way night , turn light enough could see sign . queen - sized bed , true , room typicaly NYC - small , obligatory view build next door , not small ' ve encounter , could barely pass bed wall . room spotless , two telephone , tv - dvd combination , Sony Dream Machine clock radio , mini - fridge , safe , iron board & amp ; iron , toiletry ( shampoo , conditioner , lotion , shower gel & amp ; two size soap ) , hair dryer bathrobe . latter great touch . bathroom linen thick high quality . also quiet , although door room tend slam , get annoying . there small closet area three four drawer build - in . be staying day want hang lot stuff be go sufficient . helpful , though , also coatrack front door . room also desk second phone . in morning USA Today NY Times outside door . never eat continental breakfast , serve Black Duck restaurant lobby , stick head . seem decent selection fresh fruit , danish , bread , cereal , juice , coffee tea . stay second floor , hold darling alcove overlook lobby two chair lending library . also selection dvd available borrow front desk , along ever present huge bowl Hershey 's minature . I use business center , locate low lobby , convenient print boarding pass return flight . minor complaint would staff member escort let , believe open 24 hour . my first night back turndown service two chocolate pillow , reason happen next night . housekeeping bit spotty term resupplye towel keep amount upon check - in , call say have leave face cloth within five minute knock door additional one . the staff friendly helpful . check - out equally quick , although take bellhop find bag check , actually we come closet find they . overall , though , please quite happy find place . convenient 6 train corner Park Avenue , well 24 - hour Duane Reade ( drugstore ) . be also 24 - hour McDonald 's , inclined , nice bagel shop couple door , well bodega corner Lexington . ' m wish discover place long ago stay hotel city . can not wait go back . 
 Apr 26 2007 	 Spot ! 	 excellent location great value money . quiet decent size room ( 6th floor ) , large enough 2 comfy double bed , 2 girl , 3 suitcase daily increase pile shopping bag . view important be sleep . bathroom fine great power - shower . staff pleasant helpful . breakfast basic tasty job fuelling ' til lunch . location superb , right no.6 subway 28th making ridiculously easy go down - town . friend would definitely stay , without hesitation . 
 Apr 25 2007 	 love hotel 	 look place stay one night , hard time find something reasonable . hotel great , room totally clean , staff helpful friendly breakfast good . would stay anytime come New York . 
 Apr 20 2007 	 fantastic place stay 	 stay hotel one night love . bed HUGE incredibly comfortable . hotel free DVD rental service great way chill couple hour full sight seeing night town . bowl Hershey 's chocolate lobby make feel instantly welcome excellent curry house next door fantastic Penelope 's road Lexington brunch , brilliant location , within stone 's throw Chrylser Empire State . would recommend hotel family friend great place stay New York . art deco style feel staff warm friendly . enjoy ! 
