perfect 	 hotel Strip 10min . car away MGM build Strip . side highway 15 . quiet spot relax dazzle razzle crazy Las Vegas . free shuttle bring strip take back hotel time agree frinedly driver . suite grand : living room , sleep room , bathroom fully equip kitchen . even washing machine . the hotel large swimming pool whirl pool . stay September , less 10 person pool late afternoon . much preferred colossal hotel strip hundred breakfeast swimming pool . 
 great except Internet connection 	 stay business trip month ago , base upon great review TripAdvisor . trip , poolside music go 3:00 accidentally , take front desk 20 minute get turn . room pool view music wake I . the next morning tell staff get early , prepare meeting due middle - of - the - night pool noise , refunded room charge night . the suite amazing . like new apartment . bring wife kid 11/23 - 11/25 complaint internet speed room slow time day , wire wireless , 2 different laptop . beside , everything perfect . breakfast , staff , pool / jacuzzi , . new Las Vegas home . 
 Aug 6 2009 	 Great Place stay 	 unbelievably close strip without hassles strip . great place stay . room extremely clean every piece furniture comfortable . kid enjoy sleep pull sofa , parent great room . kitchen fully stock material need prepare meal . however complimentary breakfast include stay pass . fruit , cereal , make waffle sausage bacon even cheese omelette . place . know next time plan visit Las Vegas , make reservation Staybridge . top , staff staybridge extremely nice , helpful , knowledgable . even complimentary shuttle driver would take pick MGM ... definitely go back staybridge . 
 Aug 6 2009 	 great hotel . definately return . 	 love hotel , stay . highly reccomend hotel . hotel clean . staff friendly helpful . great hotel stay child . love fact kitchen , breakfast morning good fun kid . shuttle take we strip run day ; convenient . pool nice clean , crowded hotel pool visit ; big plus ! ! view room awesome ! vegas strip night amazing ! ! 
 Aug 5 2009 	 great hotel 	 choose hotel score well trip adviser not dissappointe - away strip oasis calm easily accessible . suite huge big comfortable bed , sit / dining room , fully equip kitchen washing machine drier . breakfast provide girl great time make waffle . large pool 2 whirlpool , staff friendly helpful , everything clean well maintain . free shuttle strip every hour brave enough walk freeway . also huge tv sitting room wide choice channel include Disney channel 
 Aug 5 2009 	 spacious suite everything . 	 suite everything include washer - dryer , flat screen tv living room bedroom , full stove microwave , great view skyline . helpful staff good business center top great stay . strip near casino , bad thing mean hotel quiet . take 15 minute get onto strip want night - life . 
 Jul 30 2009 	 nice stay Staybridge Suites Las Vegas 	 not gambler love go Vegas Entertainment show Food . naturally excellent hotel away strip . 's close airport , freeway around corner strip need access . fact , be close enough stay run ( exercise ) strip back . hotel nice . full kitchen , washer dryer comfortable king bed comfortable sofa bed . pool view think much well freeway view can not go wrong room hotel . get free wifi internet room , lobby pool area complimentary breakfast . lady prepare food greatest ! highly recommend place . 
 Jul 29 2009 	 good value money 	 price quality wise hotel difficult beat . big 2 room suite , comfortable king size bed comfortable queen sofa bed ( complaint daughter , contrary also enjoy big flat screen tv ) . well equip kitchen , nice balcony , big pool , shuttle strip ( 10 pm ) , copious breakfast ( Monday till Thursday ) complementary light evening meal . need ? forgot : friendly efficient personnel , easy reach ample parking space . 
 Jul 25 2009 	 good alternative Strip 	 main advantage room size location strip highway . car rental location well get around Vegas area . room almost big condo . 2 teenager enjoy living room queen sofabe flat screen tv . wireless internet great buffet breakfast step usual continental breakfast usually see . downside , many , ask linen make sofabe arrive ( midnight ) constantly ask towel washclothe housekeeping everyday ( room 4 people leave enough 2 ? ) overall though , good . 
 Jul 23 2009 	 Nice Hotel 	 stay Staybridge Suites one night June one night July way Montana . great hotel ! room large , clean , homely . room face pool quite . breakfast good plenty choice everyone . pool refreshing waterfall beautiful . would highly recommend hotel . 
 Jul 19 2009 	 luxurious gem bargain price . 	 gem middle desert ! € 63 per night ( midweek ) . stay two night easily good value hotel ' ve ever stay . hotel open since Sept ' 08 everything sparklig new . suite like self contain apartment fully equip kitchen stock good quality delph cutlery . even dishwasher free laundry facility downstairs . bed bed lien superb ( way much bed clothe 110 degree heat ) . balcony . Midweek hotel provide evening reception salad , taco , sausage etc available .. breakfast omelette , sausage , egg bacon etc well fruit yogurt . incredible service . perhaps rate good weekend can not much dearer . hotel provide free shuttle service strip well . two mile trip shuttle run 10.30pm . taxi come home later cost € 10 . miss shuttle one morning ( run every hour ) decide walk not look long walk . MISTAKE ! ........ meander around Manderlay hotel get strip incredible & quot ; hot hairdryer & quot ; type heat 10.00am ............ take age recommend . Vegas make suit pedestrian , footpath etc . this hotel great fact 's strip consider bonus . visit Caser 's Palace similar hotel ..... want stay place come lobby see endless row slot machine ? ? . Staybridge give break strip lot luxury throw ! 
 Jul 15 2009 	 good value Las Vegas close strip 	 full size kitchen room - good value Las Vegas amazing fitness room view overlook strip 
 Jul 15 2009 	 Staybridge suite Las Vegas value money ! 	 choose hotel great review read online disappointed . word describe clean ultra - modern hotel suite are- 2 flat screen tv , dining area , beautiful kitchen utensil pot , large refrigerator / freezer balcony . would definitely choose place plan stay strip . great gym , free wi - fi , free breakfast 1 - 2 mile strip . absolutely great value money . 
 Jul 14 2009 	 Excellent hotel 	 husband stay hotel two day trip Las Vegas ever go back , definitely stay hotel . hotel 5 min away Strip , bad thing . excellent reliable free shuttle service Strip . staff friendly helpful . hotel well furnish . probably clean hotel ever stay . complimentary breakfast good . room little kitchen may need , include mug , cutlery tea towel . even small bottle washing liquid . restaurant shop nearby hotel 's mini market well stock . 
 Jul 10 2009 	 great Find - a Condominium Masquerading Hotel 	 great place ! originally approach building look like hotel . walk lobby pleasantly surprised . walk room thrill . living room , bedroom bathroom enormous . the full kitchen extra convenience come fully supply dish silverware . not want hassle checking & quot ; strip casino hotel & quot ; , skip crowd , save money take shuttle strip . two HDTV 's boot $ 99 / night ... could ask . 
 Jul 7 2009 	 luxury great price ! 	 although stay begin reservation glitch , would totally recommend beautiful hotel bit strip within short shuttle ride . sweet woman front desk tell we go upstairs business center fix problem . even store luggage secure area upgrade we trouble . room really condo , even hotel room , quite spacious tastefully decorate . two flat screen tv , one living room one bedroom . lovely tile bathroom soak tub , double sink , high end ammenitie . kitchen fully equip want cook , lovely front desk clerk already tell we nearby restaurant good reasonably price . then terrific pool , spa exercise area . wow ! amazed not heavily use , glad could feel like private club . another norm perk full breakfast restaurant sized room attend friendly staff probably well many trip . note ofcourse property rate # 1 TripAdvisor completely agree ! 
 Jul 7 2009 	 Nice Stay 	 stay June 30th . desk staff friendly helpful . even though come 40 minute early usual check time , provide we nice room , room spacious , separate sleeping adult . kitchen beautiful brand new stainless steel appilance . hotel provide light dinner June 30th , bad . breakfast also good . 
 Jul 5 2009 	 new clean excellent hotel 	 stay last night Las Vegas fly , base Trip Advisor feedback -- excellent experience . large , modern , comfortable suite amenity , include full kitchen washer / dryer -- great rate . beautiful location ( next freeway ) , hotel well design , noisy offer convenient access airport . staff efficient accommodate . look safe , clean , convenient place rest , free shuttle MGM Grand , great option . 
 Jul 4 2009 	 Great Place stay 	 overall enjoy recent week long stay Staybridge Suites . location strip ... excellent want avoid traffic noisy , smoke fill casion . walk casino hotel , line check in / out extremely long ... not deal . front desk / management staff friendly professional . check time 3:00 p.m. ; however arrive around 12:00 able check . 1 BR suite really nice , flat screen tv , seperate tub shower , double sink tub area another sink shower / lavatory area . sectional sofa flat screen tv sit area along dinner table 4 . bed extremely comfortable flat screen wall BR . chose & quot ; strip view & quot ; oppose pool view . rental encounter shuttle bus problem mention review . problem -- stay week , first 3 day maid service wonderful . however , around mid - stay horrible . one day receive service wait hour towel . next day , bed make , tub clean , towel leave ( hand face towel ) . one day thought see maid take hand towel one rack , turn inside , place rack ( not sure not say anything ) . end stay , totally disgusted maid service . plan leave tip end stay ; however , tip receive BETTER job ! also , room workout facility call front desk several time complain guest drop weight ... annoying ! not stay 3rd floor workout facility ( 2nd floor ) . way , offer move we , want pack stuff move ? ? ? ? , hotel good choice $ $ $ ( around $ 100 night ) near strip . would definitely stay . 
 Jul 3 2009 	 can not wait next visit 	 ' m currently sit shaded balcony enjoy pool side view 5th floor drinking coffee ..... life good . it be say , place definitely good value $ stay Vegas . our trip start sour note ... initial flight cancel arrive day late . worried may lose first night fee purchase advance . Sandra front desk take care ... thank much . I could go room etc . , be say true . a notable experience though ..... -The shuttle unable pick we one night MGM ..... take cab instead & amp ; Staybridge reimburse fare.-showe late breakfast one morning , coffee go ... oh well . minute later gentleman show bring we 2 cup coffee & amp ; apologized.-We late depart flight .... normal check 11:00 ... late check available 3:00 . 's July 4th weekend , book solid tonight ... front desk able let we stay 1:00 pm . our stay enjoyable & amp ; relax ... book next February ... can not wait . one note ... need cab ? ... one seem know Staybridge . ask business card address front desk & amp ; give cab driver . see ... say ... & quot ; oh ya , place .... wonder go property ... 's hotel ? & quot ; BOOK staybridge .... ' LL LOVE . 
 Jul 1 2009 	 come away impressed 	 come town night originally plan ( travel space available ) , choose room ( $ 90 ) one night rather extra night ( $ 569 ) Mandalay Bay , street spending rest long weekend . experience Staybridge positive . check quick , desk clerk security guard friendly helpful . open door room impressed space amenity . everything clean new . decide take night , relax suite , cocktail small veranda move morning . bed comfortable sleep Saturday nearly miss breakfast . one problem egg time ( 9:20 ) . everything else adequate , spectacular ; bring meal back ate room since breakfast area quite full everything need kitchen . leave , decide check pool . people , rather fight crowd mb , check room ask stay use pool , fine . spend day relax sun ( shade ) pad lounge retire ( free ) cabana quick nap . there add amenity cabana ( tv , shower , personalized service ) like pool , right day . stay mid - afternoon proceeded rest weekend Mandalay Bay . our stay one night since two we , reservation accurate rental car transportation , not encounter problem guest experience . find good value would hesitate stay . 
 Jun 30 2009 	 great ! ? 	 upon review seem kinks staybridge armor . check - in breeze friendly front desk staff . give 3 key quickly head pool face suite . amenity appear work order clean . bedtime approach ( semi - business trip ) discover pull sofa linen . ask informed check ? service ? ? phone call make front desk around 10ish say would right away linen . 30 minute pass linen , junior get tired would like rest sofa sleeper . go front desk demand linen refuse leave appear . forget call housekeeping way , yadayadayada . wait front desk another 10 minute finally arrive . put junior good seem . past 11 grant Friday night , rock music ( great tune ) wa sblare pool numeorus guest enjoy late night dip . experience hotel Vegas around dusk close , . 11:15 another call front desk ask turn loud music ask guest leave pool area . 30 minute pass still hear Smoke Water party level . finally miss enough marche doewn front desk . engage conversation ( front desk security guard ) forget early phone call . say something like ; & quot ; not realize music still on . & quot ; make long story short ; room nice ( ask linen check ) , exercise room well equip , breakfast fine ( bacon ! ) , location convenient south strip , service lack non existent . often Las Vegas hotel staff really go way ensure guest satisfied definetly case Staybridge Suites . 
 Jun 29 2009 	 Great Hoped 	 great find . decide go Vegas spur moment book Staybridge base TripAdvisor # 1 rating . tell love TripAdvisor ? room ready arrive 3 pm , great little suite 4th floor view Las Vegas Strip . room spotless well design nice high ceiling , unobstructe balcony view , efficient kitchenette table setting , cookware , etc . , spacious bathroom . the hotel quarter mile Las Vegas Blvd ( & quot ; Strip & quot ; ) East i-15 Russell Ave interchange . walk feasible , little long hot day . would recommend take hourly hotel shuttle go major hotel Strip . car , drive one free parking garage mega - hotel / casino make base little walk jaunt strip , drive back hotel . staybridge accessible , certainly much quieter Strip Hotels . staff , front desk housekeeping breakfast room , gracious , helpful make we feel like special guest . plus , 's smoking hotel . great complimentary breakfast morning well furnish lounge area , real scramble egg , bacon / sausage make - your - own waffle . hotel excellent value . treat well service would lucky get hotel 3 time price . we will definitely return . 
 Jun 29 2009 	 really want agree other ! 	 read review TA , change two - night Las Vegas stay . 2 hotel . 1 TA rate Staybridge Suites . , ' m tad sorry . review TA pretty accurate -- hotel great , staff part , friendly professional . great stay . want go wrong ? come list:1 . upon enter room , notice nice dark brown sectional sofa one cusion another sofa ( bright green white ) . could overlook , bit tacky ! 2 . three people room sleeper sofa separate bedroom . linen sleeper sofa . call desk . opinion , know three people need extra linen.3 . one roll toilet paper room -- three people thing again.4 . second day , air conditioner cool efficiently . Maintenance try fix , say room would shut . opt say room rather move , however , another item add list.5 . Maid clean room , say would bring fresh towel later . bring back , damp . use poor dry ? 6 . first morning egg breakfast bar . several people wait get scramble eggs.7 . advertise & quot ; Sundowners & quot ; beer wine , & quot ; limited bar & quot ; website , however , liquor license yet neither.8 . apparently governor shower handle . could not take hot shower want . , good , bit lukewarm.9 . , straw break camel 's back : tell check - in shuttle service MGM Grand tell run hour , need , call , would pick we right away . last night Vegas , hurried catch shuttle hour . arrive 10 minute early , shuttle . another couple also wait . call hotel tell & quot ; way , will send he . & quot ; Thanked sit wait . 's 10 minute trip . Sat wait . shuttle . call desk . & quot ; 's way . soon . & quot ; half hour later , shuttle show . Driver say sorry , go airport . , hour , one tell we shuttle actually , five we stand around wait . could drink , bit touring , whatever . instead , wait pick - up point supposedly go & quot ; minute . & quot ; good way run railroad ( shuttle ) ! close , say folk get together , wonderful place stay Vegas , say truly enjoy stay time ! 
 Jun 23 2009 	 Horrible Management .. confirm reservation honour 	 confirm email reservation ( 1 bedroom suite ) .. call around 6:30 pm evening arrival day inform late checkin want crib room , way crib could ready time reach . tell come late issue could request crib checkin.we reach hotel midnight day give room 4th floor . I along entire family luggage go 4th floor room way furthest one elevator . once open room realise room book / confirmed ... reseve 1bedroom suite give studio . when go back speak front desk tell room available . ( thing say alone not know ) suprise inspite confirmation call evening check ok give room ? top check tell room available . walk way room along luggage find getting ask for . I annoy becuase incident . I go search room midnight end spoil vacation . finally check room another hotel 4 morning . this delay trickle plan next day thus mess whole vacation . just let know elderly parent toddler . I drag middle night go search another family orient hotel . 
 Jun 20 2009 	 please . 	 £ 60 get huge place nice new finish . also pool ace nice quiet . only thing would highlight shuttle bus need take strip hour take 10 mins- end 23:00 - taxi fare strip $ 13 roughly . this hotel away stip games / casinoe nearby - great quiet get away full rush Vegas- would go back like peace buzz ! oh hotel right next motorway- although not hear thing new door / windows- nice away strip 29 love loud partying although love peace . 
 Jun 17 2009 	 Great Place .. everything review say ! 	 choose place base great review . we happy . husband please big screen t.v . comfortable bed . breakfast yummy lot 's choice . not want walk huge smoke fill casino get room half hour later place stay . 
 Jun 16 2009 	 lovely 	 hotel everything describe post review . would however change couple thing shower . place set soap shampoo , even upper ledge . shower 4 ' x 2 ' shower head handle adjust face side 2 ' . 
 Jun 14 2009 	 can not beat one want stay strip . 	 hotel brand new . great pool , free breakfast , free shuttle MGM Grand . room huge gorgeous . room living room , kitchen , dining table , bedroom king bed large bathroom . Stayed Caesar 's Palace two night stay . staybridge room lot nice ( less $ 100 / night ) . look great place strip yet really close , can not beat place . the pool large plenty seating available . still can not believe place around $ 100 / night ! 
 Jun 8 2009 	 Excellent room facility . LOVED ! 	 stay 3 night , MGM Grand 2 night . must admit prefer right strip , Staybridge Suites fantastic . great room , pool nice quiet . love free WiFi computer access ( printing ) Gym beautiful ! favorite thing free hot cold drink dining room never thirsty . comfortable stay . staff helpful friendly . rate go book non - cancellable rate . one short email explain tell low rate would honoured ask else could help ! question low rate , honour , fuss make . even give free upgrade choice pool view ( quieter ) strip view ( noisy road , bad ) Strip view nice . wish hotel easy . hotel # 1 good reason . 
 Jun 7 2009 	 great value service 	 research hotel tripadvisor choose hotel due rave review . good news enjoy stay well . check early 3 pm issue . matter handle quickly ease . location well suit away casino busyness . close I15 freeway well .. 
 Jun 7 2009 	 Fabulous Find ! 	 stay Staybridge Suites four night family vacation base review site , disappointed . time check time leave , treat well staff encounter . friendly helpful . check need crib roll away bed . bring we promptly , extra pillow blanket not ask , nice touch . room probably quiet room ' ve ever stay ; in - hotel noise could hear even hotel full capacity . nice view strip room . room washer dryer come handy 2 month old baby . thing could improve breakfast area enough indoor seating . wonderful stay affordable price . will stay ! 
 Jun 3 2009 	 Fantastic Value Quality 	 , wife 16 month old stay 4 night visit Vegas . place near new well appoint full size kitchen , washer , dryer etc . swim pool BBQ area excellent gym . the hotel spotlessly clean throughout . staff friendly helpful . regular shuttle bus go Strip drop MGM Grand ( 2 mile drive ) . find hotel child friendly relaxing place stay close hustle Strip . fantastic value money think pay $ 90 night . highly recommend Staybridge Suites Las Vegas . 
 Jun 3 2009 	 Super nice staff big room ! top value Las Vegas . 	 Staybridge Suites Las Vegas less 10 minute away airport locate next 15 Freeway . sometimes hear plane fly , noisy enough keep sleep ( sensitive sleeper ) . pick airport due local law , drop back free . nearby similar - look Suites motel . location convenient cost $ 15 taxi get Las Vegas Strip . car though , not think big issue . free shuttle provide every hour , hour MGM Grand Las Vegas Hotel & amp ; Casino . front desk staff super nice really go way helpful ! would say one good hotel staff ever experience . really want commend service . highlight hotel . would describe friendly , attentive detail , kind , busy ! single staff member juggle multiple phone call , someone trying buy something store next door , try help . especially like black lady though not remember name . give big thumb ! lobby quite nice . four - story building believe intend apartment condo - type thing . pool ( okay ) couple jacuzzi outside . parking front believe free . intend apartment , big ! stay King - size bed bedroom suite bedroom King - size bed , large bathroom , living room , kitchen , balcony . wonderful washer dryer include . buy detergent $ 2 Bridgemart basically space next front desk food , beverage , item run front desk . I would describe furnishing upscale middle - class . room nice , would call luxury . really like fact full apartment kitchen think would great place stay week , be Las Vegas . issue toilet cover would slide side bit sit bathroom toiletry top - quality . even find used soap sink . also , first day cleaning staff come late ( around 4 pm ? ) clean . miss second day , . room service . order food fine front desk staff give we delivery menus ( american , italian , Thai , etc . ) food deliver direct room . Thai excellent ! surprised portion huge , price cheap ( $ 10 ) , dish order tasty ( almost authentic Thai spicy , ask ) . read Tripadvisor breakfast hotel really good , experience wake late morning . breakfast take place large room tv screen CNBC . room not look special , appear unlimited soda coffee available . guest basically middle - class Americans . one thug - like type low - hang jean somewhat trashy - look girlfriend . not mind much seem alright people . anyhow , really enjoy stay . comfortable staff excellent . summary : staff Staybridge Suites really great black lady awesome ! love . price charge , top value even Las Vegas notice two separate incident guest ask long - term frequent guest rate seem much like place . people apparently come often Las Vegas , assume know comparative value . agree assessment would definitely stay , especially long stay city . 
 May 20 2009 	 wow good hotel EVER 	 ' ve stay friend hotel experience simply amazing . the hotel locate side freeway 15 amazing view Las Vegas . literally 3 minute Strip . we arrive afternnon receptionist amazingly nice helpfull , really seem happy see we llok we . ' ve got upgrade suite room simply amazing . kitchen appliance , washing machine dryer ( convenient travel already almost 2 week ) , spacious living room , two bathroom ( one bathtub stand shower ) , bed really confortable . we two plasma screen , one bedroom living room , also dine room fully equip , also terrace nice sitting area overlook Las Vegas skyline . would say would love flat detail . Breakfast also nice inclusive rate , night stay option fantastic . nice quiet business centre fantastic swimming pool . I go back hotel need stay Vegas doubt . 
 may 19 2009 	 can not like ? 	 husband stay Staybridge Suites , Dean Martin Drive , Las Vegas 5 night . may 8 - 12 , 2009 . pick good place stay Trip Advisor . disappoint . build timeshare complex , last minute Staybridge decide run hotel . open since August 2008 still smell new . apartment huge , clean , comfortable , delightfully furnished , excellent full kitchen dishwasher , washer drier , full size fridge / freezer , cooker granite worktop . apartment balcony furnisde table chair . free breakfast well anywhere USA , real fruit juice ( horrid sweet stuff ) , fresh fruit salad , alternate day scramble egg bacon / omlette burger , course waffle , bread , cake , really good coffee , etc . , etc . serve smile clear away efficient staff . manager take job seriously run really tight ship . request desk room fulfil within ten minute check , follow phone call check acceptable . swim pool 20 metre long two hot tub . half hourly free shuttle strip take also pick airport . side close airport , say applie hotel end strip include Mandalay Bay , Hotel , Luxor ( practically runway ) , MGM , New York , New York Excalibur . windows soundproof . beat price Staybridge website , seem like Hilton tie matter try could find anywhere cheap , expensive , pay $ 112 large suite worth every cent . also nice Casino hotel mingle saddo gambler , hen stag party , etc . 
 may 16 2009 	 great hotel excelent service 	 room well appoint home away home . service excelent staff friendly . need transport get strip , welcome peace quite day te strip . happily recommend hotel anyone . 
 May 15 2009 	 new clean quiet friendly . 	 stay Staybridge Suites Las Vegas 5/10/09 . staff , include Casandra shuttle bus driver , go way accommodate we . breakfast excellent plentiful . yes , would stay . 
 May 15 2009 	 good hotel near Strip money 	 think good hotel value near Strip . room extremely large , everything modern exceptionally clean , tvs awesome , free wi - fi . staff extremely friendly helpful . check in / out breeze . hotel Strip complimentary shuttle run MGM every hour . driver even drop we Monte Carlo one night Lance Burton show , problem . strip let us enjoy peace quiet want proximity make big hassle get Strip back . the complimentary breakfast buffet also really great . business center also great available time . pool spa area beautiful lot room everyone two large spa . I can not say enough room . suite room amenity could imagine . one comfortable stay ever hotel . definitely hotel wife stay future LV trip . 
 May 12 2009 	 gem 	 really gem LA , one must visit property 
 May 9 2009 	 Gem Las Vegas ! ! 	 book Staybridge Suites 3 night stay Las Vegas friend jackpot property ! upon arrival , spacious 2 story lobby . staff front desk extremely friendly always check see pass lobby stay . room luxurious suite . full kitchen , stack washer dryer in - room , pull sofa bed , flat screen tv living area bedroom , balcony . yes , balcony ! ! ! ! view overlook south strip Mandalay Bay way new City Center property . as property 1/2 mile strip , provide complimentary shuttle to / from MGM Grand airport departure . property also easy walk distance Mandalay Bay . Staybridge also provide complimentary full american breakfast every morning Tuesday , Wednesday , & amp ; Thursday evening also provide light dinner usually range taco , BBQ , soup / salad . pool area large plenty room spread . 2 hot tub , children pool waterfall , large adult size pool . free room wi - fi complimentary use business center 3 computer happen leave home . checkout quick easy . every one staff run stay check see . great property Las Vegas ! ! ! ! definitely return Staybridge Suites next time Las Vegas ! 
 Apr 30 2009 	 pleasant experience 	 stay Staybridge base TripAdvisor review pretty much everything read confirm . staff great - friendly professional . room spotless well appoint . ask room balcony - not one . free breakfast fine , free internet access definitely plus . great location - probably need rental car taxi - doubt would want walk highway Mandaya Bay . pool 's clean , will watch hear plane take every 90 second . nice work room good selection machine weight . one oddity - newspaper - free purchase . go nearby hotel get paper . would stay - price , location , include breakfast internet access - great buy . 
 Apr 29 2009 	 outstanding property 	 stay two night . room ammenitie top notch . clean , well maintain unique . great pool area , breakfast include free parking . not think well place stay Las Vegas look stay strip . very affordable suite touch class . 
 Apr 20 2009 	 wow awesome place 	 can not beat money , large room , everything modern clean.check nice quick , staff meet incrediblefitness center top notch , free weight , bike treadmill etcBreakfast every day awesome . stay every trip vegasI really can not say enuf good thing place 
 Apr 20 2009 	 happy find hotel 	 two family , six person group attend horse show Thomas Mack Center . like normal hotel anywhere else , strip inconvenience like choose valet parking long walk , noisy common area smoke everywhere . hotel quiet , clean , completely non - smoking ( indoor ) parking surround hotel . room spacious nice new looking . problem keep pull - out sofa open whole stay ; not need space . issue : 1 . upon arrival , morning staff assign we room , request adjoining room ( close ) possible . 2 . shower pressure low one room water could get hot ( warm , hot like ) . 3 . mention another review , run food free dinner least hour end . 4 . use Amex reserve room , could not take payment ! say work accept Amex could not time . , happy pay reasonable rate get away noise air pollution strip , yet close enough still feel like Vegas . 
 Apr 19 2009 	 Great Las Vegas alternative 	 head Vegas family not want stay huge resort Strip , want kitchen convenience overall great place hang , choose hotel . clean , family friendly , great room , great staff . location actually good well , fast access i-15 Dean Martin Drive , great parallel road often congest freeway . travel couple Celiacs family , skip breakfast offering , enjoy evening snack , Tacos bbq.only good thing , coffee . though Wolfgang Puck fellow country man mine great food , let say coffee bad ... really bad . read soon : www.theceliachusband.blogspot.com 
 Apr 18 2009 	 word : fabulous 	 choose Staybridge Suites base review site , well previous experience chain . husband trade show nearby Mandalay Bay Convention Center ; mother enjoy site celebrate birthday . complain aspect stay . loved location ( car handy , mother arrive day early utlilized hotel 's shuttle get back forth strip , find convenient ) . room overlook strip , room overlook pool would nice . room 5 * . 1br suite 2 flat screen tv , full kitchen ( even washer / dryer ) , separate BR comfortable King bed , sofa bed living area , spacious bathroom . breakfast room convenient ( bring breakfast item room top item purchase local store - artisan bread well coffee ) . complaint . service always smile . facility ultra clean super quiet . free internet . beef ( minor one ) room adjoin door another suite , late night source noise neighbor return . already recommend hotel several friend family member . definitely stay . probably good stay 10 trip Vegas . 
 Apr 7 2009 	 beautiful beautiful beautiful hotel ... whole experience ! 	 hotel 's wow factor chart ! ! ! start check . hotel lobby well light , lovely decor front desk staff top notch . hotel business notice thing usually critical . Cassandra check lovely room fantastic view strip . kind , quick informative . stay Staybridge 8 day experience daily breakfast extra charge also enjoy Tuesday thru Thursday light dinner serve extra charge . pool spa area awesome . even fire pit light evening ( weather permit ) . attention detail property great . workout facility way beyond suite property . love free local call , free wireless , free food , free shuttle service strip airport . snack / gift shop open 24 hour everyday staff always friendly . Tanya Andrea housekeep great ! everyone dine area always friendly . shuttle driver nice Dan engineering go beyond help three different occassion . one time even help load luggage since happen walking see . remember name insist let help . think one real complaint stay except short . definetly back tell friend property well . 
 Mar 14 2009 	 beautiful place poor management 	 new clean building , suite full kitchen , washer/ dryer , patio . business center fitness facility available 24 hour . free breakfast everyday ( always food , 4 5 day ) .Most staff friendly , expect front desk . not dress perfessionally , casual , hard believe actually wok . night day compare beautiful facility . ( will not happen hotel strip pay $ 115 / night ) . ( avoid Casandra , not like deal customer , get upset ask question ) great place travel family / kids Vegas . worth money plan cook alot , otherwise find package deal hotel strip ( MGM , Paris , NewYork NewYork , get well value $ $ $ ) 
 Mar 7 2009 	 Classy hotel 	 see hotel i-15 decide check since near strip . nice hotel ! 's part holiday inn chain 's typical staybridge . be cut staybridge ' ve stay . large room , airy lobby . next time ' m vegas , will stay . 
 Mar 1 2009 	 please not tell ... 	 great hotel ! return 4 - night stay still talk place . the staff exceptional , Sandra check we , immediately upgrade room kind enough provide direction local pharmacy replace makeup bag leave behind home Jose provide terrific hot breakfast morning ( selection could sample certainly well & quot ; breakfast include & quot ; eat elsewhere ) . room everything everyone previously mention , add one caveat : soooooo quiet ! never hear noise associate hotel : toilet flush , heavy foot , door slam , voice . room overlook wonderfully appoint pool area sit outside deck glass wine , hear kid play water . not worry crowded share bathroom 's room everyone some . everything upgrade quality floor , linen appliance . even note shame not spend time room , enjoy surrounding . there restaurant within walking distance , find several off - strip place eat without crowd . McMullen 's Irish Pub provide we superb irish comfort food great live music dancing . want eat , kitchen one would make housewife happy work in . staybridge across i-15 Mandalay Bay . could walk , will enough walk strip casino have wise drive cab over . even though officially vacation , business center , free internet wi - fi greatly appreciate spouse check office . we ' ve already discuss next trip Vegas several place will not return , bet Staybridge Suites number one list must 's anxious return . 
 Feb 23 2009 	 absolutely upscale suite room ! 	 spend one night newly open Staybridge suite Las Vegas decide use Holiday Inn Priorty club point . previously stay Staybridge suite find spacious great value , Staybridge really surpass expectation . automatically upgrade suite balcony , hotel full , even , thoughtful front desk upgrade we . one bedroom suite , flat screen tv , access balcony , comfortable king size bed . bathroom split , one section good size tub double vanity sink . part another sink vanity , glass enclose shower commode . living room large sectional sofa sleeper , another ftat screen tv , full size dining room table another access door balcony . full kitchen granite countertop also washer dryer . clean well keep . hot cooked breakfast great . hotel north side Rt . 15 , need car / taxi get strip . hotel close Mandalay Bay . 
 Feb 21 2009 	 Stylish Comfort ! 	 first stay ever Staybridge Suites hotel must say impressed . think Hilton 's Homewood Suites superb must admit Stabrdige hotel like look upcoming stay future . I book hotel Priority Club one Pointbreaks hotel super low 5,000 Priority Club point ! impressive lobby . new , modern design . room magnificent , large balcony ( great view ) furniture plasma tv awesome . room even washer / dryer unit ! huge kitchen , huge table super nice couch . bed awesome two room bath ( tug shower , two sink ) perfect . the location superb want come hotel Strip ... could walk highly recommend car . the health center small side machine weight new tv available . breakfast large room variety excellent . quality well Holiday Inn Express breakfast far . approach quality Embassy Suites breakfast . get go evening reception , also complimentary . highly recommend hotel ! 
