great 	 good location step euston station . fall pretty much endless .. starter staff rude unfriendly , heating work room absolutely freezing , tv work even though 15minute policy get problem solve time stay free .. even 3days several complaint tv never fix hey guess not get stay free . clean staff must say friendly helpful walk room willy nilly even knock .. catch towel twice . stay Ibis UK must say ibis worst ever . 
 Perfect location 	 book online get rate £ 63 night double room , room . less 50 metre Euston . room adequate short stay spotlessly clean . staff helpful . difficult ot fault , hot night air con sure summer . 
 excellent value money london 	 stay total 5 night break 3 set stay . since 5 us-2 adult 3 kid , take 2 double room . book everything online take fully prepaid option rate quite cheap day . room clean , comfortable , nice shower get pay . Centraly locate - near Euston Euston St Pancras station brlliant get around London . lot nice eatery around hotel breakfast good value money especially prepay . kid breakfast free good . interconnect room somehow trouble allocate we despite repeat request . finally inadvertently put set one night persuade open connect door . room modern other . last night think problem plumbing / sewage one room water would not go . front desk littls shortstaffe always long queue buildup checkin checkout even enquiry . but would consider major get room thing fine hotel promise do - give good value comfortable accommodation Central London book online get good rate - I even get couple night 60 + pound per night per room consider steal London ! 
 Oct 27 2008 	 Alright overnight 	 ibis convenient Euston King 's Cross station . stay times business important convenient station , twice account try economise . , nevertheless , usually one expensive Ibis hotel London . be right beside Euston , aware possibility noise train . appearance , 's & quot ; bog - standard & quot ; ibis , recently refurbise reception two wing bedroom . old wing , close front hte hotel , room bath ; new wing shower - only room , locate bit back ( still subject noise bin , seem get empty small hour morning staff not realise people sleep hotel ) . reception ok , experience , often long queue check in / out . ' ve leave wait reception staff obviously important thing serve customer sometimes . bedroom clean simple small . would start get bit try two one room be stay 3 4 night , would really recommend hotel short stay . breakfast offering revamp last year go way downhill . advice would get something eat Euston station one many local cafe . 
 Oct 20 2008 	 utterly basic 	 booked hotel make extensive search London hotel . want clean , modern place , close tube station . hotel centre city horrendously expensive . choose Ibis Euston next tube station , situate North centre . definitely cheap 3 - star hotel available . hotel fine business traveller budget , want overnight - people zero expectation . stay 8 night . - room absolutely , absolutely basic . i.e bed , tv , loo , bath / shower , washbasin , rail hang clothe , shelf , wireless keyboard . - shampoo , hairdryer . 2 small , thin towel , small thin floor towel . 1 teeny little soap . 2 plastic water glass . soap dispenser sort work . bed sheet , duvet , 2 pillow . usual hotel guide , . nothing else . even picture wall . complimentary newspaper coffee / tea - maker room , report websites.- reviewer comment wireless connection impossibly slow . true . - room small . could stand beside foot bed . shuffle bathroom one time . - nothing see . room face backyard brick wall . - term use Ibis website describe room & quot ; aircooled & quot ; . mean . room & quot ; airconditioned & quot ; . fiddle little knob wall make zero difference temperature . window open little bit prop open roll - up magazine . - could feel vibration train pull tube time . stop hour late night.- hotel load truck directly room - start 06:00 morrnings.- reviewer comment breakfast inedible . true . try . include thing may egg ... possibly hash brown ... flapjack ? thereafter , eat breakfast Subway bar station across road third price , italian bistro next . pretty good coffee good service place . good side ( almost give 3 star ) : - room clean work perfectly.- bathroom pristine every day , even though bath 's fascia loose shower curtain bit mouldy . - plenty loo paper every day . - bed make fresh every day . - plentry hot water good water pressure shower.- hotel whole seem efficient good repair . - location hotel really extremely convenient cut travel cost considerably . right next station small nepalese restaurant ( & quot ; Great Nepalese Restaurant & quot ; ) - unimpressive outside , actually great . personally though room worth cost ( 80 pound per room . ) book hotel close Heathrow considerably less , delight large , lovely room range bathroom goody , bed die even complimentary hot chocolate , bottled water , juice magazine . really good food hotel restaurant . check little picture Ibis website room ... look carefully . bare small photo , bare small reality . 
 Sep 29 2008 	 Disapointed 	 Hotel convient king Cross Euston station . reception area clean bright . bedroom small basic hairdryer . Stayed last year happy go back standard not appear . breakfast £ 6.95 disappointing . 3 cook item opinion poor contintenal style option . booking . 
 Sep 28 2008 	 Loved Ibis 	 Ibis Euston SquareSept 14thwe stay Ibis Euston Square one night September satisfied stay . 2 minute walk Euston station 15 King 's Cross . price 85 £ per night , average Saturday night type hotel . impressed bathroom , step high actual room . shower stunning , large double glass door power shower . room comfortable , clean practical . we ' ve problem internet though . wi - fi hotel , thus offer internet cable not even reach bed . sit desk ( know suppose anyway , long day , bed comfy plastic chair ) . little disappointed , consider charge 10 £ . otherwise , flatscreen tv work perfectly fine . otherwise , breakfast fine . meat , egg , bread , cereal fruit available . maybe worth 7.50 £ per person , will not get cheap anywhere else buffet . bar nice . would certainly book stay area future , especially since get Accor Member card since satisfied Ibis ' ve book at . the thing Ibis ( general , hotel ) long never - end check - in . 's part deal book non - expensive hotel , guess . nothing complain anyway . 
 Sep 20 2008 	 recommend 	 Stayed hotel Thursday Saturday . arrive 11.00 still able check room . room smallish spotlessly clean adequate . we problem bath - plug break ! someone come along within ten minute - could not solve 50 minute elapse . ibis policy whereby can not solve problem within 15 minute , room them- ask ( cheekily ) room free night - sure enough agree that . breakfast good value £ 6.95Fire alarm go night maybe 30 second - nuisance well alarm work not ! value leave luggage facility . 
 Sep 19 2008 	 ok night two 	 fact hotel not terrible must surely credit management staff . it little well travel lodge , long way behind Premier Inn standardsThe entrance , bar restaurant upgrade recently impressive , room leave bit desire . british put lousy product service . the carpet badly stain grubby , whole accomodation badl need major overhaul along line entrance bar . that say , stay short arrive Euston , ok , not expect room match initial impression . 
 Sep 3 2008 	 would recommend budget traveller 	 ì stay 3 night sister . location could not better we . hotel across small road side entrance Euston train station . Whe arrive first tell might able stay twin room ( request ) straight away guard ! eventually staff reception organise family room we . room decent size clean ( apart kettle manky - not use anyway ! ) bathroom & quot ; pod - like & quot ; . small everything need -the shower great ! food hotel ok . breakfast one morning ( buffet style hot cold option - much left go 10:30 ) also dinner hotel another night ( buffet style salad , joint meat , fish , pasta , veg selection dessert ) . lot restaurant sandwich bar ( include subway ) train station . staff hotel helpful also need get email fax we Saturday . service room great . tired day shopping town one night order film room ( unlimited amount film 24 hour 10 pound ) . hardly 5 star definitely one would recommend anyone travel London budget . one thing would say clean staff little eager get clean room . one morning awoken 8:45am ( good night Soho ! ) 
 Aug 31 2008 	 great base 	 stay 3 night February . hotel near tube Station mean hear noise ( slight shuddering ) soon get use seem settle ! hotel basic clean perfectly form tea / coffee faciltie , clean towel every day etc ( corridor look bit like prison block though not put ! ) staff friendly enough . overall great location decent price London ! would stay great base . 
 Jul 25 2008 	 great overnight stay 	 stay two seperate night travel Eurostar . hotel ideally place Euston station short walk St Pancras . perfectly fine overnight stay . room basic clean . reception staff bit indifferent , one two pleasant helpful one ! fact chap duty 0600am rather cheerful early hour ! 4th visit hotel , value money closeness Euston station can not really beat . 
 Jul 16 2008 	 say tin ! 	 stay one nite whilst Jonathan Ross show . location excellent , 2 minute Euston Station , provide easy access king Cross St Pancras , train Luton Airport . the hotel fine one nite budget stopover , £ 95 room . reception modern staff fine . room small however , bathroom bite dingy , 2 towel . hairdryer room either ... get reception . overall , experience fine ... decent little budget hotel , well locate underground .. 
 Jul 13 2008 	 good location Euston ...... 's ! ok budget stay 	 hotel ok want budget stay .... prepared . constantly long queue reception staff generally useless . number problem book , result clale numerous time second evening ( mobile ) say credit card reject need come backl sort ...... mess thought would forget pay ( despite fact room still full stuff book clearly 2 night ) .The room ok . small - central London . basic clean . not expect many towel pillow anything like need extra must go collect reception . however need base Euston can not get close hotel . there also internet use lobby small charge really useful . overall probably '' bother stayign , unless bargain price . 
 Jul 10 2008 	 terrible customer service 	 start good point - hotel extremely well locate ( 2 minute walk Euston station ) compare extortionate London hotel price be relatively cheap . outside hotel look smart lobby modern clean . the bad point - first foremost customer service throughout hotel leave lot desire . arrival large queue reception - queue 30 minute check - in . think unlucky hit busy period , three day stay hotel always queue desk ( one guest even bring book read kill time queue ! ) .Our room clean , nothing exceptional - quite small , expect . however air conditioning vent tape ( thankfully typical english summer weekend not require anyway ) shower gel dispenser not work . report reception tell would fix day - happen . report fault reception next day engineer send fix shower , rather dispenser . eventually third time ask dispenser fix . a chargeable laundry service provide , although surprised find charge include deliver laundry room - instead collect reception , mean queue . collect laundry 11 pm queue die down . our room not clean one three day spend hotel , require call reception - amazed something basic cleaning room change towel could forget . overall one bad hotel experience recent year , wish book newly - build Travelodge Premier inn equally close Euston . location great experience standard service terrible . 
 Jul 2 2008 	 Excellent Value Money ! ! 	 first visit London boyfriend book 3 night Ibis Euston website ( 3 night deal ) .We early morning flight Belfast arrive 10 be able check time , great news . the room small adequate short stay . spotlessly clean , comfortable bed , powerful shower , clean towel daily basis , flat screen tv complimentary tea coffee . fault hair dryer room manage borrow one reception duration stay . the hotel literally across road tube station stop away centre London . great hotel like we be plan spend time sightseeing really need somewhere put head . would definitely consider stay . 
 Jun 25 2008 	 Sound Choice ! 	 ' ve stay Ibis hotel Paris past excellent money , pleased say experience London branch consistent find Ibis 's native France . Euston property ( rename Euston St Pancras ) literally metre away Euston railway station 5 minute walk St Pancras International . excellent therefore travel North England , Scotland Eurostar main rail terminal literally doorstep . Euston serve Northern Victoria Lines Underground West End reachable Tube less 15 minute . the lobby area bright cheerful find staff friendly willing help . confusingly hotel divide two section , small access single lift seem take age arrive always overcrowded - section stay . however , room clean spacious wet - room type bathroom ( shower ) . would prefer bath , suppose contintiental influence Ibis chain . food can not comment always eat Soho - 's usually much well value hotel 's restaurant - plus big cluster indian restaurant Euston area ( Drummond Street ; literally yards hotel ) good . drink quite reasonably price Central London hotel - surprise ! although quaint little pub dot around area . gripe - well air conditioner room difficult control , window main road , although double glaze noise public address system Euston Station leak room . annoying try watch tv whilst hear Virgin Pendolino service Glasgow Central boarding Platform 5 ...... Overall Travel Inn use like go upmarket ( opinion overprice ) Premier Inn . £ 85 night per room good value Central London . thorougly recommend . 
 Jun 14 2008 	 good location- good hotel 	 Ibis Euston comfortable hotel , centrally locate heart London . 's much come expect Ibis hotel anywhere 's comforting . breakfast good . conference facility good . choice wireless broadband ( Orange ) LAN . cost £ 9.99 include movie 24 hour . reception staff friendliest - think train . 
 Jun 2 2008 	 great place get head 	 Hubby stay Ibis Euston one night come London Concert friend . three room book - one one night two two night . we room 6201 second floor . room look inner court yard nice quiet . want somewhere could shower , change go . really easy get . straight tube hotel behind station . check quick efficient . room basic clean need - bed , tv shower ! bed comfortable , room clean , bathroom clean nice big shower pod . showergel pump system wall shower bar soap . not need anything else take toiletry . one towel per person cut back wash environmental reason fine , want another towel , ask reception . breakfast hotel cereal , pastry , fruit salad , yoghurt , sausage bacon turnover . nothing ordinary . would opt express checkout quiet que morning . come back day shopping showered friend room otherside hotel stayie two night . old room conventional bathroom , pod . , simple clean . lounge area nice bar seem busy . parking hotel . pick car North London graphic place charge £ 15.00 24hours underground parking secure . ideal ! exactly tin frill - clean tidy place get head . 
 may 28 2008 	 great experience 	 friend recommend Ibis ' m glad . 's stone throw Euston Station ' m pleased say could not fault . reception staff efficient polite , nice big single room bathroom spotless . several function mean lie - in couple warning not disturb cleaning team - even not leave room late morning / early afternoon , still clean . service breakfast also excellent good range food staff really superb sometimes cope massive influx people occasional difficult customer calmly professionally . good .. would certainly go . 
 may 26 2008 	 ok price 	 stay 3 night post - cruise late April - 1st time London . location excellent ... especially transportation Euston Stattion St. Pancras bus terminal next door . British Museum walk distance . lobby area clean bright . think food offering expensive look skip - several nice pub nearby ( London Pub , Royal George & amp ; Euston Flyer ) plus fast food Euston Station . check - in efficient hampered bit language problem . front desk staff seem east - european limited english skill . room tiny american standard come cruise ship seem large enough compare cabin . problem cleanliness . bathroom like one big modular pre - fab unit one step . Furnishings & quot ; Ikea & quot ; . bed comfortable enough single mattress wood platform . tv cool ( LCD alarm clock feature ) 9.95 pound internet & amp ; unlimited movie package good since need contact work via email . choice ot tv station limit . real problem temperature control room . arrive warm day London room hot . a / c unit would cool . contact front desk eventually send someone ( India ? ) try insist set blow heat understand want cooler . eventually option desk fan open window .... except room back door kitchen cook hang smoke . fortunately next two day cooler outside . see long checkout line every day around 8 - 9am check 6:30am 3 people ahead we . for 75 91 pound London ( depend day week ) good could put rough spot . 's way seem seriously expensive London . 
 may 26 2008 	 hard beat value money 	 recognise hotel describe Insanity - im Seattle although stay last week . find hotel provide excellent value money , bedroom spotlessly clean , good size , comfortable bed , adequate storage space , complimentary tea coffee up - to - date tv . firmly close double glaze window turning - on individually control air conditioning almost silent , shut street station noise . compact bathroom sparkle clean , shower efficient shortage hot water . Booking make on - line advance room rate , payable arrival , 95 GB Pounds . booking could cancel 24 hour arrival , without penalty . doubt bargain available capital city , especially give room accommodate two person comfortably . unexpectedly , due Belgian Railways strike , stay hotel five night later , without prior reservation . occasion & quot ; walk - in & quot ; rate 135 GB Pounds , opinion , still good value . as , , provide bathroom , quite wrong say shampoo soap toilet paper towel . small tablet soap provide use wash basin wall - mount container hair / body shampoo provide shower cubicle . yes , case hand towel provide . room 2 bath towel , prominently display notice tell guest environmental purpose additional towel request time stay . I would like conclude , may , provide information Insanity - im Seattle , tell we his / her review go upstairs breakfast shower . happen read review , please advise United Kingdom practise ( british spelling ) shower breakfast . feel sure , event make return visit , fellow guest whichever hotel choose stay , appreciate much follow example . 
 may 25 2008 	 staff uncaring 	 receive chance run london marathon equally thrill two year would see sister live England . cut long story short never happen due shortcoming staff write complain hotel not even bother reply ! even ask see manager apparently busy . my advice not go 
 May 14 2008 	 good ohter IBIS hotel world 	 several IBIS hotel one good other use stay . clean functional room attach bathroom TV.I stay 3 night room # 225 . breakfast good . as write , surprised . hotel similar IBIS hotel stay before . helpful staff reception . I book 1 month advance via hotel website pay wife £ 223.95 ( € 286 , - ) breakfast include 3 night . price expensive city like London one three expensive city world far hotel booking concern ( Tokyo Moscow expensive ) .Hotel locate 50 Euston Underground Station 150 Euston Square Underground Station . excellent location traveller arrive Saint Pancras Eurostar Station . room quite clean . should go hotel ? absolutely ! 
 Apr 13 2008 	 terrible 	 hotel train wreck . not know could adequately put word exactly avoidable experience , will make list incident order occurrence step , step out.1 ) rate 110 pound night , include internet supposedly pay front.2 ) internet room ( wireless ) break arrival due problem , though engineer ' work ' . eventually get fix . small side note , complimentary shampoo , soap , ... anything outside toilet paper towels.3 ) train Euston station audible second floor , stay . fantastic.4 ) breakfast reflect powder - like egg , fellow guest experience robbery attempt . thief knock purse drop wallet try grab wallet pick . thief catch yell another guest , staff , guest chase staff basically nothing . hasten add hero guest actually announce everyone earshot hotel actually ' notorious ' kind thing.5 ) go upstairs breakfast change shower etc , ... ' m joke ... fire alarm go bathroom . wife dutifully go room , noticed floor 's fire door swung shut , go stair , outside building . notice no - one state alarm outside building walk lobby ask front desk happen . surprised hear alarm , tell we sometimes happen hair dryer . right . furthermore , barely kind apology anything obviously unsettle incident.6 ) return hotel late evening , unfortunately miss local pub ' food serve hour , stick food Ibis ' la table ' restaurant . wait 20 minute , rudely pass queue staff seat . eventually get seat , apart nearly inedible , salty , putrid salmon serve , dinner go OK.7 ) concern public transport airport due London marathon next day , ask hotel offer shuttle service Heathrow . get flat ' no ' idea option get airport . sound hospitable ? 8 ) checkout , Ibis staff try charge we ' include ' internet break half first day . protest , act standard operating procedure not charge we . ' m sure try charge everyone . room dry , no - one try break . , much would say recommend place shack good roof country side . stay . many hotel London shock hotel continue operate . 
 Apr 5 2008 	 never 	 property great location next Euston Station . unfortunately , positive thing say property . lobby rather deceive clean , bright , modern . hallway room date unclean . room alright . size fine sleep area reasonably modern bathroom equip two towel quite thin stained . amenity provide save small bar hand soap . harass hotel employee upon two occasion return hotel . question whether guest times rude . another hotel employee enter home without wait we respond brief knock . furthermore , trouble bill upon checkout spend several day upon return States work resolve . stay another ibis property . 
 Apr 3 2008 	 functional decent value 	 Ibis Euston functional solid rip - off . room basic , clean location next Euston handy , particularly domestic traveller . London hotel rarely fail disappoint : often over - price poor quality compare major city . not usually go chain hotel , Ibis Euston safe bet . 
 Mar 26 2008 	 good experience 	 boyfriend spend weekend hotel London , good experience . room clean , toilet ok ( even without hairdryer ! be well bring one , be always able find many room ) , also tv . good location , front Euston Station . last day leave luggage daytime . 
 Feb 29 2008 	 comfy bed 	 really comfy bed great night sleep . close Euston St pancra ver convenient . efficient check long queue check 50 plus people , lead leave key counter pay advance meeting get . breakfast average good price hotel London bed breakfast rate can not complain really . 
 Feb 29 2008 	 ideal location 	 stay whenever ' m London business ( long 's fully book ) .this time train Manchester come Platform 12 take three minute , foot , train hotel reception -- great ! hotel room similar Ibis . room recently refurbish major change layout decor , except new tv , , unlike UK hotel , channel French , spanish German . price go since Eurostar come St Pancras 's still good value money . 
 Feb 24 2008 	 would not go 	 stay one night . 's convienient place , ....... no - one tell we check hammer drill corridor , room useless 5 pm ; tray half eat food leave outside door still next morning ; whole place unbearably hot - nice like sleep tropic ........ not - 's way control temperature room without leave window open - not evening . somewhere else we next time . 
 Feb 7 2008 	 good basic hotel 	 stay January two night mid - week business . pleasant experience . the hotel less 50 yard side entrance Euston Station . reception quick pleasant . the room large clean . look onto station bit noise morning even window open acceptable . two good night ' sleep . huge fan Ibis bed . comfortableibis breakfast improve since last stay . use continental small selection cook item . I not try evening meal . woud within yard London 's good indian Restaurants - leave hotel turn right first right Drummond Street several , mostly vegetarian . 100 yard along right Chutneys . may look much food stunning . overall good business / tourist hotel . bright clean well locate 
 Jan 17 2008 	 poor hotel 	 stay new year 2007 . hotel directly across Euston railway station bit close get room front , hear train PA system early morning loud . location good tourist right next tube station tube 5 min central London . we arrive 3 pm still struggle get room book although arguement room suddenly become free . room basic extra . bar reception area nice disabled toilet open due upgrading work much good bar full drink queue long . feel hotel expensive get would go back . 
 Jan 15 2008 	 Basic Bliss 	 ' basic , clean attractive room adequate , quiet great mattress . always big queue reception . witness kerfuffle arrival serious complaining – staff remain calm polite . location fantastic arrive Euston . two minute ' stumble hotel , next morning 2 minute back Euston purchase 3 day tube ticket , zip one great place another . got good 3 night room rate website – Sept stay think £ 57 pn . internet caf tiny grocer 10 min away ( Tottenham Court Rd ? ) , also near Tesco Express open late stock breakfast croissant nibble – great ! back get similar rate . 
 Jan 1 2008 	 Great Location 	 location hotel wonderful- literally across street Euston station . great part London well base explore city . room small - ish unusual London facility clean functional . warn ! although hotel allegedly wireless internet complimentary easily accessible . need Orange business account thing get tough . front house staff helpful enough , although somewhat hamper case limited ability communicate English . 
 Dec 4 2007 	 can not go wrong Ibis Euston ! 	 review hotel August base positive experience , come back another stay . hotel central , spotless , good value efficiently run . arrival departure everything scratch . friendly receptionist ( Shah ) helpful concierge look luggage storage efficiently manage gaggle guest arrive together leave baggage . relaxing , spacious reception / bar / restaurant area internet access . quiet room adequate facility . flat screen tv , tea / coffee , ample towel clean comfortable bed . noise free despite face onto street . fantastic rate ( £ 152 three night ) . choice rail link within 200 metre . simply ideal every way . stay London 's 4 star hotel course plusher rate hotel unbeatable . well do , ibis staff . back . 
 Nov 30 2007 	 Got stick smoking room . 	 Booked hotel Hotels.ca . get end smoking room . fine first night although CLIMATE CONTROL air conditioning . ask fan fine . the next night room next us chain smoker room fill second hand smoke . complain room . make due fan , open window . helped open connect door smoking room hallway shut keep smoke one area ( ROOM ) . open problem somewhat solve . LOCATIONnext Euston station great . TUBE take anywhere everywhere . 
 Nov 27 2007 	 basic small room shabby 	 room tiny , stuffy hotel general apart lobby tatty . room overlook Euston station , view not great , could hear announcement window open . try get baby seat breakfast , not entire hotel . wife not feel particularly safe neighbourhood , hotel . overprice , get much well roughly price bit research . would recommend definitely stay . 
 Nov 15 2007 	 Superb hotel 	 stay 2 night Ibis Euston arrive late Friday night , however rang hotel day tell late arrival receptionist remember call ! staff friendly check easy quick - numerous people check despite late . room average size exceptionally clean . great flat screen tv tea coffee make facility . good size bathroom - spotless enough clean towel , bed really comfy nice warm , however room keep certain temperature not get warm room really comfortable . location excellent get around London , tube bus link doorstep . get nice friendly bar restaurant , although eat restaurant pretty busy food look ok . bar really nice well stocked . overall great hotel planning spend day sightseeing want somewhere clean comfortable go back . would recommend hotel anyone would definately stay . 
 Nov 9 2007 	 impress 	 Stayed Ibis Euston 0ctober 26th 3 night . go concert Sunday night . booked website get special deal 3 night stay.£162 weekend . we really impress hotel location , friendliness staff , cleanliness room .For sightseeing trip hotel situate close bus tube station . we super time would hesitation recommend Ibis would definitely stay . 
 Nov 8 2007 	 Convenient Location Ann Australia 	 first visit London book first four night stay Ibis website leave Australia . on arrival problem check , staff polite helpful . pay 95 pound per night . the room small side quite adequate mine daughter need . preference request twin room weende double not problem . bathroom also small side , however quite adequate . bedroom bathroom clean . the negative comment make regard food - eat restaurant first night order buffet - not great deal variety look like sit quite . due experience not breakfast meal hotel . the hotel short walk tube station convenient stops centre London . on day check happy we leave bag luggage hold room not cart bag around London day . I would certainly stay - shop around may able get room bit cheap . would stay long , however hotel book fairly quickly not quick enough book day . consider cost place London quite good value money . 
 Oct 25 2007 	 good central location good VFM 	 Central London well know pricey hotel . if want clean room , relatively ' basic ' facility work- accept desk staff struggle English , convenient location could bad Ibis hotel - french chain inherit french quirk . incidentally doubt London hotel staff Lithuania , Poland eastern european country . good English work fashion prepared fact although say & quot ; Yes & quot ; & quot ; Thank & quot ; , not always understand every single word nuance sentence say themdinner hotel buffet style reasonably price - hint get wine/ beverage adjacent bar take table wait forever waitress . their beer selection bar good reasonably price . the Cardington Street , Euston location literally minute walk mainline underground station familiar London bus system frequent bus Euston Road three minute walk away . and information date - stay two week ago . pricing GBP80/90 recall ( thus less half might expect pay one big name ) get 10 % Accor hotel card . downside ? nothing give kind shock . room big ( nearly small room Paris ) . neither excuse hotel good free WIfI access well range tv channel include UK favorite Sky News . during stay elevator ' new ' section hotel -room 6000 upwards- work properly . call button floor 1 break least 4 night despite tell desk three time . ok 1st floor ( remember UK 1st floor one ground floor ) would want schlep bag three flight . Breakfast -the buffet good price reasonably around GBP8 - often overrun sheer number body stay there . it first stay property , although use Ibis Heathrow many time . I use . recommend . good value money expensive capital city . 
 Oct 22 2007 	 bad choice 	 even though IBIS hotel corridor feel like hospitalor old people 's home pleased stay . room bathroom spotless bed comfortableAt £ 72 night per room pretty inexpensive London price - central could actually walk Totenham Court Road etc though underground literally across road . so sell point ? great location , good rate acceptable sleep bse short trip . 
 Oct 15 2007 	 Good Value Money 	 Food : arrive late go far hotel supper , eat hotel . dinner buffet vary great ( bad either ) . however , lamb roast day portion watch closely carver . busy big look , service fairly prompt . breakfast typical hot british fare , bread cold cut . not enough table handle morning surge , people spill bar table . one wait long . bacon salty point child not want any . room : basic , clean . flat screen tv nice . website indicate & quot ; air - cool & quot ; room , heating capability . room rather stuffy open window help , security feature window break , keep window closed night . ask upper floor room , give we song dance floor first floor one available . room face large back alley come life 6:00am bang bin . lot bin truck also . maybe warm - up area bin man . Loosen bin - bang heading work . area : convenient rail metro . brutish Museum short walk away – theatre district bit . veggie indian restaurant area , much . good sized small grocery block away handy open late . staff : notice review Trip Advisor complementary staff . see people would say , find staff busy , always polite . however , shortness guest would reduce level civility . like place life , find treat someone well , treat well also . not problem . , good value money great location connect rail / metro . would probably stay . 
 Oct 7 2007 	 basic ideal 	 hotel much expect . room clean , hotel basic , look like decent resturant ( use ) bar , else need . location spot get London 's sight , via underground Euston Station . travel Durham - Kingscross find hotel problem even though dark . 10 minute walk Kingscross be . price ok , ' m one pay top hate scrffy hotel , neither pay £ 152 two night son , ai not bad consider location quality hotel / room , would definately stay . long room clean , size adequate price right complaint , afterall be spend time hotel ' ve get wonderful place see thing . 
 Sep 25 2007 	 Nice hotel need sort service 	 book hotel month ago via hotel website . choose 3 night deal offer make book notice option specify type room require . call straight make booking request twin room assure allocate . also call day arrival hotel ensure twin getting tell allocate . the ComplaintWe arrive hotel around 11 am Friday , book confirmation say check 12 left case leave luggage room . pay stay time tell come back later get room key . man serve we would say , & quot ; later & quot ; . go wander , come back around 1.40pm tell room available we yet . receptionist tell we waiting room clean know ready say would sit hotel bar ready . sit bar 2.30pm one come give we key walk reception tell wait even long . point give 2 free drink voucher sit bar . try redeem voucher man bar pretty rude we talk another man another language laugh direction . 20 min receptionist come give we room key . go room rest freshen afterwards complain manager this . the first thing annoy tell could check 12 find not case . plan day around able check certain time not able messed day . 4 day London birthday weekend sit around hotel bar afternoon know would get check not exactly plan . the second thing annoy one seem know could check , keep say & quot ; later & quot ; give exact time , someone say & quot ; check 3 pm & quot ; would give something definite go could make new plan around that . the third thing annoy bar staff rude we . reception staff also never apologise inconvenience . the fourth thing annoy complained manager initially try argue say hotel staff do nothing wrong book room time day might get room . also not really seem try fully understand say keep say have day since 7 am would give we room really nothing anything . also say twin room request delay room Ibis policy provide & quot ; room & quot ; traveller specify specific type room wait become available . point ever mention , try check alternative room offer matter look ibis website , can not see anything . know ask twin room tell one allocate would room 12.I suggest review check policy cease tell people check certain time hotel go unable provide . find really unprofessional people make plan around kind thing . however , make we , manager give we free dinner bottle wine restaurant , 2 free drink pass also late check Monday . also nice we afterwards ask stay give we advice travel London . restaurant staff also nice go way make sure look after . the RoomThe room nice , clean . twin bed , kettle tea coffee , flat screen tv , wardrobe frame shelf , chair , mirror socket connect laptop internet . bathroom clean bath shower 2 towel soap provide . the complaint room air conditioning freezing . bring reception tell temperature control centrally one else complain nothing would do . thing twin bed push right next layout room would not allow push apart . ok we might little intimate some . other Areas HotelThe hotel look nice , lobby clean modern looking , food restaurant excellent restaurant staff lovely . bar area nice even staff bit rude . next elevator telephone 3 computer available internet access £ 1 20 min handy . there leave luggage room seem fairly secure , door lock give ticket suitcase . the LocationExcellent , directly around corner Euston Station Underground . costcutter Sainsburys supermarket nearby . lot indian restaurant area spy vegetarian cafe look good around corner . overall impressioni think good hotel , much nice other London . problem check , rude bar staff freeze air conditioning would say excellent base London . thing put idea stay ibis maybe one off . 
 Sep 25 2007 	 smell like garlic 	 use Trip Advisor whenever travel admit first time write review . choose Ibis price location . even though still $ 200 / night lot cheap $ 300 $ 400 pay property London . still lot money pay basic room . positive : 1 . Location Euston Station Kings Cross . take train could convenient . subway basically one line anywhere want go2 . Clean Bathroom Sheets3 . Good Bar stay open 1am way past local bar . beer perfect temperature also4 . Lots Indian Restaurants choose from5 . good BreakfastNegatives:1 . hot room noisy outside . make difficult sleep . 2 . stay restaurant unless like endless smell garlic ....... warning ! 3 . want luxury , stay . room functional really nice . 
 Aug 24 2007 	 Excellent Hotel 	 stay Ibis Euston 3 night could not fault . got brilliant rate £ 54 per night weekend website . check early problem check leave bag hotel baggage room since flight later evening . hotel situate quite , safe area near top Tottenham Court Rd . directly across Euston Station ( noise train might add ) . partner get 3 day underground pass ( could use bus also ) £ 16 well worth ! literally 5 min place hotel door step use tube . ( get card , get early day 3 day card include day buy 72 hour minute buy ! ) . hotel modern look room exactly need , bed , flat - screen tv , waredrobe bathroom ( basic modern ) . definitely stay travel back London ! 
 Aug 15 2007 	 will back 	 book online weekend stay able take advantage £ 54 per room per night rate , seem pretty decent . we travel overnight train Aberdeen go straight hotel arrival , allow leave bag , though officially check - in noon . be literally less 2 minute hotel , less use side door station . the room fine , clean comfy bed , big table - type thing window dump stuff ( ) . less spacious Travelodge family room ' ve stay , good enough crash pad . we not get breakfast hotel , easy enough nip station many food shop . also , find Crown & amp ; Anchor two minute Drummond Street prove reasonably price food & amp ; drink later day , although also quite indian restaurant along there . we decide walk around town get bearing ( future reference ) , cos hotel bit main centre . go Tottenham Court Road take Oxford St 15 - 20 min , be roughly walk Camden along Regent 's Park . we allow leave bag check ( though carrier bag ) relief since not get sleeper later night . this first trip London actually stay day , be already consider go back . location may bit way , depend want go visit . 's always tube . recommend 
