wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Jun 6 2009 	 good choice London Bridge 	 2 minute walk London Bridge station , London Bridge Hotel pleasant small hotel . room pleasant comfy bed , nice linen , plasma tvs free internet access . bathroom small side perfectly functional nice bath product . staff friendly helpful . there plenty eat option area . hotel small bar feel little like drink recption area - really problem many bar vicinity . breakfast hotel good standard nice ambience . I would hesitation stay London Bridge Hotel . 
 Jun 6 2009 	 Great Hotel 	 really like hotel . staff polite , friendly helpful . room modern , well furnish spacious . bed huge comfortable - top mark . room also clean . breakfast table excellent choice food fresh good quality . downside visit Georgetown restaurant attach hotel . meal disappointing . quality presentation food awful . write good menu not live expectation . however complain 6 % knock bill . 
 Jun 6 2009 	 impressed 	 hotel excellent . room well furnish clean . bed king size even though standard room . really comfortable light sleeper , sleep well - room surprisingly quiet , even though overlook road . provision iron ironing board wardrobe bonus , ( matter well pack - clothe always end creased ) . husband love free wi - fi size hd television . breakfast tasty serve hot cold buffet . not dine hotel evening . staff helpful intrusive . location great . around corner London Bridge station mean major attraction easily accessible - within walking distance . enjoy stay would not hesitate recommend anyone . 
 Jun 6 2009 	 nice Enough . would stay 	 Modern hotel south river . location good meant see part London not usually see tend stay Bloomsbury / Soho area . lovely bar restaurant nearby St Katharine Docks well worth visit lovely meal . room clean modern , , little small . not bother husband adequate amount time spend room . breakfast proberbly one good buffet breakfast ' ve London hotel . overall , would return London Bridge hotel . 
 Jun 5 2009 	 good hotel problem 	 stay hotel many time , expect relaxed comfortable stay normally get . however , hotel management glare problem subject outcome . company own hotel also own bar / club next door . many hotel room fact bar / club . Saturday night stay hotel , bar/ club ' grant late licence private function ' . turn noisy disco / party / rave deafen music go 2 . needless say , sleep impossible . room ( First Floor ) directly bar / club . late night reception appear helpful claim ' private function ' nothing result nothing could do . discover hotel club part company next morning . clearly management hotel problem . seek make revenue raucous event last 2 , completely incompatible run hotel people want peace quiet undoubtedly lose money people stay away . next night ( Sunday ) everything would expect otherwise well run hotel . shame money - making next door appear take precedence offer good service hotel customer . think stay , would recommend make sure ' private function ' schedule premise stay 
 Jun 3 2009 	 Ok standard slip 	 stay hotel business many time , compel comment appear pattern develop well . yes , wonderful location , standard hotel slip , much last stay choose stay elsewhere . start , stay numerous time , really go whole , please fill form routine ? ! set system remember loyal customer ? concierge desk staff could disintereste , help offer upon arrival , service generally lack . take numerous call get towel basic one forget , like shaver etc . room furnishing get shabby , room small stay bed soft , really leave lot desire . old , need replacement . would strongly recommend utilise room service , beyond low hotel stanard hotel , go walk Thames , direction borough market ( eg Roast restaurant , Garrisons pub , etc ) . avoid hotel 's restaurant next door . 
 May 31 2009 	 wow - fantastic hotel wonderful room great price 	 book Weekend Deluxe Package one ( Friday ) night . check upgrade executive suite . photo 's hotel 's website room justice . world . huge huge bed , huge deep bath tub , comfy sofa , dining table 6 nice touch like ipod docking station , dress gown slipper . hide away huge huge wardrobe iron ironing board , safe sideboard lobby ( forgot mention lobby ) complimentary bottled water x2 plate full fresh fruit . package include bottle wine box handmade choc room really good quality 2 course dinner glass bubbly . food really good breakfast ( include room price ) fantastic . wait staff excellent . hotel quiet even though room look London Bridge Tube station . staff great , everything spotless really high quality . 12 noon check ensure make luxury stay . go back hotel without doubt . believe price pay get . even peek standard room impress quality price . know could get good quality reasonable price central London hotel . 
 May 31 2009 	 Excellent London base 	 stay 9 night hotel , good experience . staff friendly helpful . room quiet , modern , comfortable spacious , faciltie would want . free Wi - Fi great . buffet breakfast include room price enjoyable . another plus proximity hotel London Bridge tube station , easy access London . highly recommend . 
 May 30 2009 	 Best Service London 	 stay 4 different premium hotel London say staff friendly , helpful concierge particularly knowledgeable helpful . whether need restaurant reservation , advice road work might hamper plan , Underground direction walkng direction , right top thing . one concierge even walk we half - way restaurant route mall bit confusing . problem Internet connection , pay , incredibly slow . pay twice time , get work do . 
 May 30 2009 	 fabulous hotel great servicegreat location 	 moment enter hotel make feel welcome . room immaculate spotlessly clean . breakfast good well present . we dine Londinium restaurant food good . location 2 minute walk London Bridge Station . staff extremely friendly polite . would certainly stay future . 
 May 30 2009 	 great hotel great staff great location 	 Returned London Bridge Hotel second time five night stay . hotel everything great break . staff fantastic - helpful . room bright modern - although small side . breakfast include rate . serve buffet style good selection hot cold item , also make order omlette , poach egg etc . there many restaurant round evening meal . particularly enjoy eat real Greek Black Blue . go Borough Market Saturday experience miss foodie type . hotel ideally locate London Bridge mainline train station also Underground - short walk away . I would definately recommend hotel plan stay future visit London . 
 May 29 2009 	 great location London 	 greet friendly staff always ready give tip travel place visit . room stylish love fruit chocolate ! hotel great spot explore London - near bus , train London Underground also stone 's throw Thames . want shop , sightsee amble along take coffee pastry glass wine , 's ideal . 
 may 27 2009 	 good hotel - central location 	 partner book hotel surprise birthday . drive hotel ( live 30 mile away ) . parking hotel car park street away . park overnight hotel arrange set price £ 20 good London . drawback ( especially someone mobility problem ) take 10 - 15 minute walk back hotel . hotel fine . helpful staff easy check . hotel light , bright well - decorate . partner book standard room give upgrade superior room check - nice surprise ! room ( 519 ) small well furnish plasma tv , comfy bed , complimentary bathrobe slipper fruit basket besides usual trouser press , minibar etc . initially bit concern next seem lively bar obviously good sound insulation inside room , noise all . breakfast include deal good selection continental English breakfast item available well could cook order . hotel centrally locate next London Bridge station therefore ideal visit Central London . take advantage closeness Borough Market couple hundred yard away go great restaurant ( Roast ) evening visit Borough Market ( not miss ! ) follow morning . area lively many restaurant bar great buzzy atmosphere . in short great stay would thoroughly recommend hotel location . 
 May 25 2009 	 Nice Hotel good service 	 hotel directly behind London Bridge stationthis great location also prove little noisy room . we check early . first room stay small nicely furnish huge extremly comfortable bed huge philip Lcd tv . however return evening notice noise nearby station . seem previous reviewer mention odd numbered room face train track hear train screech . we ask move room side hotel . really nice let we see two room decide one want , nice , room superior room . there noise room even number room . one thing notice superior room little big small bed ( prob Queen bed compare king normal room ) also tv big standard room , still nice lcd tv . the room also free wifi ( ask reception passcode ) , excellent . overall hotel nicely decorate feel quite homely.we breakfast include , breakfast good , excellent suffice . much choice continential breakfast could also british breakfast too . I would def recommend hotel especialy value money , good deal hotel , room nice make sure get even number room . 
 May 23 2009 	 clean hotel 	 excellent stay , pay 140 hotel direct include full english breakfast . ask move room 1hr get ther could hear aircon fan side building . room 124 . move we problem well room . underground isa 5min walk gettin tube , would deffently recommend , free wifi well , newspaper , ther free acsse fitness 1st gym.they clean room everyday 
 May 20 2009 	 Excellent hotel spotlessly clean friendly polite staff great breakfast 	 arrive early afternoon stylish , uncluttered lobby welcome friendly concierge show reception desk . checking , go room , well appoint spotlessly clean . however , quite noisy fan outside window wife light sleeper , pop reception see another room available . friendly receptionist find we room immediately apologise inconvenience . new room quiet clean . breakfast buffet type large range juice , cereal cook food . & quot ; full English & quot ; taste great , hot toast tea serve proper teapot - really set day ! head day , find delightful Borough Market short stroll away , wonderful variety fresh produce organic product . next London Bridge Underground , give access London minute . return late evening , find lobby area quiet relaxing , perfect quiet drink unwind long day . before check , need carry online check - in print boarding card . receptionist direct concierge , boarding card hand minute later . all - in - all lovely place stay agree would return . 's nice stay hotel staff polite helpful , room clean food high quality . 
 May 20 2009 	 FANTASTIC HOTEL 	 Fantastic hotel , great location get 02 arena jubilee line right hotel 4 stop away . use hotel go 02 arena go see Blue Man Group . lovely clean hotel . room lovely staff helpful polite . Breakfast delicious fantastic selection fill we day . would definatly use hotel . 
 may 19 2009 	 great hotel - would stay ! ! 	 first trip London use Trip Advisor help select hotel . pleased w / this hotel stay . Orbitz special book issue RSVP . hotel staff responsive via email prior trip general question planning question . be right around corner London Bridge tube station major sight / area . get several good pub restaurant within easy 5 - 10 min walk hotel . Website accurate far room description , amenity , photo , etc . english breakfast also really good warm food item pastry ( egg , potato , bean , sausage , etc ) . feel room bathroom large standard european hotel nice modern decor . 4th floor not overlook main street room quiet comfortable . staff courteous well . overall , would definitely recommend hotel other - especially amenity get ! ! ! nice breakfast , bottled water , coffee / tea , wifi include rate 's something extra : - ) 
 May 18 2009 	 great bargain excellent experience 	 travel london throughout scotland , hotel good overall experience breakfeast , cleanliness , overall helpfulness , bargain price far.i end leave laptop charger contact scotland via e mail find mail back united states , question ask , fee.only downfall concierge advise little time tube airport fail notify we need 45 minute prior cut ability even check . catch next flight edinburgh , lose couple hours.great hotel . 
 May 17 2009 	 superb ! 	 enjoy fantastic two night stay hotel . room immaculate , nice toiletry refresh daily basis . staff hotel extremely helpful . stay bed breakfast basis . breakfast choice fabulous something suit pallette . would definitely recommend hotel anyone wish stay London . 
 may 16 2009 	 great location- good hotel facilities- small room 	 London Bridge area really undergo renaissance make great location- transport excellent underground station . lots quality casual dining base around Borough market . hotel efficient room well equip . free access Fitness centre , free wireless internet- small room everything need . 
 may 14 2009 	 Modern Contemporary Good Location 	 stay London Bridge Hotel 's ask anything . room modern , fresh spotlessly clean . choose eat Londonium restaurant food superb . positioned round corner London Bridge Tube Train Station ideal get around city . locate approximately 200 metre London Bridge many attraction area offer . great value money perfect stay Business simply enjoy fantastic Capital City . 
 may 14 2009 	 excellent hotel definitely return ! ! ! ! 	 wonderful two night stay . immaculate comfortable room . extremely friendly , helpful welcome staff . thoroughly enjoy breakfast . could not find fault be usually extremely fussy ! look forward return visit . 
 May 13 2009 	 fantastic hotel situate great location 	 stay hotel city break thoroughly enjoy calm atmosphere couple helpful , friendly staff . room clean , well equip comfortable , good hotel bed ' ve sleep long time . it suprisingly quiet central location . the hotel obviously busy morning breakfast buffet rapidly replenish - tasty ! great location good train / bus link really good able walk many place enjoy sight , especially along river , forget numerous cafe water hole . I look forward another stay near future . 
 May 13 2009 	 Great London Hotel 	 stay London Bridge Hotel last weekend . husband vist central London . hotel well situate great , historic area London . lovely room . room clean well appoint , great product bathroom , fruit complementary water . staff friendly efficient could not enough we . breakfast perfect . plenty choice lovely efficient unhurried atmosphere - want weekend rest recuperation . can not recommend London Bridge Hotel highly enough . 
 may 12 2009 	 stay ! ! ! 	 hotel die nice location - though well even though close tube , need transfer anyplace . service bad AI ever experience . concierge give we faulty information think job stand around talk , desk clerk could use computer leave note get lose worst , could speak English leave important information hotel phone call get stick bill $ 147 6 minute call . not change sheet whole week trouble get toiletry towel . hotel poorly manage seem one care good job guest stay special . decor nice , deserve 4 star rating service , 2 - 1/2 good becuase contempt guest . 
 May 11 2009 	 ok little disapointe well stay 	 stay say not quite nice first time round ! still nice last visit stay much big nicer room pay alot less ! niggle time round well ! wine order room arrive chase reception . second day arrive back find house keeping take rather replace towel . possibly simple error take 2 call reception replace . we order breakfast room arrive time instead arrive trolley come 3 separate tray deliver person wait everything arrive ! still nice enough excellent location would not rule stay . 
 May 8 2009 	 Fabulous excellent great hotel ! 	 hotel favourite . go London visit daughter live work , always stay London Bridge Hotel . kindness , service , location cleanliness room excellen , could not well . I already stay several hotel London London Bridge Hotel really TOP ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! recommend hotel friend family . 
 May 7 2009 	 Superb hotel great location ! 	 stay hotel base London Marathon , perfect choice . location ideal train leave start London Bridge , hotel open breakfast early runner put special breakfast . upgrade apartment amazing . could not well weekend . glad book two night enjoy hotel . side breakfast Monday morning , wait bowl , cup juice full english breakfast come . reception staff helpful . 
 May 4 2009 	 Incredible Location ! 	 stay hotel last week April 2009 . train station tube 1 block away ( take we try find short route nonetheless route take close hotel ) . use Jubliee ( gray ) , Picadilly ( blue ) , & amp ; District ( green ) Line . also walk lot place . we arrive hotel 8 am since not room available check ; leave bag concierge desk . room bathroom quite small clean comfy . hot water come second not wait . since room bathtub long day explore London nice hot bubble bath nice . get room away busy street quiet black curtain . hotel give ton towel , face , hand , body towel . Borough Market also block away ( open Thurs , Fri & amp ; Sat ) , get chance go wonderful experience . go toward Southwark Cathedral 's little trail walk toward Globe Theatre Tate Modern ; restaurant call Nandos really good noodle house Wagamama . Tower Bridge & amp ; Tower London also walk distance hotel . 
 Apr 29 2009 	 amazing place highly recommend 	 second visit could not fault . helpful friendly staff , fantastic room , great breakfast . take part London Marathon great find breakfast start 6 am serve porridge banana runner . also night make sure lot pasta menu ( addition delicious food ! ) runner need carb . overall love place , real paradise locate centrally , great discover London . will back ! 
 Apr 22 2009 	 lovely hotel weekend trip 	 Hotel close tube station access underground . hotel good homely feel . everyone welcome helpful , deal enquiry question promptly eficiently . room good size London , modern , well decorate , clean , quiet well equipped . good light comfortable bed . particularly like small touch ; facecloth , teapot tea , several magasine lovely toiletry throughout hotel . breakfast good choice well cook set we day sightsee London . close Southwark Cathedral , worth take time look around . would rather stay large chain hotel . 
 Apr 21 2009 	 great find would go back . 	 small hotel London standard excellent amenity . location superb , 1 block Tube station , also 1 block rail station . the hotel well keep , room small well appoint . bathroom generous . lot hot water good water pressure . comfortable bed . staff courteous helpful . buy stay include full enlgish breakfast restauant ground floor terrific , highly recommend . hot buffett , also include table service bring toast hot drink . Holiday Inn Express , get lovely table setting linen table cloth . one minor drawback near rail station train noise hear night , however depend exact room location . sensitive noise sound , may want ask quiet room possible , be averagely sensitive not worry . plus use thick black - out drapery make room pitch black night want ( wife really like room dark ) . can not say enough good thing . next time go London will not even bother consider book anywhere else . 
 Apr 17 2009 	 good central London Hotel . would go back 	 2 night , 3 day break London daughter age 4 . find location good , round corner tube station good eating place walk distance along Thames towards Tower Bridge . consierge team excellent thank lovely boat trip excellent meal Strada . room 4th floor quiet - feel like London - especially since G20 protestor nearby time ! nice clean room pleasant staff . would definately stay . 
 Apr 16 2009 	 highly recommend ! ! 	 start review , two helpful tip decide book London Bridge hotel.1 . first thing check - in make sure AC work ! ! unpack , need switch room hassle . 2 . request even number room . odd number room locate side hotel face train tube station . extremely noisy likely interrupt sleep . husband stay London Bridge Hotel 4/2/09 - 4/7/09 . wonderful stay would definitely stay . beautiful hotel , friendly staff , great location . book hotel use Airfare.com . the staff extremely friendly , helpful , accommodate throughout entire stay . willing rectify issue concierge eager provide we pre - pay / reserve ticket Eye direction dinner laundry mat . our first room locate across train tube station ( odd number room ) AC work . ( know seem odd need AC winter / spring month London , believe , . ) front desk indicate maintenance go home day , would send concierge room see could fix AC . concierge able fix AC , follow day change room . time , also request even number room since noise train / tube station noisy . assign Room 422 . room perfect ! AC work , view Big Ben far distance , noise train / tube station , even king size bed ! room clean modern décor . shower great water pressure sufficient counter space bathroom . ( find counter space hard come hotel stay time England . ) also , complimentary WiFi laptop , iPhone iTouch . ask front desk access code password . the breakfast great . plentiful selection cold cereal granola milk , large selection juice , blueberry chocolate chip muffin , roll , toast ( along cream cheese , honey , jam ) , scramble egg ( although never eat runny ) , bacon , hash brown , sausage , yogurt , cheese , mushroom , fruit salad . impressed selection . the location hotel great . right next train / tube station , ' convenient get anywhere London desire . More tip : - Buy Rick Steves ' London book . detailed book provide abundance information doubt positive impact trip.- find wonderful restaurant call Strada . ' 10 minute walk hotel amazing view Tower Bridge . plus great food service . make sure try Fontente al Cacao dessert . 
 Apr 15 2009 	 Hidden Gem 	 book directly hotel website . upon arrival upgrade suite absolutely one nice room stay tour London . pro : located block London Bridge Station Small , modern , quiet , clean hotel Breakfast varied egg , bacon , bean , mushroom , cheese , yogurt , fruit , good bread , cereal , juice WiFi include Air conditioning work well Londinium Restaurant serve excellent lunch dinner direct train Gatwick Cons : surround area limit restaurant choice surround area revitalize 
 Apr 15 2009 	 fantastic situation gorgeous decore ! 	 London Bridge Hotel situate near 3 tube exit / entrance London Bridge train line . although busy transport link near hotel quiet . bedroom decoration contemporary high quality . really enjoy stay service excellent breakfast morning . overall , brilliant place stay ! 
 Apr 11 2009 	 enjoyable London weekend break . 	 wife decide spend 60th birthday weekend break London . book West End musical , make plan sightseeing , walk Hyde Park meet friend meal . also want spend time son live Central London . book room London Bridge Hotel website base excellent review Tripadvisor travel Devon car friend Hertfordshire park car board train London Bridge station . surprised discover hotel literally opposite station . phone helpful receptionist previous day ensure non - smoking room rear hotel learn review room front rather noisy . reception staff welcome polite . give room 5th floor accessible lift . room rather small side clean comfortable pleasing décor , window overlook Guy 's Hospital tower building exciting . tea / coffee make tray hide away bedside drawer could find first day . bring notice reception reveal whereabouts ! breakfast buffet style- cook continental substantial choice . popular find full wait minute morning get table . location excellent - southside Southbank easy access part London . London Eye , Tate Modern , Globe Theatre , Tower Bridge iconic place interest within walking distance . Borough Market , 200 yard away hotel worth visit , ' gourmet food paradise . impress nearby restaurant although nice place afield Thames Southside walk . comfortable thoroughly enjoyable stay . would recommend place friend go back . Lynher , Plymouth , Devon 
 Apr 11 2009 	 highly recommend hotel friendly clean . 	 stay one night breakfast morning superb . staff friendly help . Tho hotel perfect place right next tube station . would definitly stay . 
 Apr 8 2009 	 bit Disappointing ... 	 hotel currently number 16 Tripadvisor top London hotel quite beyond . firstly good : staff excellent , bed comfortable , location convenient - lot local shop , restaurant , mainline tube station near . unfortunately , aspect good . other say , aircon unpredictable - arrive room like sauna ; quickly efficiently fix , rather efficiently thereafter heat not work - early April stay tad inconvenient , rather run risk boil alive , leave well alone ... room tiny , house enormous bed . nowhere sit front mirror , fact nowhere comfortable sit , one rather sad - look bucket - type hard chair . Breakfast efficiently run excellent staff , luke - warm three day stay , fry egg solid - suspect chef read dire warning salmonella egg , massacre safe side . rest breakfast adequate well . finally , beware mini - bar ' fridge . ask permission use milk , thus avoid vile stuff little carton hotel seem believe bear relationship proper milk . get stuff ' fridge necessitate move bottle can already cram obviously set scan device , check try charge we £ 20 item use . eventually convince use anything , know thing work doubt hear end . ' m leave wonder earth London hotel like ... 
 Apr 8 2009 	 great hotel well locate good value 	 specifically choose hotel go concert O2 . hotel ideally situate central London O2 . leave seat concert walk back hotel 20 min ! hotel clean pleasent staff speedy check in . I would recommend hotel weekend break London overnight visit O2 . 
 Apr 7 2009 	 excellent staff 	 arrive hotel two night break , welcome concierge hotel reception staff , friendly . room allocate make double twin request , room change straight away twin . although room small side everything need . room warm soon cool either window open air con on . breakfast good , wide choice food , hot cold . Toast first morning cold second warm lot well . even ask bring lovely hot . Paul concierge extremely helpful , look information , book attraction etc . thank help Paul : - ) would certainly go back hotel would happy recommend well . 
 Apr 6 2009 	 lovely hotel excellent transport link 	 hotel lovely frontage upon arrival boyfriend please first glance . staff reception friendly check quick . room nice comfortable modern everything expect four star hotel . get late deal pay £ 180 two night really exceptional . ' m sure would like pay full price hotel London . breakfast good . provide free wireless internet great bonus . use room service food good service quick . room also quiet . good thing hotel right next London Bridge station make get around easy . NCP carpark close car . really excellent stay would definitely return another stay . 
 Apr 6 2009 	 Fiasco London Bridge 	 optically please fairly good location . central , ton restaurant , grocery & amp ; convenience store around . gym next door directly accessible hotel ok closed Sundays . negative . room small give price perhaps acceptable . small indeed . bed could firm . minor detail comparison construction go floor throughout stay day 8:00 6:00 pm . see picture upload . doozie . guy start hammer drill away like demolish place . dust thick walk corridor meter need shoe shine shake clothe thoroughly move business meeting . needless say could absolutely thought sleep daytime . day , intercontinental travel , may surpriuse hotel management hear , traveller due jetlag need get sleep regular work hour . outrageous enough would book guest floor know heavy construction going happen . upon complaint request see GM , get card pillow apologize inconvenience . offer recompensation make . see many good review , obviously hotel something right unfortunate enough problem , expect resolve . bad enough stay way next time . 
 Apr 1 2009 	 good value ! 	 find hotel internet . extremely good value money - difficult task look reasonably price hotel London ! stay 5 night happy whole set . room huge - hey - be London much time actually spend hotel room ? ? room clean , well appoint everything need . breakfast include rate - real bonus . quite extensive hot cold offering adequate keep go day . bonus fact hotel within easy walk distance major attraction London , along fact London Bridge tube station 2 minute walk away link major railway line . also decent restaurant nearby , well laundromat . 
 Mar 30 2009 	 Highky recommend hotel 	 stay 3 night 20th March read review TA . clean pleasant hotel . first room noisy ventillation / extractor fan outside , ask reception move fuss . end king size bed great . breakfast good sometimes luke warm , even get early . handy tube station London Bridge . shocked find many pub shut 10 pm saturday alot shop / restaurant shut Sunday . we pay 89.00 per night rooms.net think good standard hotel . would definately use hotel . 
 Mar 26 2009 	 definitely stay ! 	 husband stay 3 night impressed . everything hotel great . room spotlessly clean service really well day . breakfast delicious great variety choose . staff helpful , polite friendly . location spot - on , minute walk London Bridge Station . really could not fault anything would hesitation recommend anyone . 
 Mar 23 2009 	 Nice hotel hot room 	 stay London Bridge Hotel Mothers Day weekend . the surround area not particularly nice view hotel inside nice , modern comfortable . our room small , everything need one night stay . the room however extremely hot air conditioning not seem work well . window double glaze could not get open . pleasant night 's sleep . however , full english breakfast compensate . delicious hot . overall , great stop place reasonable price £ 116 2 people . 
 Mar 23 2009 	 great stay London Bridge Hotel 	 Boyfriend stay hotel one night March 20th 2009 . hotel near major London transport system bus , land rail tube . hotel recption clean small bar locate . staff arrival helpfull check we quickly . arrive 2 pm check time room ready , room good size clean . big flat screen tv lot pillow bed . lady reception check give we extra two hour check time mean not check till 14.00 follow day . breakfast order room service hot arrive . overall would definately stay . 
 Mar 20 2009 	 good value superb location 	 love hotel although stay one night . location directly behind tube station really easy get everything doorstep . warn stay room quite small fair , true . bathroom even small facility provide cleanliness good . room termperature sauna whilst lucky window open back hotel direclty next large flume generate huge amount noise . complaint . probably one clean hotel ever stay . breakfast great good food service . love place would definately recommend stay . 
 Mar 17 2009 	 great hotel great location 	 stay , husband , attend Snow Patrol concert O2 Arena need somewher stay less underground route O2 hotel fit bill perfectly ! sure get map reading head , take we quite find hotel , obviously come wrong exit London Bridge underground station need bit help bearing problem . fabulous location everything doorstep ! check breeze everything need know regard breakfast info etc give we . room room 310 lovely , quite spacious , particularly bathroom realise give room adapt disabled use . wish take anything observation reflection would preferred offer choice room . would probably make difference slightly clinical feel room maybe address , whoever reside room . breakfast delight , everything would want set day , plenty choice . couple minor criticism regard room . I contact lens wearer find mirror close use imperative - missing , struggle bit .... secondly , although everywhere appear spotless , overflow outlet bathroom sink pretty grim need good dose bleach ! ! ! thing aside , London Bridge Hotel pretty good would happily stay ... please .... ! interest , round back hotel build new ' Shard ' tower , work progress interese watch be go ! ! 
 Mar 11 2009 	 Fantastic Hotel 	 husband stay London Bridge Hotel recently really impressed . location minute walk train station tube station not much . arrive early 2 pm check -in staff book give room without mention time ( ' ve stay hotel 2 pm mean 2 pm not dare try get early ! ) . room little small side lovely - especially extra big bed , decor modern yet comfortable . breakfast possibly good ' ve London hotel although must choose popular time staff work hard keep arrival . wait little toast coffee not matter rest breakfart gorgeous . hotel staff friendly helpful . really enjoy stay would highly recommend hotel - definately return . 
 Mar 10 2009 	 Excellent value 	 stay lovely double room ( airconditione - thank ) friend young child stay lovely twin room . room plenty big bathroom perfect size - small big . hotel truely right next London Bridge Bus station / rail station tube ( ' ve excuse ! ) . staff lovely helpful . two restaurant hotel great value money . leave hotel breakfast ( include ) stroll local Saturday market mull wine free cheese sweet sample - heavenly ; - ) thing could complain stuffiness hallway lobby - snow ground ... not problem really ! take age find hotel London price range - happy find one . want visit Tate hotel ideal - walk along Thames see light London visit Tate leisure - 's open ' til 9 10 Fridays Saturdays 's free ! 
 Mar 9 2009 	 Non - chain good quality location value 	 one night stay select location & amp ; previous review plus get great deal lateroom . Room upgrade superior still small compare chain hotel . room clean impeccably furnish - even sky sport tv ! staff helpful pleasant , breakfast include adequate buffet full english continental . small bar lobby comfortable chair concierge . nice touch great selection magazine room , include useful TimeOut etc . allow time queue breakfast 's huge room - also gym link Fitness First limited opening time ideal business weekend open Sunday ! hotel past London Bridge tube , near Borough Market , Vinopolis , Tower Bridge etc . - feel safe night come back . 
 Feb 28 2009 	 fantastic weekend 	 daughter ( age 22 ) stay 2 night visit Tate Modern market Camden Town Brick Lane . get fantastic deal mean hotel excellent value . eat Georgetown Restuarant first night - food lovely , service excellent good value . room smart , clean comfortable , hotel close underground mainline station . traffic noise , front building . Central London easliy accessible tube , local attraction include wonderful Borough Market South Bank gallery . excellent weekend hope repeat . 
 Feb 22 2009 	 Fab hotel nice clean room near tube 	 stay hubby weekend London Bridge hotel.room 1st floor front hotel . thought might get noise teh train not hear one ! ! staff helpfull polite . breakfast good London . we book direct hotel online pay £ 109 double room . 
 Feb 20 2009 	 Excellent hotel deffinately stay 	 come London partner Birthday welcome friendly helpful staff . room excellent resturant food really good value special offer time . would recomend hotel . side breakfast run food wait bit time buffet replinmishe , lovely stay hotel . weekend make little bit special happy friendly staff . 
 Feb 20 2009 	 Superb hotel great location 	 brilliant hotel , situate close London Bridge railway station , use get Gatwick Airport also underground get around London . hotel fantastic condition , room although massive perfect everyway clean . staff helpful organise we nice take breakfast leave restaurant open morning . all can not go wrong . 
 Feb 19 2009 	 come 	 book hotel 4 night . flight arrive morning get hotel long check time . exhaust , luckily , room ready could check right away . check process quick staff courteous . room small , immaculately clean . bed comfortable amenity sufficient . thing like good location . London Bridge station close could conveniently hop either Jubilee Northern line . also quite grocery ( & amp ; favorite ) sandwich shop right station convenient quickly grab something eat . Tower Bridge Butler Wharf close nice stroll hotel . 
 Feb 15 2009 	 3rd time visit get well every time 	 third Valentines visit London Bridge Hotel fault Hotel staff way . room contempary rest hotel spotlessy clean . staff friendly helpful , definetly make difference many hotel . would recommend hotel 100 % anyone stay London . 
 Feb 10 2009 	 would definitely recommend ! 	 first trip London ( husband 's second ) honeymoon . want find hotel small size , romantic , good location . debate London Bridge City Inn , glad go London Bridge ! room large , even american standard , furnishing , fixture , bedding , etc . high quality . staff friendly , concierge helpful , breakfast great . problem tube seem deactivate room key card , everytime return hotel , get new key card . , stay fantastic ! location not quite central hope would , close tube station . also , find good little pub near hotel call ' Old King 's Head ' . stay London Bridge , must visit pint ( two ! ) . 
 Feb 10 2009 	 year ogo ! 	 change thing since last visit year ago . toiletry , 1 biscuit per pack ect also one would expect bed side table side bed superior room ( one ) . also area hotel location get run ( fault hotel ) nice bring wife special event . food restaurant excellent steak . may come back honest book another London hotel next visit may well rate rating cost . 
 Jan 31 2009 	 cosy warm invite 	 hotel recently refurbish , 4 star hotel , offer 5star+ service , comfort , cleanliness food . we amaze comfortable . note hotel future visit capital . also convenient underground train . staff polite , well mannere extremely helpful . thank London Bridge Hotel ! ! 
 Jan 22 2009 	 Excellent Hotel ! 	 wife stay twice - November 2008 January 2009 , visit son live nearby . occasion please hotel , friendly , helpful efficient staff , restaurant . force tip onto restaurant staff excellent service - try refuse say service charge add bill . , be unusual ! ! location excellent South Bank entertainment , easy walk City , close underground station London Bridge City Pier river transport , anywhere London within easy reach . I hope review not mean hotel fully book next time want visit London ! 
