nice 	 visit hotel 7 night November , pleased service receive relative good price pay stay . hotel relatively central location , minute away tube . room basic whatever necessary make stay good one , clean fresh towel provide daily basis . breakfast good one , fresh fruit really fresh , whilst hotel environment staff extremely helpful . hotel ideal anyone look centrally locate budget hotel london good price , would recommend hotel anyone . 
 Jun 12 2008 	 never ! 	 son travel UK annually year decide spend day London start trip . find Umi Hotel Hotwire never disappoint . reservation send hotel 1 adult single room - beware ! Britain , translate single , twin bed . show front desk staff confirmation Hotwire , 1 adult 1 child , rudely informed would consider information send since request & quot ; upgrade & quot ; would pay . contact Hotwire tell situation take care still continually harass front desk staff pay additional amount . room tremendous disappointment . curtain black edge , towel hole , go turn shower , control handle come hand . ask front desk staff local restaurant would refer hotel restaurant . loathe try treatment would already receive . information request front desk give patronize manner continually ask pay & quot ; room upgrade & quot ; . would never recommend hotel anyone . ever . 
 Jun 11 2008 	 could well could bad . 	 two colleague book three single business trip . be exactly anything get excite be business , imagine backpacker solo budget traveler would satisfied . room basic , like stay college dormitory . think room 206 . bed comfortable soft , trade - off sleep single bed floor space . bathroom ridiculously small , although friend 's bathroom bite long foot not shower toilet , like bathroom . sink not even bathroom , be bedroom instead . small armoire hang clothe . tv nice satellite reception rather dodgy , not get many channel although get station , . friend 's room problem , hardly tv reception ; friend 's room ( satellite ) fine reception , basic station . ( suspect London good city satellite reception , cloudy weather ? theory , also happen another hotel stay area . ) hotel breakfast , include 70 pound / night rate , really good . get good variety pastry , drink , fruit , yogurt , cereal . hotel quiet 's square , night seem boisterous crowd man hang around , least two night stay . staff hotel friendly , location good . 
 may 17 2008 	 probably great budget traveler 	 book hotel one night London head home week London , Brussels bruge . base pick review here . to fair , previous night stay 5 4 star hotel . night want something relatively cheap easy access Heathrow . so approach hotel taxi notice lot cheap , youth ' hostel ' hotel area make bit nervous . the staff Umi competent , friendly nice . helpful finding late night place dinner . great ! hotel room strange smell mold curry . know hot week London odor . room recently & quot ; remodel . & quot ; sure do except instal flat screen tv . rug dirty floor slope one side . bed awful barely fit two adult . bathroom tiny well maintain . 100 british pound ! ! exactly cheap place . 
 Mar 18 2008 	 nice stay 	 friend spend 3 night double / twin room . receive excellent service . really great stay Westminster . friendly smile staff , ok room . would definitely stay . nice breakfast coffee great . would prefer buffet alt . choise bread instead sweet bread . short work Portabello Road underground . great value ( London price ! ) . stay 3 star hotel London far good hotel . 
 Mar 12 2008 	 Great experience Umi 	 find Umi online booking long weekend London 2 friend . travel visit friend ' study abroad semester . stay big room 3 single bed , spacious bathroom , plasma T.V . continental breakfast every morning delicious wait staff pleasant punctual . concierge help we plan day could see much possible without spend much , challenge city pricey London . overall , please Umi . great time London hotel always important part experience . 
 Feb 27 2008 	 basic clean friendly 	 stay hotel exploratory reason . ' m go work London want know hotel adequate / comfortable . summary , yes hotel meet requirement . be cheap , clean , friendly well situated . detailed review read .... arrival foyer modern appearance reception staff friendly / polite . however , be past reception corridor become somewhat drab show sign age . room stay clean , basic - show sign bygone era , i.e . old wardrobe hand basin room ( rather bathroom ) . woodwork around basin see well day could decide mirror sink slope , one definitely straight ! however , say room coffee tea make facility television channel hotel ' ve stay . bathroom small , fucntional . shower powerfull certainly refresh full day wonder around London . hotel also WIFI , £ 3 per hour . , possible hotel modernise meet recent expectation . near tube station Bayswater ( 6 - 10 minute ) , Paddington train station 15 minute walk away . Hyde Park also close ( 10 minute ) local shop around corner . hotel great want something cheap cheerful , great access city . 
 Dec 22 2007 	 Umi okay ... 	 stay Umi hotel six night week ago . information give review quite accurate knew look forward expect . service good concierge helpful . breakfast – choose 4 item . one also ask extra toast add croissant . the fact sink room not disturb . mattress hand not even & amp ; hard enough . another review say biscuit free water provide - not get addition get small fridge request . my room face leinster garden – disturb noise sleep window open far able open . I want add permit smoke hotel smoke one reason choose hotel ( other location , price & amp ; information read review ) – say description non smoking room smoking permit all . this make stay hotel little possible solo traveler intend return late evening watch television room . problem television – 4 channel even BBC1 . traveler want see news – disappointment .. 
 Oct 23 2007 	 comfortable good value ! 	 stay Umi one night , , say find comfortable , welcoming , safe , clean good value ! stay previously Westminster , bring date Umi . yes , floor slope creak little , old building 's part charm ! room back , perfectly big enough , flat screen tv , quiet indeed - complaint clank heating early morning . Coffee / tea / biscuit free water provide - pay £ 54 one night , consider bargain central London . 5 minute walk bayswater tube station , 15 minute walk Paddington main line station . reception staff efficient welcoming . definitely stay . 
 Oct 18 2007 	 disappointing stay 	 stay Umi 5 night past week . while expect budget hotel , expect miserable stay . while lobby restaurant look renovate , room shabby . furniture bottom shave accomodate slope floor . the hallway room stuffy . could keep window open due large swarm bug come room . cluster lady bug top window inside room . roam room . sheet change even though drop sandwich . stay even though apparently need change . the people reception friendly warm . none seem English give feel London , seem feel bother . person say ' thank ' talk they . there lot noise , loud music night flat across street . yell , extremely loud music immigrant keep 2 night . literally night seem violent time yell flat . a lot yell make neighborhood usafe feeling . I would stay since could likely find nice hotel little money . I know hotel insist good customer service . seem thing past . usual experience ' ve London . deserve 3 star . 1 1/2 . 
 Jul 12 2007 	 disappointing ... 	 hotel renamed & quot ; Umi & quot ; book one & quot ; Grove Rooms & quot ; bill good room , bathrobe , tea , welcome snack mineral water . ( mineral water welcome snack provide room ! ) room shabby , try dress modern & quot ; boutique style & quot ; room . big complaint shower . expect power shower hotel , domestic white plastic shower . water pressure appal . ' ve never know anything like ! not feel clean , stand pitiful trickle would not book hotel reason only . it seem like old - fashioned , chain hotel well past sell date try fix bit relaunch , main area concentrate neglect . would rather replace carpet instal decent shower give flavour tea bathrobe . the hall area dowdy dull , bit creepy actually . lift tiny rather 70 's style wood panelling . the girl reception check really nice , staff pleasant enough . 's computer broadband ( fee ) reception area , coffee shop nice lounge area newspaper . it seem like lot student tour group stay , not hear noise . 
 Jul 12 2007 	 bad sound ! 	 stay unsure hotel review write . honestley say bad , altough stay one grove / superior room ( room recentley refurbish ) . room okay , basic kind cosy . walk reception nice , leave breakfast / snack bar wich also nice , leave reception lounge internet access , lift bar restraunt ( underground ) room . the room quite small . hall lead main part room slant , door leave lead small en - suite toilet shower ( sink ! ) . sink locate main part room . room terrible view look onto back hotel . bed quite comfortable small , room quite hot . nice flat screen tv 4 channel . breakfast continential breakfast . choice cereal , fruit salad , muffin , croisannt , pastry , tea coffee , juice etc . start 7 am . overall hotel bad would recommend book superior room ! 
 Jun 27 2007 	 Great London Hotel 	 stay Westminster end May 5 night boyfriend . happy hotel hear pretty bad thing London hotel . room quite small expecting , London pay fortune big room , matter be spend much time room anyway ( sleep shower ) . room clean , bed comfortable nice little thing like dove soap dispenser shower sink . thing would say room hot time , need install ceiling fan get air move . breakfast quite nice , also option take away early start ! fantastic area , lot restaurant shop bayswater tube station short walk away . also morning fire alarm , be good know good evacuation plan , not mind 4 am wake ... be well safe sorry ! ! anyway make funny story tell get home ! place great price please first stay London . 
 May 29 2007 	 Place * * Hard Describe '' 	 read review , understand confusion place . seem unusual one small hotel many different price point room . business room ( business people ) . room picture hotel 's web site . six - night stay , group american high school student travel chaperone American college kid . seem place upper floor . family regular tourist seem place low floor . 's room -- room 224 -- locate . some folk chat stay ( 1 ) safe ( 2 ) bug - free ( 3 ) not - too - bad free breakfast last daily noon ( 4 ) within walk distance dozen restaurant every possible cuisine ( 5 ) # 70 & quot ; red bus & quot ; stops corner ( 6 ) two different underground line within easy walk distance ( 7 ) & quot ; be together & quot ; camaraderie among guest -- move 4 am fire alarm May 28th . this make , somewhat , small room , squeaky floor , cramp ensuite , smell burn timber noticeable part hotel -- even break window sash room prop open daily coffee mug . the nice thing say hotel fill ' personality ' meet really great people . ' m sure back another stay . ? will think . 
 May 8 2007 	 great 	 4 night April . another reviewer observe , single room extremely small tv reception poor . would add furnishing room tired wear , nothing remotely fresh . believe website room description necessarily accurate . also mention room face leinster square lot street noise rowdy people carry night . it be bad news . location pretty good access tube , pub , dining within easy walk distance , overall neighborhood feel safe . also , hotel appear reasonably clean , staff reasonably friendly . pay ( via hotwire ) hotel probably fair value US $ 85 per night . be much London . photo 1 - show room view entry door . en suite right small freestanding closet leave camera view . photo 2 - show desk make board appear shower curtain rod . note fray upholstery chair . take en suite . 
 Apr 27 2007 	 do not trust website 	 book single room hotel check hotel website . room show nicely decorate text say room warmly decorate comfortably furnish . experience . room allocate arrival like corridor , ensuite really small , mould sealant shower . receptionist tell hand key dial 0 problem - get alarm bell ring guess . I call reception ask different room , send someone tell see website , show another room bit big , ensuite even small last though , big enough accomodate basin bedroom , could sit loo put foot shower , bad 4'11 & quot ; . minus mould though . both room paint cream / magnolia lining paper , anything warm far welcoming . television reception bad able watch . complimentary tea coffee ok want two drink . the front hotel look different website , show hang basket nothing like reality . over real let down . perhaps double room well . normally travel alone general standard single room people get raw deal , pay . one night stay , even feel misrepresented type accomodation offering . know say may get exactly room photograph , hey far removed look like entirely different place ! would not recommend hotel . make view know visitor feedback , interesting see get contact - would show whether take customer care seriously . be warn ring check accomdation really like relation website . 
 Apr 13 2007 	 Excelent service 	 girl friend come back weekend break London , stay Westminster Hotel Bayswater , hotel exseptionally clean tidy althought 3 * hotel feel like five star , staff friendly helpful , really anything book theatre ticket get laundry do day . breakfast excelent offer fresh pastry , fruit salad great tasting cappachio , really amazing stay friendly enviroment nothing much hassel , amaizse see 3 * hotel offer great service standard reasonable price , would recommend hotel anyone . 
 Feb 11 2007 	 Good Value 	 nice quick check - in , staff friendly . good breakfast excellent location . will certainly go back 
 Dec 22 2006 	 room smell badly ! 	 first room get , smell badly damp / humidity wall . window not work properly - place cover mold . : - ( ask reception , get new room - hotel fully book . first night Westminister hotel , bad experience . smell , sleep window open night . next day , housekeeper move luggage new room , mutch well . more generally : good breakfast , miss darker / more heathy bread alternative . service ok . nightguard really nice , rest staff could smile bit . : - ) standard buidle poor . lobby restaurant ok ( newly renovate , seem ) , rest hotel bit shabby . problem toilet shower - everyte quite old . awoid room 204 ! ! next time visit London , try another hotel . 
 Dec 4 2006 	 cute ! 	 Charming ! Stayed Westminster last week vacation wife find hotel much large imagine . great size room ( Grove Double ) robe ! lobby / bar area recently renovate plasma screen & amp ; coffee / alcohol bar delicious breakfast serve morning 7 - 11 . also great spot unwind walk day . pro : location ( Notting Hill ) , charm , decent size room , pricecons : small bathroom , bit smokey ( family ) , kind hard find initially ( building style ) would definitely stay price location . 
 Nov 27 2006 	 Great Weekend 	 really great stay Westminster . friendly staff , clean room great value ( London price ! ) . would definitely stay . really enjoy breakfast , coffee great ( nice good coffee hotel change ! ) 
 Nov 24 2006 	 hairball window ! ! ! 	 hairball window ! , rotten milk ! first 10 minutesrun russians , non- english speaking staff ! room ok , clean ( except hairball ) , beakfast goodbut expensive , london ! 
 Nov 14 2006 	 great 	 Felt like stay somebody 's bedroom house rather hotel room . tiny room , basic bathroom . AC . disappointing though website make look like boutique hotel fact 's series coverte victorian row house ! ! least breakfast nice , even though basement . the location great however . 5 minute stroll Tube , lot nice restraunt close . 
 Nov 12 2006 	 pay full price 	 pay £ 70 one night stay , suppose half normal price . arrival 2 pm room still ready , room allocate small need decoration . suite facility consist tiny room toilet rubbish shower . washbasin locate next bed main room . one main reason book hotel bar open 1 am , go concert want wind return . unfortuantely although someone reception , refuse walk ten yard bar order serve customer . barman decide long want serve customer shut shop . 
 Nov 8 2006 	 bed like buckboard 	 Reservation record although provide confirmation document . wait hour room front desk contact travel agent . guess not want welcome we check error . wear , tired , creaky room . 12 & quot ; tv channel . raise , slippery tub shower curtain . crack linoleum . but bad come . . . bed slab mattress thin covering padding . re - make use duvet mattress cover request blanket warmth . . . hot water radiator heat 2 3 night . front desk post sign boiler would repair 11 4 pm . guess repair success . finally let we shower hall . offer room change offer explanation work half hour water would ready . really ruin London visit . cheap hotal $ 180 per night . ' ve write complaint travel agency . doubt anything do . worth price campsite : $ 20 per night . front desk polite useless . 
 Oct 31 2006 	 Rooms Pictures 	 check hotel . go room . come right back check out . only room remodel . stay hostel college student look well room remodel . bed sag several inch lay . could feel spring poke mattress cover . carpet shred pull apart seam . would leave sock enter bathroom take shower . end pay 2x much another last minute reservation another hotel . 
 Oct 19 2006 	 ok other 	 first stay , new London ( stay another hotel first night ) . expect bad ( book pay hotel ) . first thing see small quiet square set . enter lobby find reception fairly fast accomodating . lobby public room quite modern chic ( budget side ) look . problem first see tiny slow elevator , could run stair without actually run . overall , overlook part . part overlook are:1 . smelly hall room : terribly smelly , could redo old warn carpet would job . 2 . stale cigarette smell sheet : bed smell still someone 's smoke . 3 . creak floor : floor make ALOT noise walk room hall . 4 . terrible bathroom : washcloth constantly smell slightly like urine.5 . prowler : someone go luggage least two time , perhaps three time . could find several thing leave ( could left behind , like foot power ) .The part worth mention are:1 . good location : nice area Bayswater , near bayswater , Queensway Notting Hill Gate station ( walk though ) .2 . quiet : loud voice hall , hotel neighborhood seem quiet . 3 . breakfast : breakfast bad , free , mainly continental , selection bread / roll , cereal / yohgurt , milk / juice / bottled water , tea / coffee / chocolate . overall , think place dumpy standard , price location London , slightly average place . stay three night enough . would okay maybe one night , would push long . figure place £ 90-£100 night . first night stay Holiday Inn Kensington , full service hotel price . however , hotel short fall well , comfortable stay , central location price . 
 Oct 16 2006 	 Cosy hotel 	 stay 3 night lovely time . staff front desk nice helpful also get clean spacious room , bathrobe , big choice Tv canal , free daily paper , honestly , much nicer expect . location hotel also convenient , 15minutes tube town centre whole area Bayswater also nice - plenty shop , restaurant , pub noisy . the breakfast may people find poor , we great , get choice sweet pastry , choice yoghurt , cereal fruit salad , everything organic high quality - great start day . highly recommend hotel would definitely stay . young couple Czech r . 
 Oct 10 2006 	 would stay ! 	 read read read online review basicly nothing London nice rating least price rage ( less $ 120 usd per night , peanut ! ) must iterate stay London ) room small Americana B ) bathroom toilet 2 different thing , may room unless specify , smaller c ) climate usually cold although occasional heat wave not last long enough warrant expense AC system . get ! soon one let go hotel criterion expectation London , well one be . that say , pleasantly surprise Westminster Hotel several friend pick ( base thier knowledge hotel area Hostel - esque . ) get & quot ; Groove Room & quot ; thier recently renovate room & amp ; pound . highly recommend upgrade . quite happy plain white linen ( yeah ! ) simple beige decor ! not think could handle londonesque seemingly addiction flower wallpaper likewise print bed 5 day . room small american standard , large London standard . & quot ; ensuite & quot ; bathroom / wc yes small , let go remember ? & quot ; single & quot ; double bed ( yeah ! ) internet cafe lobby , expresso bar , regular bar breakfast include . lobby room furnishing contemporary , new well do . the staff hit miss . good experience fellow traveler .... guess depend get ... remember London & quot ; thank much & quot ; actually sound contemptuous ... stack regional seasonal effective disorder .... 
 Oct 9 2006 	 great bargain 	 back several night Westminster . would reserve double & quot ; Grove & quot ; room husband , fine - definitely one room recently refurbish , quiet day night . bargain 69pds per night . furniture fixture new , bed comfortable plenty pillow great new comforter / duvet , bathroom newly redo well , plenty hot water good water pressure . size room perfectly adequate - certainly huge ' ve small room much high price London continent . 's true staff not personable deal adequately issue . example- computer guest use ( small fee ... 1hr 3 pound ) hooked printer . need print something staff let email document , print right , extra charge . apparently breakfast recently change sort continental buffet order limit continental menu , still include price . never attempt cook breakfast cereal , fruit , juice , coffee croissant enough hold we lunchtime . location excellent not experience problem neighborhood mention other . close enough bayswater , Queensway Nottinghill Gate underground get anywhere want go , away traffic club noise . lot good restaurant around , pubs kind ethnic want try . , would stay Westminster , real value price . 
 Oct 7 2006 	 love location room like cell 	 stay hotel three friend . choose hotel base location mainly , website make look great price . also bonus provide quad room , make even cheap ( £ 26 two night ) .However , would recommend quad room - like cell ! hot stuffy , window would hardly open ( difficult access due bunk bed anyway ! ) go without say price AC ! bathroom ok though , be spend much time room 's problem everything need . honest , price location really make shortcoming room . be minute away Bayswater Queensway tube station , ' ve get access Central Circle District line , be minute lively Queensway , lot shop , restaurant , pub . make really easy get around find need . we able pop hotel number time , know would not take we long get go , whether eat Queensway central London . the reception staff lovely , concerned ask leave luggage room hand key go let - could helped anyone 's luggage , see must let anyone ask room , be actually terribly secure . bit worrying . our main problem breakfast . breakfast room staff rude unhelpful cook breakfast like nothing ' ve ever experience ! meat taste awful ( ' m fussy eater even less discern friend disgust ) , scramble egg watery etc . continental breakfast ok though ( average , nothing rave , much edible cook one 's include price , be worth eat keep go lunchtime ! ) overall - definitely worth consider be budget , go twin / double room ( although would not recommend romantic getaway ! ) avoid cook breakfast like plague . 
 Oct 6 2006 	 not even think Staying 	 pull taxi , immediately knew not think much area . bit seedy rundown . & quot ; hotel & quot ; area resemble hostel . true Westminster Expedia rate 3 * hotel . reception basic . hotel need MAJOR refurbishment . damp musty smell throughout . room service , restaurant , cafe double bar . service mixed . manager rude ignorant . hear another guest complaining get joy . barman rude staff fine . people turn hotel , look face say . girl reception tell we room one & quot ; nice one & quot ; top floor & quot ; great view & quot ; hope room well . . room poky , unbelievably claustrophobic , damp , musty , cheaply decorate , way beyond would call basic . thing say not dirty , would call clean . Breakfast include twin room rate £ 172 PER NIGHT cost £ 5 continental breakfast - english breakfast available . ! ! ! location good term access Tube ( Queensway ) 5 minute Paddington Station , bad term walk around nighttime - youth hanging hostel & amp ; flat blare music shout thing passersby . London , however , great spot . would definitely recommend visit Tower London , Madame Tussauds & amp ; Westminster Abbey - try guide tour ! great eatery & amp ; pub Soho , Leicester Square & amp ; Covent Garden . be disappoint Expedia representation hotel . this hotel hostel add facility - ie cafe internet access . completely value money , main problem well fact quality poor . 
 Aug 31 2006 	 good hotel price 	 weekend spend 2 night hotel . stay many hotel London hotel real surprise arrive ! hotel locate lively neighbourhood bayswater , minute walk Starbucks , kind restaurant , shop , supermarket , Whiteley mall 2 undergroundstation bayswater queensway . the hotel locate quiet street noise busy street . hotel reception lobby really nice staff friendly . breakfast good ! buffet style lot thing choose ! hotel 2 elevator hallway ok . room . 222 ( twin room ) small clean everything need . coffee tea make facility iron bord iron . good small room . overall hotel great hotel price ! ! ( book hotelwebsite 49 GBP per night twin room ) . 
 Aug 21 2006 	 Great Hotel Price 	 yes , westminster old building ( originally 18th Century , ' m mistaken ) , room small , elevator tiny Americans put channel small tv . hand , price , get , great long book online hotel almost full price rocket . service excellent breakfast wonderful . ' ve stay several hotel bayswater area easily good one find . 
 Aug 20 2006 	 need go 	 check - in hotel first thing suprise we staff . friendly . young man courteous member ( receptionist housekeeper ) quite rude certainly know smile mean . not feel welcome ! room disappointing . pay 100 £ night 3 star hotel stay 1 star standard would different ! stay 1 star hotel want treat ourself stay not special . room small . difficult open suitcase ( put bed ! ) . stain blanket . screen tv quite big close bed painful watch tv.the ceiling pretty low , feel like cage . bathroom fine , nothing exceptional clean clear . I not recommand hotel . staff rude , room small . spend money somewhere else . area nice thought , close central London , shop , restaurant . 
 Jul 24 2006 	 keep look 	 hotel big dissapointment . room give shabby . stained rug .... baseboard pull away wall ... buckle wallpaper . overall appearance grim . staff nice enough accomodation expectation . blanket bed .... sheet . door old fashioned wooden dooe bolt lock feel unsafe . basically stay choice time arrive would recommend stay . 
 Jul 17 2006 	 simple Great Value 	 simple clean room . service excellent breakfast . would stay overall great value money . 
 Jul 16 2006 	 good area good price good stay 	 stay Westminster Hotel four day May 2006 . also stay 2005 , find time room remodel . smallish , decent come London solely hotel . bayswater neighborhood , close 2 tube station , five minute walk Hyde Park . also neat little restaurant pub close . close shopping center , walk shopping center noisy hustle bustle . however , hotel quiet little garden . youth hostel close , get loud weekend . enjoy much . hotel clean , people friendly . even book theatre ticket , able get us discount . area feel safe , definitley help we enjoy stay . also fit budget . 
 Jul 6 2006 	 never stay 	 friend stay Westminster five night February . hotel ideally locate Bayswater near Notting Hill Portobello Road many attraction like restaurant , shop ( Whiteley shopping centre five minute walk ) , Hyde Park ... enter reception , first impression good give key room receptionist tell we fifth floor lift get fourth & quot ; nightmare & quot ; begin . land stair fifth floor narrow wooden door pass get room . freeze ! ! room not well insulated , althouf¡gh heating , really cold . night sleep sweater sock pyjama . next morning ask chjange tell we impossible full , ask extra blanket get extra sheet ; tell we run blanket . , would not stay Westminster . web page great room not similar one appear . 
 Jul 5 2006 	 avoid not backpacker ! 	 book room hotel two night stay London way continent . rate three - star , one would seem appropriate . actually row house knock one . first stay uneventful hotel room look tired . quote & quot ; room quietly locate comfortably furnish high standard & quot ; . mine not ok one - night stay leave booking follow week . unfortunately ask hotel call cab . turn private car charge £ 20.00 Waterloo - journey official cab would £ 10 £ 15 ( come back black cab next week check ) . nasty little surprise stranger one wonder pocket extra money ? also , think illegal hire car without meter take people without quote price first ? may wromg this . second visit . & quot ; room xxx fifth floor . take lift walk one flight stair . & quot ; hold minute , partly disabled manage stair luggage . porter summon bag take . could believe eye ! tiny room contain two metal double - deck bunk bed , sort use youth hostel 40 year ago ! ! say must mistake rang reception . say room leave eventually find room four bed fourth floor . hardly room move around , stiflingly hot , window would hardly open . 10 pm stay , come book several week tell travel agent room bunk bed fifth floor ? could book somewhere else . , bunk bed four people allow fifth floor - suggest fire people look danger . sadly , shake take photo ! incidentally , website claim trouser press Iron & amp ; board room . mine didn't . to fair , breakfast excellent , good choice fresh . but , not stay unless back - packing dwarf . example room get book well advance , shudder think offer anyone walk street . 
 May 23 2006 	 great value 	 stay hotel 2 night recently mother think £ 40 per night great value money . short walk distance bayswater tube station . stay 2 single room clean lovely decor good shower . Buffet breakfast include price ( £ 3 extra want cooked breakfast ) really nice plentiful . pick fault would decor reception area nice room leave perhaps great first impression . overall think great value money . 
 May 19 2006 	 mediocre good 	 Westminster bad hotel , nowhere near good website suggest overprice service facility offer - one star hotel three star price . the room dire need refurbishing , wallpaper paintwork peel . bathroom small poorly light , water pressure shower suffer badly . although offer another room first night , customer service little unenthusiastic . none problem end world , course , Westminster not portray high regard , would probably far few disappointed customer ! 
 Apr 14 2006 	 enjoy stay 	 stay Westminster Hotel mother November 2005 5 night . location hotel excellent , near Whiteley 's shopping centre Queensway short walk bayswater tube station . although room pretty small , expect London , room clean bed comfortable . England wintertime , afraid room would cold , room warm . the continental breakfast , include price , good , quite wide range selection . give we good start day ! staff pretty young , maybe little unexperienced , friendly . would definitely stay ! 
 Apr 5 2006 	 will not go back 	 disappointing hotel . room tiny , bed uncomfortable sleep long time . young daughter swap bed first night neither we could sleep - hope find respite opposite bed unfortunately bed equally bad . mattresse hard lumpy bed really small . disturb noise adjoining room night make matter bad . whole place look tired although say clean although carpet room thread - bare hard imagine would ever really clean . breakfast room need thorough re - fit , selection food inviting . staff seem young inexperienced although good professional . definitely would say hotel over - price will not go back . 
 Apr 3 2006 	 bad ... 	 stay 4 night hotel . like beautiful building location excellent : near Notting Hill metro station nearby . however , room small WC miniscule . alone want place sleep average condition good location ( area quiet ) ok . however think 's overprice compare other . breakfast ok nothing fancy personnel friendly . will probably get less money elsewhere . 
 Mar 16 2006 	 good little place 	 stay Westminster several time . feel move write line review lady Bermuda . think may gotten hotel mix . westminster near Victoria Station , be want location hotel you . the rest description sound pretty close Westminster , except not recall airconditione . least room . another may , not know . also , regard breakfast , Continental include room price . not know Westminster offer L13 cooked breakfast , coffee croissant go ! ( nice Continental breakfast spread fruit , cereal , yoghurt , cheese , salad , cottage cheese , croissant , juice , roll , coffee tea . ) anyway , not want criticize lady , want make sure one book westminster strength near Victoria Station ( , ) .It near Queensway ( close Mid - May 2006 ) Bayswater Road Stations . 
 Mar 9 2006 	 good deal 	 good deal . search relatively cheap accomodation , pretentious , time cosy confortable excellent position visit city , good solution ! expensive ( pay 298 pound 4 night double ) consider London ! executive double room ( 3d floor ) , no - smoking . staff kind helpful , desk service available 24 hour day , room ( least one - 306 ) big clean . good shower . wonderful location , walk distance bayswater tube station , adiacent pretty cosy Notting Hill area , good pub around go eat / drink . good breakfast . only weakness : room probably little hot , even winter , complain much ! may find view window exciting ( particularly room face backyard - room 306 ) . 
 Feb 18 2006 	 bad money 	 Decent hotel worth full price . ok find cheap . breakfast good morning room clean little small . would consider stop . quiet location easily access tube . staff polite . grove room not bad . 
 Jan 19 2006 	 can not really compare hotel London 	 first visit hotel ' ve stay London . the staff nothing friendly - mean every hour day . even maid pleasant give extra towel . ( way not supply washcloth ) . would smile acknowledge every time walk door . I single room , . place room midway two level not room either side . arrive 7:30am immediately room . likewise parent arrive time 3 day early . neither we book extra night , give we . the single room , small . compare elongate cubicle . single bed comforter fleece blanket cover . top sheet , comforter die ! pillow feather hard brick flat & amp ; small . reverse cycle airconditioner along separate furnace heater , could run airconditioner night - every night . room comfortable temperature , become bit stuffy due size . tv seven local station . clean - something check every hotel . not vacuum daily though . bathroom extremely small sort rotate handle toilet almost 360 degree flush . amusing time consume . 's shower stall , can not bend pick soap . would say 're big US size 12 , have trouble navigate around bathroom . keep hit elbow ' m size 12 . parent ' room bathtub deep able - bodied dad need help get . word , need step ladder . two workstation internet access lobby . payment credit card . my stay overall quite pleasant New Year 's night put someone room 4:30am . floor must wooden footstep come loud clear . smoke another issue constant annoyance every night . parent eat continental breakfast morning surprised end present bill 13 pound breakfast ( be person ) . location two block Victoria Station ( providing come right entrance ) feel extremely safe walk back forth alone night day . Victoria Station nice shop eat . station KFC , McDonalds ( think count 3 altogether ) , Burger King ( not forget ask condiment though ) , Pizza place , steak restaurant eatery . nice dress shop man woman , grocery market , electronic store , record store , several small pharmacy type store , health store , hair accessory ( Claire 's think ) , jewelery store , Avon , book store many many more . pick bus tour ( Big Bus well original ) right Station . hint ; be go London Eye , buy ticket internet first . get go directly machine insert card , print ticket . save LOT time wait two long , slow line ( one buy ticket , actually board Eye ) . ' ve stay various hotel chain Vegas Bellagio , venetian etc , would put Quality Westminster comfortable price . next time though , will stay close Picadilly Circus mostly evening function . enjoy trip ! 
 Jan 12 2006 	 cheap cheerful 	 typical lot hotel bayswater , fact be possibly well . say though 's mean good hotel . rude non english staff , struggled speak english add charm ! breakfast basic price expect . I would advise american guest stay away really not standard would expect . ( try hilton paddington want quality hotel ) however cheap , clean great location . I would stay business meeting area can not beat price . 
 Jan 7 2006 	 excellent value ! would definitely stay ! 	 stay boyfriend two day Christmas . find hotel nice neighborhood ( couple block bayswater tube , 1 block away cute street nice shop - try gourmet burger place - GREAT ! ) . long flight California , able check early - 1 pm ( remember email hotel ask early check - in possible ) . room 4th floor bit concern initially right next lift . , problem noise although room small , everything clean well - maintain . pay 44 pound night , can not complain room size ! Mattress comfortable breakfast good ( good selection - many mention ) . hotel staff nice , friendly , helpful . will definitely stay whenever London . , also add , many people site complain insignificant item ( IE . reception area bite old / fray ) . want Hilton , pay Hilton price ! : ) 
 Jan 4 2006 	 bad Hotel ever stay ! 	 agree majority people . hotel bad hotel ever stay . room really small , staff really bad attitude , hear people walk floor , bathroom small claustrophobic list go . nut shell .... do not bother . 
 Nov 11 2005 	 good London Hotel stay 	 look forward stay review £ 35 night thought could bear . pleasant surprise ! staff helpful friendly , excellent breakfast fruit , yoghurt , cornflake , meat , cheese , croissant english option ( £ 3 ) . room spacious flat screen tv , desk clean . even amazing iron ironing board wardrobe - business great . check reception say room ironing board . internet access downstair bar . locally load restaurant chain like Subway ethnic . single woman may feel bit nervous surround street budget hostel stick main road access hotel . never problem wife get nervous use big city . 
 Oct 21 2005 	 stay Westminster 	 stay Westminster friend summer would never recommend hotel anyone . first arrive room yet ready decide walk around bit ( even though exhaust long flight ) get back hotel room still ready give we room fifth floor . elevator go fourth lot luggage we one could bring luggage refuse take room opt wait room available . Next give we room second floor happen room one floor flight stair lead . especially find funny make clear want lug luggage flight stair . finally able get room never return hotel . rude staff room awful . understand Europe room small old ' problem , room dirty bathroom bad , bed uncomfortable , could hear everything street night , could hear people floor walk around . London wonderful city fill plenty decent place stay . favor stay . 
