great 	 great hotel location transport link . room large New York , clean , large clean bathroom . use iron board free safe room - would definitely return next NYC . 
 Jun 20 2008 	 great value hotel : like much go back ! 	 visit May 2008 February 2007 , time thoroughly enjoyable trip , make well friendly staff hotel . the Broadway Plaza locate conveniently 27th Street Broadway . ideal location : Herald Square ( include Macy 's Empire State Building 6 7 block away ~ roughly 10 minute walk ) , subway station within couple block , bus downtown mistown wirhin easy reach . people mention area hotel situate particularly great , three young ( ish ! ) girl , encounter problem either trip , even late night . the hotel clean , tidy confortable . luxurious hotel ever stay , honest , be NY want hotel room long ! nevertheless , nicely decorate perfectly adequate shopping sightseeing trip . bathroom also spotless room service good . slight complaint would tv couple channel properly tune ... , say , time much watch tv NY ! ! view fantastic manage get one room face Empire State building ( actually request book online ) . room high floor good view small room . first time go upgrade Junior Suite - huge seating area , etc . second time superior room , nice , small , say , view well . the breakfast good , range bagel , cereal , donut etc ; go breakfast ... try Greenwich Village lovely al fresco meal ! ! 25 minute walk hotel . with regard eat , good restaurant fairly sparse immediate area probably want explore bit way ... personal favourite Little Italy , South Street Seaport Boathouse Central Park . however , find couple lovely restaurant nearby : blue smoke ( 27th near Lexington , barbecue type food jazz bar downstairs ... great atmosphere ) Ilili ( 5th 27th 28th street , good lebanese restaurant visit ! ) would think twice stay next visit NYC . staff great make visit pleasant one . happy hail cab , book transfer airport ... even arrange boyfriend send we bottle champagne Valentine 's Day ! ! 
 Jun 19 2008 	 Shady area 	 read review mix , not think place would bad . area safe .... room smelly ... recommend . I single prof . female feel unsafe . 
 Jun 6 2008 	 reasonably price hotel 	 nice hotel situate Broadway , room quite nice spacious New York standard , however maybe could bit refurbishment . negative part hotel ridiculous breakfast routine - one tiny room whole hotel 2 ( four seater ) table , ridiculous hotel size - dread get morning trek breakfast room - eventually get use make bit laugh joke it . the hotel staff friendly helpful - especially concierge tell get place new york via subway call private cab you . the hotel situate wholesale district new york - many cheap shop area fine day - night everywhere close - little restaurant bar proximity lonely night - nightlife long way away know go . overall however - stay enjoyable would reccomend hotel anyone look reasonable priced hotel Manhattan . 
 Jun 1 2008 	 bad Hotel ever . 	 hotel one bad ever stay . room get suppose non smoking walk room smell old cigarette . floor stains air conditioner not work , ask 2 bed give we 1 . first arrive pulled front building walk inside person handle everything front ask we park say front guy look outside said & quot ; not & quot ; sister tell go outside look say & quot ; , how s front & quot ; do not say anything , give we piece paper say & quot ; park car garage & quot ; sister say call Hotel say would take car garage free charge . lie . take car garage walk back hotel . people desk rude care . try go different hotel late . stick . feel like step Ghetto , People take thing trash can , people half dress stand next hotel , People smoke pot deal . next morning leave hotel shopping throw next door . door holder say woman much drink throw street . not CLEAN . food put hard , orange juice warm not much . one pitcher . gone not fill back . big disappointment . would not even give Hotel 1 star . 
 May 28 2008 	 pleasantly surprised 	 stay Broadway Plaza Hotel girly shopping trip 18th 22nd may 2008 . 3 we room two large bed , room huge safe great . bed comfortable , want take mine home ! ! ! room clean tend every day staff really friendly . on first impression were'nt overly impressed area , read review though were'nt surprised . come hotel people hang around try sell fake handbag perfume , shop immediate area bit cheap tacky . were'nt spending time around do not really bother we much . breakfast ok , remind hostel good coffee nice bagel fruit grab go . overall would say stay want good base centre thing do not expect anything fancy , would stay pennsylvania 's standard . 
 may 28 2008 	 Excellent Location friendly staff 	 book 6 night trip choose hotel review Trip Advisor disappoint . whilst hotel nothing special look average clean 3 star hotel . the complimentary continental breakfast morning bonus . tea coffee available 24 hour breakfast room small side . the advantage hotel 's location fantastic staff employ could helpful accommodate . location wise hotel short walk Empire State Building , Macey 's , Flatiron building sight see bus pick point . the room well maintain clean well day . bed also soft long day sight seeing . overall great stay . 
 May 13 2008 	 love Broadway Plaza ! 	 choose Broadway Plaza carefully read review many New York Hotels , pleasantly surprised . the hotel remodel recently enough look fresh clean , new carpet paint smell , important allergy chemical sensitivity . perfume smell room , really non - smoking room smoke . amenity highly perfumed use , always travel own . the free continental breakfast nice surprise -- good coffee , large bagel pastry , fruit . review reservation neighborhood , not feel worried . day comfortable walk around alone , night , take cab . fifth 6th avenue block either direction , clean , safe street . hotel garment district , be plus , buy bead . find 10 store within many block . the room spacious -- large room ' ve New York City , even expensive hotel . will definitely make New York City home future . 
 May 6 2008 	 hide Gem Place 	 read review hotel arrive uncertainty hotel . immediate area , admittedly , well find New York . prove fine ; somewhat tacky shop occasional street trader , neverthelessa interesting area feel totally safe . interaction local street inhabitant friendly extremely courteous . also feel safe night . the hotel narrow entrance reception desk way corridor . receptionist , concierge doorman oblige helpful . public area room exceedingly clean , tidy well decorate . bedroom also good size , much big previous visit NY . ask view Empire State Building give two adjoining room 11th floor , view ESB.We not use breakfast facility use 24hr coffee service take back room . lot delis place eat area . we really enjoy stay hotel , certantly use next back New York 
 Apr 27 2008 	 Great Hotel 	 ' ve get back one week stay Broadway Plaza love ! location perfect anyone visit New York , pretty central , be two minute walk flatiron building five minute Empire State Building could see room . the main complaint make people hotel seem area leave feel little nervous . 's true 's great area different lot street Manhatten unless be pay stay top range hotel . ' cheap ' shop street seller around hotel neither thing bother we . walk back hotel quite happily night , quiet feel perfectly safe . the breakfast room fairly small free breakfast great start day . fresh pastry , bagel fruit every morning tea coffee day night . people seem grab something morning take back room work fine . there also vend machine 7th floor drink snack . 's also ice machine too . the room great , fairly large bed really comfortable . room clean daily clean staff helpful friendly . all staff hotel lovely . concierge doormen 24 hour really friendly book lot trip . also arrange car service back airport really helpful . $ 60 JFK ( include toll tax ) black lincoln not great deal yellow taxi whole lot comfortable less hair raise ! overall amazing time New York Broadway Plaza make ideal base . would not hesitate recommend hotel people . 
 Apr 15 2008 	 Great Hotel 	 Hotel really clean everyone hotel really friendly . hotel location could put people lot cheap shop around people hang around outside day . take previous traveller advice cut 5th Avenue head uptown downtown . breakfast not much usually elsewhere . 's great cafe call naturally Tasty 27th 5th Avenue use breakfast lot . great view Empire State Building room . would definitely use hotel . 
 Apr 15 2008 	 Turmoil Broadway Plaza 	 one bad stay hotel , ever . upon arrive room , find tiny , cramp , carpet dirty . dirty , fact , step needle . needless say , stress ensue . call front desk inform , offer bottle hydrogen peroxide bandaid . front doorman bring , say bring back ' m do . not offer consolation sort , not offer log security book , ... nothing ! Tetanus shot follow , exclude stress possibility contract anything else . calm , try get shut eye . might elevator , alllllll throughout night constant , loud noise sound like elevator motor run stop clanging , run stop clanging . not get wink sleep . do stay . , wear shoe inside room bring earplug ! 
 Mar 31 2008 	 great hotel 	 Great Hotel . area look little seedy really totally fine , look deceiptive . staff extremly freindly helpful . Breakfast include , well really coffee pastry nice start day . room great size clean . Maids wonderful job everyday replace towel , 4 room , always bath towel hand towel each . some room view Empire State unfortunately didnt . make sure visit Ellen 's Stardust Diner Broadway 51st ! 
 Mar 16 2008 	 Decent Room - careful 	 room clean , small oddly shape . get stick next elevator shaft tell want quiet . elevator door close face one room per floor . want person ! Ding ! think room service non - existent . hotel centrally locate immediate area bit low - end . it good value go pre - warn push front desk ! 
 Mar 12 2008 	 great stay ! 	 fear stay , due poor review hotel actually pleasantly surprised ! think reviewer never actually stay hotel NYC , comparison hotel NYC , room fairly spacious , breakfast great ( coffee tea available 24 hour ) , location convenient . subway block hotel easy get around town . & quot ; local & quot ; hang around outside harmless - never approach we ... day . bed comfortable , lot extra pillow staff extremely helpful without overbear . yes , breakfast area small , able sit table every morning . complaint nothing hotel loud people stay room across hall we first 2 night slam door 5 time around 2 . go back NYC , would stay ! 's ritzy hotel would rather spend money Broadway ticket stay overpriced hotel not offer breakfast . 
 Mar 6 2008 	 basic central slightly dodgy area 	 stay Broadway Plaza 3 night 2 February 2008 . honestly say neared hotel taxi , come Newark Airport via Holland Tunnel ( think ) , area give good impression . hotel actually shady tat shop grotty pizza restaurant , surround intimidate & quot ; hoodie & quot ; & quot ; homeboy & quot ; type gang sad okay hotel . we greet courteously show room , reasonably clean comfortable . suspect stains carpet iron burn . bed comfortable linen clean . bathroom rather date 1970 's pvc type cubicle within bath instead tile . clean towel fresh . another reviewer mention 1970 's polystyrene type tile ceiling neon strip lighting , bit naff element simply change would probably brighten modernise room . view okay , well New York hotel see Empire State front ( probably side ) building . room size also average would say hotel ... okay really . complaint staff , reasonably pleasant . breakfast facility not great room rather small wait age elevator , balance breakfast wait . microwave coffee , tea orange juice available 24 hour . the location great , 's central close subway station , cross road straight ahead hotel walk 27th street get 5th ave , another member 's advice cross walk town rather walk Broadway unsavoury character congregate along stretch road . Metro card well worth ( can not remember much well worth $ whatever ) . enjoy stay Broadway Plaza location great , breakfast include room okay actual locality good real turn . 's worst good either , not mind hangin ' da hood will fine ! 
 Feb 18 2008 	 O.K .... 	 hi .. stay Broadway Plaza 3 night book direct hotel . can not compare anything else New York ' ve never stay will tell think . the hotel situate corner Broadway west 27th street actually ten minute walk Penn . station be come Newark train . street around hotel smart hotel garment district absolutely problem . be nervous tip would walk block across Fith Avenue instead walk Broadway , nice , section Broadway group hood local hang around day fine night say problem imagine people would bit nervous . the hotel fine , pay £ 130 night double breakfast include . think maybe fair price New York . room 10th floor great view E.S.B . air con . system room make loud whine noise couple time even though not use . pretty poor really be tired start 4 a.m . call reception tell happen lot turn air con obviously know 's problem .. room clean comfortable bathroom etc fine problem aircon staff friendly helpful . breakfast machine coffee orange juice selection pastrie muffin ok quick start day anything cross street & quot ; Naturally tasty & quot ; diner traditional egg stuff .. 's restaurant breakfast room 4 little table not expect lavish surrounding . room service menu reasonably price food deliver local cafe/ restaurant not use can not comment . not use T.V really not know channel etc pay per view channel etc . $ 9.95 day wireless broadband room laptop . block 2 internet access cafe 28 need check line etc return trip . hotel round corner Flat Iron building 28th street subway round corner . 's good restaurant call Bluesmoke 5 minute away 34th street Macys etc E.S.B easy walk . feel free get touch question .. 
 Jan 25 2008 	 Room View 	 party 6 stay 3 night . 2 room , 8th 12th floor . wonderful view Empire State . staff extremely helpful breakfast room adequate . small hotel coffee / tea 4th floor 24/7 useful . we arrive dark concerned immediate impression Hotel . large entrance hall inside pleasant . we find quite central thing want . use subway everyday - purchase $ 7 ticket per day - make endless trip . subway stone throw away hotel . the room quite spacious , bed comfortable , ample pillow - something usually ask . bathroom certainly big enough , plenty towel . great room safe , always like that . by day could feel little wary many ' cheap ' store vicinity . lot youth stand around also try sell variety item , handbag , trainer etc . ignore make way subway never feel unsafe . 
 Jan 19 2008 	 great view 	 return home spending six night broadway plaza nyc would thoroughly recommend hotel anyone think visit great city.the hotel clean staff extremely helpful view empire state building superb.there also decent complimentary breakfast rarity city.i certainly stay next trip.this hotel bargain new york . 
 Jan 16 2008 	 Ughh . 	 recognize Broadway Plaza budget hotel -- $ 170 $ 240 per night budget ? -- get much well accommodation price Pod Hotel other mid- uptown . we stay four night two different room . second one , junior suite , switch outlet come wall , couch filthy would not sit ( dirt , dog hair ) , generally shabby condition . room add unique ( ) innovation : office - style overhead fluorescent lighting . concept . , fair , desk lamp well overhead . agree another reviewer food coffee pretty bad . oh , debit credit card $ 100 case damage , promise return 5 7 business day , another grand innovation . we also problem management . wife travel business room pay first two day . call two day arrive add time give room available , junior suite . , see first room , decide cancel second two night . manager refuse , say cancel three hour late ( 45 hour instead 48 ) . argue ( ! ) us quality room , opinion pay customer not count . finally Scott agree try & quot ; sell & quot ; room could get another sucker . almost certainly lie say turn away regular customer want junior suite . said & quot ; 99 % chance & quot ; would sell room , since become available Friday hotel popular . course , not sell , surprise there . I would give place two star , manager 's attitude $ 100 deposit drop one star . stay away place . & quot ; 
 Dec 28 2007 	 usd $ 400 + nothing ! 	 schedule change cancel book Broadway plaza hotel within 2 day limit . unfortunately website use base Europe Timezone work we ( big watch traveller ) . Broadway Plaza walk away $ 400usd money ... nothing refuse provide refund , refuse negotiate even refund part amount . & quot ; ... see problem bad & quot ; hotel blame web provider vica versa ..... guess lose .... consumer ! rude , hand almost aggressive response - leave bad taste mouth glad end not stay know service would like face face . warn traveller thing not happen ! 
 Dec 27 2007 	 Great Option NYC 	 looking & quot ; expensive & quot ; option three - girl trip NYC October , 2007 Broadway Plaza fit bill ! fancy part city , accessible subway taxi big attraction . street scene plain , walk inside find clean , well - run hotel large room , comfortable bed , friendly service . not count great continental breakfast though -- - rather meager well . can not beat price convenience . will definitely book ! 
 Dec 19 2007 	 nothing Outstanding Adequate 	 choose hotel base proximity meeting 21st St. Broadway . outside not look impressive lobby not much change one 's initial impression , find room clean , desk staff , housekeeping staff , doormen helpful efficient , continental breakfast bagel , donut , pastry , apple , orange , juice , coffee , etc . , adequate need , bed reasonably comfortable . unlike picture website , room marble tile floor rather carpet . room remind Comfort Inn - type room . nothing top , nothing find fault . $ 179 night ( book hotel website ) , would stay , next time ' m NYC , hotel Affinia chain ( affinia.com ) available much one , convenient location need , would choose Affinia hotel one heartbeat . 
 Dec 17 2007 	 expect ... 	 visit NYC regular basis use small room overly price hotel ridiculous . pay arm leg room least expect something semi- decent . first thing , lobby tiny staff money hungry tip . carry two bag problem . next get room ( non smoking ) stench smoke hall . huge red stain carpet dirty spot . bathroom tiny water pressure weak . positive room free internet . hotel 9.95 per day work unsecured wireless network area . overall : thumb down . do research find something well . stay MUCH nice hotel much low price . 
 Dec 17 2007 	 great value 	 stay Broadway Plaza October 2007 . Read review hotel location little worried need , sure retail area never bother never feel unsafe . ten minute walk Empire State Building 25 minute Times Square . room large spotlessly clean rest hotel . free tea coffee bonus GIANT pastrie breakfast also complimentary . reception concierge helpful friendly unlike New Yorkers . pay £ 650 GB Pounds four night half price big chain hotel small room breakfast . return New York would definately stay Broadway Plaza . 
 Oct 11 2007 	 Disappointed 	 book hotel March read review another network - extremely disappointed . book mainly inclusive breakfast high standard cleanliness . however point disappoint . the room - despite pay extra ' superior ' small dark , need light even first thing morning ; although great view Empire State Building chair table sit bring breakfast back - breakfast room always full extremely hot ! subject breakfast - forget hotel walk across town rather uptown , superb cheap cafe - forget one next door hotel - FILTHY.We stay 4 night hotel check could write name dust thr bedside table . also , toothpaste spilt sink first night stay still check . ( deliberately not clean check long remain . ) first day report bath plug not work , take 2 day fix . another gripe - considering arrive middle heatwave - evening return dinner , someone room turn air conditioning . major point - annoying . ( especially person use loo whilst room . ) good point definitely door staff - Anthony Angel great . ' ve NYC , give load advice go get . recommend use subway Metro card ( go wrong way - cost nothing go right way . ) also , try Houston 's Restaurant ( 27th 5th Ave ) 3 block walk hotel - amazing ! 
 Sep 27 2007 	 home away home 	 wonderful week new york three friend would go back broadway plaza hotel heartbeat . originally read review trip advisor confirm travel agent hotel look nice seem like good choice economical point view . situate wholesale part town even walk home evening feel safe . walk home times square several night fine.there also good bargain find area . staff friendly room huge junior suit give four us space . two queen bed pull couch . couch sit area fridge . end room small sit area table two chair window- bonus view empire state building . room great Richard concierge helpful recommending tour restaurant also hail taxi give we direction anywhere want go . great place look forward retuning . Sherwood Park Alberta Canada 
 Sep 22 2007 	 great place excellent location 	 jus arrive home New York four night sit Braodway Plaza hotel . hotel great location , one block Fifth Avenue ten minute walk shop , Times Square Empire State Building . arrive hotel staff friendly could helpful welcoming throughout stay . room clean spacious , 4 we share two bed superior room never felt cramp . bathroom decent size fresh towel maid service daily . hotel provide continental breakfast nice fairly basic ! bagel doughnut nice , also fresh fruit tea coffee . three friend really love new york stay Broadway Plaza , would definitely stay next visit New York would recommend anyone location , cleanliness room pleasant friendly staff . 
 Sep 1 2007 	 Great Hotel 	 stay hotel 1 week could say recommend place . staff Broadway Plaza Hotel kind helpful hotel offer good quality service . ask anything want help well . room lovely , calm comfortable fantastic view Empire State Building . room equip air conditionning , huge tv , comfortable bed bathroom come tube & amp ; hair dryer , well iron table . hotel great location within walk distance main attraction ( Times Square , Empire State Building , Madison Sq . , Greenwich village ... ) . subway locate near hotel easily catch taxi . hotel good value money . fantastic time would recommend hotel anyone wish visit NY . 
 Aug 22 2007 	 back ! ! ! ! 	 return stay Broadway Plaza hotel . not fool 's small enterance reception area . flat iron area seedy state website , return room around midnight night problem . Felt safe time . room spotless , roomy beautiful . 10th floor amazing view Empire State building . bed comfy bathroom large . free breakfast great . yummy bagel , donut pastry . 24 hour coffee service plus . staff friendly helpfull . hesitate book stay . 
 Aug 16 2007 	 great bargain rate hotel ! 	 Broadway Plaza Hotel nice clean hotel target value - conscious traveler - highly recommend ! room spacious comfortable neighborhhod bit dodgy . not worry location - convenient bother local street vendor . $ $ $ , hotel beat . definitely return hotel future . 
 Aug 15 2007 	 100 % recommend 	 Excellent hotel locate heart NYC . staff friendly ! room clean ! facility ! recommend every kind people / traveler ! 
 Aug 14 2007 	 nice hotel NY 	 return yesterday 4 day stay Broadway Plaza . stay large 2 bedroom suite . room bathroom spacious clean . enough room 4 adult 1 child staying room . continental breakfast good , hotel lobby personnel exceptional . hotel locate warehouse district day lot seedy people hang around . 6 pm go . feel little uncomfortable time local hang around area day , enough discourage we stay . location central low Manhattan Central Park spend time . good restaurant 1 1/2 block away call Dona really good well really nice deli locate block away great take meal . walk Time Square 1/2 hour . average price $ 289 per night Friday Monday would definitely stay . 
 Jul 7 2007 	 Nice Hotel price . 	 book hotel use review guide line , think contribute . find review read pretty accurate . location hotel great get around town . really close yellow line subway ( 28th & amp ; Broadway ) , mid town , good neighborhood . outside hotel basically narrow doorway . always lot seedy guy hang around outside hotel day time . interesting usually go evening . far inside hotel , clean room good size . not great view ( small window film , could not see ) , change room first room give small bed room great view . call front desk say reservation king . nice quick accomadate we . staff great . free breakfast okay . small room fourth floor offer bread , Bagels danish . wish fruit lowerfat option . someone keep everything clean stalk free . happy stay price . 
 Jul 5 2007 	 great price space ! 	 girlfriend stay Broadway Plaza 4 night April girl trip NYC . price hotel , really good . room spacious clean . request view Empire State building , be worth . frontdesk always helpful . pizza place 2 door awesome . downside ... entry way street small -- shocked see person , area shady , mainly night , usually taxi drop we right door . time day walk explore , far Empire State building area . breakfast one day , big space , take back room . overall , people room much NYC , long nice , clean , safe place lie head , good . would definitely come back Broadway Plaza Hotel . 
 Jun 22 2007 	 clean hotel spacious room 	 thing wrong hotel slightly seedy location - nice look , great point view get around town . especially handy 5th Avenue Chrysler Building . the room large clean . bathroom fine - lot hot water , strong shower . staff friendly , helpful cheerful - even receptionist , work Thanksgiving ! great value - would definitely go back . 
 Jun 20 2007 	 central location great staff good sized room poor breakfast 	 first visit New York 40th birthday.we greetde Consierge friendly prove helpful stay.the entrance narrow hotel stretch back behind single door entrance . our room comfortable quite large . bathroom clean quite spacious . bed really high almost need ladder get bed every night . bed clean bed reasonably comfortable . arrive new York extremely unwell neede urgently see doctor . Richard Consierge sort everything helpful . we try room service , ok ( food New York not find great anywhere ! ) , although run hotel . nearby restaurant order beer ! breakfast room has4 table poor . limit choice pastry bagel really bland . location wise hotel really central site . tend walk load make sense we . Times Square 12 block away , Empire State ten minute walk , find excellent . as regard previous unsavoury area comment , think depends be use . travel Delhi Mumbai last month , area seem ok : rubbish street , beggar constantly harrasse people stare follow ! area probably little different busy area western city . we excellent time would go back Hotel 's central position excellent customer service . 
 Jun 6 2007 	 good hotel 	 friend return weekend New York City . hotel good absolutely problem staff . room stay ( double twin bed ) pretty big clean a / c , tv , big bathroom comfort . breakfast good typical New York - ish . pleasant thing think , location . though locate Broadway & amp ; 27th , area good stay . fact , one bad tell tour guide . night , say , lot people go area & quot ; bad & quot ; habit . lucky we night stay pour rain nobody street , & quot ; bad & quot ; intention . 
 May 29 2007 	 Mediocre Hotel - Horrible Location 	 partner stay Broadway Plaza Hotel May 23 May 28 , 2007 . book part joint airline / hotel package Travelocity save several hundred dollar . never skimp . next time pay extra money stay Time Square area . technically , be nothing egregiously wrong hotel , misleadingly advertise & quot ; boutique & quot ; hotel . could not truth 's nothing boutique . & quot ; economy & quot ; hotel would well description . build okay ; however , arrive main elevator bank work ( never good sign ) , wait several minute could even go room . ( two elevator bank - one go 7th floor another go way 13th floor ) . room clean appoint well enough , frill . extra seating , light well . wi - fi coffee maker . bed comfortable , bathroom spacious New York hotel standard . 4th trip New York together , use live , ' m familiar enough hotel basis comparison . the good asset hotel staff . hospitable , greet we every time enter hotel hold door we leave . leave we extra towel ask also provide satisfactory lunch dinner recommendation . would , however , accommodate late checkout request . the continental breakfast serviceable good . Orange juice , coffee , bagle , doughnut , muffin , turnover . hardly would call bountiful selection , pastry dry good . second morning take advantage breakfast get around 8:40 , 20 minute end . ( breakfast provide 7:00 9:00 ) . pastry go . woman charge breakfast area not take initiative restock even though several people wait line . ( room , way , tiny cramp adequate seating ) . ask turnover , not even speak instead set restock . attitude unpleasant , though , favor begrudgingly . not impressed . another reviewer mention hotel probably use office building , definitely see . every floor lay differently , kind chop floor design , wonder seem 6 7 room floor . hallway funny smell ( room okay , though ) , light dim hallway well . decor not warm inviting . all item aside , main problem hotel 's location . hotel unsavory area , ' m say someone be live different area New York . right Broadway , be sort & quot ; no - man 's land & quot ; midtown . day , little creepy nothing vendor rove pack young kid thug . 's impoverished area , be nothing immediate area would attract tourist , surround masse local . walk one block north 28th street , catch NR subway line . walk two block west 7th Avenue 28th Street , catch red 1 subway line , okay day , scary night . night , street around hotel desolate , especially cross block . shop front gate , hardly anyone around business . creepy . final night stay , late Village take cab back hotel around 1:15 morning . approximately 6 block south hotel one cross block ( 6th Avenue ) , encounter swarm gang member block intersection prevent traffic move . NYPD car front cab nothing spite fact gang fighting violence occur right side street . tense , petrifying moment gang member rush across street dodge traffic . hurriedly roll window , thankful finally get back hotel . however , sleep well night shake disconcert fact happen close proximity stay . short , want heart theatre district withe close walking distance midtown attraction , place . hotel spartan extremely dicey , unsafe area town . feel entirely comfortable , partner stay . hundred dollar save not worth . next time spend extra money stay uptown . 
 may 21 2007 	 great place stay Big Apple 	 stay three night : May 6th , 7th , 8th . room big double size bed queen size bed . bathroom large shower extraordinarily efficient masse hot water . although four adult share , not feel least bit crowded . Miro reproduction -- indeed , Miro Picasso theme throughout hotel 's decor -- treat ; hotel renovate high standard 2006 . find staff unfailingly courteous helpful ; question seem small take time answer . flatiron district hotel locate lively , multi - ethnic neighborhood many so - call wholesaler sell everything oversized belt buckle delicate gold necklace ugly bric - à - brac ; name , . shop close around 6 p.m. neighborhood become pleasingly quiet . feel safe hour ; walk many place hotel never even one ugly incident deal . hotel central ( Broadway 27th Street ) subway stop one block away . reduce rate parking ( $ 25 24 hour ) available around corner hotel . street area easy negotiate : problem drive New York . downside great consequence . window room look ugly , dirty courtyard ; provide impressive in - your - face view Empire State Building , tell ahead time big room back build therefore without view . air vent bathroom allow we hear person room though room ; shave one morning , learn life 's story care know ! occur one morning ; perhaps room vacant day stay . rate , problem occur bathroom ; main room quiet mean could sleep deeply night . breakfast room fourth floor present problem solve hotel calibre price range . room small ; toaster hardly work ; coffee juice usually good sometimes unappealingly watery ; pasterie poor quality . New York - style bagel , however , tasty especially lather thick cream cheese . take food room people . would look awfully hard find hotel good one , unless prepared spend good deal money . enjoy ! 
 May 15 2007 	 not believe bad review great hotel 	 staying honeymoon call couple day ahead request room view . got room 10th floor fantastic view Empire State Building ! room large , nicely furnish comfortable bed , new furniture repaint wall . nice pastry morning along coffee juice , wish would fruit also available . staff great begining end , go beyond expectation . hotel may prime location Manhatten safe , quiet night one block subway station . overall great choice , save money stay spluge nice dinner . 
 may 8 2007 	 General Manager [ -- ] 	 make reservation stay hotel online . afew month later unable take trip . call hotel 's frontdesk cancel reservation . recently , receive credit card bill find charge room ! ! hotel General Manager total [ -- ] phone . tell cancel reservation online phone ... screw $ $ $ $ beware hotel 's practice consider make reservation heaven forbid cancel . 
 May 2 2007 	 really loud elevator 	 hotel fine , realize elevator loud , hear room , difficult sleep . complain front desk , tell nothing could done hotel full . find preposterous could charge much $ 260 kind experience . I agree likely office building turn hotel . room not noisy , would fine otherwise - comfortable bed , clean spacious ( least NY ) .I go back , fear keep night . 
 Apr 2 2007 	 two thumb Broadway Plaza Hotel NYC 	 stay Broadway Plaza hotel March 20 March 21 . disappoint layout hotel . hotel look like transform office building hotel . could tell case less 5 room per floor . inside hotel lobby , not lobby . sit , restroom , couple people behind desk serve hotel guest check . light inside room not light would normally see inside room . huge fluorescent light would see inside office offer lighting 's desk area . light happen tv area . not anywhere room lounge , two bed small desk one chair . bathroom huge closet supply past . tub enclose shower mold grow thick layer corner shower . although water hot , imagine much mold / spore inhale shower . order room service , call restaurant several block away , would deliver add hotel bill . parking cost $ 50 day walk block back hotel parking car . give hotel two thumb . would rather spend money another hotel feel comfortable stay one free . 
 Mar 1 2007 	 excellent hotel 	 first stay broadway plaza new york please hotel . staff friendly helpful . room spacious , comfortable clean fantastic view empire state building ( worth request book ) . breakfast room small limited breakfast available convenient . vend machine ice machine too . we walk hotel day night feel safe . metro stop close hotel useful within easy walk distance main attraction bar / restaurant . we would definaltey go back hotel . Stu Kel ( Wirral , England ) 
 Feb 18 2007 	 decent money 	 close timesquare room good size clean . breakfast small area limited get pay need room proximity appealing . would care walk hotel night alone ( one taxi would fine ) night trash street full day street vendor selling , restaurant many people around dark . 
 Feb 3 2007 	 extremely satisfied ! 	 Excellent Place Price NYC ! 's Times Square , complaint hotel . first visit NYC hear small expensive everything . price excellent get . room roomy , bathroom big hotel room . room recently upgrade nice furniture , comfortable bed , vanity table . comfortable super clean . 's free continental breakfast serve purpose be hungry . request view Empire State Chrysler Building reserve honor . two elevator , one reach upper floor , sometimes take bit wait , bad . area far hustle bustle Times Square extremely quiet night vendor go ( shop remain open night hotel street ) street nearby somewhat isolated would not feel comfortable stroll around , need go get somewhere well take cab not want use subway , especially woman . 18 - year old daughter boyfriend one ever bother we . feel safe get subway , 1/2 block away , be get everywhere . couple block south , however , full people . hotel concierge extremely helpful suggest couple restaurant within walking distance . cheap good pizza place right next door hotel . Excellent Location access part NYC -- hotel 's good asset . be quite walk Times Square , , 's New York . however , subway bus way go . whole experience positive would hesitate recommend hotel anyone . enjoy trip ! hope picture help decide . 
 Jan 9 2007 	 Great Value 	 hotel locate centrally major tourist attraction Manhattan . stay New York paying , book Broadway Plaza . ( law firm client pay , stay mid - town Hilton ) Rooms Broadway Plaza clean quiet -- unless room face Broadway , will hear horn , etc . as & quot ; seedy area & quot ; comment , hotel wholesale district street vendor purchase ware sale . see Africans , Arabs , Koreans , sort people . afraid people look different , may feel uncomfortable . quiet night vendor go shop close down . breakfast hotel modest room small . care , feel safe difference Broadway Plaza Hilton $ 200 -- take money spend show . staff friendly , helpful , other note . 
 Dec 18 2006 	 wonderful hotel ! small special ! 	 Broadway Plaza Hotel make first visit New York City special one . great location , friendly helpful staff , large clean room . one block subway , . busy neighborhood day somewhat deserted night , always feel safe area . terrific view Empire State Building , . ' ve recommend hotel family friend look forward next visit . 
 Dec 6 2006 	 great NY Hotel price 	 great hotel price NYC . room huge NY hotel newly renovate . book last minute impressed . good location central go TImes Square head downtown . subway stop close . husband live NYC see many hotel , hotel great be try stay budget . comfortable bed , clean room , excellent staff , good continental breakfast morning . well worth stay save buck ! 
