recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Mar 24 2009 	 not get room low floor 	 let us start negative . room small , even New York standard room face 44th street noisy - can not sleep . blind not block light - stay start wrong foot pay upgrade suite . nice odd decor . quiet though -although face building site . the positive - position staff . would go back -probably . much choice accommodation New York . oh - 21st century hotel not give facility check line ( everyone travel laptop ) really customer focusse . not really want concierge check . 
 Mar 22 2009 	 another great visit Algonquin 	 spend three night Algonquin , city culture , performance South Pacific , important , Allman Brothers show Beacon Theater . Stayed Premium Suite , spacious , elegant , clean . price right , comparable suite hotel would hundred . staff superb , always cheerful , courteous , helpful . really make we feel home , famous Hotel cat Matilda . location central , allow we walk place . second trip Algonquin past year two , already plan return visit . excellent job folk . 
 Mar 3 2009 	 perfect ! 	 order , good thing Algonquin : STAFF , location , ambiance . arrive December 26 . first positive impression hotel doorman . cab driver Penn Station rude , even bad , take luggage trunk . doorman run 44th rescue ... entire trip ! able get room 11a.m . could get settle early . desk staff helpful check - in , check - out , in - between . bellman friendly full information , often chat theater experience . concierge go way help satisfy curiosity long line Bryant Park -- skate rink ! location could beat ... super - easy walk Broadway show , shop ( esp . dozen Bryant Park 's holiday kiosk ) , bank ( need Bryant Park shopping spree ! ) , restaurant , Fifth Avenue holiday light , Grand Central Station light show , etc . my room small comfortable . despite age hotel , room date -- nice tv , great bed linen , convenient seating , desk . back , quiet , certainly great view . bathroom small , date bedroom , functional completely adequate . everything immaculate . I enchant historical ambiance hotel ' public space , reflect beginning early 20th century . look like would run famous author actor era moment ! hotel cat charming surprise not bother anyone notice . wallpaper various room sign interested read -- really capture literary history hotel . problem ( could call ) elevator -- two one seem guest one often wait . take stair room sixth floor occasionally . 
 Feb 22 2009 	 nice ! 	 wife stay 2 night mini - vacation Algonquin nice ! clean comfortable ! yes , room smallish , care middle NYC ! especially love bathroom shower great water pressure , nice change day ! location great ... walk distance everything . like hotel NYC pricey , need nice basic breakfast normal price , nice cofffee shop right next door . we love Algonquin would definitely stay . 
 Jan 31 2009 	 Wonderful Hotel ! 	 love Algonquin ! concierge wonderful , location amazing , decor classy cozy ! room small side , stay room day ? ! New York City sit room majority time , feel sorry ! 
 Jan 7 2009 	 check Blue Bar 	 check Blue Bar classic cocktail first class service . ask Christian behind bar -- amazing . 
 Nov 29 2008 	 old fashion NY right heart . 	 husband go NYC Thanksgiving stay one night Algonquin , next Sheraton ... wish stay night Algonquin ! good : location : block away Times Square , easy walk Penn Station , side street feel little less chaotic staying right Times Square . room : small , nice . bed comfortable , tv ( flat screen ) great , bathroom , even though small nice bath body work toiletry . also robe use , 2 bottle cold water wait we . check : flawless quick . service : Mike , one bellhop outstanding ! friendly helpful . Decor : love old NY hotel feel - every thing room new , look like recently renovate , glad see keep thing like New Yorker wall paper - add really nice touch city . bad : room small side , not know would work well child ( unless get suite ) . overall : would definitely recommend stay Algonquin ! 
 Nov 17 2008 	 Charming hotel small room 	 Algonquin charming beat location , 6th Ave . say , really place stay reason business travel . room small could almost touch wall stand center . lcd tv wireless internet fine , room simply place would want spend sustained time sleep . house cat ( forgot name ) cute hotel historic significance . like bar complimentary cookie . book priceline something like $ 175 night , standpoint bargain . 
 Nov 14 2008 	 good location great hotel 	 hard draw final conclusion hotel , location pretty great , close time square Broadway , hotel high opinion really deserve . I start positive , clean hotel , good service room update quite recently high standard . however , room small , noisy overnight . know pretty central , expect noise , however , windows room , combine large a / c unit mean allot street noise get , much fact , noisy window open . not ask much hotel except able sleep , find hard . noise particularly bad moment , allot building work go next hotel , start early . coffee maker also absent , pretty poor hotel , let alone expensive . would bad , except hotel menu particularly expensive , even cup coffee . stay wide range hotel , many different star , can not say Algonquin deserve 4 star , 3 would appropriate would still need coffee maker . overall , heavy sleeper planning spend little time room , bad choice , however , like light sleeper like coffee 1st thing morning , look elsewhere . 
 Nov 14 2008 	 Awesome Hotel 	 Excellent hotel staff . travel three day probably one good hotel stay NYC travel NYC regularly . love room . clean , nice , cozy . bathroom clean . staff amazing . location superb - couple block Times Square . excellent stay experience . 
 Nov 12 2008 	 rate Algonquin ... 	 get 2 room , one , one niece . 's good thing get 2 , tiny . room bathroom tolietrie . small dresser one room , none other . LOUD LOUD loud ; not plan sleep much . much noise think window open ( not . ) construction go , dumpster apparently handle somewhere around 4 . staff member friendly helpful , one sour woman handle check check . uncalled 4 star hotel . it centrally locate historic landmark . 
 Nov 11 2008 	 Nice Choice 	 overall nice stay . stay Premier Suite book great rate ( special hotel website ) . tad small nicely appoint . live area large enough six we gather cocktail . old New York - meal can not comfortably eat room , mean take classic common area lobby . pullout couch small really uncomfortable - ok pinch night not consider real option . window not open uncommon although use live NYC , beach girl drive crazy . front face room opposite office building light well night curtain must closed tight escape . pay full price suite would much less unforgiving . the location perfect - close enough Times Square without part tourist area . walk St. Patrick 's , watch Today Show going morning , short stroll 21 Club , Saks . the staff nice fun pet resident cat lobby . really last kind , piece living history . may choose stay every trip city never spend time without least stop drink . ever travel solo NYC think would first choice stay - it intimate comfortable . overall , one word - nice . 
 Oct 29 2008 	 beyond Pet friendly 	 travel NYC least twice month business , usually stay company 's designate hotel . accompany 13 yr - old Tabby cat recent trip drive another destination . know Algonquin famous House Cat , confirm hotel pet friendly . never expect cat would get attention ! guest room preppe disposable litter box , food & amp ; water bowl , spoon wet food , plastic bag strainer , good -- place mat ! even well Hilda ... housekeeper shower Tigger rub kiss . six star Algonquin ! 
 Oct 24 2008 	 good hotel theatre district 	 recently stay Saturday night Premier Suite ( Dorothy Parker ! ) . got great rate online special hotel- 20 % regular rate upgrade continental breakfast . suite separate living room sofa bed ( pretty uncomfortable ) bedroom small adequate bathroom . room clean , could use towel . issue noise adjoining room well . however , consider 2 room location ( blocks theatre ) well worth price . staff professional . waiter breakfast gracious , bartender Blue Bar . , New York cab driver prove obnoxious . one refuse drop we theatre dinner 21 Club ( always excellent ) drop we several block away . NYC bustle crowded- store seem affect economy . Salespeople Bergdorf 's Bendel 's rude usual , saleswomen Coach Cole - Haan store 50th st great . go theatre get great rate , hotel recommend . , would stay elsewhere- probably Grammercy Park . 
 Oct 15 2008 	 WARNING ! ! ! 's building build next door ! wonder deal ? 	 comparison price hotel $ 240 pay stay Algonquin steal . bit tongue front desk clerk smilingly tell ' that s get book priceline ! ' ask twin bed exchange queen size bed give . bed size change considerably money ... king , twin . actually seem enjoy tell . choose share queen size bed nephew . it next morning 7 become clear room discount ( comparison near hotel ) . high rise construction directly across street . currently foundation stage . way building still yell construction crew jackhammer resound sound metal pound steel easily penetrate wax earplug . front desk response ? & quot ; that s get book priceline ! & quot ; btw , hotel tired . probably convince preserve history ... dent wood , sloppy paint New Yorker magazine cartoon wallpaper throughout pretty tacky . 
 Oct 7 2008 	 Great Value Nice Hotel 	 look hotel weekend NY find great deal Algonquin lastminute.com . review tripadvisor good since pay £ 100 per night concerned type room go get . well , lovely . room average NY standard , well appoint , clean noisy . bed comfy everything need city break . hotel great location , fab service quirkiness endearing . great place NY city break . 
 Sep 4 2008 	 Class Still Alive New York 	 hotel bygone era update bring present time without sacrifice unique classy heritage represent . room little small , clean functional . , need sleep bathing . bed , without exception , comfortable luxurious experience ' ve hotel . joy fall end long day sightseeing shopping . wonderful lounge area lobby fun . even not guest , would back enjoy nightcap time . staff outstanding . professionalism friendlieness envy even & quot ; exclusive & quot ; hotel New York . feel safe , feel appreciate problem return future . rare gem midst sprawl Manhattan - one overlook . sure order & quot ; Mathilda & quot ; cocktail bar stop say hello old girl . one lucky kitty . 
 Aug 29 2008 	 Great Anniversary Weekend 	 celebrate anniversary New York want nice Midtown hotel weekend . Priceline give we Algonquin , great probably would not come across own . the location one block Time Square , close quiet . room decent size ( NYC standard ) , clean simply decorate . bed amazingly comfortable . recent remodeling give room modern feel despite old hotel . the staff friendly helpful , round great experience . concern ' house cat ' live lobby , aggravate cat allergy . think would gladly stay next visit Manhattan . 
 Aug 18 2008 	 great Stay ! 	 celebrate 40th birthday New York mother . always want stay disappointed . location could well , hotel staff helpful agreeable . storage room practically nonexisitent , complaint . bed absolutely comfortable ever sleep , room toward back hotel totally quiet . would highly recommend hotel . 
 Aug 11 2008 	 elegant hotel conveniently locate 	 read hotel trip adviser think pretty good idea expect . hotel historic , beautiful , absolutely charming , Times Square location really beat . ' m quite sure people talk regard room small - standard king - sized bed room size fine- size hotel room . far hotel & quot ; date & quot ; - old style decor hotel well maintain - nothing look ragged well care mean . ' m surprised people would complain style hotel since 's old forget , we - don't - care - to - renovate kind way . unfortunate hotel * not * character one . would take hotel day one boxy generic chain , even price other cheap . as someone use work hotel , surprised front desk staff friendly . immediately aware happen front desk , judge long - than - normal non - response group we stand front . doorman , however , absolutely wonderful : friendly , helpful , exactly one expect 4 - star hotel ( 4 star accord hotwire ) . seem love job , wonderful see . itechnical thing : one trouble move around due age disability , would recommend ask handicap accessible room . main reason bathtub - 's quite high get , be worth look normally difficulty get bathtub . not problem we , be something aware . minor annoyance : hot water run actually get warm hot . also , remote not work . let staff know issue . finally , coffee maker would appreciate someone else mention . these minor issue detract stay , would definitely stay Algonquin heartbeat . 
 Aug 11 2008 	 quaint little place w/ great service 	 stay Algonquin two night , August 9 10 , 2008 . bottom line : enjoy visit would stay . book Priceline save 50 % rack rate . hotel block Times Square heart Manhattan . ' also block toy r Us , although ' kid we , make nice landmark . hotel stately without stuffy . lobby fill nice cushy chair make enjoyable place relax excursion quiet conversation . staff excellent : extremely polite , helpful , knowledgeable , etc . exactly would want hotel stay . room small comfortable . bed incredibly comfy , surprisingly since double . complimentary bottle water provide , come quite handy summer day . elevator seem run well , although ' significant inconvenience walk stair . ' sure would recommend hotel travel family , perfect quick getaway husband ( late 30 ' s / early 40 ' ) . initially rate hotel 4 star , could not think anything would change , ' ve improve rating . 
 Jul 30 2008 	 good bad ugly 	 stay 7 night business . come day early rest intense training would attend . unfortunately 11:30 pm Saturday night , awaken staff person check . two workman say need come repair air conditioner ( seem work okay ) . fall asleep watch tv fuzzy - head stupidly let . minute though realize almost midnight ! workman nice apologetic , rest staff hotel seem unable explain would maintenance occupy room midnight . new air conditioner work well , ' know difference ' wait next morning . talk manager , apologize say would compensate . turn come form free breakfast . whoopee . especially insult give company work already pay breakfast hotel . amount tip come breakfast next door diner would cost altogether . other that … the room small perfectly comfortable bed . staff friendly helpful ( include concierge – blonde woman whose name ' get ) . location good want close Times Square , much else immediate area . Red Flame diner next door DBistro side great ( although opposite end dining experience spectrum ) . street noise room ( 9th floor ) horrible . compound idiot Lamborghini park curb outside rev engine every three hour night long . colleague room side building hear , say otherwise room quieter mine . think build beautiful happy stay historic icon . give disaster first night wherein pay $ 350 sleep , staff ' disinter making feel well , say recommend Algonquin . P.S . ' ve attach sweet picture Matilda . mellowest cat ' ve ever meet ! 
 Jul 13 2008 	 Algonquin review late 20 's 	 gf stay end June till July 3rd great time stay . staff extremely friendly , room small , room be not small Manhattan right ? bed comfortable overall stay pleasant . construction go outside window do not care bad timing . great place stay ! way , clientel seem average age mid 40 's matter anyone . 
 Jul 11 2008 	 date 100 Years 	 Algonquin hotel OLD , seem proud . decor turn - of - the - century ( 20th ) theme . sort thing , be probably great hotel . the room actually nicely appoint thought would , although still would not write home . lcd flat panel tv , probably 32 & quot ; , however HD programming . also MP3 clock radio -- model find Hilton hotel ... terrible sound , get job do . the room small little uncomfortable . all , would stay . however , early 1900s decor something would like , place . 
 Jul 4 2008 	 Great Service - Old Hotel 	 service good , room small . one child one two night , request two bed . two bedded room twin bed . end upgrade we king bed , disappoint size room inability accomodate request two bed . first time hotwire problem . 
 Jul 2 2008 	 absolutely awsome ! ! ! 	 return four night stay ALGONQUIN New York ... absolutely loved ! ! room perfect , bed comfortable ( heavenly ) ... hotel staff accomodate - request fridge , within minute get . Jenny ( front desk ) friendly . hotel great location ... everything within walking distance . go wrong hotel . not think twice book stay Algonquin ... room great ( clean ) noise bad ( city not noise go ) ... disappointed book ! 
 Jun 23 2008 	 Ahhhh ! five jackhammer Window ! ! 	 ' m kid . wake 6:45am miserable sensation room shake look window , bleary - eyed , directly massive construction pit . horrible almost funny . wonder earplugs bedside table ... room face direction probably fine , feel like least give warning consider much pay room clearly know issue . Friday morning , Saturday Sunday quieter , although work still go Saturday - noise level expect anyway New York . first morning outrageous - raise voice hear . really level complete disbelief . actually , room couple minor flaw - patchwork bathroom . would not risk stay ' ve experience stay famous Algonquin . 
 Jun 23 2008 	 WOW WOW WOW Perfect anniversary 	 5th year row nyc , last year iroqouis hard time choose leader . suite 11th floor quite , never noise room . king size bed perfect must say good ac nyc hotel , instant 69 degree bedtime . room pefrect size several friend pre - bar drink . love matilda ( cat ) , work room adequate ( pool , hot tub though ) , bar great , round table lobby great also . perfect spot walk db dinner walk show . go ! 
 Jun 23 2008 	 history go far 	 Stayed Algonquin partner work trip , mostly location convenient work purpose trip . can not say lot wonderful thing - ts charm , be mostly run historic interest . alas , Dorothy Parker 's time pass , Algonquin do little keep time , compete merit hotel . room amenity adequate , service gracious , location excellent . work leg trip end relocate much nice hotel street . 
 Jun 14 2008 	 wonderful NYC Hotel ! 	 return week stay Algonquin NYC . hotel wonderful ! Algonquin truly historic hotel , fantastic location . room small , however , remember historic hotel 's NYC -- not find large room city . room extremely clean bed comfortable . staff Algonquin really make unique hotel , remember beyond helpful . stay large hotel NYC , stay Algonquin .. truly recommend hotel anyone look authentic NYC experience . 
 May 30 2008 	 fantastic 	 back new york wife two children.after twice stay sofitel nervous staying algonquin due mixed reviews.no need worry though ! ! staff make we feel welcome .never see staff concern great time stay new york.on arrival bell man show we suite explain everything worked.after return room night greet welcome card , fresh fruit , colour book kids.the room always clean.never problem lift other mentioned.everythe perfect.i little worried five year old run high class hotel.on one occasion go missing.no need worry though sit outside bellman play nintendo.in lounge , waiter , tell we worry son play five age job ! ! fourteen year old daughter also love algonquin.tear follow departure promise would return.all excellent hotel excellent staff.we could not choose well hotel price.thank 
 May 27 2008 	 leave Milk Cat 	 return home Holiday Weekend New York . stay Algonquin 3 night Memorial Day weekend . we greet average bellman say hello welcome anything . open door . while wait check , greet cold staff front desk . concierge , make eye contact go desk , could bother let staff know people wait line actually ring bell . the room small , nice . exactly would expect Vintage Hotel . bed amazing . bathroom tiny , enough room 1 person . location great ! ask well location . 's right heart Theater District . I disappoint coffee maker room . one thing really need get . coffee service good , ' least hot cup coffee start day . opt order room service total charge $ 18.00 20 oz carafe coffee . we also run trouble Housekeeping staff . Algonquin site boast world class housekeeping . would beg differ . return room long day shopping come room find shop bag fill rubbish room . quickly call front desk advise issue . twenty minute later send housekeeper little knowledge English Language remove bag room . receive timid & quot ; ' m Sorry & quot ; woman . the next morning much , need coffee force either walk street get coffee pay $ 18.00 room service . far easy dial phone ! admit coffee room service GOOD . leave room around 10 A.M. plan spending entire day . return Hotel late 11 P.M. quick freshen night town . walk faint smell spoil milk . clean staff never remove tray contain coffee service morning . I go stair speak manager . state would tray remove ask would do resolve issue , tell Manager would discuss next morning . totally pass issue staff follow morning . went return floor greet coffee tray front ' service closet ' spoil milk still . guess wait Algonquin House Cat come sip milk go bed ! next morning check ! greet cold staff . ask woman make aware issue room , woman acknowledge fact make aware Housekeeping Manager aware problem . apology give ! advise leave ' bad taste mouth service & quot ; ask would like housekeeping manager call apologize . realize need speak General Manager become frustrated time go . request meet extremely negative body language . upon return , state manager would right speak momentarily . ten Minutes later manager never show speak . angry walk . book room Priceline.com contact hope get type resolution issue . in summary ... Poor Service Staff make hotel one bad hotel stay . 
 may 24 2008 	 mixed feeling 	 book Priceline $ 275/ night five night . stay Algonquin ten year ago vow return many reason . bidding choose wide range star level area NYC back mind & quot ; chance will end Algonquin & quot ; . luck would ....... guest room small remember nicely remodel clean . mattress comfortable linen top notch . bathroom update efficient albeit still date respect bathroom amenity slight . the hotel certainly be charm , renovation common area well do ; nice , invite staye true hotel great history ambiance . room seventh floor quiet rude neighbor like slam door , hotel control they . the good asset Algonguin support staff , doorman , bellman , housekeeper maintenance crew polite , friendly always smile . like review reveal , elevator nightmare opportunity meet wait wait decide whether take stair not . the bad asset hand front desk staff . check reception cold welcoming . approach desk times five night stay get cold shoulder . check never look . got & quot ; room number ? ..... pay & quot ; turn around never look back . thank , hope enjoy stay .... nothing . you can not beat location single business traveler tourist 's good choice need help rely doorman duty . great . standard room small two people . 
 May 18 2008 	 one special hotel . one good 	 really , really special hotel . great atmosphere , cat hillarious whole ambience classy New York old school . location also ideal . wall cover cartoon New Yorker , could want cheer way breakfast ? people complae size room , small secondly , care everything else hotel good , include mid - town Manhattan location . Matilda cat probably highlight , regal looking add something special atmosphere . staff extremely helpful breakfast top notch . phrase go ` ` what s like '' ¬ 
 May 9 2008 	 Expensive Shoe Box 	 wife 4 - day break Algonquin NYC . price ( around $ 480 / night ) expect much . foyer area quite charming room freshly renovated paint . yes whiff paint air , bad . however , room small New York standard tiny bathroom . like Paris hotel small expect . in - room safe , bar service refrigerator tea / coffee make facility . room dark middle building almost daylight . difficult connect internet nobody much assistance . major problem wife , urgently need connect arrive business reason . take hour resolve wife eventually get connect around 2:00am . I call reception soon arrival see large room inform , " boutique hotel sir one large room . " ' imagine small room would like . ask morning receive exactly response , imply common request guest . almost word boutique give licence charge more . my wife frequent traveller NYC know expect term value money . happy pay want , resent pay less . would definitely recommend hotel , especially business traveller . return 2 day happily reside relatively new chain hotel close room twice size facility come expect , far cheap room rate . 
 May 8 2008 	 Awesome ! 	 love Algonquin ! room 914 hear construction noise . room small furniture well think therefore , never felt cramp uncomfortable . free internet great ! bed super comfortable linen soft . towel thick plush . hotel luxurious . thing make hotel seem like 3 star hotel vs. 4 star hotel toliet paper . one ply soft ! : ) location perfect . able walk everywhere subway station close . great 24 hour drug store nearby well . staff friendly promptly bring extra towel request . lobby / lounge / bar area crowd every night , make hotel feel fun festive . 
 May 7 2008 	 want buy bed ! ! 	 lay bed , never want leave room ! surprised boyfriend New York weekend trip anniversary March 2007 ( last year ) book Algonquin location . love lobby dark lounge - y , course love Matilda kitty lounge bellhop cart ! check - in pleasant . first put room right across elevator , found not bother much . room small , clean nicely decorate , window view build next door ( hey , be ny , expect ? ) . construction also , end 6 pm Friday , far know not work weekend not hear . will tell , bed awesome ! ! not expect sooo comfortable . fact , comfortable boyfriend skip anniversary dinner order room service bed ! truly fantastic . food good , expect pricey . on - demand movie work well .. would start play randomly shut middle movie , complain front desk take charge bill . location PHENOMENAL , ton place shop , sightsee , eat right around hotel . next time go ny , doubt stay Algonquin . 
 Apr 18 2008 	 Construction Warning Great Hotel 	 return fron two night stay Algonquin celebrate birthday . 's lovely boutique hotel horrendous construction noise ! first night Room 1205 . cute , sunny room big bow window window seat . not large room be use city . show room , notice construction site think , hey , will room sleep not problem . 1 curse thought construction stop night . resume around 6 jack hammering , loud & quot ; backing & quot ; beep , air horn go every 15 -20 minute . needless say exhausted ruin birthday . way past front desk , express complaint cheerfully move another room , 507 , inner court .. even upgrade large room king size bed extra charge . much quieter escape air horn construction site . sleep soundly second night . try get room number 9 - 12 floor ( ex 509 fith floor ) room front side hotel furthest construction site back . we think hotel staff great . friendly greet go hotel . get kick Matilda , hotel cat , lounge around like Queen Sheba . we eat breakfast door Red Flame diner . expensive drink ( $ 16 ) Blue Bar celebrate end birthday . drink wonderful . we also go see musical Curtains star David Hyde Pierce Frazier show . fun , entertain show ! can not understand not pack . purchase ticket online thru www.tdf.org $ 36 . spite construction , would stay Algonquin . love old style hotel New York City unique character not find chain hotel . Algonquin excellent location explore city can not beat friendliness staff . 
 Apr 14 2008 	 construction Noise- stay away ! ! ! 	 good- hotel charming . much personality history , great that . the bad- construction noise H * ! expect wake 6 ET ( especially hard be another time zone ) sound jackhammer . sound like be literally drill room ! even put earplug nightstand- try not help whatsoever . upon check , front desk say research recently do show 1/2 NY hotel go similar construction . sleep deprive tell stay ny quite often business , first time ' ve ever keep awake night ( ' m even light sleeper ! ) also tell , quote & quot ; great hotel , ' m even go think stay construction over . & quot ; want sleep hour 6 5 pm ( vacation probably , least come back take nap ) , stay away . first review ' ve ever do TripAdvisor- usually lurk , speak one . 
 Apr 10 2008 	 keep look ! way well hotel $ NYC ! ! ! 	 get stay lot ny hotel every year , either small room big shoe box NYC . ( nyc hotel room small . , let us talk real issue ... ) bed comfortable . the hotel staff replace bathroom supply . the bar staff rude . the shower produce hot water midnight ! ! ! ! ! ( seriously ! ) construction outside start early morning , every morning ! keep look ! ! ! ! ! ! ! 
 Apr 1 2008 	 average ! 	 get great rate Travelzoo ( $ 189 include Continental Breakfast Deluxe Room ) .Well , maybe problem . our room - 512 - everything & quot ; Deluxe & quot ; ... little bit big Queen Size bed . yes , flat screen tv , regular tv would not fit room , unless remove bed . ' m joke ! & quot ; gym & quot ; small basic . wi - fi not work room , & quot ; work really well lobby & quot ; - great ! staff ... ah , staff ... unhappy staff ever encounter life . unfriendliness front desk , bad mood restaurant Round Table - long wait food , egg benedict cold waiter 's behavior , see coupon breakfast - anyway , two day early nightmare Round Table , decide go somewhere else breakfast . room service forget clean room first day . , complain around 3pm come back theater night , room not do yet . maid come around 11pm blame we mistake . say 4 star hotel ? ? ! say Algonquin boutique hotel ... maybe , Grand hotel 30 's 40 's today try survive past memory , location , cat old lobby - 's like Queen Mary Long Beach ... pass memory lane go decent hotel style substance fade memory ... 
 Mar 30 2008 	 Gread Olde Worlde Hotel 	 really lovely hotel , olde worlde foyer look like something Agatha Christie novel . friendly staff , good sized room . comfortable bed ever . get great deal Travelzoo include continental breakfast delight . room quite large , bright airy flatscreen tv wall . road great local bar call Jimmy 's , excellent mexican restaurant . block back Times Square , great location , without noisy . 
 Mar 28 2008 	 Great Hotel Family Visit 	 return mini - trip NYC two teen . first trip NYC , want location convenient see much city possible . could ask well location . within easy walking distance Times Square , Rockefeller Center , Broadway Central Park . easy subway access Lower East Side , Chinatown Little Italy . we suite clean , comfy , nicely appoint recently renovate . service friendliness staff really set hotel apart . next trip , question , will stay Algonquin . also highly recommend Red Flame Diner next door . 
 Mar 28 2008 	 Algonquin Great ! 	 stay Algonquin March 16th - 22nd , 2008 . book Expedia get great rate ( $ 300.00 night ) , not expect premier suite mean . we thoroughly enjoy stay . stay two hotel block Algonquin certainly measure . find staff friendly helpful , front desk doorman . matilda resident feline nice touch ! room rather small , New York expect . still big many hotel room ' ve stay Europe , even New York . the bed King exceptionally comfortable , room clean tidy . bathroom also functional , bathtub shower fine , size water pressure . housekeeping thorough accommodate , like lounge around room vacation always good disturbing - magically room always clean return , matter late leave . 's true elevator small ( slow ) . 10th floor stair really option . travel throughout Europe small elevator norm , not bother we . location superb , close everything , 's excellent diner right next door , Red Flame - not even need put coat run . coffee breakfast 10 buck ! construction noise first two morning , hey , 's New York - be wrong place be look serenity ! noise certainly hotel 's fault , stop first two day . certainly not hold Algonquin responsible New York 's construction industry ! think review complain style hotel fail keep mind essence Algonquin . landmark historical building , old hotel NYC . 's mean trendy spot - classic european tradition . find tell negative review mostly North Americans , visitor Europe love . love , definitely stay . 
 Mar 6 2008 	 warm welcome algonquin 	 faboulous time NYC stay Algonquin - infact end getting engage long stand girlfriend room ! charming 1920s style hotel . find staff extremely helpful location fantastic . I find foyer bar relax place chill day 's sightseeing / shopping also enjoy hotel 's evening thanksgiving meal . sure big / well / fashionable place stay New York , warmth , charm ambience Algonquin make fantastic place stay . happy time . 
 Mar 3 2008 	 downer 	 excited stay & quot ; Premier Suite & quot ; ( total bill approx $ 650 one night ) Algonquin . unfortunately , woe begin immediately . arrive shortly 3 p.m . park car wife go inside check . desk , female guest cut front wife . guest complain loudly overpower smell paint suite . desk move new suite . wife step check suite . tell suite ready would delay . wait 4:30 , cool heel lobby , 2 kid itching get Times Square . go desk several time . 2d visit give 2 free breakfast pass , although four we . finally , bring upstairs suite 10th floor - - - gorgeous reeked fresh paint include pull couch promise necessary kid . big mystery end & quot ; paint suite & quot ; . advise desk paint suite unacceptable , aside obvious , kid would place sleep . short wait move luggage new suite - - old , dark , non - update , back build space dirty window 5th floor - - right top active construction site loud could hear speak inside room . coup de grace yet come . think closet , wife open half pass - through door next room . neighbor open side door screamed wife & quot ; another room & quot ; slam door . wife word wall . thing get surreal , phone rang . front desk call warn us neighbor complain . wife begin cry tell front desk full story . front desk could care less , advise wife complainant move another room . attitude & quot ; 's way & quot ; . wife inconsolable . complainer never negative experience hotel . unpleasant lady next door certainly hotel 's fault , hotel 's insensitivity wife 's side , well recounting problem experience , certainly . , discourage upsetting . 
 Feb 15 2008 	 Charming ultimately marginally OK 	 spend two cold , snowy night Algonquin Hotel NY business . overall , experience really uneven – previous review basically accurate . nothing rise level truly disastrous , whole experience leave bit frustrated disappointed . ' bad , however : good1 . Great Location . sure good thing hotel stellar location 44th 5th 6th , within walk distance Theater District Grand central.2 . historical ambiance . Algonquin charming old hotel . lobby unmistakable ambiance – ' big tad dumpy , throughout stay people hang enjoy actually something scene , could call . cabaret busy night . quirky quote front doors.3 . clean room comfortable bed . think bed exceptionally comfortable . room small bad plenty NY hotel . think bathroom fine – great fine . colleague even renovate room new furniture . flat screen tv also nice touch.4 . decent food . one dinner one breakfast hotel . although price unmistakably ny high , food ' bad . eat another night next door Café DB , home $ 75 hamburger ( ' partake ) .5 . good price . pay low $ 300 ' room . stay swanky Royalton across street would ' cost twice pay room much smaller.6 . great door man . think door man exceptional job , particularly give cold , wet , snowy weather . friendly , help luggage cab , make great first impression.7 . Algonquin cat . guess ' legend cat live Algonquin . sure enough , cat front desk . think nice touch.8 . lot paper choose . like come elevator choice Wall Street Journal , New York Times , USA Today NY Post addition USA Today door . the Good1 . construction go next door . 7 back dinner day miss noise , want quiet night ' sleep sleep , ' place . colleague get chocolate room night . get ear plug . seriously . say hotel tell upfront check construction indicate move back building would quieter warn hour construction , make good opinion.2 . room ’ fixin . coffee maker . mini - bar . plug ' well locate . wi - fi ' work time – first night free second night try charge . business center.3 . lot style . fuddy duddy - ness lobby room . perhaps correct renovation . wallpaper upper floor positively garish ( mention peel place ) .4 . slow elevator . end take stair third floor.5 . funky front desk policy . one point ask Advil . say ' give one , hotel would liability . ' lot hotel give lot counter drug . also , sign something registration form acknowledge would pay half check early . ' never before . the bottom line , get pay . city everything cost arm leg , even hotel room $ 400 consider cheap . fortunately , sleep great ' bad experience . nonetheless , still pleased get home bed , even ' quite comfortable one Algonquin . 
 Jan 26 2008 	 many Better Alternatives - Steer Clear Algonquin 	 come point save couple hundred dollar TravelZoo Deal not worth . sound jackhammer drilling next door day simply unacceptable travel 4 month old daughter . pay upgrade superior room , management downgrade we quieter ' classic ' room price - Bait Switch . the room certainly clean enough bed comfortable . outside room everything seem disarray . one work elevator - wait long even elevator arrive , usually full - frustrating . bellhop helpful , sometimes point obsequious - feeling be back pocket constantly . the final straw come second morning breakfast . make mistake present breakfast voucher order continental breakfast bring burn toast cold English muffin cut pineapple . stark contrast previous day receive fresh pastry croissant pay voucher present meal . experience cement conclusion Algonquin old dilapidated hotel cut corner whenever possible hang hat obscure litarary reference ultimately mean nothing frustrate patron 
 Jan 9 2008 	 classy fun comfortable 	 joy stay Algonquin Hotel Midtown Manhattan . wish could spend time soak history . unike chain hotel dominate NY City hotel character charm . walk distance Grand Central Station , also convenient . though stay one night special rate , would not hesitate stay recommend friend town . surprisingly nice room ( street view ) . Wished could take bed home . terrific breakfast great service stay . bargain twice price ... 
