can 	 come London Heathrow , can not beat location . take tube airport , get Green Park , come tube station . stare Hotel Ritz , 5 minute walk Fortnum & amp ; Mason 's , Royal Academy , Picadilly Circus , walk 5 minute across Green Park , Buckingham Palace . , fine hotel world ? nope . like buy house , location , location , location be about . we stay 6th floor , feel like stay different hotel people ' ve leave complaint website . bathroom perfectly modern clean , lot fresh towel ( extras closet ) . room look like American Holiday Inn ( small ) . two double bed , desk , small table 2 chair . stay place London , recognize difficult find room two double bed . the furnishing , include bed covering drape , new . notice , however , carpet room stain dirty . negative comment come abroad stuff suitcase , beware . luggage rack one one suitcase . room anything else . closet big , however , stow suitcase there . if want stay hotel big , fancy lobby , lot meeting room super exercise gym .... place . however , want clean , modern room smack dab center London , not think could find well spot . 
 Disappointing ; 2 star 	 book 4 room , evaluation fair repesentation 6 night stay . math property : rate @ 4 star @ 60 % price = 2.4 star may little high establishment . positive : location , staff helpful . poorly maintain , cleanliness , poor HVAC system , uncomfortable experience . 
 Mar 9 2009 	 Perfect location 	 stay several hotel throughout London prefer location . within walking distance many attraction tube station couple minute walk away . room little small mind excellent location . staff pleasant helpful however trouble communicate reception staff English quite poor . apart hotel great . 
 Mar 9 2009 	 great location sightsee great value family 	 despite mixed review tripadvisor , choose hotel long weekend London two daughter ( aged 8 10 ) basis perfect location see sight ( easy walking distance Buckingham Palace , Horse Guards Parade , Shaftesbury Avenue , Trafalgar Square , Regent Street , Big Ben , etc . ) , easy access Saint Pancras international station ( Victoria Piccadilly line direct Green Park ) great price propose Holiday Inn website room two queen - size bed breakfast ( £ 150 night include vat ) . deal also include free internet access ( though wireless would probably extra ) free movie day ( thing ) .The check - in straightforward friendly , room bathroom prove excellent decorative order well - equip ( include trouser - press , iron ironing board ) furniture show sign wear tear . though shower bath , slight inconvenience compensate fact water hot pressure high . the bed comfortable linen impeccable . we much enjoy three breakfast hotel . staff pleasant efficient breakfast room comfortable . everything need compose full english breakfast well choice pastry , fresh fruit , yoghurt , cook meat cheese . one evening tired eat , much well judgment , eat hotel restaurant . service great , food much less . however , fact kid eat free ( fail register despite explain we ) make meal fairly good value . the hotel look baggage checkout . we thoroughly enjoy stay , feel certain staff would resolve problem might friendly manner definitely return get similar deal . I would expect hotel rocket rating room standard . 
 Mar 7 2009 	 Location location location 	 redeem quality hotel central location . otherwise , be run need renovation . two lift , often slow working . happy room second floor higher often force take stair . the room clean , wall wall carpet full dust . breakfast quite good , tell last day not include price adult . be true , read review , staff mainly foreigner not speak english particulary well , friendly everyone extremely helpful . 
 Mar 2 2009 	 Good Location Basic Frills Hotel ! 	 use priority club point pay overnight stay Saturday night mum & amp ; sister . find location ideal walk back theatre Soho also Afternoon Tea follow day Ritz , 2 min walk end road . room basic , quiet sleep quite well . sure would want pay much room location ideal weekend trip ! 
 Mar 1 2009 	 Great Value Great Location 	 stay 3 night late February 2009 . room 2nd floor . clean beautifully decorate . one comfortable double bed almost queen size . bathroom decent size great shower . fridge well - stock . thing wish television channel . 12 channel . restaurant serve terrific english breakfast 15 pound . the hotel location wonderful . short two minute walk Green Park Tube station great access multiple tube line . also great pharmacy next door hotel small grocery store downstairs . special & quot ; meal deal & quot ; 3.49 pound sandwich chip drink . be also starbuck across street . I would definitely stay . 
 Feb 25 2009 	 Excellent Location decent room 	 stay 3 night begin January . hotel right next Green Park tube , 10 minute walk Piccadilly Circus . depend time day reception staff like - really friendly helpful , one other side rude . the room quiet , despite location , little small date . , however clean well keep . I feel little expensive size , however would stay - check anything reasonably price first . the internet wifi connection also little hit miss ... 
 Feb 19 2009 	 simple Clean central 	 location , family room two double bed possibility redeem Priority Club point make winner even arrive . the exact location Holiday Inn correctly show map . expedia place near Berkeley Square even hotel website ' far north wrong side street . correct location East side Berkeley Street opposite corner Berkeley Mayfair Place . room quite stylish / elegant , large pretty much run . bathroom really tiny family 4 , well equip lot towel . everything except bathroom air exhaust good working condition . room overlook Piccadilly Ritz hotel . sleep 5 floor sale office iranian russian airline . maybe safe place world ? staff exceptionally friendly reception breakfast restaurant . buy breakfast coupon reception £ 10.95 ( £ 10.50 weekend ; kid free ) £ 4 less directly restaurant . breakfast buffet quite good certainly worth price . get quite busy 8.00 , especially weekend . for stocking , ' suggest avoid & amp ; Green Park tube station go Sainsbury ' instead - large , less crowded cheap & amp ; snack , water bottle like . locate corner Berkeley Stratton , less 2 minute walk Holiday Inn . no , ' mean Ritz probably even 4 - star . simply standard hotel great location reasonable price . 
 Feb 5 2009 	 Great Location value would return 	 book hotel directly website . stay Holiday Inn Oxford Circus enjoy want try Mayfair time . quite anxious go review great pleasantly surprised . the hotel great location , 2 min green park tube station , across ritz . reception friendly . room not ready left bag concierge . 6th floor . two double bed room big enough . face work weekend also little view Green Park .. window though not seem open room air conditioning not room much not bother we much . hotel need bit update price location , need . want pay high price , go ritz . not eat hotel beware bar . guest ask gin tell not single 's , double glass wine charge 15 pound .. tea latte , cost 6 pound .. advise go across road starbuck .. go complain guest not want make big deal put comment form . I would return hotel recommend anyone want get value hotel prime location . 
 Feb 5 2009 	 great location central london 	 want somewhere central visit London viste friend another Hotel Covent Garden . hotel central across road Ritz close Green Park Tube make access around London main train station easy . quick walk across Green Park Buckingham Palace Picadilly Circus 10 min walk . all staff friendly . hotel room fine two double bed . bit shabby place ( someone obviously pull trim lamp shade bed ) clean tidy everything could want . breakfast buffet style something everyone taste , full English , fresh fruit pastry . 
 Feb 2 2009 	 Nice hotel great location 	 Got hotel would consider fair price £ 189 two night incl . taxis / vat room only . really great location ! nice room 6 . floor - have not renovate resently . ok clean allthough bathroom could well . large construction site southfacing side room . glad weekend work ! window super noise proof . Didnt use amenity , bar resaurant etc can not say anything . nice staff reception . 
 Jan 22 2009 	 even three star 	 positive thing hotel location . otherwise place pretty much dump . room dirty furnishing well worn . bathroom unacceptable . leak heater whole time floor constantly wet . bath fixture cover stain mildew . tile loose around tub . condition room really acceptable even two star hotel . Priceline.com rate place 4 star hotel ! ! ! ! imagine surprise ! complain manager tell hotel full nothing since prepaid Priceline.com . would left hotel first night pay seven night . would gladly pay stay real 4 star hotel 
 Jan 21 2009 	 Great Location 	 stay hotel 18 - 20 Jan 09 husband 50th birthday . location great ! middle Mayfair ; 3 min walk Green Park Tube , 2 min Sainsburys Central , & amp ; simply Food Boots etc , course bar , restaurant , theatre , shop West end within walk distance/ less £ 4.50 cab . public area clean , still 1990 's decor stage , could update , perfectly adequate , bar . order peanut serve wineglass , bit odd . only 2 lift stair could find ( apart emergency exit one ) , bit delay one lift become order . check in / out fast courteous . room good size central London . air con / heating excellent window open fresh air . king size bed wonderfully comfortable , pillow . bed linen clean ; wake couple time think bed ! plenty hot water , powerful shower . usual standard age towel / hair dryer etc , satisfactory working order . mini bar , safe , trouser press , iron & amp ; board , tv , info , radio , telephone , internet access , desk , easy chair , good wardrobe / drawer space , tea / coffe / hot choc / biscuit , several mug , glass etc . room cleanliness good . 
 Jan 8 2009 	 damp squid new year 's eve 	 stay 2 night new year . make mistake , location excellent , be . pay £ 120 per night one room £ 120 two room £ 10.95 breakfast , child 12 free . hotel full bursting point . pro stay : central location , within walking distance Mayfair , Regent Street , Picadilly , West end , Hyde Park corner , Harrods , etc . reasonable value money area . M & amp ; food , cash machine , coffee shop restaurant pub nearby . helpful concierge bar staff . efficient front desk staff . quiet bedrooms- good soundproofing . con stay : non - existent New Year 's Eve celebration bar . bar manager good atmosphere diabolical . group five guest , family friend dozen member staff enjoy one glass champagne each . family room cramp need refurbishing . lack relaxation area hotel . choice food breakfast uninspired limited choice vegetarian . service breakfast haphazard . ask staff tea / coffee clear use plate , etc . corridoor rather dark need freshening . 
 Jan 5 2009 	 awful dirty ! 	 stay 2 night cost £ 150 per night moment enter lobby know mistake . late already booked pay . smoke UK indoor since July 2007 yet smell stale smoke power . furniture public area restaurant dirty tired . assume cleaned decorate since ban fact many number year ? room equally dirty , apart sheet towel . wall paint work scuff scrape , carpet not patch stain description . bathroom fall bit , rusty broken fitting tap . the redeem feature staff friendly helpful . thing need deal timely . feel point complain faith move room well . overall impression much much . disappointing hotel locate Mayfair . 
 Dec 30 2008 	 Superb Location 	 stay one night Christmas New Year . upgrade executive room upon arrival . check efficient , room ready we straight away . room spacious bed enormous . Decor rather dark heavy , 1990 's . curtain great let light . face Piccadilly hear little noise window triple glaze . location hotel wonderful , middle place want see . would stay . 
 Dec 2 2008 	 great location nice hotel 	 spend 2 night Holiday Inn Mayfair early October , meet good friend , travel Northern England Zurich work . right front , must confess predilection towards think positively HI Mayfair , since get stay free . say , great time , treat well hotel staff . front desk clerk appropriately rigorous checking identity , ensure friend 's safety , concierge helpful locating nearby restaurant wait staff restaurant efficient . mechanical fine -- elevator work , air conditioning good , black - out curtain right , room quiet , despite right across elevator . room surprisingly large ( London ) clean . surprised find bath amenity ( shampoo , washcloth , extra soap ) one would find american hotel , experience Europe . Breakfast , nice bar area comfy chair , good -- great , enough keep we go morning . hotel excel location . surround area safe , clean , well - light interesting history shopping . locate around corner Green Street Tube station , make zipping around central London breeze ! 
 Nov 12 2008 	 Nice hotel miss hospitality 	 first , ' m american . shoot , expect customer service . stay hotel 1 night come back States . book bus ticket online take Airport early next day . come lobby get print bus ticket hand . way , 15 quid 24 hour internet . get stonewall front desk staff . way willing help getting print , even though computer printer right front desk . completely ridiculous , go make trip airport 6:30 next morning completely miserable not willing print 2 piece paper . front desk agent tell think print ticket early day internet cafe street , late ! also , London nothing free not understand expect . maybe unreasonably american , hospitality business , suppose hospitable . mean everything help guest . way 4 drink bar , 27 quid . ouch ! 
 Oct 20 2008 	 Great Room Service 	 hotel good location quieter street Mayfair . the room date decoration seem look base Ritz . ( obvioulsly fancy ) bar area look popular although never visit ourselves . we order room service food great . not bad central London hotel . 
 Sep 29 2008 	 Excellent Location 	 stay 1 saturday night friend 's hen night . excellent location close Ritz afternoon tea , within walking distance . also excellent location London 's shopping , close Bond st Oxford st also Trafalgar Square . many bar restaurant nearby hotel 10 minute St Pancras station . hotel room perfect need , 3 us sharing room quite spacious , plenty wardrobe storage space . decent shower also tea coffee make facility . bed extremely comfortable nice feather pillow . the breakfast great , full English available well cereal fruit . also small bar hotel drink reasonable price . worth price one night . 
 Sep 18 2008 	 Pleasant stay 	 stay 15 - 17 Sept . bit worried , read previous review , GREAT time ! bedroom small clean , bathroom . room overlook Ritz ( not spend much time room London anyway ! ) . breakfast hotel breakfast . staff friendly us - check - in fine , concierge helpful , chambermaid say hello walking room , one even direct we room . bar staff breakfast waiter polite . location hotel superb , nice area London . near Green Park Tube Station . okay , be Ritz , not Ritz price . would definitely stay . 
 Sep 8 2008 	 Sentral overpriced 	 mate stay weekend early September . hotel seven floor . one two lift order , stair absolutely use unless case fire . quite wait line lift . accord sign wall reception , daily rate twin bedroom £ 459 ( ! ) - breakfast include . price one could think Ritz Dorchester . be far . room quite big , though , two double bed . fact put family four one room , want stay , look internet deal . weekend get price £ 160 per room / night , easily stay two person one room . bathroom old fashioned narrow . take shower mean stand bathtub shower curtain along . want breakfast , either sign name room number hotel 's restaurant , pay £ 10 absolutely average english breakfast - buy breakfast voucher reception pay £ 5 . kind system ? consierge reception staff nice , people behind bar . average hotel find well reasonable price . 
 Sep 5 2008 	 home London ... 	 stay hotel 10 year . usually stay least twice year . have stay week time . overall consider hotel home London . the staff friendly doorman remember I . probably need bit redo honestly value money spend can not beat London . especially great location . convenient . good air - conditioning summer . nice lounge bar . ( Nicer smoking . ) four season ... also not price Four Seasons .. well location . 
 Aug 27 2008 	 Nice Place Middle Town 	 great , tuck - away place fantastic service , great room decent price comparatively . 
 Aug 25 2008 	 would stay despite small flaw 	 Hoilday Inn Mayfair wonderful location . firstly , Mayfair . also , step Green Road Tube Station one way , picaddilly Road way . mini - supermarket ( Sainsbury Express ) close , well theire Starbucks across street . could ask ( besides laundromat , ) ? walk door hotel , one block , turn leave . five minute easy walk past Ritz lovely shop ( include Vodafone UK , buy UK SIM card phone ) bring Piccadilly Circus . arcade way , appear one must arab oil sheik purchase anything . po ' folk welcome gawk , however . : ) Berkeley Square Buckingham Palace attraction easily reach foot hotel . many , many . fair bit taxi well , remain big fan London 's ubiquitious taxi . female travel solo , reluctant use tube late night see West end show , need . Taxis everywhere London . step wave arm . now , back hotel ... room adequate , size - wise . expect tiny due comment , find perfectly comfortable . there sign tattiness , minor - slightly peel wallpaper , scuff skirting board , slightly scuffed furniture . nothing could not overlook , give positives.the ensuite bathroom white , bright , modern , tidy . complaint smell mustiness think come inside sink overflow drain , not big deal . visible mould . climate control easy operate work fine , though find turn back return evening . the room mini - bar ( , thank ! ) tea / coffee make facility . as far furnishing go , room fine . queen - side bed lot pillow ( pillow menu available , ) . small round table two chair in - room dining , well desk internet connection , power point laptop whatever electrical would want charge ( BYO adapter ) . hairdryer mount drawer desk , would use desk dress table , too . sadly , room 202 overlook huge pit , building site , beyone hotel 's control . sound machinery loud & quot ; clang - clanging & quot ; come 0830 1730 weekday . exception final day want sleep , not really affect never day . double - glazing help cut noise somewhat . in - room broadband internet , btw , pricey £ 15 per 24 hour ( approx . $ 30 usd / AUD ) . , however , purchase block time hotel 's public pc use environ lobby , . sit weird , uncomfortable angle corner lobby able type see screen , people sit couch directly overlook shoulder , uncomfortable . pc bar , not well . pay broadband price . work well , would , private traveller , get every day . I one meal hotel , vegetable curry via room service get late go eat . happy meal . the hotel concierge service , not impressed . often , concierge stand around yakking staff member even notice . take minute conversation cease . perhaps would man ... last full day stay able get concierge 's attention ask could find laundromat wash clothe . & quot ; mean wash ? & quot ; incredulous reply . but hotel charge £ 7.50 ( $ 14USD ) wash woman 's blouse , £ 10 ( $ 18.50USD ) wash nightgown , £ 3.75 ( $ 7USD ) wash pair woman 's undie , well - and - truly seek DIY laundromat . & quot ; Pimlico & quot ; , tell . & quot ; Pimlico ? far ? & quot ; & quot ; fifteen minute - taxi & quot ; . expense 15 - minute taxi ride , two way , virtually prohibitive . not know accurate concierge , not want £ 100 laundry expense . , return room wash bare necessity hand , squeeze towel , hang thing wherever could dry overnight . be go London not want bring ton clothe , may want find laundromat either beforehand , arrive . I find Reception staff pleasant deal . thing not impress upon check - in , tie credit card £ 50 day ( even ' ve pre - pay room , ) . protest ' m big room - service user run big bar tab . reduced & quot ; swipe & quot ; amount , go happily . tie $ 700 - odd week one 's credit card potential & quot ; incidentals & quot ; bit rich , think . talk manager can not afford meal - money tie like that . would stay Holiday Inn Mayfair ? bet . comfortable , great jumping - off point lot London 's important attraction . if not expect perfection , ' m sure will like hotel find adequate . I take video room , think could upload . , . 
 Aug 21 2008 	 Great Location - Good Hotel 	 First , stay hotel free point , review might little easy not hit pocketbook . that say , unlike reviewer , treat well staff throughout stay . friendly eager help . also , arrive early first day ( 10:30am ) , room available . the room cramp family , different hotel ' ve stay UK . be look spacious room try Sheraton Park Lane street . the furniture room old , look like need replace . fact , hotel perform maintenance many room floor , upgrade look progress already . also , room close Picaddily street , street noise could loud time , wear everyday not bother we . you can not beat location hotel want see site London . Green Park tube right around corner , many site shop within walking distance . 
 Aug 15 2008 	 Fantastic Location 	 return Holiday Inn Mayfair . reception staff previously state cold unwelcome even hello . Check- 2 pm approx , get even 30 min early mean wait 2 pm give room key . booked room accomodate family four . cramp two double bed class delux room delux certainly . room need decorate wallpaper hang tile bathroom chip break . however , quiet room even though road side hotel , bed although soft comfortable . Breakfast typically expensive due London good . full english buffet fruit , yoghurt cereal etc . the bonus stay hotel location . arrive Euston station short trip tube Green Park Station minute Hotel . many sight within walking distance , Buckingham Palace 5 min stroll Green Park . do not mind check miserable hotel reception staff , old date room , lovely breakfast brilliant location hotel ideal short stay London . 
 Jul 28 2008 	 suit we ! 	 stay Holiday Inn ( Mayfair ) long weekend break wife two son . location prime reason return hotel , Buckingham Palace , Trafalgar Square , Piccadilly Circus , Westminster et al within 10 - 15 minute walk . Green Park tube station 200 metre away ' ideal base sightseeing . there ' boot pharmacy small Sainsbury ' convenience store within 200 metre ' easy stock provision subject foot London offer . the hotel show sign wear clean find staff personable polite . family room certainly spacious enough comfortable 4 we mill around morning . eat breakfast one morning , special weekend deal family . £ 10.50 / head kid eat free , full buffet selection cereal , fruit , cold meat cheese full english breakfast selection choose . £ 21 breakfast 4 might sound expensive easily pay nothing snack one many Starbucks Pret Mangers seem everywhere city . although use priority reward point stay room charge available on - line seem reasonable enough , pay past consider location suggest ' good deal . Ritz end street , merely 200 metre away dare say guest pay lot location . want spend much time hotel room good London offer right doorstep ? return would recommend base tour London . 
 Jul 20 2008 	 Cold Reception Holiday Inn 	 Hi , stay Holiday Inn one night July 14th feel need give feedback . first point contact reception . staff reception desk check we cold unwelcoming . busy time work . comely face smile anyone reception area , include reception staff , concierge another male staff member around reception area . room not great see picture internet surprise . bathroom clean treat . complimentary breakfast restaurant good staff extremely cold unwelcoming . location hotel excellant . my wife flight attendant , work customer service industry . good service people skill come person natural disposition also demand requisite management certain job . sadly , terribly miss hotel . option stay rest trip Holiday Inn opt instead live another hotel far one pay Holiday Inn rate without breakfast . would recommend hotel anyone future ? . base staff . rude , like robot . people happy job , it . Lester 
 Jul 1 2008 	 Great Hotel Location 	 third trip london two twelve year old child . find difficult find hotel London kid friendly . find staff helpful friendly . room large american room . , large London . location ideal walking distance picadilli circus . also 100 yard tube bus station . amenity restraunt pub well average food . stay four day would definatly give hotel four * * * * . 
 Jun 28 2008 	 Dark dingy disrespect 	 look dark , dingy disrespect staff , place you . the place dark , room dark fixture fitting & quot ; distressed & quot ; .The staff would place Faulty tower . their , well , cheap hotel area , take time surf / look around . 
 Jun 15 2008 	 Good Overall 	 stay hotel 6 night . party consist , wife , 15 year old son ; book double room . check time 2 pm ; arrive 4 pm desk clerk say room ready . know room would ready keep say & quot ; sorry & quot ; . sit lobby 20 minute wait , wife contact manager immeidiately put we suite 2 night additional charge . suite nice get little use . second night , move double room . room overall fine ; however , bathroom look dirty mildew tile around bath tub . brief note housekeeper fix problem . the location beat . hotel around corner Green Park tube station walk away many site . 2 grocery store near well Boots drug store next door . we dine hotel restaurant . enough . much well option available . checkout , bill contain great many error . say use mini bar much . also say breakfast hotel restaurant never . say , desk clerk immediately void minibar charge brief phone call restaurant , void breakfast charge well . just make sure review bill sign . also , advise 2.50 pound ( $ 5.00 ) charge everytime use phone call outside hotel . even use toll free number , charge applie . get phone card tube station news stand . 5 pound card get 1,000 minute call time back States . , understand call , attempt call , use phone card add $ 5 bill . what boil problem staff act promptly correct problem identify . though thing perfect , would stay . 
 Jun 3 2008 	 Substituted Hotel work ok ! 	 day departure , informed go stay luxury hotel expect . upset . move Holiday Inn Mayfair . end , pleased location hotel . close many place want see able walk many . everything could possibly need close , eat shopping . breakfast include hotel suppose hotel . breakfast include , would completely satisfied Holiday Inn Mayfair . room spacious bath ok . would stay would recommend someone . 
 Jun 1 2008 	 Location - Location - Location 	 hotel exactly every tourist wish would . virtually every famous sight within easy ( safe ) walk distance , West end theater . Green Park underground station corner , offer choice Piccadilly , Jubilee Victoria Lines ( Piccadilly Line take directly Heathrow Airport , nice moneysaving trip ) . also many business traveler stay . hotel clean , well maintain , could use update . staff attentive need . complaint outside noise due construction neighborhood , manager change room , additionally give we generous credit inconvenience , hotel literally right across street Ritz . although cheap ( nothing cheap London ) , Holiday Inn - Mayfield good value . wife would hesitate stay 
 May 25 2008 	 not stay here- Rude Duty Manager noise building work 	 hotel staff rude- manager . noise first thing morning due building work . expensive bill £ 125 settle call call ask payment although prepaid £ 600 room . stay try join rosl.org.uk across road ten time well . 
 May 21 2008 	 Good Base London 	 credit go fantastic location hotel . mayfair ... 7 min walk Picadilly Square , even close Bond Street 15 min Oxford Street . London tube minute walk away . Front Desk fine could bit welcomme still professional .... room ok absolutely need refurbish , anyway size good room clean . housekeeping staff wonderful , friendly efficient . stay three time last five year hotel think good base stay heart London . good deal website willing agree advanced purchase rule . thing really would like change Concierge Service . find restaurant , club , could .... , need go .... not know ..... never efficiantly help .... course willing sell kind tour ...... beside like hotel especially location . 
 May 13 2008 	 fabulous location . 	 check Sunday morning , 4 day long work trip . since employer pay stay , be difficult say whether worth cost ( barely skim bill ) . absolutely love location ( short walk Buckingham Palace , Green Park , Hyde Park , Piccadilly Circus ) . accommodation adequate . room clean comfortable , although surprisingly small Executive Business Suite ( kind enough upgrade room upon co - worker 's request ) . alarm clock ; one build tv . complaint construction right outside window ( begin exactly 8 a.m. morning ) mislead claim free breakfast . construction not terrible , since need around 8 morning anyway , one sleep late city , rather go see sight . restaurant bit questionable . consistently claim website hotel breakfast free Saturdays Sundays . take advantage offer Saturday , charge 19 pound . confused , inquire charge upon checkout . girl front desk say & quot ; sign package include free breakfast & quot ; . , employer pay , far tired argue , still aggravate . beyond , experience great . food good . upgrade room extra cost . even let check 8 a.m. , normal check time 2 p.m. could shower get nap . think stay , would recommend . 
 Apr 23 2008 	 bad good 	 stay April , get half price deal , £ 200 per night . room ok , nothing brillant . room cold , ask reception turn heat . Thermostat say 32 degree never that . Got work Saturday Sunday morning 7.30 building work across road , consider get 3 am , funny . have stay Hilton Park Lane , hotel much well , get cheap deal , £ 180 per night . overall hotel ok , situate outside main area ( Piccadilly ) warmth character . 
 Mar 25 2008 	 top location clean bed / bath friendly concierge 	 although normally would booked hotel star big , fancy lobby , location price Holiday Inn Mayfair good pass - review consistent clean bedding clean towel ( unlike many place ) . can not beat location . perpendicular Ritz , great landmark be walk , locate 3 door quieter side street , 's street noise . five minute walk Piccadilly Circus , 10 minute Leicester Square ( theater center ) . Buckingham Palace , Hyde Park Corner . walk Buckingham Palace Green Park , other straight walk along Piccadilly well light busy night , make comfortable walk home night . around corner Green Park tube station , several line , include one take Heathrow ( Piccadilly line - Heathrow Express ) . hotel also next door Boots Pharmacy , similar CVS chain drug store US . well - stock anything may forget ; item require prescription US right shelf - migraine med codeine . no need pay extra breakfast . directly across street Starbucks good supply sandwich , etc . around corner , right next Green Park Tube entrance ( close ! ! ! ) Marks & amp ; Spencer grocery store , simply Foods , fresh bake good ( downstairs ) croissant baguette scone muffin bagel ! also lot fresh fruit , yogurt , etc . buy cream cheese , butter , jam first day go back daily baked good , fresh juice fruit , sometimes sandwich take along day . everything label nutritional info . the room turn large expect base experience Europe . small US hotel room , website say can not use roll - away bed , desk , breakfast table 2 chair , mini - bar , electric kettle daily stock free instant coffee , decaf , tea , Cadbury hot cocoa mix , shortbread cookie . shower great hot water water pressure . thermostat room work well despite review ( need follow direction press power button get temp want ) . double window foot apart eliminate possible outside noise provide space keep fruit juice chill . still , one lazy morning , two us breakfast hotel restaurant one cold evening , two dinner . meal excellent , expensive . instead pay hotel internet , contact www.adamphones.com rent cell phone mobile broadband - small thing look like memory stick , plug USB port , provide high speed internet service . great deal company drop package arrive pick concierge leave . we one room 8 night , second room concurrent 4 night , prepay , non - cancellable , exclude breakfast . first range 120 131 pound per night interestingly second 104 131 pound per night ( plus vat ) . point discrepancy Holiday Inn customer service ( identical room reserve day different price day ) , refunded difference . one could explain fri / sit / sun 4 day stay 104 per day fri / sit / sun part 8 day stay 120 per day . may want break stay piece check price , see 's well deal . book room , nothing available 2 bed . however , arrive , able get room two double bed instead one queen bed , upcharge . number room 2 bed seem quite limited , book early 's need . note 2 double bed , twin bed european hotel provide . we not need business center never even check . however , email concierge question ahead time arrive , remember ask whether able get theater ticket ask . saw show almost every night , get ticket one ahead time other either tkts discount booth Leicester Square ( even show seem sell online ) .One room face Berkeley ( street side hotel ) face back . quiet , recommend ask Berkeley side appear build construction site behind hotel inactive Easter look like would get noisy work process . we nervous arrival , definitely recommend hotel . 
 Mar 21 2008 	 good location .......... 	 stay hotel ten year extremely convenient location . seem time , penny spend improvement . spot nice touch flower either . everything ( except lift ) ok - would expect bit price ! room cold a / c , though top heat , make difference . luckily provide separate ( slow ) heater . positive side : check - in / out fast , friendly staff - improvement - good breakfast , good bed , coffee machine room . shall return , location perfect . 
 Mar 2 2008 	 ok location 	 stay Holiday inn Mayfair 27th 28th February . business , attend conference hotel . find location excellent , minute picadilly circus National Gallery . breakfast food good varied . service ok ( ask supply passport number eastern european receptionist although ' m french citizen domiciliate UK ! ' m sure unnecessary information ... ) .I pay upgrade avoid stay smoking room find bit dissapointing . executive room spacious confortable quite noisy early morning . facility minimal ( gym , pool , free internet ) price high ( 595 pound rack rate ) suppose 's standard London . 
 Feb 13 2008 	 great service great location ... 	 stay 2 night daughter 10th birthday great . standard service reception high , nothing much trouble , staff friendly helpful . the room fine , comfortable clean , need city centre location . get locked room , hotel staff could apologetic , move we upgrade room . really nice touch leave birthday card box chocolate daughter . breakfast buffet , lot choice good quality , not queue anything . not try evening meal menu seem nice enough . the location hotel main reason book , fantastic , around corner Green Park tube station , main attraction really accessible . piccadily Circus , Leicester Square , Bond Street easy walk distance . we would definetely stay . 
 Feb 4 2008 	 can not fault . 	 stay Holiday Inn Mayfair 2 night early February . room clean , spacious quiet great facility include mini bar , Sky TV , Trouser Press Air Con bathroom clean functional . location fantastic 5 min walk Piccadilly Circus lovely Berkeley Square . ideal sightseeing trip , ideal Business trip wireless internet room . book hotel special promotion end pay approx £ 160 2 night double room . price represent exceptional value money , however note walk - in price great deal higher . be look breakfast outside hotel , would recommend pub around corner Charles Steet - ' the Running Footman ' greast english breakfast £ 7 . 
 Feb 2 2008 	 great location 	 great location , comfortable hotel would not want pay full rate . get deal pay £ 80 night room , fine - full price get bit scary . we not eat hotel , can not comment food . load place eat drink nearby not want stay hotel . thing nearby : boot corner 50 m away , & amp ; food shop 100 m away ( great chill bottle wine ! ) , Sainsbury 's food shop opposite direction Berkley St , Starbucks directly opposite hotel , Ritz right bottom Berkley St ( great afternoon tea ) Fortnum Mason 5 min walk away . like ' Clarence ' bar , next street toward Piccadily Circus . walk distance Buckingham Palace , piccadily Circus , Leicester Square , Westminster Big Ben - quite energetic Green Park underground station 1 min walk hotel . Jubilee line give access load thing London oyster . 
 Jan 15 2008 	 Fantastic Location 	 travel UK first time family keen stay London hotel provide family accommodation . hotel website special GBP99 inc breakfast book 7 day prior arrival . two queen size bed family room perfect we location amazing . walk hotel see light Ritz Carlton , son husband drool R8 Audi Showroom ( salesman even let sit inside ) add experience . close main shopping , tourist tube stop , could choose well value money hotel . hotel good standard internally , clean well maintain , helpful staff . breakfast adequate part package , , excellent value money . 
 Jan 14 2008 	 like single female traveler . 	 pick hotel base review Trip - Advisor recommendation Fodors . need centrally locate hotel 4 night stay London , main reason watch daughter perform London New Years Day Parade . travel daughter group another hotel . use Holiday Inn website purchase prepaid reservation refund . full amt . bill charge credit card make reservation . arrive hotel say card decline . ask call tell responsibility . however fly transatlantic tired wanted room would say choice word go elsewhere . try card insistence go right though ( info already ) turns punch wrong expiration date courtesy call tell problem . price reasonable London except make pay double New Years Eve nothing hotel little party mediocre restaurant . certainly nothing someone would want pay double stay attend party . the room typical Holiday Inn . funiture little worn comfortable bed . bathroom pretty good , long deep tub . complaint , towel rack heat right toilet everytime sit bump knee burn . also rust around faucet nothing deter stay . housekeeping wonderful , everything replace perfectly day always smile cheery hello see hall . my ( big ) complaint . could definately tell like single female traveler . check clerk make clear understand alone . concierge ask alone . another man ask need help bag since man . tell New Years Eve dinner buffet say & quot ; presume interested since alone & quot ; sure think trying pay single rate planning sneak someone something . one time feeling . definately like myself . oveall room stay ok would probably stay elsewhere return . really nothing close except Ritz small expensive grocery store . walk street block find store Fortnum Mason botique nothing interest average tourist . one coffee shop block away 6 block restaurant restaurant hotel . down hotel , fine location close tube stop right corner Green Park , great pay plenty great location London . front staff nice little warm could make world difference . one thing , use PHONES . go outside use pay phone . fleece every pound . like 6 dollar dial toll free access number use call card . 
