bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 Apr 14 2009 	 Skip TRopicana 	 choose hotel appear good value base internet search . first trip Las Vegas , know little hotel option . disappointing experience . people know apparently care casino operation hotel management . room date ( room bamboo frame mirror ceiling bed ) . furniture circa 1970.its kind place college kid vacation would go trash spring break , family orient property . long walk check room time make trek , must manuever narrow corridor line vendor agressively hock ware harrasse every time pass ! annoying experience . there many well choice Las Vegas subject depress enviornment . 
 Apr 9 2009 	 one word : Roach 	 unfortunately stay Tropicana red eye get cancel else go . super cheap- 60 dollar , friend decide check in . big mistake- walk room see eat bagel , orange peels feminine product scatter hallway . get room , greet cockroach wall . the bed cover cheap plastic people use protect bed wet . this place around grimey . not care & quot ; good deal & quot ; , plan old dirty ! 
 Apr 5 2009 	 big oldfashioned resort nice outdoor view 	 classic site particular view Strip . room large oldish . breakfast available . make incredible bargain accomodation rate . 
 Apr 2 2009 	 terrible service 	 disappointed hotel . reserve two room - adjoining non - smoking family . phone twice alert staff would late arrival . response & quot ; problem & quot ; . however , arrive room give away left smoking room , one 9th floor one 19th floor . tell reserve non smoking room adjoin room simply request guarantee choice ( 11:00 pm ) , stay night . clerk assure we , complain several employee via phone , could move first thing morning . reluctantly agree explain never would made reservation mention non smoking room merely request could guarantee . next morning , tell could check back begin 3:00 new room . mean return sightseeing every 1/2 hour see room clean ready . informed would put room aside , policy first come , first serve . three visit back front desk room still ready , manager put one aside we . second room finally ready evening 11:00 pm . give unhappy previous day , would think hotel would accomodate least put aside two non smoking , adjoining room . obviously , business important ! 
 Mar 30 2009 	 Grotty 	 want hotel strip indoor pool Trop seem option . could go back re - do decision ! first room , 18th floor Island Tower , smell really funky . way describe & quot ; cheesy & quot ; . shower pretty grotty find pile trash bed include two empty soda bottle . at 4:00am call security neighbor . take ten minute security arrive recommend change room . wake kid , pack bag , traipse 12th floor pjs . room smell bit well would guess 'd smoking room point life stale aroma . definitely damp clothe slick , wet feel couple hour . we must upgrade find two full beer can bed room ! indoor pool horrible . small , dark , dank chilly . kid stay 30 minute want leave ! evening return room key would not work . go back reservation desk give spiel & quot ; check - in again . & quot ; minor aggravation add general disappointment hotel . check - out could not come fast enough . I read review not surprised . many write ' you get pay ' . however , would suggest perhaps Trop be get lot less pay . 
 Mar 29 2009 	 large room POOR staff hotel casino even manager would not tell we right thing guard ! 	 get slot card , make sure double check reward everyday PROMOTION center go hotel desk ask reward cause checking , hotel checkout desk lady tell we point use would lose , go back go resturant eat manager say & quot ; IDEA talk , needless say go back PROMOTION center ask tell we something totally different point leave ! also , staff , casino , hotel , resturant , gift shop , STAFF RUDE , smile , oh thank come , act like know nothing hotel , oh part KEPT say HOTEL lay PEOPLE ECONOMY LACK HELP ! tell we , times doan 's pill ! : ) get tired hearing comment , start tell , yes know lay PEOPLE ! want hear vacation ! Island Buffet horrible night , lunch good , good part stay room roomy , comfy , Garden Cafe , best food , not know , waste money buffet ! anything else , feel free contact cherylr @ aol.com ! Rate C- ! 
 Mar 22 2009 	 Great Location desperate need re - do 	 5 friend book 3 room sunday thursday . not really impressed room give ( 4000 wing ) , seeing not plan spend much time anyhow , not care much . second day , tho , noticed room clean , need serious overhaul . tile bathroom stained mildew , wallpaper definitly show age . see another friend ' room excalibur realize definitly get short end stick . price pay ( minus couple dollar ) ... world difference . location excellent , tho . clean lady nice , pleasant , tho , bartender chat quick - witted , funny . staff great . really hope plan overhaul soon . go back , . 
 Mar 15 2009 	 Beware Garden room Tropicana 	 book Friday night room Tropicana online . picture deceive . stay 4000 area main building : cold , damp ( yes , desert ) , old , dingy , dirty wallpaper . security cameras hall . would not believe part Tropicana strip not stay . 
 Mar 13 2009 	 place sleep 	 you ve never Las Vegas , do not recommend stay Tropicana . location great price get hotel strip fabulous , hotel old little crusty . think get put bad wing hotel , friend side ( paradise tower ) room blow away . carpet hall dirty , wallpaper peeling , reek smoke everywhere ( I m smoker ) . I ve stay much bad place , not really care , think people would dissapointed property . plus side pool . really enjoy drink , live music ambience pool offer . bottom line , young group partier want cheap place crash , stay Tropicana , otherwise , stay elsewhere . 
 Mar 11 2009 	 Hotel 's day ! 	 past September husband spend 4 night fine old hotel many occassion road trip Nevada . however last stay disappointment . previous stay 8 month prior obvious state deterioration since last visit extremely dishearten . looked give try maintain property . linen bed tear ask maid new blanket replace tear one shrugged shoulder continue way . never 4 day get different blanket 4 night get clean linen . room shabby clean bathroom . get dry clean towel chore . staff around rude unhelpful . book Garden Room guarantee credit card several occasion give room far tower . acceptable we due fact disabled use walker.and hike room long walkway load kiosk , highly aggresive , obnoxious salesperson accost we everytime make hike room . needless say reluctantly sever association so - call & quot ; Resort & quot ; stay . 
 Mar 10 2009 	 tired look desperate need revamp .... oh yeah bed bug ! 	 extend holiday 5 night MGM Grand wife decide book Tropicana extra 3 . usually take time look stay without consider hotel prior trip stay extra night whim decision base purely cost . now decide leave credit card home , Vegas intent getting carry away . actually book room ( cash ) prove challenge ! speak several front desk , one advise hotel policy accept book cash , another possible , be not sure go , finally direct house phone call reservation hotline . let know lobby instruct see duty manager . whole process involve wait 2 line 30 minute , see 4 different people use telephone ..... particularly easy customer friendly way go business . fair , finally ' check ' , upgrade ' garden room ' ' island tower ' reading review former turn bad experience , could make bad staying ! room 17th floor immediate reaction walk elevator area hotel desperate need care . appear tired , wall grimey , carpet see well day threadbare ! opening room greet terrible musty smell either room recently fumegate , bad leak air year ok . Vegas mirror ceiling , wall headboard make eye light think ' Vegas ! that s I m talk ! ! & quot ; idea action stop short ' visitor ' arrive join party . devouring body bug exactly mind , nevertheless I ve never bite much life . lay 3 day sun assume I d ' prickly heat ' reading review recently understand vistor Vegas enjoy buffet , main course night army bug Tropicana ! overall view hotel bad one , less ' sterile ' feel MGM Grand , appear quaint .... casino respectable see pool prior choose hotel .... lovely , small little secluded area around large pool area . enough shade palm tree etc get sun 'd enough . seemed hotel ( i d experience MGM & amp ; Luxor ) little option lie sun leave pool area would enough . the shop bit joke , tacky bazaar type unit . difficult find somewhere eat late evening nice meal ' legend ' restaurant price reasonable . meal interupte photographer who s result awful disappointment , decide buying turn quiet rude ! visit Vegas , yes , soon ! consider Tropicana , certainly ! worth pay extra $ 30 night elsewhere ensure not end feast upon ! 
 Mar 6 2009 	 worth ... 	 , recently finish 5 week stay Tropicana want give full review . live room 17th floor face MGM . veiw good friend room face Excalibur , big deal . annoying thing bright light . curtain fully black room . , might case hotel strip . room bit date . furniture kind mismatch , carpet little grungy ( wear flip flop room ) . bathroom could use update , never look bright clean , probably old . also , use flourescent light mirror never flatter . not know anyone stay garden room , supposedly bad . house keep staff good , though . always friendly . the casino area kind depressed . clientale would find say Bellagio Wynn , almost & quot ; Fremont & quot ; feel . live music every night lounge people seem enjoy . comedy Stop excellent , hear Folies Bergere great old Vegas show . bad 's last show come month . hope see leave town . dining experience sub par hotels area ( eat MGM , Mandala Bay , NY NY ) . buffet adequate . breakfast , omelette guy know way around skillet . eat times 24 hour restaraunt . middle remodel , good idea . husband comment tacky decor , next week close move italian place . know sure , think get food poisoning . order turkey sandwhich mayo ( usually never eat ) night get really sick could not eat week . use gym , ' m glad include room price . small , three treadmill , two elipitical , weight machine . women ' spa area nice . hot tub , steam room , sauna . massuese different beauty treatment , tanning bed . nothing elaborate . offer wi - fi room , pay rediculous fee per day . overall , little money , think could find well place stay . hear owner going start complete remodel , seem start . however , funny thing , change anything . repaint hallway ... really unattractive peach brown . re - carpeting lobby ... carpet ! , might look little less run help refresh face Tropicana . really bad , Trop great location could benefit new look . 
 Mar 5 2009 	 Garden Rooms demolish rebuild 	 Location great not stay Garden Rooms . old , old , old . hallway smelly , carpet disgusting , ceiling low . walk close close room long hallway , get hot hot ( February ! ) . room hot also , A / c work properly , luckily could open window . view ( non - view ) window pitch roof conference room building . old , old fixture bathroom , outdated decor , internet available . room need demolish rebuild . unfortunately , NASCAR town weekend visit . rate way high stay . add insult injury , upon departure , charge $ 8.71 & quot ; resort fee & quot ; per night per room . walk around ground see anything worth $ 8.71 per day . maintenance place top priority . 
 Mar 4 2009 	 good use . 	 ' ve stay Tropicana , seem go hill . big party , stay Tropicana , first thing notice lop - sided mattress . mattress become lopsided corner bed ? ? ? not even want try figure like , gross . go friend 's room , mattresse nice straight , much comfortable mine ! another issue food leave refrigerator previous guest ! also irk . casino get run - down . elevator shake creek , make nervous ride . restaurant buffet good ! lobster tail dinner legend steakhouse AMAZING ! husband impress dinner . pool always great , love . can not beat location hotel , NY NY MGM 3 - 5 minute walk away . , hotel stay ok . not think will stay though . next time will spend extra money get room not gross . 
 Feb 26 2009 	 great location bargain searcher 	 two thirty year old marry ( ) guy look fun weekend away . good location south end strip . watch penny , ! walk across bridge MGM eat nice McDonald 's . Sign player 's club claim free Trop T - Shirt , deck card coupon table . Garden room old one two story building middle . offer one w / two bed Island Tower Room King fold couch . choose latter view airport . way Island Tower Rooms , assume get option upgrade garden free . recommend always book Garden see upgrade free . eat cafe price reasonable . indoor pool spa nothing huge , year round . go Studio 54 MGM Grand- not really impressed . go Moon / Playboy Palms want experience . go club , go eBay get pass way $ 2 $ 3 piece . search eBay & quot ; Las Vegas Passes . & quot ; everytime ! process put trip together mid March 09 likely book Trop . Oh- see buy one get one free poster Excalibur buffet 2 pm - 4 pm . Arizona driver : avoid dam go Laughlin safe . wait 2 full hour dam suck ! enjoy Vegas trip bring drink : - ) 
 Feb 21 2009 	 get marry 	 review hotel stay not got marry . book uk ring check thing great could not enough we . call see day wedding choose music , flower , colour garter include price . place great whole experience wedding day fantastic . hair do salon look fantastic , David husband hair cut trim come crew cut ( maybe think join marine ! ! ) say wet shave great smooth . great room bride change dress . 
 Feb 20 2009 	 Thanksgiving weekend 	 love room Island Tower mirror everywhere . but hate parking . upgrade we room charge we resort fee not tell we would booked room week early . also say website http : //www.i4vegas.com would get free coupon eat gamble get rude woman desk say everybody would get coupon - wtf mean ? ! not explain well not look like want explain anything . the room clean , bathroom nice , heater not work get air - conditioner whole night . also , thing make weird noise night . I not recommend hotel anyone . stay Emerald Suites , freak microwave refrigerator room not . Emerald not charge extra fee nowhere . problem Emerald 's Strip . : ( 
 Feb 15 2009 	 tripre helped deal price 	 om start . ok , long walk room , elevator get stick constantly , one two work anyway ( weekend ) .toilet break , yellow bathtub , cig stain everywhere , flat pillow . restaurant close everywhere reg hour ? ( weekend ) oh long walk find anything even losey cup coffe.casino : course good who s ? wife course . oh good , get sick day sit frm eating ? could ? place eat . run day throw chunk fever shake . oh , people , casino , tre sell time share wake escaltor . get good price frm whealin dealin . guess get deserve . 
 Feb 12 2009 	 old lady be go downhill might consider 	 diamond forever , Sean Connery mumble James Bond & quot ; hear Tropicana quite comfortable . & quot ; back day MGM Grand still golf course , one premier property Strip -- upper floor jacuzzi suite good get -- more - or - less stand still past thirty year . room Island Tower not materially update long . though Trop evolve place budget traveler , one spectacular amenity : pool . weekend , still play swim - up blackjack get free back massage waterfall ( pay $ 10 thing one massage machine ? ) one nice pool town . get yard - long fru - fru drink ( Waterfall classic ) , lather sun creme , slip $ 100 chip bathing short black - jack , take nice nap . bikini quotient fall dramatically , will still enjoy it . even not stay , visit want good laugh , step front tower elevator take short ride . reach casino floor , elevator recording announce , one deliciously sarcastic tone side Rickles , & quot ; Casino ! good luck ! & quot ; rack rate Vegas obscene , one pay unless major fight town . gambler , want Strip experience , not want break bank get , Trop may one good value . 
 Feb 6 2009 	 Tropicanna resort Hotel bad 	 read review hotel worry annoyed husband booking , even tho say bargain . luckily nowhere near bad expect . stay island tower room date clean could fault room clean even tho never see spend time . do not visit Vegas sit room complain . room overlook airport fabulous sunrise sunset mountain . we make decision arrive eat hotel twice . eat first night Tropicanna buffet bad meal holiday . the hotel staff helpful especially one cocktail waitress can not remember name would give mention . make two trip Grand Canyon one plane South rim helicopter tour North rim Bus . fantastic must . all great time , hotel need update book Tropicanna do not worry bad . we definitely go back Vegas husband say would stay Tropicanna ( love bargain ) would like stay new . sure win . 
 Feb 3 2009 	 Best Deal Vegas ! 	 price can not beat . large room amenity . staff really upped game smile courtesy . and Mandalay Bay , Trop casino gamble in . it be convienent great casino , agree traveler , constant badgering time share people get old , 's small bother compare overall experience . if want impress people , need new fancy , Trop way go , want descent room , great location little dough , go Trop . 
 Jan 25 2009 	 ok 	 book hotel night leave one night getaway . book garden room , arrive put front tower strip view , real nice . couch , old televsion , refridgerator big bathroom . open closet half eat bag chip cheese sauce . call front desk manager say could not anything book third party . ask bottle champange say send small bottle . wait twenty minute one show decide start night . come back room six hour later two small bottle champange choclate cover strawberry . value room nice , see location garden room defiently do not want book . 
 Jan 24 2009 	 bad ! 	 know be one old place Vegas definitely outdate , pretty clean cheap . another bonus 's close strip . 
 Jan 14 2009 	 Trop - Lots fun Vegas 	 wife attend AVN Expo find uptown price pretty steep especially since ces time . bit apprehensive stay old property fear never come true . room spacious bed comfortable . tv old work fine . miss fancy flat screen since room except sleep . shower plenty hot water tub big enough two . view MGM New York Island tower room . the good part friendly staff promotion . bit gambling long receive comp show ( Follies Magic ) , breakfast dinner . the location great since near train ( east strip ) tram ( west strip ) . easy get Sands Expo although bit walking require . the negative high cost internet ( $ 12 per day ) constant harassment tour Tahiti Village . get know we smile walk by . this 24 hour property small convenience store three restaurant . great choice day Vegas . 
 Jan 12 2009 	 Tropican ... perfect budget ! ! ! 	 know place not luxurious , need facelift well , stick past . thing , spend time ... fancy room lose . sure be nice , pay 1/3 price pricier hotel strip 's money spend town . admitedly , bachelor party , share room friend . $ 150 piece clean , centraly locate room strip 3 night Vegas ... can not go wrong . put perspective , member bachelor party crew stay Wynn instead Tropicana . come 11am immediately give room . try check Wynn 2:30 not room till almost 9pm night ! , get pay ... good western style room PLENTY square footage . would reccomend stay Paradise Tower . ' ve read nice room , be close lobby great view . stay . Additionaly , skip booking site get match price . will avoid & quot ; Resort Fee & quot ; will pay 1 night front . I will back ... provide hotel 's still next time ' m . 
 Jan 9 2009 	 Hate Resort Charges 	 room ok , though noisy fan bathroom flake bathtub , bad part force pay resort fee $ 8 / ea / per day . future , will careful confirm absence nasty hide fee book . room book Vegas booking site not recall anything website resort fee . 
 Jan 7 2009 	 Problem Trop . 	 stay Tropicana wife 11 year old son New Year . reason choose property think hotel strip indoor pool . arrival show room Paradise Tower say satisfied find . room large two huge bed , bathroom also big well stock towel , soap etc . say stay could swim winter pool quite big towel provide guard ( life guard ) always duty . staff always friendly willing assist . 
 Jan 7 2009 	 get pay 	 Tropicana ! would never stay old end hotel ... room neglect , floor stain , everything smell stale cigarette smoke along walk entrance . ...... 2nd night move Tower Rooms 100 % well . simple basic room could ask $ 50 night . staff friendly enough pool area great . give special mention Garden Cafe ( open 24hour ) $ 6 menu amazing ( order meatball ) staff great . hotel great location opposite MGM , Excalibur New York New York , perfect people want explore strip gamble night away . Megan ( Birmingham , UK ) 
 Jan 2 2009 	 Trop ok - well 	 stay Dec 27 - 30 . good : upgrade Tower without ask extra cost , indoor pool hot tub clean open 24 hour , front desk concierge service friendly . bad : friendly timeshare salesperson , persistent , pass two booth ' worth people every time go room ; convenience room ( group three room total ) frequently break , include safe , hair dryer , phone ; shabby . room also look like set Boogie NIghts - decor strictly 70 's , put mirror ceiling bed anymore ? look Dirk Diggler drop . next time think will stay Fremont area newly - refurbish hotel . Tropicana 's facelift overdue ! 
 Dec 30 2008 	 impressed customer service 	 family stay one night Tropicana ; mostly want take advantage indoor pool December . kid enjoy pool . although lifeguard , security guard present time . good part Tropicana customer service . checkin checkout , employee extremely courteous helpful . the bad part room real need cosmetic makeover . room upgrade free - of - charge although clean , furniture old ; wallpaper peeling . tv small reception ok . the hotel great location Strip . 
 Dec 30 2008 	 really get pay ... 	 be go stay Trop would reccomend book tower room - much new nice , original part hotel put build mid 1950 's still stand original motel style base two tower . room date expect well worn however surprised bed new . hallway often see glassware plate hall would day pester time clean staff ask leave ... happend day 2 6 . pool nice , date well maintain lush tropical style garden . food satisfactory despite date decor furniture , maily stay Trop breakfast much well option short walk away - stay away hooter next door - consistent one ' ve visit , yuck . staff friendly often eager help suggest nightlife dinning . many hotel state right suffering due poor economy Trop Atlantic City file chapter 11 . would reccomend look hotel slightly expensive ; Ballys ( well location clean ) even Luxor ( clean , modern ) cost factor Trop cheap good location ( right across MGM ) . be couple guy mid 20 be like we ( first time Vegas ) cheap effective place stay , spend little time room aside sleeping\recovere however unlikely return - sorry Tropicana ! 
 Dec 29 2008 	 Awesome pool ! ! ! 	 have stay several time , kid , wife . main reason go back POOL , location old room right next pool . true bottom wing old , tend smell , moth , price , location pool , ? ? also closesness othere place also bennie . like someone say want 300.00 room $ 50.00 , place , pool , close room , , , stay low wing . good service casino , plenty cocktail comme around , unlike high end hotel ........ love pool stay .... 100 .... 
 Dec 22 2008 	 horrible 	 book 3 day stay Tropicana thru World Travelers America / IAN travel agency . room Trop completely unacceptable . due late arrival tiredness , stay nite arrival . floor dirty stain afraid walk . mattress concave see urine stain bed linen upon check - in , would slept rental car . morning 17th ask change room tell supervisor would right . wait 45 minute decide check . ask front desk refund card extra 2 nite , say IAN would . call IAN morning representative refuse . will not use service future . 
 Dec 17 2008 	 outdate ... bad part - BEDBUGS 	 husband two free night Tropicana golf outing . add another night long weekend getaway . look clean comfortable . know fancy place strip . stay many different place Vegas price range ( Caesers Palace Imperial Palace Ellis Island ) . room Tropicana update since early 70 . bathroom still metal kleenex box holder mount edge bathroom counter . towel thin , small dingy white . soap shampoo bad I ve see water hard , nothing lather matter quality . bathtub texture nonslip bottom gray dirty . toilet chip stain . odd thing tiki style huge mirror mount ceiling bed , wall headboard . screamed & quot ; sleazy & quot ; . bad part stay occur afternoon nap . awoke start feel neck tiny bite . instinctively reach & quot ; catch & quot ; someothing finger . bedbug . I ve see news show bedbug know look like . also know bedbug become big problem place increase international travel carry luggage . rationalize world make feel sympathetic toward hotel first experience . husband ask change room way know room sleep bug rise mattress response person body heat . see sign bedbug infestation ( ie small brownish spot mattress headboard ) . end find several follow morning time leave ... thank goodness . bring attention staff do not . guess much stay . decide write review warn other . read review also experience bedbug . stay know place Vegas alot nicer price comparable . 
 Dec 12 2008 	 lot fun great value . 	 reviewer obviously $ 300 expectation $ 50 room . need cheap place sleep 4 - 5 hour per night , cheap place gamble , great pool , close location good south - strip location , stay here . if use stay 4 - season expect treatment large , decade old budget casino ...... try again . I love place , continue stay whenever go Vegas friend . 
 Dec 11 2008 	 kid friendly 	 travel Vegas concert 6 8 year old . desk clerk check we lack basic customer service skill . room cozy appear clean . bathroom toilet require jiggle flush avoid run constantly . shower small dark . cable station kid watch available station come fuzzy . shuttle service . small arcade far end hotel . place grab bite eat inside hotel hour . either dine price room service . hotel along strip easy access monorail . also middle must see CA not stay hotel . 
 Dec 3 2008 	 Hate Hotel 	 give we farth room . smell room awful . bed sheet dirty . aircon work well , noisy . never stay hotel ever . discourage relative friend even think stay hotel . renovate hotel . 
 Nov 21 2008 	 Oldder Great Value 	 fiancé decide elope Las Vegas . immediate family decide come well , stay Tropicana one cheap place stay . family stay Garden Rooms . right next small parking lot easy get . barely walk room old . parent Garden suite two room turn one room . one room living area bedroom . room two bathroom . fiancé Island Tower Jacuzzi Hotel Suite . room amazing . big , bathroom sink area two huge counter / sink , room bar mini fridge , awesome view strip . two problem walk room , took forever get room Jacuzzi tub luke warm . ' figure get hot . everyone happy . side note pool area beautiful . 
 Nov 17 2008 	 place DUMP ! ` ` jungle room '' meet ` ` castway '' 	 attend conference November 6 & amp ; 7 hold Tropicana . for convienience sake call pay $ 150.00 per night & quot ; special rate & quot ; conference attendee . BIG mistake.good : arrive hotel 10:30 morning quickly check first room . room update since , hmm ... 1970 . mirrored ceiling headboard , popcorn ceiling , dirty , worn , carpet , filthy window , hair bathtub , light bathroom . awful room horrible & quot ; stench & quot ; .good : move , request , another room , quickly without fuss . bad : room look exactly , many complaint first room . good : Smell go . this hotel carpet rip management see fit put color duct tape across huge rip . if $ 50.00 room - would expect . $ 150.00 , hindsight , book MGM across street $ 99.00 night . my suggestion would must attend conference , stay somewhere else . 
 Nov 14 2008 	 bed BUGS ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 let start say stay far far away place ! ! live San Diego girlfriend couple friend decide drive Vegas whim . check website find room last minute 100 buck . arrive check find room sell , great cause upgrade we Jacuzzi Suite . excited get room , really old Rat Pack style like . the next morning realize stay Tropicana one bad decision ever make . girlfriend wake crazy rash back , do not think much time . withe next week , friend hundred insect bite arm body . go dermatologist least 6 time get medication , deal itch horrible rash . know stay bed bug infest room take home we latch onto luggage . immedietely spread throughout home , throw away bed furniture bedroom . November still battle thing still get bite bed bug . please saftey well , stay hotel . amount bite get stay , must hundred thing live within room stay . also multiply fat feed regularly within hotel must thousand ! 
 Nov 14 2008 	 not give Ole Gal yet 	 entice make last - minute trip email Tropicana offer $ 37 / night midweek . read review , know rate dread Garden Rooms , avoid . book two night arrive front desk smile politeness . talk $ 30 $ 20 / night upgrade Paradise Tower room , although reading review realize might try hard cheap even free upgrade . matter worth upgrade Paradise Tower . elevator right front door fast . 17th - floor room look fairly upgrade new sheet , fluffy towel , brand - new bedspread , rarity Vegas : mini fridge ! ' ve pay $ 10 night mini fridge much expensive hotel Vegas . yeah , decor little cheesy tv tiny 's VEGAS ! anyway , room clean - clean carpet still bite damp shampooed . ok , be plus , give pass since not originally book room , carpet completely dry -and clean fresh ! - return dinner short later . not need call big fan anything . the view Strip room awesome , although mega monstrosity build across street next Monte Carlo sadden . look like be go impact view entire Strip . still , room face north good view Strip , least tower . find staff friendly helpful . find casino smoky , ' m sensitive , midweek . wonderful time play crap ( win ! ) great character nice employee . good band lounge . notice video poker game bar pretty worn down . the free cover self - parking great , use valet not want lug bag . 's AM / PM mini market across street basic supply , supermarket short drive away . never feel concerned safety . Trop 's location wonderful , easy walk big casino bus stop right front catch Deuce shuttle insist walk ( may drive mad see slow will move bus - vehicle - Strip ) . be also easy walk across street catch Monorail MGM Grand , conveniently take Sahara far north end Strip several stop . find monorail perfect way cheaply quickly get trade show Convention Center . we wonderful time Comedy Stop Trop . three great comic_strip 80 minute show ( early show nonsmoking , comedian change every week ) . far good bargain find show Vegas , free drink ( get beer not like cheap well booze ) , less $ 20 ticket . look magazines coupon . tip Maitre ' $ 5 get seat front row . wandered & quot ; mall & quot ; kiosk toward tower must say one badger we time share . I visit Vegas twice year upscale trip , use love new hotel Strip . honestly , huge new City Center Beast build , wonder 's worth price view ? , would recommend Tropicana nice budget stay Strip , keep open mind willing pay -or charm way - upgrade . thought have tear soon must say , experience seem like be still try please , ' m happy be still stand . 's probably matter time 's replace Megalometropolis soul . will take Vegas old school still . 
 Nov 13 2008 	 great pool ! 	 great hotel ! pool awesome , live DJ , waterfall , palm tree , great atmosphere.the hotel little old , fine . great location . would definetly recommend . 
 Nov 9 2008 	 bad 	 hesitant stay Trop reading review already book terrific price . arrive pleasantly surpirse friendly hotel staff . mention today anniversary upgrade we tower room . mention champagne cake deliver room . room large fairly nice . bathtub could use good scrubbing not bad price especially . like location staff great waitress hotel staff . receive clean towel room clean satisfaction daily . casino little smokey . use pool walk area . quite expect website still nice . slot fairly loose compare casino play . bad stay $ 40 night . 
 Nov 9 2008 	 free upgrade 	 reach little later reserved hotel staff helpful . since not standard room , reserve , available , give we free upgrade casino coupon well . view room nice , sheet clean bathroom hygenic . overall nice stay . 
 Nov 4 2008 	 Old dingy great location economy ! 	 review hotel may scare . travel experience , tend go 's economical , go ahead book hotel . location GREAT 's great pro hotel . place old , feel dingy , especially room decor seem 70 . elevator seem problem ... take time actually get button light call . also , fire alarm go night stay - hotel 's fault course . somebody deliberately smoke fire alarm , accord security guard . quite unpleasant wake 2 a.m. though . conclusion : be willing go price , get great value well experience Las Vegas . next time go , ' m go spend stay classier place . 
 Oct 30 2008 	 bad hotel ever 	 room dingy beyond belief , overshadow filth linen , include bed fresh blood sheet hair interwoven tear blanket . wall headboards dirty want wash unpacked , towel fresh mascara ! ! request non - smoking room could tell room smoking room never freshedne enough tell non - smoking room . staff borderline rude confront overall state thing common area hotel dirty well . young patron control drunk disorderly hotel staff look way . far bad experience travel far highly discourage anyone stay filthy place . 
 Oct 28 2008 	 worth . 	 stay one night place dump . furniture room old tear picture wall peel . hole bathroom ceiling room 50 degree night heat not work . would never stay . not waste money . 
 Oct 24 2008 	 Pros Cons 	 wife stay 3 night Trop . conclude expect read review . place see well day , great location good value . pros:1 . great location easy access either walk short tram ride MGM , Excalibur , NYNY , Luxor Mandalay bay.2 . price good compare resorts3 . staff generally helpful upgrade we without hassel.4 . good gambling ( friend hit $ 3,000 slot ) easy get free drink accumulate comps.5 . food italian japanese restaurant good . Cons:1 . old dilapidate many part -- not notice particullarly bad smell , plenty stain tear carpet general run atmosphere.2 . pool large largely shaded time year bar easily accessible -- also hot tub crowd unappealing.3 . late - night ( past 10:00PM ) food option limit Garden Cafe limit menu great atmosphere.4 . room ( see three different one ) flaw bathroom mold tiles.5 . & quot ; Trop Shops & quot ; nothing cheap boutique ytou would see average mall . my advice decide stay avoid GARDEN ROOMS stay one make sure balconey overlook pool . get tower room -- stay Paradise Tower , ask upgrade we Island Tower room mirror ceiling ( big deal ) . first room give AC unit do not work leak water allover carpet . ask change move we 19th floor much well room ( top line 1970 ! ) . would recommend stay top floor possible since seem furnish well . 
 Oct 23 2008 	 come gamble 	 date:10/23/08 wife spend 5 day Trop GREAT time . place glamorous surround property offer well gambling , service hospitality casino ' ve ever to . when arrive Jake check luggage ask wish we Good Luck . check - in easy . room ready friendly . the room , fancy functional . old bed furniture clean . it serve purpose hour spend . problem bathroom climate control system . housekeeping ball . one day not leave room 3 P.M. note leave door tell we require clean day could contact . run housekeeping supervisor thehall ask need towel toiletry . the casino area old decor clean fairly good variety slot . the table game awesome ! first actually see . well light unlike casino squint see card sake decor . dealer good town ' ve meet . , friendly , engage lot patient could certain situation . Nikki , Sammie , Algonesh , Benny , Iris , Frank majority dealer lot fun frequently everyone table convert perfect stranger new aquaintence common , friendly goal beat house . far pit supervision , Suzette Ron friendly engage truly amazing Sung never stop smile laugh customer co worker dispite hectic pace pit time . not take word . ask people sit table stay MGM , NY , Excalibur , Luxoror Planet H - Wood be gambling be stay . video poker game go Lucky 's Bar east side casino . be play bar machine late shift 's swamp order , talk Jerry bartender get feel be like live Vegas maybe thing not know Vegas . definitely one favorite barkeep ever ( know many ) .three little know treasure Trop .Comedy stop : three great comedian nightly . $ 23 include drink . short compe show not think will find well bargain . legend steakhouse : great food , great price , dinner include salad side . 4 to5 star food service 2 to3 star price . Cozy , classy friendly . Mizunos : quiet comfortable japanese food prepare table . Delicious house drink great service . bottom line : come vegas shop , get hot stone massage sit room watch tv go somewhere else Trop real deal Vegas mean . 
