expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Mar 4 2009 	 3 - star hotel pose 5 - star hotel 	 1 . 's 2009 , still 2 separate faucet hot cold water bathroom sink ? 2 . website say tea / coffee facility room . true , call request tell would charge 2 pound per day ! finally , convince hotel charge , stock adequately even daily basis . example , decaf coffee two day , almost choice tea , decaf herbal tea choices.3 . inadequate lighting room even light on.4 . charge 18 pound per day internet access , absurd amount.5 . Stairs lobby , entrance , reception area - helpful wheeled luggage , baby stroller , mention handicap access ! 6 . stair even within restaurant area , hotel.7 . hotel woeful need renovation.8 . tap bathtub drip almost scald first time take bath . fix let management know . 
 Feb 21 2009 	 great locationgreat serviceneede deep renovation 	 attend Conference hotel good possible location . moreover one arrive Heathrow airport easy reach underground , since Hotel near Green Park station - cost 4 pound ! location great , within walk distance Green Park , Hyde Park Piccadilly Circus . service staff great , always polite helpful . would expect however complete continental breakfast . hotel need deep renovation ! course room cozy need comfortable stay … but everything pretty old ! bathroom thing intimidate : must 30 year take bath water temperature go freeze cold steaming hot inexplicably ! think price doesn´t match actual standard facility . , like , go short period professional reason guess hotel would fine … but opinion London much offer similar / well same / low rate . 
 Feb 18 2009 	 Good Location ... Good Hotel 	 book trip read rating hotel feel little worried . mid 20 's couple go london extended weekend look hangout . hotel excellent location ... picadilly line right finger tip . walk 95 % time time due excellent location . walk distance buckingham palace , bond street , regent street , oxford street . major shopping area would want see . excellent pub club walk distance . never feel scared walk back hotel 2 3 morning . always lot people around . hotel good . lobby excellent staff helpful . ask question . get great deal room around 160 night U.S currency . room small size clean . bathroom small purpose . always fresh towel great service . vacation really spend lot time room . 
 Feb 17 2009 	 Decent stay . 	 hotel seem get bad press site . enjoy experience . stay two couple two room new year . bedroom fine , lovely bed , bathroom quaint . be probably difficult renovate improve size bathroom old building , character . never see large , deep bath fill quickly though ! ! reception back hotel , probably facilitate leasurely taxi drop busy Picadilly . lack tea / coffee making facility seem odd ! location superb . across road , 5min stroll gate Buck Palace . Turn leave hotel , 10 minute stroll get Picadilly Circus . turn right right onto Park Lane 10 min get Marble Arch Oxford Street shopping . Tube & amp ; food outlet , 200 yds away leave . behind hotel warren street compose Shepherd 's Market . restaurant , Pubs shop abound . ideal safe , quiet evening , eating , drink stroll ! good deal priceline . aghast rack rate enquire . great hotel get right deal . 
 Feb 13 2009 	 sadly place get bad even possible ! 	 write review Dec 2007 stay place first time , swear property , ' ve stay London 's 5 Star hotel travel London business several time year , really loyal particular chain . last stay stay night way Africa way back . PA make booking everything else book last minute trip . I dread return hotel last experience bad , hotel live say expectation . simply amazing hotel classify 5 star facility even stay starwood chain . start lobby , lack , be simply lobby , get check area either take back entrance back street feel like servant 's workman 's entrace , piccadily go tea room . not expect help luggage , will not get it . the staff reception neither friendly interested , ' m Gold SPG card holder travel another traveller Owners Card ( high get SPG ) , go facility , reception get befit royalty , . check young lady reception ( eastern European , like staff hotel ) bark we check one guest time , be give passport , even though use one credit card room .. room atrocious , start hallway , old 70 fray carpet , room door , pain ancient cheap look brown , scarred , quite dingy depressing . the room horrible , clean , drafty , not even get start bathroom . place SHUT , ASAP.Shame Sheraton , Shame Starwood . 
 Feb 13 2009 	 well average Sheraton 	 US base Sheraton hotel typically budget orient like vacation purpose . however , find hotel quite normal Sheraton standard , great location staff excellent . wife nice meal recommendation concierge go way help we . I unique opportunity see standard room upgrade room break trip two part . standard room nothing much speak . ' bad way , small much like room might find New York hotel ( small , uninspire view , etc . ) . upgrade room much large across board definitely relax . think room could use help light , , fine . my basis comparison Luxury Collection Westin Hotels usually stay . hotel realm , clean reasonably comfortable hotel fantastic location . ' easy walk many tourist site well Waterloo station sojourn town . ' convenient Tube close Shepherd ' market area food drink . 
 Feb 12 2009 	 Outstanding Visit 	 first stay Park Lane base mixed review past , concerned . however , moment check , know stay would wonderful one . room , spacious studio suite top floor , great view park despite face busy Pacadilly St. , absolutely quite day night ! excellent double window - 3 great window room , great light , spacious bathroom window , . clean , pleasantly appoint , absolutely quite room , , every trip London make stay Park Lane Sheraton hope room 851 . 
 Feb 12 2009 	 plan wisely 	 somewhat nervous book hotel mixed review . book call hotel speak lady front desk - assure room first - class , , Executive Rooms .. put & quot ; guarantee & quot ; . explain standard room yet update , executive room be . so - cost $ 180 upgrade - stay 4 night pay total $ 824 . book American Airlines site . great deal ! first room ( 8th floor ) poor . loud noise come water pipe stairwell room odd cramp shape . go request another room fuss . the new room - 729 - lovely . nice big large plasma tv , large bathtub rainfall shower . bad thing room , address quickly : coffee / tea maker , iron ( although iron board ) , break plug sink , leak bathroom window - call guest service everything bring straight sink window fix . the bathroom freeze . heat all . the turn - down service nice touch ! Palm Court Bar much welocme end long day - even thoug hit pricey ( 5 pound bottle speckled Hen 7.50 pound Frangelica ) atmosphere make it . the conceirge excellent - fact , staff superb . great location - close tube ( 5 minute walk ) museum . 
 Feb 6 2009 	 Unfortunatley 5 - star hotel 	 hotel perfect location within walk distance Bond Street , Oxford Steet , Piccadilly Circus Covent Garden . the room spaciuos bed good , hotel could renovation . call 5 - star hotel , maybe 3 - star . bathroom disguiste freeze cold . the Palm Court bar / resturant GREAT . good food , excellent service Fabio wok provide fantastic service customer . 
 Feb 4 2009 	 Sad - Sad - Sad 	 hotel deserve 5 star .... maybe 2 .... old , room tired ... bathroom digueste 5star hotel . everything accomodation sad compare 5 star hotel stay . hallway old , creaky floor carpet 70 's rug . place shocking , service lobby 1star quality .... okay tea room nice gym ok ...... would recommend stay nice 4star hotel .... intercontinental street 100 % nice great rate ! value money spend , worth ! 
 Jan 23 2009 	 Old Old Old Lady Lane need renovation 	 hotel smack great old architecture history hallway many room dank old smelly bot renovation couple decade ! even reception lobby shock .. SHERATON wake ! ! ! 
 Jan 10 2009 	 Good Location - Tired Hotel 	 hotel , Picadilly area . fine . however room decor quite tired , public area - main lounge - even tired . much well maintain situated hotel . 
 Jan 3 2009 	 many thing like hotel 	 come London frequently usually stay Park Lane . december trip disappoint . 3 week period stay 3 separate time use hotel hold bulk luggage travel outside London . room clean , bed linen mattresse comfortable shower pressure/ temperature excellent , plus window open . room stay intricate art deco tilework bath course due hotel 's age . stay executive small classic room please . addition , jazz night Fri / Sat bar area make great evening theatre . find drink bar food expensive tasty . ATM , Green Park tube station starbuck 2 block away . score excellent restaurant behind hotel Shepards Market . walk easily west end theatre hotel night . Green Park Buckingham Palace across street , Hyde Park direction . complaint bathroom outlet blow drier adequate shelf space stuff . hotel day make hunt blow dryer Park Lane different . however , Park Lane , outlet bedroom wind dry hair without benefit mirror . December , hotel full ballroom use many event . good book early possible . also , occasion , notice error hotel bill , staff take care easily . 
 Jan 2 2009 	 Best New Year ever ! ! ! ! ! ! ! ! ! ! ! 	 hotel fab ..... do not understand rate low ...... * Great Staff * Gorgeous Room * Fab Location * major lovely breakfast ! ! ! stay room 811 ..... fantasic view New Years Eve firework display . 10 minute walk piccadily West end ! ! hardly use tube ! ! booking go back February 
 Dec 30 2008 	 solid uninspiring 	 stay recently vacation . hotel location quite convenient tourist business traveller alike - minute walk 2 subway station , right middle London . reception staff courteous efficient . the room bit small , decent London standard . bathroom quite spacious . build actually quite old - well maintain . room clean , fitting adequate . except closet - unfathomable reason see fit install safe halfway closet space impossible hang full length coat ... even standard jacket matter . the hotel wireless internet access available throughout premise . breakfast adequate - interesting option within 5 minute walk . all , hotel good value - especially London standard . staff efficient courteous throughout stay . 
 Dec 15 2008 	 bad 	 book room attend dinner / dance hotel . also 2 young child we decide day day . request room large enough 4 us babysitter service . read review expect 5 star luxury , read review start get worried . fact rang hotel tell concern , tell worry , would upgrade room would refurbish one . stay disappointed spacious room 8th floor large bed sofa bed kids- although bit rickety - housekeeping make nicely request . room plain simple decoration- tired looking , bathroom clean modernised . tea / coffee facility 1 small bottle complimentary water . kid room service meal -cheap children option provided- actually adut size portions- find efficient meal good standard . impressive babysitter provide kid love . would say hotel 5 star - stay far luxurious 5 star hotel Park lane match . 4 star much reasonable . wonder may give rang ahead . overall - good , excellent . 
 Dec 8 2008 	 bad ` ` 5 star '' hotel ever 	 Appalling . first would like emphasise usually complain stay 5 star hotel past , always great experience bar minor issue let go . would rate Park Lane hotel 3 star generous . room extremely disappointing ( 104 ) tiny would remind bedsit . bed barely big enough call double headboard single bed . bed also push wall make difficult get especially night one need get toilet . bathroom completely unsatisfactory , tile crack sink brown dirty rim . bath also crack shower hideous . turn whole bathroom get soak towel hang beside . due shower head totally unstable . tea coffee faciltie complimentary water would come expect hotel class . phone water tell would take 15 min , 40 min later get water . get feel room not use find book beside bed book mark , previous breakfast order room service date 15/10/08 expect use . television work either call engineer come fix . decide head hotel 's restaurant husband dinner tell fully book , waitress advise do not mind sit lounge area would serve we food . give we menu 's tell we would take order . wait 45 min one come therefore go back restaurant order . take another hour meal order two pizza . staff never ask either us guest hotel room number sign bill . wait lounge glass wine . one come near us bill husband get go back room completely dissatisfied service . ball evening hotel unfortunate room locate directly music loud go 2.30 . complain duty manager first night promise we move new room next day . room however describe executive room far I m concerned standard king room expect upon check . upon check also give wrong bill twice , expence do not even know eg movie purchase do not watch breakfast expense do not eat . Belfast travel London weekend medical reason think stay hotel would help take mind Park Lane hotel let we badly . never stay hotel ever would advise traveller stay elsewhere . horrendous experience . Fawlty Towers spring mind . 
 Nov 20 2008 	 great location good service fabric place get tired . 	 despite name , Park Lane Sheraton not Park Lane . still , Piccadilly opposite Green Park ( therefore Buckingham Palace ) mean 's great location . situate Hyde Park Corner Green Park tube station make easy get ( especially London 's Heathrow Piccadilly line ) , ideal base explore London . confusingly , main entrance Piccadilly something back door feel , get reception go lounge . main door actually feel like back door , due fact 's uninspire narrow street . say , be inside , charm place soon hit friendliness staff welcoming . receptionist efficient helpful , indeed pretty much member staff contact . food top notch , although cheap . say , nothing ordinary price - wise London . lounge lot character , afternoon harpist play away whilst afternoon tea . pleasant . what let place slightly bedroom seem little tired . ghastly , age place show time . 's shame , money spend place , could really fantastic . , be good . all , great location good staff , show age little . 
 Nov 18 2008 	 Location Location Location 	 stay Park Lane Sheraton wedding Anniversary . grandeur hotel impressive location superb . Green Park Tube station along hotel , find walk shop Regent Street Oxford Street simple . staff great room allocate grand spacious . Sunday morning walk Regents Park fantastic wake we , Buckingham Palace tree . great time return . 
 Nov 16 2008 	 worth SPG point ... 	 use 12000 Starwood Preferred point one night stay Sheraton Park Lane worth 100 point . room locate first floor disaster . soon elevator door open first floor , terrible odor . far room go , carpet clean , sheet old tear , toilet seat inoperable , etc ... not even get start view ! ! ! ' ve stay many Starwood property . Sheraton Hacienda Del Mar Cabo Sheraton Panama City Convention center list go . I m puzzle property part Starwood property top notch . option stay another hotel London , not waste SPG point money hotel . nothing Starwood , good property world , one one . 
 Oct 29 2008 	 Smelly Sheraton 	 Hotel well situate badly need face lift , whole first floor smell bad , room little shabby , bathroom look like something 1930 's , price disapointing , 
 Oct 29 2008 	 Adequate Makeover require 	 book last minute £ 129 night room only . hotel well locate close Green Park tube station . grand old hotel continue present grand public face communal area . room ( 242 ) however tired need modernisation . good point - clean , large & amp ; comfy bed , modern tv.bad point - bathroom modernise least 20 year . ( even old electric hair dry machine attach wall . bedroom decor dull . hot air conditioning machine pipe window effective noisy . & amp ; coffee make facility . Rang & amp ; ask - charge £ 11 2 tea . discussion eventually get tray & amp ; kettle . breakfast expensive ( £ 17 continental + £ 6.50 kipper , full english cook £ 21 ) take long ( 30 minute ) waive charge.conscierge service however first class . knowledgeable , tell get good deal helpful . still good week - end would ask modernise room & amp ; tea make tray stay . 
 Oct 28 2008 	 stay 	 one disappointing stay ever . hotel advertise five star without main lounge / restaurant rate two star . season world wide traveller good luck sheraton trip . manager staff soooo rude room desperate , desperate need updating . family wear clothe bed suite freezing . three us sleep bed suite pull bed two teenager one . easter brunch fabulous main lounge / restaurant . location good renovate room staff would recommend hotel . overprice underdelivered . K WEdmonton , AB Canada 
 Oct 23 2008 	 terrible hotel starwood gold member 	 wife book hotel use star point . gold member girl check would upgrade we . say get executive king . room dark musty smell window face build 10 foot accross . even toilet seat inferior . wood scratch chip paint . accept room 654 offer although feel room similar . the elevator terrible chemical smell hallway wear . guess comparison com Maria Christina San Sebastian Spain Westin Palace Madrid . say 5 star hotel place three star . would say staying point would left different hotel . I forget mention concierge night ( fellow think German accent ) cluless . not know anything London . 
 Oct 9 2008 	 Refurb require - tatty tired room ! 	 ' ve stay twice centrally locate grand old hotel top tier frequent stay guest Starwood manage property . occasion upgrade junior suite . imagine regular room look like Hotel simply standard quality chain term decor condition 's room . crack peel paint work , tired beat furniture , robe , poor quality lighting , odd shaped room batter fixture . the bed comfortable clean though , nice thing say room . anyone travel London arrive first time would think third world , bad ! ok , positive - staff find outgo friendly . main salon front entrance charming retro . location great . however , well deal much nice property , Starwood choose invest renovate tatty place recommend . 
 Oct 4 2008 	 fantastic bed - pity rest room ! 	 disappointment ! book hotel location perfect , get nasty shock arrive room . dark , drab dreary . even tea & amp ; coffee make facility , usually provide everywhere - even humble B & amp ; Bs ! bathroom long thin old - fashioned . add insult injury , note say & quot ; congratulation , upgrade & quot ; . , wonder ? surely 5 - star hotel possibly room inferior one give ! one save grace bed - , without doubt , comfortable ever sleep . much shall seriously consider buy one Sheraton website . we go special occasion feel let . shall return . 
 Sep 28 2008 	 Nice Sheraton Glad get deal 	 town business one night not arrive hotel midnight work event . promptly check immediately order room service get room have miss dinner . ' m always surprised long take , even order time kitchen not busy . luckily not long -- would say 30 minute , still , chicken sandwich , would think could get 15 min hour . the room fine , bed nice room not large , definitely small , especially since travel . ' ve stay Le Meridien Picadilly master art maintaining & quot ; London feel & quot ; victorian style room without make look old date , Sheraton much well job . shower old style , actually work fine need . the problem could not figure add husband 's SPG number reservation , finally get husband next day call able add it . overall , pretty happy stay . location good room nice . dinner good enough , quite drink night anything probably would ' ve taste good . well though , book hotel £ 129 last minute part & quot ; Top Secret & quot ; hotel do not ' show ' ve make booking . definitely happy check website , room go £ 219 ... definitely deal ! 
 Sep 21 2008 	 one good hotel ' ve stay 	 not know get lucky starwood point use book room , ' ve stay really nice hotel United States / Canada one definitely top 10 . never Europe , expect small , pretty sparse room base read Park Lane beyond expectation . hotel staff really friendly accommodate since flight day cancel end check 9 a.m. day late . helpful get we setup electrical adapter fixing tv.the location great able run across Green Park try catch change guard Buckingham Palace morning ( although never change guard : - ( ) . street Piccadilly Circus tourist sight . the room beautiful bathroom absolutely fantastic . connect room corner whirlpool tub separate shower stall . plenty room we spread , clean pleasant respite travel difficulty get . 
 Sep 20 2008 	 Great Location . 	 friend choose Sheraton Parklane location really good . hear room renovate nice . guess lucky enough get upgrade . size room big overall okay . room old . day okay . hotel great location . easy we go anywhere . would stay ? get good deal . think next time try Sheraton Park Tower Lanesborough near Parklane . 
 Aug 31 2008 	 shabby chic 	 return three night stay hotel . thought would excellent location desirable , experience mar condition room feel value money . small room , typical many hotel , dwarf large average bed furnishing cluttered rest space . view window reveal wall windows opposite . bathroom long , thin ancient fitting - antique , old . small old enamel bath unstable shower attachment complement two layer shower curtain bent attack occupant use . waste bin bathroom break replace report , plumbing make loud cacophony noise amenity use ! room dark shabby . think guest mean interpret kind space elegant retro way , drab accommodation . burn throw bed unattractive , fact pay similar amount money two previous excellent stay Manchester Hilton Lowry Hotel throw different standard relief . afford complimentary tea / coffee newspaper sadden poor value money find heart capital city . service staff , breakfast , public area etc fine , otherwise would recommend hotel . 
 Aug 28 2008 	 Average Hotel - Nothing Special except bed 	 first - use starpoint hotel . arrive front desk small well staff . front desk quick easy check . not care super friendly - get check correct . king 11a ready - view . lobby beautiful dining lounge area - classic . elevator small slow ! hallway old creaky walk . room old - bathroom - sheesh - like 30 year old without renovation . room bit small . plus ? fantastic location bed sup comfy super clean ! concierge non caring recommendation lunch horrible ! bar staff helpful friendly - need hot water make milk baby fast helpful . check also super fast . another note - hotel stroller friendly ! FYI many US hotel ramp elevator - see hotel . well - comment . hope help . 
 Aug 28 2008 	 Fabulous Hotel 	 read negative review Sheraton Park Lane Hotel somewhat concerned , however location perfect give try . must say pleased . room bit large european standard old hotel , view Hyde Park , bathroom well appoint quite large . staff professional go way make sure everything need . extra touch would expect hotel definately . location could beat . right tube direct connection Heathrow . back ! 
 Aug 25 2008 	 Sheraton Park Lane 	 small room - wear decor . 
 Aug 24 2008 	 bad Sheraton ever ... 	 family stay Park Lane week , end June . staff ok , property need serious overhaul . stain , hole wall , toilet not work ( even maintenance & quot ; fix & quot ; ) , disappointing . not receive newspaper , even think front desk ask want one check . use point , otherwise would even disappoint . price room , well restaurant bar , quite high . the location great , be say . sure be bright idea put & quot ; Front Desk & quot ; back hotel . come Piccadilly go bar get check - in elevator . I stay dozen Starwood property , easily say bad one , long shot . I will not stay , hear ' ve renovate . 
 Aug 19 2008 	 not want leave can not wait go back ! 	 not collect starwood point , would highly recommend stay wonderful hotel point . room pricey way league . travel family ( 7 us total ) enjoy 3 room , EXCELLENT . decide Park Lane good bathroom ever ! marble tile full size tub , separate shower , double sink wonderful amenity . room oversize , spotless spacious . Beds usual Sharaton superb standard . wonderful room , staff amazing . doorman dream rest front lobby team . location hotel handy everything . would highly recommend hotel ! 
 Aug 15 2008 	 good room 	 stay one night early August . stay ; never problem past . the check - in / out desk friendly & amp ; efficient . location fabulous , central & amp ; within 5mins walk Tube . the room adequate ; nothing special fine . comfortable bed , decent tv , fairly spacious ( certainly London standard ) . however , hot & amp ; air conditioning work well.i tired long day & amp ; order room service . take long 30 minute ; offer ' discount ' late & amp ; food bland . also suffer stomach problem almost exactly 6 hour meal ; possibly co - incidence sure ... 
 Jul 28 2008 	 good location service 	 choose Park Lane Hotel order use point earn use credit card starwood program . say not cost we money . say , like hotel . get large room 8th ( top ) floor , not much view spacious comfortable . furnishing , however , seem somewhat date . bathroom large clean . you really can not beat location . hotel Piccadilly Green Park Hyde Park underground station , convenient we direct line Heathrow airport access major tourist site . first morning walk across street Green Park central Westminster , past Buckingham Palace , etc . the ground floor pleasant lounge decent jazz music weekend night . never eat hotel restaurant , opt instead investigate Shephard 's Market area around corner . find two reasonably price place breakfast , good restaurant two three good , atmospheric pub . if point , however , not know would stay . seem bit budget . use point , great . 
 Jul 24 2008 	 kettle really much expect ? ! 	 boyfriend book we night celebrate birthday . get deal lastminute.com ; ' top secret ' hotel section , use , good result , anticipate little luxury look online photo hotel . I say disappointed room . book double , close inspection turn twin bed push together ( almost enough avoid inevitable gap middle ) - great aid romance . room inself dark rather shabby ( especially bathroom , shower archaic , work properly resort use ( tiny ) bath instead . however , surprising downside lack tea coffee make facility room . rang ask reception , tell could order hot drink room service . surely , unreasonable expect able facility four star hotel ? even lowly guest house two star frequent manage provide guest . since book room breakfast , wait till check get much long cup tea coffee . , would advise caution hotel . not expect luxurious room . ok , bar look posh , , quite disappointing . 
 Jul 22 2008 	 Excellent location ok room 	 wife spend 2 night Park Lane late May wonderful time . end 4 week trip Europe nice relax place stay . location good - within easy walk distance site could see time . problem get Heathrow , check - in quick friendly , room small comfortable . read review arrive sure expect . say pleasantly surprised . room first floor ( 2nd north america ) 2 room picadilly side ( face wing ) . clean , quiet , little crowded huge bed , bathroom clean small . lobby bar amazing - start day coffee English breakfast finish night listen live music . feel good value money ( London expensive place visit ) planning stay Park Lane next trip London . 
 Jun 29 2008 	 Good Location Good Service Bad Rooms 	 stay : May 24 - May 29 , 2007room : Executive RoomUpgrades : Room ( Classic Room ) , late checkoutcomment : everything hear Park Lane probably true . spend time try decide stay London rest trip combine . starter , take Tube , going walk quite bit luggage hotel . remember , lobby back . course , tired frustrated ( luggage delay hour ) remember , drag luggage stair around quite corner . gentleman working desk , Rajiv , EXTREMELY helpful though . ask upgrade ( even though Priceline stay ) spend 10 minute look something eventually settle Executive Room night 1 . never happy hear see initial room . gross single word would use describe . carpet , wall baseboards black dirt use . AC . bathroom wide enough one person time . exactly fear pay $ 400 night * wood . luckily next day luggage move Executive Room , obviously refurbish recently . wall floor clean , still would call 3 * States , bathroom update . well value Priceline price pay ( $ 200 night ) , go * wood initial intention , would ' ve shoot somebody . wife never comfortable walk floor without sock entire stay . the concierge recommend we good indian restaurant past Piccadilly Circus helpful . relatively , close 2 different Tube station , entrance back alley mind boggle . noise lobby / bar problem floor low 4th . Suffice say , next time stay someplace else , since IMHO , * wood nothing reasonable city . it London , really complain since everything city crazy expensive we . location good walking distance whatever want 2 Tube station good long jaunt . still , hotel , non- * wood , much well bang buck city . 
 Jun 23 2008 	 never 	 could pay stay hotel . would think situate Park Lane Starwood hotel would sort flagship ..... absolutely opposite . quite honestly bad Starwood Hotel stay . 
 Jun 23 2008 	 good Points Bad Points 	 come back enjoyable weekend London stay Sheraton Park Lane Hotel . read previous review do not agree bad say . good point location - 10 min walk Knightsbridge , Hyde Park Buckingham Palace - two tube stop away Oxford Street . bar area amazing modern sense old grandour way night jazz band playing . bad point relate room - drab dark bathroom tiny space toiletry could turn shower . staying would ask room big bathroom . 
 Jun 19 2008 	 get pay 	 due many negative view post hotel would like give perspective . I not go cheap rate - book executive room cost 245 GBP per night . people ' response believe worth spend extra money . on morning stay telephone hotel ask early check - in time view Green Park . customer service excellent , give room choice . it large , include huge bed , desk , arm chair , chest drawer walk - in wardrobe . bathroom large great walk - in shower , bath wc . view 8th floor amazing . take advice - not go cheap rate - prepare ring hotel request well . 
 Jun 17 2008 	 disappointed price . 	 disappoint Sheraton Park Lane , unfortunately , really bit dive . not look picture website . reality hotel actually bus lane not get drop front door . go round back sort seedy back street people would avoid walk could . the whole ethos hotel pretty shabby date old hotel obviously be day back 1960' . the room totally bland , bare , characterless although would not say dirty unhygenic way , seem though need good clean . wireless internet access room intermittent well , despite move around room signal ( pay £ 18 ! ! ) .The bathroom 4 foot wide . could not actually get angle get photo shower basically hide around corner behind door . as 1960 's plumbing , not update nearly 50 year make absolute racket . wake someone , somewhere , shower 5.30 . could almost room , noise loud . room £ 269 , wireless internet £ 18 vat £ 47.08 make room £ 334.08 ( today rate $ 650 ) . hotel price sort level hotel area , incomparable term service , look comfort . for £ 150 night would acceptable . price , will never stay . 
 Jun 17 2008 	 outstanding service comfort home . 	 Sheraton favorite hotel London ! stay twice Sheraton Park Lane , one week stay . the front desk staff friendly accomodating . two room large comfortable . furniture one new . Sheraton Sweet Sleeper bed comfortable ... hard get bed ! location excellent , across Hyde Park within walk distance Buckingham Palace . 1.5 block original Hard Rock Cafe , convenient Tube . room service prompt friendly . Afternoon Tea award - win , definitely worth visit . tea , scone , sandwich petit fours memorable enjoy live harp music . the bath robe room great touch . thing would update would tv set , bit small . great stay visit ( welcome gift compliment hotel ) -- definitely first choice hotel London . 
 May 27 2008 	 room great 	 mixed review hotel . suggest room good bad . guess lucke , maybe be go bargain rate . room large , wonderful view Piccadilly Green Park . bathroom also large , separate shower , large tub , double sink , marble . even bidet sort thing ! lobby impressive , location ideal price reasonable London standard ( GBP 269 / night plus 17.5 % vat ) .i little trouble find registration desk first arrive ( certainly not make obvious ) . motor entrance Brick Street , walk Green Park underground stop ( take Piccadilly line Heathrow ) , go first entrance Piccadilly head way back ( stay right ) . may feel like crash wedding party corporate event , not let bother . registration rear building near Brick Street entrance . walk Brick street well , be little indirect particularly pedestrian friendly . overall extremely pleasant stay , thank nice room . 
 may 11 2008 	 great location definitely wear around edge 	 return quick weekend London , stay Park Lane . rate around US $ 300 per night . comment many previous poster write Park Lane far mark . amount money charge hotel , would expect little . room wear carpet , furnishing bit old . , poster state , room pretty small ( starwood elite , apparently upgrade , ) . overlook backside another wing hotel ( make sure close drape ) . bathroom outfit white grey marble , offer reminder traditional Britishness . towel - warming rack wonderful . however , toilet bit dirty ( not even want describe ) .The hotel general old - ness feel . can not quite describe mean & quot ; old - ness . & quot ; 's upper crust , gild age Britain , 's decrepit either . kind remind old , Soviet Union tourist hotel 1980s . generally worn , slightly neglect feel it . that say , location Park Lane hard beat . ( read post tripadvisor , will quickly see location huge selling point . ) be locate across Green Park near Hyde Park . 's mid - way Green Park Hyde Park Corner tube station ( 5 10 minute walk away ) . be quick ride Picadilly Circus , Westminster Station ( Houses Parliament , Big Ben ) , Waterloo Station ( London Eye ) , Knightsbridge ( Harrod 's ) . Buckingham Palace 10 minute walk away , . Park Lane locate Mayfair area London , nice area , home many foreign embassy . also lot nice little hole - in - the wall pub ( full tourist ) .The bellman concierge helpful , always offer friendly greeting great advice sight restaurant . note , be take Heathrow Express Paddington , be US $ 25 cab ride ( include tip ) Park Lane . , cash spend ( mind , London really , really expensive Americans day ) , want good hotel good location , pick Park Lane Hotel . keep mind US $ 300 not get much London anymore . 
 may 7 2008 	 dissapointing 	 read good review hotel lastminute.com , description quite nice . since list 4 star hotel since Sheraton good name book , expect luxiourius room . dissapointe ! room tiny ; furniture bad condition ; door close properly ; bathroom could lock ; air conditioning function standard ; layer dust bathroom ; puddle water around toilet flush ; mini bar rip ; uncomfortable sagging bed ... idea romantic weekend . check staff unfriendly well + price drink bar outrageous ! advice : not go ... cheap room much nice hotel available area . 
 May 2 2008 	 really place ? ? ? 	 decide silver wedding anniversary week - revisit Sheraton Park Lane stay honeymoon seem like many year ! check tripadviser really think would big mistake daughter insist would not stay different hotel . glad LISTENED . arrival tell sweet trainee receptionist check great - problem whatsoever - straight room - problem whatsoever - clean , lovely bathroom , walk shower , walk wardrobe - yes look onto Brick Street - not book view . whole stay first class would hesitate recommend anyone - travel world last 25 year - bad good hotel really can not see fuss , breakfast excellent , service second none , palm court bar fab bit pricey hey centre London location PERFECT . love - thank Sheraton Park Lane make silver wedding anniversary wonderful ! 
 Apr 21 2008 	 Horrific hotel could pay stay . 	 never disappoint hotel . arrive give tiny room old tattered furniture . bathroom look like refurbed since 1960 . seem relatively clean . however , turn heated towel rail bathroom black gunge shot , place . complain move marginally large room standard furnishing - except bathroom bath chip not even mixer tap ! also offer complimentary breakfast next morning . go shower turn shower head break . engineer promptly come fix , however even fix stop water shower cascade bathroom lead pool 3 inch deep ! morning call fail materialise next day meaning could not get complimentary breakfast late work , complain move executive room . problem one old tired furnishing need update - bathroom seem refurbed although one tap would stop dripping . allegedly high quality hotel major international brand one prestigious address London . Sheraton ashamed . inform intend run major refurb project near future overdue least 5 year ! would never stay , would tempt avoid Sheraton brand hotel possible . 
