much 	 travel train QC daughter , 7 5 . walk across street station . check - in easy . room 2139 . average . 's room here . great location . pool great . go swim , inside entry swim deck enter great White North . [ cold . ] Pony - tail lifeguard zero personality , efficient . girl love swim . freeze . concierge staff remarkable . 45 minute face - off , Roberto get ticket ( $ 220 ) 7 row ice scalper . pay pick ticket nearby gas station . thanksgiving ? american ? concierge book we Globe . incredible . the restaurant . breakfast one day . expensive . friendly . good . Waiter make recommendation girl day . problem ? return one day -- door ajar . Maid shut . nothing take . reasonably secure . bar good drink . arrive . wife sort send cocktail . much well . a great location . non - Hilton . personable . Unique . I use point pay spend , good . good . well expect Hilton . kid winter , pool gem . class French - speak child watch one afternoon swam . want jump steamy outdoor pool . and ' m runner . Old Montreal short run . long walk . 
 Sep 1 2008 	 stay yearly 20 year 	 wife stay every year 20 year different time year ( Jan , Sept , Oct & amp ; June ) love June Botanical Gardens full bloom . the hotel renovate year ago nice comfortable .The room large fitting 2 queen bed chair desk .Bathroom average size . room flat screen tv , mini bar ( expensive never use ) get garden view , think nice relax .The hotel nice restaurant , superb food ( be open , not last 3 year 4 go ) nevertheless enough great restaurant Montreal .I never bad meal 20 year .Two favorite & quot ; Bonaparte & amp ; Europea & quot ; latter discover year rank fine restaurant ever eat Montreal , negative , parking expensive $ 24 cnd plus 16 % tax .This valet parking expect shell $ 4- $ 6 tip everytime need car .Do not ever try save $ 7 parking , will never find car labrinth . the canadian dollar par US $ go , something new .You can not claim federal tax credit border , & quot ; GONE year . year good exchange rate high $ 1.49 CND $ 1 US .that change although able snag $ 137 cnd room June .They many kakamani event town reason can not understand draw big crowd hotel , rate run anywhere $ 195- $ 295 CND +16 % tax . the hotel convenient Place Villa Marie underground shop across street .Also less 10mins St Catherine St downtown . stay many time wife want stay whenever .I stay Best Western Gouvernes ( sure spelt right , be across street University St revolve dining room . one thing , people dress Montreal certainly Bonaventure , not want stand , not wear jean short dinner .A sport coat without tie fine , woman know dress dinner ( suggestion ) 
 Aug 31 2008 	 mildly date comfortable clean good service 	 experience match closely ( positive ) reviewer . structure unusual , hotel room ring central pool ( delightful ) , mildly date . however , room renovate comfortable . memorable feature stay feel staff really go way helpful , include let we check well noon , allow we stay past 1 pm next day . have happy return ... 
 Aug 24 2008 	 enjoy stay Hilton Montreal Bonaventure 	 hotel heart downtown Montreal , Canada . staff warm provide exceptional service . believe property originally condo unit buy private investor convert Hilton . nice job recondition property . guest room comfortable heated pool landscape garden provide relax environment . happen Montreal 2008 Jazz Festival awesome ! would highly recommend visit Montreal festival encourage visitor stay Hilton Bonaventure opportunity . please see picture take property . complaint would toilet bathroom run continuously . 
 Aug 15 2008 	 simply amazing ! 	 ' ve always want stay ; attract photo rooftop garden . Hilton Bonaventure disappoint . room luxurious retreat watch firework evening sky last evening honeymoon . fortunately , get good price ( $ 126 cdn ) . great location shopping , dining , walk around . the mid - century modernist architecture , rooftop fountain , stream , tree fascinating . be still try figure tall tree . simply amazing . the manager ( Christine ) frontdesk accomodate pleasant . also , full breakfast incomparable , 
 Aug 12 2008 	 Nice hotel especially pool 	 review mention , quite unique hotel top three floor one ugly 1960 's concrete office block will ever see , hotel great get past initial shock exterior . location great right road main train station walk distance shop restuarant . the room good size clean . roof garden swimming pool amazing - would love go back middle winter try heat outdoor pool several foot snow around ! bar lovely snack one evening also nice - although pay Hilton price food drink . overall , great hotel would visit . 
 Aug 3 2008 	 Great Value moneuy 	 hotel great location directly underground Metro . site / borough easily accessible location . also & quot ; underground city & quot ; cafe , shop restaurant nearby . tv terrible connection be not watch tv . great stay value money . 
 Aug 1 2008 	 Unique Hilton Property 	 Excellent hotel perch office building . wonderful pool child , large room , excellent service . one hilton 's unique hotel . 
 Aug 1 2008 	 relaxation PLUS BONAVENTURE 	 stay Bonaventure twice July - second time could not wait go back - garden relax enchant - rooftop draw mountain north - therefore clear- fill positive energy - art work noteworthy - many entice sitting area - upgrade executive level - lounge access make easy want leave hotel - breakfast lounge small - excellent - pastry make pastry chef definetly worth eat many - fresh squeeze orange juice fresh fruit salad eye- opener . the pool generous size waterfall apparatus afford relax sound - even music around hotel inoffensive - somehow relax - view room 2107 great city skyline old cathedral sight - can not wait go back ! 
 Jul 25 2008 	 worth every penny 	 friend book hotel travelzoo since get amazing deal- $ 150 incl . tax room 2 queen bed . little skeptical hotel- especially since roll hotel look little run . enter find Hilton entire level- subway station building- , convenient . room clean , modern , surprise- look exactly like picture hotel website . location hotel could not well , locate 2 - 3 block away rue catherine , action , hop onto subway- 2 3 stop away Old Montreal . staff friendly -no issue . Overall- wonderful stay . 
 Jul 11 2008 	 hustle - bustle 	 locate top 2 floor Place Bonaventure , also Metro station across street VIA rail station access amaze Underground extend throughout much downtown . yet green courtyard cozy oase traffic . room arrange around perimeter building reception / dining area core hotel use two level room . Front desk staff friendly check - in go smoothly . room available 2 pm need check bag . room large , clean , comfortable quiet . vend machine gift shop close ; instead direct mini - bar room ( be bargain , course ) .The location good block Bell Centre ( hockey arena ) , SW 1/2 mi Place d'Armes Notre Dame basilica NE . McGill Univ . 1/2 mi NW . 
 Jul 10 2008 	 excellent oasis city 	 wonderful quality hotel . garden pool great escape city . room clean , comfortable tastefully renovate - modern yet comfy . staff helpful location hotel perfect every sight Montreal . 
 Jul 9 2008 	 great business class hotel 	 ` stay Hilton satisfactory . ` typical business class hotel really enjoy swim pool hot sunny weekend . also worthy applause spacious gym new Precor machine new cardio machine tv audio . 
 Jul 8 2008 	 Nice Stay ... 	 husband go Montreal business well quick romantic getaway . well , hotel nice ... set everyone say interesting . not personally like set , mean Saturday morning wait go main floor , wait second round elevator many people try get elevator . need definitely work improve . room GREAT ! ! stay one renovated room , housekeep great job keeping room nice every day . order room service one day night Montreal Jazz Fest , food really good .. fill .. staff nice , especially concierge desk , always extremely helpful . go great weekend , Jazz Festival Carribean parade go , make great fun . hotel close shopping St Catherines , Underground City shopping ok . bit stuffy we , guess since summer . pool area nice , chic . go Old Montreal great eat , cab $ 8 . next day go back breakfast Old Montreal walk , brief 15 min walk . , great , romantic stay .. 
 Jul 1 2008 	 strange layout . 	 stay hotel 5 night conference . reviewer state , hotel oddly configure . top 3 floor office building . get elevator , stare hallway room , make right get lobby . follow sign pool , may end walk around entire perimeter hotel . sometimes , fast cut lobby , guess want keep soggy guest dripping reception area . hotel kid friendly . lifeguard afternoon little & quot ; crabby & quot ; say least , run sign area ( yes , sign enter pool area ) whenever child even raise his / her voice , remind we every minute keep kid one side rope , etc . sort stand edge pool stare one father whose young child screaming bit , poor guy get pool kid leave . little weird . get towel sign , least need bring room . housekeeping nice , respond quickly need extra towel . however , last night kind party go , never bring coffee coffee maker , request . tell housekeeping , minibar lady would bring , never come . underground city Metro right hotel , little confusing , figured . also , warn many people outside hotel speak limit , , English . one reason go Montreal daughter international school want practice French . speak little , mostly depend translate . pathetic . buffet breakfast overprice , $ 20 adult , $ 10 child . 2 kid hardly eat anything , cheerio , toast , definitely $ 10 worth . get Pizza Hut deliver room room service ( limited menu ) , underground food place , Subway , etc . also , pay parking , leave car front unload luggage check . need luggage cart , bell staff take luggage . husband large tote bag binocular top ( stop Niagara fall way Montreal ) give bellman , get home realize long binocular . incidentally , forgot tip bellman door hotel go park car . tip man bring luggage room , different person . not know husband put binocular top tote bag , not realize anything missing . not know sure , maybe fall somewhere , think moral ( tell husband ) , not forget tip Hilton Bonaventure ! overall , ok hotel , not think would stay . stay conference . 
 Jun 28 2008 	 Great Beds ! important info parking ! 	 love penthouse style hotel , garden gorgeous . ignore people complaint concrete wall , bad sound ! think artistic choice , people like , do not . lack elevator inside hotel not issue bother much walk room . entrance hotel via elevator place bonaventure great upmarket feel . reception staff friendly efficient offer concierge service . room wonderful , amazingly comfortable bed ! spacious room nicely lay . avoid mini - bar although well stock . fiji water bottle $ 7 ! ice machine require little hunting despite signs- do not afraid go behind closed door ! short walk St. Catherine Crecent st . warning parking ! fairly good value especially compare surround hotel . however , warn , ceiling low mass pipe cover bring height limit 6 ft ! drive truck go level radio antenna scrape ceiling . tense decent park safe , standard garage . picture attached- do not quite justice ! overall great hotel , would stay . 
 Jun 25 2008 	 great hotel 	 like stay hotel lot . book priceline ridiculously low price . location convenient - 's right across street main train station subway . business district , not expect neighborhood convenience liveliness street 6 p.m . building - huge office / exhibition center hotel occupy top two floor probably ugly ' ve ever see . interior design also 1960 's vintage expose concrete wooden panel , look classier . the hotel staff professional , room large , clean , comfortable well - design . Free Wi - Fi internet work lobby . wire internet room pay extra . outdoor pool courtyard roof . restaurant serve overpriced breakfast , always get decent bacon egg $ 5 one eatery inside train station . 
 Jun 7 2008 	 Nice hotel 	 boyfriend visit Montreal often decide try Hilton . really nice hotel , spectacular . I like location well . want go shopping not need go outside get mall ( convenient Winter ! ) . also like swimming heat outdoor pool surround snow- nice touch ! room nice- like flat screen tv . bathroom also nice . everything room obviously recently update . only couple negatives- mini - fridge work replace since want keep food room . also construction go , hear . find follow sign pool room realize ( another people ) sign actually lead pool , construction end dead end need turn around go back . also drink lobby REALLY good , little expensive . overall really like hotel , deal get two night stay really worth . would recommend stay . 
 May 11 2008 	 consistent positive experience throughout serveral stay 	 Hilton Montreal Bonaventure penthouse - style hotel , occupy last 3 flour office / retail building ( Place Bonaventure ) .Over last month , hotel undergo moderate renovation room common area . although people prefer avoid hotel undergo repair , staff hotel great far take step minimize inconvenience ( noise / disruption ) proactive communication subject - consider property , not let issue . the heated rooftop pool probably one main attraction hotel . would say hotel mainly business feel , would also suitable tourist look great location ( although may plenty affordable alternative ) .The hotel small modern gym ( equipment feature small tv ) . room size moderate far decor concern one new room last stay would quote modern somewhat stylish - although nothing extravagant . front desk staff quite helpful - executive lounge staff . lounge fine , albeit quite small . the hotel easily accessible Via Rail train station ( accross street / access via underground raining ) walk distance Old Montreal , shop major business . Food Le Crastillon good , average service 
 Mar 19 2008 	 Nice Hotel 	 Nice hotel , stellar , nice . layout little strange .... short landing get floor floor ( elevator ) lobby top floor ( elevator street ) . room fine pool nice . certainly nice Hilton ' ve stay ( aestetically ) , positive experience . 
 Mar 18 2008 	 propose fiance hotel ..... 	 stay two night July 07 ' propose fiance . go Montreal frequently . hotel beautiful prestigious , gorgeous courtyard - make feel like be city . great pool scene roof . room nice . problem concierge service ruin proposal . leave note give away ! ! trust info get room ready ( flower , champagne , etc $ $ $ ! ) , walk room ( great job ! ) 's note can not light candle ( plan ) go fire code regulation fire dept . show would ruin proposal ! mean , leave note say candle . mention proposal moronic idea since fiance read together . call offer free night 's stay . anyways , great hotel , sure light bulbs staff - course , know happen particular concierge . never Montreal , recommend hotel 's overall location , service beauty - experience ruin one idiot move . Montreal , must thing : -have smoke meat sandwhich Schwart 's St. Laurent Blvd.-have steak Moishe 's , Gibby 's La Queue de Cheval - visit casino - visit Notre Dame Basicalla ( amazing , beautiful ) -visit waterfront day take river cruise serve breakfast ( book ahead ) try avoid La Ronde - 's great amusement park , Monster great rollercoaster . 
 Mar 17 2008 	 Great downtown hotel 	 wife spend weekend hotel one special . still renovate , although apparent . room nice , bed bed superior . love courtyard aspect rooftop hotel , al swimming pool unique experience . probaly 10th stay hotel since 1977 , issue front desk past , none visit . hotel connect underground city perfect inclined go shopping . go hockey game without go outside . highly recommend . 
 Jan 23 2008 	 Nice hotel ; concierge little slow 	 good : hotel impeccably clean , decor renovate room fantastic . Hallways & quot ; eh & quot ; rest good . pool beautiful really neat although 10 degree warm . would stay sure location great , . easy find , easy get thing not freakin cold ( see comment concierge ) . La Source toiletrie fabulous ! negative : Front Desk . book reservation 3 week advance upon arrival , surprised learn hotel switch 2 bed room King bed room . response seesaw & quot ; sorry , run room & quot ; & quot ; well book king . & quot ; nevermind fact call confirm 3 time week - careful . luckily , hold printed piece paper confirmed say , give we room 2 bed , even call liar . usually get upgrade executive floor free ( , not know - apology ) not happen we . oh well . work out . concierge - Chantal seem friendly , fail mention tell guest something & quot ; 2 block away & quot ; mean via underground . little ticked walking mile ( 2 block , mean 8 ) consider blizzard walk classy restaurant look like yeti . ' m ignorant , know underground city , obviously first time tourist , kind thing bear least vague reference fact not go outside monster snowstorm . would think would mention , especially say & quot ; guess take cab snow & quot ; said & quot ; oh , short walk . & quot ; Nickeling dim : even Motel 6 give free in - room coffee . seriously . get wireless internet Holiday Inn Express every rest stop VT hotel . construction noise . nothing like see 6 say & quot ; hello , 's fabulous room $ 160 night . & quot ; 
 Jan 10 2008 	 run - down unwelcome - recommend 	 stay hotel Jan 2008 recommend people stay away hotel . probably run - down Hilton ' ve ever , terrible concrete facade outside inside much well . undergo renovation top floor , be constant noise move . interior room leave desire , make impressoin 1970 - ish interior dire need upgrade/ renovation . term cleanliness bad , prettty scrungy even complimentary shampoo , etc . notice anythilng leave - not replenish expect re - use suppose . ask extra tea room - never get . lounge also renovation not give coupon compensate close . also accomodate gue coupon , bieng extremely cheap . oh , pool - nice , also outdate would expect Hotel level . ' ve monreal number time love city , far bad experience hotel . even Delta well choice Hilton . stay away good advise ... 
 Jan 1 2008 	 Mediocre hotel 	 mediocre NYE stay Hilton . hotel / decor little date expose concrete give hotel welcome atmosphere . get 2 - double bed room floor reception ( top floor hotel ) . expect flat screen tv see hotel pic , turn regular tv . Hilton bed always good , , decor little old . bathroom small size small leak shower . however , get great rate Hotwire NYE wknd ( $ 140s ) , not complain . the concierge amazingly nice give great recommendation really patient . I would probably check another hotel Montreal stay . 
 Dec 17 2007 	 Great Hotel bit old side though 	 stay one night go Montreal . stay executive room , room great . bathroom bite small side though . hotel pool fantastic , outside swimming -37 degree night , quite amazing . hotel staff friendly efficient . the thing disappoint executive lounge , bit odd , food good , weird pay alcoholic drink ... usually Hilton Executive lounge not charge ... 
 Dec 2 2007 	 nice experience overall problem 	 gift shop little pricey ( $ 10.49 16 - pill bottle ibuprofin ) , enjoy limited business - relate stay here . the food interesting , eat bar restaurant main restaurant . main restaurant offer excellent multi - course meal . bar restaurant lower price , offer nice atmosphere good food offering . the hotel walkway shop , include regional coffee shop Starbucks . everyone polite helpful . room accommodation nice overall . 
 Nov 15 2007 	 LOVED ! 	 get good deal bonjourquebec.com . work $ 200 / night , 3 ppl not bad . room large bed one comfortable ever sleep ! pool awesome ... nice size lot lounge chair surround . room happen low level , back right garden pool step away . feel like Florida - middle busy city . idea put hotel rooftop connect sous - terrain great one indeed . 
 Sep 12 2007 	 Adequate fantastic 	 hotel centrally locate bit run . check top floor - unusual . hall dark staff friendly helpful room large . 
 Aug 24 2007 	 Pricey offer 	 stay last Aug 20 & amp ; 21st . location great . close Rue St. Catherine lot shop restaurant . room clean hallway room impressive . get room , take stair would mind travel 2 kid stroller . ramp nowhere find en route room . ice machine break . think ice machine not work one close we walk ice machine , break . fact already displace 's section , maybe attempt fix . sign machine say 's order find another one be work . approach front desk know exactly get ice already know couple work . addition , already try get ice machine early day end go front desk ask ice . next day later night , still work . say staff nice though , helpful , courteous . the day check get bill 2 room get end pay $ 670.00 2 night . think lot consider weekday supposedly discount rate . 10 15 line bill say taxis . guess 's Canada ... lot taxis . oh forget parking . would think will get free parking be hotel guest least get discount price guest . ! self park pay $ 17.00 ( 24 hour ) across street can not go . use Hotel valet , cost $ 24.00 24 hrs least go . course tip . long run well use valet go drive car lot go back forth hotel . 
 Aug 11 2007 	 highly recommend 	 Hilton Bonaventure nice hotel great location currently renovate even nicer complete 2008 . request renovated room ( already complete ) , end stay non - renovated room new one available smoking section . although room stay slate remodeling surprised find nice room , furnishing little worn , mean shabby . bed extremely comfortable room well keep clean . mention complain step get room , unless disability really non - issue . step question total 6 low long variety ( think patio step ) ramp help people luggage . disappoint exercise room remodel ( due reopen September 2007 ) temporary workout room even worth visit . however , look drawing new room outstanding . pool area nice , since hot spell , somewhat crowded . special mention make staff doorman front desk everyone nice helpful . especially Julien , concierge , could not well . Bonaventure 's location interesting 's top office building . inside elevator second be inside hotel . high get feel little oasis hustle bustle Montreal . although directly connect & quot ; underground city & quot ; edge 's bit walk get middle action , right top subway line . mention , entire hotel due revamp completion mid-2008 drawing hotel , nice . say , would not hesitate stay Bonaventure recommend highly . 
 Aug 5 2007 	 great hotel long room busy street 	 return another 4 night - 5 night last week . early check - in resulted get room busy University St. turn quite noisy . restless night , front desk take care move quieter room face garden rest stay . otherwise great hotel , spend two afternoon nice pool . 
 Aug 3 2007 	 unique hotel well locate Montreal 	 Staying top Bonaventure convention facility seem little strange , garden set peaceful serene midst bustle Montreal . reviewer mention step involve get room . executive area step easy walk , even luggage . enjoy continental breakfast evening refreshment executive lounge area . well staff convienent . Bonaventure Hilton 's location top tour historic district , waterfront area , well underground shop restaurant . 
 Jul 26 2007 	 Fine Location stay Montreal 	 great time Montreal ! hotel plus ... huge plus definitely negative . fine location easy walk Old Montreal Downtown shopping McGill University . taxis Montreal plentiful inexpensive going problem . would rather stay small boutique hotel charm . bonaventure . unique design ; gardens swimming pool roof . garden design intimate conversation . surprised review ding bellman . friendliest group ' ve ever meet : really interested talkative . sit lobby work wireless internet notice one bellman readily engage people conversation go get . whole lobby staff professional friendly . demur room real hike lobby . also hotel one lobby must go . 
 Jul 26 2007 	 great choice ' round ! 	 last minute decide visit Montreal first time . read many hotel review site , unable secure two bed ( apparently easy feat high season whim ! ) hotel high list , call Hilton Bonaventure directly . overall good experience Hilton previously , disappointed . initially book two night , add third . due delayed flight arrive hotel close 1:00 , ask quiet room assign 3402 . indeed quiet , terrific bed , nicely appoint . shortly 2:00 alarm sound , announcement make declare report investigate . repeat three minute give clear message . may something like person smoke non - smoking room ; never hear . first hotel experience decide would rather alarmed , well way inform masse . there absolutely nothing negative say property . every single staff member interact , whether phone person , courteous , friendly , helpful efficient . turn room part two - story suite book third night , ask move next door 3404 . effortless . another quiet , lovely room terrific bed ! use gym pool , outdoor heated pool look fabulous would definitely try next time . order room service breakfast last morning expensive venture , food service good willing pay convenience . directly across street underground shopping mall / train station absolutely everything could ever possibly need want locate . many food outlet well pharmacy , shoe shine station , shop galore , name . fact , everything quite close hotel . the consierge desk always staff courteous knowledgeable individual quite helpful suggesting well see Montreal day . plenty brochure available well . the first day choose 3 - hour Gray Line city tour acclimiate us area . terrific driver , John , thoroughly enjoy experience . recommend sound light show Notre Dame Basillica , view next night . definitely interesting experience . also speak Gibby 's , wonderful restaurant Old Montreal quite bit history . splurge fine dining experience disappoint . reservation recommend , dress casual , service excellent food terrific . one order anything vegetarian fish , chicken meat price range $ 35 - 40 , depend . include salad , bread two side . another reviewer mention Eggspectations restaurant breakfast try . good food , plenty , good service good price . breakfast serve day lunch 3:00 PM.A reviewer mention elevator situation Hilton . problem . advise lobby actually 15th floor , room step away lobby , make elevator unnessary . would agree . street approximately ten step elevator , one button push ( lobby ) . find far expedient stand around wait elevator hit every floor reach we . room reachable two minute take 30 shallow step walk two corridor . definitely problem unless one impair carry much luggage comfort . lobby corridor appear tad shabby , huge sign lobby announce million spend complete renovation , include bedroom , finish spring 2008 . room appear new decor . the local complain heat humidity normal . find hot , use hot Texas . terrific city lot see , good food lot shopping . Hilton experience wonderful thoroughly enjoy short stay Montreal . people city definitely good asset ! 
 Jul 25 2007 	 Fantastic Place stay 	 first time Montreal , know expect ? especially accomadation ? impressed Hilton Bonaventure . treat we , well . know can not please everyone well make sure well take care . husband business trip go along vacation ( expensed pocket course ) . however , find staff extremely friendly hotel clean . even chat maid , doorman , etc ... everyone helpful . service smile receive staff make stay much pleasurable . even find Bartender 's Lounge great sense humour friendly talk . would recommend stay anyone travel Montreal would love touch elegance add stay . another thing find close everything . love fact Underground shopping across street walk Old Montreal 20 minute away . however would also recommend wear COMFORTABLE shoe walk . love Montreal . price clothing shoe Fantastic ! ! ! home Vancouver , B.C. , find daydream day able return Montreal stay Hilton Bonaventure . thank staff make trip Montreal memorable one . merci ' Benoit 's 
 Jul 21 2007 	 Wierd Hilton 	 stay location reletive Bell Centre . hotel convinientlly locate conecte directly reso ( good Feb. ) hotel outdate , elevator room , heat outdoor pool Feb . valet helpfull , skip bellman rude franklly useless . deal 3 keep get send front desk doorman information . dispite $ 15 . tip carry 2 bag . location issue hilton hotel , Doubletree WAY well fro money . 
 Jul 18 2007 	 Fantastic hotel ! 	 great hotel . moment arrive , service outstanding . greet entrance friendly staff front desk staff great well . room clean modern . plasma tv nice touch , actually enjoy relax room great layout furnishing . bathroom nice plenty counterspace nice Crabtree & amp ; Evelyn toiletry . pay little bit room & quot ; executive floor & quot ; - $ 20 extra include free internet , breakfast afternoon snack . well worth extra cost . free breakfast nice . charming presentation , nice staff even give we tip site see day . evening snack / drink nice well , warn , charge drink . impression complemantary shock get bill two glass wine . ok , since wine good , still bit surprise ( sign bar notice ) . desk staff extremely nice ( fact , everyone encounter Montreal , nice ! ) helpful direction restaurant recommendation . exchange currency take extra step explain piece currency . the hotel locate business district downtown , walk distance Old Montreal . hotel top floor office building conveniently link underground metro station . nice pool little river flow rooftop garden complete duck fish . nice look window see duck float ! would highly recommend hotel would stay . 
 Jul 8 2007 	 Great Hotel Worth Hotwire Price 	 book hotel Hotwire , complete stay 7/4 7/7/2007 . room first floor , yes , be true -- elevator floor room locate ( elevator main entrance street level lobby ; hotel locate upper level Place Bonaventure office / shopping plaza -- way hotel landscape , lot tree garden even duck pond , not feel like middle downtown Montreal top office building ) . room decently - sized walk - in closet . although bathroom bite small , beautifully do marble tile . overall , hotel room clean . although high - speed internet cost 9.95 $ hotel room , free wireless high - speed internet access lobby area . the staff also helpful friendly -- concierge especially helpful restaurant reservation , direction , even sell discount ticket Jardin Botanique / Insectarium / Biodome / Stade Olympique . but good part hotel location -- three - minute walk ( underground , less ) Bonaventure Metro station , also main Orange line . ten - minute walk ( underground ground ) Vieux Montreal , five minute walk downtown Montreal 's shopping district . also two - minute walk Quebec tourist information office , well central train station underneath Fairmont , also airport bus drop . , could happy service , cleanliness , location hotel . good deal Hotwire , ! 
 Jun 5 2007 	 's HIlton 	 expect Hilton . arrive check - in , line long take least 30 minute complete process . experience crazy layout hotel . elevator get lobby ! haul bag suitcase stair . first day receive note phone would period time recommend use pay phone lobby . second day air conditioning die . staff not really want help . ask direction send close destination . find nice hotel well price . 's . check find new hotel . but nice rooftop gardens pool . go check ; stay somewhere else . 
 May 29 2007 	 strange ? 	 ' ve return week stay hotel , strange Hilton ' ve ever stay in . after arrive midnight Sunday struggle find anybody motivated enough help we baggage . check fine shock find bar close room service stop midnight . the room average bed comfiest ever sleep , quite high accolade consider spend least 26 week year hotel . the executive lounge small well run serve complimentary cold buffet breakfast . especially well look Guy Paul . there outdoor swimming pool ( heated ) slightly tired gym room . all okay stay , odd hotel . be lie strange , atmosphere strange , bar uninspire uninvite Hilton , public area little shabby . side , be ideally place sightseeing shop downtown shopping area Old Montreal within walk distance either ground underground pathway system COMFIEST BED ever ! ! ! 
 May 10 2007 	 beware elevator ! 	 elevator staff not tell . drag bag upstairs downstairs . bellmans available arrive . horrible $ 100US per night . ask close room , give downgrade room . ' ve never stay 4 star hotel without elevator bellman . also , drain bathtub slow . end shower 4 inch water . 
 Apr 1 2007 	 love 	 business trip , get corporate rate worth every buckof ( well do not pay ) location convient , access metro station , bus station ( definatly plus ) food good love heated pool . room clean , spacious comfy , room service good well . thing like tv Cable , around 20 channel weather channel snowy could make , end soak day know weather would like afternoon . overall would recommend hotel anyone look nice clean convient place stay mind extra dollar . 
 Apr 1 2007 	 would expect 	 book hotel Hotwire get $ 75 per night , exclude taxis . price , outstanding stay . especially since charge everything internet ( $ 9.95 CND ) , parking ( $ 24 CND ) . however , Hilton Montreal Bonaventure also & quot ; legacy hotel & quot ; know everything place . staff quite nice , service good , condition hotel average nice . room early 1990 's vintage , nicely preserve . hotel two floor widely spread . , overall , solid 4 star hotel . con include tough get take elevator 9th 10th floor visit check . also , may take get hotel room since size city block . decor ugly concrete 1960 's 1970 's . pro include metro stop underneath hotel , well oversized room comfy bed . be got feel business hotel anything else . 
 Mar 30 2007 	 great hotel 	 sister stay Hilton December 6 day , Christmas . sister business , tag along last minute Christmas shopping . little leary staying read review . choice hotel book sister 's company . but fear unfounded ! yes hotel upper floor office building , certainly not get sense hotel . actual interior lobby , bar area little date , clean , invite staff friendly helpful . direct room second level ... elevator , big deal . wide step go floor note ramp wheelchair . bag bring room timely fashion , not even contend bring stair . hallway room could renovate , may work one end room renovate , understand room . despite go ( 6 8 room away ) , hear nothing ! room beautiful ... renovate modern beautifully decorate . bed extremely comfortable , bathroom spacious room large . bar area quiet comfortable ... several nightcap length stay . hotel quiet ... Christmas party go several ballroom , bothersome least . absolutely great underground city access right figure access , not need see light day shopping ! , wonderful stay ... everyone great reception staff , bar staff valet 's front . 
 Feb 22 2007 	 hard believe top building 	 stay Hilton visit son go school McGill . not want go outside important we attach underground path system . read hotel top building , sure would cold office - like . contrary , warm surprisingly , landscape beautiful . complete garden full sized tree wrap around hotel . garden plan attractive snow , , , although top building , lovely woodland scene outside window . pool open year round . get hotel driveway quite tricky . drive around block couple time figure . 's sharp turn right corner . small elevator lobby full hotel lobby top elevator . find valet , concierge , registration desk staff helpful polite . many comment 1970s architecture , be true wall public area weird form cement popular public building 40 year ago . everything else see update , fresh fabric wood finish . stay executive level room , give we access concierge lounge . room tastefully decorate deep wood tone new carpet granite top bar bathroom . desk cleverly design pull use table meal push bit use desk . ( take picture get one next house ) find hotel bit noisy morning might lot child stay dance competition . like stay boutique hotel Old City like walk lot good compromise cold winter weekend . walk mile path system light sweater , even go neighbouring hotel drink . 
 Dec 27 2006 	 Loved ! ! ! ! ( Brooklyn NY ) 	 bit nervous read prior review ... get hotel via Priceline not choice stay ( input want 4star hotel $ 70 / night ) . read review , call hotel request room level elevator . staff accommodate - place 2nd floor , service elevator stop . room fabulous ! ! ! ! king size bed could fit 3 people . sooooo comfortable plenty pillow ta super long neck roll . clock radio plug hook mp3 player ( unfortunately not bring mine , great feature many hotel not ) . flat panel TV also nice . the bathroom absolutely gorgeous . shower spacious great handheld spray go spray pulsate . shower also fold seat -- not use , be great elderly try shave leg , etc . the icing cake not go outside ! figure use underground passage , wonderful ... plenty eatery ( restaturant well fast food ... even Cinnabon absolutely love ! ! ! ) shopping ... never put coat ! not try room service mini bar ... bit pricey I . I definitely recommend hotel plan stay ! ! ! room go well $ 100 night really get fabulous deal ! 
 Dec 14 2006 	 Hilton Quality usual 	 Hilton Bonaventure good place stay Montreal . although hotel bit confusing , top office building . layout 2 floor , stairs floor ( elevator , maybe 5 - 10 low stair ) . location great connect underground hall mall , train station , etc . executive room ( think b / c Silver hilton honors member ) spacious 2 queen bed nice bath . hotel brand new , well maintain , adn staff friendly speak english us Americans . 
 Nov 15 2006 	 bit aged professional well locate 	 everything hotel fine . typical , well - than - averagely run downtown Hilton property . go day business end like lot . 
 Nov 6 2006 	 place ok 	 wife drive Montreal another couple Niagara fall get good quote phone , layout bit strange walk front entrance not look like hotel need take elevator upto lobby , hear place originally olympic athlete turn hotel ! probably explain layout . check thought would identical room pay price , , pretty small compare room friend give . outdoor pool good . hotel pretty good location look clean , would try different hotel next time though . concierge helpful get us ticket see Canadiens play , although get nose bleed ! ! 
 Oct 9 2006 	 warn - elevator ! ! ! ! 	 stay weekend getaway August - 3 kid . check - in fine , try go room . despite see check 2 small child baby stroller , book room far away entrance possible many flight stair possible . hotel set 2 - 3 floor , connect short flight stair - 6 flight stair get room elevator ! complain , direct back hallway service elevator , meant & quot ; & quot ; take stroller 3 flight stair . room ok - update except bathroom , filthy carpet - would expect Hilton - much nice room price Montreal . would ok fact could get room without drag stroller upstairs . really ought warn website . definitely avoid place stroller , physically disabled want walk long distance . 
