Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Jul 5 2009 	 good location 	 ideal hotel family group book friend . frill good sized room . located central location ideal Parks , Midtown west side . great staff , good Theatre book service,1st rate well high end hotel . only minor downpoint would lift , take age ! go find stair , high floor well workout ! 
 Jul 5 2009 	 birthday America 's ! 	 arrive early able check 1:00 ! ( call ahead ) want make stay right check head explore city . location great ! subway right next hotel , Times Square block away Central Park ! purchase New York City Pass 2 day make many site use Greyline Sight seeing bus . would definitely recommend planning sight hop bus explore many ! bus tour guide tell history bldgs , park , attraction , etc . rain trip thank free rain ponchos stay top weather rain drop enjoy tour . parking expensive since not need car , maybe next time will park site block cheap rate take train . 
 Jul 1 2009 	 Nice Hotel . great value Manhattan 	 's nice hotel . room clean , service good . significantly cheap expensive one city . think great value . 
 Jun 28 2009 	 Great Location Great Rates 	 corner yellow subway line Starbucks ! could ask ? within easy walk distance Times Square , Central Park , Rockefeller Center , Carnegie Hall ... name . room rate good minor issue key quit work late one night reason charge internet say pay 24 hour time ... not . pay many day think trip cover , last day , buy another day 4 pm .. good 24 hour . not ... next morning , want buy another day . minor stuff . overall ... great location great price . 
 Jun 28 2009 	 great location 	 together friend one full week Park Central hotel NY . room fine , staff throughout hotel always polite effective problem arise ... check - in wait two hour five afternoon room ready . also mid week change room door lock working . location proximate lot great theater restaurant easy get around town . 
 Jun 25 2009 	 Park central - excellent service room 	 stay Park Central June 2009 four night , complaint . check time 4:00 p.m. , get 3 hour early , able check right away . room 24th floor , clean , quite large NYC hotel room . can not say enough clean room , bathroom clean , mold mildew . room large bathroom , king size bed , large closet , large flat screen tv plenty room walk around . check check staff excellent . husband lose money soda vend machine , promptly reimburse money . use concierge familiar NYC , day look like always two people desk help people . hotel close two subway stop , one one block , Central Park four block away , Times Square 12 block away . would recommend hotel . 
 Jun 23 2009 	 Mid Town find 	 reasonable rate , clean , great sheet , centrally locate , fray . 
 Jun 20 2009 	 great location great service ! 	 stay four day , three night find staff cheerful well helpful . the room clean report bathroom ventilation . 
 Jun 18 2009 	 Fabulous Place Stay 	 four we spend six night Park Central . staff friendly , helpful , sense humor great . hotel perfect place stay New York . 's easy walk Time Square Central Park . subway station corner . Broadway block away . draw back hotel elevator . slow hotel busy . however , stay 3rd 4th floor stair bad . also , look service elevator . staff help use regular elevator busy . go back New York City , definitely stay Park Central Hotel . 
 Jun 15 2009 	 Awesome location close Broadway Times Square Central Park 	 partner recommend Hotel friend recently stay , tell 3.5 star great location true . arrive discover hotel undergo renovation cover scaffold exterior little put none - the - less not inconvenient we . book online chose memory superior room king size bed arrival offer room 2 double bed , complain upgrade order although reception staff seem quite bothered complaint . superior room recently renovate clean , comfortable bed fresh , crisp linen . nice meal Hotel Restaurant one night . hotel tourist information / booking desk fabulous lady think call Maureen incredible knowledge sight see include little gem not famous . hotel also conveniently locate subway entrance corner hotel . stay comfortable note close Broadway , Times Square Central Park . 
 Jun 9 2009 	 % . 	 book online website able book 30 % less travel agent . person checkfe we go great length get we outside room ( one window ) problem check we even though 2 hour early . room large expect seem pretty clean . thing notice strange window shower / tub , completely frosted privacy complaint . staff encounter polite helpful . think $ 14.95 / day internet access little extreme , see room service price decide make effort find meal elsewhere . overall pleasant experience . would definately stay . location close point interest , subway stop outside hotel . 
 Jun 2 2009 	 Excellent Location Comfortable Rooms 	 location excellent ! walk distance Central Park , Times Square , Theater District , Rockefeller Center , Empire State Building . plenty decent restaurant close hotel , Ben Ash Deli across street good although little spendy . also starbuck right next door can not go without morning coffee ! room much big expect see NYC . room could use update comfortable overall large bathroom . hotel staff encounter friendly helpful . check - in take min people concierge desk wonderful purchase ticket different event they . only complaint break safe room . call front desk send someone within minute . say could fix could get different room work safe use safe downstairs . want give room view Times Square , choose second option . we excellent stay Park Central would stay return New York ! 
 Jun 1 2009 	 Manky 	 find service efficient fine , room pretty manky . furniture pretty beat carpet , although vacuum , seem pretty dirty . bathroom 's shower curtain moldy shower gel something stick . big problem lack ventilation . control air circulation , even air vent bathroom , desperately need . location good , moldy shower curtain huge turn - off say least . 
 May 29 2009 	 unfriendly unhelpful staff - bad service good location 	 Apologies lengthy review completely feed Park Central . please read make book hotel . their service definitely huge disappointment - right moment book hotel room . book on - line system non - refundable special rate . booking go claim AMEX payment decline cancel booking without first check we , ask we give credit card detail within 48 hour reinstate booking . would think decent hotel would courtesy check customer cancel booking ? anyway , go ahead get close time trip could not bother check hotel . room bit old run , water pressure shower quite low , give special rate get ( usd 162 tax inclusive ) , live . high speed internet room , charge USD14.99 per day . storage luggage usd 3.75 per piece per day - even day pick - up within 2 hour ! stay hotel one night , leave Canada 5 day return hotel - cost we usd18.75 already ! expensive - accept 's NYC . appreciate hotel money make business , truly annoyed hotel staff make money deceit . ask direction Newark Airport , front desk staff tell we can not take yellow cab airport New Jersey . say MUST book car airport arrange . car hire cost usd $ 85 . later find yellow cab driver yellow cab take we flat rate USD65 plus toll USD8 ! accept car hire hotel expensive , lie yellow cab allow go Newark Airport absolutely acceptable . hotel staff integrity simply rip tourist ! 's enough , return Canada ask late check 12:30 ( normal check time 12:00 , ask 30 min extension ) , bluntly turn . another 15 min ? & quot ; absolutely , hotel fully book ! & quot ; much quality service claim offer guest . ask much approximate charge yellow cab JFK terminal , front desk staff tell we need book car would cost USD85 . return room check internet , find yellow cab charge flat rate usd 45 plus toll USD5 . tried call front desk room cancel booking . neither operator conceirge pick phone , take we 45 minute finally get front desk . lady say concierge close night therefore one would pick ! tell want cancel car booking , say could not bell man would call driver direct place booking . would need track bell man cancel booking . ask whether know name bell man - tell place book front desk bell man , would know name ? ? ? ? ask put one bell man phone leave message cancellation say can not 1 bell man duty night . uhhhh ? ? ? ? 1 bell man duty - difficult would track bell man place order less hour ago ? incredibly illogical ? ! ! ! ! ! anyway , tell leave message bell man cancel booking . leave hotel next day try get yellow cab , bell man ask we going tell JFK . ask whether book car , say cancel booking night . say car arrive offer cut price USD85 usd 55 right away ( guess $ 30 much hotel make booking ! ) insist take yellow cab bell man start yell cab driver take away business , come bodily contact ! another incredible demonstration service - bell man pick fight cab driver right face hotel guest ! ! ! ! several cab driver stop offer support cab driver . bell man continue yell scream cab pull away hotel . our stay hotel terrible experience - bad ever ! black - list hotel never go back . recommend friend stay ? never ! ! ! ! ! ! ! ! ! ! ! hope hotel management would pick review respond . wonder explanation give ... 
 May 27 2009 	 great base operation ! 	 locate block heart Time Square hotel reasonably price area $ 159 night . pleased find right middle action , block Broadway , NY sight see bus stop right outside door . concierge desk okay , great . room plain approach bare bone , look somewhere clean , affordable , spacious enough stretch bit , look . hotel undergo serious renovation , may get major face lift . happy stay would return could get room price . 
 May 26 2009 	 can not believe room many disappointment . 	 soon enter room , find hot humid like 85 degree temperature outside . Maintenance say air conditioning could fixed bring fan room ( blow hot , sticky air around . ) water shower stall go drain , stand ankle - deep filthy water . exhaust fan bathroom work . window view brick wall would not minded everything else satisfactory . water leak around base toilet everytime flush . hair blow dryer power less - than - low excessively loud . staff friendly , room acceptable , would never stay . 
 May 26 2009 	 excellent base explore midtown 	 stay multiple hotel New York impressed quality location Park Central . 10/15 minute walk Time Square 10 minute walk Central Park . although room nothing extraordinary clean functional perfect base explore city . bar little pricey ( even New York ! ) . starbuck next door multiple diner block . great base touristy trip New York little central want explore unusual part city . 
 May 23 2009 	 clean functional central friendly frill . 	 Park central ideal base push explore NYC , hotel not many bell whistle , not mean . 's great value locate right heart action . the staff friendly New Yorkers tend , room clean , reasonably spacious functional . check efficient hassle free , doorman helpful , knowledgeable grab cab small tip . from hotel block away 5th Avenue , Columbus Circle , Central Park , Times Square , Hells Kitchen , Subways , Port Authority , Restaurants Shops Galore . within easy walk distance . my advice go NYC hit shop , bar , restaurant , theatre attraction , consider Park Central , go . place lie head spend money elsewhere . 
 may 22 2009 	 great location room bad 	 let start say lot time spend hotel , location great base touring city . ' within walk distance Central Park , Broadway , Times Square , Rockefeller Center . subway station outside side door hotel also another one 7th avenue . room spacious , especially NYC hotel , bed comfy brand new flat screen tv . bathroom quite big well , problem , shower warm shower head powerful . lobby go renovation , ' really affect we much . ' like third floor , three night club directly across us 4:00 want go sleep disturb drunken people . complaint . starbuck right outside front door , Carnegie Deli mere 30 step away fantabulous . close every night bar call Names Faces , ' 54th 7th . great bartender , good bard food bad price . would stay ; would request high floor . 
 may 20 2009 	 would stay hotel . 	 go husband recently NYC . business , mine leisure . stay 2 different hotel . Park Central first . like hotel . location great , room always clean update , bathroom roomy . coffee pot room ice hall . breakfast include reasonable price big city . second hotel stayed charge $ 28.00 breakfast . staff helpful pleasant . walk everywhere location . would stay . 
 May 20 2009 	 Good Location 	 Lobby somewhat confusing , room 12th floor sign direct go . overall , comfy clean elevator quite walk away room . 
 May 20 2009 	 good price good location good hotel great weekend 	 since have not NYC 15 year wife never , want make sure central location able walk sight area , Park Central perfectly situated mind ( stay long weekend ) . hotel huge beast 's get everything would need make stay worthwhile ... clean quiet room comfy bed bathtub soak away foot ache walk 8 hour day . easy check , in - house concierge ( be several ) patient provide helpful suggestion without attitude . buy bagel breakfast central park ( 2 minute walk ) start day great time ! ! ! price fantastic ( Expedia - get 300 $ saving book flight hotel together ) Park central perfect place crash adventure . 
 may 19 2009 	 please waste money hotel 	 good location , pity terrible hotel . moment check could wait check ! staff unfriendly , food terrible , room small date dark . please RESERVE . use live New York close work always think look really nice make mistake booking look good outside that s end . 
 may 14 2009 	 Nice hotel great service 	 stay business trip work . staff helpful , nice room , small side view horrible , everything clean . loud problem stay . 
 May 13 2009 	 great location nice hotel good service . 	 stay one week hotel like . location perfect , close Times Square , Broadway , Columbus Circle , etc , 2 block Central Park . the room nice , comfortable lot space , nice bathroom always clean . tv nice too . now problem : room heater work properly even warn twice , nobody anything fix even send message explain . also restaurant staff ( breakfast ) unprepared unprofessional , polite price high . always breakfast elsewhere . bottom line : price hotel great location accommodation , not go expect class service . 
 may 10 2009 	 love ! 	 second time stay NYC . good hotel ! location excellent- 10 min walk time square , 30 second South end Central Park . room lovely bathroom lovely . coffee machine bathroom , ice corridor , huge wide screen TV.We back hotel amazingly quiet , start build work hotel next door 7 am every morning . offer room change could not bother 2 day leave . give we free luggage storage checkout last day compensation . ( otherwise charge service ) . would definatelty recommend stay top floor- 25th think eliminate street noise . staff polite room well clean every day . hotel restaurant really expensive- not bother eat , empty time . there street nearby wonderful japenese chinese food- hide away bit patronise local . eat lot much well value . buy drink Duane Reed rather cafes- save load money free ice hotel . get train airport much cheap not lot luggage , $ 9 total . Taxis not expensive $ 45 aiport hotel . bus useless , take age expensive consider . last time- never again . I would not hesitate stay return NYC price go . think pay 450 flight 5 night inclusive . 
 may 4 2009 	 go back like Hotel 	 spend 5 night mid March , Hotel good , complain , everything clean , room perfect , bath okay , elevator well organized , opinion , efficient , people must patient take one assign computerized system . for tourist love New York , location excellent , sightseeing bus stop 100 yard , subway around corner , Central Park two block , plenty delis restaurant dinner walk distance . we problem , low season , hotel half empty ; pay concierge room 22nd floor promise view Times square , get view wall brick windows , great disappointment . a friend , pay less , 5th floor superior king room , view 6th Avenue . apart happy choice value . course , recommend Hotel friend . 
 May 4 2009 	 Excelent location - large room 	 Hotel excelent location 7th avenue 500 mts cosmopolitan times square front Carnegie Hall.the room large 2 king bed ( couple room ) big plasma tv.cleane every day.the decoration bit old fashion . the location perfect ! 
 May 1 2009 	 someone be live NYC ... 	 live NYC 7 year prior visit April 2009 . get really good rate hotel expect pretty small , somewhat dingy hotel ( stay 1/2 star low hotel year ago small dingy ) . actually turn nice hotel w / a beautiful lobby , okay excercise room clean room . photo make room look old , actually 's modern look real life . room super big , king size bed , 2 chair , desk flat screen tv not feel overcrowded ... plus , NY ' ve ever see people 's apartment NY , would not think small . location great , use work block away centrally locate . W / in block Central Park south , Carnegie Hall , Time Warner building , Times Square , 5th Ave shopping . 2 downside : room fridge , be $ 25 rent crib , charge hour hold bag . carnegie Deli right next door , famous 's delicous , huge deli sandwich . yes , sandwich $ 15 , portion huge . btw , walk across Brooklyn Bridge eat Grimaldi 's Pizza , 's good pizza get . totally worth trip Brooklyn . instead spend $ 40 JFK city ( $ 70 city JFK , yes 's high go airport ) , would recommend take AirTran Penn Station . be easy much cheap . good luck fun ! 
 Apr 30 2009 	 people expect/ 	 keep eye review site past month , arrive Park Central 23 April wonder quite expect . actually get : clean , spacious room ; friendly helpful service great , great location . really not know people expect day ; hotel hardly expensive , opinion , well worth money . fact central park within two minute leave front door good enough . 
 Apr 29 2009 	 average service decor fantastic location 	 Park Central 's service mix . staff restaurant concierge exceptionally friendly reception staff mix . friend credit card steal reception area tell reception ( sole reason could alert tell customer aware ) not seem care . our room clean tidy , although unfortunately strange shape . long squashed comparison friend ' room . not problem barely . location fabulous . two three block Central Park block away Times Square . result plenty bar restaurant , liquor store grocery place open early hour . like fact pay bag store we - prior check - in ( arrive hotel 12 pm check - in not till 4 pm ) check . hotel ( stay five trip ) charge service . 
 Apr 28 2009 	 great position excellent value money 	 always stay hotel since discover 10 year ago . great position shopping site see . good sized clean comfortable room . 
 Apr 25 2009 	 hold Hostage - Air 	 Kidding ! family vacay late May little warm . room controls management refuse turn main control . tell prop open window allow 6 inch air room . tension building ... staff rude even look mad approach - kind like prison gaurd . one night stay , something bold ... check - first time live ever . look back curtain blow window appear almost wave we . lucky one , drive away hotel , could see small electric fan window . unbelievable ! 
 Apr 24 2009 	 Excellent stay good value money hotel 	 fine hotel . staff friendly helpful . yes lift slow , hotel do well . know lift slow , plan ahead ! one dollar day chambermaid work wonder room clean want get extra towel etc . room good size contain usual thing . bathroom clean spacious ample hot water . location excellent many cafe etc nearby . thoroughly recommend Petrossian ( 182 w57th ) beakfast fabbo coffee . 
 Apr 23 2009 	 decent enough hotel 	 nothing spectacular hotel . location little far mid - town may want avoid prefer close Time Square . it good value though get right price room decent hotel clean . 
 Apr 17 2009 	 Park Central - would stay ! 	 partner stay 3 day end March . everything great . 15th floor , see times square light window . corner room , 3 window room . bathroom clean also room . Breakfast also ok , staff friendly . location good , central park two block hotel . 
 Apr 13 2009 	 brilliant location everything else bonus 	 stop hotel 5 day mid march . stay mum although book king size room check ask 2 queen instead make happen without fuss . stay room 505 5th floor , good view 7th Avenue Carnegie Hall leave hotel times square short walk right . bit trouble operate safe rang reception within minute nice helpful secruity gaurd arrive sort we . room brilliant size . bed nice size comfotable . nice size closet safe ( do not pay use like hotel Europe ) . bathroom also good size . room extremely clean high standard . problem lifts never wait minute think understandable hotel 20 odd floor . staff speak friendly helpful . speak housekeeping staff friendly like chat we . the hotel good location possible . tourist destination either short walk subway ride away . subway station locate close hotel depend want go . Times Square 10 minute slow walk right hotel . broadway behind hotel . Fifth Avenue 10 - 15 min walk . Rockerfeller Centre way big must . get sunrise sunset ticket $ 10 normal day ticket well worth . get amazing view manhattan . two day use sunset ticket . good thing . hear tourist view Rockerfeller well Empire state much less busy . many place eat around hotel although close Times Square expensive be . apparently great place eat along 9th Avenue although do not eat . find great deli leave hotel ( opposite Carnegie Hall ) last day . much cheap well produce one right hotel . we impress hotel would definatly stay recommend anyone go . anyone want tip question hotel feel free ask . 
 Apr 13 2009 	 good location room keep . 	 recently stay Park Central son 's band group perform Carnegie . location hotel everything excellent room keep . lobby nice however wish pay much attention room well . maybe not enough help really clean room large crack ceiling bed mildew bathroom . several light bulb burn maintenance replace ask . sheet old torn area . pretty gross not replace old sheet . not think whole week change bedding . 
 Apr 13 2009 	 bad hotel ' ve ever book 	 change room 3 time small unclean . 3rd room give well bad . tiny , dirty 3 lock chain door do not make feel safe . ice cake , find dead cockroach belly rug -- not walk bare foot fear . positive hotel convenient location ; however , plenty well hotel area clean worth extra dollar . 
 Apr 7 2009 	 really like hotel 	 downside ... ... personally hotel . stay midtown much ... really like away touristy stuff point . , price right hotel ser vice great end ... way avoid tourist great time ! plus subway line outside door hotel .... prove convenient ... want need ! room clean , mattress ... may need replace ... point find uncomfortable . noise street present ... city ... expect . check great ... overall friendly service around . 
 Apr 7 2009 	 top class 	 bit nervous stay hotel reading review , honestly say great stay absolutely problem , last week March . book room back November , total cost wife , include taxis $ 2000.00 6 night stay 19th floor concierge suite , include buffet breakfast . find go back internet site find price low , book , cancel original booking . go back site time re - book twice , end get 6 night stay , breakfast , $ 1224.00 wife . put ' comment ' box , wish cancel previous booking ref take one instead . also check email confirm cheap booking . price pay check - out , excellent Manhattan 2 adult , include ' all eat ' breakfast ! . excellent location Times Square , Carnegie Hall , Broadway Central Park subway could not close . pre - warn site elevator - excellent system reception hall touch screen request elevator specific floor , time get round , one wait . usually wait minute come back , not problem . not really much dealing hotel staff apart breakfast staff helpful booking in / out , dealing positive . room clean towel / bed change every day . a couple tip thing area ! Apple Store 5th Avenue think 58th street open 24/7 50 computer available free internet use . usually wait minute 2 laptop become available . also , jewelery shop 34th street opposite Macy 's call Diamonds dial . buy ring wife , time get home Scotland , one diamond fall - got check 2 UK jeweler would not touch - flaw include break clasp flawed gem . Contacted & amp ; be not want know . find since load customer similar experience . I would definately recommend hotel other regard price , cleanliness location . 
 Apr 7 2009 	 ZERO customer service hotel ! 	 company book hotel recent business trip NYC . actually stay problem , next trip prove entirely different . check let know would could not stay second night prepay ... front desk clerk say problem will not bill . credit card bill come next month see bill we two night . call speak front desk clerk , general manager , accounting avail . still give we money back ! ! general manager completely unwilling compromise . you would think Park Central want retain exist customer instead drive away . bottom line . stay risk . something go wrong , good luck ever getting resolve . 
 Apr 6 2009 	 wonderful location terrible service 	 Park central perfect location -- close Central Park , Times Square , Museum Modern Art , etc . room clean spacious enough , service horrific definitely put damper vacation . one night alarm go next room . call front desk alert , nothing . finally , fourth call , security officer arrive , attitude nothing short rude . subsequent complaint general manager ignore . needless say , never stay hotel . 
 Apr 6 2009 	 poor customer service ! 	 stay hotel three time last 6 month . conveniently locate room decent especially price . however management treat poorly regard follow parking ticket get error . drive NY last visit bus park front hotel arrive stop taxi stand . get car flagged doorman tell want valet parking , show car give key . later evening get call manager inform get ticket doorman end leave car long hotel would take care ticket . never say summon get one mail several week later . call hotel several attempt figure right person speak direct security . tell understand would take care . well not get Notice Impending Default . return phone call appear want help despite fact cause ticket agree pay . boycott place ! 
 Apr 5 2009 	 pleasant surprise especially money . 	 boyfriend go NYC visit college friend ... plan needless say upon arrive NYC space really go work 3 day crash place . find Park Central , feel like 11th hour . order hotwire get 3 night 110 night , steal hotel NYC , least opinion . not get 3 am , clearly late . overbooke , shocked , shocked ... work upgrade we suite , free , 600 night , sign say hotel room . I hear basic room leave lot desire , not experience it . they high end product room . living room , whirlpool tub , sit area , plush robe , plush bed nice sheet . also 2 40 '' + lcd tvs living room bedroom area . also 22nd floor view times square . my qualm room sort small go , although update couch quality mid - rate doctor 's lounge , good . the concierge nothing nice , able find us airport shuttle service reasonable price , 35 JFK limo , hear other pay 50 + our room clean , fresh , definitely & quot ; room smoke year feel & quot ; .For pay get upgrade wise , really complain . pro : get upgrade * always remember ask , take , room hear quiite closet - like . service exceptional , lobby nice hold luggage check flight red eye evening , can not forget LOCATION ! con : probably room size , stuff cut corner hear lot people traditional phone reservation lot problem . 
 Apr 5 2009 	 Fun Times 	 go New York celebrate St. Patrick 's Day family get great deal hotel website 40 % hotel price . book hotel stay great time . little concerned traveler rude staff slow elevator , pleasantly surprised . check check breeze , problem reservation bag bring room 4th floor . room 2 double bed big thought would . room look office building across street Hooters . not concerned view not plan stay room .... NYC celebrate ! staff great get great service maid make sure extra towel , concierge front desk employee , even joke we & quot ; kiss ' m irish button & quot ; . not realize AC not work winter call someone help we open window . service prompt show we open ... thought need key mistaken . eat almost everyday Fluffy be across street breakfast , food good expensive . also great food West 53rd Gourmet Deli good puerto rican food El Deportivo 48th street . Times Square street definetly within walking distance well Central Park 5th Ave . thing really disappoint we stay check doorman recommend take hotel car turn stretch limo . tell we fee flat rate $ 55 take we in - law Jamaica , Queens . agree price get destination driver insist pay additional $ 10 toll . go ahead pay money feel like get & quot ; Tourist Swindle & quot ; . even though happen would not let take away great time New York .. would stay hotel would recommend family friend would weary use hotel car . 
 Apr 3 2009 	 's Scoop 	 O.K . 's scoop . stay 5 day 4 night . go NYC year business ( whole family colleague ) . stay hotel along Time Square ( always expensive .. always dirty carpet ) . book room online hotel website early bird special .. include breakfast 149.00 per night . wow ... deal ... last year pay 300.00 night along Time Square . first arrive , give we room fourth floor . tell african american gentleman want double bed instead super king reserve would like check room . go room stunk look well used .... immediately go back tell nice young lady go work . room 1508 view light Time Square . think ok .. work . first night husband want hook internet room wire connection would work . afraid anything online wifi . also , air conditioner / heater unit work ... lamp desk work .... fan bathroom . window , however , open ... noisy night . call next morning tell electrical problem want another room . tell we check back 4:00 pm see room available . want we check bag desk tell would leave everything closet door . go eat breakfast scrumptious ! ! ! make problem may . american Breakfast Buffet Fruit ! ! ! ! get back 6:00 pm lady give we room number 1602 ( large handicapped room ) . clean quiet . seem high go well get . view room 1602 matter ... clean quiet . would give hotel 5 star .... go first night fourth floor dump . say ... go check room 4th floor ... wait forever ... elevator ... go downstairs .... spouse ... wait ... time go desk ... change key ... notice spousey ... hit 4th floor button . elevator work fourth floor ... still wait .... yike ! ! ! ! ! stay away fourth floor go high possible ... stay perfect .... room 1508 internet AC ! ! ! ! 
 Apr 3 2009 	 hair wall shower ! ! ! ! ! ! ! 	 moment arrive thing go well . receptionist extremely rude unfriendly . ask pay bill full cash demand 150 dollar deposit top . yet order room service would not take deposit , want cash well . horror first time shower discover long hair wall previous occupant . politely ask make sure bathroom properly clean meet much apology ounce care . get back 6 hour later hair still . clean end . room dark light time . staff not much smile we thewhole time . good thing hotel location extremely near central park times square brilliant perfect first time new york 
 Apr 2 2009 	 could ask ! 	 friend look weekend getaway NYC visit friend town . not easy find nice , descent look inexpensive hotel ( specially Manhattan ) fear find hotel expectation . fear dissapeare arrive noticed hotel need ! belive good feature hotel 's location , 3 block Times Square 2 Central Park . may agree review customer service lack profesionalism ... since small glitch hotel room , biggie . elevator peak hour ... get crowd , either wait take stair , ah ! local call not free ! maybe use lobby phone instead room 's . complaint practially use room crash long day sightseeing shopping . bed comfortable , ( miss pillow lol ! ) atmosphere quiet funny smell find room . strongly recomend Park Central Hotel ! Kitchener , - Canada 
 Mar 28 2009 	 problem would stay secone 	 arrive Saturday round 1.30pm , get key room straight away , staff friendly , girl help desk great , room clean every day , perfect , thing would say would love Coffee make facility , every thing else perfect . Drank bar last day , expensive , never eat hotel , use go get coffee starbuck next door take room , loft never problem , great location great staff move go recommend anyone / everyone . 
 Mar 27 2009 	 perfect location New York 	 Park Central Hotel New York brilliant location 56th 7th right centre everything . 10 minute walk downtown bring Times Square , 2 block uptown take Central Park , 5th Avenue shopping 1 2 block east subway station 20 second away take wherever else want go . Carnegie Hall directly opposite Rockefeller Centre less 10 minute away . hotel surround gift shop cafe 's nice little irish bar opposite . location really could not get well . first arrive difficult we find not map we grid system confuse first . walk 20 minute eventually come across practically place start ! 3.5 * hotel look great outside revolving door door man reception lobby area inside splash marble look classy . feel bit trampy arrive comfy trouser trainer look hot exhaust 8 hour flight lugging suitcase street ! check quickly show elevator room . one come help we case though expect . room nice big hear unusual New York hotel room please . 2 double bed room strange need one not bother we use one bed one big sofa . tv absolutely huge ! 's far big one ' ve ever hotel . great tv channel include news , sport , lot spanish channel ( ? ) good channel show comedy stuff like King Queens Judge Judy . also small table couple chair , big desk , phone digital alarm clock . bathroom clean provide good bath product lotion . husband use gym time say good . look hotel 's area good location one cheap one . although still , admittedly , expensive , price good central New York hotel . pay $ 1,400 week not include breakfast ( would not book breakfast 's pretty pricey £ 18 day ) . time book , August 08 , exchange rate make £ 800 . however , reserve room book actually pay end stay , new exchange rate March 09 , work lot £ 1,000 . not happy 's hotel 's fault ! couple problem hotel toilet block twice even overflow maid fun job clearing . not ask fix happen late night morning clear . also , staff bit miserable time . helpful friendly though help we whenever need something . concierge desk staff also helpful advice need city activity . one thing annoy make reservation email 3 time couple query one ever get back eventually call . query deal well quickly phone . lift also little slow 2 lift floor work improve . would definitely recommend hotel 's one cheap will find 's modern location perfect . 
 Mar 23 2009 	 stay away ! ! ! 	 awful service , complaint , go speak someone never even respond ! ! ! absolutkey zero customer service skill never accomadate ! oh bar , exactly .. addition staff look like roll bed come work , curse front spouse regard we . would never stay . 
 Mar 23 2009 	 Great Hotel ! ! 	 hotel great . service great ; staff friendly helpful . room stay spacious , clean tastefully decorate excellent view . bathroom also clean spacious . location well , close everything Mid - Town Manhattan . could not ask well location . breakfast buffet also excellent . offer good variety nice view . price also reasonable . go 12 year old son weekend getaway definitely return Park Central next time visit NYC . definitely recommend hotel . 
 Mar 23 2009 	 have mad stay ! 	 stay 6 night friend get great deal hotel 's website include breakfast . room large airy 2 double bed clean , tiny downsize lack tea / coffee make facility room many place nearby eat & amp ; drink cafe / bar hotel ( mention one 751 starbuck next door ! ) really not issue . staff friendly helpful hotel even car service not want take taxi airport . central location could not well , see Times Square outside hotel Central Park minute away . great diner across road & amp ; hotel breakfast unlimited great range hot & amp ; cold choice . hotel cherry cake brilliant holiday . 
 Mar 21 2009 	 miss Westin ! ! ! 	 maybe ' m spoil , typically travel NYC stay Westin . however , someone else family make arrangement cost big issue several people group . the proximity Central Park thing go . front desk 4 pm check - in .. FIRM . hard time believe every ROOM occupy would not ready 4 ? ? add insult insult , would gladly hold bag $ 4 / bag . since 5 room book , quickly learn , & quot ; extras & quot ; like coffeemaker not . hotel rundown noisy . restaurant / bar over - price ... even NYC hotel standard . family vacation , let hotel detract time together , never stay , would recommend , several & quot ; economical & quot ; choice Times Square . 
 Mar 18 2009 	 Lacks Customer Service 	 read previous review hotel regard customer service little skeptical staying first figured get good rate , heck . everything read true . hotel bad customer service city . front desk staff ok , everyone else nasty rude . voice complaint General Manager apparently do not care much , since reply busy event take place time stay , reply reason rudeness nastiness , pay customer treat respect . 
 Mar 9 2009 	 good location 	 location hotel excelent , five minute walk central park times square right next subway . reception always crawde attention good . room big comfortable bathroom heat literally freeze everytime enter . the day leave , check morning since flight leave night offer we place store luggage wait . couple hour go pick , surprise ! ! charge we per hour per bag . nobody say anything we end pay considerable amount money . I would recomend hotel location 
 Mar 9 2009 	 location great hotel okay 	 stay 2 night early March . check - in 4:00 , arrive 2:00 . book & quot ; Concierge King & quot ; - accord website , floor 18 - 25 well view . tell king not ready , could double queen right away want . problem , say would wait . tell try hour . , 2nd clerk tell we room not ready ; try 4:00 . return 4:00 , serve different clerk give we key , get room find place double queen ! back lobby go ; tell hotel full , sorry confusion , give regular King room 10th floor view brick wall . oh well . room clean , bed comfortable , housekeeping staff nice . room need maintenance ; hairdryer wall , one outlet wall , one lamp really hard turn , clock radio not work . cosmetic thing , mostly , little disappointing would leave like that . consider get room $ 118 US / night include full buffet breakfast we ( really enjoy ) , think worth . location excellent ; Times Square block away ( walk within 10 minute ) , see Central Park front hotel , Seventh Avenue quite lively evening . feel quite safe entire time . subway stop right hotel . usually overlook little thing , like break clock ; however , matter nice hotel good deal , feel though receive book and/or pay , make hard give hotel great rating . 
