would 	 stay past weekend 11/26 - 11/28 celebrate one year anniversary . book stay directly hotel , book large king room . $ 215.00 quote rate . request high floor room east view since main picture Hotel Felix Chicago website lovely picture Chicago skyline include beautiful view John Hancock tower . tell everything would taken care going receive large king room lovely view . arrive early Friday tell housekeeping finish get room ready we . give free drink coupon drink front lobby small bar / lounge tell bag would brought room wait lounge . 1/2 hour later , go room 9th floor ( hotel consist 12 floor ) . king room , look window view - face South , east view pay parking lot Copperfield 's ( liquor store ) .The next morning , speak guest service question room . tell receive room & quot ; celebrity & quot ; receive stay . gentleman , remain nameless not want give name , say upgrade room 906 room 904 , large king room . still question not receive East view promise , tell could East view room , would downgrade Queen size much small room . , choose stay room . follow complete laundry list review hotel : problem find hotel:1 . ) give multiple excuse lack service / continuity . information receive ask not receive room promise , feel inadequate unprofessional . breakfast next morning restaurant , & quot ; Elate & quot ; ask spoon coffee . server state get ready lunch set - up 's not give spoon . also tell server restaurant hotel way connect ask trading breakfast voucher pay get well breakfast pay difference cost . tell we take hotel restaurant hotel connect way . female check we hotel Friday afternoon hostessing restaurant Saturday morning . , seem connected . addition , restaurant provide room service hotel give option bill room dine restaurant . , seem connected.2 . ) state provide & quot ; whisper quiet room & quot ; . inaccurate description . hear t.v . , conversation , etc ... adjacent room hallway . would honestly compare sound level stay cheap hotel . 's want top - star hotel certainly would classify good want romantic weekend . would certainly never bring three - year old son fear may hear come another guest 's room.3 . ) storage clothing suitcase insufficient . suitcase fold - out provide tiny closet poorly design . tiny build closet space hang bar also act curtain rod close hide belonging , choose put shelf middle safe . also face - out bar shelf , item put drag floor use top curtain rod hang , item jammed safe shelf can not close curtain . walk room iron board lean wall even stored.4 . ) bathroom decent size , small sink lack mirror two people , adjustable shower head set low height . raise shower head normal height , 1/2 length shower curtain cause tiny flood bathroom not extend full length bathtub / shower.5 . ) state luxury comfort bathrobe provide room book 2 adult , one bathrobe room . ask another never receive 2 day stay . perhaps shortage robes.6 . ) pillow - offer one size pillow bed quite full uncomfortable sleep . like full pillow , could use pillow . fiancee sleep pillow - less try well stay edge pillow . next day speak housekeeping directly ( avoid guest service ) provide we seem ( 2 ) throw pillow put pillowcase we could sleep . appreciate effort make we comfortable.7 . ) feel food restaurant & quot ; Elate & quot ; consistent . would recommend coffee Felix burger . ( side note : not put cheddar cheese request . request replace & quot ; creamed leeks & quot ; cheddar cheese possible come nothing ) . seasoned fry come burger good . french style omelet house potato good well , granola , quiche , 2 egg want french toast enjoyable . train chef dissatisfied quality food overall . when check , receipt give checkout match Hotel Felix charge Mastercard . charge upgrade room rate not request . hotel also charge we bottled water drink room . call guest service return home discover online checking , tell credit make expect within 2 - 3 business day . would sure obtain receipt checkout make sure charge correctly . overcharge we $ 645.00 waiting credit Mastercard . good thing find hotel:1 . ) great location - promise & quot ; whisper quiet & quot ; fulfil . also disregard photo view website hotel . west side construction large building approximately 20 foot window completely obstructed.2 . ) nice H20 spa product bathroom ( soap , shampoo , conditioner ) 3 . ) Free wi - fiI would stay hotel would recommend . feel though tried put many room hotel revamp building , not allow soundproof . also feel like give far many excuse lack service . 
 Jun 26 2009 	 not even already dread stay ! 	 stay Hotel Felix two week ' m already dread stay ! rude phone , make aware b / c ' m Hotwire customer ' m second rate customer . make mistake will never make : book room Hotel Felix Hotwire . be clever Hotwire , pretty much figure hotel will get booking process . initially excite land room Hotel Felix ... call downhill . ' ve big fan Hotwire year : like adventure ( never know exactly will stay credit card already charge ) time need save buck hotel - hey , ' m librarian , not exactly roll dough ! ' ve never problem get two bed room two people Hotwire reservation ( usually travel library colleague ) : make reservation via Hotwire , call hotel confirm select room type , be good go ! Hotel Felix . tell reservation single queen bed hotel room would honor request & quot ; upgrade & quot ; two bed room . per Hotwire term service , Hotel Felix inform , provide room would accommodate two people , could even full size bed . basically , Hotel Felix convey b / c make reservation via Hotwire , ' m second rate customer eligible small , least popular room type . inquire availability two bed room tell plenty , would not & quot ; upgrading & quot ; b / c not to . I call Hotwire , refer term service : & quot ; Room type determine hotel base number guest provide time booking . reservation book stay non - smoking room ( subject availability ) . hotel room assignment determine check - in upgrade available . & quot ; Hotwire agent , , try contact hotel unwilling budge . let know might able & quot ; upgrade & quot ; arrive , count . 's fine print , 's customer service , not think ? Hotel Felix money Hotwire fee ' m arrive two week dread . Hotwire Hotel Felix forever lose future business well friend family . 
 Jun 24 2009 	 small room comfortable 	 Hotel Felix brand new . room quite small , two double bed , much room put suitcase , ( would not recommend 4 people , two okay though ) however bed build draw , excellent . bed comfy . staff friendly 's free tea coffee bar morning . clean also . the location great , walk train station back airport $ 35 cab ride . walk area city include millenium park Mag . mile shop . good value get 3 day $ 14 transport pass bus train . the air con little noisy time time , enough complain . Chicago tip : hire bike North beach ride along lake shore , Lincoln park zoo free excellent , eat Maggianos ( italian ) , absolutely beautiful . 
 Jun 23 2009 	 friendly comfortable accessible 	 husband get great deal stay Hotel Felix long weekend . impressed sleek , eco - friendly design well friendly , helpful staff . STAFF : staff responsive always greet we smile . front desk always willing print direction local restaurant attraction . housekeep friendly always great , thorough job . location : Hotel Felix walk distance Chicago brown red L line outside Loop . Whole Foods 711 within block hotel Magnificent Mile block away . block past lake shore . Millennium Park 20 minute walk hotel lot shopping restaurant way . ROOM big city , room pretty small , extremely clean comfortable ( especially fluffy , queen size bed ) . flat screen hdtv cable alarm clock radio complete ipod dock . room design space efficient storage drawer bed , small alcove hang clothe , shelve night stand cabinet bathroom . bathroom also modern look well sized shower stall complete rainfall shower head nice variety H20 bath product . room noise proof never hear neighbor people hall . facility funky lounge great area guest hang enjoy coffee tea morning . also small gym 2nd floor Aveda Spa . please hotel offer free wi - fi , find connection slow . 
 Jun 22 2009 	 wonderful experience ! 	 hotel staff great ! everyone helpful , nice , full information . new property , silver LEED hotel Chicago . restaurant open , everything could imagine nearby within walking distance . , comfortable shoe . room small , comfortable . tub , large shower . can not wait return ! ! ! ! ! ! 
 Jun 21 2009 	 Ridiculous ! 	 sure hotel review kindley ? cousin stay last night , 6/20/09 book Hotwire.com . payed rediculous amount suppose 4 star hotel resturant site ( currently construction ) , room small .... whisper someone toilet lie bed . speak bed ... lumpy well describe . stay 2nd floor face front hotel could hear Valet attendant & quot ; person top hat & quot ; ( say not doorman ) talk loudly late crack dawn . alarm clock room go 0620 certainly not set ! stayed much ... well alot less . never . 
 Jun 17 2009 	 great stay Great Service ! 	 staff tripping make sure happy . leave phone car within minute doormanhad bring room . the room sooo comfy nicely appoint . hear room small side ask large room fine . decor relax black curtain perfect shut world . also massage spa wonderful . plan stay next time visit . hoepfully not get buy chain fear happen personal touch lose . 
 Jun 17 2009 	 great stay Felix ! 	 husband stay Hotel Felix three night -- along family stay hotel . get great deal book online prior hotel open safe say little apprehensive would find upon arrival . must say pleased find . we king - size room third floor . concerned room right next elevator . however , point ever hear noise & quot ; dinging & quot ; people utilize elevator . housekeper vacuuming right hallway around 9 a.m. Saturday morning , think tad early clean public area . luckily , already awake otherwise would slightly peeve . staff awesome ! cheerful , willing help , ask else could make stay well . one doorman particular , Julian , real treat go way help we . certainly find lobby room small . however , lobby nicely appoint enjoy roar fireplace couch come go activity . drink lobby bar one night . good beer tap great service . room also nicely appoint small . bathroom nicely do -- enjoy shampoo / conditioner / lotion huge shower head . dreadful lack counter space bathroom however . toiletry , hair dryer , curl iron , end dry sink towel use counter . extra shelf something would helpful . location great find everything short walk taxi ride away . check - out quick easy . honestly , service stellar not even really mind small room lack counter space bathroom . would definitely stay Felix recommend other . 
 Jun 15 2009 	 sleek cool comfortable 	 lot travel business pleasantly surprise first time stay Hotel Felix trade show . cool sleek , modern . understand recently renovate . DEFINITELY stay Chicago . not right middle city , little , nice neighborhood walk around bar / grill walk food Starbuck 's couple block away . next time will take picture post review . 
 Jun 10 2009 	 Best Bed Hotel ever 	 stay long weekend June . room truly tiny ( husband actually discuss put two carry - on suitcase ) , bed ( sheet ) truly comfortable bed ever sleep hotel . room quite clean . asked & quot ; quiet & quot ; room , . notice could hear maid room next door cleaning , could never hear guest . free coffee morning , breakfast ( go Whole Foods instead ) . toiletry convenient size airport ( easy refill ) . location , learn way around , excellent- near many bar , restaurant , El , point interest . use free internet help we plan stay . staff friendly give good suggestion eatery , successful concierge get ticket . pay reduce rate quite satisfied . 
 Jun 9 2009 	 great stay 	 stay win bid Hotwire , actually pay 1/2 website offering . restaurant still not open , typically not eat hotel restaurant anyway . nice room , large hdtv , soft comfy bed , lot hot water great water pressure . complain outside noise , somewhat noticeable , even 10th floor , downtown Chicago not bother we able ignore . other mention room small . agree , not think tiny . actually remind we european hotel . plenty room 2 adult ultimately 's place relax day . one thing really impress previous occupant room significantly scratch wall . Maintenance come , evaluate damage say would take care . go next day come back hotel wall repair could not even smell fresh paint . nice work . when first arrive request iron deliver within 10 minute . return dinner final night stay , stop front desk request fridge deliver room 5 minute . , nice work . ' ve stay hotel 's take hour get request fill . there be plenty place eat neighborhood within walking distance . 's Whole Foods store , McDonalds , Hard Rock Cafe , Potbellys , Fogo de Chao , name few . if not want pay $ 42 / night valet parking , would recommend use parking garage around corner ( N Clark Huron Erie ) . be $ 23 / night . 
 May 29 2009 	 Better Value elsewhere 	 look , like Hotel Felix overall . gripe get well money elsewhere town . like lobby bar , doorman incredibly friendly helpful , front desk staff pleasant . bed absolute heaven . literally sink ( fluffy soft wonder could make snow angel ) . however , gripe way lobby area smell , like sickly sweet flower something . not know scent 's leftover painting since hotel new , can not eco - friendly , not hotel 's whole spiel ? room . Geez , small . incredibly small even . expect 4 star hotel rating . know management claim past historic building , one hotel staff tell one travel companion energy efficiency . consider pretty environmentally - minded , not buy not think many people happy . stay kid want noisy , room small allow . gripe shower , have extra shelve something besides dinky one corner fill freebie shampoo conditioner . sink towel bar bathroom need shelf . coffeemaker every room , be something people expect 4 star hotel . sensitive noise get room 9th 10th floor , street noise noticeable . also like location since pleasant walk Michigan Avenue block less touristy nearby area . be also pleasant place eat be Whole Foods , 7 - 11 , Walgreens within couple block . another thing like ( strange ) whatever bathroom floor material , look like stone something not slippery . nice touch . overall , good stay , room big gripe . 
 May 29 2009 	 great hotel stay - can not wait go back restaurant open 	 long weekend Memorial Day go friend Denver Atlanta . three we stay hotel . let tell ... gem . service fantastic , doormen friendly helpful ( every time leave come back hotel cheerful greet ask anything could make stay pleasant . king room far elevator , never issue noise . bed comfortable - quickly fall asleep night wake well rest . bathroom pretty good size , surprised find tub , shower oversized showerhead compensate one . product ( shampoo , gel , etc ) H20 product - friend call airport tell find store product sell . purchase online . my last night hotel , friend Denver early cocktail bar meet restaurant owner . restaurant open listening owner 's vision food serve , definitely stop back . hotel remind Hotel 27 Copenhagen ... small , beat path , yet close everything would want . restaurant open , hotel competition . thank , Hotel Felix ! 
 May 27 2009 	 great Stay Hotel Felix 	 recently travel Chicago friend shopping take sight . Hotel Felix conveniently locate everything area . could walk everywhere , feel lazy could take cab inexpensively . hotel clean staff extremely friendly helpful . especially love door man Julian : ) room little small , expect . bed comfortable room nice comtemporary decor . bathroom good sized walk shower . the downside fan bathroom work . one we would shower would get steam make difficult apply makeup / style hair , etc . say , would definitely recommend hotel other would stay . thank great weekend Hotel Felix ! 
 May 20 2009 	 good may get well 	 return long weekend Felix . depend traffic , around $ 35 - 40 cab ride ORD . great location , easy walk distance many restaurant / club / store mention . historic decor nice lobby area . small bar area great service . mention , room small - ish . king - size room fine need . bed comforatable . in - room iron / board call front desk arrive within 10mins . picky detail : carpet dark brown pick every lint speck , color shedding quickly make room look less clean ; bathroom sink modern shallow little room water spout actual sink . challenge anyone actually wash hand . little extra space bathroom toiletry nice large shower actual bathroom space . plus side , housekeep great . room clean every time return always trick departure / return clean room . friend use spa service great massage two separate masseur . fitness center small 2 tread mill 2 elliptical sm array free weight . indoor outdoor pool . bellman extremely friendly helpful . glitch encounter : call hotel ahead check - in , appear actual knowledge room setup . - rollaways available ( ) ; couch room ( ) . check , ask pay stay - biggie usually check . got put hold numerous time extended period question billing . in - room service laundry meet ' ' m sure ' although need meet . restaurant open schedule June . could hear every sneeze , exact converstion wall adjoining room although join room lock door . rate seem bit high actual accomodation ( almost $ 1100 4 night ) although everything run may line pricing . strong 3.5 - 4 stars/5 . 
 May 19 2009 	 Superior Customer Service Superb Location ! 	 return 2 night stay fabulous Felix ! friend go annual girl weekend , first time Chicago . location amazing staff super friendly . julian one doorman always friendly word help hand ready ! impressed room location less 5 minute walk Mile ! would highly recommend hotel definitely stay ! ! thank Hotel Felix ! ! 
 May 15 2009 	 Euro design relax tone modern decor . 	 Hotel Felix recently open , still hang marque arrive . enter small lobby two conversation lounge area bar near fireplace intimate socializing . decor soothe eco - friendly set professional trendy meet place . front desk staff friendly especially accommodate request , bellman ( even run store ) . experience single room , quite small efficiently design storage & amp ; comfort . feel room modern earth tone relax atmosphere . queen size bed drawer build platform , eliminate need dresser . soft cotton bed , fluffy pillow duvet comforter comfy mattress . bathroom roomy stone tile stall shower tub , modern basin , non harsh lighting , thick cotton towel hotel toiletry . keep room uncluttered , flat paneled tv wall mount , reduce size club chair place corner . horizontal place put thing compact desk area wifi , small modern table next club chair two night table either side bed . closet compact adequate single room . miss fitness room spa ( tight schedule ) , use business center , free internet service printer / fax . also several meeting room , look comfortable peek in . as far know , group satisfied hotel , memorable complaint , except one trouble navigate around platform bed . Don ' miss restaurant ZED451 one block away . ' wonderful eclectic mix american , Asian Mediterranean choice one price , serve variety inventive flavor infuse , dry rub aged meat plate churrasco serve style . chic multi level decor seating extend fire pit . bring appetite , since food ' stop realize room experience another bite . 
 May 13 2009 	 chic new nice hotel ! 	 book Hotel Felix conference attend Chicago . first time Chicago , idea ideal location , Felix perfect ! within walk distance almost everything want see , something far walk , doormen eager assist either cab instruction & quot ; L & quot ; train . other say , room small , single traveler , perfect . eight day never felt cramp . bed possibly comfortable hotel bed ever sleep . room come free wi - fi nice business , include HD tv 's iPod docking station great . front desk staff extremely friendly helpful , doormen excellent . time , deal Julian , every time go somewhere take time ask go needed direction , every time return ask specific experience . doorman remember name ask . housekeeping staff always around would leave room , would always ask want service want wait . extremely impressed entire staff . overall impression Hotel Felix definitely positive one , ever return Chicago , stay ! 
 May 11 2009 	 small room amenity still great 	 friend stay Hotel Felix . true room small really sleep . bed super comfortable sleep well . lot amenity hotel really not concern . not typically eat hotel restaurant go hotel bar . staff superb . doorman , front desk staff .... . hotel small tend get much personalized level service make feel welcome . hotel also extremely clean . probably lot young age hotel staff seem excellent job keeping look like new . definitely great look hotel great staff room little small . 
 Apr 27 2009 	 Amazing Outgoing Attentive Staff 	 hotel cozy clean . wife enjoy sit lobby since bar close doorman go buy we bottle wine sit front fireplace . Ben doorman outgo helpful . give we 5 star service . also Daniel front desk great . know much Chicago ! every restaurant want go week stay get we give we information every restaurant . staff great . return sure . room small romantic . breakfast fine . thank great stay keep good work . 
 Apr 16 2009 	 good economincal hotel 	 revisit Chicago use live , want economical 3 day stay . queen room 12th floor - know 's NYC size small ! , fine , 2 people , may difficult place put bag even though be cozy cute small , be practical . tell bathroom showers - bathtub / shower combo option entire hotel exist . bed comfy think put forth nice design whole place . offer free continental breakfast day nice . service fine . Whole Foods 2 bl . away Huron / Clark easy cab ride Old Town point Loop - business would work great . my complaint loud everything - thin wall , sink bathroom bit weird - shallow , could use basic option room like disturb sign clean crew start knock door 6:30am ! spa open week restaurant still process get ready open June tell . typically stay Sofitel Watertower Sutton Place Hotel Gold Coast location large room . travel quite bit enjoy 4star hotel - would likely stay value solo travel 1 - 2 night business , 's worthwhile stay . ' ve try make 4 star hotel w. spa , business ctr , free wi - fi , etc . substance not really . $ 85 night worth would disappoint pay . 
 Apr 14 2009 	 Quality hotel decent price 	 husband book line get great rate two night . staff friendly hospitable . free breakfast include waffle , fruit , bagel , etc . lobby warm cozy really nice bar open . I leave comment card first night say clock room would nice voila , clock radio next night . not mind small room since two we . let know want room bathtub though room walk shower . I would definitely stay ! 
 Apr 6 2009 	 good hotel ' ve ever stay ! 	 hotel amazing ! every staff person encounter fantastic . front desk quick check - in also go extra mile help we find personalized birthday cake . doormen great fun , even give we umbrella trip back airport . location excellent would highly recommend hotel . room immaculate ( along rest hotel ) bed incredibly comfortable . downside even think room bit small even four adult , manage fine . will definitely return ! ! ! thank Hotel Felix great weekend ! 
 Apr 6 2009 	 good hotel friendly helpful staff tiny room 	 Hotel Felix open week stay , teethe problem forgive . example bar not instal , look like fine . staff helpful ( direct we good local restaurant example ) , good free internet access & amp ; basic ok complimentary breakfast . the location convenient 5 minute walk Water Tower Michigan Avenue . good restaurant nearby ( Quartinos Fogo de Chao example ) .However , one thing can not improve time size room . bedroom tiny , hardly space walk around bed . two open case mostly use . travel light , might ok . 
 Apr 6 2009 	 nicely remodel hotel good location 	 Hotel Felix newly remodel property open guest March 2009 . location excellent , couple block Michigan Avenue ( Magnificent Mile ) near lot popular site . hotel modern slightly european decor . room small bit cramp , space utilize well . small room really problem people be probably come part Chicago hang room . staff attentive helpful . room bulbs lamp non - functional phone check . fix immediately . bed comfortable . hotel try green , valet parking free hybrid car . otherwise be pricey $ 42 / day . little confusion check - out . have already pre - pay Hotwire , ask pay . problem solve however really issue . overall nice place , great location heart Chicago . 
 Apr 5 2009 	 nice family kid 	 Felix new clean hotel really friendly helpful staff . problem room absolutely small . could enough one person two adult baby . really enjoy breakfast friendly staff recommend hotel family kid . 
 Oct 14 2009 	 Bien ubicado 
 Oct 1 2009 	 Maravillosa estancia 
