maybe 	 let say hotel not really bad thought going get little . room good size . room really not update clean matter ( least not ) . family two room hotel room much well update compare . room & quot ; non - smoking & quot ; room , find cigarette butt floor living area leave see cleaning person would ever pick . unfortunately , answer & quot ; & quot ; . many maintenance issue room address obviously overlook . one think probably important metal handle tub faucet extremely hot even turn water . cold water come , scald water . hotel personnel always personable complaint . even fact travel teen ( boy ) overabundance teen throughout hotel , especially casino behave way hope son never . ' m hotel snob guess like little well . 
 Staying Orleans Hotel 	 strip cheap fun ! room nice huge variety place eat . fun atmosphere ! 
 Nov 4 2008 	 nice ' stay 	 wife enjoy Orleans least year last seven year . always find good value give location , accomodation , restaurant , amenity . year , major problem . write return Halloween weekend would like mention couple thing . first , one night wake 3 a.m. sound sound like loud buzzing , almost electric vibrate sound . seem originate near door . inspect area find actually air current pass door jam . weather strip area vibrate due high wind pass hall . endure situation night , want bother maintenance people late . next morning call front desk inquire , actually much help . tell happen lot room outside wind start kick current draw elevator shafts floor , cause door vibrate ? ... anyway , tell stuff towel door keep wind come . not know help wind die next day . secondly , think hotel strive provide everything average visitor might need location not go place else .. , restaurant , spa , theatre , bowling alley , arcade , gym , pool , etc . think goal keep site not go gamble another hotel . none facility top rate , adequate . 's way give cost thing , fact really can not specialize one thing ... be okay , traveler not going need high end stuff , Lots hotel not half stuff Orleans . want first class stuff , guess book Bellagio , Wynn , Venetian ..... ka - che $ $ $ $ guess ' m say would go back unless find well value someplace else ... hope help . 
 Nov 4 2008 	 comfortable stay 	 stay Orleans Hotel & amp ; casino 2 night . location strip , couple mile strip . room clean furnished view pretty nice ( stay 11th floor ) . surprised bathroom roomy clean , however lock slide door . thing fond $ 5 service charge per night even though make phone call use coffee machine . pool big , shallow close early . would recommend stay budget want get away traffic chaotic check - in . 
 Nov 2 2008 	 Excellent Value ! 	 nice room price . casino great , good air quality compare small casino . comfortable . cheap good food mexican restaurant casino . great happy hour price . shuttle convenient , busy time . can not always count get , may wait next one . less 10 minute taxi ride strip . 
 Oct 31 2008 	 Read decide ! ! ! ! ! 	 bad experience ever hotel . keep simple rather rant rave awful stay . trust one ..... ! ! list : 1 . unfriendly staff ( especially front desk ) ! ! ! ! ! ! 2 . room smell bad ! 3 . pillow flat uncomfortable ! ( enough ) 4 . blanket bed ! ! ! ! ! ( give something resemble thin sheet call duvet ( comforter inside ! ) duvet .... duvet ! ! ! 5 . housekeeping staff knock ( like bang ) door 7:00am & quot ; room check & quot ; h -- -is ? ? not sleep Vegas ? ? 6 . tv 's old not work well ! 7 . .... pay top dollar ( weekend ) ! ! ! 8 . ...... also ..... tell & quot ; authorize & quot ; $ 100.00 credit card actually charge $ 100.00 charge card check price room ( first $ 100 fall account 5 - 7 day ! ! ! ! ! ) . 9 . trust ....... keep look ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! hotel worst ! 
 Oct 30 2008 	 nice large room not eat 	 first time stay strip Vegas . not feel isolated rental car lot drive casino get bore w / Orleans casino . hotel room large , comfortable easy access . bad bathroom design . slide bathroom door close w/o lock . toilet shower / tub combo one section bathroom w/o door . section sink closet . restaurant service terrible 4 restaurant go , include buffet , Fridays , coffee shop Prime Loft . 
 Oct 27 2008 	 value money ! stay ! 	 wife return 7 night stay Orleans Hotel & amp ; Casino . mid 30 ' travel quite lot , include Las Vegas 3 year previously stay Luxor . thought … we arrive around 7 pm Thursday evening check queue short line quick . try $ 20 trick ( slip $ 20 bill credit card pass clerk ID ) ask non smoking , high floor , recently remodelle room available good view strip . clerk see 20 , grow big smile , take like lightning , quickly glanced side side , say would sure could find we something would happy ! success ! room fabulous , big spacious exactly ask great view whole strip ( distance ) . first thing notice room absolutely evidence smoke . stale smoke smell perfect , general cleanliness whole room absolutely spot . 7 coat hanger hang area ( section next bathroom ) call housekeeping ask 10 bring room within 15 minute . head casino first time quite overwhelming ' huge place . wander around get bearing , drink , play load slot hour . however , every time sit machine touch metal part get static shock . 50 get really p * sse decide change shoe think may footwear related problem . nope , still get ! Aaaaargh ! pain holiday – static shock almost everywhere every machine , every casino ! place ' get bad Palazzo casino . anyone else get ? wife ? ! anyway back review … we eat Miguel ' restaurant first night pretty good . usual standard mexican food salsa ( come complimentary tortilla chip ) well tasting eat anywhere Vegas ! number restaurant food place hotel eat time , manage try Orleans French Market Buffet Subway . breakfast buffet easily good value money find anywhere , quality good . eat breakfast day , apart Planet Hollywood , find price difference huge difference quality selection minimal . Stick Orleans buffet breakfast will not go far wrong ! also , sign Club Coast player card receive $ 5 worth free slot play $ 1 discount per person visit buffet , make good value breakfast eat available . also Coast Card get 10 % discount hotel shop include gift shop . back room : furniture ' wear ( reviewer state ) yellow / gold pattern carpet look quite new minor stain . artwork wall good colourful light lamp everywhere ! seat area close big window nice full size french style couch ( finish wood detail ) armchair relax . large air conditioning unit work great wake we first night ' quite noisy . able find switch anywhere , call maintenance come first thing next morning . guy tell we change control panel set " economy " would switch system change set auto , slow full . problem solve ! people express disappointment wall thin ' glad say ' experience problem noise – one bit ! door close ' hear peep next room either side corridor whole time . couple thing wife ask mention small pattern window bathroom high end bathtub could open wide let fresh air nice . also like fact cup bathroom quality plastic cup single use ( disposable ) seal , nobody use . coffee maker room range different coffee disposable Styrofoam cup also bonus . the distance room casino easy make nice change - stay Luxor previously 20 minute hike room casino get really annoying day . ' glad say Orleans completely opposite . one reviewer mention hard find room time due lack directional signage . , problem – enough directional sign even floor plan guide post wall close elevator . another thing , previous reviewer mention , get dressed dinner . must admit , experience say dress good stuff look smart , feel little place sometimes . people Orleans wear casual stuff like short t - shirt throughout whole stay include evening . the pool ok , ' find anything write home . plenty lounger free towel available guest collect enter pool area . 2 pool , one shallow kiddy pool large main pool . problem area big hotel tower block sun sun main pool hour per day , good sun worshipper ! issue may increase visit October sun low sky , ' sure . another thing little annoying plant area giant air conditioning chiller unit service hotel right next pool terrace , could hear permanent constant noisy " hummmmmmmmm " throughout whole area . certainly relax want chill pool . back inside hotel ' hulk cavern casino , 5 separate bar ( much ) dot around casino floor , big one middle next sport book small comfy seating area table one side enjoy drink . good thing stay Orleans everything inside well price . bar offer bottled beer $ 1.50 spirit mixer $ 3.50 . world apart buy drink casino bar strip would easily pay least $ 8 per drink . also small cabaret lounge live act nightly , mostly band playing singer . additional bar locate Brendan ' Irish Pub one corner close buffet . disappointingly lack theme seem every bar casino . could tell kind half hearted attempt irish pub little wood panelling bit boring . bad still , kill Karaoke time drive people ! never see people . want visit real irish pub , next hotel across shuttle bus pick point , McMullen ' Irish Pub . visit enjoy drink lovely atmosphere authentic décor , like Ireland ! shuttle service strip convenient great way save money pay inflated taxi fare . couple occasion unable catch last shuttle back strip 12.30am , taxi fare around $ 14 inc $ 2 tip . shuttle never full run every 15 minute day little less often evening ( probably every 20 min ) . quick service bus driver sure know put foot get quickly ! small issue service ' actually start 9.30am . day want early strip , get cab . overall , yes Orleans predominantly local hotel great deal tourist , ' , affordable alternative sometimes extremely expensive strip hotel . ' great place stay ' sure people would find nice well lot place strip . mean , look Tropicana instance – place pit , ' ' knee beyond refurbishment ! Orleans ten time well , way cheap ! look hotel load facility , big clean room , good theme , well price food drink , huge casino wide choice gaming , price break bank – ' sure will not go far wrong staying . enjoy ! 
 Oct 25 2008 	 Great usual 	 son Orleans Hotel Oct. 8th -13th , 2008 , always , enjoyable stay . find hard believe anyone would dissatisfied Orleans . stay hotel least six time past several year , 's favorite hotel Vegas . room large , housekeeping excellent , personnel pleasant , restaurant good , room reasonable , video poker machine generous , entertainment great , get around city easy free shuttle Strip . negative say area around Tropicana Avenue hotel locate seem go , would feel completely safe walk alone area . , time spend inside hotel tour Strip . also , go sister hotel , Gold Coast , play bingo ( transportation provide free hotel shuttle ) . find reviewer 's comment early post regard bed bug absolutely unbelievable compare experience Orleans . 
 Oct 25 2008 	 Good Value 	 stay week .. past 30 year stay wide variety Hotels strip . stay recommendation family member . price less half would pay strip . hotel room 8th floor view pool . room quiet , clean bathroom always clean well supply . rent car trip back forth strip see show breeze . ( shuttle back forth strip ) good selection restaurant good food good price . yes , hotel little old strip hard beat value . check in / out quick find staff friendly accomodating . meet standard Wyn Bellagio price pay comfortable room extremely good value . 
 Oct 23 2008 	 price can not beat - great stay 	 Vegas wedding want stay west side strip - hotel send we & quot ; come stay & quot ; $ 130 1st night $ 35 rest stay ( stay 4 night ) friend Vegas say 's stripe 's GRAND 's great local hotel . decide stay . couple day trip check hotel website etc check cost time $ 47/67/25/25 - litlle cheap call say price happy give ! ! ! 4 night stay 166 - bad price get . 17th floor room HUGE ( 1 king ) nice sit area large bath room . nothing wrong room - though one reviewer say wall thin notice noiser group come hall not enough upset - hey Las Vegas . one complaint tv - many channel old tv suspect change age digital believe come effect spring 2009 US . casino nice - crowded find bothersome strip hotel . rental car not use shuttle - one . staff friendly helpful - would stay heart beat . 
 Oct 21 2008 	 Great Stay 	 definitely would stay Las Vegas already recommend friend . stay , always stay Strip . decide give try see TripAdvisor report . glad . initial getting know place – use stay slightly small place , experience good . staff dealing exceptionally helpful friendly without top . room large comfortable , air conditioning work well – noisy bed comfortable . pool lovely – nice surrounding plenty room swim . crowd . eat Prime Rib Loft really enjoy meal . one good holiday expensive . also eat TGI Fridays good well . try place eat . Shuttle Bus strip work well – long wait 10 minute either way drop diagonally opposite bellagio , convenient . self parking bit walk know go acceptable move walk - way go parking lot . bad thing parking check space limited . two us ok check partner wait car space . time limit think 15 minute space one soon become available . room good value mid week weekend well , event Arena room reasonable – still compare well venue . 
 Oct 20 2008 	 Great Bargin 	 decide try & quot ; strip ' & quot ; Orleans quite pleased stay . shuttle drop right across Bellagio seem fairly regular . pool large kiddy pool large jaccuzi well . room LARGE nicely appoint . try lunch buffet good . casino not large get lose band playing night stay . stay midweek $ 80 second night free ....... great deal ! ! ! 
 Oct 20 2008 	 good stay good meeting fun hotel . 	 idea negative review property come from . we hold week long meeting , attendee express opinion happy venue . room nice . meet organizer , get bump suite , incredible . coworker standard room , also please . good variety dining option . food service meeting outstanding , try wide variety offering continental breakfast , lunch , one group dinner . sale , banquet , business center staff helpful accommodating . front desk staff accommodate , . relatively small group compare number room hotel - , although sale banquet treat we important customer , front desk treat we annoyance day special meeting rate book we . for organize meeting , sure special deal concession write . communication among department hotel great , memorie phone conversation short . problem way . overall , happy meeting . sure attendee understand , though , hotel middle Strip . expect center thing , may disappointment . only real complaint , rate everything overall good , phantom charge extras reason expect . even extra charge , though , place still relative bargain Las Vegas . could easily increase rate , overall , eliminate extra - would happy dealing staff , hotel would lost revenue . overall , would go back meeting . intend go back vacation . casino nice , publish internet rate attractive , even put together package include Orleans . 
 Oct 20 2008 	 Mediocre good dat 	 husband local go see show Orleans Arena , find rate $ 65 / night , decide spend night . speak potential people think stay , expect something hilton marriott offer . carpet stain . room large enough , bathroom average . obviously not change roll toilet paper bathroom prior arrival . definitely would not stay . expect , read room Suncoast . hotel par Suncoast though . main dislike place try search entrance near actual hotel check . good luck find . park parking garage casino searching . sign . like say , compare place normal major brand hotel , not compete . 
 Oct 15 2008 	 avoid Orleans Costs ! 	 bed bug , rude management , unhappy employee . not waste money hotel - work hard money . spend little get pay ! 
 Oct 8 2008 	 Comfortable Casino 	 everything Orleans . eat , drank , gamble , bowl , see movie , get hair cut . everything satisfactory get hang people like -- casual . comfortable Wynn Bellaggio -- be fancy -- give Orleans day . slot pretty tight , dozen casino check . 's start roll dice -- quite well . rate fair , room comfortable , staff pleasant . like Orleans . 
 Oct 7 2008 	 Comfortable Casino 	 Orleans comfortable fun . sleep , eat , gamble , bowl , see movie . also get hair cut barbershop . service good value level entertainment . slot tight , almost dozen casino check . play crap make wife 's loss . feel lot comfortable Orleans glitzy place like Bellagio Wynn . orleans style shall return ! 
 Oct 5 2008 	 MGM Grand 	 use place convention past 4 year , room hard find sign anywhere one walk 5 - 6 different section . check always slow . check avoid check tv . basically local hangout , ; downright addicted gambling . staff go downhlll past two year . still helpful type though . unless get place feel capure . near main strip . yes shuttle BYD casino . cab NYNY MGM Grand 15 bucks/20 tip . the Orleans seafood good , ; restuarant chain like Fridays . burger , pizza , Fridays fan , like great prime rib place . the Casino switch three tier player card system like Harrahs . dump 2 - 3 k gamble 5 K 4 day cash 13 buck play 25 buck worth credit . hate comp here . however , price right budget . room clean , coffee maker , plus iron safe . AC freeze . could dump place 5 - 10 like inside MGM Grand MGM Grand would still less walk . the problem sign post find room / elevator cutoff back place . recall main cashier table game find room . the restroom long walk slot table game . . 12,700 plus jackpot 06 lose , . see local come . know come 3 - 5 . take note time . 
 Oct 3 2008 	 Good Value 	 stay twice two consecutive Sundays begin end long trip . check - in easy fast , room clean large , bed comfortable CHEAP . room excellent , buffet well average , location bit poor - casino within walking distance . 
 Sep 30 2008 	 not gamble 	 great place stay eat , clean large room , good food reasonable price , & quot ; WARNING & quot ; .... , , , repeat . , , , notgamble slot video poker ...... machine set sooooo tight , make airport machine seem loose , recommend stay eat , favor take shuttle go elsewhere play machine , find downtown machine good ....... good luck .... 
 Sep 30 2008 	 Loved Orleans ... thank ! come back ! 	 visit Orleans host hotel Awards Show & quot ; Hoodie Awards & quot ; . Annual Awards Show . enjoy casino hotel . attene Awards show Orleans Arena ... nice facility . what great place ! room spacious safe ( bolt , never disappear ) . slide door get bathroom , huge tub window open ventilation need . nice sitting area . lot drawer space ( least 4 day visit ) .Happy Hour Miguel 's ( 12 noon-5 pm ) ... 99 cent Margaritas 50 % appetizer ... enjoy .. ! Courtyard Cafe ... great food anytime . thoroughly enjoy pancake almost every day ! friday , pub 3 - 4 restaurant / eatery casino . terrible Liquors inside hotel ... great price open midnight . get Coast card enjoy dollar percentage thing around casino . plenty slot , table , Keno , place gamble throughout casino . not forget check Movie Theater , Video Arcade Bowling Lanes ( check weekday night price u get ... GREAT DEAL ! ) free shuttle nice free . take almost mid Strip . corner Paris , Bellagio Caesars ) . enjoy Orleans much , want go back strip hour . there walgreen 1/4 -1/2 mile Orleans ( walk away Strip ) . great place get souvenir . gift shop nice Orleans well . great postcard price price jewelry snack well . enjoy Orleans ... ! 
 Sep 20 2008 	 good 	 money Orleans good value would pay lot UK stay less hotel . downside place though . Vegas glitzy glamorous town , get dress go Orleans eatery casino feel place . market buffet market , miserable waiter , drab decor , bad odour , greedy americans pile plate high sort . cleanliness room decline recent time , wardrobe open plan bathroom nice either . carpet casino filthy give casino bad odour . visit Hilton stay notice nice brass glass keep entrance door , Orleans entrance door dirty unkempt . tight budget go otherwise note hotel much decline 
 Sep 17 2008 	 absolutely Excellent reasonable price 	 eight block strip plenty glitz . spacious clean room feature , hair dryer phone bathroom - 1/7 price fancy strip hotel conference hold . adequate pool fancy extended hour . friendly helpful staff security station hotel elevator . hotel ever stay brass bathroom fixture ! ( probably mistake show bit much care brass fixture really require , grungy . ) park front rather suggest ramp find several free drink coupon car . Sign free Coast Club card even gambler discount onsite restaurant etc - include free spin slot . buffet food okay carefully select , suggest ( popularly price ) restaurant instead - wonderful neighborhood tavern directly across street : McMullans , real irish food music sometimes even stepdance . con : limited number tv channel ; $ 5 daily ' resort ' fee add post negotiate rate ( include free local 800 call ) . neighbor complain odor similar hair salon strong near elevator ( 13th floor ) faint room , bother we know permanence . 
 Sep 14 2008 	 good ! 	 Good Hotel friendly helpful staff . large room , separate couch area room . one look las vegas strip . great view ! ! ! 
 Sep 11 2008 	 satisfy 	 hotel opinion great . room nice , good sized , bathroom large hotel standard . everyone dealer , waiter , desk clerk friendly . negative could say two restaurant try well , o.k . loved 99 cent margarita 's mexican restaraunt . would recommend hotel anyone want something strip easy transportation . 
 Sep 9 2008 	 Orleans -- great time ! 	 want stay Orleans year finally Sept. 3 - 6 , 2008 . husband really great time get terrific rate . food fine buffet Courtyard Cafe . husband get prime rib $ 11.95 Courtyard Cafe 2 night love ( really big portion sure probably good Prime Rib Loft restaurant ) . enjoy pool , spa , fitness center . casino small big get lose quite bit money ! go show showroom sit last row seat showroom small enough not matter . plan take free shuttle Gold Coast go Rio Palms end never leave Orleans ! 
 Sep 8 2008 	 always great experience 	 stay hotel twice year every year trade show . 's close Strip . room big . staff nice helpful . great restaurant . Everything Strip hotel offer reasonable earth . deal . 
 Sep 8 2008 	 Great value 	 travel business , overnight . Orleans Great ! early check - in problem , room big , nice desk / work area update bathroom . pleased quality room ! ! hotel large several option food , bar entertainment ! 's close airport easy reach without even get freeway ! would stay , street NY , NY big resort . the price unbeatable , will not disappoint . 
 Sep 7 2008 	 Surprise ! 	 arrive late Saturday evening want inexpensive hotel due late late check . every hotel Strip pricey night . find good deal Orleans . went expect much . surprised . strip big deal . check mention front desk first time Vegas , give we SUITE price delux room . could believe size room amazing . hotel wonderful would stay . 
 Sep 4 2008 	 great usual 	 Orleans always , comfortable , predictable , economical . ( even try 20 dollar trick time hand back ! ) . end new room 20th floor well normal . clean great view . slot video poker seem tight that s probably relection economy . 
 Sep 4 2008 	 possibly new favorite casino ! ! 	 1st time stay Orleans , last ! room large , bed comfortable- nice , pool area nice , beer $ 2.50 poolside ! , restaurant great food reasonable price , 
 Sep 3 2008 	 still great value ! 	 Stayed Orleans 25 - 29 August -- 6th stay hotel 3 year say be still great value ! pay $ 31 / night room new tower ( 9th floor ) two queen bed -- reason charge $ 5 resort fee , be complain ? ? ? also , request refrigerator niece 's medicine charge either . staff pleasant enough disappointed learn ' ve do away coupon book ! pillow still pretty wimpy , request two extra helped & quot ; somewhat & quot ; . pool wonderful , usual , husband still agree Orleans pool one good Vegas -- frill clean always chair available ! slot tight , seem good crowd casino anyhow . oh , not take shuttle , look like finally put rope help que line .... make folk happy . highly recommend Irish Pub next door -- Tuesday night Trivia ( 8 pm ) family favorite . back Orleans Thanksgiving -- - hard stay away ! 
 Sep 2 2008 	 need strip stay 	 August 25th 29th , book air Southwest Airlines room Expedia $ 40.00 per room Monday Friday , many hour trip advisor research settle Orleans . travel vegas least year make pact would stay diffrent reasonable place year . start ten year ago start go West Word Ho , Circus Circus , Frontier , Star Dust , Imperial Palace , Tropicana , MGM , Riviera , last year Mirage . must say none place ' ve stay anything Orleans . time arrive everthe great . check - in breeze bell hop maid , everyone friendly helpful . room big roomier ' ve stay strip , clean well maintain . House keep prompt request . casino floor huge reason visit Vegas Gamble , eat Drink , nothing else . happy casino floor plenty slot well table limit accomadate we low roller . reastaurant good plentiful eat buffet couple time well 24 hour court yard cafe , wonderful breakfast well great late night gambler special . also eat Rib Loft good piece Prime Rib ' ve ever wife sister in - law t - bone good , great service . overall great stay , never make pool look nice roomy . coffee girl Seattles Best coffee super second day know first name need , great staff . overall wife consider go back stay orlean entire time . walk strip get hard hard , strip casino not seem need money cater less less folk like we . see slot winner orlean one day two day wonder strip . although must say go town every year great time day , great Binons also good lobster tail Robertas Cortez .. Orleans favorite place return every chance get . hope help pick Hotel / Casino stay 
 Sep 1 2008 	 Good Place 	 stay Orleans play slot tournament . stay Aug 24th 29th . receive 3 free night pay $ 30 extra night . great stay . also play couple tournament last couple year . go Vegas 3 4 time year . time stay Orleans pleasant experience . time room clean problem . room good size fancy old clean . people come contact friendly exception couple one bar . check - in easy get hotel around 5:00 afternoon . check - out also problem . eat buffet reasonable one dollar care food fine . cost 7.75 card think . mainly eat Courtyard Cafe . think good place Orleans . good T - bone special plenty food . fact plenty food 2 people . good beverage service play especially certain section . friendly . far gambling go break close even play slot . Played crap blackjack okay time time . Played 5 dollar table . shuttle service strip always good time problem . pool area okay elegant . overly populated . alot sun morning . okay . never Vegas would reccomend strip , strip many time casino casino . difference elegance . always hold gambling Orleans stay . plus able get good deal . give try stay . 
 Aug 30 2008 	 Fun place stay ! 	 husband like stay Orleans 's surround hotel . we arrive popular check - in time , line move fairly quick employee friendly courteous . there plenty place eat hotel , not travel elsewhere , not want . not mood gambling , go bowling watch movie . room pretty basic , big complaint would flat pillow . room rate good , still happy stay . 
 Aug 30 2008 	 enjoy place regardless rating . 	 good : Orleans pretty much want off - strip site . like buffet , steakhouse , bowling , slot , video poker , bed . the less : good place night - person . 's way quiet dull taste . either bowl wish asleep room . 
 Aug 23 2008 	 great value price 	 stay Orleans four day week attend convention locate hotel . stay would travel day convention turn stay wonderful stay . second trip Vegas first hotel stay ( downtown Vegas ) , not complete nightmare , leave much desire . Orleans hotel clean , room neat clean comfortable . breakfast buffet French Quarter GREAT . lunch dinner hold banquet room food great staff attentive . hotel staff friendly accomodating . also free computer internet access available hotel guest 10 minute day . complaint class smoke outside room game locate . smoker hate smell smoke ... could tolerate smell walk casino get conference center figure expect really noticable classroom . overall enjoy stay would recommend anyone . 
 Aug 21 2008 	 one regular place 	 get brochure Orleans stay previously often get buy one night , get one free coupon mail . little dated , strip , strange bathroom door , win place not mind little thing . pool huge , off - strip location make easy park rent car trip . shuttle go strip Gold Coast Casino ( near Rio ) . not crazy buffet . go Sam 's Town . 
 Aug 19 2008 	 excellent off - strip hotel 	 new favorite reasonably - price hotel Vegas . course not nice Bellagio , room nice less $ 50 per night . room large even sofa , chair coffee table . mattress comfortable , one moisture - resistant mattress pad . remove make sweat . 's coffee maker room , in - room safe iron board . bathroom large nice well , even phone next toilet . charge $ 5 per day per room & quot ; resort fee & quot ; silly ( not charge $ 5 room rate ? ) . fee include phone call , 10 minute daily internet use business ceneter , use fitness center . fitness center look brand new new nautilus equipment , plus many type cardio equipment . 's also shower , steam room , etc . maybe lucky , room quiet , barely hear noise guest . 's big parking garage back bit far room , valet parking free not mind somebody else drive car . 's mile strip , free shuttle . ' ve never Vegas , will probably want strip action , veteran would happy . 
 Aug 16 2008 	 pleased : _ ) 	 daughter return early morning first trip Vegas , choose stay away noisy strip . extensive research hotel would stay actually go , Orleans . check little wait , assign room . enter room please size cigarette smell : _ ) room ( standard ) clean tad bit date . however functional pretty nice size bathroom really roomy . although gambler way , still enjoy thing Vegas offer . take hoover dam mini tour blow away . also madam tasaud 's exhibit Venetian ..... waste $ personal opinion . N.Y. 3 hour time change ; get & quot ; list & quot ; see magic show , siren show T.I . small attraction strip . visit every hotel strip ooh Aaah shop . ( LOL ) conclusion , thought visit Vegas first time totally prepare bring comfortable footwear . prepared chase pushy time share folk strip promise get show free . ( not fall ) take cab cost grip cabby claim & quot ; mam .... know short way get & quot ; bunch bull ! ! ! ! cost $ 30.00 go circus circus visit . back ? ? ? ? be big maybe . realize take monorail save agony painful blister foot walk strip 108 degree weather : _ ( enjoy self . wish could stay past 9:00 remember .... hotel clean , affordable reliable shuttle service take guest strip every half hour . give try ! 
 Aug 14 2008 	 favorite affordable Las Vegas Hotel 	 something want share fellow traveler ; Vegas day ago discover $ 100 dollar bill miss purse . thing could remember prior leave $ 2.00 tip maid . thought may accidently leave $ 100 dollar bill tip . know leave tip late retrieve ; room would clean hour make discovery . well , low behold , husband return room maid take tip – $ 101.00 tip . still desk leave . stay Orleans , favorite hotel . ' strip many may ever hear . ' good feeling know still lot honest people world . 
 Aug 12 2008 	 great Stay usual 	 return 9 night stay Orleans . stay many many time always happy . offer $ 29 per night Sun - Thurs $ 90 Fri & amp ; Sat . check - in ask upsell one - bedroom suite stay . additional charge $ 25 per night week night $ 50 per night Fri & amp ; Sat . suite recently redo beautiful . new carpeting , new furniture , 2 huge wall hung plasma tvs . one living room one bedroom . 2 additional tv well . one bar area one bathroom vanity . large bar area 4 bar stool refrigerator housekeeping stock daily bottled water . satisfied restaurant Orleans . favorite Prime Rib Loft . excellent meat great attentive service . notice occasional sulfur smell hallway 21st floor odor never come suite not really bother . Orleans great value Vegas can not imagine stay anywhere else . be look forward next stay 2009 . 
 Jul 31 2008 	 Hidden Gem 	 third trip Las Vegas . stay previously NYNY HGVC Flamingo far good trip . really not leave hotel entertainment since be pretty much resort . use lovely pool area every day . quite relaxing area shade around noon . umbrella available otherwise well maintain clean . hear casino smokey , really other strip . harrah bad smoke . visit strip twice whole week since pretty well casino slot . Miguel 's great place go happy hour 12 til 5 every day half price appetizer $ .99 margarita . breakfast dinner buffet excellent inexpensive . room non - smoking room , large clean . liquor store premise pleasant surprise reasonable . use free shuttle strip seem arive every 15 minute extremely convenient . driver friendly employee Orleans . ' m already look stay near future . thank everyone great vacation . 
 Jul 30 2008 	 horrible bed will not stay 	 stunned positive review hotel . experience good not specific thing happen general overall unfavorable experience . check take long time arrive room open still clean . non - smoking room could smell cigarette smoke coming turn AC . bed horrible - uncomfortable , low quality sheet plastic liner underneath crinkle every time roll . mattress sag pillow hard foam ( 3 king size bed ) . neither husband , , mother ( another room ) sleep well . soundproof room non - existent . find room decor tacky . room refrigerator mini - bar . there long wait elevator every time . 6 elevator side seem like two work give time . 15th floor every time try go lobby , elevator pack , stop every floor people wait get . became run joke among guest elevator ( ' how many floor stop time ? & quot ; ) .We decide stay everyone else family event stay . positive thing say room size decent . pay $ 125 per night . next time spend little something much well . 
 Jul 25 2008 	 another Good Stay Orleans 	 great check - in . first line . room request fill without problem . room still nice clean . problem parking garage first floor even busy date like July 4 5.the carpet hall outside room show stain . see . July 4 5 , although hotel nearly completely sell , elevator quite crowded sometimes need wait one . one time wait 5th elevator . ice machine also one day . coupon book check - in . ask discontinue they . Buffet great . line move fast even July 4 5 . sign ( first time ) player club ( Club Coast ) , give coupon free breakfast lunch buffet . instantly use it . Stayed 7/1 - 7/5 . pay $ 23.40 per night first 3 night $ 61 Friday , July 4 plus get $ 50 gas card Expedia . would stay . one week prior stay South Point Hotel new nice room little main strip vs . Orleans . 
