Best 	 stay Langham 5 day Thanksgiving holiday . good service moment walk door check . place clean , bed great , service amazing . ask bucket ice one time , get 5 minute . watch service charge , though . order room service , will get service charge well tray charge . coffee water cost 15 GBP . also charge use internet - 7gbp 40 mintue computer center , 20 GBP hook laptop . need internet , 's internet cafe 2 block away 1gbp 1 hour . need water ( beverage ) , 's newstand block away leave side Regent St , 1.5l evian cost 1.45gbp . avoid eat hotel 's expensive . be many good restaurant within walking distance . Soho 20 minute away foot ... will not even feel long since be many thing see way . 
 great service amazing room 	 stay Langham first wedding anniversary . room amazing , staff great make we feel really special . there two thing let hotel , long wait cab fact key card disable first night . oh , watch service charge , be add * everything * 
 good London hotel stay ! 	 moment arrive outside hotel 's grand facade , feel though special treat ... nothing Langham disappoint . book room 2 night celebrate partner 's birthday . room upgrade arrival , receptionist wish happy birthday ; escort suite . find fresh flower fruit , gorgeous little cupcake ' happy birthday ' ice plate , handwritten welcome manager hotel sumptuous look bed would ever see ( not disappoint either - like sleep air ) ! set tone wonderful weekend . breakfast morning - room , ' the Landau ' - meal fantastic . ambience Artesian Bar wonderful ; champagne chill perfection . nothing much trouble . really treat like royalty . location hotel fantastic ... couple minute walk Oxford Circus tube , able walk theatre , good restaurant , shopping Regents Oxford Street . could not ask anything , not want leave ! disappointment forgot take swimwear , not experience spa . will save next time ! 
 Feb 9 2008 	 do not waste money 	 would not stay recommend . book hotel due promise view location birthday treat . location plus . ' upgrade ' really old tired room view . smoking room although partner not smoke , guest corridor . not pleasant smell . decor room old andt stains carpet bed linen . hotel renovation close , mention book last November . sorry Langham , could much well adjust price , room two night breakfast two ( £ 62 ! breakfast one morning alone ) come £ 710 . really worth consider 5 * hotel . 
 Jan 23 2008 	 lose gloss ? 	 enjoy Langham , ' m sure really live 's price tag anymore . think would depend want stay . special occasion , maybe still think probably ' special ' hotel around price . stay 2 young boy . convenient Oxford Street , Regents Park ( although way could see Regents Park room ... good 5 - 10 minute walk ) , bus Underground . use lovely indoor pool every day hot tub long nobody around ( 16 allow ) . would love try massage spa treatment book whole time book ahead . room nicely decorate clean although bathroom enormous , room smallish . personally , give nature trip sightseeing soccer Wembley , young child would happy back Thistle Marble Arch stay last time convenient half price much much well family accomodation . 
 Jan 23 2008 	 bad ... issue pleasantly resolve 	 book Signature Suite celebrate husband 's birthday . reason pick Langham website describe suite & quot ; stunning view Regents Park & quot ; . check , upgrade Presidential Suite , overlook park ( fact , roadwork outside window ) . phone reception ask could & quot ; downgraded & quot ; really want view , inform none suite overlook Regents Park ! ! cut long story short , fill comment card leave room also complete online survey send home , express concern mislead content website . the response Langham comment generous extreme , offer we guest free night 's accommodation Club Suite . reliably inform website also change reflect accurately view room . on general note , service absolutely outstanding much look forward next stay elegant convenient hotel . 
 Jan 20 2008 	 hotel ! 	 stay Langham Hotel day half ( January 15th 16th ) could not well . hotel awesome , great location ( step Oxford Circus station - exit 5 ) staff , helpful friendly . I book standard room , give upgrade stay Jr. Suite , room great space , big bed , enormous tv wonderful room service , great price too . my birthday could not well . 
 Jan 15 2008 	 Langham Luxury 	 stay Langham December junior suite share 13 year old daughter . treat Xmas take clothe shop Xmas money Ivy dinner Theatre . the Langham beautiful look hotel fantastic location . room ready arrive porter take care bag whilst go shopping lunch Ivy . arrive back Langham around 4 pm , collect room key bag already safely ensconce room . the room adequate size sofa bed make great deal room move around ( although common Central London hotel ) . notice noise room – either tube beneath street . bathroom large spacious , well equip , good toiletry good shower hairdryer ( per hotel one ) great . bed comfortable . on return theatre later evening , decide nightcap , rather embarrassingly , ask leave daughter we . issue wish sign door explain access over-18s simply would enter . instead however , able order drink bar area adjacent restaurant ( re - opened week ) . bar service exemplary cocktail wonderful ( expensive ! ) order room service breakfast morning nice serve promptly although really justice ( lunch Ivy ) . leave bag porter check return lunch taxi . even get taxi bell boy ask ticket whilst wait bring bag cab . all pleasant stay truly superb service feel traditional Central London 5 Star hotel - ' pay rack rate great deal around . 
 Jan 14 2008 	 real Gem ! 	 hotel real gem . stay many London hotel past unsure expect . arrive Xmas day 2007 greet friendly , helpful kinowledgeable staff . I book junior suite wewere 2 adult 2 child ( 9 & amp ; 12 ) . room spacious , clean great view London ( London Eye ) .centrally locate , be 2 minute walk Oxford Circus right heart Regent Street . many shop , restaurant , take out etc within minute walk . the kid enjoy indoor heated pool too . I would reccommend hotel anytime . price wise ..... cheap get pay . 
 Jan 7 2008 	 Great Hotel London 	 work trip , hotel ofetn nothing blur . but really like one , especially give London lot good - lot good - hotel . I like room size , bathroom decor , location ( close Regent street shopping madness , tube , high end casual restaurant park ) , early breakfast buffett ( juice muffin reception 6 am , restaurant open hour later ) , general happy , helpful feel hotel . compare London hotel .... mile front . 
 Jan 4 2008 	 Lovely Langham 	 stay two night impress grand old lady hotel . exceptionally attentive staff , perfect location central London , plus charm come stay hotel ooze old world charm . highly recommend . 
 Jan 2 2008 	 worth money disappointing 	 stay Langham New Years treat wish pay attention negative review rather positive ! thought would give try people obviously like , really wish have not ! spend alot money suppose special treat get disappoint . lot business travel therefore plenty hotel compare Langham do not come favourably . plus side hotel excellent location shopping also look quite nice outside . however , inside lobby decent overall feel wear - out hotel . old elegance , do not mean neglect change wear - out carpet wallpaper ( room actually blood smear wallpaper ! ) .We book executive king look like standard room hotel . guest remark view nothing write home about . the first room give incredibly creak bed ( perfect romantic weekend ! ) pubic hair bath tub ! obviously call right away get new ( hopefully clean ) room . take 50 min arrange even though move next room . meanwhile also seem forget luggage , however eventually show new room . the decor room decent traditional floral british style . tv small old tv find unbelievable . hotel stay least flat screen plasma ! since want relax stay time spend room happy . the service front desk , restaurant ect neither bad good . expect 5 star hotel , confidently say get much well service business hotel normally stay even though might star less . request late checkout ( 1st January ) coldly turn waiter Palm Court restaurant stress feel bad ask anything . we meal hotel besides ' english breakfeast ' order along booking . big mistake . ' english breakfast ' turn sorry excuse breakfast buffet Palm Court restaurant . worst ever , 20 £ per person ! Extortionate ! always enjoy able go relax breakfast rip - off make feel like fool good cafe street ( Paul good choice ) .during stay look forward relax pool day january sale shopping . well bad pool order 2 night stay ! really , whole experience verge ridicolous make use feel stupid waste hard - earn money ( 600 £ two night ) never recommend hotel anyone go far actively discourage people waiste time money , obviously much well value money experience London . 
 Dec 18 2007 	 Hotel Great Location Great hidden supprise 	 although acustome staying hotel caliber yet use london hotel scene may mean area review may little naive . I stay Langham Partner weekend 15th december 2007 . book website get reasonable price £ 162.00 per night standard double . special occaision go make theatre break speacial . first hotel appear well locate nesstle major shopping area build deffinately wow factor inside . room small need little work bring scratch fantastic view across city ( 9th floor ) nice bottle champer room , nice touch . upon arrival point instead 5 star experience getting mention website include , service necessity break add bill similar book ryan air flight . use spa swimming pool facility extra £ 20 per person cook breakfast top ' buffet breakfast ' , saturday stay would extra £ 27.50 ( La Carte , buffet mention website ) sunday extra £ 8.00 . still get explanation buffet breakfast suppose include end stay ! ( first day appear 5 minature croissant , hardly 5 star ) second day slightly well choice meat cheese go it . in conclusion hotel lovely service breakfast worse ever experience stay travel lodge ! 
 Nov 28 2007 	 quite quality hotel 	 stay 1 night whilst London see show . hotel well locate top ( quiet ) end regent st . room good size bit expect 5 * hotel . staff friendly breakfast artisian bar good unrushed . 
 Nov 18 2007 	 hotel soul 	 stay two night Nov 08 business trip . staff friendly anh helpful . room clean , quiet , otherwise ordinary . like location . 's easy get around London take less 5 minute walk Oxford Circus tube station . 
 Nov 14 2007 	 Central Retreat 	 Langham great stopover business city break - handily place near crush shopper Regent / Oxford Street easy walk Oxford Circus tube . surprisingly quiet central hotel . discount room though pay extra away lift public area - maybe little far seem quite trek fault . refurbishment go ( Nov 2007 ) view building site uninspire overnighte party great deal we . weekend sure quiet enjoy might different workday . & quot ; & quot ; London might want bit specific room view . public area grand would expect one London 's grand hotel . staff attentive plentiful . pool small pool London plus ( area hotel notice slippage standard - pool area untidy glass staircase miss cleaner ' rota ) . gym steam / sauna good - steam room design litigation mind consent user stick towel gap bottom door -and bingo ! could slightly less rapacious fridge . bring back fruit water space . lift bottle place make space automatically get add onto bill ! minute walk Wallace Collection - phone ahead try get one tour . 
 Oct 23 2007 	 Fantastic Hotel 	 stay Langham Fri / Sat night weekend London theater trip . everything stay PERFECT . family 4 give extremely large suite include 1 king bed , room , sofa double extra bed . plenty space beautifully appoint suite . stay quiet due double pane window . staff friendly go way please . theater ( Palladium ) also short walk Langham . London expensive city current exchange rate , quite costly Americans . splurge , however room rate much decent hotel London consider would book 2 room family place . rate work 118 GBP per room per night bad consider quality product service receive . room service one evening everything delicous , plentiful reasonbly price . highly recommend . 
 Oct 23 2007 	 underwhelming 	 bit ordinary , tediously decorate room , ok pool , yawn ..... much well place stay London . 
 Oct 13 2007 	 good choice London perhaps soon even well one 	 London lot hotel rate ridiculous . either stay top market pay among high rate world try select modest hotel find bunk iraqi terrorist . know hotel market world get less value money London . the Langham one hotel top market London , experience somewhat realistic pricing demand generally smug self - satisfied competition . even well , Langham comfortable , well - locate , dignified , discreet . hotel undergo rolling rennovation program last couple year culminate next year half room shut late 2008 complete remodeling . hope not raise rate much finally do . Dream , huh ? 
 Oct 12 2007 	 love Langham 	 whenever London , least year , stay Langham . home , simply love hotel 
 Oct 7 2007 	 average 	 get theatre hotel deal lastminute , whilst pay great deal stay , still feel somewhat disappointed hotel . entrance public room lovely look forward see room . could anitcipate quite mediocre room . small , shabbily decorate quite poky . bed probably old hotel , could feel every spring poking . hotel manage keep five star rating mystery , go back four star Kingsway Hall Covent Garden , usually stay fall cut price deal suppose five star hotel . aside staff truly charming help redeem experience little . 
 Oct 6 2007 	 great location - ok experience 	 like stay near Bond Street Oxford Street shopping convenience usually go claridge . time could not face rate Claridges determined try somewhere nearby reasonable . location Langham good need ( 3 min walk Oxford Circus ) . good pricey lunch bar ( £ 14 2 bottle water ) . room disappointing . Shabby 5 star . breakfast fine overall would probably recommend strength location not pay much . 
 Oct 3 2007 	 Impressive Five Star Hotel Good Location Four Star Rooms 	 normally stay 3 4 star property , £ 99 rate lead Langham . book Londontown.com 5 star ' mystery ' hotel Regent Street rate . gut feel hotel must Langham right . spur moment three night weekend trip visit friend . would four night trip rate Thursday £ 199.The check staff attentive without overbear protest tell need show room . room available noon . overnight flight , always important . must agree room nothing special . clean , good repair fairly spacious nothing special . bed comfortable air conditioning work well . would call 4 star room . bath expect 5 star hotel – opulent good towel , toiletry powerful shower constant water pressure . public area high standard . yes , feel rumble tube underneath hotel . room quiet feel train go underneath . bit surprised , remind home bother it . I use facility . bar impressive prefer real pub make street real local block away . the location central easy get anywhere London via Tube . marylebone close eat meal neighborhood good restaurant . also basic shop want stop decent grocery chemist . lot high end store sit along High Street . Oxford Street three block away fulfill need . still , surprised quiet thing immediate neighborhood . in short , would never pay rack rate Langham . still , rate pay , hotel excellent would stay could less $ 300 night . 
 Oct 2 2007 	 five star hotel maybe three four star maximum 	 stay langham hotel , location good hotel completely price . suppose five star stay three star hotel ireland far well room . room small loose wallpaper . hotel also charge extra use pool breakfast expensive ( £ 25 full english ) . stay fine could lot well money near . 
 Sep 12 2007 	 Langham Lovely 	 stay Langham three night impressed check - in check - out . staff courteous helpful never fail answer question take care need . stay corner Langham Club room absolutely gorgeous . large room ( high ceiling , flower , three huge window immense bathroom separate shower tub ) real luxury make trip relax . also access Langham Club lounge provide free continental breakfast , afternoon tea , snack / appetizer , even open bar 10:30 pm . give expensive London Americans , free beverage food Langham Club lounge really help take sting cost eat drinking outside Langham . hotel also lovely gym pool close Oxford Circus tube stop Picadilly Circus . get good deal , definitely stay Langham ! 
 Sep 7 2007 	 pleasant surprise 	 read negative review little concerned , find good rate decide risk . first phone call concierge impress . it be lovely grand old hotel , excellent service , perhaps last word luxury , far exceed expectation . breakfast , extensive ( include ) variable , Langham 's standard . 
 Sep 6 2007 	 good choice Central London 	 Langham great location central London , particularly leisure travel . communal area grand , service good , high price range , suite lovely . we stay cheapo & quot ; superior & quot ; room perfectly acceptable ( relative bargain £ 199 ) , although honest could mid - range hotel room anywhere . good breakfast , serve fairly frantic atmosphere give number guest . and ' ve always like bar - £ 6.50 pint London Pride must kind record . stick cocktail . 
 Sep 4 2007 	 Hotel 5 * room 3 * 	 first impression hotel good , staff freindly . however room ( 8th floor ) awful . bad 5 * room far . small , dirty tired damaged fitting . bathroom 5 * standard however . although tap little dangeroud , spurt boil hot water , watch . pay 200gbp night , acceptable . complain get move slightly clean room . still standard high 3 4 * ( stretch ) . pool sport facility leisure club good however jacuzzi area need clean revamp . new artesian bar also good , except service . hear one waiter sware another waiter . one would expect . dinner good , staff exceptional food average . yet price not excessive . expect spend 40gbp head . breakfast include food good , limited choice . hold artesian bar . service poor . simply not work efficiently require alot training . want room , go hotel . look hotel good choice . 
 Aug 30 2007 	 tired 5 * hotel way back slowly ! 	 return 4 night Langham ( 2 teenager , 2 adult ) first impression great location , great porter , grand foyer quick easy check . pity scaffold outside building . Doorman suggest take drink newly refurbish bar bag take room car park we . sound good far ! couple glass wine ( prepared pay £ 10 glass ) arrive room eighth floor . club room well rate site , find room , twin double dull , poor lighting , tired bedding , need redecorate , terrible tv 's , shower old bathtub , toilet work well etc etc . typical eighty decor need refurbishment . so newly open bar , new restaurant due open shortly , ( limited menu available present ) scaffold outside building , easy see get , slowly ! problem , hotel full night stay , surely could find room refurbe stay . so bar good , expensive . car parking thursday evening till 9 am bank holiday monday morning £ 130 . Langham finish refurbishment program , well hotel available london money ! 
 Aug 12 2007 	 Club Level Worth ! 	 return Langham would highly recommendstaye room Club Level , get decent rate . it worth extra money access to24 hour food drink ( Champagne breakfast ! ) personalize service make feel like british royalty . great hotel , locate Oxford Circus close lively part London , within walk distance main site . tube major bus route iare 2 block hotel . I move hotel Renaissance Chancery ( Marriott ) Holborn visit friend stayed find exceptional . many fine hotel London , include Renaissance try Langham request corner room Club Level . will not regret . 
 Aug 7 2007 	 Reliable Quality 	 recently stay excellent hotel . many London hotel represent good value money view , Langham . need good location , staff friendly , courteous deliver high service level - reflect good training , room good rather ritzy whole feel positive comfortable . recommend hotel other return . 
 Jul 5 2007 	 Great Hotel ! 	 stay hotel one night . visit friend live outside London , decide stay hotel night . hotel long , , really enjoy ! upgrade big room nice ! room bathroom big . would definitely go back hotel long stay ! 
 Jul 3 2007 	 lovely hotel avoid expensive bar ! 	 hotel class . location excellent room - spacious , clean luxurious . receptionist walk room , kind genuine . pay £ 100 per night , think excellent rate hotel . however , glass wine friend pleasant bar , bill astonishing . wealthy , will not worry . . overall , well do Langham . 
 may 25 2007 	 Great Service 	 hotel grand day show 's age . change room first one cramp seem unclean -- maybe age hotel . second room brighter , bit large seem like much clean -- maybe renovate recently . face street nice quiet . lesson learn stay , ask old hotel sink one spout . Langham beautiful fixture one spout cold separate one hot -- 's really hot . appreciate old tradition like warm running water end brushing tooth washing face tub ! around holiday season November 2006 lot party go . try ask man dress & quot ; hip & quot ; dining suggestion ignore . apparently famous English & quot ; rocker & quot ; -- guess miff not recognize ! staff pleasant service wonderful however . breakast buffet expensive offer lot staff try accommodate need . enjoy enough . exchange rate $ 2USD 1gbp , save $ dinner . bar staff also hospitable find go nightcap go room . internet charge expensive . Health Club nice work in . there lot within walking distance . Picadilly Circus 10 - 15 minute scenic walk past shop Regent street . if old fashioned sink , would not mind stay could get room around $ 300 . would deal sink rate close $ 200 . many option $ 300 - 400 range . 
 May 14 2007 	 Castlelike Experience ! 	 book Langham thru tour group disappoint . truly grand Hotel . like thing England , book expensive . one night air go room right problem . could fix move we immediately across hall problem . morning breakfast buffett problem . fruit cereal section would starve . british know good food . south shock . hotel staff gracious go way . would overall recommend anyone . room service even much ball . Beautful build good location . S. Carter , Fayeteville , Tn . 
 Apr 16 2007 	 quite love 	 ' ve stay hotel 2 night middle April , want say apart reivew ' ve see like hotel lot . course underground noise , especially part build club room , not affect sleep . guess problem sleep normally bother , case be like go sleep easily matter will not problem . ' ve stay club room 4th floor view awful , well say not view , room quite big , long corridor , bathroom giant separate bath walk - in shower . ' ve also enjoy read club lounge hotel , read lounge offer complimentary interent access convenient course drink light snack there . all stuff ' ve meet throughout stay polite willing help . 's LHW property pricey Ritz example . honestly expect much ' ve pay hotel . 
 Apr 3 2007 	 Pauline Wards 60th Birthday ! 	 Porter greet we cordially attend professionally bag . despite early arrival smoothly check allow access room , great . room spacious well equip , warm , tastefully decorate , spectacular view , bed linen lovely , everything spotless shower great . complimentary bottled water minor complaint & amp ; bidet bathroom , might other . afternoon tea Merrion Room feel almost good Ritz without ' pomp ' . excellent service ambience room perfect we , sandwich replenish cake divine plentiful . concierge really helpful avoid we queue rain booking ticket Madame Tassauds advance we telephone whilst wait proove essential . breakfast next morning ' superb ' nothing overlook , choice hot cold food second none , fresh bread excellent . odd thing ' muesli ' look unappetise appear float yoghurt ! express checkout good Porter direct we cheerfully correctly Libertys 5 minute walk road . finally call 2 day later ask leave hair straightener room surprise , surprise find post immediately cost arrive next day . excellent location , excellent service definately return , well worth every penny ! 
 Feb 28 2007 	 Second Bad Vibrations 	 stay Langham three night end Feb. , also third floor room & quot ; Langham Club & quot ; face Regent Street . noise vibration Underground indeed issue .... stop train not run 1:00 6:00 . be also apparent cocktail bar next & quot ; Memories Restaurant & quot ; talk Reception Desk Langam Club , readily acknowledge problem . offer room high floor , tell problem would diminish , eliminate ( previous reviewer note ) . elect stay , not sleep well entire stay . I also surprise issue mention early Tripadvisor . ( perhaps room Regent St. side affect ? ) event , disappointed hotel choose hide problem , wait guest complain . decide stay , unpack stay room hour two , determine issue you . otherwise , room ( # 388 ) fine .. spacious , reasonably well - decorate , good linen , large , well - appoint bathroom . but can not sleep , be point ? ? ? ? 
 Jan 20 2007 	 Bad Vibrations ! 	 would first time reliance TripAdvisor review mistake . I ' m member Leaders Club preference property belong & quot ; Leading Hotels World & quot ; , book Langham 2 night expect far well get . first , room 3rd floor overlook Regent St , fairly ordinary decor , & quot ; compact & quot ; bathroom , otherwise spotlessly clean . bad thing Underground directly hotel hear train rumble morning night vibrate Regent St side property . I move 7th Floor far well room ( still overlook Regent St ) noise subdue still noticeable . this property merit membership Leading Hotels World 
 Jan 16 2007 	 Britishness 	 drive Langham certainy make impression . 's beautiful victorian building , stand many year , claim London 's first 5 star hotel . well , get inside , be another story . lobby quite nice , however room small look tired . main restaurant palm court tea room look like get stick eighty . hotel lose victorian elegance open horrible , purple , modern overwhelming oriental themed bar . friend tell restaurant also go oriental themed . seem bit strange hotel advertising originally british , even mention poor level english staff . simple question like & quot ; extra towel & quot ; maid corridor exhaust task . Langham lose 's appeal . think go afternoon tea , well go Ritz Green Park . anon . 
 Jan 10 2007 	 bargain lastminute 	 buy theatre ticket , book one night Langham Hotel [ -- -- ] . price less half price Ritz Savoy , considerably cheap nearby Sanderson , include breakfast two . location fault - literally 5 minute walk London Palladium , within easy walk distance London 's theatreland , Oxford Street course . room decent size internet bargain - bed large extremely comfortable . bathroom clean , though hot water come tap dribble - fill bath use shower attachment . service polite , friendly efficient , check - in check - out , cook breakfast good , & quot ; proper & quot ; english sausage bacon . want escape another night , definitely go . 
 Jan 5 2007 	 wonderful experience great location 	 stay Langham first time New Year holiday 3 day honestly say pleasant hotel experience date . moment arrive exceptionally friendly staff could enough help we , honestly not think know use word & quot ; & quot ; , absolutely perfect location shopping , 20 second Regent street , 2 min oxford street / circus . stay Langham Club area hotel , booked & quot ; romance & quot ; package include champagne , chocolate fruit fresh flower room arrival also complementary & quot ; Romance & quot ; dinner Memoirs restaurant , experience soon forget , count 20 staff take care we various aspect meal , great service amazing food beautiful setting . go spoil ! ! 
 Dec 20 2006 	 friendly staff 	 return 2 night langham hotel celebrate husband 's birthday highly recommend 's location ( great oxford street ) staff friendly.we superior double room 9th floor ( request thanks review read ) great view london eye.there lift not working not affect stay point want complain . not breakfast include deal £ 25 thought price . end breakfast garfunkels restaurant round corner regent 's street around £ 15 us.i would recommend langham anyone would like stay 5 star hotel couple day get good deal really worth it.i definately return hotel special treat . 
 Dec 2 2006 	 Loved Langham 	 say - perfect stay Langham Hotel London W1We book Love Langham Club Room Package include champagne , flower , chocolate fruit room . also enjoy 3 course dinner Memories Restaurant good meal ' ve ever taste life , full english Breakfast , along access Club Lounge champagne snack part deal . room bright spacious three large window , one look towards Oxford Circus . bathroom large , marble floor huge mirror . also separate walk shower . location excellent perfect shopping Oxford Street . take walk towards Regents Park follow morning quiet romantic . although think expensive , feel worth special treat . like Oasis , love would love return . 
 Nov 21 2006 	 ok 	 take friend london theatre trip andstaye hotel.hotel adequate , staff friendly helpful , room clean tidy 4 star opinion , building work go , drink inroom bar expensive.paid £ 115.00 per room per night happy price , would pay lot . normally stay hotel call 41 , much classier . 
 Nov 2 2006 	 not waste money 	 stay 25 - 27 October 2006 . poor round . 1 . door staff arrive ... ok , 11 pm suppose 5 * ... leave struggle narrow revolving door luggage ... great work / travel day2 . get voucher £ 10 arrival mini - bar ... , 5 * ... suppose act forewarn multiple way Langham going try charge stay3 . bathroom slipper design 5 - 12 year old age bracket ... fit normal adult foot4 . service charge 12.5 % ... add everything discretionary ... find unacceptable5 . £ 10 daily use gym / pool facility ... someone pls tell pay 5 * price pay extra use facilities6 . hotel decor ... , tired ... decor Palm restaurant make feel like cheap cruise ship7 . pokey room ... room small , probably less 200 sq ft ... tea / coffee facility make feel like stay roadside motel . request room view make book 3 day beforehand ... room available arrive ... give excuse & quot ; late gone & quot ; . 5 * needless say , intention darken door hotel ! ! ! 
 Oct 22 2006 	 North Yorkshire trip London make even well Langham . 	 book Langham special deal site . pre - expectations match deal . pleasantly surprised . yes view hotel room hey London club class . people write review Trip Advisor really need reality check ! ! sexy want sexy , go book overprice oneAldywch . I m late thirty contemporary sort bloke Langham classy sexy , proper 5 star hotel . the staff friendly make welcome . the bedroom immaculately clean marble bathroom pretty special . accessory front discover extra hairdryer , nice touch . room service prompt pricey consider location rating . best blt sandwich ever .... great chocolate moose sweet . disappointingly time check health spa restaurant . thing say need taxi Saturday ask concierge book one . bit wait one . fault hotel . we stay 5 star hotel special deal site first time hotel match rating . in London start feel bamboozled number hotel . certainly hotel stay next time sample spa restaurant . centrally locate near Oxford Circus . dare say probably pay full rate might incline moan expectation meet e.g one lift action . big deal . find fault problem . great two night stay . certainly list hotel revisit ! ! 
 Sep 14 2006 	 unsexy get 	 stay 1 night Langham shock poor condition room tired property . 's unbelievable property pass Leading Hotels World review . room dull tired . bathroom filthy crack bathtub , dirty shower curtain cheap bathroom product . front desk staff unwilling help . the waiter breakfast quick accurate , bellman . it be outrageous guest pay 15 pound use fitness facility , unacceptable pay close 300 pound night . all unpersonal hotel without charm . meet need provide bed sleep in . do not stay ! 
 Sep 6 2006 	 Phenomenal Hotel 	 phenomenal time Langham . stay club level room . polite staff lounge club level guest unmatched . room recently refurbish one good shower ' ve ever find hotel . great location near Regent Street shopping . would definitely stay . 
 Aug 29 2006 	 wonderful location afford price tag ! 	 manage get ridiculously cheap deal night hotel ( bargain price £ 30 ! ) , definitely worth . book superior room , ask would like upgrade £ 40 , pay room , decline . strangely enough , upgrade regardless , executive room . Langham wonderful location - 2 minute walk non busy end Regent Street , close Oxford Street . look impressive exterior , huge building , doorman wait pick bag , whilst walk red carpet , slide door ! staff efficient , able check without fuss . amazing treat see upgrade . main difference superior executive room amenity available bathroom , size bathroom also , room ' furnish Harrods ' . well sound plush ! exective room good size . bed comfortable , much king size two small bed push together ! array Sky tv channel available , cost £ 10 , pay movie / playstation game . tea coffee make facility provide , biscuit give ! ! mini bar well stock , extortionate . bathroom marble furnish , clean , add bonus steam proof mirror . lovely robe slipper also provide , extra asset ! also receive unexpected complimentary bowl fruit . there dine area , already dinner plan speak dinner drink hotel . mention many previous review , slightly OTT spa price £ 7 per person per day . gym membership that s valid many part London , decline offer ! english breakfast include , buffet . think poor value money £ 25 per person , food serve lovely . include pastry , array fruit , yoghurt , bread , etc , well full English . 5 * hotel , expect pay 5 * price ... unless find amazing deal like . , Victorian build , beautifully maintain , top class hotel , be worth money ! 
 Aug 13 2006 	 nice thing marble bathroom 	 wake room hotel could well travel Lodge . special thing marble bathroom suite . view window brick wall . disappointed want stay special . in reception staff look nose we bar man real laugh rip we bar . in morning expect something special- awful . cold help english breakfast- money least thought would cook order . american guest sit wait 30 minute wait waitress service- long wait . even lottery would stay . 
 Aug 11 2006 	 round Great Hotel 	 wife decide short notice go see & quot ; Rock & quot ; overnight stay . trip Advisor give Langham pretty good rating find good price book . pleased hotel Valet parking reception restaurant staff . value money good , consider slap bang centre London . dinner breakfast well room service . top notch would certainly recommend anyone certainly go back . negative maybe not bother Spa/ healthclub . hard find terrible welcoming , plus pay extra use . pass wonderful time ! 
 Jul 22 2006 	 First Class - Fantastic ! 	 mother return shopping trip London . trip make perfect stay Langham . we stay 3 night club room Langham Club level hotel . room fantastic . good size , modern mod con could ask . bed fantastically comfortable , fine quality linen . room also 2 comfortable easy chair , cd player tea coffee make facility . the bathroom equally impressive . fabulous power shower , seperate bath tub , fluffy towel robe plenty quality toiletry . our club room give we access club lounge , serve beautiful continental breakfast , drink snack day . mum able return lounge several time throughout day canape champagne help we along shop ! lounge serve drink 10.30pm include price room ! also eat hotel restaurant - Memories . neither we could fault meal service way . fantastic . fact eat Ivy following night Memories every bit good . the staff Langham excellent . everyone doorman wait staff wonderful . conceirge helpful , arrange several thing we . hotel perfectly locate shop , hop hop sight seeing bus . Oxford Circus literally 2 minute walk , round corner hotel theatre short taxi ride away . hotel also opposite BBC , spot radio DJ 's go fro work . thoroughly reccommend hotel , fantastic stay can not wait return . 
 Jul 18 2006 	 Lovely Hotel 	 lovely hotel . first trip UK Langham wonderful introduction city . grand old dame building perfect set vacation . though gracious old building proper english staff rather formal looking , wonderfully situate end Regent Street right near hustle bustle lot shop , night life tube station 2 block away . perfect ! rather casual Americans never feel ouf place blue jean . room comfortable American never seem get proper cup hot tea morning state absolutely delight powerful tea kettle room ! amenity top notch mini bar , safe , plush bedding , etc . room . public space also great condition . staff professional accommodating . concierge go way help British Air lose one bag . rather spend day phone try track , take claim number tell go ahead go site seeing take care . return , type write note door say locate bag would later afternoon BA deliver hotel . amazing ! side property lift small one order least day lead long wait time . also not much care breakfast 's probably european breakfast ( especially meat ) american breakfast quite different . not time use spa can not comment . sum : would definitely recommend property . 
 Jul 11 2006 	 Disappointment price 	 Langham set magnificent major hotel . stay suite third floor , would impressed : - one third room remove provide space store ( point lady booking , seem happy charge full £ 350 66 % suite ) .- Bathroom hotel smell old shower curtains- window clean time previous five years- Daily Telegraph order morning replace something japanese- room double bed rather two single push together sheet they . in short , bit rip - off really . money , mile well ambience / room / bathroom / pazzazz go mile road Landmark , one good hotel London . 
 Jun 21 2006 	 wonderful return 	 look forward third stay excellent hotel recently disappoint . whilst luxurious perhaps London , hotel offer excellent value . good service level excellent room make easy enjoyable place stay . location particularly suit would recommend hotel anyone look stay area around pricing . 
 Jun 11 2006 	 5 star bar ! 	 stay part unseen 5star hotel theatre deal . delighted realise Langham first impression good . room expect standard - however complimentary bottled water biscuit morning cup tea disappointing class hotel . lovely evening return 11 pm planning drink one 2 hotel bar advertise . first ( gentlemen club type ) bit staid go look vodka bar .... get lose -despite follow signs- tell closed year ! bizarrely waiter show we wood pannelle door use ! temporary bar set breakfast ! give staid nightcap ! morning plan quick dip pool head breakfast ( include ) - prepare spend £ 7.50 swim ! overall - know 's London minimal cost extra would make great hotel . 
