Excellent 	 Neighborhood nothing much , be great location get everything , near Penn Station Bolt / Megabus stop . new clean . Saturday night noise not factor , base print notice room , & quot ; white noise & quot ; generator room , etc . could problem , especially garbage truck , weekday morning - would ask high floor staying night Saturday . staff extremely pleasant helpful . room decent size NYC . restaurant bar premise ( dinner possibly lunch - breakfast ) . continental breakfast average quality include room rate . 
 Sep 4 2009 	 fabulous place stay NYC 	 go NYC quick 1 night sight seeing trip . find good deal TravelZoo Wyndham Garden . read review could agree more- place great . room little small , NYC . staff hotel nice friendly- everyone interact fabulous statement important management . eat restaurant dinner breakfast good meal service . would highly recommend stay ! 
 Sep 1 2009 	 Awesome ! 	 hotel locate right heart everything New York ! 
 Sep 1 2009 	 Great Place Stay ! 	 decide go NYC alone overnight trip relaxation shopping . hotel great ! ! arrive 11 am room ready . staff friendly helpful . room clean bed amazingly comfortable . hotel short walk Penn Station , Times Square Macys 2 block subway . could say one thing negative would 300 block w 36th street quiet resteraunt block many building board could concern . alone feel threaten , quiet block . would definately stay . 
 Aug 29 2009 	 fantastic hotel fantastic price fantastic location . 	 stay aunt four night trip NYC . find hotel TravelZoo receive free breakfast Starbucks location package . upon arrival quickly check . room quite small clean , great toiletry bed extremely comfortable . say nothing good thing room . staff helpful friendly genuinely welcoming . the hotel two three minute walk near subway station easy get anywhere NYC . 10 minute walk Macy 's great shopping . also 8 - 10 minute walk Times Square ; walk late night feel unsecure time . I find two small thing wrong hotel - checkout time elevator take arrive floor ; three computer guest use patron spend quite bit time other obviously wait . perhaps note regard time limit would serve friendly reminder guest . would hesitate book hotel next trip NYC . 
 Aug 25 2009 	 Great Hotel 	 stay Wyndham Garden hotel aug 22 , 2009 . hotel perfect . room clean , bed comfortable staff friendly . location great . would stay every time come city . 
 Aug 25 2009 	 not disappoint - great value ! 	 discover hotel great promotion Travelzoo . $ 172 per night ( inc . taxis ) felt get exceptional value . hotel locate within walking distance Penn Subway Station , Macy 's , Empire State Buidling Times Square . half block away hustle bustle 8th Ave . Wyndham Garden quiet unassume neighborhood . day walk take subway everywhere night feel safe walking . one hotel staff point 18th Precinct directly across street safety not issue part city . as soon step inside hotel 's door get feel entire place - relatively small hotel NewYork City standard , be big friendly staff , cleanliness newly tastefully decorate room . receive complimentary room upgrade one ' clean air ' room 4th floor relieve find room tiny have anticipate read early review . apparently large room low floor . king size bed exceptionally comfortable everything linen , lovely bathroom , nice furniture large screen tv make stay comfortable . spend time explore city spend time room sleep spacious room not important we . fitness center small , machine new excellent condition . disappointment hotel restaurant . try twice disappointed time , eat remainder stay . would definitely recommend hotel , especially like we trying find affordable place stay could spend money activity . 
 Aug 24 2009 	 Wyndham Garden Hotel - Times Square South 	 hotel excellent condition staff , helpful . bed comfortable bathroom clean bright . package include cocktail breakfast - great . one tip - - leave theater district show get Friday night thought would find dinner way back hotel . leave theater district ( everything crowd ) , option slim none 11 pm ! hotel staff helpful arrange pizza delivery ( hot delicious ! ) would definitely stay . great value - , clean , safe extremely helpful staff . 
 Aug 23 2009 	 great value beautiful hotel 	 easy locate . staff incredibly helpful . room immaculate , even good view low floor . everything clearly new ( furniture , bathroom , etc ) . free breakfast awesome . bartender friendly . free internet . Place feel green airy - lot plant , window , glass wall , etc . free drink well deal . bed awesome , a / c unit new wonderful , big tv air purifier . get well deal NYC , guarantee . next time go , go ! close Penn Station well . 
 Aug 16 2009 	 great hotel 	 budget year trip nyc .. recently stay millenium UN plaza pay 200 dollar night , want keep 150 dollar time compromise location cleanliness / service . find wyndham garden 1800hotels.com , much low rate hotel website well expedia search engine . overall , stay great . room immaculate , clean lady quick efficient , location hotel perfect . would recommend hotel anybody , price right next nyc trip would love stay . 
 Aug 16 2009 	 great value - well anticipate 	 one good deal there - very clean , comfortable , close everything . amenity expect price - how often happen ? ? 
 Aug 15 2009 	 Fantastic Manhattan hotel stay high north side 	 gem hotel . nearly brand new ( even google streetview show construction ) locate two block north Madison Square Garden , one block subway . work great brief stay New York City end honeymoon . room small ( typical Manhattan ) , effective . a / C work great . first stay we room 15th floor north side hotel , much quieter second stay we 5th floor face 36th St . not sleep much second stay due noise garbage truck rumble siren . look good deal Travelzoo hotel ! check bar 10th floor -- be fantastic ( although $ 9 beer crazy ! ! ) . staff helpful , able hold luggage checkout day putze around city evening flight JFK . 
 Aug 15 2009 	 great location great hotel 	 nice hotel . room kinda tight ... 's NYC . close 34th Street / Macys 42nd St , subway . staff friendly helpful , room ( hotel ) clean , the7y stop evening refresh . nice fitness center , enough , free pass local fitness center . lemonade lobby afternoon . Starbucks lobby , along full restaurant . would stay ny minute . 
 Aug 12 2009 	 clean perfectly locate 	 nice property . room large however not expect give location NYC . ' ve hotel nyc not get much sleep due noise quiet . staff extremely helpful gracious . good location -- easy walk everywhere hop subway . bed nice linen lovely . 
 Aug 12 2009 	 beautiful accommodation convenient location 	 room recently renovate - clean room , comfortable bed , lovely tile bathroom ... pleasant experience 
 Aug 11 2009 	 ask '' 	 Location . service . on - site amenity . view ( Mid - town standard ) . wife stay 4 night hotel TravelZoo promotion disappoint . couple year ago stay Madison Ave near Empire State building find location much convenient . block Times Square , Theatre District Restaurant Row . Penn Station street Port Authority . bed comfortable , room clean continental breakfast special bonus . would definitely return . 
 Aug 11 2009 	 great location .... 	 stay hotel 3 night , get great rate Travelzoo $ 139 2 $ 159 include continental breakfast bread , bagel , fresh fruit yogurt ... could upgrade buffet breakfast $ 7.99 not .... hotel smoke free except outdoor patio .... staff extremely helpful courteous , room immaculate .... love bed air clean room ... spacious bathroom great spa product ( hard believe hotel decent product eh ) ..... also free high speed internet room love .... restaurant site fine many choice NYC ..... location great , 10 minute walk time square , practically around corner Macy 's Penn station .... street hotel locate renovated scaffolding everywhere .... parking street New Yorker $ 40 day ..... hotel describe board & quot ; Hidden Jewel Rough & quot ; ...... stay sure ... 
 Aug 8 2009 	 good clean hotel central location worth money . 	 family three stay 4 night . enjoy clean room , thing work , breakfast good . room size small considering times square location , acceptable . I book Travelzoo . good rate one could get vicinity . I shall stay come strongly recommend . 
 Aug 7 2009 	 hotel NYC ! 	 look , place book . first , location : able walk EVERYWHERE hotel 36th ... Intrepid , Radio City , Times Square , Macy 's , Penn Station , save $ transportation ... within walking distance . room : single ( full sized bed ) room small , yes , be NY real estate ... stay bad hotel NY would prefer small absolutely spotless hotel room . ' m kid . speck anything carpet bathroom . spotless . bed : probably good bed ' ve ever sleep . ' m home , miss bed . convenience : doorman incredibly helpful direction even go corner hail cab . tip , deserve ! breakfast bar reasonably price great way start day . good bagel & amp ; coffee drink . nice booth internet access help make plan check email . try restaurant , room overlook patio bar , everyone seem enjoy night air . choose hotel price get Wyndham point , review sure help , people not lie . place absolutely wonderful . 
 Aug 6 2009 	 comfortable hotel bed ever sleep 	 sheet wonderful mattress bed outstanding . stay one night definitely go back . room quiet include nice touch - include reading light bed , allow read without disturb husband , , though close hotel theson visit , convenient everything else . couple block Lincoln Tunnel subway , mention Times Square . 
 Aug 5 2009 	 Great Hotel money 	 return New York though room small hotel clean attractive location perfect business around 7th Ave staff helpful courteous check smooth . I return Wyndam get A+++in book . 
 Aug 4 2009 	 worth $ 	 book Travelzoo weekly bargain deal . pay $ 185 1 night ( plus breakfast & amp ; free cocktail ) . room small room ever hotel ever . closet , CLOSET . small room . hotel staff friendly check . Front Desk answer phone call . deal book overstate -- 1 & quot ; free cocktail & quot ; purchase beverage item state & quot ; free breakfast & quot ; available . location hotel ideal trip , stay many , large , well appoint hotel city , would never recommend one . 
 Aug 2 2009 	 Garden never Sleeps ... 	 New York ' building skyline may suggest . add geranium sunflower ' get delightful combination . may consider appeal juxtaposition , say ' necessary ; especially spring summer want outside amongst nature . need catch next jitney Hamptons weekend bask sun Wyndham ' tenth floor terrace serene restaurant lounge . manage capture chic style New York , hotel take beauty step add gorgeous greenery , carry theme throughout design hotel . day shopping night theater , retreat especially enlightening . avoid feel overwhelmed feel refresh Wyndham . sit either outside patio garden inside dining room glass wall look ' go wrong . light healthy ( definitely satisfying ) meal , ' get energy need take city . especially impressed appetizer drink — there ' nothing like order iced coffee getting make neighboring coffee shop ( another feature hotel ) , plastic cup , go . Read morning paper , even sneak email - check lobby computer ( table ) , ' feel suffocate second — the lovely atmosphere constantly remind ' vacation . 
 Jul 28 2009 	 not know ! 	 stay great find one night move around night Big Apple . find hotel competitive website impress review Tripadvisor . value fantastic . get room low price New York standard , also get turndown service , huge breakfast ( call continental egg , meat , potato , rest ) get day . addition get drink house 10th floor outdoor bar . room small , well design , spotless , lot goody beautiful bathroom terrific shower . internet service great desk . true huge amount closet space , price -- be great . some people complain elevator service previous review . stay 26th , top floor , elevator fine . the location West 36th St. safe , stone 's throw Macy 's bargain shopping nearby . walk five Napkins restaurant 9th 45st street crowd safe . there much complain hotel . room might bit small extended stay , service value beat . shall check Wyndham chain -- work company -- honest ! 
 Jul 28 2009 	 great hotel - clean gracious service ! 	 hotel exceed expectation many way . room typical NYC small lay efficiently make good use space . room clean appreciated bathroom enough space spread little bit ( put makeup bag sink lack counter space ! ) .The hotel slightly beat path couple block Penn Station . can not say feel less safe neighborhood adventure nyc.our rate include welcome coctail breakfast morning . coctail able use whenever feel like ( necessarily upon arrival choose otherwise ) . continental breakfast AWESOME ! two option : buffet style hot breakfast & quot ; grab go & quot ; choice . elect grab go morning allow we choose 3 item follow : yogurt , Fiji bottled water , naked smoothie / juice , juice , assorted pastry bagel , fresh fruit . addition , coffee also include latte , etc barista . graciously toast bagel smear much cream cheese want . honestly much food put back in - room mini - fridge ( along complementary water refill daily often ask ) .Each floor 8 room close elevator quiet . , great find would happy stay . 
 Jul 26 2009 	 nice find NYC 	 mommy / daddy getaway wife past week . hotel small , new clean . room King / Allergy Efficient , cruiseship like ( SMALL ) , NYC ! clean comfortable 2 people . hotel bit beat path , w36th 8th 9th , within walking distance Times Square ( 5blks ) , Madison Square Garden ( 2blks ) Penn Station ( Subway ) . also find 9th Ave many fine ( local eat ) , restaurant couple block Times Square . small chic little eat place , family run operate ( CHAINS ) . nice find NYC , quite bargain TZOO deal ! 
 Jul 25 2009 	 's little thing count ... miss detract considerably 	 friend decide meet NYC reunion weekend . book concierge - level room Travelzoo rate . for starter , despite multiple request , room close one another , different floor . we get hotel early left baggage , go smoothly , check . however , return , staff ask check , not seem know have already give paperwork . breakfast coupon available ask they . when get nice ( NYC - sized -- mean small -- surprise ) room , two comfy looking bed , nice bath amenity , bathrobe ( slipper , suppose part concierge - level stay ) , ... two container someone else 's yogurt leave fridge -- eww . big notch that . I call omission welcome cocktail , part concierge - level , tell could breakfast part rate drink ( big deal , be part concierge level , consistently apply ) . ask slipper offer robe send . um , one already . good point : nice location ( litttle farther Penn Station would think , though ) , clean room ( except yogurt leave fridge ) , reasonable rate Travelzoo Manhatten hotel . however , travel agent , find detail really matter , point not make ' wow ' experience . 
 Jul 23 2009 	 impressed ! super clean super nice ' m super happy ! 	 wonderful stay Wyndham Garden Hotel - Times Square South . stay NYC may occasion many different hotel . absolute favorite hotel ! particular stay , completely elated overall service quality accommodation . every single employee encounter ( front desk , wait staff , clean staff , etc . ) courteous , professional happy ! room clean , bright comfortable . restaurant excellent drink perfect ! recommend Wyndham friend colleague . ( even dog happy hotel . bring Miniature Schnauzer trip hotel staff welcome ! ) would give Wyndham 5 star , location bit tourist path . 's walkable Times Square Rockefeller Center , be ideal . technically , consider Hell 's Kitchen ( right next door ) . be mix residential commercial ( shop bite sketchy ) . not misunderstand , absolutely problem stay would absolutely stay room customer service perfect . 
 Jul 22 2009 	 great hotel great location freindly staff ! 	 husband stay hotel nothing great comment . location safe withing walk distance subway many site city . room small typical NYC hotel . find great rate include breakfast welcome drink . would definitely stay . 
 Jul 22 2009 	 deal ! 	 find $ 129 + tax rate Travelzoo include continental breakfast welcome drink . despite location 36th St 8th 9th avenue , decide go deal . really worth . fast friendly check - in , small room clean , nice bathroom compfy bed . flat screen tv small refrig . long walk usual Times Sq would not walk alone single female ( spouse ) 9th ave night alone 8th seem fine . three computer terminal eat area free guest use apparently wifi room not use ( laptop ) . nice outdoor bar 10th floor get complimentary drink . continental breakfast not serve 7:30 Greenhouse area select item bar area instead ( juice , fruit yogurt , muffin bagel cereal , coffee tea ) . helpful concierge ; smooth check - out . especially price , even bit , would stay . 
 Jul 21 2009 	 gem ! 	 nice stay . great staff . stay include continental breakfast internet access . one downside location ( gritty street unsafe ) everything nearby . street quickly disappear minute walk . village minute away subway . 
 Jul 16 2009 	 beyond expectation ! ! ! 	 get back two night stay NYC . one highlight trip hotel . room beyond could hope -- clean , spacious affordable . close everything -- Times Square ( 15 min . ) , Gershwin Theatre ( 20 min . ) subway ( 2 block ) . wonderful come back clean invite oasis walk street . staff friendly helpful . certainly come back New York Wyndham ! ! 
 Jul 15 2009 	 love major complaint ! great staff ! 	 stay Wyndham Garden Hotel - Times Square South 2 night . hotel clean , quite , great location . thought get great deal price pay valet parking include price . room 4th floor small expect New York City . really not spend lot time room day evening anyway . walk hotel center Times Square 8 block much see hardly notice walk . 25 block Central Park , take we almost half hour enjoy walk . front desk staff friendly helpful , Cathy professional fix minor issue bill checkout . one thing plus free WI - FI . overall , pleasant experience definitely recommend and/or stay ! 
 Jul 14 2009 	 negative never want leave room ! 	 rarely travel planning trip NYC , want sure good . tough time like , be important ever spend buck wisely . last trip ny several year ago , leave one indelible memory : room reek smoke . can not even remember name place , request non - smoking room give one obviously smoker 's . complain , tell hotel full could not change . late night check , brave . send woman spray something make bad . check next day , smoke go suitcase everything wash . vow would never happen . time look hotel totally smoke free . well , Wyndham beyond wildest dream , smoke - free , offer option choose & quot ; allergy free & quot ; room feature air purifier , hypoallergenic sheet . stay three night negative hate leave room ! describe wonderful comfy bed , quiet ! overlook restaurant courtyard . usually , wherever sleep , include home , sniffle night end stuff Kleenex beneath pillow . could not believe . moment enter & quot ; allergy free & quot ; room , never use single Kleenex . service great friendly . Breakfast come late one morning ( 15 minute ) insist house ! food also organic -- cage free egg . tomato basil soup fantastic . never stay anyplace else NYC . three block Port Authority get subway flash , course Times Square also short walk away . go , Wyndham ! Kudos allergy free non - smoking , healthy policy . could not believe reasonable price , ! 
 Jul 12 2009 	 Great Girls ' Weekend ! 	 stay one night love valet service . staff attentive matriarch group love room well appoint accessibility ammenitie hotel . great proximity Times Square NYC shop . HIGHLY RECOMMENDED 
 Jul 7 2009 	 Excellent 	 great location , lovely comfy , large bed , room compact really use sleep , lovely shower room , plenty towel , would definatley return . 
 Jun 30 2009 	 great location great quality ! 	 stay Wyndham Garden Hotel 6 night June . book room via travelzoo get good rate room skyline view . room 23rd floor , though big , comfortable clean . could see top Empire State Building bed ! great power shower bathroom spa toiletry . member staff nice helpful . lovely breakfast area patio well 10th floor open - air restaurant - fantastic relax long day walk around . free wireless internet work perfectly . ever come back New York sure stay . 
 Jun 30 2009 	 great hotel convenient location ! 	 get back three - night stay Wyndham Garden great time NYC hotel . travel NYC pleasure 7 - 10 time year ; hotel toward top list option . 's luxury hotel , 's lot well other price . get NYC subway , Amtrak , one bus company Boston / Philadelphia / DC , find convenient hotel . walk Penn Station . the hotel look feel brand new . lobby coffee shop / bar well big seat area use internet , free ( slow connection , though ) . bring laptop , either use complimentary wi - fi lobby room , bring ethernet cord use , instead . ( speed fast room . ) restaurant first floor serviceable . complimentary continental breakfast ( muffin , coffee , box cereal , toast / bagel ) mediocre , upgrade pay hot meal . the room large enough . know NYC hotel room , will think room big enough compare hotel . not know NYC hotel room , might think room small . think large enough . fit king - sized bed , two bedside table , armoire , writing desk , table fridge underneath , flat screen tv . look brand new . the bathroom do nicely . shower leak floor , annoying . otherwise , perfect . the elevator slow ; 11th floor walk half time . probably slow hotel , noticeably slow check - out dinner time . outdoor 10th floor patio sit drink . nice , warm , summer afternoon , be fantastic way start weekend . great , friendly staff . easy checking , easy check out . I would give b+ , maybe even a- . loud music one morning - sure guest something else go . elevator slow . shower leak . not lot cab right outside door ( walk 8th 9th Ave ) . be say bad . pay $ 149 per night , weekend rate , free continental breakfast free drink coupon ! , good value money . location important people . walk Times Square hotel . walk Ninth Ave find fun place eat . 
 Jun 29 2009 	 incredibly slow elevator ! 	 friend stay two night conference . land via great rate hotwire , ' m sure worth hassle . 24 floor , hotel two small elevator . night ( Thursday Friday ) , hotel pack elevator move snail 's pace . wait 15 minute multiple occasion , finally give resorting take winding , narrow stair 12th floor room . staff neither apologetic particularly interested struggling get floor . room incredibly small work well place simply sleep store luggage . clean pretty new , unable get hot water throughout trip ( probably hotel crowd ) . neighborhood not great night ( tour bus park outside hotel receive nice splattering graffiti overnight ) , hotel 's convenient Penn Station train / bus / subway Times Square . would consider stay another low rate , would make sure room close ground floor . 
 Jun 29 2009 	 good value ! 	 gf stay seven night room 1801 . call hotel 24 hrs advance ask room high floor , hear comments street noise . hotel rep kind tell could guarantee request hotel overbooke , would put note reservation ( priceline ) . mention priceline check matter minute room lovely view skyline towards river building nearby . room small , fact bathroom big half room , spotless well keep . airconditioner noisy . Flatscreen tv hd channel plus , Wolfgang Puck coffee pretty good . maid polite efficient . find breakfast buffet good terribly overprice : 50 $ two buffet - tax tip include pricey opition . 's NYC . wireless internet work flawlessy . location good area safe , never feel unsafe walk back hotel fairly late night . recommend reserve priceline / hotwire / travelzoo save 40 % rack rate . 
 Jun 27 2009 	 beautiful hotel .... management 's response problem excellent 	 hotel clean inviting . outdoor lounge 10th floor relax escape city . food restaurant good cocktail Terrace yummy . room clean problem air conditioning : temperature room go 80 degree . also housekeep issue ( turn - down service start complete leave we unsettling feel someone room ) . say , management 's response outstanding . hotel apologetic accommodating . definitely give hotel another try . 
 Jun 27 2009 	 Great New Sophisticated Hotel 	 great hotel great deal TravelZoo . even though concierge not always , staff helpful suggest restaurant , museum , direction . location little beat bath Times Square , still short walk transit attraction . 
 Jun 26 2009 	 excellent value clean 	 husband find deal travelzoo.com book hotel . review seem positive worried quality price pay . say pleased ! ! room small modern , clean , super comfortable . staff amazing food drink site delicious . walk distance main site ( take nearby subway WTC site ) happy choose hotel . would highly recommend . 
 Jun 26 2009 	 WOW hide gem ! 	 hurry get hotel everyone else find rate go ! get price extraordinary . staff friendly go way assist , room nicely appoint clean , service good . have NYC numerous time , ' ve never find hotel deal like . definitely back Wyndham already tell numerous friend ! 
 Jun 25 2009 	 Great Hotel 	 sister travel NYC 3 day . find great price Priceline.com . impressed enter establishment . front desk employee person check bag arrive early schedule , smile greeter arrive , customer service outstanding . although room small ( like NYC ) cozy clean . consider hotel snob come cleanliness , must say hotel surpass expectation . several free amenity ( umbrella - loaner stay , place closet , newspaper bottled water ) include . bed comfortable . would certainly stay again . there in - house restaurant nice patio area . elevator small often take several minute arrive , problem . hotel walking distance Times Square , Broadway , fashion area restaurant plentiful . 
 Jun 25 2009 	 stay Hotel unless ..... 	 ... want one memorable EXPERIENCES LIFE ! 1 ) please , huge favor read review entirety . 2 ) mention aspect hotel truly , intent writing introduce , mention , recognize special & quot ; Servant - Leaders & quot ; one kind , DIAMOND hotel . okay , will get want know way , hotel . sentence , get hotel ; get hotel QUICK ' corporate suite ' realize double ridiculously low rate ! ... ' m tell , ! ROOMS : ' regular ' room ( nothing ' regular ' ) , GREAT ! clean , new , modern . meticulous attention detail , much . , step - up little extra , get room Concierge Floor ... ! ... room size so - call ' regular ' room goodness , AMENITIES NON - stop . interest saving verbiage ( people like read ) , get really want talk , STAFF , final comment regard concierge - floor room , WANT anything ! want LEAVE ... step - up ! bargain ! , true purpose , STAFF ! folk , special gift we Higher Power , list particular order , hierarchy , level importance . everyone special wife . everyone would honored proud call & quot ; FRIEND & quot ; .to respect right privacy , omit last name . CATHY - Front Desk Commander Chief . oh goodness ! begin adjective comment beautiful lady , CATHY ? ... Hmmm , 18 - year Hospitality Industry professional - experience ! spend one employer . PERSONAL SEARCH July 2008 November 2008 ( hotel open ) , handpicke everyone TEN Front Desk staff Team member ! warm friendly greeting infectious smile not fill , heart warmth ... get PROFESSIONAL MEDICAL PSYCHIATRIC HELP . ' ve SOUR far long dire need detuning ! Cathy find time busy schedule chat we . lady ! thank CATHY . 's , family , employer , world , write . final comment , Cathy , comment direct entirely toward . spite & quot ; good - foot - forward & quot ; little bit & quot ; fluff & quot ; share we , Fida could see pain Love eye . thank CATHY . special , indeed ! RUDINA - Front Desk Associate . wan na hear special ? take Fida ( pronounced & quot ; Feedah & quot ; ) long 3 - day weekend New York City celebrate wife ' birthday . arrive early room quite ready ( expect happen fully understand ) . RUDINA overhear another staff member offer we leave luggage give cell - phone number could call we room ready . course conversation , Associate learn NY celebrate Fida 's birthday . ... be discover ... get call , go back hotel leisure , check . go BEAUTIFUL room FANTASTIC view find ? ... two BEAUTIFULLY BOXED , fresh , DELICIOUS CUP cakes , BEAUTIFUL BIRTHDAY CARD FIDA , SIGN everyone DUTY DAY , include CHEF ! ! ! ! ! ! not know beautiful little girl , another associate , write , get permission leave post , go bakery buy wife gift card , , everyone sign , know . ' tell folk , honestly , beautiful , UNNECESSARY gesture , bring tear eye . ... please , not go , tell Front Desk Angels 's birthday expect special people . thousand read , could cost position . please , nice . thank RUDINA . SPECIAL ! LIZ - Head Bartender . ask Liz show hubby 's ' six - pack ' . keep 3 g phone not let tell not know be talk . cocktail bar will not go place else . DROP - dead GORGEOUS young woman OOZES HOSPITALITY . careful two thing drink ' Liz 's Bar ' - 1 ) will late whatever engagement . will not want leave . 2 ) not tell boss LIZ can not measure ! LIZ know mean one - ounce measurement . be like EverReady battery mixing cocktail ... booze keep pour pour ! ( LOL ) . seriousness ( calm boss ) , LIZ WONDERFUL ! smile contagious . drink PERFECT ! thank LIZ ! appreciate , appreciate ! DANIEL - Food Beverage Commander Chief . gentleman every sense word . look elegant meticulous , professional appearance . suit , shirt , tie fit groom . ' eye ' unobtrusively everything go ' his ' restaurant . even see stop way talk one staff , align breakfast cereal box . , attention detail ! thank DANIEL . credit choose profession . credit employer . tell boss watch . ever open high - end restaurant , never know , Fida might , steal away run ' your ' restaurant we , we . professionalism like teach . 's heart . thank ! VANESSA - Front Desk Associate . gosh ! ... Jaw drop gorgeous ! personality match ! VANESSA check we . overcast morning NY yet , VANESSA ' smile bring sunshine reception area . long trip , haul luggage , way get welcome . UNBELIEVABLE ! thank VENESSA ! thank ! ... think one run around Fida . wow ! ERICK - not know title . find label & quot ; Bell Hop & quot ; insult call ERICK title . will say . foot countless hour day . haul luggage day long , yet , always find way hold door , greet smile ... every TIME ! one - liner joke brighten day . thank ERICK . thank ! STEPHANIE - Concierge . meet STEPHANIE , spend time chatting , guarantee go ever recommend . be professional ! meet expert much knowledge , immediately trust ( ) say . thank STEPHANIE.And lastly , general MANAGER whose name intentionally withhold protect anonymity ( get work do spend time frivolous complaint ) . GM HANDPICKED EVERYONE DEPARTMENT manager , in - TURN , HANDPICKED everyone STAFF TEAM member . LEADERSHIP ! something think lose country . LEADERSHIP ! without , company , company nothing ! thank MR . GM . thank . wow ! JOB ! WOW , HOTEL ! say intro , review give staff windham GARDEN HOTEL , recognition richly deserve . 's bottom line : would sleep cardboard box happy , long , UNBELIEVABLE staff provide level professionalism , service , genuine caring thought lose beautiful county our . thank ! forget , name please forgive . 's many make we feel like family , hard remember name . ( ) make next time visit . many visit ( God Willing ) . discover ... HOTEL HOTELS ! Antonio ( Tony ) Lopez 
 Jun 18 2009 	 five star service NY niceness 	 stumble hotel accident , pleasantly surprised . exceptional service extend manager bellman , duvet bed allergy free room , gorgeous bathroom yummy bath product , morning Starbucks latte lobby , absolute delight ! ! hotel vibrant , stylish , cater everyone , business traveler solo female traveler like . will definitely stay next trip already recommend hotel friend & amp ; family . 's hide little gem heart ny , will find five star service amenity fraction price ! 
 Jun 15 2009 	 Chic Cheap ( Affordable ) 	 travel business leisure . exceptional experience hotel . time arrive departure hotel staff great ! woman travel solo hotel choice must carefully decide . location close everything yet somewhat quiet night extremely safe . hotel chic new great trendy vibe . room small space well utilize ; besides stay room NYC ! Starbuck 's coffee lobby , great conceirge good restaurant . watch out noisy commerical truck come street early morning , not anything drastic . highly recommend absolutely stay & quot ; hide gem & quot ; ! 
 Jun 15 2009 	 great Stay ... definitely back 	 thing happen reason ... could not get room usual hotel ... decide Wyndham Garden . not sure expect . ... check breeze . courteous staff . nice room top floor . extremely clean . well - appoint . Extras expect see price , extremely reasonable . think become first choice stay NYC . 
 Jun 15 2009 	 stay next year despite two complaint 	 stay six night husband attend trade show Javits ; boss fly room last four night . choose hotel proximity Javits willingness store re - ship trade show material . everything perfect , excpet two item : elevator line indeed long , HVAC system issue -- either freeze burn much time . spite two thing , great staff spotlessly clean room we book date next year 's show . 
 Jun 12 2009 	 Warm Friendly private clean wonderful ! ! ! 	 husband stay Wyndham Garden Hotel 3 night honeymoon fantastic . get really good deal Travelzoo include complimentary breakfast . first day , check breeze . receive upgrade FREE arrive room nice clean . 22nd floor nice quiet . bed absolutely COMFY pillow perfect . one robe hang door , would like two not ask another . room service start pretty early morning end leave disturb sign hang night . breakfast pretty good . buffet scramble egg , sausage , bacon , tomato , home - fry , pancake waffle . also continental breakfast include bagel , muffin , cereal , fruit yogurt . continental breakfast ticket able pay $ 11 buffet . worth staff really friendly . option either eat hall outside . 's gym basement husband go twice stay . love . two treadmill , two machine thigh , two bench weight . also clean towel fresh water . overall , hotel worth money . be look save money stay nice hotel , definitely give WGH shot . area not pretty be heart city . 's lot access lot train . 
 Jun 11 2009 	 EXCELLENT HOTEL 	 would highly recommend hotel . stay 6 night . yes room small , get , New York . unless willing pay premuim room , pretty much way New York . complaint . room king size bed . comfortable bed seek .. look . bed awesome , believe day New York want good bed . room stay nice cool . water always hot . staff great helpful . restaurant pretty good food . advice skip breakfast walk block get money . hotel everything need . small gym , free internet .. not bring computer use . get great deal Travelzoo .. also hear Hotwire great site . oh people say hotel interesting location . well yes worry . block heart thing . walk everywhere ... walk Time Square , take subway everywhere . elevator comment say problem certain times day . 6 day problem . fifth floor take stair .. not let issue .. Good Luck fun New York .. 
 Jun 11 2009 	 great hotel travel train ! 	 love hotel ! staff go way pleasant welcoming , even slam huge line . free internet access great feature , newspaper outside door morning lovely outside patio garden . fact hotel couple block Penn Station make high list place stay take train NYC . be look forward return ! 
 Jun 10 2009 	 Excellent Hotel . highly recommend 	 disagree other say bad location . situate Garment district within walk distance major site . hotel clean look like recently renovate . room small comfy bathroom excellent ! staff nice anything accomodate request ( within reason , course ) . ever go back , definitely stay . 
 Jun 10 2009 	 great clean place stay friendly staff 	 hotel well Hyatt stay three time cost . room clean staff friendly . yes area not well walk Penn Station block well travel road . would stay heart beat . look nice clean hotel great price friendly service would highly recommend . 
 Jun 10 2009 	 Best NYC Hotel Experience 10 year 	 wife travel NYC 2 three time year . find good deal always challenge , thank Travelzoo find Wyndham Garden . get room , breakfast welcome cocktail $ 150 night . customer service well . everyone go way accommodate we treat we fantastically . say neighborhood not good , not worry . grateful 's Broadway walk long option . 2 wonderful bar / restaurant less 30 yard front door , mention restaurant hotel . can not recommend Hotel enough . love ! 
