stay 	 begin ? .... believe rat hole still business ( excuse language ) . instead use profit receive we unfortunate customer upgrade refurbish & quot ; hole & quot ; , instead remold lobby attract unsuspecting tourist . ' m sure other fall victim one nice picture show lobby . explain lack ammenitie receive discomfort feel , call thug , hoodlum ( wear business suit ) , warn police would call ! source problem . wife give & quot ; continental breakfast & quot ; , & quot ; free internet & quot ; , towel , heat , toilet paper , service , respect ! please contribute scam run . risk health sanity . Save . , , stay ! 
 Oct 29 2008 	 say mouse 	 stay Marina Heritage past nine year . this year last time , say new managment take , first night get hot room could breath , tv break , give we one another room , make attempt give we room always stay 533 great view Golden Gate harbour . however carpet pee stain something nature , mattress stain outside corrider stariway smell . that big problem third day condom empty bottle soda . tell front desk clean , however night keep argue couple middle night . complain front desk tell try resolve issue . the BIGGGGGGGEEEEST DISCUISTING thing second last night Sunday morine 500 herd rustle noise room first think someone try get listening minute turn light horror discover rodent inside plastic bag scream bloody murder , husband call front desk immediatly come mouse trap , convienent . pack bag immediatly leave towards next destination Carmel . the managament give we credit one day half . we use like staying convienent shall stay somewhere else clean rodent free 
 Oct 27 2008 	 Heritage Marina 	 Heritage Marina locate northern part city , close Fishermans Wharf . the picture hotel website way well actually look like . hotel normal tourist hotel slightly dirty pool center courtyard . the staff extremely slow friendly . take forever check , even , give we room construction . smile , nothing . parking however quite good well huge selection tv channel . 
 Sep 23 2008 	 Stains drug completely terrible ! ! ! ! ! 	 book two double room Heritage Marina 2 week ago cousin bachelor party . arrive tell one double room unavailable would & quot ; upgrade & quot ; suite trouble . double room availble , not ready yet ( 5:00 pm ) . ask would say , & quot ; little & quot ; . ask well estimate , could not give one . we take stuff & quot ; suite & quot ; little large room king size bed , couch , dresser , tv . carpet various stain , couch . comforter rip , bathroom tile color describe & quot ; pee yellow & quot ; .We greet man Belgium staying hall say key room do not work . repairman come help , give 10 minute , say could not fix door , tell gentleman would find could let room , every time . we inspect double room , reach door notice ladder outside . entire ROOM COMPLETELY construction ! ! ! door wide open , rolling tool bench entry , furniture pile middle room , outlet duct tape , various tool bathroom . maintanance man run we ask tell give we key room , shake head , swear spanish , radioed front desk . replacement room another & quot ; suite & quot ; condition . take 10 percent total bill . we also find cozy unmarked room corner walkway could described crack house . garbage razorblade carpet , freshly - chop line kind white powder countertop . this far bad hotel ' ve ever see . 150 buck night / room , be well spend booze pass street . will probably cleaner safe . 
 Sep 21 2008 	 book kingsize room ? ? ? ? 	 stay Heritage Marina couple year ago , pleasantly surprised facility , amazed fabulous breakfast buffet , bit disappointed returned year . yes , 's bit run corridor stairway , budget hotel . however , breakfast option reduce cereal , bagel pastry , be . bad thing however , book deluxe kingsize room , arrive hotel around 7.30pm tell kingsize bed room leave room single queen size bed instead . on query , tell although reserve room online , allocate first come , first serve basis , may may get reserve . dreadful woman reception way , keep say kingsize room leave , attempt apologise . I ask rate would lower , say eventually rearrange thing get kingsize bed , not easy , know traveller issue , not lucky we . , room clean bed comfy - lady come clean room also help we door refuse open ! however , although coffee coffee maker , milk / creamer , sugar etc . ! also forget replace coffee toilet roll . 
 Sep 8 2008 	 good dont stay ! ! ! ! ! 	 reason hotel rank 210 238 San Francisco . disgusting ! not know anyone could give 5 star . fact , two recent review give 5 star writte 2 day apart sound like come straight brochure , understand , recently new management . coincidence ? girlfriend stay Memorial Day room disgust . smell like urine could see wet spot floor ! not even bother clean . fece stain still toilet . obviously have not clean guest either . check lucky get room Comfort Inn street rest vacation . think . 28 hotel San Francisco worse one . 209 well . stay one . 
 Sep 7 2008 	 do not stay 	 Disgusting . noisy . first room give we already occupy . next room give we dirty sink hair bed . seem not actually clean room guest , make bed fold towel . hallways dark dingy poorly light . not worry . lot budget motel nearby Lombard Street also offer free parking . immediately check check Pacific Heights Inn Union Van Ness . comparable cost , room small clean . free parking . 
 Sep 3 2008 	 AWFUL ! ! ! dirty ! ! ! ! HIGHWAY ROBBERY ! ! ! 	 not book one ! ! ! look location close Fisherman 's Wharf , stay Holiday Inn Comfort Inn , make reservation ahead time , get good deal , well hotel , good CLEAN , ODORLESS , GOOD SERVICE . stay three day misreable hotel , fortunate get another hotel , since Labor Day weekend , type convention , hotel price go way , suffer stay three day . staff apparently believe change sheet daily ! ! 's filthy , think Motel 6 probably well keep , say lot . never dissappointe . Carpet elevator fall apart , carpet room nasty , curtain fall apart . virtual tour SCAM ! ! not fool not waste hard earn money filthe . 
 Aug 12 2008 	 stay Unsafe Filthy Dump ! 	 terribly disappointed hotel . convenient location , trust , dozen , albeit expensive hotel stay suit anyone well . place price way market reason -- dump ! fool newly renovate lobby . room dank , dirty , air conditioning . check room lock ! additionally lock exterior door -- stranger walk right hotel various opening right door . guarantee stay taint , greatly ruin San Francisco visit . risk , trust , place worth , even stay free , still would not ! 
 Aug 4 2008 	 disgusting dishonest 	 stay hotel . awfull disgusting . we mouse room , wife bite bug face . no cleaning , linnen , fresh towel . Hans JacobsenAugust 4 , 2008 
 Jul 21 2008 	 dirty rundown 	 hotel get two star instead one convenient location free parking . the room disgust . pillow bed ( really ? could forget ? ) stain carpet . bathroom old dingy broken toilet . even tell front desk problem , come back night still - break toilet . horrible . and , review mention , air conditioning , be visit summer , prepare . 
 Jul 18 2008 	 oh God 	 get government rate last minute deal , bed find . place nasty dirty , dirty forgot vacuum floor . dirty blood chair , bed sheet look like wash well bathroom look like construction worker would touch anything . headboard stain imagine sexual encounter . smell room bad , check go dinner Russian Hill look another Hotel room . 
 Jul 16 2008 	 Dishonest Identity Theives 	 wife stay Heritage Marina Hotel two night April . we worry lack security room . window screen anyone neighboring room enter window hot night . cancel AMEX Card 3 month later Heritage Marina Hotel IDENTITY thieving EMPLOYEES RANG $ 1551.36 card live Adult Phone SEX . call [ -- ] , [ -- ] , [ -- ] . RECOMMEND HERITAGE MARINA HOTEL lack security room identity theive employee . 
 Jul 10 2008 	 BED BUGS 	 need say ? ok . air conditioning , screen windows ( lock ) smoke non smoking room , hot water , run run fast hotel . rude obnoxious check two hour check . 
 Jun 25 2008 	 terrible - stink smelly 	 supose stay 1 night June 11 . arrive , meet guy elevator - 's hand 's injure bedbug . open door lift blanket ... sheet dirty & quot ; animal & quot ; ! ! ! ! run away ... 22:00 pm . night scrapere spend room 5 minut ! ! ! ! stay way ... carefull ! ! ! ! ! ! ! ! ! ! think sanitation office must close terrible ' hotel & quot ; 
 Jun 21 2008 	 shut ! 	 one find positive review Expedia website nightmare hotel , completely convinced submit shill place , one check place would want anything turn around run fast could . outside look fine ( totally deceptive picture website , ) get inside hall , elevator , & quot ; room & quot ; , think walk hell . horrible really call . filthy room , broken bathroom fixture , bloodstain chair , smell urine , pile garbage everywhere , druggy look guest , bug , air conditioning - even WifiI & quot ; provide & quot ; neighboring establishment , conveniently create internet hotspot hotel advertise . deserve ? look slightly ( believe , ' slightly & quot ; ) well deal accommodation pricey part town ? wife call another hotel ( excellent Comfort Inn two block toward wharf ) check & quot ; Heritage House Horrors & quot ; right away . ten minute , Expedia , generally excellent , right thing give we refund , great , sell package hellhole anyone . place close police Board Health ! one walk horror show , expect nice stay hotel ! Read story post elsewhere take heed ! stay away HOTEL ! 
 Jun 17 2008 	 Scabies ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 never ever feel safe whole life ! stay crap hole 3 day - I be not room much -was sight seeing- damage inflict , child , husband never forget . one morning husband overhear staff speak spanish , hear english ? SCABIES ... fast forward child husband sit examination room tell yes , F - ing SCABIES ! ! ! humilation alone 9 year old feel enough make call demand credit card CO comp , call B.B.B health department ! child possibly infect countless friend school , end year performance dance partner , every playdate entire family .... odd reason manager say do not know scabie know complaint bed bug ! WTF ! see come child do not bother mention BED BUGS would possibly feast everynight ? people sleep night ? rent room crack head hooker one thing use filth really evil thay would warn go else small innocent child never infectious disease ! .. oh yeah manager will not call back ... 
 Jun 16 2008 	 bring Lysol Raid ! 	 Gross . check extremely miss lead front desk area Hotel . look classy clean . receive key , headed room . ? could not sure enough . wish bring bio hazzard suit , enter find even though gross inside could get bad . room mystery door inside , not open side though . window not even close , great place leave passport baggage . see crack head weirdo wander around , go desk demand refund . getting , promptly leave . thank Jesus ! 
 Jun 10 2008 	 not let Bed Bugs Bite ... 	 would recommend hotel ! stay two friend . place dingy run air conditioning . also , balcony door lock - problem consider connected balcony neighboring room ! also , three we experience extremely itchy bug bite body stay ( likely bed bug . ) end pay $ 300 get apartment exterminate case bring bug egg home luggage . favor stay ! 
 May 28 2008 	 UGHHHHHH ! ! ! 	 people say hotel & quot ; marvellous & quot ; stay ? ? ? certainly stay , mostly camp tent amenity ! ! ! & quot ; hotel & quot ; nothing well hostel ! ! ! strange people stayed seem either high drink drug & amp ; one night police come girl lock room half undress & amp ; screaming partner let ! ! ! find dingy , dark smelly room clean well , decor fade desperate need refurbishment & amp ; paint , stain goodness know carpet , creased sheet & amp ; fade bed , mark ancient furniture , heater cover hang first room 's wall , ( yes , move like people ) , door open street access , window slat could easily remove way lock , corridor dark poorly light , noise middle night mean restful sleep , front desk staff rather indifferent good , ask towel etc waste time , parking tight even mid sized vehicle , breakfast inspire , slapdash top up coffee etc room , litter push bed , either freeze cold boiling hot room , noisy , slow & amp ; urine smell lift , litter corridor & amp ; stairway , buy air freshener & amp ; fly killer avoid nasty bug , ' m sure somewhere .... need say ? ? check soon possible move another cleaner & amp ; luxurious hotel almost price ! ! Traveller beware ! 
 may 23 2008 	 Bottom barrel 	 stay HOTEL . say want read on . this Hotel look like good value right want stay ' need perfect place ' spend lot time hotel room . check front desk first clue ... pretty run . trying find parking place parking lot almost impossible . walk stair well must urine smell make turn run . finally get room ( reason continue ) card key would open door . go back front desk wife afraid stay ( 3:00 pm ) . give master key get go tot room . room kitchen separate bedroom huge balcony look Golden Gate .... disgusting want set luggage . turn back bed sheet stain dirty carpet smell filthy wall stain .. go front desk get another room , suppose one good room accord front desk ( good sell twice ) . check room even think dingy low rent figure would spend night get late . 2 plus hour checking . figure would look another place stay go out . the room hell continue many loud noise night around 1:30 wake click door unlock someone try force open door . ( put security lock ) anyway people try get room extremely noise bang door try break get think stick something . wall despite side holding close yell room occupy . finally yell wife call cop think people wrong room realize wrong room . somehow manage get back sleep get nice phone call front desk 5:00 asking room ! ! go next more explain everything happen check , tell would deal expedia refund ... get mad point ask manager still keep cool showing prepay room dd book expedia charge hotel room need ensure charge night , want refund sleepless night P.O.S . hotel . eventually get give bill one night unwilling give anything . anyway way able warn large group go check leave rather check lucky . spend rest time Hilton Fisherman ' Warf wanting take anymore chance ... $ 200 / night worth every penny ! 
 May 20 2008 	 can not believe call place Hotel ! 	 place really call something like dingy hostel private room . disgusting . family stay three room 5th floor . towell sheet dingy grey ( instead white ) black stain , please not smell want least pretend like might job . mold ceiling bathroom . bedspread cigarette burn , one room someone tape plastic bag smoke detector , could smoke & quot ; non - smoking room . & quot ; HUGE hairball middle floor carpet not vacumne well . take two day get one extra towell due & quot ; severe shortage towell hotel currently experience , & quot ; post sign main lobby . wow . hallway elevator plain scary . suprise breakfast see & quot ; normal & quot ; look people well , expect druggie prostitute . positive note , hotel offer free parking fabulous location . however , would never stay , pro 's do not even begin cancel con . 
 May 7 2008 	 BEDBUGS 	 come back home stay San Francisco deal bedbug problem home . expect vacation go . this hotel filthy , unsanitary , unsafe , 's & quot ; shady & quot ; character walk around night , etc . bad hotel ' ve ever stay travel frequently . not look much , cheap , clean hotel , terrible experience spend much time effort get rid bedbug bring back home ... 
 May 7 2008 	 Disgusting . place close . 	 upon read review guest strongly feel place report appropriate authority . make mistake staying experience : front desk demeanor totally lack courtesy guest , dirty , total lack maintenance , toilet not flush bad case Bedbugs apparently come back . avoid cost . ' m also fill report San Francisco Department Public Health . San Francisco great city place not contribute anything appeal citizen well . 
 May 5 2008 	 NASTY ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 nasty hotel ! ! ! ! first reserve 2 suite course assure we would available .. course get happen 1 . go suite suppose 2 king size bed .... one king size bed one couch pull bed ... course couch nasty porn ... key not work everytime leave room come back wait someone come time open damm door ... bad mouse room ... ' m terrify mouse stay awake night fearing would jump onto bed ... check 11 ... clean lady try open door 8 am be not able come chain .... bad experience place ... hate hate .... 
 May 1 2008 	 Attention ! new management ! 	 wife stay April two night , Friday Saturday night . be thirty need little comfort camping , still far need Westin - level comfort . arrive late due delay NWA flight check 1:45 & quot ; Mr Miagi & quot ; ( continue tag one fellow reviewer coin ) , indeed slow surprised see we . find reservation eventually . untidy checkin area already hint change must take place Aug 2005 . stay back overall experience great , come back , unaware change management . anyway . first room assign 339 , face inside court ( face west east block ) . ready , bed make , tv light , etc . call Mr Miagi . & quot ; oh , ready ? ah , ready , yes . yes ... Maid leave day . Maid leave day . & quot ; well get new room . 546 face east east block top floor . kinda prepare , though towel . run towel 2:15 . parking , although include good , fill quickly , go park car street move 8 . anyway , room smell unpleasantly A / C , hot , everything sticky . room floor occupy , appear hang smell pot place . also people walk around look like gang - member whistle wife stuff . accept look past & quot ; flaw & quot ; , stay good price good location , parking include . well , overall picture come negative . go back . smell , stink , towel , gang - member . thank . not see & quot ; renovated & quot ; portion hotel ( mention review ) , would say exist . use elevator , tag , walk around floor corridor ( stink ) . oh way , although kind friendly , apologize inconvenience . repeat complaint Miagi - style without present solution , act surprised . strangely fire alarm room tape plastic bag , case fire , prepared wake next morning ( joke , ' m serious ) . one plus , see Golden Gate Bridge 5th floor . another strange thing chinese guy , probably 30 year , patrol around one suite top level , like one James Bond movie . not UZI , though , unless conceal . 
 Apr 20 2008 	 stay ! ! ! ! ! 	 oh , start ? first room consist pack mouse ! husband finish eat leftover sit nightstand sudden think see mouse . figure shadow ..... half hour later see fat nasty mouse run beat leftover ! immediately call front desk tell mice room . never front desk appoligize rodent room . switch different room well . room smell like old lady bladder control problem ! far bad hotel ever stay ! definately stay ! ! ! ! ! ! 
 Apr 17 2008 	 warning- gross air conditioner 	 place gross bad , air conditioner . room crazy hot celle fan break , room old look look like not clean age . call front desk tell fan break , say would send we desk fan instead . take hour get small chesssy desk fan us good , anyways . freaken hot could not bare , leave check another hotle . place sould call motle , good stay . 
 Apr 16 2008 	 great location 	 reading review feel need write hotel . pay little hotel get Hotel great location , comfortable room , good amenity , free parking free breakfast . room little tired could general maintanance , comfortable clean quite spacious . bathroom fine towel change . pool would great bonus bit cold use . say great cheap city hotel . 
 Apr 4 2008 	 horrendous 	 stay Heritage Marina disgute . book . afternoon March 30 , 2007 drug bust ( assumption ) . daughter come back cable car police car pull parking area . go floor dog . get floor udercover cop cop get arrest woman dope . light bulbs allof light assume help electricity bill . toilet run night ask fix . . wash cloth first night run . additional towel give customer run . pillow dirty ask new pillow case . say would take care never . rate worse terrible . worse terrible . room filthy . rug probably never clean year . bedspread rip . chair filthy . not go . spend dollar get nice hotel . also note hotel open night . secure place . lock door . Dissatisfied Customer Wisconsin 
 Apr 1 2008 	 's Crap - Shoot 	 , ' m fresh outta college ( not much money burn ) . ' m high - maintenance . sure , like nice place , long 's clean , feel safe , & amp ; price right - ' m good go . now , stay place three different occasion past year . come realize place full - on crap - shoot . room get might fine & amp ; one next might hole . so - stay last weekend : get city & amp ; check - in around midnight . Mr. Miagi , although nice desk man , REALLY SLOW ! give card key room 317 . head sketchy elevator around room . walk . light bulb burn . okay , will turn tv light . remote . stumble dark manually turn . go bathroom . tub back w/ 3 '' dirty , cloudy water & amp ; nail ! okay , be ! ' m get different room . go back Mr. Miagi front desk . apologize say will give & quot ; nice room & quot ; instead . ' m give 532.back slow elevator . card key not work ! wan na go bed ! back front desk . note despite late hour , be two three party lobby w/ similar complaint . Mr . Miagi say 's nothing card key . will let we room individually w/ regular key . go back & amp ; wait he . he show & amp ; let room - actually pretty big suite w/ kitchenette , roof - top access & amp ; killer view . normally , would make happy . however , room still feel dirty . chain lock door bust ( SWAT recently bust ) . chair ' upholstery look like came porn set ( suspicious stain ) . towel bar bathroom hang fall wall . shower ( although clean ) pressure 80 yr old man pee . bed ( although king - size ) give ibby - geebie . after taxis , room around hundred buck night . be pretty cheap s.f . location place really good - pretty safe neighborhood & amp ; easy Muni access . place soooo much potential ! however , think ' ve stay place last time ... least hear drastic change take place here . if opt stay , know 's bit gamble . might get lucky w/ one clean & amp ; renovated room ; might get something crack - house variety . good luck ! 
 Mar 25 2008 	 hate Heritage Marina Hotel -- bite bed bug -- filthy 	 extremely disappointed hotel , especially read review post . fall disrepair . elevator slow filthy . room dirty feel nervous get sheet . sure enough , get bit bedbug . towel not change , even ask . please take hotel recommend list . Mary Spokane , WA 
 Feb 20 2008 	 pay get 	 arrive open door smell overwhelming musty smell . light work , one evening light tv go half hour come back ! parking bit tight advise leave belonging sight , take everything safe side . the staff efficient helpful front desk breakfast good . budget hotel tired feeling . bedlinen clean enough good look closely ! 
 Feb 15 2008 	 stay away Heritage Marina Hotel 	 husband book hotel base picture see website . nothing like see website . peel paint door hallway , fray smelly carpet , first room give we horror show . first room sit deject edge bed - wonder end . unfortunately barefoot time , end step puddle wetness carpet bathroom bed . disgust . telephone black dirt yuck . stain satin fabric chair . bedspread feel like crawl dirt . quite simply could not handle promptly burst tear frustration , look forward check nice , clean hotel room ( camp Oregon night arrival ) . husband suggest go back downstairs ask another room . front desk girl helpful enough ( look like have heard / see scene time ) give we key another room . marginally well ( mean marginally ) least well bathroom . never take flip flop room use pillow bring trip camping portion . would say far bad hotel ' ve ever stay , ' ve stay . love San Francisco much look forward come back , never , ever stay place , neither . 
 Jan 12 2008 	 Heat Old Room ! ! 	 Exterior look old , lobby look new nice , hotel inside old outside . hallway smelly , old carpet , elevator bug make noise like go crash . room disgusting , smelly , old carpet , old furniture ! 1st room stay toilet leak floor , heater break ( freeze whole night ) . 2nd room upgrade suite , 2 lamp not work , tv not work , fridge smell awful , heater . call front desk , hour later maintenance come look tell we break ( duh ) , say would get we space heater since every room heater break . hour later return nothing say not anymore , ask blanket return 2 hour later . next day leave , meet guy elevator say 3 day heat , disgusting room , bad service ever . great location , walk distance everything like Fisherman 's Wharf , Chinatown , Financial District , bad room ever ! 
 Jan 3 2008 	 PLACE call MOTEL 	 return San Francisco boyfriend 6 family member . originally go stay hotel New Year 's . arrive think cab driver must mistaken pull front rat trap . unfortunately right place ! place look nothing like advertised picture . check one room ( three room ready yet ) , graffiti elevator wall hallway . pool look like not clean month . mold carpet hallway . get room , lock inside door break , in - room safe hole drill make completely useless . also little & quot ; Walkway & quot ; side window ( not big enough call balcony ) adjoin room next we lock whatsoever window , mean whoever stay next door would able get room want . boyfriend try take shower bathroom hot water tub disgust black around edge . pain peel wall throughout room . we quite upset fact travelocity advertise hotel way book look like beautiful hotel . hour hotel decide stay would completely ruin whole trip San Francisco decide talk front desk situation . talk lady front desk tell situation room say & quot ; get pay & quot ; ... pay $ 158 night hotel . front desk staff completely rude unhelpful tell we thing could we would move we different room , ask would nice room ( cleanliness , able lock door window ) reply would one . be much ... put bluntly hotel disgusting , total ripoff . motel 6 look like palace compare place . if go San Francisco thinking stay hotel ... n't go stay Triton , be end stay rest trip cheap hotel GORGEOUS ! ! ! 
 Dec 31 2007 	 Warning 	 Warning ! ! one hotel pass key use steal package . wife check 12/22/07 . 0n 12/24/07 wife go shopping Union St.came back room drop $ 200.00 worth gift . return later night package go . door & amp ; window lock . front desk & quot ; HELP & quot ; leave night another hotel . warn . Dave & amp ; Wife 
 Dec 17 2007 	 use ok 	 know hotel several name , 20 yrs . would say , unless really tight budget , would give hotel wide berth . perfect location , however , real need lot spend . tatty , put mildly ! 
 Nov 16 2007 	 Bedbugs 	 hotel awful . the hall dark smell urine . bed tear sheet , hole spread bedbugs.the curtain stain yellow . the bathroom dirty , towel extremely worn light work . hotel open street security – less desirable folk wandering hall . sleep old mattress back side near parking area . despite ask one , manager never address concern even talk we . take care stay away place . 
 Nov 8 2007 	 Perfect Location comfortable room 	 reading review , worried would find . room clean , comfortable , bathroom fine . true corridor need remodel , room great - everything work way ! find well location stay visit San Francisco . walk across street Union Street go restaurant , coffee shop stores Union Chester Streets Polk Street shop behind hotel next block . hotel , easy walk Fisherman Wharf , North Beach , Union Square , Chinatown ( prefer bus available ) . not know recently renovate , satisfied room price great deal . 
 Oct 30 2007 	 Disgusting - do not stay ! ! ! ! ! 	 stay 6 Nights hotel ( disgusting dirty hotel ) , blood stain bedcover , filthy carpet ( room clean one day ( complain reception tell maid turn work day ! ) . bath plug ( take 2 day receive one ) . miss light bulb ceilng fitting / lampstand & amp ; bathroom . light fuse use hairdryer ( repair 12 + hour ) . reception staff ( exception one ' Ike ' ) totally rude / clueless / useless . Breakfast ( 6 day manage get twice ( 2 morning run food @ 8.00am rest day ( 4 ) unable get seat / table , breakfast room totally inadequate deal number people stay hotel . Breakfast consist Bagels , flat ( plastic wrap danish ) , coffee orange ( call Deluxe ! ! ) . hotel worth amount money stay ( matter little pay ) . stunk corridor / lift worst safe ( especially woman ) , access hotel street . please please please urge stay hotel . 4 woman week trip ( ruin break ) . could afford move another hotel would ! ! ! ! ! ! ! ! feel unsafe . 
 Oct 29 2007 	 LEFT HEART SAN FRAN ! 	 small scale hotel . clean , manager exceptional , location nice quiet street still easy access everything . stay 10days would go back heart beat ! contential breakfast small , fill bagel , toast , cereal , fruit , coffee tea . the lounge nice lay back night cap . good little Sushi Restaurant street call Wasabi Ginger , delicious . ton great authenic restaurant around hotel . list : steak , Thai , Greek , swiss ( fondue ) , Japenese , american . bed comfy , pool little cold November . make miss hotel talk . highly recommend want quiet , clean , well manage , centrally locate hotel , great price ! love ! 
 Oct 15 2007 	 well expect 	 reading review place wonder let . bed bug , dirt , shabby , dirty towel , toilet work etc ... need worry however , find place clean , room anyway , corridor , clean towel provide every day , although problem toilet fix quickly hotel . reception helpful efficient . no Ritz , look somewhere reasonably price good location . 3 room , large everything work . bed bathroom clean . yes could update , overall feel good value money . location great . short walk Fisherman 's wharf , turn right hotel climb hill , come across Polk St . turn right find great bar place eat . sit outside bar meet nice people live area . welcome back . stay hotel far bad service , noisy , mean high ' star ' . not expect fantastic - get pay , room clean , location could well . 
 Oct 14 2007 	 fine we 	 place not nearly bad everyone make sound . maybe get lucky good room , completely happy . not see people complain & quot ; wear carpet & quot ; & quot ; slow elevator & quot ; probably find hotel search cheap thing San Francisco ( be find ) . really care carpet coat hanger , will not like place . look cheap place stay fantastic location , . 
 Oct 8 2007 	 not stay -- bed BUGS ! ! 	 get hotel Hotwire , hope get another one mind . website picture lobby deceive think must decent . 's . hallway dark cover old cheap carpet . room basic , pole hang clothe , iron board , platform put suitcase , tv drawer underneath desk . toilet seat make big bowl imagine much pay attention detail . shower do not drain well always stand large puddle , drain cover be not even attach know could ' ve mix . I stay two night , do not get good night sleep first night itchy . nexy day , notice blood spot bed pillow . know must ve bed bug . next day , do not even change sheet see . not bother get bed second night paranoid bug . come home , find bed bug crawl pack tissue bag -- ' m worried ! ! short , not stay , be worth cheap be absolutely miserable ...... 
 Sep 25 2007 	 recommend 	 room clean , air conditioning head fan . hall dirty . room next break . restaurnt abandohne , bar . 
 Sep 24 2007 	 stay away ! ! ! ! ! many problem offset cheap room 	 stay hotel week . nothing problem . first arrive room filthy bathroom , hanger , broken window tie belt one would crawl . able change room next day . room clean ceiling fan break . give small table fan help . despite ask speak manger week always & quot ; unavailable & quot ; . location fantastic within walk distance Fishermans Wharf area Lombard Street . continental breakfast okay staff nice , often let straggler post 9 closing . the bar restaurant close abandon leave empty room give ghettoish appearance . parking 8 pm challenge enough space car . although price cheap San Francisco location good would advise anyone stay . hotel wear , great disrepair management clearly could care less . please stay . 
 Sep 22 2007 	 Filthy hotel great location 	 stay hotel September . two room . room actually bad ; clean noisy ( face inside , pool side ) . 2 light bulb bathroom , look like cleaner bother look next night stand .. candy wrapper floor .. however , mom 's room TOTALLY FILTHY smell like mold ( actually green mold bathroom ceiling , maintenance come clean bleach ) . first dirty sheet ! Floor vacuum age , look pretty bad , tv could turn use remote ( broken ) try turn tv press button tv ... button would work . call , well ask cleaner come clean . maintenance engineer stop well luck , use sort wire poke button could switch channel .. leave , could watche tv . cleaner come , vacuum floor . oh , cleaner help quarter pile night stand .. guess leave money lay around , however still touch it . there 1 great thing room ; see Golden Gate Bridge .. nice view . breakfast pretty sterile .. bagel , cream chee , coffee , OJ cereal . breakfast room look like old office space .. much decorate . location great , walk easily 15 minute Ghiradelli Square cable car . overall impression hotel POOR would recommend . 
 Sep 16 2007 	 Central locate like horror movie night 	 hotel locate central Van Ness ave . short walk famous Lombard Street . also easy access Cable Car two block away hotel . want go Fishermans Warf , take bus 47 Van Ness Ave . hotel central locate . however experience hotel good . first , room aircondition , small fan bed . make room bit warm uncomfortable arrive , need door room open get & quot ; fresh & quot ; air inside . parking nightmare hotel , since small differcult get car inside . hotel look good day , night , light make look like perfect horror movie . elevator really slow . when come room cleaning , girlfriend discover get towel dirt back , need toilet paper , need ask front desk . room clean staff provide toilet paper be clean room . the hotel wireless internet , antenna place roof , maybe use other hotel , inside room , even line sight , bad connection . , need use internet front desk , high price . compare price hotel : price give good location , central San Francisco , give comfortable room . think hotel need renewal , suggest need renew hotel least put aircondition room ! 
 Sep 8 2007 	 Filthy ! ugh ! ! ! 	 Heritage Marina Hotel , San Francisco , California , August , 2007 . Cheaprooms.com book we two night . check hotel 3PM walk elevator , almost dark , light . outside elevator dark hall door room paint peel pink ( ? ) brown , rather dismal looking flooring . decide go room give chance walk place dirty . bed make towel put bathroom must . lamp shade full cobwebs dust dirt / water spot . curtain drape cobwebs dust also . bathroom sink still mascara smudge dirt corner bathroom floor along dirty footprint . sheet spot small thin matresse , could see tick right . bed & quot ; shrunken & quot ; size matress pad . could not imagine lay . acceptable . check tell would bill one night . two star hotel understand old top shelf . two star mean dirty . Carlos CheapRoom.com say maybe expect . disagree . bill penalty give 30 day rebook somwhere else two day . also still show italian restaurant meeting room available ... padlock paper tape window . please let other know nice place stay . many thank . d.a . 
 Sep 5 2007 	 stay away ! ! ! ! ! hallway look like horror film ! 	 soon check know make mistake . elevator scary open street afraid go go stair red stain wall look like blood . hallway equally scary room disgusting . place close health department . female travel alone check decide lo lose $ find somewhere safe . stay away ! ! ! ! 
 Aug 28 2007 	 bug bite blood stain sheet 	 would place get two star hotels.com ? completely , totally disgusted , itchy morning . 
 Aug 25 2007 	 Filth pubic hair everywhere blood sheet etc . 	 intend cheap get away . money save could offset horror experience . elevator scare hell . room FILTHY ! shower totally clog ( although remedied ) [ literally ] pubic hair towel ( disgusted go trunk car bring towel use dry car with- clean . ) top turn bed dry blood stain sheet . bed 's sheet clean grossed drive friend house east bay 35mins away sleep floor . even get good rate & quot ; dwelling & quot ; bitter aftertaste linger long buck save go . positive note eat Luna 's Union Street amazing italian food cozy resturaunt . 
 Aug 24 2007 	 rather sleep rough .......... 	 do not know hotel stay open - must survive money guest take inaccurate description touch photo book website . value health holiday enjoyment , please find somewhere else sleep . room smell like inhabit 50 - a - day chain smoker past 5 year . certain bed linen previous guest , carpet disgusting put shoe walk bathroom bed . child 's room large wet patch carpet toilet flushed night . room dark , dingy revolting - fly 10 hour London experience . pool water look like soup . staff miserable ( would not ? ) never apologise anything . arrive lobby full guest complain . real disappointment . may convenient pleasant location advice , spend bit go elsewhere - anywhere . 
