recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Mar 22 2009 	 Cool Old Hotel convert Hip London Location 	 really like hotel , first location right .. get Heathrow express Paddington Station Hilton door right inside station . walk check Got upgrade Suite top floor balcony look city London . room nice new . clean open . internet price range . bathroom shower tub . staff helpful nice . executive lounge look action Paddington station , people watch well .. wow show . lounge finger food hot cold , big open bar , soft drink . open room lot space , free internet access lounge . London free food drink helpful . location good tourist also underground right outside front door hotel . old hotel convert Hilton modern hotel still old feeling . back day great Western Royal Hotel Google .. cool info .. would stay .. 
 mar 19 2009 	 Pleasant Stay 	 first stay Hiton Paddington . must say pleasantly surprised . get hotel 9am allow quickly check - in , think sure would wait early time . check - in speedy , check - in agent polite knowledgeable . thought book deluxe room turn book basic ( ? ) queen room , agent upgrade deluxe free . the room clean , bathroom spotless . thing think bit much 2.50 minimum charge phone call , even local number . internet speedy , 15.00 / day far overprice . all - in - all great stay convenient location . 
 Mar 19 2009 	 bit joke 	 honestly believe stay hotel must kind bad dream . arrival tell room ready yet ask wait lounge . refuse serve bar check yet , wait rinse dry throat journey another half hour . this pleasant moment contemplation Hotel 's interior interrupt loud conversation bouncer Hotel 's Casino hold native language obviously comme gutter . enough say 's hear many F word even Gordon Ramsay 's show . Clearily Bouncers never consider may fellow native stay hotel . finally get key card go room find someone behind door open . fortunately pleasant Gentleman fully dress - although late enough hour . reception turn temporarily place room refuse accept room offer early . also refuse move room take one happy . immediately find room understand reason . room absolutely stink . someone must smoke 2 cigarette every part room , especially bed smell worst . fiancee nearly cry request room change . thing offer hotel boy spray hand add smell instead kill promise get well room next day apology . decide stay almost impossible find room night FA Cup Final ( big game sure ) . be worth mention neither us smoker book non smoker room obviously . next day change room another surprise get type room without smell . staff forgot promise high standart room apology happy fact could breathe deeply again . finally get ready excited visit Gordon Ramsay 's Boxwood Cafe phone reception book taxi give 1 hour notice aware Saturday night London busy time cab driver . quite surprised ask phone shortly prior leave early get organise . bad thing happen course , could get we taxi leave Hotel catch one side road . it really hard believe happen within 3 day stay whoever read whole story must admit - could make ! suppose write complaint busy time let go . take opportunity share epxerience other . 
 Mar 9 2009 	 another happy visit 	 friendly , warm , clean , great breakfast perfectly locate business need . wish normally within travel allowance . one tiny , tiny gripe - book form ask time arrival butroom yet ready arrive Welsh train Heathrow Express passenger . although store luggage unable freshen myfirst meeting . 
 Mar 5 2009 	 great location well appoint hotel 	 Hotel certainly usual standard Hilton , location inside Paddington Station ( use Great Western Railway 's hotel ) terrific - not worry , can not hear noise train . room great view & quot ; train shed & quot ; . get around £ 100 night include breakfast satisfied . breakfast good , although busy ! try Executive lounge , can not tell whether worth pay extra access . Non resident allow £ 20 , suppose could way be already include room rate . 
 Feb 16 2009 	 Nice Room ideally locate 	 one night spend return USA 5 night England vacation . choose hotel price offer , considerably less usual rate . 's hotel frequent business traveller mostly , due proximity central London easy access Heathrow airport . we not expect room nice . hotel room large average London room usual amenity would expect Hilton . room include continental breakfast crowd line get tell we go elsewhere . hotel connect Paddington station contain number cafe . need access London Underground , could not much well . 
 Feb 15 2009 	 nicely serve Purpose 	 pleasantly surprised pleased hotel . spend first night London , easy place land flight States quick connect London Heathrow Express . get terrific rate Hilton website include & quot ; executive room & quot ; breakfast . bedroom bath large clean , bed fine staff pleasant helpful . we get morning , quick breakfast ( eat continental executive lounge ) , take bus see Lady Diana 's dress Kensington Palace , get back time check noon . tube station across street . 
 Feb 15 2009 	 pleasantly surprised ! ! 	 pleasant surprise ' m usually pessimistic standard Hilton Hotels UK . however could not resist 50 % special offer EXTREMELY convenient location actually part Paddington Station . anyway stay 2 night breakfast include . check quick efficient . staff polite . room ... could not believe eye . absolutely MASSIVE london standard ! clean ... fine tv bit small least plasma decent channel ! bed definitely double ( unlike hotel give & quot ; large single & quot ; ) , comfortable . bathroom marble floor ( nice ) shower adequately powerful , although complaint room presence musky odour toilet . hotel room quiet sleep issue . Breakfast ( long queue ) busy Sunday morning quality standard Hilton . nice selection pastry , full english , cereal , juice ... etc . etc . overall ... nice hotel indeed . pretty much faultless £ 75 / night pay . can not give 5/5 normal price around £ 150 / night .. pricey ! ! ! ! would recommend discount ! = ) 
 Feb 9 2009 	 great hotel excellent location 	 stay one night part trip London see & quot ; strictly come Dancing & quot ; show O2 . twin room large , clean beautifully decorate . bed extremely comfortable , small sit area wlecome , bathroom large airy Crabtree & amp ; Evelyn toiletry . everything spot - on . , good , room bathroom clean ! first time age , mother even feel compulsion wear bedroom slipper carpet clean warm need unpack slipper ! breakfast plentiful tasty . problem cold , mention early reviewer . staff friendly , helpful efficient . 
 Feb 5 2009 	 Guess people stay somewhere else ! like ... 	 everyone point , Paddington distinct advantage - get Heathrow snap . way , take Heathrow Connect 7ukl much well deal over - price , experience somewhat unreliable Heathrow Express - extra 10 20 minute spare . direct access station hotel except midnight . Reception Paddington Hilton fine friendly , Hilton HHonors participant , get oversized king room comfortable . 129 UKL room breakfast 2 , consider room bargain London . breakfast spectacular - much well typical business class hotel . ( try Rosti Potatoes ! ) despite bad winter weather , staff hand efficient , friendly professional . not see much way bell help , though , although usually , would soon deal luggage . hotel even offer 13 UKL dinner buffet check - exceptional price dinner London . everything see Paddington Hilton clean , nearly spotless . certain old fashioned charm - Hotel build part great Western Hotel Chain Paddington Terminus - overall nicely do redo . if & quot ; afraid & quot ; & quot ; seedy & quot ; area , ' ve see MUCH bad , perhaps stay home safe suburb . be bad . not want walk around outside , grab snack Train Station , boast grocery store almost anything else might need . 's worth lug luggage another hotel be town night two ! course , always grab taxis underground Station . I ' m sure would pay 200 ukl room , low rate value . ( would also agree request courtyard room light sleeper ) . 
 Feb 3 2009 	 nice room Exorbitant internet fee 	 stay one night January 2009 . check process quick staff friendly . room large well appoint . bathroom also nice . room flat screen tv everything would need vacation . I fifty dollar coupon Expedia , room come whopping 55 dollar full english breakfast . previous reviewer must visit wrong restaurant everyone friendly . read paper nice breakfast juice glass fill often . issue . my major complaint charge 15 pound - about 22 dollar today- internet access . perfect way drive away business . be vacation need information internet look elsewhere room . would suggest ask room face street . awoken 3:30 street noise . 
 Feb 1 2009 	 Pure Business Hotel 	 reservation stay Paddington area elude gentrification area north Hyde Park . however flight arrive late evening think walk Paddington station hotel seem attractive - yes simply walk train lobby hotel . however , reservation 5 night soon reduce one night full delight hotel become apparant ! check clumsy lobby fill person linger - en - route casino basement , other merely linger ! offer idle porter take bag lift room painfully slow . exiting lift one meet stain / tear carpet ice machine - hardly elegant . room small finish adequately care detail . bathroom small , tile boringly white towel exactly ' fluffy ' ! late decide go local restaurant supper- Praed Street still haunt vagrant one feel totally ease area - definitely place famile . back hotel , lobby lacking warmth lift ride accompany ' lady seemingly lose way ' ! retire alone room sleep modeslty comfortable bed stir sound traffic Praed Street . go breakfast 06:30 meet surly , rude un - inspired team worker serve breakfast mostly luke warm well ! hotel lack charm get much well value London - especially winter . charge STG275.00 suppose exec suite - zero luxury . check check Claridges STG260.00 free internet access .... 
 Jan 21 2009 	 great place stay convenient friendly 	 Stayed London break four year old son want convenience right next train tube extra walking . location could well purpose . got great sale rate mean could treat we suite , load space , huge tv mean access executive lounge lovely buffet breakfast . could also check luggage early collect check get train go home drag luggage around town pay hefty cost hassle Paddington leave luggage area . I reckon also save fair bit taxis additional walk location . get tube pretty much everywhere think here . the reason get 5 star rating though , despite & quot ; business & quot ; hotel staff could friendly . need screw driver put battery boys new toy maintenance door smile screwdriver within two minute . wish always sale could stay often ! 
 Jan 20 2009 	 well suited purpose 	 stay hotel travel stateside perfect end HEX , commute north Heathrow Airport get HEX hotel next morning get back long haul . hotel station like that s build Great Western Hotel build specifically new age steam travel , look closely fabulous remnant art deco austrian crystal . the staff polite yet businesslike chatty . book club junior suite love , modern clean fantastic deck balcony overlook city . dinner there . the hotel never intend sightseeing holiday business / commuter stay , want fabulous location city break try fabulous Trafalgar Square Hilton . this 4th stay book another time King suite look fabulous . I book business associate one well upcoming long haul trip Heathrow . 
 Jan 11 2009 	 drab impersonal expensive 	 stay Paddington Hilton 2 night November , visit London see show play . we upgrade part Hilton Honours scheme , benefit lounge free drink , seem prompt positive commment site . drink bar expensive automatically add service charge , even get drink bar ! whilst steam bar close evening private party place get drink characterless lobby . piano bar use whilst . find anywhere else locally get drink theatre price bar mean long evening normally spend friend forshortene . breakfast quite good busy ; long wait poach egg hot food buffet replenish quickly quite hard assemble hot breakfast part warm . 1 toaster whilst , toast another challenge ! staff reasonably helpful , impersonal , although row guest concierge highly entertain one night ! Hilton chain first choice visit city . however , although hotel convienient usual Hilton toiletry tea / coffee etc . make room comfortable , measure other chain efficient pleasant . foyer feel like part station miss somewhere pleasant relax drink . would stay hotel ; many London hotel offer well experience price . we enjoy meal ' ask ' , around corner hotel . 
 Jan 8 2009 	 well worth little extra ! ! 	 stay mother aunt . book last minute arrive disgusting little hotel road realize could not stay . hotel staff friendly helpfull always eager . lovely stay . can not recomend enough ! ! locate right next tube train station , taxis call 24/7 . 10 min london oxford street ! 
 Dec 21 2008 	 Surprise Fabulous AirCon 	 spend night London return flight US follow morning . & quot ; plane , train , automobile & quot ; kind travel day reach London decide one night town full service hotel air con choice . select Hilton Paddington base proximity Heathrow Express/ { Paddington Station internet rate deal . since London experience heat wave glad have consider air conditioning . hotel exactly expect fit bill perfectly . comfortable , nicely appoint room . plenty place grab bite attach station neighborhood ; able walk around shopping lose oomph take nice bath Crabtree Evelyn 's LaSource ( favorite ) catch world CNN . get Heathrow breeze . want stay London get Heathrow ease would stay minute . 
 Dec 8 2008 	 great hotel superb location 	 stay Hilton hotel year one live expectation . hotel great location access Tube also Paddington Station ( right beside ) - handy flight Heathrow since catch Heathrow Express . also numerous cafe 's shop station need pick sandwich coffee . we upgrade deluxe room upon check since Hilton Honours Gold Card customer . room ( 511 ) big , huge bed , flat screen tv , mini - bar tea / coffee make facility . clean , tidy date worn . rate not breakfast include go nearby Starbucks station . hotel much business traveller not feel though get personal service would small , boutique hotel . all , complaint . nice hotel heart London , good location . 
 Nov 12 2008 	 typical business hotel 	 typical business hotel grow business area around Paddington . easy fast reach to / from Heathrow Heathrow Express . Size standard room vary greatly . nice spacy room next stay rather small one . always clean tidy room . London hotel , price extremely high . 
 Nov 8 2008 	 great location room spacious comfortable Executive Lounge fantastic ! 	 love Hilton Paddington . get late London , take Heathrow Express Paddington Station even walk outside get Hilton . great : room spacious , comfortable linen really cozy feel . entire hotel beautiful exactly look . diamond member able utilize Executive Lounge lot fun since sit train station . veiw everyone come go great selection food spirit . the hotel central perfect . 10 pound taxi Buckingham Palace everything else pretty accessible walking , hop on / hop bus quick taxi tube . the Hop on / hop literally right outside hotel bunch pub McDonalds / Burger King well . starbuck attach hotel . bad : normally travel be business suit time London NFL international game ( jersey ) . first night , since got late force eat McDonalds since thing open . bring back hotel lobby lobby manager tell we people stay hotel could could utilize space . not hand Diamond card get different response . one nice hotel London , high end , thus little bit pretencious . secondly , room locate extremely far away elevator . know sound ridiculous travel old person , could feel farness . lastly , count concierge sort information . person valet give hop on / hop brochure . honestly know less London twice . 
 Oct 31 2008 	 Good Experience Overall 	 check Hilton Paddington Easter Morning . problem store luggage til room ready ... room spacious enough , comfortable bed . surprised dinner include room rate- interesting buffet . breakfast also quite good . it incredibly convenient connect Paddington Station tube line without splash around rain . 
 Oct 26 2008 	 fantastic location 	 fantasic hotel . clean , friendly , fantstic decor ambience would definitiely stay 
 Oct 25 2008 	 great stay 	 find competitve rate Expedia ( $ 333 ) , even well Hilton 's website . hotel wonderful quick trip London . situate right Paddington Station , offer 15 minute direct rail connection Heathrow . the double room stay spacious , well furnished , high tech tv . Paddington offer excellent starting point day easy tube access major Underground line link business touring . station also lot well price dining option . highly recommend ! ! ! 
 Oct 13 2008 	 well location 	 city 's hard find hotel convenient location , affordable price , quiet room , Hilton Paddington much recommend . be exactly affordable -- include taxis , 175 pound per night ( include well average breakfast buffet ) -- good get location quiet . travel carry - on luggage , be possible hotel less hour landing Heathrow , something really value . get Heathrow Express Paddington , walk directly hotel lobby -- well often rain outside ! ! tube link mean location London easy get , well . room average decor ambience , average toiletry supply comfort bed , superb term quiet . think another hotel ' ve peaceful night -- despite floor huge mass corridor room ( long walk elevator ) , wonder person stay ! fact , hotel really busy . , , real bonus London 's unusual lose sleep noise street people coming go hour day night . short stays city , Hilton Paddington maximize time energy available . 
 Oct 11 2008 	 Excellentbut expensive 	 wife stay suite , room 502/503 . usual amenetie , large bathrooom seperate shower bath . fact 2 toilet seperate part room .. seperate dining area .There turn service nice . room service good , however get charge £ 3.50 per tray although come trolley ! ! check 12.30 , problem . executive longe busy day , however plenty room late evening . alcoholic drink allow 6 - 8.30 pm . location excellent train heathrow airport . during stay LCD flatscreen T.v 's put room . little grumble bedside / stand lamp do not work . I would recommend hotel , be clean , comfy really expensive . my wife use hotel regular 's convienent we arrive train , hotel less 2mins . 
 Oct 1 2008 	 nice room watch overcharge bar 	 Hotel nice , decor good hotel 's location great . the room indeed spacious bathroom finish high standard . watch charge add bill , friend drink Steam bar although order drink bar waitress service , 10 % service charge add bill . query upon check receptionist grudgingly remove charge . also ask remove several item mini bar show incorrectly bill , useful want use express check service . all nice hotel service could polish . 
 Sep 30 2008 	 nice hotel 	 excellent hotel . choose location , travel London Paddington train . concerned may disturbed sound station noise underground line . worry . 2nd floor . standard double room , spacious , nice big bathroom . Tea & amp ; coffee room excellent . never stay somewhere provide coffee perculator room ! breakfast include room price . good choice hot & amp ; cold food . staff pleasant , polite nothing trouble . will definately back . 
 Sep 29 2008 	 Super Staff 	 recently return tour holiday Japan experience superb service food exceptional quality feel compel give London hotel credit provide good breakfast good service ever . every person deal we attentive , efficient friendly . food ( include option whiskey porridge ) good quality . one complaint air conditioning room ineffective mean spend night perspire gently ! 
 Sep 25 2008 	 convenient come 	 stay quite time , double room executive room ( club access ) . fine executive room really spacious . bathroom granite glass . I love convenience able get Heathrow Express , check hotel , day ' m leave , check bag hotel ready head LHR . will stay -- fact , will less 10 day . 
 Sep 24 2008 	 good hotel good staff good location 	 wife , 4 month old son stay 3 night January 2008 . live UK nearly 5 year time head back Australia choose hotel specifically proximity Heathrow Express also fact flat lived road . we decide splurge request Junior Suite separate dining area , intention use baby 's sleep area . check seem room allocate not suite , fix immediately . room also face busy Craven Road noise not much issue night . eat room night , food service good - staff take extra care quiet baby sleep ! pleasant end UK sojourn . 
 Sep 13 2008 	 love convenient location ... 	 happy guest treatment . book 2 double room ( connect ) 2 month stay . travel family 4 , ( 2 adults,2 teen child ) . check tell room connect , fact separate wing hotel . course upset , request least room close proximity fall deaf ear . promise room connect next day , assure luggage would also move staff would lose sightseeing day , however happen either . come back hotel 6:30 p.m.and request change accomodate . inconvenience give access Executive Lounge , would prefer room request honor instead inconvenience poor & quot ; guest & quot ; treatment . also , careful order coffee dining room . order one cup coffee charge $ 12 . besides outrageous cost , coffee awful . I disappoint attitude Hilton personnel & quot ; Hilton Honored Guest & quot ; member frequently stay Hilton property , not seem matter management . location hotel great , unless stay short , future avoid property spend money elsewhere . 
 Aug 28 2008 	 Great Heathrow Express central visit 	 stay two day last week Hilton part joint business / vacation trip US . be great anyone travel to / from LHR , be nothing special money . location : Heathrow Express Heathrow Connect go Paddington , hotel connect station . given get Paddington 10 pm , godsend get tube taxi . area surround Paddington dull near major attraction . be 10- 15 - minute walk Hyde Park , everything else average visitor want see tube ride away . be also really near major business center though many , many businesspeople about . room : & quot ; upgrade & quot ; executive room , average UK standard ( frighteningly claustrophobic US Hilton standard ) . everything clean quiet . breakfast : room rate include breakfast , quite good buffet . good mix English , continental american choice . every room seem get free breakfast , not get , might well ask . breakfast run late ; 10:30.service : hard time get room service 10 pm first night , otherwise staff friendly . overall , be come London quick in - and - out Heathrow , be convenient get . want something long - term visit , get Hilton Green Park , Tower Bridge , Park Lane Trafalgar similar rate near will want . 
 Aug 25 2008 	 Cautionary Tale . . . 	 check - in time Hilton Paddington 3:00 p.m. , expect get room arrive noon . correct , check bag concierge . ask could use phone call friend need change meeting plan . ( mobile phone not work U.K. ) tell go back Paddington station use pay phone . , mind , Hilton Honors member , tell room number yet , could use phone either business center executive lounge . manage meet friend , decide go theatre . around 5:30 p.m . call hotel tell would late check . ask time , say 11:00 p.m. , say 's fine . arrive check 10:30 , front desk clerk tell hotel over - book send people another hotel . ? ! ! ! throw mini fit , lead intervention manager , give room . I realize probably busy Hilton hotel world , could not care less customer service , stil , episode make bad impression . 
 Aug 21 2008 	 great stay ! 	 hotel absolutely fantastic . could not easy take Heathrow Express directly access Tube whenever need get somewhere . plus Paddington station area great grocery store , well food stand , everything within walk distance . I actually arrive little early kindly accommodate weary traveler ... staff top notch food good well . one thing aware : minibar use sensor ... accidentally knock Pringles another food item checking see enough storage room water bottle ... appear bill . however , soon point error , immediately remove , al well . room also nice , quiet comfortable . would definitely return again — you can not beat location ! 
 Aug 17 2008 	 Great Value Great Location 	 husband stay four - day trip London Memorial Day weekend . first , hotel simple get Heathrow . hop Heathrow Express , 15 minute doorstep . love near Paddington Station , catch tube / bus rest city train Oxford . our reservation include daily buffet - style breakfast offer something everyone . would recommend . eat huge breakfast often skip lunch , mean money wallet time sightseeing . also grab bite many eatery Paddington Station -- eat . , Starbucks , boot , etc . the room large enough quite clean , plenty natural light -- even dreary London . bathroom spacious clean . complaint bed rock hard ; feel like sleep board . still , linen comfortable clean . usual , minibar incredibly expensive ; could get snack Boots Paddington Station much less . there club / bar / casino lobby , get kind crowded late night , sound never issue room . overall , enjoyable experience , would definitely stay next trip London . 
 Aug 16 2008 	 Convenient Hilton Good Size Rooms 	 return one night stay Paddington Hilton select proximity Paddington station last night London . literally station back door . bridge back entrance lead directly Paddington station two minute walk Heathrow Express take 15 minute Heathrow airport . work we since lot bag carry . check good sized well decorate clean room dropping bag go directly Paddington station take great western train Windsor Castle beautiful town shop restaurant . Paddington also connect bath location Southern England . Paddington underground station also make easy connection around London far stop Baker Street Madame Tussaud 's . room double bed cot son . refrigerator . wonderful sized bathroom tub compare pint size bathroom hotel stay . hotel attractive build high traffic area Praed Street -- bus depot , train station etc . hear traffic noise room airconditione . would definitely stay . McDonald 's Burger King within one block hotel Knightsbridge want posh area . pay $ 280 U.S. tax via popular hotel website deal breakfast include . book would directly Hilton website . Ths hotel 's standard post rate much high seem cater weatthy Mideastern clientele business crowd . family child well . go area restaurant . hotel service generally good although could friendly upon arrival . room ready time check 1 p.m . 
 Aug 13 2008 	 par 	 room small , noisy clean . door hallway provide sound barrier . could hear conversation hallway . exterior bedspread bedskirt dirty stain . noise barrier floor roudy room keep we awake night . roudy , bounce basketball wall floor . complaint desk help .... desk say go room find everyone asleep . unless stay Paddington Rail station attach , not . 
 Aug 12 2008 	 Location excellent 	 stay one night transit . arrive early morning tell could check time ( extra charge ) room small . prepared wait 10 am would able allocate we room new wing - fine . as previous reviewer say location excellent ; catch bus virtually outside front door Oxford St ; later day also walk across Hyde Park meet friend lunch . 
 Jul 20 2008 	 Good Location explore Great Stopovers 	 spend one night Hilton layover . take Heathrow Connect directly hotel 7 euro piece . hotel locate Paddington station excellent location airport access also access tube . room new wing face interior courtyard . quiet . room average size bathroom pretty nice . use Hilton point not pay room rate . sure hotel compare price , nice place stay want explore city layover Heathrow . 
 Jul 8 2008 	 excellent value . 	 great location take Paddington express Heathrow . large room resonable price London . 
 Jul 1 2008 	 Great Location 	 need hotel near Paddington Station Hyde Park Hard Rock Calling weekend . this hotel good B & amp ; b offer , good review . happy , breakfast good , decor nice . slight quibble would room small , areas hotel ( corridor etc ) aircon hot time . however , friend much big room , even though book room rate . term service , location decor , complaint . 
 Jun 30 2008 	 business stop 	 would say great hotel London short time need well connect Heahtrow , without take taxi , since connect directly Paddington Station Heahtrow Express , Heathrow approximately 15 min . , well tube station take middle city . also good store Paddington Station , need purchase food , beverage thing room . taxi Oxfood Street , close corner Hyde Park Park Lane ( Selfridge ) £ 2 take tube , take least double time . good facility , Steam resaurant good , breakfast nothing special gym promise . location 7/10 : exellent locate Heathrow , direct connection Paddington Station , easy find access . right middle London , Tube also locate Paddington Station taxis much expansive take example Oxfood street . Lobby / check - in 6/10 : huge lobby area get Paddington Station , opposite site easy find see . separate Hilton Honors check fast could easily help request change double bed queen . nothing special , friendly , bad either . room 5/10 : size room quite big , depend use compare . standard feauture like safe deposit ( fit standard size , 15 " , laptop ) , minibar , hair dryer , iron board , internet connection fee . tv small room flat screen anything like . good size work desk small resting chair . bed big comfortable , good . service good , since adapter work , get one room within minute lend . bathroom big nice . small minus strange light , work amazingly well . big size closet , could easily fit clothe two people stay long . mini bar ok , basic thing , nothing special , like small bottle champange similar . plus water boiler coffee maker . restaurant 4/10 : dinner Stress restaurant , average . like bar , small " booth " leather sofa group . open space seating , bit negative . one girl serve every one , lot people , due semi final Euro 2008 , could hardly understand english , poor least . menu ok , absolutely nothing special . net information room , sould like asian offering tempura bento box , fact , tempura sell already 6 p.m. , seem strange , poor management . another negative thing , serwe appertize time main course , ask take back would get cold . answer get always serve everything time ! manager see comment take main course back ( later plate cold chicken , tired discuss ) . coffee , ask warm milk side , ice cold , send back well . , slow poor service food nothing special speciality sell half day . the breakfast bufé ok . ' always compare , view , bottom half . fill purpose , nothing special specatcular . many would probably argue need much anyway , one eat similar thing breakfast anyway , special bufés , get spoil want time . bread almost half breakfast , since get 1 ½ h still time leave . plus could get fresh omelett make . other : gym / fitness center , even send email arrive , ask free weight tread mill , say . two tread mill , one rowing machine , one " ski machine " two bycycle . gym consist one breast machine , one back one leg … that ! really poor ! ' huge hotel , might , ; walk far room . overall , think ' good hotel stay night maximum two . connection Paddington Station Heahtrow Express / Tube station , excellent reason stay time . Heathrow 15 minute . usually lot room , might seem picky review , stay LOT hotel , therefore always compare demand lot , maybe much often . average Hilton hotel huge metropolitan city fill purpose night stay excellent location connection move around . 
 Jun 27 2008 	 amazing hotel fabulous stay . 	 stay hotel two night include dinner 1st night plus breakfast morning . we double room third floor overlook station roof . room spacious London hotel , well soundproof bed really comfortable . not problem water other mention - marble bathroom really impressive . couple disappointment ) kettle not work ( defence keep forget tell check ) b ) chambermaid service not come room early enough return 4 pm bathe change trip theatre evening room still not do . the food hotel fantastic - saddle lamb apricot stuffing bubble squeak husband chicken breast herb sauce potato cake . careful price drink - £ 6 glass wine £ 4 tiny bottle coke . breakfast buffet also fantastic although ' m sure worth pay £ 18 not include room rate . everything could ever imagine , even smoke salmon . location - wise , hotel fantastic . come south - west England , train go Paddington station . get hotel go shopping mall , escalator across short footbridge be main foyer hotel . someone else say go way walk load corridor - must eye shut ! ! morning , go back across footbridge , station underground . highly recommend buy Oyster card ( pay go ) single fare cheap make enough journey card cap rate day travelcard mean not fiddle paper ticket worry go permit zone . I would definitely definitely stay , fact ' m already look book next stay . 
 Jun 21 2008 	 C.B . 	 neice stay March 2008 8 day - think hotel EXCELLENT ..... rate include free dinner first , third fith night plus buffet breakfast morning - Food excellent , something please everyone . the room great - clean bed , comfortable .... bathroom ton space nice . the staff excellent treat we well . I would rate Hotel 10 10 stay go back London . 
 Jun 9 2008 	 great location ... uncomfortable bed 	 stay four day begin June 2008 spend 13 day cruise . hotel attractive outside nice neighborhood fill local restaurant several food chain : BurgerKing , Pizza Hut , Subway KFC . many indian restaurant love . meal excellent reasonably price . the hitel nice lobby wonderful concierge . use Hilton point enitre stay . room 4th floor side hotel . fairly quiet give proximity Paddington Train Station St Mary 's Hospital ! room lovely - sapcious modern . thankfully bring extension cord could CPAP next bed . simply unplug cord side room every morning . bed however HORRIFIC ! like someone take wooden pallet place thin foam mattress top . every time move bed would crack . hard rock . convenience hotel great . red bus ( 36 & amp ; 436 ) pick street bring we major London sight . Tube Train Station connect hotel . station Starbucks , YoSushi , another coffee place , small food Marks & amp ; Spencer small Sainsbury . several restaurant , sandwich shop , boot walk - in doctor . despite bed situation , would stay . nieghborhood convenience wonderful . check breeze . everyone friendly helpful . eat restaurant bar price bite steep we . plus addicted Indian Food want eat locally . 
 Jun 3 2008 	 great Stay . 	 wife stay hotel three night 29 May , enjoy experience greatly . room clean locate 5th floor overlook train station roof , quiet could expect London . book breakfast dinner first night change third night go show Thursday - problem . breakfast great buffet evening meal , include pkg , moderate , slightly well pub meal although salad bar starter top class . issue water presure shower every morning minor inconvienence . overall , would return , hotel location within tube system brillliant , change station get destination . 
 Jun 1 2008 	 speed business traveller ; return hotel . 	 Overall Okay hotel . disappoint however hotel 's approach handle complaint internet connection . connection extremely slow , could get work do properly . regardless , Hilton insist pay GBP 15 service use . basically , Hilton offer internet service rate dial - up rate . colleague stay another room problem . business traveller like , give great inconvenience . 's plenty choice area , return hotel . 
 May 27 2008 	 Fabulous Stay ! 	 read review Trip Advisor , convince stay Hilton Paddington go miserable , satisfied stay . room upgrade upon arrival standard deluxe room , huge ( especially compare hotel Paris come ) . room ( 511 ) overlook inside train station , view speak , fantastically quiet ( check say want & quot ; nightclub & quot ; read Trip Advisor front desk person look confused ... not see nightclub either , although bar . ) bed fine showered night , issue water temperature pressure . husband say get hot morning shower second . certainly nothing even think twice . breakfast dinner include hotel package meal great . many option breakfast buffet , try something not like , not eat ... 's plenty option . not much hot breakfast , husband complaint . orange juice particularly yummy . server pleasant attentive . the location near anything particularly touristy , right tube stop , ultra - convenient . I would definitely stay . 
 May 27 2008 	 intentionally misleading info internet access ? 	 hotel integrate Paddington station , extremely convenient need spend night catch express train Heathrow . clean , modern room , good breakfast . my complaint reservation say ( translate mixed case cap , punctuation original ) : & quot ; double Hilton guestroom contemporary decor air conditioning , broadband , wi - fi , safe holiday special include buffet breakfast full prepayment require , refund & quot ; turn internet access charge rate GBP15 per day . read text internet access include . ( not charge extra air conditioning ! ) remark desk clerk close false advertising , say would call attention management . hold breath . 
 May 18 2008 	 impress 	 hotel may connect bridge direct Paddington Station however ; positive feedback would give . front desk staff clueless pose problem would rather walk away continue discuss find solution . addition bar serve drink night rent private party night , mean hotel guest sit cold lobby drink . if someone ask would stay answer would certainly , certainly put use hilton hotel future . 
 may 18 2008 	 nice stay 	 girlfriend book hotel thorugh londontown.com , £ 100 night . ' ve London numberous time ' ve often pay lousy basement room central London . 100 quid inckluded dinner first night rich breakfast buffet every day . get large , clean room 5th floor , disturb traveller discribe review . location brilliant . across street Paddington tube station connect Paddington train station . also lot uf bus take Oxford street . sometimes book room pleasure trip posh hotel , staff seem ignore bit . case Hilton Paddington . staff friendly helpfull . 
