economical 	 property convenient stay smooth . room clean service perfect . not take meal morning breakfast hygienic tasteful . Thought take dinner & amp ; great . location also decent one . definitely visit hotel whenever plan come back . 
 France love India 	 first visit India . one friend suggest take stay hotel . I book suit room internet . hotel arrange complimentary airport pickup . give classy service , room neat clean , mini bar thing need , restaurant good food awesome . interior room really good give positive attitude . staff hotel well train give good service . also enjoy internet service drawback location hotel i.e . karol bagh area crowd . despite drawback area really enjoy stay . I would like thank hotel staff cooperate give good service special thank go especially front office hotel charge printout take hotel computer . 
 hotelnanakrock 	 property convenient stay smooth . room clean service perfect . not take meal morning breakfast hygienic tasteful . location also decent one . definitely visit hotel whenever plan come back . 
 Dec 10 2007 	 clean Enough Erratic Service Noisy Neighborhood 	 search great deal online find hotel Delhi . dismayed high price negative review many low - middle range hotel , attract hotel 's excellent web site , fairly reasonable price , offer amenity . also liked offer courtesy pick - up airport , especially give location airport . unfortunately , although send email call hotel book reservation ( pre - paying online , require ) clearly request airport pick - up list flight number exact time , one wait pick we arrive Delhi airport . call find forget send someone ( even though reportedly pick - up schedule ) . not admit first , though- say driver & quot ; way & quot ; & quot ; stick traffic , & quot ; would twenty minute . suggest wait cafe stall outside airport , happy . coffee tasty snack ... twenty minute pass ... thirty minute pass ... husband keep call see happen driver , tell repeatedly close . ' want make nuisance concerned might wrong place driver might overlook we somehow , especially initially tell would much less time . wait hour give finally & quot ; person & quot ; arrive name placard . apologize profusely polite , cheerful , communicative , appreciated . long drive ( due heavy Delhi traffic ) , finally arrive rather sketchy area Hotel Sri Nanak located- greet apology . situation think concrete gesture complimentary fruit plate room upgrade ( want extravagant ) make amend would nice gesture , conciliatory gesture make . hotel elevator claustrophobic screen gate- preferred stair . nice attention pay decorate hallway pleasant statue ( possibly Ganesh ) flower . room ( 306- think ) adequately clean , although furnishing décor bit date , fairly represent web site . " headstand " bed look dreary person photo . nice flat screen tv usual lineup indian channel , news , two movie channel . third floor overlook dismal alley fair amount noise come air vent . traffic noise heavy , alley also busy activity people center street bonfire well pack wild dog wake we howl middle night . ear plug must . hotel ' fault , something keep mind light sleeper . bathroom quite cramp , water take heat , heat eventually . another thing find strange although toilet paper , toilet paper bin keep main bedroom- making almost impossible anything flush paper . soap provide hotel quite harsh . bed clean , floor clean enough bare foot , nice . time get room 30 minute room service menu close , make quick order veg . indian dish . food ok , spectacular . never opportunity try breakfast flight leave early morning . ( unfortunate , small snack coffee would really help we get travel ) . next morning checking , tell management ' specific item room bar ( water , chip ) . try charge we coffee ' ( bar stock 1 , 2 coffee check , ' know normally stock 2 coffee visit night later ) , finally back insist it- inconsequential matter , make we feel rather unpleasant . stay hotel trip Agra time put dreary room without mini bar- ' especially care mini bar issue , room smell like garbage ( rm . 204 ) request transfer previous room accommodate . get settle , interrupt staff several times- return passport , present we wet bar inventory confirm initial ( good idea feel somewhat insulting- still think ' steal coffee ! ) , among thing . visit upstairs " restaurant " find dark , windowless room , decently decorate , seem computer internet access ( use two guest ) . might stayed eat , restaurant host cool we ' feel comfortable go back room order food via . room service . also unclear airport pickup service complimentary ( theory , ' mind wait ) , airport return service , fact cost additional 500 r . domestic terminal whopping 750 r . international airport . early morning driver airport speak us- huge deal , something leave we warm feeling overall experience . also note , expect pay tax bill cab fare hotel lobby cash , mean end Delhi airport 35 r . name . ( one ATM domestic order , food station airport accept credit card go without breakfast ) . think hotel situation Delhi generally quite dismal unless afford pay high end hotel ( seem huge jump low , middle , high end price match ) room ' bad- maybe check fairly late night check early morning- experience staff hotel leave we feel rather . staff member unusually cheerful- notably guy accompany driver pick we , someone charge finance solve charge problem even ask to- otherwise , experience tire feel terribly welcome . decent deal look true mid - range hotel ' care pick airport time . also possible experience unusual , might check review see meet airport timely fashion . sure could far bad Delhi . issue build facility much issue logistic / atmosphere easily overlook , especially ' overtire travel . might consider spend one day Agra , stay somewhere relatively inexpensive Delhi night , go quite nice hotel Agra , stay one night Delhi bargain hotel- nicer hotel stay Agra ( Hilton ) money well spend . note : guest see happen foreign guest , may influence atmosphere / mood place . 
 Nov 30 2007 	 basic accomodation good service 	 hotel decent , ' ve Delhi know hard find decent midrange hotel . location chaotic large Sikh temple start chant 5 wake ( find quite entertaining ) recommend stay Connaught Place area afford it . the room clean old although update , breakfast average compare hotel India . positive side , hotel offer like , service driver , decide hire driver take we Jaipur avoid crow train good idea . give we excellent driver , friendly experienced great SUV . arrive Jaipur negotiate hotel decide keep rest stay India . fantastic , part along , recommend hotel . 
 Nov 26 2007 	 basic accomodation frenetic Karol Bagh area 	 poorly review property Delhi ( even expensive one ! ) , choose Hotel Sri Nanak base photo website fact offer suite ( 4 bed ) suitable 6 person family . term room ( stay $ 120 / night Presidential Suite ) spacious basic 3 - star level . despite name , certainly nothing fancy , furnishing particularly new room seem clean . staff friendly eager help . would call hotel simply & quot ; basic accomodation & quot ; great value all - together ( even $ 65 standard room ) .The big negative people location . Karol Bagh India noisy , smelly , crowded , frenetic glory . want stay midst busy market area , perhaps positive , nerve - wrack we take kid anywhere street ( catch cab etc ) . also , note large Sikh temple 1 block away start chant 5 wake . traveler ( especially first time India ) , pay extra $ stay Connaught Place . 
 Nov 24 2007 	 Clean Comfortable Nice staff organize great trip 	 bottom line : nice clean comfortable hotel nice staff great reservation department arrange good affordable trip uspros : nice amenity ; conscientious staff ( eg . allow we use room free charge change leave airport ) ; reservation department arrange excellent affordable private vehicle Golden Triangle trip ; free WiFi internet access w/ computercon : little way ( Karol Bagh ) - worth keep hotel 's card direction autorickshaw driver ; average restaurantEXCEPTIONAL items : book trip hotel affordable enjoyable . book 2 night Agra Jaipur provide driver courteous provide local guide ( need ) stop . 
 Nov 1 2007 	 excellent know bad place 	 read bad review , ' ve decide stay hotel . interestingly enough , mistake , worth . instead , ' ve stay terrible place call Hotel Classic Channa Market 2 night , get room Sri Nanak . ( interested Classic story , look - review ) .Had come Sri Nanak first place , would probably bad thing say , reviewer . however , sometimes thing see comparison . experience India , rush conclusion . 's different ( India ) .The front desk staff great . hotel owner , Mr. Nanak - extremely likeable chatty fellow . the room well decorate , flat screen plasma wall . get slipper wear room . guess , be nice touch . ' ve spend 2 day hop around different hotel towel , want step disgusting floor . , floor clean . slipper nice add touch . bed comfortable , albeit short ( ' m 6 ' 2 & quot ; / 186 cm ) . ' ve mention Mr. Nanak follow day - say already similar complaint , think replace bed . yes , bug bathroom . come ventilation grating , exhaust fan . ' ve mention Mr. Nanak well , say put steel mesh grating , outside . like idea . colleague , ' ve stay hotel , think return within year , would see grating place . the upstairs restaurant excellent , 's chef . fairly large selection indian cuisine . , not really like indian food , however ' ve enjoy interesting dish . breakfast sub par , be cheap , see reason complain . on second night , dinner Mr. Nanak , entertaining , offer refreshing view business future India , well effort improve hotel . anyhow , ' m sure think review shill - not really care . Read review ( Hotel Classic ) maybe understand . as check , 2 british fellow arrive . ' ve ask hotel . say - first time India ? say yes . say , case , not think be go like . everything know comparison . 
 Oct 29 2007 	 Liked much go back 	 friendly , clean , modern well run place . beat track relatively quiet corner ( India ! ) Karol Bagh , be within walk distance metro Ajmil Kahn Road bazzar . room not huge clean well equip ( A / C , fan , tv , fridge , hot water etc ) . free Wi - fi thoughout hotel would useful laptop ! free internet restaurant . food fine , little price compare place stay India . certainly stay cheap place ( r/- 2126 incl . taxis ) , overall experience we revisit two subsequent time pass Delhi . pick - up airport railway station recommend , even make Karol Bagh , rickshaw driver know . remember take phone number hotel case driver run late ( would leave behind first arrive Delhi end stay somewhere else internet international airport ! ) . say great two time pick . 
 Oct 24 2007 	 Excellent service impeccable room great price 	 yoga teacher leading tour India frequently bring people come India first time hotel . always happy stay Sri Nanak staff responsible , always pick - up airport train station time , helpful respectful . restaurant healthy great food ! excellent balcony roof plant enjoy view eagle circle around Delhi . room excellent , modern appliance beautiful decor . hotel go ' way provide comfort thoughfulness towards ' guest . 
 Aug 13 2007 	 Lovely stay 	 read positive review finally decide go hotel . Sri Nanak turn amazing hotel .Its nicely design hotel get expect . staff polite , helpful . highly maintain hotel worth price pay .The good part free Wi - Fi service provide . modern TFT T.V . also good .Besides food serve roof top restaurant delicious high quality . would recommend traveler go cheap option available around will not feel safe hotel . feel totally safe stay hotel nanak . also go agra hotel cab journey perfect . organize perfect travel package we . altogether perfect stay delhi . next holiday surely stay hotel nanak . 
 Jul 31 2007 	 put we room without window ! 	 book expensive room Sri Nanak window creaky air conditioning . get another room reasonably clean slightly derelict toilet . checkout try charge expensive room . 
 may 9 2007 	 amazing stay 	 less U.K. hotel , comparitive prices.have wireless faciltie free.in U.K. u pay them.food awesome.with nice transport faciltie free breakfast . 
 Apr 14 2007 	 highly rate Hotel Sri Nanak 	 first visit India come first attend professional conference University , sightseeing . , first part visit , stay 5 star hotel Delhi , want move less expensive , safe , clean hotel sightseeing portion visit . goal see experience & quot ; real India & quot ; .I use web site locate Sri Nanak hotel . everyone speak glowingly staff friendly -- although many compaine neighborhood , other say essence & quot ; complain ... 's India . & quot ; well , guidance , book room . delighted report , , perfect decision . travel quite bit internationally main goal find place safe clean -- yet would give access roam around less touriste part Delhi get taste everyday life . be exactly find . yes , street noisy ... , be part charm interest . people incredibly friendly neighborhood . need glass fix accident couple day early . desk staff hotel give direction sure enough , optician Pujabi Optical fixed glass , stay tea -- would not even accept payment service . able visit intersting shop small streetside Hindu shrine -- , location , experience great hospitality . hotel clean , room certainly provide amenity need . yes , bed hard side , like way , problem . free wireless room much appreciate , tv , phone , plumbing work fine . one thing complimentary airport service . arrange stay Sri Nanak one day , travel via airline another part India day return Delhi another day return US . , arrange Sri Nanak someone pick airport . mistake scheduling procedure , cab driver tell would arrive 5:00 pm ( actually time leave another city India ) . arrive 9 pm night , driver still airport wait . blow away level conscientiousness . needless say , happy give driver large tip . my goal desire may match traveler , hotel Sri Nanak perfect location . ever back Delhi ( hope ) , definitely plan make Sri Nanak home base . 
 Apr 11 2007 	 dirty loud hotel - completely overrate 	 hotel leave everything desire . noise inside make impossible sleep - hair previous guest leave sheet . staff unfriendly helpful . would strongly advise stay hotel . 
 Apr 6 2007 	 move 1 night 	 isolate - long walk train station . taxi / rickshaw tell know not . filthy street even delhis standard . grim breakfast . redeem feature - flashy shower - work properly ! 
 Apr 1 2007 	 overpromise greatly underdelivered 	 overpromise greatly underdelivered husband stay many hotel worldwide definitely bad hotel come across , despite fact stay 3 night . read several positive review booking stay Sri Nanak arrival thoroughly disappointed . husband arrive 10 pm Bangalore . arrival greet young man reception & quot ; oh ... Mr Quayum ? & quot ; . may indian surname English accent hardly convey confidence hotel mean international tourist . stay list : 1 . bed cover dirty , complimentary long black hair small dead fly fold . request ' clean ' sheet . 2 . air conditioning ( large machine ) noisy position directly bed arm 's length . 3 . hotel 's website state ' run hot cold water ' - hot water available run hot tap 20 minute , inform reception hot water , tell keep run become hot ! 4 . bathroom fan explode ( yes ... spark smoke black ! ) call reception , somebody came tell would electrician see next day - happen ... surprisingly . 5 . 4 am wake someone bang door ( door flimsy staff keep try open door outside time ) ! door sign state ' do disturb ' ' please clean room ' . 6 . room sound proof - could hear guest chat loudly child run corridor outside room 6 am . 7 . wardrobe door break , dirty strong odour decide keep anything . 8 . safe wardrobe however bolt attach anything - anyone could walk ! miserable stay make time search hotel 3 night stay Delhi . think carefully stay ... warn ! 
 Mar 31 2007 	 barely expensive 	 bad hotel compare Karol Bagh hotel , unfortunatelly cost 10 time another similar kind hotel cost new Delhi . 
 Mar 26 2007 	 Great Hotel 	 apprehensive booking hotel Karol Bagh travel girly party ( 23 month daughter , mum , mother law sister . ) however hotel fab - book presidential suite ideal family two separate room within one room allow privacy peace daughter sleep . the hotel location fantastic Gurudwara , McDonalds Pizza Hut , ATM great shop walk distance . the hotel restaurant ok , food nice room service handy order takeaway room add bonus . the water bit temperamental leave run 5mins ' hot - problem . the hotel clean well keep . staff good manager nice . if stay Karol Bagh - go 
 Mar 21 2007 	 Sri Nanak -great get cab find ! ! 	 read various review Sri Nanak , we - a party 4 - book directly 5 night , request presidential suite . we generally please room - more likely impress president small nation & quot ; ol ' W & quot ; US survey- various thing could clean - the bath took ever run away , mid range hotel serve purpose well . room large fridge table chair well sofa chaise long ...... real bonus roof top restaurant - serve breakfast lunch evening meal . 's good value food generally tasty . nice sit night sup beer two - providing not run ! one point bear mind Sri Nanak way centre Delhi - Karol Bagh area town lot cab driver Connaught Place seem know well- one night whilst come back driver get lose ask local hotel -showing card address : man disclaim knowledge hotel road : point realise actually hundred yard actually right street ! ! good bet fussy . 
 Mar 17 2007 	 expensive get 	 book hotel base online review . know basic several review indicate good service . arrival clear room basic clean . staff pleasant . internet use good free . Rooftop restaurant extremely average . location nosiy busy street run area Delhi . guest local . airport pickup OK free airport drop pay . cost basic room US $ 40 suite ( glorify basic room ) US $ 81 . term & quot ; suite & quot ; interpret caution . basic accomodation frill really cheap . 
 Mar 11 2007 	 Nice India standard 	 nice enough place . nothing great outside , room western . would reccomend many hotel . 
 Mar 1 2007 	 think twice staying 	 decide stay Sri Nanak last month read positive review , however quite disappointed . the room ok , reasonably clean , however bathroom well standard door rotten . hot water afternoon either . the front desk appear helpful , number occasion tried charge we taxi , car etc . also mislead we regard excursion place like Agra . I see visitor find staff overly helpful , seasoned traveller savvy realise be try take ride ! negative thing leave hotel arrive Mumbai realise clothing steal suitcase . stay Sri Nanak make sure always leave suitcase lock even 's nothing valuable inside ! travel around India time Sri Nanak far 3 * star claim comparison hotel stay at . finally , choose stay ( would not ) , book directly hotel rate MUCH lower offer third - party booking website . 
 Feb 23 2007 	 Give miss 	 plan stay hotel three night , however check first night . hotel noisy , bed sheet reek petroleum product , phone work , shower curtain flow project straight toilet roof top breakfast area filthy tablecloth . say stay , advise we pay 3 night give 24 hour notice cancellation 2 night . reply possible know hotel would bad . extremely lucky discuss colleague husband happende walk reception , total coincidence even know Delhi , check reason , give credibility complaint . leave pay night stay . recommend hotel . 
 Feb 21 2007 	 avoid Hotel . over - rate 	 read good review tripadvisor website decide book hotel . dissapointe get . First give we room good condition face main road noisy . complain give we alternative . complain would left we . room good condition , duvet blanket clean . hotel promise we welcome fruit basket receive . location hotel good . road dirty , busy , noisy polluted . travel around delhi , nice claner place stay . one day room clean , tell take key clean even though hotel master key . dining area locate rooftop nice morning . book taxis hotel , later discover hotel charge commision service . also , hotel give we poor exchange rate commision exchange currency . ignore good review see hotel , non true . suspicious source . avoid cost . well pay bit get something alot well . staying recommend anyone . 
 Feb 16 2007 	 everyone 	 hotel send driver pick we Delhi airport god send staff polite helpful . surprised no - one seem mention hard bed though . ask extra blanket put like sleep rock ! think might suitable hotel backpacker season traveller first time visitor India Delhi bit shock . hotel great area wake first morning 5 am parade going actually think riot ! second morning 4.30 someone REALLY LOUD speaker middle road . bizarre . hotel also quite noisy - India ! overall great holiday even though staff restaurant good would recommend spending bit stay good hotel Delhi central area . area tour , Delhi probably big shock , good hotel must . 
 Feb 12 2007 	 good hotel travel child .. esp presidential suite 	 stay hotel read review tripadvisor overall would say good place stay . we pick airport grateful . travel child stay Maharaja suite quite good . problem TV , fix promptly . staff polite happy manager Sandeep friendly take lot pf pride hotel . the taxi station early morning nightmare pick follow week - end . not rate taxi service . mix room follow week - end , pre book confirm follow week - end offer & quot ; alternative & quot ; maharaja suite bunk bed kid . bit protest disatisfaction offer presidential suite ( price ) - good . sleep 6 . would say staff conscientious manager . we breakfast room also eat upstairs roof top hotel . food reasonable would eat again . the back hotel noisy . Karol Bagh one good area metro station nearby gurud wara , hear lovely melodic hym once . the room see web site . would suggest look room first accept . 
 Feb 11 2007 	 fantastic management 	 average 3 start hotel situate busy commerical area . average hotel ( cost arm leg Delhi ) staff management go way make stay stress free relax possible ! daughter get sick one nite foned reception 2 ... get taxi manager come we hospital ... fantastic gesture think ! ! ! ! internet , massage chair , newspaper , airport pick drop , one whole day sighseeee tour , half day shopping tour fruit bowel give free charge together 5 key ring holder ! price definitely woth value ! 
 Jan 28 2007 	 think carefully go 	 hotel expect review . family four two room book night 8 , 9 , 10 January . meet airport transport two car ( promise one large car ) . Karol Bagh good area stay hotel staff courteous . however , room live expectation . girl room terrible smell room bed linen , lie clothe pillow breathe fume . ask change , alternative well . room fridge , jug not work shower water fall floor bathroom . bed sweep time ! decide telephone somewhere else , except phone not work , morning . neither girl ' room room friend run unexpectedly reception follow morning also check smell room . also read trip advisor review pretty disillusioned .. husband also not sleep noise . move Jukaso Inn downtown near Connaught Place around price much satisfactory . 
 Jan 21 2007 	 good hotel 	 think lovely small well run hotel Karol Bagh area Delhi . staff fantastic incredibly helpful . choose presidential suite ideal family easily sleep 5 - 6 people 2 bathroom . hotel nice touch include free internet access , daily paper push door fresh bowl fruit serve every day . restaurant offer good range dish , get bit chilly evening January ( be roof ) opt meal serve room . Karol Bagh area busy day plenty shop get quiet enough evening problem sleep . tend use taxi service hotel great reasonably price - driver really take care we cut hassle . take 15 minute get Connaught Circus . great stay . 
 Jan 18 2007 	 ok 	 stay hotel January . clean , inexpensive staff generally helpful . wireless internet useful problem hot water get use tap . however , hotel definitely luxury option location Karol Bagh great . agree comment hotel bit like cheap 1970 US motel , one two - star hotel find Pigalle area Paris . stay Delhi , would probably stay five star hotel , dearth high quality mid - range option city . 
 Jan 17 2007 	 average 	 hotel average , nothing special . area good night . particular room window mattress thin ! staff front desk really care anything always phone . would try find something close . do not trust photo 's . 
 Jan 1 2007 	 nice 	 executive room clean quite modern , nice bathroom shower . nice tourist class hotel give great value money . the hotel place quite sentral New Dehli , short ride railwaystation . try avoid eat resturant , nothing special . look old , dirty beee top floor hotel would expect view , well not . the sourrunding hotel much night , light come ATMs jeveller shop . need place night would recomend Sri Nanak continental . staff friendly serviceminde two day stay 20 - 22 desember . 
 Dec 21 2006 	 clean book direct 	 clean general . hot water seem request need wait 30 minute . seem case place across India mid - range hotel , think could bit . breakfast basic tasty . not like area either not near anything really . request clean towel toilet paper . seem hard find decent hotel Delhi . not bad , book directly book expedia pay odd . staff friendly enough . 
 Dec 18 2006 	 surprisingly good 	 obviously , Sri Nanak Hyatt Sheraton . however , get initial doubt , instance , area hotel locate , 's bad hotel . fact , turn , Karol Bagh , area hotel locate offer busy authentic street market Delhi . GREAT place shop , dining , etc . get use huge amount people street , car , noise , etc . hotel simple , clean , staff quite friendly . also roof hotel restaurant , offer rather unattractive breakfast westener , quite delicious indian cuisine . also , Karol Bagh lively area , fair amount noise day , night quieten . thing noticable bark street dog ... would definitely go , although see Sri Nanak everyone . big plus also mention : offer free WiFi room ! , handy India . 
 Dec 18 2006 	 bad 	 first time visitor delhi find surround location pretty scary.it look even run destitute imagine , right edge big market asia hussle bustle bite intimidate first day.after day get think pretty cool.if look budget price stay away think pay odd compare place stayed.the hotel clean tidy , staff helpful food ok . would stay - yes think would . 
 Dec 8 2006 	 clean safe excellent value money 	 lone female arrive Delhi 4 am pleased take advantage free hotel transfer . think might little stress otherwise give thing see airport . the staff excellant go way help . hotel clean . bathroom fine certainly well lot place Delhi price , be sure . complimentary bottle water basket fruit room . bed reasonably comfortable sprung . find little noisy time . instance family floor insist conversation 2 am corridor , not exactly use hush tone . one thing would suggest introduce & quot ; disturb & quot ; sign post outside door staff not keep disturb want sleep travel jet lag . I not actually venture hotel area not look entice not think unsafe either . 
 Dec 8 2006 	 faint heart . adventurer ony . 	 look hotel use good stuff ( Sofitels , Hiltons , etc . ) stop . whole Delhi experience jar one westerner , frankly , go hotel like safe , make experience much try . look room available entire city ( happen ) go ahead cancel trip Delhi , head Mumbai , city actually good airport , road , enough good hotel hold everyone . I note though staff friendly . 
 Dec 6 2006 	 unbeatable value budget ; friendly 	 american , ' ve stay hotel twice past 30 day , time night . think 1970 's good western day Inn go masala , will get sense decor premesis condition . come back hotel staff really friendly give 5 star worth helpful service . eat , can not comment . yes neighborhood noisy 7:30 ' til 9:30pm . sleep like rock . yes mattress thin , 's style . like say , sleep like rock . read review someone expect indian - style bathroom ( be India - expect ? ) . 's toilet , toilet paper , shower head , tub . problem ; not put toiletry - bag floor shower . place cleanish : hardware old , nothing dusty moldy , worn . go sheet towel , problem use . laundry do , sure specifically identify not want iron ! default iron , ever material . couple polyester shirt come shiny hot iron . second time , have learn lesson , pointed iron , problem . come back Delhi , defintely stay folk friendly value unbeatable ! one piece advice , consider either retain whatever driver pick front hotel learn walk hotel gurdwara , taxi driver can not find place . suspect many taxi - wala can not read , map back hotel 's business card useless driver , drive two block , stop , ask direction , advance two block , repeat . gurdwara , however , easy find . 
 Nov 27 2006 	 would stay ! 	 choose hotel base positive review , pretty much agree . place clean , luxury level , price , 's bargain . restaurant staff outstanding , free internet bonus . side neighborhood nothing special . be bad , unsafe , nothing interest tourist . not expect four star resort , expect nice clean room hard work staff aim please . not use hotel 's travel arrangement , other seem pleased . hotel provide free pickup airport , also good feature . 
 Nov 26 2006 	 good hotel good value ... 	 get & quot ; presidential suite & quot ; $ 100usd late Nov 2006 . large room , 1.5 bath . room probably half cost . great family four , could easily sleep six one king , one full two twin bunkbed . clean , service good . order room service food good well . free internet . would easily recommend stay . locate near Connaught Place . 40 min airport Delhi traffic , take we exactly 20 minute 4:30am since traffic early . 
 Nov 23 2006 	 good overall hotel 	 hotel locate Karol Bagh busy tight area centre Delhi . although quite noisy , quieten night . Karol Bagh good shopping easy grab Auto ( 3 wheeled taxi ) Connaught Place . as promise , provide complimentary pickup airport 30 - 45 min away hotel . hotel look quite small outside reception also small . room however fairly spacious tastefully decorate , spread 3 floor . important thing room clean air condition . free internet access also provide hotel 's basement . the hotel staff , include driver , polite friendly . sightseeing tour available comfortable air condition vehicle . I delight quality food hotel 's rooftop restaurant . menu contain assortment dish resonable price , cook traditionally . highly recommend & quot ; Afghani Chicken & quot ; ! overall happy 5 night stay hotel . be look good 3 star hotel reasonable rate , locate centre Delhi , hotel definitely worth consider . 
 Nov 15 2006 	 confirm comment 	 confirm comment . good choice people use stay similar hotel . honest experience . luc , Paris 
 Nov 14 2006 	 excellent value money 	 tidy inexpensive hotel good service , a / c , friendly staff rooftop restaurant good dahl . neighbourhood crazy market day metro near . 
 Nov 11 2006 	 good service 
 Nov 10 2006 	 great place stay excellent fresh food ! ! 
 Oct 26 2006 	 average / ok hotel India 
 Oct 23 2006 	 good bet Delhi 
 Oct 11 2006 	 room ok noisy location great 
 Sep 6 2006 	 ok .... 
 Aug 23 2006 	 excellent choice ! 
 Aug 5 2006 	 good hotel .. great area 
 Jul 9 2006 	 Great Hotel ! ! friendly service 
 Sep 28 2009 	 sucio sin ventana ! ! 
 Sep 7 2008 	 Völlig Ordnung 
 Jun 28 2007 	 Hotel correct mais plutot déprimant 
