Beautiful 	 spend four night two adjoining room 5th floor hotel last week could not happy . spacious well appoint room typically beyond comfortable Marriott bed bed large , though bit retro , bathroom . complaint , know prior arrive , would wi - fi room ( although breakfast pre - dinner drink executive lounge give we enough time laptop ) . staff helpful friendly ( lovely lady front desk go way accomodate request early check - in ) . within walking distance Shepard 's Market , Buckingham Palace , Oxford / Bond Street shopping convenient . would love chance go back stay ... 
 old grande dame get facelift . 	 stay Grosvenor several night conference November 2009 pleasantly surprise much improved previous stay 2002 . back , give tiny broom closet room bed old lumpy certain use Queen Victoria . hotel use look smell old lady see well day decade ago . Grosvenor apparently undergo major rehab glow polished . everything hotel nice , all - marble bath deluxe bed bath linen . room time huge super comfy King bed . despite large hotel , room extremely quiet . ' ve London dozen time stay different hotel new , improve Grosvenor hotel return . hotel bar really warm inviting . location short walk Oxford Street shopping . one tip : hotel Theatre Ticket service main lobby purchase theatre ticket immediately upon arrival . gentleman desk nice good recommendation . also get half - price , day theatre ticket Leicester Square , long walk hotel take chance ticket available . 
 great location Spacious Room 	 Grosvenor House , confused Marriott hotel also Park Lane , well situate across Hyde Park . historic hotel not offer many amenity ( think gym renovation ) , staff gracious helpful . arrive red - eye flight , well check - in time , promptly give room . excellent location major metropolitan city , surprised spacious room ( 820 ) . breakfast buffet grossly overprice ( 30 pound ) . Red Bar bit scene beautiful people London , complete Kevin Spacey sighting . 
 Jun 28 2009 	 great trip great hotel 	 stay Grosvenor House use Marriott point stay 8 night . upon check 1:30pm tell room not ready due hotel full , could use executive lounge husband 's Marriott reward status . maybe 40 min be tell we room ready give we key . nothing good thing say hotel . king size bed , non - smoking room . bed comfortable , bathroom average size . room roomy decorate tasteful color well keep furniture . use lounge everyday breakfast , evening cocktail appetizer . helpful not go find something every morning breakfast . vacation really complaint . everyone helpful ask something . call every evening wake - up call next morning would ask would like coffee tea deliver we morning . past reviews complaint thing & quot ; go & quot ; would come back room . not care class hotel be stay , lock . leave breakfast go upstairs lounge 30 min 's locked valuable safe . anytime leave room matter hotel staying , valuable get lock . problem outside noise . oh , tube 5 minute walk . go door back walk Mount ST . take leave walk 3 block couple good restaurant . Serafino 's Delfino 's pretty good , like Delfino 's well price fair also . would recommend hotel anyone . complaint . great stay would stay . 
 Jun 27 2009 	 okay even near 5 Star ! ! ! 	 husband stay last week two night . room finally appear walk along 8 corridor ! ! ! never ask smoking room get one , thank goodness smell . room okay , large , bathroom quite large great amenity . one bad thing we tea coffee room , ever 5 star hotel Britain tea / coffee room . buy coffee cafe several occasion , quite cold time finally reach room . we eat Bordeau first evening husband reward certificate book 6 week beforehand say anniversary . nothing , even pass comment ! ! ! back 10 night name hotel Dubai arrive London 5 star mean ! ! ! never life treat way Grosvenor House Hotel Dubai ! ! ! Grosvenor House London patch Grosvenor House Hotel Dubai ! ! ! breakfast bit disappointing well . use Hilton hotel lot usually use London , exceptional ! still find british hotel beat Hilton breakfast . the good thing hotel location , right centre London . 
 Jun 17 2009 	 high standard UK 	 Hotels UK generally great standard , Grosvenor surprisingly nice high standard . would recommend highly . modern high class want good standard London stay cheap though . 
 Jun 12 2009 	 disappointment lose personal item 5 - star hotel 	 stay type hotel never lose anything place . although staff friendly JW Grosvenor House ( except security manager ) , able solve mystery disappearance personal item room . partly ruin vacation recommend hotel anyone would not want anybody worry thing leave room . 
 Jun 11 2009 	 Stylish Elegance Perfection . 	 back 3 night break London . stay JW Grosvenor House Park Lane . travel husband . whole experience wonderful . location perfect easy walk distance sight - Hotel look onto Hyde Park . tube minute away eg Marble Arch right Hyde Park corner leave . bus stop Park Lane , choice endless . hotel staff excellent . never wonderful breakfast hotel . hotel little bit expensive consider area worth not forget Marriott reward - get three night two . restaurant area fab . wonderful meal KAI - far good chinnese meal ever . worth travel London . Aslo eat piccolino - italian restaurant Regents street ( twice ) wonderful food staff frendly . excellent service 
 Jun 10 2009 	 execellent ! 	 location fantastic , staff friendly welcoming . the room look furnishing brand new ! room service prompt & amp ; delicious . the shower complicate on / off system , able figure & amp ; enjoy robe & amp ; slipper room . 
 Jun 9 2009 	 Luxury London new home 	 Stayed Valentines weekend immensly impressed . refit complete credit Marriott brand . staff attentive without overbearing , room immaculate , Corrigans restaurant site mean bearly leave building . however perfect central London 's attraction Hyde Park literally road could wish well location . all can not reccomend highly enough . 
 Jun 7 2009 	 great old hotel w / poor concierge service 	 husband spend Christmas New Year holiday London . although arrive early , front desk staff able check we in . after view several room , settle smoking room 4th floor . thankfully room residual smoke odor . full english breakfast wonderful . find restaurant staff attentive . complaint hotel poorly train concierge staff doorman . ask concierge book afternoon tea appointment we , dial number hand phone . someone use quality personal JW Marriott service state , quite frankly shocked . second complaint occur leave . day leave , husband check concierge desk get taxi early morning airport . assure would problem New Year 's Day . next morning leave , could find doorman 9 ! ! ! ! could find someone concierge desk . get someone front desk go behind concierge desk look doorman . apparently busy socialize concierge morning . wait husband door , several hotel guest come hotel look cab . stand around awhile , guest decide walk main street look cab . incident , would say hotel acceptable . 
 Jun 5 2009 	 luxury new name 	 one kind place london excellent beautiful classy 
 Jun 5 2009 	 love location 	 return stay week Grosvenor House London experience memorable . service great location superb . situated heart London posh Park Lane area opposite Hyde Park hotel offer family experience age . ideally situate shopping , outdoor activite child business meeting hotel staff courteous well informed . would recommend place unhesitatingly anyone viste London . 
 Jun 3 2009 	 nice - nothing good thing say 	 stay Marriott point 8 night 24may thru 1June . ' m Gold status Marriott , able access lounge well . this thoroughly enjoyable stay . upgrade we superior room 6th floor , though view roof next door building . concierge helpful get theater ticket Saturday night ( great seat , great service ) lounge wonderful relaxing , snack catch e - mail free . the tube brief walk ( 5 minute Marble Arch , bit long either Bond St. Hyde Park Corner ) , bus stop 1 block away . ' ve do great job refurbishing hotel , fear Marriott raise nightly point cost stay quite soon - take advantage 5 - star property 4 - star price ! 
 Jun 2 2009 	 great hotel use Priceline . 	 detail : pay $ 153 / night priceline 5 night stay . also get two additional room rate single night friend . service : mixed result . good : member concierge staff recommend Guinea Grill Bruton Place celebrate anniversary . great place , describe concierge . another member concierge staff book car back LHR trouble . luggage promptly deliver room . spill soda duvet cover housekeeping immediately change bedding . the bad : unfortunately , one staff member concierge desk give we direction antique center close 4 - 5 month . whip one glossy , touristy map ( know , one show Ripley 's , Hard Rock like ) circled Antique Center location . guy give we direction pub lunch close . level expertise expect concierge 5 star hotel . room : get pay - guest room queen size bed . room ample closet space . bedroom large London standard , view generator . bathroom huge beautiful , shower fall love . one room book ( also priceline ) friend turned upgrade superior . large King size bed dwarf room . decor bit character standard guest room . pleasant view , bathroom small not magnificent shower head do . other facility : breakfast one morning Le P'tit Cafe , good . use business center internet two occasion ( 3 pound per 15 minute session ) . good : Location , bathroom & amp ; price ! bad : overprice in - room internet option . 
 Jun 1 2009 	 delightful week 	 wife stay wonderful hotel 6 night visit daughter London . staff friendly helpful . room nice -- could use cable tv . different dining option also good . location excellent walk Hyde park every morning . use marriott point book hotel go smoothly . look forward visit London hotel soon . 
 Jun 1 2009 	 Perfect stay Grosvenor House 	 bit nervous choose Grosvenor House first London vacation . everything PERFECT . location spectacular - 's nice quiet , quick walk north bring marble arch - 10 minute walk south bring Buckingham palace . room get huge ( sure get upgrade Marriott Gold ) . excellent staff facility spotless . great pub around corner call Audley . if go back London - would stay without doubt . 
 May 31 2009 	 great deal ! tip 	 get back 1 - week stay Grosvenor House family Memorial Day weekend ( also holiday weekend England ) . get great deal Priceline ( $ 175 / night ) well worth price . staff , room , hotel amazing . type room come Priceline booking & quot ; deluxe & quot ; room rather small , small 1 person couple ( might tight 2 friend though ) . get upgrade & quot ; superior & quot ; room upon check though huge ! room extremely comfortable bed really nice bathroom . complaint alarm clock room be entirely dependent wake call get more ( oh , say , 's coffee tea room ) . location ideal , right Hyde Park 5 minute walk Marble Arch tube stop . one tip would give skip breakfast hotel ( since be incredibly expensive ) op Pret Manger cafe / brasserie right Marble Arch tube station reasonable price pasterie coffee . 
 May 27 2009 	 hotel choice London . 	 stay two night attend wedding May Day Bank holiday impress . location wise ' pretty perfect , next Hyde Park great bonus sunny day . choice two tube top bottom Park Lane ( 10 min walk ) . catch train king Cross cab fare approx £ 10 Friday lunchtime Sunday morning . we eat breakfast ( good ) lunch fault one thing . staff attentive efficient . there ' much nearby shop wise ' bit walk nip bottle gin Marks Spencer Piccadilly 20 min walk . our room excellent . good size bathroom Savoy style shower bath efficient . Marriott , one thing : stop charge much internet access ! 's unforgivable . we ' stay anywhere else London ' stay work leisure hard impress . 
 May 21 2009 	 Disregard negative review ... satisfied 's nothing satisfy ! 	 tough person impress please , blatantly honest . travel globe see well bad property offer . the property reputable clientele reflect . area safe clean . the flaw hotel , call flaw cable television selection television channel limit , package price 19.99 GBP high speed internet select movie . I recommend great little restaurant way Park Street call & quot ; ASK & quot ; , open late excellent food . staff friendly make feel home , not forget visit loss . cheer ! 
 May 17 2009 	 good location good price . 	 Priceline provide great price three night stay . convenient Oxford Street shopping , 300yds Marble Arch end . underground NCP car park immediately opposite give 1/2 price parking 72hrs get show ticket validate . room spacious usual London , huge bed , lovely bath . lack tea / coffee facility drawback . 
 may 15 2009 	 Comfortable Stay 	 stay , use Marriott point , Marriott Grosvenor House end two week vacation Britain . hotel great location - walk distance many London attraction convenient underground . check - in easy . internet availabe expensive . opt purchase internet card Business Center ( 90 minute 10 gbp ) could check e - mail , news Texas Ranger baseball score ! room nicely appoint although coffee pot electric kettle . hotel kind enough bring we one use stay . eat hotel opt eat favorite London restaurant . we stay many London Marriotts year . one meet expectation . 
 May 5 2009 	 one big step good London hotel 	 wife stay Grosvenor House 5 night . room common area nice reasonably well equip , mistake delay provide different service show hotel level , quote example exclusive neighbour , Dorchester Lanesborough . anyway , hotel good location , comfortable enough installation , say , price get , around 160 pound superior room , be good value . one last comment : avoid & quot ; Deluxe & quot ; double room , initially put one small bedroom queen bed clearly orient use individual . 
 May 5 2009 	 expect 	 reserve hotel weekend trip London location , name generous 3 2 offer . location really great edge Hydepark , close underground busy Oxford street time quiet . however , even correction historical building , feel wear - out . room generally ok London standard , tap bathroom move direction minibar freeze content all . and get half - empty shampoo bottle previous guest . 
 May 3 2009 	 Grosvenor House still well earn Marriott point ! 	 Grosvenor House one good hotel London - fantastic location overlook Hyde Park . part Marriott group beautifully refurbish - huge marble bath , great linen , amenity expect top quality hotel . everything plush comfy . stay day end business trip bustle Christmas shopper - atmosphere certainly bite casual hectic stay previously several year ago ( Marriott offer low price deal fill room apparently . . . 's full Americans wealthly local formal ) . one drawback , typical higher - price hotel , internet service $ 25 per day . be tea fan , must try afternoon tea service - room service excellent . 
 Apr 23 2009 	 nice location great service 	 arrive taxi quickly meet bellman take bag . speedy check - in room . strange electronic key plug wall doorknob middle door . little foyer lead bathroom bedroom . large , comfy king size bed take large portion room . good sized mirror closet drawer inside safe . Hairdryer , slipper , robe , shampoo , conditioner , soap provide . nightly turndown service . eat hotel although restaurant small coffee / bakery shop . hotel sit right Park Lane busy road run one side Hyde Park . lot high - end hotel , car dealership real estate sale . short walk Oxford St Marble Arch stop Original Tour hop - on / hop - off bus . short walk public transportation . taxi always available right outside door Park Lane . 
 Apr 23 2009 	 5 Star way 	 stay 3 night ceremony staff fantastic ( particularly Anna guest relation ) . lovely room concierge really knowledgeable helpful . would definitely recommend . 
 Apr 15 2009 	 Amazing 	 book hotel priceline . service impeccable room almost good true . the bed super comfortable would not hesitate reccomend hotel . 
 Apr 15 2009 	 good hotel good location 	 spend nice weekend . upgrade check - in room reasonably size Europe , comfortable bed decent location . good location Park Lane , bit walk restaurant pub , good 7 minute walk close Tube stop . price might go Marriott Park Lane something east . complaint ( usual exorbitant charge breakfast/ internet/ parking ) long wait check - in ( not seem easy check option ) . 2 work front desk sufficient . 
 Apr 9 2009 	 beautiful hotel great location ... 	 stay 5 night April wonderful . room cozy , quite . bathroom large . within 10minute walk tube . want shop , 5minute walk oxford street . wonderful stay ! one nice feature hotel room come states american plug , need adapter . the red bar stay open later many pub area close 11 pm . 
 Apr 2 2009 	 wonderful hotel location 	 stay Grosvenor late March wonderful room club level seperate sitting room , dining area great bathroom . service great , room clean , fresh , spacious new decor . downside staff patio bar great , limited one area - staff responsive . 
 Mar 30 2009 	 Outstanding hotel staff 	 stay four night 22 - 26 March 2009 fantastic win Priceline bid . elegant hotel , superb service staff ( include butler deliver room service ) , terrific convenient location Mayfair . local brasserie block street wonderful breakfast ( 50 % less hotel ) nice local pub also locate one block street . convenient tube station . highly recommend . 
 Mar 26 2009 	 everything would expect hotel class 	 professional staff ; excellent location ; beautiful , spacious room ; comfortable bed ; good quality toiletry towel bathroom . highly recommend . 
 Mar 26 2009 	 five star comfort 	 Finest night 's sleep hotel bed ' ve know . comfortable , quiet delicious . I would gripe £ 20 charge connect internet , £ 2.50 Mars bar , £ 27.50 supplement breakfast trivium , afford stay , afford pay bill . but memory comfort standard ~ exemplorary . 
 Mar 24 2009 	 great stay -- stay ! 	 great 3 night stay last weekend ! soon arrived treat especially well ( anniversary ) -- immediately upgrade corner suite gigantic king size bed , get good night sleep long walk sightseeing . atmosphere cozy romantic staff incredibly helpful -- book London Eye ticket we well mail post card ! near underground Marble Arch street highly recommend buy Oyster card use public transportation much possible -- great deal ! overall , love hotel absolutely want leave ! back soon ! ! 
 Mar 21 2009 	 great stay great place 	 always like marriotts bed one bed great setting . wonderful place great location great room . friendly staff , good service , clean spacious room amenity . maybe bit expensive side other class charge bit ( much ) less .... least know expect . 
 Mar 6 2009 	 greedy annoying 	 even though partner welcome return guest receive small room queen size bed obviously ment single user ( give size f room bed , number pillow , blanket slipper etc ) instead double room . room connect another room door let noise . kettle tea must order , do not except find room . annoy two day kettle simple take away , ask maid tell we call room service . every time ask something tell person ak charge ask someone else show stuff feel responsible . particularly amuse door man ( acutally young girl ) would rather write text message cell opening door . hotel simply big , one feel charge , floor long smelly , easily walk minute elevator room many door open , end dark , small room view . shower impossible : stain bath tub impossible appliance . way : quite walk get subway . 
 Feb 26 2009 	 great hotel would definitely stay again- sure priceline ! 	 stay weekend Feb , upon advice friend mine make offer priceline accept , great bargain indeed great hotel . staff friendly good service . great location . nice stylish room , happen lousy ' view ' onto generator not really matter we sleep . reason not give 5 star around complimentary coffee / tea / kettle room , true 5 star . 
 Feb 11 2009 	 great hotel 	 go London girlfriend quick weekend trip . want stay somewhere nice good price , Pricelined end Grosvenor House . room spacious two girl , staff attentive nice , love champagne bar . end every night night cap ! view park great , . highly recommend . 
 Feb 10 2009 	 wonderful hotel staff 	 stay GH last Saturday night celebrate fiancee 's birthday engagement . combine meal Corrigan 's Mayfair - also excellent . prior arrival contact Katrin , Assistant Guest Relations Manager , could helpful help arrange surprise fiancee . the hotel great location wow factor soon arrive main entrance . check - in seamless staff helpful friendly . room big , especially London hotel . 's obvious recently refurbish high standard . bed .......... enormous ! room 7th floor close Executive Lounge . have go room rate include access Lounge make full use ! afternoon tea , pre - dinner champagne canape continental breakfast next morning . high standard . one slight niggle - would nice tea / coffee make facility room 1st thing Sunday morning rather go lounge call room service . apart , seem think everything room - even umbrella hang wardrobe ! overall thoroughly enjoy stay terrific hotel add memorable weekend . hopefully will back ! 
 Feb 9 2009 	 gorgeous ! 	 clean & amp ; tidy . comfortable . lovely breakfast . conveniently locate . 
 Feb 1 2009 	 absolute gem 	 hotel simply wonderful . spend fabulous weekend recently enjoy every moment . ARRIVAL . cab pull two doorman instantly attentive , whisk away luggage assist we hotel lobby check . next time see luggage room . check . swift efficient , friendly . prior request note get exactly ask for . a day stay , receive email hotel , tell we prepare arrival ask special request . nice touch . room . room first floor ( one request low floor room ) .It huge plenty closet space drawer . two easy chair coffee table , together sideboard house good stock glassware , mini bar , ice bucket various snack . on side room large writing desk chair . the bed enormous wish , housekeeping would change bed linen daily . also extremely comfortable . inside closet hairdryer shoe shine box . extra pillow slipper . it lovely change ' free ' hairdryer one attach drawer ! bathroom large beautifully furnish marble , bath power shower . bathrobe hang door . we room service morning tea . arrive promptly smile . our attendant dress tail offer serve tea we . lovely touch . we entertain guest one day pre lunch cocktail , room service provide we service trolley , beautifully lay crisp linen , ice bucket champagne fresh flower extra cost . lovely touch again . we eat hotel visit bar . breakfast £ 26 expect hotel class . just short walk hotel find lovely little brasserie , serve 8 am 11 pm . breakfast £ 22 two we quite delicious . also nearby small grocery store sell everything daily paper sandwich champagne ! location simply brilliant , Hyde Park across road ten minute walk Oxford Street . Knightsbridge also walkable although choose cab . fabulous hotel . 
 Jan 31 2009 	 nice hotel 	 Grosvenor House well run . mostly staff young , friendly northern Eastern Europeans . brit around concierge . room public area beautiful condition fully redecorate past year . bathroom large finish high standard . bed super comfortable good quality linen . quiet hotel paramount reviewer . stay Grosvenor twice last year . location good ; walk Marble Arch tube 5 min . be price conscious , make sure check lot site good rate vary wildly . sure get rate include breakfast taxis . full breakfast truly excellent wildly expensive pay . complaint staff bit aloof engage . appreciate arrive cab one greet offer assistance luggage . real let first hotel caliber . nice hotel good value 4 - 5 star category shop around good rate . 
 Jan 29 2009 	 another Wonderful Visit 	 spend two weekend recently , fantastic previous visit . renovation almost complete thing run smoothly . still paint room fourth floor , not bothersome room . when first arrive overnight flight , feel ill . also early , 9 . send we straight Executive Lounge make tea . even check we lounge would not go back lobby front desk . settle room within 20 minute arrive . nice concierge . ( thank ! ) upgrade we Jr. Suite first weekend , room request still occupy want get we settle quickly . get nice little welcome gift petit four wine . personally , like regular room well , think Jr Suite would nice someone child , share room friend . nice lounge area television sofa , separate sleeping area . really crazy red toile wallpaper , might appeal .... unfortunately , not take photo Jr Suite . painless check process go Bristol Marriott Royal week . the follow weekend , request room available . say , end room window seem really spacious . bed ! oh bed heavenly . really nice amenity restock room clean day , go dinner . Executive Lounge nice place pre - dinner cocktail champagne , house . food lounge tend snack side , light breakfast sandwich available . later evening dessert great not pass . nice stop dinner coffee Baileys chocolate treat ! always feel safe walking around area , even late midnight . good sleep , room quiet . never hear first sound . while check early Sunday morning , nice lady greet we name hand we bag croissant go cup coffee take we . nice thoughtful touch . wonderful way end another wonderful stay . 's one small thing earn place reputation one top hotel world . 
 Jan 27 2009 	 enjoyable stay 	 price pay 180 US $ excellent quality / price . other say 's refurbish everything new . Christmas & amp ; lobby white orchid & amp ; gold decoration beautiful especially fire light . not know hotel quiet hardly ever see guest . bar always empty not much atmosphere place . price would definitely stay pay rack rate would probably opt another option double room quite small . 
 Jan 22 2009 	 Snide Front Desk 	 front desk staff person interested concern connect room , interested superiority . Argumentative & quot ; sniff & quot ; . leer doorman , inappropriate innuendo service people call fix tv , smug concierge . would like guest feel uncomfortable unwelcome possible , unless terribly wealthy . weird . need attitude ? ' m sorry royalty long use hotel , get ! 
 Jan 9 2009 	 Excellent - big ! 	 love stay ! two guest stay four day stay honestly room big , everyone want stay long . beautiful hotel , bathroom great closet huge . tv update flat screen black curtain really work well sleep day , January 1st . yes everything expensive , soda , drink , tea everything stay several hotel next week hotel outstanding . 
 Jan 9 2009 	 Luxury bargain price : love ! 	 book room priceline Marriot Grosvenor House , Mayfair , London , US215 per night , get excited , also little scared . love idea deluxe stay great spot town not know time , know would certainly adore - - , think maybe going send & quot ; discount room & quot ; , like read review , would frustrating . force expectation go . everything great , staff common space adorable room , chic location , bathroom , linen , everything . five star , indeed . we 8 perfect night London , essencial rest , walk lot , enjoy city like , since transportation easy hotel : tube many bus line Marble Arch , 500 metre away . con could think towel change , sometimes mistaken , not really get bother , although know happen 5 star hotel . 
 Jan 9 2009 	 Poor experience - still work do 	 stay Grosvenor House hotel 2 night Christmas New Year - upgrade Junior Suite check lovely big room , view overlook air vent middle hotel shocking . some basic thing go wrong , bathrobe , bottled water & amp ; tea / coffee make item - hotel still work do . staff generally friendly - could access Executive Lounge room rate far good perk - delicious Afternoon Tea , complimentary drink include champagne evening lovely snack . breakfast lounge busy wait table apology inconvenience - choice limit sufficient we . have seek help could get television work room resolve , loud noise room turn fitness room - nothing really could done move room . a centrally locate hotel real potential much work do guest relation , take experience J W Marriott standard . London hotel , expensive drink desert bar little restaurant choice hotel . in opinion , stay well hotel London perhaps experience isolate incident - might check month manage get top major issue follow upgrade J W Marriott status . 
 Jan 6 2009 	 Excellent service good hotel 	 stay hotel overall good experience , two good thing room service breakfast . staff also friendly . Marriott GH clearly deserve 5 star 
 Jan 4 2009 	 spacious stately 	 hotel situate well embassy area good base shopping London low Pound compare Euro . five minute walk Selfridges Oxford street five minute New Bond Street . stay 30/12 till 2/1.it move another 5 * hotel ( Grange ) realize standard room stay ridiculous large London hotel . bathroom 3 time size one Grange hotel . unfortunately heater bathroom not work . complain , undoubtly help we new room . kingsize bed approximately one half time big well one Grange hotel . wonder move Grange hotel ( 2/1 till 5/1 ) . view 10th floor look London Bridge Tower London amazing . compensate luxery spaciousness , etc ... , London exceptional hotel good area price reasonable ( € 190 ) . 
 Jan 4 2009 	 really good ! 	 GH , never stay . hotel complete , smart refurb really look part true , 5 + * London hotel . give three Marriotts within 5 minute walk GH , could seem compete , stay Park Lane Grosvenor Square Marriotts , stand well . I drive hotel behind Aston Martin , old Volvo , definately ignore staff busy around smart guest , annoy . hand key doorman valet parking ( £ 40 - although hideously expensive , really quite good area London ) drag bag check . however , girl registration desk could welcome charming , 5 * treatment begin . upgrade deluxe room , sure enough live name . large ( esp London standard , even US standard , big room ) well decorate . good finish , exceptionally good aircon ( noisy ) , window open , lovely restore antique furniture huge Marriott bed . nice marble bathroom , seperate shower . we cocktail Red Bar - smart bar face onto Park Lane , TV 's show sport , undo exclusive feel . service good , cocktail even well . order breakfast room . expensive £ 29 ( one ! ) , well do - huge range , fantastic pastry well poach egg would ever hotel good coffee . internet complimentary -hello ! ! ! ! ? expensive hotel - give free guy ! GH appeal tourist lot money business people attend function big ballroom Europe . would stay , get Marriott point freebie , say , probably would not choose price , 4season Mandarin Oriental roughly cost within walking distance . however , Park Lane good location town - walk distance Oxford St , Mayfair Piccadilly place smart . 
 Jan 3 2009 	 great 	 wife return six night stay . everything super . location across Hyde Park close Marble Arch / Oxford Street excellent . shower hot lot water pressure . tv wake call system build . breakfast every morning Le Petit resturant ( two dinner also ) . wish could king queen size bed oppose two double push together . miss chocolate pillow turn service . room large . bathroom large . 
 Dec 29 2008 	 oh .. Ill never stay ! 	 bad experience .. breakfast thing good .. absolute mess ! 
 Dec 28 2008 	 Marriot Comfort - London Location good 	 back 9 day stay Grosvenor House . ( walk distance ) another Grosvenor Hotel Grosvenor Square certain right location . hotel : good ( close great ) consistant service check - in roomservicee dining tea . third floor room large expect tell standard size , king bed awesome comfortable , elevator quick . breakfast include fare include buffet egg chef . lovely satisfe enough make two meal / day vacation . marble Arch Tube close five minute walk . Oxford street shopping . Wife & amp ; use taxis part need maximize time . bedroom quite dark tend sleep till 10AM , quick breakfast bolt next museum . cloudy December find near dark around 4:30pm way . one nearby pub resturant hotel one Dorchester nearby 5 star . across US Embassy find Maze excellent . safety : Felt safe wandering around area . 
 Dec 19 2008 	 great ! 	 hotel great ! reason high list gutte recently poor review seem relate previously . hotel obviously complete make lovely totally well run . really two complaint . room unbelievably long walk lift keep getting lose food price bite stiff . otherwise , say , great . arrive really early airport ask could leave bag give room straight away even upgrade spite Priceline rate ! area good short walk Oxford Bond Streets lot famous London club get Piccadilly . 
 Dec 17 2008 	 fabulous stay ! 	 hotel great start - manager upgrade we superior room accomodate not like first room ( smoking room smoker ) . even though 3rd floor , hear nothing outside . room insulate sound quiet . doorman always ready get cab concierge helpful . room great . everything new clean . bed comfortable . turn bed night , great date bathroom spacious room ( unlike many London hotel ) . wonderful stay ! stay London hotel favorite . get deal priceline $ 175 per night , would pay stay . 
 Dec 11 2008 	 Nice hotel good first impression 	 stay attend award show work . part group 6 colleauge . check mixup booking.we ask credit card . could ask card swippe , ask tell pay . even though confirmation give staff member clearly say bill go back travel agent . member staff act like inconvience . seem forget customer . guest ask want paper wake call offer . bad start kind service come expect 5 star hotel . plus side room clean spacious staff come come contact good friendly say hello . 
 Dec 5 2008 	 Decadent Pleasurable ! 	 book via Priceline website horrify read another Guest use Priceline felt treat differently hotel , staff . think person simply unlucky , since experience Hotel completely opposite . I arrive find upgrade beautiful King Suite 8th Floor hotel . wonderful room , spacious elegant quiet . actually disappoint leave attend dinner engagement elsewhere , could happily snuggle robe , order room service watch movie ! particularly impressed unobtrusive manner staff . breakfast room great , excellent menu choice . 
 Nov 25 2008 	 Loved ! ! ! 	 think hotel absolutely great . husband 30th birthday upgrade room also leave we bottle wine . touch like , make place . staff really friendly . hotel also recommend we taxi driver tell we well dorchester - can not comment have not stay . food restaurant really good well . thing lack good gym turndown service night chocolate would nice ! ! 
 Nov 24 2008 	 really special treat 	 lucky enough treat 1 night ( afternoon tea breakfast include package ) stay Grosvenor House Hotel . staff professional keen make stay enjoyable . 5 star luxury package ( £ 280 ) fantastic . hotel great location , close action Oxford Street . room back hotel perfectly quiet . would recommend hotel anyone . 
 Nov 16 2008 	 Gorgeous Five - Star Hotel 	 book Grosvenor House couple night November 2008 . impressive hotel . public area expansive absolutely gorgeous , room comfortable , distinct entranceway decent - sized marble tile bathroom . the take - out coffee pastry lobby level definite plus , would walk number block hit coffee bar - immediate area around hotel mostly mansion upscale car dealership . it true enough internet access hotel . also agree , although seem try hard cordial , service yet level , say , fabulous Landmark , feel good five - star hotel London . location - near Oxford Street shopping - excellent , would definitely stay Grosvenor House . 
 Nov 15 2008 	 Gracious Modern . love ! 	 stay Grosvenor Park Lane Marriott guest relative New Orleans Saints team visit London play Wembley Stadium . therefore , choose hotel . saint ' staff ( NFL ? ) . however , happy w / their choice ! amazed bash hotel give wonder , people stay hotel stay ? , certainly different experience ! upscale residential area Mayfair , be like get feel much residential area ( except 's lot quieter , say , Oxford St . nearby . ) Hyde Park across st . handy shopping dining , well restaurant . Piccadilly Bond Tube Lines within easy 10 min . walk . Oxford St. , main shopping st . London , 5 min . walk . upon enter hotel lovely fragrance calla lillie tall vase lobby . hotel beautifully decorate slightly contemporary style main public room might expect . nice little deli / breakfast area good quick breakfast snack , plus main restaurant . lounge large attractive . elevator work quickly . banquet room well design food serve 2 function attend good , buffet breakfast last morning . arrive around 1:30 p.m. Thur . mid - Oct. , room yet ready . us king bed , want two bed . husband check room plan give we quite small . tell we room w/2 bed would available smoking room . someone know say give smoking room odor smoke whatsoever . accept much large smoking room w/2 bed . the front desk nice dissatisfaction , say room would ready hr . would take luggage away . join daughter inlaw , leave hotel 2 hrs . . upon return , room ready . tastefully elegantly furnished , comfortable . smell smoke . luggage bring . call immediately deliver . ( bellhop not seem bright star sky sure ! minor . ) delay luggage delivery time take get room complaint entire 4 night stay . however , stopper tub , love take long , hot soak walk around . next morning mention staff member elevator appear housekeeping supervisor . ask room # say would take care immediately . breakfast , take care , someone replace burn lightbulb foyer ceiling fixture , make difficult see use closet next front door prior . impressed noticed w / out mention take care quickly ! matter need , staff courteous happy help . stuffy friendly . concierge desk helpful couple occassion usually able give we good advice : particular various sight destination . person desk not know something , manage find . cool doormen top hat well ! ( photo op impress folk back home ! ) mention last morning , late come breakfast . husband join other large dining room breakfast buffet hold depart team guest . trouble locate everyone else , late . although arrive break , staff urge take time enjoy breakfast . one come we carry friendly informative conversation , HINT rush . quite opposite ! tell relax enjoy meal , really seem mean ! ' ve inside hotel London price range , admittedly would normally able afford . London expensive city location quality , base hotel scout comparison , price reasonably other 's class location . would hesitate recommend hotel anyone highly recommend ! 
 Nov 4 2008 	 Fantastic ! 	 fantastic hotel - great stay ! certainly transform first stay since rebrande JW Marriott , brand stay worldwide . room incredibly comfortable spacious ( rare London ) usual luxury Marriott bedding . service second none particularly enjoy Bord'eaux - great leisurely lunch friend . 
 Oct 28 2008 	 five star swish 	 well maintain comfortable room bathroom . breakfast quite good , though expensive . reception staff polite helpful . front house look part well groomed . 
