hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Sep 7 2008 	 1st class treatment 	 take wife kid Chicago one last fle school start back . check , staff attentive , show little consideration friendly attitude ( small tip ) upgrade huge upper floor room complete bar ! not get & quot ; Priceline & quot ; glare pay involve . air water show underway lake front , plane flying room . kid think great . night great view firework Navy Pier . Sunday morning breakfast buffet hotel good price reason . conceirge knowledgeable friendly . one good time ever Chicago . 
 Sep 6 2008 	 know get ! ! ! 	 stay year ago love great city view , great service good sized nice room . due take family member opt executive room upgrade . could believe small bed room ! double room big room king bed . view good service poor . historic feel hotel great much like location due close park / museum campus etc . Unsure would return , would want know view room size ahead time hope get well service . high price expect Chicago , however hotel rating usually right money . would probably pick well TA rate hotel next time . 
 Sep 5 2008 	 charming historical hotel downtown Chicago 	 Hilton Chicago huge hotel busy one . lobby area room grand somewhat colonial . room awesomely huge comfortable conform Hilton standard . navigate guest floor ' corridor like navigate maze add excitement one Chicago 's historical hotel house countless dignitary world . location wise , be right across picturesque Grant Park free shuttle Mag Mile shopping district albeit well large bus frequent run . 
 Sep 4 2008 	 v early check massive bonus 	 Time fly finally get round submit review ! get town train , arrive hotel around 9 expect leave bag go explore city , upon give detail say early check - in room available go straight up . I back ( view carpark ) pretty impressed room , although guess view would make much well . 2 bed , 2 bathroom , 2 cupboard , desk nice tv great . amount space useful indeed . comfortable bed indeed ! lack sort radiator heating beyond always work air vent worry , not know 's different middle Chicago winter . pay internet easy charge day ? find actual corridor everything beyond immediate entrance drab grey , look much like bog standard hotel , sort thing place expect walk in . I can not judge food , drink conference facility not use lack ice / drink machine bit pity , especially 13th floor . fair might never see not anything say exist . $ 7 bottle water room not get touch though . not even ask key minibar . the location definately issue . be bit far keep walk place , especially Magnificent Mile , think be be bit go . guess there s trolley make big difference . Grant Millennium Park close great walk round , even ( fountain unfortunately ) , Field Museum Art Institute close . order lovely deep dish pizza via grubhub.com . ability order food something another tripadvisor tell , pass advice : ) checkout quick via tv straight . 
 Sep 4 2008 	 triple check room leave ! ! 	 family stay hotel labor day weekend . love Chicago visit city , stay Hilton . advise anyone stay double triple check make sure everything ! leave daughter 's blanket special pillow room check relieze 6 hour drive home time go bed . know leave . call hotel tell room clean wait untill clean find blanket pillow . call next day transfer Lost Found . lady say find pillow blanket room go check laundry department . pillow 12 & quot ; sqaure dark blue , blanket blue . Hilton 's laundry white pillow blanket stick sort laundry . lady Lost Found get back next day leave voice message call follow day . find pillow blanket . pillow make papa 's shirt . pass away two year ago . sleep every night . find hard believe pillow blanket come miss one small hotel room . oh way , avian water bottle every room . take , cost 7.00 . one room use get charge ... $ 7.80 bottle water . maybe check take unopened bottle hand people behind front desk .. 
 Sep 2 2008 	 Nice Hotel 	 stay Hilton Labor Day weekend . arrive little noon . check speedy staff polite . spacious corner room face Michigan Ave . room clean comfortable . also like window open . lunch Kitty O'Sheas . service great food ok . pool area nice outdoor patio . although pool closing renovation not know change . entry Michigan Ave . beautiful . lounge nice place stop relax hotel quite pricey . hotel locate close soldier Field Grant Park . bad walk Mag Mile . not feel like walk catch Red Line block away . another thing want mention reflection hotel , panhandler area face aggressive . not experience Michigan Ave . near hotel . 
 Sep 2 2008 	 good location nice hotel small bed 	 book hotel room hotwire $ 100 / night , seem really good deal area . hotel great location see sight downtown . lobby look four - star , room not really feel four - star . bed ( supposedly double ) unbelievably small . bedding comfy , thin feather - bed multiple sheet , helped forget small size somewhat . furniture room nice , floor feel like may slightly damp . mention another review , parking fee crazy ridiculous ( $ 43 / day ) . luckily , find parking meter street right behind hotel , free overnight . meter 2hr max day 8 9 pm . room service breakfast overprice ( $ 19 simple continental breakfast ) starbuck lobby hotel Panera within walking distance . consider price pay , happy room . would definitely stay , would go elsewhere park and/or eat . 
 Aug 25 2008 	 Chicago Hilton worth cost 	 hotel mixed bag good point many poor one . return convention hotel . ballroom meet room lovely . hotel service poor indeed , rude hotel worker little interest anything outside minimum possible standard service . desirable attitude $ 300 + night hotel . restaurant adequate - over - price ambiance quality . breakfast buffet nice - $ 22 per person expect something well open lobby restaurant . $ 7 half litre bottle evian beginning nickel dime behavior ' flagship ' hotel Hilton chain . $ 3 20 oz soft drink standard . cost wi - fi hotel atrocious . relieve discover coffee shop quick walk away hotel free wi - fi . room nice - $ 300 per night well ' nice ' hotel room . 2 bath room wonderful - fact neither ventilation highly disappointing . Hilton 's much tout & quot ; hospitable & quot ; marketing - hotel ; non - existent . one employee could describe go one inch helpful simple matter ( key card work , etc ) occur . airport shuttle drop passenger hotel complete lack welcome see Hilton , several hotel Chicago area seem much willing eager make sure well experience Chicago Hilton . would suggest try one settle Hilton . 
 Aug 21 2008 	 worth money - Terrible Customer Service 	 stay Chicago Hilton training August 2008 . impressed Hilton staff act though customer burden . my trip great start call airport let know would need late check ( 8 pm ) inform snooty Hilton rep would put request . fortunately , arrive room available . find next day several colleague ' reservation cancel tell find lodge elsewhere . when get room , & quot ; dead bolt & quot ; door work . call lobby tell . woman ask frustrated tone dead bolt refer privacy lock , say would send engineer hung without say anything . eventually resolve . although request King bed , give room 2 double bed 2 bathroom . find common hotel . bathroom clean . however , rug room wear time foot stick carpet . bed soft feel wear . squeak every time move . pillow comfortable linen seem clean . a / c old fashioned work . room probably 80 degree coolest . several amenity room available additional cost- $ 7 bottle evian , $ 3.50 1 hour wireless internt , mini bar could buy $ 3 candy $ 7 beer . even charge 800 number . wake next morning iron clothe , discover iron board blood iron work . manage iron clothe without blood transfer call ask replacement iron board iron ( keep mind ask deliver point day ) . , greet annoyed Hilton rep sigh say would see could . fortunately , replace . ( colleague mine tell discover large roach bathrub first check ) .Even though able secure group rate , feel hotel worth money . although historical decorate purposely old fashioned style , hotel still come across worn . rug need replacement need make little brigther . perhaps would positive outlook actually believe customer service . probably would not bad hotel one night stay 4 could not wait check . 
 Aug 18 2008 	 Overpriced cramp 	 stay Hilton week ago , although judge decor could 25 year ago . suit tiny bathroom small living area . room feel dark depressing . breakfast buffet style okay . hotel quite big looking somewhere make stay feel special intimate not . sort group stay time . odd seem sort Harry Potter event . would not minded mean hotel factitlie overuse . would , often , take least ten minuest wait lift pool full scream kid . service okay reviewer comment location also right . definately center thing . last time stay Chicago stay Four Seasons , much well price . 
 Aug 15 2008 	 enjoyable stay 	 nice hotel ... lovely entrance reception ... slight drawback location .... well South Michigan ave point interest visitor city choose walk . bar restaurant nearby & quot ; loop & quot ; district mostly commercial . Kitty O'Sheas bar / restaurant site good value serve fair selection meal .Our room two bathroom unusual turn quite convenient . would say room start show 's age although complaint cleanliness comfort . overall really enjoy stay Chicago , would hesitate recommend hotel anyone . 
 Aug 14 2008 	 Practice Overbooking ! ! Customer Service ! 	 confirm reservation , 2 room 3 night 1 room 2 night , King standard room . arrive We d evening find room none available . 2 hour patient wait Mgmt find 1 double room take cram 5 people assurance rsvd rm would available 12 - 2 next day . next day , song , make we give rm night b4 12 room available wait 5 hour . attend Bears game get call 6 pm rm ready . game , 3 rm ( rest party arrive town game could not get room either , mgmt 2 available , smoking double king could not find book 3rd room , 2 hour later find & quot ; powder room & quot ; real bed sofa bed 3rd room . family travel parent in - law set parent old 70 yrs age . Mgmt reply sorry mess . many pilot flight attendent line go night apparently get room , must Hilton Honors folk . spend many hour , 10 hour total , lobby wait rcv room promise never provide anything relate service truthful information . son stay hotel really not want go elsewhere due conveinence factor . total lack communication member onsite mgmt time . entire party completely civil first night lose scenario repeat next night . REAL help anyone relate Hilton fake & quot ; sorry & quot ; blank look computer screen . Hilton mgmt actually admit happen time due standard practice overbooking . Hilton rotate mgmt staff never meet mgr stay . room so - so , nothing special , good thing hotel Kitty O'learys bar / resturant onsite . total worthless customer service ! ! ! ' ve travel nationally 30 year never treat badly hotel , ever ! avoid place , many hotel available area rate guarantee treat guest like human being equivilent accomodation . ever rcv King Room every room receive smoking room . monatary reimbursement fighting mean . 
 Aug 14 2008 	 place location ! 	 great place , great room , great location . even though big meeting go ( Rainbow Girls enormous gown ) consequence we slow elevator . ballroom amazing , shop ground floor nice throwback . lake view upper floor -- 17 think -- worth . concierge advice restaurant etc excellent . Definitly would return . 
 Aug 12 2008 	 pretty good experience Hilton Chicago 	 ( college - age daughter ) return 4 night stay Hilton Chicago . find experience satisfactory . give corner room quite spacious quiet . bed comfortable although pillow rather soft taste . hotel attractive clean . 's old building , hall meet room find unexpected place , nice change cookie - cutter building . everyone staff friendly helpful - the bell captain even take care recycling ! like airline check - in kiosk lobby too - this first time ' ve see . bathroom room fine generous . big problem floor bathtub , extremely slippery . build - in strip suppose provide traction almost wear away , mat provide . add , drain slow , dangerous situation . two meal hotel , one breakfast buffet . usual hotel nature , expensive case , price much worth . huge variety food , everything cereal lox . also lunch Kitty O'Shea 's , fine nothing special . price bite high painful . be also starbuck lobby breakfast hour , comfortable sit area adjacent . hotel 's location mixed blessing . be across Grant Park , shop lot restaurant nearby . get fast - food reasonably price sit meal within block direction . 's much way shopping , though - the big store half hour walk ten minute cab ride . be loud side though - Michigan Avenue front hotel wabash back , El run night . like train sound might . elevator slow time . 3 bank operate separate control , people press button 3 bank , mean extra elevator always call . must efficient way deal , right ? annoying thing stay outrageous price internet access . something like $ 12 per day $ 40 per week . Caribou Coiffee katty - corner hotel Panera within 4 block , still . 's time hotel stop infuriate , extortionate practice . ' m happy charge everyone dollar day access . surely would enough cover annual cost . enough already ! trip Advisor help ? let us start movement ! 
 Aug 12 2008 		 hotel somewhat difficult rate . room elegant carpet bedspread seem bit outdated . room clean . matresse seem bit soft worn . pillow firm feel new . room rather dark - two light . old TV . bathroom attractive well maintain . check easy . pay $ 49 parking tell park available valet . option ? ? ? staff friendly respectful . prepared & quot ; panhandle & quot ; walk Michigan Avenue hotel . seem grow problem Chicago . confront 4 - 5 time two hour period . would think would discourage repeat shopper . probably would not stay location . 
 Aug 11 2008 	 Impressed 	 impressed hotel . think give upgrade stay executive floor ( 23 ) . room extremely clean two bathroom , convenient get ready . triple - sheet bed comfortable . bad thing hotel little bit walk Magnificent Mile Navy Pier , right across street Grant Park . also free trolley stop across street . one good value Chicago time stay , would definately recommend . 
 Aug 11 2008 	 large alright .... 	 aunt plan trip we Chicago night , price high , book stay priceline . arrive hotel 5:00 evening , wait line nearly mile long . seem like erternity , finally able get counter check .... oh , fast .... tell lot late check - out room ready . decide go drink bar ( $ 10 one vodka cranberry ! ! ! ) , dinner right hotel . go see show & quot ; Jersey Boys & quot ; 7:30 , not lot time spare . finally 6:00 , able get room ( wait line ) , room nice . nice view , room clean , bathroom nice . one thing need add fan 's bathroom ! lot go hotel evening .... Chicago Bears pre - season game night ( believe first season ) , Harry Potter convention go well , needless say , ton people . hotel plesant , need work make sure take care guest . 's good location , within walk distance ton thing . go back Chicago , would look stay hotel . hopefully line will not bad last time ! 
 Aug 5 2008 	 let conceirge book ticket 	 hotel well locate across Grant Park . lovely view window actually open ( yeah ) . complaint room would faded carpeting ugly bedspread -- need remodel . last time stay , ( 10 year ago ) seem well condition . bed great amenity really adequate . I take issue fee charge business center . I want book train online , cost 20 dollar internet usage fee try buy ticket 21.00 . finally call provider logiclink complain . & quot ; problem , will credit back half give extra minute & quot ; . ' ve try month get credit avail . I advise use concierge booking free . 
 Aug 2 2008 	 nice hotel great location 	 husband stay four night hotel . book executive floor room allow we use Executive Lounge 24th floor . check quick painless . room nice clean . bed comfortable high quality linen . really could find thing complain . nice hotel location perfect . across street park pretty easy walk sight . Chicago beautiful city . go enjoy ! 
 Jul 13 2008 	 elegant awful 	 experience pretty much mirrior reviewer Lou7477 's , couple fact pretty much treat like dirt Priceline reservation . check wear ball game attire , otherwise well groom clean . haughty clerk force repeat entire address twice even though driver license right counter front . try upsell twice transaction reapeatedly mention & quot ; Priceline & quot ; stay . coup de grace come clerk ask wife , side & quot ; name might ? & quot ; ' ve never happen anywhere , ever . conclude , since record wife 's response anywhere ask ID , Priceline related harassment . complain vehemently Priceline this . also Priceline list hotel locate & quot ; Loop/ Millineum Park & quot ; . zone . neither . $ 7 cab ride center Loop 5 - 6 long city block Millenium Park . except frontage Michigan avenue , hotel surround several block shabby neighborhood . venture , aggresively panhandle , day night . bid zone -- condolence receive Hilton Chicago -- likely , despite thier poor treatment Priceline customer , accord several relevant forum need Priceline pretty badly . # 1 supplier room zone . 
 Jul 7 2008 	 peacefull airport Monday morning 	 look hotel provide chaos , noise 24/7 , dinky little overpriced room place . prepare 40 minute check - in count get room request , not . lobby hotel impressive although walk pleasant get airport Monday morning ... airport food well price . place EXPENSIVE , charge everything ; fact surprised charge use elevator . hotel locate busy part town sound police siren go throughout night , good night sleep question . it old hotel historic building , bad a / c unit original equipment , room never get cool enough sleep well . please take word , want stay . 
 Jul 6 2008 	 Mediocre good 	 normally would choose different property reading mix review convention hold hotel really stay .... review : hotel grand history thing really go level horribly average . arrival : upon arrival airport taxi cab driver assistance luggage bell staff . bell staff young , inexperienced seem interested talk amongst open cab door ; welcome we ; assist we luggage ( tagging deliver room check - in , etc ) . seem work bell - person chore pay do . check - in : efficient problem ever . give room type reserve . total time check - in : less 5 minute . room : lugged luggage room . bell - staff ignore we walk past bag . room clean , seem bit date well maintain , need air - conditioning blow cold air . call 5 time request maintenance . one come leave dinner . arrive back room 1:00am air still break . also need 2 toiletry kit airline lose one bag contain liquid . take almost hour 5 phone call annoyed person front desk get kit take report break air conditioner . person arrive toiletry kit turn Housekeeping send 2 travel sized stick deodorant . ( hard brush tooth ) . make sixth call tell need rest kit . annoyed front desk person say would correct housekeeping send back . also inform idea air would fix . ask switch different room told hotel completely sell . ask speak manager . able move we another room & quot ; Executive & quot ; floor . addition deliver toiletry kit . point almost 3am . compe 1st night . acceptable end terrible beginning . the room probably last update 80 's base upon style furniture , bathroom tile , brass fixture & quot ; gold & quot ; trim furniture . everything work order room . Carpet probably newish . bed comfortable sheet numerous hole . executive Level room different floor . also , television locate large stand right front window . make difficult open close curtain . case room see submit photo . also note need use vanity mirror bathroom locate high wall move . tall ok , otherwise useless . see photo . the hotel Grand 's public area might like other might call gaudy ; average everywhere else . service LOT desire . base upon service 2 Star Hotel , 4 Star advertise . ' ve stay Courtyard Marriott 's superior service ammenitie . restaurant : lunch on - site Irish Pub & quot ; Kitty O'Sheas & quot ; . service ok . server 's friendliness make lack speed . overall food average pricy french fry come hamburger good Onion Soup . would not eat property exception maybe room service . Mini - bar price : ( although expect item expensive let say 7 - 11 , high ) domestic Beer - 5.80imported Beer - 6.00Robert Mondavi Wines - 7.50 ( 1/2 - 3/4 glass ) Absolut Vodka - 6.95 ( mini ) Belvedere Vodka - 7.95 ( minis ) Bombay Sapphire Gin - 7.50 ( mini ) Jim Beam Black Bourbon - 6.95 ( mini ) dewer White Label Scotch - 6.95 ( minis ) Orange Juice - 3.50 ( 1/2 glass ) Coca - Cola - 3.25 ( 1/2 whole ) Diet cokespritetonic Water - 2.95 ( whole ) evian Bottled Water - 4.25 ( 11.2 oz - half Bottle ) Red Bull Energy Drink - 5.95 ( Smaller ) Rice Krispy Treats - 3.25snicker - 3.25Peanut & amp ; Ms - 3.25reeses Peanut Butter Cups - 2.25pringles - 3.75 ( 1/4 sized - never see size ) Gardetto Snack Mix - 3.25Planters Peanuts - 3.25 ( Small Bag ) Wheat Thins - 1.95 ( small bag ) price include sale tax 18 % Gratuity / Service Charge . 
 Jul 6 2008 	 Pricy nice-2 bathroom ! 	 part annual school trip Kentucky 40 kid 12 adult . 19 room lot preparation go . speak group sale manager ( Maritza ) consistently friendly helpful week prior trip stay . check - in friendly , quick efficient . safety deposit box system stellar . secure room two key require . awesome comforting . room spacious clean . room two bed two bathroom . stay hundred hotel never see hotel room two bathroom . wonderful multiple adult ( 40 kid ! ) parking garage cover valet service . cost extra park though . think $ 35 / day . location awesome . Michigan Avenue Grant Park . walk distance Shedd Aquarium , Planetarium , Field Museum , Soldier Field . negative : room wet bar lock get . middle school kid problem . however , fix quickly staff . snack drink expensive . can not think anything else . 
 Jul 4 2008 	 Big Beautiful 	 stay Hilton Chicago S. Michigan Ave , advise get Roosevelt Station walk ( half - mile trek ) . Thought metro map Harrison station look close ( red line ) follow direction find hotel easily . advice folk true , pleasant safe walk . note : free trolley stop right outside Roosevelt station could drop close hotel , know . system free trolley run several different route day 6 pm summer . GREAT way see city absolutely nothing . taste , run 7pm . so ... hotel .. amazing .. immense , 3000 room . lobby gorgeous , even not stay , step look around . get Priceline deal $ 99 / each night bit pleasant haggling , give King , non - smoking room . .. place gorgeous truly 4 star hotel , room small side , even though corner overlook Grant Park . thing bother nickle dim death . bottle water leave room $ 7 , coke machine $ 3 , WIFI $ 13.00 / day want print something , cost $ 1 . , be outrageous frankly , big turn off . P.S . harrison station MUCH close one stop away Roosevelt . take way convenient . also , KFC , Pizza Hut , Dunkin donut favorite , Harold 's Chicken behind hotel Wabash ... look fast food . enjoy Taste go ! 
 Jul 4 2008 	 pretty good overall 	 two recent stay , room quiet , clean , comfortable , spacious ( seem , though travel alone ) . room look.sort date , like could use refurbishing , not bother .. hotel staff nice cooperative . sure food . first stay , salmon order pretty good . order think dish second stay , find overseasone heavy , like much american restaurant fare day . ( , not develop ulcer since first stay ) . breakfast buffet reasonably good . overall , good hotel nothing special . would quite willingly return , though also check option next need hotel downtown Chicago . 
 Jul 3 2008 	 Great Hotel ... 	 wife suprise visit Chicago Birthday watch baseball . save $ 80 room use priceline 's name price . hotel great ! bed cozy , room clean , lobby nice , pool area sun - deck also nice . find odd charge extra use work facility ( aside pool free ) . also , try get ahold someone bring couple extra cup room take 15 min ! , hotel nice , service average charge use workout room ? ? come .... town visit Chicago , make sure try Garrett 's Popcorn , multiple store downtown . Yummm .... 
 Jun 28 2008 	 Loved Hilton Chicago ! 	 really enjoy stay hotel . offer everything looking make stay Chicago one good . thank lovely accomodation ! 
 Jun 21 2008 	 swissotel well 	 stay one night June ( Taste Chicago ) relax retreat city . suburb Chicago , extensive travel experience , feel Hilton safe bet reasonably price one night stay . impressed location , disappointed hotel . particular location seem like glorify convention hall . place sit relax public portion hotel event area bar / restaurant take downstairs space . registration area claustrophobic inefficient . room ready check 3 pm , promise would call 20 minute . 3 trip desk ( wait line ) , 1 hour 20 minute later , give key & quot ; upgrade trouble & quot ; room . room service platter sit outside room get , still sit leave next day . stand - up shower , place put shampoo except floor . receive bill door $ 85 reference food not eat . call inquire charge , state minibar charge . use minibar , one room check minibar usage . the staff distract unaccomodating . room okay . overall , satisfied stay , reserve Swissotel ( stay LOVED ) next time overnight city . 
 Jun 19 2008 	 ` ` Grand '' hotel want believe ... 	 so - call grand hotel , fail live moniker . hhonor member , tend stay Hilton property ... never property . shameless , charge . furthermore , upgrade executive floor .... ' ve stay Hampton Inns well ... much well . sound petty ... hair dryer ? ? ? ? 
 Jun 18 2008 	 Tacky Overpriced falsely Advertised 	 must someone leave world find overkill faux renaissance / baroque touch north american hotel room charm . anyone know , maybe place try compete Madonna Inn San Luis Obispo , CA . 's gross : everything room common area live tribute low class flea market thrift store . carpet wall splash stodgy old surface pattern reminiscent 1980 nouveau riche bad taste . view three side build ugly nonexistent . room smell like Crabtree Evelyn store . go open entertainment center visual relief , find old analog tube set instead 27 & quot ; hd flat screen advertise hotel 's web page . $ 12.95 per day internet access get $ 30 / month home & quot ; nominal fee , & quot ; advertised web page . $ 7 bottle evian . be next Millenium Park , great , hotel still long way business entertainment center . would not know price tag -- $ 220 / night basic room . many good lodging option Chicago settle tasteless overpriced room Hilton Chicago . definitely eep shopping . 
 Jun 9 2008 	 not know ! 	 reserve 2 bedroom suite December June weekend . website state one room 2 double , one room king , also include parlor . check , clerk tell 1904 1905 . get room , 1904/5 list plaque together , seperate enterance end hall . go double door little foyer , room enterance 1904 right , 1905 straight ahead . 1904 2 double bedded room , 2 bathroom . 1905 huge room wet bar , lovely view , king size murphy bed , sofa fold bed , loveseat , assorted chair . room one bathroom . believe two double / one king / parlor , sufficient we , another relative decide come last minute , could not get another room unless pay almost double single room pay suite . reserve room Swissotel , cabbe back forth weekend . upon checkout examine bill charge food beverage . call see , tell bottle water room 1903 . say not 1903 , 1904/5 . person say two bedroom suite , encompasse 1903/1904/1905 . check clerk never tell we , would not know , entrance 1903 outside double door entrance suite . someone check , sure enough , card open door 1903 . shell $ 250 countless cab fare another hotel room , empty room king size bed sit time . feel sick . check housekeeping verify room touch . take beverage charge give slight credit . think unwilling good price room . guy ask make reservation never see price low . unpleasant surprise end stay , happy accomodation . gnat one bathroom , big deal . mom could sit window , watch boat lake . woman , nice 3 bathroom . staff nice , especially waitress breakfast Pavilion , Valet guy . would like reserve suite , hopeful getting price though , check different date , never see less twice pay . lucky enough stay , know expect ! 
 may 22 2008 	 Hilton South Michigan Better 	 week long stay Hilton south Michigan attend meeting . hotel elegance lobby , meet room lounge - hotel room could definitely use update . would definitely say price room - room top notch . car misplace valet parking , reservation mess , hotel staff show repeatedly throughout week door item ( room service , new coffee pot , laundry ) not ours . I would stay property . much well place money close proximity Michigan Ave . big hotel time feel like stay Faulty Towers . 
 May 17 2008 	 bad hotel ever 	 truly must bad hotel ever stay . ever . this stay : drive valet parking , greet smile bell boy come along : & quot ; need help bag , right ? & quot ; nice thing say , believe . the lobby staff ( mainly bell boy ) stand , giggle one another making & quot ; smart & quot ; comment hear perfectly well . look like teenager time spare rather staff member suppose landmark Chicago . all staff seem bother whatever request make simple question phone Guest Services & quot ; time Breakfast service stop restaurant & quot ; get reply : & quot ; sure must time around 10.30 & quot ; . ask confirm do . this last example illustrate perfectly well stay : 4:30 lift ready come reception . carre two suitcase laptop roller case ( 3 item total ) . door close bell boy get lift & quot ; nice stay Sir ? & quot ; Say , & quot ; actually , rather dissapointing & quot ; . replies & quot ; well next time & quot ; . arrive lobby level drag 3 piece lugage hall ( far volunteer help ) . keep drag luggage around carpet lobby floor ( lugage slide carpet , pull ! ) ( bell boy ) manage stay 3 step behind whole walk reception ( 40 yard lift ) . manage HELP soon make Front Desk sneek back back office . so much service ( specially tell stay pleasant one ) .this service get Hilton Chicago . 
 May 11 2008 	 wow 	 first impression beautiful lobby cafe . work - out center pool good hotel ' ve see . service excellent staff . book Priceline - pleasant surprise ! be across street Grant Park & amp ; Art Institute . 
 May 6 2008 	 good hotel overall 	 like hotel overall . book Priceline save lot money . quite good location North Michigan Avenue , still good location ( close Millenium Park ) , money save , well worth . old hotel , lobby immaculate . huge well crowded weekend . room little small not nice view ( 11th floor ) . however , bed comfortable . water pressure shower little light , not perfect . probably good hotel Chicago , nice clean good value , compare price ' ve see city . 
 Apr 29 2008 	 comfortable stay 	 stay Hilton Chicago last weekend April , Priceline bid ( $ 85 / night ) , happy stay overall . check - in breeze ; wait minute . ( also self - check - in kiosk use busy time . ) despite low pre - pay rate , request spacious , quiet room high floor readily accommodate . ( offer lakeview room extra cost $ 25 / night , decline . ) give bright , spacious room king - size bed 17th floor , west - face city view ( Loop skyscraper ) . find brown - and - gold decor rather bore date , room must newly renovate , everything seem brand - new spic span - stain sight . bathroom also spotless . bed bath linen pristine , bright white , soft high quality . room quiet ( except howl wind one night ) sleep really well . only shortcoming room : thermostat not work well , room get bit chilly night . not big enough deal bring hotel staff . also , room lack safe , minor inconvenience . as expect hotel size , lobby often bustle tour group convention - goer , not relax place hang . however , despite crowd , never wait couple minute elevator . hotel not offer free wi - fi , nearby coffeeshop , include Caribou Coffee ( 8th Wabash , 1/2 block hotel 's 8th St . entrance . ) hi tea , fun , off - beat teahouse 11th St. , also free wi - fi , well dozen tea selection , tasty sandwich , salad gelato . yolk , 3 block south hotel , excellent breakfast place . great choice nearby , never try dining option within Hilton . some reviewer consider hotel 's location way , actually enjoy chance explore Loop South Loop . convenient bus route ( esp . . 3 ) right outside hotel , whisk North Michigan Ave . elsewhere city . I would happily stay Hilton , esp . bargain Priceline rate . 
 Apr 27 2008 	 much ... 	 check good - even upgrade room suite 2 bathroom . room size decent downtown ( may upgrade room ) . book hotel base review mention newly renovate . not think get room yet ... outdate already ( 10 year ) . would give 4 10 cleanliness scale . notice large brown stain bedding morning sleep bed . pretty gross . like location , view , staff , fact could open window . particularly nice strong smell smoke drift room vent . stay okay , worth cost . stay . 
 Apr 16 2008 	 nice location negative 	 stay 3 day period 4/13 4/15 part conference locate within hotel . first , positives:1 ) hotel classic , elegant feel . ballroom beautiful , exceptional artwok , high ceiling , amazing chandellier ( find film final scene Fugitive movie Harrsion Ford ) .2 ) check fast painless , plenty staff man front desk . concierge helpful , provide we good map explore city.3 ) taxi stand quite good , problem get cab .4 ) location nice . 7 block walk Jackson stop Blue Line , one get airport hotel pretty easily , $ 2 metro fare . now , negatives-1 ) feel like hotel nickle dimed customer everything . internet ? $ 3.75 / hour , $ 12.00 per day . want use treadmill gym ? $ 15.00 . checking , want leave luggage desk ? $ 2 per bag . annoying , give rate hotel.2 ) hotel antiquate AC / Heat system , impossible get temperature adjust room . first night , freeze , next night hot . certainly need upgrade.3 ) dining option limit . irish Pub , Kitty O'Sheays , mediocre food average atmosphere , adn another restaurant , formal , average menu.4 ) many elevator , several working , often long wait get room . overall , not think would stay , unless another conference hotel . give expectation , somewhat disappointed , would explore different hotel next time . 
 Apr 13 2008 	 Home Chicago 	 difficult read mom 's opinion , nice person world would never , ever want hurt anyone 's feeling . say like room Hilton , not mean much , not hate not miserable . next morning , walk Michigan enormous breakfast Artist Restaurant , point Hyatt hotel would stay almost three decade visit Windy City , casually refer Hilton & quot ; home Chicago & quot ; . deal do , score settle : Hilton tower favorite Chicago hotel , unlikely ever stay anywhere else come here . this lovely hotel , gigantic fully earn four star every respect . everything seem new , great condition , fancy coffee maker room carpet elevator lobby . seem new stay three year ago , yet look new . get impression place state perpetual , tasteful refurbishment . bad hotel date 1927 . book three room highly discount rate : single mom , double sister son , another double daughter . check , mention mom available , want upgrade room teenage daughter could bathroom . ( yes , spoil , child . mom well aware fact three sibling grow one - bathroom home tub shower , turn fine . ) not know young woman check we overhear , lucky , three room upgrade additional charge two - bathroom status . mom fluster also kind thrilled : extra bathroom make we feel special . room equip luxury bed -- quality cotton , warm comforter , fine pillow . bed make well . important . stay hotel bed sloppily make , sheet thin and/or clearly make cheap man - make fiber and/or big enough bed . ( seriously , ask $ 950 / night suite overlook Niagara Falls -- - great view , ridiculous bedding . not get start . ) Hilton , bed make luxiourious , fabulous sleeping . daughter look forward love sleeping , yesterday , first day home , begin lobby get sheet , comforter pillow room duplicate Hilton experience home . ( fat chance . ) weather vile night , 's understatement . concierge suggest several place dining teenager , least six block away , would drenched get cab . opt stay order pizza . pass quiet night , give wild fury wind outside window . sister mom say hear nothing night . different wing hotel , hear wind , el , sound hotel make hear 18th floor . soothe sound , daughter sleep well . love hbo.did not use time , like indoor pool previous visit . BYO H2O ... bottle supply hotel $ 7 . seriously . view vary . mom 's room view Shedd planetarium , stand particular spot near window crane neck . room look window identical , sister . not view . most importantly , feel safe Hilton . yes , spend small amount time , enough time watch movie ( Ferris Bueller 's Day ) sleep ( well , thank ) . not feel safe would find another place stay would go home Grand Rapids , MI . morning check explore hotel 's ballroom , reception area convention facility . historical property , enjoy wandering much . grand ballroom architectural well engineering marvel . recommend hotel be travel alone , family multiple generation ; be interested Chicago history architecture ; need place close museum ; be look something romantic , want someplace stay kid . , Chicago Hilton simply well possible shelter wonderful city , place make child feel welcome , pamper , deserve every good thing . mom right : Chicago Hilton , absolutely , home Chicago . 
