pleasant 	 Westin Chicago River North well - run chain establishment centrally locate downtown Chicago . room , view Chicago River , mean over - the - top luxurious , well - design spacious , good light comfortable seating . quiet room Westin & quot ; Heavenly Bed & quot ; make excellent sleeping condition someone often sleep well even well hotel . service hotel polite efficient . what keep hotel receive top rating : ( 1 ) lack & quot ; wow & quot ; factor : room , comfortable , also generic ; ( 2 ) free wi - fi ; ( 3 ) food serve banquet room ( wedding ) fairly indifferent quality , even banquet food . still , price right , hotel offer good deal . 
 Jul 31 2008 	 Nice downtown hotel good location 	 like hotel alot . decorate simply elegantly . 3rd floor special view , except office building across street . alot construction go around hotel downtown general . issue shower not bother complain . leak squirt side . shower head also come away wall . caulk around bathtub mold . difficult see first caulk infact black color ( match black marble tile ) . thing like place extremely dark . lobby area dim lighting room . style hotel . bed comfortable . use gym twice ( be $ 10 fee ) . good selection equipment clean . drink bar sushi one night . would not recommend eat / drink hotel charge around 15 % tax food / drink hotel , would hotel Chicago . not eat breakfast hotel either . 's Einstein Bagel outside hotel eat breakfast . lot restaurant within minute walk hotel . Room Service Mini Bar expensive not use . front desk staff friendly even take charge WI FI teenage son sign use PSP without ask . appreciate . concierge staff helpful direction help we dinner arrangement . overall , pleasant stay Westin would stay . construction bother , check hotel beforehand alot construction go right outside hotel July . 
 Jul 26 2008 	 nice place 	 check smooth , PL mention . even honour reqeust king size room without question . got one face north corner , river view . 's problem new condo / building go , ton construction worker look right room ... 's thing need close drape often . Room newly renovate ( think room ) . ton space , nice chaise chair ( usual 1 hotel ) , good desk / chair work . course , heavenly bed work . Bathroom also fantastic , marble everywhere , extra large soaker tub , double shower head , quiet Kohler toilet , shaving mirror light , large counter space shelf storage . side room 1 ) lotion runny water , 2 ) dark hallway minibar hard use since dark , 3 ) terrbile corkscrew ( buy one going drink wine often ) , outrageous minibar charge ( $ 5 water ) . service everyone great , even give late checkout . concierge bit cold . Sushi bar lobby good reasonably price . free wireless internet also lobby not pay room . try sell drink politely refuse surf away . location amazing , ton ( albeit pricey ) restaurant around , 7 - 11 Einsteins Bagel street , short walk Brown / red line Michigan Ave blue line O'Hare . also quiet hotel give 's size business nature ( even weekeday ) . get hotel bid , start smile 
 Jul 16 2008 	 great stay Westin 	 husband stay Westin 4th July weekend anniversary trip / babymoon . ' ve travel never stay Westin , would highly recommend property . arrive around 11 , check upgrade room club level access ( free continental breakfast , evening appetizer , gym ) . woman counter lovely really friendly . room great - bed indeed heavenly , though ' ve see impressive bathroom . computer free wireless room , not work , charge call help desk . small inconvenience , really , also computer club lounge . breakfast great- espresso machine , assorted juice , milk , cereal , hardboile egg , salt meat cheese , pastry bagel , fruit . appetizer evening less impressive , still nice . hotel great location right river - ton great restaurant within block . use concierge George restaurant reservation architecture tour booking , great . overall , great room , excellent location , great staff . would absolutely return . 
 Jul 11 2008 	 return 	 loyal Westin fan starwood member , terribly disappointed hotel . book online hotel website ask care upgrade Executive accommodation include continental breakfast , internet , health club , etc . foolishly , . arrive valet open door help luggage . staff member willing watch we struggle revolving door , . front desk staff inform we find two room name insistent pay 2nd room since cancel within deadline . much discussion ask speak manager promise call he / she available . Next tell we room available none level clean yet ( 3:30 pm ) . 5:00 pm settle 2 - double bed instead king room could change time dinner reservation . never hear manager . follow two day endure terrible service happy leave . check inquire extra room charge tell take care , will see . definitely Westin standard . 
 Jul 3 2008 	 Nice Place 	 hotel go renovation room bathroom nice . stay hotel wedding . wedding hold completely hotel . hotel manage everything . beautiful ! restaurant hotel good . call Ember Grille nice breakfast . room small view river . like hotel central many great place go foot . directly across hotel House Blues . hotel nice lounge center bar . 
 Jun 26 2008 	 great hotel great location 	 husband live Chicago burb want book weekend get away downtown . ' ve stay several Chicago hotel year , Westin River North top list . next time stay downtown , first hotel try book . we use Starwood point , 2 - night stay free . can not really comment price . however , be good tip : not valet . 's $ 41 night ( plus tip ) . parking garage place area . keep car garage half block away - $ 35 2 night . other comment hotel : - location stellar . many restaurant / attraction walk can not begin list . anytime want get cab , bell staff wave wait us.- lobby beautiful inviting drink . onsite sushi bar bar - order sushi drink - nice.- room service speedy ( dinner [ sushi ] take 25 min , breakfast 20 min ) delicious . 24 hour room service.- check - in fast staff friendly . use concierge well bell staff everyone seem happy helpful.- Westin hotel , & quot ; heavenly bed & quot ; real treat - deluxe shower.- not pay ask River view , get partial River view delightful . the negative thing could think tv bit fritz . order movie one night movie keep turn return we regular television . really aggravating , credit movie . this hotel highly recommend , disappointed ! 
 Jun 26 2008 	 mixed feeling ! 	 ' m back four night stay Westin , part conference , mixed feeling hotel . room nice ; usual size , comfortable bed , flat screen tv . other mention , charge use fitness center , seem top usual rate . room service dinner one night fine ( chicken caesar salad ) arrive quickly . breakfast restaurant one morning ok .... around $ 20.this definitely place stay be Chicago vacation . 's bit walk Michigan Avenue restaurant area , nothing close . fine conference since shuttle bus pick we every morning bring we convention center . the staff inconsistent . sometimes many bellman front , time none ( yesterday leave , nobody 10 minute get cab airport ) . maid service inconsistent . I guess would recommend business area town conference . 
 Jun 22 2008 	 thing go location 	 hotel locate prime location , hotel add quality location , room O.K . restaurant good money , food sub par , flavor dish work well taste good , waitstaff horrible , see management discuss , probably hotel see poorly manage , give kind food . this happen lot hotel , hotel restaurant bad name , also attende banquet food taste badly , like care . 
 Jun 16 2008 	 amazing stay Westin River North ! 	 girlfriend impressed room , staff , lobby Westin River North . room spacious , great view chase lounger enjoy , nice bathroom ( dual shower head bath definitely plus ) , flat - panel tv great . also , check - in experience quick woman friendly professional . finally , location perfect we tourist ! nice walk along river , amble great place dinner , Shaw 's Crab House . our great experience Westin stark contrast terrible experience Palmer House Hilton night ( switch hotel b / c bad planning , be glad make move Westin ! ) . 
 Jun 15 2008 	 would make change Westin 	 Westin early June 2008 convention . huge problem air conditioning work weather hot humid . take 3 day room cool . one big complaint Westin additional charge : use workout room $ 10 / daylocal phone call $ 1.50 / call plus additional charge per minutebottle water room $ 5.50 / eacomputer lobby minuteNo coffee danish morning - also additional price . boy seem like want nickel dime every turn . after awhile additional charge get bit crazy . big complaint : EMERGENCY escape MAP - map anywhere tell stairwell fire . Westin hotel guide service available hotel . local phone book . I think need clean act . could also use high powered light bulbs entry room . 
 Jun 4 2008 	 great stay 	 colleague stay 4 night Westin River North meeting convention center . comparison , stay Hyatt McCormick Place last year similar convention promise would not -- convention center middle nowhere Chicago . Westin River North conveniently locate river -- less 20 minute shuttle convention center 5 minute walk Magnificent Mile . nice partial view river . be Chicago primarily shop , though , be probably well idea stay right Magnificent Mile . pro : Heavenly Bed Bath . wow . even hotel room alley , would happily stay . smoke - free hotel nice . wireless internet free lobby . con : use fitness center require extra fee . price almost $ 400 night , include . also , free internet room . also -- toiletry average . W Bliss product nearby Hotel James offer Kiehl 's productsOverall : base location , cleanliness Heavenly Bed Bath , would definitely stay Chicago . 
 Jun 2 2008 	 one Best SPG Property Town ! 	 stay lovely property memorial day weekend . hotel occupency rate low get upgrade nice 1 BR Suite upon arrival . room spacious , clean , comfortable . the hotel situate right next river room view river . hotel 20 floor top 4 floor executive floor free Wired internet access iMac use room ( one cool thing find property , even W offer ) . room feature typical Westin Heavenly Bed , Heavenly Shower 37 & quot ; LCD tv . hotel executive lounge locate 20th floor guest stay club level . think worth stay club level try save buck breakfast n etc . nice selection contiental breakfast & amp ; evening cocktail love way decorate lounge . sit enjoy river view quiet day . , nice ! hotel fully equip gym ( nice ) , swimming pool ( oh well ) , nice japanese restaurant site ( hana lounge ) order room well . check agent friendly eager help , bell desk concierge desk lady provide lot idea go / eat / shop .. etc . helpful ! hotel 5 minute easy walk nearest subway station ( Clark / Lake ) right across house blue Harry Carrey ( sp ? ) restaurant serve great steak , close Michigan Ave like shop . many great thing say property , would definitely refer stay property go back Chicago 
 May 29 2008 	 Great Location 	 wife stay Westin Chicago River North May 23 - 26 long Memorial Day Weekend . get great rate $ 152.00 per night . Hotel upgrade we river - view room becasue wedding anniversary . location ideal -- block Michigan Ave shopping , Loop shopping , right river . subway three block away . bus nearby . bin 36 across street great breakfast , drink light dinner . conceirage great . overall great experience . 
 May 28 2008 	 Great Location Room 	 book king room Starwood Points ( 16k / night ) ask room river view check . put us corner , river view king 9th floor - spectacular view , bed , bath , whole work ! really like fine anyone even attempt smoke room - know be get comfortable clean room Westin . lobby elegant take advantage either bar restaurant . concierge available evening , front desk staff good help w/ restaurant recommendation direction . hotel 2 block Magnificent Mile - cabbe restaurant ( Coco Pazzo Cafe - so - so food ambiance ) , walk back hotel take sight . downside $ 41 / night valet parking - not know alternative . 
 May 19 2008 	 Good Quality Hotel 	 whilst spend couple day downtown Chicago stay Westin . this hotel ideal location , main shopping area etc within easy walk distance . the room well decorate clean . the service high courteous standard . would stay . 
 May 12 2008 	 comfortable room great service location ! 	 stay Westin weekend , find hotel serve purpose weekend getaway . arrive early , 10:30am , front desk check right away even though check around 3:00 ! awesome overall service , valet bring car quickly check , even allow we keep car garage couple extra hour check . room bathroom big really comfortable ( dual shower head bath , comforter , flat screen tv ) offer great view river . safety deposit box closet , free charge . lobby super modern spacious . not really spend time hotel see else property , see business center available guest , likely fee . get cab front entrance problem . breakfast available around $ 19 , purchase go eat , in - room mini bar snack coffee . ' ve stay Hyatt Crowne Plaza downtown , price , would probably stay Westin Michigan Ave sake save couple block walk distance Magnificent Mile . 
 May 9 2008 	 great hotel good location 	 Stayed Westin River North long weekend April 2008 . book via Expedia reasonable price thoroughly enjoy hotel Chicago . Room standard Westin excellent heavenly bed . partial River view . location , whilst probably good Westin top Magnificent Mile still good Chicago River . hotel staff bellhop concierge excellent ( managed find reasonable ticket Cubs 1 hr notice ) bar nice , although not get chance try in - house sushi chef . would definitely stay . 
 May 7 2008 	 Pleased Hotel 	 first time stay hotel , although stay Westins regularly . pleased location , check , concierge , lobby , fast elevator , fitness center , view river . club loung large excellent selection breakfast food . room average size nicely decorate . limited tv station selection . $ 275 per night reasonable . stay rather Westin Michigan Ave . Sheraton river . 
 May 1 2008 	 great Choice 	 frequent Chicago visitor weekend visit make well great accommodation . check ask room end hall river view . give great room , great view request . quiet oh comfortable special Westin bed . please note North face room new high rise construction expect noise . would return hotel . breakfast hotel good relative value compare hotel neighborhood option . see children hotel stay , matter . safe , clean fairly convenient self - parking available short walk away State Kenzie , w/ Hertz agency street level . 
 Apr 15 2008 	 Great Location Room 	 great location House Blues , shop many trendy lounge bar . room view construction 4th floor , also 30 degree rain / snow ... great view anyway . staff helpful , provide we awesome umbrella rain ( much appreciated ) . parking expensive ( $ 40ish per night valet ) , be cheap anymore ? room lack iPod alarm clock , over - all trendy , clean sleek . enjoy stay . 
 Apr 11 2008 	 great hotel great location 	 2 Westin hotel Chicago . good location , think River North well tourist central . easily get Magnificent Mile shop Wrigley build NBC studio . we large room 15th floor view river . room bathroom clean , good condition . bed comfortable room nicely decorate . bathroom huge - one big ever see hotel . no problem noise - either traffic outside guest room . pay gym , look quite basic - would expect free . there free wireless internet lobby , staff say work Windows XP - Vista . complain , give free internet room instead . the hotel walk distance public transport ( bus stop train ) . 
 Apr 8 2008 	 great stay Westin ! 	 stay Westin River North 3 day first week April . hotel top - notch - every single staff member encounter front desk , concierge , doorman , valet , housekeep courteous friendly . hotel beautiful , trendy well - maintain . receive room view city , request room river view . almost immediately , change make . the Westin walk distance / short taxi ride away many attraction - Millenium Park , Michigan Ave , Grant Park , John Hancock , Lakeshore Drive - walk place scenic route street , not matter maybe 12 - 15 block away . hotel overlook Chicago river ground level , take great shot skyline surround building . a pleasurable experience romantic getaway make trip Chicago memorable . highly recommend Westin ! 
 Mar 28 2008 	 nice hotel 	 husband syate Westin river north birthday Easter weekend . take taxi airport $ 35.00 . allow check early . great room 5th floor overlook river downtown Chicago . many restaurant bar right street . definitely not need car . go see & quot ; Wicked & quot ; 5 minute walk hotel . House Blues also right across street . hotel staff friendly professional . concierge , George , helpful make trip Chicago even enjoyable . really like plan summer trip back Westin . 
 Mar 14 2008 	 Westin Chicago River North wonderful 	 hotel great location close several upscale restaurant across street House Blues . professionally run , extremely clean , comfortable . Feather pillow duvay , light magnifying mirror bathroom , nice chaise lounge chair front window take view . several self - parking garage nearby reasonably price Saturday night stay . great visit . highly recommend . 
 Mar 11 2008 	 almost perfect 	 husband stay Valentine 's weekend celebrate anniversary . arrive early & amp ; issue check . doorman polite remove luggage car trunk , not anymore ? doorman curtious helpful aside one blooper luggage . valet park car w / the hotel , be expensive & amp ; priviledge , find parking anywhere Chicago expensive . advice need plan travel outside city not bring car . Taxi 's ride average $ 10 tip main attraction , ie McCormick Place / Art Institute / Millenium Park , ride short driver quick . location hotel simply perfect . many great surround option Harry Cary 's House Blues step hotel . simply stroll hustle street bring Billy Goat 's Tavern ( Chicago legendary eatery ) Mag Mile . I lucky enough come across great deal online & amp ; book club level room & amp ; call hotel directly confirm . the person front desk George , great guy offer many helpful suggestion truly make stay memorable . enjoy corner suite overlook river downtown Chicago , could see lake alot tall building . room definately comfortable expect .... thankfully . bed linen soft plentiful , lot pillow ( usually be call pillow ) room spotless . * exception stain chaise , big deal , stain happen * + comfortable room , internet accesss room & amp ; computer provide not bring laptop problem , include club level gym . ' m pretty sure guest charge access fee gym though , double check like work . pool jacuzzi lose point .... like relax walk day . club level also include daily breakfast ( cold ) good selection pasterie , fruit , bagel , etc ..... starbuck coffee & amp ; lot ( : evening offer lite snack drink . . .it set hour bar service access lounge time & amp ; find snack water grab ... add benefit walk Mag mile Auto show . I could go . . . . consider hotel disappoint . staff professional polite , enviroment relax enjoyable , location excellent . say almost perfect expensive parking ( room cheap & amp ; include esp . club level ) fact pool jacuzzi . 
 Feb 22 2008 	 great location 	 stay Westin River North President 's weekend . hotel excellent location - 2 block Michigan Ave . get great deal Westin 's website - $ 159 night parking include . parking $ 41 every 24 hour something avoid drive Chicago . several hotel look type deal . check , gentleman front desk say book parking package one night ( not ! ) show confirmation assure would fix computer . unfortunately , check , bill $ 200 ! worry though , immediately fix ... make sure check bill . hotel lovely really nice view . would stay return Chicago . bed comfy room clean . small dog we accomodate . usually prefer starwood property many pet friendly . great weekend ! 
 Feb 11 2008 	 Comfortable well run 	 First Westin ' ve use US . starwood point use enough whole stay , make 2 booking consecutive period ; email hotel tell combine make continuous stay . waste effort : link reservation , change key change - over point 3 day , also get unwanted bill door day . receptionist friendly whereas would prefer competent . room fairly good , maintenance poor : basin waste annoyingly slow empty , one room light work throughout stay . phone call ridiculously expensive , even $ 2 call 1 - 800 number . Wifi work , free . tv remote terrible user interface , design make free tv channel extremely hard find . obviously design expense account , ideal tourist . on hand , good location , 2 block elevate railway underground train . Bin36 restaurant across street good , not try meal Westin except breakfast , fairly good reasonable value $ 13 continental buffet . 
 Feb 8 2008 	 Best Westin 	 good Westin ' ve stay US . everything professional . room ready early . front desk quick responsive . upgrade deluxe room 12th floor overlook Chicago River . hor d'oeuvre tasty . excellent croissant fresh fruit Executive Lounge breakfast . concierge friendly , responsive , helpful ... research question get back room . everything work . kind experience want overnight Chicago . 
 Jan 23 2008 	 stay want feel like King / Queen 	 come back Chicago , great time . female single traveler , always look thing around near hotel . honest , step hotel right leave several restaruant , club , shop , mall , even travel , cab fare bad . hotel comfortable bed , clean bathroom , room quite spacious , top view bad . order room service , think heaven breakfast . please go dine , get experience Chicago jazz , southern , steak / rib . nothing bad say , greatly book room next visit . 
 Jan 21 2008 	 wonderful Chicago Hotel 	 stay Westin Chicago River North weekend getaway trip . find hotel - like Westin property - modern , clean , comfortable , quiet , well maintain ; mention cozy signature & quot ; heavenly bed . & quot ; hotel locate perfect area loop close theater , restaurant , shopping entertainment . staff encounter professional , friendly helpful . drawback hotel valet parking extremely expensive - even big city standard - easily add $ 50 overnight stay taxis tip factor . future stay will utilize one nearby & quot ; self - park & quot ; garage . otherwise , would hesitate recommend property anyone look great hotel Chicago loop area . 
 Jan 15 2008 	 Update since last stay 	 return 5 night stay attend conference hotel . also stay year ago give chance compare two stay . like last year , staff pleasant room clean . I 2 complaints:1 . hot water morning sporadic . getting blast cold water follow warm water idea good shower certainly wake up.2 . despite hangin & quot ; Peace & quot ; sign door , cleaning staff come room twice . appreciate service not want it . except 2 complaint , overall stay excellent . 
 Jan 11 2008 	 exceed expectation far 	 stay Xmas & amp ; New Year Executive Floor Room . room represent excellent value money get reasonable continental breakfast every morning , canape 5 - 7 pm soft drink available day 9 pm night . the room modern clean view Sears Tower river . small quirky nice touch choc turndown kind orange essential oil aid sleep new year Eve , come back afternoon two bottle water bed two packet Alka Seltzer ( fortunately not need ! ) .The staff Exec Lounge , Reception Concierge friendly , polite , professional helpful without top . eat Ember Grille ( hotel restaurant ) one night . food good portion huge bit offputting be small eater . empty ambience bit weird service great . the location hotel great - 5 min walk El , 10 - 15 min walk Magnificent Mile , 15 min walk Sears Tower , 40min walk Shedd Aquarium & amp ; Field Museum ( get El want walk Millennium Park definitely worth look ) . lot good place eat close , particularly like meat , however , veggie , choice limit ( fairly common US ) . bin 36 right next door hotel good go twice must try cheese flight fab starter . also eat Italian call Maggianos 5 min walk away also amazing . atmosphere good food even well . portion massive prob well get whole serve 2 ( half serve 's available ) . home bake lemon cookie lovely also . 's prob good book pack every night . we would ddefinitely stay recommend anyone . 
 Jan 6 2008 	 relaxing stay comfortable hotel 	 ' ve stay Westin River North quite bit . hotel comfortable quiet great location . hotel not offer much way dining , lobby lounge large comfortable . within 1 block , ' ve get Harry Caray 's , Sullivan 's , Bin 36 drinking / dining . hotel Sax across street , new lounge , Crimson , be worth look . within easy walking distance ' ve get excellent restaurant , include Frontera Grill . also within relatively easy walk distance Nordstrom Michigan Ave . shopping . like Westin hotel , room modern , attractive , comfortable . ask River view room . concierge usually helpful , run map . 
 Dec 5 2007 	 nice stay snowstorm 	 book priceline happy stay . come snowstorm chicago beautiful gorgeous time year . explore chicago see blue ( Blue Chicago ) , museum , Navy pier , etc . hotel luxury class we worth ! 
 Oct 29 2007 	 excellent choice stay Chicago 	 book hotel Priceline $ 115 night worth every penny . greate friendly valet concierge excellent helpful well . check room , ask 2 double bed instead King , give room Executive level . not treat like second class citizen even though not book directly hotel . individual check Friday afternoon , call name Sunday check time . floored remember name even say word . amazing ! room clean quiet . never hear peep weekend . almost feel like people floor . would like close North Michigan Avenue , find free trolly Grand / Illinois Navy Pier part city close . would recommend hotel anyone . 
 Oct 23 2007 	 great choice modern big city stay 	 find everything true last two reviewer state . concierge particular helpful , print info place outside city explore . fact notice everyone meet Chicago seem friendly helpful . upgrade check ( 12:30 ) & quot ; Club Privleges & quot ; room 20th floor get free continental breakfast snack . good ! room spacious up - to - date . sleek . great view marina building river . love ! get stay 2 night , get third night free deal , cost 4 star less hotel . move Comfort Inn Suites three night since cost room would jump $ 400- $ 500 night ( convention demand ) . quite let ! love restaurant across street Westin ... bin 36 . really reasonable relative dinner house Chicago . splurge Smith Wollensky , also next Marina . okay ... pretty pricey . Westin River North worth splurge , be accustomed spending load hotel . get good price , definately book ! 
 Oct 18 2007 	 Westin Experience 	 stay anniversary . SPG Gold get we upgrade & quot ; executive level & quot ; 23rd floor . room everything would expect Westin , clean , comfortable , modern , plushy . room decor simple , plain nice . bathroom oversize easy work in . there Mac desk pre - configure open Chicago Travel site though could surf without restriction , check email , run AIM , etc . like ! executive level offer free morning breakfast afternoon snack drink expensive work even be fine . location great . easy walk everything . next door famous Marina City condo across steakhouse shake cow ! 
 Oct 13 2007 	 Excellent Hotel 	 girl getaway weekend - everything excellent . Staff go way assist we everything - shopping , dining , direction , etc . room clean , well appoint enjoy nightly chocolate bed turn . computer room help we locate attraction also book ticket boat cruise show . Manuel even take picture us birthday celebration . executive lounge lovely , breakfast perfect , fresh fruit daily , fresh squeeze orange juice , etc . staff , particular Kwasi , helpful pleasant . the 5 Canadian Shopping Bags 
 Oct 7 2007 	 beware bad review 	 chicago business whole city book . leave booking till late , find price control ! search pricline find two choice - 2 star hotel westin north river - price ! choose westin , concerned bad review read - especially highlight poor service reviewer receive . I say people must pick one day year service less exemplary . the location fantastic , room excellent service peerless . upon checkin automatically upgrade give complementary breakfast concierge organise tour follow see enjoy . downside find Westins North America non - smoking , good thing great stay cut time.i mention poor review staff leave tell wrong review - really upset guest enjoy hotel . while price time high ( still two star property advertising ) definitely stay . 
 Oct 2 2007 	 wonderful hotel ! 	 pleasure stay Westin one night 9/28/07 negative could not stay long ! get great rate web site , king club level room price regular king . the club level give large room high level ( help street noise ) , simple breakfast , exercise area , think , happy hour . time breakfast , nothing else . heavenly bed , perfect night 's sleep . so many restaurant near within walking distance . choose Shaw 's Crab House nice early meal smoke free bar area . Wandered Harry Carry 's ( across street ) cub win place grab , Fox news capturing event . fun ! ! 
 Sep 19 2007 	 excellent property two issue 	 stay hotel several time agree review regard excellent location quality hotel property . two negative comment regard recent stay ( end today ) : far breakfast hotel concerned option limit pastry fruit buffet order menu . first morning order menu nice breakfast ( four moderately sized slice french toast , two sausage link , hash brown , juice coffee ) cost $ 30 . one leave hotel find option , give great location , not problem .. one need know situation . secondly , irritate , fact hotel readily available kiosk advance online airline check - in print boarding pass . several & quot ; booth & quot ; one access internet 24 - 7 charge credit card 50 cent minute . morning walk another nearby hotel easily find kiosk print travel document . beyond issue great place stay . 
 Sep 18 2007 	 flawless stay 	 wife stay Westin Chicago River North 5 night thoroughly enjoy . concierge helpful , room nice expect , Heavenly Bed Heavenly Shower excellent . can not comment quality food room service on - site restaurant never partook . Westin locate heart River North area Chicago , home number fantastic restaurant . 's foodie 's paradise . location perfect sight - seeing , able comfortably walk Magnificent Mile , Navy Pier , Art Institute , Sears Tower . definitely stay next time be Chicago . 
 Sep 10 2007 	 Great Stay 	 much enjoy stay 16th floor river view room . great view pleasure boat along river well sailboat lake south east . room great , would expect Westin . decent size , comfortable layout . great bedding , towel , bath product . separate tub shower . nice HD flat screen tv . apple computer room . the lobby warm comfortable . excellent location . good service around , would hesitate recommend stay . 
 Aug 9 2007 	 Egregious Front Desk Staff 	 ok , let warn -- bit rant . starwood Platinum member travel lot . typically stay W 's , Westins Sheratons . geographically , hotel well - locate room nice view river . however , digress . . . usually , Chicago , stay W Lakeshore , try Westin Chicago River North high rating site well proximity Chicago office company join couple month ago . upon arrival , person check reception answer phone , moment , actually roll eye ( wink - wink conspiratorial way , general pissed ) speak guest call . ( figured front desk friend bad day . ) later , find fluster friend program one two cardkey , go back reception go dinner . since , think would hotel favor mention incident occur early , would think hotel would want staff member polite work front desk . thus , wait on - duty front desk manager , William , end phone call . call seem go bit , become apparent guest end clearly happy his / her accommodation reason . I pretty surprised hear William raise voice almost shout level say guest , & quot ; , * * reduce rate ! ! ! & quot ; outrage quite obvious we waiting service , flail free hand scrunched face . upon hang , turn staff say quite dramatically , & quot ; send housekeeping Room [ insert room number ] . & quot ; one ask & quot ; check early ? & quot ; William retort & quot ; yes ! ! ! & quot ; , turn wait guest say pointedly loudly & quot ; * * think check early , let tell one room leave city tonight ! ! ! & quot ; realize guy check get training . tell William find behavior quite unprofessional , especially manager , say & quot ; dare -- not even * know * ! & quot ; replied & quot ; course not know ; be merely impression guest hotel observe shout someone phone behind front desk everyone could see hear . bring ! & quot ; roll eye cross arm say something like & quot ; whatever ! & quot ; finally get back room call Starwood Preferred Guest hope could switch hotel , William right thing book . Suffice say , never stay hotel , will warn anyone broach idea away . 
 Jul 13 2007 	 much well option city . 	 parent get we gift certificate hotel , need contact hotel directly reservation . take four phone call speak w/ manager duty actually book room . ( two phone call hold 1/2 hour . third call forwarded catering . ) charge breakfast suppose include . three phone call later still not resolve . could not find gift certificate turn front desk . room fine , service lousy . many hotel city put w/ bad customer service . 
 Jul 10 2007 	 nearly perfect stay - read detail ... 	 impress location hotel visit Chicago . central key tourist business site . could walk everywhere need go . also impress comfortable clean room . heavenly bed , flat panel tv granite bathroom highlight . housekeeping staff incredibly courteous conscientious . check - in efficient . valet bell staff helpful . it would perfect stay concierge understaffed lounge area threaten undermine perfect stay . gentleman concierge desk slow enough listen query - assume knew question would guest . cut could finish question unable provide adequate assistance result . also lounge area severely understaffe chaotic even get place order . customer get seat hail waiter waitress order , get tab refill . advise try bar lounge area instead . many unique hangout . use room service . overall great hotel four star hotel range . would recommend . 
 Jul 2 2007 	 great hotel ... IMac room 	 room large ... sure think upgrade we Club level . separate bedroom large bath . IMac room free internet two LCD tvs nice touch . location great ... clean , bed always great . definitely return 
 May 23 2007 	 Great Hotel 	 great hotel . would give 4.5 rating . location great . close downtown 's good attraction right river . right across street Harray Caray 's restaurant close & quot ; L & quot ; train stop . construction go right next door ; however , not lot noise . room great excellent bathroom . bed wonderful flat screen lcd tv 's nice touch . service impecable staff ; however , concierge one night not fit category . park around $ 38 per night would expect city like Chicago . overall , would certainly stay without hesitation . 
 may 22 2007 	 Top Notch Hotel 	 2nd stay hotel would definitely return . lobby beautifully chic . room excellent condition- everything clean modern- fairly large . bed extremely comfortable . bathroom really nice .. marble .. include user - friendly touch like shelf side put toiletry sink not cluttered ... large separate make - up mirror . hotel good location near many restaurant room quiet - light sleeper not hear sound . ( request water view ) . 5 star experience- highly recommend ! 
 May 6 2007 	 beautiful hotel although location not great 	 gorgeous hotel , great room , great bed , good service . workout center nice get deal afford club level , 's lounge ( complimentary drink / appetizer / breakfast ) excellent . drink afternoon evening ( great view overlook city ) also breakfast morning . hotel large close House Blues ( will catch concert ) . bed EXTREMELY comfortable . valet parking service could use improvement ( slow lack professionalism ) , overall hotel great . restaurant one well city ( view bar right Chicago River ) . not eat though , can not comment good . downside , we , location . convienently locate anything want ( shopping , El / subway stop , etc . ) mean lot walk and/or cab ride . would definately recommend Westin Mag . mile one ( ' ve also stay ) beat every level . overall , though , be great hotel beatiful nice room . 
 may 2 2007 	 Loved Hotel - beware construction noise 	 May 2 , 2007 . fyi - stay concierge level hotel . room spacious , clean well appoint town Apple computer ( fyi sure hotel delete interenet history computer prior every guest checking ... something consider , , I prior leave ) , desk , sofa separate bedroom . continental breakfast level meet need lot fresh fruit ( hot item though ) . love location close proximity great restaurant , blue club ( Blue Chicago - genuine article ( i.e . fancy favorite ) great nightlife . use fitness center happy . sensitive noise go vacation may want stay away room end hallway face construction new hi - rise build ( i.e . room end 04 , 03 , 01 02 corner ) break ground , noise go quite time . business , buy small fan drugstore make much tolerable . staff friendly professional would definitely stay hotel . 
 May 1 2007 	 Excellent hotel wonderful staff 	 hotel magnificent , right begin valet take car wonderful , point we right direction dinner reservation later evening well walk Art Institute . check smooth , room available early check 10 am problem . location beat , mile museum , restuarant night life around , $ 4 cab ride theater ( walk heel ? ) , staff helpful . must relay tell incident - my husband wake 4 am terrible pain , grab belonging head desk find direction near hospital . Ingrid desk helpful , front office manager even call later day check husband . professional , curteous care stressful situation out - of - town guest sure go . thank Westin River North everything ! 
 Apr 29 2007 	 Great Hotel 	 recently stay hotel ( April 25 - 28 , 2007 ) convention . room 11th floor overlook Chicago River . weather ' great ( cold rainy ) hotel wonderful . front desk staff great , offer upgrade due Starwood Frequent Guest member . room plenty room comfortable . really say anything bad hotel . within walking distance Michigan Avenue directly across street Chicago House Blues Harry Carey ' Restaurant . 
 Mar 28 2007 	 nice hotel 	 beautiful hotel . convenient walk Michigan avenue . clean room . 
 Mar 27 2007 	 Good Hotel 	 stay Chicago Housewares show 6 night . room renovate , dual head shower good would think . be not great veiw 9th floor window . housekeeping service good ' ve see . room super comfortable . great hotel lack one area , front desk service . ask keep something refrigerate basically beg . care customer . hotel though worth stay , deal staff . Reminds W hotel westin . flat screen good , standard room pretty roomy . 
