phenomenal 	 everything stay flawless . bring check - in area , comparable large living room . sit ( stand check - in desk ) key card bring we , offer bottle champagne , wine water . a special thank go vanessa front desk ( hope ' remember name right ) … she go long way make stay special we ! room awesome . unbelievable view city , furnishing really cool . bed comfortable , bathroom sleek clean . I highly recommend check place , even one night … we ' want leave . 
 Mar 8 2009 	 good yet great . 	 stay Cooper square soft opening . deskless check neat concept work well we , see may potential trouble . show room 16th floor tell upgrade Cooper 3 Cooper 5 . room small perfectly well form fantastic view . staff friendly attentive problem service . specifically housekeep . first day return room approximately 7 pm get ready go evening find room service . call housekeeping 5 minute finish could order second glass wine bar . slight hiccup housekeeping , none not work time . there construction noise morning , sound hallway make room nothing overly excessive . breakfast great . pastry good coffee balthazar serve lobby make good start day . hotel obviously complete mean awkward uncomfortable soft open . think will back . 
 Mar 3 2009 	 Boutique Sheik Personal Touch 	 hotel , still slightly under - construction one classy hotel ' ve ever stay . ' m major frequent traveler stay nice hotel New York Las Vegas San Francisco . Cooper Square staff beam moment arrive massive solid wood door . Doorman Noel , concierge Alicia , Annies , manager Allison , employee vested interest guest ( tell , remember name ) . gracious common area host modern yet natural appeal welcome discern guest mingle comfort , complete cocktail appetizer . room , slightly big typical Manhatten single , boast host ammentitie - 40 & quot ; hd flat screen hd programming , well stocked premium mini bar , iPod dock one comfortable bedding ensemble ' ve lay head ( much request trimming outfit bedroom ) . sweeping corner room view Manhatten skyline make added bonus . bathroom accent include glass encase shower deep European - style separate tub . Red Flower NY exclusively craft line amenity call Wanderlust , describe crisp , slightly masculine ( think sandalwood Burberry Brit ) wonderfully refreshing . the wonderful staff make every effort accommodate , request , even reserve hot new restaurant club moment notice ( dine Bagatelle 2 hour notice ) . look forward return trip fall hesitate book upcoming treasure Bowery Street ! 
 Mar 3 2009 	 beautiful comfortable hotel wonderful staff great view . 	 delight whole experience Cooper Square Hotel . staff incredibly welcome pleasant , feel home whole weekend . & quot ; living room & quot ; instead lobby charming comfortable . suite high floor view city take breath away . be even window high bathroom watch twinkle light bridge night . bed amazing fit elegant linen . & quot ; soft opening & quot ; mean restaurant open yet , lounge great place meet friend drink , living room . can not wait return warm weather . 
 Feb 23 2009 	 extremely friendly quite Running Cylinders yet 	 pro : bed AMAZING . comfortable bed ever sleep . employee , friendly -- possibly friendly be use deferential treatment sort person hate waiter try make conversation restaurant . ( not mind . ) fantastic ample free breakfast -- bagel , nice pastry , yogurt , cereal , coffee , juice , cheese . really nice . restaurant not open yet ( will not long time look ) room service , essentially delivery local place , good variety price . location decent , cab driver know go -- tell bowery btween 5th 6th . nice free wireless -- view room amazing.the con : room really small . fine alone , not place would stay husband , would room stuff . room essentially bed . get low price due soft - opening , fact charge $ 450- $ 600 night , lunacy totally worth . 2 3 elevator work . staff , say , super friendly , incredibly competent ( someone bring package room drop , actually open ) . front desk , suppose friendly , actually weird -- get message package deliver , 's confusing . charge ton honor bar item not eat , willing address . lighting bathroom TERRIBLE . able make - up , period . would not mind stay Cooper Square -- neighborhood really fun people extremely friendly -- kink not quite ironed yet . would interested stay six month . 
 Feb 16 2009 	 still construction yet pretentious 	 hotel still construction , construction project leave , right front hotel . behind noisy backyard tenement building , complete clothesline hang dirty mop . construction worker start yammer bang outside 7 . 
 Feb 14 2009 	 love urban treehouse ! 	 fresh swank hotel Southeast Asia fly NYC visit friend family . stay know expect -- love ! felt like still SEA outstanding service . Ushered & quot ; library & quot ; frigid cold offer hot beverage wait fire take room . stay corner room look east -- attach sunrise picture bed . outstanding . location awesome -- actually use live street- nice home . love book theme . book sale proceed go literacy non - profit ! cool . loved lotion tub shower . Liked provide ipod deck easy use wireless -- always computer . bed SUPER comfy sheet . be big bed people . staff / service superb . always felt take care . ' m psyche next summer visit , hotel finish - the garden restaurant open chill outside take . 
 Feb 10 2009 	 could not wait check . 	 absolute least favorite hotel time . believe time life one star norm . this place awful . make confusing & quot ; new design & quot ; architect designer every opportunity make nice . case fail . room design without consideration guest comfort . classic example form function . literally put clothe . two drawer put clothe depth height silverware . furniture IKEA functionally wrong . desk unusable except store luggage ... tv table totally wrong height , bed awful , attempt cover harshness feather bed pillow ..... careful poky one planet . the bathroom light awful shower , although nice look nothing . although place room turn around . black sink nice live maid . single hook hang towel , amazing decide cute hang three bathrobe bathroom , barely one slim person fit room period . silly , silly attempt clever . the hallway totally dark depressing . staff . like hotel NYC , bellman nice staff . stay get blackberry inter hotel communication one ever look up . the check staff , clip board , take forever . read clip board like get live feed stock exchange . seem train appear cool rest we . there ok breakfast buffet , marginal time . pasterie dry coffee hit miss .... room noise level ... unfortunately locate near elevator could hear arrival departure . sure locate far , far maid 's closet , slam thing hundred time day start 8.I get to say , place torture . 
 Jan 28 2009 	 Cooper Square Hotel Place ! 	 stay Cooper Square Hotel truly magical . enter massive double door feel like nobility welcome majestic castle . know , find cozy , chic library enjoy drink delicious hor d'ourves real fire crackle away fire place . ' think could get well , ! room absolutely gorgeous . first minute , thing could stare massive window look city . view breath take . design room inspire , capture quintessential chic elegance . excited see high quality iPod port , huge , flat screened tv mini bar stock king . bathroom ! design shower area fantastic . wall cover twinkle deep blue tile tub long enough lie completely submerge . shower head luxuriously generous water flow line blood orange bath product smell good wash hair twice . favorite feature bathroom dimmer light switch ; effective tool instantly create intimate mood . bed , ' forget bed . deluxe mattress , combine big fluffy pillow authentic comforter make feel like sleep cloud . thing think criticize light switch bed side lamp hard find . ( button , hidden base lamp ! ) employee kind , helpful never intrusive . hotel currently work add restaurant , two bar garden space . look forward stay Cooper Square Hotel next time New York give high recommendation . 
 Jan 27 2009 	 Form Function 	 although hotel soft - open status , high expectation excite experience brand new boutique . unfortunately , sorely disappointed felt mislead glow review " guest " .The stay begin high note able check room 9 red - eye flight San Francisco . greet friendly concierge invite we enjoy breakfast spread escort we room . fire library pleasant contrast frigid January temperature outside . concierge walk we room wait bell hop bring bag . first impression room quaintness - unexpected New York City . furniture attempt minimalistic modern appeal . fail . one step Ikea . desk ' screw tight enough desk shake bottle wine place surface . highlight room glass - tile shower . once begin utilize room realize poorly design room . bell hop demonstrate functionality room ( lack thereof ) extraordinarily unprofessional . proceed explain work light switch ( well easily break light switch ) , " yeah , bathroom light ' bright . everyone ' complain " .After long flight , decide relax watch morning news . height table upon television sit explain designer room take second think guest would utilize space . change channel lie bed , one raise remote head point cable box . moreover , never hotel room possess cable box . find bit odd . also , lack easily accessible plug room . impressive shower quite opposite application . designer / builder underestimate clearance height need thin bathmat , , turn , repetitiously get catch glass door . shower tile grout around drain white ; however grout outer area water flow cover black muck . disturb consider hotel open month . ( second ) concierge mention ask visit room immediately agree shower ' cleanliness certainly maintain . black sink another chic impractical design decision . matte black surface reveal lack attention housekeeping staff white water mark soap residue . at boutique hotel , especially one guest , one would expect customized service . even simple attempt , Cooper Square Hotel fall short . letter leave door verify payment information name hand write correctly outside envelope , misspell within type letter . lack attention detail epitomize overall experience . clincher style room service receive - room extraordinarily overprice . book room Quikbook partially save pain egregious rate . good luck new hotel . go hard time make consider quality service price demand . happy check move W Union Square . P.S . make short breath , canister oxygen mini - bar available $ 60 along everything else room sale . 
 Jan 20 2009 	 not fool hype 	 not fool review hotel . HOTEL FINISHED READY guests.we book Quikbook January 15th 18th & quot ; high floor & quot ; queen room . upon arrival meet cordial clerk take we 8th floor show we room look like glorify dorm room , small , cheap furniture face old brownstone building . bathtub , cramp shower / toilet area . when tell room exactly present Hotel representative spoken telephone , take second room worse also additional $ 50 per night . we invite & quot ; lounge area & quot ; serve complimentary drink snack , bar / restaurant still open , await & quot ; Scott & quot ; , manager . & quot ; lounge & quot ; unfinished . frame mantle fireplace ( basically square cut wall ) paint wall even complete . & quot ; Scott & quot ; came explain book discount room additional amount could stay corner high room . ask much would commit price instead suggest wait check room discuss price . I take 8th floor third time show little large corner room overlook street . inquire show room high floor inform clerk room 13 finish ready occupancy . state request high room tub apologize ( 100th time ) state probably would stay either . I return & quot ; lounge & quot ; told & quot ; Scott & quot ; going stay hotel condition go regular hotel , W TImes Square . & quot ; Scott & quot ; professional situation state understand concern would charge cancel ( ? ? ? ? ? ) . encourage return later date & quot ; soft opening & quot ; over . we grab another cab head W immediately upgrade 45th floor room less second & quot ; upgrade & quot ; Cooper Square would cost . I commend staff Cooper Square . without exception friendly attentive . 
 Jan 18 2009 	 excellent choice NYC 	 great hotel trip Manhattan ; especially be go spend time Village . be also quick cab ride Midtown theater's . it be typical hotel - 's front desk . instead be greet employee invite drink grab room key . check particularly cold snowy night roar fire near bar ; perfect . the room clean modern . light take second figure great place stay . love good shower hotel excellent water pressure steam shower build bathroom . plenty towel bathroom , smell tad bit like 'd industrial laundry facility . the bed comfortable comforter mattress . could tell real feather two poke ; however , not bothersome excessive . view city nice make room feel much big . ' ve do great job turn small space cozy space . there nice iPod / iPhone dock bed charge phone ( iPod ) play tune well . the one minor complaint room lack readily available electrical outlet . day age , people go want plug laptop cell phone . guess hotel work open kink , will solve issue . ( plenty outlet , take time find get plug ) . despite few minor nit - pick item , hotel great bet ; especially NYC . would recommend anyone . 
 Dec 28 2008 	 Best New Hotel NY 	 travel lot work stay hotel many time month . experience hotel New York past ten year , find Cooper Square breath fresh air . boutique hotel seem follow pattern design offering . be predictably comfortable tend blend . much character . even unfinished , attention detail architecture interior inspire start . entrance grand scale & quot ; lobby & quot ; ( really not , library : ) really hammer home . fun arrival experience , especially front desk money exchange hand . serve drink instead escort room . ask staff ( incredibly helpful nice talk ) finish next couple month will come back sure . can not wait visit new year . next big winner book NYC . 
 Dec 16 2008 	 Awesome boutique hotel ! 	 stay Cooper Square 12/12 - 12/14 - & quot ; officially & quot ; open 12/11 - , first guest - definitely first guest room . overall , , impressed . hotel ultra - cool - modern upscale , yet comfortable cozy ( especially library area fireplace ) . controversy surround hotel 's late opening , not sure expect - , & quot ; soft opening & quot ; rate low , willing take chance . glad . hotel staff still train - , be eager help guest - , go way sure everything want . guest may find staff bit intrusive - least understand available without & quot ; face . & quot ; room beautiful . corner room , face Northwest - great view Cooper Square - especially night . decor understate elegant . , bed one good ever - well Ritz Four Seasons bed - lot pillow outstanding mattress . bathroom well - awesome product - especially shampoo ( smell like red orange ) unique cool design - modern , claw - foot bathtub & quot ; floated & quot ; middle huge shower area - nice touch . guest think mute , dim bathroom light annoying - , romantic cool . floor 5 room - quiet intimate - almost like live exclusive apartment building . almost forgot - iPod docking station look like tiny speaker unit power - , not case - dock iPods get amazingly rich sound throughout room - nice touch ( along book include room - , old magazine ) . finally , mention - love neighborhood - Cooper Square area authentic New York - guest will not like feel area - far south Times Square Mid - Town trendy shop locate . , like we - either like explore authentic urban area know City well - Cooper Square Hotel ideal location . lastly , will mention serve cocktail , wine champagne guest weekend provide nice brunch ( complimentary ) - may & quot ; soft opening & quot ; celebration - , nice touch ( along free pass New York City Athletic Club across street hotel ) . sum , would highly recommend hotel couple like contemporary , boutique hotel . time , restaurant open , suit top floor available staff settle , hotel awesome - present , close top notch boutique hotel - , month & quot ; full swing , & quot ; even well . 
 Nov 12 2009 	 branché bien placé belle vue mais petite chambre 
 Oct 28 2009 	 glamour e accogliente 
 Aug 5 2009 	 assez bien placé . pre du bowery hotel mais pas trops cher et faussement mode ! 
