mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Feb 25 2009 	 Nice Hotel Area require 	 second choice hotel sister hotel next door fully book . the hotel nice little price , even thou correct area London . 
 Feb 25 2009 	 Excellent citytrip 	 excellent citytrip ! Beautifull hotel , excellent service , extensive breakfast , ... 
 Feb 25 2009 	 Nice Old Hotel Wonderful Location 	 stay Bailey 's adult daughter 4 night father / daughter road trip London . book two single room Expedia , arrive early Friday morning . immediately call housekeeping get two room ready we , 9 able check , take shower , explore city . first rate . staff deal helpful friendly . this old victorian - era hotel three elevator squeaky floor . entry quite grand , bar next main entrance cozy comfortable long day troop across London . buffet breakfast ( opinion ) terribly overprice 16.50 pound per person - get similar breakfast coffeeshop block 4.95 . hotel offer breakfast we half - price , eat couple morning -- might also able negotiate even well rate . both single room TINY -- really really small , perfectly adequate place crash take hot shower morning . the neighborhood actually nice : Gloucester Road tube station right across road , well two grocery store , Starbucks , steak house , dim sum restaurant , pub many small shop within one block hotel . be another pub two block 's bit quieter , overall neighborhood seem safe sane . I would indeed come back stay - definitely worth return visit . 
 Feb 22 2009 	 certain get business 	 thank fellow reviewer , elect change normal haunt ( Marriott Regent 's Park ) try hotel . travel group three make booking person . interested see variation room book one we , junior guy small room ( one twin bed ) middle seniority guy standard King . also pay 7 pound breakfast include ( ! good breakfast ... fresh lot choice , watch option hotel booking site ) . , well , somebody try & quot ; good & quot ; room book Club King . room price 67 , 110 165 respectively plus usual tax . two high price room include internet . well , plan anyway . three night guy four ( 10 % room discount 3 , 15 % 4 consecutive night ) . & quot ; Middle guy & quot ; experience trouble HVAC since week big snow fall , be wuss , get give room heat . fairly well book , probably suck we new testing , upgrade club King like have . & quot ; New guy & quot ; like room . think really good . , realize , think canned pea really good . check , know , seem good . sure , bed twin , long twin . tv flat screen ( ) though significantly small mine ; probably 28 & quot ; mount high wall . bathroom slightly small one room . probably take 40 % total room space . offer tiny writing desk , probably enough laptop mouse . careful book cheap room hotel . one person , not want twin , stuck room type demand non - refundable first night prepay . must lot shock people show . really , room fine . one thing ... room back part hotel access maze hallway ... ahhh , really maze 5 turn elevator . middle guy 's original room typical room typical hotel . huge , certainly livable ( give heat wuss ) . Washroom nearly size new guy 's room . probably , optimum value / convenience / comfort room . room large space swing cat . King bed , large closet , suitcase table , Desk plenty space , would say 40 & quot ; flat screen tv . ultimately , extra walk space lose . third floor front corner build good view slush street . despite 2 outside wall , quiet . on go back crew would book standard room ... except maybe new guy ... two element bit disturbing . new guy 's rabbit warren area , somebody set fire something room one night . give real fire little tick wake least bring lobby . neither middle guy evacuate . stage alarm fine new building , , would angry evacuation . second problem ... cable tv signal finicky . system lock uselessly frozen . problem night 2 night 3 . night 3 elect fix thing . 40 minute & quot ; somebody right away & quot ; knock door stand unidentified person street clothe look like rucksack . eventually manage emit thickly accent & quot ; * * * * * . want tv fix ? & quot ; . 10 minute say go server . fine . ask would back . long boring story make short ... come back ... 60 minute later ~12:30 knock door give , post disturb sign go sleep . still . hotel strive provide good service . listen , act . good area get elsewhere , eat , buy stuff take back room . there exercise facility hotel , provide access facility millenium hotel next door . Ahh yes , direction name interesting ... Millenium Bailey 's Kensington really would pick prime Kensington . Gloucester road . whereas new hotel next door Millenium Gloucester road , Gloucester road . prefer old creaky Bailey 's new blandness . 
 Feb 16 2009 	 Downright awful service 	 Basically manager duty arrvie business deal people period . insist make type reservation not paperwork prove . twice try overcharge underhandedly even check ! nasty attitude boot . wait 30 minute call corporate headquarter could remove charge allow room . way want start vacation . everything else become irrelevant . 
 Feb 16 2009 	 Great Hotel good location 	 stay hotel friend valentine weekend 2009 . room decent size bed exceptionally comfortable something always matter we . pay extra cooked breakfast good . usually find buffet cook breakfast normally luke warm good quality pleased find Millenium Bailey 's breakfast pipe hot , fresh overcooked . the location excellent ; right across road Gloucester Rd Tube 5 minute Knightsbridge , within walk distance Kensington High Street , surround lot good restaurant bar . recommend Concierge try Thai Corner near South kensington tube station nice . my complaint hotel would place hairdryer wardrobe ( strange location ! ) , attach wall , make difficult dry hair . also room quite dark overhead light , however , neither niggle impact stay . 
 Feb 9 2009 	 lovely hotel 	 book hotel top secret hotel lastminute.com pleasently suprise . hotel really great location - literally right next Gloucester Rd tube station . although room bit bargain , give free upgrade upon arrival whic great . room lovely big . although old fashioned personal taste decorate well . bathroom need refurb really still fine . bed comfy duvet one nice ' ve hotel ! would definitely recommend stay future 
 Feb 1 2009 	 Charming hotel 	 great stay . hotel old property lot charm . feel cozy intimate ; overwhelming like cookie - cutter chain hotel . book thru hotel website room rate reasonable . property directly across Gloucester Road tube station , 10 - 20 minute tube major tourist site . the positive : -convenient tube well supermarket , convenience store , post office several restaurant ( tube station direct service Heathrow -- though will carry suitcase stair even take elevator Gloucester Road ) -great rate - room fairly large , clean comfortable - large bathroom - our room U.S. electrical outlet deskA negative , though nothing horrible : -sink 2 faucet -- icy cold hot ! -shower pressure weak ! use handheld sprayer instead.-be warn - alarm clock - even though build lift / elevator , hallway room short flight step climb down - squeaky floor ( part charm -- noisy ) room ( hotel general ) rather warm , top pane window open -- not leave open long due street noise , however . would recommend hotel other . 
 Jan 28 2009 	 wonderful hotel great location nice host .. 	 wonderful stay . location perfect , walk distance several museum across street tube station Picadilly Line ( direct LHR ) . room large well appoint , flat screen tv , large bathroom shower tub . tell front desk room little warm immediately bring fan length stay . restaurant price seem high , several dining option withe walk distance . across street supermarket , Starbucks , Burger King , pub . Caffe Forum around corner great spot breakfast Book web site early book , low rate . can not wait return . 
 Jan 28 2009 	 lovely hotel fantastic location 	 stay Bailey 's weekend Christmas 2008 pleased choice - hotel exceed expectation every way . entrance , lobby downstair bar impressive real life look website - first surely ! place real charm character , lobby really quite grand . Christmas tree wonderful , whole atmosphere hotel ' Kensington ' ! staff reception friendly , polite helpful , able check hour early give warning . the room acceptable . big bright , comfortable , large bed , well stocked mini bar big tv . bathroom quite modern use ' city break ' hotel ' ve use , remember old building . bathroom plenty room spotlessly clean , rest room . view Gloucester Road , like . little street noise , excessive largely muffle close thick curtain . discover room hairdryer , call housekeeping one door within minute . our weekend break deal include complimentary Champagne Cocktail wide range bar menu . absolutely delicious bar kind place could happily away hour afternoon evening . price extortionate , nothing not expect hotel central London . service first class time , we special weekend away , concerned bar price . Breakfast , serve Olive 's Restaurant ajoin bar good . great selection buffet , vegetarian easily able fill plate selection hot food , pastrie fruit ! location could not well - much kind London we tourist imagine ! walk distance Harrods , surround quirky little delis restaurant , really great choice place eat , KFC Nandos formal ' high end ' dining room . Waitrose Tesco across road , make easy nip bottle fizz snack loathe pay hotel bar price ! directly opposite Gloucester Road Tube Station , make quick easy get anywhere London really - Victoria , Westminster , Oxford Circus reach ten minute less . Olympia Horse Show two tube stop ( though one change ) away . we fabulous stay back Bailey 's next December , would not even look anywhere else . highly recommend . 
 Jan 22 2009 	 Fantastic Hotel ! ! ! ! 	 stay truly awful european hotel , pure luxury end holiday hotel ! room huge , queen sized bed , great tv , big bathroom everything clean ! stair bar , 5 restaurant ( Bugis Street Brasserie amazing ! ) terrific reception concierge . this hotel opposite Gloucester Road tube station big red bus bus stop right front ( London sight seeing bus ! ) . 2 supermarket , chemist , currency exchange many cafe shop street opposite . it walk distance Kensington Palace , Victoria Albert museum Harrods . well locate ! hotel modern still charm would expect English hotel . internet access ( small cost ) room iron ironing board they . everyone hotel housekeeper reception staff friendly willing help way could . glad find excellent hotel thoroughly enjoy stay . 
 Jan 21 2009 	 happy return 	 daughter return another excellent stay friendly hotel . give large room , excellent sized bathroom comfortable bed . the ambience perfect , staff work harmony everyone concern comfort enjoyment . it joy return beautifully preserve Victorian Hotel long day London . stay many modern hotel not personal touch Millenium Bailey provide . 
 Jan 18 2009 	 good Millennium 	 take advantage promotion hotel offering 's web site , LEASURE LONGER.You stay 3 night get special . book 5 night . hotel old building well keep clean bad insulation hear people talk , walk side room listen foot step room ( request quite room ) make different . the front desk reliable ( bad ) , good advice check bill every night tv room check - out . get 3 different version includ reservation ; give self extra time check - out unpredictable . the restaurant ok serve dinner , bar open day ; nothing special service staff profecional . the location ok ( Kensington ) subway station across street take 30 minute more / less central London . area walk dist . ( 10/20 mint . ) 2 museum , harrow many shop , restaurant etc etc . if other hotel area promotion 85 pound tax incl . go . Bailey 's good price charge . next door Millennium hotel modern , also Hollidays inn Forum near . 
 Jan 17 2009 	 Good Value 	 family ( 2 adult 2 teenager ) stay Bailey 's Gloucester Road 18 21 Dec 2008 . disappointed . we choose hotel base price , acceptable proximity central London desire character London hotel . after long haul Australia , arrive hotel around 6.00am , really appreciate friendly helpful Reception , room immediately . room fine - view also road noise - envy kid ' large twin room . bathroom spacious . we eat breakfast , variety , quantity quality quite acceptable ( stay many 4 - 5 star hotel around world ) .We also spend relax hour bar / lounge one evening , like picture website . location also quite acceptable , Gloucester Road & quot ; Underground & quot ; station literally across road - well bus stop ( also bus tour operator ) .Overall , good value ! dvd , Perth , Australia 
 Jan 14 2009 	 definitely Recommend ! 	 stay Bailey 's Hotel New Year celebration 2009 , would definitely recommend hotel anyone want experience London . get good deal Hotels.com = £ 100 night , New Yr 's London could definitely find lot bad ! really feel like be posh hotel make entrance - way , anyone not know London well / at - Bailey 's Hotel literally opposite Gloucester Rd tube st . - can not miss ! definitely convenient hotel one nicer / upper class part London . would say traveller / tourist would feel safe walk around surround area night . room fine , modern decor , big enough 2 people . bathroom also clean . view window great fuss spend time look window anyway ? although room not ready arrive , able go across road Stamford Arms ( ? ) quick pint . staff reception friendly efficient . manage get breakfast include price excellent - good choice full english breakfast , cereal , fruit & amp ; yoghurt , fresh juice , tea / coffee . Buffet well eat fill ! problem leave luggage check wander around London . bit skint 's really convenient Tesco 's express ( bag snack / drink take room avoid mini - bar charge ! ) , good old Burger King / KFC / starbuck italian restaurant . yeh , stay feel even well know get good deal ! , definite recommendation ! 
 Jan 8 2009 	 Love Bailey 's ! 	 husband stay Millennium Bailey 's hotel Christmas holiday , absolutely love stay . second time hotel , not even look hotel book trip happy hotel first time . hotel quite bit old , , personally , think bring lot 's charm . we book Expedia , not free breakfast include , option upgrade club room extra $ 30 night , . highly recommend club room spare extra change - much big standard double room , nice sit area couch chair . bathroom little small side , really not issue . bed unbelievably comfortable , tough get morning nice ! warning though , club room say 's king bed , really two mattress push together make king , seam feel . not really much issue we , could see people would not enjoy that . like poster say , location fantastic . tube stop across street serve three line , pretty much access London without change line often . Kensington Gardens / Hyde Park within walk distance ( 5 - 10 minute ) , museums street Cromwell . many restaurant shop / grocery store around ( Tesco Express across street , well Waitrose shop gallery next tube station ) , never really go far need pick food , toiletry , etc . personally would not recommend eat drink Olive 's Restaurant , since price expensive many option neighborhood . pub across street good , one street Gloucester ( think call Hereford Arms ) great atmosphere / great food , really enjoyed go there . the staff friendly helpful whenever need ask anything . business center sister hotel next door ( Millennium Gloucester ) , need check email , recommend sit lobby laptop phone jump onto wi - fi network . beat pay room internet charge , pay time business center . also fitness room Millennium Gloucester Bailey 's guest use free , never make there . all , would recommend hotel anyone , would stay heartbeat ! 
 Jan 1 2009 	 really nice stay ! 	 hotel great location . ' minute away Gloucester road tube station - Circle Piccadilly line- convenient ' come Eurostar ... find many shop , restaurant , bank nearby- hsbc , tesco , boot , starbuck , prêt à manger , even post office … .The hotel nicely decorate , lift ; practical lot luggage like . staff helpful , especially luggage storage . my room comfortable , nicely decorate , convenient . everything needed- tv+ satellite channel , clean bathroom , safe , hair dryer , iron … the room well isolated , ' hear anything neighbouring room . yet , room face main street , could hear noise outside . however , ' busy street ; ' bother we much . I book room hotels.com ; ' include breakfast . hotel ' restaurant quite expensive . ' well eat outside . breakfast , ' cool pub across street , serve tasty full english breakfast £ 4.99 , 10.00am . whole , really satisfied hotel , ' come back sure ! 
 Dec 31 2008 	 Millennium Bailey 's -- charm old hotel . 	 get good price hotel Travelocity , not know expect . three room 6 family traveller , room excellent . number reason , would highly recommend hotel.1 . comfort : bed fantastic , room clean , water hot ! 2 . location : directly across Gloucester Tube entrance , near grocery store restaurant , easy walk many tourist destination . stay far outside London , be clear Kensington excellent place stay London tourism.3 . charm : squeaky floor aside , ambience hotel straight edwardian era ! , charming , staff could not helpful . PS - pub across street excellent . 
 Dec 26 2008 	 Fantastic Hotel great location 	 impress London Hotel would happily recommend anyone . staff welcome make real effort answer question local attraction ( even manage track small exhibition really want see ) .The Hotel perfectly situate travel around London , tube station close excellent . especially love Christmas decoration lobby , really make we feel like come home welcome comfortable environment . overall great stay would look hotel future visit London . 
 Dec 1 2008 	 Location lot character . 	 stay one night hotel would definitely stay . hotel lot character especially main room welcoming feel it . the staff polite effecient book upgrade superior room . room comfortable , spacious , large bathroom clean . window secondary glazing help noise road , not issue we , think help top floor . bed amazingly comfortable . wide selection food available breakfast & amp ; although room full capacity staff well organise effeicent , everything run smoothly . nice touch roar log fire breakfast room especially cold , damp November morning . choose hotel convenience , road Gloucester Road Tube Station . short ride Marble Arch , Oxford Street Bond Street . Kensington even nearer museum park also within easy reach . not forget get Oyster Card . 
 Nov 26 2008 	 good value great location ! 	 since usual S. Kensington hotel ( Jury 's ) close renovation , decide try Millennium Bailey please ! allow check early - noon - switch nice - sized room huge bath wireless first room not work . room bath clean comfortable , public area . staff friendly helpful . gripe would high price breakfast , several moderately price restaurant ( include Burger King ) within block . location great - Gloucester Road tube station right across street , hotel within walk distance museum , parks Harrod 's ( provide like walk ) . ' ve since recommend hotel friend , would gladly return ! 
 Nov 25 2008 	 ok room great location ; not use HOTEL PHONE 	 book great rate lastminute.com . hotel well locate room large many London matchbox . 's bit worn edge generally ok . big thing shock need make three phone call , none last 10 minute . two mobile number , third low , flat - rate 0845 number . each call cost 41 pound , 4 quid minute . saving make lastminute.com erase 30 minute worth call . hotel totally unapologetic rip - off , leave really bad taste mouth . otherwise , would recommend place get great rate . guess learn lesson -- not forget take UK mobile go London ! ! ! 
 Nov 19 2008 	 make Feel like another country 	 look typical experience american hotel , stay . want atmosphere style historic England , hotel excellent choice . first thing notice elegant lobby . staff curteous ( even hold bag we have check ) efficient . yes , room small , hotel many part Europe much small room Americans use . can not tell television like , visit England ! time sit room watch tv ? bed firm side boyfriend could sleep order rollaway ; heaven forbid need rollaway bed -- $ 60 / night . room elegantly furnish , bathroom wonderful include deep bathtub heat towel rack . good thing hotel , however , location . across Stanhope Arms , true english - style pub , fantastic fish chip burger . warning : Guiness serve warm . dining price inside hotel ridiculous , could go across street enjoy fresh pastry patisserie , Starbucks ( different offering US one ) , Burger King ( be desperate greasy taste home ) , pick something little market across street ( good headache , ; codeine sell counter ! ) also many fine restaurant street , include steak house . most wonderfully , ease transportation . right across Gloucester station , get anywhere England -- include airport . save lot money transportation . also across stop London Tour Bus . price get Expedia perfect , highly recommend hotel . 's central London , easy get convenient . 
 Nov 10 2008 	 Lovely Hotel ! Location Location Location ! 	 Flew London Halifax , Canada stay three night Bailey 's Hotel move onto Scotland . hotel exceed expectation , expectation high ! . like flight Canada , arrive early morning not expect able check - in early . girl front desk advise would wait two three afternoon . keep 5 suitcase spouse decide go walk . first hungry past nine hour airplane food stop across street Tesco pick sandwich . happy Tesco right across street , convenient . sell everything Milk Razor blade , Fresh Croissants newspaper . walk Cromwell Rd turn Brampton Rd take we right Harrods . easy get , 20 minute walk . get back check Club queen room . room large , victorian style . much charm ! also , free Mini Bar , amazing ! even double check reception twice ensure hear correctly . the breakfast morning nothing short delightful ! typical english style Breakfast . service prompt , know . one guy hover buffet table like baby , ensure always fresh , clean people drop stuff buffet table , well look after . check breeze , thank stay . I almost fail mention hotel across street Gloucester Tube station make easy get around London . stop Parliament Stations every need go . area safe problem walk around night . my stay London would enjoyable not hotel . comfortable Bed , large room , amazing staff 's fabulous location make trip perfect ! 
 Nov 4 2008 	 good ROUND 	 really please everything hotel . location good , breakfast great , room little small everything need . bathroom lightbulbs blow first night inform reception , maintenance man put new bulb within 10 minute - think really efficient . one ( small ) gripe net curtain room - absolutely filthy look like never wash EVER . 
 Oct 29 2008 	 Best Hotel Trip 	 simply great hotel ! room outstanding , large , beautiful bath quiet . hotel great restaurant also close good place dine . locate next Tube Station block Harrods . staff excellent , accommodate . would definitely stay ! 
 Oct 27 2008 	 okay hotel - glad not pay full price though ! 	 book hotel ' Top Secret Hotels ' function lastminute.com idea go get book confirm . pleasantly surprise first . hotel good location ( right opposite Gloucester Road underground station ) hotel front lobby great deal character . staff helpful ( although come across check , swiftly do , not require anything else ) . room good size generally clean comfortable . thing could well fact seem kind generator outside building make noise night . even A / c room turn keep awake night . not fancy change room midnight rush morning otherwise would complain - not time probably do . spend next day fall asleep meeting travel London attend . would probably stay agin convenience would sure ask room away generator / A / c unit overlook much . know pay discount rate ' ve well night sleep Ibis . 
 Oct 24 2008 	 room good last year . 	 second visit hotel - stay last year round time . room time small . fact rang reception ask put we wrong room bed looked make one person pillow centre bed , one glass next bottle wine table . tell double room pillow wardrobe another glass cupboard ! Mmmm . another niggle cupboard door bottom bed would open properly close bed . the drawer bedside table break drop not careful open it . having say , fault regard cleanliness . although room look tired bit bad wear , clean . staff remain friendly helpful . the location big plus , suit we . 
 Oct 17 2008 	 Great Location 	 book hotel last minute weekend trip London . book single room clean quiet . website weekend special include breakfast & quot ; champagne cocktail & quot ; . seem confusion drink part ... remember one drink per day , reception staff insist one drink - period . , complaint . breakfast good . crowd Saturday , Sunday . run lot food , replenish within 5 minute . hotel really cute grand staircase ( elevator ) convenient arrive Heathrow ... hotel right outside Gloucester Rd tube station . definitely stay . 
 Oct 4 2008 	 4 - Star Hotel 	 stay hotel last year similar , same . pros- management nice , time . big , lovely room ! big flat - screen tv . big bathroom . queen - size bed great sheet comforter ! everything spotless . safe . cons- room away lift . go three set door way room . problem two suitcase one arm . the bath tub , lovely , problem . disability . one hand bad leg . last year hotel , bath tub long base . , could slide base get tub . one not base . swear , take ten minute dry sit tub dry tub wedge there . I call parent talk nine minute . hotel charge 45 pound ! incense ! fair , could call downstairs ask , last hotel tell telephone much would charge , not think anything . , ask speak someone desk lady call superior give 20 percent . , 36 pound . ( last time ! ) view outside room & quot ; courtyard , & quot ; view inner working hotel . not nice . , not look . ( last year front hotel . ) floor warp . low spot high spot , mostly right bathroom . people would not notice , do . all , good experience . London great city . come back probably hotel . 
 Oct 2 2008 	 tired hotel 	 Disappointment previously stay sister hotel ( Millennium Gloucester ) next door previously . hotel show age . room small badly design . dingy lighting . breakfast good unbelievably expensive . Gloucester Road handy location plenty eat place well hotel price area . 
 Sep 29 2008 	 Great Location 	 pleasant stay hotel . room fairly small , could not cully open cupboard end bed not room . clean though everything would want not plan spending time hotel room . staff pleasant reception bar room well present . it locate right opposite tube station , find really easy get around London . tourist see usual london sites hotel perfect want . would not recommend however someone look relax break luxury hotel . hotel pleasant place sleep , spend day . 
 Sep 28 2008 	 Central London Hotel 	 find location excellent right opposite Gloucester Road tube station . clean comfortable , upgrade check - in large room . booking request quiet room air con work request meet . small complaint large flat screen tv keep freeze picture , channel , late night not like bother anyone . no breakfast include price , plenty cafe bar immediate vicinity , Tesco Metro opposite Waitrose nearby small shopping mall . ideal short stay London , would return 
 Sep 23 2008 	 pleasnt venue short break London 	 book hotel short notice offer competitve rate short break capital . arrival staff reception helpful polite quickly deal reservation etc direct we second floor double room . the en suite room clean , quite well appoint overlook nearby Gloucester Road underground station - say window double - glaze disturb noise roadway . although book either dinner breakfast find bar surprisingly vibrant restaurant ( ' olive ' ) seem quite full patron apparently enjoy food . food serve bar area look appealingly . bar staff helpful friendly . overall , give deal available , excellent value money good standard hotel . 
 Sep 21 2008 	 great beautique type hotel 	 orginally book standard room decide plane trip upgrade superior room . arrive 10:00 , tell desk want upgrade , room not ready go day . return around 3:00 say superior room leave upgrade we club room - deluxe - additional charge . room huge beautiful flat screen tv lot sitting room . everything immaculate well . bathroom overly large sufficient need . full breakfast include rate nice choice food . concierge excellent help we locate place visit understand bus tube system work . hotel locate quieter part London , directly across street tube station important we . within block kind restaurant , market , internet cafe small shop make easy eat return long day sightseeing . negative side , London seem believe water mix valve hot cold water separate faucet little annoying . also , power ( top ) shower short hot water weekend , strangely low hand hold shower plenty . comfortable hotel would hesitate stay . never see standard superior room , manage secure club room , will not disappoint ! 
 Sep 2 2008 	 right 	 great rate include breakfast dinner godsend first time London traveler . walk feet beautiful city return evening Rahman resto staff welcome , pleasant friendly . food good dinner breakfast . room adequate - clean , pretty , quiet , good AC . perhaps five star room absolutely perfect , price terrific . amenity one would expect none expensive fluff one really need . US exchange rate real damper travel feel like get great deal Bailey 's . yes , floor squeak , yes be old . ! ! ! charm , lovely staff , BEST location think . surround neighborhood beautiful upscale , safe close lot thing . Gloucester Road tube station serve three main line . get Oyster card GO ! like hotel much absolutely return travel take London . woman travel alone want thank staff make feel much home . guest use Business Centre new Millennium Gloucester right next door . handy printing boarding pass , etc . 
 Aug 31 2008 	 good central London 	 stay twice August start end trip UK . first time two night second time four night . first time round lucky enough get upgrade decidedly large room . second time case still decent size . room well equip plasma tv etc . internet rather expensize though . inward face room , time , not much view bit dark , upside nice quiet . generally hotel seem well upkept . unlike many hotel price bracket London , Baileys would appear standard operating procedure staff actually adhere . hotel staff friendly helpful service prompt . location execellent right opposite Gloucester Rd tube station , plenty shop eat place walk distance hotel . overall good place stay London standard . 
 Aug 21 2008 	 far luxury hotel 	 reason wife choose Hotel , obtain special package rate include breakfast two course evening meal . at first get good impression Hotel . nice helpful staff Front Desk nice reception . soon observe hotel wear . among think , see Hotel Bar corridor . room . 120 , tell Superior room , old fashion bathroom . detail nice , wonder standard room look like . the wooden floor room obviously room well , 100 % flat . wood make noise walk , also hear room corridor . AC room poor , adjustable , temperature hot . however satisfied bed , room also large flat tv screen . find two course evening meal tasteful , unfortunately service Restaurant poor slow . breakfast average , difficult find free table around 09.30.The hotel good location directly across street Gloucester Rd tube station , therefore easy see major tourist site . even future receive favourable offer package rate include breakfast evening meal Millennium Bailey ' Hotel , would go back Hotel . travel London November year , book room regular Hotel . rate package rate offer Millennium Bailey ' Hotel , include evening meal . prefer stay nice renovated hotel , modern delicate bathroom . 
 Aug 20 2008 	 FAB stay hotel 	 use travelzoo promotional code get two room 2 course dinner full english breakfast . arrive check quick easy . upgrade club suite room real suprise . decor lobby bar stunning keep really well keep age property . room massive compare usual size room london . could easily fit 4 people bed big ! bathroom nice bath shower . everything need room internet facility , large flat screen tv Etc . the meal really nice , go quite late around 9.30 not busy . chef choice 3 option course . meal present really well taste great , lovely service also . breakfast good part stay choice continental full english could much want . overall girl really enjoy weekend london hotel top . 
 Aug 17 2008 	 mix feeling 	 first good impression hotel . nice helpful staff , nice impressive reception . first impression room good well . look detail less good . hotel try mix modern old , partial success . room large flat tv screen . renovation old house look bit like do hurry cheap way : carpet put wooden floor sometimes large room bend slightly around wall . also floor room always 100 % flat wood make noise walk ( kreek kreek ) hear room , corridor neighboring room . wall really sound proof either . the hotel run hot water morning lot guest want show time ( hate wash tooth ice - cold water come hot tap ) .The breakfast promise . small buffet , limited choice bread , . almost cheese ( 1 choice ) . 2 star recently choice . first morning run role 9.00 . 15 minute refill dozen small croissant ( go within 20 second everybody wait ) leave pass room 20 minute still nothing . second morning select room service , hope something well . wrong bet . even forget butter marmelade . finally bathroom : small . take width bath add bathroom . questionable cleanliness , especially outside body toilet . 
 Aug 12 2008 	 fairly good hotel ! 	 get good deal hotel include breakfast 2 course evening meal . arrive check - in efficient quick room ready little early expect . room v. clean quite spacious London hotel . find bed comfy air con unit blessing , could adjust suit need . breakfast good appear plenty staff serve tea / coffee . evening meal- standard food average , however staff v. good attentive ( perhaps want tip ) . main issue chef special menu include 3 night stay . starter exactly throughout stay except one night one change . vegetarian fish main course change meat option 2 night . little variation would not go miss ! dessert not change either ! 3 option choose , v. limited end eat final night . vegetarian could not face meal third night ! regard service charge ; tell staff tip waiter individually service charge remove bill . discretionary , although allow decide good service . overall great location , average food , good service , comfortable room . 
