high 	 hotel nice quaint room . stay one face park . not know suppose quiet side since trolley car busy street right . view lovely though . lot people stand around serve price . valet park . man stand outside rude not sure title condescend husband . valet parking attendant drive vehicle like 's drag race every time go get car wait long time find tip everytime . desk clerk fail tell we coffee downstair lobby 5 am 7 am not coffee maker room , microwave , refrigerator . 's room bed shower perk . want order coffee kitchen 's $ 13 tip delivery fee well plan go without unless want spend $ 20 cup coffee . also deliver ice want cold drink plan tip ice delivery . also tip door person , bell hop , housekeeping bring extra roll way bed etc . idea much end spending stay have stay midlevel hotel sure have least get cup coffee ! will not back hotel . unsatisfied lack amenity . hard include coffee maker room ? could not make $ 20 per cup guess . the pool spa close 9 pm well . never even see since go dinner city . one reason stay daughter like swim . child not allow pool 16 year old . 
 Aug 28 2008 	 Old Frisco 's Finest Small Hotel 	 book 1920s vintage hotel Nob Hill business meeting . frankly terrific experience . location outstanding cable car service literally outside front entrance . get anywhere less 10 minute . the lobby rather small keep original time period construction . room generally well . refer luxury suite 11th floor rather large vintage hotel ( see video Room 1103 ) .The bed firm mattress soft type find Hyatts , Hiltons & amp ; Marriotts . frankly add charm stay . actually still operational mail chute elevator . I prop open window shower enjoy splendid view start morning . can not recall last time could make statement like regard shower shave . the meeting room rather tight serve purpose meet 15.the bell staff attentive friendly . could live without $ 45 day valet parking charge . Nob Hill expect . I would certainly enjoy return visit wife future date . 
 Aug 25 2008 	 great location lovely room 	 really like hotel , good service , great room helpful staff ! spa great ! yoga class 8 a.m great ! ! Californian ! ! lovely bar . 
 Jul 5 2008 	 Gracious Elegant 	 husband recently spend four night Huntington Hotel find among good small hotel ever stay . trip pleasure Nob Hill location provide central access many area city . ambiance Hotel , public area hotel room , understate elegant . staff could not gracious accomodate . enjoy use facility Nob Hill Spa , attach hotel , stay . next stay plan book massage . dine hotel restaurant , Big 4 . good . especially enjoy pianist adjacent lounge . hotel remind much Stanhope Hotel Manhattan stay six eight year ago . think hotel since convert private apartment . 
 Jun 20 2008 	 tourist warn 	 really research hotel choice San Francisco want kick holiday style . we leave bitterly disappointed experiance , feel tourist neither value attene , hotel staff clearly focusse repeat business customer . also actually bed hotel room standard hotel , fact line would expect cheap motel . if visit San Francisco pleasure rather business , avoid Huntington avoid disappointment . 
 Apr 30 2008 	 everything prefer except ......... 	 typically find San Francisco every 6 week busiens travel . usually stay Fairmont Nob Hill book . enjoy stay Nob Hill 's away finanical district noisy look Expedia Corporate site see available . Huntington member Preferred Hotel Group , anticipate seamless stay . however , be pay top dollar stay hotel , expect excellent service ammenitie . hotel ooze old world San Francisco Charm . enter vintage room request high floor please 1920' - esqe furniture decor , newly remodel bathroom modern fixture tv . tv 24 & quot ; black box sit cart expose wiring everywhere . tacky BUZZ KILL . try sound vain stay & quot ; Preferred Hotel & quot ; property not current today 's ammenitie , question ' designation ' . flat screen complete entire experience , regardless whether stay room watch . , hotel gorgeous . New TV 's would book heart beat . 
 Apr 23 2008 	 mostly good 	 stay Huntington Hotel atop Nob Hill getaway weekend friend . location hotel great - easy access Union Square Fisherman 's Wharf cable car . easy walk distance Chinatown North Beach . hotel also offer chauffere sedan service nearby attraction regular hour . deluxe room 2 double bed stay little tired - bedding could use upgrade . however peek presume & quot ; luxury room & quot ; king bed lovely fluffy comforter upgrade bedding . bathroom palatial enjoy L'Occitane bath product . the hotel staff whole pleasant - neglect send corkscrew request , doorman somewhat snobby , ( think try funny ? ! ? ) . big 4 restaurant expensive impressive . well nearby option . the spa great . beautiful , newly update , relax space . Loved Thai Coconut Wrap ! , whole , stay nice , nothing spectacular . choose hotel spa - ' m sure would stay not use spa facility . nice / more convenient option elsewhere city . 
 Mar 7 2008 	 great Stay Excellent Hotel 	 great several night hotel , room ready nicely appoint . room clean pindropquiet . hotel ideal location , walk distance many locations.we always deal friendly people noconcern all.when return city stay hotel withoutany hesitation . 
 Jan 17 2008 	 Great Location Classy Hotel 	 think classical San Francisco hotel , Huntington probably come mind . structure , locate top Nob Hill , historic attractive . staff quite professional , yet also friendly warm . we greet front desk warm hand towel quickly show room . two bedroom , two bathroom suite . room well decorate view nice . hotel , like everything else city , show sign wear . however , be probably expect building age ; especially give location climate . hotel windows , open quite bit , appear new nice feature . the bed exceptional . comfort par hotel bed . bed turn nightly maid remember like curtain night . I could hear noise adjoining room , ' m begin think hearing might overly sensitive , take grain salt . the bathroom nice . towel great plenty . also robe , cotton swabs , cotton ball , etc . soap shampoo well ' ve ever hotel . smell great work really well . the one major complaint hotel hot water . not ever get much hot water shower . may well temporary problem one room . can not really fault hotel staff , never mention . ' m one complain person ( though will online sometimes . ) morning local paper deliver room . addition , room clean maid check see need anything else . the hotel small , nice spa inside . ' m spa person , ' m great judge , could tell look nice . the bar lobby quite nice great service great selection . entire bar cover rich wood warm furniture . 's perfect place visit client , business associate , old friend . hotel professional chauffeur available short trip area . catch ride restaurant quite impressed driver . knowledgeable , extremely courteous , pointed number interesting site along way . finally , not typically notice bellman hotel . however , bellman Huntington friendly helpful . , nice stay . 
 Dec 19 2007 	 mixed review Huntington 	 large group we stay Huntington part wife 's office holiday celebration . plus side , bell staff friendly willing help whatever need . people serious job deliver first - rate service . location good , although walk Union Square involve steep climb back . several negative aspect , though . difficult we certain unfriendliness towards child reflect hotel policy . glare pool limit 16 old . understand decision make pool place adult relax , hotel need upfront . idea case daughter ( swimming quietly supervision ) boot . quite disappointed . tell hotel arrangement health club across street would let use pool , cold , windy evening San Francisco not . another problem involve room give . suppose place upgrade deluxe room ( attendant high price ) instead put small room terrible view . reservation three us room one bed treat certain annoyance ask roll - away daughter . ( front desk employee appear service - orient bell staff . ) realize place one nice room , mention hotel offer move we . ask charge wife 's company room give we , course agree . another significant problem involve garage car keep . apparently , Huntington contract garage next door park car check . garage horribly disorganize large number people check ( 11:00 Sunday morning leave ) , wait car far long . wife 's co - worker spend hour sit curb , wait someone bring car . decide leave bag bell staff come back couple hour later . point , wait ten minute people need car point . so pluse bell staff , . location , overall ambience . negative unadvertised unfriendliness child , appear minor incompetence front desk , terrible system handle parking . give cost Huntington many alternative San Francisco , be doubtful will back . 
 Oct 29 2007 	 bad service California ( anywhere else ' ve stay ) VILE 	 book Huntingdon last night 12 day trip stay number hotel ( good excellent ) .It disappointment . Pros - Bellmen charmign helpful friendly ( esp James ) - could not helpful . location right middle Nob HillCons - service desk / concierge - arrive early tell could check 3 - be not surprising . however surprising room not available return 3.30 . tell checking see alloted room clean ( would think would done 3 pm ) keep wait half hour ( despite tell would 5 minute ) . point husband enquire delay tell hotel full grateful room ( must remember client excuse ever want lose job ) pay $ 300 dollar room etc wait . husband persist ask delay offer alternative high rate room ( husband tell telephone room concierge emphasis grateful upgrade . never ASKED UPGRADE merely room actually book allotted check time 3 pm ! ) . certainly give lovely start stay basically tell pay guest lucky . bathroom tiny .. shower bath small sink / toilet unit . give size room waste space baffling . Decor slightly tired .. Hygiene also suspect - husband bite body stay suspect may bed bugs hotel .The spa -distinctly unfriendly unhelpful attitude ( drunken woman compare breast size pool also somewhat offputting ) . be pay top dollar spa treat , want treat nicely nice ambience , greet surly way experience kind ambience last see 10 year ago Cyprus 18 -30 hotel . the room wall paper thin good plan be light sleeper going neighbour clear . price get overrate -we also stay W comparable price 1000 time well term quality room . facility service . I would go back would certainly recommend . 
 Oct 26 2007 	 Restaurant Fantastic 	 nice property . old world San Francisco . we great room / apartment neat view . expect corporate layout Marriott / Hilton / Westin forget place . lot nook cranny neat old construction . stay 3 night eat & quot ; BIG FOUR & quot ; restaurant twice . super food , neat menu nice service . hat head chef . 
 Aug 14 2007 	 Great Hotel ! 	 great boutique hotel wonderful location . hotel great , staff friendly & amp ; helpful . note : use spa pool , hot tub etc .. 16 year old . friend stay we 8 year old son sad could not go pool . recommendation would great hotel old kid . enjoy stay ... ! 
 Aug 13 2007 	 nice 	 stay many time previously write laudatory review 2004 . recent stay , however , lack . first , price high - $ 300 deluxe room . ever pay hotel room outside NYC . arrive , notice room right next old elevator . stay next elevator , not worried . however , bed share elevator shaft wall new ... noisy . also , headboard every time shift bed , slam wall . add loud people adjoe room -- separate thin door -- unlike previous stay , definitely seem like people hotel . 
 Jul 26 2007 	 Great Service Huntington ! ! 	 love Huntington ! book last minute stay base recommendation friend perfect . get deluxe room w/ 2 double bed $ 330 , valet parking $ 30 . pricey worth ! spa fabulous . great infinity edge pool , clean jacuzzi , fruit , water , snack , attentive service , eucalyptus steam room , sauna . spa facility complimentary hotel guest take advantage ! continental breakfast also complimentary . great service fresh berry juice , croissant , mighty leaf tea , good coffee , ham cheese . room 1108 amazing view , classy decor , modern , update bathroom . also robe provide . location great walking - walk Chinatown explore , block away . quintissential san francisco , would definitely come back ! husband travel say one good hotel be ever . 
 May 8 2007 	 Loved Huntington ( ! ) 	 ' come back Huntington initial stay three month ago , indeed like homecoming … everyone know name ! truly four diamond hotel old world style gracious room , ultimate location , integrity well - season staff . this hotel excell hotel falter : restaurant department . tell ; many client local inhabitant … they know good place eat . restaurant fare flexible , one good hamburger could ever want order , favorite : lamb stew . ' enough , wonderful pianist night -- believe -- 10 year , loyal following . course , formal part dining room , treat . highly recommend hotel traveler want something little special ( ' little special ) . 
 Feb 20 2007 	 Tops Top Nob Hill 	 Huntington far nice hotel atop Nob Hill term ambiance , clientele , service amenity . check - in check - out every employee gracious friendly everything perfect . room large 2 bedroom suite living room , dining room , kitchenette 2 bathroom . spotless beautifully decorate . love could open window let fresh ocean breeze . Big four great breakfast dinner drink live music . 's also consider excellent place eat dinner although dinner every night . spa exceptional lovely indoor pool / hot tub balcony spa breakfast lunch serve . concierge service professional doorman bellman keep thing run smoothly . would certainly return next trip SF . 
 Jan 2 2007 	 great spot bring new year 	 ( , hubby 8 year old daughter ) decide leave snow Lake Tahoe weekend culture San Francisco , seeing play Nutcracker ballet . book Huntington member Small Luxury Hotels World , know anything close Uniion Square would way noisy . location top Nob Hill great -- room ( 1010 ) huge view city -- could even see portion big tree Union Square . put roll away bed daughter room still spacious . fairly recently renovate , plush linen ( bed bath ) , large double sink area outside toilet / tub room , couch , coffe table 2 club chair desk , well miibar w/ small sink . tv armoir date ( flat screen ) , get good reception . walk Nob Hill great exercise , hill much , California St. cable car line literally right door Powell St line ( one go Union Square Fisherman 's Wharf ) block away . park nerby garage $ 30 / day not move car leave 3 day later -- valet car price . we use conceirge make reservation -- since New Years previously book via OpenTable.com -- helpful looking movie time ( trying get we hot resaurant near Metreon 10 minute notice , unsucessfully , appreciate attempt ) . also direct we nearby breakfast spot . I love stay old , architecturally unique hotel Huntington fit bill . love fact window open , yet closed city noise almost completly obliterate . window open New Year 's eve allow ( hubby 8 year old fall asleep 11 ! ) hear festivity , location allow filter view firework Bay , ready go sleep , pull window shut party sound ! hear noises outside room , although can not guarantee people 910 not hear daughter jump around . the ony reason not give Huntington full five star minor : coffee tea lobby morning , although hot apple cider afternoon ; doormen bellman attentive one would expect 5 * hotelI would definitely stay theHuntignton -- next time ' m book spa treatment ache leg walk San Francisco ! 
 Nov 6 2006 	 average stay 	 stay Huntington several time time notice decline quality room service . first attempt book two bedroom suite party five ( three old child ) tell offer . told & quot ; would well & quot ; get two adjoining room would equal quality . several day call back confirm two room park view high level room available ; ie , two bedroom suite . rather exhaustive conversation reservation assistant , tell two bedroom suite really worth money . assure need space decide worth . upon check - in wait 5 minute front desk person assure guest phone room he / she stay renovate room available . red flag number one . one bedroom suite , room 804 nicely renovate faced park . adjoining room & quot ; renovated & quot ; sometime 70 lack ounce charm . can not imagine rent room -- room 803 . overall , size room nice faced park . noise level high wake someone shower overhead 4 . sound barrier floor room heavy sleeper , beware ! second complaint concierge desk . arrive , email dinner request concierge note restaurant preferred time . call back call confirm even receive email ; yes , book one wrong night . San Francisco arrive Kokarri first dinner ( handwritten note concierge list date time ) tell reservation . attempt call concierge receive voice mail three time , restaurant graciously seat we busy night . next day ask breakfast suggestion within walk distance Alcatraz pier . concierge direct we place wrong pier within walking distance ; response later oop , wrong pier ! final complaint shipping / receive deparment . package send pay overnight charge arrive 4 night stay . front desk repeatedly tell package . return home find delivered- first hight stay -- could find system . phone , miracously & quot ; find & quot ; system ask want package sit 4 day . the bright note stay James , bellman front . kind smile attentive service highlight stay . choose hotel nice location willing give amenity nice room level service receive past . unfortunately level service match decor Room 803 ! 
 Oct 3 2006 	 every year 's fantastic 	 write review long ago , husband come back Huntington four year . place fantastic . everything think & quot ; old San Francisco & quot ; . bellman great , always never obtrusive . welcome we back name . sure , be be great recordkeeper , still feel good ! concierge always good . ' ve never twice , employ good , not matter . typically come Ohio , spend two three night head Sonoma . always car deliver morning be leave be never screw . travel lot , know 's unusual . make think great reputation town . never eat , 's commentary restaurant - like get check thing . past July , restaurant close , bar , renovation . bit disappointment , like grab coffee , drink get home night . great thing call we two day arrive warn us closing - case would inconvenient we . room great . suite large , regular room roomy old hotel . location top nob hill beat . linen , bed , towel - great . also , room seem window shower love . probably lot hotel much & quot ; cooler & quot ; one , love . worth expense . 
 Aug 13 2006 	 room gorgeous - great service 	 read reviews- be like stay different hotel . service top notch begin end felt pamper luxurious . tell read previous review must room renovate yet . perhaps book careful ask renovate one . enough people put pressure mgmt cough $ $ finally renovate ? feel badly people get bad room expect luxury . also feel bit badly Huntington label ripoff & quot ; horrid & quot ; experience polar opposite . anyway ... room 11th floor , huge flat screen tv wall , brand new carpet , bath fixture , beautiful mirror everywhere . nice large room ( although cheap available ) enough room & quot ; conversation area & quot ; two comfy overstuff chair table . sit one chair long time watch fog roll city . view excellent , city toward Twin Peaks . you really miss stay book treatment spa . massage pedicure . sun deck overlook city , infinity pool , jacuzzi- great . service great anticipate need begin . definitely stay . 
 Aug 9 2006 	 over - all : 7/10 	 stay 3 night California / Las Vegas trip . the hotel beautiful building ; location excellent : quite , classy neighbourhood thank cable car take minute get wherever want town . the staff over - all friendly ; receptionist not acknowledge / validate Leaders Club card ( lead Small Hotels World Card ) .The main good point : spa excellent ; also swim pool sun terrace great . bad point : room need update asap ; give budget pay , unacceptable : small room stain floor , non - working tv ( not manage repair replace stay ) , totally outdate loud AC , bathroom lilliputter . also big 4 restaurant : might famous kitchen , dark make depressive . 's personal thing course , want get restaurant asap.my advice : book nice deal suite ( say renovate / update ) , go . , would stay somewhere else enjoy spa . ( btw , fitness facility close non - existent ) 
 May 6 2006 	 Fantastic 	 ( April 27th 2 - night ) stop number 2 California / Las Vegas trip love it . we worry read review ..... learn past year review right . partner travel industry impress hotel . location : great area San Fran trolley stop right door step . take trolley 15min ride China town switch train Union Square ( shopping area ) . say trolly make easy try walk hill San Fran . first day enough we get one day pass . ROOMS : suite 10th floor wonderful view city . since build hill ... look whole city . room big living room nice comfy bed pillow . sit area sofa , coffee table 2 chair . rich look . small kitchen area ( sink mini bar ) . tv great lot closet space . bathroom shower / tub huge . glass door make shower seem even big . love seperate toilet / shower area double sink . turn service amazing ... night cream face breakfast menu leave fill . Complimentry Shoe shine leave outside door . pool . cute small pool . nice sit area around pool relax read paper . never use pool since that s go San Fran . least know available . parking- none . valet 30.00 night ( ) . service- amazing . wake call time . check also great fast . we super impressed care everyone . Doormen know we walk always help anything need . so something wrong , right & gt ; ? ? ? yes find carpet room could change hallway might get little bit upgrade ..... expect old place . overall great classy place would stay . location service worth extra money spend stay full luxury . 
 Oct 27 2005 	 Horrid 	 similar disgruntled member Florida - 23rd October ... arrive Huntington September 05 5 night . highlight 2 week ( 3 city ) trip US . Suffice say book Small Luxury Hotels World visit hotel website expect wonderful experience unashamed 5 star luxury . not lot comment tripadvisor benefit hindsight probably tell we book elsewhere . one another room show quite horrid , musty poorly furnish date . bathroom unbelievably bad . tell room expect thought have book not available could not offer we anything well . tired , little anxious ( nowhere stay ) disappoint decide check without actually stay . return England complain hotel SLH.We receive sort apology Huntington offer we refurbe room future stay reduce price , much doubt ever return . we would describe 5 star hotel . interestingly Expedia show 3star hotel . would award ( see ) 3 star sometrime wonder hotel earn retain star rating . we immediately book Four Seasons Hotel fantastic utter unreserved superlative . faultless result visit San Francisco terrific memory . 
 Oct 23 2005 	 disappointing hotel 	 husband return wonderful week San FranciscoThe disappointment hotel . stay Huntington Hotel . reserve luxury room view . call hotel night confirm reservation . arrive give one bad & quot ; luxury & quot ; room ever stay . carpet , drape furniture , little , wear dirty , light poor , bathroom miniscule musty smell room ( # 1203 ) complain next morning , change # 1003 condition ! morning speak manager show reservation , promise change room & quot ; renovated & quot ; one return hotel afternoon , nothing change . needless say upset choose Huntington Campton Place Palace ( price ) read room big beautiful ! serious discussion front desk finally give room clean date ( # 1210 ) whole situation leave we terrible impression Huntington never stay recommend hotel anyone . my advice anyone plan stay ... make sure get writing room reserve renovate stay somewhere else . 
 Aug 30 2005 	 Good Service ... 	 like title state , hotel good service , room really disapointe . room musty smell upon check . ask move upgrade one bedroom corner suite . suite lot room , still stale musty smell . room also really date - old furniture , carpet , drape bathroom really par . tv small one use see 80 . staff really helpful polite , property deserve Small Luxury Hotel , yet . hotel great safe location ( Nob Hill ) . would stay room update . 
 Mar 21 2005 	 Pretty Cool Old World Establishment 	 choose splurge bit get room . say overall , good choice . upgrade room one view square Nob Hill Bay . room rock solid -- apparently build apartment back day . use spa part deal really great , lovely . ask robe room three time though , could use bit improvement service , mostly service place quiet luxury heart city -- close enough North Beach Chinatown everything else , except perhaps Mission / Haight area . imagine one wealthy , generous , discreet San franciscan long term affair , would good place . ' ve stay Fairmount ( classic , nasty anti - union stuff appear , base protestor outside ) , wrap SF indulgence Drisco ( liked look outside ) . 
 Jan 17 2005 	 weekend getaway - love spa 	 wife spend night Huntington , relax spend time together . pricey , overall worth money . corner suite top floor great view City . furniture somewhat past prime , still charming , comfortable , quite sturdy . like sit area much , breakfast , afteroon tea , dinner ! not enjoy room , spa / pool area , relax lounge chair , take dip pool hot tub . fruit , ice tea water poolside nice touch . 's small outdoor balcony area next spa sunbathe . advice - ask robe slipper deliver room not change locker room , get spa early claim lounge chair ( be nice , people tend fall asleep ) , make reservation spa treatment arrive . be look forward return visit ! 
 Nov 19 2004 	 Great Spot 	 reserve room Huntington read former apartment building room oversized -- certainly live expectation . location fabulous atop Nob Hill thrill stay Fairmont Mark Hopkins see picketer -- noisy disconcerting . the Nob Hill Spa bonus . enjoy massage , facial sit around pool sip flavor drink . fitness room little cramp , view great . Big Four Bar & amp ; restaurant nice spot afternoon libation linger evening meal -- great way meet traveler . we visit Huntington whenever San Francisco -- hopefully soon ! 
 Nov 15 2004 	 lovely spacious room 	 love three night stay . hotel Nob Hill , one block Fairmont Mark Hopkins . two hotel sixth week major San Francisco hotel strike lock - out , active , noisy picket line 6:00 a.m. midnight . Huntington family - operate hotel affect strike . room large include king size bed separate sit area couch , two upholstered chair , lamp , t.v . armoire writing desk . furnishing new , classic elegant comfortable . hotel quiet clean service staff exceptionally friendly helpful . wonderful spa free hotel guest . next time visit San Francisco , stay -- hope soon . 
 Aug 30 2004 	 one good 	 probably stay 20 different San Francisco hotel 30 year travel . Huntington favorite , place build early 20th century apartment convert later hotel . build solidness make seem like be guest place . Most room large , many breathtaking view San Francisco bay . be uniform . contrary statement one critical review , marble bath . hand , end old , small room might seem little disappointing rate begin $ 195.overall , hotel subtle , substantial character 
 Aug 16 2004 	 exceptional oasis old world charm 	 Huntington Hotel exceptional establishment . Nob Hill Spa truly welcome oasis hustle bustle city . staff helpful efficient room impecably design . try one luxurious suite . one favorite hotel country ! 
 Jun 29 2004 	 great location good service 	 bad night Laurel Inn decide check large hotel . Huntington staff great . bell service show we three room choose check in . room spacious bathroom quite large , stylish . bed comfortable window keep quiet out . location great , right cable car line . full service staff , include Doorman , Bellman , Conceirge , Curtosy Driver Reception . nice , especially concerige curtosy driver ( two woman know town ) bar downstairs nice , dark wood hush conversation baby grand atmosphere . pianist nightly . the thing let room service . vegetarian option not accomodate ( wholefood street ) 
 Apr 13 2004 	 Loved Huntington 	 recently stay Huntington Hotel trip girlfriend mine . happily surprise quaint decor elegant atmosphere Hungtington historic location . staff friendly accomodate , accomodation pleasant . 
 Oct 17 2003 	 disappointment ! 	 like title state , hotel huge disappointment . husband wrap blissfil two - week drive coast schedule stay two night -- check one . hotel certainly see well day . wait several hour check - in , take room beautiful view little else . decor date , bathroom dirty , amenity consist bottle shampoo small bar soap worthy Best Western . even box tissue . we dissapointe spend final night vacation airport Marriott rather stay Huntington second night . yes , fill comment card something rarely . offer room & quot ; marble & quot ; bath return stay . say & quot ; marble & quot ; bath different hotel ! 
 Nov 18 2009 	 Muy Ideal ... bien situado 
 Oct 21 2009 	 Ein Hotel dem man sich wohlfühlt 
 oct 17 2009 	 Hôtel très soignée au service impeccable 
 Oct 17 2009 	 inoubliable ! ! ! 
 Oct 11 2009 	 charmant 
 oct 8 2009 	 Atmosfera ricca di fascino e SPA al top 
 Oct 7 2009 	 hotel con una autentica tradizione 
 Oct 3 2009 	 Una casa San Francisco 
 Sep 1 2009 	 Hotel di lusso San Francisco 
 Jul 21 2009 	 Superbe hôtel une perle rare 
 Feb 5 2009 	 Autentisches Hotel keine Kette hoher Standard - alle bestens ! 
 Jan 21 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
