disappointment 	 high expectation hotel give reputation , really wow architecture upon enter . thing go mostly downhill . staff lack warmth willingness assist would expect four season . obvious moment check , get worse notify front desk hot water . say would flip switch get hot water run , happen . call , finally send repairman ( rather simply send we room hot water ) . still get fix . call one time getting blow , shiver rest visit ( snow outside ) . small issue , one would expect hotel : dirty dish stack abandon tray next us restaurant ; 45 - minute wait room service bring granola coffee , explanation offer . room big NY standard course location great , St. Regis Ritz - Carlton far superior term appointment room service area . 
 Nov 11 2007 	 great know expect 	 great hotel one put anyone [ deluxe ] New York state mind ; I.M . Pei make sure feel like Bruce Wayne public room . service rest expect well , Atelier restaurant worth extra star be foodie . room : expect view need spring upper floor room . know square footage large corner room long clear 20 - 25th floor , view basically much high building ; become question improved view vs extra square foot . be family three room , definitely go large room & quot ; downstairs & quot ; . toddler love room windowseat , hiding place , everything pad except coffee table . having say , ' ve find ' m comfortable low - end & quot ; superior & quot ; room ( one previous reviewer find face wall ) ( ( one face west well ) ) . reasoning unless ' m smack park 50th floor , will pass view go comfort - layout room side build great separate walk - in closet bathroom either side entrance hallway . check floorplan offer 4s website more . cheapskate like truly delight buying water etc across street 58th street - entrance Duane Reed , excellent coffee shop next called & quot ; Oren 's & quot ; . 
 Oct 22 2007 	 worth money ... 	 overall impression hotel quite simply worth $ 1200 / night price tag . - room comfortable , basic decor unimaginative lack luxurious touch expect hotel sort ( cushion sofa , complimentary fruit water room ) .- check disastrous . one room ready yet , take member reception staff drink lounge . leave stand entrance 5 min whilst receptionist ensue lengthy debate girl desk bar could not sit drink busy ( not ) ; situation could handle much well someone take charge . take way back bar charge drink ( 5 star hotel would give client complimentary ) .- ask concierge adapter ( half party different room ) , take 2 phone call hour get adapt we ) .- room turn second evening stay.- first morning book breakfast concierge half hour advance , go breakfast restaurant tell we not book . however , hand : - room large great views.- lobby fantastic not think ever see one rival it.- location shopping unparalelled.- breakfast fantastic.- overlook inefficient service , realise warm friendly . 
 Oct 7 2007 	 absolutely Fantastic Hotel ! 	 hotel far beautiful hotel every stay ! fantastic property ! room incredibly comfortable , clean & amp ; decorate great taste . closet lead bathroom spacious bonus . really enjoy stay hotel & amp ; would highly recommend anyone come NYC.They helpful book we dinner area restaurant & amp ; provide transportation Broadway show . we definitely stay ! 
 Sep 18 2007 	 Four season good hotel NYC ! 	 hotel beat ! beautiful property . location great . service impeccable ! afford ... ! 
 Sep 4 2007 	 Best Hotel NY 	 stay Labor Day weekend . hotel phenomenal ! everything perfect ! girlfriend go girl weekend stay beautiful room overlook 57th street- spacious simple . bed extremely comfortable bathroom huge ! hotel book ( US OPEN ) would never know never see anyone elevator lobby . concierge service good world . Misty Shores , concierge incredible . get we every single restaurant every time . Darrell doorman send we theatre hotel Rolls . truly vip service ! would stay every time could 
 Aug 21 2007 	 great hotel great location 	 everything would expect Four Seasons hotel . great location beautiful room . bathroom comfortable , like might find nice home rather hotel . concierge extremely helpful finding great place eat nearby . although eat restaurant , hear fabulous well . would stay without hesitation . 
 Aug 7 2007 	 good property 	 wife spend two night property . regular traveller ny little basis comparison hotel city . say , understand hotel room particularly large . room comfortable 600 sq ft . spacious area . bath product Bulgari wife appreciate . room attractive well appoint - nothing miss . the concierge desk superb - exceptionally professional well informed . really top notch . tell staff well train . workout facility , although basement hotel , well appoint . free juice fruit available . also take note extensive security hotel maintain . suprise , positive way , employee position evening check person access elevator . perhaps necessary , reassuring . we eat hotel . food breakfast excellent along similar quality service . someone unaccustome expensive price , take aback $ 10 charge coffee . $ 20- $ 25 egg surprise , coffee charge do . anyhow , obviously hotel cater guest responsive need . pay level attention detail . , standard , excellent hotel . 
 Aug 4 2007 	 Perfect 	 Perfect service , perfect room , great child , good concierge , breakfast could improved ( consider cost ... ) 
 Jul 24 2007 	 unquestionably good hotel world 	 regular visitor Hotel Four season NYC ( 57th ) time time deliver good possible experience discern visitor . what set apart hotel excellence staff ... doorman , ront desk , conceirge , etc . its small touch set apart rest ..... doorman key ready get car go straight upto room late night arrival delay flight , etc , .this establishment one get true feeling come back home visit . the downfall one benchmark Four season every hotel never match standard . 
 Jul 24 2007 	 staying airshaft 	 book 4s website . room 14th floor apartment build 10 foot outside main window . work desk look directly apartment vice versa . similar old time NY hotel airshaft . $ 800 4S well . check hotel , tell room would go elsewhere . 
 Jun 25 2007 	 Sheer Heaven -- love place ! ! ! 	 stay property numerous time & amp ; not always post review feel dis - service not . briefly -- not get well . look sleek , semi quiet ( bar week quite happen business type ) luxurious stay excellent service place . like hotel 's location , size room , fact every staff member make effort know name , & amp ; 's overrun convention , wedding , etc . answer always & quot ; yes & quot ; FSNYC & amp ; answer & quot ; yes & quot ; would not stay place ! 
 Jun 13 2007 	 one favourite 	 love hotel . stay every year family never complaint . excellent size room , service , location importantly attention detail . would highly recommend anyone . one trip particular stick - black ny ( Summer 2003 ? ) - four Seasons make every effort possible ensure comfort tough time ( esp hotel simply close ) . 
 may 30 2007 	 Fabulous Time Four Seasons 	 Family return exceptional weekend New York , thank large part Four Seasons Hotel . book Kids Seasons Package two adjoining room . child age 11 , 9 , 7.from moment arrive , kid welcome treat wonderfully . give small gift treat cupcake coke room , tell spot . on service level , give top notch service everyone hotel . people concierge handle transfer request driver car well recommend nearby family friendly restaurant . drive twice hotel house car , Maybach Rolls Royce . door man excellent . every little need request address immediately press bandaid request room service etc ... time someone respond immediately . yes level service expect price , case deliver ! location fantastic shopping well proximity sight seeing , FAO Schwartz , Central Park . our room spacious New York standard extremely well appoint . surplus closet drawer space , washrooms incredible . noise concern 10th floor . find decor bore drab review state , feel elegant luxurious understated way . let we forget Manhattan , Hawaii . not expect decor atmosphere Four Seasons & quot ; Resort & quot ; . feel entire hotel well suit stay Manhattan representative Manhattan want child experience remember . unfortunately crotchety folk cranky child apparant reason . turn teachable moment we share kid sometimes be adult badly behave ( child ) .If want flawless , stress free place stay serene atmosphere not plan scheduling - will not disappoint . 
 Apr 23 2007 	 wow place 	 Thursday Sunday FSNY perfect . kid drive we mad , stunning room 29th floor dual aspect window mean 2 different view , glorious weather ( hotel nothing weather ) . start 19th floor polite request , front desk happily change room high floor . Rodman Concierge god - pure genius . guide we round shop , sight & amp ; restaurant seem know exactly want want . pick bone , would price 2 hot chocolate bedtime ( wife 's regular hotel request ) $ 30.00 , seem little steep . fact , take 20 hour anyone remove tray room . wife & amp ; spa treatment desipte price , excellent . overall , rate hotel experience one enjoyable . New York special vibe , location , style & amp ; class FSNY make perfect place stay 
 Apr 5 2007 	 amazing ! 	 amazing stay . room great . service BEST ever experience , especially Steven Concierge desk ! 
 Apr 4 2007 	 still head shoulder rest 	 stay FSNY several year ago , almost afraid return read several more - recent review site . fond memory stun open lobby , oh savvy concierge , friendly staff , marvelous comfortable room , especially bathroom . say remember come quite hefty price , one must pay superior experience . , go , finger cross , ...... happy report well four Seasons ! helpful knowlegeable staff , sky - high standard care obvious housekeeping furnishing , absolutely fantastic location . , stratospheric price remember , somehow not mind pay . hotel experience , one miss . owe enjoy splendor , least life . somehow think will find worth . 
 Feb 21 2007 	 good well 	 stay FS hotel throughout world , decide spend week - end wife there . the FSNY nice hotel lack life ! feel sterile corporate we . plus : -staff friendly - location good - their signature massage top - room clean spaciousOn min : -room lack inspiration - turn service ( like Mandarin water , chocolate , info paper Asian inspire say ) -amenitie though Bulgari basic - high premium pay good view ( always inclusive Mandarin ) want stay top chain hotel NYC , Mandarin Oriental beat fsny easily : lively , nice big room , amenity even cheap .... 
 Feb 21 2007 	 Four season : nightmare nightmare ! 	 express disappointment stay hotel . still fece flecking toilet check hair nice , white sheet . take two hour decide go change room clean -- ultimately clean apology . front desk staff gruff unhelpful -- fail even answer basic question museum theatre ticket . elevator break repair first night . restaurant , first two item order unavailable . expect much , much Four Seasons flagship NYC . apology ever make . 
 Jan 23 2007 	 could not fault 	 impressed FS , mostly hotel staff , check bell boy doorman , everybody know name ever . bathroom quite impressive bath fill 60second , handy ! room clean well , turndown good also . the thing -- phone 08.00am ask time check day , phone 8 am sleep bed ? ? ! want upscale hotel new york go , expensive . eat hotel comment food . 
 Jan 21 2007 	 Four Seasons make NYC visit Fabulous 	 visit NYC first time really enjoy four Seasons Paris Geneva , primary option . location excellent & quot ; 5th avenue stroll & quot ; .The lobby beautiful enormous . great welcome wonderful two night stay . check ease wait friend arrive high tea wine bar entrance . everything delicous . all we enjoy spa ( four season one treatment 80 minute ) first afternoon get ready dinner . dine Daniel per se , thank unbelievable concierge team NYC . wait list per se , assume meant & quot ; chance & quot ; , keep check we three night call home Switzerland tell we reservation per se . Everytime ask help concierge true pleasure help we . expect four Seasons deliver 100 % .We choose deluxe ( basic Four Seasons ) room spacious enough ( 500 ft2 ) ... rate $ 595 per night . talk well sleep wonderful bed . the big downside expense eat . breafast $ 44 per person normal two egg , sausage , ... high tea $ 200 four people . however , know go great service ... happy pay . in opinion , four season Paris still favorite hotel world , NYC concierge & quot ; good & quot ; ( thank per se experience ) overall great experience . 
 Dec 21 2006 	 Still Ritz fan ...... 	 begin say doubt wonderful Four Seasons stay way diminish vacation experience . however , like stay different place city time time choose either Ritz property NYCity try something different . book two bedroom suite much attention give arrival trip member staff . however , litte discuss regard request prepare upon check . request rollaway LR 20 year old daughter make place upon arrival . . ask make like bed room .... never . ask age child could age appropriate welcome gift . tell & quot ; child & quot ; 20 's Beanie Babies still give . one email correspondence husband tell travel son dauhghter law give one BR king one BR two twin . claim impression three small child tow . course fully book available . morning room service order little bit . one pot coffee instead two order , miss order egg , little thing still irritate consider spending . quality appearance room .... nothing shout . Mini Butler LR break door . Decor advertise present nothing jump ... bland , boring . Master BR roomy . attach double quite small . lr average . furniture comfy . concierge attentive use . door staff excellent . location good property ' ve stay NY . , average visit . happy try . still prefer Ritz Cartlton 
 Nov 5 2006 	 good NYC 	 world anyone find fault , good , Four Season 's hotel . ' ve stay one Paris , Lisbon , Great Exuma , Nevis year none touch one New York . room lovely well appoint . service exemplary . restaurant even excellent . locate 57th Street Madison Park ; could well . 
 Oct 30 2006 	 Disappointing ! 	 high expectation stay Four season Hotel New York one word use describe two night stay ' disappointing ' . partner arrive 6 pm delay flight UK suppose meeting colleague cocktail party finish 7 pm . two mind whether rush try make , phone say unable attend - luckily ( ! ) hotel make decision we take considerable time check we - check whether room ready ( 6 pm room suppose ready 3 pm ! ) porter take bag taxi take 20 minute deliver ..... add insult , discover check , charge ' service' . we offer complimentary newspaper - not get one either morning . turndown service constant ring room bell 6.30 pm would think majority people either relax busy day bath get ready go . politely ask maid return half hour - fact see wait lift tell room available - return later night discover no - one bothered return . the room nice - clean decent size - bathroom lovely . although would expect nothing less amount charge . leave baggage day check specifically ask suit bag hung . say ' certainly ' go collect fold actually underneath bag ! people may find comment ' picky ' price charge hotel , really feel entitle . 
 Oct 14 2006 	 outstanding memorable part visit 	 check FSNY Monday follow weekend Library Hotel part surprise trip partner ' 40th . book deluxe king ( floor 5 - 29 , street view ) direct hotel online rate inc . breakfast exc . tax $ 975 . ny weekend great weather decide check whether maybe terrace room still available could upgrade - low floor , would nice outside space . mention wonderful receptionist check we , subtlety note book partner birthday , say would look see could . terrace book check say manage locate suite 50th floor two terrace ! write much room normally go much extra would need pay top current rate instantly write holiday next couple year jump chance . ' expect guest room day would take hour send crack team housekeeper room would available we later 3 pm . meantime check - in person escort we restaurant seat straight away enjoy marvellous lunch ( steak good partner ever taste ) .After lunch explore new location , round corner Central Park amazing shop 5th Ave return 3 pm pick key ( bag efficiently already take closet room ) . ' do brief tour hotel curiosity first arrive collect key reception let ear pop shoot 50th floor head room . oh , oh , oh my … .Just first open door see ' office area ' desk TV , fax / printer slide door onto ' East Terrace ' . still wonder marvel hear ' go believe ' gasp half walk main bedroom / living area . nearly fall couch look view straight ahead Chrysler building Empire State Building - queue pay good money go see sight Top Rock night , tap ! get shock move across west side suite corridor grand marble bathroom tv , closet , west terrace , view far right central park . may pay 40th birthday , first impression whole experience stay FS priceless … fact write rest Monday ' leave suite – memorable meal via room service ( time steak ) , nice ½ bottle wine ( Pinot Noir Oregon ) top , surprise birthday cake send ' special service ' lovely welcome card , lay room service waiter terrace table . absolutely stunning evening . bathroom huge , marble luxurious , Bvlgari toiletry , small LCD screen next sink . also nice inlay aside deep bath , great candle relax soak . however get brown bathwater put we . shower fabulous . also bedside Bose clock radio pre - set great station marvellous sound . breakfast restaurant area 2 morning , must admit bit confusing - book ' breakfast inclusive ' ' sure option suppose choose ( find call ' american ' ) . present bill time inform service staff inclusive . last morning breakfast room kick do soon - much comfortable , choice take time . would recommend breakfast room , may end sit next couple high - brow business man , one sack , find one morning ! lovely selection fresh fruit , two egg like , pastry & amp ; juice , smoke canadian bacon etc . 3 night stay wonderful cocktail nibble – would recommend back bar close restaurant , ' busy one front extensive bar menu , well complimentary snack , we anyway , friendly staff . put poor concierge staff pace request table one popular restaurant NY 7.30 pm night , able oblige even . doorman 58th exit recommend two fabulous italian restaurant nearby lunch . book car via concierge transfer hotel airport seamless . whole experience momentous . , . 
 Oct 8 2006 	 4 season quality ... 	 may bit critical 'coz loyal four Seasons customer believe quality well price pay particular property ( US $ 695 / nite exclude taxis B & amp ; b package ) . say , like room , spacious 23rd floor , LCD tv ( one bathroom ) , big glass shower sit bench , nice music pipe system , marble bath tub ( big ) , etc . towel bathrobe thick comfortable sheet bed . see attach photo room detail . one thing find unacceptable mold bracket hold shower bench together . expensive 4 season , clean thorough . we King bed little sit area overlook buidle penthouse rooftop garden quite pretty look . especially like dresser area - big walk lot room enough drawer ! ( usually hotel 3 set drawer room 6 ! ! ! ) . check swift efficient , thing ( breakfast , gym , etc ) explained indicate we do not problem find way around . gym adequate , especially appreciate fridge stock full bottle water rather usual water cooler . breakfast good ( do not know price coz package ) nothing amazing . location great u like shop . ( husband ) especially enjoy bar make good martini ( variety ! ! ! ) .All , enjoy stay , staff friendly , good amenity location . return time see another moldy shower , inform hotel . acceptable 4 season one pay $ 695 / nite . 
 Jun 12 2006 	 Best New York 	 previously stay Trump Central Park ( get bit worn ) , Ritz Central Park , say last stay Four season make lean towards . first hotel immaculate - everything look like brand , brand new feature place . secondly service exactly ( always case ) four season hotel . sebastian front desk great assign corner room overlook central park 58th st . high floor .... ask ' 11 series room high floor - lovely configuration king bed room - 500 sq . foot small dressing area - perfect 1 person . door bell staff great , always welcome back return day run street get cab rush hour . cab available put complimentary Rolls Royce Phantom , one two complimentary house car ( one Maybach ! ) . another occassion leave hotel almost empty bottle water hand . Randi doorman 58th st . entrance whip new bottle water take way . concierge fabulous , witty charasmatic superb recommendation - listen everything say city , transportation dining - really know talk - Helen Reynold great . service hotel 's restaurant proffessional personable - waiter ( ultra camp ) we stitch opinion everything world cup newly design uniform . compe us dessert & quot ; promise tell manager ! & quot ; . food however good hotel food , nothing spectacular , expensive ( think $ 35 burger caesar salad ) . much well place go New York , although new restaurant Atelier de Joel Robuchon help compete well restaurant city open next month . housekeeping service unbelievable . buy six pack diet coke store leave room - maid fill large ice bucket place drink bucket would chill return room . clothe refolde perfection cigar ashtray leave cigar buy ( actually gift someone else , nice touch anyway ) . tip turn lady $ 10 . spa service fabulous , & quot ; welcome back & quot ; spa attendand remember first stay 3 month ago ! pool though jacuzzi / steam room . spa impressive area hotel ... little small basement .... 's service base facility . you pay business centre ( $ 1 minute internet access ) be open certain hour .... impressed . four season ( e.g . Boston ) complimentary open 24 hour . overall hotel good new york . every staff member genuinly hospitable helpful , basically think spend time enjoy maximise productivity ( be business traveller ) . however prepared pay .... far expensive hotel New York every way . expect pay $ 850++ per night standard / deluxe king room . find room $ 700 night , e - mail . 
 May 8 2006 	 Fine Hotel one Caveat 	 Four Seasons , New York all - around excellent hotel . would befit Mobil Five Star AAA Five Diamond property , put heart shopping district ( 5th Avenue ) close cab ride popular tourist attraction . posh location certainly pay . book Superior Room generously upgrade Deluxe Room Terrace would nice utlize furnish terrace in - room dining experience , freeze outside ( go week snowstorm NYC February ) . prevail rate room $ 895 / night . pay roughly $ 600ish night two night third night free . rate , not much complain . gather , hotel cater mostly business people expense account usually fully commit ( sell ) ; accordingly , guest concern carpet guest floor bit soil , worne ... place may . pretty mellow stay hotel , hotel will not disappoint . keep mind hotel good keep everything look clean , first service - orient hotel . otherwise , room public area hotel immaculately maintain furnished . elevator bank divde two section ( one Lobby Floor 21 ? ) ( 21 ? - whatever high floor hotel occupie ) . quick . side three elevator . gym stock chill towel , juice , fruit enjoyment . room modern ( style wise ) theme guess hotel -- good . traditional look ( think Ritz Carlton , etc . ) . electronic control control window curtain bed . sufficient lighting unlike bathroom , moderate much light want . a / C Unit powerful not know use . wall - mount plasma tv swivle anyone room watch . dvd player fax / copy machine inside room . room isolate fine . abudant amount closet space . stay three night enough space we . the bathroom do marble simply spectacular . love . separate bathtub shower . amenity ( soap ) nice . Bathtub fill quick ( 60 second advertise , sure , fast enough ) . small LCD tv bathroom nice plus . excessive amount lighting bathroom however -- like light , good . breakfast & quot ; Lobby Lounge & quot ; stay include rate food average . american Breakfast stay $ 35- $ 38 per person . Room - Service prompt expensive ( expect -- expect add order : service charge , taxis , gratiuty , delivery charge ) . not order anything spectacular dining outlet hotel , french toast egg breakfast meat . want eat room want bypass service charge accompany order room - service , go downstair order restaurant & quot ; to - go . & quot ; breakfast credit around close $ 100usd breakfast package . 57/57 Bar energetic go around 10 o'clock Saturday night . even hotel guest , wait 10 - 15 minute seat . go bar order drink take back room . Long Island Iced Tea set back $ 17.housekeeping amazing job cleaning room day . decline turn - down service imagine par . request item ( tolietrie ) housekeeping sometimes take excess two three call request fulfil . my big qualm hotel Concierge . stay , like make contact Concierge see recommend time reach , put extended hold time ( probably due inundate guest hotel ) . usually four five concierge work give time day . Everytime call day ( New York time ) , ask hold . happen several occasion call hotel room ( holding ) . case would call Front Desk relay message ( work quite well ) . good bet reach Concierge undivde attention probably later night ( 9 o'clock pm EST ) . work late remember around midnight concierge still answer phone call -- plus . talk , generally helpful nice . request meet process efficiently . P.S . bag & amp ; Ms get $ .65-.85 cost $ 5.00 hotel mini - bar . purposely eat one bag replace store buy one fun . hotel $ 400,000 + Maybach use transport guest around town ( limited radius ) check , well yet , use . 
 May 8 2006 	 great hotel 	 Hotel always go safe bet afford ! meet expectation every way , especially service level ; staff excellent professional friendly attitude without stuffiness find sometimes expensive place . breakfast fabulous well worth book breakfast inclusive basis otherwise will set back $ 100 two . avoid room service - $ 32 two cup tea even bad liquor buy litre $ 180 . spa treatment ghad good though environment average . location unbeatable central main shopping area Central Park . 
 May 1 2006 	 wow ! 	 nothing say afford - stay ! 's incredible experience . not miss breakfast , lunch dinner 57 restaurant - everything ever dream high - dining experience . can not wait go back . 
 Apr 23 2006 	 Service bit 	 husband book Four Seasons business meeting , decide bring along extend stay celebration anniversary . check front desk aware part expense would go company business coordinator , part would charge we . show room , welcome brief introduction room . ( one neat feature curtain open closed switch , people not find . ) room stark modern , devoid decoration . bed , chair sofa comfortable . great fax room ; believe copi well . bathroom lovely , although second sink would nice . tub wonderful , fill 1 minute ! please fitness room ; comprehensive amount equipment , towel headset ready item , drink keep hydrated . restaurant renovation , service lobby restaurant . opt one breakfast ; other note quite overpriced despite service , nothing special . perhaps meal well . lobby bar busy , not really appreciate seat coffee table 4 stranger anniversary . husband suit press ( nicely do quick service ) . concierge desk quick helpful . doorman excellent , friendly funny . part take away stay last 18 hour . 5:30 last evening , bell rang . have step shower not put privacy light afraid would lock husband jog . open door see housekeeper husband right behind . tell have leave 1/2 hour , ask would come back . ask would like anything , ask ice , leave . ask anything else , say . guess took & quot ; need come back & quot ; . arrive back late night , not return , turndown dry towel . next morning , schedule check . start pack , go breakfast . go , housekeeping come . get rid soap sink , replace new wrap soap . have replace towel place new shampoo conditioner shower , put sticker toilet roll . feel like get ready next guest go . wonder wash hand hand towel would change . , get desk , despite instruction split bill , not do . charge put company card . woman desk really not want split charge ; say would extremely difficult . ask would put charge onto card , say would even difficult , bill actually already send business group coordinator . be face time consume task sort ; not happen . lovely stay , feel not quite live reputation . 
 Apr 12 2006 	 worth every penny - all nine bazillion 	 family four stay Four season New York past March , completely live super - high expectation . deluxe room : book two deluxe adjoining room family rate ( 2nd room half - price ) . room consist large bedroom sit area , gorgeous , huge bathroom . two room parallel , one room , kid would able see hear we room even door open - might sound great parent , know little boy would really scare . however , would definitely recommend deluxe room couple solo traveller . front desk : front desk absolutely wonderful show we suite immediately , upgrade . yes , twice cost , son lot comfortable pretty much enormous apartment . the suite : probably 1800 square foot , two bedroom , two half bathroom , living room dining area , large walk - in closet view three direction . decor clean modern , without intimidate stuffy . view : know little afraid height , seriously dizzy first 24 hour suite . , freak pay lot money could think possibility build fall . , one employee assure , get use actually could enjoy view end stay . could easily see Hudson River , East River , Chrysler Building Empire State Building . small glimpse Central Park . view really look like something postcard nyc.the bed : perfect . sheet , blanket , comfort - perfect . service : perfect . swear employee encounter go way say hello make we feel extremely welcome . doorman especially wonderful helpful . the lobby : breathtaking . room service : ok , really complaint . order dinner one night , several food item incomplete wrong . several dish lukewarm . overall quality food really average - almost like average diner food . concierge : thoroughly professional , friendly helpful . within minute ask local restaurant recommendation , print direction hand well suggestion , & quot ; may call let know arrive soon ? & quot ; location : feel completely comfortable walk around area child . overall : would bring family back heartbeat , even shock - induce rate - soon afford another visit ! 
 Apr 10 2006 	 Four Seasons Triumphs ! 	 Four Season triumph . executive room , plenty big enough , fabulous bathroom walk shower . bed great cleanliness superb . service however always trade mark Four Seasons . let give example . thirteen year old son collect old car number plate country visit . trouble find one New York despite Stephen , one concierge , trying find one he . the day leave Stephen still locate one , go trouble bring one old number plate home gift , refuse payment ! hotel read weep ! ! also chauffere around brand new Rolls Royce Phantom ( Maybach ) courtesy car short trip . great room ( hotel undegone major refurbisment last two year ) great location , great staff , service world , could want ! 
 Apr 9 2006 	 Perfect Views 	 wondeful time . stayed room 4410 , perfect view city Central Park . make sure get view Park . bath tub great bed advertise . critique wireless internet access . definitely return . 
 Mar 6 2006 	 Best Hotel New York 	 second stay Four Seasons New York far good hotel Manhattan . love location , service room . service front desk restaurant spectacular . detail overlook ! park view executive suite spacious comfortable . love plasma tv bathroom ! fortunate enough stay numerous luxury hotel New York include Ritz Central Park ( HORRIBLE ! ) Mandarin Oriental none come close pamper luxury Four Seasons ! 
 Feb 26 2006 	 Use hotel maybach 	 wife stay time business first . check romantic weekend August , everyone hampton . empty . great ! upgrade we tower room 36th floor , nice view central park . think rack rate 575 . would walk park every morning tea . city type , love . mostly formal attire walk lobby . one bat eye short flip flop . I hate try sleep manhattan noise manage well high floor . stay hotel gansevoort week april . room small & quot ; hipster - boutique & quot ; style . loud meat packing district . fs much big , quieter . also , ton wifi hot spot location wifi card . checkout , go hail cab doorman would not hear . put we hotel Mayback gratis . never want get car . seat 2 back . someone tell Maybach limos cost 350,000 $ . tip driver 20 $ . good deal NYC . 
 Feb 12 2006 	 live expectation 	 husband recently stay hotel long weekend break . high expectation ( concern read posting site ) . thoroughly enjoyable stay . upgrade arrival find room comfortable spacious . staff encounter polite efficient , specifically concierge marvellous . restaurant booking make behalf excellent , receive superb service Four Seasons guest dining . hear outrageous price breakfast , ask recommendation local diner direct fabulous place minute walk away . two small disappointment - main restaurant close renovation dinner alternative lounge bar average ( expensive ) . departure , wait 15 minute doorman hail us cab , end clearly ' regular ' guest arrive promptly rudely forget . 
 Jan 22 2006 	 Disapointed 	 stay property two dog use free night certificate receive Four Seasons . live NY , need stay hotel one night terrible wind storm knock power home four day . stay hotel four month open back late 90 be truly impressed . however , stay disapointment . room decor stark cold . carpeting inside room hallway stain . bed feel bit worn comfy remember . food hotel , particularly breakfast , outrageously price ( $ 80 $ 100 two , tip taxis ) . bad , service hotel inconsistent . reception staff welcome , staff obliging . call housekeeping inquire still receive dog bowl request 20 minute prior , effort make apologize expedite delivery even explain need leave room restaurant reservation . one doorman station 57th Street handle guest need wait 45 minute car ! come across maid turn - down service floor , ask room inside left , want staff enter room alone dog present . refuse turn time , say someone else assign room would come later . avid fan Four Seasons hotel , management seem top thing . maybe spoil , return Four Seasons - George V Paris five day . 
 Dec 27 2005 	 not afraid bring kid ! ! 	 husband stay twice can not say enough fabulous hotel . first time pre - baby , love terrific service , large , immaculate room , terrific food . time around , bring 16 month old daughter . get full four season royal treatment , special stuff animal , washcloth terry bath toy keep , diaper , wipe , baby toiletry , diaper champ , full sized crib sheet , blanket bumper , etc . ( room walk . ) sure review already go gorgeous hotel , attentive , courteous helpful staff , think every detail room ( get to love marble bathroom ! ) service , want focus kid - friendly be . we number four Seasons , though among nice hotel world , never feel daughter unwelcome . still , little nervous New York , little less casual location . we eat 5757 Restaurant ( way excellent food ) twice - breakfast dinner . breakfast , daughter give crayon color book ( placemat ) , food come Barbie dish toddler - sized silverware . hostess bring small stuff animal meal , server well staff restaurant wave generally attentive kind . at dinner , two separate staff member bring stuff animal keep ( really make toy stay ! ) . throw pacifi floor one point , staff member run know , pick , sanitize return plate right away . staff willing ( ) bring pretty much dish request , daughter we . one point , daughter see waiter walk , hold piece pasta toward . whip silver tray hold level put pasta , disappear clean ! 's top go back claim kid friendly ! ( time call get restaurant recommendation , remind we restuarant kid friendly . ) even housekeeping pay attention every detail - lay daughter 's stuff animal crib head pillow . bottom line , hotel great anyone . yes , expensive , get pay . want amazing service , beautiful , large room , terrific twice - daily housekeeping , stay . not feel need leave kid home ! 
 Dec 23 2005 	 love service . 	 place oustanding ! staff friendly ; bellboy outside waiter inside 57 restaurant respectfull helpful . we stay 2803 room spacious , luxurious , excellently provide . view outside window spectacular ; drink window watch golden sunrise morning experience never forget . would love back ! 
 Nov 18 2005 	 top mark design 	 strike thing Four Seasons beauty design . 's incredibly classy american hotel : tasteful , elegant , stylish impose yet relax . reception area glorious public area feel world away bustle New York street . room huge , . light wood make feel spacious , sit area classy bathroom achieve devote real space . many place New York feel like rabbit - hutch , be danger Four Seasons . so one star short perfection ? well , be quite stress - free place stay . one day room not make almost 4 pm ; request thing miss room ( corkscrew , battery wireless keyboard ) take fair process ; check - out procedure complicated wrong charge assign account . be comparatively minor thing , give price 's much ask sort . worth note maid say delay cleaning room cause much work individual staff member . and beware extra charge . limo service airport efficient , $ 175 . plan return trip airport , concierge kind - of decline come alternative limo - even though cab outside hotel would third price . it be still one nice place stay city , have Mr Hyper - Pernickety enjoy signficant degree . could little bit well want one world 's great hotel . 
 Oct 30 2005 	 average room 4seasons nyc 	 stay 48th floor spectacular room , issue . room extremely average fourseason . decor like dorm room amenity . location good , lobby beautiful . would choose ritz st regis next time . 
 oct 9 2005 	 worth ? 	 perfect ..... restaurant need later hour friday night . saturday brunch til 2:00pm . want lunch . room service nice treat , however expensive- 17 % gratuity , $ 6.00 room charge additional 13 % tax . love anniversary package , call name great . not call conceirge hold 20 minute , be well show . house car real convenience free . drive royle royce mercede sedan . spa wonderful . waterfall facial superb , disappointed spa service advertise long available . overall- expensive worth anniversary 
 Oct 2 2005 	 shame price 	 Waitress bar really bad . plus hotel really average . room , smell something die ! ! ! ! acceptable pay high price ! ! ! 
 Sep 30 2005 	 Perfection 	 something magical FS New York . moment step hotel relax completely due amazing staff , fantastic guest room impressive public area . stay four night deluxe room enjoy fully . awesome bathroom great water pressure great Bulgari toiletry . in hotel small detail start annoying case . 's truly perfection detail . the gym quite well equip could improve . we tell restaurant Fiftyseven Fiftyseven close completely three month winter remodelling . definitely among world 's good hotel . 
