good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Jun 25 2009 	 great family hotel 	 stay weekend June 6 - 11large spacious room daily maid service . kid like , bring PS2 hook tv dvd 's game , . hotel clean friendly kid trust roam around little supervision , day not see hour . this great hotel family orient . large outside pool 4 foot deep not get warm stay weird adult kiddie pool kiddie spa / hot tub one really large pool . also note although family orient , noticed woman lay stomach top tanning , see least two different day , one complain . the kid love bowling , movie , arcade . look forward return , cool . if u need go strip rent car share taxi bold enough ask someone share . food , would suggest eat breakfast buffet $ 6.95 , 75 cent hot dog cart . u go strip , fast food everywhere make sure get discount ticket big coke save show . 
 Jun 22 2009 	 good value 	 husband business conduct Vegas . plan stay 2 day later decide stay 4 . pro : price right . food decent . pool nice , close early . able play bingo slot hotel ! ! . child go movie chance bowl , hotel . resort fee . plenty parking . child love it . here be con : strip . 's limited movie cable . long line check . housekeeping call twice . forgot clean room , . movie expensive . fitness center additional cost . business center additional cost . far strip . limited place eat hotel . far away fast food . front desk seem unprofessional busy help . quick transfer call ask question . tell would queen bed give full bed . 
 Jun 20 2009 	 worth drive strip ! 	 plan stay one night , decide extend trip great time . distance strip well worth drive . south Point crowd ( negative looking & quot ; nightlife & quot ; experience -- not ) , sumputuous room , plenty . go bowling , go movie , enjoy pool , play bingo , enjoy delicious meal , gamble , play bingo without leave hotel . room large bed divine . two wonderful night sleep not usually sleep well hotel . one night enough -- -book two internet special ( terrific deal ! ) 
 Jun 17 2009 	 over - hype 	 book South Point recent trip Vegas receive incredible review site . perhaps expectation high . sure , get great deal stay , 10 15 dollar could stay strip believe would much happy . location , obviously , good compare strip casino , obvious . real problem service . ' ve see other write , long wait check - in . finally get front , lady desk apologize wait even acknowledge . say , & quot ; hi , checking & quot ; even look . say maybe ten word send way . call front desk later problem , ten - minute wait phone , could not even solve problem . the room nice , give casino much . casino lobby area nothing memorable . be basically one big room , nothing special . 's much small strip casino , , not offer nearly amount restaurant bar . add together , disappointed stay consider rave review site . 's decent hotel nice room , probably one well casino hotel family . average traveler , would recommend look elsewhere . 
 Jun 16 2009 	 can not fault 	 two day stay venetian 15 - hour day drive to / from Grand Canyon expect much . pre - booked room cost less £ 25.00 . booked strength previous TA review let know previous review spot . surprised pleased . the room large 2 king size bed . large tv wall many channel choose . large bathroom , quite venetian functional none less . room spotless . be give voucher book upon arrival offer discount bar , restaurant etc . appear catch use voucher take without problem . the casino appeal we , none we gambler . nice see low value blackjack roulette table . still lose amount money take long South Point . the next morning buffet breakfast use voucher . can not fault . good choice food hot plentiful . for price pay Hotel without doubt good value hotel ever stay . be look hotel strip . look great value , clean hotel stop perhaps day sightseeing go . 
 Jun 16 2009 	 not believe bad review ! 	 wife stay four night South Point busy Nascar weekend problem whatsoever . staff friendly room fantastic ! think people go Vegas sometimes expect treat like people stay sometimes little rerspect people deal go long way . come people complaint cab fare strip .. hello look map stay maybe think rent car . 
 Jun 12 2009 	 good strip hotel ! 	 South Point fantastic hotel couple flaw . First Cons ( many ) : hotel far strip area congest ( drive ) . fantastic flat screen tv tv channel . not gambler , travel Los Angeles choose South Point stop point . relax room watch little tv would nice . seem much rather gambling spending time room . also want relax hot tub , pool close 8PM . idea ... pool seem crowded walk check 5pm.now pro ( many ) : room huge sitting area . wall unit floor ceiling storage . king size bed seem oversized comfortable bed day road , read light overhead . decor neutral golds tan . nice . view , though not care that . the food awesome . get nice price hotel food coupon ! 10 % deli sandwich big , two we share . sandwich soooo good ! breakfast buffet plentiful good . the pool area tropical beautiful . artificial grass surround pool area hot tub . think first strange , actually save water . converse water , great idea ! casino seem large ( though not gamble ) people seem happy . lot kid run casino , think strange . all , great stay would come back ! 
 Jun 5 2009 	 Perfect Stay 	 absolutely complaint . great price , arrive early arranged room we . $ 25 free voucher gambling walk away $ 18 room $ 35 . also great value coupon . pool clean . would never stay anywhere else ! good security . 
 Jun 3 2009 	 LOVE HOTEL stay every time Vegas ! 	 Fantastic Hotel , yet wear like other strip . room huge ! real nice bathroom , bed nice , flat screen tv . Stayed May 09 sunday night thru thursday night $ 45 / not ... absolutely well deal town . 16 screen movie theater nice , bingo hall computer card nice ( though not play ) , big parking lot valet free tip generously time fast getting car , discount show ticket readily available ( LE REVE awesome , think would wife love ) , 64 lane bowling alley ! great idea still brand new . great room service , really nice staff , buffet restaurant good pricey like strip . prob think work not . will tell stay place every time go Vegas future . ' ve stay hotel cost $ 300 + not nice . casino slot machine love way , really matter far payout . nightclub , pool nice , view speak room ( strip ) , cheap extensive list liquor lobby store . 
 Jun 2 2009 	 really Perfect Hotel Cheapy ! value money ! ! ! ! 	 see many hotel life work travel agency . course every place must look price - quality . really good , take favorite package , 107 dollar include 2 night , 4 cocktail , 2 free buffet garden restaurant ( good , much choice ) free fitness . really cheap , package weekend 140 dollar still cheap . really 4 star hotel , nice big pool sunbed , nice music , cocktail , really tropical admosphere ( like Cuba ) . nice spa , fitness , 8 restaurant . room also excellent , big , clean . stay 24 Floor , nice view ! car 10 - 15 minute 15 Strip , easy ! ! ! ! hotel 2 year old , 2200 room totally . really like . one point , internet wifi cost 13 dollar 24 hour extra . 
 Jun 1 2009 	 Loved SouthPoint 	 hotel / resort / casino fabulous . room comfortable ever Las Vegas . food excellant . service wonderful . casino large great assortment machine seem pay much generously strip . car go strip one evening anxious get back . sure next trip wil even go strip . SouthPoint everything comfortable easy enjoy . us party impressed hope return soon . would highly recommend SouthPoint . 
 May 31 2009 	 bad connection strip ever . 	 hotel good take two BUSES get strip ( 15 mail ) car not want get hotel different . 
 May 28 2009 	 great room big pool fun casino several restaurant easy get ! 	 say South Point south Strip bit understatement ... 's good 5 mile south MGM & amp ; Luxor , south end Strip . know go , South Point great value . we book room via Hotels.com Memorial Day weekend stay get rate 40 % less hotel 's website . our room spacious clean , large sit area , king bed , window overlook pool , flat screen tv , in - room safe , huge bathroom . consider sit rock casino pool , perfectly quiet except bit hallway noise time ... something experienced hotel . the casino offer variety table slot / video poker game , large sport book , bingo room , poker room . table minimum mainly $ 10 , even holiday weekend keep $ 5 table open time . food three restaurant eat good spectacular , diner - range price pay , not bad value . there lot poolside lounge chair plenty room pool . the hotel also offer spa ; one we take advantage great massage there . if be Vegas explore Strip , location bit limit : & quot ; Deuce & quot ; city bus not go far south 's shuttle Strip downtown . , car designate driver , location right next i-15 make easy freeway drive big Strip casino . drive Strip South Point excruciatingly slow . internet access steep $ 13 / day , want check e - mail free cocktail casino ? , price beat anything available Strip , would stay . could find comparable price hotel Strip outdoor pool , would probably pass . 
 May 26 2009 	 4 - Star Quality 2 - star rate 	 South Point Hotel need place top-10 hotel bargain USA . $ 70 plus change stay basic room available . walk room immediately say , & quot ; wow . . . & quot ; suite ? & quot ; room huge elegant , fine detail . since wife use Las Vegas launch pad adventure southwest . rarely stay one night . last trip , wish stay several . the spectacular buffet reasonable , food good buffet food ' ve ever . buffet peer fru - fru Sunday brunch buffet ' ve to . my complaint check - in line : take we hour check . say , 8 people work check - in desk . 
 may 25 2009 	 would stay ! 	 get great deal online stay . hotel little outside Strip , convenient access freeway . got hotel 3:00 , take we 30 min . line get check . casino pretty smokey strip hotel . 's bit walk elevator ( be way strip hotel ) , pleasantly surprised size room . spacious . housekeeping need little meticulous , picky cleanliness . quiet room , view . 6th floor , face wall . least not worry anyone look window . pleasantly surprised size bowling alley - over 60 lane . large theater complex . average arcade kid . take advantage coffee bar every morning , although room come coffee maker . would like refrigerator come room though ( be certainly enough space one ) . dinner one night Garden Buffet . nice , average food . package include 2 free buffet , can not really complain . not get take look pool trip , notice lot people make good use it . overall , happy stay , would definitely consider stay ! 
 May 24 2009 	 Strip Elegant Hotel 	 stay 5/17 - 22 . second stay . hotel feel good . like away congestion constant construction strip . hard find entrance hotel strip construction . hotel new feel way . room clean large . nice large vanity bathroom . come near check time will wait . can not understand moaner think people check . pass water wait . check pleasant . maid nice . food Buffet average . cafe good . 's hard get wait Del Mar Deli . Seattle 's coffee ice cream parlor next door quick good . pool good . game casino . shuttle discontinue . think still one airport , strip . like choice parking front parking garage . parking garage roomy . like sardine space old casino strip . 
 may 20 2009 	 nice 	 stay two night , like room , good buffet , great sport book area . prefer stay away busy & quot ; strip & quot ; , Strip many people , many traffic jam . sp , not many cable tv station , hotel , also charge $ 15 per day use fitness gym . come , $ 15 per day , Vegas last year , pay $ 35 8 day Golds Gym , math , would say five dollar per day . go top parking level , parking garage , walk jogged , hr morning , see great view Vegas , not need spend $ 15 . like Casino , easy get around , unlike strip casino , well lite . would stay . 
 May 20 2009 	 GREAT value 	 get back Vegas . use site select hotel prior trip second time happy result , contribution . beat value hotel . year two old , clean , nicely decorate , good service . although strip , location great i-15 exit , quick access anywhere . resturant mediocre reasonably price . casino sizable overcrowded . pool good lounge chair could well . bed excellent room sizable . reasonably price hotel away crowd hassle good service comfortable accomodation . 
 May 18 2009 	 good value Nice Hotel 	 would stay . everything excellent . room , bath , bed excellent . fridge microwave room . pool hot tub nice . 
 may 17 2009 	 line loud room really nice 	 get past smoky , cacophonous , gaudy entryway / casino area , room lovely , large , clean , quiet . take lot get entryway , check - in get food one must wait - wait - wait ( long 25 minute ! ) . hand , speedy get free gambling coupon , happily cash $ 49 twenty minute later . service good - gaveme free gym pass due wait misunderstand front desk . yes , otherwise $ 15 hit gym ! ! will also pay $ 12 / day high speed internet print business center . buffet pretty good . pool MOBBED . also , ; fail notice $ 10 - 15 cab rude strip . , also first hotel stay instruction clean needle disposal bathroom . expect something really classy , might disappoint , nice room . 
 may 17 2009 	 Hotel 6 mile strip nice room 	 hotel kind nice . the check Service friendly , try downgrade room reason , complain mumble somehte give room pay for . it $ 30 taxi ride get strip kind surprise review say & quot ; strip & quot ; scan realise aftward 6 mile strip . anyway room nice , reasonably price . the bed kind plastic sheet make sweaty , comfortable . the Sunday Brunch buffet ok , nothing special . would recommend hotel anyone worie strip room reasonably price , everything need . however someone want visit Las Vegas , go ! 
 May 10 2009 	 great value nice big room 	 go Vegas New Years every year want something affordable year stay long . south point casino nice surprise . get really low rate ( $ 100 / night budget travel site ) Deluxe King expect something along line Motel 6 quality . spouse pleasantly surprised find large spacious room ( 500 sq ft ) , friendly prompt service fairly decent food / drink . con : linen definitely Motel 6 quality bed make first enter room . promptly resolve phone call housekeeping apologize profusely bring we extra pillow towel . bathroom large clean , also average . basically , frill room quiet , huge clean . comfortable long stay . high speed internet access available fee . housekeeping excellent . the valet parking little slow . huge parking lot front hotel entrance , level . always full time always valet - wait time average around 10 - 15 minute . 's New Years eve . casino small brightly light , smoky poorly ventilate . poker room spacious great time daily tournament . tv show Poker Dark High Stakes Poker , film South Point poker room seafood restaurant Big Sur Oyster bar - huge portion fresh king crab small coffee shop entrance convenient get cheap morning tea pastry . use spa , gym pool . convenient full fledge movie theatre show late film bowling alley look clean impressive ( not play , peek ) .Overall , no - frill vacation get expect . overall , satisfy stay South Point return . 
 May 8 2009 	 another Great Stay 	 probably 3 - 4th time ' ve stay South Point 's always great . check - in early ( noon ) Sunday get king n / s room new wing 10th floor overlook pool . great room usual ! a / c always nice cold , bathroom roomy nice Bath & amp ; body toiletry , bed comfy . rent car not mind strip . definitely stay ! 
 may 7 2009 	 lot offer South Point 	 South Point pleasant surprise . read review go , good , bad , want judge . First free shuttle airport , hotel clean nice , strip 6 mile bus route pick go strip downtown , $ 3.00 day bus well worth ! room nice , much view room , okay , bed comfortable , plastic mattress pad get little hot tolerable feel well know bed other sleep . eat buffet decent day leave stumble upon Del Mar Deli , WOW ! , dessert amazing , bagel sandwich huge ! next time go eat meal ! look deli bit , tuck away corner betting area , lack customer , people know place . Seattle 's good coffee shop good well . bowling alley Bingo hall movie theater , take advantage two time ! gambling good , come home money ! $ 5.00 table time , strip less $ 10.00 ! health club nice equipment , pay gym , like work , take advantage . back sure ! 
 May 7 2009 	 stay everytime go Vegas ! ! ! ! 	 hotel wonderful ! ! staff great , maid service wonderful , room BIG quiet ! hotel almost full not hear neighbor , wonderful surprise use hear everything hotel . pool hot tub beautiful . eat almost every meal right hotel , cheap good food . people complain 's far strip , take we 30 min get Riviera parent stay ( see Southpoint wish stay ) like away madness . great outlet mall 3 mile hotel 's awesome . also lot shopping resturant near hotel . would HIGHLY recommend hotel anyone want hotel wonderful room / bed , good food friendly service ! ! 
 May 4 2009 	 Nice would expect 	 live Los Angeles come las Vegas every month . stay different place time , lowly Wild West ( please not ever stay , ever ) suite Mandalay Bay Caesars . trip want cheap ( cheap time end Wild West ) book hotel Hot Wire ( select cheap 4 star ) . $ 48 ( hotel advertise $ 70 ) . check quick add & quot ; facility fee & quot ; place charge book discount site . room nice , grand , nice . big expect . everything work good repair . good quality bed . perfectly clean . could hear neighbor . I see post , room smell . water pressure great . not iron except see one can not comment . see problem run authorization 4100 . hotel that . pool nice . snack bar limit . miss restaurant go show , get back 11 pm close except Cafe . dinner anyway reasonable price good ( lunch early also good ) . lunch dinner run $ 40 two tip . gambling ok , machine newer work , table game table game . staff friendly , people came often ask want drink . downside : 10 - 15 minute main strip area car . car pretty stick miss lot . could use help cafe . take place order , service good . try call concierge pool one ever pick . always drive would stay long half price 4 star strip hotel . charge $ 12 internet rip . also like choice parking high rise lot flat lot right outside main door . oh , really good Dunkin Donuts mile east hotel . 
 May 4 2009 	 poor service overcharge 	 book king suite long ahead trip pay hotel directly . get not get room want , call desk tell none like want available would wait see morning check check move ! end late night . tell adjustment would made rate refunded . upon check charge quote pay question Hotel . comment go rate time . seem varry choose fix reservation make . still process get money back .. otherwise hotel nice good amenity staff . valet help GREAT ! 
 Apr 30 2009 	 excellent value convenient airport 	 Hotel 5 year old , lovely spacious room , well - run . conveniently close airport . not close Strip great place stay . pleased . 
 Apr 27 2009 	 average every sense 	 book hotel use site blindly say have get high star hotel southern part strip . figure well know property learn here . the hotel casino perfectly average . 's nothing write home 's also nothing necessarily complain . describe fine , clean hotel casino could locate anywhere U.S. gambling legal . 's issue -- 's nothing say Las Vegas . everything clean . casino really brightly light 's & quot ; vibe . & quot ; want feel like Vegas go elsewhere ( Caesar 's , Bellagio , etc . ) . be also really far -- save lot rent car mean less party strip . free parking make less painful . would much rather pay room well know hotel strip book far advance . be Vegas scene , may happy . happy saw bill check - out . 
 Apr 25 2009 	 Great Advice 	 madness casino lobby thrill quality size room . pool great ! 
 Apr 23 2009 	 Super place = super fun ! 	 South Point Hotel , Casino Spa great place stay way - everyone great deal , spend 6 night enjoy everything place ! 
 Apr 22 2009 	 good value money 	 great value money . room comfy casino lot low limit game food joint . 
 Apr 22 2009 	 South Point : south Strip 's congestion super fun 	 great time South Point Casino spring holiday . girlfriend first time guest South Point , feel right home thank generous spirit employee . take excellent free crap class , jump game . help gaming staff , slowly become acquainted crap . second day play confidence increase ; open $ 500 line credit play . plan return family month celebrate belate birthday grandmother . previous Las Vegas get together claustrophobic Luxor , ' convince make South Point Vegas base time . good travel , ronsantacruz 
 Apr 18 2009 	 FANTASTIC FIND STRIP 	 travel Spring Break two teen purposely want hotel Strip . rental car drive Strip daily . check - in breeze check tv room . pleasant ly surprise large room , two queen bed , bathroom separate shower toilet sink large countertop toiletry . complaint could make pillow small hard side . drive , bring . nice flat screen tv , great outdoor view pool 15th floor . room smell amazing , perhaps great Bath Body work complimentary toiletry room daily . clean , important we . lot family small child teen sport team weekend . frenetic pace clientele Strip . use lot local , apparently . easy use self - park garage , valet . food adequate price reasonable , goodness , buffet breakfast less meal popular fast food restaurant . loved mexican restaurant upstairs . Surprise Deli , good food , overprice . staff friendly . pool awesome , lot room . seem much family orient bowling alley theatre . plus large equestrian centre . research couple month decide Hotel HIT JACKPOT . hesitate recommend family . 
 Apr 17 2009 	 money = 10+++ hit miss service ! ! Dirt Biking + + + + + 	 first time writer , long time reader . family , wife 3 kid ( 2 teenager 1 pre - teen ) decide spend spring break ride dirt bike - wife pre - teen rider go Octellio Wells bore . decide stay Vegas ride many place around vegas ( less 40 min away - want list- Nelson Hills , Apex , etcc . Google will find list offer ) . get 2 room - one kid one Mrs. - tell , surprise cost $ 35.00 / Room / Night - $ 70 / night less rent toy hauler . room clean big - nice shower large bathroom day ride . 's short list : pro -great value moneyCoupon book 2for1 buffet , $ 25 slot ( $ 120 - bad ! ! ) .. clean roomslarge bathroomscon - bed comfortable - well toy hauler nice say MarriottCasino poor air circulation - room floor - can not tellhit MissService - great cafe , poor cashier ( need happy pill ! ! ) away Strip - Great family , bit trouble haul bike back parkingwill ! ! ! sure ! ! 
 Apr 15 2009 	 Nice Hotel Strip . good family . 	 room really nice , spacious , comfortable perfecly clean . hotel full fun amenetie family child ( pool , bowling , movie , arcade ) . complaint service . hotel several mile south Strip , problem car . actually kind enjoy get away crowd strip back hotel . tv nice bed comfortable . pay $ 40 night feel like steal . highly recommended not mind away Strip . 
 Apr 13 2009 	 76 buck 2 night 2 queen bed 	 good bargain ever nice hotel . mark location unless car , be far action . be exactly stay . finally finish i-15 exit Silverado Ranch Blvd 's convenient locate . prefer blackjack . old local crowd . ' ve eat buffet hotel 's average compare casino , dinner 16 buck compare 23 Rio . 
 Apr 12 2009 	 good thing bad 	 stay 2 night family . long wait check . though room pay advance , give credit card $ 100 authorization ( nothing charge check ) . not like know . book great rate room get one night free . request non - smoking room , get one , clearly previous occupant smoking room smell terrible . not want wait desk , keep room hope smell would diminish , ( ) . room nice , clean , flat screen tv . crazy walk casino every time get room main entrance , guess can not complain since Las Vegas . food restaurant ( buffet cafe ) average . not car , can not get main strip . parking simple free . nothing really around hotel bowling alley movie theater hotel good ( use ) . pool area seem little small side busy . office get ticket ( discount ) hotel show . use office helpful little disappointed show , Debbie Reynolds highlight ( exactly someone even close current ) . access highway back airport easy . depend would recommend friend base look . 
 Apr 11 2009 	 South Point way 	 nice feel new property , friendly employee clean well maintain room 
 Apr 11 2009 	 Great Value money ! 	 hotel room good ! one minor flaw wimpy shower head shower . like alot water pressure like take shower wimpy rain storm . the buffet great ! variety food good . do not get use jacuzzi hotel premise , daughter think nice . 
 Apr 11 2009 	 Casino / hotel suck 	 can not begin list shortcoming Hotel claim set new standard Las Vegas . joke . nothing barn none glam one expect Vegas vacation . cut back amenity big way . $ 12.99 DAY internet access . $ 15.00 DAY access gym big kitchen . bad crap odd Vegas . abysmal buffet . terrible & quot ; free & quot ; drink player . could go . meet friend three year row . never go back . check resort road . willput South point business . hopefully . 
 Apr 8 2009 	 terrific value ! 	 not pay much stay , fact least expensive hotel entire trip . room fantastic ! everything want . large flat screen tv , refrigerator microwave , nice bathroom , quiet , nice view . really surprised . definitely stay . 
 Apr 5 2009 	 wonderful Stay - Hidden gem 	 third visit South Point , always 1st week March Madness . always , pleased stay . check - in simple . room large , clean , comfortable . pool hot tub area great . restaurant bar good ( Del Mar Deli pricey ) . sport bet crowd ( would expect March Madness ) - staff pleasant ( ask drink coupon - offer ) . lot penny slot low table minimum . shop open 24 hour ( liquor , gift , food ) . plenty on - site parking , either front hotel / casino , parking garage . miss duel piano Del Mar Bar . able print boarding pass Business Center ( charge ) . overall , good deal . back next March . 
 Apr 3 2009 	 Hotel Management - Customer Service Skills ! 	 book Expedia , hotel loc note Trolley service exist Hotel Strip $ 5.upon arrival , ask Hotel staff Trolley pickup direct we side entrance . 10 min decide ask Staff associate often Trolley run & amp ; shocked response - Trolley discontinue Dec.2008 & amp ; recommend inform Hotel Management . discuss Front Desk Supervisor offer free buffet inconvenience expressed not believe infor exist on - line . persist , request review Expedia loc - after 15 min find Trolley info . apology occur incorrect info locate & amp ; still free buffet offer - a $ 9 . compensation replace round - trip taxi cost $ 60.perday . request speak Superior - wait another hour - speak Hotel Dir . prove fruitless except receive apology . HotelDir note monetary compensation alternate transportation would provide hotel - even though Expedia website Hotel staff misinformed customer . note look difference trolley cost Taxi - do happen ! Hotel Dir response make Expedia aware issue . Fraudulent Advertising , & amp ; hotel take responsiblity , Trolley available 3 month STAFF incorrectly inform customer . $ 50 . per day 5 days- $ 250 total . know reasonable cost transportation available Hotel , would book hotel . stay Strip $ deal 4 * rating , avoid frustration deal Hotel management 's attitude concern customer fight re - imbursement ! 
 Apr 3 2009 	 great value 's 	 hotel great value . room huge , comfortable clean . however , several drawback : 1 ) hotel take $ 100 deposit ensure trash room , 2 ) part , food sketchy buffet . waffle coffee quite good though , 3 ) iron tethered board would run , 4 ) lot tacky painting horse girl horse room , 5 ) prominent sign bathroom proper needle disposal sure refer diabetic , 6 ) warn fire marshal go test fire alarm early morning . thankfully , occur get late East Coast . 
 Apr 3 2009 	 COUGH ! ! SNEEZE ! ! SNIFFLE ! ! 	 bad not clue keep air clean . not choke air pollution , would good stay since can not hold breath second , end miserable whole time . first walk room , beautiful air horrible . look AC intake filter see cake year worth crud . call front desk send maintenance man change filter . little bald headed chap attitude show , cuss 2 screw turn take cover , proceed bend filter middle create crease break chance seal storm like something well . window open chance fresh air unle take elevator walk past row 30 - 40 ring machine step outside . something several time near end stay . wall paper thin could hear people laugh shout 2 room away . book week relocate Vegas spend day drive around look house sale . evening would browse online listing . end week stay , internet charge add $ 90 . Yep .. cool $ 12.99/ 24 hrs service hotel gladly offer free . guess must ashamed charge internet cuz say tv menu & quot ; wireless require access code , wire internet free . turn blatant lie try connect cable take right back & quot ; pay internet & quot ; page . ask maintenance man & quot ; wireless require access & quot ; mean , shrug roll eye point cable repeat $ 12.99 require access code . tv nice . big 42 flat screen hanging wall . turn start blaring ad casino . ok , problem , change channel find choice . put something want watch minute later , revert back drone female voice suggesting & quot ; wait , click menu porno . title show bill . click menu . wait ... aaaarrrrggghhhh & quot ; Click ! ! ! tv . would complain anything air clean . room nice , garden buffet excellent , go back sometime . well lasagna year . can not breathe , can not stay sorry ... move extend stay hotel street place . breathe , pay less 1/2 place . internet free . happy . feel sorry people work day long day day . would make physically sick could hardly stand 1 week . chance filter regularly , use commercial grade hepa vacuum cleaner , would go long way make guest comfortable . 
 Mar 31 2009 	 Excellent stay strip 	 wife come Vegas like spend bit time strip finish thick action last couple day . choose South Point follow workmate comment . actually book hotel three time keep reduce price end one one free deal . give we really nice clean room low floor view car park . guess would hence disappointed get . room clean , well lay , plenty room comfortable bed . hotel nice , plenty , slot , table , bowling , movie , show , web site say minute strip . well depend fast drive 's straight line leave hotel . rumour go round shuttle run Mandalay Bay long operate due current financial climate hence without car taxi bill could steep pop strip regular basis . might worth check non driver . tend eat rather use hotel restaurant breakfast buffet find good food good value . staff hotel friendly attentive . slot might well looser strip proper get money , hour fun mind you . all excellent strip property would use . 
 Mar 29 2009 	 great room casino 	 room great value ( seem available Priceline price $ 40 ) , spacious good view surround mountain . room clean . really room like 5 * hotel . parking easy front hotelthey charge lot internet access ( $ 12.95 per day ) room not fridge microwave . for we , major disadvantage casino room support casino operation . Everytime want enter leave hotel pretty long walk smoky casino . see heavily pregnant woman smoke gambling pretty sight . we visit surround area hotel make sense . interstate close access excellent . 
 Mar 20 2009 	 definately go back 	 stay Mirage three night first trip Vegas - I think hotel nice would last visit Vegas . final night decide stay South Point change scenery . impressed South Point decide definitely come back stay . room beautiful huge . washrooms separate bathtub toilet area . thing like casino 's seem full smoke , even though try clear air ... still smell smoke . draw back south strip , necessarily bad thing . service reception second none . offer print boarding pass flight . give we coupon book check also additional coupon get discount next stay . ask coupon book Mirage , say not any - then ask someone else tell go concierge ... opinion , offer front . restaurant excellent mixture budget , mid high range restaurant . coupon book give two one coupon , etc . Garden Buffet breakfast unbelievable $ 6.95 pp ( also use 2 1 coupon ) . bowling alley 64 lane impressive . two teenage boy spend time . totally comfortable allow roam . night , security guard check make sure guest go elevator . also offer complimentary shuttle airport . look forward go . also purchase high speed internet $ 12.99 we . 
 Mar 17 2009 	 Excellent value 	 book room month ahead time hotel match rate find expedia $ 49 night , think good rate weekend . we get hotel 9 pm quickly check in . our room nice clean . opinion draw back hotel location . quite bit south strip , rental car work ok us pain get back forth strip . 
 Mar 17 2009 	 really nice bet ! ! ! 	 second time Vegas hotel great pleasure . 's 10 minute car strip not problem we . love drive know ' secret ' place ! go south Point fear . bet ! 
 Mar 14 2009 	 bad quirk . 	 reserve stay Friday night $ 79 . late flight Vegas , quite easy find airport . upon arrival , find would quite easy park . valet necessary ! could park near front entrance right front plenty parking spot . 's beautiful entry way large porte cochere . upon enter lobby / casino , find quite smokey , little much like . everything seem surround casino , like Vegas hotel . really not lobby , front desk casino . check fast efficient front desk clerk friendly . check , go directly middle casino order get elevator . not much walkway drag luggage casino large amount people little annoying . room locate 11th floor view face east towards hill . must say room spacious nicely appoint . large flat screen tv 's separate vanity nice plus . bed quite comfortable . first shock arrive hotel price food . later find Vegas . room cheap , hotel make money expensive food . sure breakfast Coronado Cafe , great choice expensive compare restaurant . 's huge bowling center 2nd floor casino beautiful outdoor pool spa . chance use pool spa late quite cool windy outside . hotel nice off - strip property , guess expect something little glamourous . seem little bland design . not really see get # 8 hotel Las Vegas . mean bad property , think price , would rather stay strip next time . 
 Mar 11 2009 	 Great Hotel 	 go Las Vegas NASCAR race . never Vegas decide combine race . love everything hotel . go strip one day Freemont St. another . honestly , do not care either , glad go since never . everyone hotel , include people casino , nice . rent car , take taxi . 4 people , cost worth . happy drinking not want chance . bus race organize be not long nightmare trip like everyone say would . go back stay Southpoint . 
 Mar 10 2009 	 great stay Nice Price ! 	 first time stay Southpoint . wife town Christmas shopping Primm decide stay south end strip save little time money . southpoint fit bill ! room clean comfortable casino open spacious . spa average really enjoy movie theater bowling alley right site . time good free rodeo event go event center . food average staff helpful courteous . $ 70 per night could not complain . stay help rental car since definately strip . 
 Mar 4 2009 	 friendly home like stay people nice . 	 place good place , strip . People friendly nice , place clean . wish one back home Pa . visit , come back South Point . 
 Mar 3 2009 	 GREAT hotel super friendly staff can not wait go back 	 husband 's first trip Vegas . first book trip worried review read regard distance strip . take maybe 3 - 5 minute drive strip , rent car , not see anyone would not rent car anyway fine . check fast easy staff awesome . everyone friendly super helpful . room really clean bed comfortable hard time get , especially 2 - 3 hour sleep night . way hoover dam one day really sweet lady work security give we excellent direction , get problem . $ 1 roulette table awesome friendly dealer , great food , slot machine , bowling alley , movie theatre . del taco place across street good , dunkin doughnut , walmart right road . stay 24th floor beautiful view mountain every morning 8 day . definitely go back . great stay . 
 Mar 1 2009 	 Great Value not mind Strip 	 drive LA Las Vegas see sign hotel billboard , little concerned pleasantly surprised get room . room large clean look like picture sleep well . Las Vegas convention not care gambling would recommend option anyone try save travel cost . even able self park front hotel make commute car room efficient thought would judge size hotel . beware , 20 minute drive get heart strip case convention center . 
 Mar 1 2009 	 great room ! 	 never Vegas go show fun strip . love South Point nice comfortable . side rental car shuttle limit . price much well lot hotel strip go . like fact walk thru hotel without begged listen timeshare . hate ! overall satisfied hotel . food pretty decent . 
