5 	 travel 13 hour trip abroad decide stay London night . look online hotel near Angel station one nice one could see price range . arrive hotel 10:15 intention dropping case well check time . mention staff 13 hour flight find room let check could get rest freshen . felt go bit extra make day . room lovely , spacious clean . everything need comfortable reasonable price . 
 Aug 21 2008 	 ok not stay top floor . 	 go London attend conference Business Design Centre ( BDC ) . choose Jury 's Inn Islington near affordable hotel . could walk BDC 5 10min also Angel Tube Station 5min . option pricy Hilton door door bdc.when get late night 4 hour trip ( plane , heathrow express tube ) little bit tired want go room . however recepcionist not find reservation politely ask & quot ; wait bar could eat something & quot ; would solve mistery miss reservation . first problem ... ok , happen ! 10 minute tell problem reservation manage get room send top floor . finish quick meal bar head room . the room ok meet expectation exception old CRT TV ... not know ' m less less used see kind tv hotel . notice air conditioning make noise could live whith . watch TV , prepared conference go bed . light ! ok ... Sweet dream ... wrong ! air conditioning turn noisy ! light ! get ! air conditioning ! go bed ! light ! sweet dream ... wrong ! noise still air conditioning ! problem ... decide try sleep anyway fail achieve next half hour would go plan b : get , get dress , pack everything ask another room probably would not . great plan ... zzzz ... next morning find big air conditioning system room ( check photo ) responsible noise ! leave hurry breakfast ( nice ! ) thought would ask move different room soon would get back conference . conference meet guy Islington chain tell . apologize inconvenience . be ok , say ! conference go walk arrive quite late hotel . decide late switch room tired would probably fall asleep like day . ... zzzz .... last noisy night ! check next morning recepcionist call duty manager someone tell problem stay . nice guy conference warn he / they . tell story say sorry free go everything else take care . not give traditional invoice not ask thought would not charge happen . week later credit card charge request invoice justify expense . my overall experience not terrible guess rate & quot ; okay , problem - stay top floor & quot ; . will not say will not stay say hotel well situate affordable probably unlucky room . 
 Aug 16 2008 	 BASIC HOTEL MAINLY TOURISTS 	 stay one night would agree tourist ideal location transport . clean basic local bar & amp ; eatery bar inside . we book theatre break ( hotel choice ) disappoint location cost £ 15 get theatre - didnt fancy tube late night ! limited menu breakfast great - continental choice 2 roll choice mini croissant slice cheese meat etc - bad hotel - so part package go elsewhere ! ! would recommend hotel nearer town - both UK overseas visitor . 
 Aug 13 2008 	 Jury Inn ? 	 stay week business trip . hotel comfortable particularly memorable . location convenient Angel tube Northern Line - short ride connection line King 's Cross Bank . the front hotel busy road , suggest ask room back traffic noise minimal . mine bright , overlook view clean . however position u - shaped building . the room clean , keep clean . wall completely soundproof - loud music neighbour trouble twice general hotel quiet . room temperature fine air - conditioning . bed comfortable except pillow skinny . coat hangar annoying hotel - type can not easily hang jacket short steamy bathroom get rid crease . hotel ? hangar really expensive ? - otherwise dry cleaner would not give away . the big shortfall room lack fridge - long stay future would lead look elsewhere . kettle , tea , coffee UHT milk , ( wire ) broadband internet room GBP 10 24 hour - reasonable rate use frequently business . double - charge one day - watch bill . connection fast enough streaming video . techie amongst - smtp email server address provide might outbound email use webmail . the tv old fashioned CRT type take lot desk space channel . radio room - way listen BBC except via computer one . the bathroom clean . shower in - bath type - consequently rather cramp inconvenient . contorl hard turn - wet require forceful use two hand . wash - cloth , towel thin . my key become disabled twice traipse back reception get restore . laundry return promptly day . however room clean usually forget supply new laundry bag form , mean raid cleaning cart visit front desk . cleaner discuss speak English . the buffet breakfast ok variety - bad , dilute orange juice ' ve taste long time barely drinkable . cut cost not know . free newspaper ( Daily Telegraph ) available breakfast . dining room rather soulless not try dinner lunch . inn real ale not eat either . meal available 10pm . on bright side , good dining option nearby - good Rooburoo - end side street adjoining Jury 's Inn . ( make repeated visit ) also several pub within 2 minute hotel , one immediately next door . sainsburys supermarket backstreet plenety shopping dining near Upper Street 5 minute walk east . 
 Jul 29 2008 	 oh dear 	 well put stay July 2008 . stay & quot ; overbooke & quot ; therefore make we stay elsewhere .. want stay London near king Cross could go theatre get really early next morning walk St Pancreas ( King 's Cross ) get onto Eurostar . whole reason pick hotel .. arrival , nice walk ( rather hot day ) , want check , take shower , grab food head theatre enjoy evening , european break . however lady look horrified handed reservation .. ask we sit seat would right we . manager come give excuse computer system , overbooke . we book week advance , little confused . maybe get around 4ish ( train delay London 2 hour ) simply decide could check someone else .. real pain , hot bother want get something eat . say would book we another hotel 10 minute away , upgrade we get breakfast ( would not able eat anyway check ) . manage get get give we free taxi City train station next morning , however leave £ 25 bill City hotel theatre . rather lot not budget . the hotel move we call Day 's Hotel , rather nice , however 20 minute king Cross . need get early etc . real nuisance honest , get Day 's Hotel say not know anything free taxi 's , need ring Jury 's Inn Hotel back ( ask new hotel telephone number ) , try get taxi . feel like strand part London never too . we would recommend hotel anyone . understand thing happen , however move us area plan stay cause pain , since short stay compact even . stay London long , mix would cost we substantial amount simply travel would want go . 
 Jul 19 2008 	 comfortable room expect price 	 stay 3 night midweek July teenage son London work experience . read review carefully , confirm book day request quiet room . check swift efficient give room back hotel , view , quiet London hotel . contact hotel directly make booking pay £ 129 night room , could not find well deal elsewhere hotel full . the room two bed , comfortable white linen duvet . room bathroom clean , freshly paint wall , plain tile bathroom . tea / coffee make tv limited number chanel . internet wi - fi available cost . airconditione work fine . room nothing fancy , good standard require . luxury hotel room service , housekeeping provide iron board iron soon request . we push time not feel like eat breakfast , buy food Sainsburys supermarket short walk away eat room . two evening eat locally Upper Street . first night Fine Burger Co , little place like cafe restaurant , good , homemade burger , fry salad , wholesome tasty - recommend . second night choose Italian Restaurant call Ask , serve good food large portion , perhaps memorable nothing fault . lot lot restaurant description try Islington , well branch & amp ; Sainsburys close . I choose hotel near king Cross , good public transport link City Canary Wharf . Angel Tube station two short block away . like hotel . meet requirement . clean , comfortable , staff pleasant , feel safe immediate surrounding , even Upper Street seem incredibly busy cosmopolitan come rural Scotland . good tube link City , Thames Embankment , West end . pleased choice . 
 Jul 18 2008 	 Great Value Convenient Tube Nice Neighborhood 	 teenage son daughter stay Sat - Fri ( Jun 28 - Jul 4 , 2008 ) . book last fall 75 pound / night . daughter use one full - size bed - son share . 3rd floor back quiet . hotel lot modern expect price . clean staff courteous - help make call front desk confirm airline flight . one walk King 's Cross / St . pancra station 15 minute walk 5 minute convenient Angel Tube Station . find numerous delis , bakery , grocery store two block north Chapel Market street . Islington High Street / Upper Street ( near Angel Tube station go north ) feel safe - folk enjoy neighborhood . value hotel , location Tube , 7 - day Oyster pass Tube , easily able get around London week . 
 Jul 16 2008 	 great stay 	 recently stay hotel two night . reception staff welcome , efficient helpful . bedroom room large , comfortable , clean quiet . excellent air conditioning . good breakfast supply . Close Saddlers Wells Theatre Angel tube station . pub attach hotel useful arrive late . really enjoy hotel . 
 Jul 13 2008 	 Noisey - not stay want sleep 	 location good perhaps get sleep . young people party corridor shouting . Nightporter ineffective resolving problem . 
 Jul 4 2008 	 Great Locatioin 	 Jury 's Inn Islington mile king Cross Train Station ( 12 min walk ) block half Angel Tube Station . pick hotel . either walk king Cross use Tube see London . convenient . hotel Pub good . hotel staff friendly , helpful professional . problem , aside figure work shower ( not turn far ) . anyway , block hotel Upper St. resturant pub locate . area threaten , even starbuck around corner ( however could interesting discussion black white coffee ( pour milk ) ) . hotel basic , nothing special closet . clean , functional great starting point day good ending point . bad thing room side street , think would ok , however busy 2 am ( traffic noise ) . however , tired walk 8 - 9 hour partially notice go back sleep . ear plug might solution , side . otherwise , hotel great . go London Scotland , back London day trip Paris . location important we . also Dominos Pizza block street ( one good meal London - not go food ) . 
 Jun 8 2008 	 good budget Hotel 	 stay 2 night , Fri Sat , bed breakfast . the room basic , clean comfortable . room 5th floor good view City . due incident late Friday night early Sat morning street run alongside Hotel , constantly wake sound police siren . Saturday night much quieter , sleep uninterrupted . Breakfast , whole good , buffet style help self . the staff helpful cheerful time . deputy Manager particular helpful find record booking , phone call two later we book . thank that . will definitely use want come London another show . 
 Jun 7 2008 	 good value location 	 stay 1 night daughter start business course follow day . last minute booking arrangement change , make hotel website pay £ 85 triple room feel pretty good value part London . not really know expect need worried , hotel modern / contemporary keep beautifully clean . book triple room mean get comfortable double bed daughter single - 's get perk payer . room quite spacious modern clean . 5th floor pretty good view across part London . my negative comment Inn Bar ( serve nice & amp ; reasonably price snack ) appear dingy comparison rest hotel - think sort concession foreign tourist perhaps expect sort thing ( e.g mock antique look ) .I must though praise reception staff really bent backwards help . arrive quite late evening bit concerned would able park car young lady deal we word someone office allow park staff car park rear overnight daughter stay another group follow day arrange could remain room occupy - First Class service thank much . 
 Jun 2 2008 	 good value London 	 daughter take trip London April go show , shop eat Fifteen ... want decent hotel accessible represent value money ... Jury 's Inns , Islington property exactly suppose . frill , friendly welcoming staff , clean well maintain room , decent breakfast ... 
 Jun 1 2008 	 price 	 stay hotel one night go Bruce Springsteen concert , do not spend alot time hotel . room large clean , bar reception area pleasent . however think £ 129 room breakfast little high , even London . recently stay hotel similar rating Strand , far well location , yet £ 10 cheap include brilliant breakfast . hotel book hotel web site 's special offer . we problem obtain discount parking rate await response hotel , wary go weekend . 
 may 30 2008 	 great place 	 staff jurys islington accommodate . travel agent tell we book we include continental breakfast , apparently case . Jury 's staff accomodate help we figure problem . room nice clean , spacious . also tea room . hotel couple block away tube work great we . staff accomodation wonderful . 
 May 26 2008 	 clean modern good service . 	 stay 24th May romantic break husband wary expect since many London hotel often poky room . however , pleasantly surpirse everything hotel . 10 minute walk Angel tube short cut take bustle Chapel Market Islington near shop bar . reception area bright modern staff check efficiently wait around . service polite friendly way room second . fourth floor room surprisingly large double single bed . en suite bathroom clean white criticism soap dispenser , shampoo , remember take . also tea coffee make facility hairdryer . 9 tv channel radio station bed crisp white sheet . breakfast usual hotel fare- full english breakfast buffet cereal / pastries/ fruit etc . impressed money pay like large room semi picturesque - ish view Northern London . pay £ 54 include breakfast consider value money . 
 May 22 2008 	 nothing exceptional overprice 	 stay overnight hotel fine nothing exceptional name mispelle could find reservation eventually ok hotel obviously operational problem food beverage manager check reception lot & quot ; graduate & quot ; hotel - new job description hotel single room small breakfast rich spectacular Pub next lobby look invite £ 135 B & amp ; b find overprice - london Broadband room £ 5 per hour £ 10 per daybut really impressed management response tripadvisor complaint - clearly Deputy GM listen respond - evident operational issue 
 May 17 2008 	 Staff let hotel 	 ' ve stay Jurys Inn several time , mainly due locality particular event . I ask hotel book cab we around 5 am need get Eurostar , tell , problem , do cab 5 . get morning , find cab book , go , delay , end get black cab , easy time morning , rush around nearly miss train . exactly have try avoid . wish have honest we have ask book cab night before . Staff let place down . other , standard chain hotel , clean room , good location . 
 may 16 2008 	 great hotel great staff great location ... 	 stay twice , love time . the location great , outside busy centre part city , short walk Angel tube station , short ride Leicester Square , Oxford Street , London Eye , Zoo , Aquarium , ... stay include Continental Breakfast , 4 us 2 we upgrade full English day 2,50 p / p could share egg , tomato , bacon , etc . breakfast lady always tell we could go back buffet get not full yet , even though 2,50 suppose 1 plate food . food taste good , always fresh fruit , plenty cereal , cheese , yoghurt , bread , etc . the room clean , cleaner excellent job keep room clean , change sheet every day ... remark apparently clean lady know fact hotel ask guest throw newspaper bin ... put paper next even put bin top paper simply leave there . be bit dissappointe lack little soap , shampoo , etc . we lucky enough get room face main street , pretty nice view . ' ve read comment people complain police / ambulance - siren , can not say really find siren disturbing . the entire hotel well maintain , clean , staff member friendly helpful . another big plus we get 11am room ready , even though & quot ; offically & quot ; room not ready 3pm.all great stay would definately stay . 
 May 7 2008 	 ok hotel 	 stay hotel know ok hotel would come . stay good , shower bit break ( could adjust height ) . could combine hot cold water washbasin either two single tap . main disappointment stay bathroom . think bathroom ment wheelchair user armrest beside tolilet low sink . book wheelchair friendly room , weird . the rest stay ( service , area , breakfast etc ) good . 
 Apr 23 2008 	 Great Location great deal ! 	 book lastminute.com - one ' top secret hotel ' 3 * islington - slip say bay call INN ! googled find Jurys InnWe get £ 100 night include full english breakfast evening meal ! two people ! breakfast £ 15 evening meal ( 2 course ) £ 45 - stay two night well . bargain think . room really big , although bed quite small big room ! nice clean bathroom spotless , great shower . there noise drunken people friday hotel fault do not last long . great location Angel tube £ 5 taxi Euston - 5 min walk king cross too . would definitely stay ! friendly staff , pub good watch football leave last day . 
 Mar 30 2008 	 clean comfortable convenient . 	 spend Easter partner teenage son , son impressed see member band read New Musical Express hang lobby ! easy travel London - bus tube station close . staff friendly helpful . the problem booking - may fault , book hotel website have not notice have not confirmation ....... rang day arrive discover record booking - reason have not go ( say , could easily fault ! ) . luckily fit we price would pay , would advise make sure get confirmation actually book ! ! 
 Mar 25 2008 	 comfortable good loaction 	 check - in friendly quick , room nothing write home , good standard . pleasant view London decent shower make slightly tired - look bathroom . for price pay , complaint . room spacious , bed comfortable aircon responsive quick warm room night sleep window open . 
 Mar 19 2008 	 eventually Pleasant stay 	 two room move , arrange good spirit , pleasant overnight stay remarkably quiet ( London ) hotel . great location Angel Northern Line Bus Services . room clean accepteble standard white towel ( thin ) . bed comfortable although can not say pillow thin lumpy . standard buffet style breakfast uninspire plenty . 
 Feb 26 2008 	 good value London 	 visit London midweek break . hotel basic clean . speedy check friendly staff . area safe night . eat hotel , however number restaurant Islington High Street 5 minute walk hotel . possible request room away front hotel Pentonville Road get noisy especially police car siren throughout night . angel tube station minute away hotel 15 minute walk king Cross / St Pancras station . well worth charge £ 75.00 per night would definately stay London . 
 Feb 24 2008 	 will - certainly nothing special ... 	 stay business attend award ceeremony central london - pick short straw colleague stay Cumberland . nothing awful hotel , bog standard hotel , frill whistle clean everything need . I less impressed breakfast though - book B & amp ; b rate gent entrance doorway insist would pay extra ... say ok know copy book confirmation would fight check need ... inthe ' restaurant ' feel much like canteen hotel - table bare even collect cutlery , napkin , sugar ... well everything . food fine , remind uni refectory ... 
 Feb 17 2008 	 London excellent 	 hotel get basic right get good night 's sleep . gripe bathroom bite smelly , although everything look clean . after shop around various website , find pretty reasonable rate . if not know London , good area good transport link . 
 Feb 15 2008 	 Great Hotel 	 stay hotel February trip family long tire trip cheer friendly staff greet we upon arrival . check efficient staff friendly explain dining option detail room . room good size , spotlessly clean plenty towel . we use bar hotel twice time service efficient friendly food good quality hearty meal . do not eat restaurant lot resturant near hotel good location Upper Street , however restaurant look modern busy ( normally god sign ! ! ! ! ) look forward stay qualiy hotel near future . 
 Feb 12 2008 	 Solid Value 	 - great location near Angel stop northern line- plenty excellent place eat drink near hotel- centrally locate , away heavy tourist areas- live hotel 8 - 9 weeks- reasonably clean- breakfast average- hilton islington lot $ $ $ - hilton euston worse- US would 3 star , need location , affordability decent room size 
 Feb 11 2008 		 stay night business . Jury 's Islington great location close Angel tube station , carpark good walk away hotel . reception bar restaurant downstairs clean modern , stepping lift 3rd floor like walk back 1970 's . old fashioned decor go ! room clean well furnish date bathroom akin old Travelodge . my room overlook carpark belong next door 's block flat , get good night 's sleep . colleague room overlook Pentonville Road awake twice night police car go past , siren scream . my television work - picture . point reception follow morning advise clean sometimes knock cable dust look try put back .... ! would stay business , £ 129 night exclude breakfast poor value actually get pay , would look stay somwhere else . 
 Feb 3 2008 	 Impressed 	 arrive around 2.30pm , check fine allocate room 307 , go onto 3rd floor nice clean smell hotel . as enter room bed dump bed , look around room bottle wine glass desk ... complimentry bottle wine empty bottle wine previous occupier , room even attend leave prev occupant leave . ( SEE PHOTO 'S ) rang reception tell we return reception , allocate room 303 floor . we get room electricity .. call reception advise put room card small white box near front door , do 5 min go .. way ask reception inform we leave card duration time there . I speak manager issue initial room ready , apology advise would investigate add complimentry breakfast stay room only . the wall thin , could hear whole convo room next door , even know shower ! woken room next door one seem little party go , knock door tell keep : - ) door heavy slammed hour ! ! breakfast ! ! ! awful ! give ticket entitle we one full english - every hotel ever stay usually much eat breakfast buffet . so put want plate ... more . and breakfast awaful , never see much grease fat . the full english breakfast bard consist : sausage : greasy , need bread bottom tray soak greasebacon : one big heap could see fat bacontomatoeseggs : , greasybeanshash BROWNS : overdone greasyscrambled EGG : look soggy mushy although help plate really could eat opt continental.there no - one assist breakfast try find way round . finally check could wait get ! sound like one big moan unfortunatly stay Jury 's Inn .. good point : free parking : - ) 
 Jan 28 2008 	 value hotel 	 Reception impressive , room Premier Inn style , functional , clean , average size bland . we room 426 view towards London Eye St Pauls , bit noise road nothing keep we awake . Angel tube around corner bus equally quick , take 38 73 take right centre London . at £ 75.00 night pretty good value , certainlly worth consider short stay Islington , ok place , short ride town . 
 Jan 21 2008 	 Great 	 Booked hotel go emirate stadium . book late , reception fine get room quickly . room basic , bed small double terrible quality bedding . nice soap , biscuit ! ! wall thin , decor 80 's . would stay , could get somewhere nice 85 night . 
 Jan 7 2008 	 good hotel 	 stay Jurys Inn Islington 27th Dec 1 night . hotel shut Christmas re - opened day . reception staff efficient friendly explained hotel shut room would little cold . problem simply put bag room explore London . hotel great location Angel Tube station travel around easy . return hotel later evening , meal Bar , ok , retire room indeed quite cool . problem we use room sleep 1 night . problem us room overlook busy main road noisy . stay would ask room face back hotel would probably bit quieter . leave one son leave bag behind , phone hotel get home post bag we within 3 day ! 
 Jan 2 2008 	 good value would stay 	 stay 2 night , would go back . room good size , clean nicely lay . not get fancy toiletry bathroom , not expect . view room ( front ) nice - park across road far London Eye . the restaurant bar quiet evening , 's lot choice close - by Islington High Street ( 5 minute walk ) along nice pub next door serve food . good transport link close - by - Angel tube station , king Cross road , well lot bus pass door . beakfast good - continental full English available - buffet style , lot eat . staff friendly helpful - check - in / out , general query . overall , fancy place ' ve stay , comfortable good value money . 
 Dec 6 2007 	 Good Hotel 	 Jurys Inn Islington good choice Anniversary / theatre weekend London . reception area expensive feel , staff always helpful . also get free carparke hotel car park . real plus London . Angel tube within 100 yard hotel main line rail station king Cross St Pancras Euston short walk . room date clean small . shower / bath hot powerful . side lack hot food evening . arrive 10 pm Friday tell restaurant closed bar sandwich . Saturday evening restaurant close due function booking . overall good value money would use hotel . 
 Nov 15 2007 	 lovely hotel 	 moment step hotel feel welcome . staff without exception lovely friendly . ' m easy customer , always find fault room service . hotel really good . exceptionally clean , spacious comfortable . single woman feel safe . problem first room look two single bed want double one . nothing much trouble people desk . quick show round another room smile ( fully book busy , never make feel bother ) . sound proof room ( ' m light sleeper ! ) breakfast let side little , ( overcooked hash brown soggy bacon ) great lot choice , disgusting like hotel - guess bit like service station food . job . wonderful water pressure ! great location . much well four star novotel road ( breakfast novotel really disgusting ! ! ! ) . ' m use luxury hotel . not luxury , comfy , would highly recommend . , sum : basic immaculate room , breakfast great , five star service smile ! lovely ! not afraid book hotel - problem , sure staff go way fix ! 
 Nov 9 2007 	 great hotel 	 one adult three kid , need good hotel location . hotel 5mins angel tube station . walk reception know 3 star ! room good size shower great . meal bar later suprise size portion kid well service . again breakfast disappoint . a good selection kid tasty ! ! stay quite hotel one good get . definately back . overall great hotel location . 
 Oct 30 2007 	 good Overnight stay 	 stay one night impress good location ( 100 metre Angel Underground ) cleanliness room . the hotel facility average room small . view room stay terrible ( brick wall - literally ) .The breakfast good opt full english breakfast poor opt continental option . all good hotel overnight stay ! 
 Oct 26 2007 	 average hotel good london 	 hotel clean well locate beside tube . fairly new room quite modern airy something struggle find london . probably back safe bet . 
 Oct 17 2007 	 great service difficult circumstance . 	 arrive Jurys Islington fire engine outside thought & quot ; oh , not look promising & quot ; . meet door member staff inform hotel suffer main water burst moment neither water electricity free cancel booking without charge . decide wait hour ( turn 2 hour ) could wait bar complimentary drink serve . tired feel little weather opt wait . guest make rather good use free drink ! staff try good keep people inform happy one two guest little disgruntled . couple hour seem well join long queue check . member staff previously greet door noticed line saying & quot ; ' ve wait rather long time & quot ; whisk desk check . exemplary service prove really ball . letter apology inconvenience push door hour later . the room Jurys reasonable size , one double single . everything work room spotlessly clean . entertain gurgle sink bathroom ( see video ) . advertise hotel Budget Accommodation would rate well general comfort . buffet dinner evening ok relatively cheap area . breakfast good selection staff work hard make sure food replenish table clear quickly . room front hotel fair bit road noise window open ok window close . , will ask room rear stay . check fast , friendly efficient . staff hotel make break whole experience . top mark everyone . overall would recommend Jurys use couple week . 
 Oct 15 2007 	 great hotel 	 good , clean hotel good price . book due proximity Sadlers Wells Theatre . everybody happy serve , clean cheerful . definitely stay visit London . 
 Oct 14 2007 	 average 	 average hotel . able get price £ 102 instead £ 155 advertise everywhere else . even low price feel price - hey London . hotel near office attend course save lot hassle . room smallish ok . Smelt little & quot ; tabby & quot ; ( tobacco cat ! ) suprise give somke public place ban UK . Bathroom functional shower door hang . continetal breakfast reasonable public area good staff polite helpful . 
 Oct 7 2007 	 Comfortable stay Jury 's Islington 	 stay one night Jury 's Inn Islington October 2007 attend conference nearby Business Design Centre . company travel agent arrange book behalf . I arrive 7 pm find room ready , quick check - in proceed second floor room end corridor . comfortable room , small & quot ; sofa & quot ; ( see photo ) well bed , table , tv , tea / coffee bathroom area . not quite compare Marriott hotel ' ve stay similar rate London , certainly nothing wrong room decor , size etc . bed not quite king size , 's problem single occupant . my one complaint stay noise create plumbing surround room . wake least two three time night hear pipe rattle , though fairness think always go fairly restless sleep case . not anywhere near level would cause complain hotel ask move room etc . breakfast serve restaurant area , find well present filling . 's self - service , full English give ticket desk exchange person behind desk cook breakfast part buffet . seat area spacious certainly feel rush leave , way sometimes Marriotts elsewhere . check - out uneventful . overall would recommend Jury 's Inns , would say satisfied experience stay . not quite 5 * deluxe hotel , be comfortable meet need quick stay away home - long stay be pay bill ! 
 Sep 8 2007 	 Brilliant hotel would stay 	 stay hotel two friend begin September one night . experience hotel totally positive- train London arrive 12.30pm , room yet ready check , hotel provide leave luggage facility code protect room . spend day London , arrive back hotel around 6.30pm check problem . room quite large consider double single bed bathroom clean . stay second floor , although bar situate close hotel , noise really problem occasional piece traffic , expect London . excellent night 's sleep shower facility bathroom excellent- powerful . eat restaurant evening exemplary , especially consider hotel suppose ' budget . ' waiter attentive helpful , ensure everything want . eat ' buffet ' dinner , mean choice starter , main course dessert around £ 15 eat . even though allow help , waiter friendly help we throughout- professional . hotel give we telephone number taxi company next morning , come promptly 9 am take we Covent Garden- £ 10 congestion charge not really much choice underground strike . hotel prime location , King 's Cross Station minute walk road . visit base around ticket audience tv show film Elstree , close proximity ( 5/10 minute walk ) King 's Cross Thameslink also particularly useful . entire hotel exceed expectation , even decor reception lifts- would never imagine budget accommodation . experience , would recommend hotel anyone intend stay . 
 Aug 31 2007 	 Fabulous Hotel ! 	 choose Jury 's Inn Islington weekend shopping party London recently . top bottom whole experience fantastic . greet courteous efficent staff check - in , hear London good time , give we corner room lovely view city . food bar restaurant high standard every part hotel spotlessly clean . time hotel really make attitude staff towards we . management cleaner , greet smile ' good Morning' . we definitely recommend hotel friend family . be experience traveller , hace stay type accomodation world Los Angeles Bangkok Sydney Beijing . hotel run . 
 Aug 21 2007 	 great room crap location 	 stay start tour . room seem quite luxurious hostel accommodation stay also much expensive . food drink buy downstair restaurant bar . soup delicious . although location close city , really dislike . street pack full noisy traffic pollution overwhelming . also quite hike bag nearest train station . 
 Jul 28 2007 	 comfortable bland hotel great location 	 5 minute taxi King 's Cross station , huge advantage Islington , rather sleazy King 's Cross district . the hotel modern , comfortable room - nothing particularly stylish unusual , absolutely nothing complain either . great view London . 's street market round corner , plus hundred bar / restaurant / cafe Upper Street around - also round corner . stay , hotel also smoke room available - another huge plus puritanical prohibitive time . price reasonable extremely expensive city - look special deal / seasonal offer etc . staff fine . not try food - not really need wealth place round , bar stay open late . 
 Jul 5 2007 	 great hotel shame bar staff ! 	 book 6 night break Jurys Inn , Islington superbreak , work cheaper go hotel itself . it also include breakfast . first impression hotel good , lobby bright welcoming . room quite good size , surprised children bed not make sofa bed hard figure out . we ask extra towel although 4 us room 2 mug provide . the bath fairly small , shower difficult turn difficult get right temperature . the wall room thin first night misfortune neighbour opera music loudly midnight . the bed uncomfortable , especially kid sofa bed matress 3 inch deep underneath wooden slat . the breakfast great , self service eat much like . time wait toast cutlery , not seem replenish quickly . the hotel minute walk Angel tube station 10 minute king Cross . lot good shop nearby , include Sainsburys , Marks Spencers , boot , Woolworths etc . also cinema nearby market . the main downside find bar staff infriendly , speak pidgeon English quite hard order . go would stay away bar . I would go hotel central everything . 
 may 26 2007 	 good value business traveller 	 stay Jury 's Inn part special rate negotiate organizor conference attend London Business Design Centre ( 128 GBP w/ English breakfast / night ) . hotel conveniently locate fairly close angel tube station within short plaseant walk Business Design Centre . incidentally , Islington nice area full restaurant shop , fairly close centre , Soho , etc . the room large quiet . english breakfast ok.all good value business traveller . 
 Apr 25 2007 	 excellent service 	 recently stay 4 night bed full breakfast book superbreak website ( extensive research trip advisor ) decide hotel site could get book . , husband daughter age 9 London marathon husband run husband would tourist thing want area daughter would feel comfortable safe . Islington thrive busy area lot shop , resturaunt cafe pub within minute hotel Angel tube station 5 min away although 2 4 day close due scheduled repair king cross 10 min walk link quite lot line . stay Jurys Inn know expect decor wise etc , everything clean , fresh good order . request non smoke quiet room grant without problem . first day request extra towel 3 we , arrive room within 10 min extra towel duration stay . Breakfast morning fresh warm . evening meal 3 night resturaunt . bar serve food also decide seem smoking area resutraunt , service way beyond 3 star hotel , polite attentive without over - bearing , nothing much trouble . would hesitate book hotel management commend wonderful service ...... 
 Mar 20 2007 	 good hotel pleasant stay 	 back vacation London . Stayed Jurys Inn Islington w / gf 4 night . basically , be 3 * hotel like . nothing special , decor bit worn , staff range super - attentive indifferent , water system bit ... phlegmatic ( hey , 's UK ! ) .but clean , double room spacious London standard , everything work advertised , location nice ( be close Angel , Zone1 Tube station , be easy connect city , Islington seem nice place look around well ) . got & quot ; half board & quot ; offer via Lastminute - mean English breakfast morning buffet dinner evening - 75 pound night think good deal . price , recommend would stay . 
 Mar 14 2007 	 great family 	 family stay March 2006 . book one old hotel near Victoria ( nightmare ) . feel lucky find family room available find Jury 's welcome change . angel tube station 2 block away , convenient . Daniel staff accomodate . 
 Mar 13 2007 	 nothing much wrong nothing much right 	 beyond attractive reception area ugly decor way room . mine perfectly serviceable notwithstanding thin bedding cheap , small , bath - towel . everything clean . in - room internet not work Mac , lobby area wifi fine . Breakfast tick many right box visually everything cheap tasteless ; white bread toast , tomatoe taste water , scramble egg taste nothing . however ..... room cheap central London breakfast - around half price Novotel Hilton equivalent . right expect Hilton quality room Novotel quality breakfast ? ! would probably say 3.5 star price / location combination . 
 Feb 27 2007 	 Good Family Accomodation 	 wife two young son stay 2 night February . book accomodation internet base good value family accomodation trip advisor review . expect average hotel pleasently surprise modern spacious lobby friendly reception staff greet we . request get quiet room back hotel . room fine money pay , clean , comfortable bed , although little bit cramp double camp bed boy . bathroom probably need minor refurbishment , shower squeaky could hear guest shower squeak aswell . Breakfast okay - mushroom brekkie would nice , staff friendly . finish pleasant stay check , lovely lady reception produce young son favourite power ranger think lose . would definitely recommend . 
 Jan 19 2007 	 good value spotty service 	 ' ve stay , proximity Business Design Centre , time stay conference another hotel , couple free day , think 's good value money nicely locate . be near ( 1 block ) Angel Tube make get around town easy , immediate neighborhood lot restaurant , bar , shop , etc . not want go far dinner busy day . hotel nice lobby , pleasant luxurious room ( not use bar ) . bath quite stark , large clean , nice big tub soak sore back . stay two night , unfortunately , room miss cleaning first night . return 5:00 pm room leave . since travel alone , not really much disrupt , make bed leave that . , seem big mistake part staff . book hotel.com rate $ 126 / night . think place great value cost London . Breakfast include , coffee room , lot breakfast option nearby , well Sainsbury 's ( supermarket ) stock night juice pastry ! 
 Jan 18 2007 	 good location 	 stay Jury 's Inn Islington , attend conference Business Design Center . hotel short walking distance center , therefore reason , hotel excellent . my room average size - London standard . cute decor nice room amenity . comfy bed ! hotel staff need brush English , though nice overall . hotel situate nice area . Islington offer great shopping , bar cafe 's . starbuck also around corner ... want ? 
 Jan 4 2007 	 great budget hotel great location 	 family return week long trip London , excellent stay Jury 's Inn Islington . location great ( 1 block Angel tube station ) hotel clean comfortable . think continental breakfast average -- fresh fruit , yoghurt , croissant , roll , etc . staff also cordial helpful . would definitely stay ! 
