great 	 Location ideal , right Old Town close great street restuarant , museum . hotel old well keep . suite small view brick wall , get bargain deal . would come , much character modern hotel near McGill . 
 Dec 2 2007 	 Drag Young Family ! 	 decide stay Springhill location Old Montreal good review find . stay part family vacation Quebec include night Mont Tremblant ( great place visit summer winter ! ) .Well location certainly first rate , good news end . hotel mere step main walking area Rue St - Paul 4 block Place Jacques - Cartier . we arrive mid - week afternoon long drive look forward warm reception quick rest dinner . we arrive not - too - busy reception desk two host ' cool ' say least . check , ask parking ( include & quot ; car eat free & quot ; package ) . parking handle 3rd party parking operator next door advise go & quot ; bury & quot ; Honda stay 3 night , please not ask take short notice - didn't . no bellhop hotel guess , take bag cart ferry bag room 3rd floor . notice later other bring in / out bag too . arrive room another disappointment . would call room & quot ; bunker & quot ; , nothing close & quot ; suite & quot ; hotel chain . tiny inside room , window small gravel courtyard room . king bed take floorspace , sofa bed kid . prepare sleep , open sofa bed find stain bare mattress , quite thin . 2 call get sheet bed ultimately ask replace mattress 2nd 3rd night . to sum bathroom , functional . include breakfast self - serve combat zone . many people table we spill conference room find spot eat cereal cold bagel . can not see anyone could enjoy breakfast . have two kid 5 8 , check pool . keep theme , pool almost small home hot tub . the place skimp towel , room pool . we glad see car head home . needless say can not recommend hotel be plan stay another Springhill Suites anytime soon . 
 Oct 29 2007 	 enjoy stay ... 	 large , clean , comfortable room kitchen area desk apart sleep area . include breakfast good . expect continental breakfast , much . staff pleasant . would great hotel nice . the negative thing say -- not want sound picky -- stay two day look like housekeeping came make bed not anything else . floor vacuum carpeting dark show lint , dirty glass replace . 
 Oct 27 2007 	 enjoy stay 	 husband stay comfortable hotel two night early October 2007 boarding ship Maasdam Canada New England cruise . cab fare pier $ 7.00 ; be within walking distance , one would not want walk luggage . it locate close pier , Notre Dame Basillica ( must see ) , many shop , art gallery restaurant . subway also nearby , LOT stair , go , get . senior couple difficulty . cost one way fare $ 2.75 ; take train Botanical garden take cab back ; cost cabwa $ 16.00 ; garden locate right beside Biodome . enjoy garden probably well see spring summer early fall . the fare airport cab $ 35.00 ; encounter rude cabbie unpleasant part stay . the staff hotel cheerful , helpful pleasant . complimentary breakfast buffet include cold hot cereal , juice , bread , muffin , waffle , nice cheese asparagus egg dish , make waffle , fruit yogurt ; something everyone . there many restaurant close ; one dinner Modavie early bird special $ 16.00.we find hotel & quot ; homey & quot ; convenient . air conditioning noisy yet find one not . other point , view . we not use pool hotel facility ; iron board iron room hair dryer . also complimentary daily paper . would recommend hotel . 
 Oct 11 2007 	 Incredible Location 	 Spring Hill Suites locate heart Old Montreal block waterfront , Notre Dame Bascilica Jacques Cartier Place ton restaurant shop . suite overlook small alley front hotel . room large clean . hotel lot business guest , perfect we tourist lot map activity brochure . front staff helpful suggestion eat knowledgeable city activity double - decker tour bus . breakfast buffet fantastic huge array food range cold cereal , egg bacon , make belgian waffle station . something everyone ' taste bud . dinner , try Galiano 's italian Restaurant within walking distance . 
 Oct 7 2007 	 Glad choose Springhill 	 Booked hotel us & amp ; friend read review Trip Advisor . use Marriot.com direct . reduce rate Seniors . could choose well , room excellent , location brilliant . the staircase lobby could re - carpeting , lift / elevator good , problem . reception staff multi - lingual extremely helpful . excellent meal bottom street , Umberto 's restaurant . , could choose well , thanksto Trip Advisor . 
 Oct 4 2007 	 Great Location 	 husband stay 3 night begin September 2007 . great place stay Old Montreal . ' right middle sight , time problem noise heavy traffic right outside hotel . little hard find hotel ( ' gps – Mapquest direction ) . parking much hassle – ' garage attach hotel parking pay hotel bill . suite great – clean spacious ( great view city , ' bother we much ) . front desk staff friendly upgrade we free upon arrival . worry safety hotel – inside out . the breakfast good – usual complimentary fare . would nice big dining area breakfast hotel get busy weekend , provide tray " go " plate , take breakfast room . try hotel restaurant ton great place try within minute hotel . simply put , problem stay would highly recommend place anyone want enjoy Old Montreal . 
 Sep 25 2007 	 je ne sais quoi 	 Springhill Montreal situate right Old Montreal . literally walk distance Old Montreal site . really enjoy restaurant Charles Dickens write & quot ; Tale Two Cities & quot ; , walk distance hotel . suite super clean , spacious breakfast come REALLY handy . one morning , vacation time , head breakfast around 9:50 , breakfast technically weekday 9 am . surprise , everything still , people eat get jump late . plus , take train Toronto Monday , get make peanut butter jelly sandwich journey . work well . staff helpful answer tourist question map hand cab wait check . oh yeah , free internet business center bonus also . to make long story short . great location . room great . even mom , self - admittedly one pickiest people would ever meet , love place . mean LOT ! montreal lot fun . definitely back ! 
 Sep 10 2007 	 Good Location ! ! ! ! ! ! ! 	 stay two bed sleeper sofa room Sep 2st 2007.the hotel locate old montreal small alley . checkin day time easy canfind hotel . road sign name write road french . the name board road smallar normal size . check around 11.00 pm.since navigation system really easy get hotel . dark withoutnavigation system believe little bit difficult . room good clean . the hotel good location . main attraction like Notre - Dame Basilica , old portand St. Paul Street ( Famous Cobblerstone street ) walkable distance . the breakfast good . 
 Sep 6 2007 	 great location modern clean hotel 	 stay day late August , everything smooth , early check - in ( arrive around 12:30 pm ) quiet room , Hotel locate side street one block popular St Paul 's street short block Jacques Cartier Place old Montreal . safe area . plenty hotel cafe near . item good hotel , Staff helpful ask direction etc . Hotel get we taxis numerous occasion hour ( also take day trip via rail Quebec City ) ease . 15 minute walk downtown . small pool , fine quick dip . clean spacious , quiet comfortable room . breakfast fine well . would stay problem , go back Montreal . 
 Sep 4 2007 	 Excellent Location 	 could not wish well location Vieux Montreal 2 night stay 15th 16th August . close Rue St. Paul waterfront , also Place D'Armes metro ( easy use ) 5 - 10 minute walk away . check check straight forward efficient . underground parking 2 day cost we around £ 20 ( include taxis ) - unreasonable give location . room spacious 4 we accompany child , aged 12 9 , 2 queen bed , 2 tv , sit area , small kitchenette include fridge , microwave sink . ( slight ) negative would air conditioning unit bite loud side prevent sleep . buffet breakfast serve mezzanine level good . comment pool never use ( much see Montreal ) . 
 Aug 26 2007 	 Springhill Marriott - Great Place ! 	 spend day August . location excellent , step restaurant , waterfront shop . hotel great , staff friendly , helpful . breakfast buffet fresh excellent , array food fresh fruit sausage egg . pool spa good enough relax long day walk . room large micro fridge . great stay ! 
 Aug 18 2007 	 Better Marriott Hotels 	 terrific hotel . great location . large room 2 tv 's . mini fridge microwave room great family . well ... comfortable bed , crisp , clean linen , fluffy pillow . Nicer many Marriot hotel ' ve stay . 
 Aug 14 2007 	 wonderful location ! 	 travel two college age child ( male female ) difficult find accomodation without book 2 room . spend extra booked deluxe suite king size bed . 2 size book large . pleased since walk area wet bar , microwave , counter , along small table 2 chair . roll - away bed fit . divid small living area sofa bed chair . leave small hall bedroom . spend 3 night never feel like top . hotel literally yard street restaurant shop . room two computer access internet , great breakfast , free lollipop front desk . helpful recommendation arrange cab service airport . concerned read post woman man door , never concern safety . Metro 10 minute walk , right next chinatown . 
 Jul 25 2007 	 Awesome around ! 	 stay girl 's weekend friend 's birthday . great deal money . hotel pretty , excellent location right old Montreal , great customer service super clean date . fantastic time can not beat location . parking garage park car right never pick til leave Montreal . think would great hotel family young child couple girl 's boy 's weekend well ! stay hotel Old Montreal getaway husband quite lovely , also price reflect . , can not beat place want convenience amenity budget . highly recommend ! 
 Jul 23 2007 	 Convenient Hotel 	 hotel around corner narrow street Old Montreal . walk 2 block south , Pier Old Montreal . Montreal Science Center locate . hotel well keep clean . room clean . double bed bit soft comfortable bed previous Marriott hotel stay . two double bed room sleep 4 6 individual . sofa bed room sleep two young kid . microwave , coffeemaker small bar bridge handy . the morning breakfast include hotel convenient . get crowded time . early morning sitting less crowded . breakfast available 6 10 . seem always busy 9 . hot item include sausage patty , hash brown potato , scarmble egg waffle . plenty cereal , muffin , pastry , yogurt , bagel , bread fresh fruit . provide take container pastire drink . the swimming pool tiny . crowd 6 kid pool . the staff courteous check check handle efficiently . the restaurant attach hotel quaint price bite steep . around corner hotel Keg restaurant . many sidewalk cafe within one two block hotel . there Subway McDonalds also one block away hotel . everything within walkable distance . two subway station within 5 minute walk hotel . chinatown also 5 minute away . dinner chinese restaurant Chinatown call Ruby Rouge . food good pricing reasonable ( $ 75 set dinner 6 ) .Do visit Biodome , Olympic Stadium , Botanical Gardens Biosphere . avoid Montreal Science center . Montreal lovely city visit . street clean . traffic driver courteous . staff store , restaurant attraction polite friendly . the fare airport $ 40 downtown hotel . 
 Jul 18 2007 	 fabulous weather hotel vieux montreal 	 Mid - April usually time year good weather Montreal , treat summerlike condition weekend . excellent weather fine accomodation hotel , enjoy trip immensely . hotel centrally locate room occupy perfect family four . stay weekend , seem many family enjoy terrific hot breakfast morning rate could not beat value . able walk place want go . cab Metro easily accessible . room face Ste . Jean - Baptiste pass horse draw caleche clip - clop music ear . staff excellent parking easy secure . stay next trip Montreal recommend ! 
 Jul 13 2007 	 Old Montreal 's Best Deal 	 hotel find . great location , four block Notre Dame de Montreal two form harbor quiet side street . view nonexistent price , be get . room nice , although aware many suite essentially half wall instead separate room . however , sofa bed comfortable area tv . addition , internet access also free fast . finally , include breakfast would expect price certainly welcome . would stay every time go Montreal . 
 Jul 4 2007 	 miserable check 	 confirm travelocity reservation front desk clerk refuse honor . tell we reservation invalid . confirmation number travelocity Marriott , reservation prepay . argue clerk hour finally call travelocity call hotel get clerk honor prepay reservation . never experience rudeness never go . 
 Jun 29 2007 	 Condescening non - caring American - Unfriendly Staff 	 hotel nice . montreal business accommodation perfect . nice mini - kitchen , desk work , complimentary internet access include en suite . bed comfortable room spacious . room clean bathroom large separate shower tub . problem staff . problem great everything good hotel not matter time leave . I arrive hotel Thursday check Monday . arrive present credit card incidental . later learn front desk charge entire room stay card . whenever company send town business , pre - pays hotel room whatever travel agent / travel site go . well , problem Orbitz provide credit card , room , fact , pay . travel manager immediately start work solve problem third - party authorization . try get hotel desk handle third - party authorization nightmare . take almost till end stay correct problem . , however , turn least worry ! Sunday morning prepare leave room go convention center , someone knock door . puzzled & quot ; Disturb & quot ; sign door . bathroom apply makeup go door see . strange man door . hotel employee -- wear street clothe -- uniform . ask want . mumble something French tell wrong room . say something else ask look get another answer French . tell make mistake . switch English tell open door . let know 's wrong room . walk away door , think nothing go back apply makeup . about minute later , be loud , insistent knock door . man go away . begin beat door fist , tell open door tired joke not funny . stunned , yell door wrong room , not go away immediately , call security ( point ' m already head phone ) . dial front desk , man start jiggling door handle , beat even hard fist , yell open door . ' m woman , ' m travel alone , ' m easily frightened , bit afraid . 's good part : reach front desk tell send security immediately strange man pound door try get . front desk 's response : & quot ; be probably housekeep . & quot ; ? ? ? ? tell utter shock response ! calmly possible tell front desk clerk housekeeping , & quot ; Disturb & quot ; sign door housekeeping wear uniform bang door fist . idiot front desk keep insist housekeeping , ask know person door . finally clerk , able hear would - be intruder background , say be send someone up . well course culprit go time someone arrive -- guess send ? security -- member housekeeping ! ask man housekeeping see anyone fit description man beat door . could barely speak English say not see anyone . ask please stick around 3 minute walk , leave convention center . promptly turn around leave ! nervously check hallway , depart room promptly go front desk ask manager . course early manager . front desk clerk want know could help . check anger let know happy way thing handle . call serious concern get brush ' m stupid tell difference hotel employee possible assailant . guess front desk clerk say ? & quot ; member housekeeping & quot ; . ask member housekeep prone beat guest ' door fist shout . , clerk tell housekeeping , say member housekeeping go room . tell , ' know , send room call complain strange man try gain access room & quot ; . front desk look like idiot thorn side . since manager , leave take care business convention center . when return later day , ask manager . , manager . different clerk ask could help . explain situation . Guess say ? & quot ; probably housekeep . & quot ; feel like twisted Twilight Zone episode . ask housekeep prone violence -- pound door fist , shake door handle , shout . moment think guy finally get , apologize . ruin saying , & quot ; thing like not happen , Madame , assure isolate incident . & quot ; well , heck , take one isolated incident wind rape murder ! upon checkout third clerk ask stay , tell . also let know fill comment card ( add three additional sheet paper ) detail thought hotel 's staff . tell not expect anyone act since one seem give darn anything anyway , make feel well write it . when get back States , travel manager hear horror story call hotel read riot act . get call general manager hotel quite gracious . apologize staff 's callous behavior , say & quot ; overreacted & quot ; concern worry whether legitimate later , word well safe sorry . ask specific time ( ) call complaint make could identify employee not treat seriously reprimand . ask general manager procedure incident , ask security staff . much surprise -- security staff ! ! ! ! general manager say use housekeeping security issue ! general manager everything could smooth thing ( take description man go check security camera ) , entire thing fiasco . security staff protect guest ? ? ? ? ? truly believe lot attitude ( condescend , snobbish ) receive hotel staff American . find throughout entire stay city part , Americans attend convention treat quite shabbily . another american business associate treat rudely convention center . taxi driver drive around circle & quot ; try find & quot ; restaurant give address -- street name sign French , probably figure not notice . will never return Montreal , be sure , company go open business reason . welcome place . 
 Jun 20 2007 	 Great Location Nice clean 	 great location Old Montreal , stone throw Notre Dame Cathedral . excellent restaurant abound nearby . pool indeed tiny , one really go montreal swim hotel pool anyway . locate behind building make tough see main street . clean room public area . tasty comprehensive breakfast . room size large , big enough . sure be call suite since look like normal hotel room . 
 Jun 10 2007 	 Great Hotel Great Location 	 stay 1 night hotel wonderful service moment get . Tina reception desk great find we another room one book on - line 2 adult 2 child ( 16 yrs ) single sofa - bed . , without trouble give room 2 double bed , living room , wet bar terrace ( balcony ) . fantastic . continental breakfast much great way start day . get back husband realize forget pair shoe . call hotel leave message housekeeping know someone would call back however Janet yes shoe return promptly . 2 hrs away often go Montreal stay many hotel definitely back Springhill Marriott . location great service excellent ! ! ! felicitation ! 
 May 30 2007 	 can not beat Location 	 stay hotel two night prior cruise leave Montreal . fantastic location ! hate repeat say , be hard go number restaurant site see within easy walk distance . in addition Old Montreal , waterfront easy walk . riverside park lovely lot activity include science center imax theater . lot whole family . Metro close walk everywhere include downtown . take 20 minute , easy walk . near metro stop less 10 minute away . the staff great . friendly helpful . not run anyone not speak english . restaurant Old Montreal area bi - lingual menu , downtown french one , ask bi - lingual one will get smile . actually walk hotel cruise ship ( MS Maasdam ) , close . would not negotiate stairs cruise terminal wheel suitcase really not help . take cab be cruise , take proper level terminal probably cost $ 8 cad . 
 May 29 2007 	 absolutely good ! 	 time frame last two folk . fantastic hotel . say thing , will repeat ... staff incredible ... friendly helpful ! computer second floor free internet . ( we without laptop . ) room great .... large room , comfortable bed , mini - fridge , office area , decent - size bathroom , big towel ! breakfast would ever expect delicious ! location - everything right ! close . really , consider price hotel area , one reasonable . 
 May 24 2007 	 A - one locationbetter average hotel 	 weekend previous poster , type room also . the location hotel beat ... middle Old Montreal good place . short walk numerous restaurant ( hundred ? ) , pub ( brewpub around corner ) cafe cobblestone street ... lot street busker ... short walk waterfront watch ship ( cruise ship ) come . lot people watch also . breakfast include three day stay ... much & quot ; continental & quot ; breakfast list . agree food terrific . staff helpful ... speak English French ... small quibble find room & quot ; stuffy & quot ; even overhead fan on . good restaurant try ... Les 3 Brasseurs , Chez Suzette , well last & quot ; Gibbys & quot ; softball size filet mignon . staff utmost make dinner memorable . we can not wait go back . 
 May 21 2007 	 great hotel romantic getaway 	 great place plan romantic getaway . seem plenty kid hotel seem suitable family too . the staff friendly helpful front desk garage ( valet parking ) . breakfast far well many ' recent memory . companion waffle cheddar spinach omelet . plenty fresh juice , fruit usual assortment breakfast fare . room large marvelous comfortable king - sized bed . fridge , microwave , hair dryer iron ironing board . room back hotel city noise intrude . the location Old Montreal many fine walk yet still close downtown . highly recommend . 
 May 15 2007 	 wonderful hotel 	 hotel - wonderful location Vieux Montreal , underground parking good walk interesting place , restaurant etc . room large well lay workplace , desk , chair good light , separate sleep area . 2 tv set , 1 bedroom 1 living room area , remote control , nice touch ! internet room available extra charge , RJ45 cable deskdrawer wireless . include full breakfast excellent waffle maker , one hot egg dish many cold item ; constantly refill attentive staff . front desk helpful newcomer ; map information gladly share . earn Marriott point ! ! 
 Apr 16 2007 	 nice stay 	 enjoy two night SpringHill Suites . hotel conviently locate see Old Montreal , little difficult find dark , rainy evening . reception staff nice helpful checking question . include breakfast quite good hot food , pastry , self - cook waffle , etc . room 2 tv ( great kid ) , generous sized bathroom , two double bed . living area sofa , recliner , desk , microwave mini - fridge . everything clean comfortable . negative odd smell hallway burn paper -- like next incinerator . smell evident room . swim pool quite small , guest use . 
 Feb 24 2007 	 great stay Old Montreal 	 stay Feb 16 - 19 3 child . suite roomy - 2 double bed pull sofa 2 tv 's . hotel within walk distance area attraction well many restaurant . breakfast great - different egg dish day , waffle , muffin , fruit cereal . fill morning ! front desk staff helpful suggest area attraction suitable child . hotel alo short walk metroOur one complaint size pool - small ! 6 kid one afternoon crowd . big pool would great since 's reason travel Canada , not big dealWe would go visit Old Montreal 
 Jan 9 2007 	 quite Marriott bad either 	 4 friend stay Springhill Suites Old Montreal first weekend January . weather not great , not blister cold weather Montreal accustomed month . check 2:00 give room first floor . room large , feel cramp . pull - out bed , two fairly large twin bed , two tv , sink , microwave , refrigerator ; amenity normal business traveler college student would prefer . ask roll - away bed get several minute later time seem great , however maneuver actual bed fit confine room quite challenge ; almost like tetris game go wrong . we stay 3 night stay not bad , not expectation usual Marriott stay . free buffet breakfast , breakfast way early catch not appetize enough want get . room view ; office building adjacent we , peer eye Montreal executive able look room . hotel literally tuck away european - style alleyway 's charm class , would ' ve trade away much private , yet sprawl suite . the location great ; end St. Laurent , 3 - 4 block away Place D'Armes metro stop , right middle Old Montreal water . 's need drive around city , walk St. Laurent bar nightly ride Metro place St. Catherine McGill . 
 Dec 17 2006 	 wonderful stay 	 spend two night marriott spring hill suiteswonderful little hotel impress booked property next mt tremblant great two anyway back montreal great location good room hepful friendly staff would problem recommend friendyour heart old montreal close notre dame small side street take bit find well worth 
 Nov 5 2006 	 would stay ! 	 husband spend 2 night hotel end October . be Hong Kong be use stay super 5 star hotel super duper service fit king . I think Springhill Suites Old Montreal great price pay , conveniently locate right next Notre Dame . 's also locate near lot top rank restaurant . room clean , & quot ; living room & quot ; area little small small kitchen w/ microwave refridgerator . bathroom good size . the service average ( know compare north american hotel service be use Asia ) . check - in staff friendly hotel staff nice . complaint carry bag ( 1 huge suitcase 3 small bag ) room . give we luggage cart can not figure bellboy ( another guest mention saw bellboy hotel ? ) .I would definitely stay . 
 Nov 1 2006 	 have hope 	 stay ton Marriott 's ( ' m gold elite member ) . experience not good . pool tiny scruffy , property so - so maintained . lot little thing go wrong , lot little price surprise check - in ... nothing totally upset , leave cumulative impression property not well - run . small suite really hotel room . large one not exactly large , either . Front desk refuse upgrade ( gold member , ' m usually upgrade ) ... want charge $ 30 / night upgrade . Seemed petty . everyone be friendly , though . restaurant ( afford ) unbelievably cool ( be hundred year old ) . parking garage well run , get car quickly . I bail mid - stay go Courtyard , much nice , well run maintain . see review . 
 Oct 30 2006 	 Springhill Suites Old Montreal could not well 	 hotel / motel wonderfully locate half block main street ( rue Saint - Paul ) Old Montreal . two block Notre - Dame Basilica . drive look like alley , street , little apprehensive seemingly small , simple dark brick entrance . inside , doubt disappear . host reception area friendly ; bellboy would even accept tip . ask quiet room receive one sixth floor . price many motel room , nice suite cozy two - seater couch , desk chair , mini - bar sink . bed , pillow , coverlet , oh , comfortable . use restaurant connect hotel , walk great restaurant recommend staff . pleased drive anywhere . since day half , sightseeing foot Old Montreal Greyline ( shuttle starting point pick hotel guest site ) throughout city . go tell friend stay Springhill Suites good experience . 
 Oct 25 2006 	 Perfect Place stay 	 one precious day see Montreal , tack cruise . could make well choice . perfectly locate Old Montreal close ship , not waste travel time . great restaurant , shop , museum , attraction within easy walk distance - far Metro . room clean quiet . would accomodate family couple easily . free internet room available guest ! breakfast lack , local option interesting anyway . Staff speak English extremely helpful . expensive , especially book ahead . 
 Oct 24 2006 	 hurry Hotel ! 	 heartily agree reviewer excellent hotel respect ! location fantastic -- mere four block walk metro downtown , block Place Jacques Cartier numerous restaurant ( include indian , Mexican Quebecois ) nearby wella money exchange necessity . hotel isextremely quiet hidden untrammeled street ; staff extremely helpful , like Montrealers , offend hopelessly inadequate French ! one particular woman even offer look movie time office internet connection . price reasonable quality location relative hotel check , although get government employee rate Marriott website . breakfast well many provide hotelsand coffee strong , like , well accompaniedby free newspaper , french English . highly recommend hotel ! downside theking suite bit small bed area , large bathroom area make minor quibble ... 
 Oct 10 2006 	 Perfect ! ! 	 fantastic choice hotel Montreal ! ! location beat , right old Montreal , Notre Dame Place Jacques Cartier . staff friendly attentive approach . room could fault . huge , clean , separate lounge , bathroom bedroom comfortable bed good shower pressure . small kitchenette microwave add bonus . breakfast , include price , adequate , although would avoid hot item . word caution be smoker Marriots go smoke free . need balcony room wish smoke . still , great overall choice , stay old Montreal much appeal downtown ( 10 min walk away ) . attend conference Place de Armes , five minute walk , less , get . also large supermarket near , handy drink , snack etc . could recommend highly enough ! ! go ! ! ! 
 Sep 11 2006 	 hotel real winner 	 's difficult find fault SpringHill Suites Hotel . begin , location excellent - right heart Vieux Montreal , close old port area , Notre Dame Basilica , myriad cafe restaurant , quaint shop , short ten minute walk Place d - Armes metro station . we find hotel comfortable , relaxing , clean . staff friendly helpful , always greet we pleasant & quot ; bonjour . & quot ; compare hotel venue , room quite large great deal space , couple oversized bathroom actually move around feel cramp . mini kitchen facility room include compact refrigerator huge bonus allow keep cold beverage handy get thirsty middle night relaxing room . ice machine locate hallway along soft drink vend machine . our room clean , comfortable , important , quiet . electronic component ( i.e. , tv , air conditioning , etc . ) function properly shower good pressure . housekeeping always complete timely manner newspaper deliver door morning . the expand continental breakfast include rate excellent ( although orange juice water ) . buffett consist usual variety cereal , juice , fruit , scramble egg , well waffle iron grill waffle . impressed addition usual fare regular decaf coffee , buffett also serve several specialty blend French Roast , etc . moreover , styrofoam container along plastic eating utensil provide take item & quot ; go & quot ; be hurry choose eat light breakfast room . summary , impress SpringHill Suites Hotel . add money save ( garner great rate ) compare rate surround & quot ; boutique & quot ; hotel area real winner . unless be interested determined stay hotel fantastic view , one radiate old world charm character ( course pay high rate go along amenity ) , highly recommend stay SpringHill Suites . 
 Sep 7 2006 	 great stay SpringHill Suites ! 	 read many wonderful review Trip Advisor , ' wait stay SpringHill Suites . happy say disappointed ! property locate Old Montreal , side street right middle everything : Notre Dame Basilica couple block road , Metro short walk ( Place ' Armes stop 10 minute away ) , Old Port nearby , well ton restaurant cute sidewalk cafe , souvenir shopping . valet parking hotel ( $ 18 CAD / night ) find convenient use , price well worth . ' rave enough location . people tell might well stay downtown , certainly enjoy sightseeing area city , Old Montreal much well suited taste . cobblestone street horse draw carriage , lot little street square explore , complete street performer , beautiful old building , easy get around . little romantic vacation husband , area terrific . hotel nice . stay SpringHill location , find one bit upscale . small exercise room , small indoor pool , small hot tub . spa restaurant adjacent , although ' use either . check menu restaurant / room service , think little pricy ( trying keep cost middle road type restaurant ) . complimentary breakfast buffet feature scramble hard - boil egg , sausage , tater tot , make - your - own waffle , yogurt , assorted fruit muffin / pastry . food terrific , certainly adequate . studio king suite , include small kitchen area mini - fridge , microwave , coffee maker . desk phone lamp , couch armchair tv dresser . half wall separate live area sleep area king bed small closet . bathroom large , sink / mirror outside bathroom , always like . room hairdryer . safe room , safety deposit box available front desk . room keep clean . reviewer mention , hotel side street , ' expect view . ' spend enough time room matter we all . the service hotel good . check friendly lady , time enter lobby greet " Bonjour ! " whoever work time . also provide we nice map , excellent pre - typed direction area attraction . housekeeping staff always say hello , breakfast staff keep table clear food stock . valet helpful , always get car right we . negative thing say entire experience hotel one front desk clerk treat rudely . see rude other well , maybe bad day . honestly , kindness helpfulness rest staff make forget it . overall , stay far exceed expectation would certainly recommend hotel anyone look great stay Old Montreal . montreal city spectacular , ' wait go back . 
 Sep 6 2006 	 great ! 	 great hotel . location unbeatable . room comfortable . stay standard king room sofa - bed 4 year old crib 1.5 year old great ( even though website say could fit 3 people ) .Breakfast one good North America . and mention location ? restaurant hotel absolutely amazing - , one good dinner meal North America . the pool small care - kid ball ! 
 Sep 5 2006 	 great hotel location ! 	 friend stay last weekend August . nice . room nice sit area kitchette . really like laundry hall ( long roadtrip ) . breakfast well continental breakfast include package . the good location -- half block lot restaurant shop Vieux Montreal . I would recommend hotel anyone ! 
 Sep 4 2006 	 fantastic location 	 husband , son stay three night late August . hotel right Old City , also within short walking distance Metro . quiet , clean terrific breakfast buffet - hot cold . definitely stay next time come Montreal . 
 Aug 16 2006 	 Location location location ! ! ! 	 travel husband young chlidren . location wonderful - right heart Old Montreal , walk sitance Old Montreal attraction . the room ( king + sofa bed ) nice . however - keep mind sofa bed small , fit two old child ( 8 5 year old could bearly fit ... ) . AC noisy , roon comfortable king bed extremely cozy . if be look olympic size pool - place . pool tiny , spa bearly fit two adult . breakfast wonderful ! ! ! bit coursy second morning , open extra conference room , fine . service great , room clean , parking is\very convenient ( 27 canadian dollar per day , include tax ) .We great time , stay future sure , highly recommend SpringHill Montreal . enjoy stay ! 
 Aug 15 2006 	 Hidden Gem 	 great hotel excellent , quiet location explore fun beauty Old Montreal . overall hotel gem price . service excellent ! ask one room balcony ( want sit outside morning coffee evening drink ) , even much view . morning breakfast menu could improve change thing daily , tasty food heading explore wonderful city . definitely recommend place ! 
 Aug 8 2006 	 terrific Advice receive Trip Advisor 	 return three week trip include five night Montreal Spring Hills Marriot . every bit good many site say . terribly expensive , fabulous location , extremely helpful front desk , clean large suite room equally confortable bed use duvet blanket . thank goodness many hotel go direction . definitely would return recommend everyone ! 
 Aug 7 2006 	 great place 	 spend 2 nite Montreal early August . hotel great spot people explore Old Montreal . walk distance everything . staff friendly , knowledgable polite . give great recommendation dinner ! & quot ; negative & quot ; .. hotel side street not go expect view . also use old air conditioning unit . normally would big deal happen time Montreal middle heat wave . air con noisy , work , can not complain much . 
 Aug 1 2006 	 ' ; beat location ! would return next time ... 	 stay 5 night please hotel . beat location - right Old Montreal block port area . room attractive , clean , large kingsize suite , alas , door bedroom area would preferred give teenager living room area ( one pullout loveseat , cot $ 15 night ) . breakfast so - so , ... free ! morning waffle coffee ( power egg mystery meat sausage ) . would skip pool tiny small interior room . can not imagine anyone seek pool location action step front door . pay $ 195 CA per night suite consider well worth give great location . will stay . 
 Jul 27 2006 	 love ! 	 stay two night late July , please everything , helpful cheerful desk staff upon arrival size , cleanliness , amenity room . stay deluxe studio suite king bed balcony . suite give illusion two room , divide wall bed - closet - tv area sofa - kitchenette - tv area . bathroom quite large , sparkle clean . kitchenette sink , microwave , fridge , desk , living area sofa open patio two chair table joint use next room . first day leave day , disappointed return 4:00 see accidentally leave & quot ; Disturb & quot ; sign door , room clean . minute remove sign , cleaning staff appear clean room ! ! location perfect explore old town . breakfast typical & quot ; hot breakfast & quot ; many hotel offer -- & quot ; make & quot ; waffle , croissant , muffin , sweet roll , funny - look sausage , quiche - y sort egg dish , tater tot , yogurt , cereal .......... one computer floor breakfast -- private & quot ; business & quot ; room . , lovely experience . 
 Jul 18 2006 	 Excellent Hotel - highly 	 girlfriend get back stay Springhill Suites love hotel . can not say one complaint hotel . staff extremely helpful courteous . want stay Old Montreal , location perfect . really love room . cozy extremely clean . small kitchenette sink , coffee maker , microwave , mini fridge . another small room couch tv . bedroom another tv beautiful queen size bed . big surprise room large balcony . could go outside large stone balcony table set chair . good view not complain , still sweet . have breakfast include definitely help budget bit say adequate . breakfast include eggs\sausages\potatoes\waffeles\bagels\cereals\muffins\yogurt fresh juices\coffee . ' m gourmand everything taste good I . all great time could not happy choose SpringHill Suites . be look stay Montreal place stay . 
 Jul 10 2006 	 Perfect location Old Montreal 	 hotel great choice heart Old Montreal . threesome : two parent teenage daughter . old city charm within 6 minute walk . blast . pro : Location , location , location . excellent quality room 's furnishing appointment . free high speed internet . free buffet breakfast serve 10:30 . friendly staff . free parking . responsive room service housekeeping . business office . gymnasium room . washing machine dryer available . con : minor one . room small three ( although fine two ) . many room view speak ( would rather location ) . swimming pool jacuzzi small . staff courteous poorly inform local ( area ) restaurant event . come late buffet breakfast , not eat scramble egg -- will like rubber become overcooked . 
 Jun 28 2006 	 great location 	 two night stay lovely hotel . perfect location see Old Montreal . room big breakfast great . staff helpful ! ! 
