nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Feb 13 2009 	 Excellent Hotel Ideal Location 	 real fault hotel heating room grim . walked set 72 degree feel like furnace open window leave switch stay . the hotel seem busy book ask get high floor room great view Times Square . the hotel ideally locate access Times Square local area attraction Central Park Hells Kitchen plus number subway station . the negative always approach sightseeing bus ticket tout anywhere Broadway 7th Ave . 
 Feb 10 2009 	 nice 	 frequent traveller NYC , use stay cheap hotel . time company book we room . expensive $ 400 per night . discover novotel site $ 290 company want print formal receipt . thge hotel perfectly locate breakfast amazing room big compare cheap alternative like herald square radisson martinique . area heart time square broadway show run . also free business center internet access printer . elevator fine security prevent anyone go except hold key room . also front desk helpful . wireless internet card deem fro 7 day good five connection excellent . also conceirge helpful booking shuttle bus always online . 
 Feb 4 2009 	 say . absolutely brilliant 	 travel NYC first time wife 40th birthday ( treat we turn 40 six week apart ) . read reviews hotel make contact hthem two day go check room . book king size city view Expedia speak staff tell room book double . advise want one room also ask could upgrade well view , special trip . ( Times Sq view ) . oblige charge extra . room 29th Floor te view fantastic Time Sq street . previous review mention lift ; work perfectly stay . location also great , show like Mamma Mia across street Jersey Boys Hairspray door hotel . lose count amount theatre within spitting distance . rockafeller centre block away breathtake view , central park five minute walk worth look . we go January absolutely freezing , Fashion mean nothing time year would bring plenty warm clothe hat / glove / scarf ' . temp hit -15 whilst . staff helpful happy explain anything i.e . fee tip get subway sightseeing among may other . staff wear small pin display flag language speak . one thing must warn unseen charge . arrival ask credit card incidental ( Safety Deposit ) supply debit card attempt take money ATM hour later find hold account $ 200 , ( $ 25 p / person per night ) later explain would return tot account checking . work well last night run short begin run bar tab come $ 80 ( £ 47 poor exchange rate time ) . hear room NYC small tiny place spacey much different UK room , bed hand King Size , giant size wife put ( least four could sleep ) . ' plenty eating would venture away Times Sq ( number restaurant nearby ) . go meal Rosy ' Grady 's see street outside Hotel . be class ' Irish Bar ' . irish ' one thing . enter see restaurant bar partition , go meal two main course two starter , one dessert one bottle wine , result nearly heart attack bill come $ 140 . ' get wrong service fantastic tip add bit pricey check menu first . place ' show bar price cheapest wine $ 38 . ellen ' Stardust Diner place ' like wife enjoy loud . staff seem interested singing talk , serve customer ( staff sing Broadway hit customer , number large speaker around diner , place go breakfast , think . find number cheap place , Route 66 one block away license . large number restaurant around hotel . go leave away Broadway pick 8th , 9th Avenues . get great NYC scary people make . practically walk everywhere use Subway block , 20 metre away hotel , concierge tell train get explain subway map , cheap well $ 7.50 4 trip ticket . little Italy definitely place go meal cheap . could complain stay would definitely back hotel PS stay away mini bar especially kid . cost $ 5 Snickers bar charge automatically room ' remove fridge find staff understand removed bill . finally walk Times Sq , people approach ticket Comedy Central . worth look . able barter seller half price Comedy Club , good night well recommend . 
 Feb 3 2009 	 Perfect weekend 	 HelloA friend mine recommend hotel since know travel New YorkI great rate around $ 169 , special weekend ratethe staff pleasant , location simply fantastik ! ! ! ! take buffet breakfast quite nice 
 Feb 3 2009 	 Brilliant Hotel 	 Fiancee go New York new year 2009 , Novotel perfect hotel Times Square View , staff helpful hotel clean well keep . we complaint hotel would deffinalty go back , anyone complain hotel complaining sake , Ritz non less brillaint hotel . 
 Feb 3 2009 	 Amazing 	 find hotel internet site purelyamerica.co.uk .. 4 night £ 200 ... bargain think 53rd street ! ! book ! ! stay labour day weekend end August sister .. work florida 10 week spend last 3 travel west coast ! ! arrive hotel 10 bother checkin .. let we room straight away ... staff friendly welcoming ! ! hotel certainly old apperance . clean date ! ! bedroom spacious hotel NY bathroom ! ! free internet business room guest also gym ! hotel central pretty much everything .. u walk tourist site . view room onto times square amzing ! ! stay new york number different occasion far definately good hotel far people want spend much money ! ! 
 Jan 16 2009 	 amazing staff excellent location ... 	 ' ve stay hotel twice , first March 2007 February 2008 , time 5 day . ' ve book go June 2009 , 's much love hotel . ok , room basic , everything need , toilet , bath , shower , bed , hairdryer , tv , minibar etc . be New York let honest be never hotel long . spend day night sightseeing shopping . both time view Times Square room , be breath take wake that . the staff amazing , be helpful genuinely nice . bar staff welcome love talk . staff happy help anything , recommend restaurant use . staff definitely add personal touch . I ' ve stay mum , good friend sister , different age love it . I would recommend anyone . 
 Jan 10 2009 	 great location good hotel not pay much 	 stay Novotel Times Square four night , January 2009.First , hotel location convenient , close Times Square , 6th Avenue ( Rockefeller Centre ) , Columbus Circle , Central Park etc . despite close Times Square , hotel slighly back Broadway , traffic noise . the hotel lobby actually 6th 7th floor , amazing view Times Square . sure hotel area similar view , since need look , Times Square straight ahead , building block view . the lobby nicely decorate modern , although quite chair stain lobby not look clean time . we room 25th floor , away lifts ice machine ( noisy ) , quiet stay . noise traffic room . view nice , look west side New Jersey . room quite large New York . also automatic air conditioning ( set temperature ) .The room king size firm bed , desk , sofa chair . small safe , fridge ( possible place item inside , since charge lift something ) . tv flat screen , take quite space . usual tv channel available , foreign european channel , surprising , give clientele . the bathroom fairly standard USA , look bit old fashion ( beige plastic ) . hairdryer , shower gel provide ( tiny round soap ) . room look like picture Novotel website . picture show modern - style Novotel room ( white scheme ) , one Times square look like Hilton american chain ( yellow / beige colour ) .The room advertise $ 799 night , would extremely expensive . however , probably pay $ 150 night Expedia , make good value money . buffet breakfast charge $ 28 per person ( include tip ) , amazing choice item , even compare usual high Novotel standard . choice pancake , waffle , bacon , smoke salmon , ham custom - make omelette type egg . many type cereal , fresh fruit etcHowever , many dinner around , offer breakfast much cheap , without view buffet choice . we never wait lift ( four go lobby , two go street ) .We charge $ 1 per luggage leave luggage last day , unusual . doorman try direct we private cab go back airport , despite fact book van ... overall , good location nice hotel , full french tourist ( give Novotel french hotel chain ) . room ok , hotel special amazing view Times Square . 
 Jan 9 2009 	 nice great hotel cool location 	 Novotel location : love Upper Midtown West area , around 60th avenue Columbus Circle . 's NEW YORK totally strategic place , due subway line , Whole Foods @ Warner Towers Mall - eat breakfast fast enough great natural juice - lincoln center , nice walk along Central Park South ' till 5th av East Side , proximity broadway theatre without middle Times SQ mess . hotel ( thank god ) really times sq . locate corner 52th broadway , close enough NEW YORK . love that . about hotel : lobby floor level , good separate us street crowd , be nice look lobby great terrace overlook time sq . room poorly decorate , clean big enough ( stay tiny boutique room nyc hell lack space clothe , shopping bag luggage ) . give we high foor room nice time sq view , request , even though & quot ; Priceline guest & quot ; , guess give simpathy credit . way , hotel staff nice along stay . although & quot ; priceline price & quot ; really cheap - US285 / night - quite satisfied stay Novotel . ( come conclusion accomodation nyc autumm expensive ' ve get much well deal spring nyc autumm europe ) , 
 Jan 5 2009 	 beware make reservation Thanksgiving 	 's dream watch Macy 's day parade room hotel . decide year . beware ..... yesterday make reservation stay Novotel NY Thanksgiving . call hotel make reservation transfer central reservation agent . explain agent want room view parade . New York knowledgable city spend time discuss room would good , etc . make reservation view time square 3 night rate $ 389.00 , $ 344.00 $ 344.00 could cancel . expensive ny price well worth . also make reservation ( line ) April celebrate niece 16th birthday . although give confirmation number never receive e - mail confirmation April reservation . , morning call hotel direct request e - mail confirmation find following:1 . room agent reserve consider view room parade.2 . central reservation agent suppose reserve room ' with view ' parade route.3 . room would want cost $ 200 night non refundable . needless say extremely disappointed lack communication hotel central reservation staff . not call e - mail confirmation would arrive November without ' room view ' . decide cancel November April reservation Novotel . hotel NYC provide frustration hotel cause we . 
 Jan 5 2009 	 Excellent location 	 stay Novotel December 26th - 30th 18th birthday treat young daughter . New York 2 year previously celebrate eld daughter 18th stay else . not stay area slightly anxious , pleasantly surprised . check prompt helpful staff , non smoking room spacious accommodate 2 double bed , tv , easy chair , iron board safe deposit box wardrobe . well equip bathroom plenty fresh towel daily . we not eat hotel plenty place eat within close proximity . Ellen 's Stardust Diner across street singing waiter / waitress , ideal place go hearty breakfast . 
 Jan 3 2009 	 love ! 	 boyfriend give 4 day trip New York 21st birthday present . hear would stay Novotel , look online thouth look fine , photo seem bit dull hotel look like simple place people stay , interested see site not bother stay .... goodness expectation surpass ! hotel fantastic friendly staff really helpful . the room large ( regular no - view - of - times - square room ) clean everything expect decent hotel . there luggage area leave suitcase leave flight , give valuable time New York cherish last minute ! food lovely restaurant , everything reasonably price . staff restaurant bar , nice . the thing would make people aware fact put deposit $ 25 think , per night night stay . get back check , could cause problem not budget this . I wait go New York soon get home look price come back . would definitely stay Novotel New York . 
 Jan 2 2009 	 Good Location .... walk everywhere .... 	 front desk helpful . good location . 
 Dec 30 2008 	 keep look .... hotel unless simply want killer view 	 stay Novotel two night [ seven night stay New York ] September 2008 . remain night spend W Hotel New York Lexington Avenue Empire Hotel . ' complete separate review hotel , favorite hand Empire Hotel . first impression : three - night suite W Hotel , loathe idea downgrade hotel . even though cost nothing say since bill expense companion ' employer , almost want pay stay somewhere else . upon enter hotel , guest take single work elevator seventh floor , find reception desk . check - in efficient ; although dubious hotel two room offering . book king superior room , offer noisy king elevator terrible view , double bed high floor great view Time Square . opt later . view proximity Time Square important , understand one would stay hotel clearly deliver promise sweeping view Time Square . adjacent lobby wonderful outdoor wrap around terrace . would imagine would prime location observe legendary Macy ' Thanksgiving Christmas Day parade New Year ' Eve festivity . hand , view chief concern , ' see earth anyone would pay $ 800 two night stay ( especially give September probably consider shoulder travel season plethora upscale accommodation offer bang buck ) . usually Trip Advisor rating right , ' baffle somehow Novotel manage rate significantly higher , say , W Hotel , far well experience three additional night September . 
 Dec 29 2008 	 great location great value ! 	 boyfriend stay 5 night mid - December wonderful time . hotel perfect plan go Broadway show ... many theatre mere meter front door ! room clean comfortable . clean every day fresh towel sheet provide . not try food great diner across road ( Ellen 's think ) . be bit tacky burger fantastic ( stomach singing waitress ! well think bit fun . ) hotel staff friendly leave provide car service JFK flat fee 55 dollar think good value . doorman call car ( get immediately though sure be usually wait ) . sum would definitely recommend hotel . ' ve read lot review really not understand comment elevator ... four elevator rarely share one , nevermind queue one ! oh not forget ring ahead ask room view ! make thing extra special . 
 Dec 27 2008 	 Old . enough elevator . smoke Hotel 	 would recommend hotel . during & quot ; rush hour & quot ; frequent line - up even get onto elevator floor . first night check , put terrible , stinky , room REEKED cigarette smoke . go front desk , would not move next day . disgusting . stay , bell hop lose important incoming package / delivery . confirm re - confirm deliver , take multiple conversation , search backroom , find stuff . ' ve never see disorganized service . furthermore , storage room baggage & amp ; package air condition beware ! 
 Dec 22 2008 	 complete let 	 recently stay hotel boy complete let price charge . hotel room old outdated standard . read review get still decide give place chance stay . get lobby think finally pick good one boy fool . view see hotel room office building . definitely stay hotel againl . 
 Dec 15 2008 	 Great Hotel 	 arrive early room early staff friendly room nice clean great location 3 block time square thing bother hotel leave door man ask need cab say yes insist take town car flat rate say thank say would hail cab 7 empty cab go hand never leave pocket 
 Dec 7 2008 	 three star 	 first time visit New York . arrive early flight ( 6.20am ) go straight hotel . find way long flight nil sleep bit confusing since hotel 5th floor entrance clearly indicate . entrance hotel small crowded place bell hop appear interested assist offer advice . big lift easy work luggage get lobby 5th floor service excellent . easy painless book . hotel accommodate book we 9.30 . hotel room basic . coffee maker fridge pack drink price . bed comfortable . room clean well maintain . tv old style surprising consider hefty premium room . WIFI available free pay ( less US $ 10.00 ) use provider website . amazing view Times Square . deli across road serve Breakfast dinner . able eat take food back hotel . overall pleasant experience 
 Dec 4 2008 	 GREAT HOTEL 	 Great Hotel Great Price ! stay hotel New York , definitely vouch one . good size room , clean , great location , service great price . room nothing fancy definitely exceed rating compate majority hotel run within price range . anyone look good review .... one . 
 Dec 4 2008 	 GREAT HOTEL 	 stay Nov 26th - dec 2nd 2008 . second time New York time , husband two year old son quite anxious hotel would like . perfect stay . , ritz exactly want . do not realise arrive hotel right Macy 's Thanksgiving day Parade Route could watch hotel 's sky terrace instead brave crowd street queue 6 am ( yes really ) . hotel clean , spacious , great view Times Square everything need . downside tea coffee making faciltie . clean every day fresh towel toiletry . absolutely problem heat previous review suggest . take two year old back room nap every afternoon never cold . staff really friendly helpful . eat breakfast hotel twice really nice - get cheap venture outside hotel - convenient we stay day . location excellent - doorstep Times Square . walk main attraction problem whatsover even buggy tow . would definitely stay return New York . one tip - do not go Deli/ Sushi Bar across road ... awful rude staff ! 
 Dec 4 2008 	 Great Location 	 stay hotel right parade Path Thanksgiving . hotel okay . nothing fancy serve purpose path . staff friendly . lack heat daytime hour till 6 pm night hard run bed could use help . tell turn heat room beacuse rest hotel get hot ... well , okay . five year old need nap get quite cold . food hotel great . always hot water . plus NYC . 
 Dec 1 2008 	 spot ! ! ! 	 hotel great , staff really friendly happy help , maid service every morning , location fab , do not eat hotel go meal use bar take advantage amazing view time square balcony ! Defo stay perfect ! 
 Nov 29 2008 	 fantastic location 	 brilliant hotel , room spacious clean towel bed change every day staff friendly helpful , location excellent 5 min walk times square central park load restaruant , cafe theatre ( would recommend shrek musical buy ticket ticket booth time square half price ) immediate area.would diffently go back hotel 
 Nov 19 2008 	 fantastic hotel ! excellent value . 	 stay first 3 night honeymoon head Niagara Hawaii find Novotel everything hope more . the 21st floor room clean , spacious modern , amazing view Times Square . location hotel unbeatable . 5 minute heart Times Square theatre district 10 minute south start Central Park . bar friendly good atmosphere , exellent view good selection beer spirit . room service also prompt . would definitely recommend Novotel break Big Apple . 
 Nov 14 2008 	 love 	 stay novatel times square new york 4 night find staff reception doorstaff really friendly helpfull room clean tidy towel change daily bed make bathroom clean would recomend anyone location great get around central .to say times square quiet hotel room definatly go back 
 Nov 9 2008 	 Fantastic Location middle Times Square 	 Stayed Novotel April say location jsut fantastic . Booked Expedia get pretty good deal . hotel New York expensive get good value pay . say location must well attribute hotel . locate Broadway 52nd fantastic location . bus subway around corner . staff friendly helpful . lobby locate 7th floor take one elevator lobby another one room . bit awkward luggage big deal we suitcase big , like people 's . lobby modern good thing outer terrace bar , overlook Times Square . get fantastic view amazing night time . room comfortable enough . could makeover everything need . bed ok comfortable one . apart room good size . first room 17th floor overlook time square discover telly work move 10th floor . overlook back say quite glad least could open window night without noise times square . definately recommend hotel visitor fantastic location . 
 Oct 30 2008 	 Great Location 	 get back short visit ny . Stayed Novotel . great location Broadway 52nd .. block central park , block times square . european . great lobby 5th floor , overlove city . breakfast buffet include rate much well expect . room nothing special , still would recommend stay .. 
 Oct 30 2008 	 comfortable hotel excellent location ! 	 stay last summer Carribean cruise . hotel easy find , check easy , room fine comfortable good thing hotel location . love terrace look right time square , would great place spend New Year ! draw back service receive tour desk , use service book return airport do not really receive much help encourage tip , suppose New York tip everyone small thing ! stay New York hotel would definetly choose return other , reasonably priced consider location ! 
 Oct 28 2008 	 rip 	 stay 2 night . as everyone say : great location .... one lift working ground floor reception 6thno complimentary coffee room wake time . WiFi connection $ 9.99 per day - travel USA 14 day , Hilton Atlantic City hotel charge Wifi - even humble Comfort Inn give free . the laundry tab say $ 10 slack bill $ 18 . feel rip hereKen Dove UK 
 Oct 26 2008 	 great sightseeing ................. 	 arrive Novotel 2 pm check room offer elevator 7 day ask move . problem room ready yet wait bar someone would come get we soon . still wait 1 ¼ hour later went check ask room ready , well clerk find hard even open mouth . grunt briskly tell room 2614 . help suitcase direction must spoken correct language perhaps French would well . room clean , tidy , bed comfy oh hot open window help turn air con . next day . went get info concierge stand 5 -10 min make several phone call ask information tell go behind counter help . Shame make feel invade area . bother ask help rest stay . Monday birthday ; husband order slice cake . lovely day arrive back cake . Husband go front desk inquire . Front desk blame restaurant / kitchen blame front desk . knock door cake - dessert instead bottle water . quite expect nice . the rest stay uneventful well forget fire alarm go 5.30am guest floor look real joke . fire direction could informative someone tannoy 5 min later say false alarm stay calm . mention apology next morning . Maid serve start work around 8.30 – 9 am morning , solve turn lock door . end stay air con become heat temperature say sauna like heat 92 . must major problem system friend arrive later week 14 floor we complain room cold . front house staff hotel need major kick backside need start make guest welcome major favour . move twice wait friend area want sit bar reserve show another area inform 20 minute later reserve move back area originally wish sit . offer drink free start kick mess , shame start this . would stay hotel – sure staff would improve would sort air con / heating . location sightseeing good . 
 Oct 23 2008 	 Novotel Times Square 	 Stayed Novotel weekend October 17th . check speedy friendly . room quiet , clean comfortable ( near elevator weekend ) . previous review mention problem bed bug none encounter stay . one two elevator service hotel street level repair major inconvenience case . use restaurant bar facility trip . check fast efficient . the location hotel allow easy access Metro variety restaurants/ bar attraction . key feature . would stay . 
 Oct 22 2008 	 Location location location 	 room bit small US standard , NY guess be good size . stay twice room great view . great location , within walk distance everything . would stay next time vist NY . 
 Oct 20 2008 	 expect ... judgement 	 second visit New York 11 month .... choose Novotel time location . fault , upgrade times square view ( ) check quick room ok ...... not expect nice expect ok ..... clean tidy 70 's feel ...... new york really use room change sleep etc ..... WiFi service hotel nothing , sign mobile rate $ 9.99 per 24 hour online ( not problem ) outside bar area level 5 look towards times square excellent . go hotel get one two lift take reception floor ... one action stay time come tell , quite annoying cue morning evening sometime get hotel . also kitchen action food offer , offer buffet breakfast $ 14.95 avoid amount well get eat well food elsewhere . annoyed booked hotel direct mention lift kitchen mention pay $ 2640 5 day stay not feel great value money consider . however remember location view ........ overall novotel good ... would stay next time .... .... could tell we problem book . one book stay please message we question location etc ........ 
 Oct 7 2008 	 great place stay 	 recently stay 3 night hotel . perfect location New York City . south Central Park close everything . hotel clean , room clean , neat bed comfortable . Maid service excellant . room ready arrive approx . 8:45am . staff friendly professional . elevator floor quick . would definately stay . 
 Oct 7 2008 	 disappoint 	 great location Times Square Broadway close subway give hotel distinct advantage . 5 - night break enjoy every minute . request room change away lift staff duly oblige large , corner room 24th floor view Broadway Times Square . little inconvenience one two lift order cold buffet breakfast ( $ 15 ) available kitchen refurbish , still ample choice could chose local diner prefer . check final bill carefully item minibar include even open door ! much say reviewer staff obliging , room large , quiet clean would recommend hotel other visit exciting location . 
 Oct 3 2008 	 great location 	 find hotel Times Sqaure www.cityandshow.com get really good deal , £ 525 5 night . husband contact hotel directly explain birthday upgrade we room view Times Square . room adequate comfortable could bit TLC . also smell smoke bathroom good hotel great location good price staff good . downside get lift street lobby 1 lift work ( normally 2 ) , inconvenience anything . would recommend everyone . the hotel right heart thing round corner Gershwin theatre see Wicked - definite must ! be also Broadway load theatre nearby . also near & quot ; restaurant row & quot ; choose variety good restaurant . cheap good breaskfast try one many Deli 's nearby , much cheap brand restaurant New yorker eat . get hotel rate will not disappoint ! 
 Sep 30 2008 	 Decent Hotel Great Location 	 recently stay Novotel travel Manhattan business trip . read review TripAdvisor little concerned noise , hotel could find short notice without spend $ 550 weeknight . good : price seem high , market demand go . hotel clean enough bed comfortable enough . staff fine overly friendly . bad : decor room date sufficient . ugly : 2 elevator get street lobby one repair . make bit time consume get street . also , kitch renovated room service limit restaurant service - morning buffet . cool factor : view outside window , open stuck head , fantastic - light sound Times Square . assume renovation repair make Novotel well place stay future . woul stay would first choice . would decision basesd cost available selection 
 Sep 29 2008 	 Bed bug food noisy 	 two colleague book Novotel W 52nd Street NYC last week $ 350 night give room next elevator bank . hear elevator bang night long . far bad event bed bug . bite several time - six bite one ankle four . week still big red blotch swell itching subside . add annoyance , restaurant close , $ 350 night , room service dine expensive continental breakfast . hotel not able provide service guest , fumigate wildlife , courtesy adjust room rate reflect fact little sleep , food bite bug . work NYC past year different accommodation , first bed bug problem encounter . I ever move write one review trip adviser , great B & amp ; B stay England last year . particular experience prompt speak . 
 Sep 26 2008 	 Great Place Stay ! ! ! 	 first time New York have not clue stay friend recommend Novotel we could not get well place stay New York . we right centre everything . walkin distance main attraction ! room decent size Air Con Mini bar do not use bit pricey shop hotel cheap buy ! room also decent size bathroom plus room view Times Square great look night day . all impressed novotel check check quick friendly staff help we booking need get airport . so would def recommend hotel u want heart quite well price ! ! ! 
 Sep 21 2008 	 Great Location ! 	 smooth check - in much appreciate long flight . the check - in staff friendly helpful . you change lift check , lobby wheely suitcase , problem . our room acceptable ... large enough clean , little date . room 2417 not near lift ( elevator ) , not hear noise . bed big comfortable never disturb cleaner early morning . occasionally remember put & quot ; disturb & quot ; sign 8.30am . always , maybe lucky . there air conditioning , leave time fairly efficient imagine temperature hot , may job . I thankful Trip Advisor forum member know touch anything minibar , charge thing not , usually like good rummage . not appear price list not know stuff expensive not . we not eat hotel can not comment food couple drink bar price compare quite favourably local bar ( find quite expensive ...... $ 14approx beer wine ) hotel give bowl snack ( similar Bombay mix ) drink . we stay seven night , hotel favourably locate , close Broadway theatre Times Square one direction Central Park . also easy enough get area Manhattan use Subway . to summarise , would recommend Novotel one want within easy reach tourist attraction would stay . 
 Sep 19 2008 	 ... 	 hotel many flaw . however , great location 52nd Broadway , northern end Times Square . room decent size bed comfortable . nice view Times Square suspect , hotel begin 8th floor building , room good view . the furniture room badly scratch . chair look like something ' sell yard sale 50 cent . wallpaper bathroom peel mould wall . bath / shower plastic unit reminiscent Motel 6 . perhaps bad , one work elevator haul guest luggage street level 8th floor lobby . hotel must 300 room , always delay , line cramp ride . forget " rush hour " morning evening . my room phone service . take three call cell phone front desk get engineer come room . tell problem line dead phone company would contact . assure hotel would keep apprised status , course , . fairness , hotel make adjustment bill checkout compensate this . it ' amazing little get $ 500 per night New York ! 
 Sep 17 2008 	 starting look tired ... 	 stay twice , know expect : clean , large room basic really need stay big city . great location , central . long flight UK , arrive 2 pm frosty reception french check man , tell we check 3 pm . everywhere else world , even check 3 pm , hotel usually room 2 pm , especially long journey ! however , check booking form , actually state check 2 pm , begrudgingly , tell wrong , would give room anyway - thank ! want long journey - whole check process awkward longwinde reason . also , check agent seem unaware fact pay Expedia Superior room rather Standard - take lot persuasion give we pay ! room ok eventually get - good view Times Square clearly good point , apart small other stay Novotel ( even though superior ) , little dusty , generally start look tired worn . superior , would not want stay Standard . pay hefty rate room would class average value money location redeem factordure whole stay , staff ok . stay unless hotel refurb staff go course friendly helpful check ! 
 Sep 9 2008 	 Great Location pitfall 	 get back four night stay Novotel - Sept 08 . argue location , 4 block Time Square . ease access subway etc . definite negative arrive hotel tell restaurant renovate . room service available either . cold breakfast offer charge approx $ 15 ! may issue , New York diner well breakfast . however , 2 lift ( bring street 9 floor lobby ) one renovate . mean delay time go grab bite eat . booking make quite time ago would appreciate tell advance absence hotel restuarant . also , guest leave hotel dine , second elevator function avoid delay experience . lastly , tv internet offer room $ 10 24 access . however , keyboard provide work . speak front desk inform long offer room 24 internet access available hotel 's business centre . check - out going charge $ 10 informed never access first place ! something future visitor aware . nice clean hotel however state , great centre New York city . 
 Sep 8 2008 	 Great Hotel 	 travel agent recommend hotel could hardly fault . great location , travel girlfriend who s 2 month pregnant . hotel nice clean friendly helpful staff . concierge helpful ( yve ) hotel shop etc around area . although restaurant renovation leave $ 150 deposit do not credit card holiday great would deffinately go back . hope help ! : ) 
 Sep 5 2008 	 Grat base explore 	 stay novotel jan 08 7 night . location perfect broadway 52nd street around corner times square , literally 100 yard away ! ! typical novotel theme , unusual entrance basement , slow lift world reception . nice big comfy bed , clean bathroom . staff friendly , place always busy , free internet access guest big plus . small issue towel change look like ( pubic ) hair arrive , problem qiuckly sort along apology . excellent resturant nearby , n.y sight within walking distance , block central park . would prefer bit upscale new york hotels crazy money , perfect would stay ! 
 Sep 4 2008 	 Novotel - Pros Cons 	 folk , stay Novotel five night , Aug 29 Sep 2 . huge believer TripAdvisor research travel option diligently . try fair balanced leave review other actually benefit experience . ........ pros- fantastic LOCATION . Loved , love . short block Times Sq , close restaurant , cafe , theatre ( wicked literally block away ) . decent size room - although room & quot ; modern & quot ; trendy decent size ( stay room manhattan size closet ) clean even though old . service - staff helpful , check smooth . patio - hotel decent outdoor lounging area , great sit drink long day citycon - stress enough folk - elevator insanely loud ! ! loud . loud fact sleep first two night . third night finally another room available move we . even though differnt floor away elevator could still hear clang bang elevator , time may service elevator directly across we . quite loudly , enough need buy ear plug could still hear . check dozens dozen review book hotel one review comment issue . one , check today say someone stay Novotel last week comment . dissapointe . partner reasonable traveller travel quite bit sleep pretty much anything , however , second night noise become louder louder even tired cranky . exagerate tell noise elevator top impossible sleep . sincerely reccomend avoid room elevator . real con . Hope help . 
 Aug 31 2008 	 sure 	 well start ? ? guess review personal taste experience . Location - Novotel heart Time Square like hassle bustle 24 hour day hotel may . would preferred little less craziness , even New York . check staff lovely , eager please friendly . we eat Hotel Restaurant reasonably price food pretty good - waiter friendly efficient . the room hotel actually quite big major problem Hotels Cleaners . first day completely fault not put & quot ; disturb & quot ; sign door . 9.00am cleaner wonder , realise still bed asleep apologise tell we sign door . second day make sure put sign door , 9.00am go open door , time shout . third day pretty frustrated ( particularly not think great job anyway , hair bath tub , yuck ) . put sign door somehow feel ground cleaner walk we 9.00am . fourth day ready complain first day since arrive not barge room 9.00am . fifth day , problem . final day barge , thank guy ! ! find room dirty . sheet bed change ' m sure bed spread not change . stains carpet & amp ; look worn dirty , carpet really need replace . maybe New York , probably would not stay hotel again . to ' ve never New York , view cleanliness definitely problem Hotel . staff nice ( apart cleaner ) 
 Aug 31 2008 	 fast check great location 	 spend one night Novotel pass NY . hotel great location block TIMES SQUARE . room clean spacious ( new york ) service smooth , friendly effective.super fast check in.visite great restaurant restaurant row , well broadway show less block away . run central park easy reach . take subway union sq . shop back.we use concierge book minivan ( 11pax ) , JFK smooth efficient waiting cost transportation company carmel.cost $ 299 plus tax per night 4 people room , 2 double bed . think good value . 
 Aug 21 2008 	 Nice Hotel 	 pretty nice hotel , around . book priceline advance get decent rate ( consider stay close time square ) . room clean comfortable , nice view time square night . room amazing might think would price , fitness center business center small ; location make . within walking distance much New York City . popular hotel international traveler . pro : great location , fairly clean , great view , staff helpfulcon : bit expensive , lot international traveler , wi - fi internet free room . they also mini - bar room motion center every item . anything remove fridge charge bill . be talkin five buck beer . Overall- nice place . would stay . 
 Aug 20 2008 	 prime location stay away room near elevator ! 	 Novotel NY prime location , simple , clean , safe . also good breakfast buffet . , worth money- hotel NY run quite expensive . book hotel online Novotel website , request & quot ; City Breaks & quot ; package include buffet breakfast rate much per night . also fun hotel lot european tourist , almost feel be visit France ... one BIG problem husband room first night right next elevator shaft . night , could hear clunk elevator cable keep we . be spend $ 310 per night simple three star hotel , loud clunk extra annoying . complain , switch different room , lot well . make reservation , make sure specify want room far elevator , good stay ! 
 Aug 12 2008 	 Great Location - Perfect New York 	 great location base stay New York , place . almost Times Square , hotel within walk distance Empire State Building , Maceys , Rockafeller even Circle Line dock Manhatten boat tour ( ~15min walk ) . hotel fairly well hide corner W52nd @ Broadway , real steal book advance . never eat restaurant , always seem pricey . breakfast ( recommend little Eileen 's Diner across road waiter sing eat ! ) . room quite spacious . little musty , generally clean well keep . high 30th floor , could not hear noise street far really ( except odd truck horn fire - engine ) .Overall great stay New York . would definately use . 
 Jul 31 2008 	 great place 	 hotel great location 2 minute walk time square front broadway.good facility , great open air bar 7th floor look time square.do not use internet room , use business centre 2 internet connect computer free plus printer . room good , clean well maintain , staff helpful ( even new york ! ) .overall great stay happy repeat.even end ask taxi JFK concierge arrange Lincoln Town car take we cost yellow cab . 
