fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 May 26 2009 	 good value nice hotel good location 	 prepay rate , pay $ 100 night nice hotel San Francisco - great value . 's way reliable chain could match rate . possibly well roll dice boutique hotel . the location especially great want access good stuff not want middle . walk block two be North Beach China Town . walk Wharf 20 minute . particularly close BART station , drawback , bus stop right outside . the room clean , date , nice linen toiletry . make difference stay hotel feeling room add vacation experience . front desk helpful , guide we good restaurant first night hold bag check . free wi - fi nice ! would like long restaurant hour . restaurant stop serve food 10 , area stay much later . be also wine taste bar , small spa . you will pay parking , many nickel / dime item breakfast , bottled water nightstand . think 's expect city hotel , though . we problem key - little finicky , much anything . 
 May 24 2009 	 Nice Hotel 	 hotel nice staff extremely helpful . concierge help we book Urban Safari Alcatraz . registration staff accomodate helpful . hotel locate next China Town . 
 May 22 2009 	 loud 	 hotel * would * great : nice location , good room , helpful staff . however , matter nice make hotel , * never * offset shear noise room . room 12th floor , clearly make conversation people street normal voice level . garbage truck siren night loud feel like be room . 's bad leave ear plugs bedside table . 
 May 16 2009 	 great location clean room pricey 	 Hilton life would expect big city Hilton property . housekeeping service reliable friendly . room clean great city view despite fact pay nothing extra . good thing place location ... right beside Chinatown . fun find cheap delicious food . american breakfast , skip hotel buffet $ 22 ham eggs & quot ; Tea Garden & quot ; right next door $ 5.50 . another great , cheap restaurant Waverly Place & quot ; Potsticker & quot ; ... try five spiced pork pancake $ 6 . city noisy sound street siren child playground travel way 22nd floor room . live country burb call place noisy city dweller nothing srike unusual difficult . transportation easily accesible bus California line cable car . Buy Muni pass , $ 24 week . otherwise , cable car $ 5 time hop bus streetcar $ 1.50 . least expensive reservation option pre - pay room Hilton , course cancellable stuck plan change . travelocity website could offer nothing cheap hotel even though book air thru . beware big city hotel listing , expect small room unless pick top notch property expect dirt less friendly service . get pay . 
 May 13 2009 	 exceptionally friendly staff INCREDIBLE view room face north 	 stay 21st floor room face north view Coit Tower bay absolutely spectacular . room service dinner one night , enjoyed view much . also , room service prompt food good . also , hotel staff genuinely friendly , smile go long way . bed comfortable , cool wifi complimentary . 
 May 12 2009 	 expectation 	 stay Hilton Gardens Monterey , sorely disappointed Hilton . room small , view China Town dirty window pleasing , noise 17th floor loud . walk grand front entrance expect . however , staff nice - except Tulleys bartender - internet free . restaraunt pricey . recommend House Nam King street incredible chinese food . none restaraunt China Town impressive look , food Nam King incredible reasonably price . 
 May 3 2009 	 Lots Street Noise 	 stay SF Financial District Hilton 3 split night bookende trip wine country . good location near Chinatown North Beach . room adequate , nothing special . read complaints street noise , could imagine noise 19th floor , true report incredibly noisy . guess surround building funnel noise hotel room . hotel full business traveler service mediocre general . Hilton Diamond member give coupon appetizer lounge . pay bill present coupon tell rather rudely present coupon order & quot ; free & quot ; appetizer small portion . since small plate Nachos see extra cost significant . , location reasonable price hotel would outweigh noise level us wife always travel earplug manage snore . sure request bay view room much desirable city view . 
 may 3 2009 	 great location china town / north beach financial district 	 stay usually stay Hilton 's great deal . love location , walk china town , - accross street . north beach street . walk back pier . quick cab Nob Hill Union SQ . spa Hotel great ! good find . room basic business class hilton , service ok , great usual Hilton standard . breakfast ok , well deal ( food ) outside hotel . location make thing . would stay . able walk china town , north beach pier , make lot . central . could walk Union Sq , back shopping ..... cab fare much , save much saving location . staff nice . would walk around late night location . close china town north beach , feel safe walk around . 
 Apr 29 2009 	 good location 	 stay San Francisco two night trip California . previous night spend luxuru cottage Napa Valley bit step , good value money would definately recommend hotel friend . reception area quite large restaurant , wine / coffee bar day spa . do not use service much can not really say anything they . the hotel nicely situate corner china town , Little Italy financial district . walk pier take ferry Alcatraz take we maybe 15 minute get . many restaurant close hotel ( especially Italian & amp ; Chinese ) find two amaize italian restaurant eat stay . fitness room hotel ok , bit disappointment stay Hilton Universal . treadmill , crosstrainer indoor bicycle room bit shabby miss nice feature available Universal City . amenity bit expensive , parking pay $ 54 per night . find second day parking garage right around corner would charge $ 24 24h .. internet service business center extremely expensive , since have not bring laptop we . charge we $ 0.5 per minute rate pay remote island Brazil year ago - & gt ; complimentary service many hotel , find rate high today standar . the room quite spacious clean , problem . view towards china town ask upgrade . view bay amaizing be stay upper floor . but , get good value money would go back anytime ! 
 Apr 26 2009 	 bad Front Office Staff 	 book online via hilton.com site pay instantly executive floor room breakfast lounge access . check find narrow room evening ask lounge say service terminate give free bite coffee shop unfortunately system show ' eligible . next day morning go coffee shop breakfast comment , eligible complimentary b / f , surprised attitude staff front office , argue show online confirmation paper mention complimentary b / f lounge access , great difficulty lady counter give couple coupon b / f lounge . first day ' b / f lounge , never try luck place food ( mouth water food service ' enter second time ! ! ) . house keeping cleans room never replace soap even , surprised service , may Americans cost cutting … due present scenario . WOST BELL BOYS ever see , wont help carry luggage unless FEMALE U.AJESH73 @ GMAIL.COMSTAYED : MARCH 14 - 17march:19 - 21 2009 
 Apr 24 2009 	 Best San Francisco stone throne be away 	 corner Chinatown Little Italy room top floor give magnificent view Bay Telegraph Hill . lot great restaurant 10 min radius foot , food hotel average , get nearly every dish wrong , forget many key ingredient list menu . breakfast buffet fruitis never replenish quick ! gym pretty good . wireless internet really erratic rely business , although mean business hotel ... staff 5 star hotel standard , except concierge coffee bar staff excellent . coffee fantastic daily experience weekend treat Cafe Trieste , really close , easy walk distance Pier etc . 's 15 min walk centre town . 
 Apr 23 2009 	 Great Stay 	 stay Hilton Financial district April 15 2 night . arrive late , check quick smooth . get 2 double bed room good deal Priceline.com . sister 's family get room breathtaking view bay , coit tower etc . 22nd floor . room 21st floor room side hotel . nice , great room . hear odd numbered room great view . location great want near North Beach & amp ; Chinatown . walk North Beach 3 kid tow problem . noise ok . typical noise hear ' ve stay city . hear garbage truck other car . bring ear plugs case , use . parking ... suggest park across street Portsmouth Parking garage need privilege . exercise room 5th floor . small , machine fine clean . free internet room . sure previous poster talk regard charge . staff nice friendly . 
 Apr 21 2009 	 will never stay . 	 nothing bad service , attitude , high price amenity . be $ 52 self park per night sound ? $ 15.95 per day internet access ? maybe like $ 35 breakfast ? , place . . 
 Apr 19 2009 	 Nice hotel amazing view 	 stay 3 night Hilton San Francisco Financial District wife kid . good choice , especially killer view get room face bay . design hotel nice , nothing extravagant well Hiltons opinion hotel remodel recently . lucky get upgrade bay - view room make difference . view encompass Chinatown , Russian Hill , Telegraph Hill North Beach . see ship pass bay . room fine , clean decent size free wi - fi internet access . drawback noice street little heavy time , even room 19th floor . find location hotel convenient , junction Financial District , Chinatown North Beach . price , hotel good choice opinion . 
 Apr 18 2009 	 amazing view location . highly recommend . 	 ' ve stay Hiltons ' ve ok , great , however one fantastic . jaw - droppingly beautiful view 18th floor bedroom might something . stay sure get bay view room . room quite small , comfortable , clean well decorate . strangely enough quite lot street noise even though 18th floor , probably due old window hotel construction . little noise room though . check staff not friendly , efficient . get special offer pay £ 70 night Expedia four night stay . excellent value get . would definitely recommend hotel . 
 Apr 7 2009 	 great location - bring earplug 	 review accurate . hotel great location , would say solidly chinatown . central location close lot thing . room update , clean nice . desk face window great . wall thin . bring earplug not would tough . room 's remote not work someone come replace within ten minute night two wedding going book solid . would stay . 
 Apr 5 2009 	 need update . 	 main complaint constant sound run water come somewhere beside we , terribly stain window shade , slow drain bathroom sink . fact even little coffee stand lobby open 6:30 good husband early morning meeting Market Street . not park hotel garage , unless want pay bundle . instead use Portsmouth Square garage across street hotel . hotel 's free wireless internet plus . 
 Mar 30 2009 	 Shame Hilton Marketing include Financial District name ... 	 attend conference Moscone Center last week want stay close . since Moscone area hotel sell next go Financial District . use hotwire book hotel since love service . however , turn Hilton Financial District actually chinatown way Kearny street good 1.2 mile away . be nothing wrong Chinatown thought would stay financial district . fortunately , room clean new since Hilton refurbish former Holiday Inn . service good well . Eric Concierge knowledgeable helpful . car rental use poor though . use Dollar receive bad rental car ' ve ever rent day trip town . P.S . 's loud night traffic Kearny well . room service close early 9:30pm . internet service spotty . 
 Mar 28 2009 	 really comfortable hotel convenient location 	 got really great rate San Francisco Hilton Financial District , book several night . hotel situate right next Chinatown Financial District busy downtown San Francisco . italian North Beach section couple block away . muni bus outside take right Fisherman 's Wharf . , ' m bit perplexed other state perfectly locate . ( use live San Francisco , know location extremely convenient ) . ok , Union Square several block away , Market Street , be easily walkable anyone reasonable shape . room quite comfortable , maybe tad small expect , book 2 double . Serenity Bedding awesome fresh ! staff accomodate question . dining advice : skip hotel breakfast , unless be include stay , go right NEXT DOOR & quot ; Garden Restaurant & quot ; , great american breakfast 1/3 would pay hotel . eat every morning , food cook fresh order . otherwise , hotel great , would definately stay , San Francisco . 
 Mar 25 2009 	 great hotel edge Chinatown 	 stay 2 night way home Hawaii . lovely find . booked priceline upon check upgrade bay view room . room large comfortable bed think ever sleep . lovely view overlook bay Coit tower . although list financial district right China town recommend cab driver hotel concierge try r G lounge restaurant , across road 2 min walk leave superb meal reasonable cost . leave notice Michelin rate 2009 . would recommend stay hotel . would stay ? yes would . 
 Mar 24 2009 	 Nice Accomodations noisey 	 stay last night . check late get upgrade suite . maybe be leave . room impeccable , view magnificent , modern two flat screen . live area smallish perfect relax front tv coffee table put drink . bed comfortable standard Hilton fluffy bed covering . bathroom huge shower rainwater head place sit . downside bell sound come elevator . well take ear plub . sure room even exist sleep purpose . beautiful translucent slide door living room ( close elevator shaft ) not enough curb noise . room balcony get fresh air . room would faired well near elevator . also , heater bedroom area work . boy cold room . turn live room heater would listen additional level elevator noise . great place stay take room within three bedroom elevator lobby . 
 Mar 24 2009 	 centrally locate clean safe . 	 locate financial district , near Chinatown , hotel within reasonable walking distance Embarcadero , Ferry Building , Chinatown , North Beach - SF 's & quot ; Little Italy & quot ; . also , easily get Union Square , Fisherman 's Wharf either foot public transportation . many great restaurant area , find hotel not terribly difficult , staff extremely polite professional time . Albert , one evening bellman , especially kind helpful , give we good direction fabulous sushi restaurant first night town . the room clean comfortable , terribly noisy central city setting . awake Monday morning sound child laugh outside , ( reasonable hour course ) , story window either school daycare rooftop playground kid line game ! also outside window , view beautiful skyscraper ; one three immense statue top , four side , look like guardian angel ! downside Land Rover roof wrack exceed maximum height clearance parking garage , pay little extra kept valet / reception area hotel entrance , although quite safe virtually guard times valet . 
 Mar 21 2009 	 view ! 	 excellent location ! ! 26th floor view die ... Bay , Coit Tower , Alcatraz ... everything within walking distance . work day , want get stretch leg . go Chinatown ( doorstep ) Downtown , Embarcadero , Pier 39 , Fisherman 's Wharf , North Beach Little Italy .... wonderful walk ! hotel staff friendly , room actually good sized Bay area , free snack bar night great continental breakfast Hilton Honors member .... definately recommend hotel ( leave car home possible ... park around $ 50 night ) ! ! 
 Mar 21 2009 	 Great Location ! 	 fiance want spend week San Francisco pay big buck , happy find deal Expedia hotel ( pay $ 100 usd per night taxis include ) . choose upgrade executive level suite king bed worth extra money . 26th floor city view . old hotel that s renovate , windows single pan make bit noisy , be not big deal . our room nice , modern , clean large . coffee maker fridge buy disposable cooler store milk & amp ; juice breakfast room . the business center pay per use computer & amp ; printer , find computer full internet access ' concierge lounge ' 26th floor . room key work open door use computer whole week . printer , well pay big money per minute use computer business center . we take advantage Manicure / Pedicure special Tru spa hotel ( $ 45 mani & amp ; pedi ) . really enjoy it . we eat seven Fifty lounge hotel one morning breakfast find huge waste money . lot great restaurant minute away hotel much reasonably price . the location hotel great - definately chinatown 2 block Financial District . 7 minute walk Union Square , 5 minute italian district close major transit line ( BART 10 minute walk , Cable car 3 minute away , Muni stop 100 yard front door hotel ) .We buy City Pass ( $ 59 pick SF MOMA ) good thing ! give we 7 day unlimited Cable Car & amp ; muni ride ( cable car alone $ 5 per ride ) also give we free pass California Academy Sciences , boat tour bay much ( check : [ - ] .We do not take cab , transit system great easy use map route . all good experience price point would recommend hotel . 
 Mar 20 2009 	 great hotel price location 	 daughter stay executive level room 21st floor 3 night . comfortable bed , nice linen towel . room small , however , perfectly fine we couple . complimentary WiFi room . read lot noise street leave window open , certainly noise . St Patrick 's day definitely keep window shut . never hear anyone beside , we , know people adjoining room . never use fitness center can not comment . service good . complaint concierge tell we shuttle would get airport fast take BART . well ... take 1 hour get , say would 30 minute . use instinct . overall , would definitely recommend hotel . 
 Mar 19 2009 	 Nice Hotel central location 	 Hilton San Francisco Financial Dristrict perfect boyfriend . although probably well describe taxi driver one near china town , tell one financial district ( not exact address mis - place ) driver take we wrong one tell we financial district . within walking distance Union Square ( shopping ) 15mins 20mins Fishermans wharf ferry Alcatraz . walk fisherman wharf good anyone want look around china town something eat little italy , right across road china town . the standard room reasonable size also reasonable sized bathroom . comfortable . also really happy service . staff nice informative . overall look hotel modern still comfortable . good view aswell . 
 Mar 18 2009 	 great location great price great view . 	 friend stay Friday night , believe 14th floor ( ? ) . great view face Coit tower Alcatraz . room pretty clean , look newly remodel . enjoy appetizers cocktail bar downstairs . hotel walking distance ( across street ) Chinatown . rate GREAT ... less $ 100 2 queen bed ... mention great view ? ? ? qualm : try call front desk , neither phone room work reason . also , apparently wall pretty thin , come back around 1 am dinner cocktail , security come door ask we & quot ; keep & quot ; . oops . 
 Mar 16 2009 	 okay room great service great location will back ! 	 good thing hotel location . be right Chinatown . room okay , comfortable , clean modern . really like desk window . hada room face Coit Tower , view great . however , reviewer say noise true . 9th floor , hear garbage truck traffic noise night . back location , everything wanted see within walking distance . walk North Beach , Fisherman 's Wharf , Pier 39 Union Square . cable car three block away . town crazy politic , San Francisco still beautiful city United States . clean air , beautiful weather , friendly people wonderful restaurant make stay enjoyable . here tip stay Hilton : not valet park hotel . cost $ 54 per day . public parking lot right across street $ 24 day , out . do not order wine hotel bar room service . first night glass wine hotel bar , Flyte . glass wine $ 12 . next day find gift store half block away specialize California wine chocolate . $ 10 $ 15 per bottle . open bottle Napa Chardonnay room enjoy beautiful sunset . ROMANTIC.Do not know eat , ask staff . helful . doorman know city quite well . 
 Mar 15 2009 	 great hotel/ Good Location 	 room top floor balcony look toward wharf ... really like balcony . room nice service good . location next Chinatown good hike wharf possible . 
 Mar 4 2009 	 another great stay great hotel 	 stay particular Hilton 6 7 time last 3 year . use loyal Stanford Court customer , year , experience Hilton consistently well . stay Stanford Court 2 3 time year 8 -10 year never acknowledge somewhat & quot ; regular & quot ; customer . time go Hilton , say & quot ; welcome back & quot ; . always receive beautiful room , high floor , overlook Coit Tower Bay . room extremely well appoint large work area nice bath . always good service housekeeping ( tip every day ! - think fair ) . get to love free wireless internet - place charge 10 - 12 $ / night . visit , misfortune cancel flight ( snow northeast ) stay 2 extra day . receive fair & quot ; spot & quot ; rate . new favorite couple year ! 
 Feb 26 2009 	 Great Location 	 sink drain slowly , 45 min hour , call front desk . send man half bottle Liquid Plumber . poured say , & quot ; wait 15 minute use it . & quot ; say use use Draino expensive . Yep , say . flush toilet , back brim . call desk different man bring plunger say flush stand hold handle . tell sink still not drain . smile say hotel 40 year old . ' m complainer not want fight vacation . will never stay . 
 Feb 26 2009 	 nice folk city ! 	 lucky assign Hilton Hotel Financial District PriceLine . front desk clerk , Stephen excel friendliness give member party cordial welcome assign we beautiful room fabulous view Nob Hill - floor . woman 3 generation family come city honor Mother 's birthday one would thought event hotel ! lovely suggestion meal weekend , detailed direction city attraction , handwritten map , manager duty one morning even give cell phone case get lose need help find way back hotel . mother travel business 50 year , family experience traveller IMPRESSED . hotel clean , modern , comfortable well maintain . believe recently upgrade remodel . real attraction place people . definitely go back . 
 Feb 15 2009 	 love 	 love hotel ! location amazing , block Chinatown . location , walk hundred shop , restaurant , nice bar . drawback hotel seven block Montgomery BART stop , plus side # 1 bus run right hotel . internet work well , lobby nice , room excellent . 
 Feb 8 2009 	 Happy Chinese New Year ! 	 pick hotel weekend excursion attend Chinese Street Festival view Chinese New Year 's Parade . perfect spot , walkway right Kearny Street tail end parade route . hotel extremely busy , obviously due parade festival event . thus , think perspective taine due crowd people . honor member use least decent service , particular weekend stay memorable everything less expect . pro : fantastic view picture window . cable electric outlet laptop long working desk run along window , view day night awesome . location really Chinatown Financial District , location unbeatable purpose . con : room service fast , quality food poor . check late hungry , unfortunately use room service instead walk across street many great restaurant Chinatown . bathroom dirty , hand towel wash cloth . several garbage container room , one empty previous occupant . toilet sort water saver , make loud startling noise , handle nearly broken . La Source amenitie Crabtree Evelyn replace daily , disappointed housekeeping generally everything . $ 5.50 bottle water $ 18.00 TruShea body wash ( spa downstairs ) worth money . parking expensive , take advice previous Trip Advisor member park across street Chinatown half price . 
 Jan 25 2009 	 call Chinatown 	 stay 5 night . hotel beautiful location turn okay . however hotel call financial district , call china town , clearly locate . room great view Coit Tower wifi free . 
 Jan 14 2009 	 amazing view good location 	 get great deal priceline , otherwise would pricy value ... good hotel , question - staff helpful friendly . room tiny , bathroom even tiny . outdoor roof - pool nice suprise , unfortenutaly without view city . overall standard Hilton experience , staid already well hotel price range SF . 
 Jan 13 2009 	 Paper Thin wall 	 unfortunately not know hotel go get Priceline pay $ 90 ( plus taxis parking ) can not really complain . want warn reviews paper thin wall correct . give room 11th floor lay disbelief actually hear people talk street & amp ; could not wait late hour neighbor going return thi night town . country bumpkin . grow great Los Angeles area amoung place . light sleeper . prepared stay , maybe bring ear plug ? , room clean , bed comfortable staff great helpful . unfortunately nothing paper thin wall . 
 Jan 12 2009 	 nice experience 	 Booked hotel Priceline hence choice get room choice certainly happy result . we stay Holiday Inn remodeling room really show . room good size comfortable sofa comfortable easy chair otterman . desk area stretch wall wall windows modern rolling shade . bed comfortable adequate pillow . our room one low floor ( 5th ) still nice view North Beach Coit Tower . imagine view would high floor . oh sure city noise . San Francisco . not experience noise room review complain . occasional footstep room would consider excessive bothersome . live middle several acre land middle El Dorado National Forest close neighbor several hunderd yard away use noise city traffic trash collector bother we . the problem run shower take excessive amount time heat comfortable temperature . really waste water can not afford waste Northern California . hotel really work problem soon possible . since room cost $ 80.00 night think really bargain San Francisco 
 Jan 8 2009 	 Spectacular view get one ... 	 Hilton Financial District discovery husband ( live San Francisco ) . spend 3 night right Christmas ( Christmas day spend shangri - la Santa Monica , separate review ) .The positive thing - top floor bay view room stun panorama bay , Coit Tower , Alcatraz Bay Bridge . hotel well locate , really walk distance major attraction , dining , shopping business . 2 hour toured area Embarcadero Ferryhouse Pier 39 back hotel Washington Square . also Union Square 's fun walk back hotel main gate chinatown . the hotel within several block Post Square BART station , hilly one walk even luggage ( save taxi rental car parking expense from / to airport ) .The breakfast selection quite decent , personally like option continental full breakfast choice , difference hot dish second . Continental include coffee / tea , juice , bread pastry , cereal , fruit , salad bar , cold cut ( cheese , hams smoke salmon ) .The negative experience stay start upon check - in . book hilton site executive floor bay view king bed room . case even reconfirm check - in room nice view assure view fantastic . apparently front desk gentleman 's idea & quot ; nice view & quot ; different - could see window room roof chinatown ... request exchange room , bay view room available 2 double ... ok , view worth ... finally ( since get late ) decide drink refreshment executive lounge ( access include room rate ) ... surprise ! hotel staff ( front desk gentleman , seem one person time front desk time day ) & quot ; forgot & quot ; inform we executive lounge closed renovation Christmas week ! ! ! request substitution breakfast ( suppose lounge ) nicely inform 's possible .... care book executive floor room lounge access price show ... issue resolve , not feel like get unpleasant time consume argument Christmas ... 's much fun stuff SF ! ! ! one strange experience stinginess toiletry ... apparently one piece soap ( one per bathroom ) enough 2 people 3 day ... shampoo lotion , ' ve never replenish ... 
 Jan 8 2009 	 nice good location 	 travel S.F . 4 day work nice stay Hilton Financial District August 2008 . room spacious , comfortable clean , location -- base Chinatown -- fantastic . could walk everything ! plus view amazing . concierge professional helpful , overall near perfect experience . 
 Jan 8 2009 	 beautiful view lack detail .. 	 travel business , would excellent place stay . room hotel really design business traveler mind . hotel modern stylish comfy bed . hotel call ' financial district ' , really Chinatown / North Beach . pretty much end financial district , may want see really close need be . pro : nice room layout , good bed , GREAT view , newly renovate standard amenity 4 star hotel , complimentary internet large desk / work spacecon : ridiculous parking charge ( $ 50 , live S.F . year , standard , park across street HALF ) , slow valet ( call way ahead get car ) , convenient many financial dist . area , bathroom 3 star ( standard ) , free soap , etc pay choice ... 4 star ? tacky ! , miss light bulb , broken iron , unplugged lamp old tv . oh , rude unfriendly desk clerk give double ( ask king ) , roll eye return switchI would stay , would park elsewhere arrive early enough inspect room bed sure proper lighting working iron . Hilton would step service , town lot competition . 
 Dec 11 2008 	 take ear plugs 	 Paper thin wall noisey - even stay high . room clean nice bed . overall exceptional value money weekend book hilton.com 
 Nov 30 2008 	 perfect ! 	 husband SF overnight b - day . location perfect husband plan room great . view Coit Tower part Bay . bed comfortable ! ! husband call advance champange fruit / cheese platter wait we . front desk staff average check- check - out . valet parking staff really nice ! thing valet parking ( overnight ) cost $ 47 ! ! ! wow shock . use parking fee City hotel thin $ 25- $ 30 per night $ 47 . much get good deal Hotwire ! put aside everything really nice enjoy stay . 
 Nov 29 2008 	 Average 	 stay hotel 2 night San Francisco . Hilton Diamond get upgrade executive floor . room spacious well decorate . executive lounge usual Hilton Standard continental breakfast sparce compare many Hilton Executive Lounges USA . much business hotel hotel eg Westin much central well value money . average nothing special . 
 Nov 18 2008 	 Nice dig 	 Super nice accommodation . remodeled less three year ago , Hilton 's get luxurious , clean , contemporary feel . outside still look like soviet fortress , care ? bed feature beautiful linen , feather bed , comforter pillow , european - style duvet . everything feel clean new . great service around , parking attendant concierge . think major jam realize forget pack couple basic personal care item not time run drug store catch ferry . quick flip Hilton 's guest book reveal & quot ; Forgot Pack & quot ; service , offer dozen toiletry cost . room service deliver item five minute ! major complaint : * ton * street noise . even 10th floor could hear conversation sidewalk , trash collection early morning sound like right outside window , Harley went feel like inside tailpipe . maybe something go outside acoustic ... 's tip : hotel business district not busy weekend . go priceline bid $ 99 / night four - star hotel area ; priceline counter - offer $ 120 / night business . compare $ 300 / night hilton 's website . 
 Nov 13 2008 		 husband & amp ; stay Hilton San Francisco Financial District last week October .... tripadvisor addict travel place figure owe fellow traveler post review west coast adventure . Hilton San Francisco Financial District many pro , yet many con .... con : ~I not want believe tripadvisor rumor ... yes true ... wall paper thin ... actually may wall ... room adjoining door next room ... luck ! ! ! celebrate 1 year anniversary accompanied yell scream curse sport channel next door ... amazing , mean feel like sit room guy next door cheer World Series ... thank goodness check next morning last 2 night quiet ! ~The restaurant ... excite eat cool retro restaurant ... sum .. 2 table lounge area ... sit quick drink food b / c tired venture SF ... 11 minute sat get greet server ( forgot name ) ask drink list menu ... 4 minute later get menu ... 8 minute later take drink order .... 16 minute later receive drink ... anyways will not even continue ... let say bad dining experience ever ! ! ! feel dumb place ... & quot ; hospitable & quot ; hilton motto yea .... think need re - evaluated restaurant ! ! PROS : ( let end good note ) ~ concierge desk FABULOUS ! ! well ever encounter .... ERIC staff awesome ! Everytime encounter Eric make feel like queen something .. good recommendation dinner thing etc ... nothing much trouble . think hospitality concierge desk staff 200 % .... truly make forget restaurant experience leave hotel positive note ... purely b / c concierge ... ~Daphne ... never meet know get thing do appreciate ! ! ~THE VIEW room amazing ! ! nothing like ever see ! ! ! see pic ~ Location ... walk chinatown , walk union square , walk 4 block catch trolly fisherman wharf ... good location ! ! ! ~The hotel beautifully appoint clean ! ! ! , beautiful hotel , great concierge staff ... great roomservice gentelman ... area need work .... San Fran would stay Hilton Financial District see concierge staff enjoy beautiful view nicely appoint room : - ) 
 Nov 8 2008 	 great hotel 	 get great rate $ 125 per night Priceline hotel . the hotel right next Transamerica Pyramid one side Chinatown . 's 10 minute walk Market Street / Union Square , mostly flat . good bus connection . the hotel look terrible outside - really drab look building - inside different matter . bright lobby , smart room . useful desk run along one side room front windows - city view 15th floor . room free wireless access . great location , great rate , comfortable room . 
 Nov 1 2008 	 great hotel 	 great hotel . hotel San Francisco go little loud . car always seem honk something . yes , could hear people next room . not bother . always sleep ear plugs hotel . stay 25th floor give access concierge lounge . breakfast great every day . alot variety day day , plenty choose ; cereal , bagel , muffin , english muffin , lot fresh fruit , orange juice , cranberry juice , coffee . evening vegetable , dip , cheese , bread , cracker , coke , sprite , water , & amp ; hot appetizer . enough light & quot ; snack dinner & quot ; . room functional clean . bed comfortable . even though literally right next China town really great location . Columbus street block away plenty public transportation GREAT food . great bonus hotel offer town car transportation morning - free charge ( course tip generally expect ) . would definitely stay . 
 Nov 1 2008 	 Location Decor Trump 	 Stayed conference , come away positive feeling hotel . hotel locate right next Chinatown , like chinese food , will hog heaven . sure try Dim Sum lunch Imperial Palace - two day row . also go Empress dinner ... block away . I take Super Shuttle hotel SFO $ 17 plus tip . never need car three day stay ... plenty place eat within easy walk distance . the room ( 813 ) nicely furnish decorate , good use relatively small square footage . picture window span entire wall , desk run length window . room great view Coit Tower occasionally San Francisco Bay distance . room still old style tv , instead flat screen seem common . relatively minor maintenance issue room , nothing could not live . include black - out curtain rip & quot ; repaired & quot ; Band - Aid , phone not work ( one assorted single call button , none functional ) , struggle heater , seem lock unusually cool 70 degree . shower take little getting use , since shower head shoulder high ( ' m six foot tall ) .I would characterize front desk service competent , overly service orient . valet greet upon arrival ... get impression really busy conference attendee ( other ) . room service dinner good first night ( Pacific salmon ) , so - so last night ( parsimonious club sandwich ) . folk deliver , though , pleasant efficient . room single cup Lavazza coffee maker , day provide single supply caffeinate coffee one decaf . one cup not enough morning ... need . despite relatively minor problem , location decor trump . have problem return next time ' m San Francisco . 
 Oct 30 2008 	 Fantastics view San Francisco 	 Good Hotel . Advertised & quot ; business hotel & quot ; guess mean small lobby . Hilton Honors card must work , upgrade top floor ( 27 ) balcony great view SF harbor Coit tower . room well do , nice amenity kit , floor free internet ( think free floor ) . Front desk friendly . housekeeping leave thank note pillow tip . close China Town , public transportation easy , short walk much else . avoid bring car SF hassle . overnight parking hotel $ 48 , $ 24 public parking structure across street . get good rate , good hotel would recommend , even without floor 27 . 
 Oct 26 2008 	 Uncle 's Hilton 	 drab architecture building evidence use Holiday Inn . room common area completely redone look like upscale boutique hotel . the room redesign modern warm decor . good part long desk line window easily distract great view . usually prefer wired internet access almost always signal strength consistency problem wireless , . good strong signal time . japanese style slide door bathroom one good ' ve see almost space along side - common problem hamper privacy sharing room . comfortable bed compliment stylish chaise lounge . I spend much time hotel impress design lobby food retail outlet . staff pleasant helpful . room service breakfast pricey tasty time . one good thing hotel 's location . sandwich Chinatown Financial District , one block away R & amp ; G Lounge House Nanking - two Chinatown favorite . short walk take Chinatown North Beach . lastly , review read excessive noise worry , disturbed - internal external noise - one iota . notice ice machine loud room next might think differently . 
 Oct 25 2008 	 ok nothing nothing less 	 visit San Francisco busy time year book Hilton good deal . I ' ve stay O'Farrell St Hilton really please . Hilton good . to begin , run street edge Chinatown Financial District . street pretty grotty closed shop nearby . positive couple block tram one block Chinatown business area . the building pretty grim , grey concrete . reception ok obviously high end Hilton . we receive welcome note advise choose check early USD100 ' admin ' charge would apply . not know new Hilton policy 's one ' ve see before . room ok , small OK . bathroom tiny ok clean . beware light sleeper , sound proof great . overall hotel ok , pretty bland OK.On return notice USD6.50 charge card ( interestingly cost bottle water room ) . query ( know USD6.50 not much hey be still money owe ) . promise refund money still leave bit bad taste mouth . would reccommend hotel ? depend , say be ok certainly well hotel , include Hilton San Francisco . 
 Oct 17 2008 	 great room ! 	 stay hotel one night Alasca cruise , wish stay more . o.k , first bad thing . when check , man reception could not find reservation ! not remember long wate check re - check . half perhaps . finally , find reservation say not twin bed avalable , ask ( 2 girl ) .But , offer we amazing king room 26floor ! , good thing . the room 2601 spacious , clean , elegant furnished , amazing view gigantic window ! really , not go tourist place town see city above . we could see Alkatraz , harbour , coit tower , ... huge part town . say enough ! bed also soooo comfortable ! bathroom great , essential not think door problem mention other . in overall , money give ( 137 euro one night , breakfast ) , consider good deal get . 
