view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Mar 14 2009 	 good good . 	 expect 5 - star experience get merely good . nothing room common area really compare might find true luxury hotel . still , stay pleasant complaint reality matching expectation . Top Mark miss , drink live music / dancing . 
 Mar 5 2009 	 Location Location Location ! ! 	 stay hotel last year wonderful time ! hotel beautiful , location perfect ! able walk short distance catch cable car public transportation . also offer complementary car service every night take we muni station . our room double room . spacious SF . bathroom huge ! elegant comfortable . lobby always immaculate . stay 5 night sad go , continue trip Sonoma . the & quot ; Top Mark & quot ; nice place enjoy cocktail good tune evening head dinner . would also nice nightcap . can not wait return ! ' ve stay InterContinental hotel actively seek Mark Hopkins . 
 Mar 3 2009 	 Fantastic City Scape Package 	 choose ' City Escape Package ' include breakfast buffet two Nob Hill restaurant first floor , valet parking , consultation Concierge , check - out 2:00 pm $ 149 . place 12th floor face city . room comfortable quiet . nice view city . consider valet parking $ 45 breakfast buffet two $ 76 great deal . breakfast buffet delicious combine attentive , efficient , cordial staff . chance package value leave disappointed . fantastic experience . 
 Mar 2 2009 	 amazing service ! ! ! 	 parent stay Mark Hopkins past weekend concierge amazing help make visit special . anniversary call send gift put room arrive , make happen seamlessly . parent call upon arrival say , sound like hotel go beyond ask term room special extra inside . completely surprised ecstatic ! ' ve stay hotel think 's great general . love bar top hotel , amazing view . 
 Feb 22 2009 	 beautiful hotel 	 Fantastic view Top Mark , room amazing . location perfect , two different cable car line . great place see city . absolutely recommend ! slight negative price breakfast , steep consider cost room . 
 Feb 11 2009 	 stunning place 	 love hotel . shop reception top hotel amazing bar enjoy cocktail look sparkle light San Francisco . our room fairly high build nice see cable car go day watch congregation Chinese Tai - Chi top low building garden opposite ! tv & quot ; Welcome & quot ; ( follow surname ! ) arrive . San Francisco great place visit great hotel spend night . 
 Feb 10 2009 	 always good ! 	 wife come San Francisco long time ( 40 years+ ) . year stay top hotel & amp ; bottom ! since start stay Mark Hopkins stay else . hotel top game take care hotel guest . guest service staff make place stand . positive review cover 's right hotel . Mark Hopkins comfortable well ..... make sure guest enjoy stay . stay Mark Hopkins one main reason return City . if look hot new place moment , full glass brass gimick lobby bar etc . not stay . look comfort , service , fantastic location , personal attention , stay . people come contact stay make feel welcome door - man room cleaning staff . long - term consigiere helpful could probably arrange open heart surgery need ! ! ! management staff behind scene , know , ever need . 
 Feb 6 2009 	 Great Classic Hotel 	 book 4 night stay reward point . double bedded room view harbour Fairmont hotel , reasonably sized room , well furnish clean , bed super comfy , large luxurious bathroom . breakfast cocktail Top Mark , expensive , well worth view experience . if look huge bling style hotel , & quot ; lobby experience & quot ; stuff hotel . classic historical hotel , luxury understate , top . the Mark Hopkins centrally locate , although need walk hill get anywhere - San Fancisco ! however run free limo service Union Square . overall nice hotel , would happy stay . 
 Jan 27 2009 	 Love Mark Hopkins ! 	 love Mark Hopkins ! boyfriend stay several time always enjoy stay . stay Mark twice December always get great rate low season , usually around $ 150 . concierge super helpful everything , upgrade we , make reservation dinner , hold birthday cake hotel kitchen we . deluxe king room absolutely huge bed really comfortable . also , sunday brunch top mark beat ! 
 Jan 21 2009 	 memorable experience ... 	 stay one weekend January friend . property location can not beat - adjacent two ( yes , two ) cable car line easily reach form transportation . upgrade upon arrival staff 5 star way . call towel send we less one minute doorbell rang - ' ve never see prompt service . view access Top Mark can not beat - see place rate highly . small Fairmont- almost boutique hotel really , full history charm . not state art place term technology , remind age hotel truly grand place . gripe breakfast ( delicious ) incredibly overprice . bathroom superb , bed linen excellent coud not ask well experience . 
 Dec 30 2008 	 great location nice room - slow internet ! 	 third time stay Mark Hopkins - initially concern 2nd floor room assign , view actually pretty cool Nob Hill towards Market Street / the South . room large super clean . the thing irk painfully slow wireless internet connection . inconsistent , slow - especially watch stream video / music . San Fran - center tech world - reason internet connection soooooo slooooow . service fine location great - stay , hopefully connection speed wireless router ... 
 Dec 28 2008 	 Quite Expected Perfection 	 take advantage travel deal currently occur choose stay week early December 2008 . first thing look window receive first minor disappointment – " bay view " room like " city view . " yes could see corner Alcatraz Island stand near window look street . stand middle room look window , view Grace Cathedral , bay . good news ' pretty good view , especially night December tree park light interior light shine window cathedral . room ( standard room king bed ) quite luxurious . large , nicely decorate room retain historic trim lush bedding , walk - in closet , marble lined bathroom . furnishing also include Radio / cd player dvd player , mini - bar room stuff armoire also hold tv . choice newspaper ( newspaper ) be / be deliver morning . several item detract room opinion . first , tv ' flat - panel TV . , ' " 5 - star " establishment day ' upgrade tv – ' expensive anymore . second internet charge ( approximately $ 10 / day ) . internet charge bug internet include almost every " basic " hotel day certainly cost hotel anywhere near $ 10 / day provide internet service room . finally , lack drawer space – 2 small drawer one medium drawer armoire hold tv mini - bar . public lounge area hotel small – convert either restaurant " Executive Club Lounge . " lounge nice 42 " plasma tv , game , book , newspaper , satellite radio , internet , complementary beverage , pretty full breakfast ( basically deluxe cold buffet smoke salmon , nice cheese , fruit , bread ) , snack day . plus another concierge type person lounge provide assistance . problem course Club Lounge ' open general guest – color charm set back $ 30 per person per day stay " Standard Room " include " Executive Club Level Room " . use lounge extensively one cold rainy day ' much sight seeing , ' hard press recommend pay either part room cost separate charge . Service Mark Hopkins shine . every staff member deal incredibly go way help we need . especially deal couple minor problem course get we airport fly home . respect – achieve perfection . hint – door California Street mark " Top Mark " ' restaurant . lead elevator lobby room pretty quickly save part walk hill Powell Street cable car . hint 2 – basic transportation up / down Nob Hill cable car . cost $ 5 trip . therefore , want muni - passport ( 1 - day $ 11 ; 3 - day $ 18 ; 7 - day $ 21 ) . see info : http : //www.sfmta.com / cms / mfare / passports.htm get CityPass want include museum . 
 Dec 28 2008 	 elegant stay San Francisco 	 stay weekend professional meeting . location great service outstanding . room somewhat small view bridge splendid . top floor bar / restaurant bit pricey exhilarate view city bay worth splurge . would definitely stay . 
 Dec 23 2008 	 Great Hotel - Great Location 	 many night research hotel trip decide Intercontinental Mark Hopkins . glad end Mark Hopkins . great location , beautiful hotel Nob Hill . ROOMBooked Excutive Level King - Room 1422 . room grea view Golden Gate Bridge / Bay , Grace Cathedral California Cable Line . ask room . it old hotel like many San Francisco well - maintain nicely decorate . not find room small normal hotel ' ve stay travel . CLUB LEVEL MUSTMake sure book Club Level room . well worth extra cost snack drink alone . nice lounge serve 5 mini - meal throughout day start 6:30 - 10:30 believe . great grab breakfast , snack tea afternoon , lite appetizer drink evening . especially nice travel east coast not adjust time difference . go read morning disturb other . Nancy Concierge Desk informative answer question may . morning friend day ! TOP MARKThe view great ! dress go drink dance ! book website hotel directly , check back see rate drop . book find reduce rate day prior leave hotel match price . also check company corporate rate . able get great price worth stay here . warning : PRINT RESERVATIONS ratesmake sure print reservation include rate . gripe call speak directly reservationist new rate reflect system . bring along new confirmation charge high price . even present email confirmation second guess Front Desk . want start trip travel several hour . note Front Desk staff first impression guest . gripe entire tripI highly recommend get City Pass ( Citypass.com ) California Powell Cable Cars run literally front hotel make get place city breeze . include unlimited cable car ( $ 5 one - way ) muni bus $ 57 7 - day pass include admission attraction museum . get time also check Mr. Toads Tours . sound corny 100 % touristy care well worth money ! Tadish 's California Street worth wait . if weekend must Farmer 's Market end California Street - take Cable Car hill quick walk water . 
 Dec 3 2008 	 beautiful hotel quiet nobb hill 	 beautiful hotel right front Fairmont hotel & amp ; church . & quot ; upgrade & quot ; room locate powell street cable car , nice view , be loud day will wake . room california street side small , huge bathroom , quiet . downstair restaurant excellent ! take less 5min union sqaure & amp ; china town foot 's leave hotel . hill go back hotel fun . take taxi ! ! coast $ 5 - 6 plz remember hotel top hill . ! ! go cross street fairmont , get crossant & amp ; coffee morning . tiny french restaurant one block hotel excellent ( be local ) hotel definitely adult like quiet atmosphere . you not need airport shuttle . take train coast less $ 6 30min powell station , take taxi less $ 6 hotel . public bus $ 1.50 good couple ride . much cheap & amp ; fast cable car . 
 Nov 17 2008 	 Old World Excellence convenient location 	 book double view room Nov. 11 - 16 could not pleased . although Golden Gate view available King room , view Transamerica Building downtown beautiful , especially night . Location Nob Hill central everything cable car convenient public transport close hotel , although use hotel 's town car muni bus . room huge bathroom tight , everything spotless expect amenity . historic hotel show age , everything seem maintain well . breakfast buffet Top Mark good view spectacular - sure complaint . buffet arrangement breakfast , always pay eat early . service exemplary throughout stay , not ask much . room button could request maid service housekeeping seem always clean room shortly activate light . local town car service big plus come early Sunday morning hail cab airport , hotel offer town car $ 45 - roughly cost cab . hotel San Francisco classic . 
 Nov 2 2008 	 nice hotel small room 	 Mark Hopkins lovely hotel Nob Hill district . deluxe room 350 sq . foot , clean comfortable . staff front desk overly friendly . if book hotel 's website , like check back often see rate come close get check date . call hotel twice rate reduction offer room book significant discount time . a visit historic Top Mark must views city clear night beautiful . one night date visit bar 12:30AM , turn away despite post closing time 1:00am . little frustrating . find next night want close early get ready brunch crowd next morning . overall , stay Mark Hopkins disappoint . 
 Oct 18 2008 	 elegant home San francisco 	 tell hotel complete day Wall Street crash whether true hotel confidence appearance 20 's . see frescos conference room - one almost hear flapper . the hotel comfortable , staff pleasant structure impressive . elegant , ground floor flood light sparkle . room , mine mid - range , comfortable , though take time find light switch . top - of - the - mark , fun . night entertainment , piano , singer course , impressive view every direction city . stay number hotel San Francisco . one become home . top - of - the - Mark , haunt . recommend hotel work . lift tell slow buy hey 's 1920s building , one , would wish different . 
 Oct 15 2008 	 Love Bar 	 Love Mark Hopkins - stay recently take conference group San Fran April 09 . wonderful hotel staff go extra mile accommodate need . bonus use Town Car ( hotel offer free - tip driver think fair ) great may wait 15 min worth wait driver & quot ; Dave & quot ; . offer great insight San Fran friendly love relaying story famous guest drive ( bad story nice one ) . cocktail bar well ... cocktail cheap ( compared bar similar Sydney Australia ) service great - ask cocktail not list happy make specification ( mind 100 cocktail choose ) . bar snack reasonable well recommend Corn Chips dip ( fresh , flavoursome plenty ) .. hotel prime location ( although recommend walk hill catch tram bus back ) .Its cheap hotel benefit worth .... Love San Fran love Mark Hopkins ... 
 Sep 29 2008 	 historic hotel great customer service 	 stay one night international flight . tired stay hotel tour stay . book directly . we ambassador status upgrade request honored.1 ) room 4/5 - historic hotel room design way modern convenience . bathroom marble floor granite top . like tub area look old . view great . room large even upgrade . 2 ) customer service 5/5 - excellent , check we early 9 . porter busy try help much . concierge helpful direction arrange airport limo price cab ride.3 ) location 4/5 - excellent safe difficult walk around due steep incline . otherwise , Nob hill good place be . overall , like historic hotel , one . customer service great view one good San Francisco . 
 Sep 25 2008 	 Loved Hotel ! wow ! 	 boyfriend stay one night travel San Francisco . actually get great deal room Priceline morning stay ! extremely pleasantly surprise beautiful hotel hard time leave ! staff go beyond we stay recommend fantastic sushi restaurant hill even arrange car service take we Italian District ! swear feel like contest ! would love stay ever back city would highly recommend anyone ! 
 Sep 23 2008 	 great location - business pleasure 	 recently , travel San Fran conference get stay . hotel traditional architecture date in - room amenity . room spacious view decent . wireless expensive spotty - expensive hotel pay type service ? walk distance ( although hilly ) main attraction great food . service point overly impressive . 
 Sep 20 2008 	 worth price ? 	 return business trip favorite city . Mark Hopkins lovely old hotel top Nob Hill . room overlook Grace Cathedral fourth floor . view top floor particular & quot ; Top Mark & quot ; restraurant bar awe inspire . nice part enjoy Top Mark without incur cost room ! cable car go right hotel California Street excellent option get to / from Fisherman 's Wharf Union Square . latter within walk distance walk back hotel uphill . steep hill ! ! room clean , small well appoint . internet connection efficient . able extend check time problem . go meet one meeting room , jacket ! cold . food excellent . many wonderful hotel choose San Francisco Mark Hopkins one . say , would spend money ( cost / value ) stay . 
 Sep 3 2008 	 Top Marks Top Mark 	 Located Nob Hill , hotel work spectacular view San Francisco . I lucky room 17th floor fanatastic view . staff could helpful check - in departure . Club Lounge ground floor relax space read newspaper enjoy evening night cap . lounge staff attentive helpful ( explain catch good sunset travel particular tourist point ) .The Top Mark restaurant must far reach view tuck breakfast ! enjoy comfortable two night stay would recommend hotel staff ! 
 Sep 2 2008 	 big price so - so 	 First hotel confirm price much low one advertise . call make sure not mistake , resent confirmation email . arrive quote original high price would honor confirmation . room small pay especially get room either end building . location nice view convenient get around city . work area pretty basic . would recommend place general . 
 Aug 26 2008 	 Lovely Hotel Top Hill 	 despite annoying check - in young front desk girl try pawn king room despite two double request several time show printout , stay overall pleasant . manager remedied situation within two second get room reserve . bell man valet extremely pleasant helpful . lobby , course , gorgeous . room small well do . beautiful large granite bathroom brass fixture . bed super comfortable luxurious linen . top Mark always fun couple cocktail view . pretty much would expect Hotel caliber . parking charge ridiculous , hotel parking San Francisco . big surprise . walk Union Square downhill easy part . come back ? much , good exercise . you pay little Mark everything , nice place stay catch decent rate . 
 Aug 2 2008 	 Top Hill 	 nice hotel . room large nicely appoint great view city . stayed 3rd honeymoon disappoint . however , definitely expensive hotel parking fee $ 50 per night . another warning , top Nob Hill , steep . cable car pass directly front hotel $ 5 per ride . 
 Jul 27 2008 	 beware overbooke 	 beautiful hotel obviously overbooke summer . manager state comment party & quot ; people use bed luggage & quot ; . comment response two double bed room available even specifically request room two bed . roll away alternative welcome response . although staff purport excellent customer service , experience ( four adult ) .Having travel extensively disappointed service , pleased hotel 's grandeur location . 
 Jul 26 2008 	 stay across street Fairmont Hotel 	 architechturally hotel beautiful staff live professional standard . stay Intercontinental Hotels across world personal experience hotel would never recommend anyone ever stay another intercontinental property . recommend Fairmont across street . 
 Jul 21 2008 	 Ideal San Francisco experience 	 spend anniversary weekend Mark Hopkins . never stay , hear whole life , expectation dangerously high . pleased report hotel meet exceed expectation every way . location convenient -- intersection three cable car line -- atop serene civilized Nob Hill . ( get transit pass , way -- $ 5.00 ride cable car fare really add fast ) . hotel old perfectly maintain , charm character could hope . room , corner 11th floor , outfit luxury would expect , ( like umbrella , clever two - way shade bathroom could see one could see , newpaper ( NY Times , less ) deliver cloth bag doorknob . ) bed top - notch , bathroom luxurious spacious . small thoughtful touch : room key holder handy fold city map attach . Top Mark bar justifiably world famous , hotel guest cover charge waive . 
 Jul 12 2008 	 Great Hotel 	 ICMH great city hotel offer ombiance old Nob HIll . location handy , hotel staff helpful breakfast Top Mark inviting . spend three day visit City Bay find hotel perfect every way . 
 Jul 8 2008 	 nice hotel top big hill 	 hotel rather beautiful , prime example one old classic fancy historical hotel . 's renovate room , bed , bathroom , etc update nicely . staff friendly nice , helpful whenever ask . , decor beautiful lobby around . ' m sure folk complain hotel . bad thing room , locked , adjoining room , 2nd 3rd night , neighbor rather noisy . , wall thickest , fault anyone particular , frankly situation noisy neighbor thin wall often happen many nice hotel . think ' m light sleeper . in term shop , dining sightseeing , be right next anything . cable car ( $ 5 per ride , transfer ) right outside door cab readily available . chinatown minute away hill . Fillmore St nearby hill side . ferry Market Building bottom hill ( Chinatown ) , clear day see great view city Top Mark , free look around in . I enjoy stay recommend hotel , especially conference , ! 
 Jun 23 2008 	 Nice hotel - efficient 	 stay hotel June 18 - 22 conference say well organize , clean staff helpful nice check check efficient . I would stay , walk distance Union Square , main road trolley close china town easily get around . one thing really like card holder room key , 's little map common direction little map site help locate main place visit use quite often . it be popular hotel wedding , conference tourist general seem well manage . 
 Jun 13 2008 	 wear 	 live bay area SF early morning decide get room use Priceline . never Mark Hopkins , high expectation intercontinental brand . sadly , hotel not live expectation . unfortunately give smoking room ( Priceline less accommodating , be another story ) . room fantastic view downtown , quite worn - scoff mark wall , could really use paint job , clean really bad - almond floor loooong hair one towel ( whatever reason , find people 's hair always creep ) .Overall , furnishing adequate , par class hotel . location , area well - serve transit , exactly & quot ; union square & quot ; area & quot ; downtown & quot ; hotel - Nob Hill significant trek Market . 
 Jun 6 2008 	 wonderful time 	 stay Mark Hopkins Mother 's Day weekend . room clean , comfortable welcoming . although partake special Mother 's Day Brunch , beautiful breakfast buffet lobby dining room . one day type breakfast buffet serve Top Mark view make whole thing well ! call room service twice service good . think staff friendly , quite honestly , one worry beforehand 6 - 7 year ago , front desk staff pretty darn snooty . anymore . pleased feel welcome . problem get around ... cable car stop right corner ... all - in - all nice , relax time . would definitely stay Mark Hopkins . 's beautiful hotel favorite american city .... else could ask ? 
 May 20 2008 	 Great San Francisco weekend 	 fortunate enough close SF come night , night celebration in - law 50th wedding anniversary . want something special stay somewhere would never stay . pick Mark Hopkins history , location also Top Mark bar / restaurant . our check flawless , room next 11th floor , face Grace Cathedral ( suppose bay view ) not want complain w / the in - law along . want effortless experience . room great big bed , way comfy ! great mini - bar course hubby probably $ 8 Corona .. whatever . order champagne strawberry room celebrate , Top Mark drink dinner . beautiful view ... wow ! even little fog fringe , gorgeous ! downside seem dress code . guess think classy place dress accordingly . sit next girl wear think handkerchief , really ... could see way much ... ' m prude , really . could not believe someone would dress like SF .. anyways , dinner ( hotel Jardiniere ) , back Top Mark nightcap . cover charge show room key ! great jazz band , hubby dance ( even w / his broken toe ) . sit we great corner bench table . view would amazing fog come hard fast . ... still gorgeous view . all would recommend hotel . everyone everything board feel like get money worth . inlaw impressed weekend success ! book directly hotel get pretty good rate . I definitely leave heart SF ... 25 year ago ! keep come back . travel world one favorite place ! make sure walk California Grant see Chinatown . fun ! 
 Apr 26 2008 	 '' get pay 	 not get pay . expnsive hotel ammenitie get . spend $ 13.00 one page facsimile business center ! spend $ 50 buck night park car hotel . I spend $ 24 buck drink bar . if money object , be beautiful hotel . 's conveniently locate . service bad 4 star 's sure . room bad bit small side . food decent . brunch good course ... expensive . there well place money stay next time unless special pricing go . 
 Apr 22 2008 	 pleasant surprise ! ! 	 other mention Mark Hopkins treat Priceline customer & quot ; customer & quot ; , give smoking room street level . experience . see review , go armed knowledge though purchase reservation Priceline , still customer . hotel chose offer room Priceline , say Priceline customer customer completely false . ready fight ... husband respiratory condition , stay smoking room would made we miserable . walk front desk , nice gentleman greet . say check ... pull info , ask right away want smoke non - smoking room , king two queen room . offer put we corner room view ... offered put we suite not mind smoking room . say Thank , take corner room third floor . amazing view downhill towards Union Square . never mention Priceline customer ... handle professionally , like high roller . surprised , pleased . and , ABSOLUTELY must brunch cocktail Top Mark ... well view entire city . hope Priceline give we hotel ! ! ! 
 Apr 16 2008 	 stylish extremely comfortable 	 Dad partie Top Mark way Pacific Theatre WWII . later take Mom weekend away . even go family focus trip Playland , Fisherman 's Wharf King Norman 's . wife 's Mom Dad business dinner client build business Sunday brunch often . naturally , prepared hate place could not get room favorite SF hotel . discover room 1025 junior suite . room really two room , spacious living room enough space dining table . decor , furniture art elegant understate comfortable . view San Francisco play kid , partie young adult return great affection . stay anywhere ; place terrific feel . be addicted . an arduous career mean lot business travel . adventurous streak mean wife child travel quite bit . be good traveler willing put lot , also know good service , gracious service exemplary service . would say Mark Hopkins deliver either latter two category recent visit . 's expect price point , think , deliver little extra elan . 
 Apr 15 2008 	 I.C.M.H . GREAT ! 	 really like InterContinental Mark Hopkins . be nice , clean , quiet . much would expect four star San Francisco hotel : indeed . room small , guess .... 's San Francisco , hotel room not small ? lack space enough make COMFORTABLE BED ! bed truly heavenly : two thumb ! yes dear reader ... well travel spend many night four five star hotel . I recommend hotel want fantastic location San Francisco : central , walk distance everything , safe neighborhood . , gym good ( use everyday ) ! thank I.C.M.H . great stay let check six hour early bad weather . : ) 
 Apr 13 2008 	 stay away - classy hotel go completely downhill 	 husband stay two night time cut stay short disgusted shoddy treatment would get . add insult injury , charge early departure penalty $ 50 . ' ve stay least dozen time past business pleasure visit family friend SF , could not wait get never stay . last straw program wake - up call 4:30am ( ! ! ) request . wake - up call feel " spit soup " know immediately set " Christina " front desk , refuse get we FEDEX box shipping material home night . rather follow , we call several time , keep we wait almost hour , even evade call . ultimately refuse get us box business center , express dissatisfaction . wake - up call coincidence . incorrect wake - up call rare hotel staff well - train . reason 2 guest upset wake - up call wrong -- one could miss his / her flight one ' want waken . in general , be look service kind , forget . will lucky anyone pick phone call . first night , try call receptionist , concierge , housekeeping , bellman , operator ( let phone ring easily 10 time try ) husband go downstairs find someone help we -- need towel luggage rack . ( would hate think play 's real emergency . ) hour later , get . result , arrive upstairs famous Top Mark bar restaurant get bite eat , kitchen close 15 minute early . other annoyance — we hear lot noise room next us hall , toilet not flush properly , coffee machine take 45 minute brew , bellman door morning want catch taxi , outrageous $ 51 park car $ 13 internet . while hotel renovate recent year , without good service , hotel lose 's classiness . stay , be tell friend , family , colleague stay away . Mark Hopkins staff 's poor treatment guest inexcusable . 
 Apr 2 2008 	 nice many option 	 's lovely property everything look great , lobby not big . walk be greet service place like hyatt westin nothing special . room average size pleasantly decorated- everything standard room first rate include marble bathroom minibar : 's 's much wrong mark hopkin be almost 400 per night , would expect dining option service . one restaurant meal , one ( albeit lovely night ) bar & quot ; top mark & quot ; . bar kindof snobby scene pleasant glamorous- be use spend 15 dollar well martini know people . hotel locate cathedral square : TOP nob hill walk square downtown bit trek- hell even cab way feel steep . be nice , nothing egregiously wrong place classy , quite worth . 24 hr room service though fortunate traveler unlike hotel end midnight . 
 Mar 29 2008 	 use believe second chance .... 	 second visit Mark Hopkins . stay last year partner never imagine would experience problem ! last year book directly Intercontinental assign substandard room clearly book pay lot money high level room Financial District view . much huffing & amp ; puff part eventually assign room pay . hope oversight last year , annoyed return year later encounter experience lead believe hotel staff need serious training issue guest relation hotel hospitality ! arrive late ( 11 pm ) , email hotel directly 2 week advance confirm reservation ensure hotel know would arrive late . email answer Guest Relations welcome back hotel return client . arrival , check - in less welcoming welcome platinum level Priority Club account holder . also , rather rudely , informed hotel full – concern ? despite request high floor book pay & quot ; superior room & quot ; via Venere.com $ 350 night without tax , allocate room 4th floor face street . good start holiday 20 hour journey . 5th floor room also dirty towel lie bed . return reception complain tell would need speak manager . question whether room allocate indeed superior room confirm although stay hotel find hard believe . comment dirty towel bed state room unacceptable match booking . response duty manager smirk " Oops " regard dirty towel . also tell hotel full . suppose excuse fact allocate room unsatisfactory ? never receive apology . eventually allocate smoking room 9th floor – book Priority Club profile clearly state non - smoking preference . reluctantly , accept one night tired travel almost midnight local time . second night move non - smoking room 11th floor proper view , request . overall , disappointed service receive hotel give general feeling staff favour accommodate something already pay ! subsequent stay new Intercontinental San Francisco completely different , well , experience never return stay Mark Hopkins . 
 Mar 24 2008 	 beware Online Bookers 	 not book stay via online site Inter Continental Mark Hopkins San Francisco treat customer . staff say & quot ; customer not like complane Priceline & quot ; . Priceline course say help customer , need deal hotel . never stay , never use priceline , intend make sure everyone meet know poorly two company treat people business . 
 Mar 24 2008 	 Excellent hotel top hill 	 get room Priceline bid . would pay full price , turn great place stay less money would pay less hotel . got to love Priceline . hotel centrally locate quick walk Union Square ton restaurant . ' classy place cater people money nicer intimate Fairmout across street . business traveler , find connection internet quite expensive never find internet café closeby . try email 10 minute $ 10 . sheesh . room big enough . huge , right one person . bed great terrific linen . bathroom clothe marble . put 7th floor back hotel , away street noise , quiet . room look bay Transamerica tower ' like look wall another building top Nob Hill . walk Sears Fine Foods breakfast day . walk back steep hill work delicious pancake french toast , though could taken cable car within block hotel . really like clock radio cd player build always bring music along . would definitely stay price right . the hill steep , ' walk much , might try something close downtown . walk hill serious exercise . 
 Mar 23 2008 	 really Nice Nob Hill Hotel ! 	 get hotel steal Priceline . could happy true 4 star hotel . true internet include , annoying . overall , hotel certainly top line way . would 100 % stay . great location catch public transportation also good jumping point explore city . 
 Mar 15 2008 	 good business travel 	 stay hotel two night recent business trip . colleague attend seminar hold Fairmont SF Nob Hill . Mark Hopkins directly across street Fairmont room available $ 60 / night less . Mark Hopkins classically decorate , stately hotel . part , good repair exception window rather loose casing provide good sound insulation street . good touch include wireless room , available fee , well - stock mini - bar ( somewhat well usual ) , 24 - hr room service . one thing really mention 's personal pet peeve mine room coffee . hotel dedicated station one well stock supply sugar ( include sugar raw ) , dry creamer , coffee tea . always run creamer hotel really dislike coffee pot bathroom . nice touch . ironically , colleague stay pricy Fairmont report coffee room . service good hotel . door staff particular good , include provide access town car local restaurant trip couple occasion . desk staff good accommodate need check later day owe illness colleague . downside old hotel sash window lack screen lock . would stay small child . importantly , street noisy . stay one low floor ( around 4 ) bother street noise . worthwhile pay little extra upgrade business room high floor . business associate around 10th floor bother street noise . room $ 20 per night . would stay business part town ( high floor ) personal travel . 
 Mar 14 2008 	 get engage San Francisco ! 	 well start ? first time fiance San Francisco not dissapoint ! amazing city much Mark Hopkins contribute good time ! stay Mark Hopkins 6 day stay pleasant one . staff helpful room always clean high standard . finace propose Golden Gate Bridge celebrate engagement Top Mark ( hotel restaurent top floor ) . food lovely romantic setting due spectacular view across city dance floor middle restaurant couple slow dance ! thought would also useful review thing place eat go : - fior d'Italia : claim old italian restaurant USA , great restaurant get hearty italian dish reasonable price . - aqua : two star michelin restaurant . course pricey well worth ! waiter firendly not feel prententious ! - Sear 's Finest Foods - must go brekkie ! typical US breakfast , huge portion unlimited coffee ! - hire bike Blazin ' Saddles : hire bike , ride , Golden Gate Bridge stop lunch Sausilito . far good day get engae also breath - taking view bridge ! ferry back pier 41 sausilito.- Chinatown Alleyway tour : really recommend go tour around Chinatown Alleyway Tours great group people take around ! tour guide high school kid either live China Town interested history keep . tour cheap money go towards development area keep street clean . certainly learn thing guide book provide ! - Ferry Building : undercover market lot gourmet food shop . go lovely diner call taylor Automatic Refresher - good milkshake ever ! ! Frascati : one good restaurant go SF . simple food cook well . peanut butter chocolate ice cream die ! Golden Gate Park : take whole day look round park . beautiful botanical garden japanese Tea garden . make end park go Beach Chalet drink / food . stunning view Pacific Ocean . can not wait next time be back San Fran ! hope much fun ! 
