overbooke 	 book room Bloomsbury specifically 's location - walk distance theater , restaurant , musuem , etc . arrive early around 1pm tell room ready yet , leave bag go lunch . return tell hotel overbooke room we ( also tell people situation sort consolation not people ) . think totally unacceptable , thing could re - book us sister hotel , Kensington . hotel excellent , completely different area city . pay cab take we hotel check , still pay transportation go evening could not walk restaurant / theater . also ask would compensate we , say no . the final thing bother whole situation arrive hotel book we , front desk seem idea situation owe cab driver fare . call back Bloomsbury confirm new reservation make cab driver wait pay ( bit uncomfortable ) . Bloomsbury could call ahead make sure thing go smoothly . so , lobby look nice , unfortunately never get see room . 
 Jun 3 2009 	 Good Hotel Good Location Beware 	 hotel ideal location happen part London would compliment reception staff hotel find helpful , friendly professional throughout . however unpleasant experience breakfast room first morning stay . mistakenly believe breakfast include room rate ( pay € 280 2 night stay ) . girlfriend proceed self service breakfast selection select piece fruit resume seat . within second restaurant manager ask we room number . give check inform us breakfast include room rate . little surprised nonetheless apologise ask charge room subject ask price . inform us dismissive manner would £ 21.50 full breakfast . tell price little excessive would get breakfast elsewhere . get leave inform would charge we piece fruit already consume come random figure £ 7 . felt totally humilate embarrassed whole incicident especially take place full view semi full breakfast room . really think mean spirited charge eat piece fruit eated error . really leave bitter taste mouth one hurry back hotel advise friend colleague accordingly . 
 May 31 2009 	 Excellent 	 great hotel . clean , modern , spacious great service . worth get breakfast include price . Convenient Tube - 2 min walkoverall excellent - would recomend would certainly stay 
 May 24 2009 	 oh dear - something miss hotel 	 stay 2 night . not Jury be use . yes hotel pretty well locate new room decor good something wrong service . things:1 . check ask £ 25 credit food drink receive package buy - pointed feel 2 tv remote control room - check part room servicing . fairness send one within 15 mins3 , safe not work - could not correct next morning4 . handle door break come hand - much panic try get handle back could get door open . report not fix weekend careful not come again.5 . breakfast average sort hotel . second morning come late ( breakfast end ) offer cook breakfast - neithe rof us particulalry hungry not push seem strange staff may try avoid cooking.6 . check , charge room service food . fair enough famous £ 25 food credit deduct bill - ask credit apply . apology attempt overcharge . all hotel great location nice decor miss service quality would expect price . staff polite friendly term service focus . disappointing like stay hotel name . think look consistent brand like Marriott future . 
 May 24 2009 	 disappoint 	 difficult choose hotel without prior recommendation . glad choose hotel . find room decor pleasing . service bar restaurant excellent , staff welcome attentive . moment arrive book delight refreshing flannel reception room meal restuarant , make stay London enjoyable . lazy stay deal worth recommend . thank , certainly return recommend hotel other . 
 may 23 2009 	 Excellent hotel 	 return overnight stay Bloomsbury . find offer line give we late checkout ( 2 pm ) breakfast include good price . find hotel easy get minute walk British Museum . room not quite ready staff friendly take bag wandered bit sightseeing . return 45 min later give key room tell bag would follow . initla hiccup get room walk impressed . room standard double room small beuatifully decorate . clean facility need . nice big flatscreen tv - speaker bathroom need miss anything ! bed one comfy hotel bed ' ve ever stay shower lovely . book set 3 course dinner ticket Albert Hall want eat first . meal excellent service staff also excellent . not feel rush constantly around see every need . morning breakfast also good continetal style buffet option well full English order kitchen . presentation choice great . checkout easy quick . excellent stay worth every penny . would definately recommend hotel anyone want sight see around London . central also quiet . 
 May 21 2009 	 good location - facility disappointing 	 start positive - location central . stay three night walk everywhere go - Globe Theatre , Covent Garden , Prince Wales Theatre , Millennium Bridge , Westminster ... Foyer Reception area spacious . not eat can not comment restaurant breakfast facility . our room 7th floor take lift . couple time physically push door last couple centimetre get close lift would move . always arrive safely rather creaky journey . the room small ok need . one small window , look onto dingy area room . reviewer comment lack space clothe - one rail 4 hanger narrow shelf wardrobe . , 3 night ok - would think would difficult staying week more . the room good size flat - screen tv , mini - bar style fridge could not use store bottled water etc . tea coffee make facility . selection teabag ( 2 variety , make pot tea arrival use & quot ; standard & quot ; teabag ) , coffee , 2 small carton UHT milk ( , use initial drink ) , 2 small carton UHT cream pack Shortbread Fingers . expect Housekeeping would bring rung , initial supply seem little sparse . our main problem shower . bathroom smartly decorate good sized shower , hand basin toilet . shower & quot ; wet room & quot ; style , central drain shower tray . & quot ; Wet room & quot ; apt description , whenever use shower , entire bathroom floor get wet indeed . first time , paddle 2 cm water get bathroom door get loo ! spend time mop towel next time use shower , take precaution roll bath mat wedging foot fix glass partition . reduce quantity excess water slosh around room , although still need mop . eventually decide shower morning , turn water quickly possible hope Room Service could deal aftermath . water eventually drain away slow process . not pay full price room , presume give one poor room hotel feel facility adequate . pay full rate stay long , would complain shower ask move . I would consider stay , would not first choice . 
 may 16 2009 	 highly recommend 	 nice hotel perfect location business pleasure London . elegant decor room public space . warm welcome reception refreshing towel . comfortable well equip bedroom , wonderful night sleep . breakfast good : wide variety service little slow . certainly stay next visit London . 
 May 9 2009 	 Superb Hotel 	 Booked Bloomsbury via Travelzoo get great deal , £ 105 inc vat , B & amp ; b 15 % discount restaurant ( dinner ) . Booked hotel due deal location , Tottenham Court Road tube around corner 15 min Victoria go theatre . Lutyens design hotel look lovely outside do not dissapoint inside . greet reception hot flannel , welcome negotiate tube , friendly receptionist check we minimal fuss go room . the hotel recently refurbish new owner room nicely decorate large flat screen tv heat bathroom floor nice touch too . the room feel little small probably due end room view window wall , be not great - feel like probably nice room hotel certainly would not complain , nice enough get great deal anyway be not bother size lack view . bed comfy although miss siggeste little soft she . breakfast super buffet cereal , fruit pastry plate hot food also available - I d recommend kipper , lovely . check 12 nice do not rush out / overall great hotel great location , i d definately recommend . 
 May 5 2009 	 Glad Chose Hotel 	 booking hotel read mixed review Trip Advisor . decide would give go anyway people really rate hotel . upon arrive early check , concierge happy store luggage could explore little checking . hotel well place tube Tottenham Court Road literally two minute walk around corner . however prefer walk , Covent Garden , Soho , Oxford Street , Trafalgar Square attraction within short walk . when return check hotel quick easy . the hotel self recently undergo big refurbishment stunning , reception / lobby area grand . book Deluxe Double Queen Bed impressed room . room modern , huge widescreen tv bottom bed , walk wardrobe , modern bathroom even flat screen bath ! simply gorgeous ! one last night stay use hotel room service facility , lovely food good value money . first time London definitely return hotel . Loved London think hotel make weekend . anyone read bad review hotel say noise construction confirm stay hear nothing hotel peaceful . well worth stay ! 
 May 4 2009 	 good need ? 	 3rd time , hotel .New name hotel . the Bloomsbury Hotel . my borther book . time brithday . new room nice , New bar Landseer ' fabulous modern restaurant . good staff bar , indian guy , staff know name drink . good service , happy front desk , wait long get room get room , room key working . small thing ....... come back family friend thank much looking use . 
 Apr 24 2009 	 fantastic stay one well locate Hotels London 	 enjoy weekend Bloomsbury Hotel , nice hotel renovate . ever think think everything even able plug laptop large flat screen room ... beautiful room , large London standard , swanky coffee maker nice furnishing ... Overall Staff helpful hotel within minute walk west end easy access theatre pretty good bar restaurant ... stay hotel London - include big name - honest next time I m go straight Bloomsbury - mad ... 
 Apr 22 2009 	 FINE HOTEL BILL 	 hotel one want stay time finally get opportunity . though small size rather small window room wonderfully appoint . hotel , one block Tottenham Court Station could well locate . however , pay bill telephone charge 27 british Pounds . make one call relative 's cellular phone source charge . cellular phone come surprise . 2.5 Pound / minute charge . amount charge list bear room 's phone . instead part small print inside policy book night - table drawer . write hotel 's management , yet , receive reply . stay hotel cellular , take care . 
 Apr 17 2009 	 mixed feeling . 	 first , good : location great . quiet yet central - easy walk thing , easy access public transit rest . also handy many restaurant , theatre , shopping . the room recently refurbish lovely . nice bathroom , comfortable bed , fairly spacious . the price bad get one deal . public space pleasant quiet personality . also good room service menu available think around clock , nice . free wi - fi access also much appreciate . now onto not - so - good : room real practicality issue . example , insufficient space clothing two people ; fridge vend - machine style use ; air conditioning system terribly noisy ; shampoo bath gel provide lovely , seem strange leave lotion , practical bath gel . the real issue , though , little thing . example , check - in ( deluxe room ) , ask paper would like morning . check - out , turn charge paper . gld paper , approach bad principle irk many people return . also , one reason have choose dexlue room nespresso cofee . arrival , however , coffee machine indeed , coffee , simply hand we packet instant coffee make wiht kettle . another little thing bad inspiring repeat business . similarly , desk staff friendly , inefficient . unable answer fairly basic question , unable find fairly basic information even ten minute internet . eventually use international cel phone phone local grocery store , example , enquire hour . , little thing , business , be little thing count . it fine hotel , would likely recommend friend not travel much . - well . 
 Apr 16 2009 	 Perfect Location heart action ! 	 Booked hotel theatre break mother . location fantastic , could pretty much walk Convent Garden , Leicester Square , Oxford St. etc within min . especially good location go theatre . see Jersey Boys - awesome ! ( walk distance ) hotel efficient friendly - complaint . room small perfectly form - location offset million mile . want 3 night break ? continental breakfast delicious choice substantial would highly recommend hotel weekend break - would certainly return . 
 Apr 15 2009 	 great location city break London 	 stay hotel Easter great time . get great offer 3 night price 2 well worth . room small enough expect central London . however , recently redecorate high standard - even underfloor heating bathroom ! location wise , great- central everything- walk Covent Garden , Leister Square , Picadilly , Oxford Street etc . not avail breakfast £ 15 per person , lovely little cafe beside place nice english breakfast £ 5.00 . beside Dominion Theatre see Rock musical , 's load theatre near by . I would recommend hotel , not expect staff overly friendly- that s sometimes norm big city .. though bar man really nice friendly dab hand auld speciality cocktail ! ! 
 Apr 14 2009 	 Nice hotel disappointing room 	 stay hotel short visit London . the Hotel elegant , location great , close Tottenham Court Road . the room ( 706 ) amenity , even free internet : tiny , window open closed space flow water shower weak . I ' m sure room represent hotel sell , responsibilty . 
 Nov 25 2009 	 situation excellente 
 Oct 5 2009 	 estremamente comodo 
 Aug 22 2009 	 Excelente hotel ubicación 
 Aug 14 2009 	 Eccellente ! 
 Jul 14 2009 	 Une climatisation tre bruyante 
 Jun 4 2009 	 una parola : stre - pi - to - so ! 
 May 25 2009 	 Nel cuore di Londra 
