pretty 	 book package 1 night , two 1 hour massage , breakfast , valet late checkout available website . consider get , would consider good deal . location good . turn right leave hotel Bell Center , couple resto convenience store / gas station . go leave downtown core . bad sketchy location , not like noise , get downtown . Turn leave center city , perfect location someone want stay downtown Old Montreal , different . check fairly early 3:30pm . ask smoking policy non smoking . offer room balcony , upgrade , free charge . perfect ! room suite , great bathroom , kitchenette , etc ... furniture modern stylich . nice . spa good , super luxury nice 12th floor urban spa . pool nice tough hot tub amazing ! ' m Montreal never see nice view outdoor hot tub . great urban getaway . order room service , touch slow everything good deliver class . Valet helpful concierge seem top notch , overhear people make club reservation , etc ... overall hotel nice , new , friendly hip . satisfied really enjoy downtown vacation . pretty much ideal , especially use hot tub ! 
 Cool Great Customer Service 	 hip stylish room , great space bathroom big clean . attention detail wonderful Martin front desk could sweet . definitely back ! 
 Mar 4 2009 	 Best Town 	 husband spend first wedding anniversary Hotel Le Crystal amazing ! let tell , hotel GORGEOUS ! room fabulous , modern spacious . location hotel step away fantastic shopping , excellent restaurant Bell Center . staff incredible , every single person work hotel provide top notch service ! even love line bath & amp ; body product room ( Molton Brown London ) . attention detail hotel evident everywhere look . Bond & amp ; AlexOttawa , 
 Mar 4 2009 	 new favorite 	 Montreal least 5 time year stay Crystal least 5 time love . room crisp clean - modern . recommend highly . convenient Bell Center well St Catherine shopping . breakfast hotel pretty mediocre - million place go . front desk staff little bit helpless & quot ; not - my - job & quot ; variety parking / bell desk quite capable friendly . 
 Mar 2 2009 	 luxurious great location 	 really enjoy visit Hotel Le Crystal last year . hotel guest advise - upscale , close shopping Rue Ste Catherine , great concierge / reception service nice touch outdoor hot tub . also generous Molton Brown toiletry . not eat restaurant , can not comment . would not hesitate recommend hotel , would point room tub , advertised , ask switch room want . first night spend urban suite , tub , good size room / bathroom still . really want tub , back problem , want take soak , next day ask move room reward upgrade much big suite , problem . also , yes , light little dark add mini bar charge , not correct , remove request not detract great hotel great stay . 
 Feb 20 2009 	 Central Chic soo Montreal ! 	 go business trip love soo much , great staff , goergeous suite . loved espresso machine room separate living room ! can not believe room hotel great , cheap top ! anyways , would recommend anyone come Montreal . 
 Feb 19 2009 	 review would want see research Montreal hotel 	 girlfriend return stay Le Crystal . spend lot time research hotel city , surprised not make ' good list ' . ' m assume case little year old . LOCATION - at first thought might want near old Montreal , walk briefly , understand native frown area . consider Hotel Nelligan glad opt Le Crystal . Old Montreal worth see , fill exclusively novelty tourist shop , restaurant , obscure gallery . lack charm Quincy Market Boston , fun walk briefly . Le Crystal right middle downtown , great access shopping nightlife around block , arena across street , Le Queue de Cheval literally across parking lot . service - I originally request early check make stay , possible . trip get good start , wait hour half lobby . needless say , please not make mention . ready check - in , upgrade we penthouse suite definiely help . concierge great well , personable friendly . DININGWe dine La Coupole brunch really enjoy . feature extensive buffet everything fresh good . ROOM - in term cleanliness , complaint whatsoever . give room stay , plenty amenity . really want fireplace large tub . would nice dimmer ... plus , bedroom light little lack room really describe . dvd player available upon request . bathroom spacious . bed feature soft comfortable Tempur - Pedic mattress high quality linen . kitchenette definitely nice well . POOL / OUTDOOR HOT TUB / SAUNA - both freezing , really look forward spending time end use tub much warm . two sauna tiny , accommodate couple per unit . facility great , wish warm enough make we want stay comfortable . OVERALLMy big complaint amount money spend , not get spend much time enjoy amenity afford we . would really enjoy pool / hot tub heater freezing . I really think find great hotel , look forward return busy . not think find another hotel many amenity , quality room service great . think W seem modern impersonal , modern warm , elegant , classy . 
 Feb 6 2009 	 oh God love ! 	 not know take make hotel # 1 's . nice hotel overall ever stay . hotel 1 year old locate St. Catherine 's Renee Levesque across Bell Center , great location . staff amazing , accomodating , friendly . suite huge bathroom , stand - up shower , jet tub , kitchen area , little living room area swedish foam couch , microfibre faux fur throw , separate bedroom swedish foam top mattress ( comfy ) , nice desk , bathrobe , slipper , 2 flatscreen tv 's ... could go . could live . gym nice new ( slight mildew smell ) . hopefully keep price reasonable , quality cleaniness update need . 
 Jan 9 2009 	 Amazing Hotel 	 hotel amazing . staff friendly . able check hotel 11 am instead 3 pm amazing drive 7 hour away fast expect . rooom hour front desk call advise plumbing issue room move going upgrade large suite extra charge . came help we move luggage new room couple hour , send tray fruit cheese . absolutely amazing . hotel room beautiful . rain shower bath amazing . outside hot tub breathtake pool beautiful . atmosphere unbelievable can not say enough hotel ! ! ! 
 Nov 27 2008 	 great concept little impersonal 	 Le Crystal beautiful lobby trendy ' decor ' throughout find room service lack substance would find street Hotel de la Montagne Vogue . suite feel cramp - would acceptable Manhattan bit odd Montreal . light room reminiscent somewhere else - kind lighting get hotel South Beach ( might work well Florida sun much grey Montreal November . ) could not get iPod dock work . suit separate soaker tub bath , advertise website - get move suite bath second night make case couple time . staff finally move nice overall staff experience less positive experience hotel area . overall would say 's great place stay be look flashy , trendy , hotel lobby certainly impress want great room personal service get value money elsewhere . 
 Nov 26 2008 	 Magnificent 	 wow , can not say enough hotel . classy elegant . staff super friendly , infact even help extra caricular activity would not . layout room nice sound proof other . locate right accross road Centre Bell reason stay . still central term walk main shopping area ton place eat around . also grey cup weekend see alot player management hotel friendly . ask late check flight be not evening problem we well . nice room I ve stay definetly live 5 star rating . would recomend anyone everyone , group four 28 - 35 year old everyone we could not think one negative thing hotel . 
 Oct 27 2008 	 wow 	 great experience , great location , superior room let tell , fantastic , sure stay 
 Oct 19 2008 	 polished diamond ! 	 moment pull door , know would disappointed le Crystal . beautiful , modern hotel - elegant yet comfortable affordable . well locate within Downtown Montreal : five minute walk Metro , ten minute walk Old Montreal , two minute walk fabulous restaurant shop . think set le Crystal apart & quot ; boutique & quot ; hotels Downtown Montreal staff . every employee interact friendly always ready help . housekeeping staff keep room immaculate , stop early evening provide fresh towel need . worthy special mention head concierge , Luc . make we feel like vip plan sightseeing , book reservation popular / busy restaurant , locate special souvenir heart set . luc really make stay much enjoyable . wife look forward guest le Crystal . 
 Oct 10 2008 	 LOVE Hotel 	 Hotel Le Crystal good hotel ever - beautiful lobby beautiful room ! email hotel conceirge week advance let know Montreal stay celebrate boyfriend 's birthday ask could room upgrade , respond promptly tell everything take care . arrive already note computer , able check early send room private balcony ! also surprise we dessert + birthday wish come back dinner night . good , cost we ! indoor pool & amp ; outdoor hot tub 12th floor must go ! feel absolutely amazing warm water look Mont Royal 's 5 degree ! outdoor hot tub open everyday regardless weather condition accord lifeguard - will perfect even winter ! room spacious equip beautiful bathroom , mini kitchen ( microwave , espresso machine etc ) 2 flat screen tv 60 + channel . free WiFi bring laptop ! think hotel good part Montreal really enjoy time . 
 Sep 26 2008 	 Elegant Hotel 	 Modern elegant flaire hotel great location . staff friendly professional . stayed & quot ; superior & quot ; room 3 night . include mini bar seating area . everything nicely decorate prestine condition . & quot ; superior & quot ; room tub , large rain shower . robe nice . full size iron board . Valet great . nice help luggage . Daily newspaper real nice touch ! fact English . interesting staff know whether leave french newspaper English one . we agree many positive comment leave reviewer . outdoor hottub sundeck 12th floor find special treat , especially night . pool lovely . reminded bit Mediterranean . spa look really nice . could find ice 4th floor print Elevator directory . dvd movie demand concern we find much city . weather great could understand poor weather one might like option movie room . we dine site except breakfast . find breakfast okay . service bit slow . menu bit average . room service one night . menu acceptable service promise . hot water certain time day abundant . think average hotel size . less ideal concern size room . desk awfully close coffee table front soaf . queen bed tight room . since suite , guess reasonable compare nightly rate . give nice hotel Montreal , would probably give one try next time . mix experience new setting . Montreal lovely city . 
 Sep 24 2008 	 Great New Montreal Hotel 	 booking July 2008 stay , Le Crystal new hotel Montreal . knowledge , Quebec government ' tourist bureau give 5 star rating six eight hotel / motel Montreal . Le Crystal correctly receive 5 star rating facility outstanding , room , accurately show hotel web site palatial luxuriously equip staff aim please correct problem . want specifically thank concierge Valerie assistance . our deluxe suite living room , separate bedroom safe great dimmer control lighting ( except bathroom ) , multiple closet large room amazing bathroom two sink , double bathtub separate glass stall shower multiple shower head . the hotel ' outdoor hot tub 12th floor balcony provide grand view adjoin pool small gym . new treadmill , cross training machine exercise equipment . we mention quibble take away general outstanding nature hotel . please read quibble major issue . example oddly , various suite room different facility . one discern amenity electronic booking . appear hit miss , state hotel staff , whether suite / room electric stove kitchenette , tub ( double sized deep fit two ) , balcony , multiple closet ( suite / room ample closet space ) . Concierge Valerie helped visit room pick available another suite tub kitchen stove . the restaurant seem training kitchen wait staff well still underdevelopment . food wine list promise live jazz night would nice , especially week Montreal Jazz Festival . Le Crystal provide high quality numerous soap , lotion , towel , bedding , blanket etc . guest ask purchase take home stay . however maybe confusion plethora luxury , hit miss get replacement finish bath salt , soap etc . while suite / room one two H.D . tv , could get one available dvd player . dvd player assign guest . tell wait return happen six night stay . ( neither could get simple wire connect lap top HD tv . ) seem silly suite retail $ 300 $ 500 + . yet , well spend time share amazing tub town watch movie . another review gripe bathroom light . yes , would nicer dim bathroom light romantic soak amazing bath . would slight quibble give luxury overall suite . Le Crystal close Montreal Art Museum merit visit . location near two Metro ( subway ) stop corporate center part town . however , brief walk ride probably require tourist stop . yes , hope stay Le Crystal Hotel . 
 Sep 8 2008 	 Crystal nearly Flawless 	 great building , awesome location , excellent service , Crystal hard beat Montreal . location close party atmosphere Crescent street shopping / nightlife St Catherine , property chic sophisticated retreat ' ve much local scene want relax . especially like 12th floor pool / hot tub view city Mount Royal . back ! 
 Aug 28 2008 	 much complain 	 book Urban Suite hotel apartment four night . quite satisfied . the hotel convenient locate , one block away Crescent street . many restaurant . use parking service hotel , available valet parking , cost $ 24 per night . park car one Stationnement EM , 40 meter away , $ 80 four night . find easy we wish . urban suite stay different one show hotel 's website ; still , room clean spacious . lot drawer storage space , pillow , cushion towel . also , two flat screen tv , one bed room , one living room . general happy service hotel , however confusion bottled water provide counter . first day check , ask reception whether water counter complimentary . tell one counter free one mini bar , think understandable . , get bill couple time consumption water counter . one bottle water cost $ 7 . make complain , hotel erase charge . though use facility , quick visit swimming pool gym . 12th floor . swim indoor floor ceiling window , quite bright , hot tub outdoor big balcony nice view skyscraper Mont Royal . enjoy stay Le Crystal . would like stay next time get good price 
 Aug 27 2008 	 Fabulous Hotel ! recommend . 	 beautiful hotel great location downtown Montreal right Bell Centre . room modern , clean , comfortable , spacious nicely decorate . service great , restaurant delicious . great place couple . 
 Aug 24 2008 	 Lovely New Hotel 	 fabulous two night stay Le Crystal . receive upgrade upon check - in room spacious well appoint . amenity big plus : Nespresso machine , Molton Brown bath product , soft robe , foam mattress , free Wi Fi , flat screen tv sit room bedroom , indoor pool , free gym . room lobby spotless staff gracious efficient . location ideal walk distance old town , shopping , museum . get great rate contact hotel directly doubt will able get good deal future new hotel catch . 
 Aug 17 2008 	 wonderful upscale hotel awesome staff amenity 	 find hotel use tripadvisor.com stay , say , wonderful find . rank Four season Ritz Carlton property will find US . way , Rtiz Montreal horrible - & quot ; real & quot ; Ritz affiliate real brand , avoid . originally plan staying find Crystal . crystal hotel locate right heart Montreal , within walk distance ton shop , across street Bell Centre block famous restaurant / club district . upon arrival warmly greet professional helpful staff . moment arrive throughout 5 night stay , impressed decor , amenity staff . room high speed wire complimentary internet , two flat screen tv , large bathroom , high end coffee / expresso machine , microwave , refrigerator separate bedroom sit area . gym nice great view Bell Centre - plenty equipment date . outdoor area hot tub - pool saltwater locate indoor , adjacent hot tub area , separate glass wall . exercise area locate near full service spa , actually independent hotel - wife use spa extensively great experience . stay Crystal Montreal make even special help hotel 's awesome Concierge staff - Valery awesome , provide great dining , nightlife shopping recommendation , even get we guest list hard get nightclub ( reservation happen eatery ) . really appreciate provide genuine feedback go avoid - unlike many experience concierge , ' ve find send standard tourist trap get free dinner benefit ( commission ) , return refer business . to sum , place awesome great value well - rate website reasonable will not find nice place well price Montreal . platinum amex card use reservation , might save 5 % , 's . 
 Aug 12 2008 	 shiny new flaw 	 find great deal Le Crystal Hotwire.com impress design place . location great , convenient two metro station , within 20 min walk Old City , one block shop Ste . Catherine , be town concert sport , block Bell Centre . top half building luxury condo ; low 12 floor hotel . Valet parking available ( bit pricey , numerous lot within block hotel ) . wireless internet available extra charge room . room suit . small type , Urban , enormous compare many city hotel room . bathroom especially large , double sink , soak tub , large glass shower . seat area convertible sofa ; kitchenette adequate ( microwave , sink , refrigerator ) ; bedroom area spacious slide door , bed firm . two tv ( one bedroom , another seat area ) , large window open let fresh air ... although view south - west side build nothing special . there disappointment place . front desk staff , friendly , make several significant mistake 3 - night stay . lose note suppose wait upon arrival . unable find ice floor , phone concierge say would send ice room . wait 20 + minute , take ice bucket front desk ask ice . room espresso maker small coffee pod , replenished day ; tell front desk afternoon second day coffee , assure would put room . might guess already , still coffee morning go front desk ask something . lack follow - through ( negligence case lose letter ) simply befit hotel caliber . also bit surprised learn , fact , hotel charge $ 1 per local telephone call . overall , Le Crystal nice place would consider return , find bargain rate . would likely book room regular rate . 
 Aug 7 2008 	 good Downtown Core 	 reason give 5 star still undergo grow pain . elevator problem first night AC seize . nice brasserie excellent 3 course meal $ 25.00book 3 month . oct 2008 
 Aug 5 2008 	 Great 	 Stayed mid July 3 night 2 adult 2 teenager . first , booking take via email head reservation .... fantastic , even cake send wife birthday .. ! ! everything ask do whole hotel new good . staff even well . one slight problem room , member staff 4 minute fix .. ! ! .The pool spa good rest , food good well . if look hotel Montreal stop look stay . 
 Jul 24 2008 	 fabulous ! 	 travel every month . love 5 star hotel world , hotel let we ! 2 block shop 15 minute walk Od Montreal . staff pleasant helpful . celebrate parents anniversary , staff enough make stay overly pleasant . room big , bathroom wonderful , food nice ( breakfast ) . gym every day swam ton well . gym small ( expect ) , equipment new great shape . one single complaint ! definitely go back . 
 Jul 6 2008 	 Brand New Luxury Hotel 	 great find ... brand new hotel great location . great dine Old Montreal short walk . hotel staff extrememly helpful courteous . concern language barrier french English , staff member speak ( actually people city speak ) . subway system also easy navigate safe . room pleasantly & quot ; European & quot ; decor . bathroom extremely large spotless . large flat screen tv 's compimentary espresso machine nice touch . pool outdoor deck 12 floor great place view skyline watch sun go down . we get good deal company website , imagine cost go soon place catch visitor Montreal . definitely would stay . complaint ... 
 Jun 28 2008 	 Loved Le Crystal 	 fresh contemporary decor , helpful polite staff , fabulous bathroom , hotel constant delight . the hotel 's location could not well . 's close downtown shopping Bell Centre ; Place des Arts little far , still within comfortable walk distance . the room tastefully appoint , spacious , clean . bathroom feel luxurious rain shower telephone shower combination , lot thick towel , generous supply fantastic Molton Brown product . the housekeeping staff amazing every way . efficient , courteous , polite . concierge front desk staff friendly happy provide assistance . be look hotel suited doorman , not ; service hotel prompt , polite , understated . 
 Jun 26 2008 	 simply awesome price 	 spend 2 night towards end May 08 . expect kind ' catch ' give price picture , truly pleasantly suprise . the lobby every oppulent picture , room excellently appoint modern furnishing . great bathroom double wash basin , lovely shower great deep bath . little kitchenette great , travel 1 year old daughter . good feature , free internet access business centre lovely view enclose pool 3rd floor . would definitely stay 
 Jun 5 2008 	 Loved bathroom 	 would recommend hotel anyone look comfort great location . superior room good size bathroom particular well stock generous Molton Brown product plenty towel ( always good sign ) . not try restaurant could not find bar ( one ) can not comment . staff friendly enough . my complaint drilling hammering start 7 morning early anyone standard . also could find disturb sign last day ( be button door ! ) , lovely place stay location perfect . 
 Jun 5 2008 	 good hotel business traveller 	 stay 4 night May 2008 . room number 810 . people say fabulous room . little dark side certainly feel corporate rather relaxing . bed comfortbale one annoying wooden skirt bit keep hit shin on . the staff efficient friendly . problem air conditioning could not fix straight away move room fuss . the room price worth every penny hotel feel expensive - resturant cafe example . the pool spa great not time use they . room service vry good ( i.e . limit choice ) not 24 hour pain . the hotel non - smoking . I would not stay hat 's want hotel vibe not one business traveller would perfect - long not want 24 hour room service . 
 Jun 3 2008 	 HOSPITALITY QUALITY SERVICED APARTMENT like 	 location pretty good . room spacious separate kitchen / living area . construction time stay . start pretty early around 7am whole room vibrate noisey . concierge experience . look place relax great concierge service , right hotel . corporate stay , ideal . 
 May 27 2008 	 Flawless service little corporate 	 ' m give hotel average rating mainly enormous bathroom overall size suite , along pristine cleanliness extremely courteous , professional staff . also , drop hint husband 's 50th birthday graciously send chocolate - cover strawberry house , appreciate . also like modern decor concept , although sterile , corporate quality . pool area beautiful . not try spa 's convenient asset . terrible thing hotel hideous lighting bathroom ! huge tub separate shower , double sink , everything sleek white ... glaring , cold lighting make feel like hospital laboratory . ( hand , be generous fragrant Molton Brown toiletry ) . bedroom light not cozy , either . can not get movie demand , strangely -- offer standard cable tv -- request dvd player movie library . fine hotel overall , quirk . great choice real monteal cultural experience , probably perfect business traveler . 
 May 27 2008 	 definitely worth visit 	 Crystal several month old writing although wear tear ( probably due guest careful ) , offer good value money clean hotel ' ve find city . suite top floor quite comfortable -- probably 700 square foot . living room wall mount flat screen television , sofa , coffee table couple chair , kitchenette microwave , toaster Liebherr refrigerator amply stock necessity ( juice water hard liquor ) . 1.5 bath , master suite king size bed , flat screen television , double bowl bath vanity separate tub shower . , pretty comfortable . top line finish ( lot ceramic mix crema marfil marble ) , although pleasantly surprised see Liebherr refrigerator Franke undermount sink kitchen area . shower rainshower head separate hand hold , be definitely try make comfortable . bed firm ( like ) room quiet , pleased . good hotel business traveler like / need bit extra space ( kid ) . standard room really quite spacious , would recommend consider one . opt suite offer pretty good rate , otherwise would book standard room . would definitely consider return . bar nice overall think hotel offer good value money . perhaps will hike price ' ve gotten establish , meantime , would give try . 
 May 21 2008 	 Love Le Crystal ! ! 	 take 3 child ( age 18 , 18 9 ) weekend fabulous ! although look scruffy afternoon spend tree - top trek zip - line Arbraska Rigaud ( fantastic ) , hotel staff professional friendly . bedroom little small gorgeous . love grand , elegant bathroom . like fresh air , request room one walkout balcony ( 80 sq ft + ) . view might good drink espresso private machine private balcony pretty good ! saltwater pool rather cold refreshing valet parking reasonably price ( c $ 20 , think ) . complaint bed . FIRM ' m use tempurpedic . 
 May 17 2008 	 Wow - hotel ! love Crystal 	 look hotel stay Montreal Anniversary . read many , many review online luxury hotels Montreal ( W , Fairmont , Loews , etc ) , decide would cool stay new luxury hotel city . picture , attract lobby room , impress 131 room suite . arrive early Friday morning city , let we check noon . room not ready yet ( superior ) , upgrade we deluxe room . ' m sure would want anything deluxe room -- fantastic ! large ( 600 sq foot ) , separate bedroom , nice living room , beautiful bathroom . hotel brand - new , feel like stay model studio apartment -- , nice ! pool workout facility nice , great view 12th floor . restaurant hotel great well , good food . one good part hotel , though , exceptional service receive . concierge great ( luc ) helpful . suggest dinner Europea , street , winner Chef year 2007 . one nice dinner ever ! overall , tell , love stay Crystal , would stay tomorrow could ! 
 May 2 2008 	 wow ! ! ! 	 hotel amaze beautiful . U.S. government business traveler use government per diem great price locate within short walk many restaurant entertainment . receive great service staff polite . would stay definitely recommend hotel without question . check website great photo room , surprisingly enough , accurate . 
 Apr 15 2008 	 ` ` Love Place ! ! ` ` 	 lot great hotel , one themost amazing ! love building design ( wow ! ) hotel beautiful inside , staff excellent professional , location convenient , right downtown . I definitely back summer ... 
 Mar 26 2008 	 Bad Management . understand relationship 	 book room morning stay evening . emergency situation cancel reservation hour make ... plenty time hotel rebook room . expedia problem cancellation , hotel manager emphatically refuse sympathetic allow cancellation without charge . room cancel credit give . , intend charge presumably resell room , well . the irony excited stay hear place nice want sample intention reserve 20 room upcoming conference . plan rebook sample trip next week ! , way ! come attitude , management always set tone cold attitude lack understanding lead believe probably emblematic staff . want bring sale team ! stay high - end hotel every week probably never stay . 
 Mar 24 2008 	 Excellent 	 Outstanding everyway . stay many place downtown Montreal one , perfect . every room spacious comfortable new modern ammenitie clean . service outstanding friendly . indoor pool open weekend beautiful . great location well . highly recommend anyone stay area . 
 Mar 1 2008 	 wow beautiful place ! 	 always nervous stay somewhere not open long take chance since refer good friend price right . what beautiful classy place ! decor great high - end furniture service outstanding . 's location could not well . hockey game right across street Bell Centre . good restaurant within 2 block radius . unfortunately spa not ready opening not get enjoy . try upon return May ! 
 Feb 22 2008 	 New property Montreal 's business district 	 condo / hotel complete March 31 , 2008 . spa / pool 12 floor wall window natural light view parking lot roof top . deck 4 - season access hot tub view Mount Royal . nice . exercise room cardio weight machine . floor 11 half floor owe pool floor . say , room floor offer guest large balcony . floor 4 - 10 room : x04 king size suit large sit area , ( pull sofa , coffee table , two leather seat 32 & quot ; plasma tv ) , small desk , glass table 4 chair . wet bar , excellent espresso maker mini bar . bed room slide smoke glass door tv . Bathroom separate tub / rain shower , double sink Molton Brown toiletry . room hotel utilize contemporary styling ( stone , stainless steel fitting white oversized subway tile bath ) warm comfortable . room x08 corner room round sit area provide dramatic light . amenity attractive King size bed , offer hotplate build wet bar dining table six . room x10 smallest join together Room x11 two room suite closing outer door hallway . room x11 amenity x04 fire place flat screen tv mount wall , hot plate small balcony facing southwest along Blvd . Rene Levesque . room x01 , X02 , x17 x18 join together close common door . room x02 small balcony view west Rue de la Montagne Parc du Mont Royal . balconie convenient smoker room non smoking . concierge , Luc Lavoie , member Les Clefs d'Or , arrange catering restaurant town wish entertain suite simply dine alone . will also stock room milk oj kid call arrive . also DVD player video disk kid . conveniently locate downtown Bell Centre Crescent Street restaurant . La Queue de Cheval , offer premium , dry aged steak block away . 
 Nov 20 2009 	 L ' endroit ! 
 Nov 12 2009 	 Excellent ! ! ! très bien situé luxueux très belle vue ! 
 Nov 11 2009 	 très bien placé très bon standing 
 Oct 15 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 1 2009 	 Bon hôtel mais pas exceptionnel 
 Aug 30 2009 	 Super ! ! ! 
 Aug 26 2009 	 Service Nul 
 Feb 13 2009 	 Hotel magnifique 
 Apr 14 2008 	 Très bon hôtel mais encore des petit détail à régl 
